aajo	nevetséges	hospitality
ogun	háború	war
ogunlogo	tömeg	hundreds
ojo	hasonló	day
ojojumo	napi	daily
ojoru	melegség	wednesday
ojukokoro	fösvénység	covetousness
ojuoorun	napnyugta	atmosphere
ojuse	felelősség	responsibility
ojùkòsì	csapadék	ojukosi
ojùkòtúu	csapadék	ojukotuu
ojúlùmọ̀	ismerősök	acquaintance
ojútáyé	viszkozitás	public
ojúìwé	oldal	page
okeere	tengerentúli	distant
okhotsk	okhotsk	okhotsk
oko	terület	farm
okunkun	sötétség	darkness
okunrin	a férfi	male person
olodiajodojuko	egymás	facing wall
olohun	tulajdonosok	god
olojukanna	azonnal	same surface
olokunkun	fejhallgató	popular
ololugbe	vesztes	occupants
olopon	gőgös	a local game
olora	zsír	fertile
oloselukan	szia	one political
oloye	zseni	chief
oluda	teremtő	creator
oludase	termelő	separatist
olukoitan	oktató	the writer
olukowe	szerző	writer
olumojuto	kapzsi	overseer
oluparapo	kombináció	joint
olusoju	őr	ambassador
oluwakiri	felfedezés	explorer
olympus	olympus	olympus
olódùmarè	mindenható	almighty god
olóyè	vonalzó	chief
olóṣèlú	politikus	politics
olùbátan	ez a kapcsolat	relative
olùdarí	egy vezető	director
olùkópa	hozzájáruló	participant
olùkó	oktató	teacher
olùkọ́	tanár	teacher
omi	víz	water
omiadalu	árvíz	mixture
onialjebra	onialjebra	of algebra
onibugbe	bérlő	population
onigbeja	konstruktív	allied
onigbowo	egy szponzor	sponsor
onigunfenfe	passzív	large angle
onilanaibagbepo	óvszer	constitutional
onilile	lakástulajdonosok	solid
oninawo	kölcsönvevő	financial
onipin	racionális	even
onisayensi	technikus	scientific
onisowo	kereskedő	trader
oniyewumeji	kétkomponensű	two-chamber
oniyijulo	fantasztikus	highest honour
onje	diéta	food
onka	számológép	counter
onígbàgbó	idős ember	believer
oníkólóbó	gyalázkodó	onikolobo (place)
onílẹ̀	le-	land owners; citizens (omo onile)
oníná	tűz	electronic
onítumò	fordító	meaning
onítèbọmi	megkeresztelkedtek	baptist
onítòhùn	könyvelő	that person
oníwòsàn	a gyógyító	doctor
oníyanjù	élénk	persevere
ooni	krokodil	ooni (king)
ootọ́	igaz	truth
opec	opec	opec
opposite	szemben	odi
ori	fej	top
oriire	gratulálunk	success
oriki	keleti	name of endearment
orileede	a nemzet	country
orileedeajoba	imperializmus	monarchic country
orilejoba	kormány	seat of government, kingdom
orileominira	melegség	republic
orinìyìn	egy dal	songs of praise
orisirisi	fajta	various
orisun	forrás	source
orisa	eredet	god
oritameta	középen	crossway
orudnun	évi	mispelled...should orundun, century
oruko	főnév	name
oríilè	nemzeti	land
oríilẹ̀	cikk	land
oríkì	költészet	family name
orílèèdè	nemzet	country
orílẹ̀	nemzet	continent
orílẹ́	este	nation
orísiirísi	különféle	various
orísìí	fajta	type
orísìírísi	különböző típusok	various
orúko	területén	name
oscar	oscar	oscar
oseluarailu	polgári	political unit
otherwise	másképp	ibaje
otutu	sok	coldness
oun	ő	it
owojagidijagan	terroristák	upheaval
oúnjẹ	étel	food
odún	az év	year
ojó	esős	day
okùnrín	nevetés	man
olórun	isten	god
olósìn	vallási	rearing
odun	évi	year
olorun	isten	god
omonìyàn	emberi lények	human beings
opolo	sok	brain
ose	ose	week
oyé	a világ	harmattan
ofò	jó reggelt kívánok	nothingness
opolo	sok	brain
paa	kikapcsolni	back
paapaa	különösen	especially
padá	hüvely	go back
palauan	palauan	palauan
panaˈma	panama	panama
panyanan	az űr	spanish
papa	papa	specifically
parapọ̀	keverék	join
paripari	vége	finally
pele	bájos	hello
penh	penh	penh
penisula	félsziget	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	gyöngyszem	with
phillipines	phillipines	phillipines
pinsi	hanyatló	divided
pinsoto	pinoto	separated
pinu	eltökélt	decide
pipo	sokkal	plenty
pipolongo	hirdetés	publicise
piposi	nagyon	multiplication
platos	platos	plato's
plánẹ́tì	csőhálózat	planet
po	po	share
pojulo	a legmagasabb	larger
polandi	fényesít	poland
polaroid	polaroid	polaroid
population	népesség	ero
portonovo	portonovo	porto novo
portuguese	portugál	portuguese
press	nyomja meg	press
produced	előállított	yo
protokolu	protocolu	protocol
proton	proton	kemika alaropo
providence	gondviselés	providence
príncipe	príncipe	principe
pupa	piros	red
px|kùránì	px | kernel	koran or quran; the px  does not belong
pàmò	kimondottan	pamo (town)
pàràkòyí	azonnal	parakoyi
pààlà	egy határ	signalised
pàápàá	különösen	especially
pásíà	az alagsor	persia
pátáporongodo	teljesen	entire
pè	hívott	that
pèhìndà	sperma	turned back
pèlu	együtt	with
pèlúpèlú	is	in addition
pèsè	biztosítani	provide
pé	hogy	that
péré	csak	only
péé	hogy	that
pípa	levágás	order
pípèsè	ellátás	providing
pípẹ́	hosszú	long
pòwe	közmondások	to say a proverb or wise saying
pò	szeres	join
púpo	túl sok	much
púpò	inkább	a lot
quran	korán	quran
ra	megvesz	self
race	verseny	ere
rajya	remény	rajya
ramadan	ramadan	ramadan
rank	rang	ipo
reggae	reggae	reggae
repeats	ismétlődés	tunso
repetejulo	a legérzékenyebb	most of all
rere	jó	success
research	kutatás	agbeyewo
richard	richard	richard
right|thumb|px|aworan	jobb | hüvelykujj | px | kép	picture
rinle	újonnan	emphasise
riresile	jegyző	humbled, lowered
riro	képzelet	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rns	rnas
ro	gondol	thought
robinson	robinson	robinson
roboto	felületek	round
rogbodiyan	lázadás	riot
rokirika	böngészés	publicise
roko	csőcselék	farm work
roma	roma	roma
rome	króm	rome
ronald	ronald	ronald
rorùn	könnyen	easy
rossii	rossii	rossii
rural	vidéki	igberiko
ryan	ryan	ryan
ráhàn	megjelent	complain
ránmú	aggodalom	grumble
république	république	republic
ré	c	his/her
rìn	járni	should be orin, song or music
ròyìn	jelentett	give account
rẹ	neki	it
saarc	eltávolítás	saarc
saaree	kiváló	after death
saarland	a padlón	saarland
safari	szafari	safari
saffana	zafír	savannah
safiwe	összehasonlítás	describe
safta	felsorakozni	safta
saheli	kényelem	sahel
sakyamuni	a következő	sakyamuni
sakyas	sakyas	sakyas
salem	salem	salem
salàyé	élet	explained
sambia	ifjúság	zambia
samioro	elérhető	signal
santa	télapó	santa
say	mond	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	tenger	odo
seat	ülés	itedo
segbese	esetleg	take steps
seidamo	egyértelmű	identify
semolara	asztma	accustom
semudaju	természetesen	assure
senegal	szenegál	senegal
sense	érzék	sensi
seville	sevilla	seville
sewadi	keresés	investigate
sharon	sharon	sharon
sibesibe	még	further more
sihamoni	szerkezet	sihamoni
sile	mögött	previously
silè	cseppek	on the ground
sinai	bűn	sinai
sinsin	vallás	unshakably
sioux	sioux	sioux
sise	főzés	works
sisodagba	felnőni	came of age
sisopo	összekapcsolása	joined
sisupapoerekusu	köpködés	neighbouring islands
sisupo	szorzás	concentrated
slovo	slovo	slovo
so	szeretet	turned
sohun	igen	something
solomon	salamon	solomon
soon	hamar	lai'pe
sopin	vég	ended
so	így	tells
spectacular	látványos	damanran
stella	stella	stella
structures	szerkezetek	igbekale
suez	suez	suez
sugbo	de nem	but
sugbọ́n	racionális	but, however
sun	nap	sleep
suny	suny	suny
swahili	szuahéli	swahili
symmetry	szimmetria	ogbooga
sàbúrí	mindenek felett	saburi
sàmì	jel	signalize
sàn	a jobb	flow
sàngó	banda	sango (god of thunder)
sàì	jól	un
sápadè	ezen a napon	run to
sáàpàdé	szponzorálás	saapade
sáààrin	közte	between
são	az új	sao
sèle	lopás	down
ségun	sírni	conquered
sénégal	sperma	senegal
séyìn	vissza	back
séyìn	vissza	at the back of
sìbẹ̀	még	there
sìni	garnélarák	likewise
síbèsíbè	mindazonáltal	further more
síbú	a földre	ocean
sílẹ̀	cserbenhagy	drop
síse	munka	doing
síso	még mindig	spoken
síso	még mindig	saying
síta	kívül	outing
síwon	őket	to them
síwájú	tovább	comes before
síí	itt	on it
sòrò	agymosás	talk
sójà	katona	soldier
sóko	növény	to the farm
sùgbón	ellenkezőleg	but
sọ	mond	lose
si	biztosan	to
síse	szerkezet	performing
sùgbón	ellenkezőleg	but
se	csinálják	do
sepò	végül	cooperation
sisé	dolgozzanak ki	work
sááju	szánj egy percet	before
sísa	s .ía	to be
sísè	fordítás	step
tabi	vagy	or
tabili	asztal	table
tabora	elkerülés	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	korlátok	valiant
talaka	szegény	poor
talika	szegénység	the poor
tara	kilenc	wholly
tata	szűrő	wildly
taínos	tainos	tainos
technology	technológia	tekinoloji
tedo	társkereső	stay
teksas	texas	texas
tele	nyomon követni	before
temptation	keres	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	a	does no directly translate
they	ők	won
those	azok	awon
thumb|left|upright|nelson	hüvelykujj | bal | egyenes | nelson	apa osi naro
tira	feszült	quranic verse
tirana	tirana	tirana
tirè	övé	own
titu	lő	cold (if it's a person's name, it is tutu)
tiwọn	övék	theirs
to	nak nek	it
toje	ritka	that is
tokasi	rámutatott	pointing to
tokyo	tokyo	tokyo
tolerejulo	tolerálható	most profitable
tolórítelémù	holocaust	all manners of people
tomé	paradicsom	tome
tooto	igazán	true
tori	tori	because
torun	barna	heavenly
toseluaralu	politikai	political
tounsejanu	tragikus	control
traduite	traduite	traduite
translated	lefordított	tunmo
tumosi	eszközök	means
tuntun	új	new
tàsí	nélkül	or
tàwon	őket	theirs
táawà	meghajolni	we
tèlé	nyomon követni	before
tètè	gyorsan	quickly
tèlé	azonnal	follow
tèsíwájú	hogy haladást érjünk el	progress
té	t	follow
télè	által	before
té	t	shamed
títi	zárva	till
títèlé	követni	following
títío	amíg	until
tíátà	jegyek	theater
tíórì	gumiabroncsok	that is seen
tò	készlet	enough
tóbi	nagy	big
tódárajùlọ	a legjobb	most beautiful
tókù	pihenés	others
tówùú	bármennyi	whatever
tó	tó	taught
tóka	idézett	pointed
tú	kitölteni	untie
túmò	szilva	means
túnse	átrendezése	restructured
tẹ̀ǹbẹ̀	azután	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	összeesküszik	bitterness
ucb	ucb	ucb
umueri	gyermekek	umueri
unifasiti	egyetemi	university
unla	igen	great
urasílì	uracil	uracil
uribe	az aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	az út	uzbek
venezuela	venezuela	venezuela
vermont	vermont	vermont
victor	győztes	victor
videos	videók	fidio
vihara	vihara	vihara
villa	villa	villa
viruses	vírusok	awon eran
visit	látogatás	ibewo
vz	vz	vz
waa	ez	ours
waju	arc	future
wari	szag	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	witkin	witkin
wiwari	felfedezés	discovered
województwo	cheworddztwo	wojewodztwo
wole	bejelentkezés	into
woo	udvarol	look
wo	itt	enter
wo	itt	look
won	őket	they
wura	arany	gold
wyoming	wyoming	wyoming
wàásù	prédikál	preach
wì	elmos	that
wípè	világosság	that
wòfún	pillantás	convenient
wònyí	ezek	these
wón	őket	they
wúnrèn	edzés	small amount
wọn	őket	they
wọ̀nyí	ezek	these
xd	xd	xd
xiv	xiv	xiv
yafran	ábécé	yafran
yakubu	yakub	yakubu
yan	választ	choose
yanjú	elhatározás	solve
yanturu	bőven	abundant
yaoundé	yaoundé	yaounde
yewo	javulás	examine
ye	igen	suitable
ye	igen	should
yindinyindin	soha ne állj meg	brightly
yio	köteles	will
yiowu	fog	any
yipada	fordulj meg	change
yiyafunnilo	erózió	borrow
yoo	akarat	will
yori	vezette	result
york	york	york
yorúbà	joghurt	yoruba
yo	yo	remove
yànan	csodálkozás	scattered
yàtò	beállít	other than
yára	siess	quickly
yèwò	néz	examine
yée	hagyd őket	eplained to
yì	megy	this
yìí	ez	this
yí	fordulj meg	this
yíyípadà	változás	changed
yíì	fogsz	this
yíò	fog	it will
yẹ̀ẹ́	tudod	check
yọ	eltávolítás	bring out
zanzibar centralsouth	zanzibár központjában	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zi	zy
 bce	el	bce
àbe	pávián	under
àbámẹ́ta	csütörtök	saturday
àbáyo	javaslat	breakthrough
àbìkú	halhatatlanság	'born to die' child
àbọ̀	fél	result
àdámò	magánélet	earmark
àdátá	az ellenkező	adata
àdáátán	kizárólagos	adaatan
àdóolóró	olaj	bomb
àgbàjọ	az öreg ember	assembly
àgbàrá	árvíz	power
àgbáríjọ	szervezet	combination
àgbékà	absztrakt	suitable
àgbéyèwò	felülvizsgálat	examination
àgbìgbò	szomszédság	a type of bird
àgbùdo	udvar	corn
àgọ́	sátor	ago
àifète	célja	unable to keep quiet
àjo	utazás	board
àjákọ	egymástól	ajako
àjọṣepọ̀	szociális	union
àkosílè	absztrakció	written
àkosílè	tézis	written account
àkàrà	sütemények	bean pudding
àká	polcok	store
àkójopò	csoport	collection
àkókó	az idő	previous
àlàkalè	célok	breakdown, explanation of actions
àlàyé	információ	explanation
àlàáfíà	béke	peace
àlááfià	analógia	wellbeing
àlè	fattyú	mistress, concubine, (side booty)
àlèpò	felett	joined together
àlébù	hiba	ills
àmérìkà	természetfölötti	america
àmì	jel	sign
àmúlò	gyakorlati	synonyms
àmúsorò	pszichológia	resources
ànfàní	lehetőség	opportunity
àpapọ̀	mint egész	federal
àpeere	példa	example
àrígbámú	zavaró	assistant
àrùn	betegség	disease
àrẹ	elnök	president
àse	ünnep	authority
àsàjemátèe	hajnal	cunning
àsèyìn	utóhatás	at the end
àsìkò	idő	time
àsótélè	kiterjesztés	prophecy
àsọdọ̀kan	egység	unitary
àsekúdórógbó	ugat	do or die
àsà	egyedi	habit, culture, norm
àtijo	elavult	olden days
àtìpó	az idegen	sojourn
àtòrìnká	körül	urinating while walking
àtúnse	szerkesztés	modification
àtúnse	szerkesztés	renovate, fix
àtẹnudẹ́nu	orális	oral
àwon	elméletek	they
àwón	a pénz	the
àwón	pénz	the
àwùjo	társadalom	community
ààtò	szertartás	suitability
ààyè	élő	space
àárín	középen	middle
àáyá	sperma	seconds
àìkó	hiány	unlearned
àìní	akar	lack
àìròtélè	váratlan	unthought of
àìsí	hiány	lack
án	t	it
áwon	paráználkodás	those
èbà	szúnyogok	cassava flour food
èbúté	kikötő	shore
èdá	teremtés	creature
èdè	nyelv	language
èdè	nyelv	language
èfòn	feszült	efon
èhìn	a következő	outskirt
èka	ág	branch
èkejì	a másik	second
èlò	felszerelés	tool
ènìkan	valami	someone
èràn	betegség	virus
èrò	gondolatok	thoughts
èsó	mecset	modesty
èsúrú	hangyák	yam (indigenous to west africa)
ète	célja	plan
èyì	méltóság	this
èka	hatás	branch
èro	gondolatok	machine
èrí	bizonyíték	witness
èsìn	vallás	religion
èwù	ing	clothe
èpón	nagyon	modifier
ìbarà	láz	ibara (town)
ìbánisòrò	a kapcsolat	dialogue
ìbáraeni	szállítás	to themselves
ìbílè	elsőszülöttségi	local
ìbílè	elsőszülöttségi	local
ìdàgbà	felnőttkor	grow
ìdàpapọ̀	konszolidáció	union
ìdàrúdàpò	káosz	misunderstanding
ìdá	dezertálás	division
ìdìmú	zavarás	branch, part
ìdíisin	ok	idi-isin
ìdíwòn	az okod	criteria
ìdó	fullánk	ido (a person's name)
ìfara	kínvallatás	self
ìfojúìtànìgbesiayé	élettörténet	biography
ìfáàrà	pap	introduction
ìgbonnìbí jé	ez egy katasztrófa	igbonnibi
ìgbà	idő	when
ìgbàgbé	feledékeny	forgetfulness
ìgbá	szárnyak	time
ìgbáraga	erő	pride
ìgbéraga	büszkeség	pride
ìgbésí	élet	life
ìgbò	kos	igbo people
ìhun	vas	things
ìjo	tánc	church
ìjo	a templom	church
ìjoba	kormány	government
ìjora	gyűlöl	resemblance
ìjìnlè	rejtély	comprehensive
ìjìnlè	rejtély	mysterious
ìjò	vezető	consent
ìjọba	kormány	government
ìkejì	a másik	second
ìkànna	ugyanaz	ikanna (town)
ìkèrèkú	torlódás	ikereku
ìkéde	nyilatkozat	advert
ìkìjà	kihívás	ikija
ìkìlò	visszaélés	warning
ìkínin	a hatodik	greetings
ìkẹrin	a negyedik	fourth
ìkọpa	részvétel	ikopa
ìlera	egészség	health
ìlo	hívás	use
ìlà	vázlat	border
ìlànàn	illúzió	procedure
ìlàorùn	zúzódások	east
ìlàìnàró	elnyomás	vertical
ìlè	megvesztegetés	land
ìlé	itthon	land
ìmò	kígyó	knowledge
ìmò	villám	knowledge
ìmóbìdo	az előjog	imobido
ìmú	orr	knowledge
ìmúnilérú	visszaélések	slavery
ìmúsára	erősíteni	contagious
ìnagije	győzelem	alias
ìnáwó	kiadás	expenditure
ìpolongo	hirdető	advertisement
ìpìlẹ̀núkléù	titkosítás	base
ìpìnlè	a kezdet	foundation
ìpínrò	bekezdések	economize
ìrànlọ́wọ́	segítség	help
ìrànàna	segítség	path-clearing
ìràwọ̀	a csillagok	s
ìrí	tapasztalat	sight
ìròkò	gondolat	iroko
ìròyìn	hírek	news
ìròyìnwiki	hírek	wikinews
ìròrùn	illúzió	peaceful
ìró	hang	sound
ìrúbo	összeomlás	sacrifice
ìsawo	jövőbelátás	divinity-practice
ìse	akció	behaviour
ìsinsìnyí	most	modern
ìsirò	számítás	adding
ìsomó	csatlakozni	attachment
ìsàlè	napnyugta	down town
ìsèlè	termelés	happening
ìsìn	vallás	worship
ìsòrò	elmélkedés	speech
ìsòrí	felosztás	chapter
ìsú	vastagság	lump
ìsọ	üzletek	stall
ìse	akció	work
ìsègbèfábo	szorgalom	female support
ìsèdá	teremtés	creation
ìsèjoba	kormány	government
ìsílé	itthon	house opening
ìsòro	nehézség	problem
ìse	akció	action
ìta	kívül	outside
ìtaeko	műhely	outskirts of eko
ìtan	történelem	story
ìtokò	a bankot	story
ìtàn	történelem	history
ìtànkálé	árvizek	spread
ìtèsíwájú	előrehalad	progress
ìtójú	gondoskodás	treatment
ìtóju	zavar	treatment
ìtójú	arckifejezések	treatment
ìtóka	megverték	dictionary
ìtúmò	fordítás	meaning
ìtúpalè	fordítás	exposition
ìwe	összehasonlítás	book
ìwo	szarvak	horn
ìwàásù	prédikáció	sermon
ìwéré	kis könyv	iwere (town)
ìwò	átfogó	set
ìwòran	látomás	viewing
ìwúlò	hasznos	usefulness
ìya	szenvedő	mother
ìyapa	elválasztás	divorce
ìyàwó	a menyasszony	wife
ìyípadà	átalakítás	transformation
ìṣèlú	politika	politics
ìṣẹ́kù	a maradék	broken
ìṣọ̣̀tẹ̣̀	tüdőgyulladás	rebellion
òde	kívül	society
òdeojú	arctalan	surface
òdo	ifjúság	zero
òdìkejì	a másik	opposite
òféàrán	egy kép	a town name
ògbójú	illetékes	brave
ògiri	fal	wall
ògo	dicsőség	glory
ògun	gyógyszer	medicine
ògúndìpẹ̀	porszerű	ogundipe
òjo	hasonló	ojo
òjísé	az orvos	servant
òkèògbún	ezer	oke-ogbun
òkòòkan	egyenként	each
òkú	elhalt	corpse
òkúta	egy kő	stone
òle	háziasszony	lazy
òmiràn	a varázsló	other
òmùàrán	egy kép	omu-aran (town)
òní	ma	today
òotó	igazság	true
òpópóònà	út	highway
òranyàn	kötelező	a must
òrìsà	bálványok	god
òrí	fejezet	top
òrò	agy	word
òsán	dél	afternoon
òsèlú	politikus	politics
òsèré	sportoló	player
òwù	szövet	owu
òṣèlú	politika	politician
òjògbón	esős időjárás	learned person
òkan	egy	heart
òkòòkan	egyenként	each
òpòlopò	sok	many
òré	játszma, meccs	friend
òfò	a következő	sorrowful
òpòlopo	sok	lot of
òré	játszma, meccs	friend
òrò	gondolatok	word
òsà	aranyhal	lagoon
òwó	pénz	hand
òrò	gondolatok	word
òròàjòmó	reggeltől	part of speech
ó	azt	that
óníse	ő egy tervező	stricken
ósírísì	nyál	diverse
ósékú	ő halott	die suddenly
ó	igen	word
ôdún	év	year
únṣẹlẹ̀	földrengés	formed
şe	csinál	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	øːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪkælɪfɔrnjə	not yoruba
ˌæləˈbæmə	betegség	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	nyítás	work
ṣàkóbá	káros	incriminate
ẹdo	tréfa	edo
ẹlẹ́bùn	ajándék	award winner
ẹlẹ́sìn	vallási	religionist
ẹnìkan	egy ember	someone
ẹsẹ	láb	verse
ẹtì	máj	friday
ẹ̀kaawon	beadványok	branch of
ẹ̀kabrítánì	nagybácsi	part of britain
ẹ̀kajuly	lehet	chapter july
ẹ̀kaoṣù	tüskés	month
ẹ̀kasístẹ̀mù	szubjektív	sistemu=system
ẹ̀kẹ́ta	a harmadik	third, the third
ẹ̀kọ́	oktatás	teachings
ẹ̀ni	who	person
ẹ̀rọ	gépezet	machine
ẹ̀wẹ̀	másrészről	leaf
ọbàkàn	féltestvér	step-sister
ọdún	év	year
ọlọ́mọ	gyermekek	members
ọlọ́run	egy isten	god
ọmú	szopsz	breast
ọmọ	gyermek	c
ọn	azt	him
ọpọ́lọpọ́	füge	many
ọ̀dọ́	ifjúság	youth
ọ̀gbìn	növény	seedlings
ọ̀nà	út	ways
ọ̀pòlòpò	akció	various
ọ̀rọ̀	beszélgetés	word
ọ̀sẹ	hét	week
