$ tỉ	$ miljard	$ billion
cốm	nuggets	grilled rice
cống	afvoer	dedicate
cồn	alcohol	i
cồng	gong	gong
cổng	poort	gate
cỗ	dek	engine
cỗi	eigenwijs	barren
cộ	voertuig	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	oud	origin
cộng	plus	to add (v.)
cột	kolom	pole
cớ	excuus	excuse
cờ	vlag	flag
cỡ	grootte	size
cợt	een grapje	"(term should be ""đùa cợt"") to trifle (v.)"
cục	afdeling	department
cụm	tros	cluster
cụp	geamputeerd	down
cụt	geamputeerd	"(should be ""xương cụt"") the tailbone or coccyx"
củ	knollen	a bulb, a botanical term
của	van de	of
củi	brandhout	firewood
củng	ook	reinforce
cứ	aan	any
cức	coo	"(term should be ""cức Đê"") a character in chinese history"
cứng	moeilijk	hard
cứngi	hardi	cungi
cừ	palen	nacre
cừu	lam	sheep
cửa	deur	door
cửu	vermenigvuldigen	nine
cữ	cu	abstinence
cữu	kist	nine
cự	afstand	against
cựa	sporen	retreat
cực	pool	extreme
cựu	voormalig	former
d	d	d.
da	huid	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	moeilijk	persistent
daily	dagelijks	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	da lat	da lat
dampier	vochtiger	(proper noun) dampier, a last name
dan	dan	dan
dancing	dansen	dancing
danger	gevaar	danger
danh	naam	list
daniel	daniel	daniel
dante	dante	dante
dao	mes	poniard
darwin	darwin	darwin
das	das	das
dassault	dassault	(proper noun) dassault
date	datum	date
dau	olie	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	decaan	a name
degree	mate	degree
delhi	delhi	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	demeter	(proper noun) demeter, the greek goddess of the harvest
den	den	den
dennis	dennis	dennis
department	afdeling	departmen
derek	derek	derek
des	des	des
descartes	descartes	descartes
design	dat is kế	thiet ke
deuterium	deuterium	deuterium
deutschland	deutschland	deutschland
dewan	dewan	dewan, as in dewan rakyat
dewitt	dauw	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diana	(proper noun) diana, as in diana ross
die	dood gaan	german
diego	diego	diego
dien	gek	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	paleis	official residence or palace
dionysus	dionysus	dionysus, as in the greek god
discovery	ontdekking	discovery
discussion	discussie	discussion
disneyland	disneyland	disneyland
division	afdeling	division
divoire	divoire	d'lvoire
diêm	wedstrijden	diem vuong
diên	gek	"(term should be ""kinh diên"") canon (n.)"
diềm	valletjes	matches
diều	vlieger	kite
diểu	klucht	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	maart	parade
diệc	reiger	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	gezicht	face to face
diệt	doden	to kill or destroy (v.)
diệu	magie	effective (adj.)
djibouti	djibouti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	door	because of
doanh	gewricht	"(term should be ""kinh doanh"") business (n.)"
doc	doc	doc
docherty	docherty	docherty
dolly	dolly	(proper noun) dolly, as in singer dolly parton
dome	koepel	nha
dominican	dominicaans	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	bedreigend	threat
dp	dp	dp
dracula	dracula	dracula
draft	droogte	draft
drake	mannetjeseend	(proper noun) drake
driver	bestuurder	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	du	travel
dubai	dubai	dubai
duiker	duiker	duiker
duk	duk	duk
dumas	dumas	dumas
dumbledore	perkamentus	dumbledore
dung	mest	portrait
durham	durham	durham
dursley	duffel	dursley
duy	enkel en alleen	only
duyên	voorbestemd	coastal
duyện	ambitieus	fellatio
duyệt	browser	browser
duơng	duong	ocean
duẩn	duan	duan
duật	duat	duat
duệ	afstammelingen	descendants (n.)
duỗi	rechtzetten	stretch
dwight	dwight	dwight
dà	dah	gradually
dài	lang	to lengthen, as in time
dàn	enscenering	to arrange
dàng	gemakkelijk	dang
dành	uitgegeven	for
dào	overvloedig	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	dik	thick
dái	pissen	"penis (n.), although some may use the term to mean ""testicles"""
dám	durven	dare
dán	plakken	stick
dáng	vorm	appearance
dát	ingelegd	inlay
dâm	onzedelijk	lustful (adj.)
dân	mensen	people
dâng	aanbod	dedicate
dây	koord	nerve
dã	wild	chronicle
dãi	toegeeflijk	band
dãn	verwijd	extend
dãy	bereik	a row (n.)
dè	doe voorzichtig	tight
défense	verdediging	defense
dép	sandalen	slipper
dê	geit	goat
dì	tante	aunt
dìu	dìu	to lead by the hand (v.)
dính	kleverig	stick
dò	zoeken	(with word tham) to survey
dòm	kijken	snoop
dòng	actueel	"(term should be ""dòng họ"") family (n.)"
dó	dat	a type of plant used to make paper in vietnam (n.)
dông	onweersbui	a storm (n.)
dõi	spoor	monitor
dù	hoewel	though
dùi	puncher	awl
dùng	gebruik	use
dăm	krullen	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	natuurlijk	why
dĩa	bord	dish
dũng	moedig	courage
dơ	vuil	dirty
dơi	vleermuizen	bat
dư	rest	remnant
dưa	meloenen	melons
dưng	hou op	suddently
dương	positief	penis
dường	lijken	seem
dưỡng	verpleging	feed
dược	apotheek	having to do with medicine (adj.)
dượng	oom	uncle
dạ	ja	night
dại	dwaas	stupid or idiotic (adj.)
dạn	onverschrokken	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	formaat	tyoe
dạo	wandeling	vending
dạt	aangespoeld	to drift
dạy	onderwijzen	teach
dải	strip	range
dấm	azijn	vinegar
dấp	struikelen	shape
dấu	teken	signal
dấy	opwindend	to raise (v.)
dần	geleidelijk	people
dầu	olie	oil
dẫm	stampen	step on
dẫn	gids	to lead
dẫu	hoewel	though
dận	tante	to step on
dậu	haan	rooster
dậy	sta op	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	lood	lead
dằn	ballast	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	aanhoudend	dằng dai= long/endless
dẳng	aanhoudend	persist
dặm	mijl	mile
dặn	besteld	to advise (v.)
dặt	bestellen	conservative
dẹp	plat	pacify
dẹt	vlak	flat
dẻ	kastanjes	chestnut
dẻo	plasticiteit	flexible
dế	krekels	cricket
dền	amarant	beetroot
dể	gemakkelijk	easy
dễ	gemakkelijk	easy
dệt	weven	textile
dị	eigenheid	simple
dịch	vertalen	semen
dịp	gelegenheid	occasion
dịu	zacht	ease
dọa	bedreigend	to threaten or scare (v.)
dọc	verticaal	along
dỏm	geestig	witty
dốc	helling	slope
dối	liggen	lie
dốt	onwetend	stupid or ignorant (adj.)
dồi	overvloedig	"(term should be ""trau dồi"") improve (v.)"
dồn	in het nauw gedreven	accrue
dỗ	coax	dirty
dời	actie	leave
dở	slecht	incomplete
dỡ	lossen	remove
dụ	bijvoorbeeld	example
dục	seks	sexuality
dụng	gebruik	use
dứa	ananas	pineapple
dứt	hou op	to cease
dừa	kokosnoot	coconut (n.)
dừng	hou op	to cease
dữ	gegevens	"(term should be ""giận dữ"") anger (n.)"
dự	geprojecteerd	attend
dựa	gebaseerd	base on
dực	mannetje	dực, as in lê tương dực
dỹ	dỹ	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	earles	earles
eaton	eaton	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	rand	edge
edinburgh	edinburgh	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	editor	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	egypte	egypt
eid	eid	(proper noun) eid
eiffel	eiffel	eiffel
einstein	einstein	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	elektronisch	electronic
eliane	eliane	(proper noun) eliane
elip	ovaal	ellipse
elizabeth	elizabeth	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	ovaal	ellipse
em	u	younger sibling
email	e-mail	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	emir	emir
emmy	emmy	emmy
en	nl	erica reef
energy	energie	energy
engels	engels	engels
england	engeland	(proper noun) england, as in new england
eniac	eniac	eniac
entente	entente	entente
entropy	entropie	entropy
enzym	enzym	enzymes
eo	taille	eo, as in the film captain eo
ep	ep	a name
erich	erich	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	ernest	(proper noun) ernest
eros	eros	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	essentieel	essential
ethernet	ethernet	ethernet
ethiopia	ethiopië	(proper noun) ethiopia
euclid	euclid	euclid
eugene	eugene	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	euro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	europa	europe
european	europese	(proper adjective) european
eva	eva	eva
everton	everton	everton
every	elk	every
exgay	exgay	exgay
explorer	ontdekkingsreiziger	explorer
extensive	uitgebreid	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	feit	fact
facto	facto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	kenmerken	features
federer	federer	federer
feet	voeten	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fiat	fiat
fidel	trouw	fidel
field	veld-	field
fifa	fifa	fifa
fifpro	fifpro	fifpro
figo	figo	figo
fiji	fiji	fiji
finish	af hebben	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	fischer	fischer, as in louis fischer
fish	vis	fish
fishbed	visbed	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	vlaming	fleming
flight	vlucht	flight
foch	foch	(proper noun) foch
focus	focus	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	eten	food
football	amerikaans voetbal	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	doorwaadbare plaats	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	vorken	forks
foundation	fundament	foundation
fox	vos	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	frank	franc
france	frankrijk	france
frances	frances	frances
francis	francis	francis, as in francis xavier
francisco	francisco	francisco
franco	franco	franco
frank	openhartig	frank
frankfurt	frankfurt	(proper noun) frankfurt
franklin	franklin	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	freud	(proper noun) freud, as in sigmund freud
friedman	friedman	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	funimatie	(proper noun) funimation
funk	funk	funk
futsal	zaalvoetbal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarin	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	gram	gam
gambia	gambia	gambia
gamow	gamow	a name
gan	lever	liver
gandhi	gandhi	gandhi, as in mahatma gandhi
gang	bende	cast iron
ganh	jaloers	to be jealous
gao	rijst-	strictly
gareth	gareth	a name
garrett	garrett	garrett
gary	gary	gary
gascon	gascon	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	homo	tense
gaza	gaza	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	bbp	gdp
geisha	geisha	geisha
gen	genen	gene
gene	gen	(proper noun) gene, an english first name
genesis	genesis	(proper noun) genesis
georg	georg	(proper noun) georg
george	george	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	duitse	german
germany	duitsland	germany
gerrard	gerrard	gerrard, a last name
ghana	ghana	(proper noun) the african country of ghana
ghe	boot	canoe
ghen	jaloers	to be jealous (v.)
ghi	schrijf de	write
ghim	pin	pin
ghé	hou op	visit
ghép	enten	fit
ghê	verschrikking	disgust
ghì	ghì	tighten
ghẻ	schurft	scabies (n.)
ghế	stoel	chair
ghề	stroomversnellingen	scabby
ghềnh	stroomversnellingen	waterfall (n.)
gia	gia	date
giai	stadium	period
giam	gevangenis	imprison
gian	ruimte	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	gibraltar	(proper noun) gibraltar
gichin	gichin	gichin
gieo	zeug	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	wormen	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	gizeh	giza
già	oud	old (adj.)
giàn	truss	"(term should be ""giàn hoa"") a trellis girder"
giành	gretig	secure
giàu	rijk	rich or wealthy (adj.)
giày	schoenen	a shoe
giá	prijs	estimate
giám	regisseur	"(term should be ""giám sát"") to supervise (v.)"
gián	kakkerlakken	"(term should be ""gián tiếp"") indirectly"
giây	seconden	seconds
giã	beukende	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	uitrekken	stretch
gièm	tegenstanders	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	jezus	jesus
giêxu	nexus	jesus
giò	loempia&#39;s	leg
giòi	maden	maggot (n.)
giòn	knapperig	crunchy or crispy (adj.)
gió	wind	wind
gióng	leuk vinden	align
giúp	helpen	help
giũa	het dossier	sharpen
giơ	vastlopen	raise
giương	affakkelen	posture
giường	bed	bed
giả	nep	fake (adj.)
giải	oplossing	solution
giảm	vermindering	decrease
giản	vereenvoudigd	"(term should be ""giản dị"") simple (adj.)"
giấc	slaap	giấc ngủ= the sleep
giấm	azijn	drabble
giấu	zich verstoppen	hide
giấy	papier	paper
giầu	rijk	rich
giận	boos	angry
giằng	verkwikkende	pull
giặc	vijand	enemy
giặt	wassen	to wash (n.)
giếng	goed	well
giết	doden	kill
giềng	buurman	"(term should be ""láng giềng"") neighboring"
giễu	belachelijk maken	ridicule
giọng	toon	tone
giọt	laten vallen	drop
giỏ	mand	basket
giỏi	super goed	good
giồng	giong	mound
giỗ	sterfdag	anniversaries of deaths
giới	geslacht	gender
giờ	uren	bao giờ=ever
giở	flash	to open or unfold (v.)
giỡn	een grapje	joke
giục	aangedrongen	urge
giữ	houden	hold
giữa	tussen	between
gladys	gladys	gladys
glazer	glazer	glazer
glonass	glonass	glonass
gloria	gloria	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	glucose	glucose
gmail	gmail	gmail
gnp	b.n.p	gnp
go	gaan	"(term should be ""gay go"") tense"
goes	gaat	goes
goku	goku	goku
golden	gouden	golden
gom	verzamelen	to gather (v.)
google	google	google
gorbachev	gorbachev	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	gore	gore
gorky	gorky	gorky, as in gorky park
gothic	gotisch	gothic
gottfried	gottfried	gottfried
grabeel	grabeel	grabeel, a last name
graham	graham	graham
granada	granada	granada
granit	graniet	granite
greek	grieks	(proper noun) greek
greenland	groenland	greenland
greenson	greenson	(proper noun) greenson
greenwich	greenwich	(proper noun) greenwich
greg	greg	greg
grenada	grenada	grenada
grenadines	grenadines	grenadines
gross	bruto	gross
grumman	grumman	(proper noun) grumman
gruzia	georgië	gruzia
gryffindor	gryffindor	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	stijl	gu
guam	guam	guam
guard	bewaker	guard
guatemala	guatemala	guatemala
gui	gui	gui
guinea	guinea	guinea
guinness	guinness	(proper noun) guinness
guitar	gitaar	guitar
gujarat	gujarat	gujarat
gulag	goelag	gulag
gulf	golf	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	guyana	guyana; proper noun
gà	kip	chicken
gài	plooi	to fasten (v.)
gào	schreeuwde	"(term should be ""thét gào"") to cry out (v.)"
gác	bewaker	guard
gái	meisje	girl
gán	toewijzen	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	dragen	hold
gáy	nek	crow
gân	dichtbij	tendon
gây	oorzaak	make
gãy	gebroken	break
gì	wat	what
gìn	behouden	preserve
gò	heuvel	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	weduwe	widowed
góc	hoek	angle
gói	pakket	goi
góp	termijn	to contribute
gót	hiel-	heels
gõ	type	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	schat	poniard
găng	handschoenen	gloves
gũi	dichtbij	close
gươm	zwaard	sword
gương	spiegel	mirror
gạc	gaas	johnson south reef
gạo	rijst-	rice
gạt	opgelicht	to cheat or trick (v.)
gả	huwelijk	marry
gảy	breken	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	brokaat	brocade
gấp	haast je	times, as in many times
gấu	de beer	a bear (n.)
gần	in de buurt van de	near
gầy	dun	thin
gẫy	gebroken	break
gập	vouwen	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	stok	stick
gắm	scheet	send
gắn	gemonteerd	mount
gắng	proberen	try
gắt	hard	intense
gặm	knagen	rodent
gặp	ontmoeten	meet
gặt	oogsten	harvest
gỉ	roestig	rust
gọi	bellen	call
gọn	netjes	neat (adj.)
gọng	omrand	gong
gọt	pel	cut
gỏi	salade	a vietnamese salad
gốc	oorsprong	origin (n.)
gối	hoofdkussen	"(should be ""qùy gối"") to kneel"
gốm	keramiek	pottery
gồm	inclusief	include
gồng	gong	carry
gỗ	het hout	wood
gội	shampoo	shampoo
gộp	samenvoegen	aggregate
gớm	afschuwelijk	tremendous
gờ	richel	edge
gởi	sturen	send
gỡ	lossen	meet
gợi	suggestief	to evoke (v.)
gục	beneden	"(term should be ""đánh gục"") crush, as in battle"
gừng	gember	ginger
gửi	versturen	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	twee	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	halogeen	halogen (n.)
ham	ham	desire
hamilton	hamilton	(proper noun) hamilton
han	han	han
hang	grot	cave
hangul	hangul	hangul
hanh	hanh	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	winterhard	hardy
harlem	harlem	harlem
harlow	harlow	harlow
harold	harold	(proper noun) harold
harper	harper	harper
harpercollins	harpercollins	hapercollins
harrier	kiekendief	harrier, as in harrier jump jet
harris	harris	harris
harry	harry	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havana	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	venter	hawker
hawking	hawking	(proper noun) hawking, as in physicist stephen hawking
hay	goed	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	hij	he, a korean name
health	gezondheid	health
heath	heide	heath
hee	hee	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrich	heinrich
helen	helen	helen
helena	helena	helena
heli	helium	helium
hematocrit	hematocriet	hematocrit
hemoglobin	hemoglobine	hemoglobin
hen	kip	asthma
henry	henry	(proper noun) henry, as in henry kissinger
heo	muf	dolphin
her	haar	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	hercules	hercules
hermann	hermann	hermann
hermes	hermes	hermes
hersh	hersh	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	hestia	hestia
hi	hoi	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	hicks	hicks
hideto	verborgen	(proper noun) hideto
hideyoshi	hideyoshi	(proper noun) hideyoshi
hidro	waterstof	hydrogen
hillsborough	hillsborough	hillsborough
hilton	hilton	hilton
himalaya	himalaya	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hindoe	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hiroshima	(proper noun) hiroshima, the japanese city
hitchcock	hitchcock	hitchcock
hitler	hitler	hitler
hitter	slagman	hitter
hitters	slagmensen	hitters
hiên	veranda	(proper noun) hiên, a vietnamese first name
hiđrô	waterstof	hydrogen
hiếm	bijzonder	rare
hiến	geven	devote
hiếp	verkrachting	rape
hiếu	kinderlijke vroomheid	pious
hiềm	ziek	grudge
hiền	salie	sage
hiểm	gevaarlijk	dangerous
hiểu	begrijpen	learn
hiện	opdagen	"(term should be ""thực hiện"") to accomplish"
hiệp	voor de helft	united
hiệu	effect	effective
hlv	trainer	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	bloem	flower
hoan	festival	welcome
hogwarts	zweinstein	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	holocaust	holocause
holocen	holoceen	holocen
holt	holt	holt, an english last name
hom	stekken	a cutting
homer	homerus	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	horzel	hornet
hotspur	hotspur	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	echter	however
hoà	stropdas	peace
hoài	nostalgisch	always (adv.)
hoàn	compleet	"(term should be ""hoàn toàn"") completely"
hoàng	koning	royal (adj.)
hoành	diafragma	rife
hoá	chemie	"(term should be ""văn hoá"") culture (n.)"
hoán	permanent	refined (adj.)
hoãn	ze eten	delay
hoạ	verf	disaster (tham hoa)
hoại	gangreen	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	hentai	work
hoả	brand	of
hoảng	paniek	panic-stricken (adj.)
hoặc	of	or
hp	hp	hp
hq	hq	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	huey	huey
hughes	hughes	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	hongarije	hungary
hunt	jacht	hunt
hurley	hurley	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	husserl	huserl
huston	huston	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	broer	older brother
huyền	mystiek	huyền thoại= legend
huyễn	denkbeeldig	huyen
huyện	wijk	district
huyệt	acupunctuurpunten	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	tint	"a less common vietnamese word for ""flower"""
huấn	opleiding	"(term should be ""huận luyện"") to train (v.)"
huế	tint	hue
huệ	tint	favour
huống	geval	situation
huỳnh	zwavel	sulfur
huỷ	annuleer	destroy
hydra	hydra	hydra, a monster in greek mythology
hydro	waterstof	hydrogen
hyperion	hyperion	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	komedie	corpse
hàm	kaak	"(term should be ""bao hàm"") to imply (v.)"
hàng	rij	row
hào	gracht	depreciation
hách	aanmatigend	glorious
hái	kiezen	picking
hán	droogte	china
háo	gretig	eager
hát	zingen	song
hâm	gek	"(term should be ""hâm mộ"") to admire (v.)"
hân	han	le ngoc han
hãi	bang	to be scared (v.)
hãn	khan	to sweat (v.)
hãng	de firma	a company (n.)
hãnh	trots	proud
hè	zomer	summer
hé	gekraakt	reveal
héo	verdorren	dried-out
hét	roepen	shout
hên	lucky	luck
hí	ne	game
hít	ademen	act of kissing (hon hit)
hò	dating	date
hòa	stropdas	republic
hòe	shit	hoe
hòm	ark	box
hòn	eiland	island
hòng	goed	in order to
hóc	hóc	a corner (n.)
hót	zingen	to chirp or sing (v.)
hô	ho	respiration
hôi	vals	stink
hôm	dag	day (n.)
hôn	kus	propose
hông	heup	hip
hù	laten schrikken	threaten
hùng	helden	hero
húc	gore	huc
húng	inspiratie	"(should be ""húng láng"") water mint"
hút	roken	to suck (v.)
hăng	scherp	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	potten	jar
hơi	een klein beetje	slightly
hơn	dan	more or less
hư	slecht	fictional
hưu	gepensioneerd	huu
hương	wierook	smell
hước	humoristisch	humor
hướng	richting	trend
hường	huong	huong
hưởng	genieten	influence
hạ	zomer	lower
hạc	flamingo&#39;s	crane
hạch	ganglion	ganglion
hại	kwaad	harm
hạng	klasse	rank
hạnh	hanh	happy
hạo	hao	hao
hạp	hap	hap
hạt	zaad	seed
hải	douane	two
hảo	perfect	perfect
hấn	hấn	aggressive gesture
hất	gooien	toss
hấu	watermeloen	"(term should be ""dưa hấu"") watermelon"
hầm	tunnel	ham
hầu	bijna	most
hận	een hekel hebben aan	hatred
hậu	koningin	anus
hắc	zwart	black
hắn	hem	he (n.)
hắt	niezen	reject
hằng	constante	every
hặc	hặc	to criticize (v.)
hẹ	sjalotten	chinese chives
hẹp	smal	narrow
hẻm	steeg	alley (n.)
hẻo	afgelegen	outback
hến	mosselen	mussel
hết	over-	most
hề	clown	"(term should be ""không hề"") never"
hễ	eh	whenever
hệ	systeem	relation
hệt	identiek	exactly
hỉ	blazen	happy
hịch	plof	a proclamation
họ	achternaam	they (n.)
họa	kunst	picture
họach	plan	"(term should be ""quy hoạch"") a project (n.)"
học	leren	study (v.)
họng	keel	throat
họp	vergadering	meet
hỏa	brand	fire
hỏng	gebroken	corruption
hố	pit	hole
hốc	niches	cavity
hồ	meer	ho
hồi	anijs	muslim
hồn	ziel	soul
hổ	tijger	tiger
hổi	huh	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	gapend	hole
hỗ	ondersteuning	"(should be ""hỗ trợ"") to support or assist"
hỗn	gemengd	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	festival	society
hộp	doos	box
hới	open	hoi
hớn	schreeuwden	"(term should be ""hớn hở"") radiant (adj.)"
hờn	nukkig	hatred
hở	open	reveal
hỡi	oi	dear
hợi	varken	pig (n.)
hợp	goed geschikt	appropriate
hợpquận	toestemming	general district
hụt	tekort	loss
hủi	melaatse	reject
hủy	annuleer	to erase or destroy
