$ tỉ	miljarder dollar	$ billion
cớ	ursäkt	excuse
cờ	flagga	flag
cỡ	storlek	size
cợt	skojar	"(term should be ""đùa cợt"") to trifle (v.)"
cục	avdelning	department
cụm	klunga	cluster
cụp	amputerat	down
cụt	amputerat	"(should be ""xương cụt"") the tailbone or coccyx"
củ	knölar	a bulb, a botanical term
của	av	of
củi	ved	firewood
củng	också	reinforce
cứ	på	any
cức	kuttra	"(term should be ""cức Đê"") a character in chinese history"
cứng	hård	hard
cứngi	hardi	cungi
cừ	poler	nacre
cừu	lamm	sheep
cửa	dörr	door
cửu	multiplicera	nine
cữ	cu	abstinence
cữu	skrin	nine
cự	distans	against
cựa	sporrar	retreat
cực	pol	extreme
cựu	före detta	former
d	d	d.
da	hud	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	tuff	persistent
daily	dagligen	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	da lat	da lat
dampier	dampier	(proper noun) dampier, a last name
dan	dan	dan
dancing	dans	dancing
danger	fara	danger
danh	namn	list
daniel	daniel	daniel
dante	dante	dante
dao	kniv	poniard
darwin	darwin	darwin
das	das	das
dassault	dassault	(proper noun) dassault
date	datum	date
dau	olja	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	dekanus	a name
degree	grad	degree
delhi	delhi	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	demeter	(proper noun) demeter, the greek goddess of the harvest
den	håla	den
dennis	dennis	dennis
department	avdelning	departmen
derek	derek	derek
des	des	des
descartes	descartes	descartes
design	thiết kế	thiet ke
deuterium	deuterium	deuterium
deutschland	deutschland	deutschland
dewan	dewan	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diana	(proper noun) diana, as in diana ross
die	dö	german
diego	diego	diego
dien	galen	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	palats	official residence or palace
dionysus	dionysus	dionysus, as in the greek god
discovery	upptäckt	discovery
discussion	diskussion	discussion
disneyland	disney	disneyland
division	division	division
divoire	divoire	d'lvoire
diêm	tändstickor	diem vuong
diên	galen	"(term should be ""kinh diên"") canon (n.)"
diềm	kappor	matches
diều	drake	kite
diểu	fars	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	mars	parade
diệc	häger	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	ansikte	face to face
diệt	döda	to kill or destroy (v.)
diệu	magi	effective (adj.)
djibouti	djibouti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	förbi	because of
doanh	gemensam	"(term should be ""kinh doanh"") business (n.)"
doc	doc	doc
docherty	docherty	docherty
dolly	dolly	(proper noun) dolly, as in singer dolly parton
dome	kupol	nha
dominican	dominikanska	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	hotfull	threat
dp	dp	dp
dracula	dracula	dracula
draft	förslag	draft
drake	ankbonde	(proper noun) drake
driver	förare	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	du	travel
dubai	dubai	dubai
duiker	duiker	duiker
duk	duk	duk
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore
dung	dynga	portrait
durham	durham	durham
dursley	dursley	dursley
duy	endast	only
duyên	predestinerade	coastal
duyện	blivande	fellatio
duyệt	webbläsare	browser
duơng	duong	ocean
duẩn	duan	duan
duật	duat	duat
duệ	ättlingar	descendants (n.)
duỗi	räta ut	stretch
dwight	dwight	dwight
dà	dah	gradually
dài	lång	to lengthen, as in time
dàn	iscensättning	to arrange
dàng	lätt	dang
dành	bringade	for
dào	riklig	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	tjock	thick
dái	piss	"penis (n.), although some may use the term to mean ""testicles"""
dám	våga	dare
dán	klistra	stick
dáng	form	appearance
dát	inläggningar	inlay
dâm	oanständig	lustful (adj.)
dân	människor	people
dâng	erbjudande	dedicate
dây	sladd	nerve
dã	vild	chronicle
dãi	tolerant	band
dãn	dilaterad	extend
dãy	räckvidd	a row (n.)
dè	var försiktig	tight
défense	försvar	defense
dép	sandaler	slipper
dê	get	goat
dì	moster	aunt
dìu	diu	to lead by the hand (v.)
dính	klibbig	stick
dò	sök	(with word tham) to survey
dòm	se	snoop
dòng	nuvarande	"(term should be ""dòng họ"") family (n.)"
dó	det där	a type of plant used to make paper in vietnam (n.)
dông	åskväder	a storm (n.)
dõi	spår	monitor
dù	fastän	though
dùi	lagare	awl
dùng	använda sig av	use
dăm	spån	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	självklart	why
dĩa	tallrik	dish
dũng	tapper	courage
dơ	smutsig	dirty
dơi	fladdermöss	bat
dư	resterande	remnant
dưa	meloner	melons
dưng	sluta	suddently
dương	positiv	penis
dường	verka	seem
dưỡng	amning	feed
dược	apotek	having to do with medicine (adj.)
dượng	farbror	uncle
dạ	ja	night
dại	dåraktig	stupid or idiotic (adj.)
dạn	orädd	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	formatera	tyoe
dạo	promenad	vending
dạt	tvättas upp	to drift
dạy	lära	teach
dải	remsa	range
dấm	vinäger	vinegar
dấp	snubbla	shape
dấu	tecken	signal
dấy	upphetsande	to raise (v.)
dần	gradvis	people
dầu	olja	oil
dẫm	stampa	step on
dẫn	guide	to lead
dẫu	fastän	though
dận	moster	to step on
dậu	tupp	rooster
dậy	gå upp	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	leda	lead
dằn	ballast	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	beständig	dằng dai= long/endless
dẳng	beständig	persist
dặm	mile	mile
dặn	beordrade	to advise (v.)
dặt	ordning	conservative
dẹp	platta ut	pacify
dẹt	platt	flat
dẻ	kastanjer	chestnut
dẻo	formbarhet	flexible
dế	syrsor	cricket
dền	amarant	beetroot
dể	lätt	easy
dễ	lätt	easy
dệt	vävning	textile
dị	säregenhet	simple
dịch	översätt	semen
dịp	tillfälle	occasion
dịu	fyllig	ease
dọa	hotfull	to threaten or scare (v.)
dọc	vertikal	along
dỏm	kvick	witty
dốc	backe	slope
dối	lögn	lie
dốt	okunnig	stupid or ignorant (adj.)
dồi	riklig	"(term should be ""trau dồi"") improve (v.)"
dồn	hörn	accrue
dỗ	lirka	dirty
dời	flytta	leave
dở	dålig	incomplete
dỡ	avlastning	remove
dụ	till exempel	example
dục	sex	sexuality
dụng	använda sig av	use
dứa	ananas	pineapple
dứt	sluta	to cease
dừa	kokos	coconut (n.)
dừng	sluta	to cease
dữ	data	"(term should be ""giận dữ"") anger (n.)"
dự	projicerade	attend
dựa	baserad	base on
dực	manlig	dực, as in lê tương dực
dỹ	dy	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	earles	earles
eaton	eaton	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	kant	edge
edinburgh	edinburgh	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	redaktör	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	ees	eea
efron	efron	efron, as in zac efron
egypt	egypten	egypt
eid	eid	(proper noun) eid
eiffel	eiffel	eiffel
einstein	einstein	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	elektronisk	electronic
eliane	eliane	(proper noun) eliane
elip	ellips	ellipse
elizabeth	elizabeth	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	ellips	ellipse
em	du	younger sibling
email	e-post	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	emir	emir
emmy	emmy	emmy
en	sv	erica reef
energy	energi	energy
engels	engels	engels
england	england	(proper noun) england, as in new england
eniac	eniac	eniac
entente	entente	entente
entropy	entropi	entropy
enzym	enzym	enzymes
eo	midja	eo, as in the film captain eo
ep	ep	a name
erich	erich	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	ernest	(proper noun) ernest
eros	eros	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	grundläggande	essential
ethernet	ethernet	ethernet
ethiopia	etiopien	(proper noun) ethiopia
euclid	euclid	euclid
eugene	eugene	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	euro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	europa	europe
european	europeisk	(proper adjective) european
eva	eva	eva
everton	everton	everton
every	varje	every
exgay	exgay	exgay
explorer	explorer	explorer
extensive	omfattande	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	faktum	fact
facto	facto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	funktioner	features
federer	federer	federer
feet	fötter	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fiat	fiat
fidel	fidel	fidel
field	fält	field
fifa	fifa	fifa
fifpro	fifpro	fifpro
figo	figo	figo
fiji	fiji	fiji
finish	avsluta	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	fischer	fischer, as in louis fischer
fish	fisk	fish
fishbed	fishbed	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	fleming	fleming
flight	flyg	flight
foch	foch	(proper noun) foch
focus	fokus	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	mat	food
football	fotboll	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	vadställe	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	gafflar	forks
foundation	fundament	foundation
fox	räv	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	franc	franc
france	frankrike	france
frances	frances	frances
francis	francis	francis, as in francis xavier
francisco	francisco	francisco
franco	franco	franco
frank	frank	frank
frankfurt	frankfurt	(proper noun) frankfurt
franklin	franklin	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	freud	(proper noun) freud, as in sigmund freud
friedman	friedman	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	funimation	(proper noun) funimation
funk	funk	funk
futsal	futsal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarin	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	gram	gam
gambia	gambia	gambia
gamow	gamow	a name
gan	lever	liver
gandhi	gandhi	gandhi, as in mahatma gandhi
gang	gäng	cast iron
ganh	svartsjuk	to be jealous
gao	ris	strictly
gareth	gareth	a name
garrett	garrett	garrett
gary	gary	gary
gascon	gascon	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	gay	tense
gaza	gaza	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	geisha	geisha
gen	gener	gene
gene	gen	(proper noun) gene, an english first name
genesis	genes	(proper noun) genesis
georg	georg	(proper noun) georg
george	george	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	tysk	german
germany	tyskland	germany
gerrard	gerrard	gerrard, a last name
ghana	ghana	(proper noun) the african country of ghana
ghe	båt	canoe
ghen	svartsjuk	to be jealous (v.)
ghi	skriv	write
ghim	stift	pin
ghé	sluta	visit
ghép	ympa	fit
ghê	skräck	disgust
ghì	ghi	tighten
ghẻ	skabb	scabies (n.)
ghế	stol	chair
ghề	fors	scabby
ghềnh	fors	waterfall (n.)
gia	gia	date
giai	skede	period
giam	fängelse	imprison
gian	plats	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	gibraltar	(proper noun) gibraltar
gichin	gichin	gichin
gieo	sugga	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	maskar	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	giza	giza
già	gammal	old (adj.)
giàn	truss	"(term should be ""giàn hoa"") a trellis girder"
giành	ivrigt	secure
giàu	rik	rich or wealthy (adj.)
giày	skor	a shoe
giá	pris	estimate
giám	direktör	"(term should be ""giám sát"") to supervise (v.)"
gián	kackerlackor	"(term should be ""gián tiếp"") indirectly"
giây	sekunder	seconds
giã	bultande	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	sträcka	stretch
gièm	belackare	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	jesus	jesus
giêxu	nexus	jesus
giò	vårrullar	leg
giòi	fluglarver	maggot (n.)
giòn	knaprig	crunchy or crispy (adj.)
gió	vind	wind
gióng	tycka om	align
giúp	hjälp	help
giũa	fil	sharpen
giơ	fastna	raise
giương	fackling	posture
giường	säng	bed
giả	falsk	fake (adj.)
giải	lösning	solution
giảm	minskning	decrease
giản	förenklad	"(term should be ""giản dị"") simple (adj.)"
giấc	sova	giấc ngủ= the sleep
giấm	vinäger	drabble
giấu	dölj	hide
giấy	papper	paper
giầu	rik	rich
giận	arg	angry
giằng	uppiggande	pull
giặc	fiende	enemy
giặt	tvätta	to wash (n.)
giếng	väl	well
giết	döda	kill
giềng	granne	"(term should be ""láng giềng"") neighboring"
giễu	förlöjliga	ridicule
giọng	tona	tone
giọt	släppa	drop
giỏ	korg	basket
giỏi	bra	good
giồng	giong	mound
giỗ	dödsdag	anniversaries of deaths
giới	kön	gender
giờ	timmar	bao giờ=ever
giở	blixt	to open or unfold (v.)
giỡn	skojar	joke
giục	manade	urge
giữ	håll	hold
giữa	mellan	between
gladys	gladys	gladys
glazer	glazer	glazer
glonass	glonass	glonass
gloria	gloria	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	glukos	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	gå	"(term should be ""gay go"") tense"
goes	går	goes
goku	goku	goku
golden	gyllene	golden
gom	samla	to gather (v.)
google	google	google
gorbachev	gorbachev	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	levrat blod	gore
gorky	gorky	gorky, as in gorky park
gothic	gotik	gothic
gottfried	gottfried	gottfried
grabeel	grabeel	grabeel, a last name
graham	graham	graham
granada	granada	granada
granit	granit	granite
greek	grekisk	(proper noun) greek
greenland	grönland	greenland
greenson	greenson	(proper noun) greenson
greenwich	greenwich	(proper noun) greenwich
greg	greg	greg
grenada	grenada	grenada
grenadines	grenadines	grenadines
gross	äckligt	gross
grumman	grumman	(proper noun) grumman
gruzia	georgien	gruzia
gryffindor	gryffindor	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	stil	gu
guam	guam	guam
guard	vakt	guard
guatemala	guatemala	guatemala
gui	gui	gui
guinea	guinea	guinea
guinness	guinness	(proper noun) guinness
guitar	gitarr	guitar
gujarat	gujarat	gujarat
gulag	gulag	gulag
gulf	golf	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	guyana	guyana; proper noun
gà	kyckling	chicken
gài	stoppa	to fasten (v.)
gào	skrek	"(term should be ""thét gào"") to cry out (v.)"
gác	vakt	guard
gái	flicka	girl
gán	tilldela	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	bära	hold
gáy	nacke	crow
gân	stänga	tendon
gây	orsak	make
gãy	bruten	break
gì	vad	what
gìn	bevara	preserve
gò	kulle	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	änka	widowed
góc	hörn	angle
gói	paket	goi
góp	avbetalning	to contribute
gót	häl	heels
gõ	typ	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	hamstra	poniard
găng	handskar	gloves
gũi	stänga	close
gươm	svärd	sword
gương	spegel	mirror
gạc	flor	johnson south reef
gạo	ris	rice
gạt	lurad	to cheat or trick (v.)
gả	äktenskap	marry
gảy	ha sönder	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	brokad	brocade
gấp	skynda	times, as in many times
gấu	björnen	a bear (n.)
gần	nära	near
gầy	tunn	thin
gẫy	bruten	break
gập	vika ihop	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	pinne	stick
gắm	fisa	send
gắn	monterad	mount
gắng	prova	try
gắt	hårt	intense
gặm	gnaga	rodent
gặp	träffa	meet
gặt	att skörda	harvest
gỉ	rostig	rust
gọi	ringa upp	call
gọn	propert	neat (adj.)
gọng	kantad	gong
gọt	skal	cut
gỏi	sallad	a vietnamese salad
gốc	ursprung	origin (n.)
gối	kudde	"(should be ""qùy gối"") to kneel"
gốm	keramisk	pottery
gồm	inklusive	include
gồng	gong	carry
gỗ	skogen	wood
gội	schampo	shampoo
gộp	sammanfoga	aggregate
gớm	otäck	tremendous
gờ	avsats	edge
gởi	skicka	send
gỡ	lasta av	meet
gợi	suggestiv	to evoke (v.)
gục	ner	"(term should be ""đánh gục"") crush, as in battle"
gừng	ingefära	ginger
gửi	att skicka	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	två	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	halogen	halogen (n.)
ham	skinka	desire
hamilton	hamilton	(proper noun) hamilton
han	han	han
hang	grotta	cave
hangul	hangul	hangul
hanh	hanh	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	härdig	hardy
harlem	harlem	harlem
harlow	harlow	harlow
harold	harold	(proper noun) harold
harper	harper	harper
harpercollins	harpercollins	hapercollins
harrier	kärrhök	harrier, as in harrier jump jet
harris	harris	harris
harry	harry	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havana	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	hawker	hawker
hawking	hawking	(proper noun) hawking, as in physicist stephen hawking
hay	bra	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	han	he, a korean name
health	hälsa	health
heath	hed	heath
hee	hee	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrich	heinrich
helen	helen	helen
helena	helena	helena
heli	helium	helium
hematocrit	hematokrit	hematocrit
hemoglobin	hemoglobin	hemoglobin
hen	höna	asthma
henry	henry	(proper noun) henry, as in henry kissinger
heo	unken	dolphin
her	henne	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	hercules	hercules
hermann	hermann	hermann
hermes	hermes	hermes
hersh	hersh	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	hestia	hestia
hi	hej	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	hicks	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoshi	(proper noun) hideyoshi
hidro	väte	hydrogen
hillsborough	hillsborough	hillsborough
hilton	hilton	hilton
himalaya	himalaya	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hindu	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hiroshima	(proper noun) hiroshima, the japanese city
hitchcock	hitchcock	hitchcock
hitler	hitler	hitler
hitter	torped	hitter
hitters	hitters	hitters
hiên	veranda	(proper noun) hiên, a vietnamese first name
hiđrô	väte	hydrogen
hiếm	sällsynt	rare
hiến	ge	devote
hiếp	våldta	rape
hiếu	filial fromhet	pious
hiềm	sjuk	grudge
hiền	salvia	sage
hiểm	farlig	dangerous
hiểu	förstå	learn
hiện	dyka upp	"(term should be ""thực hiện"") to accomplish"
hiệp	halv	united
hiệu	effekt	effective
hlv	tränare	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	blomma	flower
hoan	festival	welcome
hogwarts	hogwarts	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	förintelse	holocause
holocen	holocene	holocen
holt	holt	holt, an english last name
hom	sticklingar	a cutting
homer	homer	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	bålgeting	hornet
hotspur	hotspur	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	i alla fall	however
hoà	slips	peace
hoài	nostalgisk	always (adv.)
hoàn	komplett	"(term should be ""hoàn toàn"") completely"
hoàng	kung	royal (adj.)
hoành	diafragman	rife
hoá	kemi	"(term should be ""văn hoá"") culture (n.)"
hoán	perm	refined (adj.)
hoãn	de äter	delay
hoạ	måla	disaster (tham hoa)
hoại	gangrän	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	hentai	work
hoả	brand	of
hoảng	panik	panic-stricken (adj.)
hoặc	eller	or
hp	hk	hp
hq	hq	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	huey	huey
hughes	hughes	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	ungern	hungary
hunt	jaga	hunt
hurley	hurley	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	husserl	huserl
huston	huston	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	bror	older brother
huyền	mystisk	huyền thoại= legend
huyễn	illusorisk	huyen
huyện	distrikt	district
huyệt	akupunkturpunkter	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	nyans	"a less common vietnamese word for ""flower"""
huấn	träning	"(term should be ""huận luyện"") to train (v.)"
huế	nyans	hue
huệ	nyans	favour
huống	fall	situation
huỳnh	svavel	sulfur
huỷ	annullera	destroy
hydra	hydra	hydra, a monster in greek mythology
hydro	väte	hydrogen
hyperion	hyperion	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	komedi	corpse
hàm	käke	"(term should be ""bao hàm"") to imply (v.)"
hàng	rad	row
hào	vallgrav	depreciation
hách	högdragen	glorious
hái	plocka	picking
hán	torka	china
háo	ivrig	eager
hát	sjunga	song
hâm	galen	"(term should be ""hâm mộ"") to admire (v.)"
hân	han	le ngoc han
hãi	rädd	to be scared (v.)
hãn	khan	to sweat (v.)
hãng	firman	a company (n.)
hãnh	stolt	proud
hè	sommar	summer
hé	började skratta	reveal
héo	vissna	dried-out
hét	skrika	shout
hên	tur-	luck
hí	ne	game
hít	andas	act of kissing (hon hit)
hò	dating	date
hòa	slips	republic
hòe	skit	hoe
hòm	ark	box
hòn	ö	island
hòng	väl	in order to
hóc	hoc	a corner (n.)
hót	sjunga	to chirp or sing (v.)
hô	ho	respiration
hôi	ojust spel	stink
hôm	dag	day (n.)
hôn	kyss	propose
hông	höft	hip
hù	skrämma	threaten
hùng	hjältar	hero
húc	levrat blod	huc
húng	inspiration	"(should be ""húng láng"") water mint"
hút	rökning	to suck (v.)
hăng	skarp	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	burkar	jar
hơi	lite grann	slightly
hơn	än	more or less
hư	dålig	fictional
hưu	pensionerad	huu
hương	rökelse	smell
hước	humoristisk	humor
hướng	riktning	trend
hường	huong	huong
hưởng	njut av	influence
hạ	sommar	lower
hạc	flamingoes	crane
hạch	ganglie	ganglion
hại	skada	harm
hạng	klass	rank
hạnh	hanh	happy
hạo	hao	hao
hạp	hap	hap
hạt	utsäde	seed
hải	tull	two
hảo	perfekt	perfect
hấn	hän	aggressive gesture
hất	förälskelse	toss
hấu	vattenmelon	"(term should be ""dưa hấu"") watermelon"
hầm	tunnel	ham
hầu	nästan	most
hận	hata	hatred
hậu	drottning	anus
hắc	svart	black
hắn	honom	he (n.)
hắt	nysa	reject
hằng	konstant	every
hặc	hac	to criticize (v.)
hẹ	schalottenlök	chinese chives
hẹp	smal	narrow
hẻm	gränd	alley (n.)
hẻo	avskild	outback
hến	musslor	mussel
hết	över	most
hề	clown	"(term should be ""không hề"") never"
hễ	va	whenever
hệ	systemet	relation
hệt	identisk	exactly
hỉ	blåsa	happy
hịch	duns	a proclamation
họ	efternamn	they (n.)
họa	konst	picture
họach	planen	"(term should be ""quy hoạch"") a project (n.)"
học	lära sig	study (v.)
họng	hals	throat
họp	möte	meet
hỏa	brand	fire
hỏng	bruten	corruption
hố	grop	hole
hốc	nischer	cavity
hồ	sjö	ho
hồi	anis	muslim
hồn	själ	soul
hổ	tiger	tiger
hổi	huh	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	gapande	hole
hỗ	stöd	"(should be ""hỗ trợ"") to support or assist"
hỗn	blandad	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	festival	society
hộp	låda	box
hới	öppna	hoi
hớn	ropade	"(term should be ""hớn hở"") radiant (adj.)"
hờn	sulky	hatred
hở	öppna	reveal
hỡi	oi	dear
hợi	gris	pig (n.)
hợp	väl lämpade	appropriate
hợpquận	samtycke	general district
hụt	underskott	loss
hủi	spetälsk	reject
hủy	annullera	to erase or destroy
hứa	löfte	promise
hử	va	hu
hửu	va	"(term should be ""sở hửu"") to own (v.)"
hữu	fast egendom	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	icc	icc
iceland	island	(proper noun) the country of iceland
ide	id	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	illusion	illusion
ilyich	ilyich	ilyich
im	jag är	still
imam	imam	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	immanuel	(proper noun) immanuel, as in immanuel kant
impact	påverkan	impact
incoterm	incoterm	incoterm
