$ tỉ	miliarde de dolari	$ billion
cỗ	punte	engine
cỗi	încăpăţânat	barren
cộ	vehicular	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	vechi	origin
cộng	la care se adauga	to add (v.)
cột	coloană	pole
cớ	scuză	excuse
cờ	steag	flag
cỡ	mărimea	size
cợt	glumind	"(term should be ""đùa cợt"") to trifle (v.)"
cục	departament	department
cụm	grup	cluster
cụp	amputat	down
cụt	amputat	"(should be ""xương cụt"") the tailbone or coccyx"
củ	tuberculi	a bulb, a botanical term
của	din	of
củi	lemne de foc	firewood
củng	de asemenea	reinforce
cứ	pe	any
cức	gânguri	"(term should be ""cức Đê"") a character in chinese history"
cứng	greu	hard
cứngi	hardi	cungi
cừ	poli	nacre
cừu	miel	sheep
cửa	uşă	door
cửu	multiplica	nine
cữ	cu	abstinence
cữu	lădiță	nine
cự	distanţă	against
cựa	pinteni	retreat
cực	stâlp	extreme
cựu	fost	former
d	d	d.
da	piele	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	greu	persistent
daily	zilnic	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	da lat	da lat
dampier	dampier	(proper noun) dampier, a last name
dan	dan	dan
dancing	dans	dancing
danger	pericol	danger
danh	nume	list
daniel	daniel	daniel
dante	dante	dante
dao	cuţit	poniard
darwin	darwin	darwin
das	das	das
dassault	dassault	(proper noun) dassault
date	data	date
dau	ulei	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	decan	a name
degree	grad	degree
delhi	delhi	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	demeter	(proper noun) demeter, the greek goddess of the harvest
den	bârlog	den
dennis	dennis	dennis
department	departament	departmen
derek	derek	derek
des	des	des
descartes	descartes	descartes
design	thiết kế	thiet ke
deuterium	deuteriu	deuterium
deutschland	deutschland	deutschland
dewan	dewan	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diana	(proper noun) diana, as in diana ross
die	a muri	german
diego	diego	diego
dien	nebun	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	palat	official residence or palace
dionysus	dionis	dionysus, as in the greek god
discovery	descoperire	discovery
discussion	discuţie	discussion
disneyland	disneyland	disneyland
division	divizia	division
divoire	divoire	d'lvoire
diêm	chibrituri	diem vuong
diên	nebun	"(term should be ""kinh diên"") canon (n.)"
diềm	baldachine	matches
diều	zmeu	kite
diểu	farsă	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	martie	parade
diệc	stârc	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	față	face to face
diệt	ucide	to kill or destroy (v.)
diệu	magie	effective (adj.)
djibouti	djibuti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitrii	dmitri
dna	adn-ul	dna
do	de	because of
doanh	comun	"(term should be ""kinh doanh"") business (n.)"
doc	medic	doc
docherty	docherty	docherty
dolly	păpușică	(proper noun) dolly, as in singer dolly parton
dome	dom	nha
dominican	dominicana	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	amenințând	threat
dp	dp	dp
dracula	dracula	dracula
draft	proiect	draft
drake	gâscan	(proper noun) drake
driver	conducător auto	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	du	travel
dubai	dubai	dubai
duiker	duiker	duiker
duk	duk	duk
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore
dung	gunoi	portrait
durham	durham	durham
dursley	dursley	dursley
duy	numai	only
duyên	predestinat	coastal
duyện	aspirant	fellatio
duyệt	browser	browser
duơng	duong	ocean
duẩn	duan	duan
duật	duat	duat
duệ	urmasi	descendants (n.)
duỗi	îndreptare	stretch
dwight	dwight	dwight
dà	dah	gradually
dài	lung	to lengthen, as in time
dàn	înscenare	to arrange
dàng	uşor	dang
dành	a petrecut	for
dào	abundent	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	gros	thick
dái	pișa	"penis (n.), although some may use the term to mean ""testicles"""
dám	a indrazni	dare
dán	pastă	stick
dáng	formă	appearance
dát	incrustat	inlay
dâm	indecent	lustful (adj.)
dân	oameni	people
dâng	oferi	dedicate
dây	cordon	nerve
dã	sălbatic	chronicle
dãi	permisiv	band
dãn	dilatat	extend
dãy	gamă	a row (n.)
dè	ai grija	tight
défense	apărare	defense
dép	sandale	slipper
dê	capră	goat
dì	mătuşă	aunt
dìu	diu	to lead by the hand (v.)
dính	lipicios	stick
dò	căutare	(with word tham) to survey
dòm	uite	snoop
dòng	actual	"(term should be ""dòng họ"") family (n.)"
dó	acea	a type of plant used to make paper in vietnam (n.)
dông	furtună	a storm (n.)
dõi	urmări	monitor
dù	deşi	though
dùi	puncher	awl
dùng	utilizare	use
dăm	talaș	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	desigur	why
dĩa	farfurie	dish
dũng	viteaz	courage
dơ	murdar	dirty
dơi	lilieci	bat
dư	rezidual	remnant
dưa	pepeni	melons
dưng	stop	suddently
dương	pozitiv	penis
dường	părea	seem
dưỡng	asistență medicală	feed
dược	farmacie	having to do with medicine (adj.)
dượng	unchi	uncle
dạ	da	night
dại	prostesc	stupid or idiotic (adj.)
dạn	neînfricat	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	format	tyoe
dạo	plimbare	vending
dạt	spalat	to drift
dạy	a preda	teach
dải	bandă	range
dấm	oţet	vinegar
dấp	poticnire	shape
dấu	semn	signal
dấy	arousing	to raise (v.)
dần	treptat	people
dầu	ulei	oil
dẫm	stomp	step on
dẫn	ghid	to lead
dẫu	deşi	though
dận	matusica	to step on
dậu	cocoş	rooster
dậy	scoală-te	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	conduce	lead
dằn	balast	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	persistent	dằng dai= long/endless
dẳng	persistent	persist
dặm	milă	mile
dặn	ordonat	to advise (v.)
dặt	ordin	conservative
dẹp	complet	pacify
dẹt	apartament	flat
dẻ	castane	chestnut
dẻo	plasticitate	flexible
dế	greieri	cricket
dền	nemuritoare	beetroot
dể	uşor	easy
dễ	uşor	easy
dệt	ţesut	textile
dị	singularitate	simple
dịch	traduceți	semen
dịp	ocazie	occasion
dịu	moale	ease
dọa	amenințând	to threaten or scare (v.)
dọc	vertical	along
dỏm	spiritual	witty
dốc	pantă	slope
dối	minciună	lie
dốt	ignorant	stupid or ignorant (adj.)
dồi	abundent	"(term should be ""trau dồi"") improve (v.)"
dồn	încolţit	accrue
dỗ	convinge	dirty
dời	mișcare	leave
dở	rău	incomplete
dỡ	descărcare	remove
dụ	de exemplu	example
dục	sex	sexuality
dụng	utilizare	use
dứa	ananas	pineapple
dứt	stop	to cease
dừa	nucă de cocos	coconut (n.)
dừng	stop	to cease
dữ	date	"(term should be ""giận dữ"") anger (n.)"
dự	proiectat	attend
dựa	bazat	base on
dực	masculin	dực, as in lê tương dực
dỹ	dy	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	earles	earles
eaton	eaton	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	margine	edge
edinburgh	edinburgh	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	editor	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	egipt	egypt
eid	eid	(proper noun) eid
eiffel	eiffel	eiffel
einstein	einstein	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	electronic	electronic
eliane	eliane	(proper noun) eliane
elip	elipsă	ellipse
elizabeth	elizabeth	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	elipsă	ellipse
em	tu	younger sibling
email	e-mail	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	emir	emir
emmy	emmy	emmy
en	ro	erica reef
energy	energie	energy
engels	engels	engels
england	anglia	(proper noun) england, as in new england
eniac	eniac	eniac
entente	antantei	entente
entropy	entropie	entropy
enzym	enzimă	enzymes
eo	talie	eo, as in the film captain eo
ep	ep	a name
erich	erich	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	ernest	(proper noun) ernest
eros	eros	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	esenţial	essential
ethernet	ethernet	ethernet
ethiopia	etiopia	(proper noun) ethiopia
euclid	euclid	euclid
eugene	eugene	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	euro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	europa	europe
european	european	(proper adjective) european
eva	eva	eva
everton	everton	everton
every	fiecare	every
exgay	exgay	exgay
explorer	explorator	explorer
extensive	extensiv	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	fapt	fact
facto	facto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	oaa	fao
farrell	farell	farrell
faso	faso	faso
fbi	sncfr	fbi
fca	fca	fca
fdi	isd	fdi
features	caracteristici	features
federer	federer	federer
feet	picioare	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	decret	fiat
fidel	fidel	fidel
field	camp	field
fifa	fifa	fifa
fifpro	fifpro	fifpro
figo	figo	figo
fiji	fiji	fiji
finish	finalizarea	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	fischer	fischer, as in louis fischer
fish	peşte	fish
fishbed	fishbed	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	flankerului	flanker
fleming	flamand	fleming
flight	zbor	flight
foch	foch	(proper noun) foch
focus	concentra	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	alimente	food
football	fotbal	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	vad	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	furci	forks
foundation	fundație	foundation
fox	vulpe	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	franc	franc
france	franţa	france
frances	frances	frances
francis	francis	francis, as in francis xavier
francisco	francisco	francisco
franco	franco	franco
frank	sincer	frank
frankfurt	frankfurt	(proper noun) frankfurt
franklin	răzeș	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	freud	(proper noun) freud, as in sigmund freud
friedman	friedmann	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	funimation	(proper noun) funimation
funk	panică	funk
futsal	futsalul	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarin	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	grame	gam
gambia	gambia	gambia
gamow	gamow	a name
gan	ficat	liver
gandhi	ghandi	gandhi, as in mahatma gandhi
gang	bandă	cast iron
ganh	gelos	to be jealous
gao	orez	strictly
gareth	gareth	a name
garrett	garret	garrett
gary	gary	gary
gascon	gascon	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	homosexual	tense
gaza	gaza	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	pib	gdp
geisha	gheişă	geisha
gen	gene	gene
gene	genă	(proper noun) gene, an english first name
genesis	geneză	(proper noun) genesis
georg	georg	(proper noun) georg
george	george	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	limba germana	german
germany	germania	germany
gerrard	gerrard	gerrard, a last name
ghana	ghana	(proper noun) the african country of ghana
ghe	barcă	canoe
ghen	gelos	to be jealous (v.)
ghi	scrie	write
ghim	bolț	pin
ghé	stop	visit
ghép	grefă	fit
ghê	groază	disgust
ghì	ghi	tighten
ghẻ	scabie	scabies (n.)
ghế	scaun	chair
ghề	praguri	scabby
ghềnh	praguri	waterfall (n.)
gia	gia	date
giai	etapă	period
giam	închisoare	imprison
gian	spaţiu	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	gibraltarului	(proper noun) gibraltar
gichin	gichin	gichin
gieo	scroafă	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	viermi	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	gizeh	giza
già	vechi	old (adj.)
giàn	grindă cu zăbrele	"(term should be ""giàn hoa"") a trellis girder"
giành	nerăbdare	secure
giàu	bogat	rich or wealthy (adj.)
giày	pantofi	a shoe
giá	preț	estimate
giám	director	"(term should be ""giám sát"") to supervise (v.)"
gián	gandaci de bucatarie	"(term should be ""gián tiếp"") indirectly"
giây	secunde	seconds
giã	pounding	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	întinde	stretch
gièm	detractori	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	iisus	jesus
giêxu	legătură	jesus
giò	rulouri de primăvară	leg
giòi	viermilor	maggot (n.)
giòn	crocant	crunchy or crispy (adj.)
gió	vânt	wind
gióng	ca	align
giúp	ajutor	help
giũa	fişier	sharpen
giơ	blocaj	raise
giương	pâlpâit	posture
giường	pat	bed
giả	fals	fake (adj.)
giải	soluţie	solution
giảm	reducere	decrease
giản	simplificată	"(term should be ""giản dị"") simple (adj.)"
giấc	dormi	giấc ngủ= the sleep
giấm	oţet	drabble
giấu	ascunde	hide
giấy	hârtie	paper
giầu	bogat	rich
giận	furios	angry
giằng	contravântuiri	pull
giặc	dusman	enemy
giặt	spalare	to wash (n.)
giếng	bine	well
giết	ucide	kill
giềng	vecin	"(term should be ""láng giềng"") neighboring"
giễu	ridicol	ridicule
giọng	ton	tone
giọt	cădere brusca	drop
giỏ	coş	basket
giỏi	grozav	good
giồng	giong	mound
giỗ	aniversarea mortii	anniversaries of deaths
giới	gen	gender
giờ	ore	bao giờ=ever
giở	bliț	to open or unfold (v.)
giỡn	glumind	joke
giục	a cerut	urge
giữ	hold	hold
giữa	între	between
gladys	gladys	gladys
glazer	fabricant de lacuri	glazer
glonass	glonass	glonass
gloria	gloria	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	glucoză	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	merge	"(term should be ""gay go"") tense"
goes	merge	goes
goku	goku	goku
golden	de aur	golden
gom	colectarea	to gather (v.)
google	google	google
gorbachev	gorbachev	gorbachev
gorbachyov	gorbaciov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	împunge	gore
gorky	gorki	gorky, as in gorky park
gothic	gotic	gothic
gottfried	gottfried	gottfried
grabeel	grabeel	grabeel, a last name
graham	graham	graham
granada	granada	granada
granit	granit	granite
greek	greacă	(proper noun) greek
greenland	groenlanda	greenland
greenson	greenson	(proper noun) greenson
greenwich	greenwich	(proper noun) greenwich
greg	greg	greg
grenada	grenada	grenada
grenadines	grenadine	grenadines
gross	brut	gross
grumman	grumman	(proper noun) grumman
gruzia	georgia	gruzia
gryffindor	cercetași	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	stil	gu
guam	guam	guam
guard	pază	guard
guatemala	guatemala	guatemala
gui	gui	gui
guinea	guineea	guinea
guinness	guiness	(proper noun) guinness
guitar	chitară	guitar
gujarat	gujarat	gujarat
gulag	gulagul	gulag
gulf	golf	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	guiana	guyana; proper noun
gà	pui	chicken
gài	ascunde	to fasten (v.)
gào	a tipat	"(term should be ""thét gào"") to cry out (v.)"
gác	pază	guard
gái	fată	girl
gán	atribui	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	transporta	hold
gáy	ceafă	crow
gân	închide	tendon
gây	cauză	make
gãy	rupt	break
gì	ce	what
gìn	conserva	preserve
gò	deal	"(term should be ""gò má"") cheekbone (n.)"
gòn	gon	gon
góa	văduvă	widowed
góc	colţ	angle
gói	pachet	goi
góp	rată	to contribute
gót	toc	heels
gõ	tip	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	tezaur	poniard
găng	mănuși	gloves
gũi	închide	close
gươm	sabie	sword
gương	oglindă	mirror
gạc	tifon	johnson south reef
gạo	orez	rice
gạt	smuls	to cheat or trick (v.)
gả	căsătorie	marry
gảy	pauză	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	brocart	brocade
gấp	grabă	times, as in many times
gấu	ursul	a bear (n.)
gần	aproape	near
gầy	subţire	thin
gẫy	rupt	break
gập	plia	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	băț	stick
gắm	bășina	send
gắn	montat	mount
gắng	încerca	try
gắt	cu asprime	intense
gặm	roade	rodent
gặp	întâlni	meet
gặt	a recolta	harvest
gỉ	ruginit	rust
gọi	apel	call
gọn	curat	neat (adj.)
gọng	ramă	gong
gọt	pieliță	cut
gỏi	salată	a vietnamese salad
gốc	origine	origin (n.)
gối	pernă	"(should be ""qùy gối"") to kneel"
gốm	ceramică	pottery
gồm	inclusiv	include
gồng	gong	carry
gỗ	lemnul	wood
gội	şampon	shampoo
gộp	combina	aggregate
gớm	hidos	tremendous
gờ	bordură	edge
gởi	trimite	send
gỡ	descărca	meet
gợi	sugestiv	to evoke (v.)
gục	jos	"(term should be ""đánh gục"") crush, as in battle"
gừng	ghimbir	ginger
gửi	a trimite	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburgic	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	două	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	halogen	halogen (n.)
ham	șuncă	desire
hamilton	hamilton	(proper noun) hamilton
han	han	han
hang	peşteră	cave
hangul	hangul	hangul
hanh	hanh	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	rezistent	hardy
harlem	harlem	harlem
harlow	harlow	harlow
harold	harold	(proper noun) harold
harper	harper	harper
harpercollins	harpercollins	hapercollins
harrier	brac	harrier, as in harrier jump jet
harris	harris	harris
harry	dezgoli	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havana	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	șoimar	hawker
hawking	hawking	(proper noun) hawking, as in physicist stephen hawking
hay	bun	or
hb	hb	hb
hbv	vhb	hbv
hcl	acid clorhidric	hcl
hd	hd	activity
he	el	he, a korean name
health	sănătate	health
heath	landă	heath
hee	hee	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrich	heinrich
helen	helen	helen
helena	helena	helena
heli	heliu	helium
hematocrit	hematocritului	hematocrit
hemoglobin	hemoglobină	hemoglobin
hen	găină	asthma
henry	henry	(proper noun) henry, as in henry kissinger
heo	stătut	dolphin
her	a ei	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	hercules	hercules
hermann	hermann	hermann
hermes	hermes	hermes
hersh	hersh	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	hestia	hestia
hi	bună	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	provinciali	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoshi	(proper noun) hideyoshi
hidro	hidrogen	hydrogen
hillsborough	hillsborough	hillsborough
hilton	hilton	hilton
himalaya	himalaya	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hindus	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hiroșima	(proper noun) hiroshima, the japanese city
hitchcock	hitchcock	hitchcock
hitler	hitler	hitler
hitter	hitter	hitter
hitters	hitters	hitters
hiên	verandă	(proper noun) hiên, a vietnamese first name
hiđrô	hidrogen	hydrogen
hiếm	rar	rare
hiến	da	devote
hiếp	viol	rape
hiếu	pietate filială	pious
hiềm	bolnav	grudge
hiền	salvie	sage
hiểm	periculos	dangerous
hiểu	a intelege	learn
hiện	apare	"(term should be ""thực hiện"") to accomplish"
hiệp	jumătate	united
hiệu	efect	effective
hlv	antrenor	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	floare	flower
hoan	festival	welcome
hogwarts	hogwarts	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	holocaust	holocause
holocen	holocen	holocen
holt	deal împădurit	holt, an english last name
hom	butași	a cutting
homer	homer	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	viespe	hornet
hotspur	persoană iute sau repezită	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	in orice caz	however
hoà	cravată	peace
hoài	nostalgic	always (adv.)
hoàn	complet	"(term should be ""hoàn toàn"") completely"
hoàng	rege	royal (adj.)
hoành	diafragmă	rife
hoá	chimie	"(term should be ""văn hoá"") culture (n.)"
hoán	permanent	refined (adj.)
hoãn	ei mananca	delay
hoạ	a picta	disaster (tham hoa)
hoại	cangrenă	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	hentai	work
hoả	foc	of
hoảng	panică	panic-stricken (adj.)
hoặc	sau	or
hp	cp	hp
hq	hq	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	huey	huey
hughes	hughes	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	ungaria	hungary
hunt	vânătoare	hunt
hurley	crose	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	husserl	huserl
huston	huston	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	frate	older brother
huyền	mistic	huyền thoại= legend
huyễn	iluzoriu	huyen
huyện	district	district
huyệt	puncte de acupunctură	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	nuanţă	"a less common vietnamese word for ""flower"""
huấn	instruire	"(term should be ""huận luyện"") to train (v.)"
huế	nuanţă	hue
huệ	nuanţă	favour
huống	caz	situation
huỳnh	sulf	sulfur
huỷ	anulare	destroy
hydra	hidră	hydra, a monster in greek mythology
hydro	hidrogen	hydrogen
hyperion	hyperion	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	comedie	corpse
hàm	falcă	"(term should be ""bao hàm"") to imply (v.)"
hàng	rând	row
hào	şanţ	depreciation
hách	arogant	glorious
hái	alege	picking
hán	secetă	china
háo	dornic	eager
hát	cânta	song
hâm	nebun	"(term should be ""hâm mộ"") to admire (v.)"
hân	han	le ngoc han
hãi	speriat	to be scared (v.)
hãn	han	to sweat (v.)
hãng	firma	a company (n.)
hãnh	mândru	proud
hè	vară	summer
hé	crăpată	reveal
héo	greabăn	dried-out
hét	strigăt	shout
hên	norocos	luck
hí	ne	game
hít	a respira	act of kissing (hon hit)
hò	datare	date
hòa	cravată	republic
hòe	rahat	hoe
hòm	arcă	box
hòn	insulă	island
hòng	bine	in order to
hóc	hoc	a corner (n.)
hót	cânta	to chirp or sing (v.)
hô	ho	respiration
hôi	fault	stink
hôm	zi	day (n.)
hôn	pup	propose
hông	şold	hip
hù	a speria	threaten
hùng	eroii	hero
húc	împunge	huc
húng	inspirație	"(should be ""húng láng"") water mint"
hút	fumat	to suck (v.)
hăng	iute	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	borcane	jar
hơi	putin	slightly
hơn	decât	more or less
hư	rău	fictional
hưu	retras	huu
hương	tămâia	smell
hước	plin de umor	humor
hướng	direcţie	trend
hường	huong	huong
hưởng	se bucura	influence
hạ	vară	lower
hạc	flamingoes	crane
hạch	ganglion	ganglion
hại	dăuna	harm
hạng	clasă	rank
hạnh	hanh	happy
hạo	hao	hao
hạp	întâmplare	hap
hạt	sămânță	seed
hải	obiceiuri	two
hảo	perfect	perfect
hấn	han	aggressive gesture
hất	arunca	toss
hấu	pepene	"(term should be ""dưa hấu"") watermelon"
hầm	tunel	ham
hầu	aproape	most
hận	ură	hatred
hậu	regină	anus
hắc	negru	black
hắn	-l	he (n.)
hắt	strănut	reject
hằng	constant	every
hặc	hac	to criticize (v.)
hẹ	eșalotă	chinese chives
hẹp	îngust	narrow
hẻm	alee	alley (n.)
hẻo	retras	outback
hến	midii	mussel
hết	peste	most
hề	clovn	"(term should be ""không hề"") never"
hễ	nu-i așa	whenever
hệ	sistem	relation
hệt	identic	exactly
hỉ	a sufla	happy
hịch	bufnitură	a proclamation
họ	nume de familie	they (n.)
họa	artă	picture
họach	plan	"(term should be ""quy hoạch"") a project (n.)"
học	învăța	study (v.)
họng	gât	throat
họp	întâlnire	meet
hỏa	foc	fire
hỏng	rupt	corruption
hố	groapă	hole
hốc	nise	cavity
hồ	lac	ho
hồi	anason	muslim
hồn	suflet	soul
hổ	tigru	tiger
hổi	huh	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	căscat	hole
hỗ	a sustine	"(should be ""hỗ trợ"") to support or assist"
hỗn	amestecat	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	festival	society
hộp	cutie	box
hới	deschis	hoi
hớn	strigat	"(term should be ""hớn hở"") radiant (adj.)"
hờn	îmbufnat	hatred
hở	deschis	reveal
hỡi	oi	dear
hợi	porc	pig (n.)
hợp	foarte potrivit	appropriate
hợpquận	consimţământ	general district
hụt	deficit	loss
hủi	lepros	reject
hủy	anulare	to erase or destroy
hứa	promisiune	promise
hử	huh	hu
hửu	huh	"(term should be ""sở hửu"") to own (v.)"
hữu	proprietate	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	icc	icc
iceland	islanda	(proper noun) the country of iceland
