$	ps	a sign of doller
કેરળ	kerala	kerala
કેરિયર્સ	transportistas	carriers,
કેરી	carrie	mango
કેરોલ	villancico	carol
કેલિફોર્નિયા	california	california
કેલેન્ડર	calendario	calendar
કેળવણી	educación	caring
કેળવી	cultivar	to nourish
કેવલ	solamente	but / mere
કેવળ	solamente	only
કેવી	cómo	how
કેવું	cómo	how
કેશ	efectivo	cash
કેશોદ	keshod	keshod
કેસ	caso	lawsuit
કેસમાં	en el caso	in the case
કેસો	casos	cases
કૉંગ્રેસ	congreso	congress
કૉંગ્રેસના	del congreso	of congress
કૉંગ્રેસની	del congreso	of congress
કૉંગ્રેસમાં	en el congreso	in congress
કૉંગ્રેસી	congreso	of congress / congressman
કૉંગ્રેસે	congreso	by congress
કૉન્સ્યુલટ	consulado	consulate
કૉપીરાઇટ	derechos de autor	copyright
કૉલેજ	universidad	college
કૉલેજમાં	en la universidad	in collage
કો	co.	to [hindi - urdu word]
કોંકણ	konkan	"name of place ""konkan"""
કોંગ્રેસ	congreso	congres
કોંગ્રેસના	del congreso	of congress
કોંગ્રેસની	del congreso	of congress
કોંગ્રેસી	congresista	people of congress
કોંગ્રેસીઓ	congresistas	congressmen
કોઇ	alguien	someone
કોઇએ	alguien	nobody
કોઇક	alguien	someone
કોઇને	a alguien	someone
કોઇપણ	cualquiera	anyone
કોઈ	no	someone
કોઈએ	alguien	by someone
કોઈક	alguien	someone
કોઈને	alguien	some people
કોઈપણ	alguna	anyone
કોચ	entrenador	coach
કોટ	saco	wall
કોઠો	mesa	photo
કોડ	código	hope / wish
કોણ	oms	who
કોપી	copiar	copy
કોપીરાઈટ	derechos de autor	copy right
કોમ	comunidad	.com
કોમનવેલ્થ	mancomunidad	commonwealth
કોમના	com	of the caste
કોમર્શિયલ	comercial	commercial
કોમિક	cómic	comic
કોમી	comunal	communal
કોમેડી	comedia	comedy
કોમ્પ્યુટર	computadora	computer
કોમ્પ્યુટરની	de la computadora	of the computer
કોમ્પ્યુટરને	a la computadora	to computer
કોમ્પ્યુટરો	ordenadores	computers
કોમ્પ્યુટર્સ	ordenadores	computers
કોમ્યુનિકેશન	comunicación	communication
કોમ્યુનિકેશન્સ	comunicaciones	communications
કોયા	koya	koya
કોર	núcleo	core
કોરિયા	corea	korea
કોર્ટ	corte	court
કોર્ટમાં	en la corte	in the court
કોર્ટે	corte	court
કોર્પોરેટ	corporativo	corporate
કોર્પોરેશન	corporación	corporation
કોર્પોરેશનો	corporaciones	corporation
કોર્સ	por supuesto	course
કોલ	llamada	coal
કોલંબિયા	columbia	columbia
કોલકાતા	calcuta	kolkata
કોલકાતામાં	en calcuta	in kolkata
કોલસો	carbón	coal
કોલેજ	universidad	collage,
કોલેજમાં	en la universidad	in collage
કોલેજો	colegios	colleges
કોલોસીયમ	coliseo	colosseum
કોલોસીયમના	del coliseo	collosium, name of place
કોલોસીયમની	del coliseo	of the colloseum
કોલોસીયમને	al coliseo	colleseum's
કોલોસીયમમાં	en el coliseo	colloseum
કોશ	célula	name
કોશિશ	tratar	try
કોષ	células	glossary
કોષ્ટક	mesa	table
કોસ્ટ	costo	cost
કૌટુંબિક	familia	related to family
કૌભાંડ	estafa	scandal
કૌરવ	kaurava	kaurava
કૌરવો	kaurava	kauravs
કૌશલ	habilidad	efficiency
કૌશલ્ય	habilidades	skilled
ક્યા	cual	where
ક્યાં	ya sea	where, which
ક્યાંક	algun lado	somewhere
ક્યાંય	en ninguna parte	somewhere
ક્યારે	cuando	when
ક્યારેક	algunas veces	sometime
ક્યારેય	nunca	never
ક્યોટો	kyoto	kyoto
ક્રમ	orden	deed
ક્રમની	en orden	numbered
ક્રમનું	ordenados	numbered
ક્રમનો	en orden	of the number/rank
ક્રમમાં	en orden	in rank
ક્રમશઃ	respectivamente	respectively
ક્રમાંક	no.	number
ક્રમે	clasificado	number
ક્રાંતિ	revolución	revolution
ક્રાંતિકારી	revolucionario	revolutionary
ક્રિઓલ	criollo	kiraole
ક્રિકેટ	grillo	cricket
ક્રિકેટના	de grillo	of the cricket
ક્રિકેટની	grillo	of the cricket
ક્રિકેટનો	grillo	of the cricket
ક્રિકેટમાં	en el grillo	in cricket
ક્રિકેટર્સ	jugadores de cricket	cricketers
ક્રિઝ	pliegue	kreez
ક્રિયા	acción	action
ક્રિયાની	de acción	action
ક્રિયાપદ	verbo	verb
ક્રિયાપદો	los verbos	verb
ક્રિયાપ્રતિક્રિયા	interacción	action-reaction
ક્રિસ	chris	chris
ક્રિસમસ	navidad	x mas / christmas
ક્રિસ્ટોફર	christopher	christopher
ક્રૂર	cruel	strict
ક્રોધ	enfado	anger
ક્રોધિત	enojado	angry
ક્રોસ	cruzar	cross
ક્લબ	club	club
ક્લાઉડ	nube	cloud
ક્લાયમેટ	clima	climate
ક્લાસિકલ	clásico	classical
ક્લિક	hacer clic	click
ક્લિપ	acortar	clip
ક્લોઝ	cerca	close
ક્વાઇપર	kuiper	kuiper
ક્વોન્ટમ	cuántico	quantum
ક્વોલિટી	calidad	quality
ક્ષકિરણો	radiación	rediation
ક્ષણ	momento	moment
ક્ષતિગ્રસ્ત	dañado	distorted,
ક્ષત્રિય	kshatriya	kshatriya
ક્ષત્રિયો	kshatriyas	kshatriyas
ક્ષમતા	capacidad	capacity
ક્ષમતાને	capacidad	capacity
ક્ષમા	perdón	forgiveness
ક્ષીણ	decaido	diminished
ક્ષેત્ર	campo	field
ક્ષેત્રના	en el campo	of the field
ક્ષેત્રની	en el campo	area
ક્ષેત્રને	campo	sphere / sector / zone / region
ક્ષેત્રનો	en el campo	areas
ક્ષેત્રફળ	zona	area of a place
ક્ષેત્રમાં	en el campo	in limitation,
ક્ષેત્રે	en el campo	territory
ક્ષેત્રો	campos	fields
ક્ષેત્રોં	campos	regions [hindi word]
ક્ષેત્રોમાં	campos	in the fields of
ખંડ	habitación	plates of the earth
ખંડન	refutación	refutation
ખંડના	del continente	of division
ખંડની	del continente	chamber
ખંડમાં	en la habitación	section, part of
ખંડિત	fragmentado	broken
ખંડીય	continental	continental
ખંડો	continentes	continents
ખંભાતના	de khambhat	of khambhat, name of city in gujarat.
ખગોળ	astronomía	study of earth
ખગોળશાસ્ત્ર	astronomía	astronomy,
ખગોળશાસ્ત્રીય	astronómico	astronomer
ખગોળીય	astronómico	astronomical
ખડક	rock	reef
ખડકાળ	rocoso	rocky
ખડકો	rocas	rock
ખતમ	terminado	finished
ખતરનાક	peligroso	dangerous, horrible
ખનિજ	mineral	mineral
ખબર	saber	news
ખભા	espalda	shoulder
ખરડો	cuenta	bills / notice
ખરા	cierto	true
ખરાબ	malo	bad / waste
ખરી	cierto	shed
ખરીદી	compras	purchase
ખરેખર	de verdad	in reality
ખર્ચ	costos	expenses,
ખર્ચના	costo	of expenses
ખર્ચાળ	costoso	costlier
ખર્ચે	a un costo	at the expense of
ખલીફા	califa	khalifa, chief of arab
ખલેલ	ruptura	disturbance
ખવાય	comido	being eaten
ખસેડવામાં	movido	in transfer
ખાંડવી	khandvi	khandvi
ખાઈ	abandone	trench
ખાડી	la bahía	part of river penetrated by the sea at tide
ખાણીપીણી	comiendo y bebiendo	food
ખાતર	compost	fertilizer
ખાતરી	por supuesto	sure
ખાતા	cuenta	account
ખાતે	a	at post
ખાતેથી	de	from
ખાતેના	a	of account
ખાતેની	a	stationed at
ખાતો	cuentas	eating,(in this case) swing
ખાત્રી	por supuesto	information
ખાદી	khadi	khadi [hand woven cotton cloth]
ખાદ્ય	comida	eatable
ખાન	kan	surname
ખાનગી	privado	private
ખાનની	khan&#39;s	khan's
ખાનને	kan	to khan
ખાનપુર	khanpur	khanpur
ખાને	khane	khan
ખાય	comer	eat
ખારી	salina	"name of place ""khari"""
ખાલી	vacío	empty
ખાવા	comer	to eat, for meal,
ખાવામાં	comido	in eating
ખાવું	comer	to eat
ખાસ	especial	certain / pecular / special
ખાસિયત	peculiaridad	characteristic
ખિતાબ	títulos	titel
ખીચડી	mezcla	pie
ખીણ	valle	trench
ખુદ	yo mismo	self
ખુદા	dios	lord of muslims
ખુબ	demasiado	lots of
ખુબજ	mucho	too much
ખુલાસો	divulgar	grant/sum up
ખુલે	abre	open
ખુલ્લા	abierto	open
ખુલ્લી	abierto	open
ખુલ્લુ	abierto	open
ખુલ્લો	abierto	open
ખુશ	contento	pleased
ખુશી	felicidad	joy
ખૂણે	en la esquina	corner
ખૂણેખૂણો	esquinas	everywhere
ખૂબ	demasiado	very
ખૂબજ	mucho	too much
ખેંચવા	tramo	pull
ખેંચી	halar	pulled back
ખેંચે	sorteos	pulls
ખેડા	kheda	city name
ખેડુત	granjero	farmer
ખેડૂત	granjero	farmer
ખેતરમાં	en la granja	farm
ખેતી	agricultura	farming
ખેલ	deportes	play
ખેલાડી	jugador	player
ખેલાડીઓ	jugadores	players
ખેવના	khevna	wish
ખોજ	buscar	search
ખોટા	incorrecto	wrong
ખોટી	incorrecto	faulty, wrong
ખોટું	incorrecto	wrong
ખોડિયાર	khodiyar	khodiyar
ખોડીયાર	khodiyar	khodiyar
ખોદકામ	excavación	digging work
ખોરાક	comida	food
ખોળામાં	en el hoyo	in lap
ખોળે	abre	lap of
ખ્યાતનામ	famosos	famous
ખ્યાતિ	fama	repute
ખ્યાલ	concepto	idea
ખ્રિસ્તી	cristiano	christian,
ખ્રિસ્તીઓ	cristianos	christians
ગંગા	ganga	ganga / ganges
ગંગાધર	gangadhar	gangadhar
ગંગાના	del ganges	of ganga / ganges
ગંગાની	ganges	of ganga
ગંગાને	al ganges	ganges
ગંગામાં	en el ganges	at ganga
ગંભીર	grave	serious
ગઇ	ido	become
ગઈ	ido	gone
ગએ	ido	go
ગઝલ	ghazal	ghazal
ગઢ	fortaleza	fort
ગઢડા	gadha	gadhada
ગઢવી	gadhvi	gadhavi
ગણ	calculado	set
ગણતંત્ર	república	republic
ગણતરી	cálculo	calculation
ગણતરીઓ	cálculos	calculations
ગણતરીની	calculado	counting
ગણતરીમાં	en los cálculos	counting
ગણતા	contando	considered
ગણત્રી	cálculo	calculation
ગણના	cálculo	countation
ગણપતિ	ganapati	ganpati
ગણરાજ્ય	república	republic
ગણવામાં	considerado	in counting
ગણા	doblez	number of times
ગણાતા	contado	considered
ગણાતી	contado	considered
ગણાતો	contado	counted
ગણાય	contando	consider
ગણાવી	considerado	can be counted as
ગણાવે	cuenta	considered
ગણિત	matemáticas	mathematics
ગણિતજ્ઞ	matemático	mathematician
ગણિતના	matemáticas	maths
ગણિતની	de las matematicas	maths
ગણિતને	matemáticas	maths
ગણિતનો	matemáticas	of mathematics
ગણિતમાં	en matemáticas	in mathematics
ગણિતશાસ્ત્રી	matemático	mathematician
ગણી	doblada	counting
ગણે	cuenta	count
ગણેશ	ganesha	hindu god ganesha, elephant headed god,
ગણો	doblez	times
ગણ્યા	contado	considered
ગત	último	past
ગતિ	velocidad	motion
ગતિએ	a velocidad	momentum
ગતિના	de movimiento	of the speed
ગતિને	velocidad	to the speed
ગતિમાં	en movimiento	motion
ગતિવિધિઓ	ocupaciones	activities
ગતિશીલ	dinámica	dynamically
ગદ્ય	prosa	prose
ગમત	divertido	game
ગમતું	gustó	like
ગમે	lo que sea	likes
ગયાં	ido	became
ગયાના	guayana	gayana
ગયા૤	ido	gone [hindi word]
ગયુ	ido	to be
ગયું	ido	gone
ગયેલ	ido	gone
ગયેલા	ido	gone
ગયેલી	ido	gone
ગયો	ido	become
ગરબા	garba	garba
ગરમ	caliente	hot
ગરમી	calor	heat
ગરમીના	de calor	of heat
ગરમીની	calor	heat's
ગરવા	caer	honorable
ગરવી	orgullo	great
ગરીબ	pobre	poor
ગરીબી	pobreza	poverty
ગરીબો	los pobres	poors
ગર્ભ	feto	core
ગર્ભમાં	en el útero	venter
ગર્વ	orgulloso	pride
ગલી	callejón	narrow street
ગવર્નર	gobernador	governor
ગવાય	canta	sung
ગહન	profundo	deep/detailed
ગાઁધીજી	gandhiji	gandhiji
ગાંધારી	gandhari	gandhari
ગાંધી	gandhi	gandhi
ગાંધીએ	gandhi	gandhiji
ગાંધીજી	gandhiji	gandhiji
ગાંધીજીએ	gandhiji	gandhiji
ગાંધીજીના	gandhiji	gandhiji's
ગાંધીજીની	gandhiji	gandhiji's
ગાંધીજીનું	de gandhiji	of gandhiji
ગાંધીજીને	gandhiji	to gandhiji
ગાંધીજીનો	gandhiji	of gandhiji
ગાંધીનગર	gandhinagar	gandhinagar
ગાંધીના	gandhi&#39;s	gandhi's
ગાંધીની	gandhi&#39;s	gandhi's
ગાંધીનું	gandhi&#39;s	of gandhi / gandhian
ગાંધીને	gandhi	name
ગાંધીનો	gandhi&#39;s	gandhi's
ગાંધીવાદી	gandhian	o the gandhiji
ગાઇડ	guía	gide
ગાઢ	denso	close [relations]
ગાણિતિક	matemático	mathematical
ગાદી	amortiguar	throne
ગાદીએ	en el sofá	became chief
ગામ	pueblo	village
ગામડે	en la aldea	at village
ગામના	del pueblo	village
ગામનાં	del pueblo	of the villages
ગામની	del pueblo	village's
ગામમાં	en la aldea	villiage
ગામે	en la aldea	villages
ગામો	pueblos	villages
ગાય	chico	cow
ગાયક	cantante	singer
ગાયકવાડ	gaekwad	gaikwad
ગાયત્રી	gayatri	gayatri
ગાયબ	desaparecido	vanish
ગાયો	vacas	cows
ગાર્ડન	jardín	garden
ગાળા	período	period
ગાળાના	término	duration
ગાળાની	término	term
ગાળામાં	en el periodo	duration
ગાળો	margen	span
ગાવામાં	cantado	sing / sang / sung
ગિરનાર	girnar	girnar
ગિરનારનાં	girnar	girnar's
ગિરનારની	girnar	of girnar, girnar's
ગિરનારનું	girnar	of girnar
ગિરનારને	girnar	girnar
ગિરનારમાં	en girnar	in girnar
ગિરનારી	girnari	girnari
ગિરા	gira	gira, name of the river in gujarat
ગીચ	lleno de gente	dense / conjested
ગીચતા	densidad	density
ગીઝાના	de giza	of giza
ગીત	la canción	song
ગીતમાં	en la cancion	in song
ગીતા	gita	gita
ગીતાના	del gita	gita's
ગીતાનો	del gita	gita's
ગીતો	letra	songs
ગીર	gir	"tourist place ""gir"""
ગુંડાલકેનાલ	gundalcanal	gundal canal
ગુગલ	google	google
ગુજરાત	gujarat	gujarat state
ગુજરાતના	de gujarat	of gujarat
ગુજરાતનાં	de gujarat	of the gujarat
ગુજરાતની	de gujarat	of gujarat
ગુજરાતનું	de gujarat	gujarat state
ગુજરાતનો	de gujarat	gujarat's
ગુજરાતમાં	en gujarat	in gujarat
ગુજરાતી	gujarati	gujarati
ગુજરાતીઓ	gujaratis	gujaratis
ગુજરાતીમાં	en gujarati	in gujarati
ગુજરાતે	gujarat	by gujarat
ગુજવિકિને	gujwiki	to gujwiki
ગુડ	bueno	good
ગુણ	marcas	marks,
ગુણધર્મો	propiedades	quality perspiration
ગુણવત્તા	calidad	excellence
ગુણવત્તાના	calidad	of the quality
ગુણવત્તાની	de calidad	of quality
ગુણો	puntos	quality
ગુણોત્તર	proporción	ratio
ગુનાઓ	crímenes	crimes
ગુનેગાર	el culpable	convict
ગુપ્ત	secreto	hidden, secret
ગુફા	cueva	cave
ગુફાઓ	cuevas	caves
ગુમાવી	perdió	to loss
ગુમાવ્યા	perdió	lossed
ગુરુ	júpiter	master
ગુરુત્વાકર્ષણ	gravedad	gravitation
ગુરુદેવ	gurudev	gurudev [in hindi]
ગુરુવાર	jueves	thursday
ગુરૂ	júpiter	teacher, guru
ગુરૂત્વાકર્ષણ	gravedad	gravitation
ગુરૂની	júpiter	jupiter's
ગુલાબ	rosas	rose
ગુલામ	esclavo	servant or slave
ગૂગલ	google	google
ગૂગલે	google	by google
ગૂઢ	misterioso	complecated/difficult
ગૃહ	hogar	home
ગૃહસ્થ	cabeza de familia	gentleman
ગેટ	obtener	gate
ગેટવે	puerta	gateway
ગેટ્સ	puertas	gates
ગેટ્સે	puertas	by gates
ગેમ	juego	game
ગેમિંગ	juego de azar	gaming
ગેમ્સ	juegos	games
ગેરકાયદેસર	ilegal	illegal
ગેરહાજરીમાં	en la ausencia	in absent
ગેલેરી	galería	gallery
ગેસ	gas	gas
ગેસના	de gas	of gas
ગોંડલ	gondal	gondal
ગોઆ	ir a	"name tourisam place ""goa"""
ગોઆન	goan	goa
ગોઠવણ	ajustamiento	adjustment
ગોઠવણી	configuración	arrangement / formation
ગોઠવવામાં	configurado	setting
ગોઠવાય	arreglado	arranges
ગોડ	dios	god
ગોડસે	godse	godse
ગોદમાં	en el regazo	in the lap of
ગોદાવરી	godavari	"rive name ""the godavari"""
ગોધરા	godhra	godhra(name of railway station)
ગોપનીયતા	intimidad	secrecy / privacy
ગોપાલ	gopal	gopal
ગોરખનાથ	gorakhnath	gorakhnath
ગોરા	blanco	white
ગોરાઓનાં	de blancos	foreigner's
ગોલ્ડન	dorado	golden
ગોલ્ફ	golf	golf
ગોળ	redondo	round
ગોળા	esferas	sphere shaped
ગોળાઓ	esferas	balls
ગોળાકાર	redondeado	round
ગોળાર્ધમાં	en el hemisferio	hemisphere
ગોળી	disparo	bullet
ગોવા	ir a	goa
ગોવાના	ir a	of goa
ગોવાની	ir a	goa's
ગોવાનું	de goa	goa's
ગોવાનો	ir a	goa
ગોવામાં	en goa	in state of goa
ગોવિંદ	govind	govind name
ગોસેવા	goseva	caring of cow
ગોસ્વામી	goswami	goswami
ગોહિલ	gohil	gohil
ગૌડીય	gaudia	gaudiya, name of the hindu religion follower
ગૌણ	secundario	auxiliary
ગૌતમ	gautama	gautam
ગૌરવ	orgullo	pride
ગૌરવપૂર્ણ	orgulloso	prestigious
ગૌશાળા	gaushala	cowshed
ગ્રંથ	granth	volume / complex
ગ્રંથમાં	en la escritura	in the book
ગ્રંથમાળા	bibliografía	book series
ગ્રંથો	textos	texts
ગ્રંથોના	de textos	of the books
ગ્રંથોમાં	en textos	in books
ગ્રહ	planeta	planet
ગ્રહણ	eclipse	eclipse
ગ્રહની	del planeta	planet
ગ્રહો	planetas	planets
ગ્રહોના	de los planetas	of planets
ગ્રહોની	de los planetas	of planets
ગ્રહોને	a los planetas	to the planets
ગ્રાઉન્ડ	suelo	ground
ગ્રાન્ડ	grandioso	grand
ગ્રાફિક	gráfico	graphic
ગ્રાફિક્સ	gráficos	graphics
ગ્રામ	gramo	gram
ગ્રામીણ	rural	rural
ગ્રામ્ય	rural	rural
ગ્રાહક	cliente	customer
ગ્રાહકો	clientes	customers
ગ્રાહકોની	de clientes	of the customers
ગ્રાહકોને	clientes	to customers
ગ્રીક	griego	greek
ગ્રીકો	griegos	greek's
ગ્રીન	verde	green
ગ્રીનહાઉસ	invernadero	greenhouse
ગ્રીનહાઉસની	del invernadero	greenhouse's
ગ્રીસ	grecia	greece
ગ્રીસના	de grecia	of greece
ગ્રુપ	grupo	group
ગ્રૂપ	grupo	group
ગ્રેગોરીયન	gregoriano	gregorian
ગ્રેટ	excelente	great
ગ્રેટર	mayor	greater
ગ્લેશિયરહીમનદી	glaciar glaciar	glacier
ગ્લોબ	globo	globe
ગ્લોબલ	global	global
ઘંટ	campanas	bell
ઘઉં	trigo	wheat
ઘટક	ingrediente	component
ઘટકો	ingredientes	constituents
ઘટના	evento	incident
ઘટનાઓ	eventos	incidents
ઘટનાઓની	de eventos	of the events
ઘટનાઓનું	de eventos	of events
ઘટનાઓમાં	eventos	in the events
ઘટનાની	del evento	of incident
ઘટનાને	al evento	incidence
ઘટનાનો	del evento	process
ઘટનામાં	en el caso	in the event
ઘટવા	desistir	decrease
ઘટાડવા	para reducir	less / mearge
ઘટાડી	reducido	decreased
ઘટાડો	reducción	reduction
ઘટી	que cae	low
ઘટીને	caído	decreased
ઘટે	disminuye	decreases,
ઘટોત્કચ	ghatotkach	ghatotkach
ઘડવામાં	enmarcado	in construction
ઘડિયાળ	el reloj	watch / clock
ઘડી	ideado	moments
ઘણા	muchos	very
ઘણાં	un montón	lots of
ઘણાખરા	muchos	most of
ઘણી	un montón	many
ઘણીબધી	demasiados	many
ઘણીવાર	a menudo	many times
ઘણુ	mucho	more
ઘણું	mucho	much
ઘણો	mucho	much
ઘન	sólido	solid
ઘનતા	densidad	density
ઘનશ્યામ	ghanshyam	dhanshyam
ઘર	hogar	house
ઘરની	de la casa	of the house
ઘરમાં	en casa	house
ઘરે	en casa	(at) home
ઘરેલુ	doméstico	household
ઘરેલું	doméstico	stationed at home
ઘરો	casas	houses
ઘવાયા	herido	injured
ઘસી	frotado	twril
ઘાટ	molde	pass
ઘાયલ	herido	injured
ઘાસ	césped	grass
ઘાસના	de hierba	grass
ઘી	ghee	the
ઘુમ્મટ	el domo	vault
ઘુમ્મટની	de la cúpula	dome's
ઘુસી	penetrado	forceful entry
ઘેડ	oveja	ghed
ઘેર	hogar	home
ઘેરાયેલું	rodeado	spread
ઘેરાયેલો	rodeado	surrounded
ઘેરી	rodeado	dark
ઘેરો	oscuro	dark
ઘોંઘાટ	ruido	noise
ઘોડા	caballos	horses
ઘોષણા	anuncio	manifesto
ઘોષિત	declarado	declared
ચ	ch	also [sanskrit word]
ચંડીગઢ	chandigarh	chandigarh
ચંદ્ર	la luna	moon
ચંદ્રક	medalla	medal
ચંદ્રગુપ્ત	chandragupta	chandragupt
ચંદ્રનાં	de la luna	of chandar
ચંદ્રની	de la luna	of the moon
ચંદ્રને	a la luna	to moon
ચકાસણી	verificación	verification
ચક્ર	ciclo	revolve
ચક્રવર્તી	chakravarti	supreme
ચક્રવાત	ciclón	tsunami
ચડવા	escalar	to have
ચડાઈ	subida	invasion
ચડી	subida	climb
ચડીને	subida	climbed,
ચડે	subidas	climbs
ચડ્યો	trepado	climbed up
ચઢાણ	subida	climbings
ચતુર	inteligente	able / claver
ચતુર્થ	iv	fourth
ચન્દ્ર	la luna	chandar
ચમત્કાર	milagros	miracle
ચયાપચય	metabolismo	digestive system
ચરણ	paso	feet
ચરમ	extremo	top
ચરિત્ર	personaje	character
ચર્ચ	iglesia	church
ચર્ચા	discusión	discussion
ચર્ચાઓ	discusiones	discussions
ચલચિત્ર	película	movie
ચલણ	moneda	currency
ચલતે	en movimiento	by walk
ચલાવતા	corriendo	runner
ચલાવવા	correr	to run
ચલાવવામાં	ejecutado	run by
ચલાવી	correr	doing
ચલાવે	carreras	running
ચલાવ્યું	ejecutado	ran
ચલિત	moviente	run
ચળવળ	movimiento	activity
ચળવળના	de movimiento	of the movement
ચળવળની	de movimiento	of agitation
ચળવળને	movimiento	of the movement, to the movement
ચળવળમાં	en movimiento	in the agitation
ચા	té	tea
ચાંદી	plata	silver
ચાઇના	china	china
ચાઇનીઝ	chino	chinese
ચાણક્ય	chanakya	"name ""chanakaya"""
ચામડી	piel	skin
ચામુંડા	chamunda	chamunda
ચાર	cuatro	four
ચારણ	pies	rhapsody
ચારે	cuatro	all four
ચાર્લ્સ	charles	charles
ચાલ	moverse	trick
ચાલક	conductor	motive
ચાલતા	caminando	running
ચાલતી	corriendo	running
ચાલતું	corriendo	running
ચાલતો	caminando	went on
ચાલવાનું	caminando	to walk
ચાલી	corriendo	lasted for
ચાલીને	caminando	by walking
ચાલુ	en marcha	current
ચાલું	en marcha	current
ચાલે	carreras	running
ચાલ્યા	ido	went
ચાલ્યાં	ido	gone
ચાલ્યું	durado	ran
ચાલ્યો	se alejó	ran
ચાવલા	chawla	chawla
ચાવી	la clave	key
ચાહતા	aficionados	loved
ચાહે	ya sea	whether
ચિંતન	contemplación	thinking
ચિંતા	ansiedad	tension
ચિકિત્સા	terapia	cure
ચિકિત્‍સા	medicamento	cure
ચિતાર	chitar	picture
ચિત્ર	imagen	picture
ચિત્રકાર	pintor	painter
ચિત્રણ	ilustración	to draw
ચિત્રપટ	película	movie
ચિત્રો	imágenes	pictures
ચિત્રોં	imágenes	pictures / photos / paintings
ચિન્હ	firmar	sign,
ચિન્હો	señales	symbols
ચિહ્ન	icono	symbol
ચીકણો	pegajoso	glace
ચીજ	cosa	thing
ચીજો	cosas	things
ચીન	china	country name
ચીનના	de china	china's
ચીનની	de china	china's
ચીનમાં	en china	in china
ચીની	chino	chinese
ચીને	china	by china
ચુંટણી	elección	election
ચુંટણીમાં	en las elecciones	election
ચુંટાઇ	elegido	elected
ચુંટાઈ	elegido	elected
ચુંટાય	elegido	gets elected
ચુંટાયા	elegido	elected
ચુંટાયેલા	elegido	elected
ચુંબકીય	magnético	magnetic
ચુકાદો	juicio	judgement
ચુકી	perdido	missed
ચુક્યા	pagado	missed
ચુક્યું	perdido	missed
ચુક્યો	perdido	missed
ચુટણી	elección	elections
ચુસ્ત	apretado	strict
ચૂંટણી	elección	vote
ચૂંટણીમાં	en las elecciones	in election
ચૂકવણી	pagado	payment
ચૂકવવામાં	pagado	paying
ચૂકેલા	perdido	done
ચૂક્યા	perdido	missed
ચૅરિટિ	caridad	charity
ચેક	cheque	czech
ચેટ	charla	chat
ચેતવણી	advertencia	warning
ચેનલ	canal	channel
ચેનલો	canales	channels
ચેન્જ	cambio	change
ચેન્નઈ	chennai	chennai, name of the indian metro city
ચેન્નઈમાં	en chennai	in chennai
ચેપ	infección	infectious
ચેપની	de infección	of infection
ચેપી	infeccioso	lymphoma
ચેમ્પિયનશીપ	campeonato	championship
ચેમ્પીયન	campeón	champion,
ચેમ્પીયનશીપ	campeonato	championship
ચેરમેન	presidente	chair man
ચેસ	ajedrez	chess
ચૈતન્ય	conciencia	intelligence
ચૈત્ર	chaitra	sixth month of vikrama and first of shalivahana year
ચો	cho	square
ચોક	chowk	square
ચોકસાઈ	exactitud	cleanliness
ચોકિમી	chokimi	square kilometers
ચોક્કસ	exactamente	specific
ચોક્કસપણે	ciertamente	certainly
ચોખા	arroz	rice
ચોટીલા	picos	chotila
ચોતરફ	todo al rededor	from all side
ચોથા	cuarto	forth
ચોથી	cuarto	fourth
ચોથું	cuarto	forth
ચોથો	cuarto	fourth
ચોપરા	chopra	chopra
ચોરસ	cuadrado	square
ચોરી	robo	stolen
ચોરીથી	del robo	thieving
ચોળ	chola	highly,
ચૌદ	catorce	fourteen
ચૌધરી	chaudhary	choudhary
ચૌહાણ	chauhan	chouhan
છ	seis	six
છંતા	aunque	still
છઠ્ઠા	sexto	sixth
છઠ્ઠી	sexto	sixth
છત	techo	ceiling
છતરીઓ	sombrillas	umbrella
છતા	a pesar de que	in spite of
છતાં	aunque	still
છત્તીસગઢ	chhattisgarh	chhatisgad, name of state of india
છત્ર	paraguas	ceiling
છત્રપતિ	chhatrapati	chhatrapati (is the indian title of nobility most equivalent to a european emperor)
છબી	imagen	image
છબીઓ	imágenes	images
છવાયેલો	cubierto	spread all over
છાપ	impresiones	impression
છાપામાં	en la impresión	in newspaper
છાયા	sombra	shadow
છીએ	mirando	for
છું	a.m	am
છુટ	descuento	permission / exemption
છુટા	publicado	left from
છૂટ	descuento	exemption
છૂટા	publicado	terminated
છૂટો	lanzamiento	generosity
છે	es	is
છેઃ	es:	is
છેઅને	es y	is and
છેઅન્ય	es otro	other
છેઆ	esto es	is this
છેક	hasta	uttermost
છેકે	es decir	it means
છેકેટલાક	algunos	are there. some
છેજે	es decir	are which
છેજેમ	como	is like
છેજોકે	sin embargo	are there, still,
છેજ્યારે	cuando	when
છેડા	termina	ends
છેડે	al final	at end / end point
છેતરપિંડી	fraude	cheating
છેતે	es decir	is there that
છેપરંતુ	pero	is there, but
છેમાં	en	is in
છેયુનાઇટેડ	esta unido	is there. united
છેલ્લા	el último	last
છેલ્લાં	último	last
છેલ્લી	el último	last
છેલ્લુ	último	last,
છેલ્લું	último	last
છેલ્લે	finalmente	at last
છેલ્લો	último	last
છેવટે	finalmente	at last
છેસતિષચંદ્ર	satish chandra	"name ""satish chandur"""
છેસામાન્ય	es normal	is normal
છો	haría	you can be
છોડ	plantas	plant
છોડની	de las plantas	of plant
છોડવા	dejar	plants
છોડવાની	dejar	left/leave
છોડવામાં	despedido	leaving
છોડી	izquierda	to release
