$ tỉ	十亿美元	$ billion
cản	困扰	prevent
cảng	港口	port
cảnh	场景	situation
cảo	拉	posthumous
cấm	禁止的	ban
cấn	需要	dramatic
cấp	授予	level or rank (n.)
cất	蒸馏的	"(term should be ""cất giữ"") to keep safe or store"
cầm	保持	to hold (v.)
cần	需要	need
cầu	桥	request
cầy	灵猫	farmed
cẩn	小心一点	carefully
cẩu	吊车	"(term should be ""hải cẩu"") a seal (n.)"
cận	方法	close
cập	柜台	mention
cậu	他	a young man (n.)
cậy	依靠	reliable
cắm	插入	to plant (v.)
cắn	咬	to bite
cắp	偷	steal
cắt	切	cut
cằm	下巴	chin
cằn	脾气暴躁	exhausted (adj.)
cặp	一对	couple
cọ	手掌	rub
cọc	堆	pile
cọp	虎	tiger
cỏ	草	plant
cố	试一试	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	杯子	cereal
cối	砂浆	mortar
cốm	块金	grilled rice
cống	致敬	dedicate
cồn	酒鬼	i
cồng	锣	gong
cổng	门	gate
cỗ	甲板	engine
cỗi	固执	barren
cộ	车辆	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	旧的	origin
cộng	加号	to add (v.)
cột	专栏	pole
cớ	借口	excuse
cờ	旗	flag
cỡ	大小	size
cợt	开玩笑的	"(term should be ""đùa cợt"") to trifle (v.)"
cục	部门	department
cụm	集群	cluster
cụp	截肢	down
cụt	截肢	"(should be ""xương cụt"") the tailbone or coccyx"
củ	块茎	a bulb, a botanical term
của	的	of
củi	柴火	firewood
củng	也	reinforce
cứ	在	any
cức	咕	"(term should be ""cức Đê"") a character in chinese history"
cứng	辛苦	hard
cứngi	哈迪	cungi
cừ	堆	nacre
cừu	羊	sheep
cửa	门	door
cửu	相乘	nine
cữ	铜	abstinence
cữu	棺材	nine
cự	距离	against
cựa	马刺	retreat
cực	极端的	extreme
cựu	前者	former
d	d	d.
da	皮肤	skin
daegu	大邱	daegu
dahl	达尔	(proper noun) dahl, as in author roald dahl
dai	耐嚼的	persistent
daily	每天	daily
dakota	达科他州	dakota, as in the state of south dakota
dalat	大叻	da lat
dampier	阻尼器	(proper noun) dampier, a last name
dan	丹	dan
dancing	跳舞	dancing
danger	危险的	danger
danh	名	list
daniel	丹尼尔	daniel
dante	但丁	dante
dao	刀	poniard
darwin	达尔文	darwin
das	达斯	das
dassault	达索	(proper noun) dassault
date	日期	date
dau	头疼	dau
dave	戴夫	(proper noun) dave, as in dave sexton
david	大卫	david, as in david thomas
davies	戴维斯	davies
davis	戴维斯	davis
dbsk	数据库	dbsk
dc	直流电	d.c.
ddr	ddr	ddr
dean	院长	a name
degree	学位	degree
delhi	德里	delhi
delphi	德尔菲	(proper noun) delphi, as in the oracle
demeter	德米特	(proper noun) demeter, the greek goddess of the harvest
den	窝	den
dennis	丹尼斯	dennis
department	部门	departmen
derek	德里克	derek
des	des	des
descartes	笛卡尔	descartes
design	设计图	thiet ke
deuterium	氘	deuterium
deutschland	德国	deutschland
dewan	德万	dewan, as in dewan rakyat
dewitt	德威特	(proper noun) dewitt, as in rose dewitt bukater
di	细胞	move
diana	戴安娜	(proper noun) diana, as in diana ross
die	死	german
diego	迭戈	diego
dien	疯了	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	迪马乔	gimaggio
dinh	宫	official residence or palace
dionysus	狄俄尼索斯	dionysus, as in the greek god
discovery	发现	discovery
discussion	讨论区	discussion
disneyland	迪士尼乐园	disneyland
division	师	division
divoire	神职人员	d'lvoire
diêm	火柴	diem vuong
diên	疯了	"(term should be ""kinh diên"") canon (n.)"
diềm	价	matches
diều	风筝	kite
diểu	风筝	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	行军	parade
diệc	苍鹭	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	面子	face to face
diệt	杀死	to kill or destroy (v.)
diệu	魔术	effective (adj.)
djibouti	吉布提	djibouti, a country in africa
djokovic	乔科维奇	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	德米特里	dmitri
dna	脱氧核糖核酸	dna
do	由	because of
doanh	联合	"(term should be ""kinh doanh"") business (n.)"
doc	doc	doc
docherty	多切蒂	docherty
dolly	多莉	(proper noun) dolly, as in singer dolly parton
dome	圆顶	nha
dominican	多米尼加	(proper noun) dominican, as in the dominican republic
don	不要	(proper noun) don
donau	多瑙河	donau
dortmund	多特蒙德	(proper noun) dortmund
dougherty	发酵	dougherty
douglas	道格拉斯	douglas
dover	多佛	(proper noun) dover, as in the capital of delaware
doyle	道尔	doyle
doãn	杜安	doan
doạ	威胁	threat
dp	dp	dp
dracula	德古拉	dracula
draft	草稿	draft
drake	德雷克	(proper noun) drake
driver	司机	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	旅客	travel
dubai	杜拜	dubai
duiker	杜克	duiker
duk	杜克	duk
dumas	杜马	dumas
dumbledore	邓布利多	dumbledore
dung	粪	portrait
durham	杜伦	durham
dursley	达斯利	dursley
duy	只	only
duyên	注定的	coastal
duyện	有抱负的	fellatio
duyệt	浏览	browser
duơng	阳阳	ocean
duẩn	段	duan
duật	杜阿特	duat
duệ	后裔	descendants (n.)
duỗi	拉直	stretch
dwight	德怀特	dwight
dà	h	gradually
dài	长	to lengthen, as in time
dàn	分期	to arrange
dàng	容易的	dang
dành	花了	for
dào	丰富的	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	浓密的	thick
dái	小便	"penis (n.), although some may use the term to mean ""testicles"""
dám	敢于	dare
dán	贴上	stick
dáng	形状	appearance
dát	镶嵌	inlay
dâm	淫荡的	lustful (adj.)
dân	人	people
dâng	提供	dedicate
dây	电线	nerve
dã	野性的	chronicle
dãi	宽容的	band
dãn	扩张的	extend
dãy	顺序	a row (n.)
dè	小心一点	tight
défense	防御	defense
dép	凉鞋	slipper
dê	山羊	goat
dì	阿姨	aunt
dìu	ì	to lead by the hand (v.)
dính	粘性的	stick
dò	搜寻	(with word tham) to survey
dòm	看	snoop
dòng	线	"(term should be ""dòng họ"") family (n.)"
dó	那	a type of plant used to make paper in vietnam (n.)
dông	雷雨	a storm (n.)
dõi	追踪	monitor
dù	虽然	though
dùi	打孔器	awl
dùng	用过的	use
dăm	刨花	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	当然可以	why
dĩa	叉子	dish
dũng	英勇	courage
dơ	脏的	dirty
dơi	蝙蝠	bat
dư	多余的	remnant
dưa	甜瓜	melons
dưng	停止	suddently
dương	正面的	penis
dường	好像	seem
dưỡng	护理学	feed
dược	药房	having to do with medicine (adj.)
dượng	叔叔	uncle
dạ	是的	night
dại	愚蠢的	stupid or idiotic (adj.)
dạn	无所畏惧	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	格式	tyoe
dạo	漫步	vending
dạt	冲了	to drift
dạy	教书	teach
dải	剥离	range
dấm	醋	vinegar
dấp	绊脚	shape
dấu	标志	signal
dấy	引起	to raise (v.)
dần	逐渐地	people
dầu	油	oil
dẫm	脚	step on
dẫn	铅	to lead
dẫu	虽然	though
dận	阿姨	to step on
dậu	公鸡	rooster
dậy	起床	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	铅	lead
dằn	压载物	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	持久的	dằng dai= long/endless
dẳng	持久的	persist
dặm	英里	mile
dặn	下令	to advise (v.)
dặt	订单	conservative
dẹp	平整	pacify
dẹt	平的	flat
dẻ	栗子	chestnut
dẻo	可塑性	flexible
dế	蟋蟀	cricket
dền	mar菜	beetroot
dể	容易的	easy
dễ	容易的	easy
dệt	编织	textile
dị	奇点	simple
dịch	翻译	semen
dịp	场合	occasion
dịu	圆润的	ease
dọa	威胁	to threaten or scare (v.)
dọc	垂直的	along
dỏm	机智的	witty
dốc	斜率	slope
dối	说谎	lie
dốt	无知的	stupid or ignorant (adj.)
dồi	丰富的	"(term should be ""trau dồi"") improve (v.)"
dồn	陷入困境	accrue
dỗ	哄	dirty
dời	移动	leave
dở	不好	incomplete
dỡ	卸货	remove
dụ	例如	example
dục	性爱	sexuality
dụng	使用	use
dứa	凤梨	pineapple
dứt	已终止	to cease
dừa	椰子	coconut (n.)
dừng	停止	to cease
dữ	资料	"(term should be ""giận dữ"") anger (n.)"
dự	投射的	attend
dựa	基于	base on
dực	男	dực, as in lê tương dực
dỹ	ỹ	dy
e	ë	e.
ea	ea	(proper noun) ea, as in ea kao
earles	伯爵	earles
eaton	伊顿	eaton
ebro	埃布罗	a name
ecmascript	ecmascript	ecmascript
ecw	电磁波	ecw
edda	埃达	(proper noun) edda
edgar	埃德加	edgar, as in author edgar allan poe (n.)
edge	边缘	edge
edinburgh	爱丁堡	(proper noun) edinburgh, as in edinburgh, scotland
edison	爱迪生	edison
editor	编者	editor
edmond	埃德蒙	edmond
edo	江户	edo
edward	爱德华	edward
edwin	埃德温	edwin
eea	ea	eea
efron	埃夫隆	efron, as in zac efron
egypt	埃及	egypt
eid	开斋节	(proper noun) eid
eiffel	埃菲尔铁塔	eiffel
einstein	爱因斯坦	einstein
eisenhower	艾森豪威尔	eisenhower, as in former president dwight d. eisenhower
ekaterina	叶卡捷琳娜	this is a name
elbe	易北河	(proper noun) the elbe river
electronic	电子的	electronic
eliane	伊莲娜	(proper noun) eliane
elip	椭圆形	ellipse
elizabeth	伊丽莎白	elizabeth
ellen	爱伦	ellen
ellis	埃利斯	a name
elton	埃尔顿	(proper noun) elton, as in elton john
elvis	猫王	elvis
elíp	椭圆形	ellipse
em	你	younger sibling
email	电邮	email
emily	艾米莉	(proper noun) emily, as in emily dickinson
emir	埃米尔	emir
emmy	艾美奖	emmy
en	恩	erica reef
energy	能量	energy
engels	英格	engels
england	英国	(proper noun) england, as in new england
eniac	ac	eniac
entente	协约	entente
entropy	熵	entropy
enzym	酵素	enzymes
eo	腰围	eo, as in the film captain eo
ep	ep	a name
erich	富裕的	erich
erik	埃里克	erik, as in erik moller
eris	埃里斯	eris
eritrea	厄立特里亚	eritrea
ernest	欧内斯特	(proper noun) ernest
eros	爱神	eros, greek god of love
erwin	欧文	(proper noun) erwin, as in erwin rommel
españa	西班牙文	espana
essential	必不可少的	essential
ethernet	乙太网路	ethernet
ethiopia	埃塞俄比亚	(proper noun) ethiopia
euclid	欧几里得	euclid
eugene	尤金	eugene
eugène	欧仁	(proper noun) eugène
euler	欧拉	euler
euro	欧元	euro, as in the european currency
eurofighter	欧洲战斗机	eurofighter
europe	欧洲	europe
european	欧洲人	(proper adjective) european
eva	eva	eva
everton	埃弗顿	everton
every	每一个	every
exgay	妖精	exgay
explorer	探险家	explorer
extensive	广泛的	extensive
fabio	法比奥	(proper noun) fabio
facebook	脸书	(proper noun) facebook
fact	事实	fact
facto	事实	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	o	fao
farrell	法雷尔	farrell
faso	法索	faso
fbi	联邦调查局	fbi
fca	fca	fca
fdi	外国直接投资	fdi
features	特点	features
federer	费德勒	federer
feet	脚	feet
felipe	费利佩	felipe
felis	费利斯	(proper noun) felis
felix	费利克斯	(proper noun) felix, as in felix klein
ferb	b	ferb
ferdinand	费迪南德	ferdinand
ferguson	弗格森	ferguson
fernando	费尔南多	fernando
ferrari	法拉利	ferrari
fiat	菲亚特	fiat
fidel	菲德尔	fidel
field	场	field
fifa	国际足联	fifa
fifpro	fifpro	fifpro
figo	菲戈	figo
fiji	斐济	fiji
finish	完成	finish
firefox	火狐	(proper noun) mozilla firefox
fischer	菲舍尔	fischer, as in louis fischer
fish	鱼	fish
fishbed	鱼床	fishbed
fitzgerald	菲茨杰拉德	(proper noun) fitzgerald
flanker	侧翼	flanker
fleming	em	fleming
flight	飞行	flight
foch	och	(proper noun) foch
focus	重点	focus
foden	福登	(proper noun) foden, as in tom foden
fokker	福克	fokker
food	食物	food
football	足球	bong da
forbes	福布斯	(proper noun) forbes, as in the magazine
ford	福特汽车	(proper noun) ford
fordham	福特汉姆	(proper noun) fordham
forks	叉子	forks
foundation	基础	foundation
fox	狐狸	fox
fpt	fpt	a company name in vietnam
fracsin	弗拉辛	a function
franc	法郎	franc
france	法国	france
frances	法郎	frances
francis	弗朗西斯	francis, as in francis xavier
francisco	弗朗西斯科	francisco
franco	佛朗哥	franco
frank	坦率的	frank
frankfurt	法兰克福	(proper noun) frankfurt
franklin	富兰克林	franklin
franz	弗朗兹	(proper noun) franz, as in franz ritter
freud	弗洛伊德	(proper noun) freud, as in sigmund freud
friedman	弗里德曼	friedman
fu	fu	fu
fujiko	藤子	fujiko, as in japanese writer fujiko fujio
fujimoto	藤本	fujimoto
fukuoka	福冈	fukuoka
funimation	功能化	(proper noun) funimation
funk	放克	funk
futsal	五人制足球	futsal
fx	外汇	fx
ga	ga	station
gabon	加蓬	gabon
gabriel	加百利	gabriel
gabriella	加布里埃拉	gabriella
gagarin	加加林	gagarin
gaia	盖亚	gaia
gaillard	盖拉德	gaillard
galilei	加利利	galilei
galileo	伽利略	galileo, the astronomer
gam	克	gam
gambia	冈比亚	gambia
gamow	ow	a name
gan	肝	liver
gandhi	甘地	gandhi, as in mahatma gandhi
gang	帮派	cast iron
ganh	嫉妒	to be jealous
gao	高	strictly
gareth	加雷斯	a name
garrett	加勒特	garrett
gary	加里	gary
gascon	加斯康	(proper noun) gascon, a dialect of france
gatt	加特	gatt
gaule	高卢	gaul, a region in ancient western europe
gaulois	高卢瓦	gaulois
gay	同性恋者	tense
gaza	加沙	gaza
gdańsk	格但斯克	(proper noun) gdansk, poland
gdp	国内生产总值	gdp
geisha	艺ish	geisha
gen	基因	gene
gene	基因	(proper noun) gene, an english first name
genesis	成因	(proper noun) genesis
georg	乔治	(proper noun) georg
george	乔治	george
georges	乔治	(proper noun) georges, a french name
gepard	吉帕德	gepard
ger	ger	ger
gerais	吉拉斯州	(proper noun) gerais
gerhard	格哈德	gerhard
german	德文	german
germany	德国	germany
gerrard	杰拉德	gerrard, a last name
ghana	加纳	(proper noun) the african country of ghana
ghe	船	canoe
ghen	嫉妒	to be jealous (v.)
ghi	写	write
ghim	别针	pin
ghé	停止	visit
ghép	嫁接	fit
ghê	恶心的	disgust
ghì	ghì	tighten
ghẻ	ab疮	scabies (n.)
ghế	座位	chair
ghề	急流	scabby
ghềnh	急流	waterfall (n.)
gia	贾	date
giai	舞台	period
giam	被拘留	imprison
gian	空间	"(term should be ""thời gian"") time (n.)"
giang	江	syphilis
gibraltar	gibraltar	(proper noun) gibraltar
gichin	吉钦	gichin
gieo	母猪	sow
gifu	岐阜	gifu, a district in northern japan
ginzan	银山	ginzan
gio	焦	wind
gioi	菊井	world
giuliani	朱利亚尼	giuliani
giun	蠕虫	worm
giuse	use	giuse
giuộc	朱奥克	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	吉萨	giza
già	旧的	old (adj.)
giàn	桁架	"(term should be ""giàn hoa"") a trellis girder"
giành	赢了	secure
giàu	有钱	rich or wealthy (adj.)
giày	鞋子	a shoe
giá	价格	estimate
giám	导演	"(term should be ""giám sát"") to supervise (v.)"
gián	蟑螂	"(term should be ""gián tiếp"") indirectly"
giây	秒	seconds
giã	猛击	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	伸展	stretch
gièm	tract毁者	"(should be ""gièm pha"") to backstab"
giêhôva	吉瓦	jehovah
giêng	工	january
giêsu	耶稣	jesus
giêxu	连结	jesus
giò	春卷	leg
giòi	mag	maggot (n.)
giòn	松脆的	crunchy or crispy (adj.)
gió	风	wind
gióng	喜欢	align
giúp	帮忙	help
giũa	档案	sharpen
giơ	堵塞	raise
giương	扩口	posture
giường	床	bed
giả	假的	fake (adj.)
giải	奖品	solution
giảm	减少	decrease
giản	简化版	"(term should be ""giản dị"") simple (adj.)"
giấc	睡觉	giấc ngủ= the sleep
giấm	醋	drabble
giấu	隐藏	hide
giấy	纸	paper
giầu	有钱	rich
giận	生气	angry
giằng	支撑	pull
giặc	敌人	enemy
giặt	洗涤	to wash (n.)
giếng	井	well
giết	杀死	kill
giềng	邻居	"(term should be ""láng giềng"") neighboring"
giễu	嘲笑	ridicule
giọng	口音	tone
giọt	掉落	drop
giỏ	篮子	basket
giỏi	好	good
giồng	工	mound
giỗ	死亡纪念日	anniversaries of deaths
giới	性别	gender
giờ	小时	bao giờ=ever
giở	快闪	to open or unfold (v.)
giỡn	开玩笑的	joke
giục	督促	urge
giữ	等一下	hold
giữa	介于	between
gladys	林间空地	gladys
glazer	玻璃	glazer
glonass	格洛纳斯	glonass
gloria	荣耀	gloria
gloster	格洛斯特	(proper noun) gloster, as in gloster meteor
glucose	葡萄糖	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	去	"(term should be ""gay go"") tense"
goes	去	goes
goku	悟空	goku
golden	金色的	golden
gom	收集	to gather (v.)
google	谷歌	google
gorbachev	戈尔巴乔夫	gorbachev
gorbachyov	戈尔巴乔夫	gorbachev, as in former soviet president mikhail gorbachev
gordon	戈登	gordon, as in gordon brown
gore	血腥	gore
gorky	高大的	gorky, as in gorky park
gothic	哥特式	gothic
gottfried	炸了	gottfried
grabeel	抓斗	grabeel, a last name
graham	格雷厄姆	graham
granada	格拉纳达	granada
granit	花岗石	granite
greek	希腊语	(proper noun) greek
greenland	格陵兰岛	greenland
greenson	格林森	(proper noun) greenson
greenwich	格林威治	(proper noun) greenwich
greg	格雷格	greg
grenada	格林纳达	grenada
grenadines	手榴弹	grenadines
gross	总价	gross
grumman	格鲁曼	(proper noun) grumman
gruzia	佐治亚州	gruzia
gryffindor	格兰芬多	gryffindor
gs	s	prof.
gsts	消费税	professor- phd
gu	gu	gu
guam	关关	guam
guard	守卫	guard
guatemala	危地马拉	guatemala
gui	gui	gui
guinea	几内亚	guinea
guinness	健力士	(proper noun) guinness
guitar	结他	guitar
gujarat	古吉拉特邦	gujarat
gulag	古拉格	gulag
gulf	海湾	gulf
gullit	古利特	(proper noun) gullit
gundam	高达	(proper noun) gundam
gunung	古龙	(proper noun) gunung
gustave	古斯塔夫	gustave
gutenberg	古腾堡	gutenberg
guyana	圭亚那	guyana; proper noun
gà	鸡	chicken
gài	uck	to fasten (v.)
gào	尖叫	"(term should be ""thét gào"") to cry out (v.)"
gác	守卫	guard
gái	女孩	girl
gán	分配	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	负担	hold
gáy	颈背	crow
gân	肌腱	tendon
gây	原因	make
gãy	坏了	break
gì	什么	what
gìn	保存	preserve
gò	土堆	"(term should be ""gò má"") cheekbone (n.)"
gòn	ò	gon
góa	寡妇	widowed
góc	角落	angle
gói	包装	goi
góp	分期付款	to contribute
gót	脚跟	heels
gõ	类型	type
göbbels	戈贝斯	gobbels, as in joseph gobbels
găm	ard积	poniard
găng	手套	gloves
gũi	关闭	close
gươm	剑	sword
gương	镜	mirror
gạc	纱布	johnson south reef
gạo	饭	rice
gạt	扯掉	to cheat or trick (v.)
gả	结婚	marry
gảy	采摘	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	加克	gac
gấm	锦	brocade
gấp	赶快	times, as in many times
gấu	熊	a bear (n.)
gần	在附近	near
gầy	薄	thin
gẫy	坏了	break
gập	折	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	棍棒	stick
gắm	放屁	send
gắn	已安装	mount
gắng	试一试	try
gắt	严厉地	intense
gặm	gna	rodent
gặp	见面	meet
gặt	收割	harvest
gỉ	生锈的	rust
gọi	叫	call
gọn	整洁的	neat (adj.)
gọng	镶边	gong
gọt	削皮	cut
gỏi	色拉	a vietnamese salad
gốc	根	origin (n.)
gối	枕头	"(should be ""qùy gối"") to kneel"
gốm	陶瓷的	pottery
gồm	包括	include
gồng	锣	carry
gỗ	木	wood
gội	洗发水	shampoo
gộp	汇集	aggregate
gớm	可怕的	tremendous
gờ	壁架	edge
gởi	发送	send
gỡ	卸货	meet
gợi	暗示性的	to evoke (v.)
gục	崩溃了	"(term should be ""đánh gục"") crush, as in battle"
gừng	生姜	ginger
gửi	已发送	send
ha	哈	hectare
habana	哈瓦那	(proper noun) habana
habsburg	哈布斯堡	(proper noun) habsburg
haeberle	海伯尔	haeberle
hahn	哈恩	hahn
hai	两个	two (adj.)
hal	哈尔	hal
halle	哈雷	(proper noun) halle
halogen	卤素灯	halogen (n.)
ham	火腿	desire
hamilton	汉密尔顿	(proper noun) hamilton
han	han	han
hang	洞穴	cave
hangul	韩文	hangul
hanh	h	hanh
hanja	忍者	(proper noun) hanja, a type of chinese script
hansen	汉森	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	哈拉尔德	harald
hardy	强壮的	hardy
harlem	哈林区	harlem
harlow	哈洛	harlow
harold	哈罗德	(proper noun) harold
harper	哈珀	harper
harpercollins	哈珀科林斯	hapercollins
harrier	har	harrier, as in harrier jump jet
harris	哈里斯	harris
harry	哈里	harry
harvard	哈佛大学	(proper noun) harvard, the name of a college
harvey	哈维	harvey
havana	哈瓦那	(proper noun) havana, cuba
havilland	哈维兰	havilland
hawker	小贩	hawker
hawking	叫卖	(proper noun) hawking, as in physicist stephen hawking
hay	好	or
hb	血红蛋白	hb
hbv	乙肝病毒	hbv
hcl	盐酸	hcl
hd	高清	activity
he	嘿嘿	he, a korean name
health	健康状况	health
heath	荒地	heath
hee	嘻	hee
hegel	黑格尔	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	平安	heian
heinrich	海因里希	heinrich
helen	海伦	helen
helena	海伦娜	helena
heli	氦气	helium
hematocrit	血细胞比容	hematocrit
hemoglobin	血红蛋白	hemoglobin
hen	母鸡	asthma
henry	亨利	(proper noun) henry, as in henry kissinger
heo	猪	dolphin
her	她的	her
herbert	赫伯特	herbert, as in herbert schandler
hercegovina	黑塞哥维那	hercegovina
hercules	大力神	hercules
hermann	赫尔曼	hermann
hermes	爱马仕	hermes
hersh	赫什	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	赫斯提亚	hestia
hi	你好	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	希卡姆	(proper noun) hickam
hicks	希克斯	hicks
hideto	秀人	(proper noun) hideto
hideyoshi	秀吉	(proper noun) hideyoshi
hidro	氢	hydrogen
hillsborough	希尔斯伯勒	hillsborough
hilton	希尔顿	hilton
himalaya	喜马拉雅山	(proper noun) himalaya
hinata	日向	hinata
hindenburg	兴登堡	(proper noun) hindenburg
hindi	印地语	hindi
hindu	印度教	hindu, as in the hindu religion
hinh	欣	(proper noun) a vietnamese first name
hinhtron	欣创	circle
hiragana	平假名	hiragana
hiroshi	广史	hiroshi
hiroshima	广岛	(proper noun) hiroshima, the japanese city
hitchcock	希克科克	hitchcock
hitler	希特勒	hitler
hitter	打手	hitter
hitters	击球手	hitters
hiên	门廊	(proper noun) hiên, a vietnamese first name
hiđrô	氢	hydrogen
hiếm	难得的	rare
hiến	给	devote
hiếp	强奸	rape
hiếu	孝顺	pious
hiềm	生病了	grudge
hiền	鼠尾草	sage
hiểm	危险的	dangerous
hiểu	明白	learn
hiện	出现	"(term should be ""thực hiện"") to accomplish"
hiệp	一半	united
hiệu	效果	effective
hlv	教练	trainer
hms	hms	hms
hmông	苗族	hmong
hn	hn	hn
hoa	花	flower
hoan	节庆	welcome
hogwarts	霍格沃茨	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	i	rare
hokage	招呼	hokage
hokusai	北斋	hokusai
holmes	福尔摩斯	a name
holocaust	大屠杀	holocause
holocen	全新	holocen
holt	lt	holt, an english last name
hom	插	a cutting
homer	荷马	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	洪都拉斯	honduras
hong	红	hong
honolulu	火奴鲁鲁	honolulu
honshū	本顺	honshu
hopkins	霍普金斯	(proper noun) hopkins
hornet	大黄蜂	hornet
hotspur	热刺	(proper noun) hotspur, as in tottenham hotspur
houston	休斯顿	(proper noun) houston, as in whitney houston
howard	霍华德	(proper noun) howard
however	但是	however
hoà	领带	peace
hoài	怀旧的	always (adv.)
hoàn	完成	"(term should be ""hoàn toàn"") completely"
hoàng	皇家的	royal (adj.)
hoành	膜片	rife
hoá	化学	"(term should be ""văn hoá"") culture (n.)"
hoán	烫发	refined (adj.)
hoãn	推迟	delay
hoạ	油漆	disaster (tham hoa)
hoại	坏疽	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	无尽的	work
hoả	火	of
hoảng	恐慌	panic-stricken (adj.)
hoặc	或	or
hp	马力	hp
hq	总部	hq
hudgens	udge	(proper noun) hudgens
hudson	哈德森	hudson
huey	休伊	huey
hughes	拥抱	hughes
hugo	雨果	(proper noun) hugo
hume	休ume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	匈牙利的	hungary
hunt	狩猎	hunt
hurley	赫利	(proper noun) hurley, as in chad hurley
hussein	侯赛因	hussein
husserl	胡塞尔	huserl
huston	休斯顿	huston
hutech	高科技	hutech
huy	hu	a common vietnamese first name
huynh	兄弟	older brother
huyền	神秘的	huyền thoại= legend
huyễn	虚幻的	huyen
huyện	区	district
huyệt	穴位	lair
huân	uan	"(term should be ""huân chương"") medal (n.)"
huê	色相	"a less common vietnamese word for ""flower"""
huấn	训练	"(term should be ""huận luyện"") to train (v.)"
huế	色相	hue
huệ	色相	favour
huống	案子	situation
huỳnh	硫磺	sulfur
huỷ	取消	destroy
hydra	九头蛇	hydra, a monster in greek mythology
hydro	氢	hydrogen
hyperion	超离子	hyperion
hà	哈	"(term should be ""hà nội"") the capital of vietnam"
hài	喜剧片	corpse
hàm	机能	"(term should be ""bao hàm"") to imply (v.)"
hàng	商品	row
hào	护城河	depreciation
hách	霸道	glorious
hái	采摘	picking
hán	干旱	china
háo	渴望	eager
hát	唱歌	song
hâm	疯了	"(term should be ""hâm mộ"") to admire (v.)"
hân	满意	le ngoc han
hãi	害怕	to be scared (v.)
hãn	可汗	to sweat (v.)
hãng	坚定的	a company (n.)
hãnh	骄傲的	proud
hè	夏天	summer
hé	破解	reveal
héo	枯萎	dried-out
hét	大喊	shout
hên	幸运的	luck
hí	剧院	game
hít	吸气	act of kissing (hon hit)
hò	约会	date
hòa	领带	republic
hòe	狗屎	hoe
hòm	方舟	box
hòn	岛	island
hòng	好吧	in order to
hóc	ó	a corner (n.)
hót	唱歌	to chirp or sing (v.)
hô	珊瑚	respiration
hôi	犯规	stink
hôm	日	day (n.)
hôn	接吻	propose
hông	臀部	hip
hù	吓e	threaten
hùng	英雄	hero
húc	对接	huc
húng	罗勒	"(should be ""húng láng"") water mint"
hút	抽烟	to suck (v.)
hăng	辛辣的	enthusiasm
hđbt	đ	hdbt
hđh	đ	system software
hũ	罐子	jar
hơi	略	slightly
hơn	更多	more or less
hư	顽皮的	fictional
hưu	退休的	huu
hương	香	smell
hước	幽默的	humor
hướng	方向	trend
hường	香	huong
hưởng	享受	influence
hạ	降低	lower
hạc	吊车	crane
hạch	神经节	ganglion
hại	伤害	harm
hạng	等级	rank
hạnh	汉	happy
hạo	o	hao
hạp	百合	hap
hạt	珠子	seed
hải	习俗	two
hảo	完美的	perfect
hấn	侵略	aggressive gesture
hất	猛扑	toss
hấu	西瓜	"(term should be ""dưa hấu"") watermelon"
hầm	炖	ham
hầu	差不多	most
hận	讨厌	hatred
hậu	天气	anus
hắc	黑暗的	black
hắn	他	he (n.)
hắt	打喷嚏	reject
hằng	不变的	every
hặc	ặ	to criticize (v.)
hẹ	葱	chinese chives
hẹp	狭窄的	narrow
hẻm	胡同	alley (n.)
hẻo	僻静的	outback
hến	贻贝	mussel
hết	超过	most
hề	小丑	"(term should be ""không hề"") never"
hễ	eh	whenever
hệ	系统	relation
hệt	相同的	exactly
