$ tỉ	$ biliwn	$ billion
cận	dynesu	close
cập	cownter	mention
cậu	ef	a young man (n.)
cậy	dibynnu	reliable
cắm	plygiwch i mewn	to plant (v.)
cắn	brathu	to bite
cắp	dwyn	steal
cắt	torri	cut
cằm	ên	chin
cằn	grumpy	exhausted (adj.)
cặp	pâr	couple
cọ	palmwydd	rub
cọc	pentwr	pile
cọp	teigr	tiger
cỏ	glaswellt	plant
cố	ceisiwch	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	cwpan	cereal
cối	morter	mortar
cốm	nygets	grilled rice
cống	teyrnged	dedicate
cồn	alcoholig	i
cồng	gong	gong
cổng	y giât	gate
cỗ	dec	engine
cỗi	ystyfnig	barren
cộ	cerbydol	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	hen	origin
cộng	plws	to add (v.)
cột	colofn	pole
cớ	esgusodwch	excuse
cờ	baner	flag
cỡ	maint	size
cợt	cellwair	"(term should be ""đùa cợt"") to trifle (v.)"
cục	adran	department
cụm	clwstwr	cluster
cụp	amputated	down
cụt	amputated	"(should be ""xương cụt"") the tailbone or coccyx"
củ	cloron	a bulb, a botanical term
của	o	of
củi	coed tân	firewood
củng	hefyd	reinforce
cứ	ymlaen	any
cức	coo	"(term should be ""cức Đê"") a character in chinese history"
cứng	caled	hard
cứngi	hardi	cungi
cừ	pentyrrau	nacre
cừu	defaid	sheep
cửa	y drws	door
cửu	lluosi	nine
cữ	cu	abstinence
cữu	casged	nine
cự	pellter	against
cựa	sbardunau	retreat
cực	eithafol	extreme
cựu	gynt	former
d	ch	d.
da	croen	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	chewy	persistent
daily	yn ddyddiol	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	dalat	da lat
dampier	mwy llaith	(proper noun) dampier, a last name
dan	dan	dan
dancing	dawnsio	dancing
danger	perygl	danger
danh	enw	list
daniel	daniel	daniel
dante	dante	dante
dao	cyllell	poniard
darwin	darwin	darwin
das	das	das
dassault	dassault	(proper noun) dassault
date	dyddiad	date
dau	cur pen	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	deon	a name
degree	gradd	degree
delhi	delhi	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	demeter	(proper noun) demeter, the greek goddess of the harvest
den	ffau	den
dennis	dennis	dennis
department	adran	departmen
derek	derek	derek
des	des	des
descartes	descartes	descartes
design	dyluniad	thiet ke
deuterium	deuteriwm	deuterium
deutschland	deutschland	deutschland
dewan	dewan	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diana	(proper noun) diana, as in diana ross
die	marw	german
diego	diego	diego
dien	gwallgof	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	palas	official residence or palace
dionysus	dionysus	dionysus, as in the greek god
discovery	darganfyddiad	discovery
discussion	trafodaeth	discussion
disneyland	disneyland	disneyland
division	rhaniad	division
divoire	divoire	d'lvoire
diêm	gemau	diem vuong
diên	gwallgof	"(term should be ""kinh diên"") canon (n.)"
diềm	valances	matches
diều	barcud	kite
diểu	barcud	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	gorymdaith	parade
diệc	crëyr glas	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	wyneb	face to face
diệt	lladd	to kill or destroy (v.)
diệu	hud	effective (adj.)
djibouti	djibouti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	gan	because of
doanh	ar y cyd	"(term should be ""kinh doanh"") business (n.)"
doc	doc	doc
docherty	docherty	docherty
dolly	dolly	(proper noun) dolly, as in singer dolly parton
dome	cromen	nha
dominican	dominican	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	bygythiol	threat
dp	dp	dp
dracula	dracula	dracula
draft	drafft	draft
drake	drake	(proper noun) drake
driver	gyrrwr	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	du	travel
dubai	dubai	dubai
duiker	duiker	duiker
duk	duc	duk
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore
dung	tail	portrait
durham	durham	durham
dursley	dursley	dursley
duy	yn unig	only
duyên	predestined	coastal
duyện	dyheu	fellatio
duyệt	pori	browser
duơng	duong	ocean
duẩn	duan	duan
duật	duat	duat
duệ	disgynyddion	descendants (n.)
duỗi	sythu	stretch
dwight	dwight	dwight
dà	dah	gradually
dài	hir	to lengthen, as in time
dàn	llwyfannu	to arrange
dàng	hawdd	dang
dành	wedi treulio	for
dào	toreithiog	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	trwchus	thick
dái	piss	"penis (n.), although some may use the term to mean ""testicles"""
dám	meiddio	dare
dán	past	stick
dáng	siâp	appearance
dát	mewnosod	inlay
dâm	lewd	lustful (adj.)
dân	bobl	people
dâng	cynnig	dedicate
dây	weiren	nerve
dã	gwyllt	chronicle
dãi	caniataol	band
dãn	ymledu	extend
dãy	dilyniant	a row (n.)
dè	byddwch yn ofalus	tight
défense	défense	defense
dép	sandalau	slipper
dê	gafr	goat
dì	modryb	aunt
dìu	dìu	to lead by the hand (v.)
dính	gludiog	stick
dò	chwilio	(with word tham) to survey
dòm	edrych	snoop
dòng	llinell	"(term should be ""dòng họ"") family (n.)"
dó	hynny	a type of plant used to make paper in vietnam (n.)
dông	storm fellt a tharanau	a storm (n.)
dõi	trac	monitor
dù	er	though
dùi	puncher	awl
dùng	defnyddio	use
dăm	naddion	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	wrth gwrs	why
dĩa	ffyrc	dish
dũng	nerthol	courage
dơ	budr	dirty
dơi	ystlumod	bat
dư	gormodedd	remnant
dưa	melon	melons
dưng	stopio	suddently
dương	positif	penis
dường	ymddangos	seem
dưỡng	nyrsio	feed
dược	fferyllfa	having to do with medicine (adj.)
dượng	yncl	uncle
dạ	ie	night
dại	ffôl	stupid or idiotic (adj.)
dạn	yn ddi-ofn	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	fformat	tyoe
dạo	mynd am dro	vending
dạt	golchi llestri	to drift
dạy	dysgu	teach
dải	stribed	range
dấm	finegr	vinegar
dấp	baglu	shape
dấu	yr arwydd	signal
dấy	cyffroi	to raise (v.)
dần	yn raddol	people
dầu	olew	oil
dẫm	stomp	step on
dẫn	arwain	to lead
dẫu	er	though
dận	modryb	to step on
dậu	ceiliog	rooster
dậy	codi	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	arwain	lead
dằn	balast	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	parhaus	dằng dai= long/endless
dẳng	parhaus	persist
dặm	milltiroedd	mile
dặn	archebu	to advise (v.)
dặt	gorchymyn	conservative
dẹp	gwastad allan	pacify
dẹt	fflat	flat
dẻ	cnau castan	chestnut
dẻo	plastigrwydd	flexible
dế	criced	cricket
dền	amaranth	beetroot
dể	hawdd	easy
dễ	hawdd	easy
dệt	gwehyddu	textile
dị	unigolrwydd	simple
dịch	cyfieithu	semen
dịp	achlysur	occasion
dịu	mellow	ease
dọa	bygythiol	to threaten or scare (v.)
dọc	fertigol	along
dỏm	ffraeth	witty
dốc	llethr	slope
dối	celwydd	lie
dốt	anwybodus	stupid or ignorant (adj.)
dồi	toreithiog	"(term should be ""trau dồi"") improve (v.)"
dồn	cornelu	accrue
dỗ	coax	dirty
dời	symud	leave
dở	drwg	incomplete
dỡ	dadlwytho	remove
dụ	er enghraifft	example
dục	rhyw	sexuality
dụng	defnyddio	use
dứa	pîn-afal	pineapple
dứt	wedi ei derfynu	to cease
dừa	cnau coco	coconut (n.)
dừng	stopio	to cease
dữ	data	"(term should be ""giận dữ"") anger (n.)"
dự	amcanestyniad	attend
dựa	yn seiliedig	base on
dực	gwryw	dực, as in lê tương dực
dỹ	dỹ	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	clustdlysau	earles
eaton	eaton	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	ymyl	edge
edinburgh	edinburgh	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	golygydd	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	egypt	egypt
eid	eid	(proper noun) eid
eiffel	eiffel	eiffel
einstein	einstein	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	electronig	electronic
eliane	eliane	(proper noun) eliane
elip	elips	ellipse
elizabeth	elizabeth	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	elips	ellipse
em	ti	younger sibling
email	e-bost	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	emir	emir
emmy	emmy	emmy
en	cy	erica reef
energy	egni	energy
engels	engels	engels
england	england	(proper noun) england, as in new england
eniac	eniac	eniac
entente	entente	entente
entropy	entropi	entropy
enzym	ensym	enzymes
eo	gwasg	eo, as in the film captain eo
ep	ep	a name
erich	erich	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	ernest	(proper noun) ernest
eros	eros	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	hanfodol	essential
ethernet	ether-rwyd	ethernet
ethiopia	ethiopia	(proper noun) ethiopia
euclid	euclid	euclid
eugene	ewgene	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	ewro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	ewrop	europe
european	ewropeaidd	(proper adjective) european
eva	eva	eva
everton	everton	everton
every	bob	every
exgay	exgay	exgay
explorer	fforiwr	explorer
extensive	helaeth	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	ffaith	fact
facto	facto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	nodweddion	features
federer	ffederer	federer
feet	traed	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fiat	fiat
fidel	ffyddlon	fidel
field	maes	field
fifa	fifa	fifa
fifpro	fifpro	fifpro
figo	figo	figo
fiji	fiji	fiji
finish	gorffen	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	fischer	fischer, as in louis fischer
fish	pysgod	fish
fishbed	gwely pysgod	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	blaenasgellwr	flanker
fleming	ffleming	fleming
flight	hedfan	flight
foch	foch	(proper noun) foch
focus	ffocws	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	bwyd	food
football	pêl-droed	bong da
forbes	gwahardd	(proper noun) forbes, as in the magazine
ford	rhyd	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	ffyrc	forks
foundation	sylfaen	foundation
fox	llwynog	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	ffranc	franc
france	france	france
frances	ffrancod	frances
francis	francis	francis, as in francis xavier
francisco	francisco	francisco
franco	franco	franco
frank	gonest	frank
frankfurt	frankfurt	(proper noun) frankfurt
franklin	franklin	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	freud	(proper noun) freud, as in sigmund freud
friedman	friedman	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	funimation	(proper noun) funimation
funk	ffync	funk
futsal	futsal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarin	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	gram	gam
gambia	gambia	gambia
gamow	gamow	a name
gan	afu	liver
gandhi	gandhi	gandhi, as in mahatma gandhi
gang	gang	cast iron
ganh	cenfigennus	to be jealous
gao	gao	strictly
gareth	gareth	a name
garrett	garrett	garrett
gary	gary	gary
gascon	gascon	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	hoyw	tense
gaza	gaza	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	geisha	geisha
gen	genynnau	gene
gene	genyn	(proper noun) gene, an english first name
genesis	genesis	(proper noun) genesis
georg	georg	(proper noun) georg
george	george	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	german	german
germany	yr almaen	germany
gerrard	gerrard	gerrard, a last name
ghana	ghana	(proper noun) the african country of ghana
ghe	cwch	canoe
ghen	cenfigennus	to be jealous (v.)
ghi	ysgrifennu	write
ghim	pinnau	pin
ghé	stopio	visit
ghép	impiad	fit
ghê	ffiaidd	disgust
ghì	ghì	tighten
ghẻ	y clafr	scabies (n.)
ghế	sedd	chair
ghề	dyfroedd gwyllt	scabby
ghềnh	dyfroedd gwyllt	waterfall (n.)
gia	gia	date
giai	llwyfan	period
giam	cadw	imprison
gian	lle	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	gibraltar	(proper noun) gibraltar
gichin	gichin	gichin
gieo	hau	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	mwydod	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	giza	giza
già	hen	old (adj.)
giàn	truss	"(term should be ""giàn hoa"") a trellis girder"
giành	ennill	secure
giàu	cyfoethog	rich or wealthy (adj.)
giày	esgidiau	a shoe
giá	pris	estimate
giám	cyfarwyddwr	"(term should be ""giám sát"") to supervise (v.)"
gián	chwilod duon	"(term should be ""gián tiếp"") indirectly"
giây	eiliadau	seconds
giã	puntio	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	ymestyn	stretch
gièm	detractors	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	tebyg	january
giêsu	jesus	jesus
giêxu	nexus	jesus
giò	rholiau gwanwyn	leg
giòi	cynrhon	maggot (n.)
giòn	crensiog	crunchy or crispy (adj.)
gió	gwynt	wind
gióng	fel	align
giúp	help	help
giũa	ffeil	sharpen
giơ	jam i fyny	raise
giương	ffaglu	posture
giường	gwely	bed
giả	ffug	fake (adj.)
giải	gwobr	solution
giảm	lleihau	decrease
giản	symleiddiwyd	"(term should be ""giản dị"") simple (adj.)"
giấc	cysgu	giấc ngủ= the sleep
giấm	finegr	drabble
giấu	cuddio	hide
giấy	papur	paper
giầu	cyfoethog	rich
giận	yn ddig	angry
giằng	bracing	pull
giặc	gelyn	enemy
giặt	golchi	to wash (n.)
giếng	y ffynnon	well
giết	lladd	kill
giềng	cymydog	"(term should be ""láng giềng"") neighboring"
giễu	gwawd	ridicule
giọng	acen	tone
giọt	diferion	drop
giỏ	basged	basket
giỏi	da	good
giồng	giong	mound
giỗ	pen-blwydd marwolaeth	anniversaries of deaths
giới	rhyw	gender
giờ	yr awr	bao giờ=ever
giở	fflach	to open or unfold (v.)
giỡn	cellwair	joke
giục	annog	urge
giữ	dal gafael	hold
giữa	rhwng	between
gladys	gladys	gladys
glazer	glazer	glazer
glonass	glonass	glonass
gloria	gloria	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	glwcos	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	ewch	"(term should be ""gay go"") tense"
goes	yn mynd	goes
goku	goku	goku
golden	euraidd	golden
gom	casglu	to gather (v.)
google	google	google
gorbachev	gorbachev	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	gore	gore
gorky	gorky	gorky, as in gorky park
gothic	gothig	gothic
gottfried	gottfried	gottfried
grabeel	grabeel	grabeel, a last name
graham	graham	graham
granada	granada	granada
granit	gwenithfaen	granite
greek	greek	(proper noun) greek
greenland	ynys las	greenland
greenson	greenson	(proper noun) greenson
greenwich	greenwich	(proper noun) greenwich
greg	greg	greg
grenada	grenada	grenada
grenadines	grenadines	grenadines
gross	gros	gross
grumman	grumman	(proper noun) grumman
gruzia	georgia	gruzia
gryffindor	gryffindor	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	gu	gu
guam	guam	guam
guard	gwarchod	guard
guatemala	guatemala	guatemala
gui	gui	gui
guinea	gini	guinea
guinness	guinness	(proper noun) guinness
guitar	gitâr	guitar
gujarat	gujarat	gujarat
gulag	gulag	gulag
gulf	gagendor	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	guyana	guyana; proper noun
gà	cyw iâr	chicken
gài	tuck	to fasten (v.)
gào	sgrechian	"(term should be ""thét gào"") to cry out (v.)"
gác	gwarchod	guard
gái	merch	girl
gán	aseinio	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	baich	hold
gáy	nape	crow
gân	tendon	tendon
gây	achos	make
gãy	wedi torri	break
gì	beth	what
gìn	cadw	preserve
gò	twmpath	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	gweddw	widowed
góc	cornel	angle
gói	pecyn	goi
góp	rhandaliad	to contribute
gót	sawdl	heels
gõ	math	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	celc	poniard
găng	menig	gloves
gũi	cau	close
gươm	cleddyf	sword
gương	drych	mirror
gạc	rhwyllen	johnson south reef
gạo	reis	rice
gạt	rhwygo i ffwrdd	to cheat or trick (v.)
gả	priodas	marry
gảy	pluo	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	brocâd	brocade
gấp	brysiwch	times, as in many times
gấu	yr arth	a bear (n.)
gần	ger	near
gầy	tenau	thin
gẫy	wedi torri	break
gập	plygu	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	ffyn	stick
gắm	fart	send
gắn	wedi&#39;u mowntio	mount
gắng	ceisiwch	try
gắt	yn hallt	intense
gặm	gnaw	rodent
gặp	cwrdd	meet
gặt	medi	harvest
gỉ	rhydlyd	rust
gọi	galw	call
gọn	yn dwt	neat (adj.)
gọng	rimmed	gong
gọt	pario	cut
gỏi	salad	a vietnamese salad
gốc	gwraidd	origin (n.)
gối	gobenyddion	"(should be ""qùy gối"") to kneel"
gốm	cerameg	pottery
gồm	cynnwys	include
gồng	gong	carry
gỗ	pren	wood
gội	siampŵ	shampoo
gộp	cyfun	aggregate
gớm	cudd	tremendous
gờ	silff	edge
gởi	anfon	send
gỡ	dadlwytho	meet
gợi	awgrymog	to evoke (v.)
gục	cwympo	"(term should be ""đánh gục"") crush, as in battle"
gừng	sinsir	ginger
gửi	anfon	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	dau	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	halogen	halogen (n.)
ham	ham	desire
hamilton	hamilton	(proper noun) hamilton
han	han	han
hang	ogof	cave
hangul	hangul	hangul
hanh	hanh	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	gwydn	hardy
harlem	harlem	harlem
harlow	harlow	harlow
harold	harold	(proper noun) harold
harper	telynor	harper
harpercollins	harpercollins	hapercollins
harrier	boda tinwyn	harrier, as in harrier jump jet
harris	harris	harris
harry	harry	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havana	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	hawker	hawker
hawking	hawking	(proper noun) hawking, as in physicist stephen hawking
hay	da	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	ef	he, a korean name
health	iechyd	health
heath	rhostir	heath
hee	hee	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrich	heinrich
helen	helen	helen
helena	helena	helena
heli	heliwm	helium
hematocrit	hematocrit	hematocrit
hemoglobin	haemoglobin	hemoglobin
hen	iâr	asthma
henry	henry	(proper noun) henry, as in henry kissinger
heo	mochyn	dolphin
her	hi	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	hercules	hercules
hermann	hermann	hermann
hermes	hermes	hermes
hersh	hersh	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	hestia	hestia
hi	hi	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	hicks	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoshi	(proper noun) hideyoshi
hidro	hydrogen	hydrogen
hillsborough	bryniau	hillsborough
hilton	hilton	hilton
himalaya	himalaya	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hindw	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hiroshima	(proper noun) hiroshima, the japanese city
hitchcock	hitchcock	hitchcock
hitler	hitler	hitler
hitter	hitter	hitter
hitters	tarowyr	hitters
hiên	porth	(proper noun) hiên, a vietnamese first name
hiđrô	hydrogen	hydrogen
hiếm	prin	rare
hiến	rhoi	devote
hiếp	treisio	rape
hiếu	duwioldeb filial	pious
hiềm	yn sâl	grudge
hiền	saets	sage
hiểm	peryglus	dangerous
hiểu	deall	learn
hiện	arddangos i fyny	"(term should be ""thực hiện"") to accomplish"
hiệp	hanner	united
hiệu	effaith	effective
hlv	hyfforddwr	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	blodyn	flower
hoan	gwyl	welcome
hogwarts	hogwarts	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	holocost	holocause
holocen	holocene	holocen
holt	holt	holt, an english last name
hom	toriadau	a cutting
homer	homer	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	cornet	hornet
hotspur	hotspur	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	fodd bynnag	however
hoà	tei	peace
hoài	hiraethus	always (adv.)
hoàn	cyflawn	"(term should be ""hoàn toàn"") completely"
hoàng	brenhinol	royal (adj.)
hoành	diaffram	rife
hoá	cemeg	"(term should be ""văn hoá"") culture (n.)"
hoán	perm	refined (adj.)
hoãn	i ohirio	delay
hoạ	paent	disaster (tham hoa)
hoại	gangrene	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	hentai	work
hoả	tân	of
hoảng	panig	panic-stricken (adj.)
hoặc	neu	or
hp	hp	hp
hq	hq	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	huey	huey
hughes	cofleidiau	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	hongian	hungary
hunt	hela	hunt
hurley	hurley	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	husserl	huserl
huston	huston	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	brawd	older brother
huyền	cyfriniol	huyền thoại= legend
huyễn	rhith	huyen
huyện	ardal	district
huyệt	pwyntiau aciwbigo	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	lliw	"a less common vietnamese word for ""flower"""
huấn	hyfforddiant	"(term should be ""huận luyện"") to train (v.)"
huế	lliw	hue
huệ	lliw	favour
huống	achos	situation
huỳnh	sylffwr	sulfur
huỷ	canslo	destroy
hydra	hydra	hydra, a monster in greek mythology
hydro	hydrogen	hydrogen
hyperion	hyperion	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	comedi	corpse
hàm	swyddogaeth	"(term should be ""bao hàm"") to imply (v.)"
hàng	nwyddau	row
hào	ffos	depreciation
hách	gormesol	glorious
hái	pigo	picking
hán	sychder	china
háo	yn eiddgar	eager
hát	canu	song
hâm	gwallgof	"(term should be ""hâm mộ"") to admire (v.)"
hân	han	le ngoc han
hãi	ofnus	to be scared (v.)
hãn	khan	to sweat (v.)
hãng	cadarn	a company (n.)
hãnh	balch	proud
hè	haf	summer
hé	wedi cracio i fyny	reveal
héo	gwywo	dried-out
hét	gwaeddodd	shout
hên	lwcus	luck
hí	ne	game
hít	sniff	act of kissing (hon hit)
hò	dyddio	date
hòa	tei	republic
hòe	cachu	hoe
hòm	arch	box
hòn	ynys	island
hòng	wel	in order to
hóc	hóc	a corner (n.)
hót	canu	to chirp or sing (v.)
hô	ho	respiration
hôi	aflan	stink
hôm	dydd	day (n.)
hôn	cusan	propose
hông	cluniau	hip
hù	dychryn	threaten
hùng	arwyr	hero
húc	butting	huc
húng	basil	"(should be ""húng láng"") water mint"
hút	ysmygu	to suck (v.)
hăng	pungent	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	jariau	jar
hơi	ychydig	slightly
hơn	mwy	more or less
hư	drwg	fictional
hưu	wedi ymddeol	huu
hương	arogldarth	smell
hước	doniol	humor
hướng	cyfeiriad	trend
hường	huong	huong
hưởng	mwynhau	influence
hạ	is	lower
hạc	craen	crane
hạch	ganglion	ganglion
hại	niwed	harm
hạng	rheng	rank
hạnh	hanh	happy
hạo	hao	hao
hạp	hap	hap
hạt	gleiniau	seed
hải	tollau	two
hảo	perffaith	perfect
hấn	han	aggressive gesture
hất	fling	toss
hấu	watermelon	"(term should be ""dưa hấu"") watermelon"
hầm	stiw	ham
hầu	bron	most
hận	casineb	hatred
hậu	hau	anus
hắc	du	black
hắn	ef	he (n.)
hắt	tisian	reject
hằng	cyson	every
hặc	hặc	to criticize (v.)
hẹ	sialóts	chinese chives
hẹp	cul	narrow
hẻm	ali	alley (n.)
hẻo	diarffordd	outback
hến	cregyn gleision	mussel
hết	drosodd	most
hề	clown	"(term should be ""không hề"") never"
hễ	eh	whenever
hệ	system	relation
hệt	yn union yr un fath	exactly
hỉ	hei	happy
hịch	thud	a proclamation
họ	nhw	they (n.)
họa	celf	picture
