aajo	ไร้สาระ	hospitality
lábé	น้ำหนัก	under
láfún	รับ	cassava food
láimo	ไม่มี	unknown
láké	ดัง	in ake
lámọ́di	โชคลาภ	lamodi
lápá	ส่วนหนึ่ง	from
lára	เจ็บ	part of
lárúbáwá	ธรรมชาติ	arabic
láì	ไม่มี	without
láíláí	ไม่เคย	old
lèe	สามารถ	can
lèyìn	ภายหลัง	after
lédè	ในภาษา	language
léebá	โดยบังเอิญ	catch up with it
lérìnín	หิมะ	erin=laughter; the prefix 'l' is possesive
lérò	เหตุผล	thought
léyin	ภายหลัง	after
léyìn	ต่อมา	after
lérú	ความเป็นทาส	enslave
lílo	การแสวงหาผลประโยชน์	using
lísa	การเร่งความเร็ว	a chieftaincy title
lítésò	ที่กัด	literature
lóde	ด้านนอก	modern
lópez	nipez	lopez
lópó	แม่หม้าย	widow
lórì	ท่าเรือ	on the head
lóríba	เกิน	subdue
lóti	จำนวนมาก	have
lóòótò	ใช่	truly
lóòótọ́	จริง	truly
ló	ló	to
lónà	ระหว่างทาง	in a way
lórò	วันพรุ่งนี้	become wealthy
lọndọnu	กรุงลอนดอน	london
lọ́dọọdún	เป็นประจำทุกปี	yearly
lọ́jà	ที่ตลาด	in the market
maapu	แผนที่	map
madeira	beira	madeira
mahatma	มหาตมะ	mahatma
makedonia	มาซิโดเนีย	macedonia
malabo	น้ำผึ้ง	malabo
malay	สันนิษฐาน	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	ประเทศมาเลเซีย	malaysia
mali	วัน	mali
mango	มะม่วง	mango
manˈdeːla	mandelala	mandela
marcellus	มาร์เซลลั	marcellus
march	มีนาคม	march
marku	เวลานี้	mark
mars	ดาวอังคาร	mars
maryland	รัฐแมรี่แลนด์	maryland
maseru	ความหึงหวง	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	คณิตศาสตร์	mathematics
max	สูงสุด	max
maya	ไม่	maya
mbabane	เชิงลบ	mbabane
means	วิธี	ona (way)
mediteraneani	ทะเลเมดิเตอร์เรเนียน	mediterranean
mefeefa	ยกเครื่อง	all six
mejidinlogbon	ยี่สิบแปด	twenty eight
mejila	สิบสอง	twelve
meksiko	เม็กซิโก	mexico
melo	เท่าไหร่	some
member	สมาชิก	ara
mercosur	mercosur	mercosur
merin	สี่	four
methodologies	วิธีการ	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	เม็กซิโก	mexico
michelle	michelle	michelle
micronesia	ไมโครนีเซีย	micronesia
miiràn	บรรเทา	another
mimoy	mimoy	mimoy
mimuwa	ยึดมั่น	import
minnesota	มินนิโซตา	minnesota
minority	ชนกลุ่มน้อย	awon ara kekere
mohandas	มหาตมะ	mohandas
mokaleladota	กะทัดรัด	51, (mokanleladota)
mokanlelogbon	สามสิบสอง	thirty-one
mombasa	มอมบาซา	mombasa
monrovia	มอนโรเวีย	monrovia
morgan	มอร์แกน	morgan
morogoro	ซึ่งใช้เครื่องยนต์	morogoro
mozambique	ประเทศโมซัมบิก	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	เลือกอีกครั้ง	mtwara
mughal	ปริมาณ	mughal
mulẹ̀	สร้าง	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	ไม่เป็นไร	testament
mère	การวาดภาพ	significant
méjèèjì	ทั้งสอง	the two
mérindíláàdóta	ห้าสิบห้า	forty-six
méte	ห้า	lip
mérìndínlógún	สิบหก	sixteen
mérìnlélógójì	สี่สิบสี่	44
méta	สาม	three
métèètà	ช่างไม้	the three
méwàá	สิบ	ten
ménu	คุณคิดว่า	verbally contribute; complete phrase= me nu ba
mímọ́	ศักดิ์สิทธิ์	holy
míràn	อื่น	other
míìrán	อื่น	other
mííràn	อื่น	other
mò	ความรู้	know
mókólà	กาว	mokola
móra	รักษา	with themselves
mó	m	with
múlẹ̀	ยึดไว้อย่างรวดเร็ว	select land (farmland)
mẹ́fà	หก	6
mẹ́rkúríù	หนู	mercury
mẹ́ta	สาม	3
mẹ́talọ́kan	กลุ่มที่มี 3 คน	trinity
namibia	ที่จะมา	namibia
nathaniel	นาธาเนียล	nathaniel
nato	นาโต	nato
nawojulo	ทำให้งง	highest-spending
nawó	รับเงินของคุณ	point finger
ncnc	ncnc	ncnc
nebraska	เนบราสก้า	nebraska
nefimu	nephim	nefimu
neptune	เกตุ	neptune
nevis	เนวิส	nevis
ngbero	ที่วางแผนไว้	planning
ngubengcuka	นกูเบงคูกา	ngubengcuka
nibe	ที่นั่น	there
nibere	ตอนต้น	earlier
nigbakan	บางครั้ง	at one time
nigbà	แล้วก็	when
nijẹr	nike	niger
nilè	ที่นี่	remaining
nisinyi	ตอนนี้	at present
nitoriidieyi	ด้วยเหตุนี้	because of this
nitoripe	เพราะ	because
nitosi	ใกล้เคียง	nearby
niwaju	ล่วงหน้า	in front of
niyato	เห็นความแตกต่าง	unlike
niye	พอ	in number
niyi	นี่มันคือ	these
nkan	สิ่ง	things
nkàn	โรคมะเร็ง	something
nnaji	ลุง	nnaji
nobel	โนเบล	nobel
nombamewa	คูณ	decimal
nombáméjì	สองคนแรก	two-number
novo	โนโว	novo
nri	อาหาร	nri
nse	ออกแบบ	acting
nso	ใกล้	saying
nsolaboraro	ความปลอดภัย	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	จุด	indicates
nu	สะอาด	in
nukleotidi	เบื่อหน่าย	nucleotides
nukleotidipupo	เบื่อหน่าย	cell
numeri	ชา	numbers
nwa	ทารก	drill
nàìjíríà	ในไนจีเรีย	nigeria
náwo	ค่าใช้จ่าย	spend money
náà	เกินไป	that
nì	ภูเขา	is
nìnú	ขอโทษ	in
nìyí	นี่ไง	this is
ní	มี	on
níbè	ที่นั่น	there
níbè	ที่นั่น	there
nífẹ̀ẹ́	ที่จะรัก	love
nígbàtí	เมื่อไหร่	when
nílè	ด้านล่าง	on the ground
nílùú	ในเมือง	in the town
nílẹ̀	บนพื้น	in the land
nínlá	ยิ่งใหญ่	large
nínu	โอกาส	in
níní	เพื่อที่จะมี	having
nípà	อย่างน้อย	by
nítorípé	เพราะ	because
nítumò	ความหมาย	meaningful
nítòsí	ใกล้เคียง	nearby
nítòótó	อย่างแน่นอน	truly
nítòótọ́	จริง	in truth, truthfully
níwájú	ล่วงหน้า	in front
níyanjú	ในทางบวก	solved
nǹkan	สิ่ง	things
nso	เร็ว ๆ นี้	say
oba	โอบามา	king
obairanderan	ลูกพี่ลูกน้อง	hereditary
obere	เล็ก	started
obínibí	มารยาท	inborn
ododo	ความชอบธรรม	righteousness
ofin	กฏหมาย	law
ogbè	ภูมิภาค	a divinity
ogun	สงคราม	war
ogunlogo	ฝูงชน	hundreds
ojo	ดูเหมือน	day
ojojumo	ประจำวัน	daily
ojoru	ความอบอุ่น	wednesday
ojukokoro	ความโลภ	covetousness
ojuoorun	พระอาทิตย์ตกดิน	atmosphere
ojuse	ความรับผิดชอบ	responsibility
ojùkòsì	การเร่งรัด	ojukosi
ojùkòtúu	การเร่งรัด	ojukotuu
ojúlùmọ̀	คนรู้จัก	acquaintance
ojútáyé	ความเหนียว	public
ojúìwé	หน้า	page
okeere	ต่างประเทศ	distant
okhotsk	okhotsk	okhotsk
oko	สนาม	farm
okunkun	ความมืด	darkness
okunrin	ผู้ชาย	male person
olodiajodojuko	ซึ่งกันและกัน	facing wall
olohun	เจ้าของ	god
olojukanna	ทันที	same surface
olokunkun	หูฟัง	popular
ololugbe	คนขี้แพ้	occupants
olopon	หยิ่งผยอง	a local game
olora	อ้วน	fertile
oloselukan	สวัสดี	one political
oloye	อัจฉริยภาพ	chief
oluda	ผู้สร้าง	creator
oludase	ผู้ผลิต	separatist
olukoitan	อาจารย์ผู้สอน	the writer
olukowe	ผู้เขียน	writer
olumojuto	โลภ	overseer
oluparapo	การรวมกัน	joint
olusoju	ยาม	ambassador
oluwakiri	การสำรวจ	explorer
olympus	olympus	olympus
olódùmarè	ยิ่งใหญ่	almighty god
olóyè	ไม้บรรทัด	chief
olóṣèlú	นักการเมือง	politics
olùbátan	ผู้ติดต่อนี้	relative
olùdarí	ผู้นำ	director
olùkópa	ผู้สนับสนุน	participant
olùkó	อาจารย์ผู้สอน	teacher
olùkọ́	ครู	teacher
omi	น้ำ	water
omiadalu	น้ำท่วม	mixture
onialjebra	onialjebra	of algebra
onibugbe	ผู้เช่า	population
onigbeja	สร้างสรรค์	allied
onigbowo	สปอนเซอร์	sponsor
onigunfenfe	อยู่เฉยๆ	large angle
onilanaibagbepo	ถุงยาง	constitutional
onilile	เจ้าของบ้าน	solid
oninawo	ผู้ยืม	financial
onipin	มีเหตุผล	even
onisayensi	ช่าง	scientific
onisowo	ผู้ประกอบการค้า	trader
oniyewumeji	ไบนารี่	two-chamber
oniyijulo	น่ากลัว	highest honour
onje	อาหาร	food
onka	เครื่องคิดเลข	counter
onígbàgbó	ชายชรา	believer
oníkólóbó	ปากหมา	onikolobo (place)
onílẹ̀	ลง	land owners; citizens (omo onile)
oníná	ไฟ	electronic
onítumò	นักแปล	meaning
onítèbọmi	บัพติศมา	baptist
onítòhùn	นักบัญชี	that person
oníwòsàn	หมอ	doctor
oníyanjù	ภาพเคลื่อนไหว	persevere
ooni	จระเข้	ooni (king)
ootọ́	จริง	truth
opec	โอเปก	opec
opposite	ตรงข้าม	odi
ori	ศีรษะ	top
oriire	ขอแสดงความยินดี	success
oriki	ชาวตะวันออก	name of endearment
orileede	ประเทศชาติ	country
orileedeajoba	จักรวรรดินิยม	monarchic country
orilejoba	รัฐบาล	seat of government, kingdom
orileominira	ความอบอุ่น	republic
orinìyìn	เพลง	songs of praise
orisirisi	ความหลากหลาย	various
orisun	แหล่ง	source
orisa	ต้นกำเนิด	god
oritameta	ระหว่างกลาง	crossway
orudnun	ประจำปี	mispelled...should orundun, century
oruko	คำนาม	name
oríilè	แห่งชาติ	land
oríilẹ̀	บทความ	land
oríkì	บทกวี	family name
orílèèdè	ประเทศชาติ	country
orílẹ̀	ประเทศชาติ	continent
orílẹ́	ตอนเย็น	nation
orísiirísi	ต่างๆ	various
orísìí	ความหลากหลาย	type
orísìírísi	ประเภทที่แตกต่างกัน	various
orúko	สนาม	name
oscar	ออสการ์	oscar
oseluarailu	พลเรือน	political unit
otherwise	มิฉะนั้น	ibaje
otutu	จำนวนมาก	coldness
oun	เขา	it
owojagidijagan	ผู้ก่อการร้าย	upheaval
oúnjẹ	อาหาร	food
odún	ปี	year
ojó	ฝนตก	day
okùnrín	เสียงหัวเราะ	man
olórun	พระเจ้า	god
olósìn	เคร่งศาสนา	rearing
odun	รายปี	year
olorun	พระเจ้า	god
omonìyàn	มนุษย์	human beings
opolo	จำนวนมาก	brain
ose	ose	week
oyé	โลก	harmattan
ofò	สวัสดีตอนเช้าค่ะ	nothingness
opolo	จำนวนมาก	brain
paa	ปิด	back
paapaa	โดยเฉพาะอย่างยิ่ง	especially
padá	รุน	go back
palauan	palauan	palauan
panaˈma	ปานามา	panama
panyanan	พื้นที่	spanish
papa	พ่อ	specifically
parapọ̀	การผสมผสาน	join
paripari	ตอนจบ	finally
pele	สวยงาม	hello
penh	พนมเปญ	penh
penisula	penisula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	ไข่มุก	with
phillipines	ฟิลิปปินส์	phillipines
pinsi	การลดลงของ	divided
pinsoto	pinoto	separated
pinu	มุ่งมั่น	decide
pipo	มาก	plenty
pipolongo	การโฆษณา	publicise
piposi	มาก	multiplication
platos	platos	plato's
plánẹ́tì	ประปา	planet
po	po	share
pojulo	สูงที่สุด	larger
polandi	ขัด	poland
polaroid	กล้องถ่ายรูปยี่ห้อโพเลอะรอยด	polaroid
population	ประชากร	ero
portonovo	portonovo	porto novo
portuguese	โปรตุเกส	portuguese
press	กด	press
produced	ผลิต	yo
protokolu	protocolu	protocol
proton	โปรตอน	kemika alaropo
providence	ความรอบคอบ	providence
príncipe	ปรินซิปี	principe
pupa	สีแดง	red
px|kùránì	px | เคอร์เนล	koran or quran; the px  does not belong
pàmò	เฉพาะ	pamo (town)
pàràkòyí	ทันที	parakoyi
pààlà	ขอบเขต	signalised
pàápàá	โดยเฉพาะอย่างยิ่ง	especially
pásíà	ชั้นใต้ดิน	persia
pátáporongodo	อย่างแน่นอน	entire
pè	เรียกว่า	that
pèhìndà	น้ำอสุจิ	turned back
pèlu	พร้อมด้วย	with
pèlúpèlú	เช่นกัน	in addition
pèsè	ให้	provide
pé	ที่	that
péré	เท่านั้น	only
péé	ที่	that
pípa	ฆ่า	order
pípèsè	บทบัญญัติ	providing
pípẹ́	ยาว	long
pòwe	สุภาษิต	to say a proverb or wise saying
pò	พับ	join
púpo	มากเกินไป	much
púpò	ค่อนข้าง	a lot
quran	คัมภีร์กุรอาน	quran
ra	ซื้อ	self
race	แข่ง	ere
rajya	ความหวัง	rajya
ramadan	เดือนรอมฎอน	ramadan
rank	ยศ	ipo
reggae	เร้กเก้	reggae
repeats	ซ้ำ	tunso
repetejulo	ที่สำคัญที่สุด	most of all
rere	ดี	success
research	วิจัย	agbeyewo
richard	ริชาร์ด	richard
right|thumb|px|aworan	ขวา | thumb | px | รูปภาพ	picture
rinle	ใหม่	emphasise
riresile	เครื่องบันทึก	humbled, lowered
riro	จินตนาการ	thought as
rn	rn	rn
rna	อาร์เอ็นเอ	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	คิด	thought
robinson	โรบินสัน	robinson
roboto	พื้นผิว	round
rogbodiyan	จลาจล	riot
rokirika	เรียกดู	publicise
roko	ฝูงชน	farm work
roma	โรม่า	roma
rome	โครเมียม	rome
ronald	โรนัลด์	ronald
rorùn	ง่าย	easy
rossii	rossii	rossii
rural	ชนบท	igberiko
ryan	ryan	ryan
ráhàn	ปรากฏ	complain
ránmú	กังวล	grumble
république	république	republic
ré	ค	his/her
rìn	ที่จะเดิน	should be orin, song or music
ròyìn	รายงาน	give account
rẹ	เธอ	it
saarc	ลบ	saarc
saaree	เหนือกว่า	after death
saarland	บนพื้น	saarland
safari	การแข่งรถวิบาก	safari
saffana	ไพลิน	savannah
safiwe	การเปรียบเทียบ	describe
safta	เข้าแถว	safta
saheli	ความสะดวกสบาย	sahel
sakyamuni	ต่อไป	sakyamuni
sakyas	sakyas	sakyas
salem	ซาเลม	salem
salàyé	ชีวิต	explained
sambia	หนุ่ม	zambia
samioro	ใช้ได้	signal
santa	ซานตา	santa
say	พูด	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	ทะเล	odo
seat	ที่นั่ง	itedo
segbese	อาจ	take steps
seidamo	ชัดเจน	identify
semolara	โรคหอบหืด	accustom
semudaju	แน่นอน	assure
senegal	ประเทศเซเนกัล	senegal
sense	ความรู้สึก	sensi
seville	เซวิลล์	seville
sewadi	ค้นหา	investigate
sharon	ชารอน	sharon
sibesibe	ยัง	further more
sihamoni	โครงสร้าง	sihamoni
sile	หลัง	previously
silè	ยาหยอด	on the ground
sinai	บาป	sinai
sinsin	ศาสนา	unshakably
sioux	ซู	sioux
sise	การปรุงอาหาร	works
sisodagba	โตขึ้น	came of age
sisopo	การเชื่อมโยง	joined
sisupapoerekusu	การคาย	neighbouring islands
sisupo	คูณ	concentrated
slovo	slovo	slovo
so	รัก	turned
sohun	ใช่	something
solomon	ซาโลมอน	solomon
soon	ในไม่ช้า	lai'pe
sopin	ปลาย	ended
so	ดังนั้น	tells
spectacular	น่าตื่นเต้น	damanran
stella	สเตลล่า	stella
structures	โครงสร้าง	igbekale
suez	คลองสุเอซ	suez
sugbo	แต่ไม่	but
sugbọ́n	มีเหตุผล	but, however
sun	ดวงอาทิตย์	sleep
suny	suny	suny
swahili	ภาษาสวาฮิลี	swahili
symmetry	สมมาตร	ogbooga
sàbúrí	เหนือสิ่งอื่นใด	saburi
sàmì	สัญญาณ	signalize
sàn	ดีกว่า	flow
sàngó	แก๊ง	sango (god of thunder)
sàì	ดี	un
sápadè	วันนี้	run to
sáàpàdé	การประกัน	saapade
sáààrin	ในระหว่าง	between
são	อันใหม่	sao
sèle	การขโมย	down
ségun	ร้องไห้	conquered
sénégal	น้ำอสุจิ	senegal
séyìn	กลับ	back
séyìn	กลับ	at the back of
sìbẹ̀	ยัง	there
sìni	กุ้ง	likewise
síbèsíbè	แต่ถึงอย่างไร	further more
síbú	กับพื้นดิน	ocean
sílẹ̀	ปล่อยให้ลง	drop
síse	งาน	doing
síso	ยังคง	spoken
síso	ยังคง	saying
síta	ด้านนอก	outing
síwon	พวกเขา	to them
síwájú	ต่อไปข้างหน้า	comes before
síí	ที่นี่	on it
sòrò	ล้างสมอง	talk
sójà	ทหาร	soldier
sóko	ปลูก	to the farm
sùgbón	ในทางตรงกันข้าม	but
sọ	พูด	lose
si	อย่างแน่นอน	to
síse	โครงสร้าง	performing
sùgbón	ในทางตรงกันข้าม	but
se	พวกเขาทำ	do
sepò	ในที่สุด	cooperation
sisé	ออกกำลังกาย	work
sááju	ใช้เวลาสักครู่	before
sísa	s. 	to be
sísè	การแปล	step
tabi	หรือ	or
tabili	ตาราง	table
tabora	การหลีกเลี่ยง	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	ข้อ จำกัด	valiant
talaka	น่าสงสาร	poor
talika	ความยากจน	the poor
tara	เก้า	wholly
tata	กรอง	wildly
taínos	tainos	tainos
technology	เทคโนโลยี	tekinoloji
tedo	การนัดหมาย	stay
teksas	เท็กซัส	texas
tele	ติดตาม	before
temptation	แสวงหา	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the		does no directly translate
they	พวกเขา	won
those	เหล่านั้น	awon
thumb|left|upright|nelson	นิ้วหัวแม่มือ | ซ้าย | ตั้งตรง | เนลสัน	apa osi naro
tira	เครียด	quranic verse
tirana	ติรานา	tirana
tirè	ของเขา	own
titu	ยิง	cold (if it's a person's name, it is tutu)
tiwọn	ของพวกเขา	theirs
to	ถึง	it
toje	หายาก	that is
tokasi	ชี้ให้เห็น	pointing to
tokyo	โตเกียว	tokyo
tolerejulo	ทน	most profitable
tolórítelémù	ความหายนะ	all manners of people
tomé	มะเขือเทศ	tome
tooto	จริงๆ	true
tori	tori	because
torun	สีน้ำตาล	heavenly
toseluaralu	ในทางการเมือง	political
tounsejanu	อนาถ	control
traduite	traduite	traduite
translated	แปล	tunmo
tumosi	วิธี	means
tuntun	ใหม่	new
tàsí	ไม่มี	or
tàwon	พวกเขา	theirs
táawà	ก้มตัวลง	we
tèlé	ติดตาม	before
tètè	อย่างรวดเร็ว	quickly
tèlé	ทันที	follow
tèsíwájú	เพื่อความก้าวหน้า	progress
té	เสื้อ	follow
télè	โดย	before
té	t	shamed
títi	ปิด	till
títèlé	ติดตาม	following
títío	จนกระทั่ง	until
tíátà	ตั๋ว	theater
tíórì	ยาง	that is seen
tò	ชุด	enough
tóbi	ใหญ่	big
tódárajùlọ	ที่สุด	most beautiful
tókù	ส่วนที่เหลือ	others
tówùú	จำนวนเท่าใดก็ได้	whatever
tó	tó	taught
tóka	อ้างถึง	pointed
tú	หลั่งออกมา	untie
túmò	พลัม	means
túnse	จัดเรียง	restructured
tẹ̀ǹbẹ̀	แล้วก็	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	วางแผน	bitterness
ucb	เลือดจากสายสะดือ	ucb
umueri	เด็ก ๆ	umueri
unifasiti	มหาวิทยาลัย	university
unla	ใช่	great
urasílì	uracil	uracil
uribe	ออร่า	uribe
usps	usps	usps
utah	รัฐยุทา	utah
utc	utc	utc
uzbek	ทาง	uzbek
venezuela	เวเนซุเอลา	venezuela
vermont	เวอร์มอนต์	vermont
victor	ผู้มีชัย	victor
videos	วิดีโอ	fidio
vihara	วิหาร	vihara
villa	วิลล่า	villa
viruses	ไวรัส	awon eran
visit	เยือน	ibewo
vz	vz	vz
waa	มันคือ	ours
waju	ใบหน้า	future
wari	กลิ่น	once existing
westminster	westminster	westminster
wisconsin	วิสคอนซิน	wisconsin
witkin	witkin	witkin
wiwari	การค้นพบ	discovered
województwo	ความบ้า	wojewodztwo
wole	เข้าสู่ระบบ	into
woo	แอ่ว	look
wo	ที่นี่	enter
wo	ที่นี่	look
won	พวกเขา	they
wura	ทอง	gold
wyoming	ไวโอมิง	wyoming
wàásù	สั่งสอน	preach
wì	ล้างออก	that
wípè	ความชัดเจน	that
wòfún	ชำเลือง	convenient
wònyí	เหล่านี้คือ	these
wón	พวกเขา	they
wúnrèn	ออกกำลังกาย	small amount
wọn	พวกเขา	they
wọ̀nyí	เหล่านี้	these
xd	xd	xd
xiv	xiv	xiv
yafran	ตัวอักษร	yafran
yakubu	yakub	yakubu
yan	เลือก	choose
yanjú	แก้ไข	solve
yanturu	ความอุดมสมบูรณ์	abundant
yaoundé	ยาอุนเด	yaounde
yewo	การปรับปรุง	examine
ye	ใช่	suitable
ye	ใช่	should
yindinyindin	ไม่เคยหยุด	brightly
yio	จะต้อง	will
yiowu	มันจะ	any
yipada	หันหลังกลับ	change
yiyafunnilo	การกัดกร่อน	borrow
yoo	จะ	will
yori	นำ	result
york	york	york
yorúbà	โยเกิร์ต	yoruba
yo	yo	remove
yànan	ความประหลาดใจ	scattered
yàtò	ติดตั้ง	other than
yára	เร็วเข้า	quickly
yèwò	ดู	examine
yée	ปล่อยให้พวกเขา	eplained to
yì	ไป	this
yìí	นี้	this
yí	หันหลังกลับ	this
yíyípadà	เปลี่ยนแปลง	changed
yíì	คุณจะ	this
yíò	มันจะ	it will
yẹ̀ẹ́	นะ	check
yọ	ลบ	bring out
zanzibar centralsouth	zanzibar centralsouth	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	ไป	bce
àbe	ลิงทโมน	under
àbámẹ́ta	วันพฤหัสบดี	saturday
àbáyo	ข้อเสนอแนะ	breakthrough
àbìkú	ความอมตะ	'born to die' child
àbọ̀	ครึ่ง	result
àdámò	ความเป็นส่วนตัว	earmark
àdátá	ตรงข้าม	adata
àdáátán	พิเศษ	adaatan
àdóolóró	น้ำมัน	bomb
àgbàjọ	ชายชรา	assembly
àgbàrá	น้ำท่วม	power
àgbáríjọ	องค์กร	combination
àgbékà	บทคัดย่อ	suitable
àgbéyèwò	ทบทวน	examination
àgbìgbò	ย่าน	a type of bird
àgbùdo	ลาน	corn
àgọ́	เต็นท์	ago
àifète	วัตถุประสงค์	unable to keep quiet
àjo	การท่องเที่ยว	board
àjákọ	ต่างหาก	ajako
àjọṣepọ̀	สังคม	union
àkosílè	สิ่งที่เป็นนามธรรม	written
àkosílè	วิทยานิพนธ์	written account
àkàrà	เค้ก	bean pudding
àká	ชั้นวาง	store
àkójopò	กลุ่ม	collection
àkókó	เวลา	previous
àlàkalè	เป้าหมาย	breakdown, explanation of actions
àlàyé	ข้อมูล	explanation
àlàáfíà	ความสงบ	peace
àlááfià	การเปรียบเทียบ	wellbeing
àlè	ลูกครึ่ง	mistress, concubine, (side booty)
àlèpò	ข้างบน	joined together
àlébù	ด่างพร้อย	ills
àmérìkà	เหนือธรรมชาติ	america
àmì	สัญญาณ	sign
àmúlò	ประยุกต์	synonyms
àmúsorò	จิตวิทยา	resources
ànfàní	โอกาส	opportunity
àpapọ̀	โดยรวม	federal
àpeere	ตัวอย่าง	example
àrígbámú	รบกวน	assistant
àrùn	โรค	disease
àrẹ	ประธาน	president
àse	งานฉลอง	authority
àsàjemátèe	รุ่งอรุณ	cunning
àsèyìn	ควันหลง	at the end
àsìkò	เวลา	time
àsótélè	ส่วนขยาย	prophecy
àsọdọ̀kan	เอกภาพ	unitary
àsekúdórógbó	เห่า	do or die
àsà	กำหนดเอง	habit, culture, norm
àtijo	ล้าสมัย	olden days
àtìpó	เอเลี่ยน	sojourn
àtòrìnká	รอบเกี่ยวกับ	urinating while walking
àtúnse	แก้ไข	modification
àtúnse	แก้ไข	renovate, fix
àtẹnudẹ́nu	ทางปาก	oral
àwon	ทฤษฎี	they
àwón	เงิน	the
àwón	เงิน	the
àwùjo	สังคม	community
ààtò	พิธีทางศาสนา	suitability
ààyè	มีชีวิตอยู่	space
àárín	ระหว่างกลาง	middle
àáyá	น้ำอสุจิ	seconds
àìkó	ข้อบกพร่อง	unlearned
àìní	ต้องการ	lack
àìròtélè	ไม่คาดฝัน	unthought of
àìsí	ขาด	lack
án	เสื้อ	it
áwon	การผิดประเวณี	those
èbà	ยุง	cassava flour food
èbúté	ท่าเรือ	shore
èdá	การสร้าง	creature
èdè	ภาษา	language
èdè	ภาษา	language
èfòn	เครียด	efon
èhìn	ต่อไป	outskirt
èka	สาขา	branch
èkejì	อื่น ๆ	second
èlò	เครื่องใช้ในครัว	tool
ènìkan	บางสิ่งบางอย่าง	someone
èràn	โรค	virus
èrò	ความคิด	thoughts
èsó	มัสยิด	modesty
èsúrú	มด	yam (indigenous to west africa)
ète	วัตถุประสงค์	plan
èyì	เกียรติ	this
èka	ผล	branch
èro	ความคิด	machine
èrí	หลักฐาน	witness
èsìn	ศาสนา	religion
èwù	เสื้อเชิ้ต	clothe
èpón	มาก	modifier
ìbarà	ไข้	ibara (town)
ìbánisòrò	การเชื่อมต่อ	dialogue
ìbáraeni	การขนส่ง	to themselves
ìbílè	สิทธิซึ่งทุกคนต้องมี	local
ìbílè	สิทธิซึ่งทุกคนต้องมี	local
ìdàgbà	วุฒิ	grow
ìdàpapọ̀	การรวบรวม	union
ìdàrúdàpò	ความสับสนวุ่นวาย	misunderstanding
ìdá	การละทิ้ง	division
ìdìmú	การรบกวน	branch, part
ìdíisin	สาเหตุ	idi-isin
ìdíwòn	เหตุผลของคุณ	criteria
ìdó	ต่อย	ido (a person's name)
ìfara	การทรมาน	self
ìfojúìtànìgbesiayé	ประวัติชีวิต	biography
ìfáàrà	นักบวช	introduction
ìgbonnìbí jé	มันเป็นหายนะ	igbonnibi
ìgbà	เวลา	when
ìgbàgbé	ขี้ลืม	forgetfulness
ìgbá	ปีก	time
ìgbáraga	ความแข็งแรง	pride
ìgbéraga	ความภาคภูมิใจ	pride
ìgbésí	ชีวิต	life
ìgbò	แกะ	igbo people
ìhun	เหล็ก	things
ìjo	เต้นรำ	church
ìjo	คริสตจักร	church
ìjoba	รัฐบาล	government
ìjora	เกลียด	resemblance
ìjìnlè	ความลึกลับ	comprehensive
ìjìnlè	ความลึกลับ	mysterious
ìjò	หัวหน้า	consent
ìjọba	รัฐบาล	government
ìkejì	อื่น ๆ	second
ìkànna	เหมือน	ikanna (town)
ìkèrèkú	ความแออัด	ikereku
ìkéde	การประกาศ	advert
ìkìjà	ความท้าทาย	ikija
ìkìlò	การละเมิด	warning
ìkínin	ที่หก	greetings
ìkẹrin	ที่สี่	fourth
ìkọpa	การมีส่วนร่วม	ikopa
ìlera	สุขภาพ	health
ìlo	โทร	use
ìlà	เค้าโครง	border
ìlànàn	ภาพมายา	procedure
ìlàorùn	ช้ำ	east
ìlàìnàró	การกดขี่	vertical
ìlè	การกินสินบน	land
ìlé	บ้าน	land
ìmò	งู	knowledge
ìmò	ฟ้าแลบ	knowledge
ìmóbìdo	สิทธิบุตรหัวปี	imobido
ìmú	จมูก	knowledge
ìmúnilérú	ละเมิดสิทธิมนุษยชน	slavery
ìmúsára	เพื่อเสริมสร้าง	contagious
ìnagije	ชัยชนะ	alias
ìnáwó	รายจ่าย	expenditure
ìpolongo	การโฆษณา	advertisement
ìpìlẹ̀núkléù	การเข้ารหัส	base
ìpìnlè	การเริ่มต้น	foundation
ìpínrò	ย่อหน้า	economize
ìrànlọ́wọ́	ช่วยด้วย	help
ìrànàna	ช่วยด้วย	path-clearing
ìràwọ̀	ดาว	s
ìrí	ประสบการณ์	sight
ìròkò	ความคิด	iroko
ìròyìn	ข่าว	news
ìròyìnwiki	ข่าว	wikinews
