$	usd	(dollar sign)
dartistes	mākslinieki	artists
darts	šautriņas	of arts
darwin	dārziņš	darwin
dasie	dasia	asia
dasperger	lai apkaisa	asperger's
dassurer	apliecināt	to ensure
datant	iepazīšanās	dating
date	datēts	date
datent	datums	date
dates	datumi	dates
dathènes	atēnas	of athena
dattaque	uzbrukums	of attack
datteindre	sasniegt	datteindre
dau	dau	of
daudience	auditorija	audience
daugmenter	palielināt	increase
dauguste	dauguste	auguste
daujourdhui	šodien	todays
dauphin	delfīns	dolphin
dauschwitz	daušvica	of auschwitz
daustralie	austrālija	australian
dautant	īpaši	as
dauteur	autore	author
dauteurs	autori	author's
dautre	cits	other
dautres	citi	other
dautriche	no austrijas	dautriche
davantage	vairāk	further
dave	dave	dave
david	deivids	(name)
davis	davis	davis
davoir	kam	to have
davril	aprīlis	april
days	dienas	days
dazur	dazur	dazur
dc	līdzstrāvas	dc
de	no	of
dean	prāvests	dean
deastwood	ķirzaka	eastwood
death	nāve	death
deau	ūdens	of water
debout	stāvot	standing
dedgar	dedgar	of edgar
deezer	dziļāka	deezer
def	def	deaf
deffectuer	uzstāties	do
degré	grāds	degree
degrés	grādi	degrees
dehors	ārpusē	outside
delacroix	delacroix	delacroix
della	della	della
delle	viņa	of her
delta	delta	delta
delvis	delvis	of elvis
delà	no	beyond
demain	rīt	tomorrow
demanda	prasīja	asked
demandant	jautā	asking
demande	pieprasīt	application
demandent	pajautā	ask for
demander	pieprasīt	ask
demandes	pieprasījumi	requests
demandé	pieprasīt	required
demeure	paliek	remains
demeurent	paliek	remain
demi	puse	half
demifinale	pusfināla	looked
demifinales	pusfināla	semi-final
demploi	nodarbinātība	employment
den	den	to
denfance	bērnība	childhood
denfants	bērni	of kids
denis	deniss	dennis
dennis	deniss	dennis
denregistrement	ierakstīšana	recording
denregistrer	ierakstīt	record
dense	blīvs	dense
denseignement	mācīt	teaching
densemble	kopumā	establishing shot
densité	blīvums	density
dentraînement	apmācība	of training (terrain d'entrainement=training ground)
dentre	no plkst	of (as = three millions of them had...)
dentreprise	korporatīvā	company
dentreprises	uzņēmumu	diets
dentrer	lai ievadītu	to enter
dentrée	ieraksts	dentrée
dents	zobi	teeth
denviron	par	of approx
depp	deps	depp
depuis	kopš	since
der	der	der
dernier	jaunākais	last
derniers	pēdējais	latter
dernière	pēdējais	last
dernières	jaunākais	last
derrière	aizmugurē	behind
des	no	of
descartes	kartes	descartes
descend	iet lejā	down
descendance	pēcnācēji	lineage
descendant	dilstoši	descendant
descendants	pēcnācēji	outgoing
descente	nolaišanās	coming down
description	apraksts	description
design	dizains	design
despagne	spānija	of spain
desprit	gars	of spirit
despèces	skaidrā naudā	species
desquels	no kuriem	of which
dessin	zīmējums	design
dessinateur	dizainere	drawer
dessine	zīmēt	emerges
dessiner	zīmēt	draw
dessins	zīmējumi	drawings
dessiné	uzzīmēts	drawn
dessinée	uzzīmēts	drawn
dessinées	komiksi	drawn
dessous	zemāk	underneath
dessus	virs	on
destaing	destatizējot	(name)
destin	liktenis	destiny
destination	galapunkts	destination
destiné	paredzēts	intended
destinée	liktenis	destiny
destinées	paredzēts	destinies
destinés	paredzēts	dedicated
destruction	iznīcināšana	destruction
destructions	iznīcināšana	destructions
dette	parāds	debt
dettes	parādi	debts
deurope	eiropā	europe
deux	no viņiem	two
deuxième	otrais	second
devaient	bija	had to be
devait	vajadzēja	had to
devant	priekšā	in front of
devenant	kļūstot	becoming
devenir	kļūt	become
devenu	kļūt	become
devenue	kļūt	become
devenues	kļūt	become
devenus	kļūt	become
deviendra	kļūs	will become
devienne	kļūt	becomes
deviennent	kļūt	become
devient	sākas	become
devinrent	kļuva	got
devint	kļuva	became
devise	devīze	motto
devises	valūtas	currency
devoir	nodoklis	duty
devoirs	mājasdarbs	homeworks
devra	nāksies	will have to
devraient	vajadzētu	ought to be
devrait	vajadzētu	should
devront	nāksies	will have to
dexemplaires	kopijas	dexemptaires
dexemple	piemērs	of example
dexpliquer	izskaidrot	to explain
dexploitation	darbojas	operating
dexposition	iedarbība	catalogues d'exposition = exhibition catalogs
dexpression	izteiksme	dexpresiion
dexter	deksters	dexter
dextermination	dekstermācija	extermination
dextrême	dekstrēms	extreme
dhabitants	iedzīvotāji	people
dharmonie	harmonija	two words -> of harmony
dhenri	dhenri	dhenri
dhistoire	vēsture	of history
dhitchcock	hitchcock	hitchcock
dhitler	ditlers	of hitler
dhiver	ziema	winter
dhomme	cilvēks	man
dhommes	vīrieši	of men
dhomère	homer	of homer
dhonneur	gods	dhonneur
dhorreur	šausmas	horror
dhydrogène	ūdeņradis	of hydrogen
dhéraclès	herakles	heracles
di	di	of
diable	velns	wretched
diagnostic	diagnostika	diagnosis
dialecte	dialekts	dialect
dialectes	dialekti	dialects
dialectique	dialektika	dialectic
dialogue	dialogs	dialogue
dialogues	dialogi	dialogues
diamant	dimants	diamond
diams	diams	diam's
diamètre	diametrs	diameter
diana	diāna	diana
diane	diāna	diana
diaspora	diaspora	diaspora
dici	no šejienes	till
dictateur	diktators	dictator
dictature	diktatūra	dictatorship
dictionnaire	vārdnīca	dictionary
didentifier	identificēt	to identify
diderot	diderots	diderot
didier	didier	didier
didées	idejas	of ideas
die	nomirt	die
diego	diego	diego
dieu	dievs	god
dieudonné	sasodīts	dieudonné
dieux	dievi	god
difficile	grūti	difficult
difficilement	diez vai	with difficulty
difficiles	grūti	difficult
difficulté	grūtības	difficulty
difficultés	grūtības	difficulty
diffuse	difūzs	airs
diffuser	pārraide	play
diffusion	difūzija	diffusion
diffusions	raidījumi	broadcasts
diffusé	pārraide	broadcast
diffusée	pārraide	broadcast
diffusées	pārraide	aired
diffusés	pārraide	broadcast
diffère	atšķiras	differs
diffèrent	savādāk	differ
différemment	savādāk	differently
différence	atšķirība	difference
différences	atšķirības	differences
différent	savādāk	different
différente	savādāk	different
différentes	savādāk	different
différents	savādāk	different
digestif	gremošanas	digestive
digital	digitāls	digital
dimagerie	attēliem	imagery
dimages	bildes	photo
dimanche	svētdien	sunday
dimension	dimensija	dimension
dimensions	izmēri	dimensions
diminue	samazinās	decrease
diminuer	samazināt	decrease
diminution	samazināt	diminution
diminué	samazinās	decreased
dimmatriculation	reģistrācija	registry
dimmigration	imigrācija	immigration
dimpact	trieciens	impact
dimportance	svarīgi	importance
dimportantes	svarīgs	major
dimportants	svarīgs	important
dimposer	uzspiest	to impose
dindépendance	neatkarība	of independence
dinflation	inflācija	inflation
dinfluence	ietekmēt	influence
dinformation	informācijas	information
dinformations	informācija	informations
dinosaures	dinozauri	dinosaurs
dinspiration	iedvesma	dinspiration
dintensité	intensitāte	intensity
dinternet	internets	of internet
dinterprétation	interpretācija	interpretation
dintégrer	integrēties	dintegrer
dintérêt	interese	of interest
dioclétien	diokletiāns	diocletian
dion	diona	dion
dioxyde	dioksīds	dioxide
diplomatie	diplomātija	diplomacy
diplomatique	diplomātiskā	diplomatic
diplomatiques	diplomātiskā	diplomatic
diplôme	diploms	diploma
diplômes	diplomi	diplomas
dira	teiks	will tell
dire	sakiet	say
direct	tieša	live (transmission)
directe	tieša	straight
directement	tieši	directly
directeur	režisors	director
direction	virziens	direction
directive	direktīva	directive
directives	direktīvas	rules
directs	tieša	direct
dirige	režisēts	heads
dirigeant	vadītājs	leader
dirigeants	vadītāji	leadership
diriger	svinu	directed
dirigé	režisēts	directed
dirigée	režisēts	directed
dirigés	režisēts	directed
dirlande	dirlande	of ireland
disait	teica	say
disant	sakot	saying
disciple	māceklis	follower
disciples	mācekļi	followers
discipline	disciplinēti	discipline
disciplines	disciplīnas	disciplines
discographie	diskogrāfija	discography
discours	runa	speech
discussion	diskusija	discussion
discussions	diskusijas	talks
disent	sakiet	say
disney	disney	disney
disneyland	disnejlenda	disneyland
disparaissent	pazūd	vanish
disparaît	pazūd	disappears
disparaître	pazūd	disapear
disparition	pazušana	endangered
disparu	izgaisis	disappear
dispersion	izkliede	dispersal
disponible	pieejams	available
disponibles	pieejams	available
disposant	kam	possessing
dispose	ir	has
disposent	ir	have/wield
disposer	atbrīvoties	to have
dispositif	ierīce	device
dispositifs	ierīces	dispositions
disposition	dispozīcija	available
dispositions	noteikumiem	provisions
dispute	strīds	argument
disputé	strīds	argued
disqualification	diskvalifikācija	disqualification
disque	disks	disk
disques	diski	discs
disraël	izraēla	of israel
dissolution	izšķīšana	dissolution
distance	attālums	distance
distances	attālumi	distances
distinctes	atsevišķi	distinct
distinction	atšķirība	distinction
distinctions	atšķirības	distinctions
distincts	atsevišķi	distinct
distingue	izceļas	distinguish
distinguent	atšķirt	distinguish
distinguer	atšķirt	differentiate
distribution	izplatīšana	distribution
distribué	izplatīts	distributed
district	apgabals	district
districts	rajonos	districts
dit	teica	considers himself
ditalie	no itālijas	italian
dite	teica	known
dites	sakiet	so called
dits	teica	dubbed
divers	dažādi	various
diverses	dažādi	any other business
diversifiée	daudzveidīga	diversified
diversité	dažādība	diversity
divertissement	izklaide	entertainment
divin	dievišķais	divine
divine	dievišķais	divine
divinité	dievišķība	divinity
divinités	dievības	deities
divise	sadalīt	splits
division	dalīšana	division
divisions	sadalīšana	divisions
divisé	sadalīt	divides'
divisée	sadalīts	dvided
divisées	sadalīts	divided
divisés	sadalīts	divided
divoire	divoire	of the ivory
divorce	šķīries	divorce
dix	desmit	ten
dixhuit	astoņpadsmit	eighteen
dixième	desmitais	tenth
dixsept	septiņpadsmit	seventeen
dizaine	desmit	around ten
dizaines	desmitiem	tens
dj	dj	disk jockey
dns	dns	domain name system
do	darīt	do
dobjets	priekšmetu skaits	items
dobtenir	dabūt	get
doccident	rietumu	of the occident/of the west
doccupation	nodarbošanās	of occupation
docteur	ārsts	doctor
doctobre	oktobris	october
doctrine	doktrīna	doctrine
doctrines	doktrīnas	doctrines
document	dokumentu	document
documentaire	dokumentālā filma	documentary
documentaires	dokumentālās filmas	documentary
documentation	dokumentācija	documentation
documents	dokumenti	documents
dog	suns	dog
doha	doha	doha
doigt	pirksts	finger
doigts	pirksti	fingers
doit	obligāti	have to
doivent	vajag	should
dollar	dolāru	dollar
dollars	dolāru	dollars
dom	dom	dom
domain	domēns	domain
domaine	lauka	field
domaines	apgabali	domains
domestique	pieradināti	servant
domestiques	iekšzemes	domestic
domicile	mājas	home
dominant	dominējošais	dopminant
dominante	dominējošais	dominant
domination	kundzība	domination
domine	dominēja	dominates
dominent	dominē	dominate
dominicaine	dominikāņu	dominican
dominique	dominique	dominique
dominé	dominēja	dominates
dominée	dominēja	dominated
dommages	bojājumi	damage
don	dons	don
donald	donalds	donald
donc	tātad	then
donde	vilnis	wave
donna	deva	gave
donnait	deva	gave
donnant	dodot	giving
donne	dots	gave
donnent	dot	give
donner	dot	ask
donnera	dos	will give
donné	dots	given
donnée	dots	given
données	dati	data
donnés	dots	given
dons	ziedojumi	gifts
dont	kuru	whose
dopposition	opozīcija	of resistance
dor	zeltaini	dor
dordre	pasūtīt	order
dorganisation	organizācijas	organisational
dorganiser	organizēt	to organise
dorient	gulēt	eastern
dorigine	oriģināls	of origin
dorléans	orleāna	of orléans
doré	zeltaini	golden
dos	atpakaļ	back
dose	deva	dose
dossier	mape	file
dossiers	ierakstus	files
doté	apveltīts	given
dotée	aprīkots	has(for 1st) with(for tanger) has (for european union)
doublage	dublēšana	dubbing
double	dubultā	double
doubles	dubultā	doubles
doublé	dubultā	double
douce	salds	fresh
douglas	douglas	douglas
douleur	sāpes	pain
douleurs	sāpes	pains
doute	šaubos	doubt
doutremer	aizjūras	overseas
douverture	atvēršana	of opening
douvrages	darbojas	books
doux	mīksts	soft
douze	divpadsmit	twelve
down	uz leju	down
doù	no kurienes	thus
dr	dr	doctor
dracula	drakula	dracula
dragon	pūķis	dragon
dramatique	dramatisks	dramatic
dramatiques	dramatisks	dramatic
dramaturge	dramaturgs	playwright
drame	drāma	drama
drapeau	karogs	flag
drapeaux	karogi	flags
dreyfus	dreyfus	dreyfus
drogue	narkotiku	drugs
drogues	narkotikas	drugs
droit	likumu	right
droite	taisnība	right
droites	taisni	straight
droits	tiesības	law
du	no	of
dubaï	dubai	dubai
dublin	dubļins	dublin
duc	hercogs	duke
duchesse	hercogiene	duchess
duché	hercogiste	duchy
ducs	hercogi	dukes
due	pienāk	due
duel	duelis	duel
dues	pienāk	caused
dulysse	pienācīgi	dulysee
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore (character's name)
dun	dun	of one
dune	kāpa	of a
dunion	savienība	union
dunité	vienotība	of unity
duo	duets	duet
duquel	no kuriem	of which
dur	grūti	hard
dura	ilga	lasted
durable	ilgtspējīgs	sustainable
durablement	ilgtspējīgi	durably
durant	laikā	during
dure	grūts	last
durent	pēdējais	last
durer	pēdējais	last
durera	ilgs	will last
dures	grūti	difficult, hard
durgence	ārkārtas	in emergency
durs	skarbi	hard
duré	grūts	last
durée	ilgums	duration
dus	pienāk	due
dusage	izmantot	usage
dut	obligāti	had to
dutilisation	lietošanas	usage
dutiliser	izmantot	to use
dvd	dvd	dvd
dx	dx	dx
dy	dy	to
dylan	dilans	dylan
dynamique	dinamisks	dynamic
dynamiques	dinamisks	dynamic
dynamisme	dinamisms	dynamism
dynastie	dinastija	dynasty
dynasties	dinastijas	dynasties
dyslexie	disleksija	dyslexia
dysphorie	disforija	disphoria
dâge	vecuma	of age
dès	no plkst	dice
débarquement	piezemēšanās	disembarkation
débarrasser	tikt vaļā no	rid
débat	debates	debate
débats	debates	discussions
débit	debets	flow
début	sākt	start
débute	sākas	begins
débuts	pirmsākumi	start
débuté	sākās	started
décadence	dekadence	decadence
décembre	decembris	december
décennie	desmitgadē	decade
décennies	gadu desmitiem	decades
déchange	apmaiņa	exchange
déchets	atkritumi	waste
décida	nolēma	decided
décide	nolēma	decides
décident	izlemt	decide
décider	izlemt	decide
décidé	nolēma	decided
décisif	izlēmīgs	decisive
décision	lēmumu	decision
décisions	lēmumi	decisions
décisive	izlēmīgs	decisive
déclara	deklarēts	declared
déclarant	paziņojot	declaring
déclaration	deklarācija	statement
déclarations	paziņojumi	declarations
déclare	deklarēts	said
déclarent	paziņo	go on
déclarer	paziņot	declare
déclaré	deklarēts	declared
déclarée	deklarēts	declared
déclenche	dodas prom	triggers
déclenchement	sprūda	release
déclin	pagrimums	decline
décline	noraida	decline
décompte	atpakaļskaitīšana	count
déconomie	ekonomika	of economy
décor	dekori	scenery
décoration	rotājums	decoration
décorations	rotājumi	decorations
décors	komplekti	decors
découle	rezultāts	ensued
découpage	griešana	division
découvert	atklāts	discovered
découverte	atklājums	discovered
découvertes	atklājumi	discoveries
découverts	atklāts	discovered
découvre	uzzināt	discovers
découvrent	atklāt	discover
découvrir	atklāt	to discover
décret	dekrēts	decree
décrets	dekrēti	decrees
décrire	aprakstīt	to describe
décrit	apraksta	describe
décrite	aprakstīts	described
décrits	aprakstīts	describes
décriture	rakstīšana	of writing
décrivant	aprakstot	describing
décrivent	aprakstīt	describe
décède	mirst	dies
décès	nāve	death
décédé	miris	died
dédié	veltīts	device
dédiée	veltīts	dedicated
dédiés	veltīts	dedicated
déducation	izglītība	education
déduit	atskaitīts	deduces
déesse	dieviete	goddess
défait	fakts	dismantled
défaite	sakāve	defeat
défaites	sakāves	defeats
défaut	noklusējuma	default
défauts	noklusējumi	faults
défend	aizstāv	defends
défendre	aizstāvēt	defend
défendu	aizliegts	supported
défense	aizstāvība	defense
défenseur	aizstāvis	defender
défenseurs	aizstāvji	defenders
défi	izaicinājums	challenge
déficit	deficīts	deficit
défini	definēts	defined
définie	definēts	defined
définies	definēts	defined
définir	definēt	defin
définis	definēts	defined
définissant	nosakot	defining
définissent	definēt	define
définit	definē	defined
définitif	fināls	definitive
définition	definīcija	definition
définitions	definīcijas	definitions
définitive	fināls	definitive
définitivement	noteikti	definitively
déforestation	mežu izciršana	deforestation
déformation	deformācija	deformation
défunt	miris	deceased
dégager	skaidrs	give off
dégradation	degradācija	deterioration
dégypte	atšifrē	egypt
dégâts	bojājumi	damages
déjà	jau	already
délai	laika limits	delay
délais	termiņi	delays
délectricité	elektrība	electricity
déliminer	likvidēt	eliminate
délégation	delegācija	delegation
déléments	elementi	elements
démarche	pakāpieni	approach
démarrage	uzsākt	start
démarre	sākās	tired of
démence	demence	dementia
démission	atkāpšanās	résignation
démissionne	atkāpjas	quits
démocrate	demokrāts	democrate
démocrates	demokrāti	democrats
démocratie	demokrātija	democracy
démocratique	demokrātisks	democratic
démographie	demogrāfija	demography
démographique	demogrāfisks	demographic
démographiques	demogrāfisks	demographic
démon	velns	deamon
démons	dēmoni	demons
démonstration	demonstrācija	demonstration
démontre	demonstrēt	demonstrates
démontrer	pierādīt	demonstrate
démontré	demonstrēja	demonstrate
déménage	kustas	move
dénergie	enerģija	of energy
dénombre	skaita	count
dénomination	denominācija	denomination
dénommé	ko sauc arī par	referred to as
dénonce	nosoda	denounced
déoliennes	vēja turbīnas	of wind mills
départ	aiziešana	outset
département	nodaļa	department (country subdivision)
départements	departamenti	departments
dépassant	pārsniedzot	surpassing
dépasse	pārsniedz	exceeds
dépassent	pārsniegt	exceed
dépasser	pārsniegt	exceed
dépassé	pārsniegts	exceeded
dépend	atkarīgs	depends
dépendance	atkarība	dependency
dépendances	atkarības	dependencies
dépendant	atkarīgs	dependent
dépendent	atkarīgs	dependent
dépenses	izdevumi	outgoings
dépisodes	epizodes	episodes
dépit	par spīti	in spite
déplace	kustas	moves
déplacement	mainās	displacement
déplacements	pārvietojumi	moves
déplacer	kustēties	move
dépolarisation	depolarizācija	depolarisation
déportation	deportācija	deportation
déportés	deportētie	deportees
dépose	depozīts	files
déposé	depozīts	registered
dépression	depresija	depression
député	vietnieks	deputy
députés	vietnieki	deputy members
dépôt	depozīts	depot
dépôts	noguldījumi	deposits
dérive	atvasinājums	derive
dérivé	atvasinājums	derivative
dérivée	atvasinājums	derivative
dérivés	atvasinājumi	derivative
déroulant	nomest lejā	unfolding
déroule	notiek	unrolls
déroulement	izvēršanās	course
déroulent	norisināties	take place
désaccord	domstarpības	disaccord
désastre	katastrofa	disaster
désert	tuksnesis	desert
désignant	apzīmē	designating
désignation	apzīmējums	name / designation
désigne	nozīmē	indicate
désignent	norīkot	dub
désigner	norīkot	designate
désigné	izraudzīts	designated
désignée	izraudzīts	designated
désignés	izraudzīts	designated
désir	vēlme	desire
désire	ilgojos	dÉsir
désormais	no šī brīža	henceforth
détablir	nodibināt	to establish
détail	detaļa	detail
détaillé	detalizēts	detailed
détaillée	detalizēts	detailed
détails	detaļas	details
détat	valsts	state
détats	štatos	of states
détecter	atklāt	detect
détection	atklāšana	detection
détective	detektīvs	detective
détenu	aizturēts	detained
détenus	ieslodzītie	detained
déterminant	nosakot	determinant
détermination	apņēmība	determination
détermine	noteikts	specifies
déterminer	noteikt	to determine
déterminé	noteikts	prepended
déterminée	noteikts	determined
détient	tur	holds
détracteurs	kritiķi	detractors
détriment	kaitē	detriment
détroit	šaurums	sound
détruire	iznīcināt	destroy
détruit	iznīcināt	destroyed
détruite	iznīcināts	destroyed
détruits	iznīcināts	destroyed
détude	studēt	of studies
détudes	studijas	of surveys
détudier	studēt	study
dété	vasara	summer
dévaluation	devalvācija	devaluation
dévaluer	devalvēt	evaluate
développe	attīstīta	develops
développement	attīstību	development
développent	attīstīties	develop
développer	attīstīties	developed
développé	attīstīta	developped
développée	attīstīta	developed
développées	attīstīta	developed
développés	attīstīta	developed
déviter	izvairīties	avoid
déçu	vīlušies	disappointed
dêtre	būt	to be
dîner	vakariņot	dinner
dû	no	had to
dœil	acs	of the eye
dœuvre	darbs	piece
dœuvres	darbojas	writings
e	e	e
east	uz austrumiem	east
eastwood	eastwood	eastwood
eau	ūdens	water
eaux	ūdeņi	water
ecclésiastique	baznīcas	ecclesiastic
ecw	ecw	ecw
ed	ed	edition
eddie	edijs	eddie
edgar	edgars	writer
edge	mala	edge
editions	izdevumos	editions
edmond	edmond	(name)
edward	edvards	edward
effectif	efektīvs	datteindre
effectifs	darbaspēks	headcounts
effective	efektīvs	effective
effectivement	efektīvi	effectively
effectue	uzstājas	perform
effectuer	izpildīt	perform
effectué	izpildīts	placed
effectuée	izpildīts	effected
effectuées	izpildīts	carried
effectués	izgatavots	carried out
effet	efekts	effect
effets	efektus	effects
efficace	efektīvs	efficient
efficaces	efektīvs	efficient
efficacité	efektivitāte	efficiency
effort	pūles	effort
efforts	centieni	efforts
eiffel	eifels	eiffel
einstein	einšteins	einstein
el	el	el
elimination	likvidēšana	elimination
elizabeth	elizabete	elizabeth
elle	viņa	it (in that context)
ellemême	pati	itself
elles	viņi	they
ellesmêmes	paši	themselves
elvis	elvis	elvis
emblématique	ikonu	iconic
emblématiques	simbolu	symbolical
emi	emi	emi
eminem	eminem	eminem
emirates	emirāti	emirates
emma	emma	emma
emmanuel	emanuels	emmanuel
emmy	emmija	emmy
emo	emo	opinion and marketing survey
empereur	imperators	emperor
empereurs	imperatori	emperor
empire	impērija	empire
empires	impērijas	empires
empirique	empīrisks	empirical
emplacement	atrašanās vieta	place
emploi	nodarbinātība	employment
emploie	darbs	use
emplois	darba vietas	employement
employé	darbinieks	employee
employée	darbinieks	employee
employées	nodarbināti	employed
employés	darbiniekiem	employed
emprunté	aizņēmies	borrowed
empêche	apstāties	prevent
empêcher	izvairīties	forbid
en	iekšā	in
enceinte	grūtniece	enclosure
enceintes	grūtniece	pregnant
enchaîne	ķēde	switches
enchères	izsole	auction
encore	atkal	again
encourage	iedrošināt	encourages
encouragé	iedrošināja	encouraged
end	beigas	end
endroit	vieta	place
endroits	atrašanās vietas	locations
enfance	bērnība	childhood
enfant	bērns	infant
enfants	bērni	children
enfer	ellē	hell
enfin	beidzot	finally
engage	iesaistīties	starts
engagement	apņemšanās	engagement
engagements	saistības	bookings
engagé	saderinājies	engaged
engagée	saderinājies	engaged
engagés	saderinājies	undertakes's
engendre	ģenerē	give rise to
english	angļu	anglais
englobe	ietilpst	embody
enjeu	staba	stake
enjeux	likmes	issues
ennemi	ienaidnieks	enemy
ennemis	ienaidnieki	enemy
enquête	izmeklēšana	investigation
enquêtes	aptaujas	surveys
enregistre	iečekojies	records
enregistrement	ierakstīšana	recording
enregistrements	ieraksti	records
enregistrent	ieraksts	record
enregistrer	ieraksts	record
enregistré	iečekojies	records
enregistrée	ierakstīts	recorded
enregistrées	saglabāts	registered
enregistrés	saglabāts	registered
enseigne	māca	teaches
enseignement	izglītība	teaching
enseignements	nodarbības	teachings
ensemble	kopā	all
ensembles	komplekti	sets
ensuite	tad	then
entame	sākt	starts
entend	dzird	intends
entendre	dzirdi	hear
entendu	dzirdēts	known
enterré	apbedīts	buried
enthousiaste	aizrautīgs	enthusiastic
entier	vesela	entire
entiers	vesela	entire
entité	vienība	entity
entités	entītijas	entities
entière	vesela	entire
entièrement	pilnībā	entirely
entières	vesela	entire
entourage	svīta	entourage
entourant	apkārtējie	surrounding
entourent	ieskauj	surrounding
entouré	ieskauj	surrounded
entourée	ieskauj	surrounded
entraînant	aizraujoša	resulting
entraîne	ved	leads
entraînent	svinu	caused
entraîner	vilciens	cause
entraîneur	treneris	trainer
entraîné	apmācīti	resulted
entre	starp	between
entrelacement	savijas	interweaving
entrent	nāc iekšā	come in
entreprend	apņemas	began
entrepris	uzņēmusies	undertaken
entreprise	bizness	company
entreprises	kompānijas	companies
entrer	ievadiet	enter
entretemps	tikmēr	in between
entretien	intervija	interview
entretient	uztur	has
entrevue	intervija	interview
entré	starp	came in
entrée	ieeja	entrance
entrées	starteri	entered
envers	virzienā	towards
environ	par	about
environnement	vide	environment
environnemental	vide	environmental
environnementale	vide	environmental
environnementales	vide	environmental
environnementaux	vide	environmental
environs	vide	surrounding
envisage	ņemot vērā	plans
envisagé	uzskatīts	considered
envoie	sūtīt	sends
envoyer	sūtīt	upload
envoyé	nosūtīts	envoy
envoyée	nosūtīts	sent
envoyés	nosūtīts	sent
en 	iekšā	in
ep	ep	ep
er	er	rst
eric	eriks	eric
ernest	ernests	ernest
ernst	ernst	ernst ( name )
erreur	kļūda	mistake
erreurs	kļūdas	mistakes
es	es	es
escargots	gliemeži	snails
esclaves	vergi	slaves
espace	telpa	space
espaces	atstarpes	spaces
espagne	spānija	spain
espagnol	spāņu valoda	le e'spagnol
espagnole	spāņu	spanish
espagnoles	spāņu	spanish
espagnols	spāņu	spanish
espoir	ceru	hope
esprit	prāts	mind
esprits	gari	spirits
espèce	sugas	species
espèces	skaidrā naudā	cash
espère	ceru	hopes
espérance	ceru	expectancy
essai	tiesas process	try
essaie	mēģiniet	tries
essais	testēšana	trials
essaye	mēģiniet	try
essayer	mēģiniet	try
essayé	mēģināju	tried
essentiel	būtiska	essential
essentielle	būtiska	critical
essentiellement	būtībā	essentially
essentielles	būtiska	essential
essentiels	būtisks	essential
essor	uzplaukums	development
est	ir	is
esthétique	estētisks	aesthetic
esthétiques	estētisks	aesthetic
estil	vai tas ir	is he
estimant	ņemot vērā	considering
estimations	aplēses	estimates
estime	vērtē	estimated (for motown) believe(for fisher and jean nouvel)
estiment	ticēt	estimate
estimé	vērtē	estimated
estimée	lēsts	valued
et	un	and
etc	utt	etc
ethnies	etniskās piederības	races
ethnique	etniskā	ethnic
ethniques	etniskā	ethnic
etou	un vai	and / or
eu	bija	had
eugène	erogēns	eugene
eurent	bija	had
euro	eiro	euro
europe	eiropa	europe
européen	eiropietis	european
européenne	eiropietis	european
européennes	eiropietis	european
européens	eiropietis	european
eut	bija	was
eux	viņiem	them
euxmêmes	paši	themselves
evan	evan	even
evans	evans	evans
ex	ex	ex
exact	precīzi	exact
exacte	precīzi	exact
exactement	tieši tā	exactly
examen	eksāmens	review
examens	eksāmeni	examinations
excellence	ekselence	excellence
excellent	teicami	excellent
exception	izņēmums	exception
exceptionnel	ārkārtējs	exceptional
exceptionnelle	ārkārtējs	outstanding
exceptions	izņēmumi	exceptions
excepté	izņemot	excepted
exclusif	ekskluzīvs	exclusive
exclusive	ekskluzīvs	exclusive
exclusivement	tikai un vienīgi	exclusively
excès	pārmērība	excess
exemplaire	kopija	exemplary
exemplaires	kopijas	copies
exemple	piemērs	for instance
exemples	piemēri	examples
exerce	vingrinājumi	practices
exercer	vingrinājums	execute
exercice	vingrinājums	exercise
exercé	vingrināts	exercised
exhaustive	izsmeļošs	comprehensive
exige	nepieciešams	requires
exigences	prasības	demans
exil	trimdā	exile
existait	pastāvēja	existed
existant	esošie	exisiting
existantes	esošie	existing
existants	esošie	existing
existe	pastāvēt	exist
existence	esamība	existence
existent	pastāvēt	exist
exister	eksistēt	exist
existé	pastāvēt	existed
expansion	paplašināšana	growth
expert	eksperts	expert
experts	eksperti	experts
explication	skaidrojums	explanation
explications	skaidrojumi	explanations
explicitement	tieši	explicitly
expliquant	skaidrojot	explaining
explique	paskaidrojiet	explain
expliquent	paskaidrot	explain
expliquer	paskaidrot	explain
expliqué	paskaidrojiet	explained
exploitation	ekspluatācija	operation
exploite	izmanto	use
exploité	ekspluatēts	operated
exploités	ekspluatēts	used
explorer	izpētīt	explore
explosion	eksplozija	explosion
exportations	eksports	exports
expose	eksponāti	exposes
exposition	iedarbība	exposition
expositions	izstādes	expo
exposé	pakļauti	displayed
exposée	pakļauti	exposed
exposées	pakļauti	exposed
exposés	pakļauti	exposed
express	izteikt	express
expression	izteiksme	expression
expressions	izteicieni	expressions
exprime	izteikt	expresses
exprimer	izteikt	express
exprimé	izteikt	declared
exprimée	izteikts	expressed
expédition	ekspedīcija	expedition
expéditions	ekspedīcijas	expeditions
expérience	pieredze	experiment
expériences	pārdzīvojumi	experiments
expérimentale	eksperimentāls	experimental
extension	pagarinājums	extension
externe	ārējs	external
externes	ārējs	outside (better in both cases in that context that external)
extrait	ekstrakts	from
extraits	izraksti	sample
extraordinaire	ārkārtējs	extraordinary
extraordinaires	ārkārtējs	extraordinary
