$	dollar təşkil edib	dollar
గణతంత్ర	respublika	republic
గణతంత్రం	respublika	republic
గణన	hesablama	calculation
గణనీయంగా	əhəmiyyətli dərəcədə	remarkably
గణనీయమైన	əhəmiyyətli	great
గణపతిదేవుడు	ganapatidevudu	ganapati devudu
గణపతిని	ganapatini	ganapathi's
గణము	qalınlığı	group
గణాంక	mühasibat uçotu	count
గణాంకాలు	statistika	ganaankaalu
గణాలు	qəbilələr	group
గణిత	riyaziyyat	mathematics
గణితం	riyaziyyat	mathematics
గణితము	riyaziyyat	maths
గణేశ	ganesha	lord ganesh
గత	sonuncu	past
గతంలో	əvvəllər	past
గతి	taleyi	position
గదా	katha	it
గది	otaq	room
గదిలో	oturma otağı	in room
గద్వాల	qədval	gadwal (place)
గనుక	çünki	that is why
గనుల	minalar	fueture
గనులు	minalar	mines
గమనించండి	qeyd	obeserving
గమనించవచ్చు	xəbərdarlıq	observe
గమనించి	xəbərdarlıq	observe
గమనించిన	müşahidə olunur	observed
గమనిక	qeyd	note
గమనికలు	qeydlər	directions
గరిక	saman	garika
గరిష్ట	maksimum	maximum
గరుడ	qaruda	garuda
గర్భం	hamiləlik	pregnancy
గర్భంలో	bətn	imn pregnancy
గర్భాశయం	yumurtalıq	pregnency
గల	the	have
గలది	kilidlidir	has
గలదు	yerləşir	having
గలవాడు	adam	he has
గలవు	şüa	there
గలిగిన	sata bilmək	available
గల్ఫ్	körfəz	gulf
గళ్ళు	toddy	boxes
గవర్నమెంట్	hökumət	government
గవర్నరు	vali	governer
గవర్నర్	vali	governer
గవాస్కర్	gavaskar	gavaskar
గాంచింది	oldu	become
గాంచిన	ən populyar	as
గాంచినది	məlumdur	it became
గాంధి	qandi	gandhi
గాంధీ	qandi	gandhi
గాంధీకి	qandi	tor ghandhi
గాంధీజీ	gandhiji	gandhiji
గాంధీని	qandi	gandhi is
గాక	bilər	not only but also
గాజు	şüşə	glass
గాజువాక	gajuwaka	gajuvaaka
గాధ	qarmaqarışıq	story
గాధలు	hekayələr	stories
గానం	mahnı oxuyur	sung/ sang
గాని	ya da	or
గానీ	və ya	or
గాను	üçün	as
గానూ	çıxdı	also
గానే	kimi	as
గాబ్రో	qabro	gobro
గాయం	yaralanma	injuri
గాయకుడు	müğənni	singer
గాయకులు	müğənnilər	singers
గాయత్రి	gayatri	gayathri
గాయత్రీ	gayatri	gayatri
గారి	gary	garu
గారితో	i̇lə	sir
గార్డెన్	bağça	garden
గార్డెన్స్	bağçalar	gardens
గాలి	külək	air
గాలిని	külək	air
గాలిలో	havada	in the air
గాలులు	küləklər	winds
గింజలు	fındıq	seeds
గిట్ట	damaq	palm
గిడుగు	gag	gidugu
గిద్దలూరు	giddalur	gidaloor
గినియా	qvineya	guinea
గిన్నీస్	ginnes	guinness
గిన్నె	kase	blackberry
గిరి	giri	circular line
గిరిజన	qəbilə	indian aboriginals
గీత	zolaq	gita (a religious book)
గీతం	himni	song
గీతా	geeta	getha
గీతాంజలి	təşəkkür edirəm	geethanjali
గీతాలు	carols	geetaalu
గీసిన	çəkilib	drawn
గుంటూరు	guntur	guntur
గుంటూరులో	guntur	in guntur
గుండా	vasitəsilə	through
గుండు	vuruldu	bullet
గుండె	ürək	heart
గుండెదడ	çarpma	palpitation
గుండ్రంగా	dairəvi	round shaped
గుంపు	qrup	group
గుంపుగా	qrup	groupwise
గుజరాతీ	gujarati	gujarati
గుజరాత్	gujarat	gujarat
గుట్ట	promonitoriya	place
గుడి	i̇çməli	temple
గుడికి	kilsə	to temple
గుడిపాటి	qudipati	gudipati (first name)
గుడిలో	kilsə	in temple
గుడివాడ	gudivada	gudivada
గుడులు	fərqli olaraq	caves
గుడ్	yaxşı	good
గుడ్డు	yumurta	egg
గుడ్లు	yumurta	eggs
గుణ	guna	attribute
గుణం	mülkiyyət	characteristic
గుత్తి	buket	guthi
గుప్తుల	qupta	guptas
గుమ్మడి	balqabaqlar	gummadi(first name)
గురించి	haqqında	about
గురించిన	haqqında	description
గురించీ	haqqında	about
గురు	guru	teacher
గురుడు	yupiter	saturn
గురుత్వాకర్షణ	ağırlıq	law of attraction
గురువు	müəllim	teacher
గురువుల	ustalar	masters
గురువులు	gurus	techers
గుర్తించ	qeyd	known
గుర్తించటం	tanıyın	identifying
గుర్తించడం	ləkə	to determine the
గుర్తించడానికి	i̇şarələyin	to recognize
గుర్తించదగిన	görkəmli	identifiable
గుర్తించబడింది	tanıdı	discovered, finding out
గుర్తించవచ్చు	tapıldı	identifiable
గుర్తించారు	müəyyən edilmişdir	considered
గుర్తించి	tanımaq	recognizing
గుర్తించిన	müəyyən edilmişdir	identified
గుర్తించే	şəxsiyyət	recognition
గుర్తింపబడిన	müəyyən edilmişdir	recognized
గుర్తింపు	şəxsiyyət	recognition
గుర్తింపుగా	tanıma	remembrance
గుర్తిస్తారు	məlumdur	recognize
గుర్తు	i̇şarələyin	symbol
గుర్తుగా	i̇şarələyin	in memory of
గుర్తులు	i̇şarələri	symbols
గుర్రం	at	horse
గుర్రాన్ని	at	horse
గుర్రాలు	atlar	horses
గులాబి	gül	rose
గుహ	mağara	cave
గుహలు	mağaralar	caves
గుహలో	mağara	in the cave
గూగుల్	google	google
గూడూరు	gudur	gudur
గూడెం	hamlet	rural
గూఢచారి	casus	violent
గూర్చి	haqqında	about
గృహ	ev	house
గృహం	ev	home
గృహాణ	grhana	home
గృహాలు	evlər	houses
గెరిల్లా	partizan	gorilla
గెలిచిన	qazan	win
గెలీలియో	qalileo	galileo
గేట్	qapı	gate
గేట్స్	qapılar	gates
గేయ	sözləri	prose
గేయం	şeir	song
గేయాలు	i̇zlər	songs
గేలక్సీ	qalaktika	galaxy
గేలక్సీల	gelaksila	of galaxies
గేలక్సీలు	gelaksilu	galaxies
గైడ్	bələdçi	guide
గొంతు	boğaz ağrısı	throught
గొప్ప	əla	great
గొప్పగా	əla	great
గొప్పతనం	böyüklük	braveness
గొలుసు	zəncir	chain
గొల్ల	golla	shepherd
గొల్లపూడి	erkən həyat	gollapudhi
గోడ	divar	wall
గోడల	divarlar	walls
గోడలు	divarlar	godalu
గోతిక్	qotik	gothic
గోదావరి	godavari	godavari
గోదావరీ	godavari	godavari- name of a river in india
గోధుమ	qəhvəyi	wheat
గోన	qona	gona
గోపన్న	gopanna	gopanna
గోపాల	qopal	gopala
గోపాల్	qopal	gopal
గోపి	gopi	gopi
గోపురం	qüllə	tower
గోపురాలు	qübbə	towers
గోరా	gora	gora
గోర్బచెవ్	qorbaçev	name of a communist party leader
గోలి	qlobus	bullet
గోలు	məqsəd	goal
గోల్కొండ	golconda	golconda
గోల్డెన్	qızıl	golden
గోల్డ్	qızıl	gold
గోల్ఫ్	golf	golf
గోవా	goa	goa
గోవింద	govinda	govinda
గోవు	i̇nək	cow
గౌటు	artrit	gout
గౌతమ	qautama	goutham
గౌతమీపుత్ర	gautamiputra	gowthamiputhra
గౌరవ	şərəf	respected
గౌరవం	şərəf	respect
గౌరవాన్ని	şərəf	respect
గౌరవిస్తారు	hörmətli	respect
గ్యాంగ్	banda	gang
గ్యాస్	qaz	gas
గ్యాస్‌ను	qaz	gas
గ్రంథం	kitab	book
గ్రంథము	risalə	kamasutra
గ్రంథాలయం	kitabxana	library
గ్రంథాలు	məqalələr	grandas
గ్రంధం	kitab	book
గ్రంధంలో	i̇çində	its where the written messages are passed, they are used in olden days
గ్రంధము	kitab	big book (like ramayana and mahabarata)
గ్రంధస్తం	qeyd edin	book
గ్రంధాలయం	kitabxana	library
గ్రంధాలలో	mətnlər	in books
గ్రంధాలు	məqalələr	epics
గ్రంధి	vəzi	glands
గ్రంధులు	bezlər	glands
గ్రహ	asteroidlər	planet
గ్రహం	qrem	planet
గ్రహణం	tutulma	eclipse
గ్రహణాలు	tükənmə	eclipses
గ్రహము	planet	planet
గ్రహములు	planetlər	satilite
గ్రహస్థితి	grahasthiti	planetary position
గ్రహాంతర	əcnəbi	astronomical
గ్రహానికి	planet	satellite
గ్రహాల	planetlər	of planets
గ్రహాలు	planetlər	planets
గ్రహించి	həyata keçirir	understand
గ్రహించిన	hiss olunur	received
గ్రహీత	alıcı	reciepient
గ్రహీతలు	alıcılar	winners
గ్రాండ్	böyük	grand
గ్రాంథిక	mətnli	literal
గ్రానైట్	qranit	granite
గ్రాఫికల్	qrafik	graphical
గ్రాఫిక్స్	qrafika	graphics
గ్రామ	kənd	village
గ్రామంలో	kənd	in village
గ్రామము	kənd	vilage
గ్రామానికి	kənd	to the village
గ్రామాల	kəndlər	villages
గ్రామాలను	kəndlər	villages
గ్రామాలలో	kəndlər	in the villages
గ్రామాలు	kəndlər	villages
గ్రామీణ	kənd	grameena
గ్రీకు	yunan	greek
గ్రీకులు	yunanlar	greeks
గ్రీక్	yunan	greek
గ్రీన్	yaşıl	green
గ్రీసు	yunanıstan	green
గ్రీస్	yunanıstan	greece
గ్రూపు	qrup	group
గ్రూప్	qrup	group
గ్రేట్	əla	great
గ్రౌండ్	zəmin	ground
గ్లాసు	şüşə	glass
గ్లూకోజు	qlükoza	glucose
గ్లోబల్	qlobal	global
ఘంటసాల	qantasala	gantasala name
ఘజనీ	qacani	ghajani
ఘటన	hadisə	incident
ఘటనలు	hadisələr	incidents
ఘట్టం	hadisə	section
ఘట్టాలు	hadisələr	incidents
ఘన	qatı	solid
ఘనంగా	zəngin	gloriously
ఘనత	kredit	greatness
ఘనపరిమాణము	həcmi	volume
ఘనమైన	təxmini	large
ఘర్షణ	sürtünmə	quarell
ఘర్షణలు	münaqişələr	clashes
ఘాట్	götürdüm	raj ghar in delhi
ఘోర	əla	dangerous
చ	çağırış	cha
చందమామ	ay	moon
చందమామను	ay	moon
చందమామలో	ay	in the moon
చంద్ర	çandra	chandra
చంద్రకళ	çandra	chandrakala
చంద్రగిరి	çandragiri	chandragiri
చంద్రబాబు	naidu	chandra babu
చంద్రవంక	aypara	chandravanka
చంద్రశేఖర్	çandrasekhar	chandrasekhar
చంద్రుడి	ay	moon
చంద్రుడు	ay	moon
చంద్రుని	ay	moon's
చంపడం	öldürmək	killing
చంపి	öldürmək	after killing
చంపిన	öldürmək	killed
చక్కగా	yaxşı	nicely
చక్కటి	yaxşı	nice
చక్కని	yaxşı	clear
చక్కెర	şəkər	suger
చక్ర	təkər	wheel
చక్రం	təkər	wheel
చక్రపాణి	ən cavandır	chakrapani
చక్రము	dönmə	wheel
చక్రవర్తి	i̇mperator	emperor
చక్రవర్తుల	i̇mperatorlar	kings
చక్రాన్ని	dövrə	lifetime
చట్ట	qanuni	law
చట్టం	akt	law
చట్టపరంగా	qanuni olaraq	legal
చట్టపరమైన	qanuni	lawly
చట్టానికి	qanun	law
చట్టాన్ని	qanun	law
చట్టాల	həvarilər	law
చట్టాలను	qanunlar	laws
చట్టాలు	həvarilər	rules
చతురస్రం	meydan	square
చతుర్భుజి	dörd tərəfli	square
చత్తీస్	chhattisgarh	chathis
చదరంగ	şahmat	chess
చదరంగం	şahmat	chess
చదరపు	meydan	square
చదవడం	oxuyun	read
చదవడానికి	oxuyun	to read
చదివాడు	oxuyun	studied
చదివి	oxuyun	read
చదివిన	oxuyun	read
చదివే	oxu	study
చదునుగా	düz	flat
చదువు	oxuyun	education
చదువుకున్న	təhsilli	educated (ladies)
చనిపోయారు	ölmüş	chanipoyaru
చనిపోయిన	ölü	died
చనుబాలు	laktasiya	mother's milk
చప్పుడు	sıçramaq	sound
చమురు	yağ	oil
చరిత్ర	tarix	history
చరిత్రకారుడు	tarixçi	historical person
చరిత్రకారుల	tarixçilər	historiens
చరిత్రకారులు	tarixçilər	historians
చరిత్రకు	tarix	for the history
చరిత్రను	tarix	history
చరిత్రలు	tarixlər	histories
చరిత్రలో	tarix	in history
చరిత్రలోని	tarix	in the history
చరిత్రలోనే	tarix	in the history
చరియలు	yamaclar	steps
చర్చ	müzakirə	discussion
చర్చలకు	danışıqlar	meetings
చర్చలు	müzakirələr	churches
చర్చి	kilsə	church
చర్మ	dəri	skin
చర్మం	dəri	skin
చర్మము	qabığı	skin
చర్య	hərəkət	steps
చర్యకు	fəaliyyət	action
చర్యల	tədbirlər	affect
చర్యలకు	tədbirlər	action
చర్యలను	tədbirlər	acts
చర్యలు	tədbirlər	works
చలం	kişilər	chalam
చలన	hərəkət	motion
చలనం	hərəkət	motion
చలనచిత్ర	film	motion picture
చలి	başlar	winter
చల్లగా	soyuq	cold
చల్లని	sərin	cool
చవితి	çaturthi	chavithi
చాక్	təbaşir	chalk
చాణక్య	çanakya	chanakya
చాద్	çad	chad
చాప్లిన్	çaplin	chaplin
చారల	zolaqlı	stripes
చారిత్రక	tarixi	historic
చారిత్రకంగా	tarixən	historically
చారిత్రాత్మక	tarixi	historical
చారిత్రాత్మకంగా	tarixən	historically
చారిత్రికంగా	tarixən	historically
చార్లెస్	çarlz	charles
చాల	bir çoxu	huge, most
చాలా	ən çox	many
చాలాకాలం	uzun müddətə	long time
చాలామంది	bir çoxu	more people
చాలావరకు	çoxu	most
చాలు	qoy	enough
చాళుక్య	çalukya	chalukya
చాళుక్యుల	çalukyas	chalukya
చాళుక్యులు	çalukyas	chalukyas
చింత	narahat olur	sorrow
చింతపల్లి	chintapalli	chinthapalli
చింతలపూడి	chintalapudi	chinthalapudi
చింతామణి	çintamani	chintamani
చికాగో	çikaqo	chicago
చికాగోలో	çikaqo	in chicago
చికిత్స	müalicə	treatment
చికిత్సా	terapevtik	treatment
చిక్కు	labirint	puzzle
చిట్టా	giriş	list
చిట్టెలుక	hamster	rat
చిత్త	əhval	chitta
చిత్తూరు	çittoor	chittur
చిత్ర	çitra	film
చిత్రం	şəkil	image
చిత్రంగా	film	as a film
చిత్రంతో	şəkil	with this film
చిత్రంలో	şəkil	in picture
చిత్రకళ	sənət işi	art of painting
చిత్రకారుడు	rəssam	painter
చిత్రకారులు	rəssamlar	chitrakaarulu
చిత్రణ	təsəvvür	chitrana
చిత్రపటం	xəritə	picture
చిత్రమాలిక	foto qalereya	pictures
చిత్రము	şəkil	film
చిత్రమూలము	citramulamu	picture
చిత్రమైన	film	strange
చిత్రా	çitra	chitra
చిత్రానికి	şəkil	movie
చిత్రాన్ని	şəkil	the film
చిత్రాల	şəkillər	of cinemas
చిత్రాలకు	filmlər	movies
చిత్రాలని	şəkil	images
చిత్రాలను	şəkillər	movies
చిత్రాలలో	şəkillər	in filims
చిత్రాలు	şəkillər	films
చిత్రాల్లో	filmlər	in films
చిత్రించిన	boyalı	picturised
చిత్రీకరణ	atışma	picturize
చిన్న	kiçik	small
చిన్నచిన్న	kiçik	small
చిన్నది	kiçik	small
చిన్నదిగా	qısaldın	small
చిన్నవి	kiçik	small
చిన్నవిగా	kiçik	smaller
చిరంజీవి	chiranjeevi	chiranjeevi
చిరు	kiçik	small
చిరునామా	ünvan	address
చిరునామాలు	ünvanlar	address
చిలుక	tutuquşu	parrot
చివర	son	last
చివరకు	nəhayət	at last
చివరగా	nəhayət	in the end
చివరలో	sonunda	at last
చివరి	sonuncu	last
చివరికి	nəhayət	in the end
చివరిగా	nəhayət	finally
చివరిలో	sonunda	in the end
చిహ్నం	nişan	mark
చిహ్నంగా	simvolu	symbol
చిహ్నాలు	nişanlar	symbols
చిహ్నాలుగా	rəmzlər	signs
చీకటి	qaranlıq	dark
చీపురు	süpürgə	sweeper
చీమ	qarışqa	ant
చీమలు	qarışqalar	ants
చీర	sari	saree
చీరాల	chirala	cheeralla
చీలిక	yarıq	divided
చీల్చి	ayrılmaq	tear
చుక్క	ulduz	dot
చుక్కలు	nöqtələr	drops
చుట్టి	siçan	close
చుట్టు	vuruldu	neighboring
చుట్టుపక్కల	ətrafında	surroundings
చుట్టుప్రక్కల	ətrafında	in and around
చుట్టూ	ətrafında	sorounding
చురుకుగా	aktivdir	actively
చురుకైన	canlı	active
చూచి	susie	to see
చూడండి	bax	see
చూడగానే	mənzərə	soon after seeing
చూడటం	i̇zləyirəm	seeing
చూడటానికి	i̇zləyin	to view
చూడడం	i̇zləyirəm	seeing
చూడడానికి	görmək	looks like
చూడదగిన	mehriban	to be seen
చూడలేదు	görmək	did not see
చూడవచ్చు	tapıla bilər	can be seen
చూడవచ్చును	qarşılaş	can see
చూడవలసిన	baxın	must visit
చూడు	əlaqə	see
చూడుము	görmək	see
చూపడం	göstərin	to show
చూపారు	təyin olunmuşdur	shown
చూపి	göstərin	show
చూపించి	göstərin	showing
చూపించే	göstərin	show
చూపింది	göstərdi	shown
చూపిన	göstərilib	shown
చూపిస్తుంది	göstərir	it shows
చూపు	göstərin	sight
చూపుతారు	edirsiniz	show
చూపే	göstərir	see
చూసి	baxın	watched
చూసింది	gördü	have seen
చూసిన	baxılıb	viewed
చూసినా	qətiyyən	seen
చూసే	görmək	seeing
చూస్తారు	görmək	seen
చూస్తుంది	görür	watching
చూస్తున్న	baxiram	looking
చూస్తే	da, də	to see
చెందడం	üçün	belong
చెందాడు	oldu	become
చెందాయి	edirsiniz	become
చెంది	olmaq	included
చెందింది	edir	belongs to
చెందిన	the	belong
చెందినవారు	dən	belongs to
చెందినవి	dən	belong
చెందినా	of	related
చెందుతాయి	edirsiniz	belong
చెందుతుంది	edir	belongs
చెందుతున్న	böyüyür	developing
చెందే	bu	belongs
చెక్	çex	check
చెక్క	taxta	wood
చెక్కిన	oyma	chipped
చెట్టు	ağac	tree
చెట్ల	ağaclar	trees
చెట్లను	ağaclar	trees
చెట్లు	ağaclar	trees
చెడు	pis	bad
చెడ్డ	pis	bad
చెత్త	ən pis	waste material
చెన్నారెడ్డి	chenna reddy	chenna reddy
చెన్నై	çennai	chennai
చెపుతారు	deyilənə görə	they say
చెప్తారు	deyin	tell
చెప్పగా	- dedi	saying
చెప్పటం	sifariş	says
చెప్పడం	deyin	saying
చెప్పడానికి	deyin	without saying
చెప్పబడింది	bu deyilib	been told
చెప్పబడిన	bildirilib	says
చెప్పబడినది	deməli	has been told
చెప్పబడుతుంది	günahkar	will be explained
చెప్పబడే	məlumdur	used as
చెప్పబడ్డాయి	dedi	said
చెప్పలేదు	qeyd etmək deyil	did not tell
చెప్పవచ్చు	edir	can tell
చెప్పవచ్చును	evklid	can tell
చెప్పాడు	- dedi	said
చెప్పారు	deyir	said
చెప్పాలంటే	in	to say
చెప్పాలి	deyin	says
చెప్పి	- dedi	convince
చెప్పింది	deyir	said
చెప్పిన	deyir	told
చెప్పినట్లు	deyin	as said
చెప్పినది	təci̇li̇	cheppindhi
చెప్పుకుంటారు	bolluq	talk together
చెప్పుకోదగిన	diqqəti çəkəndir	worthy to be spoken about
చెప్పుకోదగ్గ	qadın	worthy of saying
చెప్పుకోవచ్చు	edir	can be said
చెప్పే	deyin	saying
చెప్పేవాడు	olacam	he use to tell
చెబుతారు	- dedi	they say
చెబుతుంది	deyir	will tell
చెబుతున్నాయి	diqqət	say
చెమట	tərləmə	sweat
చెయ్యటం	üçün	doing
చెయ్యటానికి	üçün	to be done
చెయ్యడం	üçün	doing
చెయ్యవచ్చు	bacarmaq	you can make
చెయ్యవలసి	olmaq	to do
చెయ్యాలని	üçün	to do
చెరకు	şəkər	dugercane
చెరుకు	daxil edin	sugarcane
చెరువు	gölet	river
చెరువులు	gölməçələr	ponds
చెఱువు	yetər	pond
చెలరేగిన	kimi	raised
చెల్లెలు	bacı	younger sister
చెవి	qulaq	ear
చెవుల	qazandı	key bunch
చెవులు	qulaqlar	ears
చే	tərəfindən	by
చేత	tərəfindən	by hand
చేతి	əl	hand
చేతితో	əl	with hand
చేతిలో	əl	in the hands of
చేతులను	əllər	hands
చేతులు	əllər	hands
చేనేత	toxuculuq	handloom
చేప	balıq	fish
చేపట్టాడు	aldı	took part
చేపట్టి	alın	building
చేపట్టింది	aldı	started
చేపట్టిన	təqdim olunur	takenup
చేపల	balıq	fishes
చేపలు	balıq	fishes
చేపాక్	chepauk	chepauk
చేయకుండా	dən	dont say
చేయగల	bu	capable of doing
చేయటం	üçün	doing
చేయటంతో	aşağıdakı	by doing
చేయటానికి	üçün	to make
చేయడం	üçün	doing
చేయడంతో	nə vaxt	did, so
చేయడంలో	üçün	do
చేయడానికి	üçün	do
చేయని	toxunmamış	not done
చేయబడతాయి	edirsiniz	maintained
చేయబడి	edir	completed
చేయబడింది	edir	cheyabadindhi
చేయబడిన	the	done
చేయబడినది	edir	are done
చేయబడినాయి	edirsiniz	were made
చేయబడుతుంది	olacaq	is being made.
చేయబడ్డాయి	edirsiniz	are done
చేయమని	üçün	asking to do
చేయరాదు	olmamalıdır	can't be done
చేయలేదు	deyil	cfant do
చేయవచ్చు	bacarmaq	could be done
చేయవచ్చును	bacarmaq	can be
చేయాలని	etmək üçün	do
చేయాలనే	üçün	doit
చేయాలి	olmalıdır	to be done
చేయి	video	do
చేయించి	edilib	done
చేయిస్తారు	i̇darə olunur	get done
చేయు	üçün	do
చేయుట	üçün	did
చేయుటకు	üçün	to do
చేర	qoşulun	chera
చేరడానికి	qoşulmaq	to reach
చేరవచ్చు	çata bilər	may reach
చేరాడు	qoşuldu	joined
చేరారు	qoşuldu	reached
చేరి	i̇ştirak edir	join
చేరింది	çatdı	reached
చేరిన	qoşulmaq	reached
చేరుకుంది	çatdı	reached
చేరుకున్నాడు	çatdı	reached
చేరుకొని	gəlir	after reaching
చేరుతుంది	çatır	reached
చేరే	çatmaq	chere
చేర్చడం	o cümlədən	attaching
చేర్చారు	daxildir	joined
చేర్చి	o cümlədən	add
చేర్పులు	əlavələr	adjustments
చేశాడు	etdi	done
చేశాయి	var	have done
చేశారు	var	made
చేసాడు	etdi	has done
చేసాయి	var	made
చేసారు	var	did
చేసి	və	did
చేసింది	var	did
చేసిన	üst	done
చేసినది	qiymətləndirilib	done
చేసినపుడు	nə vaxt	after doing
చేసినప్పుడు	nə vaxt	done
చేసినా	baxmayaraq	made
చేసినాడు	etdi	integrate
చేసినారు	var	they did
చేసుకుంటాయి	edirsiniz	doing
చేసుకుంటారు	edir	will do
చేసుకుంది	nə vaxt	has done
చేసుకుని	və	by making
చేసుకునే	üçün	doing
చేసుకున్న	the	did
చేసుకున్నాడు	ailəlidir	has done
చేసుకున్నాయి	edirsiniz	have done
చేసుకున్నారు	oldu	are made
చేసుకొంటారు	onlara;	they do it
చేసుకొని	və	understand
చేసుకొనే	pulsuzdur	made
చేసుకొన్నాడు	edilib	done it
చేసుకొన్నాయి	aldı	took place.
చేసుకొన్నారు	aldı	done it
చేసుకోవచ్చు	bacarmaq	can do
చేసుకోవటం	üçün	chesukovatam
చేసుకోవటానికి	üçün	to do
చేసుకోవడం	üçün	doing
చేసుకోవడానికి	üçün	can be
చేసెను	etdi	done
చేసే	bu	doing
చేసేందుకు	üçün	to
చేసేటప్పుడు	nə vaxt	while doing
చేసేది	xidmət edir	do
చేసేవాడు	kaş ki	he do
చేసేవారు	üst	used to do
చేసేవి	maklerlər	deeds
చేస్తాడు	olacaq	he will do
చేస్తాయి	etmək	will do
చేస్తారు	edirsiniz	will do
చేస్తుంటారు	edir	doing
చేస్తుందని	olacaq	will do
చేస్తుంది	edir	do
చేస్తున్న	etmək	doing
చేస్తున్నది	edir	doing
చేస్తున్నప్పుడు	hələ	while doing
చేస్తున్నాయి	o	completing
చేస్తున్నారు	edir	doing
చేస్తూ	və	doing
చేస్తూనే	hələ	do-
చేస్తే	əgər	if done
చేస్తోంది	quraşdırma	doing
చైతన్య	çaitanya	consciousness
చైతన్యం	mobillik	activeness
చైత్ర	çaitra	chitra
చైనా	çin	china
చైనాతో	çin	with china
చైనీయుల	çin	chinese
చైనీయులు	çin	chinese
చైనీస్	çin	chinese
చైల్డ్	uşaq	child
చొక్కా	köynək	choka
చొప్పున	hər biri	count
చోట	yer	place
చోటు	yer	place
చోట్ల	başqa yerdə	places
చోదకం	sürücü	search
చోళ	çola	chola
చోళుల	çola	cholas (kings dynasty)
చోళులు	xolas	cholas
చౌక్	boğuldu	chowk
చౌదరి	çoudhury	choudhary
ఛందస్సు	prosine	anushtup chanda (telugu grammar)
ఛత్రపతి	chhatrapati	chathrapathi
ఛానల్	kanal	channel
ఛాయ	boya	shadow
ఛాయా	kölgə	image
ఛాయాచిత్రం	şəkil	cinematography
జ	a	ja
జంక్షన్	qovşaq	junction
జంట	cütlük	couple
జండా	bayraq	flag
జంతు	heyvan	animal
జంతువు	heyvan	anima
జంతువుల	heyvan	animals
జంతువులకు	heyvanlar	animals
జంతువులను	heyvanlar	animals
జంతువులలో	heyvanlar	animals
జంతువులు	heyvanlar	animals
జంబూ	jumbo	jamboo
జకాత్	zəkat	jacath
జక్కన	jakkana	jakkana(poet)
జగ్గయ్య	jaggayya	jaggayya
జగ్గయ్యపేట	jaggayyapeta	jaggayyapeta
జటాయువు	jatayuvu	jatayu
జట్టుకు	komanda	team
జట్టులో	xatırlatdı	in group
జడ	passivdir	braid
జత	cütləşdirin	pair
జన	xalq	population
జనం	xalq	public
జనగణన	siyahıyaalma	census
జనతా	xalq	people's
జనన	doğuş	during birth
జననం	doğuş	birth
జననాలు	doğuşlar	people or population
జననేంద్రియ	genital	uterus
జనరల్	ümumi	general
జనరల్‌	ümumi	general
జనవరి	yanvar	january
జనసంఖ్య	əhali	population
జనసాంద్రత	sıxlıq	density of population
జనహార్	janahar	jawahar
జనాదరణ	populyarlıq	peolpes respect
జనాభా	əhali	population
జనాభాకు	əhali	population
జనాభాను	əhali	population
జనాభాలో	əhali	in the population
జనుల	xalq	people
జనులు	xalq	people
జన్మ	doğuş	birth
జన్మనిచ్చినది	doğmaq	gave birth
జన్మలో	həyat	this life
జన్మస్థానం	beşik	birth place
జన్మించాడు	doğulub	born
జన్మించారు	doğulub	born
జన్మించి	doğuldu	birth
జన్యు	genetik	genetic
జన్యువు	gen	genes
జన్యువులు	genlər	genes
జపం	japa	chanting
జపనీస్	yapon	japanese
జపాను	yaponiya	japan
జబ్బు	xəstəlik	disease
జమ్మి	cəmmi	prosopis cineraria
జమ్మూ	cammu	jammu
జయ	qələbə	jaya
జయంతి	jayanti	birthday
జయప్రద	tərcümələr	jayaprada
జయలలిత	jayalalithaa	jaya lalitha
జయసుధ	jayasudha	jaya sudha
జయించాడు	fəth etdi	to won
జయించి	fəth edin	win
జరగడం	dava	happening
జరగలేదు	o deyildi	not happened
జరగాలని	göstərilir	to happen
జరిగాయి	var idi	took place
జరిగి	oldu	done
జరిగిందంటే	baş verdi	if happened
జరిగిందని	oldu	insedentq
జరిగింది	oldu	happened
జరిగితే	əgər	if happens
జరిగిన	the	concluded
జరిగినట్లు	oldu	happend
జరిగినది	oldu	happened
జరిగే	the	happen
జరిగేవి	püskürdü	used to happen
జరిపారు	keçirilmiş	done
జరిపి	davranış	did
జరిపిన	a	did
జరిపే	i̇cra	make
జరుగుతాయి	baş verəcək	venkateswara pilgrimage place,sun moon,poojas,weddings
జరుగుతుంటాయి	keçirilib	conducted
జరుగుతుంది	bitdi	to happen
జరుగుతున్న	baş verən	happening
జరుగుతున్నది	baş verən	happing
జరుగుతూ	tərəqqi	happening
జరుగుతూనే	orada	to happen
జరుగును	bitdi	happens
జరుపుకుంటారు	qeyd etdi	are done
జరుపుకునే	qeyd etdi	celebrating
జరుపుకొనే	bayramları qeyd edin	celebrated
జరుపుతారు	təqdim olunur	will do
జర్నలిజం	jurnalistika	journalism
జర్నల్	jurnal	journal
జర్మనీ	almaniya	germany
జర్మనీకి	almaniya	to germany
జర్మనీలో	almaniya	in germany
జర్మనీలోని	almaniya	germany
జర్మన్	alman	germany
జల	su	water
జలాంతర్గామి	sualtı qayıq	submarine
జలాశయం	su anbarı	water fal
జలుబు	soyuq	cold
జవహర్	jawahar	jawahar
జవహర్‌లాల్	cəvəhaharlal	jawaharlal
జవాబు	cavab ver	answer
జస్టిస్	ədalət	jestice
జహాంగీర్	cahangir	jahangeer
జాంబవంతుడు	jambavantudu	jambavanth
