$	dollar təşkil edib	dollarsign
end	son	end
ende	və	and
ene	biri	one
energie	enerji	energy
enerzijds	bir əldə	unilaterally
enfluraan	enfuran	enflurane
engel	mələk	engel
engeland	i̇ngiltərə	england
engelen	mələklər	angels
engels	i̇ngilis	english
engelse	ingilis	english
engelsen	ingilis	englishmen
engelstalige	ingiliscə danışan	english spoken
england	ingilis	engeland
enig	hər hansı	unique
enige	yalnız	only
enigszins	bir qədər	somewhat
enkel	yalnız	only
enkele	bir az	a few
enof	və ya	and or
enorm	böyük	huge
enorme	böyük	huge
enterprise	müəssisə	enterprise
entertainment	əyləncə	enterainment
enthousiasme	həvəs	enthusiasm
enthousiast	həvəsli	enthousiastic
enz	və s.	etc
enzovoort	və sair	et cetera
enzovoorts	və sair	and so on
enzymen	fermentlər	enzymes
ep	ep	ep
epilepsie	epilepsiya	epilepsy
episode	epizod	episode
er	orada	there
eraan	ona	on
erachter	bunun arxasında	(to) figure
erasmus	erasmus	erasmus
erbij	orada	with it
ere	şərəf	honour
erectie	ereksiya	erection
eredienst	ibadət etmək	service of honor
eredivisie	premyer liqa	premiership
erelijst	fərqlənmə siyahısı	list of honour
erfelijk	irsi	hereditary
erfelijke	irsi	hereditary
erfenis	irsi	heritage
erfgoed	irsi	heritage
erflanden	irsi torpaqlar	heriditary countries
erg	çox	very
ergens	haradasa	somewhere
erger	daha pis	worse
eric	erik	eric
erich	erix	erich
erik	erik	erik
erin	içində	erin
erkend	tanınıb	recognised
erkende	tanınıb	acknowledged
erkennen	etiraf edin	recognize
erkenning	tanınması	recognition
erkent	etiraf edir	recognizes
ermee	bununla	with it
erna	sonradan	after
ernst	ciddilik	seriousness (ernst - with a capital e is a proper name)
ernstig	ciddi	serious
ernstige	ciddi	serious
erogene	erogen	erogenous
erop	üzərində	on
eros	eroz	eros (proper noun, name)
erosie	eroziya	erosion
erotiek	erotizm	eroticism
erover	bunun haqqında	about
ertoe	ona	towards
eruit	rədd ol	like
ervaart	təcrübələr	experiences
ervan	ondan	off
ervaren	təcrübə etmək	experienced
ervaring	təcrübə	experience
ervaringen	təcrübələr	experiences
ervoor	əvvəl	sure
erwin	ervin	erwin
es	es	es
essentie	mahiyyəti	essence
essentieel	vacibdir	essential
essentiële	vacibdir	essential
est	est	est
estland	estoniya	estland
estse	estse	estonian
etappe	mərhələ	stage
etc	və s	etc
eten	yemək	food
ethanol	etanol	ethanol
ethiek	etik	ethics
ethisch	etik	ethical
ethische	etik	ethical
etnische	etnik	ethnical
etymologie	etimologiyası	etymology
eu	eu	eu
euclides	evklidlər	euclides
eugène	eugene	eugène
euro	avro təşkil edib	euro (proper noun - monetary unit)
euromunten	avro sikkələr	eurocoins
europa	avropa	europe
europacup	avropa kuboku	europe-cup
europe	avropa	europe
european	avropa	european
europeanen	avropalılar	europeans
europees	avropa	european
europese	avropa	european
euros	avro təşkil edib	euros
eurovisiesongfestival	&quot;eurovision&quot; mahnı müsabiqəsi	eurovison songfestival
eurozone	avrozona	eurozone
euthanasie	evtanaziya	euthanasy
eva	eva	eva
evacuatie	evakuasiya	evacuation
evangelie	müjdə	gospel
evangelische	müjdəçi	evangelical
evangeliën	müjdələr	gospels
evans	evans	evans
even	biraz	as
evenaar	ekvator	equator
evenals	elə bunun kimi	as
eveneens	həmçinin	likewise
evenement	hadisə	event
evenementen	hadisələr	events
evenmin	nə də	neither
eventueel	ola bilər	possibly
eventuele	hər hansı	eventual
evenveel	kimi çox	the same amount
evenwel	lakin	however,
evenwicht	balans	balance
everest	everest	everest
evolutie	təkamül	evolution
evolutietheorie	təkamül nəzəriyyəsi	evolution theory
evolutionaire	təkamül	evolutionary
ex	ex	ex
exact	dəqiq	exact
exacte	dəqiq	exact
exchange	mübadilə	exchange
exclusief	eksklüziv	exclusive
exclusieve	müstəsna	exclusive
excuses	bəhanələr	excuse
executie	edam	execution
executies	edamlar	executions
executive	icraçı	executive
exemplaar	surəti	copy
exemplaren	nüsxə	copies
exodus	çıxış	exodus
exotische	ekzotik	exotic
expansie	genişlənməsi	expansion
expeditie	ekspedisiya	expedition
experience	təcrübə	experience (ervaring)
experiment	sınaq	experiment
experimentele	eksperimental	experimental
experimenten	təcrübələr	experiments
expliciet	açıq-aşkar	explicitly
explosie	partlayış	explosion
explosieve	partlayıcı	explosive
export	ixrac	export
exportproducten	ixrac məhsulları	exportproducts
expressionisme	ekspressionizm	expressionism
expressionistische	ekspressionist	expressionistic
externe	xarici	external
extra	əlavə	extra
extreem	həddindən artıq	extreme
extreme	həddindən artıq	extreme
eyes	gözlər	eyes
eén	a	one
f	f	f
fa	fa	fa
fabriek	zavod	factory
fabrieken	fabriklər	factories
fabrikant	istehsalçı	manufacturer
fabrikanten	istehsalçıları	producers
face	üz	face
facebook	facebook	facebook
faciliteiten	imkanlar	facilities
facto	fakto	facto
factor	amil	factor
factoren	amillər	factors
factory	zavod	factory
faculteit	fakültə	faculty
fagocyt	fagosit	fagocyct
failliet	iflas	failure
faillissement	iflas	failure
fair	ədalətli	jaarmarkt/ eerlijk
fame	şöhrət	fame
familie	ailə	family
familieleden	ailə üzvləri	relatives
families	ailələr	families
family	ailə	family
fan	fanat	fan
fans	azarkeşlər	fans
fantasie	fantaziya	fantasy
farao	firon	farao
fascisme	faşizm	fascism
fascisten	faşistlər	fascists
fascistische	faşist	fascist
fase	faza	phase
fasen	mərhələləri	phases
fases	mərhələləri	phases
fatale	ölümcül	fatal
fauna	fauna	fauna
favoriete	sevimli	favourite
favorite	sevimli	favoriet
fbi	fbi	federal bureau of investigation
fc	fc	fc
februari	fevral	february
federaal	federal	federal
federal	federal	federal
federale	federal	federal
federatie	federasiya	federation
federer	federer	federer
feel	hiss etmək	feel
feest	tərəf	party
feestdag	tətil	feast
feestdagen	bayramlar	holidays
feesten	qeyd etmək	celebrations
feit	fakt	fact
feite	faktiki olaraq	in fact
feitelijk	faktiki olaraq	in fact
feitelijke	faktiki	objective
feiten	faktlar	facts
fel	sıx	fierce
felix	feliks	felix
felle	şiddətli	fierce
female	qadın	female
feniks	feniks	phenix
fenomeen	fenomen	phenomenon
feodale	feodal	feudal
ferdinand	ferdinand	ferdinand
ferrari	ferrari	ferrari
festival	festival	festival
festivals	şənliklər	festivals
feyenoord	feyenoord	feyenoord
fictieve	uydurma	fictive
fiction	uydurma	fiction
fiets	velosiped	bicycle
fietsen	velosipedlər	bicycle
fietsers	velosipedçilər	cyclists
fifa	əla	fifa
figuren	rəqəmlər	figures
figuur	fiqur	figure
fijn	gözəl	fine
filipijnen	filippinlilər	phillipines
filipijnse	filipino	filipinjse
filips	philips	filips
film	film	movie
filmacteur	film aktyoru	film actor
filmen	filmə çəkmək	filming
filmfestival	film festivalı	film festival
filmindustrie	film sənayesi	movie industry
filmografie	filmoqrafiya	filmography
filmpje	film	movie
filmpjes	filmlər	movies
filmreeks	film seriyası	film series
films	filmlər	films
filosofen	filosoflar	philosophers
filosofie	fəlsəfə	philosophy
filosofisch	fəlsəfi	philosophical
filosofische	fəlsəfi	philosophical
filosoof	filosof	philosopher
final	final	final
finale	final	final
finales	final	finals
financieel	maliyyə	financial
financieren	maliyyə	finance
financiering	maliyyələşdirmə	financing transaction
financiële	maliyyə	financial
financiën	maliyyə	finance
finland	finlandiya	finland
finse	fin	finnish
fire	atəş	fire
firma	möhkəm	firm
first	əvvəlcə	first
fiscale	maliyyə	fiscal
fischer	balıqçı	fischer (proper noun - surname)
five	beş	five
fles	şüşə	bottle
flevoland	flevoland	flevoland
flink	hefteli	solid
flinke	hefteli	significant
flora	flora	flora
florence	florensiya	florence
floyd	floyd	floyd
fm	fm	frequency modulation
focus	diqqət	focus
foetus	döl	fetus
folklore	folklor	folklore
fonds	fond	fund
fontsizes	fontsize edir	fontsizes
foolscap	axmaqlıq	foolscap
football	futbol	football
for	üçün	for
force	güc	force
ford	ford	ford
foreman	usta	foreman
formaat	format	size
formaten	formatları	sizes
formatie	formalaşması	formation
formeel	formal	formal
formele	formal	formal
formule	düstur	formula
formules	düsturlar	formulas
fors	hefteli	substantially
fort	qala	fort
forten	qalalar	fortresses
fortuyn	fortuyn	fortuyn
forum	forum	forum
fossiele	qalıq	fossil
fossielen	qalıqları	fossils
foto	şəkil	picture
fotografie	fotoqrafiya	photography
fotos	fotolar	pictures
foundation	təməli	foundation
fout	səhv	fault
fouten	nöqsanlar	faults
fox	tülkü	fox
fr	fr	fr
fractie	fraksiya	fraction
france	fransa	france
francesco	fransko	francesco
francis	frank	francis
francisco	fransisko	francisco
franco	sərbəst	franco
frank	səmimi	franc
franken	frank	franks
frankfurt	frankfurt	frankfurt
frankische	səmimi	frankish
frankrijk	fransa	france
frans	fransız dili	frenche
franse	fransız dili	french
fransman	fransız	frenchman
franstalig	fransız dili	french
franstalige	fransız dilli	french-speaking
franstaligen	fransız dilində danışanlar	french speaking
franz	franz	franz
françois	fransız	francois
frazier	frazier	frazier
fred	qızardılmış	fred
freddie	freddie	freeddie
frederik	frederik	frederik
free	sərbəst	free
frequent	tez-tez	frequently
frequentie	tezliyi	frequention
frequenties	tezliklər	frequencies
freud	freud	freud
frida	frida	frida
friedrich	fridrix	friedrich
friends	dostlar	vrienden
fries	frisian	fries
friese	friz	frisian
friesland	frizlandiya	friesland
friezen	frizlər	friezes
frits	frits	frits
fritz	fritz	fritz
from	dən	from
front	ön	front
fronten	cəbhələrdə	fronts
fruit	meyvə	fruit
frusciante	təravətləndirir	frusciante
ft	ft	met
full	dolu	full
functie	funksiyası	function
functies	funksiyaları	functions
functioneert	funksiyaları	functionary
functionele	funksional	functional
functioneren	i̇şləyin	function
fundamenteel	əsaslı şəkildə	fundamental
fundamentele	əsas	fundamental
fungeerde	fəaliyyət göstərib	functioned
fungeert	fəaliyyət göstərir	functions
fungeren	hərəkət etmək	function
funk	funk	funk
fusie	birləşmə	merger
future	gələcək	future
fysiek	fiziki	fysical
fysieke	fiziki	physical
fysiologische	fizioloji	physiological
fysische	fiziki	fysical
g	g	g
gaal	qal	gaal
gaan	getmək	go
gaande	davam edir	ranging
gaandeweg	yol boyunca	along the way
gaat	gedir	turns (1st sentence), is (3rd sentence), assumes (6th sentence)
gaf	verdi	gave
gaga	qaqa	gaga
gaius	gayus	gaius
gal	qal	gall
galerij	qalereya	gallery
galilei	qalilei	galileans
galileo	qalileo	galileo
gallery	qalereya	gallery
gallia	gallia	gallia
gallische	gallic	gallic
game	oyunu	game
games	oyunlar	games
gandhi	gandi	gandhi
ganesha	ganesha	ganesha
gang	dəhliz	going
gangbare	ümumi	usual
ganzenveer	tirnoq qələm	goose quill
garantie	zəmanət	guarantee
garde	çırpmaq	garde
garden	bağ	garden
garros	qaralar	garros
gary	gary	gary
gas	qaz	gas
gaskamers	qaz kameraları	gas chambres
gaspedaal	qaz pedalı	accelerator  pedal
gassen	qazlar	gasses
gasten	qonaqlar	guests
gastheer	ev sahibi	host
gastrol	qonaq rolu	hosting role
gat	dəlik	hole
gate	qapısı	gate
gaten	deşiklər	holes
gates	qapıları	gates
gaudí	gaudí	gaudi
gauw	tezliklə	soon
gave	hədiyyə	gift
gaven	hədiyyələr	gifts
gazastrook	qaz zolağı	gaza strip
geaardheid	oriyentasiya	orientation
geaccepteerd	qəbul edildi	accepted
geaccepteerde	qəbul edildi	accepted
geacht	hesab olunur	expected
geallieerde	müttəfiq	allied
geallieerden	müttəfiqlər	allied
gear	dişli	gear
gearresteerd	həbs olundu	arrested
geassocieerd	bağlıdır	associated
geavanceerde	ətraflı	advanced
gebaseerd	əsaslı	based
gebaseerde	əsaslı	based
gebed	dua	prayer
gebergte	dağ silsiləsi	mountains
gebergten	dağ silsilələri	mountains
gebeten	dişləyib	bitten
gebeurd	oldu	happened
gebeurde	oldu	happened
gebeuren	baş vermək	happen
gebeurtenis	hadisə	event
gebeurtenissen	hadisələr	events
gebied	sahəsi	area
gebieden	sahələr	territories
gebit	dişlər	teeth
gebleken	bəlli oldu	shown
gebleven	qaldı	remained
geblokkeerd	bloklandı	blocked
geboden	əmr etdi	provided
geboekt	sifariş edilmişdir	booked
gebogen	əyri	curved
gebonden	bağlı olmaq	bound
geboorte	doğuş	birth
geboortecijfer	doğum səviyyəsi	birth rate
geboortedatum	doğum tarixi	date of birth
geboortehuis	doğum evi	place of birth
geboorteplaats	doğum yeri	place of birth
geboren	doğulub	born
gebouw	bina	building
gebouwd	tikilib	builded
gebouwde	tikilib	builded
gebouwen	binalar	buildings
gebracht	gətirdi	brought
gebrek	çatışmazlığı	lack
gebroeders	qardaşları	brothers
gebroken	qırıq	broken
gebrouwen	dəmlənmiş	brewed
gebruik	istifadə etmək	use
gebruikelijk	adi	usual
gebruikelijke	adi	usual
gebruiken	istifadə etmək	to use
gebruiker	istifadəçi	user
gebruikers	istifadəçilər	users
gebruikgemaakt	istifadə etdi	use
gebruikmaken	istifadə etmək	use
gebruikt	istifadə olunur	used
gebruikte	istifadə olunur	used
gebruikten	istifadə olunur	used
gecombineerd	birləşdirilmişdir	combined
gecombineerde	birləşdirilmişdir	combined
gecompenseerd	kompensasiya olunmuşdur	compensated
gecomponeerd	tərtib etmişdir	composed
geconcentreerd	cəmləşmişdir	concentrated
geconfronteerd	üzləşdi	confronted
gecontroleerd	yoxlanılır	controlled
gecreëerd	yaradılmışdır	created
gedaald	azaldı	decreased
gedaan	etdi	done
gedacht	düşündü	thought
gedachte	düşündü	thought
gedachtegoed	fikirlər	thought
gedachten	düşüncələr	thoughts
gedateerd	tarixli	dated back
gedeeld	paylaşdı	shared
gedeelte	hissəsi	portion
gedeeltelijk	qismən	partly
gedeeltelijke	qismən	partly
gedeelten	hissələri	portions
gedefinieerd	müəyyənləşdirilib	defined
gedeputeerde	deputat	gedeputeerde
gedetailleerde	ətraflı	detailed
gedicht	şeir	poem
gedichten	şeirlər	poems
gedomesticeerde	evlənmiş	domesticated
gedomineerd	üstünlük təşkil edir	dominated
gedood	öldürüldü	slain
gedraaid	dönmüşdür	turned
gedrag	davranış	behaviour
gedragen	davranmaq	behave
gedragingen	davranışları	behaviors
gedreven	idarə olunur	driven
gedronken	sərxoş	have drunk
gedrukt	çap olunmuşdur	print
gedrukte	çap olunmuşdur	printed
gedurende	zamanı	during
geel	sarı	yello
geen	yox	no
geert	gert	geert
geest	ruh	spirit
geestelijk	əqli	mental
geestelijke	mənəvi	spiritual
geestelijken	ruhanilər	clergymen
geestelijkheid	ruhanilər	geestelijkhied
geesten	xəyallar	spirits
gefinancierd	maliyyələşdirilib	financed
geformuleerd	formalaşdırdı	formulated
gegaan	getdi	gone
gegeten	yedi	eaten
gegeven	verilmişdir	given
gegevens	məlumatları	data
gegraven	qazılmış	digged
gegroeid	böyüdü	grown
gehaald	nail oldu	brought into (2nd and 6th sentence), taken off (11th sentence)
gehad	idi	had
gehalte	dərəcəsi	content
gehandicapten	əlil	disabled
gehanteerd	işlənib	used
geheel	bütöv	whole
geheim	gizli	secret
geheime	gizli	secret
geheimzinnige	sirli	mysterious
gehele	bütöv	entire
geheten	çağırdı	named
geheugen	yaddaş	memory
geheven	yığılmış	levied
geholpen	kömək etdi	helped
gehoor	eşitmə	respond to
gehoord	eşitdim	heard
gehouden	saxlanılır	held
gehuisvest	evlidir	accommodated
gek	dəli	crazy
gekeken	baxdı	looked
gekend	məlumdur	known
gekenmerkt	xarakterizə olunur	characterised
gekleed	geyimli	clothed
gekleurd	rənglidir	painted
gekleurde	rənglidir	colored
gekocht	alınıb	bought
gekomen	gəl	come
gekoppeld	bağlıdır	linked
gekozen	seçilib	chosen
gekregen	var	obtained
gekroond	taclandı	crowned
gekweekt	böyüdü	cultured
geladen	yüklənmişdir	loaded
gelaten	qalıb	launched
geld	pul	money
gelden	müraciət edin	count
gelder	gelder	gelder - proper noun - surname
gelderland	gelderland	gelderland
geldig	etibarlıdır	valid
geldt	tətbiq olunur	counts
gele	sarı	yellow
geleden	əvvəllər	suffered
geleedpotigen	artropodlar	athropods
geleerd	öyrəndi	learned
geleerde	alim	academic
geleerden	alimlər	scolars
gelegd	qoydu	placed
gelegen	yerləşən	situated
gelegenheden	hallar	opportunities
gelegenheid	fürsət	opportunity
geleid	rəhbərlik etdi	led
geleide	rəhbər	guided
geleidelijk	tədricən	gradually
geleidelijke	tədricən	gradual
geleverd	çatdırılmış	delivered
gelezen	oxumaq	read
geliefd	sevdi	popular
geliefde	aşiq	loved
gelijk	bərabərdir	equal
gelijke	bərabərdir	equal
gelijkenis	məsəl	resemblacne
gelijkheid	bərabərlik	equality
gelijknamige	eponim	of the same name
gelijktijdig	eyni zamanda	simultaneous
gelijkwaardig	ekvivalentdir	even
geloof	iman	belief
geloofde	inanırdı	believed
geloofden	inanırdı	believed
gelooft	inanır	believes
geloven	inanmaq	believe
gelovigen	möminlər	believers
geluid	səs	sound
geluiden	səslənir	sounds
geluk	şans	happiness
gelukkig	xoşbəxt	happy
gelukt	bacardı	accomplished
gemaakt	etdi	made
gemaakte	etdi	made
gemakkelijk	asan	easily
gemakkelijker	daha asan	easier
gemalen	üyüdülmüş	ground (to grind)
gematigd	mülayim	temperate
gematigde	mülayim	moderate
gemeen	deməkdir	in common
gemeenschap	icma	community
gemeenschappelijk	ümumi	communal
gemeenschappelijke	ümumi	common
gemeenschappen	icmalar	communities
gemeente	qəsəbə	municipality
gemeentelijk	bələdiyyə	municipal
gemeentelijke	bələdiyyə	municipal
gemeentemuseum	bələdiyyə muzeyi	municipal museum
gemeenten	bələdiyyələr	communes
gemeenteraad	yerli şura	city council
gemeenteraadsverkiezingen	bələdiyyə seçkiləri	municipal elections
gemeld	bildirildi	reported
gemenebest	birlik	commonwealth
gemengd	qarışıq	mixed
gemengde	qarışıq	mixed
gemeten	ölçülür	measured
gemiddeld	orta	average
gemiddelde	orta	average
gen	gen	gene
genaamd	çağırdı	named
genade	lütf	mercy
geneeskunde	dərman	medicine
geneesmiddel	dərman	medicine
genegeerd	nəzərə alınmır	ignored
genen	genlər	genes
generaal	ümumi	general
general	ümumi	general
generatie	nəsil	generation
generaties	nəsillər	generations
generation	nəsil	generation
genereren	əmələ gətirmək	generate
genesis	yaradılış	genesis
genetisch	genetik olaraq	genetically
genetische	genetik	genetic
genezen	müalicə etmək	cure
genezing	şəfalı	cure
genie	dahi	genius
geniet	zövq alın	enjoys
genieten	həzz almaq	enjoy
genocide	soyqırımı	genocide
genoeg	yetər	enough
genoemd	qeyd etdi	called
genoemde	adlı	mentioned
genomen	qəbul	taken
genomineerd	namizəd	nominated
genoodzaakt	zəruri	forced
genoom	genomu	genome
genoomtype	genom növü	genome type
genoot	ləzzət aldı	delight
genootschap	cəmiyyət	academy
genot	zovq	enjoy
genoteerd	qeyd etdi	logged
genre	janr	genre
genres	janrlar	genres
gent	gent	gent
gentse	gent	ghent
genua	genuya	genua
genève	cenevrə	geneva
geografie	coğrafiya	geography
geografisch	coğrafi cəhətdən	estimated
geografische	coğrafi	geographical
geologie	geologiya	geology
geologisch	geoloji	geological
geologische	geoloji	geolical
geopenbaard	ortaya qoydu	reveal
geopend	açıldı	open / opened
georg	georg	georg (sjors)
georganiseerd	mütəşəkkil	organised
georganiseerde	mütəşəkkil	organized
georges	georges	georges
georgia	gürcüstan	georgia
georgië	gürcüstan	georgie - proper noun - country
georiënteerde	yönəldilmişdir	orientated
gepaard	qoşalaşmışdır	paired / coupled
geplaatst	yerləşdirilib	placed
gepland	planlaşdırılır	planned
geplande	planlaşdırılır	scheduled
gepleegd	törədilmiş	committed
gepresenteerd	təqdim etdi	presented
geprezen	təriflədi	admired
geprobeerd	çalışdı	tried
geproduceerd	istehsal olunur	produced
geproduceerde	istehsal olunur	produced
gepubliceerd	nəşr olundu	published
geraakt	vurdu	hit
gerangschikt	aranjıman edilmişdir	ranked
gerard	gerard	gerard
gerealiseerd	həyata keçirdi	realised
gerecht	yeməyi	dish
gerechten	qablar	dish
gerechtshof	ədliyyə məhkəməsi	court
gered	xilas oldu	saved
gereden	idarə olunur	driven
gereed	hazırdır	ready
gereformeerde	islah edilmişdir	calvinist
geregeerd	hökm sürür	governed
geregeld	müntəzəm olaraq	regularly
geregisseerd	yönəldilmişdir	directed
geregistreerd	qeydə alınmışdır	registered
gerekend	hesablanır	counted
gerelateerd	bağlıdır	related
gerelateerde	bağlıdır	related
gericht	yönəldilmişdir	focused
gerichte	hədəflənmişdir	oriented
gering	kiçik	small
geringe	kiçik	low
germaanse	alman	german
germanen	almanlar	germans
geroepen	çağırdı	called
gerrit	gerritmək	gerry
gerst	arpa	barley
gerucht	söz-söhbət	rumour
geruchten	söz-söhbətlər	rumors
geruime	olduqca	some
geschapen	yaradılmışdır	created
geschat	təxmini	estimated
gescheiden	boşandı	separated
geschiedenis	tarixi	history
geschiedschrijving	tarixşünaslıq	historiography
geschiedt	olur	happens
geschikt	uyğun	suitable
geschikte	uyğun	adequate
geschilderd	boyalı	painted
geschonken	bağışlandı	been given / poured
geschoten	vurdu	shot
geschoven	itələdi	pushed
geschreven	yazılıb	written
gescoord	vurdu	scored
gesigneerd	imzalanıb	signed
gesitueerd	yerləşən	situated
geslaagd	uğurlu	successful
geslaagde	uğurlu	successful
geslacht	cinsi	butchered
geslachten	cinslər	sexes
geslachtsdelen	cinsiyyət orqanı	genitals
geslachtsgemeenschap	cinsi əlaqə	intercourse
geslachtsorganen	cinsiyyət orqanı	genitals
geslagen	döyülmüş	defeated
gesloopt	qıyılmış	demolished
gesloten	bağlı	closed
gespannen	gərgin	tensed
gespecialiseerd	ixtisaslaşmış	specialised
gespecialiseerde	ixtisaslaşmış	specialised
gespeculeerd	fərziyyə	speculated
gespeeld	oynadı	played
gesplitst	parçalanmaq	seperated
gesprek	söhbət	conversation
gesprekken	söhbətlər	conversations
gesproken	danışdı	spoken
gestaag	dayanmadan	steadily
gestaan	dayandı	assisted
gestart	başladı	started
gesteente	qaya	rock
gestegen	artdı	rised
gesteld	soruşdu	made
gestelde	soruşdu	set
gestemd	səs verdi	voted
gesteund	dəstəklənir	supported
gesticht	quruldu	founded
gestimuleerd	stimullaşdırılır	roused
gestoken	bıçaqladı	stabbed
gestolen	oğurlandı	stolen
gestopt	dayandı	ceased
gestorven	ölmüş	died
gestreden	vuruşdu	fought
gesuggereerd	təklif etdi	suggested
get	almaq	get
getal	nömrə	number
getallen	nömrələri	figures
getekend	imzalanıb	signed
getest	sınaqdan keçirilmişdir	tested
getiteld	adlı	titled
getoond	göstərilib	shown
getracht	cəhd edildi	attempted
getransporteerd	nəql olunur	transported
getroffen	təsirləndi	affected
getrokken	çəkilib	moved to
getrouwd	evli	married
getuige	şahid	witness
getuigen	şahidlər	witnesses
geuit	dilə gətirdi	expressed
geur	qoxu	scent
geuren	iy verir	scents
geuzen	dilənçilər	beggar
gevaar	təhlükə	danger
gevaarlijk	təhlükəli	dangerous
gevaarlijke	təhlükəli	dangerous
geval	dava	case
gevallen	hallar	cases
gevangen	tutuldu	captured
gevangene	məhbus	prisoner
gevangenen	məhbuslar	prisoners
gevangengenomen	əsir	taken prisoner
gevangenis	həbs	prison
gevangenisstraf	həbs	jail time/ detention
gevangenschap	əsirlik	imprisonment
gevaren	təhdidlər	hazards
gevarieerd	müxtəlifdir	varied
gevecht	mübarizə	the fighting
gevechten	döyüşlər	fights
geven	vermək	give
gevestigd	yerləşən	set
gevestigde	quruldu	established
gevierd	qeyd etdi	celebrated
gevoed	qidalanır	fed
gevoel	hissi	feeling
gevoelens	hisslər	feelings
gevoelig	həssas	sensitive
gevoelige	həssas	sensitive
gevoeligheid	həssaslıq	sensitivity
gevoerd	astarlı	conducted
gevolg	nəticəsi	consequence
gevolgd	izlədi	followed
gevolge	nəticə olaraq	result
gevolgen	effektləri	effects
gevonden	tapdı	found
gevormd	formalaşmışdır	formed
gevormde	formalaşmışdır	formed
gevraagd	soruşdu	was asked
gevuld	doldurulub	filled
gewaardeerd	qiymətləndirdi	rated
gewapend	silahlı	armed
gewapende	silahlı	armed
gewassen	məhsul	crops
geweest	olmuşdur	been
geweigerd	imtina etdi	refused
geweld	zorakılıq	violence
gewelddadige	zorakı	violent
gewend	alışdı	used to
gewenst	arzuolunan	desirable
gewenste	istenilen	desired
gewerkt	işləyib	worked
gewest	bölgə	province
gewesten	bölgələr	districts
geweten	vicdan	conscience
gewezen	göstərilmiş	pointed
gewicht	çəki	weight
gewijd	həsr olunmuşdur	devoted
gewijzigd	dəyişdi	changed
gewond	yaralananlar	injured
gewone	adi siravi	ordinary
gewonnen	qazandı	won
gewoon	sadəcə	ordinairy
gewoonlijk	adətən	usually
gewoonte	vərdiş	habit
geworden	olmaq	become
gewricht	birgə	joint
gewrichten	oynaqlar	joints
gezag	səlahiyyət	the order
gezamenlijk	birgə	joint
gezamenlijke	birgə	joint
gezegd	dedi	said
gezelschap	tərəf	company
gezet	qoy	placed
gezeten	oturmuşdur	been
gezicht	üz	face
gezichten	üzlər	faces
gezien	görüldü	seen
gezin	ailə	family
gezinnen	ailələr	families
gezocht	istədi	sought
gezond	sağlam	healthy
gezonde	sağlam	healthy
gezondheid	sağlamlıq	health
gezondheidszorg	səhiyyə	health care
gezongen	səsləndirdi	sang
gezorgd	qayğısına qaldı	resulted
geëxecuteerd	edam edildi	executed
geëxploiteerd	işlədilib	exploited
geïdentificeerd	müəyyənləşdirilib	identified
geïndustrialiseerde	sənayeləşmiş	industrialized
geïnfecteerd	yoluxmuş	infected
geïnspireerd	ilhamlandı	inspired
geïnstalleerd	quraşdırılıb	installed
geïntegreerd	inteqrasiya olunmuşdur	integrated
geïnteresseerd	maraqlandirir	interested
geïnterpreteerd	təfsir etdi	interpreted
geïntroduceerd	tanıtdı	introduced
geïsoleerd	təcrid olunmuşdur	isolated
geïsoleerde	təcrid olunmuşdur	isolated
ghana	qana	ghana
gibbs	gibbs	gibbs
gids	bələdçi	guide
gif	zəhər	venom
giftanden	fanglar	poison fangs
giftig	toksik	toxic
giftige	zəhərli	poisonous
gigantische	nəhəng	gigantic
gij	sən	you
gilbert	gilbert	gilbert
gilmour	gilmur	gilmour
ging	getdi	went
gingen	gedirdi	went
giorgio	giorgio	giorgio
giovanni	giovanni	giovanni
girl	qız	girl
girls	qızlar	meisjes
gisting	mayalanma	fermentation
gitaar	gitara	guitar
gitaren	gitaralar	guitars
gitarist	gitarist	guitarist
gizeh	giza	gizeh
gladde	hamar	smooth
glas	şüşə	glass
glasgow	qlazqo	glasgow
glazen	eynəklər	glass / glasses
gletsjers	buzlaqlar	glacier
global	qlobal	global
gloeilamp	ampul	bulb
gloeilampen	işıq lampaları	glow lamps
gloria	şöhrət	gloria
glucose	qlükoza	glucose
go	get	go
goal	qol	goal
god	allah	god
goddelijke	ilahi	divine
goden	tanrılar	gods
godheid	tanrı	deity
godin	ilahə	godess
godinnen	tanrıçalar	goddesses
gods	tanrılar	god's
godsdienst	din	religion
godsdiensten	dinlər	religions
godsdienstige	dindar	religious
godsdienstvrijheid	dini azadlıq	freedom of religion
goed	yaxşı	good - 1st sentence, well - 2nd and 3rd sentence.
goede	yaxşı	good
goederen	mallar	goods
goedgekeurd	təsdiqləndi	approved
goedkeuren	təsdiq etmək	approval
goedkeuring	təsdiq	approval
goedkoop	ucuz	cheap
goedkope	ucuz	cheap
goedkoper	daha ucuz	cheaper
goes	gedir	goed
gogh	qoq	gogh
going	gedir	going
gold	qızıl	was
golden	qızıl	golden
golf	qolf	wave
golflengte	dalğa uzunluğu	wavelength
golven	dalğalar	golves,
gone	getdi	gone
google	google	google (proper noun)
gooien	atmaq	throwing
gorbatsjov	gorbachev	gorbachev
gordon	gordon	gordon
gossip	qeybət	gossip
got	var	got
gotiek	qotik	gothic
gotische	qotik	gothic
goud	qızıl	golden
gouda	gouda	gouda
gouden	qızıl	golden
gouverneur	qubernator	governor
gouverneurgeneraal	general-qubernator	governor-general
