$ tỉ	милиард долара	$ billion
fifa	фифа	fifa
fifpro	fifpro	fifpro
figo	фиго	figo
fiji	фиджи	fiji
finish	завършек	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	фишер	fischer, as in louis fischer
fish	риба	fish
fishbed	fishbed	fishbed
fitzgerald	фицджералд	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	фламандец	fleming
flight	полет	flight
foch	фош	(proper noun) foch
focus	фокус	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	храна	food
football	футбол	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	брод	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	вилици	forks
foundation	фундамент	foundation
fox	лисица	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	франк	franc
france	франция	france
frances	франсис	frances
francis	франсис	francis, as in francis xavier
francisco	франциско	francisco
franco	франко	franco
frank	откровен	frank
frankfurt	франкфурт	(proper noun) frankfurt
franklin	франклин	franklin
franz	франц	(proper noun) franz, as in franz ritter
freud	фройд	(proper noun) freud, as in sigmund freud
friedman	фридман	friedman
fu	фу	fu
fujiko	фуджико	fujiko, as in japanese writer fujiko fujio
fujimoto	фуджимото	fujimoto
fukuoka	фукуока	fukuoka
funimation	funimation	(proper noun) funimation
funk	паника	funk
futsal	футзал	futsal
fx	fx	fx
ga	жа	station
gabon	габон	gabon
gabriel	габриел	gabriel
gabriella	габриела	gabriella
gagarin	гагарин	gagarin
gaia	gaia	gaia
gaillard	гаяр	gaillard
galilei	галилей	galilei
galileo	галилео	galileo, the astronomer
gam	гр	gam
gambia	гамбия	gambia
gamow	гамов	a name
gan	черен дроб	liver
gandhi	ганди	gandhi, as in mahatma gandhi
gang	банда	cast iron
ganh	ревнив	to be jealous
gao	ориз	strictly
gareth	гарет	a name
garrett	гарет	garrett
gary	гари	gary
gascon	гасконец	(proper noun) gascon, a dialect of france
gatt	гатт	gatt
gaule	гол	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	хомосексуален	tense
gaza	газа	gaza
gdańsk	гданск	(proper noun) gdansk, poland
gdp	брутен вътрешен продукт	gdp
geisha	гейша	geisha
gen	гени	gene
gene	ген	(proper noun) gene, an english first name
genesis	генезис	(proper noun) genesis
georg	георг	(proper noun) georg
george	джордж	george
georges	жорж	(proper noun) georges, a french name
gepard	гепард	gepard
ger	гер	ger
gerais	gerais	(proper noun) gerais
gerhard	герхард	gerhard
german	немски	german
germany	германия	germany
gerrard	джерард	gerrard, a last name
ghana	гана	(proper noun) the african country of ghana
ghe	лодка	canoe
ghen	ревнив	to be jealous (v.)
ghi	напиши	write
ghim	щифт	pin
ghé	спри се	visit
ghép	присадка	fit
ghê	ужас	disgust
ghì	ghi	tighten
ghẻ	краста	scabies (n.)
ghế	председател	chair
ghề	бързей	scabby
ghềnh	бързей	waterfall (n.)
gia	gia	date
giai	сцена	period
giam	затвор	imprison
gian	пространство	"(term should be ""thời gian"") time (n.)"
giang	гианг	syphilis
gibraltar	гибралтар	(proper noun) gibraltar
gichin	гичин	gichin
gieo	сея	sow
gifu	гифу	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	джулиани	giuliani
giun	глисти	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	гиза	giza
già	стар	old (adj.)
giàn	съцветие	"(term should be ""giàn hoa"") a trellis girder"
giành	с нетърпение	secure
giàu	богат	rich or wealthy (adj.)
giày	обувки	a shoe
giá	цена	estimate
giám	директор	"(term should be ""giám sát"") to supervise (v.)"
gián	хлебарки	"(term should be ""gián tiếp"") indirectly"
giây	секунди	seconds
giã	биеше	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	опъвам, разтягам	stretch
gièm	хулителите	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	исус	jesus
giêxu	връзка	jesus
giò	пролетни рулца	leg
giòi	червеи	maggot (n.)
giòn	хрупкав	crunchy or crispy (adj.)
gió	вятър	wind
gióng	като	align
giúp	помогне	help
giũa	досие	sharpen
giơ	задръствам	raise
giương	ослепителен	posture
giường	легло	bed
giả	фалшив	fake (adj.)
giải	решение	solution
giảm	намаление	decrease
giản	опростена	"(term should be ""giản dị"") simple (adj.)"
giấc	сън	giấc ngủ= the sleep
giấm	оцет	drabble
giấu	крия	hide
giấy	хартия	paper
giầu	богат	rich
giận	ядосан	angry
giằng	разпънки	pull
giặc	враг	enemy
giặt	мия	to wash (n.)
giếng	добре	well
giết	убийство	kill
giềng	съсед	"(term should be ""láng giềng"") neighboring"
giễu	присмех	ridicule
giọng	тон	tone
giọt	изпускайте	drop
giỏ	кошница	basket
giỏi	страхотен	good
giồng	giong	mound
giỗ	годишнина от смъртта	anniversaries of deaths
giới	пол	gender
giờ	часа	bao giờ=ever
giở	флаш	to open or unfold (v.)
giỡn	шегува	joke
giục	призова	urge
giữ	hold	hold
giữa	между	between
gladys	гладис	gladys
glazer	глейзър	glazer
glonass	glonass	glonass
gloria	ореол	gloria
gloster	глостър	(proper noun) gloster, as in gloster meteor
glucose	гликоза	glucose
gmail	gmail	gmail
gnp	бнп	gnp
go	отивам	"(term should be ""gay go"") tense"
goes	отива	goes
goku	goku	goku
golden	златист	golden
gom	събиране	to gather (v.)
google	google	google
gorbachev	горбачов	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	гордън	gordon, as in gordon brown
gore	кръв	gore
gorky	горки	gorky, as in gorky park
gothic	готически	gothic
gottfried	готфрид	gottfried
grabeel	grabeel	grabeel, a last name
graham	греъм	graham
granada	гранада	granada
granit	гранит	granite
greek	гръцки	(proper noun) greek
greenland	гренландия	greenland
greenson	greenson	(proper noun) greenson
greenwich	гринуич	(proper noun) greenwich
greg	грег	greg
grenada	гренада	grenada
grenadines	гренадини	grenadines
gross	брутен	gross
grumman	grumman	(proper noun) grumman
gruzia	грузия	gruzia
gryffindor	грифиндор	gryffindor
gs	gs	prof.
gsts	gts-	professor- phd
gu	стил	gu
guam	гуам	guam
guard	охрана	guard
guatemala	гватемала	guatemala
gui	gui	gui
guinea	гвинея	guinea
guinness	гинес	(proper noun) guinness
guitar	китара	guitar
gujarat	гуджарат	gujarat
gulag	гулаг	gulag
gulf	залив	gulf
gullit	гулит	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	гюстав	gustave
gutenberg	гутенберг	gutenberg
guyana	гвиана	guyana; proper noun
gà	пиле	chicken
gài	затъквам	to fasten (v.)
gào	изкрещя	"(term should be ""thét gào"") to cry out (v.)"
gác	охрана	guard
gái	момиче	girl
gán	присвоите	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	носене	hold
gáy	тил	crow
gân	близо	tendon
gây	кауза	make
gãy	разбито	break
gì	какво	what
gìn	резерват	preserve
gò	хълм	"(term should be ""gò má"") cheekbone (n.)"
gòn	гон	gon
góa	вдовица	widowed
góc	ъглов	angle
gói	пакет	goi
góp	вноска	to contribute
gót	пета	heels
gõ	тип	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	съкровище	poniard
găng	ръкавици	gloves
gũi	близо	close
gươm	меч	sword
gương	огледало	mirror
gạc	марля	johnson south reef
gạo	ориз	rice
gạt	разкъсан	to cheat or trick (v.)
gả	брак	marry
gảy	почивка	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	брокат	brocade
gấp	бързам	times, as in many times
gấu	мечката	a bear (n.)
gần	близо до	near
gầy	тънък	thin
gẫy	разбито	break
gập	гънка	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	пръчка	stick
gắm	пръдня	send
gắn	монтиран	mount
gắng	опитвам	try
gắt	грубо	intense
gặm	мъча	rodent
gặp	среща	meet
gặt	жъна	harvest
gỉ	ръждясал	rust
gọi	повикване	call
gọn	чист	neat (adj.)
gọng	рамки	gong
gọt	кора	cut
gỏi	салата	a vietnamese salad
gốc	произход	origin (n.)
gối	възглавница	"(should be ""qùy gối"") to kneel"
gốm	керамичен	pottery
gồm	включително	include
gồng	гонг	carry
gỗ	дървата	wood
gội	шампоан	shampoo
gộp	сливане	aggregate
gớm	отвратителен	tremendous
gờ	перваз	edge
gởi	изпрати	send
gỡ	разтоварване	meet
gợi	показващ	to evoke (v.)
gục	надолу	"(term should be ""đánh gục"") crush, as in battle"
gừng	джинджифил	ginger
gửi	да изпратя	send
ha	ха	hectare
habana	хавана	(proper noun) habana
habsburg	хабсбургската	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	хаан	hahn
hai	две	two (adj.)
hal	хал	hal
halle	хале	(proper noun) halle
halogen	халоген	halogen (n.)
ham	шунка	desire
hamilton	хамилтън	(proper noun) hamilton
han	хан	han
hang	пещера	cave
hangul	хангълите	hangul
hanh	hanh	hanh
hanja	ханджа	(proper noun) hanja, a type of chinese script
hansen	хансен	hasnen
hao	хао	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	харалд	harald
hardy	издръжлив	hardy
harlem	харлем	harlem
harlow	харлоу	harlow
harold	харолд	(proper noun) harold
harper	арфист	harper
harpercollins	harpercollins	hapercollins
harrier	блатар	harrier, as in harrier jump jet
harris	харис	harris
harry	грабя	harry
harvard	харвард	(proper noun) harvard, the name of a college
harvey	харви	harvey
havana	хавана	(proper noun) havana, cuba
havilland	хавиланд	havilland
hawker	амбулантен търговец	hawker
hawking	хокинг	(proper noun) hawking, as in physicist stephen hawking
hay	добре	or
hb	полупансион	hb
hbv	hbv	hbv
hcl	солна киселина	hcl
hd	hd	activity
he	той	he, a korean name
health	здраве	health
heath	пирен	heath
hee	хи	hee
hegel	хегел	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	хейан	heian
heinrich	хайнрих	heinrich
helen	хелън	helen
helena	елена	helena
heli	хелий	helium
hematocrit	хематокрит	hematocrit
hemoglobin	хемоглобин	hemoglobin
hen	кокошка	asthma
henry	хенри	(proper noun) henry, as in henry kissinger
heo	изхабен	dolphin
her	тя	her
herbert	хърбърт	herbert, as in herbert schandler
hercegovina	херцеговина	hercegovina
hercules	херкулес	hercules
hermann	херман	hermann
hermes	хермес	hermes
hersh	хърш	hersh, as in seymour hersh
hesiod	хезиод	hesiod
hestia	хестия	hestia
hi	здрасти	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	хикс	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	хидейоши	(proper noun) hideyoshi
hidro	водород	hydrogen
hillsborough	хилзбъро	hillsborough
hilton	хилтън	hilton
himalaya	himalaya	(proper noun) himalaya
hinata	хината	hinata
hindenburg	хинденбург	(proper noun) hindenburg
hindi	хинди	hindi
hindu	индуски	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	хирагана	hiragana
hiroshi	хироши	hiroshi
hiroshima	хирошима	(proper noun) hiroshima, the japanese city
hitchcock	хичкок	hitchcock
hitler	хитлер	hitler
hitter	хитър	hitter
hitters	гиганта	hitters
hiên	веранда	(proper noun) hiên, a vietnamese first name
hiđrô	водород	hydrogen
hiếm	рядък	rare
hiến	давам	devote
hiếp	изнасилване	rape
hiếu	синовно благочестие	pious
hiềm	аз ще	grudge
hiền	градински чай	sage
hiểm	опасно	dangerous
hiểu	разбирам	learn
hiện	показвам се	"(term should be ""thực hiện"") to accomplish"
hiệp	наполовина	united
hiệu	ефект	effective
hlv	треньор	trainer
hms	hms	hms
hmông	мон	hmong
hn	hn	hn
hoa	цвете	flower
hoan	фестивал	welcome
hogwarts	хогуортс	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	хой	rare
hokage	хокаге	hokage
hokusai	хокусай	hokusai
holmes	холмс	a name
holocaust	унищожение	holocause
holocen	холоценска	holocen
holt	горичка	holt, an english last name
hom	изрезки	a cutting
homer	омир	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	хондурас	honduras
hong	хонг	hong
honolulu	хонолулу	honolulu
honshū	хоншу	honshu
hopkins	хопкинс	(proper noun) hopkins
hornet	стършел	hornet
hotspur	буен	(proper noun) hotspur, as in tottenham hotspur
houston	хюстън	(proper noun) houston, as in whitney houston
howard	хауърд	(proper noun) howard
however	въпреки това	however
hoà	връзвам	peace
hoài	носталгичен	always (adv.)
hoàn	пълен	"(term should be ""hoàn toàn"") completely"
hoàng	цар	royal (adj.)
hoành	диафрагма	rife
hoá	химия	"(term should be ""văn hoá"") culture (n.)"
hoán	къдрене	refined (adj.)
hoãn	те се хранят	delay
hoạ	боя	disaster (tham hoa)
hoại	гангрена	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	порно	work
hoả	пожар	of
hoảng	паника	panic-stricken (adj.)
hoặc	или	or
hp	к.с.	hp
hq	hq	hq
hudgens	хъджънс	(proper noun) hudgens
hudson	хъдсън	hudson
huey	хюи	huey
hughes	хюз	hughes
hugo	уго	(proper noun) hugo
hume	хюм	hume, as in david hume
hun	хун	(proper noun) hun
hungary	унгария	hungary
hunt	лов	hunt
hurley	ирландски хокей	(proper noun) hurley, as in chad hurley
hussein	хюсеин	hussein
husserl	хусерл	huserl
huston	хюстън	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	брат	older brother
huyền	мистична	huyền thoại= legend
huyễn	илюзорен	huyen
huyện	област	district
huyệt	акупунктурни точки	lair
huân	хуан	"(term should be ""huân chương"") medal (n.)"
huê	оттенък	"a less common vietnamese word for ""flower"""
huấn	обучение	"(term should be ""huận luyện"") to train (v.)"
huế	оттенък	hue
huệ	оттенък	favour
huống	случай	situation
huỳnh	сяра	sulfur
huỷ	анулира	destroy
hydra	хидра	hydra, a monster in greek mythology
hydro	водород	hydrogen
hyperion	хиперион	hyperion
hà	ха	"(term should be ""hà nội"") the capital of vietnam"
hài	комедия	corpse
hàm	челюст	"(term should be ""bao hàm"") to imply (v.)"
hàng	ред	row
hào	заграждам с ров	depreciation
hách	арогантен	glorious
hái	избирам	picking
hán	суша	china
háo	нетърпелив	eager
hát	пей	song
hâm	луд	"(term should be ""hâm mộ"") to admire (v.)"
hân	хан	le ngoc han
hãi	уплашен	to be scared (v.)
hãn	хан	to sweat (v.)
hãng	фирмата	a company (n.)
hãnh	горд	proud
hè	лято	summer
hé	смахнат	reveal
héo	съхне	dried-out
hét	вик	shout
hên	късметлия	luck
hí	ne	game
hít	дишам	act of kissing (hon hit)
hò	запознанства	date
hòa	връзвам	republic
hòe	лайна	hoe
hòm	ковчег	box
hòn	остров	island
hòng	добре	in order to
hóc	временна	a corner (n.)
hót	пей	to chirp or sing (v.)
hô	хо	respiration
hôi	мръсен	stink
hôm	ден	day (n.)
hôn	целувка	propose
hông	хип	hip
hù	плаша	threaten
hùng	герои	hero
húc	кръв	huc
húng	вдъхновение	"(should be ""húng láng"") water mint"
hút	пушене	to suck (v.)
hăng	остър	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	буркани	jar
hơi	малко	slightly
hơn	от	more or less
hư	лошо	fictional
hưu	пенсиониран	huu
hương	тамян	smell
hước	хумористичен	humor
hướng	посока	trend
hường	huong	huong
hưởng	наслади се	influence
hạ	лято	lower
hạc	фламинго	crane
hạch	ганглий	ganglion
hại	вреда	harm
hạng	клас	rank
hạnh	hanh	happy
hạo	хао	hao
hạp	случка	hap
hạt	семена	seed
hải	митница	two
hảo	съвършен	perfect
hấn	хан	aggressive gesture
hất	ритам	toss
hấu	диня	"(term should be ""dưa hấu"") watermelon"
hầm	тунел	ham
hầu	почти	most
hận	омразата	hatred
hậu	кралица	anus
hắc	черно	black
hắn	него	he (n.)
hắt	кихане	reject
hằng	постоянен	every
hặc	hac	to criticize (v.)
hẹ	шалот	chinese chives
hẹp	стесни	narrow
hẻm	алея	alley (n.)
hẻo	уединен	outback
hến	миди	mussel
hết	над	most
hề	клоун	"(term should be ""không hề"") never"
hễ	а	whenever
hệ	система	relation
hệt	идентичен	exactly
hỉ	удар	happy
hịch	тупване	a proclamation
họ	фамилно име	they (n.)
họa	изкуство	picture
họach	план	"(term should be ""quy hoạch"") a project (n.)"
học	уча	study (v.)
họng	гърло	throat
họp	среща	meet
hỏa	пожар	fire
hỏng	разбито	corruption
hố	яма	hole
hốc	ниши	cavity
hồ	езеро	ho
hồi	анасон	muslim
hồn	душа	soul
hổ	тигър	tiger
hổi	ъ	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	зейналата	hole
hỗ	поддържа	"(should be ""hỗ trợ"") to support or assist"
hỗn	смесен	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	фестивал	society
hộp	кутия	box
hới	отворен	hoi
hớn	извика	"(term should be ""hớn hở"") radiant (adj.)"
hờn	намръщен	hatred
hở	отворен	reveal
hỡi	oi	dear
hợi	прасе	pig (n.)
hợp	подходящ	appropriate
hợpquận	съгласие	general district
hụt	дефицит	loss
hủi	прокажен	reject
hủy	анулира	to erase or destroy
hứa	обещание	promise
hử	нали	hu
hửu	нали	"(term should be ""sở hửu"") to own (v.)"
hữu	имот	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	хъ	hy
ian	иън	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	интегрална схема	ic
icc	icc	icc
iceland	исландия	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	игор	igor
iii	iii	third
ilene	ilene	ilence
illusion	илюзия	illusion
ilyich	илич	ilyich
im	аз съм	still
imam	имамът	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	имануел	(proper noun) immanuel, as in immanuel kant
impact	въздействие	impact
incoterm	incoterm	incoterm
incoterms	инкотермини	(proper noun) incoterms
indian	индийски	indian
indiana	индиана	indiana
indochina	индокитай	indochina
indonesia	индонезия	indonesia
indrapura	indrapura	(proper noun) indrapura
info	инфо	info
innsbruck	инсбрук	innsbruck
insulin	инсулин	insulin
int	инт	int
intel	intel	(proper noun) intel, as in the name of the company
interpol	интерпол	interpol
inu	inu	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	inu	(proper noun) inư
io	io	io
ioc	мок	ioc
ion	йон	ion
iosif	йосиф	(proper noun) iosif, as in iosif vissarionovich stalin
iran	иран	the nation of iran
iraq	ирак	iraq
ireland	ирландия	ireland
irgun	иргун	irgun
irony	ирония	irony
irving	ървинг	(proper noun) irving
isaac	исак	isaac
isla	исла	isla
islam	ислям	islam
islamabad	исламабад	(proper noun) islamabad
israeli	израелският	israeli
istanbul	истанбул	istabbul
italia	italia	italy
italiano	italiano	(proper noun) italiano
itanium	itanium	itanium, as in windows xp itanium
ito	ито	ito
itsukushima	ицукушима	itsukushima
itu	itu	itu
itzá	ица	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	к	j
jack	крик	jack
jackie	джаки	(proper noun) jackie chan
jackson	джексън	(proper noun) jackson, as in michael jackson
jacob	джейкъб	jacob
jae	дже	jae
jakarta	джакарта	(proper noun) jakarta
jan	януари	(proper noun) jan
janeiro	жанейро	janeiro
janet	джанет	janet
japan	япония	japan
jared	джаред	jared
jarvis	джарвис	(proper noun) jarvis, as in jarvis cocker
jasper	яспис	(proper noun) jasper
jean	джинсов плат	jean
jeane	джийн	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	дънки	jeans
jeet	джийт	(proper noun) jeet, as in jeet kune do
jeff	джеф	jeff, as in jeff drake
jefferson	джеферсън	jefferson
jeffrey	джефри	jeffrey
jeju	jeju	jeju
jenda	женда	jenda
jenny	женската на някои животни	jenny
jericho	йерихон	jericho, as in wrestler chris jericho
jerome	джеръм	jerome, as in fred jerome
jerry	нощно гърне	(proper noun) jerry
jersey	жарсе	jersey
jerusalem	йерусалим	jerusalem
jesse	джеси	a name
jesus	исус	chua jesus
jetstar	jetstar	jetstar
jewish	еврейски	jewish
jiao	jiao	jiao
jimmy	джими	jimmy
jin	джин	jin
jing	дзин	jing
jiraiya	джирая	(proper noun) jiraiya
joachim	йоахим	joachin
joan	джоан	a name
joe	джо	(proper noun) joe
johan	йохан	johan
johann	йохан	johann
johannes	йоханес	johannes
johannesburg	йоханесбург	(proper noun) johannesburg, south africa
johnny	конте	johnny
johns	джонс	johns
johnston	джонстън	johnston, as in harry johnston
johor	джохор	johor
joint	става	joint
jonathan	джонатан	(proper noun) jonathan
jones	джоунс	jones
jose	хосе	(proper noun) jose, a spanish first name
joseon	чосон	(proper noun) joseon
joseph	джоузеф	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	джудит	judith
judo	джудо	judo, the martial art
julesverne	жул верн	jules verne
julliard	джулиард	(proper noun) julliard
jump	скок	jump
june	юни	june, as in the month
jung	юнг	jung
junsu	junsu	junsu
jupiter	юпитер	(proper noun) jupiter, as in the planet
jura	юра	(proper noun) jura
juventus	ювентус	juventus
k	к	k
kaede	каеде	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	кан	kahn
kai	кай	kai
kakashi	какаши	kakashi
kaká	кака	(proper noun) kaka, a brazilian soccer player
kalashnikov	калашников	(proper noun) kalashnikov
kali	калий	potassium
kama	кама	(proper noun) kama, as in the kama sutra
kamakura	камакура	kamakura
kamov	камов	kamov
kampf	кампф	kampf
kampong	кампонг	kampong
kampuchea	кампучия	cambodian
kana	кана	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	канджи	kanji
kant	кант	a name
kar	кар	(proper noun) kar
kara	кара	kara
karaoke	караоке	karaoke
karate	карате	karate
karatedo	карате	karatedo
karen	карън	(proper noun) karen
karim	карим	(proper noun) karim
kashmir	кашмир	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	катакана	katakana, a type of japanese script
kate	кейт	(proper noun) kate, as in actress kate winslet
katherine	катрин	katherine
kathmandu	катманду	kathmandu
katrina	катрина	(proper noun) katrina, as in hurricane katrina
katz	кац	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	кавказ	kavkaz
kawasaki	kawasaki	(proper noun) kawasaki
kay	кей	kay
kazan	казан	kazan, the name of a city
kcn	kcn	industrial zone
ke	ке	"(term should be ""boong ke"") a bunker (n.)"
kelly	кели	kelly
kelsi	kelsi	kelsi
kelvin	келвин	kelvin
kem	сметана	ice cream (n.)
ken	познание	ken
kennedy	кенеди	(proper noun) kennedy, as in john f. kennedy
kenneth	кенет	(proper noun) kenneth, a name
kenny	кени	kenny, an english first name
kentucky	кентъки	(proper noun) kentucky
kepler	кеплер	kepler
kerala	керала	(proper noun) kerala
kevin	кевин	kenvin
keynes	кейнс	keynes, as in economist john maynard keynes
kg	килограма	kilogram
kha	kha	(proper noun) a vietnamese first name
khai	декларация	announce
khali	хали	(proper noun) khali
khalip	khalip	(proper noun) khalip
kham	кхам	endure
khan	безводен	rare
khang	ханг	khang
khanh	кхан	khanh
khao	копнеж	desire
khay	поднос	tray
khe	прорез	chink
khem	кем	abstinence
khen	възхвала	praise
kheo	на кокили	kheo
khi	когато	when
khieu	не разбирам	(proper noun) khieu, as in khieu samphan
khiêm	скромен	khiem
khiên	щит	a shield
khiêu	еротичен	"('khiêu dâm"") pornographic"
khiếm	нарушена	lack
khiến	кауза	control
khiếp	ужасена	horrible
khiếu	квартира	talent (n.)
khiển	контрол	control
khleang	khleang	kh'leang
kho	склад	warehouse
khoa	факултет	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	пробивна машина	drill
khoang	кухина	brag
khoanh	позвъня	a slice (n.)
khoe	хваля се	to boast
khoá	ключалка	lock
khoác	връхна дреха	coat
khoán	наличност	stock
khoáng	минерал	mineral
khoát	окончателен	decisive
khoét	разрез	carve
khoăn	гриза	disturbed
khoả	гол	naked
khoản	вещ	an item (n.)
khoảng	ок	about
khoảnh	моменти	moment
khoẻ	глоба	health
khrushchev	хрушчов	khrushchev
khrushchyov	khrushchyov	khrushchyov
khu	кръгове	section
khung	рамки	frame
khural	khural	khural
khuynh	наляво	trend
khuyên	съвет	advise
khuyết	дефектен	lack
khuyển	куче	khuyen
khuất	скрит	hidden
khuấy	разбърква	stir
khuẩn	бактерии	bacteria
khuếch	да се допълни	amplification
khuỷu	лакът	elbow
khá	по-скоро	quite
khác	друг	different
khách	гост	customer
khái	идеен	concept
khám	преглед	discover
khán	публиката	audience
kháng	съпротивление	appeal
khánh	независимост	a type of chime made of stone (n.)
khát	жаден	to be thirsty for (adj.)
khâm	кхам	admire
khèn	уви	a pan-pipe (n.)
khéo	изобретателен	cleverly or skillfully (adv.)
khép	близо	close
khía	прорез	"(term should be ""khía cạnh"") angle (n.)"
khích	насърчавам	encourage
khít	близо	close
khó	трудно	difficulty
khóa	заключвам	a session
khóc	вик	cry
khói	дим	smoke
khóm	ананас	a cluster
khô	сушен	dry
khôn	мъдър	clever, intelligent
không	не е	not
khúc	сегмент	song
khăm	зле миришещи	nasty (adj.)
khăn	хавлиена кърпа	difficult
khơi	офшорен	sea
khư	khu	grip
khưu	khưu	khuu
khước	отричам	waive
khả	възможност	"(term should be ""khả năng"") ability (n.)"
khải	откровение	triumph
khảm	мозайка	to encrust
khảo	преглед	"(term should be ""tham khảo"") to consult (v.)"
khấm	пробита	endure
khấn	моля	pray
khấu	отстъпка	"(term should be ""sân khấu"") a stage (n.)"
khẩn	спешно	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	прорез	moment
khắp	всичко свърши	all over
khẳng	утвърдителен	"(term should be ""khẳng định"") to assert (v.)"
khế	звезден плод	bond
khỉ	маймуна	monkey or ape (n.)
khỏa	гол	nude
khỏe	силен	health
khỏi	извън	leave
khố	препаска	loincloths
khốc	страшен	devastating
khối	ниво ниво	a block or mass of (n.)
khốn	копеле	miserable
khống	конг	control
khổ	страдание	miserable (adj.)
khổng	гигант	huge
khởi	посветени	start
khủng	ужасен	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	копеле	elbow
khứu	пастел	olfactory
khử	елиминиране	reduction
ki	ки	"entire phrase is ""ki lo""; means ""kilometer"""
kia	че	other
kid	хлапе	kid
kiel	кил	(proper noun) kiel
kierkegaard	киркегор	kierkegaard, as in soren kierkegaard
kiernan	kiernan	kiernan
kii	оии	kii
kikyo	kikyo	kikyo
kilômét	km	kilometer
kim	ким	kim
kingdom	царство	kingdom
kinsey	кинси	kisney
kiribati	кирибати	kiribati
kishimoto	кишимото	(proper noun) kishimoto
kiss	целувка	kiss
kissinger	кисинджър	kissinger
kitts	китс	kitts
kitô	кристиян	christian
kiêm	заедно с	cum
kiên	търпелив	consistent
kiêng	въздържат	abstinence, as in abstaining from eating
kiêu	арогантен	showy
kiếp	живот	a lifetime (n.)
kiết	kiệt	cheap (adj.)
kiềm	алкален	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	проверка	control
kiểu	тип	type
kiệm	икономичен	save
kiện	да съдят	event (su kien)
kiệt	шедьовър	exhausted (adv.)
kiệu	паланкин	scallion
klaus	клаус	klaus
klein	клайн	klein
km	километър	kilometer
knesset	кнесет	knesset
knuth	кнут	knuth, as in donald knuth
koch	кох	koch
kodansha	kodansha	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	комодски	komodo
kon	коп	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	конг	(proper noun) kong, as in hong kong
konstantin	константин	(proper noun) konstantin
