$ tỉ	$ अरब	$ billion
funimation	फनिमेशन	(proper noun) funimation
funk	दुर्गंध	funk
futsal	फुटसल	futsal
fx	fx	fx
ga	गा	station
gabon	गैबॉन	gabon
gabriel	गेब्रियल	gabriel
gabriella	गैब्रिएला	gabriella
gagarin	गागरिन	gagarin
gaia	गैया	gaia
gaillard	गैलार्ड	gaillard
galilei	गैलीली	galilei
galileo	गैलीलियो	galileo, the astronomer
gam	गम	gam
gambia	गाम्बिया	gambia
gamow	gamow	a name
gan	जिगर	liver
gandhi	गांधी	gandhi, as in mahatma gandhi
gang	कच्चा लोहा	cast iron
ganh	विवाद	to be jealous
gao	गाओ	strictly
gareth	गैरेथ	a name
garrett	गैरेट	garrett
gary	गैरी	gary
gascon	डींगमार	(proper noun) gascon, a dialect of france
gatt	गैट	gatt
gaule	फ्रांसीसी	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	समलैंगिक	tense
gaza	गाजा	gaza
gdańsk	डांस्क	(proper noun) gdansk, poland
gdp	सकल घरेलू उत्पाद	gdp
geisha	गीशा	geisha
gen	जीन	gene
gene	जीन	(proper noun) gene, an english first name
genesis	उत्पत्ति	(proper noun) genesis
georg	जोर्ज	(proper noun) georg
george	जॉर्ज	george
georges	जार्ज	(proper noun) georges, a french name
gepard	gepard	gepard
ger	जर	ger
gerais	गेरैस	(proper noun) gerais
gerhard	गेरहार्ड	gerhard
german	जर्मन	german
germany	जर्मनी	germany
gerrard	गेरार्ड	gerrard, a last name
ghana	घाना	(proper noun) the african country of ghana
ghe	wherry	canoe
ghen	ईर्ष्या	to be jealous (v.)
ghi	अभिलेख	write
ghim	पिन	pin
ghé	आगंतुकों	visit
ghép	में शामिल होने के	fit
ghê	सीटों	disgust
ghì	दबाया	tighten
ghẻ	नीच	scabies (n.)
ghế	सीट	chair
ghề	असभ्य	scabby
ghềnh	उतार	waterfall (n.)
gia	परिवार	date
giai	अवधि	period
giam	जेल	imprison
gian	समय	"(term should be ""thời gian"") time (n.)"
giang	ग्यांग	syphilis
gibraltar	जिब्राल्टर	(proper noun) gibraltar
gichin	गिचिन	gichin
gieo	बीज बोना	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	गियूलियानी	giuliani
giun	कीड़े	worm
giuse	यूसुफ	giuse
giuộc	जैसे लोग	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	गीज़ा	giza
già	पुराना	old (adj.)
giàn	पाड़	"(term should be ""giàn hoa"") a trellis girder"
giành	वोन	secure
giàu	धनी	rich or wealthy (adj.)
giày	जूता	a shoe
giá	कीमत	estimate
giám	निदेशक	"(term should be ""giám sát"") to supervise (v.)"
gián	तिलचट्टे	"(term should be ""gián tiếp"") indirectly"
giây	सेकंड	seconds
giã	अलविदा	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	आराम	stretch
gièm	रूढ़िबद्धता	"(should be ""gièm pha"") to backstab"
giêhôva	जेनोवा	jehovah
giêng	जनवरी	january
giêsu	giêsu	jesus
giêxu	यीशु	jesus
giò	स्प्रिंग रोल	leg
giòi	कीड़ों	maggot (n.)
giòn	कुरकुरे	crunchy or crispy (adj.)
gió	हवा	wind
gióng	कल्म	align
giúp	मदद	help
giũa	दाखिल	sharpen
giơ	जाम	raise
giương	बढ़ाया	posture
giường	बिस्तर	bed
giả	झूठा	fake (adj.)
giải	समाधान	solution
giảm	कमी	decrease
giản	सरलीकृत	"(term should be ""giản dị"") simple (adj.)"
giấc	सपना	giấc ngủ= the sleep
giấm	सिरका	drabble
giấu	छिपाने	hide
giấy	कागज़	paper
giầu	धनी	rich
giận	क्रोधित	angry
giằng	ब्रेसिंग	pull
giặc	दुश्मन	enemy
giặt	धुलाई	to wash (n.)
giếng	कुआँ	well
giết	मार	kill
giềng	पड़ोसियों	"(term should be ""láng giềng"") neighboring"
giễu	उपहास	ridicule
giọng	उच्चारण	tone
giọt	ड्रॉप	drop
giỏ	टोकरी	basket
giỏi	अच्छा	good
giồng	टीले	mound
giỗ	पुण्यतिथि	anniversaries of deaths
giới	दुनिया	gender
giờ	घंटा	bao giờ=ever
giở	उठा लिया	to open or unfold (v.)
giỡn	मजाक कर रहा	joke
giục	शीघ्र	urge
giữ	पकड़े रहो	hold
giữa	के बीच	between
gladys	ग्लेडिस	gladys
glazer	ग्लेज़र	glazer
glonass	ग्लोनास	glonass
gloria	ग्लोरिया	gloria
gloster	ग्लॉस्टर	(proper noun) gloster, as in gloster meteor
glucose	शर्करा	glucose
gmail	जीमेल	gmail
gnp	जीएनपी	gnp
go	जाने	"(term should be ""gay go"") tense"
goes	चला जाता है	goes
goku	गोकू	goku
golden	सोने का	golden
gom	समेकन	to gather (v.)
google	गूगल	google
gorbachev	गोर्बाचेव	gorbachev
gorbachyov	गोर्बाचेव	gorbachev, as in former soviet president mikhail gorbachev
gordon	गॉर्डन	gordon, as in gordon brown
gore	तिकोना कपड़ा	gore
gorky	गोर्की	gorky, as in gorky park
gothic	गोथिक	gothic
gottfried	गोटफ्राइड	gottfried
grabeel	grabeel	grabeel, a last name
graham	ग्राहम	graham
granada	ग्रेनेडा	granada
granit	ग्रेनाइट	granite
greek	यूनानी	(proper noun) greek
greenland	ग्रीनलैंड	greenland
greenson	greenson	(proper noun) greenson
greenwich	ग्रीनविच	(proper noun) greenwich
greg	ग्रेग	greg
grenada	ग्रेनेडा	grenada
grenadines	ग्रेनेडाइंस	grenadines
gross	कुल	gross
grumman	grumman	(proper noun) grumman
gruzia	जॉर्जिया	gruzia
gryffindor	ग्राईफिंडर	gryffindor
gs	gs	prof.
gsts	प्रोफ़ेसर	professor- phd
gu	gu	gu
guam	गुआम	guam
guard	गार्ड	guard
guatemala	ग्वाटेमाला	guatemala
gui	जीयूआई	gui
guinea	गिन्नी	guinea
guinness	गिनीज	(proper noun) guinness
guitar	गिटार	guitar
gujarat	गुजरात	gujarat
gulag	गुलाग	gulag
gulf	खाड़ी	gulf
gullit	गुलिट	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	गुनुंग	(proper noun) gunung
gustave	गुस्ताव	gustave
gutenberg	गुटेनबर्ग	gutenberg
guyana	गुयाना	guyana; proper noun
gà	चिकन	chicken
gài	टक	to fasten (v.)
gào	चिल्लाया	"(term should be ""thét gào"") to cry out (v.)"
gác	ऊपर	guard
gái	लड़की	girl
gán	सौंपा	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	बोझ	hold
gáy	डब	crow
gân	पट्टा	tendon
gây	कारण	make
gãy	भंग	break
gì	क्या	what
gìn	की रक्षा	preserve
gò	पहाड़ी	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	विधवा	widowed
góc	कोना	angle
gói	पैकेज	goi
góp	योगदान	to contribute
gót	हील	heels
gõ	दस्तक	type
göbbels	gobbels	gobbels, as in joseph gobbels
găm	कटार	poniard
găng	दस्ताने	gloves
gũi	अनुकूल	close
gươm	तलवार	sword
gương	आईना	mirror
gạc	धुंध	johnson south reef
gạo	चावल	rice
gạt	चीर दिया	to cheat or trick (v.)
gả	शादी	marry
gảy	ब्रेक	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	गाक	gac
gấm	गम	brocade
gấp	तत्काल	times, as in many times
gấu	भालू	a bear (n.)
gần	पास	near
gầy	पतला	thin
gẫy	भंग	break
gập	तह	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	छड़ी	stick
gắm	गाम	send
gắn	लागू	mount
gắng	को	try
gắt	झुलसानेवाला	intense
gặm	दांत से काटना	rodent
gặp	मिलना	meet
gặt	काटना	harvest
gỉ	स्टेनलेस	rust
gọi	कॉल	call
gọn	कम	neat (adj.)
gọng	rimmed	gong
gọt	छीलना	cut
gỏi	सलाद	a vietnamese salad
gốc	माता-पिता	origin (n.)
gối	तकिया	"(should be ""qùy gối"") to kneel"
gốm	मिट्टी के बर्तनों	pottery
gồm	सहित	include
gồng	घंटा	carry
gỗ	लकड़ी	wood
gội	शैम्पू	shampoo
gộp	कुल	aggregate
gớm	घृणा करना	tremendous
gờ	हद	edge
gởi	भेजने	send
gỡ	स्थापना रद्द करें	meet
gợi	शीघ्र	to evoke (v.)
gục	नीचे	"(term should be ""đánh gục"") crush, as in battle"
gừng	अदरक	ginger
gửi	पदों	send
ha	हा	hectare
habana	हबाना	(proper noun) habana
habsburg	हैब्सबर्ग	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	हैन	hahn
hai	दो	two (adj.)
hal	hal	hal
halle	हाले	(proper noun) halle
halogen	हलोजन	halogen (n.)
ham	का आनंद	desire
hamilton	हैमिल्टन	(proper noun) hamilton
han	हान	han
hang	गुफा	cave
hangul	हंगुल	hangul
hanh	आर्केड	hanh
hanja	हंजा	(proper noun) hanja, a type of chinese script
hansen	हैनसेन	hasnen
hao	मूल्यह्रास	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	हेराल्ड	harald
hardy	साहसी	hardy
harlem	हार्लेम	harlem
harlow	हार्लो	harlow
harold	हेरोल्ड	(proper noun) harold
harper	बीन बजानेवाला	harper
harpercollins	हार्पर	hapercollins
harrier	हैरियर	harrier, as in harrier jump jet
harris	हैरिस	harris
harry	सताना	harry
harvard	हार्वर्ड	(proper noun) harvard, the name of a college
harvey	हार्वे	harvey
havana	हवाना	(proper noun) havana, cuba
havilland	हैविलैंड	havilland
hawker	फेरीवाला	hawker
hawking	फेरी	(proper noun) hawking, as in physicist stephen hawking
hay	या	or
hb	मॉडिफ़ाइड अमेरिकन प्लान	hb
hbv	एचबीवी	hbv
hcl	एचसीएल	hcl
hd	hd	activity
he	हे	he, a korean name
health	स्वास्थ्य	health
heath	हीथ	heath
hee	ही	hee
hegel	हेगेल	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	हीयान	heian
heinrich	हेनरिक	heinrich
helen	हेलेन	helen
helena	हेलेना	helena
heli	हीलियम	helium
hematocrit	हेमाटोक्रिट	hematocrit
hemoglobin	हीमोग्लोबिन	hemoglobin
hen	दमा	asthma
henry	हेनरी	(proper noun) henry, as in henry kissinger
heo	सुअर	dolphin
her	उसके	her
herbert	हर्बर्ट	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	पहलवान	hercules
hermann	हरमन	hermann
hermes	हेमीज़	hermes
hersh	हर्ष	hersh, as in seymour hersh
hesiod	हेसिओड	hesiod
hestia	hestia	hestia
hi	हाय	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	हिक्स	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	हिदेयोशी	(proper noun) hideyoshi
hidro	हाइड्रोजन	hydrogen
hillsborough	hillsborough	hillsborough
hilton	हिल्टन	hilton
himalaya	हिमालय	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	हिंडनबर्ग	(proper noun) hindenburg
hindi	हिन्दी	hindi
hindu	हिन्दू	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	हीरागाना	hiragana
hiroshi	हिरोशी	hiroshi
hiroshima	हिरोशिमा	(proper noun) hiroshima, the japanese city
hitchcock	हिचकॉक	hitchcock
hitler	हिटलर	hitler
hitter	मारने वाला	hitter
hitters	hitters	hitters
hiên	बरामदा	(proper noun) hiên, a vietnamese first name
hiđrô	हाइड्रोजन	hydrogen
hiếm	विरल	rare
hiến	देना	devote
hiếp	बलात्कार	rape
hiếu	तंतुमय उपासना	pious
hiềm	hiem	grudge
hiền	नम्र	sage
hiểm	बीमा	dangerous
hiểu	समझना	learn
hiện	दिखाओ	"(term should be ""thực hiện"") to accomplish"
hiệp	संयुक्त	united
hiệu	मार्क	effective
hlv	hlv	trainer
hms	एचएमएस	hms
hmông	हमोंग	hmong
hn	hn	hn
hoa	फूल	flower
hoan	त्योहार	welcome
hogwarts	हॉगवर्ट्स	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	होई	rare
hokage	होकज	hokage
hokusai	होकुसाई	hokusai
holmes	होम्स	a name
holocaust	प्रलय	holocause
holocen	अभिनव युग	holocen
holt	उपवन	holt, an english last name
hom	कलमों	a cutting
homer	डाक का कबूतर	(proper noun) homer, the authorof the iliad and the odyssey
hon	माननीय	"(term should be ""hòn"") rock (n.)"
honduras	होंडुरस	honduras
hong	hong	hong
honolulu	होनोलुलु	honolulu
honshū	honshū	honshu
hopkins	हॉपकिंस	(proper noun) hopkins
hornet	हॉरनेट	hornet
hotspur	चिड़चिड़ा व्यक्ति	(proper noun) hotspur, as in tottenham hotspur
houston	ह्यूस्टन	(proper noun) houston, as in whitney houston
howard	हावर्ड	(proper noun) howard
however	टु nhiên	however
hoà	कंडीशनिंग	peace
hoài	उदासीन	always (adv.)
hoàn	पूर्ण	"(term should be ""hoàn toàn"") completely"
hoàng	रानी	royal (adj.)
hoành	डायाफ्राम	rife
hoá	माल	"(term should be ""văn hoá"") culture (n.)"
hoán	विनिमेय	refined (adj.)
hoãn	स्थगित करना	delay
hoạ	चित्रकार	disaster (tham hoa)
hoại	विषाक्त	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	गतिविधि	work
hoả	आग	of
hoảng	मंदी	panic-stricken (adj.)
hoặc	या	or
hp	अश्वशक्ति	hp
hq	मुख्यालय	hq
hudgens	हजेंस	(proper noun) hudgens
hudson	हडसन	hudson
huey	ह्युई	huey
hughes	ह्यूजेस	hughes
hugo	ह्यूगो	(proper noun) hugo
hume	ह्यूम	hume, as in david hume
hun	हुन	(proper noun) hun
hungary	हंगरी	hungary
hunt	शिकार	hunt
hurley	हर्ले	(proper noun) hurley, as in chad hurley
hussein	हुसैन	hussein
husserl	husserl	huserl
huston	हस्टन	huston
hutech	hutech	hutech
huy	कमांडर	a common vietnamese first name
huynh	माता-पिता	older brother
huyền	जेट	huyền thoại= legend
huyễn	मोह का	huyen
huyện	जिलों	district
huyệt	एक्यूपंक्चर बिंदु	lair
huân	क्रम	"(term should be ""huân chương"") medal (n.)"
huê	वृद्धि	"a less common vietnamese word for ""flower"""
huấn	ट्रेनिंग	"(term should be ""huận luyện"") to train (v.)"
huế	रंग	hue
huệ	इष्ट	favour
huống	मामला	situation
huỳnh	फ्लोरोसेंट	sulfur
huỷ	रद्द करना	destroy
hydra	हीड्रा	hydra, a monster in greek mythology
hydro	हाइड्रोजन	hydrogen
hyperion	हाइपीरियन	hyperion
hà	आकाशगंगा	"(term should be ""hà nội"") the capital of vietnam"
hài	कॉमेडी	corpse
hàm	जबड़ा	"(term should be ""bao hàm"") to imply (v.)"
hàng	पंक्ति	row
hào	ट्रेंच	depreciation
hách	रोबदार	glorious
hái	चुनना	picking
hán	सूखा	china
háo	दर्शकों	eager
hát	गाओ	song
hâm	प्रशंसक	"(term should be ""hâm mộ"") to admire (v.)"
hân	प्रसन्न	le ngoc han
hãi	डर	to be scared (v.)
hãn	भीड़	to sweat (v.)
hãng	कंपनी	a company (n.)
hãnh	घमंडी	proud
hè	गर्मी	summer
hé	फटा	reveal
héo	मुरझाना	dried-out
hét	चिल्लाना	shout
hên	मुर्गी	luck
hí	थिएटर	game
hít	साँस लेना	act of kissing (hon hit)
hò	डेटिंग	date
hòa	हवा	republic
hòe	कुदाल	hoe
hòm	ताबूत	box
hòn	छोटा सा टाप	island
hòng	प्रयास	in order to
hóc	हॉक	a corner (n.)
hót	गायन	to chirp or sing (v.)
hô	मूंगा	respiration
hôi	बेईमानी से	stink
hôm	बृहस्पतिवार	day (n.)
hôn	चुंबन	propose
hông	कमर	hip
hù	डराना	threaten
hùng	नायक	hero
húc	तिकोना कपड़ा	huc
húng	तुलसी	"(should be ""húng láng"") water mint"
hút	अवशोषित	to suck (v.)
hăng	हिसात्मक आचरण	enthusiasm
hđbt	hđbt	hdbt
hđh	ओएस	system software
hũ	जार	jar
hơi	भाप	slightly
hơn	अधिक	more or less
hư	भ्रष्ट	fictional
hưu	पेंशन	huu
hương	धूप	smell
hước	हास्य	humor
hướng	दिशा	trend
hường	hường	huong
hưởng	से सम्मानित किया	influence
hạ	कम	lower
hạc	क्रेन	crane
hạch	नाड़ीग्रन्थि	ganglion
hại	हानिकारक	harm
hạng	वर्ग	rank
hạnh	सुख	happy
hạo	hạo	hao
hạp	लिली बल्ब	hap
hạt	काउंटी	seed
hải	कस्टम्स	two
hảo	उत्तम	perfect
hấn	आक्रमण	aggressive gesture
hất	टोपी	toss
hấu	तरबूज़	"(term should be ""dưa hấu"") watermelon"
hầm	पिट	ham
hầu	लगभग	most
hận	नफरत	hatred
hậu	मौसम	anus
hắc	अंधेरा	black
hắn	उसकी	he (n.)
hắt	भूमि के ऊपर	reject
hằng	स्थिर	every
hặc	hac	to criticize (v.)
hẹ	chives	chinese chives
hẹp	संकीर्ण	narrow
hẻm	कण्ठ	alley (n.)
hẻo	प्रकृति	outback
hến	सीपी	mussel
hết	ऊपर	most
hề	विदूषक	"(term should be ""không hề"") never"
hễ	हर	whenever
hệ	संपर्क	relation
hệt	हूबहू	exactly
hỉ	झटका	happy
hịch	hich	a proclamation
họ	वे	they (n.)
họa	रंग	picture
họach	फसल	"(term should be ""quy hoạch"") a project (n.)"
học	सीखना	study (v.)
họng	गला	throat
họp	बैठकों	meet
hỏa	आग	fire
hỏng	विफल	corruption
hố	पिट	hole
hốc	आलों	cavity
hồ	झील	ho
hồi	समय	muslim
hồn	आत्मा	soul
hổ	बाघ	tiger
hổi	होई	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	भारी	hole
hỗ	समर्थन	"(should be ""hỗ trợ"") to support or assist"
hỗn	मिश्रित	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	सभा	society
hộp	डिब्बा	box
hới	होई	hoi
hớn	माननीय	"(term should be ""hớn hở"") radiant (adj.)"
hờn	hờn	hatred
hở	खुला	reveal
hỡi	हे	dear
hợi	दबाव	pig (n.)
hợp	मामला	appropriate
hợpquận	hopquan	general district
hụt	घाटा	loss
hủi	कुष्ठ	reject
hủy	रद्द करना	to erase or destroy
hứa	वादा	promise
hử	हाशिया	hu
hửu	अधिकार-संबंधी	"(term should be ""sở hửu"") to own (v.)"
hữu	संपत्ति	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	इआन	ian, as in australian swimmer ian thorpe
iau	आईएयू	iau
iberia	iberia	iberia
ibm	आईबीएम	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	आईसी	ic
icc	आईसीसी	icc
iceland	आइसलैंड	(proper noun) the country of iceland
ide	आईडीई	ide
ieng	ieng	(proper noun) ieng
igor	इगोर	igor
iii	iii	third
ilene	ilene	ilence
illusion	माया	illusion
ilyich	इलिच	ilyich
im	im	still
imam	ईमाम	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	इम्मानुअल	(proper noun) immanuel, as in immanuel kant
impact	प्रभाव	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	भारतीय	indian
indiana	इंडियाना	indiana
indochina	इंडोचीन	indochina
indonesia	इंडोनेशिया	indonesia
indrapura	indrapura	(proper noun) indrapura
info	जानकारी	info
innsbruck	इंसब्रुक	innsbruck
insulin	इंसुलिन	insulin
int	पूर्णांक	int
intel	इंटेल	(proper noun) intel, as in the name of the company
interpol	इंटरपोल	interpol
inu	इनु	(proper noun) inu
inuyasha	inuyasha	inuyasha
inư	इनु	(proper noun) inư
io	कब	io
ioc	आईओसी	ioc
ion	आयनों	ion
iosif	लोफिस	(proper noun) iosif, as in iosif vissarionovich stalin
iran	ईरान	the nation of iran
iraq	इराक	iraq
ireland	आयरलैंड	ireland
irgun	इरगुन	irgun
irony	व्यंग्य	irony
irving	इरविंग	(proper noun) irving
isaac	इसहाक	isaac
isla	इस्ला	isla
islam	इसलाम	islam
islamabad	इस्लामाबाद	(proper noun) islamabad
israeli	इजरायल	israeli
istanbul	इस्तांबुल	istabbul
italia	इटली	italy
italiano	italiano	(proper noun) italiano
itanium	इटेनियम	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	आईटीयू	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	iwami	iwami
j	j	j
jack	जैक	jack
jackie	जैकी	(proper noun) jackie chan
jackson	जैक्सन	(proper noun) jackson, as in michael jackson
jacob	याकूब	jacob
jae	जे	jae
jakarta	जकार्ता	(proper noun) jakarta
jan	जनवरी	(proper noun) jan
janeiro	जनेरियो	janeiro
janet	जेनेट	janet
japan	जापान	japan
jared	jared	jared
jarvis	जार्विस	(proper noun) jarvis, as in jarvis cocker
jasper	सूर्यकांत मणि	(proper noun) jasper
jean	जीन	jean
jeane	जीन	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	जीन्स	jeans
jeet	जीत	(proper noun) jeet, as in jeet kune do
jeff	जेफ	jeff, as in jeff drake
jefferson	जेफरसन	jefferson
jeffrey	जेफरी	jeffrey
jeju	जाजू	jeju
jenda	jenda	jenda
jenny	विंच	jenny
jericho	जेरिको	jericho, as in wrestler chris jericho
jerome	जेरोम	jerome, as in fred jerome
jerry	जेरी	(proper noun) jerry
jersey	जर्सी	jersey
jerusalem	यरूशलेम	jerusalem
jesse	जेसी	a name
jesus	यीशु	chua jesus
jetstar	जेटस्टार	jetstar
jewish	kla	jewish
jiao	झाओ	jiao
jimmy	सर्व-कुंची	jimmy
jin	जिन	jin
jing	जिंग	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	जोआचिम	joachin
joan	joan	a name
joe	जो	(proper noun) joe
johan	जोहान	johan
johann	जोहान	johann
johannes	जोहानिस	johannes
johannesburg	जोहानसबर्ग	(proper noun) johannesburg, south africa
johnny	छोकरा	johnny
johns	जॉन्स	johns
johnston	जॉनसन	johnston, as in harry johnston
johor	जोहोर	johor
joint	संयुक्त	joint
jonathan	जोनाथन	(proper noun) jonathan
jones	jones	jones
jose	जोस	(proper noun) jose, a spanish first name
joseon	जोसियन	(proper noun) joseon
joseph	जोसफ	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	जूडिथ	judith
judo	जूदो	judo, the martial art
julesverne	जूल्स वर्न	jules verne
julliard	julliard	(proper noun) julliard
jump	कूदता	jump
june	जून	june, as in the month
jung	जंग	jung
junsu	junsu	junsu
jupiter	बृहस्पति	(proper noun) jupiter, as in the planet
jura	जुरा	(proper noun) jura
juventus	जुवेंटस	juventus
k	कश्मीर	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	kagome	kagome, as in higurashi kagome
kahn	क्हान	kahn
kai	काई	kai
kakashi	काकाशी	kakashi
kaká	काका	(proper noun) kaka, a brazilian soccer player
kalashnikov	कलाश्निकोव	(proper noun) kalashnikov
kali	पोटैशियम	potassium
kama	कामदेव	(proper noun) kama, as in the kama sutra
kamakura	कामाकुरा	kamakura
kamov	कामोव	kamov
kampf	kampf	kampf
kampong	kampong	kampong
kampuchea	kampuchea	cambodian
kana	काना	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	कांजी	kanji
kant	कांत	a name
kar	कर	(proper noun) kar
kara	काड़ा	kara
karaoke	कराओके	karaoke
karate	कराटे	karate
karatedo	karatedo	karatedo
karen	करेन	(proper noun) karen
karim	करीम	(proper noun) karim
kashmir	काश्मीर	kashmir
kaspersky	kaspersky	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	काटाकना	katakana, a type of japanese script
kate	केट	(proper noun) kate, as in actress kate winslet
katherine	कैथरीन	katherine
kathmandu	काठमांडू	kathmandu
katrina	कैटरीना	(proper noun) katrina, as in hurricane katrina
katz	katz	katz
kauthara	kauthara	kauthara, a part of the ancient kingdom of champa
kavkaz	kavkaz	kavkaz
kawasaki	कावासाकी	(proper noun) kawasaki
kay	kay	kay
kazan	कज़ान	kazan, the name of a city
kcn	iz	industrial zone
ke	ke	"(term should be ""boong ke"") a bunker (n.)"
kelly	केली	kelly
kelsi	kelsi	kelsi
kelvin	केल्विन	kelvin
kem	आइसक्रीम	ice cream (n.)
ken	केन	ken
kennedy	कैनेडी	(proper noun) kennedy, as in john f. kennedy
kenneth	केनेथ	(proper noun) kenneth, a name
kenny	केनी	kenny, an english first name
kentucky	केंटकी	(proper noun) kentucky
kepler	केपलर	kepler
kerala	केरल	(proper noun) kerala
kevin	केविन	kenvin
keynes	कीन्स	keynes, as in economist john maynard keynes
kg	किलो	kilogram
kha	खा	(proper noun) a vietnamese first name
khai	घोषित	announce
khali	खली	(proper noun) khali
khalip	खलीफा	(proper noun) khalip
kham	kham	endure
khan	निर्जल	rare
khang	शर्त	khang
khanh	सचिव	khanh
khao	खाओ	desire
khay	ट्रे	tray
khe	स्लॉट्स	chink
khem	खेम	abstinence
khen	योग्यता	praise
kheo	stilts पर	kheo
khi	पर	when
khieu	khieu	(proper noun) khieu, as in khieu samphan
khiêm	विनम्रता	khiem
khiên	ढाल	a shield
khiêu	यौन	"('khiêu dâm"") pornographic"
khiếm	अंधा	lack
khiến	निर्माण	control
khiếp	आतंक	horrible
khiếu	शिकायतों	talent (n.)
khiển	नियंत्रण	control
khleang	khleang	kh'leang
kho	गोदाम	warehouse
khoa	संकाय	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	छेद	drill
khoang	गुहा	brag
khoanh	बजना	a slice (n.)
khoe	दिखावा करना	to boast
khoá	कोर्स	lock
khoác	जैकेट	coat
khoán	स्टॉक	stock
khoáng	खनिज	mineral
khoát	दृढ़ता से	decisive
khoét	प्रवेश करना	carve
khoăn	आश्चर्य	disturbed
khoả	खोआ	naked
khoản	धारा	an item (n.)
khoảng	अंतरिक्ष	about
khoảnh	क्षणों	moment
khoẻ	स्वास्थ्य	health
khrushchev	ख्रुश्चेव	khrushchev
khrushchyov	ख्रुश्चेव	khrushchyov
khu	क्षेत्र	section
khung	ढांचा	frame
khural	khural	khural
khuynh	इच्छुक	trend
khuyên	की सिफारिश	advise
khuyết	सुलभ	lack
khuyển	कुत्ते का	khuyen
khuất	अस्पष्ट	hidden
khuấy	हलचल	stir
khuẩn	बैक्टीरियल	bacteria
khuếch	प्रोमोशनल	amplification
khuỷu	कोहनी	elbow
khá	बल्कि	quite
khác	अन्य	different
khách	अतिथि	customer
khái	सिंहावलोकन	concept
khám	जांच	discover
khán	दर्शक	audience
kháng	प्रतिरोध	appeal
khánh	का उद्घाटन	a type of chime made of stone (n.)
khát	प्यासा	to be thirsty for (adj.)
khâm	प्रशंसा	admire
khèn	khen	a pan-pipe (n.)
khéo	निपुण	cleverly or skillfully (adv.)
khép	बंद	close
khía	सम्मान	"(term should be ""khía cạnh"") angle (n.)"
khích	सांत्वना	encourage
khít	पास	close
khó	कठिन	difficulty
khóa	ताला	a session
khóc	रोने के लिए	cry
khói	धुआं	smoke
khóm	अनानास	a cluster
khô	सूखा	dry
khôn	बुद्धिमान	clever, intelligent
không	नहीं	not
khúc	गीत	song
khăm	शरारत	nasty (adj.)
khăn	तौलिए	difficult
khơi	तट	sea
khư	थपथपाना	grip
khưu	khưu	khuu
khước	त्याग	waive
khả	उपलब्धता	"(term should be ""khả năng"") ability (n.)"
khải	प्रकट	triumph
khảm	मौज़ेक	to encrust
khảo	संदर्भ	"(term should be ""tham khảo"") to consult (v.)"
khấm	समृद्ध	endure
khấn	व्रत	pray
khấu	नाटकीय	"(term should be ""sân khấu"") a stage (n.)"
khẩn	आपात स्थिति	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	एनग्रेविंग	moment
khắp	सब खत्म हो गया	all over
khẳng	इस बात की पुष्टि	"(term should be ""khẳng định"") to assert (v.)"
