$	ps	dollars
икони	íconos	icons
икономика	economía	economy
икономиката	la economía	economy
икономики	economía	economies
икономическа	económico	economic
икономическата	económico	economic
икономически	económicamente	economic
икономическите	económico	economic
икономическия	económico	the economical
икономическият	la economia	economic
икономическо	económicamente	economic
икономическото	la economia	economic
ил	illinois	ile (ile-de-france)
или	o	or
илиада	ilíada	ilyad
илиев	iliyev	iliev
илия	ilia	elijah
илюминати	illuminati	illuminati
илюминатите	los iluminati	illuminati
им	ellos	their
има	ahi esta	there is
имайки	teniendo	considering
имал	tenido	had
имала	tenido	had
имали	esta ahí	had
имало	había	existed
имаме	tenemos	we
имарет	imaret	imaret (public kitchen)
имат	tener	have
име	nombre	name
имена	nombres	names
имената	los nombres	names
именно	a saber	namely
името	el nombre	name
имигранти	inmigrantes	immigrants
имоти	propiedades	property
император	emperador	emperor
императора	del emperador	emperor
императори	emperadores	imperators
императорите	los emperadores	emperors
императорски	imperial	imperial
императорско	imperial	emperor
императорът	el emperador	emperor
империи	imperio	empires
империя	imperio	empire
империята	el imperio	empire
имперски	imperial	imperial
имперско	imperial	imperial
импийчмънт	el proceso de destitución	impeachment
импулса	impulso	impuls
импулси	impulsos	impulses
имунна	inmune	immune
имунната	inmune	immune
имущество	propiedad	property
имуществото	propiedad	property
иначе	de otra manera	otherwise
инвазия	invasión	invasion
инвестиции	inversiones	investments
инвестициите	inversiones	investment
индекс	índice	index
индианци	indios	indians
индианците	los indios	indians
индивид	individual	individual
индивиди	individuos	individuals
индивидуални	individual	individual
индивидуалните	el individuo	individual
индийската	indio	indian
индийски	indio	indian
индийските	indio	indian
индийския	indio	indian
индия	india	india
индоевропейски	indoeuropeo	indo-european
индонезия	indonesia	indinesia
индустриална	industrial	industrial
индустриалната	industrial	industrial
индустриални	industrial	industrial
индустрия	industria	industry
индустрията	industria	industry
инженер	ingeniero	engneer
инициатива	iniciativa	initiative
инмарсат	inmarsat	inmasrsat
инокулация	inoculación	tempered
инсолация	insolación	insolatsia
институт	instituto	institute
института	instituto	institute
институции	instituciones	institutions
институция	institución	institution
инструкции	instrucciones	instructions
инструкциите	instrucciones	instructions
инструмент	herramienta	instrument
инструменти	herramientas	instruments
интеграция	integración	integration
интелектуализация	intelectualización	intellectualization
интензивна	intensivo	intensive
интензивни	intensivo	intensive
интензивно	intensamente	intensive
интервенция	intervención	intervention
интервю	entrevista	interview
интерес	interesar	interest
интересен	interesante	interesting
интереси	intereses	interests
интересите	intereses	interests
интересна	interesante	interesting
интересни	interesante	interesting
интересува	interesado	take interest
интересът	interesar	the interest
интернет	internet	internet
интерпретации	interpretaciones	interpretations
интерпретация	interpretación	motion
интерфейс	interfaz	interface
инфекции	infecciones	infections
инфекциозни	infeccioso	infectious
инфекция	infección	infection
инфлация	inflación	inflation
инфлацията	inflación	inflation
информационен	informativo	information
информационни	información	information
информация	información	information
информацията	la información	information
инфраструктура	infraestructura	infrastructure
инфраструктурата	infraestructura	infrastructure
ир	ir	ir
ирак	irak	iraq
иран	iran	iran
ирина	irina	irina
ирландия	irlanda	ireland
ирландски	irlandesa	irish
исак	isak	isaac
иска	querer	wants
искал	querido	wanted
искане	solicitud	requested
искането	la solicitud	request
искания	peticiones	demans
искат	querer	want
искра	chispa - chispear	iskra
искър	chispa - chispear	iscar
исландия	islandia	iceland
ислям	islam	islam
исляма	islam	islam
ислямска	islámico	islamic
ислямската	islámico	islamic
ислямски	islámico	islamic
ислямското	islámico	islamic
ислямът	islam	islam
испания	españa	spain
испанската	español	spanish
испански	español	spanish
испанските	el español	spanish
испанския	español	spanish
испанският	el español	spanish
испанското	español	spanish
испанците	los españoles	spaniards
испаньола	hispano	hispaniola
истанбул	estanbul	istanbul
истина	la verdad	trully
истината	la verdad	truth
истини	verdades	real
истинска	real	real
истинската	el original	the real
истински	real	real
истинското	la cosa real	real
истории	historia	stories
историите	las historias	destroyed
историк	historiador	historian
историография	historiografía	historiography
историографията	historiografía	historiography
историци	historiadores	historians
историците	historiadores	historians
историческа	histórico	historical
историческата	el histórico	the historical
исторически	histórico	historical
историческите	histórico	historical
историческия	el histórico	historical
историческият	el histórico	historical
историческо	históricamente	historical
историческото	el histórico	historical
история	historia	history
историята	la historia	history
исус	jesús	jesus
италианска	italiano	italian
италианската	el italiano	italian
италиански	italiano	italian
италианските	el italiano	italian
италианския	el italiano	italian
италианският	el italiano	italian
италианското	el italiano	italian
италия	italia	italy
иън	ian	ian
й	j	hers
йемен	yemen	yemen
йероглифи	jeroglíficos	hieroglyphics
йерусалим	jerusalén	jerusalem
йоан	juan	john
йовков	yovkov	yovkov
йозеф	joseph	joseph
йони	iones	ions
йордан	jordán	jordan
йордания	jordán	jordan
йорданка	jordano	yordanka
йорданов	йорданов	yordanov
йорк	york	york
йосиф	joseph	joseph
йохан	johan	johan
кабала	esclavitud	cabala
кабинет	oficina	cabinet
кабинета	gabinete	the cabinet
кавала	kavala	kavala
кавказ	cáucaso	caucasus
каже	decir	say
казал	él dijo	said
казанлък	caldera	kazanlak
казано	dijo	said
казахстан	kazajstán	kazakhstan
казва	él dice	said
казват	decir	said
кайро	el cairo	cairo
как	cómo	how
кака	kaka	kaka
каква	qué	what
каквато	lo que sea	as
какви	qué	what
каквито	lo que sea	as
какво	qué	what
каквото	lo que sea	what
както	como	as well as
какъв	qué	what
какъвто	lo que sea	how
калай	estaño	tin
калашников	kalashnikovs	kalashnikov
калвин	calvin	calvin
календар	calendario	calendar
калиакра	kaliakra	kaliakra
калигула	calígula	caligula
калина	viburnum	pomegranate
калифорния	california	california
калория	calorías	calorie
калоян	kaloyan	kaloyan
кама	kama	kama
камара	cámara	chamber
камарата	la cámara	chamber
камари	cámaras	chambers
камбоджа	camboya	cambodia
камдън	camden	camden
камелия	camelia	kamelia
камен	roca	stone
каменна	roca	stone
каменни	roca	stone
камера	cámara	chamber
камери	cámaras	cameras
камерите	cámaras	cameras
камиони	camiones	trucks
кампании	campañas	campaigns
кампания	campaña	campaign
кампанията	la campaña	the campaign
камчия	látigo	kamchia
камък	roca	stone
камъни	piedras	gems
кан	lata	khan
кана	kana	cana
канада	canadá	canada
канал	canal	canal
канали	canales	channels
канарските	las islas canarias	canary
кандидат	candidato	candidate
кандидати	candidatos	candidates
кандидатите	candidatos	candidates
кани	invita	invites
канопус	pabellón	kanopus
кант	ed	kant
капацитет	capacidad	capacity
капиляри	capilares	capillaries
капитал	capital	capital
капитали	capital	capital
капитализма	capitalismo	capitalism
капитан	capitán	captain
капитулацията	capitulación	surrender
кара	manejar	make
карабинер	mosquetón	carabinier
каравелов	carabelas	karavelov
каракачаните	los karakachanos	karakachans
каракачански	karakachan	karakachan
карамфил	clavos de olor	cloves
карат	quilate	carat
карате	kárate	karate
карибско	caribe	caribbean
кариера	carrera	career
кариерата	carrera	career
карл	carl	karl
карло	carlo	carlo
карлово	karlovo	karlovo
карлос	carlos	carlos
карме	karma	carme
карпатите	los cárpatos	the carpathian mountains
карстови	karst	kasrst
карта	mapa	map
картаген	cartago	carthage
картата	el mapa	the map
карти	tarjetas	maps
картина	imagen	picture
картината	la imagen	picture
картини	pinturas	pictures
картините	las pinturas	pictures
картинки	imágenes	pictures
картофи	papas	potatoes
касандра	casandra	kasandra
каспийско	caspio	caspian
кастро	castro	castro
каталог	catalogar	catalog
катар	catarro	qatar
катастрофа	catástrofe	crash
категории	categorías	categories
категорично	categóricamente	categorically
категория	categoría	category
категорияамерикански	categoryamerican	category:american
категориябългарска	categoría búlgaro	category bulgarian
категориябългарски	categoría búlgaro	category:bulgarian
категориягеография	categoríageografía	category geography
категорияистория	categoríahistoria	category: history (two words)
категорияличности	categorialidad	category: persons (two words)
категорияносители	transportistas de categoría	category: winners
категорияобекти	categoríaobjetos	a category of objects
категориясекс	categorysex	category sex
категорията	categoría	category
категорияхристиянски	categoría cristiana	category: christian (two words)
катедрала	catedral	cathedral
катедралата	la catedral	cathedral
катерици	ardillas	squirrels
като	como	as
католици	católicos	catholics
католицизма	catolicismo	catholicism
католическа	católico	catholic
католическата	el católico	catholic
католически	católico	catholic
катрин	catherine	catherine
кафе	café	coffee
кафето	café	coffee
кафявозъбки	dientes marrones	shrew
кацане	aterrizaje	landing
качества	cualidades	qualities
качествени	calidad	quality
качество	calidad	quality
качеството	calidad	quality
кв	sq	square
квадрат	cuadrado	square
квалификациите	calificaciones	qualifications
квартал	barrio	quarter
квартала	trimestre	neighborhood
квартали	barrios	neighborhoods, quarters
кварталите	barrios	neighborhoods
квебек	quebec	kvebek
квиет	tranquilo	kviet
кеймбридж	cambridge	cambridge
келтите	los celtas	celtics
келтски	céltico	celtic
кенеди	kennedy	kenedy
кения	kenia	kenya
керамика	cerámica	ceramics
кервансарай	caravasar	kervansaray
кери	keri	carrey
кефир	kéfir	kephir
кефирните	kéfir	kefir
кефирът	kéfir	kefir
кечуа	quechua	quechua
кеш	cache	cache
киев	kiev	kiev
киевска	kiev	kiev
километра	kilómetros	kilometres
ким	kim	kim
кинг	rey	king
кино	películas	cinema
кипарис	ciprés	cupressus
кипър	chipre	cyprus
кирил	cirilo	cyril
кирилица	cirílico	cyrillic alphabet
кирилицата	el alfabeto cirílico	cyrillic
кирков	selecciones	kirkov
киселец	alazán	sorrel
киселина	ácido	acid
киселини	ácidos	acids
кислород	oxígeno	oxygen
кислорода	oxígeno	oxygen
кислородът	oxígeno	oxygen
китай	china	china
китайска	chino	chinese
китайската	el chino	chinese
китайски	chino	kataiski
китайските	el chino	chinese
китайския	chino	chinese
китайският	el chino	chinese
китайци	chino	chinese
китайците	el chino	chinese
китара	guitarra	guitar
кихот	quijote	quihote
клавдий	claudio	claudius
клане	sacrificio	slaughter
клането	la matanza	massacre
клапа	válvula	valve
клапи	válvulas	claps
клара	clara	clara
кларк	clark	clarke
клас	clase	class
класа	clase	range
класации	clasificaciones	ranking
класациите	clasificaciones	charts
класация	clasificación	rating
класацията	la clasificacion	rankings
класи	clases	classes
класира	rangos	classified
класиране	clasificación	ranking
класификация	clasificación	classification
класическа	clásico	classical
класическата	el clasico	classical
класически	clásico	classical
класическите	el clásico	the classical
класическия	el clásico	classical
класове	clases	classes
клаузи	cláusulas	clauses
клеопатра	cleopatra	cleopatra
клетка	célula	cell
клетката	la célula	cell
клетки	células	cells
клетките	células	cells
клетъчна	celular	cell
клетъчната	celular	cellular
клетъчни	celular	cellular
клетъчните	celular	cell
клиент	cliente	customer
климат	clima	climate
климата	clima	climate
климатичен	climático	climate
климатична	climático	climatic
климатични	climático	climatic
климатичните	climático	climatic
климатология	climatología	climatology
климатът	el clima	climate
климент	clemente	clement
клинични	clínico	clinical
клип	acortar	clip
клипа	acortar	video
клипове	videos	videos
клисура	garganta	ravine
клитемнестра	climtemnestra	clytemnestra
клитора	clítoris	clitoris
клон	clon	clone
клона	clon	branches
клонове	ramas	branches
клуб	club	club
клуба	club	club
клубни	tubérculos	club
клубове	clubs	club
клубът	el club	club
ключ	llave	key
ключов	llave	key
ключови	llave	keys
км	km	km
км²	km²	square kilometers
кмет	el alcalde	mayor
кмета	el alcalde	major
кметове	alcaldes	mayors
кметството	el ayuntamiento	municipality
кн	kn	issue
кндр	rpdc	dprk
книга	libro	book
книгата	el libro	the book
книги	libros	books
книгите	los libros	books
книжовен	literario	literary
княгиня	la princesa	queen
княжество	principado	principality
княжеството	el principado	kingdom
княз	el príncipe	prince
княза	príncipe	prince
коалиция	coalición	coalition
коалицията	la coalición	coalition
ковачев	kovachev	kovatchev (name)
кога	cuando	when
когато	cuando	when
кого	quién	whom
когото	quién	who
код	código	code
кодекс	código	code
кодове	códigos	codes
което	cual	which
коефициент	coeficiente	coefficient
кожа	cuero	leather
кожата	la piel	skin
кожи	piel	leather
кожни	cuero	leather
кози	cabras	caprine
козина	pelaje	coat
козината	el peláje	fur
козирог	capricornio	capricorn
кои	cual	who
които	oms	which
кой	oms	who; which
който	cual	who
кока	coca	coca
кокаинът	cocaína	the cocain
кокакола	coca	coca cole
кола	coche	car
колев	ruedas	kolev
колеги	colegas	colleagues
коледа	navidad	koleda
колеж	universidad	college
колектив	equipo	collective
колекция	colección	collection
колела	ruedas	wheels
коли	cuando	cars
количества	cantidades	quantities
количество	cantidad	quantity
количеството	la cantidad	amount
колко	cuánto cuesta	how
колкото	tanto como	as
колона	columna	column
колони	columnas	columns
колонизация	colonización	colonisation
колонии	colonias	colonies
колония	colonia	colony
колумб	colón	columbus
колумбия	colombia	columbia
командване	mando	command
командването	mando	command
командир	comandante	commander
комбинат	combinar	combine
комбинации	combinaciones	combinations
комбинация	combinación	combination
комбинацията	la combinación	combination
комедия	comedia	comedy
коментари	comentarios	comments
комети	cometas	comets
коминтерна	comintern	the comintern
комисия	comisión	commission
комисията	la comisión	committee
комитет	comité	committee
комитета	comité	committee
комитети	comités	committees
комитопулите	comitopules	komitopuls
комнин	комнин	komnenos
компании	compañías	companies
компания	empresa	company
компанията	la compañia	company
комплекс	complejo	complex
комплекса	complejo	the complex
комплекси	complejos	facilities
комплексни	complejo	complex
комплексът	el complejo	the complex
композитор	compositor	composer
композитори	compositores	composers
композиторът	el compositor	composer
композиции	composiciones	compositions
композиция	composición	composition
компонент	componente	part
компоненти	componentes	components
компютри	ordenadores	computers
компютрите	ordenadores	the computers
компютър	computadora	computer
компютъра	el ordenador	computers
компютърна	computadora	computer
компютърни	computadora	computer
комунизма	comunismo	communism
комунизъм	comunismo	communism
комуникации	comunicaciones	communications
комуникация	comunicación	communication
комунистите	los comunistas	communists
комунистическа	comunista	communist
комунистическата	el comunista	communistic
комунистически	comunista	communist
комунистическите	comunista	communist
комунистическия	el comunista	communist
кон	estafa	horse
конвекция	convección	convection
конвенция	convención	convention
конг	cong	kong
конго	congo	congo
конгрес	congreso	congress
конгреса	congreso	the congress
коне	caballos	horses
конете	caballos	horses
конец	el fin	thread
конкретни	específico	concrete
конкурс	competencia	competition
конна	caballo	horse
конник	jinete	knight
конница	caballería	cavalry
конрад	conrad	conrad
константин	constantina	constantine (name)
константинов	konstantinov	konstantinov
константинопол	constantinopla	constantinople
конституционна	constitucional	constitutional
конституция	constitución	constitution
конституцията	la constitución	constitution
конструкция	construcción	construction
конструкцията	construcción	contruction
консул	cónsul	consul
консулство	consulado	consulate
консумация	consumo	consumption
контакт	contacto	contact
контакти	contactos	contacts
контактите	contactos	connections
контекст	contexto	context
контекста	contexto	context
континент	continente	continent
континента	continente	continent
континентален	continental	continental
континентална	continental	continental
континенталната	continental	continental
континенталните	continental	continental
континенти	continentes	continents
континентите	continentes	the continents
континентът	el continente	the continent
контрапренос	contratransmisión	kontraprenos
контрол	controlar	control
контрола	controlar	control
контролира	control s	control
контролират	controlar	control
конфедерация	confederación	confederation
конференция	conferencia	conference
конференцията	la conferencia	conference
конфликт	conflicto	conflict
конфликта	conflicto	conflict
конфликти	conflictos	conflicts
конфликтът	el conflicto	conflict
конфуций	confucio	confucius
концентрация	concentración	concentration
концентрацията	concentración	concentration
концентрира	concentrados	concentrate
концентрирана	concentrado	concentrated
концентрирани	concentrado	concentrated
концепция	concepto	conception
концепцията	el concepto	concept
концерт	concierto	concert
концерта	concierto	concert
концерти	conciertos	concerts
концертите	conciertos	concerts
концертна	concierto	concert
коня	caballo	horse
конят	el caballo	the horse
координати	coordenadas	coordinates
копенхаген	copenhague	copenhagen
копие	una copia	copy
копия	copias	copies
копривщица	urticaria	koprivshtica
кора	ladrar	cortex
кораб	embarcacion	ship
кораба	embarcacion	ship
кораби	buques	ships
корабите	buques	the ships
корабът	el barco	life boat
коралови	coral	coral
корана	el koran	quran
кората	ladrar	core
корейската	coreano	korean
корейски	coreano	korean
корейския	coreano	korean
корем	abdomen	abdomen
корема	abdomen	abdomen
коремната	abdominal	abdominal
корен	raíz	root
корени	raíces	roots
корените	las raices	roots
коренно	radicalmente	radically
коренното	la raíz	indigenous
корея	corea	korea
коридор	corredor	corridor
корона	corona	crown
корпус	alojamiento	housing
корупция	corrupción	corruption
корупцията	corrupción	corruption
коса	cabello	hair
косата	cabello	hair
космическа	espacio	cosmic
космически	cósmico	space
космонавт	astronauta	astronaut
космоса	espacio	the cosmos
косово	kosovo	kosovo
кост	hueso	bone
коста	costo	costa
костадин	costadin	kostadin
костадинов	kostadinov	kostadinov
кости	huesos	kosti
костите	huesos	bones
костни	hueso	bone
костов	huesos	kostov
котел	caldera	caldron
котка	gato	cat
котката	el gato	cat
котки	gatos	cats
котките	gatos	cats
котловина	hueco	valley
котловини	huecos	valleys
кош	cesta	basket
коя	cual	which
която	cual	which
краен	extremo	terminal
краища	termina	ends
краищата	los finales	the edges
край	final	near
крайбрежие	costa	shore
крайбрежието	la costa	coast
крайбрежните	costero	cost
крайна	extremo	region
крайната	el final	final
крайни	extremo	end
крайните	el final	ends
крайници	extremidades	extremities
крайниците	extremidades	limbs
крайния	el último	final
крайно	extremadamente	extremely
крак	pierna	foot
крака	piernas	feet
краката	piernas	feet
кракра	krakra	krakra
крал	el rey	king
крале	rey	kings
кралица	reina	queen
кралицата	la reina	queen
кралската	el real	royal
кралски	real	royal
кралския	el real	royal
кралското	el real	royal
кралства	reinos	kingdoms
кралство	reino	kingdom
кралството	el reino	kingdom
краля	el rey	king
кралят	el rey	king
крас	belleza	crassus
красив	hermoso	beautiful
красива	hermoso	beautiful
красивата	hermoso	beautiful
красиви	hermoso	beautiful
красимир	красимир	krassimir
красота	belleza	beauty
кратери	cráteres	craters
кратка	corto	short
кратки	corto	short
кратко	corto	short
кратък	corto	short
крачка	paso	step
края	el fin	end
краят	el fin	end
крепост	fortaleza	fortress
крепости	fortalezas	castles
крепостна	siervo	fortress
крепостни	siervos	fortress
крепостните	siervos	castles
крепостта	la fortaleza	fortress
крива	curva	curve
крие	se esconde	lies
криза	crisis	crisis
кризата	la crisis	crisis
крило	ala	wing
крис	chris	chris
кристали	cristales	crystals
кристална	cristalino	crystal
кристиан	cristiano	christian
крит	crit	crete
критерии	criterio	criteria
критик	crítico	critic
критика	crítica	criticism
критиката	crítica	critics
критики	crítica	critics
критикува	critica	criticized
критици	críticos	critics
критиците	críticos	critics
круз	crucero	cruz
крум	krum	krum
кръв	sangre	blood
кръвен	sangre	blood
кръвната	sangre	blood
кръвни	sangre	blood
кръвното	sangre	blood
кръвоносни	sangriento	blood
кръвоносните	circulatorio	blood
кръвообращението	la circulación sanguínea	blood circulation
кръвта	la sangre	blood
кръг	circulo	range
кръга	el círculo	circle
кръгла	redondo	round
кръгове	círculos	circles
кръговрат	ciclo	circle
кръст	cruzar	cross
кръста	la cruz	cross
кръстев	bautismal	krystev
кръстен	nombrada	named
кръстител	bautista	baptist
кръстоносен	cruzado	crusade
кръстоносците	los cruzados	the crusaders
кръсточовки	crucigramas	duckbill
кръстьо	cruzar	krystio
куба	cuba	cuba
кубинската	el cubano	cuban
кубрат	kubrat	kubrat
кувейт	kuwait	kuwait
кук	cocinar	cook
куклен	marioneta	puppet
кула	torre	tower
кулата	la torre	tower
кули	torres	towers
кулон	colgante	kulon
култ	culto	cult
култа	culto	cult
култови	culto	cult
култура	cultura	culture
културата	cultura	culture
културен	cultural	cultural
култури	cultivos	cultures
културна	cultural	cultural
културната	cultural	cultural
културни	cultural	cultural
културните	cultural	the cultural
културния	cultural	cultural
културно	culturalmente	cultural
културното	lo cultural	cultural
купа	cuenco	cup
купата	el cuenco	cup
купи	comprar	buy
купол	hazme	dome
купува	compra	buys
курорт	recurso	resort
курорти	resorts	resorts
курс	curso	rate
курсове	cursos	courses
кутия	caja	case
куха	cocina	hollow
кухина	cavidad	cavity
кухня	cocina	cuisine
куче	perro	dog
кучета	perros	dogs
кучетата	los perros	dogs
кучето	el perro	dog
къде	dónde	where
където	dónde	where
къклица	frijol	agrostemma
кълбо	orbe	ball
към	a	to
кънчев	kunchev	kanchev
кънчов	kanchov	kynchov
кърджали	kurdjali	kardjali
кърлеж	garrapata	tick
къса	corto	break up
къси	corto	short
късмет	buena suerte	luck
късната	el tardío	late
късния	el tardío	late
късно	tarde	late
къща	casa	house
къщамузей	casa museo	museum
къщата	la casa	house
къщи	casas	houses
къщите	las casas	houses
кьопен	köpen	koppen
кюстендил	kyustendil	kyustendil
л	l	l
ла	la	la
лава	lava	lava
лавразия	laurasia	laurasia
лаврови	laurel	laurel
лагер	acampar	camp
лагера	acampar	camp
лагери	campamentos	bearings
лада	lada	lada
лаерт	laert	laertes
лазар	lazar	lazar
лазаров	lázaro	lazarov
лайпциг	leipzig	leipzig
лайъл	lyle	lyle
ламбда	lambda	lambada
лангедок-русийон	languedoc-rosellón	languedoc roussillon
ланка	enlace	lanka
лас	las	las
лат	lat	lat
латвия	letonia	latvia
латиница	latín	latin
латиницата	el alfabeto latino	latin
латинска	latín	latin
латинската	latín	latin
латински	latín	latin
латинските	latín	latin
латинския	latín	latin
латинският	el latín	latin
латинското	el latín	latin
латинците	los latinos	latins
лв	bgn	lev
лев	lev	lev
лева	leva	lev
леви	izquierda	left
левия	izquierda	the left
левкоцитите	leucocitos	leukocyte
левски	levski	levski
левскиспартак	levski spartak	levski - spartak
легенда	leyenda	legend
легендата	la leyenda	legend
легенди	leyendas	legends
легендите	leyendas	legends
легион	legión	legion
легиони	legiones	legions
легло	cama	bed
лед	hielo	ice
леда	hielo	ice
ледени	glacial	ice
леденика	glaciar	ledenika
леджър	libro mayor	ledger
ледниците	glaciares	glaciers
ледовит	glacial	icy
лежат	mentira	lie
лежи	laico	lies
лезии	lesiones	lesions
лейди	dama	lady
лек	cura	medicine
лека	ligero	light
лекар	médico	doctor
лекарства	drogas	medicines
лекарство	medicamento	medicine
леката	ligero	light
леки	ligero	light
леко	ligeramente	light
лексика	vocabulario	vocabulary
лекува	cura	cure
лекуване	tratamiento	treatment
лен	linaza	linen
ленин	lenin	lenin
лента	cinta	tape
лентата	la cinta	tape
ленън	lennon	lenon
леонардо	leonardo	leonardo
леонберг	leonberg	leonberg
леоне	leona	leone
леополд	leopold	leopold
лесно	fácil	easily
летен	verano	summer
летища	aeropuertos	airports
летище	aeropuerto	airport
летището	el aeropuerto	airport
летни	verano	summer
летните	verano	summer
летния	verano	summer
лечебни	curativo	healing
лечение	tratamiento	treatment
лечението	tratamiento	the treatment
лещата	la lente	lens
ли	ya sea	i
либералната	el liberal	liberal
либия	libia	libya
ливан	líbano	lebannon
ливингстън	livingston	linguistics
ливърпул	liverpool	liverpool
лига	liga	league
лигавицата	la mucosa	mucosa
лигата	liga	league
лигатура	ligadura	ligature / ligation
лидер	líder	leader
лидери	líderes	leaders
лиди	dirigir	lidi
лизи	lame	lizzie
лий	лий	lee
лили	lirio	lili
лимфни	linfático	lymph
линии	líneas	railroads
линиите	las líneas	lines
линията	la línea	line
линкълн	lincoln	lincoln
лион	león	lion
липса	carencia	lack
липсата	la falta	the lack
липсва	desaparecido	lack
липсват	están perdidos	die
лира	libra	lira
лисабон	lisboa	lisbon
лист	sábana	leaf
листа	hojas	leaves
литва	lituania	lithuania
литекс	litex	litex
литература	literatura	literature
литературата	literatura	literary
литературен	literario	literary
литературна	literario	literary
литературната	el literario	literary
литературни	literario	literary
лица	caras	persons
лицата	las caras	persons
лице	cara	person
лиценз	licencia	license
лицето	la cara	the face
личен	personal	personal
личи	lychee	looks
лична	personal	personal
лични	personal	personal
личните	personal	personal
личния	el personal	personal
лично	personal	personally
личност	personalidad	person
личности	personalidad	figures
личността	la personalidad	personality
лов	caza	hunt
ловеч	lovech	lovech
логика	lógica	logic
ложа	presentar	box
ложата	el albergue	lodge
лозя	vides	vineyards
локални	local	lokal
локално	en la zona	locally
локомотив	locomotora	locomotive
лом	chatarra	lom
лонг	largo	long
лондон	londres	london
лорд	señor	lord
лоренцо	lorenzo	lorenzo
лориеви	lorievi	lorisids
лоръл	laurel	laurel
лос	alce	los
лот	lote	lot
лош	malo	bad
лоши	malo	bad
лошо	malo	bad
лошото	el malo	poor
лсд	lsd	lsd
лувъра	el louvre	the louvre
лугачкови	lugachkovi	teasel family
луда	loco	insane
лудвиг	ludwig	ludvig
луи	louis	louis
луис	louis	louis
лука	cebollas	lucca
луканов	луканов	lukanov
луна	la luna	moon
луната	la luna	the moon
луни	la luna	moons
лунната	el lunar	lunar
лунни	lunar	moonbeams
лунните	lunar	moon
лупус	lupus	lupus
лутер	lutero	luther
луций	lucius	lucius
лъв	león	lion
лъва	el león	lions
лъвове	leones	lions
лъвовете	los leones	the lions
лъвът	el león	lion
лък	arco	easy
лъка	arco	"it's name from a resort called ""shiroka luka"""
лъчи	rayos	rays
льо	le	le
любен	amado	luben
любов	amor	love
любовна	amor	love
любовта	amor	love
любомир	lubomir	lubomir
любопитни	curioso	curious
любопитно	curioso	curious
любослав	amoroso	luboslav
людмила	людмила	ludmila
люксембург	luxemburgo	luxemburg
люлин	люлин	lyulin
люспи	escamas	scale
лютикови	ranúnculos	ranunculus
ляв	izquierda	left
лява	izquierda	left
лявата	izquierda	left
ляво	izquierda	left
лявото	izquierda	left
лятна	verano	summer
лятната	verano	summer
лято	verano	summer
лятото	verano	summer
м	metro	month
ма	mamá	-th
магазин	tienda	shop
магазини	tiendas	stores
магдалена	магдалена	magdalene
магелан	magallanes	magellan
магистрала	autopista	highway
магистралата	la autopista	the motorway
магически	por arte de magia	magic
магнитен	magnético	magnetic
магнитно	magnético	magnetic
магнитното	el magnético	magnetic
мадагаскар	madagascar	madagascar
мадара	madara	madara
мадейра	madeira	madeira
мадона	virgen	madonna
мадрид	madrid	madrid
мазнини	grasa	fat
маите	los mayas	maya
май	mayo	may
майк	miguel	mike
майка	madre	mother
майката	la madre	mother
майкрософт	microsoft	microsoft
майкъл	miguel	michael
маймуни	monos	monkeys
майор	mayor	major
майстор	maestro	master
майстори	maestros	masters
майчин	madre	maternal
майчина	madre	maternal
макалу	makala	makalu (mountain peek)
макар	aunque	although
македония	macedonia	macedonia
македонска	macedónio	macedonian
македонската	el macedonio	macedonian
македонски	macedónio	macedonian (alexander of macedon)
македонските	macedónio	macedonian
македонския	el macedonio	macedonian
македонци	macedonios	macedonians
македонците	los macedonios	macedonians
маккарти	mccarthy	makkrti
маккартни	mccartney	mccartey
макс	max	max
максимална	máximo	maximal
максималната	el maximo	the maximal
максимални	máximo	maximum
максимално	máximo	maximum
максимум	máximo	maximum
мала	pequeña	minor
малайзия	malasia	malaysia
малка	pequeña	small
малката	el pequeño	small
малки	pequeña	small
малките	los pequeños	small
малкия	el pequeño	small
малкият	el pequeño	small
малко	un poco	some
малкото	el pequeño	few
малта	malta	malta
малцинства	minorías	minorities
малцинствата	minorías	minority
малцинство	minoría	minority
малък	pequeña	small
ман	hombre	man
манастир	monasterio	monastery
манастира	monasterio	monastery
манастири	monasterios	monasteries
манастирите	los monasterios	the monasteries
манастирът	el monasterio	monastery
мандарин	mandarina	mandarin
мандат	mandato	mandate
мандата	mandato	manado
манолов	манолов	manolov
мантинея	mantinea	mantineya
манхатън	manhattan	manhattan
манчестър	manchester	manchester
маракаси	maracas	maracasi
маргарита	margarita	margarita
марий	mari	marius
марин	marina	marin
марина	puerto pequeño	marin
маринов	marinov	marinov
марипоза	mariposa	mariposa
марихуана	marijuana	marijuana
марихуаната	marijuana	the marijuana
марица	maritsa	maritza
мария	maria	mary
марк	marca	marcus
марка	marca	brand
маркес	marquesina	marquez
марки	marcas	marks
марко	marca	marco
марков	marcas	markov
маркс	marx	marx
марксизма	marxismo	marxism
мароко	marruecos	morocco
марс	marte	mars
март	marzo	march
мартин	martín	martin
маршал	mariscal	marshal
маршрут	ruta	route
маршрути	rutas	routes
маса	masa	table
масата	la mesa	table
маси	mesas	tables
масив	formación	massif
масиви	matrices	array
масивна	masivo	massive
масивни	masivo	solid
масите	las masas	masses
маски	mascaras	masks
масло	mantequilla	butter
масов	masas	mass
масова	masa	mass
масови	masa	mass
масово	en masa	mass
