$	ps	your
dhaaf	pasar	pass
dhaafay	pasado	he left behind
dhaafayn	pasar	dhaafayn
dhaafaysaa	pasa	dhaafaysaa
dhaafi	pasar	forgive
dhaafo	pasar	forgive
dhaafsado	fallecer	dhaafsado
dhaaftay	anulado	last month
dhaalib	desmayarse	-dalib
dhaameen	terminado	dhaameen
dhaanto	baile	should send these brothers ahead
dhaar	juramento	oath
dhaarannaye	lo juro	!
dhaarsho	juramento	dhaarsho
dhaarta	juramento	the oath
dhaawac	lesión	injury
dhaawacmay	lesionado	wounded
dhaaxaan	pasar	i strived with
dhab	genuino	and certainly
dhabar	espalda	back
dhabarka	la parte de atrás	the back
dhabbada	el camino	advise lovers discuss every thing or
dhabeeyaan	realizar	people should express their
dhabnimadeeda	su autenticidad	dhabnimadeeda
dhabta	real	the real
dhac	robo	robbery
dhaca	sucede	the robbery
dhacaa	sucede	it falls
dhacaan	ocurrir	happen
dhacan	este evento	corral closure
dhacana	sucede	eyes
dhacay	sucedió	it happened
dhacaye	sucede	had happened in
dhacayey	estaba pasando	at
dhacayeye	incidente	dhacayeye
dhacda	ocurriendo	in addition,
dhacdaa	sucede	it happens
dhacday	sucedió	it happened
dhacdo	evento	event
dhacdooyin	eventos	events
dhacdooyinka	eventos	the events
dhaceen	cayó	robbed
dhaco	sucede	occur
dhadigana	la mujer	dhadigana
dhadigna	hembra	dhadigna
dhafaruur	carnicería	bush and its sweet yellow berry fruit
dhagan	apretado	connect
dhaganyahay	apretado	dhaganyahay
dhagar	engañar	deceive
dhagaweyne	desbordamiento	dhagaweyne
dhagax	roca	stone
dhagaxa	la piedra	the stone
dhagaxaasi	la piedra	that stone
dhagaxawoqooyiga	roca del norte	dhagaxawoqooyiga
dhagaxbuur	grietas	dagahbur
dhagaxii	la piedra	stone
dhagaysto	escucha	shall be undertaken
dhaha	decir	say
dhahaa	decir	says:
dhahar	decir	lasqoray c
dhaheen	ellos dijeron	said:
dhaho	decir	it is said to them
dhakhso	rápido	soon
dhal	rendimiento	giving birth
dhalan	nacido	born
dhalanteede	patrimonio	dhalanteede
dhalashada	nacimiento	birth
dhalashadii	cumpleaños	birth
dhalashadiisii	su nacimiento	that since before
dhalashadiisu	su cumpleaños	dhalassadiisu
dhalasho	nacimiento	birth
dhalashooyin	cumpleaños	dhalashooyin
dhalatay	nacido	he was born
dhalay	engendrado	birth
dhalaye	derretir	dhalaye
dhaleen	nietos	produced
dhaliil	criticar	look down on
dhaliilaha	el crítico	many defects
dhalin	rendimiento	young
dhalinaya	desencadenar	dhalinaya
dhalinyar	juventud	juvenile
dhalinyara	juventud	youths entered
dhalinyarada	juventud	youth
dhalinyaradii	el joven	also
dhalinyaro	juventud	youth
dhalisay	desencadenado	she delivered
dhaliyey	desencadenado	he scored
dhallinyaradu	gente joven	youth
dhallinyaro	joven	dhallinyyaro
dhamaadaa	termina	present in
dhamaadaan	final	last
dhamaaday	terminó	ended
dhamaadka	el fin	at the end of
dhamaadkii	el fin	1993 dozens more international conferences organized over
dhamaado	final	end
dhamaag	final	dhamaag
dhamaan	todas	all
dhamaantiis	todo ello	is wholly
dhamaantood	todos ellos	all
dhamaatay	se acabó	that's all
dhamaha	las uñas de los pies	dhamaha
dhamaystay	terminado	completed
dhamaystiran	completar	partial
dhamaystirane	completar	dhamaystirane
dhameestirnociidanka	completar el proceso	dhameestirnociidanka
dhameeyaan	terminarlo	owners resolve
dhameeyay	terminado	completed
dhameystay	terminado	kassim
dhami	todas	all
dhamiba	en absoluto	dhamiba
dhammaa	el conjunto	the complete
dhammaadkii	el fin	end of
dhammaan	todas	all
dhammaantiis	todo ello	every
dhammaantood	todos ellos	all of them
dhammanteen	todos nosotros	dhammanteen
dhammeeyeen	terminado	way they had
dhan	todas	all
dhanaan	agrio	sour
dhanee	bienvenidos	dhanee
dhanka	en el lado	the side
dhankaas	de lo contrario	dhankaas
dhankooda	de su lado	side
dhanna	en absoluto	nowhere
dhanoo	todas	dhanoo
dhantahay	esta completo	that's all,
dhanyahay	completar	that includes all parties
dhaq	lavar	wash
dhaqaalaba	económicamente	lying since long time due
dhaqaalaha	economía	economy
dhaqaalaha´	economía	economy
dhaqaale	económico	economic
dhaqaalha	economía	military assistance
dhaqaalihii	la economía	the
dhaqaalihiisa	su economia	dhaqaalihiisa
dhaqaalihiisuna	sus finanzas	dhaqaalihiisuna
dhaqaalo	economía	economy
dhaqaaloheeda	su economia	dhaqaaloheeda
dhaqaalohiisa	sus finanzas	dhaqaalohiisa
dhaqaaq	moverse	move
dhaqaaqay	movido	he moved
dhaqaaqo	moverse	would move
dhaqaaqyo	movimientos	dhaqaaqyo
dhaqameed	tradicional	traditional
dhaqamo	culturas	cultures
dhaqan	tradicion	culture
dhaqane	actuar	dhaqane dhubow
dhaqanka	tradicion	culture
dhaqankooda	su cultura	their culture
dhaqankoodu	su cultura	culture
dhaqanta	práctica	who treats very badly
dhaqashada	lavado	farming portray
dhaqatada	pastores	society
dhaqato	lavar	animal keepers living
dhaqay	lavado	he raised
dhaqdhaaaqyadii	ocupaciones	dhaqdhaaaqyadii
dhaqdhaqaaq	movimiento	movement
dhaqdhaqaaqa	movimiento	the movement
dhaqdhaqaaqii	movimiento	the movement
dhaqdhaqaaqyadii	ocupaciones	diplomatic
dhaqdhaqaaqyo	ocupaciones	movements
dhaqdo	lavar	bride
dhaqidda	lavado	ceremony
dhaqma	actuar	live
dhaqmaan	actuar	follow
dhaqmay	actuó	he acted
dhaqmaysayna	estaba actuando	dhaqmaysayna
dhaqmo	actuar	to fair treatment
dhaqso	rápido	hurry
dhaqtar	un médico	doctor
dhar	ropa	clothes
dharaar	día	day
dharaaraba	por la mañana	dharaaraba
dhararka	la fábrica	the clothes
dharka	ropa	the clothes
dharkeenleey	nuestras ropas	dharkeenleey
dharkoodii	sus ropas	spread their coats
dhasahy	recientemente	dhasahy
dhashaa	ha nacido	new
dhashay	nacido	he was born
dhashaywaxaanuu	él nació	dhashaywaxaanuu
dhasheen	nació	belong
dhashtay	nacido	dhashtay
dhasida	baile	dhasida
dhaw	cerca	near
dhawaadaan	últimamente	become closer
dhawaado	pronto	unwillingness
dhawaan	recientemente	recently
dhawaaqaa	declara	usually pronounced like somali
dhawaaqaan	sonido	dwellers
dhawaaqay	declarado	he announced
dhawaaqday	declarado	announced
dhawaaqida	pronunciación	dhawaaqida
dhawaaqidda	pronunciación	declaration of
dhawaaqo	sonido	date
dhawaaqtada	suena	dhawaaqtada
dhawdahay	cerca a	it may be
dhaweeyay	bienvenido	welcomed
dhawr	quédatelo	several
dhawre	guardia	keeper
dhax	hereditario	oil
dhaxal	herencia	inheritance
dhaxalaa	heredar	dhaxalaa
dhaxalgalka	herencia	the precious item
dhaxalka	herencia	the inheritance
dhaxalkeeda	su herencia	dhaxalkeeda
dhaxanta	frío	the cold
dhaxaye	rompió	dhaxaye
dhaxaysa	entre	between
dhaxaysaa	entre	text
dhaxaysay	entre ellos	he stayed out-it
dhaxda	en el medio	a man's partner
dhaxe	entre	central
dhaxeesay	entre ellos	dhaxeesay
dhaxeeya	entre ellos	between
dhaxeeyaa	entre	lies between
dhaxeeyeen	entre ellos	dhaxeeyeen
dhaxeeyey	entre ellos	between them
dhaxeysa	entre	between
dhaxeysaa	entre	dhaxeysaa
dhaxeysay	intermedio	between
dhaxlay	heredado	inherits
dhaxmaraa	interviene	dhaxmaraa
dhaxmaro	heredado	dhaxmaro
dhay	vestirse	oil
dhaygag	mirar fijamente	gaze
dhaymo	vendaje	oil
dhaytubaako	hostil	dhaytubaako
dhebaandhebiye	portero	dhebaandhebiye
dhebi	hacer clic	trees
dheceen	cayó	they followed
dheddig	hembra	female
dheddiga	hembras	dheddiga
dheddigga	para mujeres	the feminine
dheecaan	descarga	sap
dheer	largo	long
dheeraa	largo	long
dheeraad	más	more
dheeraada	más	avoid
dheeraadka	adición	the extra
dheeraasamaale	largo	dheeraasamaale
dheere	largo	dhere
dheereeyo	altura	extend
dheereshiinehaabiilhabane	fluidez	dheereshiinehaabiilhabane
dheereyn	extensión	speed
dheereynayaa	prolongado	dheerernayaa
dheerka	adicionalmente	dheerka
dheg	oído	ear
dhegaha	orejas	ear
dhegan	atascado	attached
dhegen	palo	comes out after
dhegtay	oído	dhegtay
dheh	decir	say:
dheheen	ellos dijeron	said:
dherer	longitud	height
dhererkiisu	longitud	deep is it
dhererkoodu	su altura	height of
dhex	en el medio	between
dhexaad	neutral	average
dhexadka	en el medio	dhexadka
dhexaysa	entre	between
dhexda	en el medio	the center
dhexdeeda	dentro	therein
dhexdhexaad	neutral	neutral
dhexdhexaadinta	mediación	the mediation
dhexdiisa	dentro	in
dhexdooda	entre ellos	among them
dhexe	central	central
dhexeeya	entre	between
dhexeysa	entre	in the middle
dhexmara	atravesar	sporadic fighting started between
dhexmaray	interrumpido	he passed through
dhextaala	en el medio	dhextaala
dhib	problema	problem
dhibaatada	el problema	the problem
dhibaatadii	el problema	the problems
dhibaato	un problema	problem
dhibaatooyin	problemas	problems
dhibaatooyinka	problemas	problems
dhibaatooyinkii	problemas	the difficulties
dhibay	perturbado	he was a nuisance
dhibi	molestia	cause
dhibina	no te molestes	do not
dhibka	el problema	trouble
dhibkii	el problema	dhikii
dhiblaawe	despreocupado	dhiblaawe
dhibta	el problema	trouble
dhici	otoño	happen
dhicin	otoño	fall
dhicine	expirar	dhicine
dhicisoobay	aborto espontáneo	it aborted
dhiga	poner	instead
dhigaa	conjunto	instruction
dhigaan	ponlo	make
dhigan	parque	park
dhigateene	con eso	dhigateene
dhigay	conjunto	he made
dhigaya	poner	makes
dhigaye	encima	they put it
dhigayo	puesto	innocent
dhigaysa	lo pone	felony
dhigeen	puesto	they laid
dhigeendhulka	el esperma	dhigeendhulka
dhigey	puesto	class
dhigi	hazlo	be
dhigin	no poner	hang up
dhignaa	aceptado	it was written
dhigo	conjunto	study
dhigtan	esta vez	dhigtan
dhigtay	puesto	he studied
dhigteen	acostado	put
dhigto	parque	give an apology
dhihi	decir	say
dhiib	renunciar	surrender
dhiibay	entregado	he handed over
dhiibayaa	entregándolo	hand over
dhiibi	rendición	pay
dhiibid	rendición	co-payment
dhiig	sangre	blood
dhiigga	sangre	the blood
dhiigii	sangre	blood
dhiilka	iones	dhiilka
dhiillo	ramera	hostility
dhiiragalin	alentar	dhiiragalin
dhiiri	alentar	encourage
dhiirigelin	alentar	encouragement
dhiirigelisay	alentado	dhiirigelisay
dhiirri	alentar	encourage
dhikanyee	dilo	dhikanyee
dhiman	morir	die
dhimanayey	estaba muriendo	dhimanayey
dhimane	mortal	when you will die
dhimashadiisii	su muerte	sure
dhimasho	muerte	death
dhimashooyin	fallecidos	dhimashooyin
dhimatay	muerto	she died
dhinac	lado	sides
dhinaca	en el lado	hand
dhinacakale	por otra parte	dhinacakale
dhinacakale´shilinka	por otra parte	the shilling dhinacakale'
dhinacba	lado a lado	both sides
dhinaceeda	a su lado	beside
dhinacyada	lados	sides
dhinacyo	lados	sides
dhinicii	oblicuo	the side
dhintay	muerto	he died
dhinteen	estan muertos	died
dhintey	murió	he died
dhinto	muere	die
dhir	perejil	trees
dhiraandhirinta	análisis	dhiraandhirinta
dhiraha	plantas	dhiraha
dhirindhireed	hierbas	dhirindhireed
dhirirka	altura	dhirirka
dhirirkeeda	su longitud	dhirirkeeda
dhirta	plantas	the trees
dhirtu	plantas	plants
dhis	construir	build
dhisaan	construir	build
dhisaayeen	lo estaban construyendo	dhisaayaeen
dhisan	estructurado	based on
dhisay	construido	he built
dhiseen	lo construyeron	have built
dhisida	edificio	building
dhisin	construir	church
dhisitaan	construir	dhisitaan
dhisitaankii	la construcción	dhisitaankii
dhiska	construcción	the building
dhismaha	construcción	the building
dhismayaal	edificios	buildings
dhismayaasha	edificios	buildings
dhisme	un edificio	cell structure
dhismihii	el edificio	the rebuilding
dhismo	construcción	construction
dhisnaa	construido	it was set up
dhisnayd	construido	which was based on
dhiso	construir	build
dhistay	construido	he established
dhisteen	construido	what slr stands
dhixine	no te molestes	dhixine
dhoho	decir	it is said:
dhooble	sonreír	dhooble
dhoobo	barro	clay
dhoof	vela	travel
dhoofin	exportar	exporting
dhoofiska	exportaciones	the act of deporting
dhoofista	exportaciones	dhoofista
dhoofiyaa	exportado	dhoofiyaa
dhoofiyo	exportaciones	deportation
dhool	sonreír	front tooth
dhoore	ciervo	dhoore
dhow	cerca	near
dhowaaneynaa	venimos pronto	dhowaaneynaa
dhowdahay	cerca a	high
dhowna	cerca a	them
dhowr	varios	few
dhowree	proteger	dhowree
dhowrsada	cumple tu deber	guard
dhowrsan	protegido	dhowrsan
dhowrsana	cumple tu deber	dhowrsana
dhubato	escupir	dhubato
dhuftay	golpeado	he hit
dhufteen	golpeado	beat him on
dhul	tierra	land
dhulaka	tierra	dhulaka
dhulalka	las tierras	the lands
dhulalkii	las tierras	spread themselves
dhulbahante	un terrateniente	dhulbahante
dhulbaisaguna	la tierra	dhulbaisaguna
dhulbeereedka	el paisaje	of agricultural lands
dhuleed	tierra	terrestrial
dhulgariir	terremoto	earthquake
dhulgariirka	terremoto	the earthquake
dhulka	la tierra	earth
dhulkaa	la tierra	the land
dhulkaan	esta tierra	dhulkaan
dhulkaas	en esa tierra	lands
dhulkan	esta tierra	this state
dhulkeeda	su tierra	warriors
dhulkii	la tierra	land
dhulkiisaa	su tierra	dhulkiisaa
dhulku	la tierra	the earth
dhulwaynaha	el continente	dhulwaynaha
dhunkaal	un beso	venom
dhuraye	cascada	dhuraye
dhuub	delgado	bundle
dhuumasho	esconderse	hide
dhuunta	garganta	the throat
dhuurta	el bosque	the evergreen tree
dhuusamareeb	medianoche	nationality
dhuux	médula	marrow
dhuwan	esconder	fruit
dhuxul	carbón	charcoal
dhuxusha	carbón	coal
di	ser - estar	downpour
diabetes	diabetes	diabetes
diakonia	diaconisa	diakonia
dib	espalda	after
dibad	fuera	outside
dibada	de ultramar	outside
dibadda	fuera de	foreign
dibadiisa	fuera de	flies
dibedda	fuera de	foreign
dibeddaba	al aire libre	dibeddaba
dibeddu	fuera de	dibeddu
dibi	buey	bull
dibna	de nuevo	and then
dibnahayga	mi ojo	dibnahayga
dibu	buey	will be a delay
dibuga	becerro	dibuga
dibugu	toro	dibugu
dibuheshiisiinta	reconciliación	dibuheshiisiinta
diday	agudo	he was scared
didsaday	rechazado	he chased away
difaaca	defensa	the defense
difaacay	defendido	have defended
difaacaya	defendiendo	protects
different	diferente	different
digfeer	cavador	digfeer
digil	digil	digil
digilmirifle	digilmirifle	digimirifle
digir	frijoles	beans
digirta	frijoles	the beans
digital	digital	digital
digniin	advertencia	warning
digo	digerir	warn
dihine	dihine	diihine
dii	c	the
diid	rechazado	refuse
diidana	rechazarlo	be cast
diiday	rechazado	he refused
diidayaa	se niega	will be rejected
diidayaana	negarlo	diidayaana
diidday	rechazado	she refused
diiddo	negar	negate
diide	negar	diide
diideen	rechazado	refused
diidey	rechazado	refused
diidmada	la objeción	refusal
diido	rechazar	refuse
diidoo	negar	that refused the breast
diidye	se niega	was rejected even one.
diif	diph	weakness
diifta	difteria	the weakness
diimaha	religiones	religions
diimeedka	el religioso	dimeedka
diimo	religiones	religions
diimood	fe	diimood
diimuqraadiga	democrático	diimuqraadinga
diin	religión	religion
diine	diine	is a religion
diini	decano	dini
diiniga	la religion	religious
diinka	religión	the turtle
diinle	deinle	diinle
diinsoor	dynsoor	dinsor
diinta	religión	religion
diintaas	esa religion	diintaas
diintan	esta religion	infidelity
diintana	esta creencia	made him feel
diinteena	nuestra religión	our religion
diintiisa	su religion	religion
diintooda	su religión	their religion
diintoodii	su religión	their
diintu	la religion	religion
diintuna	fuerza de	religion
diiqsan	deprimido	diiqsan
diir	pelar	peel
diiraabay	calentado	diiraabay
diiran	calentar	warm
diiray	pelado	he peeled
diiriye	confuso	diriye
diirka	pelar	the skin of plant
diirki	pelar	diirki
diiro	atención	peel
diirsado	calentar	will never be relieved
dil	asesinato	killing
dila	comerciante	dila
dilaa	mata	killer
dilaan	mátalo	kill
dilay	delicado	killed
dilaye	comerciante	killed her
dileen	delicado	killed
diley	delicado	killed
dilkii	asesinato	killing
dilkiisa	su asesinato	death
dilku	asesinato	libel
dilla	agrietado	cause to die
dillaaco	grietas	dillaaco
dillapress	dillapress	dillapress
dilo	matar	kill
dimishiq	democracia	1273
dimoqaraadiyadda	democracia	dimoqaraadiyadda
dimuqaraadiga	democracia	dimuqaraadiga
dimuqraadiga	democrático	democratic
dimuqraadiyada	democracia	democratic manner
dimuqraadiyadda	democracia	dimuqraadiyaadiyadda
dimuquraadi	democracia	dimuquraadi
dimuquraadiya	democracia	dimuquraadiya
dimuquraadiyada	democracia	dimuquraadiyada
dininig	dininig	dining
dir	enviar	send
diraa	expedido	send
diraac	estofado	somali traditional women's dress
diraacoode	enviarlos lejos	years i shall follow you
diraan	enviar	send
diran	trastornado	warm
diray	expedido	he sent
dirayay	enviando	its objective
dirayoo	expedido	sent and
direy	expedido	sent to
dirgen	dirgen	dirgen
diri	para soportar	send
dirir	pelea	quarrel
dirirayaashii	los guerreros	dirirayaashii
dirirka	lucha	dirirka
diriro	pelea	confess
dirirtii	lucha	dirirtii
diriyo	citas	diriyo
dirkii	envío	dirkii
dirsaday	expedido	he sent away for
disc	dto	disc
diseembar	diciembre	diseembar
distoori	distoori	distoori
distoorkii	la constitución	distoorkii
distributed	repartido	distributed
distuurka	la constitución	the constitution
dit	dit	dit
dix	dix	dry streambed
diyaar	listo	ready
diyaarada	el avión	the plane
diyaaradaha	aviones	airport
diyaaradeed	avión	diyaaradeed
diyaaradii	el avión	plane
diyaaradood	aviones	airplane
diyaaraduhu	aviones	airplanes
diyaarintii	preparación	preparation
diyaariyay	preparado	prepared
diyaariyey	preparado	he prepared
diyaarka	listo	the readiness
diyaradaha	aviones	diyaradaha
djacday	conmocionado	djacday
djibouti	más nuevo	djibouti
do	hacer	do
doc	doc	direction
doh	doh	marsh
dola	dólar	dola
dominika	dominicano	dominika
doob	dob	bachelor
doobcadale	otro	doobcadale
doobi	gama	medium-sized milk container
dooc	doc	news
dood	debate	debate
dooda	debate	their
doodaan	este argumento	camp
dooday	debatido	he argued
doodayaan	discutiendo	contended:
doodday	debatido	doodday
doodeen	argumentó	disputed
doodi	debate	they contend
doodo	debate	debate
doofaar	cerdo	doorfaar
doog	hierba	grass
dooga	césped	grass
doogsin	debilitar	doogsin
doojey	moler	doojey
doollo	levadura	and doollo
doolo	ble	buttocks
doolow	encogimiento	dolow
doon	barco	will
doona	buscar	will
doonaa	será	will
doonaan	será	will
doonaayey	querido	poems
doonan	buscar	there is
doonay	deseado	he desired
doonaya	querer	want
doonayaa	querer	wanted
doonayeen	deseado	he was badly mistreated
doonayo	querer	wants
dooneen	buscado	him
dooneyid	usted quiere	dooneyid
dooneysaa	usted quiere	want or need
doonin	buscar	not
dooninna	buscarte	dooninna
doonistii	deseo	--
doonka	el barco	the mineral
doonnaaye	lo haremos	wants
doonno	lo haremos	we
doono	será	will
doonta	barco	will
doontaa	buscar	will
doonto	será	will
doonyaha	barcos	boats
door	papel	role
dooranayay	elegir	dooranayay
dooranayeen	seleccionando	dooranayeen
doorashada	elección	election
doorashadaas	esa eleccion	elected
doorashadan	esta opción	shall
doorashadii	elección	election
doorasho	elección	election
doorashooyin	elecciones	elections
doorashooyinka	elecciones	elections
doorashooyinkii	elecciones	elections of
doorin	no elijas	unalterable
dooriyee	ganar	dooriyee
doorka	papel	the role
doorkii	papel	doorkii
dooro	seleccione	choose
doorroone	preferiblemente	doorroone
doorsamaye	no estoy abierto	doordamaye
doorsan	seleccionado	response
doorshaane	escoger	doorshaane
doortaa	escoger	elect
doortay	elegido	chosen
doorteen	elegido	they chose
doorto	escoger	choose
dooxa	valle	the diarrhea
dooxada	el valle	valley
dooxadii	en el valle	had reached the valley
doqon	estúpido	fool
doqonniimo	tontería	doqonniimo
dorraato	subasta	day before yesterday
dowlad	gobierno	government
dowlada	gobierno	government
dowladaha	gobiernos	governments
dowladahaas	esos gobiernos	dowladahaas
dowladda	gobierno	the government
dowladdii	gobierno	dowladdi
dowladeed	gobierno	government employee
dowladihii	gobiernos	governments
dowladii	gobierno	the government
dowlado	gobiernos	governments
dowladood	gobiernos	governments
download	descargar	download
dowr	bajar	run dry
dr	dr	dr
drs	drs	mrs drs.
du	du	onto
dubad	rectangular	dubad
dubai	el dubai	dubai
ducaadda	bendición	the religious sheikhs
ducada	oración	prayer
ducaynaa	oramos	keep on praying for
duceeyo	orar	pray for
duco	una bendición	prayer
duduwan	novios	many
dufowdoo	a la mierda	dufowdoo
dug	excavado	fall asleep
dugsi	colegio	school
dugsiga	en la escuela	school
dugsigii	la escuela	school
dugsiyada	escuelas	school
dugsiyo	escuelas	schools
dugulka	colegio	the dark item
duhur	mediodía	noon
duhurkii	al mediodía	at noon
dukaan	tienda	shop
dul	sobre	on top
dulka	la superficie	the nostril
dulli	desgracia	disgrace
dulliga	humillante	the calamity
dulmiga	opresión	the outrage
dulmiya	oprimir	their own souls
dulqaad	se paciente	patience
dulqaadaan	se paciente	dulqaadaan
dultaagi	aférrate	dultaagi
dulucda	tema	the argument
dulugle	payaso	dulugle
dumaal	cuñada	marry brother's widow
dumar	mujer	women
dumarka	mujer	women
dumarkii	mujer	women
dumay	colapsado	he organized
dumey	dumey	dumey
dumin	tugurio	tear
duminayaa	demolido	duminayaa
dumis	demolición	destrucoon
dumiyo	destruir	destroy
dun	sabroso	thread
duni	mundo	world
dunida	el mundo	world
dunidalaakiin	pero el mundo	dunidalaakiin
dunidana	el mundo	he was
dunidda	el mundo	world
dunuub	arruga	accusations
duq	antiguo	old
duqa	alcalde	the mayor
duqayn	bombardeo	crush
duqeeyay	bombardeado	warplanes
duqsan	antiguo	duqsan
duqsansoomaalida	barbado	duqsansoomaalida
duqsanwaxyaabaha	cosas viejas	duqsanwaxyaabaha
duray	inyección	cold
durba	ya	already
durbaan	tambor	drum
durbadiiba	ya	already
durdur	una corriente	stream
durdurkii	la corriente	may you find your
during	durante	u
durkoo	lo que sea	durkoo
duruufaheeda	sus circunstancias	transitional conditions each
duruufihii	circunstancias	duruufihii
duryaad	brumoso	duryaad
dusha	superficie	on top
dusheeda	en eso	on top of
duub	rodar	wrap up
duuban	grabado	rolled up
duubay	grabado	he wrapped up
duubi	grabación	tie up
duud	arbusto	escarpment
duudka	en la naturaleza	the upper part
duudsiiyey	demolido	duudsiiyey
duufaan	una tormenta	dufaan
duug	antiguo	funeral
duugey	enterrar	duugey
duugmay	desgastado	duugmay
duugta	masaje	the funeral
duul	volar	fly
duulaan	invadir	attack
duulay	voló	he flew
duuliye	piloto	pilot
duuliyihii	el piloto	invisible sas captain
duulka	vuelo	the group of people
duullaankii	la invasión	the
duumaa	botón de play	duumaa
duunyo	animal	herds
duur	salvaje	wild animals
duurgalay	frunció el ceño	duurgalay
duurka	en el campo	the forest
duwan	diferente	different
duwanaa	fue diferente	he was different
duwanyahay	es diferente	most surely various
dvdx	dvdx	dv/dx
e	mi	e
each	cada	kasta
east	este	east
eastleigh	eastleigh	eastleigh
eastliegh	eastliegh	eastleigh
eau	eau	eau
ebbow	reflujo	ebbow
ebekargaab	con demasiada frecuencia	ebekargaab
economy	economía	economy
education	educación	education
ee	si	of
eebbaa	decir que sí	it is god who
eebbaana	si	eebbaana
eebbaha	en la cabeza	allah who created
eebbahay	mi padre	you be
eebbana	no	eebbana
eebbe	dios	god
eebbow	buscar	oh god!
eebe	dios	allah
eed	culpa	blame
eedaysay	acusado	eedaysay
eedeeyay	acusado	he accused
eedeeyey	acusado	he blamed
eedeyay	acusado	are accused
eeerland	interior	eeerland
eeg	mira	egg
eegaayey	mirando	eegaayey
eegay	mirado	he looked at
eegayeen	mirando	again
eegayo	mirando a	look for
eegno	mira	let us
eego	mira	look
eegto	mira	eegta
een	si	they did
eersadaye	si dios quiere	eersadaye
eesan	luego	eesan
eey	perro	dog
eeysan	perro	eeysan
eg	p.ej.	like
egyihiin	parece	alike?
eheed	cual es	was
eheen	es decir	eheen
eheyd	que era	eheyd
eight	ocho	eight
ekaa	acerca de	it was
el	el	el
elarab	elarab	elarab
elektrooniga	electrónica	e-mail
elements	elementos	elements
elmi	elmi	elmi
email	correo electrónico	email
emailkiisa	su correo electrónico	emailkiisa
embedded	incrustado	embedded
en	en	reports also say they
eng	eng	eng
engineer	ingeniero	engineer
engineering	ingenieria	). although
engineerku	ingeniero	engineerku
engiriiska	en inglés	engiriiska
england	inglaterra	england
english	inglés	english
equipment	equipo	alaab
eraga	palabra	eraga
eratareya	esta palabra	eratareya
erataria	erataria	erataria
eratiya	palabra	eratiya
eray	palabra	word
erayada	palabras	the words
eraydan	esta palabra	eraydan
erayga	la palabra	the word
eraygan	esta palabra	this
erega	erección	erega
eretereya	juego	eretereya
ereteriya	atleta	ereteriya
eretrie	eretrie	eretrie
erey	una palabra	words
ereyada	palabras	words
ereyga	palabra	the word
ereygaasi	esa palabra	ereygaasi
ergo	es decir	delegation
eriga	eriga	playing card game
erigavo	erigavo	erigavo
ertariya	eritrea	ertariya
eryada	persecución	eryada
eryaday	perseguido	he ran after
eryay	despedido	he drove away
eryey	despedido	he drove away
es	es	dar es
esperanto	esperanto	esperanto
estoniya	estonia	estoniya
et	et	our
ethiopa	etiopa	ethiopa
ethiopia	etiopía	ethiopia
ethopia	etopia	ethopia
ethopiakenya	ethopiakenya	ethopiakenya
etoobiya	etiopía	etoobiya
europe	europa	europe
european	europeo	the european
ex	ex	ex
example	ejemplo	tusaale
exchange	intercambiar	exchange
explorer	explorador	explorer
express	rápido	dhaqso
external	externo	external
ey	ey	dog
eyl	eyl	eyl
f	f	f
faadir	despedida	faadir
faadumo	flujo	fatima
faafay	propagar	it spread
faafinta	diseminación	journal
faafiyeen	diseminado	spread
faafiyey	propagado	he published
faago	despedida	dig
faah	detalles	for details
faahfaahsan	detallado	explained in detail
faaiidada	ventaja	benefit
faaiido	ganancia	wo
faaloota	comentario	faaloota
faano	gloria	boast
faanoole	boxer	faanoole
faanto	fanfarronería	dung
faarax	chupar	farah
faarisiyiinta	los fariseos	faarisiyiinta
faatikaan	en este contexto	vatican
faatikanaka	autógrafo	faatikanaka
faatikanka	táctica	stated publicly
faca	arrancar	the age-group
faculty	facultad	faculty
facween	facween	facween
fadal	moda	foot-print
fadhida	sentado	sitting
fadhido	siéntate	sits
fadhiisan	siéntate	sit
fadhiisimo	congelar	fadhiisimo
fadhiistay	se sentó	he sat down
fadhiisto	siéntate	sit
fadhino	siéntate	fadhino
fadhiso	siéntate	by voting
fadhiya	sentado	seated
fadhiyaa	sentado	is on
fadhiyay	estaba sentado	setting
fadhiyey	se sentó	he was sitting
fadlan	por favor	please
fadliga	gracia	grace
fadligeeda	su gracia	fadligeeda
fahamka	comprensión	understanding
fahamno	entender	so that we can understand;
fahmaan	entender	understand
fahmay	entendido	he understood
fahmeen	entendido	understood their special
fahmeyna	entendernos	fahmeyna
fahmeynaa	entendemos	the bread
fahmi	entender	understand
fahmin	no entiendo	understand
fahmo	entender	understand
faisal	faisal	faisal
fakaday	escapado	he escaped
fakerayey	imaginado	fakerayey
fal	actuar	verb
falaa	hazlo	i do
falaha	el fabricante	falaha
falal	comportamiento	acts
falalka	comportamiento	the actions
falanqayno	discutir	falanqayno
falastiin	palestina	palestine
falastiiniyiintu	palestinos	station
fale	loseta	subject
faleedka	loseta	faleedka
falidda	cultivo	them
falka	el acto	the verb
falkaab	acción	adverb
fanaan	artista	vocalist
fanaanad	ventilador	fanaanad
fanaaniinta	artistas	drama bands
fanansuwela	lujoso	fanansuwela
fanka	arte	arts
faqashta	desmayo	the loyalists
faqay	susurró	he consulted secretly
faqi	estrecho	take counsel secretly
faqiih	faqih	faqiih
