$	ps	dollarsign
ernstig	grave	serious
ernstige	grave	serious
erogene	erógeno	erogenous
erop	en eso	on
eros	eros	eros (proper noun, name)
erosie	erosión	erosion
erotiek	erotismo	eroticism
erover	al respecto	about
ertoe	lo	towards
eruit	sal	like
ervaart	experiencias	experiences
ervan	de eso	off
ervaren	experimentar	experienced
ervaring	experiencia	experience
ervaringen	experiencias	experiences
ervoor	antes de	sure
erwin	erwin	erwin
es	es	es
essentie	esencia	essence
essentieel	esencial	essential
essentiële	esencial	essential
est	est	est
estland	estonia	estland
estse	estse	estonian
etappe	etapa	stage
etc	etc.	etc
eten	comida	food
ethanol	etanol	ethanol
ethiek	ética	ethics
ethisch	ético	ethical
ethische	ético	ethical
etnische	étnico	ethnical
etymologie	etimología	etymology
eu	ue	eu
euclides	euclides	euclides
eugène	eugène	eugène
euro	euros	euro (proper noun - monetary unit)
euromunten	monedas de euro	eurocoins
europa	europa	europe
europacup	copa de europa	europe-cup
europe	europa	europe
european	europeo	european
europeanen	europeos	europeans
europees	europeo	european
europese	europeo	european
euros	euros	euros
eurovisiesongfestival	festival de la canción de eurovisión	eurovison songfestival
eurozone	zona euro	eurozone
euthanasie	eutanasia	euthanasy
eva	eva	eva
evacuatie	evacuación	evacuation
evangelie	evangelio	gospel
evangelische	evangélico	evangelical
evangeliën	evangelios	gospels
evans	evans	evans
even	por poco	as
evenaar	ecuador	equator
evenals	tal como	as
eveneens	además	likewise
evenement	evento	event
evenementen	eventos	events
evenmin	ninguno	neither
eventueel	posiblemente	possibly
eventuele	alguna	eventual
evenveel	tanto como para	the same amount
evenwel	sin embargo	however,
evenwicht	equilibrar	balance
everest	everest	everest
evolutie	evolución	evolution
evolutietheorie	teoría de la evolución	evolution theory
evolutionaire	evolutivo	evolutionary
ex	ex	ex
exact	exacto	exact
exacte	exacto	exact
exchange	intercambiar	exchange
exclusief	exclusivo	exclusive
exclusieve	exclusivo	exclusive
excuses	excusas	excuse
executie	ejecución	execution
executies	ejecuciones	executions
executive	ejecutivo	executive
exemplaar	copiar	copy
exemplaren	copias	copies
exodus	éxodo	exodus
exotische	exótico	exotic
expansie	expansión	expansion
expeditie	expedición	expedition
experience	experiencia	experience (ervaring)
experiment	experimentar	experiment
experimentele	experimental	experimental
experimenten	experimentos	experiments
expliciet	explícito	explicitly
explosie	explosión	explosion
explosieve	explosivo	explosive
export	exportar	export
exportproducten	productos de exportación	exportproducts
expressionisme	expresionismo	expressionism
expressionistische	expresionista	expressionistic
externe	externo	external
extra	adicional	extra
extreem	extremo	extreme
extreme	extremo	extreme
eyes	ojos	eyes
eén	una	one
f	f	f
fa	fa	fa
fabriek	fábrica	factory
fabrieken	suerte	factories
fabrikant	fabricante	manufacturer
fabrikanten	fabricantes	producers
face	cara	face
facebook	facebook	facebook
faciliteiten	instalaciones	facilities
facto	facto	facto
factor	factor	factor
factoren	factores	factors
factory	fábrica	factory
faculteit	facultad	faculty
fagocyt	fagocito	fagocyct
failliet	arruinado	failure
faillissement	bancarrota	failure
fair	justa	jaarmarkt/ eerlijk
fame	fama	fame
familie	familia	family
familieleden	miembros de la familia	relatives
families	familias	families
family	familia	family
fan	ventilador	fan
fans	aficionados	fans
fantasie	fantasía	fantasy
farao	faraón	farao
fascisme	fascismo	fascism
fascisten	fascistas	fascists
fascistische	fascista	fascist
fase	fase	phase
fasen	etapas	phases
fases	etapas	phases
fatale	fatal	fatal
fauna	fauna	fauna
favoriete	favorito	favourite
favorite	favorito	favoriet
fbi	fbi	federal bureau of investigation
fc	fc	fc
februari	febrero	february
federaal	federal	federal
federal	federal	federal
federale	federal	federal
federatie	federación	federation
federer	federer	federer
feel	sensación	feel
feest	partido	party
feestdag	fiesta	feast
feestdagen	días festivos	holidays
feesten	celebrar	celebrations
feit	hecho	fact
feite	de hecho	in fact
feitelijk	de hecho	in fact
feitelijke	factual	objective
feiten	hechos	facts
fel	intenso	fierce
felix	felix	felix
felle	feroz	fierce
female	hembra	female
feniks	fénix	phenix
fenomeen	fenómeno	phenomenon
feodale	feudal	feudal
ferdinand	fernando	ferdinand
ferrari	ferrari	ferrari
festival	festival	festival
festivals	festivales	festivals
feyenoord	feyenoord	feyenoord
fictieve	ficticio	fictive
fiction	ficción	fiction
fiets	bicicleta	bicycle
fietsen	bicicletas	bicycle
fietsers	ciclistas	cyclists
fifa	fifa	fifa
figuren	cifras	figures
figuur	figura	figure
fijn	bonito	fine
filipijnen	filipinas	phillipines
filipijnse	filipino	filipinjse
filips	philips	filips
film	película	movie
filmacteur	actor de películas	film actor
filmen	filmar	filming
filmfestival	festival de cine	film festival
filmindustrie	industria del cine	movie industry
filmografie	filmografía	filmography
filmpje	película	movie
filmpjes	películas	movies
filmreeks	serie de cine	film series
films	películas	films
filosofen	filósofos	philosophers
filosofie	filosofía	philosophy
filosofisch	filosófico	philosophical
filosofische	filosófico	philosophical
filosoof	filósofo	philosopher
final	final	final
finale	final	final
finales	finales	finals
financieel	financiero	financial
financieren	finanzas	finance
financiering	financiación	financing transaction
financiële	financiero	financial
financiën	finanzas	finance
finland	finlandia	finland
finse	finlandés	finnish
fire	fuego	fire
firma	firma	firm
first	primero	first
fiscale	fiscal	fiscal
fischer	fischer	fischer (proper noun - surname)
five	cinco	five
fles	botella	bottle
flevoland	flevolanda	flevoland
flink	fuerte	solid
flinke	fuerte	significant
flora	flora	flora
florence	florencia	florence
floyd	floyd	floyd
fm	fm	frequency modulation
focus	atención	focus
foetus	feto	fetus
folklore	folklore	folklore
fonds	fondo	fund
fontsizes	fuentes	fontsizes
foolscap	papel folio	foolscap
football	fútbol americano	football
for	para	for
force	fuerza	force
ford	vado	ford
foreman	capataz	foreman
formaat	formato	size
formaten	formatos	sizes
formatie	formación	formation
formeel	formal	formal
formele	formal	formal
formule	fórmula	formula
formules	fórmulas	formulas
fors	fuerte	substantially
fort	fuerte	fort
forten	fortalezas	fortresses
fortuyn	fortuyn	fortuyn
forum	foro	forum
fossiele	fósil	fossil
fossielen	fósiles	fossils
foto	foto	picture
fotografie	fotografía	photography
fotos	fotos	pictures
foundation	fundación	foundation
fout	incorrecto	fault
fouten	fallas	faults
fox	zorro	fox
fr	fr	fr
fractie	fracción	fraction
france	francia	france
francesco	francesco	francesco
francis	francis	francis
francisco	francisco	francisco
franco	gratis	franco
frank	franco	franc
franken	francos	franks
frankfurt	frankfurt	frankfurt
frankische	franco	frankish
frankrijk	francia	france
frans	francés	frenche
franse	francés	french
fransman	francés	frenchman
franstalig	francés	french
franstalige	habla francés	french-speaking
franstaligen	francófonos	french speaking
franz	franz	franz
françois	françois	francois
frazier	frazier	frazier
fred	fred	fred
freddie	freddie	freeddie
frederik	frederik	frederik
free	gratis	free
frequent	frecuente	frequently
frequentie	frecuencia	frequention
frequenties	frecuencias	frequencies
freud	freud	freud
frida	frida	frida
friedrich	friedrich	friedrich
friends	amigos	vrienden
fries	frisio	fries
friese	frisón	frisian
friesland	frisia	friesland
friezen	frisos	friezes
frits	fritas	frits
fritz	fritz	fritz
from	de	from
front	frente	front
fronten	frentes	fronts
fruit	fruta	fruit
frusciante	refrescante	frusciante
ft	pie	met
full	completo	full
functie	función	function
functies	funciones	functions
functioneert	funciones	functionary
functionele	funcional	functional
functioneren	funcionar	function
fundamenteel	fundamentalmente	fundamental
fundamentele	fundamental	fundamental
fungeerde	funcionó	functioned
fungeert	hechos	functions
fungeren	actuar	function
funk	canguelo	funk
fusie	fusión	merger
future	futuro	future
fysiek	físico	fysical
fysieke	físico	physical
fysiologische	fisiológico	physiological
fysische	físico	fysical
g	gramo	g
gaal	galón	gaal
gaan	ir	go
gaande	pasando	ranging
gaandeweg	por el camino	along the way
gaat	va	turns (1st sentence), is (3rd sentence), assumes (6th sentence)
gaf	dio	gave
gaga	gagá	gaga
gaius	gayo	gaius
gal	galón	gall
galerij	galería	gallery
galilei	galilei	galileans
galileo	galileo	galileo
gallery	galería	gallery
gallia	gallia	gallia
gallische	gálico	gallic
game	juego	game
games	juegos	games
gandhi	gandhi	gandhi
ganesha	ganesha	ganesha
gang	corredor	going
gangbare	común	usual
ganzenveer	pluma pluma	goose quill
garantie	garantía	guarantee
garde	batidor	garde
garden	jardín	garden
garros	garros	garros
gary	gary	gary
gas	gas	gas
gaskamers	cámaras de gas	gas chambres
gaspedaal	acelerador	accelerator  pedal
gassen	gases	gasses
gasten	los visitantes	guests
gastheer	anfitrión	host
gastrol	rol de invitado	hosting role
gat	agujero	hole
gate	portón	gate
gaten	agujeros	holes
gates	puertas	gates
gaudí	gaudí	gaudi
gauw	pronto	soon
gave	regalo	gift
gaven	regalos	gifts
gazastrook	franja de gaza	gaza strip
geaardheid	orientación	orientation
geaccepteerd	aceptado	accepted
geaccepteerde	aceptado	accepted
geacht	considerado	expected
geallieerde	aliado	allied
geallieerden	aliados	allied
gear	engranaje	gear
gearresteerd	detenido	arrested
geassocieerd	asociado	associated
geavanceerde	avanzado	advanced
gebaseerd	establecido	based
gebaseerde	establecido	based
gebed	oración	prayer
gebergte	cordillera	mountains
gebergten	cadenas montañosas	mountains
gebeten	mordido	bitten
gebeurd	sucedió	happened
gebeurde	sucedió	happened
gebeuren	suceder	happen
gebeurtenis	evento	event
gebeurtenissen	eventos	events
gebied	zona	area
gebieden	áreas	territories
gebit	dientes	teeth
gebleken	resultó	shown
gebleven	se quedó	remained
geblokkeerd	obstruido	blocked
geboden	mandado	provided
geboekt	reservado	booked
gebogen	curvo	curved
gebonden	estar obligado a	bound
geboorte	nacimiento	birth
geboortecijfer	tasa de natalidad	birth rate
geboortedatum	fecha de nacimiento	date of birth
geboortehuis	casa de nacimiento	place of birth
geboorteplaats	lugar de nacimiento	place of birth
geboren	nacido	born
gebouw	edificio	building
gebouwd	construido	builded
gebouwde	construido	builded
gebouwen	edificios	buildings
gebracht	trajo	brought
gebrek	carencia	lack
gebroeders	hermanos	brothers
gebroken	roto	broken
gebrouwen	elaborada	brewed
gebruik	utilizar	use
gebruikelijk	usual	usual
gebruikelijke	usual	usual
gebruiken	utilizar	to use
gebruiker	usuario	user
gebruikers	los usuarios	users
gebruikgemaakt	hizo uso de	use
gebruikmaken	utilizar	use
gebruikt	usado	used
gebruikte	usado	used
gebruikten	usado	used
gecombineerd	conjunto	combined
gecombineerde	conjunto	combined
gecompenseerd	compensado	compensated
gecomponeerd	compuesto	composed
geconcentreerd	concentrado	concentrated
geconfronteerd	enfrentado	confronted
gecontroleerd	comprobado	controlled
gecreëerd	creado	created
gedaald	disminuido	decreased
gedaan	hecho	done
gedacht	pensamiento	thought
gedachte	pensamiento	thought
gedachtegoed	ideas	thought
gedachten	pensamientos	thoughts
gedateerd	con fecha de	dated back
gedeeld	compartido	shared
gedeelte	parte	portion
gedeeltelijk	parcialmente	partly
gedeeltelijke	parcial	partly
gedeelten	partes	portions
gedefinieerd	definido	defined
gedeputeerde	diputado	gedeputeerde
gedetailleerde	detallado	detailed
gedicht	poema	poem
gedichten	poemas	poems
gedomesticeerde	domesticado	domesticated
gedomineerd	dominado	dominated
gedood	delicado	slain
gedraaid	rotado	turned
gedrag	comportamiento	behaviour
gedragen	comportarse	behave
gedragingen	comportamientos	behaviors
gedreven	impulsado	driven
gedronken	borracho	have drunk
gedrukt	impreso	print
gedrukte	impreso	printed
gedurende	durante	during
geel	amarillo	yello
geen	no	no
geert	geert	geert
geest	espíritu	spirit
geestelijk	mentalmente	mental
geestelijke	espiritual	spiritual
geestelijken	clero	clergymen
geestelijkheid	clero	geestelijkhied
geesten	fantasmas	spirits
gefinancierd	financiado	financed
geformuleerd	formulado	formulated
gegaan	ido	gone
gegeten	comió	eaten
gegeven	dado	given
gegevens	datos	data
gegraven	excavado	digged
gegroeid	crecido	grown
gehaald	logrado	brought into (2nd and 6th sentence), taken off (11th sentence)
gehad	tenido	had
gehalte	la licenciatura	content
gehandicapten	discapacitado	disabled
gehanteerd	manejado	used
geheel	todo	whole
geheim	secreto	secret
geheime	secreto	secret
geheimzinnige	misterioso	mysterious
gehele	todo	entire
geheten	llamado	named
geheugen	memoria	memory
geheven	recaudado	levied
geholpen	ayudado	helped
gehoor	escuchando	respond to
gehoord	escuchó	heard
gehouden	mantenido	held
gehuisvest	alojado	accommodated
gek	loco	crazy
gekeken	miró a	looked
gekend	conocido	known
gekenmerkt	se caracteriza	characterised
gekleed	vestido	clothed
gekleurd	de colores	painted
gekleurde	de colores	colored
gekocht	comprado	bought
gekomen	ven	come
gekoppeld	vinculado	linked
gekozen	elegido	chosen
gekregen	tiene	obtained
gekroond	coronado	crowned
gekweekt	crecido	cultured
geladen	cargado	loaded
gelaten	izquierda	launched
geld	dinero	money
gelden	aplicar	count
gelder	gelder	gelder - proper noun - surname
gelderland	güeldres	gelderland
geldig	válido	valid
geldt	aplica	counts
gele	amarillo	yellow
geleden	hace	suffered
geleedpotigen	artrópodos	athropods
geleerd	aprendido	learned
geleerde	erudito	academic
geleerden	eruditos	scolars
gelegd	puesto	placed
gelegen	situado	situated
gelegenheden	ocasiones	opportunities
gelegenheid	oportunidad	opportunity
geleid	led	led
geleide	guiado	guided
geleidelijk	gradualmente	gradually
geleidelijke	gradual	gradual
geleverd	entregado	delivered
gelezen	leer	read
geliefd	amado	popular
geliefde	amante	loved
gelijk	igual	equal
gelijke	igual	equal
gelijkenis	parábola	resemblacne
gelijkheid	igualdad	equality
gelijknamige	epónimo	of the same name
gelijktijdig	simultaneamente	simultaneous
gelijkwaardig	equivalente	even
geloof	fe	belief
geloofde	creído	believed
geloofden	creído	believed
gelooft	cree	believes
geloven	creer	believe
gelovigen	creyentes	believers
geluid	sonido	sound
geluiden	suena	sounds
geluk	suerte	happiness
gelukkig	contento	happy
gelukt	triunfado	accomplished
gemaakt	hecho	made
gemaakte	hecho	made
gemakkelijk	fácil	easily
gemakkelijker	más fácil	easier
gemalen	molido	ground (to grind)
gematigd	moderar	temperate
gematigde	moderar	moderate
gemeen	media	in common
gemeenschap	comunidad	community
gemeenschappelijk	común	communal
gemeenschappelijke	común	common
gemeenschappen	comunidades	communities
gemeente	municipio	municipality
gemeentelijk	municipal	municipal
gemeentelijke	municipal	municipal
gemeentemuseum	museo municipal	municipal museum
gemeenten	municipios	communes
gemeenteraad	consejo local	city council
gemeenteraadsverkiezingen	elecciones municipales	municipal elections
gemeld	reportado	reported
gemenebest	mancomunidad	commonwealth
gemengd	mezclado	mixed
gemengde	mezclado	mixed
gemeten	medido	measured
gemiddeld	promedio	average
gemiddelde	promedio	average
gen	gene	gene
genaamd	llamado	named
genade	gracia	mercy
geneeskunde	medicamento	medicine
geneesmiddel	medicamento	medicine
genegeerd	ignorado	ignored
genen	genes	genes
generaal	general	general
general	general	general
generatie	generacion	generation
generaties	generaciones	generations
generation	generacion	generation
genereren	para generar	generate
genesis	génesis	genesis
genetisch	genéticamente	genetically
genetische	genético	genetic
genezen	curar	cure
genezing	curación	cure
genie	genio	genius
geniet	disfrutar	enjoys
genieten	disfrutar	enjoy
genocide	genocidio	genocide
genoeg	suficiente	enough
genoemd	mencionado	called
genoemde	nombrada	mentioned
genomen	tomado	taken
genomineerd	nominado	nominated
genoodzaakt	necesario	forced
genoom	genoma	genome
genoomtype	tipo de genoma	genome type
genoot	disfrutado	delight
genootschap	sociedad	academy
genot	placer	enjoy
genoteerd	célebre	logged
genre	género	genre
genres	géneros	genres
gent	gante	gent
gentse	gante	ghent
genua	génova	genua
genève	ginebra	geneva
geografie	geografía	geography
geografisch	geográficamente	estimated
geografische	geográfico	geographical
geologie	geología	geology
geologisch	geológico	geological
geologische	geológico	geolical
geopenbaard	revelado	reveal
geopend	abrió	open / opened
georg	georg	georg (sjors)
georganiseerd	organizado	organised
georganiseerde	organizado	organized
georges	georges	georges
georgia	georgia	georgia
georgië	georgia	georgie - proper noun - country
georiënteerde	orientado	orientated
gepaard	emparejado	paired / coupled
geplaatst	metido	placed
gepland	planificado	planned
geplande	planificado	scheduled
gepleegd	comprometido	committed
gepresenteerd	presentado	presented
geprezen	alabado	admired
geprobeerd	intentó	tried
geproduceerd	producido	produced
geproduceerde	producido	produced
gepubliceerd	publicado	published
geraakt	golpear	hit
gerangschikt	arreglado	ranked
gerard	gerard	gerard
gerealiseerd	dio cuenta	realised
gerecht	plato	dish
gerechten	platos	dish
gerechtshof	corte de justicia	court
gered	salvado	saved
gereden	impulsado	driven
gereed	listo	ready
gereformeerde	reformado	calvinist
geregeerd	gobernado	governed
geregeld	regularmente	regularly
geregisseerd	dirigido	directed
geregistreerd	registrado	registered
gerekend	calculado	counted
gerelateerd	relacionado	related
gerelateerde	relacionado	related
gericht	enfocado	focused
gerichte	dirigido	oriented
gering	menor	small
geringe	menor	low
germaanse	germánico	german
germanen	alemanes	germans
geroepen	llamado	called
gerrit	gerrit	gerry
gerst	cebada	barley
gerucht	rumor	rumour
geruchten	rumores	rumors
geruime	bastante	some
geschapen	creado	created
geschat	estimado	estimated
gescheiden	divorciado	separated
geschiedenis	historia	history
geschiedschrijving	historiografía	historiography
geschiedt	sucede	happens
geschikt	ajuste	suitable
geschikte	adecuado	adequate
geschilderd	pintado	painted
geschonken	donado	been given / poured
geschoten	disparo	shot
geschoven	empujado	pushed
geschreven	escrito	written
gescoord	anotado	scored
gesigneerd	firmado	signed
gesitueerd	situado	situated
geslaagd	exitoso	successful
geslaagde	exitoso	successful
geslacht	sexo	butchered
geslachten	géneros	sexes
geslachtsdelen	genitales	genitals
geslachtsgemeenschap	relaciones sexuales	intercourse
geslachtsorganen	genitales	genitals
geslagen	vencido	defeated
gesloopt	desguazado	demolished
gesloten	cerrado	closed
gespannen	tiempo	tensed
gespecialiseerd	especializado	specialised
gespecialiseerde	especializado	specialised
gespeculeerd	especulado	speculated
gespeeld	jugó	played
gesplitst	división	seperated
gesprek	conversacion	conversation
gesprekken	conversaciones	conversations
gesproken	hablado	spoken
gestaag	continuamente	steadily
gestaan	destacado	assisted
gestart	empezado	started
gesteente	rock	rock
gestegen	aumentado	rised
gesteld	preguntó	made
gestelde	preguntó	set
gestemd	votado	voted
gesteund	soportado	supported
gesticht	fundado	founded
gestimuleerd	estimulado	roused
gestoken	apuñalado	stabbed
gestolen	robado	stolen
gestopt	detenido	ceased
gestorven	murió	died
gestreden	luchado	fought
gesuggereerd	sugirió	suggested
get	obtener	get
getal	número	number
getallen	números	figures
getekend	firmado	signed
getest	probado	tested
getiteld	noble	titled
getoond	mostrado	shown
getracht	intentó	attempted
getransporteerd	transportado	transported
getroffen	afectado	affected
getrokken	dibujado	moved to
getrouwd	casado	married
getuige	testigo	witness
getuigen	testigos	witnesses
geuit	expresado	expressed
geur	olor	scent
geuren	huele	scents
geuzen	mendigos	beggar
gevaar	peligro	danger
gevaarlijk	peligroso	dangerous
gevaarlijke	peligroso	dangerous
geval	caso	case
gevallen	casos	cases
gevangen	atrapado	captured
gevangene	prisionero	prisoner
gevangenen	prisioneros	prisoners
gevangengenomen	capturado	taken prisoner
gevangenis	cárcel	prison
gevangenisstraf	prisión	jail time/ detention
gevangenschap	cautiverio	imprisonment
gevaren	amenazas	hazards
gevarieerd	variado	varied
gevecht	lucha	the fighting
gevechten	peleas	fights
geven	dar	give
gevestigd	situado	set
gevestigde	establecido	established
gevierd	celebrado	celebrated
gevoed	alimentado	fed
gevoel	sensación	feeling
gevoelens	sentimientos	feelings
gevoelig	sensible	sensitive
gevoelige	sensible	sensitive
gevoeligheid	sensibilidad	sensitivity
gevoerd	forrado	conducted
gevolg	consecuencia	consequence
gevolgd	seguido	followed
gevolge	como resultado	result
gevolgen	efectos	effects
gevonden	lo encontré	found
gevormd	formado	formed
gevormde	formado	formed
gevraagd	preguntó	was asked
gevuld	rellenado	filled
gewaardeerd	apreciado	rated
gewapend	armado	armed
gewapende	armado	armed
gewassen	cultivos	crops
geweest	estado	been
geweigerd	rechazado	refused
geweld	violencia	violence
gewelddadige	violento	violent
gewend	acostumbrado a	used to
gewenst	deseable	desirable
gewenste	deseado	desired
gewerkt	trabajó	worked
gewest	región	province
gewesten	regiones	districts
geweten	conciencia	conscience
gewezen	señaló	pointed
gewicht	peso	weight
gewijd	dedicado	devoted
gewijzigd	cambiado	changed
gewond	lesionado	injured
gewone	ordinario	ordinary
gewonnen	won	won
gewoon	sólo	ordinairy
gewoonlijk	generalmente	usually
gewoonte	hábito	habit
geworden	volverse	become
gewricht	articulación	joint
gewrichten	articulaciones	joints
gezag	autoridad	the order
gezamenlijk	conjuntamente	joint
gezamenlijke	articulación	joint
gezegd	dijo	said
gezelschap	partido	company
gezet	poner	placed
gezeten	sentado	been
gezicht	cara	face
gezichten	caras	faces
gezien	visto	seen
gezin	familia	family
gezinnen	familias	families
gezocht	querido	sought
gezond	saludable	healthy
gezonde	saludable	healthy
gezondheid	salud	health
gezondheidszorg	cuidado de la salud	health care
gezongen	cantado	sang
gezorgd	cuidado	resulted
geëxecuteerd	ejecutado	executed
geëxploiteerd	operado	exploited
geïdentificeerd	identificado	identified
geïndustrialiseerde	industrializado	industrialized
geïnfecteerd	infectado	infected
geïnspireerd	inspirado	inspired
geïnstalleerd	instalado	installed
geïntegreerd	integrado	integrated
geïnteresseerd	interesado	interested
geïnterpreteerd	interpretado	interpreted
geïntroduceerd	introducido	introduced
geïsoleerd	aislado	isolated
geïsoleerde	aislado	isolated
ghana	ghana	ghana
gibbs	gibbs	gibbs
gids	guía	guide
gif	veneno	venom
giftanden	colmillos	poison fangs
giftig	tóxico	toxic
giftige	venenoso	poisonous
gigantische	gigantesco	gigantic
gij	tú	you
gilbert	gilbert	gilbert
gilmour	gilmour	gilmour
ging	fuimos	went
gingen	solía ir	went
giorgio	giorgio	giorgio
giovanni	giovanni	giovanni
girl	niña	girl
girls	muchachas	meisjes
gisting	fermentación	fermentation
gitaar	guitarra	guitar
gitaren	guitarras	guitars
gitarist	guitarrista	guitarist
gizeh	giza	gizeh
gladde	suave	smooth
glas	vaso	glass
glasgow	glasgow	glasgow
glazen	lentes	glass / glasses
gletsjers	glaciares	glacier
global	global	global
gloeilamp	bombilla	bulb
gloeilampen	bombillas	glow lamps
gloria	gloria	gloria
glucose	glucosa	glucose
go	vamos	go
goal	objetivo	goal
god	dios	god
goddelijke	adivinar	divine
goden	dioses	gods
godheid	deidad	deity
godin	diosa	godess
godinnen	diosas	goddesses
gods	dioses	god's
godsdienst	religión	religion
godsdiensten	religiones	religions
godsdienstige	religioso	religious
godsdienstvrijheid	libertad religiosa	freedom of religion
goed	bueno	good - 1st sentence, well - 2nd and 3rd sentence.
goede	bueno	good
goederen	bienes	goods
goedgekeurd	aprobado	approved
goedkeuren	aprobar	approval
goedkeuring	aprobación	approval
goedkoop	barato	cheap
goedkope	barato	cheap
goedkoper	más barato	cheaper
goes	va	goed
gogh	gogh	gogh
going	yendo	going
gold	oro	was
golden	dorado	golden
golf	golf	wave
golflengte	longitud de onda	wavelength
golven	olas	golves,
gone	ido	gone
google	google	google (proper noun)
gooien	lanzar	throwing
gorbatsjov	gorbachev	gorbachev
gordon	gordon	gordon
gossip	chisme	gossip
got	tiene	got
gotiek	gótico	gothic
gotische	gótico	gothic
goud	oro	golden
gouda	gouda	gouda
gouden	dorado	golden
gouverneur	gobernador	governor
gouverneurgeneraal	gobernador general	governor-general
gouverneurs	gobernadores	governors
graad	la licenciatura	degree
graaf	contar	count
graafschap	condado	county
graafschappen	condados	counties
graag	con alegría	willingly
graan	grano	grain
grace	gracia	grace
gracht	canal	canal
grachten	canales	canals
graden	grados	degrees
graf	tumba	grave
graffiti	pintada	graffiti
grafiek	gráfico	grafic
grafische	gráfico	grafic
grammatica	gramática	grammar
grammy	grammy	grammy
gran	gran	gran
granada	granada	granada
grand	grandioso	grand
grande	grande	grande
grant	conceder	grant - proper noun - surname
gras	césped	grass
grassen	pastos	grasses
gratis	gratis	free
graven	cavar	dig
gray	gris	gray
great	excelente	great
greater	mayor	greater
greatest	mayor	beste
green	verde	green
greep	apretón	grip
grens	frontera	border
grensgebied	área fronteriza	borderarea
grenst	fronteras	borders
grenzen	límites	borders
gretchen	gretchen	gretchen
gridlijn	cuadricula	grid line
grieken	griegos	greeks
griekenland	grecia	greece
grieks	griego	greek
griekse	griego	greek
griep	gripe	flu
grijpen	agarrar	grab
grijs	gris	grey
grijze	gris	gray
groei	crecimiento	growth
groeide	creció	grew
groeiden	creció	grew
groeien	crecer	grow
groeiende	creciente	growing
groeit	crece	increases
groen	verde	green
groene	verde	green
groenland	groenlandia	greenland
groenlinks	izquierda verde	groenlinks
groenten	vegetales	vegetables
groep	grupo	group
groepen	grupos	groups
groepering	grupo	group
groeperingen	agrupaciones	groups
groepsfase	etapa grupal	groupfase
grofweg	aproximadamente	rudely
grond	suelo	ground
gronden	jardines	grounds
grondgebied	territorio	territory
grondig	completo	thoroughly
grondlegger	fundador	founder
grondslag	base	foundation
grondstoffen	materias primas	ground stiffen
grondwet	constitución	constitution
groningen	groningen	groningen
groninger	groninger	groningen
groot	grande	large
grootbrittannië	bretaña	great britain
groothertog	gran duque	groothertog
grootmachten	superpoderes	superpowers
grootmeester	gran maestro	maestro
grootmoeder	abuela	grandmother
groots	grandioso	great
grootschalige	gran escala	large scale
grootse	grandioso	biggest
grootst	mayor	most
grootste	mas grande	biggest
grootte	talla	size
grootvader	abuelo	grandfather
grot	cueva	cave
grote	excelente	large
grotendeels	en la mayor parte	mainly
groter	mas alto	larger
grotere	uno más grande	bigger
grotten	cuevas	caves
grove	bruto	gross
gruzielement	horrocrux	horcrux
gta	gta	gta
gti	gti	gti
gtst	cebada	gtst
guatemala	guatemala	guatemala
guevara	guevara	guevara
guggenheim	guggenheim	guggenheim
guido	guido	guido
guild	gremio	guild
gulden	florín	guilder
guns	pistolas	guns
gunste	favor	favor
gunstig	favorable	favourable
gunstige	favorable	favourable
gustav	gustav	gustav
gustave	gustave	gustave
guus	guus	guus
guy	chico	guy (proper noun - first name)
guyana	guayana	guyana
gyatso	gyatso	gyatso
gymnasium	gimnasio	gymnasium
güell	güell	guell
h	h	h
haag	cobertura	hague
haagse	la haya	haagse - proper noun
haai	tiburón	shark
haaien	tiburones	sharks
haakjes	soportes	pleats, parentheses
haalde	traído	took
haalden	traído	made
haalt	busca	makes
haan	gallo	cock
haar	su	her
haarlem	haarlem	haarlem
haarlemmermeer	haarlemmermeer	haarlemmermeer
haarlemse	haarlem	harlem
haat	odio	hatred
habsburgers	habsburgs	habsburgers
habsburgse	habsburg	habsburg
had	tenido	had
hadden	tenido	had
hadith	hadiz	hadith
hadrianus	hadrian	hadrianus
hagedissen	lagartos	lizards
halen	consíguelo	persuade, get
haley	haley	haley
half	medio	half
halfbloed	mestizo	mestizo
halfrond	hemisferio	hemisphere
hall	salón	hall
halloween	víspera de todos los santos	halloween
hallucinaties	alucinaciones	hallucinations
hals	cuello	hals
halve	medio	half
halverwege	a mitad de camino	halfway
hamas	hamás	hamas
hamburg	hamburgo	hamborg
hamilton	hamilton	hamilton
hammond	hammond	hammond
hand	mano	hand
handboek	manual	handbook (1st sentence), reference guide (2nd and 5th sentence)
handel	comercio	commerce
handelaren	comerciantes	traders
handelen	intercambiar	bin
handeling	actuar	action
handelingen	comportamiento	operations
handen	manos	hands
handhaven	mantener	maintain
handicap	discapacidad física	handicap
handig	útil	skilful
handvest	carta	charter
hangbrug	puente colgante	hanging bridge
hangen	colgar	to hang
hangt	depende	depends
hannah	hannah	hannah
hannibal	hannibal	hannibal
hans	hans	hans
hanteert	manejas	handles
hanteren	encargarse de	handle
happy	contento	happy
harbor	puerto	harbor
hard	difícil	hard
harde	difícil	hard
harder	más fuerte	louder
haren	cabello	hair
hari	hari	day
harmonie	armonía	harmony
harold	harold	harold
harris	harris	harris
harrison	harrison	harrison
harry	harry	harry
hart	corazón	heart
hartaanval	infarto de miocardio	heart attack
