$	ps	dollar
ibrahima	ibrahima	ibrahim
ibrica	ibrica	ibrica
ibuprofen	ibuprofeno	ibuprophen
ibuprofena	ibuprofeno	ibuprofen
ide	va	go
idealno	ideal	ideal
ideja	idea	idea
ideje	ideas	ideas
ideji	ideas	idea
ideju	idea	idea
identitet	identidad	identity
identiteta	identidad	identity
ideologija	ideología	ideology
ideologije	ideología	ideology
idiom	idioma	idiom
idu	yo voy	go
if	si	if
igara	juegos	games
igor	igor	igor
igra	juego	game
igraju	juegan	play
igrala	jugó	played
igrali	jugó	played
igrama	juegos	games
igrao	jugó	played
igrati	jugar	play
igrač	jugador	player
igrača	jugadores	player
igrače	juguetes	players
igrači	jugadores	players
igračima	jugadores	players
igračke	juguetes	toys
igre	juegos	games
igri	juegos	game
igru	juego	game
ih	ellos	them
ii	ii	i
iii	iii	iii
iili	o	and/or
ijekavskog	ijekavian	ijekavian
ikad	nunca	ever
ikada	nunca	ever
ikakve	alguna	none
ikakvih	alguna	any
ikru	caviar	spawn
ili	o	or
ilidža	ilidža	ilidza
ilija	o yo	ilija
ilijada	iliad	iliad
ilijaš	ilijaš	ilijas
ilira	ilira	illyrian
iliri	ilirios	illyrians
ilirska	iliria	illyrian
ilirske	iliria	illyrian
ilirski	iliria	illyrian
ilirskih	iliria	illyrian
ilirskim	iliria	illirian
ilirsko	iliria	illyrian
ilirskog	iliria	illyrian
im	estoy	them
ima	ahi esta	has
imaju	ellos tienen	have
imajući	teniendo	having
imala	tenido	had
imale	tenido	had
imali	tenido	had
imalo	tenido	had
imam	yo tengo	imam
imama	yo tengo	imam
imamo	tenemos	we have
imamović	imamovic	imamović   (last name)
imao	tenido	had
imati	tener	have
ime	nombre	name
imena	nombres	names
imenice	sustantivos	nouns
imenima	nombres	names
imenom	por nombre	name
imenovan	fijado	named
imenu	nombre	name
imenuje	nombra	nominate
imovine	propiedad	property
imperija	imperio	empire
imperije	imperio	empire
inače	de otra manera	usually
indexa	índice	index
indexi	índices	indexi
indija	india	india
indije	india	india
indiji	india	india
indijski	indio	indian
indirektno	indirectamente	indirect
indoevropski	indoeuropeo	indoeuopean
indonezija	indonesia	indonesia
indonezije	indonesia	indonesia
indukcija	inducción	induction
industrija	industria	industry
industrije	industria	industry
industriji	industria	industry
industrijom	industria	industry
industrijska	industrial	industrial
industrijske	industrial	industrial
industrijski	industrial	industrial
industrijskih	industrial	industrial
industrijskim	industrial	industrial
industrijsko	industrial	industrial
industriju	industria	industry
inercija	inercia	inertion
infekcije	infecciones	infections
informacija	información	information
informacije	información	informations
informatika	ciencias de la computación	informatics
informativni	informativo	informative
infrastruktura	infraestructura	infrastructure
inhibira	inhibe	inhibited
inka	inca	inca
inostranstvu	extranjero	abroad
inovacija	innovación	inovation
insekata	insectos	insects
instalacije	instalaciones	installation
institucija	institución	institution
institucije	instituciones	institution
institut	instituto	institute
instrukcija	instrucción	instruction
instrukcije	instrucciones	instruction
instrument	instrumento	instrument
insuficijencija	insuficiencia	failure
inteligencija	inteligencia	intelligence
inteligencije	inteligencia	intelligence
intenzivno	intensamente	intensive
interakcije	interacciones	interaction
interes	interesar	interests
interesa	interesar	interest
interesantno	interesante	interesting
interese	interesar	interests
interesu	interesar	interest
interfejs	interfaz	interface
interfejsa	interfaz	interface
internacionalna	internacional	international
internacionalni	internacional	international
internet	internet	internet
interneta	internet	internet
internetu	la internet	(to) internet
interpolacija	interpolación	interpolation
interpretaciji	interpretación	interpretation
intervencija	intervención	intervention
intervenciju	intervención	intervention
intervju	entrevista	interview
intoksikacija	intoxicación	intoxication
invazije	invasión	invasion
investicija	inversión	investitions
inženjering	ingenieria	engineering
inženjerstvo	ingenieria	engineering
iona	ion	ion
ip	ip	internet protocol
ipak	aunque	still
iq	iq	iq
iraku	irak	iraq
iran	iran	iran
irana	iran	iran
irc	irc	irc
iridijum	iridio	iridium
irska	irlanda	irish
irske	irlandesa	irish
irskoj	irlanda	irish
isa	es un	isa
isabeg	isabeg	isa-beg,first name,turkish origin
isabega	isabega	isa-bega
isaković	isaković	isakovic
isbn	isbn	isbn
ishaković	ishakovic	ishakovic
ishakovića	ishakovic	ishaković
ishod	salir	outcome
ishrani	dieta	nutrition
isključivo	exclusivamente	exclusively
iskoristio	usado	used
iskoristiti	aprovechar	use
iskorištava	hazañas	exploiting
iskustva	experiencias	experiences
iskustvo	experiencia	experiance
iskustvu	experiencia	experience
islam	islam	islam
islama	islam	islam
islamović	islamović	islamovic
islamska	islámico	islamic
islamske	islámico	islamic
islamski	islámico	islamic
islamskih	islámico	islamic
islamskim	islámico	islamic
islamskog	islámico	islamic
islamskoj	islámico	islamic
islamu	islam	islam
island	isla	island
ismet	se cumple	ismet
iso	yo asi	iso
ispitivanja	pruebas	tests
ispitivanje	examen	interrogation
ispod	abajo	below
ispravan	correcto	right
ispravno	correctamente	correct
ispred	al frente	in front
isprobavanje	pruebas	trial
isprva	primero	first
ispuni	llenar	perform
ispunjava	satisface	fulfills
ispunjen	cumplido	fulfilled
israel	israel	israel
ista	lo mismo	same
istaknuti	señalar	distinguish
istanbul	estanbul	istanbul
istanbulu	estambul	istanbul
iste	lo mismo	the same
istezanje	extensión	strain
isti	lo mismo	same
istih	lo mismo	same
istim	lo mismo	same
istina	la verdad	truth
istine	verdad	truth
ističe	expira	stands out
ističu	destacar	stand out
isto	lo mismo	same
istog	lo mismo	same
istoimene	del mismo nombre	he concluded
istoj	lo mismo	same
istok	este	east
istoka	este	east
istom	lo mismo	the same
istorija	historia	history
istovremeno	al mismo tiempo	at the same time
istočna	oriental	east
istočne	oriental	east
istočni	oriental	east
istočnih	oriental	eastern
istočnim	oriental	eastern
istočno	este	east
istočnog	oriental	east
istočnoj	oriental	east
istočnom	oriental	east
istočnu	oriental	east
istraživanja	investigación	researches
istraživanje	investigación	researching
istraživanjima	investigación	research
istraživač	explorador	researcher
istraživači	investigadores	explorers
istu	lo mismo	same
isus	jesús	isus
isusa	jesús	jesus
it	eso	it
italija	italia	italy
italijani	italianos	italians
italijanski	italiano	italian
italije	italia	italy
italiji	italia	italy
italijom	italia	italy
italiju	italia	italy
itd	etc.	etc
iv	iv	fourth century
iva	iva	iva
ivan	ivan	ivan
ivana	ivana	ivana
ive	he	ivo
ivica	borde	ivica
ivo	ivo	ivo
ix	ix	ix
iz	de	from
iza	detrás	behind
izabran	elegido	chosen
izabrana	seleccionado	chosen
izabrane	seleccionado	chosen
izabrani	elegido	chosen
izaziva	provoca	implies
izazove	desafíos	challenges
izazvala	provocado	caused
izazvalo	causado	caused
izazvao	provocado	caused
izazvati	provocar	provoke
izašao	salió	went out
izašla	salió	left
izbačen	expulsado	offcast
izbijanja	brotes	breakthrough
izbio	estalló	broke out
izbjeglica	refugiados	refugee
izbjeglice	refugiados	refugees
izbor	elección	choice
izbora	de elección	elections
izbore	elecciones	elections
izbori	elecciones	elections
izborima	elecciones	elections
izdaje	traición	publishes
izdaju	traicionar	betrayal
izdanja	ediciones	editions
izdanje	edición	edition
izdanju	edición	release
izdao	emitido	released
izdat	emitido	issued
izdata	emitido	published
izdavanja	emisión	publishing
izdavač	editor	publisher
izdvaja	señala a	separates
izdvajaju	destacar	stand out
izdvojiti	para destacar	set aside
izet	izet	izet
izetbegović	izetbegović	izetbegovic
izgled	apariencia	appearance
izgleda	parece	look
izgovara	pronuncia	pronounced
izgovor	excusa	excuse
izgovora	excusa	pronunciation
izgradio	construido	built
izgradnja	construcción	building
izgradnje	construcción	building
izgradnji	construcción	construction
izgradnjom	construcción	building
izgradnju	construcción	building
izgrađen	construido	built
izgrađena	construido	built
izgrađene	construido	built
izgrađeni	construido	were built
izgrađenih	construido	built
izgrađuje	construye	building
izgubila	perdió	lost
izgubili	perdió	lost
izgubio	perdió	lost
izgubiti	perder	to lose
izjavio	fijado	said
izjašnjavaju	declarar	declare
izlaska	salida	coming-out
izlasku	salir	leaving
izlaz	salida	exit
izlaza	salida	output
izlazak	salir	exit
izlaze	salga	published
izlazi	salidas	emerge
izletišta	áreas de picnic	picnic areas
izletište	área de picnic	outing
izložbe	exposiciones	exibitions
izloženi	expuesto	exposed
izlučivanje	excreción	excreation
izlučuje	excreta	excreted
izmedju	entre	between
izmedu	entre	between
izmet	heces	feces
između	entre	between
izmjena	cambio	change
izmjene	cambios	modifications
izmjerena	medido	measured
iznad	encima	above
iznimno	excepcionalmente	extremely
iznos	cantidad	amount
iznose	cantidades	amounts
iznosi	cantidades	amounts
iznosio	llevado a cabo	amounted
iznosu	cantidad	amount
izomeraza	isomerasa	isomerases
izrade	haciendo	development
izradu	haciendo	development
izrael	israel	israel
izraela	israel	israel
izravno	directamente	directly
izraz	expresión	expression
izraza	expresión	expressions
izrazi	expresiones	termns
izraziti	para expresar	express
izrazito	distintivamente	very
izračunavanje	cálculo	calculation
izražaja	expresión	expression
izražava	expresa	expresses
izražen	expresado	expose
izražena	expresado	researched
izražene	expresado	expressed
izričito	explícitamente	expressly
izuzetak	excepción	exceptions
izuzetne	excepcional	extraordinary
izuzetno	excepcional	exceptionally
izuzev	excepto	except
izučava	estudios	study
izučavaju	estudian	study
izučavanje	estudiar	studying
izvan	fuera de	out of
izvanredne	extraordinario	extraordinary
izvedbe	actuación	performance
izveden	sacado	derived
izvedena	realizado	performed
izvedeni	derivado	executed
izveli	realizado	performed
izvesti	eliminar	perform
izvire	muelles	springs
izvještaj	reporte	report
izvještaju	reporte	report
izvlačenje	dibujo	extraction
izvode	realizar	performe
izvodi	derivados	derivates
izvodili	realizado	performed
izvor	fuente	source
izvora	fuentes	sources
izvore	fuentes	sources
izvori	fuentes	sources
izvorima	fuentes	sources
izvorni	original	origin
izvorno	originalmente	originally
izvoz	exportar	export
izvoze	exportaciones	export
izvoznik	exportador	exporter
izvozu	exportar	export
izvođač	contratista	performer
izvođača	intérpretes	contractors
izvođači	intérpretes	performers
izvođenja	actuación	perform
izvođenje	actuación	performance
izvršava	ejecuta	executes
izvršavanja	ejecución	expresion
izvršavanje	ejecución	implementation
izvršavati	ejecutar	execute
izvršen	ejecutado	executed
izvršenje	ejecución	execution
izvrši	ejecutar	execute
izvršila	ejecutado	executed
izvršio	comprometido	do
izvršiti	ejecutar	commit
izvršna	ejecutivo	executive
izvršnu	ejecutivo	executive
ići	ir	go
išao	fuimos	go
išla	fuimos	went
ja	si	i
jablanica	árbol de manzana	jablanica
jabuka	manzana	apple
jabuke	manzanas	apples
jackson	jackson	jackson
jacques	jacques	jacques,first name,french origin
jaden	pobre	jaden
jadrana	el adriático	adriatic
jadransko	adriático	adriatic
jadranskog	adriático	adriatic
jagoda	fresa	strawberry
jagode	fresas	strawberries
jahić	jinete	jahic
jaja	huevos	eggs
jajca	huevos	jajce (town in bosnia, jajce = egg)
jajce	huevo	jajce (place, otherwise jajce=egg)
jajcu	huevo	jajce
jajna	huevos	ovary
jajne	huevos	egg
jajnici	ovarios	ovaries
jajnika	ovarios	ovary
jajovod	trompa de falopio	oviduct
jajovoda	trompas de falopio	oviduct
jak	como	strong
jaka	fuerte	strong
jake	fuerte	strong
jakih	fuerte	strong
jakim	fuerte	strong
jako	como	very
jakog	fuerte	strong
jakov	jakov	james
jakova	jakov	jacob
james	james	james
jane	jane	jane
janja	cordero	janja
janković	јанковић	jankovic
januar	enero	january
januara	enero	january
januaru	enero	january
japan	japón	japan
japana	japón	japan
japanski	japonés	japanese
japanu	japón	japan
jasna	claro	jasna
jasno	claro	clearly
java	java	java
javi	llamada	java
javiti	reporte	occur
javlja	informes	occurs
javljaju	ellos reportan	occur
javna	público	public
javne	público	public
javni	público	public
javnih	público	public
javno	público	public
javnog	público	public
javnom	público	public
javnost	el público	public
javnosti	el público	public
jazz	jazz	jazz
jača	más fuerte	stronger
jače	más fuerte	stronger
jači	más fuerte	stronger
jačina	fuerza	strength
jd	jd	jd - jerome david sallinger
je	es	is
jean	vaquero	jean
jedan	uno	one of
jedina	solamente	only
jedine	los únicos	only
jedini	el único	only
jedinica	unidad	units
jedinicama	unidades	units
jedinice	unidades	unit
jedinici	unidad	units
jedinjenja	compuestos	compounds
jedinki	individuos	units
jedino	solamente	only
jedinstva	unidad	unity
jedinstven	único	unique
jedinstvena	único	unique
jedinstveni	único	unique
jedinstveno	único	unique
jedinstvenog	único	unique
jedinstvenu	único	only
jedinstvo	unidad	unity
jedinu	el único	only
jedna	uno	one of
jednak	igual	identical
jednaka	igual	equal
jednake	igual	equal
jednaki	igual	equal
jednako	igualmente	equally
jednakost	igualdad	eqaulity
jednakosti	igualdad	equality
jednačina	ecuación	equation
jedne	uno	one
jedni	uno	one
jednim	uno	one of
jedno	uno	only
jednog	uno	one
jednoj	uno	one
jednom	una vez	once
jednostavan	sencillo	simple
jednostavna	sencillo	simple
jednostavne	sencillo	simple
jednostavni	sencillo	simple
jednostavnije	más simple	simply
jednostavno	simplemente	simple
jednu	uno	one
jedu	ellos comen	eat
jedva	apenas	barely
jela	platos	fir
jelena	ciervo	jelena
jer	porque	because
jesen	otoño	autumn
jeseni	otoño	autumn
jesenjin	otoño	jesenjin
jest	es	is
jeste	es	is
jesti	comer	eat
jesu	son	are
jetra	hígado	liver
jetre	hígado	liver
jevreja	judios	jews
jevreji	judios	jews
jevrejska	judío	jewish
jevrejskog	judío	jewish
jezera	lagos	lakes
jezero	lago	lake
jezgra	núcleo	core
jezgro	núcleo	core
jezici	idiomas	languages
jezicima	idiomas	languages
jezik	idioma	language
jezika	idioma	language
jezike	idiomas	languages
jezikom	idioma	language
jeziku	idioma	language
jezičke	pestañas	linguistic
jezički	lingüísticamente	linguistic
jezične	lingüístico	linguistic
jezični	lingüístico	linguistic
ječam	cebada	barley
jna	jna	jna
johann	johann	johann
john	juan	john
johna	johna	john
joj	ay	her
jordan	jordán	jordan
jorgovan	lila	heather
jos	más	even
josef	josef	joseph
joseph	joseph	joseph
josip	josip	josip
josipa	josipa	josip
jovan	jovan	jovan
još	más	still
ju	ju	it
juan	yuan	juan
judaizam	judaísmo	judaism
jug	sur	south
juga	sur	south
jugoistoku	sureste	south-east
jugoistočne	del sudeste	southeastern
jugoistočnoj	del sudeste	southeast
jugoistočnom	del sudeste	southeast
jugoslaveni	yugoslavos	yugoslovenians
jugoslavenske	yugoslavo	yugoslav
jugoslavenskih	yugoslavo	yugoslav
jugoslavija	yugoslavia	yugoslavia
jugoslavije	yugoslavia	yugoslavia
jugoslaviji	yugoslavia	yugoslavia
jugoslaviju	yugoslavia	yugoslavia
jugoslovenske	yugoslavo	jugoslavian
jugoton	jugoton	records
jugozapadnom	sur oeste	southwest
jugozapadu	sur oeste	southwest
jugu	sur	south
jula	julio	july
juli	julio	july
julija	julio	julia
julije	julio	julius
julska	julio	july
julu	julio	july
juna	junio	june
junak	héroe	hero
junaka	héroes	heroe
juni	junio	june
junu	junio	june
jure	jure	jure
jusić	jusic	jusic
jutro	mañana	jutro
južna	del sur	southern
južne	del sur	south
južni	del sur	southern
južnih	del sur	southern
južnim	del sur	southern
južnjaci	sureños	southerners
južno	sur	southern
južnog	del sur	southern
južnoj	del sur	southern
južnom	del sur	southern
južnu	sur	southern
k	k	k
ka	ka	to
kabe	kabe	kaaba
kabriolet	convertible	convertible
kad	cuando	when
kada	cuando	when
kadija	kadija	judge
kadiluk	kadiluk	kadiluk
kadmijum	cadmio	cadmium
kadr	cuadro	qadr
kajsija	albaricoque	apricot
kakanj	kakanj	kakanj
kakav	que tipo	as
kako	cómo	how
kakva	qué	what kind
kakve	qué	what kind
kakvi	qué	like
kakvo	qué	what kind
kakvu	qué	what kind
kalaj	estaño	kalaj
kalcijum	calcio	calcium
kalcijuma	calcio	calcium
kalendar	calendario	calendar
kalendara	calendario	calendar
kalendaru	calendario	calendar
kalesija	kalesija	kalesija
kalesije	kalesije	kalesija (town)
kalinovik	kalinovik	kalinovik
kalorija	calorías	calorie
kamen	roca	stone
kamena	roca	stone
kamengrad	kamengrad	stone town
kameni	piedras	stone
kamenih	roca	stone
kamenim	roca	stone
kamenje	piedras	stones
kamenog	de piedra	stone
kamenom	roca	stone
kamenčića	guijarros	pebbles
kamenčiće	guijarros	stones
kanada	canadá	canada
kanade	canadá	canada
kanadi	canadá	canada
kanadu	canadá	canada
kanal	canal	canal
kanala	canal	canal
kanali	canales	channels
kanalima	canales	channels
kant	kant	kant
kanton	cantón	canton
kantona	cantón	cantons
kantonu	cantón	cantons
kao	como	as
kapacitet	capacidad	capacity
kapaciteta	capacidad	capacity
kapaciteti	capacidades	capacities
kapetan	capitán	captain
kapetana	capitán	captain
kapija	portón	gate
kapital	capital	capital
kapitala	capital	property
kapiten	capitán	captain
karadžić	karadzic	karadzic
karajlić	karajlić	karajlic
karakter	personaje	character
karaktera	personaje	characters
karakteristika	característica	characteristic
karakteristikama	caracteristicas	characteristics
karakteristike	caracteristicas	characteristics
karakterističan	característica	characteristic
karakteristična	característica	characteristic
karakteristične	característica	characteristical
karakteristično	característica	characteristic
karakteriše	caracteriza	characterized by
karakterišu	caracterizar	characterize
karasi	karasi	crucian carp
karata	mapa	tickets
karate	kárate	karate
karbonat	carbonato	carbon
karcinom	cáncer	carcinoma
kardiogenog	cardiogénico	cardiogenic
karijera	carrera	career
karijere	carrera	career
karijeri	carrera	career
karijeru	carrera	career
karl	karl	carl
karla	karla	carla
karlo	karlo	karlo
karta	mapa	map
karte	mapas	maps
kartica	tarjeta	cards
kartice	tarjetas	cards
kartu	mapa	map
kasnih	últimamente	late
kasnije	luego	later
kasniji	luego	latter
kasnijih	luego	later
kasnijim	luego	later
kasnim	voy tarde	late
kasno	tarde	late
kasnom	tarde	late
kaspijskog	caspio	caspian
katarina	katarina	katharina
katarinom	katarinom	katarina
katedra	silla	department
katedrala	catedral	cathedral
kategorija	categoría	category
kategorijabiografije	categoría de biografía	category: biographies
kategorijabivše	categoría	category: former
kategorijabosanski	categoría bosnia	category bosnian
kategorijabosanskohercegovačka	categoría bosnia y herzegovina	category:bosnian-herzegovinian
kategorijabosanskohercegovačke	categoría de bosnia y herzegovina	category bosnian
kategorijabosanskohercegovački	categoría bosnia y herzegovina	category: bosnian-hercegovian
kategorijadržave	categoría del estado	category state
kategorijafilozofija	categoría filosofia	category philosophy
kategorijageografija	categoríageografía	category: geography
kategorijaginekologija	categoríaginecología	category gynecology
kategorijaglavni	categoría principal	category: main
kategorijagradovi	ciudades de categoría	category: cities
kategorijahemijski	categorychemical	category chemical
kategorijainternet	categoríainternet	category: internet
kategorijaislam	categoría islam	category islam
kategorijajezici	categoríalenguajes	category languages
kategorijaknjiževnost	categoríaliteratura	category:literature
kategorijaliteratura	categoría literatura	category: literature
kategorijama	categorías	categories
kategorijamedicina	categoría de medicina	category:  medicine
kategorijamediteranske	categorías del mediterráneo	category: mediterranean
kategorijamuškarac	categorista	category: male
kategorijanovi	categorizado	category: new
kategorijaopćine	categoría de municipio	categories of municipalities
kategorijaračunarstvo	categoríacomputación	category: computing
kategorijarijeke	palabras de categoría	category: rivers
kategorijasoftver	software de categorías	category: software
kategorijasrednjobosanski	categoríacentro bosnio	category:middle bosnian
kategorijaumjetnost	categoríaarte	category art
kategorijaunskosanski	categoryunskosanski	category: unsko-sanski
kategorijavoće	categoría de fruta	category fruit
kategorijačlanovi	categorymembers	category: members
kategorijaženski	categoría mujer	category: female
kategorije	categorías	categories
kategoriji	categoría	category
kategoriju	categoría	category
katherine	katherine	katherine
katkad	algunas veces	sometimes
katoda	cátodo	cathode
katolici	católicos	catholics
katolika	católico	catholics
katoličanstvo	catolicismo	catholicism
katolička	católico	catholic
katoličke	católico	catholic
katolički	católico	catholic
kavkaz	cáucaso	caucasus
kavkaza	cáucaso	caucasus
kazahstan	kazajstán	kazakhstan
kazahstana	kazajstán	kazakhstan
kazasi	kazasi	kazasi
kazna	castigo	penalty
kazne	castigos	penalties
kaznu	castigo	inprisonment
kaže	dice	said
kažemo	decimos	say
kažu	ellos dicen	say
kefir	kéfir	kefir
kemal	kemal	kemal
keramike	cerámica	cheramics
kernel	núcleo	kernel
kesovija	kesovija	kesovija
kihot	quijote	quijote
kilometara	kilómetros	kilometers
kina	china	china
kine	vacas	china
kineska	chino	chinese
kineski	chino	chinese
kineskog	chino	chinese
kini	china	china
kip	estatua	statue
kipar	escultor	cyprus
kipra	chipre	cyprus
kipru	chipre	cuprus
kirijum	kirium	cerium
kisela	agrio	sour
kiselina	ácido	acid
kiseline	ácidos	acids
kiselinu	ácido	acid
kiseljak	alazán	sorrel
kiseljaka	alazán	sorrel
kiseonik	oxígeno	oxygen
kiseonika	oxígeno	oxigene
kisik	oxígeno	oxygen
kisika	oxígeno	oxygen
kisikom	oxígeno	oxygen
kičmene	espinal	spinal
kičmenjaci	vertebrados	vertebrates
kičmenjaka	vertebrados	vertebrates
kiša	lluvia	rain
kiše	lluvia	rain
kk	kk	basketball club
kladuša	kladuša	kladuša
klanja	sacrificio	bows
klanjati	adorar	pray
klapa	klapa	gang
klasa	clase	class
klase	clase	classes
klasifikacija	clasificación	classification
klasična	clásico	classical
klasične	clásico	classical
klasični	clásico	classical
klasičnih	clásico	clasic
klasičnim	clásico	classical
klasičnog	clásico	classical
klasičnoj	clásico	classical
klasu	clase	classes
klavijature	teclados	keyboards
kleopatra	cleopatra	cleopatra,first name
klima	clima	climate
klimatologija	climatología	climatology
klimatske	climático	climate
klimatski	climático	climatic
klimatskim	climático	climatic
klime	clima	climate
klimu	clima	climate
klitoris	clítoris	clitoris
kljove	colmillos	fangs
ključ	llave	key
ključne	llave	crucial
ključni	llave	key
klub	club	club
kluba	club	club
klubova	clubs	clubs
klubovi	clubs	clubs
klubovima	clubs	clubs
klubu	club	club
km	km	km
knez	príncipe	lord
kneza	príncipe	prince
knjiga	libro	book
knjige	libros	books
knjigu	libro	book
knjizi	libro	book
književna	literario	literary
književne	literario	literary
književni	literario	literary
književnici	escritores	writers
književnik	escritor	writer
književnika	escritores	writers
književnim	literario	literary
književno	literario	literary
književnog	literario	literary
književnost	literatura	literature
književnosti	literatura	literature
ko	oms	who
koalicija	coalición	coalition
kocka	cubo	qube
kod	código	at
koda	código	code
kodu	código	code
kog	kog	whom
koga	cuando	whom
koja	cual	who
koje	cual	which
kojeg	cual	which
kojega	cual	which
kojem	a quien	which
kojemu	a quien	which
koji	cual	who
kojih	cual	which
kojim	cual	which
kojima	cual	whom
kojoj	cual	which
kojom	cual	which
koju	cual	which
koktel	cóctel	coctail
kola	coche	circuits
kolekcija	colección	collection
koliko	cuánto cuesta	how much
količina	cantidad	quantity
količinama	cantidades	quantities
količine	cantidades	quantities
količini	cantidad	quantity
količinom	cantidad	quantity
količinu	cantidad	amount
koljena	rodillas	knees
kolo	circulo	wheel
kolone	columnas	columns
kolonija	colonia	colony
kolonije	colonias	colonies
kolumbija	colombia	columbia
kom	pcs	whom
komandant	comandante	commander
komandanta	comandante	commander
komandom	mando	command
komandu	mando	command
kombinacija	combinación	combination
kome	a quien	whom
komedija	comedia	comedy
komedije	comedias	comedy
komensalizam	comensalismo	comensalism
komete	cometa	comets
komisija	comisión	comission
komisije	comisión	commission
komora	cámara	chamber
komore	cámaras	chambers
kompajler	compilador	compiler
kompanija	empresa	company
kompanije	compañías	companies
kompilacije	compilaciones	compilation
kompleks	complejo	complex
kompleksa	complejo	complex
kompleksne	complejo	complex
kompletna	completar	complete
komplikacija	complicación	complication
komponenata	componentes	components
komponente	componentes	components
komponenti	componentes	components
kompozicija	composición	composition
kompozicije	composiciones	composition
kompozitor	compositor	composer
kompozitora	compositor	composer
kompozitori	compositores	composers
komuniciranja	comunicación	communication
komuniciranje	comunicación	comunication
komunikacija	comunicación	communication
komunikacije	comunicaciones	communications
komunikaciju	comunicación	communication
komunista	comunista	communists
komunistička	comunista	communistic
komunističke	comunista	communist
komunizma	comunismo	communism
konami	konami	konami
konačan	final	ultimate
konačna	final	final
konačno	finalmente	finally
konačnom	final	final
konačnu	final	final
koncentracija	concentración	concentration
koncentracije	concentración	concentration
koncept	concepto	concept
koncerata	concierto	concerts
koncert	concierto	concert
koncerta	concierto	concerts
koncerte	conciertos	concert
koncerti	conciertos	concerts
koncertima	conciertos	concerts
koncertu	concierto	concert
konferenciji	conferencia	conference
kongres	congreso	congress
kongresa	congreso	congress
kongresu	congreso	congress
konj	caballo	horse
konja	caballo	horse
konji	caballos	horses
konjic	caballería	konjic
konjica	caballería	konjica
konstanta	constante	constant
konstante	constantes	contants
konstantin	constantina	konstantin
konstantno	constantemente	constantly
konstrukcije	construcciones	construction
kontakt	contacto	contact
kontaktu	contacto	contact
kontekstu	contexto	in a way
kontinenata	continentes	continents
kontinent	continente	continent
kontinenta	continente	continent
kontinentalna	continental	continental
kontinentalne	continental	continental
kontinentu	continente	continent
kontinuitet	continuidad	continuity
kontrast	contraste	contrast
kontrola	controlar	control
kontrole	controlar	control
kontroliše	control s	control
kontrolom	controlar	control
kontrolu	controlar	control
konvekcija	convección	convections
konvergencija	convergencia	convergence
konvergira	converge	converges
konzul	cónsul	consul
kopito	casco	hooves
koplja	lanzas	pikes
kopna	tierra	land
kopnene	tierra	land
kopnu	tierra	land
kora	ladrar	bark
koraci	pasos	steps
korak	paso	step
koreja	corea	korea
koridor	corredor	corridor
koridora	corredor	corridor
korijen	raíz	root
korijene	raíces	roots
korisnici	los usuarios	users
korisnicima	los usuarios	users
korisnik	usuario	user
korisnika	los usuarios	users
korisniku	al usuario	user
korist	beneficio	use
koriste	utilizar	use
koristeći	utilizando	using
koristi	usos	use
koristila	usado	used
koristile	usado	using
koristili	usado	used
koristimo	usamos	use
koristio	usado	used
koristiti	usar	use
korišten	usado	used
korištena	usado	used
korišteni	usado	used
korištenja	utilizar	usage
korištenje	uso	using
korištenjem	utilizando	use
korištenju	utilizar	use
kornjača	tortuga	turtle
kornjače	tortugas	turtle
korona	corona	corona
korozija	corrosión	corrosion
korozije	corrosión	corrosion
korpus	cuerpo	corpus
korpusa	cuerpo	corpus
kosa	cabello	hair
kosača	cortacésped	kosaca
kose	pelos	hair
kosinus	coseno	cosynus
kosova	kosovo	kosova
kosovo	kosovo	kosovo
kosovu	kosovo	kosovo
kost	hueso	bone
kosti	huesos	bones
kostiju	huesos	bones
kostur	esqueleto	skelet
kotline	cuencas	valley
kotromanić	kotromanić	kotromanic
kotromanića	kotromanića	kotromanić
kovač	herrero	kovach
kovačević	kovačević	kovacevic
koza	cabra	goat
kozara	kozara	kozara
kočić	clavija	kocic
koš	cesta	basket
koša	cesta	basket
košarci	baloncesto	basketball
košarka	baloncesto	basketball
košarkaš	jugador de baloncesto	basketball
košarkaška	baloncesto	basketball
košarkaški	baloncesto	basketball
košarke	baloncesto	basketball
košarku	baloncesto	basketball
koševo	cesta	kosevo
košu	cesta	basket
koža	cuero	skin
kože	cabras	skin
koјi	cual	which
kraj	final	end
kraja	el fin	end
krajem	en el final	end
krajeva	termina	regions
krajeve	termina	regions
krajevi	termina	regions
krajevima	termina	beside
krajina	paisaje	krajina
krajine	paisaje	krajine
krajini	paisaje	frontier
krajnjem	último	ending
krajnji	último	utmost
kraju	en el final	end
kralj	el rey	king
kralja	el rey	king
kraljem	el rey	king
kraljeva	de reyes	kings
kraljevi	reyes	kings
kraljevina	reino	kingdom
kraljevine	reinos	kingdom
kraljević	príncipe	kraljevic
kraljevića	príncipe	kraljevic
kraljevska	real	royal
kraljevske	real	royal
kraljevstva	reino	kingdom
kraljevstvo	reino	kingdom
kraljevstvu	reino	kingdom
kraljica	la reina	queen
kraljice	reina	queen
kraljicom	la reina	queen
kraljicu	la reina	queen
kralju	al rey	king
kratak	corto	short
kratka	corto	short
kratke	corto	short
kratki	corto	short
kratkim	corto	short
kratko	corto	short
kratkog	corto	short
kratkom	corto	short
krava	vaca	cow
kraće	corta	shorter
krenula	empezado	started
krenuli	partir	started
krenuo	partir	started
