$	dollar təşkil edib	dollars
الصخور	daşlar	the rocks
الصداقة	dostluq	friendship
الصدد	bağlantı	with relation to this
الصدر	sinə	chest
الصدري	toraks	pectoral
الصديق	dost	el-sedik
الصراع	münaqişə	the struggle
الصراعات	münaqişələr	conflect
الصرب	serblər	serbia
الصرف	mübadilə	sanitation
الصعب	sərt	difficult
الصعيد	yuxarı misir	saeed (name)
الصغار	balaca uşaqlar	the small
الصغر	filigree	small
الصغرى	mikro	minor
الصغير	kiçik olan	small
الصغيرة	kiçik	small
الصف	sinif	grade
الصفا	əl-səfa	al-safa
الصفة	sifət	the characteristic
الصفحة	səhifə	page
الصفر	sıfır	zero
الصفراء	sarı	yellow
الصفويين	səfəvilər	safween
الصلاة	namaz	prayer
الصلال	gizlədir	sallal
الصلب	polad	solid
الصلبة	qatı	solid
الصلة	bağlantı	link
الصلح	barışıq	reconciliation
الصلوات	namazlar	prayers
الصليب	xaç	steel
الصليبي	xaçlı	crusader
الصليبية	xaçlı	crusade
الصليبيون	xaçlılar	crusaders
الصليبيين	xaçlılar	crusaders
الصناعات	sənaye	industries
الصناعة	sənaye	industry
الصناعي	sənaye	industrial
الصناعية	sənaye	industrialized
الصنع	edilib	made in
الصهيوني	sionist	zionist
الصهيونية	sionizm	zionism
الصواريخ	raketlər	rockets
الصوت	səs	voice
الصوتية	sonic	audio
الصور	şəkillər	photos
الصورة	şəkil	picture
الصوفية	təsəvvüf	sufi
الصوم	oruc	the fasting
الصومال	somali	somalia
الصومالي	somali	somalian
الصومالية	somali	somalian
الصيد	balıqçılıq	the hunting
الصيف	yaz	summer
الصيفية	yaz	summer
الصين	çin	china
الصيني	çin	chinese
الصينية	çin	chinese
الصينيون	çinlilər	chinese
الصينيين	çinlilər	chinese
الضارة	zərərli	harmful
الضباط	məmurlar	officers
الضحايا	qurbanlar	victims
الضحية	qurban	victim
الضخم	nəhəng	huge
الضخمة	mega	big
الضرائب	vergilər	the taxes
الضربة	zərbə	shot
الضروري	zəruri	necessary
الضعف	zəiflik	the weakness
الضغط	təzyiq	pressure
الضغوط	təzyiq	pressure
الضفة	bank	bank
الضوء	i̇şıq	light
الضوئي	fotosintez	lightning
الضوئية	svetofor	light
الطائرات	təyyarə	aeroplanes
الطائرة	təyyarə	plane
الطائف	taif	el-taef
الطائفة	təriqət	cult
الطابع	xarakter	theme
الطابق	mərtəbə	the floor
الطاعون	vəba	plague
الطاقة	enerji	the energy
الطالب	tələbə	the student
الطب	tibb	medicine
الطباشيري	bağlı	cretaceous
الطباعة	çap et	printing
الطبري	əl-təbəri	al-tabari
الطبعة	nəşr	edition
الطبقة	sinif	class
الطبي	tibbi	the medical
الطبيب	həkim	doctor
الطبية	tibbi	medical
الطبيعة	təbiət	natural
الطبيعي	təbii	natural
الطبيعية	təbii	the natural
الطرائد	oyun	preys
الطراز	üslub	style
الطرف	tərəf	side
الطرفين	i̇ki tərəf	the two sides
الطرق	yollar	ways
الطريق	yol	the road
الطريقة	yol	the method
الطعام	yemək	food
الطفل	uşaq	the child
الطفولة	uşaqlıq	childhood
الطقس	hava	weather
الطقوس	rituallar	rituals
الطلاب	tələbələr	students
الطلب	i̇stək	demand
الطلبة	tələbələr	students
الطوائف	təriqətlər	communities
الطور	faza	tor
الطول	uzunluq	length
الطويل	uzun	long
الطويلة	uzun	long
الطيب	yaxsi	el tayeb
الطيران	uçan	aviation
الطيف	spektr	spectrum
الطين	gil	mud
الطيور	quşlar	birds
الظاهر	görünür	addaher
الظاهرة	fenomen	phenomenon
الظاهري	virtual	virtual
الظروف	şərtlər	circumstances
الظلام	qaranlıq	the dark
الظلم	ədalətsizlik	injustice
الظهر	günorta	noon
الظهور	görünür	appearance
الظواهر	fenomenlər	phenomena
العائلات	ailələr	the families
العائلة	ailənin	the family
العابدين	i̇badət edənlər	el-abedin
العادات	vərdişlər	habits
العادة	adət	usual
العادل	ədalətli	the just
العادي	normal	normal
العادية	daimi	normal
العاشر	onuncu	the tenth
العاشرة	onuncu	the tenth
العاص	aas	el aas
العاصمة	paytaxt	the capital
العالم	dünya	the world
العالمي	universal	international
العالمية	qlobal	international
العالمين	dünyalar	the two worlds
العالي	ali	the high
العالية	yüksək	high
العام	i̇l	the year
العامة	ümumi	public
العامل	i̇şçi	the factor
العاملة	i̇şləyir	working
العاملين	i̇şçilər	workers
العامية	vernacular	colloquial
العامّة	ümumi	the common
العباد	xidmətçilər	worshipers
العبادات	i̇badət	the worshippen
العبادة	i̇badət	worship
العبارة	bərə	the term
العباس	əl-abbas	abbas
العباسي	abbasid	abbasid
العباسية	abbasid	abbasid
العباسيون	abbasilər	abbasids
العباسيين	abbasilər	abbasids
العبد	nökər	el-abd
العبرية	i̇brani	hebrew
العبودية	servitasiya	slavery
العبّاسية	abbasieh	the abbasid
العثماني	osmanlı	ottoman
العثمانية	osmanlı	ottoman
العثمانيون	osmanlılar	the ottomans
العثمانيين	osmanlılar	ottomans
العثور	tapın	find
العجز	i̇mkansızlıq	deficit
العدالة	ədalət	justice
العدد	nömrə	number
العدل	ədalət	justice
العدو	düşmən	enemy
العدوان	təcavüz	attack
العدوى	i̇nfeksiya	infection
العديد	bir çoxu	many
العديدة	çox sayda	many
العذبة	təzə	fresh water
العذراء	bakirə	the virgin
العراق	i̇raq	iraq
العراقية	i̇raqlı	iraqi
العراقيين	i̇raqlılar	iraqi
العرب	ərəblər	arab
العربي	ərəb	arabi
العربية	ərəb	the arabic
العرش	taxt	throne
العرض	şou	demonstration
العرق	yarış	origin
العرقي	etnik	mass killing
العرقية	etnik	ethnic
العروض	təkliflər	poetics
العريضة	ərizə	wide
العريقة	qədim	ancient
العزيز	əziz	dear
العسكر	hərbi	soldiers
العسكري	hərbi	military
العسكرية	hərbi	martial
العسكريين	hərbi	military
العسل	bal	honey
العش	yuva	al-esh
العشاء	şam yeməyi	the dinner
العشائر	klanlar	families
العشر	on	the tenth
العشرة	on	ten
العشرين	i̇yirmi	twentieth
العشرينات	i̇yirmi	the twenty's
العصابات	şəbəkələr	gangs
العصبي	əsəb	the neurological
العصبية	əsəbilik	the neurotic
العصر	yaş	era
العصور	əsrlər	ages
العضلات	əzələlər	muscles
العضو	i̇stifadəçi	member
العضوية	üzvlük	membership
العطل	bayramlar	vacations
العظام	sümüklər	the bones
العظم	sümük	aladem
العظمى	əla	great
العظمي	skelet	great
العظيم	böyük	the great
العظيمة	əla	great
العفو	əfv et	amnesty
العقائد	doktrinalar	beliefs
العقائدية	dogmatikdir	ideological
العقاد	akkad	el akkad
العقبة	maneə	aqaba
العقد	müqavilə	decade
العقل	ağıl	brain
العقلي	əqli	mental
العقلية	əqli	mentality
العقوبات	cərimələr	sanctions
العقود	müqavilələr	decades
العقول	beyinlər	minds
العقيد	polkovnik	colonel
العقيدة	yaradın	the believe
العكس	əksinə	the opposite
العلاء	yüksəkdir	alaa
العلاج	müalicə	therapy
العلاجية	müalicəvi	therapeutic
العلاقات	münasibətlər	relations
العلاقة	münasibət	the relation
العلامة	i̇şarədir	genius
العلل	xəstəliklər	ills
العلم	elm	flag
العلماء	elm adamları	the scientists
العلمانية	dünyəvilik	secular
العلمي	elmi	the scientific
العلمية	elmi	the scientific
العلوم	elm	the sciences
العلوي	yuxarı	el-olwey
العلوية	üst üstə	alawites
العلويين	ələvilər	alawites
العلي	ən yüksəkdir	al-ali
العمارة	memarlıq	architecture
العمال	i̇şçilər	workers
العمالة	məşğulluq	employment
العمالية	əmək	labor
العمر	yaş	age
العمران	urbanizm	building
العمراني	şəhər	architectural
العمرانية	urbanizm	imran
العمرة	ümrə	omrah
العمري	əl-omari	age
العمق	dərinlik	depth
العمل	i̇şləyin	work
العملاق	nəhəng	the huge
العملاقة	nəhəng	huge
العملة	valyuta	currency
العملي	praktik	practical
العمليات	əməliyyatlar	operations
العملية	əməliyyat	operation
العمود	sütun	amood (name)
العموم	commons	commons
العمومية	ümumilik	public
العميق	dərin	the deep
العميقة	dərin	deap
العناصر	elementlər	elements
العناية	qayğı verin	deal with
العنب	üzüm	grape
العنصر	element	the element
العنف	zorakılıq	violence
العهد	əhd	the era
العواصف	fırtına	the storms
العوام	tərəfdaşlar	floater
العوامل	amillər	factors
العود	lal	el oud
العودة	geri	back
العولمة	qloballaşma	the globalization of
العيد	bayram	el eid
العيش	canlı	living
العين	göz	eye
العينين	gözlər	eyes
العيون	gözlər	eyes
الغابات	meşələr	forests
الغابة	cəngəllik	forest
الغاز	qaz	gas
الغازات	qazlar	gases
الغازي	i̇şğalçı	gaseous
الغالب	əsasən	usually
الغالبية	əksəriyyəti	the vast
الغبار	toz	dust
الغدد	bezlər	glands
الغذاء	yemək	nutriment
الغذائي	yemək	alimentary
الغذائية	yemək	food
الغرب	qərb	west
الغربي	qərb	occidental
الغربية	qərb	western
الغربيين	qərblilər	westerners
الغرض	məqsəd	reason
الغرفة	otaq	chamber (of commerce)
الغزاة	i̇şğalçılar	invaders
الغزالي	əl-qəzali	el-ghazaly
الغزل	i̇plik	spinning
الغزو	i̇şğal	invasion
الغزوات	i̇şğallar	forays
الغشاء	membran	the membrane
الغطاء	qapaq	cover
الغلاف	qapaq	cover
الغلوكوز	qlükoza	glucose
الغليون	boru	pipe
الغموض	sirr	mystery
الغني	zəngin	rich
الغنية	zəngin	rich
الغير	digərləri	not
الـ	the	the
الفئات	kateqoriyalar	groups
الفئة	kateqoriya	category
الفائدة	maraq	benefit
الفائز	qalib	winner
الفاتح	əl fateh	conqueror
الفاتحة	əl-fatihə	al-fatiha
الفاتيكان	vatikan	vatican
الفارابي	əl-farabi	el farabi
الفارسي	fars	persian, farsi
الفارسية	fars	persian
الفاشية	faşizm	fascism
الفاصل	ayrılıq	deviding
الفاطمي	fatimid	the fatimid
الفاطمية	fatimidizm	fatimid
الفاطميين	fatimilər	fatimids
الفتاة	qız	the girl
الفتح	fəth	the conquering
الفترات	dövrlər	periods
الفترة	dövr	period
الفتنة	nifaq	conflict
الفتوح	əl-futouh	liberations
الفتوحات	fəthlər	conquers
الفجر	şəfəq	dawn
الفجوة	boşluq	the gap
الفحص	i̇mtahan	inspection
الفحم	kömür	coal
الفخار	dulusçuluq	pottery
الفدرالي	federal	federal
الفدرالية	federalizm	federal
الفرات	fərat	al-furat
الفراش	yataq dəsti	el ferash
الفراعنة	fironlar	pharaohs
الفراغ	boşluq	void
الفرج	vulva	the vagina
الفرد	fərdi	the individual
الفردي	subaylar	individual
الفردية	fərdi	individual
الفرس	farslar	the persians
الفرسان	cəngavərlər	knights
الفرصة	fürsət	chance
الفرع	budaq	branch
الفرعونية	pharaonic	pharaonic
الفرعية	alt	sub-
الفرق	fərq	difference
الفرقة	qrup	the band
الفرن	soba	oven
الفرنجة	franklar	franks
الفرنسي	fransız	the french
الفرنسية	fransız	the french
الفرنسيون	fransızlar	the french
الفرنسيين	fransızlar	the french
الفروع	filiallar	branches
الفريدة	unikaldır	unique
الفريق	komanda	team
الفريقان	i̇ki komanda	the two teams
الفريقين	i̇ki komanda	the two teams
الفساد	korrupsiya	corruption
الفصائل	fraksiyalar	factions
الفصح	pasxa	easter
الفصحى	klassik	standard
الفصل	fəsil	chapter
الفضاء	məkan	the space
الفضائي	əcnəbi	of space
الفضائية	peyk	satellite
الفضة	gümüş	silver
الفضل	kredit	favor
الفطر	göbələklər	feast
الفعالة	effektivdir	effective
الفعل	əməl	verb
الفعلي	əsl	the actual
الفعلية	əsl	executive
الفقر	yoxsulluq	poverty
الفقراء	kasıblar	poor
الفقري	onurğa	spinal
الفقه	hüquqşünaslıq	jurisprudence
الفقهاء	hüquqşünaslar	scholars
الفقهية	hüquqşünaslıq	juristic
الفقيرة	yazıq	poor
الفقيه	fəqih	the faqih
الفكر	düşündü	thought
الفكرة	fikir	the idea
الفكري	ziyalı	intellectual
الفكرية	ziyalı	the intellectual
الفلاحين	kəndlilər	farmers
الفلاسفة	filosoflar	philosophers
الفلبين	filippin	philippines
الفلبينية	filipin	philippine
الفلسطيني	fələstinli	the palestinian
الفلسطينية	fələstinli	palestinian
الفلسطينيون	fələstinlilər	the palestines
الفلسطينيين	fələstinlilər	palestinians
الفلسفة	fəlsəfə	phylosophy
الفلسفي	fəlsəfi	philosophical
الفلسفية	fəlsəfi	philosophical
الفلك	astronomiya	astronomy
الفلكي	astronom	astronomer
الفلكية	astronomik	the astronomy
الفلكيون	astronomlar	astronomers
الفلم	film	movie
الفم	ağız	the mouth
الفن	sənət	the art
الفنادق	otellər	hotels
الفنان	rəssam	the artist
الفنانة	rəssam	artist
الفنانين	rəssamlar	artists
الفنلندي	fin	finnish
الفنلندية	fin	the finnish
الفنون	i̇ncəsənət	arts
الفني	sənət işi	the art
الفنية	bədii	the technician
الفهد	bəbir	the leopard
الفهم	anlamaq	understanding
الفوائد	faydaları	benefits
الفور	ləkə	four
الفوز	qazan	winning
الفوضى	xaos	chaos
الفولاذ	polad	steel
الفوهات	burunlar	craters
الفيدرالي	federal	federal
الفيدرالية	federalizm	federal
الفيديو	video	the video
الفيروس	virus	virus
الفيروسات	viruslar	viruses
الفيروسي	viral	viral
الفيروسية	viral	viral
الفيزياء	fizika	the physics
الفيزيائية	fiziki	physical
الفيس	elvis	elvis
الفيضان	daşqın	flood
الفيضانات	daşqınlar	floods
الفيفا	fifa	fifa
الفيل	fil	the elephant
الفيلة	fillər	the elephants
الفيلسوف	filosof	philosopher
الفيلم	film	the movie
الفينيقية	finikiyalı	phoenician
القائد	rəhbər	the leader
القائلة	deyir	view
القائم	əsaslıdır	current
القائمة	siyahı	going on
القادم	növbəti	come
القادمة	gəlir	the upcoming
القادمين	gəlir	the coming
القارئ	oxucu	the reader
القارات	qitələr	continents
القارة	qitədir	the continent
القارية	kontinental	continental
القاسم	məxrəc	el kassem
القاضي	hakim	judge
القاعدة	baza	base
القانون	qanun	law
القانوني	qanuni	kanuni
القانونية	qanuni	legal
القبائل	qəbilələr	tribes
القبة	günbəz	dome
القبر	qəbir	tomb
القبض	həbs olundu	catch
القبطي	koptik	the coptic
القبطية	koptik	coptic
القبلة	öpüş	the quiblh
القبلي	qəbilə	tribal
القبول	qəbul	approval
القبيلة	qəbilə	tribe
القتال	mübarizə	fighting
القتالية	mübarizə	martial
القتل	qətl	homicide
القتلى	ölülər	killed
القدامى	köhnə adamlar	ancient
القدر	təqdir	as much
القدرات	qabiliyyətlər	abilities
القدرة	qabiliyyət	ability
القدس	qüds	jerusalem
القدسي	əl-qudsi	the holy
القدم	ayaq	past
القدماء	qədimlər	ancient
القديس	müqəddəs	saint
القديسين	müqəddəslər	two saints
القديم	köhnə	ancient
القذافي	qəddafi	gaddafi
القذف	tökmə	ejection
القرآن	quran	koran
القرآني	quran	quran
القرآنية	quran	quranic
القراء	oxucular	readers
القراءة	oxu	reading
القرار	qərar	the decision
القرارات	qərarlar	decisions
القران	quran	quran
القرشي	qurashi	qurashi
القرص	disk	disk
القرضاوي	əl-qaradavi	el karadawey
القرم	krım	crimea
القرن	əsr	century
القرنين	i̇ki buynuz	the two centuries
القرون	podlar	centuries
القرويين	kəndlilər	al-karaouine
القرى	kəndlər	the villages
القريب	yaxındır	close
القريبة	yaxınlıqda	near
القرية	kənd	the village
القزمة	cırtdan	midget
القسطنطينية	konstantinopol	constantinople
القسم	bölmə	section
القشرة	qabıq	the crust
القصبة	casbah	al-kasaba
القصة	hekayə	the story
القصر	saray	palace
القصص	hekayələr	the stories
القصف	bombalanma	bombing
القصور	çatışmazlıqlar	palaces
القصوى	həddindən artıq	maximum
القصيدة	şeir	poem
القصيرة	qısadır	short
القضاء	aradan qaldırılması	judicial
القضائي	məhkəmə	judicial
القضائية	məhkəmə	judiciary
القضاة	hakimlər	judges
القضايا	məsələlər	the issues
القضيب	penis	penis
القضية	dava	case
القطار	qatar	train
القطارات	qatarlar	trains
القطاع	sektor	sector
القطاعات	sektorlar	the sectors
القطب	qütb	the pole
القطبي	qütb	polar
القطبية	qütb	polar
القطبين	qütblər	polars
القطر	çapı	diameter
القطرية	ölkə	qatarian
القطط	pişiklər	the cats
القطع	kəsmə	pieces
القطن	pambıq	cotton
القعدة	başlıq	thul qa'dah
القفز	atlama	jumping
القلاع	qalalar	castles
القلب	ürək	heart
القلبية	ürəkdən	heart
القلعة	qala	castle
القلق	narahatlıq	worrying
القلوب	ürəklər	hearts
القليل	balaca	little
القليلة	bir neçəsi	few
القماش	bezi	cloth
القمة	üst	summit
القمح	buğda	castle
القمر	ay	the moon
القمرية	aysun	lunar
القمني	apikal	feeds me
القنابل	bomba	bombs
القناة	kanal	canal
القنوات	kanallar	canals
القهري	kompulsif	compulsive
القوائم	siyahıları	alqguanm
القوات	qüvvələr	the forces
القواعد	qaydalar	rules
القوافل	konvoylar	convoy
القوانين	qanunlar	the laws
القوس	yay	the arc
القوط	qotlar	kut (name of a tribe)
القوقاز	qafqaz	caucasians
القول	demək	saying
القوم	xalq	tribe
القومي	milli	national
القومية	millətçilik	national
القوى	səlahiyyətlər	powers
القوي	güclüdür	strong
القوية	vuruldu	strong
القيادة	sürücülük	the leadership
القياس	analogiya	measuring
القياسي	standart	the standard
القياسية	standart	standard
القيام	etmək	doing
القيامة	qiyamət	resurrection
القيروان	kairouan	the kairouan
القيس	ölçmə	al kaiss
القيصر	çar	caesar
القيم	dəyərlər	morals
القيمة	qiymeti	the value
القيود	məhdudiyyətlər	limitations
الكأس	kubok	the cup
الكائن	obyekt	creature
الكائنات	varlıqlar	beings
الكاتب	müəllif	writer
الكاثوليكية	katoliklik	catholic
الكاريبي	karib	the caribbean
الكافي	yetərli	sufficient
الكافية	yetərli	enough
الكامل	tam	whole
الكاملة	tam	complete
الكبار	böyüklər	big
الكبد	qaraciyər	the liver
الكبرى	əla	the major
الكبريت	kükürd	sulphur
الكبير	ən böyüyü	al-kabeer
الكبيرة	ən böyüyü	big
الكتاب	kitab	the book (quran)
الكتابات	yazılar	writings
الكتابة	yazmaq	writing
الكتب	kitablar	books
الكتل	bloklar	masses
الكتلة	blok	mass
الكثافة	sıxlıq	density
الكثير	daha çox	a lot
الكثيرة	bir çoxu	many
الكثيرون	bir çoxu	many
الكثيرين	bir çoxu	many
الكثيفة	sıx	dense
الكحول	alkoqol	alcohol
الكحولية	alkoqollu	alcoholic
الكذب	yalan	lying
الكرامة	ləyaqət	dignity
الكربون	karbon	carbon
الكردية	kürd	kurdish
الكرسي	kafedra	chair
الكرك	karak	kark
الكريم	müqəddəs	noble
الكريمة	lütfkar	precious
الكسوف	tutulma	eclipse
الكعبة	kəbə	the kaaba
الكفاءة	səmərəlilik	efficiency
الكلاب	i̇tlər	dogs
الكلاسيكي	klassik	classical
الكلاسيكية	klassik	classical
الكلام	danış	speech
الكلمات	sözlər	the words
الكلمة	söz	the word
الكلي	böyrək	overall
الكليات	fakültələr	colleges
الكلية	kollec	college
الكم	kvant	quantum / punches
الكمال	mükəmməllik	perfection
الكمبيوتر	kompüter	the computer
الكمية	miqdarı	the quantity
الكنائس	kilsələr	churches
الكندي	kanada	kindy
الكندية	kanada	canadian
الكنيسة	kilsə	the church
الكهرباء	elektrik enerjisi	the electricity
الكهربائي	elektroforez	electrical
الكهربائية	elektrik	the electric
الكهربية	elektrofiziologiya	the electrical
الكهرومغناطيسية	elektromaqnetizm	electromagnetic
الكهنة	kahinlər	the priests
الكهوف	mağaralar	caves
الكوارث	fəlakətlər	disasters
الكواكب	planetlər	planets
الكورية	koreyalı	korean
الكوفة	kufə	kufah
الكوفي	kufi	kufi
الكوكب	planet	the planet
الكومنولث	birlik	the commenwealth
الكون	kainat	universe
الكونغرس	konqres	congress
الكونغو	konqo	congo
الكوني	kosmik	universal
الكونية	kosmik	universal
الكويت	küveyt	kuwait
الكويتي	küveyt	kuwait
الكويتية	küveyt	kuwaiti
الكويكبات	asteroidlər	asteroids
الكيماوية	kimyəvi	chemical
الكيمياء	kimya	chemistry
الكيميائي	kimyaçı	chemical
الكيميائية	kimyəvi	chemical
اللاتيني	latınca	latin
اللاتينية	latınca	latin
اللاجئين	qaçqınlar	refugees
اللاحقة	şəkilçi	the coming
اللاذقية	lattakiya	lattakia
اللازم	zəruri	required
اللازمة	zəruri	necessary
اللاعب	oyunçu	player
اللاعبين	oyunçular	players
اللبناني	livan	lebanian
اللبنانية	livan	lebanese
اللبنانيين	livan	lebanese
اللجنة	komitə	committee
اللجوء	sığınacaq	the resort
اللحظة	bu an	the second
اللحم	ət	meat
اللحوم	ət	meats
اللذان	bu	who are
اللسان	dil	tongue
اللطيف	zərif	al latif
اللعب	oynayın	play
اللعبة	oyun	the game
اللغات	dillər	languages
اللغة	dil	language
اللغوية	dilçilik	linguistic
اللفظ	tələffüz	pronunciation
اللقاء	i̇clas	meeting
اللقب	başlıq	nickname
الله	allah	god
اللهجات	dialektlər	dialects
اللهجة	vurğu	dialect
اللهم	allah	o god
اللهِ	allah	god
اللواء	general-mayor	major - general
اللوحات	rəsmlər	paintings
اللوحة	rəsm	motherboard
اللون	rəng	color
الليبرالية	liberal	liberalism
الليبي	liviya	libyan
الليبية	liviya	libyan
الليزر	lazer	laser
الليل	gecədir	the night
الليلة	bu gecə	night
الليمفاوية	limfa	lymph
اللَّهُ	allah	god
اللّه	allah	god
المأكولات	yemək	food
المأمون	təhlükəsiz	alma'mon
المؤتمر	konfrans	conference
المؤتمرات	konfranslar	the conferences
المؤثرة	təsirli	influential
المؤرخ	tarixçi	historian
المؤرخون	tarixçilər	historians
المؤرخين	tarixçilər	historians
المؤسس	qurucu	established
المؤسسات	təşkilatlar	institutions
المؤسسة	vəqf	foundation
المؤسسين	təsisçilər	founders
المؤكد	əlbətdə	sure
المؤلف	müəllif	author
المؤلفات	ədəbiyyat	to molvat
المؤمن	mömin	almo'men
المؤمنين	sadiq	the believers
المؤيدين	tərəfdarlar	supporters
المئات	yüzlərlə	hundreds
الماء	su	water
المائة	cent	hundred
المائدة	cədvəl	table
المائي	sulu	water
المائية	akvarel	water
المادة	məqalə	for a period
المادي	fiziki	financial
المادية	fiziki	and the materialistic
الماركسية	marksizm	marxism
الماسونية	masonluq	freemasonry
الماشية	mal-qara	for cattle
الماضي	keçmiş	past
الماضية	keçmiş	past
المال	pul	the money
المالكة	kral	the royal
المالكي	əl-maliki	maliki
المالي	maliyyə	for mali
المالية	maliyyə	المالية
الماليزية	malayziya	malaysian
المبادئ	prinsiplər	principles
المبادرة	təşəbbüs	initiative
المباراة	qarşılaşma	the match
المباريات	matçlar	the matches
المباشر	birbaşa	the direct
المباشرة	birbaşa	the direct
المباني	binalar	to buildings
المبدأ	prinsip	principle
المبشرين	missionerlər	informed people
المبكر	erkən	early
المبكرة	erkən	early
المبنى	bina	building
المبيدات	pestisidlər	pesticides
المتاحة	mövcuddur	available for
المتاحف	muzeylər	museums
المتبقية	qalan	the remaining
المتجددة	yenilənə bilər	renewable
المتحدة	birləşmiş	united
المتحدثين	natiqlər	speakers
المتحركة	animasiya	animated
المتحف	muzey	the museum
المتخصصة	i̇xtisaslaşmış	specialist
المتزايد	böyüyür	increasing
المتزايدة	böyüyür	increasing
المتطورة	kəsmə kənarı	developed
المتعة	əylən	lust
المتعددة	çox oyunçu	to different
المتعلقة	əlaqəli	related
المتقدم	ətraflı	advanced
المتقدمة	ətraflı	the advanced
المتكاملة	i̇nteqrasiya olunmuşdur	integrated
المتمثلة	təmsil etdi	represented
المتميزة	görkəmli	the special
المتنبي	mütənəbbi	almutanabi
المتنوعة	müxtəlif	variant
المتواجدة	mövcuddur	founded
المتوسط	orta	the mediterranean
المتوسطة	orta	medium
المتوفرة	mövcuddur	available
المتوفى	mərhum	who died
المتوقع	gözlənilir	expected
المتوكل	əl-mütəvəkkil	mutawakkil
المثال	nümunə	example
المثل	söz	model
المثلث	üçbucaq	triangle
المثلثات	üçbucaqlar	of triangles
المثلية	homeopatiya	homosexuality
المثليين	homoseksuallar	gays
المجاعة	aclıq	famine
المجال	sahə	field
المجالات	domenlər	fields
المجالس	şuralar	the councils
المجاهدين	mücahidlər	mujahideen
المجاورة	qonşu	the neighboring
المجتمع	camaat	the society
المجتمعات	cəmiyyətlər	the societies
المجر	macarıstan	hungary
المجرات	qalaktikalar	about galaxies
المجرة	qalaktika	the galaxy
المجردة	çılpaq	abstract
المجري	macar	hungarian
المجرية	macar	hungarian
المجلات	jurnallar	magazines
المجلة	jurnal	the magazine
المجلس	şura	for the council
المجمع	kompleks	total
المجموع	cəmi	total
المجموعات	qruplar	groups
المجموعة	qrup	the group
المجيد	şanlı	the glorious
المحاسبة	mühasibat uçotu	accounting
المحاصيل	bitkilər	crops
المحافظات	əyalətlər	provinces
المحافظة	qubernatorluq	province
المحاولات	cəhdlər	tries
المحاولة	çalışmaq üçün	attempt
المحبة	sevən	love
المحتلة	i̇şğal edir	occupied
المحتمل	güman ki	likely
المحدودة	ltd.	limited
المحرقة	holokost	holocaust
المحرك	mühərrik	motor
المحركات	mühərriklər	engines
المحسن	i̇nkişaf etmiş	el-mohsen
المحطات	stansiyalar	the stations
المحطة	stansiya	station
المحكمة	məhkəmə	court
المحلة	mahalla	neighborhood
المحلي	yerli	local
المحلية	yerli	local
المحليين	yerlilər	local
المحور	ox	the axis
المحيط	okean	the ocean
المحيطات	okeanlar	oceans
المحيطة	ətrafı	around it
المخ	beyin	for a brain
المخاطر	risklər	to dangers
المخاوف	qorxu	fears
المختار	seçilən biri	chosen
المختصة	bacarıqlıdır	specific
المختلفة	fərqlidir	the different
المخدرات	dərman	drugs
المخرج	rejissor	the director
المخصص	ayrılmış	specified
المخصصة	təyin edildi	dedicated to
المخطط	sxem	planed
المخطوطات	əlyazmalar	manuscripts
المخلص	xilaskar	redeemer
المخلوقات	məxluqlar	to creatures
المد	gelgit	wave
المدارس	məktəblər	schools
المداري	orbital	orbital
المدارية	tropik	orbiting
المدافع	toplar	cannons
المدة	müddəti	for a period
المدرب	qoç	trainer
المدرسة	məktəb	to a school
المدرعة	zirehli vasitə	armored
المدفعية	topçu	artillery
المدن	şəhərlər	the cities
المدني	mülki	the urban
المدنية	mülki	city
المدنيين	vətəndaşlar	civilians
المدونات	bloglar	blogs
المدونة	blog	for the archive
المدى	müddət	run
المديح	həmd olsun	eulogy
المدير	direktor	manager
المدينة	şəhər	city
المذاهب	doktrinalar	doctrines
المذكور	qeyd edildi	the said
المذكورة	qeyd edildi	mentioned
المذنبات	kometlər	meteorites
المذهب	denominasiya	ideology
المرء	birinin öz	people
المرأة	qadın	woman
المرئي	görünür	seen
المرابطين	almoravidlər	morabitin
المراجع	i̇stinadlar	references
المراحل	mərhələlər	stages
المراد	olmaq	the desired
المرافق	kommunal xidmətlər	the facilities
المراقبة	i̇zləyin	monitoring
المراكز	mərkəzlər	centers
المرة	vaxt	time
المرتبة	reytinq	ranked
المرتبط	bağlıdır	related to
المرتبطة	i̇lə əlaqəli	connected
المرتفع	yüksəkdir	for altitude
المرتفعات	dağlar	highlands
المرتفعة	yüksək	high
المرجانية	mərcan	reefs
المرحلة	mərhələ	the stage
المرشد	bələdçi	supreme leader
المرض	xəstəlik	the disease
المرضى	xəstə	diseased
المركب	qayıq	composite
المركبات	nəqliyyat vasitələri	cars
المركبة	vasitə	for vehicles
المركز	mərkəz	center
المركزي	mərkəzi	the central
المركزية	mərkəzi	centralization
المرمى	məqsəd	net
المرور	trafik	traffic
المريخ	mars	the mars
المريض	xəstə	patient
المزارعون	fermerlər	the farmers
المزارعين	fermerlər	the farmers
المزروعة	becərilir	planted
المزيد	daha çox	for more
المسألة	məsələ	the condition
المسؤول	məsuliyyətlidir	responsible
المسؤولة	məsuliyyətlidir	responsible
المسؤولية	məsuliyyət	responsibility
المسؤولين	məsuliyyətlidir	responsible
المساء	axşam	al-masa2 (name)
المسائل	məsələlər	issues
المسابقات	müsabiqələr	competitions
