$ tỉ	$ mil millones	$ billion
cớ	disculpa	excuse
cờ	bandera	flag
cỡ	tamaño	size
cợt	bromeando	"(term should be ""đùa cợt"") to trifle (v.)"
cục	departamento	department
cụm	grupo	cluster
cụp	amputado	down
cụt	amputado	"(should be ""xương cụt"") the tailbone or coccyx"
củ	tubérculos	a bulb, a botanical term
của	de	of
củi	leña	firewood
củng	tambien	reinforce
cứ	en	any
cức	coo	"(term should be ""cức Đê"") a character in chinese history"
cứng	duro	hard
cứngi	hardi	cungi
cừ	montones	nacre
cừu	oveja	sheep
cửa	la puerta	door
cửu	multiplicar	nine
cữ	cu	abstinence
cữu	ataúd	nine
cự	distancia	against
cựa	espuelas	retreat
cực	extrema	extreme
cựu	ex	former
d	d	d.
da	piel	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	masticable	persistent
daily	diariamente	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	dalat	da lat
dampier	más húmedo	(proper noun) dampier, a last name
dan	dan	dan
dancing	bailando	dancing
danger	peligro	danger
danh	nombre	list
daniel	daniel	daniel
dante	dante	dante
dao	cuchillo	poniard
darwin	darwin	darwin
das	das	das
dassault	dassault	(proper noun) dassault
date	fecha	date
dau	dolor de cabeza	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	decano	a name
degree	grado	degree
delhi	delhi	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	demeter	(proper noun) demeter, the greek goddess of the harvest
den	den	den
dennis	dennis	dennis
department	departamento	departmen
derek	derek	derek
des	des	des
descartes	descartes	descartes
design	diseño	thiet ke
deuterium	deuterio	deuterium
deutschland	deutschland	deutschland
dewan	dewan	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diana	(proper noun) diana, as in diana ross
die	morir	german
diego	diego	diego
dien	loco	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	palacio	official residence or palace
dionysus	dioniso	dionysus, as in the greek god
discovery	descubrimiento	discovery
discussion	discusión	discussion
disneyland	disneyland	disneyland
division	división	division
divoire	divoire	d'lvoire
diêm	partidos	diem vuong
diên	loco	"(term should be ""kinh diên"") canon (n.)"
diềm	cenefas	matches
diều	cometa	kite
diểu	cometa	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	marcha	parade
diệc	garza	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	cara	face to face
diệt	matar	to kill or destroy (v.)
diệu	magia	effective (adj.)
djibouti	djibouti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	adn	dna
do	por	because of
doanh	articulación	"(term should be ""kinh doanh"") business (n.)"
doc	doc	doc
docherty	docherty	docherty
dolly	carro	(proper noun) dolly, as in singer dolly parton
dome	domo	nha
dominican	dominicano	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	amenazante	threat
dp	dp	dp
dracula	drácula	dracula
draft	borrador	draft
drake	drake	(proper noun) drake
driver	chofer	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	du	travel
dubai	dubai	dubai
duiker	duiker	duiker
duk	duk	duk
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore
dung	estiércol	portrait
durham	durham	durham
dursley	dursley	dursley
duy	solo	only
duyên	predestinado	coastal
duyện	aspirante	fellatio
duyệt	navegar	browser
duơng	duong	ocean
duẩn	duan	duan
duật	duat	duat
duệ	descendientes	descendants (n.)
duỗi	enderezar	stretch
dwight	dwight	dwight
dà	dah	gradually
dài	largo	to lengthen, as in time
dàn	puesta en escena	to arrange
dàng	facil	dang
dành	gastado	for
dào	abundante	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	grueso	thick
dái	mear	"penis (n.), although some may use the term to mean ""testicles"""
dám	atrévete a	dare
dán	pegar	stick
dáng	forma	appearance
dát	con incrustaciones	inlay
dâm	lascivo	lustful (adj.)
dân	la gente	people
dâng	oferta	dedicate
dây	alambre	nerve
dã	salvaje	chronicle
dãi	babear	band
dãn	dilatado	extend
dãy	secuencia	a row (n.)
dè	ten cuidado	tight
défense	defensa	defense
dép	sandalias	slipper
dê	cabra	goat
dì	tia	aunt
dìu	dìu	to lead by the hand (v.)
dính	pegajoso	stick
dò	buscar	(with word tham) to survey
dòm	mirar	snoop
dòng	línea	"(term should be ""dòng họ"") family (n.)"
dó	eso	a type of plant used to make paper in vietnam (n.)
dông	tormenta	a storm (n.)
dõi	rastrear	monitor
dù	aunque	though
dùi	golpeador	awl
dùng	usado	use
dăm	virutas	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	por supuesto	why
dĩa	horquillas	dish
dũng	valiente	courage
dơ	sucio	dirty
dơi	murciélagos	bat
dư	exceso	remnant
dưa	melon	melons
dưng	parar	suddently
dương	positivo	penis
dường	parecer	seem
dưỡng	enfermería	feed
dược	farmacia	having to do with medicine (adj.)
dượng	tio	uncle
dạ	si	night
dại	tonto	stupid or idiotic (adj.)
dạn	sin miedo	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	formatear	tyoe
dạo	pasear	vending
dạt	lavado	to drift
dạy	enseñar	teach
dải	tira	range
dấm	vinagre	vinegar
dấp	tropezando	shape
dấu	la señal	signal
dấy	excitante	to raise (v.)
dần	gradualmente	people
dầu	aceite	oil
dẫm	pisotear	step on
dẫn	conducir	to lead
dẫu	aunque	though
dận	tía	to step on
dậu	gallo	rooster
dậy	levantarse	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	conducir	lead
dằn	lastre	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	persistente	dằng dai= long/endless
dẳng	persistente	persist
dặm	millas	mile
dặn	ordenado	to advise (v.)
dặt	orden	conservative
dẹp	plano	pacify
dẹt	plano	flat
dẻ	castañas	chestnut
dẻo	plasticidad	flexible
dế	grillos	cricket
dền	amaranto	beetroot
dể	facil	easy
dễ	facil	easy
dệt	tejido	textile
dị	singularidad	simple
dịch	traducir	semen
dịp	ocasion	occasion
dịu	suave	ease
dọa	amenazante	to threaten or scare (v.)
dọc	vertical	along
dỏm	ingenioso	witty
dốc	pendiente	slope
dối	mentir	lie
dốt	ignorante	stupid or ignorant (adj.)
dồi	abundante	"(term should be ""trau dồi"") improve (v.)"
dồn	arrinconado	accrue
dỗ	coaxial	dirty
dời	moverse	leave
dở	mal	incomplete
dỡ	descarga	remove
dụ	por ejemplo	example
dục	sexo	sexuality
dụng	usar	use
dứa	piña	pineapple
dứt	terminado	to cease
dừa	coco	coconut (n.)
dừng	parar	to cease
dữ	datos	"(term should be ""giận dữ"") anger (n.)"
dự	proyectado	attend
dựa	basado	base on
dực	hombre	dực, as in lê tương dực
dỹ	dỹ	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	earles	earles
eaton	eaton	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	borde	edge
edinburgh	edimburgo	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	editor	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	egipto	egypt
eid	eid	(proper noun) eid
eiffel	eiffel	eiffel
einstein	einstein	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	electronica	electronic
eliane	eliane	(proper noun) eliane
elip	elipse	ellipse
elizabeth	elizabeth	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	elipse	ellipse
em	tu	younger sibling
email	correo electronico	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	emir	emir
emmy	emmy	emmy
en	en	erica reef
energy	energía	energy
engels	engels	engels
england	inglaterra	(proper noun) england, as in new england
eniac	eniac	eniac
entente	entente	entente
entropy	entropía	entropy
enzym	enzima	enzymes
eo	la cintura	eo, as in the film captain eo
ep	ep	a name
erich	erich	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	ernest	(proper noun) ernest
eros	eros	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	esencial	essential
ethernet	ethernet	ethernet
ethiopia	etiopía	(proper noun) ethiopia
euclid	euclides	euclid
eugene	eugene	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	euro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	europa	europe
european	europeo	(proper adjective) european
eva	eva	eva
everton	everton	everton
every	cada	every
exgay	exgay	exgay
explorer	explorador	explorer
extensive	extenso	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	hecho	fact
facto	facto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	características	features
federer	federer	federer
feet	pies	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	fernando	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fiat	fiat
fidel	fidel	fidel
field	campo	field
fifa	fifa	fifa
fifpro	fifpro	fifpro
figo	figo	figo
fiji	fiji	fiji
finish	terminar	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	fischer	fischer, as in louis fischer
fish	pez	fish
fishbed	lecho de pescado	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	fleming	fleming
flight	vuelo	flight
foch	foch	(proper noun) foch
focus	enfoque	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	comida	food
football	fútbol	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	vado	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	horquillas	forks
foundation	fundacion	foundation
fox	zorro	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	franco	franc
france	francia	france
frances	frances	frances
francis	francis	francis, as in francis xavier
francisco	francisco	francisco
franco	franco	franco
frank	franco	frank
frankfurt	frankfurt	(proper noun) frankfurt
franklin	franklin	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	freud	(proper noun) freud, as in sigmund freud
friedman	friedman	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	funimation	(proper noun) funimation
funk	funk	funk
futsal	fútbol sala	futsal
fx	fx	fx
ga	ga	station
gabon	gabón	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarin	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	gramos	gam
gambia	gambia	gambia
gamow	gamow	a name
gan	hígado	liver
gandhi	gandhi	gandhi, as in mahatma gandhi
gang	pandilla	cast iron
ganh	celoso	to be jealous
gao	gao	strictly
gareth	gareth	a name
garrett	garrett	garrett
gary	gary	gary
gascon	gascon	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	gay	tense
gaza	gaza	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	pib	gdp
geisha	geisha	geisha
gen	genes	gene
gene	gen	(proper noun) gene, an english first name
genesis	génesis	(proper noun) genesis
georg	georg	(proper noun) georg
george	george	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	aleman	german
germany	alemania	germany
gerrard	gerrard	gerrard, a last name
ghana	ghana	(proper noun) the african country of ghana
ghe	barco	canoe
ghen	celoso	to be jealous (v.)
ghi	escribir	write
ghim	alfileres	pin
ghé	parar	visit
ghép	injerto	fit
ghê	asqueroso	disgust
ghì	ghì	tighten
ghẻ	sarna	scabies (n.)
ghế	asiento	chair
ghề	rápidos	scabby
ghềnh	rápidos	waterfall (n.)
gia	gia	date
giai	escenario	period
giam	detenido	imprison
gian	espacio	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	gibraltar	(proper noun) gibraltar
gichin	gichin	gichin
gieo	sembrar	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	gusanos	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	giza	giza
già	viejo	old (adj.)
giàn	braguero	"(term should be ""giàn hoa"") a trellis girder"
giành	ganó	secure
giàu	rico	rich or wealthy (adj.)
giày	zapatos	a shoe
giá	precio	estimate
giám	director	"(term should be ""giám sát"") to supervise (v.)"
gián	cucarachas	"(term should be ""gián tiếp"") indirectly"
giây	segundos	seconds
giã	golpes	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	estirar	stretch
gièm	detractores	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	jesus	jesus
giêxu	nexo	jesus
giò	rollitos de primavera	leg
giòi	gusanos	maggot (n.)
giòn	crujiente	crunchy or crispy (adj.)
gió	viento	wind
gióng	como	align
giúp	ayuda	help
giũa	archivo	sharpen
giơ	atascarse	raise
giương	fulgurante	posture
giường	cama	bed
giả	falso	fake (adj.)
giải	premio	solution
giảm	reducir	decrease
giản	simplificado	"(term should be ""giản dị"") simple (adj.)"
giấc	dormir	giấc ngủ= the sleep
giấm	vinagre	drabble
giấu	esconderse	hide
giấy	papel	paper
giầu	rico	rich
giận	enojado	angry
giằng	arriostramiento	pull
giặc	enemigo	enemy
giặt	lavado	to wash (n.)
giếng	el pozo	well
giết	matar	kill
giềng	vecino	"(term should be ""láng giềng"") neighboring"
giễu	ridiculizar	ridicule
giọng	acento	tone
giọt	gotas	drop
giỏ	canasta	basket
giỏi	bueno	good
giồng	giong	mound
giỗ	aniversario de la muerte	anniversaries of deaths
giới	género	gender
giờ	la hora	bao giờ=ever
giở	flash	to open or unfold (v.)
giỡn	bromeando	joke
giục	instó	urge
giữ	espera	hold
giữa	entre	between
gladys	gladys	gladys
glazer	glazer	glazer
glonass	glonass	glonass
gloria	gloria	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	glucosa	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	ir	"(term should be ""gay go"") tense"
goes	va	goes
goku	goku	goku
golden	dorado	golden
gom	recoger	to gather (v.)
google	google	google
gorbachev	gorbachev	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	gore	gore
gorky	gorky	gorky, as in gorky park
gothic	gótico	gothic
gottfried	gottfried	gottfried
grabeel	grabeel	grabeel, a last name
graham	graham	graham
granada	granada	granada
granit	granito	granite
greek	griego	(proper noun) greek
greenland	groenlandia	greenland
greenson	greenson	(proper noun) greenson
greenwich	greenwich	(proper noun) greenwich
greg	greg	greg
grenada	granada	grenada
grenadines	granadinas	grenadines
gross	asqueroso	gross
grumman	grumman	(proper noun) grumman
gruzia	georgia	gruzia
gryffindor	gryffindor	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	gu	gu
guam	guam	guam
guard	guardia	guard
guatemala	guatemala	guatemala
gui	gui	gui
guinea	guinea	guinea
guinness	guinness	(proper noun) guinness
guitar	guitarra	guitar
gujarat	gujarat	gujarat
gulag	gulag	gulag
gulf	golfo	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	guyana	guyana; proper noun
gà	pollo	chicken
gài	meter	to fasten (v.)
gào	grito	"(term should be ""thét gào"") to cry out (v.)"
gác	guardia	guard
gái	chica	girl
gán	asignar	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	carga	hold
gáy	nuca	crow
gân	tendón	tendon
gây	causa	make
gãy	roto	break
gì	que	what
gìn	preservar	preserve
gò	montículo	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	viuda	widowed
góc	esquina	angle
gói	paquete	goi
góp	entrega	to contribute
gót	tacón	heels
gõ	tipo	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	atesorar	poniard
găng	guantes	gloves
gũi	cerrar	close
gươm	espada	sword
gương	espejo	mirror
gạc	gasa	johnson south reef
gạo	arroz	rice
gạt	estafado	to cheat or trick (v.)
gả	matrimonio	marry
gảy	desplumado	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	brocado	brocade
gấp	date prisa	times, as in many times
gấu	el oso	a bear (n.)
gần	cerca de	near
gầy	delgado	thin
gẫy	roto	break
gập	doblar	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	palos	stick
gắm	pedo	send
gắn	montado	mount
gắng	intentando	try
gắt	duramente	intense
gặm	roer	rodent
gặp	reunirse	meet
gặt	cosechar	harvest
gỉ	oxidado	rust
gọi	llamar	call
gọn	aseado	neat (adj.)
gọng	bordeado	gong
gọt	pelado	cut
gỏi	ensalada	a vietnamese salad
gốc	raíz	origin (n.)
gối	almohadas	"(should be ""qùy gối"") to kneel"
gốm	ceramica	pottery
gồm	incluir	include
gồng	gong	carry
gỗ	madera	wood
gội	champú	shampoo
gộp	agrupados	aggregate
gớm	horrible	tremendous
gờ	repisa	edge
gởi	enviar	send
gỡ	descargar	meet
gợi	sugerente	to evoke (v.)
gục	colapsado	"(term should be ""đánh gục"") crush, as in battle"
gừng	jengibre	ginger
gửi	enviado	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	dos	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	halógeno	halogen (n.)
ham	jamón	desire
hamilton	hamilton	(proper noun) hamilton
han	han	han
hang	cueva	cave
hangul	hangul	hangul
hanh	hanh	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	resistente	hardy
harlem	harlem	harlem
harlow	harlow	harlow
harold	harold	(proper noun) harold
harper	harper	harper
harpercollins	harpercollins	hapercollins
harrier	aguilucho	harrier, as in harrier jump jet
harris	harris	harris
harry	harry	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	la habana	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	vendedor ambulante	hawker
hawking	hawking	(proper noun) hawking, as in physicist stephen hawking
hay	bueno	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	el	he, a korean name
health	salud	health
heath	salud	heath
hee	ji	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrich	heinrich
helen	helen	helen
helena	helena	helena
heli	helio	helium
hematocrit	hematocrito	hematocrit
hemoglobin	hemoglobina	hemoglobin
hen	gallina	asthma
henry	henry	(proper noun) henry, as in henry kissinger
heo	cerdo	dolphin
her	ella	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	hércules	hercules
hermann	hermann	hermann
hermes	hermes	hermes
hersh	duro	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	hestia	hestia
hi	hola	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	hicks	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoshi	(proper noun) hideyoshi
hidro	hidrógeno	hydrogen
hillsborough	hillsborough	hillsborough
hilton	hilton	hilton
himalaya	himalaya	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hindú	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hiroshima	(proper noun) hiroshima, the japanese city
hitchcock	autoestop	hitchcock
hitler	hitler	hitler
hitter	bateador	hitter
hitters	bateadores	hitters
hiên	porche	(proper noun) hiên, a vietnamese first name
hiđrô	hidrógeno	hydrogen
hiếm	raro	rare
hiến	donar	devote
hiếp	violación	rape
hiếu	piedad filial	pious
hiềm	enfermo	grudge
hiền	sabio	sage
hiểm	peligroso	dangerous
hiểu	entender	learn
hiện	presentarse	"(term should be ""thực hiện"") to accomplish"
hiệp	medio	united
hiệu	efecto	effective
hlv	entrenador	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	flor	flower
hoan	festival	welcome
hogwarts	hogwarts	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	holocausto	holocause
holocen	holoceno	holocen
holt	holt	holt, an english last name
hom	esquejes	a cutting
homer	jonrón	(proper noun) homer, the authorof the iliad and the odyssey
hon	cariño	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	avispón	hornet
hotspur	hotspur	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	sin embargo	however
hoà	empate	peace
hoài	nostálgico	always (adv.)
hoàn	completar	"(term should be ""hoàn toàn"") completely"
hoàng	real	royal (adj.)
hoành	diafragma	rife
hoá	quimica	"(term should be ""văn hoá"") culture (n.)"
hoán	permanente	refined (adj.)
hoãn	posponer	delay
hoạ	pintar	disaster (tham hoa)
hoại	gangrena	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	hentai	work
hoả	fuego	of
hoảng	pánico	panic-stricken (adj.)
hoặc	o	or
hp	hp	hp
hq	hq	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	huey	huey
hughes	hughes	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	hungría	hungary
hunt	cazar	hunt
hurley	hurley	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	husserl	huserl
huston	huston	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	hermano	older brother
huyền	místico	huyền thoại= legend
huyễn	ilusorio	huyen
huyện	distrito	district
huyệt	puntos de acupuntura	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	hue	"a less common vietnamese word for ""flower"""
huấn	entrenamiento	"(term should be ""huận luyện"") to train (v.)"
huế	hue	hue
huệ	hue	favour
huống	caso	situation
huỳnh	azufre	sulfur
huỷ	cancelar	destroy
hydra	hidra	hydra, a monster in greek mythology
hydro	hidrógeno	hydrogen
hyperion	hiperion	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	comedia	corpse
hàm	funcion	"(term should be ""bao hàm"") to imply (v.)"
hàng	bienes	row
hào	foso	depreciation
hách	prepotente	glorious
hái	recogiendo	picking
hán	sequía	china
háo	ansioso	eager
hát	cantar	song
hâm	loco	"(term should be ""hâm mộ"") to admire (v.)"
hân	han	le ngoc han
hãi	asustado	to be scared (v.)
hãn	khan	to sweat (v.)
hãng	firme	a company (n.)
hãnh	orgulloso	proud
hè	verano	summer
hé	quebrado	reveal
héo	marchitarse	dried-out
hét	grito	shout
hên	afortunado	luck
hí	ne	game
hít	olfatear	act of kissing (hon hit)
hò	citas	date
hòa	empate	republic
hòe	mierda	hoe
hòm	arca	box
hòn	isla	island
hòng	bien	in order to
hóc	hóc	a corner (n.)
hót	cantar	to chirp or sing (v.)
hô	ho	respiration
hôi	falta	stink
hôm	dia	day (n.)
hôn	beso	propose
hông	caderas	hip
hù	asustar	threaten
hùng	héroes	hero
húc	tope	huc
húng	albahaca	"(should be ""húng láng"") water mint"
hút	fumar	to suck (v.)
hăng	picante	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	tarros	jar
hơi	ligeramente	slightly
hơn	mas	more or less
hư	travieso	fictional
hưu	retirado	huu
hương	incienso	smell
hước	chistoso	humor
hướng	dirección	trend
hường	huong	huong
hưởng	disfrutar	influence
hạ	bajar	lower
hạc	grua	crane
hạch	ganglio	ganglion
hại	daño	harm
hạng	rango	rank
hạnh	hanh	happy
hạo	hao	hao
hạp	hap	hap
hạt	cuentas	seed
hải	aduana	two
hảo	perfecto	perfect
hấn	hấn	aggressive gesture
hất	arrojar	toss
hấu	sandia	"(term should be ""dưa hấu"") watermelon"
hầm	estofado	ham
hầu	casi	most
hận	odio	hatred
hậu	hau	anus
hắc	negro	black
hắn	el	he (n.)
hắt	estornudar	reject
hằng	constante	every
hặc	hặc	to criticize (v.)
hẹ	chalotes	chinese chives
hẹp	estrecho	narrow
hẻm	callejón	alley (n.)
hẻo	aislado	outback
hến	mejillones	mussel
hết	sobre	most
hề	payaso	"(term should be ""không hề"") never"
hễ	eh	whenever
hệ	sistema	relation
hệt	idéntico	exactly
hỉ	hei	happy
hịch	thud	a proclamation
họ	ellos	they (n.)
họa	arte	picture
họach	plan	"(term should be ""quy hoạch"") a project (n.)"
học	aprender	study (v.)
họng	garganta	throat
họp	reunión	meet
hỏa	fuego	fire
hỏng	roto	corruption
hố	hoyo	hole
hốc	nichos	cavity
hồ	lago	ho
hồi	anís	muslim
hồn	alma	soul
hổ	tigre	tiger
hổi	eh	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	boquiabierto	hole
hỗ	apoyo	"(should be ""hỗ trợ"") to support or assist"
hỗn	mezclado	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	asamblea	society
hộp	caja	box
hới	abrir	hoi
hớn	grito	"(term should be ""hớn hở"") radiant (adj.)"
hờn	malhumorado	hatred
hở	abrir	reveal
hỡi	oi	dear
hợi	cerdo	pig (n.)
hợp	conveniente	appropriate
hợpquận	consentimiento	general district
hụt	perdido	loss
hủi	leproso	reject
hủy	cancelar	to erase or destroy
hứa	promesa	promise
hử	eh	hu
hửu	eh	"(term should be ""sở hửu"") to own (v.)"
hữu	propiedad	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	icc	icc
iceland	islandia	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ileno	ilence
illusion	ilusión	illusion
ilyich	ilyich	ilyich
im	estoy	still
imam	imán	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	immanuel	(proper noun) immanuel, as in immanuel kant
impact	impacto	impact
