aajo	lächerlich	hospitality
ogbè	region	a divinity
ogun	krieg	war
ogunlogo	menge	hundreds
ojo	aussehen wie	day
ojojumo	täglich	daily
ojoru	wärme	wednesday
ojukokoro	begierde	covetousness
ojuoorun	sonnenuntergang	atmosphere
ojuse	verantwortung	responsibility
ojùkòsì	niederschlag	ojukosi
ojùkòtúu	niederschlag	ojukotuu
ojúlùmọ̀	bekannte	acquaintance
ojútáyé	viskosität	public
ojúìwé	seite	page
okeere	übersee-	distant
okhotsk	okhotsk	okhotsk
oko	feld	farm
okunkun	dunkelheit	darkness
okunrin	der mann	male person
olodiajodojuko	gegenseitig	facing wall
olohun	besitzer	god
olojukanna	sofort	same surface
olokunkun	kopfhörer	popular
ololugbe	verlierer	occupants
olopon	hochmütig	a local game
olora	fett	fertile
oloselukan	hallo	one political
oloye	genius	chief
oluda	schöpfer	creator
oludase	hersteller	separatist
olukoitan	lehrer	the writer
olukowe	autor	writer
olumojuto	gierig	overseer
oluparapo	kombination	joint
olusoju	bewachen	ambassador
oluwakiri	erkundung	explorer
olympus	olymp	olympus
olódùmarè	allmächtig	almighty god
olóyè	lineal	chief
olóṣèlú	politiker	politics
olùbátan	dieser kontakt	relative
olùdarí	ein anführer	director
olùkópa	mitwirkender	participant
olùkó	lehrer	teacher
olùkọ́	lehrer	teacher
omi	wasser	water
omiadalu	flut	mixture
onialjebra	onialjebra	of algebra
onibugbe	mieter	population
onigbeja	konstruktiv	allied
onigbowo	ein sponsor	sponsor
onigunfenfe	passiv	large angle
onilanaibagbepo	kondom	constitutional
onilile	hausbesitzer	solid
oninawo	kreditnehmer	financial
onipin	rational	even
onisayensi	techniker	scientific
onisowo	händler	trader
oniyewumeji	binär	two-chamber
oniyijulo	genial	highest honour
onje	diät	food
onka	taschenrechner	counter
onígbàgbó	alter mann	believer
oníkólóbó	missbräuchlich	onikolobo (place)
onílẹ̀	nieder	land owners; citizens (omo onile)
oníná	feuer	electronic
onítumò	übersetzer	meaning
onítèbọmi	die getauften	baptist
onítòhùn	buchhalter	that person
oníwòsàn	der heiler	doctor
oníyanjù	animiert	persevere
ooni	krokodil	ooni (king)
ootọ́	wahr	truth
opec	opec	opec
opposite	gegenteil	odi
ori	kopf	top
oriire	herzliche glückwünsche	success
oriki	orientalisch	name of endearment
orileede	die nation	country
orileedeajoba	imperialismus	monarchic country
orilejoba	regierung	seat of government, kingdom
orileominira	wärme	republic
orinìyìn	ein lied	songs of praise
orisirisi	vielfalt	various
orisun	quelle	source
orisa	herkunft	god
oritameta	mitten drin	crossway
orudnun	jährlich	mispelled...should orundun, century
oruko	substantiv	name
oríilè	national	land
oríilẹ̀	artikel	land
oríkì	poesie	family name
orílèèdè	nation	country
orílẹ̀	nation	continent
orílẹ́	abend	nation
orísiirísi	verschiedene	various
orísìí	vielfalt	type
orísìírísi	verschiedene typen	various
orúko	das feld	name
oscar	oscar	oscar
oseluarailu	zivilist	political unit
otherwise	andernfalls	ibaje
otutu	viele	coldness
oun	er	it
owojagidijagan	terroristen	upheaval
oúnjẹ	lebensmittel	food
odún	das jahr	year
ojó	es ist regnerisch	day
okùnrín	lachen	man
olórun	gott	god
olósìn	religiös	rearing
odun	jährlich	year
olorun	gott	god
omonìyàn	menschen	human beings
opolo	viele	brain
ose	ose	week
oyé	die welt	harmattan
ofò	guten morgen	nothingness
opolo	viele	brain
paa	schalte aus	back
paapaa	insbesondere	especially
padá	pod	go back
palauan	palauan	palauan
panaˈma	panama	panama
panyanan	the_space	spanish
papa	papa	specifically
parapọ̀	mischung	join
paripari	das ende	finally
pele	charmant	hello
penh	penh	penh
penisula	penisula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	perle	with
phillipines	phillipine	phillipines
pinsi	rückläufig	divided
pinsoto	pinoto	separated
pinu	entschlossen	decide
pipo	viel	plenty
pipolongo	werbung	publicise
piposi	viel	multiplication
platos	platos	plato's
plánẹ́tì	installation	planet
po	po	share
pojulo	das höchste	larger
polandi	polieren	poland
polaroid	polaroid	polaroid
population	population	ero
portonovo	portonovo	porto novo
portuguese	portugiesisch	portuguese
press	drücken sie	press
produced	produziert	yo
protokolu	protocolu	protocol
proton	proton	kemika alaropo
providence	vorsehung	providence
príncipe	príncipe	principe
pupa	rot	red
px|kùránì	px | kernel	koran or quran; the px  does not belong
pàmò	speziell	pamo (town)
pàràkòyí	sofort	parakoyi
pààlà	eine grenze	signalised
pàápàá	insbesondere	especially
pásíà	der keller	persia
pátáporongodo	absolut	entire
pè	namens	that
pèhìndà	samen	turned back
pèlu	zusammen mit	with
pèlúpèlú	auch	in addition
pèsè	unter der voraussetzung	provide
pé	das	that
péré	nur	only
péé	das	that
pípa	schlachten	order
pípèsè	bereitstellung	providing
pípẹ́	lange	long
pòwe	sprichwörter	to say a proverb or wise saying
pò	falten	join
púpo	zu viel	much
púpò	lieber	a lot
quran	koran	quran
ra	kaufen	self
race	rennen	ere
rajya	hoffnung	rajya
ramadan	ramadan	ramadan
rank	rang	ipo
reggae	reggae	reggae
repeats	wiederholt	tunso
repetejulo	am empfindlichsten	most of all
rere	gut	success
research	forschung	agbeyewo
richard	richard	richard
right|thumb|px|aworan	rechts | daumen | px | bild	picture
rinle	neu	emphasise
riresile	recorder	humbled, lowered
riro	phantasie	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	denken	thought
robinson	robinson	robinson
roboto	oberflächen	round
rogbodiyan	randalieren	riot
rokirika	surfen	publicise
roko	mob	farm work
roma	roma	roma
rome	chrom	rome
ronald	ronald	ronald
rorùn	einfach	easy
rossii	rossii	rossii
rural	ländlich	igberiko
ryan	ryan	ryan
ráhàn	erschien	complain
ránmú	sorge	grumble
république	erneut veröffentlicht	republic
ré	c	his/her
rìn	gehen	should be orin, song or music
ròyìn	berichtet	give account
rẹ	ihr	it
saarc	entfernen	saarc
saaree	überlegen	after death
saarland	auf dem boden	saarland
safari	safari	safari
saffana	saphir	savannah
safiwe	vergleich	describe
safta	ausrichten	safta
saheli	bequemlichkeit	sahel
sakyamuni	der nächste	sakyamuni
sakyas	sakyas	sakyas
salem	salem	salem
salàyé	leben	explained
sambia	jugend	zambia
samioro	verfügbar	signal
santa	santa	santa
say	sagen	so
sb	jdn	sb
schwarz	schwarz	schwarz
sea	meer	odo
seat	sitz	itedo
segbese	möglicherweise	take steps
seidamo	klar	identify
semolara	asthma	accustom
semudaju	natürlich	assure
senegal	senegal	senegal
sense	sinn	sensi
seville	sevilla	seville
sewadi	suche	investigate
sharon	sharon	sharon
sibesibe	noch	further more
sihamoni	struktur	sihamoni
sile	hinter	previously
silè	tropfen	on the ground
sinai	sünde	sinai
sinsin	religion	unshakably
sioux	sioux	sioux
sise	kochen	works
sisodagba	aufwachsen	came of age
sisopo	verknüpfen	joined
sisupapoerekusu	spucken	neighbouring islands
sisupo	multiplizieren	concentrated
slovo	slovo	slovo
so	liebe	turned
sohun	ja	something
solomon	solomon	solomon
soon	demnächst	lai'pe
sopin	ende	ended
so	so	tells
spectacular	spektakulär	damanran
stella	stella	stella
structures	strukturen	igbekale
suez	suez	suez
sugbo	aber nicht	but
sugbọ́n	rational	but, however
sun	sonne	sleep
suny	sonnig	suny
swahili	swahili	swahili
symmetry	symmetrie	ogbooga
sàbúrí	über alles	saburi
sàmì	ein zeichen	signalize
sàn	desto besser	flow
sàngó	gang	sango (god of thunder)
sàì	gut	un
sápadè	dieser tag	run to
sáàpàdé	sponsoring	saapade
sáààrin	zwischen	between
são	der neue	sao
sèle	stehlen	down
ségun	weinen	conquered
sénégal	samen	senegal
séyìn	zurück	back
séyìn	zurück	at the back of
sìbẹ̀	noch	there
sìni	garnele	likewise
síbèsíbè	dennoch	further more
síbú	auf den boden	ocean
sílẹ̀	runterlassen	drop
síse	arbeit	doing
síso	immer noch	spoken
síso	immer noch	saying
síta	draußen	outing
síwon	sie	to them
síwájú	weiter	comes before
síí	hier	on it
sòrò	gehirnwäsche	talk
sójà	soldat	soldier
sóko	pflanze	to the farm
sùgbón	andererseits	but
sọ	sagen	lose
si	bestimmt	to
síse	struktur	performing
sùgbón	andererseits	but
se	tun sie	do
sepò	endlich	cooperation
sisé	trainieren	work
sááju	nimm dir eine minute	before
sísa	s .ía	to be
sísè	übersetzung	step
tabi	oder	or
tabili	tabelle	table
tabora	vermeidung	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	einschränkungen	valiant
talaka	arm	poor
talika	armut	the poor
tara	neun	wholly
tata	filter	wildly
taínos	taínos	tainos
technology	technologie	tekinoloji
tedo	dating	stay
teksas	texas	texas
tele	nachverfolgen	before
temptation	suchen	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	das	does no directly translate
they	sie	won
those	jene	awon
thumb|left|upright|nelson	daumen | links | aufrecht | nelson	apa osi naro
tira	tempus	quranic verse
tirana	tirana	tirana
tirè	seine	own
titu	schießen	cold (if it's a person's name, it is tutu)
tiwọn	ihre	theirs
to	zu	it
toje	selten	that is
tokasi	wies darauf hin	pointing to
tokyo	tokio	tokyo
tolerejulo	toleriert	most profitable
tolórítelémù	holocaust	all manners of people
tomé	tomate	tome
tooto	ja wirklich	true
tori	tori	because
torun	brünette	heavenly
toseluaralu	politisch	political
tounsejanu	tragisch	control
traduite	traduit	traduite
translated	übersetzt	tunmo
tumosi	meint	means
tuntun	neu	new
tàsí	ohne	or
tàwon	sie	theirs
táawà	sich verneigen	we
tèlé	nachverfolgen	before
tètè	schnell	quickly
tèlé	sofort	follow
tèsíwájú	fortschritte machen	progress
té	t	follow
télè	durch	before
té	t	shamed
títi	geschlossen	till
títèlé	folgen	following
títío	bis um	until
tíátà	tickets	theater
tíórì	reifen	that is seen
tò	einstellen	enough
tóbi	groß	big
tódárajùlọ	das beste	most beautiful
tókù	sich ausruhen	others
tówùú	jeder betrag	whatever
tó	tó	taught
tóka	zitiert	pointed
tú	ausgießen	untie
túmò	pflaume	means
túnse	neu anordnen	restructured
tẹ̀ǹbẹ̀	dann	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	verschwören	bitterness
ucb	ucb	ucb
umueri	kinder	umueri
unifasiti	universität	university
unla	ja	great
urasílì	uracil	uracil
uribe	die aura	uribe
usps	usps	usps
utah	utah	utah
utc	koordinierte weltzeit	utc
uzbek	der weg	uzbek
venezuela	venezuela	venezuela
vermont	vermont	vermont
victor	sieger	victor
videos	videos	fidio
vihara	vihara	vihara
villa	villa	villa
viruses	viren	awon eran
visit	besuch	ibewo
vz	vz	vz
waa	es ist	ours
waju	gesicht	future
wari	geruch	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	witkin	witkin
wiwari	entdeckung	discovered
województwo	cheworddztwo	wojewodztwo
wole	einloggen	into
woo	umwerben	look
wo	hier	enter
wo	hier	look
won	sie	they
wura	gold	gold
wyoming	wyoming	wyoming
wàásù	predigen	preach
wì	wegwaschen	that
wípè	klarheit	that
wòfún	blick	convenient
wònyí	diese sind	these
wón	sie	they
wúnrèn	trainieren	small amount
wọn	sie	they
wọ̀nyí	diese	these
xd	xd	xd
xiv	xiv	xiv
yafran	alphabet	yafran
yakubu	yakub	yakubu
yan	wählen	choose
yanjú	entschlossenheit	solve
yanturu	viel	abundant
yaoundé	yaoundé	yaounde
yewo	verbesserung	examine
ye	ja	suitable
ye	ja	should
yindinyindin	niemals aufhören	brightly
yio	soll	will
yiowu	es wird	any
yipada	dreh dich um	change
yiyafunnilo	erosion	borrow
yoo	werden	will
yori	led	result
york	york	york
yorúbà	joghurt	yoruba
yo	yo	remove
yànan	erstaunen	scattered
yàtò	konfiguration	other than
yára	beeile dich	quickly
yèwò	aussehen	examine
yée	lass sie	eplained to
yì	gehen	this
yìí	dies	this
yí	dreh dich um	this
yíyípadà	veränderung	changed
yíì	du wirst	this
yíò	es wird	it will
yẹ̀ẹ́	weißt du?	check
yọ	entfernen	bring out
zanzibar centralsouth	sansibar zentralsouth	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	weg	bce
àbe	pavian	under
àbámẹ́ta	donnerstag	saturday
àbáyo	vorschlag	breakthrough
àbìkú	unsterblichkeit	'born to die' child
àbọ̀	hälfte	result
àdámò	privatsphäre	earmark
àdátá	das gegenteil	adata
àdáátán	exklusiv	adaatan
àdóolóró	öl	bomb
àgbàjọ	der alte mann	assembly
àgbàrá	flut	power
àgbáríjọ	organisation	combination
àgbékà	abstrakt	suitable
àgbéyèwò	rezension	examination
àgbìgbò	gegend	a type of bird
àgbùdo	hof	corn
àgọ́	zelt	ago
àifète	zweck	unable to keep quiet
àjo	reise	board
àjákọ	ein teil	ajako
àjọṣepọ̀	sozial	union
àkosílè	abstraktion	written
àkosílè	these	written account
àkàrà	kuchen	bean pudding
àká	regale	store
àkójopò	gruppe	collection
àkókó	die zeit	previous
àlàkalè	tore	breakdown, explanation of actions
àlàyé	information	explanation
àlàáfíà	frieden	peace
àlááfià	analogie	wellbeing
àlè	bastard	mistress, concubine, (side booty)
àlèpò	über	joined together
àlébù	makel	ills
àmérìkà	übernatürlich	america
àmì	zeichen	sign
àmúlò	praktisch	synonyms
àmúsorò	psychologie	resources
ànfàní	gelegenheit	opportunity
àpapọ̀	als ganzes	federal
àpeere	beispiel	example
àrígbámú	störend	assistant
àrùn	krankheit	disease
àrẹ	präsident	president
àse	fest	authority
àsàjemátèe	dämmerung	cunning
àsèyìn	nachwirkungen	at the end
àsìkò	zeit	time
àsótélè	erweiterung	prophecy
àsọdọ̀kan	einheit	unitary
àsekúdórógbó	borke	do or die
àsà	benutzerdefiniert	habit, culture, norm
àtijo	obsolet	olden days
àtìpó	das alien	sojourn
àtòrìnká	rundherum	urinating while walking
àtúnse	bearbeiten	modification
àtúnse	bearbeiten	renovate, fix
àtẹnudẹ́nu	oral	oral
àwon	theorien	they
àwón	das geld	the
àwón	geld	the
àwùjo	gesellschaft	community
ààtò	ritual	suitability
ààyè	am leben	space
àárín	mitten drin	middle
àáyá	samen	seconds
àìkó	mangel	unlearned
àìní	wollen	lack
àìròtélè	unerwartet	unthought of
àìsí	abwesenheit	lack
án	t	it
áwon	unzucht	those
èbà	mücken	cassava flour food
èbúté	hafen	shore
èdá	schaffung	creature
èdè	sprache	language
èdè	sprache	language
èfòn	tempus	efon
èhìn	der nächste	outskirt
èka	ast	branch
èkejì	das andere	second
èlò	utensilien	tool
ènìkan	etwas	someone
èràn	krankheit	virus
èrò	gedanken	thoughts
èsó	moschee	modesty
èsúrú	ameisen	yam (indigenous to west africa)
ète	zweck	plan
èyì	würde	this
èka	bewirken	branch
èro	gedanken	machine
èrí	beweise	witness
èsìn	religion	religion
èwù	hemd	clothe
èpón	viel	modifier
ìbarà	fieber	ibara (town)
ìbánisòrò	die verbindung	dialogue
ìbáraeni	wagen	to themselves
ìbílè	geburtsrecht	local
ìbílè	geburtsrecht	local
ìdàgbà	erwachsensein	grow
ìdàpapọ̀	konsolidierung	union
ìdàrúdàpò	chaos	misunderstanding
ìdá	desertion	division
ìdìmú	störung	branch, part
ìdíisin	ursache	idi-isin
ìdíwòn	dein grund	criteria
ìdó	stachel	ido (a person's name)
ìfara	folter	self
ìfojúìtànìgbesiayé	lebensgeschichte	biography
ìfáàrà	ein priester	introduction
ìgbonnìbí jé	es ist ein desaster	igbonnibi
ìgbà	zeit	when
ìgbàgbé	vergesslich	forgetfulness
ìgbá	flügel	time
ìgbáraga	stärke	pride
ìgbéraga	stolz	pride
ìgbésí	leben	life
ìgbò	ram	igbo people
ìhun	eisen	things
ìjo	tanzen	church
ìjo	die kirche	church
ìjoba	regierung	government
ìjora	hass	resemblance
ìjìnlè	geheimnis	comprehensive
ìjìnlè	geheimnis	mysterious
ìjò	führer	consent
ìjọba	regierung	government
ìkejì	das andere	second
ìkànna	das gleiche	ikanna (town)
ìkèrèkú	überlastung	ikereku
ìkéde	erklärung	advert
ìkìjà	eine herausforderung	ikija
ìkìlò	missbrauch	warning
ìkínin	der sechste	greetings
ìkẹrin	die vierte	fourth
ìkọpa	beteiligung	ikopa
ìlera	gesundheit	health
ìlo	anruf	use
ìlà	gliederung	border
ìlànàn	illusion	procedure
ìlàorùn	blutergüsse	east
ìlàìnàró	unterdrückung	vertical
ìlè	bestechung	land
ìlé	zuhause	land
ìmò	schlange	knowledge
ìmò	blitz	knowledge
ìmóbìdo	das geburtsrecht	imobido
ìmú	nase	knowledge
ìmúnilérú	missbrauch	slavery
ìmúsára	zur stärkung der	contagious
ìnagije	sieg	alias
ìnáwó	ausgaben	expenditure
ìpolongo	werbung	advertisement
ìpìlẹ̀núkléù	verschlüsselung	base
ìpìnlè	der anfang	foundation
ìpínrò	absätze	economize
ìrànlọ́wọ́	hilfe	help
ìrànàna	hilfe	path-clearing
ìràwọ̀	die sterne	s
ìrí	erfahrung	sight
ìròkò	habe gedacht	iroko
ìròyìn	nachrichten	news
ìròyìnwiki	nachrichten	wikinews
ìròrùn	illusion	peaceful
ìró	klang	sound
ìrúbo	zusammenbruch	sacrifice
ìsawo	divination	divinity-practice
ìse	aktion	behaviour
ìsinsìnyí	jetzt	modern
ìsirò	berechnung	adding
ìsomó	beitreten	attachment
ìsàlè	sonnenuntergang	down town
ìsèlè	produktion	happening
ìsìn	religion	worship
ìsòrò	meditation	speech
ìsòrí	unterteilung	chapter
ìsú	dicke	lump
ìsọ	geschäfte	stall
ìse	aktion	work
ìsègbèfábo	sorgfalt	female support
ìsèdá	schaffung	creation
ìsèjoba	regierung	government
ìsílé	zuhause	house opening
ìsòro	schwierigkeit	problem
ìse	aktion	action
ìta	draußen	outside
ìtaeko	werkstatt	outskirts of eko
ìtan	geschichte	story
ìtokò	der topf	story
ìtàn	geschichte	history
ìtànkálé	überschwemmungen	spread
ìtèsíwájú	fortschritt	progress
ìtójú	pflege	treatment
ìtóju	verwirrtheit	treatment
ìtójú	gesichtsausdrücke	treatment
ìtóka	geschlagen werden	dictionary
ìtúmò	übersetzung	meaning
ìtúpalè	übersetzung	exposition
ìwe	vergleich	book
ìwo	hörner	horn
ìwàásù	predigt	sermon
ìwéré	heft	iwere (town)
ìwò	insgesamt	set
ìwòran	vision	viewing
ìwúlò	nützlich	usefulness
ìya	leiden	mother
ìyapa	trennung	divorce
ìyàwó	die braut	wife
ìyípadà	umwandlung	transformation
ìṣèlú	politik	politics
ìṣẹ́kù	der rest	broken
ìṣọ̣̀tẹ̣̀	lungenentzündung	rebellion
òde	draußen	society
òdeojú	gesichtslos	surface
òdo	jugend	zero
òdìkejì	das andere	opposite
òféàrán	ein bild	a town name
ògbójú	kompetent	brave
ògiri	mauer	wall
ògo	ruhm	glory
ògun	medizin	medicine
ògúndìpẹ̀	pudrig	ogundipe
òjo	aussehen wie	ojo
òjísé	der doktor	servant
òkèògbún	eintausend	oke-ogbun
òkòòkan	einer nach dem anderen	each
òkú	leichen	corpse
òkúta	ein stein	stone
òle	hausfrau	lazy
òmiràn	der zauberer	other
òmùàrán	ein bild	omu-aran (town)
òní	heute	today
òotó	wahrheit	true
òpópóònà	straße	highway
òranyàn	verpflichtend	a must
òrìsà	idole	god
òrí	kapitel	top
òrò	gehirn	word
òsán	mittag	afternoon
òsèlú	politiker	politics
òsèré	athlet	player
òwù	stoff	owu
òṣèlú	politik	politician
òjògbón	regnerisches wetter	learned person
òkan	einer	heart
òkòòkan	einer nach dem anderen	each
òpòlopò	viele	many
òré	spiel	friend
òfò	der nächste	sorrowful
òpòlopo	viele	lot of
òré	spiel	friend
òrò	gedanken	word
òsà	goldfisch	lagoon
òwó	geld	hand
òrò	gedanken	word
òròàjòmó	morgens	part of speech
ó	es	that
óníse	er ist designer	stricken
ósírísì	speichel	diverse
ósékú	er ist tot	die suddenly
ó	ja	word
ôdún	jahr	year
únṣẹlẹ̀	erdbeben	formed
şe	machen	do
ʔaːnaːtɕɑ̀k	suche	not yoruba
ˈøːstəˌʁaɪç	ˈøːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	erkrankung	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	öffnung	work
ṣàkóbá	schädlich	incriminate
ẹdo	scherz	edo
ẹlẹ́bùn	ein geschenk	award winner
ẹlẹ́sìn	religiös	religionist
ẹnìkan	eine person	someone
ẹsẹ	füße	verse
ẹtì	leber	friday
ẹ̀kaawon	einreichungen	branch of
ẹ̀kabrítánì	onkel	part of britain
ẹ̀kajuly	kann	chapter july
ẹ̀kaoṣù	dornig	month
ẹ̀kasístẹ̀mù	subjektiv	sistemu=system
ẹ̀kẹ́ta	der dritte	third, the third
ẹ̀kọ́	bildung	teachings
ẹ̀ni	who	person
ẹ̀rọ	maschinen	machine
ẹ̀wẹ̀	andererseits	leaf
ọbàkàn	halbbruder	step-sister
ọdún	jahr	year
ọlọ́mọ	kinder	members
ọlọ́run	ein gott	god
ọmú	du gehtst mir auf die nerven	breast
ọmọ	kind	c
ọn	es	him
ọpọ́lọpọ́	feigen	many
ọ̀dọ́	jugend	youth
ọ̀gbìn	pflanze	seedlings
ọ̀nà	weg	ways
ọ̀pòlòpò	aktion	various
ọ̀rọ̀	sich unterhalten	word
ọ̀sẹ	woche	week
