$ tỉ	مليار دولار	$ billion
ginzan	جينزان	ginzan
gio	جيو	wind
gioi	جيو	world
giuliani	جولياني	giuliani
giun	الديدان	worm
giuse	غيوس	giuse
giuộc	جيووك	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	الجيزة	giza
già	قديم	old (adj.)
giàn	الجمالون	"(term should be ""giàn hoa"") a trellis girder"
giành	فاز	secure
giàu	غني	rich or wealthy (adj.)
giày	أحذية	a shoe
giá	السعر	estimate
giám	المخرج	"(term should be ""giám sát"") to supervise (v.)"
gián	الصراصير	"(term should be ""gián tiếp"") indirectly"
giây	ثواني	seconds
giã	القصف	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	تمتد	stretch
gièm	منتقدين	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	مشابه	january
giêsu	المسيح	jesus
giêxu	الرابطة	jesus
giò	لفات الربيع	leg
giòi	اليرقات	maggot (n.)
giòn	مقدد	crunchy or crispy (adj.)
gió	الريح	wind
gióng	مثل	align
giúp	مساعدة	help
giũa	ملف	sharpen
giơ	مربى	raise
giương	إحراق	posture
giường	سرير	bed
giả	مزيف	fake (adj.)
giải	جائزة	solution
giảm	تقليل	decrease
giản	مبسط	"(term should be ""giản dị"") simple (adj.)"
giấc	نم	giấc ngủ= the sleep
giấm	خل	drabble
giấu	إخفاء	hide
giấy	ورقة	paper
giầu	غني	rich
giận	غاضب	angry
giằng	تستعد	pull
giặc	العدو	enemy
giặt	الغسيل	to wash (n.)
giếng	البئر	well
giết	اقتل	kill
giềng	الجار	"(term should be ""láng giềng"") neighboring"
giễu	سخرية	ridicule
giọng	اللهجة	tone
giọt	قطرات	drop
giỏ	سلة	basket
giỏi	جيد	good
giồng	جيونج	mound
giỗ	ذكرى وفاة	anniversaries of deaths
giới	الجنس	gender
giờ	الساعة	bao giờ=ever
giở	فلاش	to open or unfold (v.)
giỡn	يمزح	joke
giục	حث	urge
giữ	انتظر	hold
giữa	بين	between
gladys	مرحى	gladys
glazer	زجاج	glazer
glonass	جلوناس	glonass
gloria	غلوريا	gloria
gloster	داعم	(proper noun) gloster, as in gloster meteor
glucose	الجلوكوز	glucose
gmail	بريد جوجل	gmail
gnp	الناتج المحلي الإجمالي	gnp
go	اذهب	"(term should be ""gay go"") tense"
goes	يذهب	goes
goku	غوكو	goku
golden	ذهبي	golden
gom	اجمع	to gather (v.)
google	جوجل	google
gorbachev	جورباتشوف	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	جوردون	gordon, as in gordon brown
gore	غور	gore
gorky	غوركي	gorky, as in gorky park
gothic	قوطي	gothic
gottfried	جوتفريد	gottfried
grabeel	grabeel	grabeel, a last name
graham	غراهام	graham
granada	غرناطة	granada
granit	الجرانيت	granite
greek	اليونانية	(proper noun) greek
greenland	جرينلاند	greenland
greenson	غرينسون	(proper noun) greenson
greenwich	غرينتش	(proper noun) greenwich
greg	جريج	greg
grenada	غرناطة	grenada
grenadines	الرمان	grenadines
gross	الإجمالي	gross
grumman	جرومان	(proper noun) grumman
gruzia	جورجيا	gruzia
gryffindor	جريفندور	gryffindor
gs	ع	prof.
gsts	ضريبة السلع والخدمات	professor- phd
gu	غو	gu
guam	غوام	guam
guard	حارس	guard
guatemala	غواتيمالا	guatemala
gui	واجهة المستخدم الرسومية	gui
guinea	غينيا	guinea
guinness	غينيس	(proper noun) guinness
guitar	جيتار	guitar
gujarat	جوجارات	gujarat
gulag	جولاج	gulag
gulf	الخليج	gulf
gullit	خوليت	(proper noun) gullit
gundam	جاندام	(proper noun) gundam
gunung	جونونج	(proper noun) gunung
gustave	غوستاف	gustave
gutenberg	جوتنبرج	gutenberg
guyana	غيانا	guyana; proper noun
gà	دجاج	chicken
gài	شد	to fasten (v.)
gào	صرخت	"(term should be ""thét gào"") to cry out (v.)"
gác	حارس	guard
gái	فتاة	girl
gán	تعيين	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	العبء	hold
gáy	قفا	crow
gân	وتر	tendon
gây	السبب	make
gãy	مكسورة	break
gì	ماذا	what
gìn	الحفاظ	preserve
gò	تل	"(term should be ""gò má"") cheekbone (n.)"
gòn	غين	gon
góa	أرملة	widowed
góc	الزاوية	angle
gói	حزمة	goi
góp	القسط	to contribute
gót	كعب	heels
gõ	اكتب	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	اكتناز	poniard
găng	قفازات	gloves
gũi	قريب	close
gươm	سيف	sword
gương	مرآة	mirror
gạc	الشاش	johnson south reef
gạo	أرز	rice
gạt	انفصل	to cheat or trick (v.)
gả	زواج	marry
gảy	قطف	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	جاك	gac
gấm	الديباج	brocade
gấp	على عجل	times, as in many times
gấu	الدب	a bear (n.)
gần	قريب	near
gầy	رقيق	thin
gẫy	مكسورة	break
gập	أضعاف	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	العصي	stick
gắm	ضرطة	send
gắn	شنت	mount
gắng	حاول	try
gắt	بقسوة	intense
gặm	نخر	rodent
gặp	يجتمع	meet
gặt	جني	harvest
gỉ	صدئ	rust
gọi	الاتصال	call
gọn	أنيق	neat (adj.)
gọng	انعقدت	gong
gọt	التقشير	cut
gỏi	سلطة	a vietnamese salad
gốc	الجذر	origin (n.)
gối	الوسائد	"(should be ""qùy gối"") to kneel"
gốm	سيراميك	pottery
gồm	تشمل	include
gồng	غونغ	carry
gỗ	خشب	wood
gội	شامبو	shampoo
gộp	مجمعة	aggregate
gớm	بشعة	tremendous
gờ	الحافة	edge
gởi	أرسل	send
gỡ	تفريغ	meet
gợi	موحية	to evoke (v.)
gục	انهار	"(term should be ""đánh gục"") crush, as in battle"
gừng	الزنجبيل	ginger
gửi	أرسلت	send
ha	هكتار	hectare
habana	حبانة	(proper noun) habana
habsburg	هابسبورغ	(proper noun) habsburg
haeberle	هيبرل	haeberle
hahn	هان	hahn
hai	اثنان	two (adj.)
hal	هال	hal
halle	هاله	(proper noun) halle
halogen	الهالوجين	halogen (n.)
ham	لحم الخنزير	desire
hamilton	هاملتون	(proper noun) hamilton
han	هان	han
hang	الكهف	cave
hangul	الهانغول	hangul
hanh	هانه	hanh
hanja	هانجا	(proper noun) hanja, a type of chinese script
hansen	هانسن	hasnen
hao	هاو	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	هارالد	harald
hardy	هاردي	hardy
harlem	هارلم	harlem
harlow	هارلو	harlow
harold	هارولد	(proper noun) harold
harper	أصعب	harper
harpercollins	هاربركولينز	hapercollins
harrier	هارير	harrier, as in harrier jump jet
harris	هاريس	harris
harry	هاري	harry
harvard	هارفارد	(proper noun) harvard, the name of a college
harvey	هارفي	harvey
havana	هافانا	(proper noun) havana, cuba
havilland	هافيلاند	havilland
hawker	صقر	hawker
hawking	الصقور	(proper noun) hawking, as in physicist stephen hawking
hay	جيد	or
hb	hb	hb
hbv	فيروس نقص المناعة البشرية	hbv
hcl	هكل	hcl
hd	hd	activity
he	هو	he, a korean name
health	الصحة	health
heath	الصحة	heath
hee	هه	hee
hegel	هيجل	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	هيان	heian
heinrich	هاينريش	heinrich
helen	هيلين	helen
helena	هيلينا	helena
heli	الهليوم	helium
hematocrit	الهيماتوكريت	hematocrit
hemoglobin	الهيموغلوبين	hemoglobin
hen	دجاجة	asthma
henry	هنري	(proper noun) henry, as in henry kissinger
heo	خنزير	dolphin
her	لها	her
herbert	هربرت	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	هرقل	hercules
hermann	هيرمان	hermann
hermes	هيرميس	hermes
hersh	هيرش	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	هيستيا	hestia
hi	مرحبًا	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	هيكام	(proper noun) hickam
hicks	هيكس	hicks
hideto	اخفي	(proper noun) hideto
hideyoshi	هيكيوشي	(proper noun) hideyoshi
hidro	الهيدروجين	hydrogen
hillsborough	هيلزبورو	hillsborough
hilton	هيلتون	hilton
himalaya	هيمالايا	(proper noun) himalaya
hinata	حناتا	hinata
hindenburg	هندنبورغ	(proper noun) hindenburg
hindi	الهندية	hindi
hindu	الهندوسية	hindu, as in the hindu religion
hinh	هينه	(proper noun) a vietnamese first name
hinhtron	هينترون	circle
hiragana	هيراغانا	hiragana
hiroshi	هيروشي	hiroshi
hiroshima	هيروشيما	(proper noun) hiroshima, the japanese city
hitchcock	هيتشكوك	hitchcock
hitler	هتلر	hitler
hitter	ضارب	hitter
hitters	الضاربون	hitters
hiên	الشرفة	(proper noun) hiên, a vietnamese first name
hiđrô	الهيدروجين	hydrogen
hiếm	نادر	rare
hiến	تبرع	devote
hiếp	اغتصاب	rape
hiếu	تقوى الابناء	pious
hiềm	مريض	grudge
hiền	حكيم	sage
hiểm	خطير	dangerous
hiểu	فهم	learn
hiện	تظهر	"(term should be ""thực hiện"") to accomplish"
hiệp	النصف	united
hiệu	تأثير	effective
hlv	مدرب	trainer
hms	هم	hms
hmông	الهمونغ	hmong
hn	ح	hn
hoa	زهرة	flower
hoan	مهرجان	welcome
hogwarts	هوجورتس	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	هوي	rare
hokage	الهوكاجي	hokage
hokusai	هوكوساي	hokusai
holmes	هولمز	a name
holocaust	محرقة	holocause
holocen	الهولوسين	holocen
holt	هولت	holt, an english last name
hom	العقل	a cutting
homer	هوميروس	(proper noun) homer, the authorof the iliad and the odyssey
hon	هون	"(term should be ""hòn"") rock (n.)"
honduras	هندوراس	honduras
hong	هونغ	hong
honolulu	هونولولو	honolulu
honshū	هونشو	honshu
hopkins	هوبكنز	(proper noun) hopkins
hornet	الدبور	hornet
hotspur	هوت سبور	(proper noun) hotspur, as in tottenham hotspur
houston	هيوستن	(proper noun) houston, as in whitney houston
howard	هوارد	(proper noun) howard
however	ومع ذلك	however
hoà	ربطة عنق	peace
hoài	حنين	always (adv.)
hoàn	كاملة	"(term should be ""hoàn toàn"") completely"
hoàng	ملكي	royal (adj.)
hoành	الحجاب الحاجز	rife
hoá	الكيمياء	"(term should be ""văn hoá"") culture (n.)"
hoán	بيرم	refined (adj.)
hoãn	لتأجيل	delay
hoạ	الطلاء	disaster (tham hoa)
hoại	الغرغرينا	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	هنتاي	work
hoả	حريق	of
hoảng	هلع	panic-stricken (adj.)
hoặc	أو	or
hp	حصان	hp
hq	هق	hq
hudgens	هادجنز	(proper noun) hudgens
hudson	هدسون	hudson
huey	هيوي	huey
hughes	هيوز	hughes
hugo	هوغو	(proper noun) hugo
hume	هيوم	hume, as in david hume
hun	هون	(proper noun) hun
hungary	المجري	hungary
hunt	مطاردة	hunt
hurley	هيرلي	(proper noun) hurley, as in chad hurley
hussein	حسين	hussein
husserl	هوسرل	huserl
huston	هيوستن	huston
hutech	هوتك	hutech
huy	مرحبا	a common vietnamese first name
huynh	شقيق	older brother
huyền	صوفية	huyền thoại= legend
huyễn	وهم	huyen
huyện	حي	district
huyệt	نقاط الوخز بالإبر	lair
huân	هوان	"(term should be ""huân chương"") medal (n.)"
huê	هوى	"a less common vietnamese word for ""flower"""
huấn	تدريب	"(term should be ""huận luyện"") to train (v.)"
huế	هوى	hue
huệ	هوى	favour
huống	الحالة	situation
huỳnh	الكبريت	sulfur
huỷ	الغاء	destroy
hydra	هيدرا	hydra, a monster in greek mythology
hydro	الهيدروجين	hydrogen
hyperion	فرط	hyperion
hà	هكتار	"(term should be ""hà nội"") the capital of vietnam"
hài	كوميديا	corpse
hàm	الوظيفة	"(term should be ""bao hàm"") to imply (v.)"
hàng	البضائع	row
hào	خندق	depreciation
hách	متعجرف	glorious
hái	قطف	picking
hán	الجفاف	china
háo	حريصة	eager
hát	يغني	song
hâm	مجنون	"(term should be ""hâm mộ"") to admire (v.)"
hân	هان	le ngoc han
hãi	خائفة	to be scared (v.)
hãn	خان	to sweat (v.)
hãng	شركة	a company (n.)
hãnh	فخور	proud
hè	الصيف	summer
hé	تصدع	reveal
héo	يذبل	dried-out
hét	صاح	shout
hên	محظوظ	luck
hí	شمال شرق	game
hít	شم	act of kissing (hon hit)
hò	المواعدة	date
hòa	ربطة عنق	republic
hòe	القرف	hoe
hòm	تابوت	box
hòn	الجزيرة	island
hòng	جيد	in order to
hóc	هاك	a corner (n.)
hót	يغني	to chirp or sing (v.)
hô	هو	respiration
hôi	كريهة	stink
hôm	اليوم	day (n.)
hôn	قبلة	propose
hông	الوركين	hip
hù	تخويف	threaten
hùng	أبطال	hero
húc	نطح	huc
húng	الريحان	"(should be ""húng láng"") water mint"
hút	تدخين	to suck (v.)
hăng	لاذع	enthusiasm
hđbt	حسنًا	hdbt
hđh	هاه	system software
hũ	الجرار	jar
hơi	قليلا	slightly
hơn	المزيد	more or less
hư	شقي	fictional
hưu	متقاعد	huu
hương	البخور	smell
hước	فكاهي	humor
hướng	الاتجاه	trend
hường	هوونغ	huong
hưởng	استمتع	influence
hạ	أقل	lower
hạc	رافعة	crane
hạch	العقدة	ganglion
hại	ضرر	harm
hạng	رتبة	rank
hạnh	هانه	happy
hạo	هاو	hao
hạp	هاب	hap
hạt	حبات	seed
hải	عادات	two
hảo	ممتاز	perfect
hấn	هان	aggressive gesture
hất	قذف	toss
hấu	بطيخ	"(term should be ""dưa hấu"") watermelon"
hầm	الحساء	ham
hầu	تقريبا	most
hận	الكراهية	hatred
hậu	هاو	anus
hắc	أسود	black
hắn	له	he (n.)
hắt	يعطس	reject
hằng	ثابت	every
hặc	هاك	to criticize (v.)
hẹ	الكراث	chinese chives
hẹp	ضيق	narrow
hẻm	زقاق	alley (n.)
hẻo	منعزل	outback
hến	بلح البحر	mussel
hết	انتهى	most
hề	مهرج	"(term should be ""không hề"") never"
hễ	إيه	whenever
hệ	النظام	relation
hệt	متطابقة	exactly
hỉ	مرحبًا	happy
hịch	thud	a proclamation
họ	لهم	they (n.)
họa	الفن	picture
họach	خطة	"(term should be ""quy hoạch"") a project (n.)"
học	تعلم	study (v.)
họng	الحلق	throat
họp	اجتماع	meet
hỏa	حريق	fire
hỏng	مكسورة	corruption
hố	حفرة	hole
hốc	منافذ	cavity
hồ	بحيرة	ho
hồi	اليانسون	muslim
hồn	الروح	soul
hổ	نمر	tiger
hổi	هاه	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	فجوة	hole
hỗ	الدعم	"(should be ""hỗ trợ"") to support or assist"
hỗn	مختلط	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	التجمع	society
hộp	مربع	box
hới	مفتوح	hoi
hớn	صاح	"(term should be ""hớn hở"") radiant (adj.)"
hờn	عابس	hatred
hở	مفتوح	reveal
hỡi	منظمة أوكسفام الدولية	dear
hợi	خنزير	pig (n.)
hợp	مناسب	appropriate
hợpquận	الموافقة	general district
hụt	غاب	loss
hủi	الأبرص	reject
hủy	الغاء	to erase or destroy
hứa	وعد	promise
hử	هاه	hu
hửu	هاه	"(term should be ""sở hửu"") to own (v.)"
hữu	الملكية	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	هوو	again
hỷ	هاي	hy
ian	إيان	ian, as in australian swimmer ian thorpe
iau	يا إلهي	iau
iberia	ايبيريا	iberia
ibm	آي بي إم	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	جيم	ic
icc	المحكمة الجنائية الدولية	icc
iceland	أيسلندا	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	إيجور	igor
iii	ثالثا	third
ilene	إيلين	ilence
illusion	الوهم	illusion
ilyich	ايليتش	ilyich
im	ايم	still
imam	إمام	(proper noun) imam
imbrium	شراب	imbriun
immanuel	إيمانويل	(proper noun) immanuel, as in immanuel kant
impact	تأثير	impact
incoterm	إنكوترم	incoterm
incoterms	مصطلحات التجارة الدولية	(proper noun) incoterms
indian	هندي	indian
indiana	إنديانا	indiana
indochina	الهند الصينية	indochina
indonesia	إندونيسيا	indonesia
indrapura	إندرابورا	(proper noun) indrapura
info	معلومات	info
innsbruck	إنسبروك	innsbruck
insulin	الأنسولين	insulin
int	عدد	int
intel	انتل	(proper noun) intel, as in the name of the company
interpol	الانتربول	interpol
inu	اينو	(proper noun) inu
inuyasha	إينوياشا	inuyasha
inư	اينو	(proper noun) inư
io	io	io
ioc	ioc	ioc
ion	أيون	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	إيران	the nation of iran
iraq	العراق	iraq
ireland	ايرلندا	ireland
irgun	الإرغون	irgun
irony	السخرية	irony
irving	ايرفينغ	(proper noun) irving
isaac	إسحاق	isaac
isla	جزيرة	isla
islam	الإسلام	islam
islamabad	اسلام اباد	(proper noun) islamabad
israeli	إسرائيلي	israeli
istanbul	اسطنبول	istabbul
italia	إيطاليا	italy
italiano	italiano	(proper noun) italiano
itanium	إيتانيوم	itanium, as in windows xp itanium
ito	ايتو	ito
itsukushima	إيتسوكوشيما	itsukushima
itu	itu	itu
itzá	إيتزا	(proper noun) itzá
iv	رابعًا	4 ( greek number)
iwami	إيامي	iwami
j	ي	j
jack	جاك	jack
jackie	جاكي	(proper noun) jackie chan
jackson	جاكسون	(proper noun) jackson, as in michael jackson
jacob	يعقوب	jacob
jae	جاي	jae
jakarta	جاكرتا	(proper noun) jakarta
jan	يناير	(proper noun) jan
janeiro	جانيرو	janeiro
janet	جانيت	janet
japan	اليابان	japan
jared	جاريد	jared
jarvis	جارفيس	(proper noun) jarvis, as in jarvis cocker
jasper	يشب	(proper noun) jasper
jean	جان	jean
jeane	جين	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	جان بول	jeanpaul
jeans	جينز	jeans
jeet	جيت	(proper noun) jeet, as in jeet kune do
jeff	جيف	jeff, as in jeff drake
jefferson	جيفرسون	jefferson
jeffrey	جيفري	jeffrey
jeju	جيجو	jeju
jenda	جندا	jenda
jenny	جيني	jenny
jericho	أريحا	jericho, as in wrestler chris jericho
jerome	جيروم	jerome, as in fred jerome
jerry	جيري	(proper noun) jerry
jersey	جيرسي	jersey
jerusalem	القدس	jerusalem
jesse	جيسي	a name
jesus	المسيح	chua jesus
jetstar	جيتستار	jetstar
jewish	يهودي	jewish
jiao	جياو	jiao
jimmy	جيمي	jimmy
jin	جين	jin
jing	جينغ	jing
jiraiya	جيرايا	(proper noun) jiraiya
joachim	يواكيم	joachin
joan	جوان	a name
joe	جو	(proper noun) joe
johan	يوهان	johan
johann	جوهان	johann
johannes	جون	johannes
johannesburg	جوهانسبرغ	(proper noun) johannesburg, south africa
johnny	جوني	johnny
johns	جونز	johns
johnston	جونستون	johnston, as in harry johnston
johor	جوهور	johor
joint	مشترك	joint
jonathan	جوناثان	(proper noun) jonathan
jones	جونز	jones
jose	خوسيه	(proper noun) jose, a spanish first name
joseon	خوسيه	(proper noun) joseon
joseph	جوزيف	joseph
jscript	jscript	(proper noun) jscript
juche	جوشي	(proper noun) juche
judith	جوديث	judith
judo	الجودو	judo, the martial art
julesverne	julesverne	jules verne
julliard	جوليارد	(proper noun) julliard
jump	اقفز	jump
june	يونيو	june, as in the month
jung	جونغ	jung
junsu	جونسو	junsu
jupiter	المشتري	(proper noun) jupiter, as in the planet
jura	جورا	(proper noun) jura
juventus	يوفنتوس	juventus
k	ك	k
kaede	kaede	a japanese name
kaffee	كافي	(proper noun) kaffee, as in kaffee hag
kagome	كاجومي	kagome, as in higurashi kagome
kahn	خان	kahn
kai	كاي	kai
kakashi	كاكاشي	kakashi
kaká	كاكا	(proper noun) kaka, a brazilian soccer player
kalashnikov	كلاشينكوف	(proper noun) kalashnikov
kali	البوتاسيوم	potassium
kama	كاما	(proper noun) kama, as in the kama sutra
kamakura	كاماكورا	kamakura
kamov	كاموف	kamov
kampf	كامبف	kampf
kampong	كامبونغ	kampong
kampuchea	كمبوتشيا	cambodian
kana	كانا	kana, the japanese phonetic alphabet
kangin	كانجين	(proper noun) kangin
kanji	كانجي	kanji
kant	كانط	a name
kar	كار	(proper noun) kar
kara	كارا	kara
karaoke	كاريوكي	karaoke
karate	الكاراتيه	karate
karatedo	كاراتيدو	karatedo
karen	كارين	(proper noun) karen
karim	كريم	(proper noun) karim
kashmir	كشمير	kashmir
kaspersky	كاسبيرسكي	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	كاتاكانا	katakana, a type of japanese script
kate	كيت	(proper noun) kate, as in actress kate winslet
katherine	كاثرين	katherine
kathmandu	كاتماندو	kathmandu
katrina	كاترينا	(proper noun) katrina, as in hurricane katrina
katz	كاتز	katz
kauthara	الكوثره	kauthara, a part of the ancient kingdom of champa
kavkaz	القوقاز	kavkaz
kawasaki	كاواساكي	(proper noun) kawasaki
kay	كاي	kay
kazan	كازان	kazan, the name of a city
kcn	kcn	industrial zone
ke	كه	"(term should be ""boong ke"") a bunker (n.)"
kelly	كيلي	kelly
kelsi	كيلسي	kelsi
kelvin	كلفن	kelvin
kem	آيس كريم	ice cream (n.)
ken	كين	ken
kennedy	كينيدي	(proper noun) kennedy, as in john f. kennedy
kenneth	كينيث	(proper noun) kenneth, a name
kenny	كيني	kenny, an english first name
kentucky	كنتاكي	(proper noun) kentucky
kepler	كبلر	kepler
kerala	ولاية كيرالا	(proper noun) kerala
kevin	كيفن	kenvin
keynes	كينز	keynes, as in economist john maynard keynes
kg	كلغ	kilogram
kha	خا	(proper noun) a vietnamese first name
khai	إعلان	announce
khali	خلي	(proper noun) khali
khalip	الخليفة	(proper noun) khalip
kham	خام	endure
khan	لا مائي	rare
khang	خانغ	khang
khanh	خانه	khanh
khao	شوق	desire
khay	صينية	tray
khe	فتحة	chink
khem	خيم	abstinence
khen	مجاملة	praise
kheo	على ركائز متينة	kheo
khi	متى	when
khieu	khieu	(proper noun) khieu, as in khieu samphan
khiêm	متواضع	khiem
khiên	درع	a shield
khiêu	جنس	"('khiêu dâm"") pornographic"
khiếm	ضعيف	lack
khiến	السبب	control
khiếp	مرعوب	horrible
khiếu	كوخ	talent (n.)
khiển	تحكم	control
khleang	خلنج	kh'leang
kho	مستودع	warehouse
khoa	أعضاء هيئة التدريس	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	حفر	drill
khoang	تجويف	brag
khoanh	يرن	a slice (n.)
khoe	التباهي	to boast
khoá	قفل	lock
khoác	معطف	coat
khoán	الأسهم	stock
khoáng	المعدنية	mineral
khoát	نهائي	decisive
khoét	قطع	carve
khoăn	تأكل	disturbed
khoả	عارية	naked
khoản	البند	an item (n.)
khoảng	تقريبا	about
khoảnh	لحظات	moment
khoẻ	جيد	health
khrushchev	خروتشوف	khrushchev
khrushchyov	خروشوف	khrushchyov
khu	أرباع	section
khung	الإطار	frame
khural	الخور	khural
khuynh	غادر	trend
khuyên	النصيحة	advise
khuyết	معيب	lack
khuyển	كلب	khuyen
khuất	مخفي	hidden
khuấy	اثارة	stir
khuẩn	البكتيريا	bacteria
khuếch	تضخيم	amplification
khuỷu	الكوع	elbow
khá	جميل	quite
khác	أخرى	different
khách	ضيوف	customer
khái	المفاهيمي	concept
khám	الفحص	discover
khán	الجمهور	audience
kháng	مقاومة	appeal
khánh	الاستقلال	a type of chime made of stone (n.)
khát	عطشان	to be thirsty for (adj.)
khâm	خم	admire
khèn	للأسف	a pan-pipe (n.)
khéo	عبقري	cleverly or skillfully (adv.)
khép	مغلق	close
khía	الشق	"(term should be ""khía cạnh"") angle (n.)"
khích	التشجيع	encourage
khít	ضيق	close
khó	صعب	difficulty
khóa	قفل	a session
khóc	تبكي	cry
khói	دخان	smoke
khóm	أناناس	a cluster
khô	جاف	dry
khôn	حكيم	clever, intelligent
không	لا	not
khúc	أغنية	song
khăm	مزحة	nasty (adj.)
khăn	منشفة	difficult
khơi	في الخارج	sea
khư	khư	grip
khưu	خوو	khuu
khước	ينكر	waive
khả	الاحتمال	"(term should be ""khả năng"") ability (n.)"
khải	الوحي	triumph
khảm	فسيفساء	to encrust
khảo	الفحص	"(term should be ""tham khảo"") to consult (v.)"
khấm	مثقوب	endure
khấn	صلوا	pray
khấu	خصم	"(term should be ""sân khấu"") a stage (n.)"
khẩn	عاجل	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	النقش	moment
khắp	في كل مكان	all over
khẳng	بالإيجاب	"(term should be ""khẳng định"") to assert (v.)"
khế	فاكهة النجم	bond
khỉ	قرد	monkey or ape (n.)
khỏa	عري	nude
khỏe	جيد	health
khỏi	من	leave
khố	مئزر	loincloths
khốc	رهيبة	devastating
khối	كتلة	a block or mass of (n.)
khốn	نذل	miserable
khống	خونغ	control
khổ	معاناة	miserable (adj.)
khổng	عملاق	huge
khởi	يبدأ	start
khủng	رهيب	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	نذل	elbow
khứu	باستيل	olfactory
khử	القضاء	reduction
ki	كي	"entire phrase is ""ki lo""; means ""kilometer"""
kia	هناك	other
kid	طفل	kid
kiel	كييل	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	كيرنان	kiernan
kii	كي	kii
kikyo	كيكيو	kikyo
kilômét	كيلومترات	kilometer
kim	إبرة	kim
kingdom	المملكة	kingdom
kinsey	كينزي	kisney
kiribati	كيريباتي	kiribati
kishimoto	كيشيموتو	(proper noun) kishimoto
kiss	قبلة	kiss
kissinger	قبلة	kissinger
kitts	كيتس	kitts
kitô	المسيح	christian
kiêm	نائب الرئيس	cum
kiên	مريض	consistent
kiêng	الامتناع	abstinence, as in abstaining from eating
kiêu	متغطرس	showy
kiếp	العمر	a lifetime (n.)
kiết	الأغلال	cheap (adj.)
kiềm	قلوي	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	تحقق	control
kiểu	اكتب	type
kiệm	اقتصادية	save
kiện	سو	event (su kien)
kiệt	تحفة	exhausted (adv.)
kiệu	palanquin	scallion
klaus	كلاوس	klaus
klein	كلاين	klein
km	كم	kilometer
knesset	كنيست	knesset
knuth	كنوث	knuth, as in donald knuth
koch	كوتش	koch
kodansha	كودانشا	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	كوجورو	kogoro
komodo	كومودو	komodo
kon	كون	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	كونغ	(proper noun) kong, as in hong kong
konstantin	كونستانتين	(proper noun) konstantin
konversationslexikon	konversationslexikon	konversation-lexikon
kop	كوب	kop
koran	القرآن	koran
kornai	kornai	(proper noun) kornai, as in janos kornai
koruna	الكورونا	koruna
kosovo	kosovo	(proper noun) kosovo
kremli	الكرملي	kremil
kremlin	الكرملين	kremlin
kristen	كريستين	kristen
krông	كرونغ	krong
ku	كو	is a name
kuala	كوالا	(proper noun) kuala, as in kuala lumpur
kubrick	كوبريك	kubrick
kuen	كوين	kuen
kuiper	كويبر	(proper noun) kuiper, as in the kuiper belt
kulak	كولاك	kulak
kune	كون	(proper noun) kune, as in the martial art jeet kune do
kung	كونغ	danh vo
kungfu	الكونغفو	kung fu
kunst	كونست	kunst, as in richard kunst
kurd	كرد	kurd
kurt	كورت	(proper noun) kurt
kuwait	الكويت	kuwait, the country (n.)
kwan	كوان	kwan
kwen	كوين	kwen
kwon	كوون	kwon, as in tae kwon do; proper noun
kyrgyzstan	قيرغيزستان	(proper noun) the country of kyrgyzstan
kyushu	كيوشو	kyushu
kyūshū	kyūshū	kyushu, a japanese island
kèm	مغلق	included
kèn	البوق	horn
kém	فقير	less
kén	شرنقة	selective
kéo	سحب	scissors
kép	مزدوج	dual
két	آمن	"(term should be ""rốc két"") rocket (n.)"
kê	الدخن	statistics
kênh	القناة	channel
kêu	بكى	appeal
kìa	ها	that
kìm	كماشة	bar
kình	نظارات	rivalry
