$ tỉ	$ miliar	$ billion
cốc	cangkir	cereal
cối	mortar	mortar
cốm	nugget	grilled rice
cống	penghargaan	dedicate
cồn	alkoholik	i
cồng	gong	gong
cổng	gerbang	gate
cỗ	geladak	engine
cỗi	keras kepala	barren
cộ	kendaraan	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	tua	origin
cộng	plus	to add (v.)
cột	kolom	pole
cớ	alasan	excuse
cờ	bendera	flag
cỡ	ukuran	size
cợt	bercanda	"(term should be ""đùa cợt"") to trifle (v.)"
cục	departemen	department
cụm	gugus	cluster
cụp	diamputasi	down
cụt	diamputasi	"(should be ""xương cụt"") the tailbone or coccyx"
củ	umbi	a bulb, a botanical term
của	dari	of
củi	kayu bakar	firewood
củng	juga	reinforce
cứ	pada	any
cức	coo	"(term should be ""cức Đê"") a character in chinese history"
cứng	sulit	hard
cứngi	hardi	cungi
cừ	tumpukan	nacre
cừu	domba	sheep
cửa	pintu	door
cửu	berkembang biak	nine
cữ	cu	abstinence
cữu	peti mati	nine
cự	jarak	against
cựa	taji	retreat
cực	ekstrim	extreme
cựu	sebelumnya	former
d	d	d.
da	kulit	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	kenyal	persistent
daily	setiap hari	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	dalat	da lat
dampier	lebih basah	(proper noun) dampier, a last name
dan	dan	dan
dancing	menari	dancing
danger	bahaya	danger
danh	nama	list
daniel	daniel	daniel
dante	dante	dante
dao	pisau	poniard
darwin	darwin	darwin
das	das	das
dassault	dassault	(proper noun) dassault
date	tanggal	date
dau	sakit kepala	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	dekan	a name
degree	gelar	degree
delhi	delhi	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	demeter	(proper noun) demeter, the greek goddess of the harvest
den	ruang kerja	den
dennis	dennis	dennis
department	departemen	departmen
derek	derek	derek
des	des	des
descartes	deskripsinya	descartes
design	desain	thiet ke
deuterium	deuterium	deuterium
deutschland	deutschland	deutschland
dewan	dewan	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diana	(proper noun) diana, as in diana ross
die	mati	german
diego	diego	diego
dien	gila	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	istana	official residence or palace
dionysus	dionysus	dionysus, as in the greek god
discovery	penemuan	discovery
discussion	diskusi	discussion
disneyland	disneyland	disneyland
division	pembagian	division
divoire	divoire	d'lvoire
diêm	cocok	diem vuong
diên	gila	"(term should be ""kinh diên"") canon (n.)"
diềm	kelambu	matches
diều	layang-layang	kite
diểu	layang-layang	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	berbaris	parade
diệc	bangau	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	wajah	face to face
diệt	bunuh	to kill or destroy (v.)
diệu	sihir	effective (adj.)
djibouti	djibouti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	oleh	because of
doanh	bersama	"(term should be ""kinh doanh"") business (n.)"
doc	doc	doc
docherty	docherty	docherty
dolly	boneka	(proper noun) dolly, as in singer dolly parton
dome	kubah	nha
dominican	dominikan	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	mengancam	threat
dp	dp	dp
dracula	drakula	dracula
draft	konsep	draft
drake	drake	(proper noun) drake
driver	pengemudi	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	du	travel
dubai	dubai	dubai
duiker	duiker	duiker
duk	duk	duk
dumas	duma	dumas
dumbledore	dumbledore	dumbledore
dung	kotoran	portrait
durham	durham	durham
dursley	dursley	dursley
duy	hanya	only
duyên	ditakdirkan	coastal
duyện	bercita-cita tinggi	fellatio
duyệt	browse	browser
duơng	duong	ocean
duẩn	duan	duan
duật	duat	duat
duệ	keturunan	descendants (n.)
duỗi	meluruskan	stretch
dwight	dwight	dwight
dà	dah	gradually
dài	panjang	to lengthen, as in time
dàn	pementasan	to arrange
dàng	mudah	dang
dành	dihabiskan	for
dào	berlimpah	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	tebal	thick
dái	kencing	"penis (n.), although some may use the term to mean ""testicles"""
dám	berani	dare
dán	tempel	stick
dáng	bentuk	appearance
dát	bertatahkan	inlay
dâm	cabul	lustful (adj.)
dân	orang-orang	people
dâng	penawaran	dedicate
dây	kawat	nerve
dã	liar	chronicle
dãi	permisif	band
dãn	melebar	extend
dãy	urutan	a row (n.)
dè	hati-hati	tight
défense	défense	defense
dép	sandal	slipper
dê	kambing	goat
dì	bibi	aunt
dìu	dìu	to lead by the hand (v.)
dính	lengket	stick
dò	cari	(with word tham) to survey
dòm	lihat	snoop
dòng	baris	"(term should be ""dòng họ"") family (n.)"
dó	itu	a type of plant used to make paper in vietnam (n.)
dông	badai petir	a storm (n.)
dõi	melacak	monitor
dù	meskipun begitu	though
dùi	pons	awl
dùng	digunakan	use
dăm	serutan	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	tentu saja	why
dĩa	garpu	dish
dũng	gagah	courage
dơ	kotor	dirty
dơi	kelelawar	bat
dư	kelebihan	remnant
dưa	melon	melons
dưng	berhenti	suddently
dương	positif	penis
dường	sepertinya	seem
dưỡng	perawatan	feed
dược	farmasi	having to do with medicine (adj.)
dượng	paman	uncle
dạ	iya	night
dại	bodoh	stupid or idiotic (adj.)
dạn	tanpa rasa takut	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	format	tyoe
dạo	berjalan-jalan	vending
dạt	dicuci bersih	to drift
dạy	mengajar	teach
dải	menelanjangi	range
dấm	cuka	vinegar
dấp	tersandung	shape
dấu	tanda	signal
dấy	membangkitkan	to raise (v.)
dần	secara bertahap	people
dầu	minyak	oil
dẫm	menginjak	step on
dẫn	memimpin	to lead
dẫu	meskipun begitu	though
dận	bibi	to step on
dậu	ayam jago	rooster
dậy	bangun	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	memimpin	lead
dằn	pemberat	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	gigih	dằng dai= long/endless
dẳng	gigih	persist
dặm	mil	mile
dặn	dipesan	to advise (v.)
dặt	memesan	conservative
dẹp	datar keluar	pacify
dẹt	datar	flat
dẻ	kacang kastanye	chestnut
dẻo	plastisitas	flexible
dế	jangkrik	cricket
dền	bayam	beetroot
dể	mudah	easy
dễ	mudah	easy
dệt	menenun	textile
dị	singularitas	simple
dịch	terjemahkan	semen
dịp	kesempatan	occasion
dịu	lembut	ease
dọa	mengancam	to threaten or scare (v.)
dọc	vertikal	along
dỏm	jenaka	witty
dốc	kemiringan	slope
dối	berbohong	lie
dốt	bodoh	stupid or ignorant (adj.)
dồi	berlimpah	"(term should be ""trau dồi"") improve (v.)"
dồn	terpojok	accrue
dỗ	membujuk	dirty
dời	bergerak	leave
dở	buruk	incomplete
dỡ	menurunkan muatan	remove
dụ	misalnya	example
dục	jenis kelamin	sexuality
dụng	gunakan	use
dứa	nanas	pineapple
dứt	dihentikan	to cease
dừa	kelapa	coconut (n.)
dừng	berhenti	to cease
dữ	data	"(term should be ""giận dữ"") anger (n.)"
dự	diproyeksikan	attend
dựa	berdasarkan	base on
dực	laki-laki	dực, as in lê tương dực
dỹ	dỹ	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	anting-anting	earles
eaton	makan	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	tepi	edge
edinburgh	edinburgh	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	editor	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	mesir	egypt
eid	lebaran	(proper noun) eid
eiffel	eiffel	eiffel
einstein	einstein	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	elektronik	electronic
eliane	eliane	(proper noun) eliane
elip	elips	ellipse
elizabeth	elizabeth	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	elips	ellipse
em	kamu	younger sibling
email	email	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	emir	emir
emmy	emmy	emmy
en	id	erica reef
energy	energi	energy
engels	engels	engels
england	inggris	(proper noun) england, as in new england
eniac	eniac	eniac
entente	entente	entente
entropy	entropi	entropy
enzym	enzim	enzymes
eo	pinggang	eo, as in the film captain eo
ep	ep	a name
erich	erich	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	ernest	(proper noun) ernest
eros	eros	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	penting	essential
ethernet	ethernet	ethernet
ethiopia	etiopia	(proper noun) ethiopia
euclid	euclid	euclid
eugene	eugene	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	euro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	eropa	europe
european	orang eropa	(proper adjective) european
eva	eva	eva
everton	everton	everton
every	setiap	every
exgay	exgay	exgay
explorer	penjelajah	explorer
extensive	luas	extensive
fabio	hebat	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	fakta	fact
facto	fakto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	selamat tinggal	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	fitur	features
federer	federer	federer
feet	kaki	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fiat	fiat
fidel	fidel	fidel
field	bidang	field
fifa	fifa	fifa
fifpro	fifpro	fifpro
figo	figo	figo
fiji	fiji	fiji
finish	selesai	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	fischer	fischer, as in louis fischer
fish	ikan	fish
fishbed	fishbed	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	pematung	flanker
fleming	fleming	fleming
flight	penerbangan	flight
foch	foch	(proper noun) foch
focus	fokus	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	makanan	food
football	sepak bola	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	ford	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	garpu	forks
foundation	pondasi	foundation
fox	rubah	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	franc	franc
france	france	france
frances	frances	frances
francis	francis	francis, as in francis xavier
francisco	francisco	francisco
franco	franco	franco
frank	jujur	frank
frankfurt	frankfurt	(proper noun) frankfurt
franklin	franklin	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	kebebasan	(proper noun) freud, as in sigmund freud
friedman	orang goreng	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	funimation	(proper noun) funimation
funk	funk	funk
futsal	futsal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarin	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	gram	gam
gambia	gambia	gambia
gamow	gamow	a name
gan	hati	liver
gandhi	gandhi	gandhi, as in mahatma gandhi
gang	geng	cast iron
ganh	cemburu	to be jealous
gao	gao	strictly
gareth	gareth	a name
garrett	garrett	garrett
gary	gary	gary
gascon	gascon	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	gay	tense
gaza	gaza	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	geisha	geisha
gen	gen	gene
gene	gen	(proper noun) gene, an english first name
genesis	asal	(proper noun) genesis
georg	georg	(proper noun) georg
george	george	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	jerman	german
germany	jerman	germany
gerrard	gerrard	gerrard, a last name
ghana	ghana	(proper noun) the african country of ghana
ghe	perahu	canoe
ghen	cemburu	to be jealous (v.)
ghi	tulis	write
ghim	pin	pin
ghé	berhenti	visit
ghép	graft	fit
ghê	menjijikkan	disgust
ghì	ghì	tighten
ghẻ	kudis	scabies (n.)
ghế	kursi	chair
ghề	jeram	scabby
ghềnh	jeram	waterfall (n.)
gia	gia	date
giai	panggung	period
giam	ditahan	imprison
gian	ruang	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	gibraltar	(proper noun) gibraltar
gichin	gichin	gichin
gieo	tabur	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	cacing	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	giza	giza
già	tua	old (adj.)
giàn	tiang penopang	"(term should be ""giàn hoa"") a trellis girder"
giành	menang	secure
giàu	kaya	rich or wealthy (adj.)
giày	sepatu	a shoe
giá	harga	estimate
giám	direktur	"(term should be ""giám sát"") to supervise (v.)"
gián	kecoak	"(term should be ""gián tiếp"") indirectly"
giây	detik	seconds
giã	berdebar	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	meregangkan	stretch
gièm	pencela	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	serupa	january
giêsu	yesus	jesus
giêxu	nexus	jesus
giò	lumpia	leg
giòi	belatung	maggot (n.)
giòn	renyah	crunchy or crispy (adj.)
gió	angin	wind
gióng	seperti	align
giúp	bantuan	help
giũa	file	sharpen
giơ	macet	raise
giương	menyala	posture
giường	tempat tidur	bed
giả	gadungan	fake (adj.)
giải	hadiah	solution
giảm	kurangi	decrease
giản	disederhanakan	"(term should be ""giản dị"") simple (adj.)"
giấc	tidur	giấc ngủ= the sleep
giấm	cuka	drabble
giấu	bersembunyi	hide
giấy	kertas	paper
giầu	kaya	rich
giận	marah	angry
giằng	menguatkan	pull
giặc	musuh	enemy
giặt	mencuci	to wash (n.)
giếng	sumur	well
giết	bunuh	kill
giềng	tetangga	"(term should be ""láng giềng"") neighboring"
giễu	ejekan	ridicule
giọng	aksen	tone
giọt	tetes	drop
giỏ	keranjang	basket
giỏi	bagus	good
giồng	giong	mound
giỗ	peringatan kematian	anniversaries of deaths
giới	jenis kelamin	gender
giờ	jam	bao giờ=ever
giở	flash	to open or unfold (v.)
giỡn	bercanda	joke
giục	mendesak	urge
giữ	tunggu sebentar	hold
giữa	antara	between
gladys	gladys	gladys
glazer	glazer	glazer
glonass	glonass	glonass
gloria	gloria	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	glukosa	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	pergi	"(term should be ""gay go"") tense"
goes	pergi	goes
goku	goku	goku
golden	emas	golden
gom	kumpulkan	to gather (v.)
google	google	google
gorbachev	gorbachev	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	menanduk	gore
gorky	gorky	gorky, as in gorky park
gothic	gothic	gothic
gottfried	gottfried	gottfried
grabeel	ambil	grabeel, a last name
graham	graham	graham
granada	granada	granada
granit	granit	granite
greek	yunani	(proper noun) greek
greenland	tanah hijau	greenland
greenson	greenson	(proper noun) greenson
greenwich	greenwich	(proper noun) greenwich
greg	greg	greg
grenada	granada	grenada
grenadines	grenadines	grenadines
gross	kotor	gross
grumman	grumman	(proper noun) grumman
gruzia	georgia	gruzia
gryffindor	gryffindor	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	gu	gu
guam	guam	guam
guard	penjaga	guard
guatemala	guatemala	guatemala
gui	gui	gui
guinea	guinea	guinea
guinness	guinness	(proper noun) guinness
guitar	gitar	guitar
gujarat	gujarat	gujarat
gulag	gulag	gulag
gulf	teluk	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	semangat	gustave
gutenberg	gutenberg	gutenberg
guyana	guyana	guyana; proper noun
gà	ayam	chicken
gài	menyelipkan	to fasten (v.)
gào	teriaknya	"(term should be ""thét gào"") to cry out (v.)"
gác	penjaga	guard
gái	perempuan	girl
gán	menugaskan	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	beban	hold
gáy	tengkuk	crow
gân	tendon	tendon
gây	sebab	make
gãy	rusak	break
gì	apa	what
gìn	melestarikan	preserve
gò	gundukan	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	janda	widowed
góc	sudut	angle
gói	paket	goi
góp	angsuran	to contribute
gót	tumit	heels
gõ	jenis	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	menimbun	poniard
găng	sarung tangan	gloves
gũi	tutup	close
gươm	pedang	sword
gương	cermin	mirror
gạc	kain kasa	johnson south reef
gạo	beras	rice
gạt	ditipu	to cheat or trick (v.)
gả	perkawinan	marry
gảy	dipetik	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	brokat	brocade
gấp	cepat	times, as in many times
gấu	beruang	a bear (n.)
gần	dekat	near
gầy	kurus	thin
gẫy	rusak	break
gập	lipat	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	tongkat	stick
gắm	kentut	send
gắn	dipasang	mount
gắng	coba	try
gắt	dengan kasar	intense
gặm	mengunyah	rodent
gặp	bertemu	meet
gặt	menuai	harvest
gỉ	berkarat	rust
gọi	panggilan	call
gọn	rapi	neat (adj.)
gọng	berbingkai	gong
gọt	pengupas	cut
gỏi	salad	a vietnamese salad
gốc	root	origin (n.)
gối	bantal	"(should be ""qùy gối"") to kneel"
gốm	keramik	pottery
gồm	termasuk	include
gồng	gong	carry
gỗ	kayu	wood
gội	sampo	shampoo
gộp	dikumpulkan	aggregate
gớm	mengerikan	tremendous
gờ	langkan	edge
gởi	kirim	send
gỡ	turunkan	meet
gợi	sugestif	to evoke (v.)
gục	runtuh	"(term should be ""đánh gục"") crush, as in battle"
gừng	jahe	ginger
gửi	dikirim	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	dua	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	halogen	halogen (n.)
ham	ham	desire
hamilton	hamilton	(proper noun) hamilton
han	han	han
hang	gua	cave
hangul	hangul	hangul
hanh	hanh	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hanen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	hardy	hardy
harlem	harlem	harlem
harlow	harlow	harlow
harold	harold	(proper noun) harold
harper	pemain harpa	harper
harpercollins	harpercollins	hapercollins
harrier	harrier	harrier, as in harrier jump jet
harris	harris	harris
harry	harry	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havana	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	jajanan	hawker
hawking	menjajakan	(proper noun) hawking, as in physicist stephen hawking
hay	bagus	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	dia	he, a korean name
health	kesehatan	health
heath	kesehatan	heath
hee	hee	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrich	heinrich
helen	helen	helen
helena	helena	helena
heli	helium	helium
hematocrit	hematokrit	hematocrit
hemoglobin	hemoglobin	hemoglobin
hen	ayam	asthma
henry	henry	(proper noun) henry, as in henry kissinger
heo	babi	dolphin
her	dia	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	hercules	hercules
hermann	hermann	hermann
hermes	hermes	hermes
hersh	miliknya	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	hestia	hestia
hi	hai	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	udik	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoshi	(proper noun) hideyoshi
hidro	hidrogen	hydrogen
hillsborough	hillsborough	hillsborough
hilton	hilton	hilton
himalaya	himalaya	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hindu	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hiroshima	(proper noun) hiroshima, the japanese city
hitchcock	pasak	hitchcock
hitler	pembunuh	hitler
hitter	pemukul	hitter
hitters	pemukul	hitters
hiên	teras	(proper noun) hiên, a vietnamese first name
hiđrô	hidrogen	hydrogen
hiếm	jarang	rare
hiến	menyumbang	devote
hiếp	pemerkosaan	rape
hiếu	bakti	pious
hiềm	sakit	grudge
hiền	bijak	sage
hiểm	berbahaya	dangerous
hiểu	mengerti	learn
hiện	muncul	"(term should be ""thực hiện"") to accomplish"
hiệp	setengah	united
hiệu	efek	effective
hlv	pelatih	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	bunga	flower
hoan	festival	welcome
hogwarts	hogwarts	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	holocaust	holocause
holocen	holocene	holocen
holt	holt	holt, an english last name
hom	stek	a cutting
homer	homer	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshu	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	lebah	hornet
hotspur	hotspur	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	namun demikian	however
hoà	mengikat	peace
hoài	bernostalgia	always (adv.)
hoàn	lengkap	"(term should be ""hoàn toàn"") completely"
hoàng	kerajaan	royal (adj.)
hoành	diafragma	rife
hoá	kimia	"(term should be ""văn hoá"") culture (n.)"
hoán	perm	refined (adj.)
hoãn	untuk menunda	delay
hoạ	cat	disaster (tham hoa)
hoại	gangren	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	hentai	work
hoả	api	of
hoảng	panik	panic-stricken (adj.)
hoặc	atau	or
hp	hp	hp
hq	terbaik	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	rona	huey
hughes	hughes	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	hungary	hungary
hunt	berburu	hunt
hurley	hurley	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	husserl	huserl
huston	huston	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	saudara laki-laki	older brother
huyền	mistis	huyền thoại= legend
huyễn	ilusi	huyen
huyện	distrik	district
huyệt	titik akupunktur	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	hue	"a less common vietnamese word for ""flower"""
huấn	pelatihan	"(term should be ""huận luyện"") to train (v.)"
huế	hue	hue
huệ	hue	favour
huống	kasing	situation
huỳnh	belerang	sulfur
huỷ	batalkan	destroy
hydra	hydra	hydra, a monster in greek mythology
hydro	hidrogen	hydrogen
hyperion	hyperion	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	komedi	corpse
hàm	fungsi	"(term should be ""bao hàm"") to imply (v.)"
hàng	barang	row
hào	parit	depreciation
hách	sombong	glorious
hái	memetik	picking
hán	kekeringan	china
háo	bersemangat	eager
hát	bernyanyi	song
hâm	gila	"(term should be ""hâm mộ"") to admire (v.)"
hân	han	le ngoc han
hãi	takut	to be scared (v.)
hãn	khan	to sweat (v.)
hãng	tegas	a company (n.)
hãnh	bangga	proud
hè	musim panas	summer
hé	pecah	reveal
héo	layu	dried-out
hét	teriak	shout
hên	beruntung	luck
hí	ne	game
hít	mengendus	act of kissing (hon hit)
hò	kencan	date
hòa	mengikat	republic
hòe	sial	hoe
hòm	bahtera	box
hòn	pulau	island
hòng	yah	in order to
hóc	hóc	a corner (n.)
hót	bernyanyi	to chirp or sing (v.)
hô	ho	respiration
hôi	busuk	stink
hôm	hari	day (n.)
hôn	cium	propose
hông	pinggul	hip
hù	menakuti	threaten
hùng	pahlawan	hero
húc	menyeruduk	huc
húng	kemangi	"(should be ""húng láng"") water mint"
hút	merokok	to suck (v.)
hăng	pedas	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	guci	jar
hơi	sedikit	slightly
hơn	lebih lanjut	more or less
hư	nakal	fictional
hưu	pensiun	huu
hương	dupa	smell
hước	lucu	humor
hướng	arah	trend
hường	huong	huong
hưởng	nikmati	influence
hạ	lebih rendah	lower
hạc	crane	crane
hạch	ganglion	ganglion
hại	salahnya	harm
hạng	peringkat	rank
hạnh	hanh	happy
hạo	hai	hao
hạp	hap	hap
hạt	manik-manik	seed
hải	bea cukai	two
hảo	sempurna	perfect
hấn	han	aggressive gesture
hất	melemparkan	toss
hấu	semangka	"(term should be ""dưa hấu"") watermelon"
hầm	sup	ham
hầu	hampir	most
hận	benci	hatred
hậu	hau	anus
hắc	gelap	black
hắn	dia	he (n.)
hắt	bersin	reject
hằng	konstan	every
hặc	hặc	to criticize (v.)
hẹ	bawang merah	chinese chives
hẹp	sempit	narrow
hẻm	gang	alley (n.)
hẻo	terpencil	outback
hến	kerang	mussel
hết	selesai	most
hề	badut	"(term should be ""không hề"") never"
hễ	eh	whenever
hệ	sistem	relation
hệt	identik	exactly
hỉ	hai	happy
hịch	gedebuk	a proclamation
họ	mereka	they (n.)
họa	seni	picture
họach	rencana	"(term should be ""quy hoạch"") a project (n.)"
học	belajar	study (v.)
họng	tenggorokan	throat
họp	pertemuan	meet
hỏa	api	fire
hỏng	rusak	corruption
hố	lubang	hole
hốc	ceruk	cavity
hồ	danau	ho
hồi	adas manis	muslim
hồn	jiwa	soul
hổ	harimau	tiger
hổi	hah	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	menganga	hole
hỗ	dukungan	"(should be ""hỗ trợ"") to support or assist"
hỗn	dicampur	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	majelis	society
hộp	kotak	box
hới	buka	hoi
hớn	teriak	"(term should be ""hớn hở"") radiant (adj.)"
hờn	merajuk	hatred
hở	buka	reveal
hỡi	oi	dear
hợi	babi	pig (n.)
hợp	cocok	appropriate
hợpquận	persetujuan	general district
hụt	terjawab	loss
