$ tỉ	en milliards de dollars	$ billion
cợt	plaisanter	"(term should be ""đùa cợt"") to trifle (v.)"
cục	département	department
cụm	cluster	cluster
cụp	amputé	down
cụt	amputé	"(should be ""xương cụt"") the tailbone or coccyx"
củ	tubercules	a bulb, a botanical term
của	de	of
củi	bois de chauffage	firewood
củng	aussi	reinforce
cứ	sur	any
cức	roucouler	"(term should be ""cức Đê"") a character in chinese history"
cứng	dur	hard
cứngi	hardi	cungi
cừ	piles	nacre
cừu	mouton	sheep
cửa	la porte	door
cửu	multiplier	nine
cữ	cu	abstinence
cữu	cercueil	nine
cự	distance	against
cựa	éperons	retreat
cực	extrême	extreme
cựu	ancien	former
d	d	d.
da	peau	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	moelleux	persistent
daily	tous les jours	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	dalat	da lat
dampier	plus humide	(proper noun) dampier, a last name
dan	dan	dan
dancing	danse	dancing
danger	danger	danger
danh	nom	list
daniel	daniel	daniel
dante	dante	dante
dao	couteau	poniard
darwin	darwin	darwin
das	das	das
dassault	dassault	(proper noun) dassault
date	date	date
dau	maux de tête	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	doyen	a name
degree	degré	degree
delhi	delhi	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	déméter	(proper noun) demeter, the greek goddess of the harvest
den	repaire	den
dennis	dennis	dennis
department	département	departmen
derek	derek	derek
des	des	des
descartes	descartes	descartes
design	conception	thiet ke
deuterium	le deutérium	deuterium
deutschland	deutschland	deutschland
dewan	dewan	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diane	(proper noun) diana, as in diana ross
die	mourir	german
diego	diego	diego
dien	fou	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	palais	official residence or palace
dionysus	dionysos	dionysus, as in the greek god
discovery	découverte	discovery
discussion	discussion	discussion
disneyland	disneyland	disneyland
division	division	division
divoire	divoire	d'lvoire
diêm	matchs	diem vuong
diên	fou	"(term should be ""kinh diên"") canon (n.)"
diềm	cantonnières	matches
diều	cerf-volant	kite
diểu	cerf-volant	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	mars	parade
diệc	héron	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	le visage	face to face
diệt	tuer	to kill or destroy (v.)
diệu	la magie	effective (adj.)
djibouti	djibouti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	adn	dna
do	par	because of
doanh	joint	"(term should be ""kinh doanh"") business (n.)"
doc	doc	doc
docherty	docherty	docherty
dolly	chariot	(proper noun) dolly, as in singer dolly parton
dome	coupole	nha
dominican	dominicain	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	menaçant	threat
dp	dp	dp
dracula	dracula	dracula
draft	brouillon	draft
drake	drake	(proper noun) drake
driver	chauffeur	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	du	travel
dubai	dubaï	dubai
duiker	duiker	duiker
duk	canard	duk
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore
dung	crottin	portrait
durham	durham	durham
dursley	dursley	dursley
duy	seulement	only
duyên	prédestiné	coastal
duyện	aspirant	fellatio
duyệt	parcourir	browser
duơng	duong	ocean
duẩn	duan	duan
duật	duat	duat
duệ	descendants	descendants (n.)
duỗi	redresser	stretch
dwight	dwight	dwight
dà	dah	gradually
dài	longue	to lengthen, as in time
dàn	mise en scène	to arrange
dàng	facile	dang
dành	dépensé	for
dào	abondant	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	épais	thick
dái	pisser	"penis (n.), although some may use the term to mean ""testicles"""
dám	oser	dare
dán	coller	stick
dáng	forme	appearance
dát	incrusté	inlay
dâm	obscène	lustful (adj.)
dân	les gens	people
dâng	offrir	dedicate
dây	fil	nerve
dã	sauvage	chronicle
dãi	baver	band
dãn	dilaté	extend
dãy	séquence	a row (n.)
dè	fais attention	tight
défense	défense	defense
dép	sandales	slipper
dê	chèvre	goat
dì	tante	aunt
dìu	dìu	to lead by the hand (v.)
dính	collant	stick
dò	recherche	(with word tham) to survey
dòm	regarde	snoop
dòng	ligne	"(term should be ""dòng họ"") family (n.)"
dó	ça	a type of plant used to make paper in vietnam (n.)
dông	orage	a storm (n.)
dõi	suivre	monitor
dù	pourtant	though
dùi	perforateur	awl
dùng	utilisé	use
dăm	copeaux	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	bien sûr	why
dĩa	fourchettes	dish
dũng	vaillant	courage
dơ	sale	dirty
dơi	chauves-souris	bat
dư	excès	remnant
dưa	melon	melons
dưng	arrêter	suddently
dương	positif	penis
dường	sembler	seem
dưỡng	soins infirmiers	feed
dược	pharmacie	having to do with medicine (adj.)
dượng	oncle	uncle
dạ	oui	night
dại	insensé	stupid or idiotic (adj.)
dạn	courageux	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	format	tyoe
dạo	balade	vending
dạt	lavé	to drift
dạy	enseigner	teach
dải	bande	range
dấm	vinaigre	vinegar
dấp	trébucher	shape
dấu	le signe	signal
dấy	éveiller	to raise (v.)
dần	progressivement	people
dầu	huile	oil
dẫm	piétiner	step on
dẫn	plomb	to lead
dẫu	pourtant	though
dận	tante	to step on
dậu	coq	rooster
dậy	se lever	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	plomb	lead
dằn	ballast	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	persistant	dằng dai= long/endless
dẳng	persistant	persist
dặm	miles	mile
dặn	ordonné	to advise (v.)
dặt	commander	conservative
dẹp	à plat	pacify
dẹt	plat	flat
dẻ	châtaignes	chestnut
dẻo	plasticité	flexible
dế	grillons	cricket
dền	amarante	beetroot
dể	facile	easy
dễ	facile	easy
dệt	tissage	textile
dị	singularité	simple
dịch	traduire	semen
dịp	occasion	occasion
dịu	moelleux	ease
dọa	menaçant	to threaten or scare (v.)
dọc	vertical	along
dỏm	plein d&#39;esprit	witty
dốc	pente	slope
dối	mentir	lie
dốt	ignorant	stupid or ignorant (adj.)
dồi	abondant	"(term should be ""trau dồi"") improve (v.)"
dồn	acculé	accrue
dỗ	coaxial	dirty
dời	bouger	leave
dở	mauvais	incomplete
dỡ	déchargement	remove
dụ	par exemple	example
dục	sexe	sexuality
dụng	utiliser	use
dứa	ananas	pineapple
dứt	terminé	to cease
dừa	noix de coco	coconut (n.)
dừng	arrêter	to cease
dữ	les données	"(term should be ""giận dữ"") anger (n.)"
dự	projeté	attend
dựa	basé	base on
dực	mâle	dực, as in lê tương dực
dỹ	dỹ	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	les oreilles	earles
eaton	eaton	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	bord	edge
edinburgh	édimbourg	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	rédacteur	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	egypte	egypt
eid	eid	(proper noun) eid
eiffel	eiffel	eiffel
einstein	einstein	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	électronique	electronic
eliane	eliane	(proper noun) eliane
elip	ellipse	ellipse
elizabeth	elizabeth	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	ellipse	ellipse
em	toi	younger sibling
email	e-mail	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	émir	emir
emmy	emmy	emmy
en	en	erica reef
energy	énergie	energy
engels	engels	engels
england	angleterre	(proper noun) england, as in new england
eniac	éniaque	eniac
entente	entente	entente
entropy	entropie	entropy
enzym	enzyme	enzymes
eo	taille	eo, as in the film captain eo
ep	ep	a name
erich	erich	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	érythrée	eritrea
ernest	ernest	(proper noun) ernest
eros	eros	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	essentiel	essential
ethernet	ethernet	ethernet
ethiopia	ethiopie	(proper noun) ethiopia
euclid	euclide	euclid
eugene	eugène	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	euro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	europe	europe
european	européen	(proper adjective) european
eva	eva	eva
everton	everton	everton
every	tous	every
exgay	exgay	exgay
explorer	explorateur	explorer
extensive	extensif	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	fait	fact
facto	facto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	caractéristiques	features
federer	federer	federer
feet	les pieds	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fiat	fiat
fidel	fidel	fidel
field	champ	field
fifa	fifa	fifa
fifpro	fifpro	fifpro
figo	figo	figo
fiji	fidji	fiji
finish	finir	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	fischer	fischer, as in louis fischer
fish	poisson	fish
fishbed	lit de poisson	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	fleming	fleming
flight	vol	flight
foch	foch	(proper noun) foch
focus	se concentrer	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	la nourriture	food
football	le football	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	gué	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	fourchettes	forks
foundation	fondation	foundation
fox	renard	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	franc	franc
france	france	france
frances	frances	frances
francis	francis	francis, as in francis xavier
francisco	francisco	francisco
franco	franco	franco
frank	franc	frank
frankfurt	francfort	(proper noun) frankfurt
franklin	franklin	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	freud	(proper noun) freud, as in sigmund freud
friedman	friedman	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	funimation	(proper noun) funimation
funk	funk	funk
futsal	futsal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarine	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	grammes	gam
gambia	gambie	gambia
gamow	gamow	a name
gan	foie	liver
gandhi	gandhi	gandhi, as in mahatma gandhi
gang	gang	cast iron
ganh	jaloux	to be jealous
gao	gao	strictly
gareth	gareth	a name
garrett	garrett	garrett
gary	gary	gary
gascon	gascon	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	gay	tense
gaza	gaza	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	geisha	geisha
gen	les gènes	gene
gene	gène	(proper noun) gene, an english first name
genesis	genèse	(proper noun) genesis
georg	georg	(proper noun) georg
george	george	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	allemand	german
germany	allemagne	germany
gerrard	gerrard	gerrard, a last name
ghana	ghana	(proper noun) the african country of ghana
ghe	bateau	canoe
ghen	jaloux	to be jealous (v.)
ghi	écrire	write
ghim	épingles	pin
ghé	arrêter	visit
ghép	greffe	fit
ghê	dégoûtant	disgust
ghì	ghì	tighten
ghẻ	gale	scabies (n.)
ghế	siège	chair
ghề	rapides	scabby
ghềnh	rapides	waterfall (n.)
gia	gia	date
giai	étape	period
giam	détenu	imprison
gian	l&#39;espace	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	gibraltar	(proper noun) gibraltar
gichin	gichin	gichin
gieo	semer	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	vers	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	gizeh	giza
già	vieux	old (adj.)
giàn	treillis	"(term should be ""giàn hoa"") a trellis girder"
giành	gagné	secure
giàu	riche	rich or wealthy (adj.)
giày	chaussures	a shoe
giá	prix	estimate
giám	réalisateur	"(term should be ""giám sát"") to supervise (v.)"
gián	cafards	"(term should be ""gián tiếp"") indirectly"
giây	secondes	seconds
giã	battant	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	étirer	stretch
gièm	détracteurs	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	jésus	jesus
giêxu	nexus	jesus
giò	rouleaux de printemps	leg
giòi	asticots	maggot (n.)
giòn	croquant	crunchy or crispy (adj.)
gió	le vent	wind
gióng	comme	align
giúp	aider	help
giũa	fichier	sharpen
giơ	brouiller	raise
giương	torchage	posture
giường	lit	bed
giả	faux	fake (adj.)
giải	prix	solution
giảm	réduire	decrease
giản	simplifié	"(term should be ""giản dị"") simple (adj.)"
giấc	dormir	giấc ngủ= the sleep
giấm	vinaigre	drabble
giấu	cacher	hide
giấy	papier	paper
giầu	riche	rich
giận	fâché	angry
giằng	contreventement	pull
giặc	ennemi	enemy
giặt	lavage	to wash (n.)
giếng	le puits	well
giết	tuer	kill
giềng	voisin	"(term should be ""láng giềng"") neighboring"
giễu	ridicule	ridicule
giọng	accent	tone
giọt	gouttes	drop
giỏ	panier	basket
giỏi	bon	good
giồng	giong	mound
giỗ	anniversaire de la mort	anniversaries of deaths
giới	sexe	gender
giờ	l&#39;heure	bao giờ=ever
giở	flash	to open or unfold (v.)
giỡn	plaisanter	joke
giục	a exhorté	urge
giữ	attends	hold
giữa	entre	between
gladys	gladys	gladys
glazer	glazer	glazer
glonass	glonass	glonass
gloria	gloria	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	glucose	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	aller	"(term should be ""gay go"") tense"
goes	va	goes
goku	goku	goku
golden	doré	golden
gom	recueillir	to gather (v.)
google	google	google
gorbachev	gorbachev	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	gore	gore
gorky	gorky	gorky, as in gorky park
gothic	gothique	gothic
gottfried	gottfried	gottfried
grabeel	saisir	grabeel, a last name
graham	graham	graham
granada	grenade	granada
granit	granit	granite
greek	grec	(proper noun) greek
greenland	groenland	greenland
greenson	greenson	(proper noun) greenson
greenwich	greenwich	(proper noun) greenwich
greg	greg	greg
grenada	grenade	grenada
grenadines	grenadines	grenadines
gross	brut	gross
grumman	grumman	(proper noun) grumman
gruzia	géorgie	gruzia
gryffindor	gryffondor	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	gu	gu
guam	guam	guam
guard	garde	guard
guatemala	guatemala	guatemala
gui	gui	gui
guinea	guinée	guinea
guinness	guinness	(proper noun) guinness
guitar	guitare	guitar
gujarat	gujarat	gujarat
gulag	goulag	gulag
gulf	golfe	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	guyane	guyana; proper noun
gà	poulet	chicken
gài	rentrer	to fasten (v.)
gào	a crié	"(term should be ""thét gào"") to cry out (v.)"
gác	garde	guard
gái	fille	girl
gán	attribuer	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	fardeau	hold
gáy	nuque	crow
gân	tendon	tendon
gây	provoquer	make
gãy	cassé	break
gì	quoi	what
gìn	conserver	preserve
gò	monticule	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	veuve	widowed
góc	coin	angle
gói	paquet	goi
góp	versement	to contribute
gót	talon	heels
gõ	type	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	thésauriser	poniard
găng	des gants	gloves
gũi	fermer	close
gươm	épée	sword
gương	miroir	mirror
gạc	gaze	johnson south reef
gạo	riz	rice
gạt	arraché	to cheat or trick (v.)
gả	mariage	marry
gảy	arraché	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	brocart	brocade
gấp	pressé	times, as in many times
gấu	l&#39;ours	a bear (n.)
gần	près	near
gầy	mince	thin
gẫy	cassé	break
gập	plier	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	bâtons	stick
gắm	pet	send
gắn	monté	mount
gắng	essayer	try
gắt	durement	intense
gặm	ronger	rodent
gặp	rencontrer	meet
gặt	récolter	harvest
gỉ	rouillé	rust
gọi	appeler	call
gọn	soigné	neat (adj.)
gọng	bordé	gong
gọt	éplucher	cut
gỏi	salade	a vietnamese salad
gốc	racine	origin (n.)
gối	oreillers	"(should be ""qùy gối"") to kneel"
gốm	céramique	pottery
gồm	inclure	include
gồng	gong	carry
gỗ	bois	wood
gội	shampoing	shampoo
gộp	regroupé	aggregate
gớm	hideux	tremendous
gờ	rebord	edge
gởi	envoyer	send
gỡ	décharger	meet
gợi	suggestif	to evoke (v.)
gục	effondré	"(term should be ""đánh gục"") crush, as in battle"
gừng	gingembre	ginger
gửi	envoyé	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	deux	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	halogène	halogen (n.)
ham	jambon	desire
hamilton	hamilton	(proper noun) hamilton
han	han	han
hang	grotte	cave
hangul	hangul	hangul
hanh	hanh	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	robuste	hardy
harlem	harlem	harlem
harlow	harlow	harlow
harold	harold	(proper noun) harold
harper	harper	harper
harpercollins	harpercollins	hapercollins
harrier	plus dur	harrier, as in harrier jump jet
harris	harris	harris
harry	harry	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	la havane	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	colporteur	hawker
hawking	colportage	(proper noun) hawking, as in physicist stephen hawking
hay	bon	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	il	he, a korean name
health	santé	health
heath	bruyère	heath
hee	salut	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrich	heinrich
helen	helen	helen
helena	helena	helena
heli	l&#39;hélium	helium
hematocrit	hématocrite	hematocrit
hemoglobin	l&#39;hémoglobine	hemoglobin
hen	poule	asthma
henry	henry	(proper noun) henry, as in henry kissinger
heo	cochon	dolphin
her	elle	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	hercules	hercules
hermann	hermann	hermann
hermes	hermes	hermes
hersh	hersh	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	hestia	hestia
hi	salut	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	hicks	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoshi	(proper noun) hideyoshi
hidro	l&#39;hydrogène	hydrogen
hillsborough	hillsborough	hillsborough
hilton	hilton	hilton
himalaya	himalaya	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hindou	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hiroshima	(proper noun) hiroshima, the japanese city
hitchcock	hitchcock	hitchcock
hitler	hitler	hitler
hitter	frappeur	hitter
hitters	frappeurs	hitters
hiên	porche	(proper noun) hiên, a vietnamese first name
hiđrô	l&#39;hydrogène	hydrogen
hiếm	rare	rare
hiến	faire un don	devote
hiếp	viol	rape
hiếu	piété filiale	pious
hiềm	malade	grudge
hiền	sauge	sage
hiểm	dangereux	dangerous
hiểu	comprendre	learn
hiện	se montrer	"(term should be ""thực hiện"") to accomplish"
hiệp	la moitié	united
hiệu	effet	effective
hlv	entraîneur	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	fleur	flower
hoan	festival	welcome
hogwarts	poudlard	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	holocauste	holocause
holocen	holocène	holocen
holt	holt	holt, an english last name
hom	boutures	a cutting
homer	homer	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	frelon	hornet
hotspur	hotspur	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	cependant	however
hoà	cravate	peace
hoài	nostalgique	always (adv.)
hoàn	complet	"(term should be ""hoàn toàn"") completely"
hoàng	royal	royal (adj.)
hoành	diaphragme	rife
hoá	chimie	"(term should be ""văn hoá"") culture (n.)"
hoán	perm	refined (adj.)
hoãn	reporter	delay
hoạ	peindre	disaster (tham hoa)
hoại	gangrène	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	hentai	work
hoả	le feu	of
hoảng	panique	panic-stricken (adj.)
hoặc	ou	or
hp	hp	hp
hq	siège	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	huey	huey
hughes	hughes	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	hongrie	hungary
hunt	chasser	hunt
hurley	hurley	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	husserl	huserl
huston	huston	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	frère	older brother
huyền	mystique	huyền thoại= legend
huyễn	illusoire	huyen
huyện	quartier	district
huyệt	points d&#39;acupuncture	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	teinte	"a less common vietnamese word for ""flower"""
huấn	formation	"(term should be ""huận luyện"") to train (v.)"
huế	teinte	hue
huệ	teinte	favour
huống	cas	situation
huỳnh	soufre	sulfur
huỷ	annuler	destroy
hydra	hydre	hydra, a monster in greek mythology
hydro	l&#39;hydrogène	hydrogen
hyperion	hyperion	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	comédie	corpse
hàm	fonction	"(term should be ""bao hàm"") to imply (v.)"
hàng	marchandises	row
hào	fossé	depreciation
hách	dominateur	glorious
hái	cueillette	picking
hán	sécheresse	china
háo	avide	eager
hát	chanter	song
hâm	fou	"(term should be ""hâm mộ"") to admire (v.)"
hân	han	le ngoc han
hãi	effrayé	to be scared (v.)
hãn	khan	to sweat (v.)
hãng	ferme	a company (n.)
hãnh	fier	proud
hè	été	summer
hé	craqué	reveal
héo	flétrir	dried-out
hét	cria	shout
hên	chanceux	luck
hí	ne	game
hít	renifler	act of kissing (hon hit)
hò	rencontres	date
hòa	cravate	republic
hòe	merde	hoe
hòm	arche	box
hòn	île	island
hòng	bien	in order to
hóc	hóc	a corner (n.)
hót	chanter	to chirp or sing (v.)
hô	ho	respiration
hôi	faute	stink
hôm	jour	day (n.)
hôn	baiser	propose
hông	hanches	hip
hù	effrayer	threaten
hùng	des héros	hero
húc	butter	huc
húng	basilic	"(should be ""húng láng"") water mint"
hút	fumer	to suck (v.)
hăng	piquant	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	pots	jar
hơi	légèrement	slightly
hơn	plus	more or less
hư	coquine	fictional
hưu	retraité	huu
hương	encens	smell
hước	humoristique	humor
hướng	direction	trend
hường	huong	huong
hưởng	profiter	influence
hạ	plus bas	lower
hạc	grue	crane
hạch	ganglion	ganglion
hại	mal	harm
hạng	rang	rank
hạnh	hanh	happy
hạo	hao	hao
hạp	hap	hap
hạt	des perles	seed
hải	les douanes	two
hảo	parfait	perfect
hấn	hấn	aggressive gesture
hất	lancer	toss
hấu	pastèque	"(term should be ""dưa hấu"") watermelon"
hầm	ragoût	ham
hầu	presque	most
hận	déteste	hatred
hậu	hau	anus
hắc	noir	black
hắn	lui	he (n.)
hắt	éternuer	reject
hằng	constant	every
hặc	hặc	to criticize (v.)
hẹ	échalotes	chinese chives
hẹp	étroit	narrow
hẻm	ruelle	alley (n.)
hẻo	isolé	outback
hến	moules	mussel
hết	sur	most
hề	clown	"(term should be ""không hề"") never"
hễ	hein	whenever
hệ	système	relation
hệt	identique	exactly
hỉ	hei	happy
hịch	thud	a proclamation
họ	eux	they (n.)
họa	art	picture
họach	planifier	"(term should be ""quy hoạch"") a project (n.)"
học	apprendre	study (v.)
họng	la gorge	throat
họp	réunion	meet
hỏa	feu	fire
hỏng	cassé	corruption
hố	fosse	hole
hốc	niches	cavity
hồ	lac	ho
hồi	anis	muslim
hồn	âme	soul
hổ	tigre	tiger
hổi	huh	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	béant	hole
hỗ	soutien	"(should be ""hỗ trợ"") to support or assist"
hỗn	mixte	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	assemblage	society
hộp	boîte	box
hới	ouvert	hoi
hớn	cria	"(term should be ""hớn hở"") radiant (adj.)"
hờn	boudeur	hatred
hở	ouvert	reveal
hỡi	oi	dear
hợi	cochon	pig (n.)
hợp	convenable	appropriate
hợpquận	consentement	general district
hụt	manqué	loss
hủi	lépreux	reject
hủy	annuler	to erase or destroy
hứa	promesse	promise
hử	hein	hu
hửu	hein	"(term should be ""sở hửu"") to own (v.)"
hữu	propriété	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
ian	ian	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	ibérique	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ic	ic
icc	icc	icc
iceland	islande	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	iii	third
ilene	ilene	ilence
illusion	illusion	illusion
ilyich	ilyich	ilyich
im	im	still
imam	imam	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	immanuel	(proper noun) immanuel, as in immanuel kant
impact	impact	impact
incoterm	incoterm	incoterm
