aajo	அபத்தமானது	hospitality
lewon	சிறைவாசம்	imprisonment
leyi	அது இங்கே உள்ளது	mispelled...should be 'leyin', after
leè	இருக்கலாம்	can
lilelile	ஹார்ட்கோர்	tightly
lilemo	கஞ்சா	sticky
lilongwe	லிலோங்வே	lilongwe
lindi	லை	lindi
linear	நேரியல்	dogba
links	இணைப்புகள்	eka; this is a new word and does not really exist in yoruba
lodo	நடைபெறும்	from
lojowaju	எதிர்காலத்தில்	the future
lojukokoro	பேராசை	covetousness
lojúgun	அவர் அழித்தார்	knee
lokunkun	ஆற்றல் மிக்கது	in the dark
loloselu	அரசியல் ரீதியாக	in politics
lopolopo	நிறைய	so many
loruko	பெயர்	name
louvre	லூவ்ரே	louvre
lovers	காதலர்கள்	awon olufe
low	குறைந்த	diye
lo	போ	than
luanda	லுவாண்டா	luanda
luther	லூதர்	luther
lynton	லிண்டன்	lynton
làgba	சமம்	more important
lààmi	அடையாளம்	sign
lààmì	அறிகுறிகள்	significant
lábé	எடை	under
láfún	கொடுக்கப்பட்டது	cassava food
láimo	இல்லாமல்	unknown
láké	உரத்த	in ake
lámọ́di	அதிர்ஷ்டம்	lamodi
lápá	பகுதி	from
lára	காயப்படுத்துகிறது	part of
lárúbáwá	இயற்கை	arabic
láì	இல்லாமல்	without
láíláí	ஒருபோதும்	old
lèe	முடியும்	can
lèyìn	பின்னர்	after
lédè	மொழியில்	language
léebá	தற்செயலாக	catch up with it
lérìnín	பனி	erin=laughter; the prefix 'l' is possesive
lérò	காரணம்	thought
léyin	பின்னர்	after
léyìn	பின்னர்	after
lérú	அடிமைத்தனம்	enslave
lílo	சுரண்டல்	using
lísa	முடுக்கம்	a chieftaincy title
lítésò	கொட்டுதல்	literature
lóde	வெளியே	modern
lópez	nipez	lopez
lópó	விதவை	widow
lórì	துறைமுகம்	on the head
lóríba	ஓவர்	subdue
lóti	நிறைய	have
lóòótò	ஆம்	truly
lóòótọ́	உண்மையில்	truly
ló	ló	to
lónà	வரும் வழியில்	in a way
lórò	நாளை	become wealthy
lọndọnu	லண்டன்	london
lọ́dọọdún	ஆண்டுதோறும்	yearly
lọ́jà	சந்தையில்	in the market
maapu	வரைபடம்	map
madeira	பீரா	madeira
mahatma	மகாத்மா	mahatma
makedonia	மாசிடோனியா	macedonia
malabo	தேன்	malabo
malay	கருதப்படுகிறது	malay
malayopolynesian	மலாய்போலினேசியன்	malayo-polynesian
malaysia	மலேசியா	malaysia
mali	நாள்	mali
mango	மாங்கனி	mango
manˈdeːla	manˈdelala	mandela
marcellus	மார்செல்லஸ்	marcellus
march	அணிவகுப்பு	march
marku	இந்த நேரத்தில்	mark
mars	செவ்வாய் கிரகம்	mars
maryland	மேரிலாந்து	maryland
maseru	பொறாமை	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	கணித	mathematics
max	அதிகபட்சம்	max
maya	இல்லை	maya
mbabane	எதிர்மறை	mbabane
means	பொருள்	ona (way)
mediteraneani	மத்திய தரைக்கடல்	mediterranean
mefeefa	மாற்றியமைத்தல்	all six
mejidinlogbon	இருபத்தெட்டு	twenty eight
mejila	பன்னிரண்டு	twelve
meksiko	மெக்சிகோ	mexico
melo	எத்தனை	some
member	உறுப்பினர்	ara
mercosur	mercosur	mercosur
merin	நான்கு	four
methodologies	முறைகள்	anaoniruuru
metropoli	பெருநகர	metropolis
meucci	meucci	meucci
mewar	மேவார்	mewar
mexico	மெக்ஸிகோ	mexico
michelle	மைக்கேல்	michelle
micronesia	மைக்ரோனேஷியா	micronesia
miiràn	நிவாரணம்	another
mimoy	மிமோய்	mimoy
mimuwa	ஒட்டிக்கொண்டிருக்கும்	import
minnesota	மினசோட்டா	minnesota
minority	சிறுபான்மை	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	சிறிய	51, (mokanleladota)
mokanlelogbon	முப்பத்தி இரண்டு	thirty-one
mombasa	mombasa	mombasa
monrovia	மன்ரோவியா	monrovia
morgan	மோர்கன்	morgan
morogoro	மோட்டார் ஓட்டுதல்	morogoro
mozambique	மொசாம்பிக்	mozambique
mozilla	மொஸில்லா	mozilla
mtn	mtn	mtn
mtwara	மீண்டும் தேர்வு செய்யவும்	mtwara
mughal	தொகுதி	mughal
mulẹ̀	நிறுவுங்கள்	establish
munispal	முனிஸ்பால்	municipal
muungano	muungano	muungano
májèmú	பரவாயில்லை	testament
mère	வரைதல்	significant
méjèèjì	இரண்டும்	the two
mérindíláàdóta	ஐம்பத்தி ஐந்து	forty-six
méte	ஐந்து	lip
mérìndínlógún	பதினாறு	sixteen
mérìnlélógójì	நாற்பத்தி நான்கு	44
méta	மூன்று	three
métèètà	தச்சு	the three
méwàá	பத்து	ten
ménu	நீ நினைக்கிறாயா	verbally contribute; complete phrase= me nu ba
mímọ́	பரிசுத்த	holy
míràn	மற்றொன்று	other
míìrán	மற்றொன்று	other
mííràn	மற்றொன்று	other
mò	அறிவு	know
mókólà	பசை	mokola
móra	குணப்படுத்த	with themselves
mó	m	with
múlẹ̀	வேகமாகப் பிடித்துக் கொள்ளுங்கள்	select land (farmland)
mẹ́fà	ஆறு	6
mẹ́rkúríù	சுட்டி	mercury
mẹ́ta	மூன்று	3
mẹ́talọ́kan	திரித்துவம்	trinity
namibia	வருவதற்கு	namibia
nathaniel	nathaniel	nathaniel
nato	நேட்டோ	nato
nawojulo	குழப்பமான	highest-spending
nawó	உங்கள் பணத்தைப் பெறுங்கள்	point finger
ncnc	ncnc	ncnc
nebraska	நெப்ராஸ்கா	nebraska
nefimu	நெஃபிம்	nefimu
neptune	நெப்டியூன்	neptune
nevis	நெவிஸ்	nevis
ngbero	திட்டமிடப்பட்டுள்ளது	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	அங்கே	there
nibere	ஆரம்ப	earlier
nigbakan	சில நேரங்களில்	at one time
nigbà	பிறகு	when
nijẹr	நைக்	niger
nilè	இங்கே	remaining
nisinyi	இப்போது	at present
nitoriidieyi	இதன் காரணமாக	because of this
nitoripe	ஏனெனில்	because
nitosi	அருகிலுள்ள	nearby
niwaju	முன்னால்	in front of
niyato	வேறுபடுத்தி	unlike
niye	போதும்	in number
niyi	அது இங்கே உள்ளது	these
nkan	விஷயம்	things
nkàn	புற்றுநோய்	something
nnaji	மாமா	nnaji
nobel	நோபல்	nobel
nombamewa	பெருக்கல்	decimal
nombáméjì	முதல் இரண்டு	two-number
novo	நோவோ	novo
nri	உணவு	nri
nse	வடிவமைப்பு	acting
nso	அருகில்	saying
nsolaboraro	பாதுகாப்பு	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	புள்ளி	indicates
nu	சுத்தமான	in
nukleotidi	உட்கரு அமிலம்	nucleotides
nukleotidipupo	உட்கரு அமிலம்	cell
numeri	உணர்வின்மை	numbers
nwa	குழந்தை	drill
nàìjíríà	நைஜீரியாவில்	nigeria
náwo	செலவு	spend money
náà	கூட	that
nì	மலை	is
nìnú	மன்னிக்கவும்	in
nìyí	இதுதான்	this is
ní	வேண்டும்	on
níbè	அங்கே	there
níbè	அங்கே	there
nífẹ̀ẹ́	நேசிக்க	love
nígbàtí	எப்பொழுது	when
nílè	கீழே	on the ground
nílùú	நகரத்தில்	in the town
nílẹ̀	நிலத்தின் மேல்	in the land
nínlá	நன்று	large
nínu	வாய்ப்பு	in
níní	வேண்டும்	having
nípà	குறைந்தபட்சம்	by
nítorípé	ஏனெனில்	because
nítumò	பொருள்	meaningful
nítòsí	அருகிலுள்ள	nearby
nítòótó	சரியாக	truly
nítòótọ́	உண்மையில்	in truth, truthfully
níwájú	முன்னால்	in front
níyanjú	நேர்மறையாக	solved
nǹkan	விஷயம்	things
nso	விரைவில்	say
oba	ஒபாமா	king
obairanderan	உறவினர்	hereditary
obere	சிறிய	started
obínibí	மரியாதை	inborn
ododo	நீதி	righteousness
ofin	சட்டம்	law
ogbè	பகுதி	a divinity
ogun	போர்	war
ogunlogo	கூட்டம்	hundreds
ojo	போல	day
ojojumo	தினசரி	daily
ojoru	அரவணைப்பு	wednesday
ojukokoro	பேராசை	covetousness
ojuoorun	சூரிய அஸ்தமனம்	atmosphere
ojuse	பொறுப்பு	responsibility
ojùkòsì	மழைப்பொழிவு	ojukosi
ojùkòtúu	மழைப்பொழிவு	ojukotuu
ojúlùmọ̀	அறிமுகமானவர்கள்	acquaintance
ojútáyé	பாகுத்தன்மை	public
ojúìwé	பக்கம்	page
okeere	வெளிநாடுகளில்	distant
okhotsk	okhotsk	okhotsk
oko	புலம்	farm
okunkun	இருள்	darkness
okunrin	மனிதன்	male person
olodiajodojuko	ஒருவருக்கொருவர்	facing wall
olohun	உரிமையாளர்கள்	god
olojukanna	உடனடியாக	same surface
olokunkun	ஹெட்ஃபோன்கள்	popular
ololugbe	தோற்றவர்	occupants
olopon	ஆணவம்	a local game
olora	கொழுப்பு	fertile
oloselukan	வணக்கம்	one political
oloye	மேதை	chief
oluda	உருவாக்கியவர்	creator
oludase	தயாரிப்பாளர்	separatist
olukoitan	பயிற்றுவிப்பாளர்	the writer
olukowe	நூலாசிரியர்	writer
olumojuto	பேராசை	overseer
oluparapo	சேர்க்கை	joint
olusoju	காவலர்	ambassador
oluwakiri	ஆய்வு	explorer
olympus	ஒலிம்பஸ்	olympus
olódùmarè	சர்வவல்லவர்	almighty god
olóyè	ஆட்சியாளர்	chief
olóṣèlú	அரசியல்வாதி	politics
olùbátan	இந்த தொடர்பு	relative
olùdarí	ஒரு தலைவர்	director
olùkópa	பங்களிப்பாளர்	participant
olùkó	பயிற்றுவிப்பாளர்	teacher
olùkọ́	ஆசிரியர்	teacher
omi	தண்ணீர்	water
omiadalu	வெள்ளம்	mixture
onialjebra	onialjebra	of algebra
onibugbe	வாடகைக்காரர்	population
onigbeja	ஆக்கபூர்வமான	allied
onigbowo	ஒரு ஸ்பான்சர்	sponsor
onigunfenfe	செயலற்ற	large angle
onilanaibagbepo	ஆணுறை	constitutional
onilile	வீட்டு உரிமையாளர்கள்	solid
oninawo	கடன் வாங்குபவர்	financial
onipin	பகுத்தறிவு	even
onisayensi	தொழில்நுட்பவியலாளர்	scientific
onisowo	வர்த்தகர்	trader
oniyewumeji	பைனரி	two-chamber
oniyijulo	அருமை	highest honour
onje	உணவு	food
onka	கால்குலேட்டர்	counter
onígbàgbó	கிழவன்	believer
oníkólóbó	தவறான	onikolobo (place)
onílẹ̀	கீழ்	land owners; citizens (omo onile)
oníná	தீ	electronic
onítumò	மொழிபெயர்ப்பாளர்	meaning
onítèbọmi	முழுக்காட்டுதல் பெற்றவர்	baptist
onítòhùn	கணக்காளர்	that person
oníwòsàn	குணப்படுத்துபவர்	doctor
oníyanjù	அனிமேஷன்	persevere
ooni	முதலை	ooni (king)
ootọ́	உண்மை	truth
opec	opec	opec
opposite	எதிர்	odi
ori	தலை	top
oriire	வாழ்த்துக்கள்	success
oriki	ஓரியண்டல்	name of endearment
orileede	தேசம்	country
orileedeajoba	ஏகாதிபத்தியம்	monarchic country
orilejoba	அரசு	seat of government, kingdom
orileominira	அரவணைப்பு	republic
orinìyìn	ஒரு பாடல்	songs of praise
orisirisi	பல்வேறு	various
orisun	மூல	source
orisa	தோற்றம்	god
oritameta	மத்தியில்	crossway
orudnun	ஆண்டு	mispelled...should orundun, century
oruko	பெயர்ச்சொல்	name
oríilè	தேசிய	land
oríilẹ̀	கட்டுரை	land
oríkì	கவிதை	family name
orílèèdè	தேசம்	country
orílẹ̀	தேசம்	continent
orílẹ́	சாயங்காலம்	nation
orísiirísi	பல்வேறு	various
orísìí	பல்வேறு	type
orísìírísi	வெவ்வேறு வகைகள்	various
orúko	அந்த மைதானம்	name
oscar	ஆஸ்கார்	oscar
oseluarailu	பொதுமக்கள்	political unit
otherwise	இல்லையெனில்	ibaje
otutu	நிறைய	coldness
oun	அவர்	it
owojagidijagan	பயங்கரவாதிகள்	upheaval
oúnjẹ	உணவு	food
odún	ஆண்டு	year
ojó	மழை பெய்யும்	day
okùnrín	சிரிப்பு	man
olórun	இறைவன்	god
olósìn	மத	rearing
odun	ஆண்டு	year
olorun	இறைவன்	god
omonìyàn	மனிதர்கள்	human beings
opolo	நிறைய	brain
ose	ose	week
oyé	உலகம்	harmattan
ofò	காலை வணக்கம்	nothingness
opolo	நிறைய	brain
paa	அணைக்க	back
paapaa	குறிப்பாக	especially
padá	நெற்று	go back
palauan	palauan	palauan
panaˈma	panaˈma	panama
panyanan	the_space	spanish
papa	பாப்பா	specifically
parapọ̀	கலவை	join
paripari	முற்றும்	finally
pele	அழகான	hello
penh	பென்	penh
penisula	ஆண்குறி	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	முத்து	with
phillipines	பிலிபைன்கள்	phillipines
pinsi	குறைந்து வருகிறது	divided
pinsoto	பினோட்டோ	separated
pinu	தீர்மானிக்கப்படுகிறது	decide
pipo	அதிகம்	plenty
pipolongo	விளம்பரம்	publicise
piposi	நிறைய	multiplication
platos	பிளேட்டோஸ்	plato's
plánẹ́tì	பிளம்பிங்	planet
po	po	share
pojulo	மிக உயர்ந்தது	larger
polandi	போலிஷ்	poland
polaroid	போலராய்டு	polaroid
population	மக்கள் தொகை	ero
portonovo	portonovo	porto novo
portuguese	போர்த்துகீசியம்	portuguese
press	அச்சகம்	press
produced	தயாரிக்கப்பட்டது	yo
protokolu	நெறிமுறை	protocol
proton	புரோட்டான்	kemika alaropo
providence	providence	providence
príncipe	príncipe	principe
pupa	சிவப்பு	red
px|kùránì	px | கர்னல்	koran or quran; the px  does not belong
pàmò	குறிப்பாக	pamo (town)
pàràkòyí	உடனடியாக	parakoyi
pààlà	ஒரு எல்லை	signalised
pàápàá	குறிப்பாக	especially
pásíà	கீழ் தளம்	persia
pátáporongodo	முற்றிலும்	entire
pè	என்று	that
pèhìndà	விந்து	turned back
pèlu	உடன்	with
pèlúpèlú	அத்துடன்	in addition
pèsè	வழங்கப்பட்டது	provide
pé	அந்த	that
péré	மட்டும்	only
péé	அந்த	that
pípa	படுகொலை	order
pípèsè	ஏற்பாடு	providing
pípẹ́	நீண்டது	long
pòwe	பழமொழிகள்	to say a proverb or wise saying
pò	மடி	join
púpo	அதிகமாக	much
púpò	மாறாக	a lot
quran	குர்ஆன்	quran
ra	வாங்க	self
race	இனம்	ere
rajya	நம்பிக்கை	rajya
ramadan	ramadan	ramadan
rank	ரேங்க்	ipo
reggae	ரெக்கே	reggae
repeats	மீண்டும் மீண்டும்	tunso
repetejulo	மிகவும் உணர்திறன்	most of all
rere	நல்ல	success
research	ஆராய்ச்சி	agbeyewo
richard	ரிச்சர்ட்	richard
right|thumb|px|aworan	வலது | கட்டைவிரல் | px | படம்	picture
rinle	புதிதாக	emphasise
riresile	ரெக்கார்டர்	humbled, lowered
riro	கற்பனை	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	சிந்தியுங்கள்	thought
robinson	ராபின்சன்	robinson
roboto	மேற்பரப்புகள்	round
rogbodiyan	கலவரம்	riot
rokirika	உலாவல்	publicise
roko	கும்பல்	farm work
roma	ரோமா	roma
rome	குரோம்	rome
ronald	ரொனால்ட்	ronald
rorùn	சுலபம்	easy
rossii	ரோஸ்ஸி	rossii
rural	கிராமப்புற	igberiko
ryan	ரியான்	ryan
ráhàn	தோன்றினார்	complain
ránmú	கவலை	grumble
république	république	republic
ré	சி	his/her
rìn	நடப்பதற்க்கு	should be orin, song or music
ròyìn	அறிவிக்கப்பட்டது	give account
rẹ	அவள்	it
saarc	அகற்று	saarc
saaree	உயர்ந்தது	after death
saarland	தரையின் மீது	saarland
safari	சஃபாரி	safari
saffana	சபையர்	savannah
safiwe	ஒப்பீடு	describe
safta	வரிசை	safta
saheli	வசதி	sahel
sakyamuni	அடுத்து	sakyamuni
sakyas	sakyas	sakyas
salem	salem	salem
salàyé	வாழ்க்கை	explained
sambia	இளைஞர்கள்	zambia
samioro	கிடைக்கிறது	signal
santa	சாந்தா	santa
say	சொல்	so
sb	sb	sb
schwarz	ஸ்க்வார்ஸ்	schwarz
sea	கடல்	odo
seat	இருக்கை	itedo
segbese	சாத்தியமான	take steps
seidamo	தெளிவானது	identify
semolara	ஆஸ்துமா	accustom
semudaju	நிச்சயமாக	assure
senegal	செனகல்	senegal
sense	உணர்வு	sensi
seville	செவில்லே	seville
sewadi	தேடல்	investigate
sharon	ஷரோன்	sharon
sibesibe	இன்னும்	further more
sihamoni	அமைப்பு	sihamoni
sile	பின்னால்	previously
silè	சொட்டுகள்	on the ground
sinai	பாவம்	sinai
sinsin	மதம்	unshakably
sioux	sioux	sioux
sise	சமையல்	works
sisodagba	வளர்ந்து	came of age
sisopo	இணைத்தல்	joined
sisupapoerekusu	துப்புதல்	neighbouring islands
sisupo	பெருக்க	concentrated
slovo	ஸ்லோவோ	slovo
so	காதல்	turned
sohun	ஆம்	something
solomon	சாலமன்	solomon
soon	விரைவில்	lai'pe
sopin	முடிவு	ended
so	அதனால்	tells
spectacular	கண்கவர்	damanran
stella	ஸ்டெல்லா	stella
structures	கட்டமைப்புகள்	igbekale
suez	suez	suez
sugbo	ஆனால் இல்லை	but
sugbọ́n	பகுத்தறிவு	but, however
sun	சூரியன்	sleep
suny	suny	suny
swahili	சுவாஹிலி	swahili
symmetry	சமச்சீர்	ogbooga
sàbúrí	அனைத்திற்கும் மேலாக	saburi
sàmì	ஒரு அறிகுறி	signalize
sàn	சிறந்த	flow
sàngó	கும்பல்	sango (god of thunder)
sàì	நன்றாக	un
sápadè	இந்த நாள்	run to
sáàpàdé	ஸ்பான்சர்ஷிப்	saapade
sáààrin	நடுவில்	between
são	புதியது	sao
sèle	திருடுவது	down
ségun	அழ	conquered
sénégal	விந்து	senegal
séyìn	மீண்டும்	back
séyìn	மீண்டும்	at the back of
sìbẹ̀	இன்னும்	there
sìni	இறால்	likewise
síbèsíbè	இருப்பினும்	further more
síbú	நிலத்திற்கு	ocean
sílẹ̀	கீழே விடுங்கள்	drop
síse	வேலை	doing
síso	இன்னும்	spoken
síso	இன்னும்	saying
síta	வெளியே	outing
síwon	அவர்களுக்கு	to them
síwájú	தொடர்ந்து	comes before
síí	இங்கே	on it
sòrò	மூளை கழுவும்	talk
sójà	சிப்பாய்	soldier
sóko	ஆலை	to the farm
sùgbón	மாறாக	but
sọ	சொல்	lose
si	நிச்சயமாக	to
síse	அமைப்பு	performing
sùgbón	மாறாக	but
se	அவர்கள் செய்கின்றார்கள்	do
sepò	இறுதியாக	cooperation
sisé	ஒர்க் அவுட்	work
sááju	ஒரு நிமிடம் எடுத்துக் கொள்ளுங்கள்	before
sísa	s .ía	to be
sísè	மொழிபெயர்ப்பு	step
tabi	அல்லது	or
tabili	மேசை	table
tabora	தவிர்ப்பு	tabora
taino	டினோ	taino
tainos	tainos	tainos
takuntakun	தடைகள்	valiant
talaka	ஏழை	poor
talika	வறுமை	the poor
tara	ஒன்பது	wholly
tata	வடிகட்டி	wildly
taínos	taínos	tainos
technology	தொழில்நுட்பம்	tekinoloji
tedo	டேட்டிங்	stay
teksas	டெக்சாஸ்	texas
tele	பின்தொடர்	before
temptation	தேடுவது	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	தி	does no directly translate
they	அவர்கள்	won
those	அந்த	awon
thumb|left|upright|nelson	கட்டைவிரல் | இடது | நிமிர்ந்து | நெல்சன்	apa osi naro
tira	பதற்றமான	quranic verse
tirana	tirana	tirana
tirè	அவரது	own
titu	சுடு	cold (if it's a person's name, it is tutu)
tiwọn	அவர்களுடையது	theirs
to	க்கு	it
toje	அரிதானது	that is
tokasi	சுட்டிக்காட்டினார்	pointing to
tokyo	டோக்கியோ	tokyo
tolerejulo	பொறுத்துக்கொள்ளப்பட்டது	most profitable
tolórítelémù	ஹோலோகாஸ்ட்	all manners of people
tomé	தக்காளி	tome
tooto	உண்மையில்	true
tori	டோரி	because
torun	அழகி	heavenly
toseluaralu	அரசியல்	political
tounsejanu	சோக	control
traduite	traduite	traduite
translated	மொழிபெயர்க்கப்பட்டுள்ளது	tunmo
tumosi	பொருள்	means
tuntun	புதியது	new
tàsí	இல்லாமல்	or
tàwon	அவர்களுக்கு	theirs
táawà	வணங்க	we
tèlé	பின்தொடர்	before
tètè	விரைவாக	quickly
tèlé	உடனடியாக	follow
tèsíwájú	முன்னேற	progress
té	டி	follow
télè	வழங்கியவர்	before
té	t	shamed
títi	மூடப்பட்டது	till
títèlé	பின்பற்ற	following
títío	வரை	until
tíátà	டிக்கெட்	theater
tíórì	டயர்கள்	that is seen
tò	அமை	enough
tóbi	பெரியது	big
tódárajùlọ	சிறந்த	most beautiful
tókù	ஓய்வு	others
tówùú	எந்த அளவு	whatever
tó	tó	taught
tóka	மேற்கோள் காட்டப்பட்டது	pointed
tú	ஊற்றவும்	untie
túmò	பிளம்	means
túnse	மறுசீரமைக்கவும்	restructured
tẹ̀ǹbẹ̀	பிறகு	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	சதி	bitterness
ucb	ucb	ucb
umueri	குழந்தைகள்	umueri
unifasiti	பல்கலைக்கழகம்	university
unla	ஆம்	great
urasílì	uracil	uracil
uribe	ஒளி	uribe
usps	usps	usps
utah	உட்டா	utah
utc	utc	utc
uzbek	வழி	uzbek
venezuela	வெனிசுலா	venezuela
vermont	வெர்மான்ட்	vermont
victor	வெற்றியாளர்	victor
videos	வீடியோக்கள்	fidio
vihara	விஹாரா	vihara
villa	வில்லா	villa
viruses	வைரஸ்கள்	awon eran
visit	வருகை	ibewo
vz	vz	vz
waa	இது	ours
waju	முகம்	future
wari	வாசனை	once existing
westminster	வெஸ்ட்மின்ஸ்டர்	westminster
wisconsin	விஸ்கான்சின்	wisconsin
witkin	விட்கின்	witkin
wiwari	கண்டுபிடிப்பு	discovered
województwo	cheworddztwo	wojewodztwo
wole	உள்நுழைக	into
woo	வூ	look
wo	இங்கே	enter
wo	இங்கே	look
won	அவர்களுக்கு	they
wura	தங்கம்	gold
wyoming	வயோமிங்	wyoming
wàásù	உபதேசம் செய்யுங்கள்	preach
wì	கழுவ வேண்டும்	that
wípè	தெளிவு	that
wòfún	பார்வை	convenient
wònyí	இவை	these
wón	அவர்களுக்கு	they
wúnrèn	ஒர்க் அவுட்	small amount
wọn	அவர்களுக்கு	they
wọ̀nyí	இவை	these
xd	xd	xd
xiv	xiv	xiv
yafran	எழுத்துக்கள்	yafran
yakubu	யாகுப்	yakubu
yan	தேர்ந்தெடுக்கவும்	choose
yanjú	தீர்க்க	solve
yanturu	நிறைய	abundant
yaoundé	yaoundé	yaounde
yewo	முன்னேற்றம்	examine
ye	ஆம்	suitable
ye	ஆம்	should
yindinyindin	ஒருபோதும் நிறுத்தாதே	brightly
yio	வேண்டும்	will
yiowu	அது நடக்கும்	any
yipada	திரும்பவும்	change
yiyafunnilo	அரிப்பு	borrow
yoo	விருப்பம்	will
yori	வழிநடத்தியது	result
york	யார்க்	york
yorúbà	தயிர்	yoruba
yo	yo	remove
yànan	ஆச்சரியம்	scattered
yàtò	அமைக்கவும்	other than
yára	சீக்கிரம்	quickly
yèwò	பாருங்கள்	examine
yée	அவர்களை விடு	eplained to
yì	போ	this
yìí	இது	this
yí	திரும்பவும்	this
yíyípadà	மாற்றம்	changed
yíì	நீங்கள் செய்வீர்கள்	this
yíò	அது நடக்கும்	it will
yẹ̀ẹ́	நான் அறிவேன்	check
yọ	அகற்று	bring out
zanzibar centralsouth	சான்சிபார் சென்ட்ரல் சவுத்	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	தொலைவில்	bce
àbe	பாபூன்	under
àbámẹ́ta	வியாழன்	saturday
àbáyo	பரிந்துரை	breakthrough
àbìkú	அழியாத்தன்மை	'born to die' child
àbọ̀	பாதி	result
àdámò	தனியுரிமை	earmark
àdátá	எதிர்	adata
àdáátán	பிரத்தியேக	adaatan
àdóolóró	எண்ணெய்	bomb
àgbàjọ	பழைய மனிதன்	assembly
àgbàrá	வெள்ளம்	power
àgbáríjọ	அமைப்பு	combination
àgbékà	சுருக்கம்	suitable
àgbéyèwò	விமர்சனம்	examination
àgbìgbò	அக்கம்	a type of bird
àgbùdo	முற்றத்தில்	corn
àgọ́	கூடாரம்	ago
àifète	நோக்கம்	unable to keep quiet
àjo	பயணம்	board
àjákọ	தவிர	ajako
àjọṣepọ̀	சமூக	union
àkosílè	சுருக்கம்	written
àkosílè	ஆய்வறிக்கை	written account
àkàrà	கேக்குகள்	bean pudding
àká	அலமாரிகள்	store
àkójopò	குழு	collection
àkókó	நேரம்	previous
àlàkalè	இலக்குகள்	breakdown, explanation of actions
àlàyé	தகவல்	explanation
àlàáfíà	சமாதானம்	peace
àlááfià	ஒப்புமை	wellbeing
àlè	முறை தவறி பிறந்த குழந்தை	mistress, concubine, (side booty)
àlèpò	மேலே	joined together
àlébù	கறை	ills
àmérìkà	இயற்கைக்கு அப்பாற்பட்டது	america
àmì	அடையாளம்	sign
àmúlò	நடைமுறை	synonyms
àmúsorò	உளவியல்	resources
ànfàní	வாய்ப்பு	opportunity
àpapọ̀	ஒட்டுமொத்தமாக	federal
àpeere	உதாரணமாக	example
àrígbámú	குழப்பமான	assistant
àrùn	நோய்	disease
àrẹ	ஜனாதிபதி	president
àse	விருந்து	authority
àsàjemátèe	விடியல்	cunning
àsèyìn	பின்விளைவு	at the end
àsìkò	நேரம்	time
àsótélè	நீட்டிப்பு	prophecy
àsọdọ̀kan	ஒற்றுமை	unitary
àsekúdórógbó	பட்டை	do or die
àsà	தனிப்பயன்	habit, culture, norm
àtijo	வழக்கற்றுப் போய்விட்டது	olden days
àtìpó	அன்னிய	sojourn
àtòrìnká	சுற்றி	urinating while walking
àtúnse	தொகு	modification
àtúnse	தொகு	renovate, fix
àtẹnudẹ́nu	வாய்வழி	oral
àwon	கோட்பாடுகள்	they
àwón	பணம்	the
àwón	பணம்	the
àwùjo	சமூகம்	community
ààtò	சடங்கு	suitability
ààyè	உயிருடன்	space
àárín	மத்தியில்	middle
àáyá	விந்து	seconds
àìkó	குறைபாடு	unlearned
àìní	வேண்டும்	lack
àìròtélè	எதிர்பாராத	unthought of
àìsí	இல்லாதது	lack
án	டி	it
áwon	விபச்சாரம்	those
èbà	கொசுக்கள்	cassava flour food
èbúté	போர்ட்	shore
èdá	படைப்பு	creature
èdè	மொழி	language
èdè	மொழி	language
èfòn	பதற்றமான	efon
èhìn	அடுத்து	outskirt
èka	கிளை	branch
èkejì	மற்ற	second
èlò	பாத்திரங்கள்	tool
ènìkan	ஏதோ	someone
èràn	நோய்	virus
èrò	எண்ணங்கள்	thoughts
èsó	பள்ளிவாசல்	modesty
èsúrú	எறும்புகள்	yam (indigenous to west africa)
ète	நோக்கம்	plan
èyì	கண்ணியம்	this
èka	விளைவு	branch
èro	எண்ணங்கள்	machine
èrí	ஆதாரம்	witness
èsìn	மதம்	religion
èwù	சட்டை	clothe
èpón	நிறைய	modifier
ìbarà	காய்ச்சல்	ibara (town)
ìbánisòrò	அந்த இணைப்பு	dialogue
ìbáraeni	வண்டி	to themselves
ìbílè	பிறப்புரிமை	local
ìbílè	பிறப்புரிமை	local
ìdàgbà	இளமை	grow
ìdàpapọ̀	ஒருங்கிணைப்பு	union
ìdàrúdàpò	குழப்பம்	misunderstanding
ìdá	விலகல்	division
ìdìmú	இடையூறு	branch, part
ìdíisin	காரணம்	idi-isin
ìdíwòn	உங்கள் காரணம்	criteria
ìdó	கொடுக்கு	ido (a person's name)
ìfara	சித்திரவதை	self
ìfojúìtànìgbesiayé	வாழ்க்கை வரலாறு	biography
ìfáàrà	ஒரு மதகுரு	introduction
ìgbonnìbí jé	இது ஒரு பேரழிவு	igbonnibi
ìgbà	நேரம்	when
