$	dollar təşkil edib	dollar
igrama	oyunlar	games
igrao	oynadı	played
igrati	oynamaq	play
igrač	pleyer	player
igrača	oyunçular	player
igrače	oyuncaqlar	players
igrači	oyunçular	players
igračima	oyunçular	players
igračke	oyuncaqlar	toys
igre	oyunlar	games
igri	oyunlar	game
igru	oyunu	game
ih	onları	them
ii	ii	i
iii	iii	iii
iili	və ya	and/or
ijekavskog	ijekavian	ijekavian
ikad	heç	ever
ikada	heç	ever
ikakve	hər hansı	none
ikakvih	hər hansı	any
ikru	kürü	spawn
ili	və ya	or
ilidža	ilidža	ilidza
ilija	ya men	ilija
ilijada	iliad	iliad
ilijaš	ilijaš	ilijas
ilira	ilira	illyrian
iliri	i̇llilər	illyrians
ilirska	i̇llyrian	illyrian
ilirske	i̇llyrian	illyrian
ilirski	i̇llyrian	illyrian
ilirskih	i̇llyrian	illyrian
ilirskim	i̇llyrian	illirian
ilirsko	i̇llyrian	illyrian
ilirskog	i̇llyrian	illyrian
im	im	them
ima	var	has
imaju	onların var	have
imajući	olan	having
imala	idi	had
imale	idi	had
imali	idi	had
imalo	idi	had
imam	mənim varımdır	imam
imama	mənim varımdır	imam
imamo	bizdə var	we have
imamović	imamovic	imamović   (last name)
imao	idi	had
imati	varı olmaq, malik olmaq	have
ime	adı	name
imena	adlar	names
imenice	isimlər	nouns
imenima	adlar	names
imenom	adı ilə	name
imenovan	təyin edildi	named
imenu	adı	name
imenuje	təyin edir	nominate
imovine	əmlak	property
imperija	imperiya	empire
imperije	imperiya	empire
inače	başqa cür	usually
indexa	indeks	index
indexi	indekslər	indexi
indija	hindistan	india
indije	hindistan	india
indiji	hindistan	india
indijski	hind	indian
indirektno	dolayı yolla	indirect
indoevropski	hind-avropa	indoeuopean
indonezija	i̇ndoneziya	indonesia
indonezije	i̇ndoneziya	indonesia
indukcija	induksiya	induction
industrija	sənaye	industry
industrije	sənaye	industry
industriji	sənaye	industry
industrijom	sənaye	industry
industrijska	sənaye	industrial
industrijske	sənaye	industrial
industrijski	sənaye	industrial
industrijskih	sənaye	industrial
industrijskim	sənaye	industrial
industrijsko	sənaye	industrial
industriju	sənaye	industry
inercija	ətalət	inertion
infekcije	infeksiyalar	infections
informacija	məlumat	information
informacije	məlumat	informations
informatika	kompyuter elmləri	informatics
informativni	məlumatverici	informative
infrastruktura	infrastruktur	infrastructure
inhibira	inhibə edir	inhibited
inka	inca	inca
inostranstvu	xaricdə	abroad
inovacija	yenilik	inovation
insekata	həşəratlar	insects
instalacije	qurğular	installation
institucija	qurum	institution
institucije	qurumları	institution
institut	institut	institute
instrukcija	göstəriş	instruction
instrukcije	təlimatları	instruction
instrument	alət	instrument
insuficijencija	çatışmazlıq	failure
inteligencija	zəka	intelligence
inteligencije	zəka	intelligence
intenzivno	intensiv şəkildə	intensive
interakcije	qarşılıqlı təsir	interaction
interes	maraq	interests
interesa	maraq	interest
interesantno	maraqlıdır	interesting
interese	maraq	interests
interesu	maraq	interest
interfejs	interfeysi	interface
interfejsa	interfeysi	interface
internacionalna	beynəlxalq	international
internacionalni	beynəlxalq	international
internet	internet	internet
interneta	internet	internet
internetu	internet	(to) internet
interpolacija	interpolasiya	interpolation
interpretaciji	təfsir	interpretation
intervencija	müdaxilə	intervention
intervenciju	müdaxilə	intervention
intervju	reportaj	interview
intoksikacija	intoksikasiya	intoxication
invazije	istila	invasion
investicija	investisiya	investitions
inženjering	mühəndislik	engineering
inženjerstvo	mühəndislik	engineering
iona	ion	ion
ip	ip	internet protocol
ipak	baxmayaraq	still
iq	iq	iq
iraku	i̇raq	iraq
iran	i̇ran	iran
irana	i̇ran	iran
irc	irc	irc
iridijum	iridium	iridium
irska	i̇rlandiya	irish
irske	i̇rland	irish
irskoj	i̇rlandiya	irish
isa	isa	isa
isabeg	isabeg	isa-beg,first name,turkish origin
isabega	isabega	isa-bega
isaković	isaković	isakovic
isbn	isbn	isbn
ishaković	işaqovik	ishakovic
ishakovića	işaqovik	ishaković
ishod	nəticə	outcome
ishrani	pəhriz	nutrition
isključivo	müstəsna olaraq	exclusively
iskoristio	istifadə olunur	used
iskoristiti	faydalanmaq	use
iskorištava	istismar	exploiting
iskustva	təcrübələr	experiences
iskustvo	təcrübə	experiance
iskustvu	təcrübə	experience
islam	i̇slam	islam
islama	i̇slam	islam
islamović	islamović	islamovic
islamska	i̇slami	islamic
islamske	i̇slami	islamic
islamski	i̇slami	islamic
islamskih	i̇slami	islamic
islamskim	i̇slami	islamic
islamskog	i̇slami	islamic
islamskoj	i̇slami	islamic
islamu	i̇slam	islam
island	ada	island
ismet	ismet	ismet
iso	iso	iso
ispitivanja	sınaq	tests
ispitivanje	müayinə	interrogation
ispod	aşağıda	below
ispravan	düzəldin	right
ispravno	düzgün	correct
ispred	qabağında	in front
isprobavanje	sınaq	trial
isprva	əvvəlcə	first
ispuni	doldurmaq	perform
ispunjava	görüşür	fulfills
ispunjen	yerinə yetirdi	fulfilled
israel	israel	israel
ista	eyni	same
istaknuti	işarə etmək	distinguish
istanbul	istanbul	istanbul
istanbulu	istanbulu	istanbul
iste	eyni	the same
istezanje	uzanan	strain
isti	eyni	same
istih	eyni	same
istim	eyni	same
istina	həqiqət	truth
istine	həqiqət	truth
ističe	başa çatır	stands out
ističu	durmaq	stand out
isto	eyni	same
istog	eyni	same
istoimene	eyni adlı	he concluded
istoj	eyni	same
istok	şərq	east
istoka	şərq	east
istom	eyni	the same
istorija	tarixi	history
istovremeno	eyni vaxtda	at the same time
istočna	şərq	east
istočne	şərq	east
istočni	şərq	east
istočnih	şərq	eastern
istočnim	şərq	eastern
istočno	şərq	east
istočnog	şərq	east
istočnoj	şərq	east
istočnom	şərq	east
istočnu	şərq	east
istraživanja	tədqiqat	researches
istraživanje	tədqiqat	researching
istraživanjima	tədqiqat	research
istraživač	tədqiqatçı	researcher
istraživači	tədqiqatçılar	explorers
istu	eyni	same
isus	i̇sa	isus
isusa	i̇sa	jesus
it	o	it
italija	i̇taliya	italy
italijani	i̇talyanlar	italians
italijanski	i̇talyan	italian
italije	i̇taliya	italy
italiji	i̇taliya	italy
italijom	i̇taliya	italy
italiju	i̇taliya	italy
itd	və s.	etc
iv	iv	fourth century
iva	iva	iva
ivan	ivan	ivan
ivana	ivana	ivana
ive	iv	ivo
ivica	kənar	ivica
ivo	ivo	ivo
ix	ix	ix
iz	dən	from
iza	arxada	behind
izabran	seçilmiş	chosen
izabrana	seçilib	chosen
izabrane	seçilib	chosen
izabrani	seçilib	chosen
izaziva	təhrik edir	implies
izazove	çətinliklər	challenges
izazvala	təhrik edir	caused
izazvalo	səbəb oldu	caused
izazvao	təhrik edir	caused
izazvati	təhrik etmək	provoke
izašao	çıxdı	went out
izašla	çıxdı	left
izbačen	atılan	offcast
izbijanja	xestelikler	breakthrough
izbio	çıxdı	broke out
izbjeglica	qaçqınlar	refugee
izbjeglice	qaçqınlar	refugees
izbor	seçim	choice
izbora	seçim	elections
izbore	seçkilər	elections
izbori	seçkilər	elections
izborima	seçkilər	elections
izdaje	xəyanət	publishes
izdaju	xəyanət	betrayal
izdanja	nəşrlər	editions
izdanje	nəşr	edition
izdanju	nəşr	release
izdao	verilmişdir	released
izdat	verilmişdir	issued
izdata	verilmişdir	published
izdavanja	verilməsi	publishing
izdavač	naşir	publisher
izdvaja	təklikdə	separates
izdvajaju	durmaq	stand out
izdvojiti	təklənmək	set aside
izet	izet	izet
izetbegović	izetbegović	izetbegovic
izgled	görünüşü	appearance
izgleda	görünür	look
izgovara	tələffüz edir	pronounced
izgovor	bəhanə	excuse
izgovora	bəhanə	pronunciation
izgradio	tikilib	built
izgradnja	tikinti	building
izgradnje	tikinti	building
izgradnji	tikinti	construction
izgradnjom	tikinti	building
izgradnju	tikinti	building
izgrađen	tikilib	built
izgrađena	tikilib	built
izgrađene	tikilib	built
izgrađeni	tikilib	were built
izgrađenih	tikilib	built
izgrađuje	qurur	building
izgubila	itirdi	lost
izgubili	itirdi	lost
izgubio	itirdi	lost
izgubiti	itirmək	to lose
izjavio	ifadə etdi	said
izjašnjavaju	bildirmək	declare
izlaska	çıxmaq	coming-out
izlasku	çölə çıxmaq	leaving
izlaz	çıxış	exit
izlaza	çıxış	output
izlazak	çölə çıxmaq	exit
izlaze	ortaya çıxmaq	published
izlazi	çıxır	emerge
izletišta	gəzinti sahələri	picnic areas
izletište	gəzinti sahəsi	outing
izložbe	sərgilər	exibitions
izloženi	məruz	exposed
izlučivanje	ifraz	excreation
izlučuje	ifraz edir	excreted
izmedju	arasında	between
izmedu	arasında	between
izmet	nəcis	feces
između	arasında	between
izmjena	dəyişmək	change
izmjene	dəyişir	modifications
izmjerena	ölçülür	measured
iznad	yuxarıda	above
iznimno	müstəsna olaraq	extremely
iznos	məbləği	amount
iznose	məbləğlər	amounts
iznosi	məbləğlər	amounts
iznosio	çıxardı	amounted
iznosu	məbləği	amount
izomeraza	izomeraz	isomerases
izrade	edilməsi	development
izradu	edilməsi	development
izrael	i̇srail	israel
izraela	i̇srail	israel
izravno	birbaşa	directly
izraz	ifadəsi	expression
izraza	ifadəsi	expressions
izrazi	ifadələri	termns
izraziti	ifadə etmək	express
izrazito	aydın şəkildə	very
izračunavanje	hesablama	calculation
izražaja	ifadəsi	expression
izražava	ifadə edir	expresses
izražen	dilə gətirdi	expose
izražena	dilə gətirdi	researched
izražene	dilə gətirdi	expressed
izričito	açıq şəkildə	expressly
izuzetak	istisna	exceptions
izuzetne	müstəsna	extraordinary
izuzetno	müstəsna	exceptionally
izuzev	istisna olmaqla	except
izučava	tədqiqatlar	study
izučavaju	təhsil alırlar	study
izučavanje	öyrənmək	studying
izvan	kənarda	out of
izvanredne	qeyri-adi	extraordinary
izvedbe	performans	performance
izveden	götürülmüşdür	derived
izvedena	ifa olunur	performed
izvedeni	əldə	executed
izveli	ifa olunur	performed
izvesti	çıxarmaq	perform
izvire	bulaqlar	springs
izvještaj	hesabat	report
izvještaju	hesabat	report
izvlačenje	rəsm	extraction
izvode	ifa etmək	performe
izvodi	törəmələri	derivates
izvodili	ifa olunur	performed
izvor	mənbə	source
izvora	mənbələr	sources
izvore	mənbələr	sources
izvori	mənbələr	sources
izvorima	mənbələr	sources
izvorni	orijinal	origin
izvorno	ilkin olaraq	originally
izvoz	ixrac	export
izvoze	ixrac edir	export
izvoznik	ixracatçı	exporter
izvozu	ixrac	export
izvođač	podratçı	performer
izvođača	ifaçılar	contractors
izvođači	ifaçılar	performers
izvođenja	performans	perform
izvođenje	performans	performance
izvršava	icra edir	executes
izvršavanja	edam	expresion
izvršavanje	edam	implementation
izvršavati	icra etmək	execute
izvršen	edam edildi	executed
izvršenje	edam	execution
izvrši	icra etmək	execute
izvršila	edam edildi	executed
izvršio	törədilmiş	do
izvršiti	icra etmək	commit
izvršna	icraçı	executive
izvršnu	icraçı	executive
ići	getmək	go
išao	getdi	go
išla	getdi	went
ja	bəli	i
jablanica	alma ağacı	jablanica
jabuka	alma	apple
jabuke	alma	apples
jackson	cekson	jackson
jacques	jakatlar	jacques,first name,french origin
jaden	kasıb	jaden
jadrana	adriatik	adriatic
jadransko	adriatik	adriatic
jadranskog	adriatik	adriatic
jagoda	çiyələk	strawberry
jagode	çiyələklər	strawberries
jahić	atlı	jahic
jaja	yumurta	eggs
jajca	yumurta	jajce (town in bosnia, jajce = egg)
jajce	yumurta	jajce (place, otherwise jajce=egg)
jajcu	yumurta	jajce
jajna	yumurta	ovary
jajne	yumurta	egg
jajnici	yumurtalıqlar	ovaries
jajnika	yumurtalıqlar	ovary
jajovod	fallop borusu	oviduct
jajovoda	fallop boruları	oviduct
jak	kimi	strong
jaka	güclü	strong
jake	güclü	strong
jakih	güclü	strong
jakim	güclü	strong
jako	kimi	very
jakog	güclü	strong
jakov	jakov	james
jakova	jakov	jacob
james	cames	james
jane	ceyn	jane
janja	quzu	janja
janković	јанковић	jankovic
januar	yanvar	january
januara	yanvar	january
januaru	yanvar	january
japan	yapon	japan
japana	yaponiya	japan
japanski	yapon	japanese
japanu	yaponu	japan
jasna	aydın	jasna
jasno	aydın	clearly
java	java	java
javi	zəng edin	java
javiti	hesabat	occur
javlja	hesabat verir	occurs
javljaju	hesabat verirlər	occur
javna	ictimai	public
javne	ictimai	public
javni	ictimai	public
javnih	ictimai	public
javno	ictimai	public
javnog	ictimai	public
javnom	ictimai	public
javnost	xalqa	public
javnosti	xalqa	public
jazz	caz	jazz
jača	daha güclü	stronger
jače	daha güclü	stronger
jači	daha güclü	stronger
jačina	güc	strength
jd	jd	jd - jerome david sallinger
je	edir	is
jean	ceyn	jean
jedan	biri	one of
jedina	yalnız	only
jedine	tək olanlar	only
jedini	yeganə	only
jedinica	vahid	units
jedinicama	ədəd	units
jedinice	ədəd	unit
jedinici	vahid	units
jedinjenja	birləşmələr	compounds
jedinki	şəxslər	units
jedino	yalnız	only
jedinstva	birlik	unity
jedinstven	unikal	unique
jedinstvena	unikal	unique
jedinstveni	unikal	unique
jedinstveno	unikal	unique
jedinstvenog	unikal	unique
jedinstvenu	unikal	only
jedinstvo	birlik	unity
jedinu	yeganə	only
jedna	biri	one of
jednak	bərabərdir	identical
jednaka	bərabərdir	equal
jednake	bərabərdir	equal
jednaki	bərabərdir	equal
jednako	bərabər dərəcədə	equally
jednakost	bərabərlik	eqaulity
jednakosti	bərabərlik	equality
jednačina	tənlik	equation
jedne	biri	one
jedni	biri	one
jednim	biri	one of
jedno	biri	only
jednog	biri	one
jednoj	biri	one
jednom	bir dəfə	once
jednostavan	sadə	simple
jednostavna	sadə	simple
jednostavne	sadə	simple
jednostavni	sadə	simple
jednostavnije	daha sadə	simply
jednostavno	sadəcə	simple
jednu	biri	one
jedu	yeyirlər	eat
jedva	çətinliklə	barely
jela	qablar	fir
jelena	maral	jelena
jer	çünki	because
jesen	payız	autumn
jeseni	payız	autumn
jesenjin	payız	jesenjin
jest	edir	is
jeste	bu	is
jesti	yemək	eat
jesu	onlar	are
jetra	qaraciyər	liver
jetre	qaraciyər	liver
jevreja	yəhudilər	jews
jevreji	yəhudilər	jews
jevrejska	yəhudi	jewish
jevrejskog	yəhudi	jewish
jezera	göllər	lakes
jezero	göl	lake
jezgra	əsas	core
jezgro	əsas	core
jezici	dillərdə	languages
jezicima	dillərdə	languages
jezik	dil	language
jezika	dil	language
jezike	dillərdə	languages
jezikom	dil	language
jeziku	dil	language
jezičke	nişanlar	linguistic
jezički	linqvistik olaraq	linguistic
jezične	dilçilik	linguistic
jezični	dilçilik	linguistic
ječam	arpa	barley
jna	jna	jna
johann	johann	johann
john	john	john
johna	johna	john
joj	çox	her
jordan	jordan	jordan
jorgovan	yasəmən	heather
jos	daha çox	even
josef	josef	joseph
joseph	josef	joseph
josip	josip	josip
josipa	josipa	josip
jovan	jovan	jovan
još	daha çox	still
ju	ju	it
juan	yuan təşkil edib	juan
judaizam	yəhudilik	judaism
jug	cənub	south
juga	cənub	south
jugoistoku	cənub-şərqdə	south-east
jugoistočne	cənub-şərqdə	southeastern
jugoistočnoj	cənub-şərqdə	southeast
jugoistočnom	cənub-şərqdə	southeast
jugoslaveni	yuqoslavlar	yugoslovenians
jugoslavenske	yuqoslav	yugoslav
jugoslavenskih	yuqoslav	yugoslav
jugoslavija	yuqoslaviya	yugoslavia
jugoslavije	yuqoslaviya	yugoslavia
jugoslaviji	yuqoslaviya	yugoslavia
jugoslaviju	yuqoslaviya	yugoslavia
jugoslovenske	yuqoslav	jugoslavian
jugoton	jugoton	records
jugozapadnom	cənub-qərb	southwest
jugozapadu	cənub-qərb	southwest
jugu	cənub	south
jula	i̇yul	july
juli	i̇yul	july
julija	i̇yul	julia
julije	i̇yul	julius
julska	i̇yul	july
julu	i̇yul	july
juna	i̇yun	june
junak	qəhrəman	hero
junaka	qəhrəmanları	heroe
juni	i̇yun	june
junu	i̇yun	june
jure	jure	jure
jusić	jusic	jusic
jutro	səhər	jutro
južna	cənub	southern
južne	cənub	south
južni	cənub	southern
južnih	cənub	southern
južnim	cənub	southern
južnjaci	cənublular	southerners
južno	cənub	southern
južnog	cənub	southern
južnoj	cənub	southern
južnom	cənub	southern
južnu	cənub	southern
k	k	k
ka	ka	to
kabe	kabe	kaaba
kabriolet	konvertasiya edilə bilər	convertible
kad	nə vaxt	when
kada	nə vaxt	when
kadija	kadiya	judge
kadiluk	kadiluk	kadiluk
kadmijum	kadmium	cadmium
kadr	çərçivə	qadr
kajsija	ərik	apricot
kakanj	kakanj	kakanj
kakav	nə cür	as
kako	necə	how
kakva	nə	what kind
kakve	nə	what kind
kakvi	nə	like
kakvo	nə	what kind
kakvu	nə	what kind
kalaj	qalay	kalaj
kalcijum	kalsium	calcium
kalcijuma	kalsium	calcium
kalendar	təqvim	calendar
kalendara	təqvim	calendar
kalendaru	təqvim	calendar
kalesija	kalesiya	kalesija
kalesije	kalesije	kalesija (town)
kalinovik	kalinovik	kalinovik
kalorija	kalori	calorie
kamen	daş	stone
kamena	daş	stone
kamengrad	kamengrad	stone town
kameni	daşlar	stone
kamenih	daş	stone
kamenim	daş	stone
kamenje	daşlar	stones
kamenog	daşdan	stone
kamenom	daş	stone
kamenčića	çınqıllar	pebbles
kamenčiće	çınqıllar	stones
kanada	kanada	canada
kanade	kanada	canada
kanadi	kanada	canada
kanadu	kanada	canada
kanal	kanal	canal
kanala	kanal	canal
kanali	kanallar	channels
kanalima	kanallar	channels
kant	kant	kant
kanton	kanton	canton
kantona	kanton	cantons
kantonu	kanton	cantons
kao	kimi	as
kapacitet	tutumu	capacity
kapaciteta	tutumu	capacity
kapaciteti	imkanları	capacities
kapetan	kapitan	captain
kapetana	kapitan	captain
kapija	qapısı	gate
kapital	kapital	capital
kapitala	kapital	property
kapiten	kapitan	captain
karadžić	karadzic	karadzic
karajlić	karajlić	karajlic
karakter	xarakteri	character
karaktera	xarakteri	characters
karakteristika	xarakterikdir	characteristic
karakteristikama	xüsusiyyətləri	characteristics
karakteristike	xüsusiyyətləri	characteristics
karakterističan	xarakterikdir	characteristic
karakteristična	xarakterikdir	characteristic
karakteristične	xarakterikdir	characteristical
karakteristično	xarakterikdir	characteristic
karakteriše	səciyyələndirir	characterized by
karakterišu	xarakterizə etmək	characterize
karasi	karasi	crucian carp
karata	xəritə	tickets
karate	karate	karate
karbonat	karbonat	carbon
karcinom	xərçəng	carcinoma
kardiogenog	kardiogen	cardiogenic
karijera	karyera	career
karijere	karyera	career
karijeri	karyera	career
karijeru	karyera	career
karl	karl	carl
karla	karla	carla
karlo	karlo	karlo
karta	xəritə	map
karte	xəritələr	maps
kartica	kart	cards
kartice	kartlar	cards
kartu	xəritə	map
kasnih	gec	late
kasnije	sonradan	later
kasniji	sonradan	latter
kasnijih	sonradan	later
kasnijim	sonradan	later
kasnim	gecikdim	late
kasno	gec	late
kasnom	gec	late
kaspijskog	xəzər	caspian
katarina	katarina	katharina
katarinom	katarinom	katarina
katedra	stul	department
katedrala	katedral	cathedral
kategorija	kateqoriya	category
kategorijabiografije	tərcümeyi-hal kateqoriyası	category: biographies
kategorijabivše	kateqoriya	category: former
kategorijabosanski	kateqoriya bosniya	category bosnian
kategorijabosanskohercegovačka	kateqoriya bosniya və herseqovina	category:bosnian-herzegovinian
kategorijabosanskohercegovačke	kateqoriya bosniya və herseqovina	category bosnian
kategorijabosanskohercegovački	kateqoriya bosniya və herseqovina	category: bosnian-hercegovian
kategorijadržave	dövlətin kateqoriyası	category state
kategorijafilozofija	kateqoriyafilosofiya	category philosophy
kategorijageografija	kateqoriyageoqrafiya	category: geography
kategorijaginekologija	kateqoriyologiya	category gynecology
kategorijaglavni	kateqoriyalı	category: main
kategorijagradovi	kateqoriya	category: cities
kategorijahemijski	kateqoriyalı	category chemical
kategorijainternet	kateqoriyalı i̇nternet	category: internet
kategorijaislam	kateqoriya i̇slam	category islam
kategorijajezici	kateqoriya dili	category languages
kategorijaknjiževnost	kateqoriya ədəbiyyatı	category:literature
kategorijaliteratura	kateqoriya ədəbiyyat	category: literature
kategorijama	kateqoriyalar	categories
kategorijamedicina	tibb kateqoriyası	category:  medicine
kategorijamediteranske	aralıq dənizi kateqoriyalarına aiddir	category: mediterranean
kategorijamuškarac	kateqoriyalarçı	category: male
kategorijanovi	təsnif edilmişdir	category: new
kategorijaopćine	bələdiyyənin kateqoriyası	categories of municipalities
kategorijaračunarstvo	kateqoriyalı	category: computing
kategorijarijeke	kateqoriya sözləri	category: rivers
kategorijasoftver	kateqoriya proqram təminatı	category: software
kategorijasrednjobosanski	kateqoriyacentral bosniya	category:middle bosnian
kategorijaumjetnost	kateqoriyaart	category art
kategorijaunskosanski	kateqoriyaunskosanski	category: unsko-sanski
kategorijavoće	meyvə kateqoriyası	category fruit
kategorijačlanovi	kateqoriya üzvləri	category: members
kategorijaženski	kateqoriyalı	category: female
kategorije	kateqoriyalar	categories
kategoriji	kateqoriya	category
kategoriju	kateqoriya	category
katherine	katerin	katherine
katkad	bəzən	sometimes
katoda	katod	cathode
katolici	katoliklər	catholics
katolika	katolik	catholics
katoličanstvo	katoliklik	catholicism
katolička	katolik	catholic
katoličke	katolik	catholic
katolički	katolik	catholic
kavkaz	qafqaz	caucasus
kavkaza	qafqaz	caucasus
kazahstan	qazaxıstan	kazakhstan
kazahstana	qazaxıstan	kazakhstan
kazasi	kazasi	kazasi
kazna	cəza	penalty
kazne	cəzalar	penalties
kaznu	cəza	inprisonment
kaže	deyir	said
kažemo	deyirik	say
kažu	deyirlər	say
kefir	kefir	kefir
kemal	kemal	kemal
keramike	keramika	cheramics
kernel	kernel	kernel
kesovija	kesovija	kesovija
kihot	quixot	quijote
kilometara	kilometr	kilometers
kina	çin	china
kine	kine	china
kineska	çin	chinese
kineski	çin	chinese
kineskog	çin	chinese
kini	çin	china
kip	heykəli	statue
kipar	heykəltəraş	cyprus
kipra	kipr	cyprus
kipru	kipr	cuprus
kirijum	kirium	cerium
kisela	turş	sour
kiselina	turşu	acid
kiseline	turşular	acids
kiselinu	turşu	acid
kiseljak	otqulağı	sorrel
kiseljaka	otqulağı	sorrel
kiseonik	oksigen	oxygen
kiseonika	oksigen	oxigene
kisik	oksigen	oxygen
kisika	oksigen	oxygen
kisikom	oksigen	oxygen
kičmene	onurğa	spinal
kičmenjaci	onurğalılar	vertebrates
kičmenjaka	onurğalılar	vertebrates
kiša	yağış	rain
kiše	yağış	rain
kk	kk	basketball club
kladuša	kladuša	kladuša
klanja	qırğın	bows
klanjati	ibadət etmək	pray
klapa	klapa	gang
klasa	sinif	class
klase	sinif	classes
klasifikacija	təsnifatı	classification
klasična	klassik	classical
klasične	klassik	classical
klasični	klassik	classical
klasičnih	klassik	clasic
klasičnim	klassik	classical
klasičnog	klassik	classical
klasičnoj	klassik	classical
klasu	sinif	classes
klavijature	klavişlər	keyboards
kleopatra	kleopatra	cleopatra,first name
klima	iqlim	climate
klimatologija	iqlimşünaslıq	climatology
klimatske	iqlim	climate
klimatski	iqlim	climatic
klimatskim	iqlim	climatic
klime	iqlim	climate
klimu	iqlim	climate
klitoris	klitoris	clitoris
kljove	tüklər	fangs
ključ	açar	key
ključne	açar	crucial
ključni	açar	key
klub	klub	club
kluba	klub	club
klubova	klublar	clubs
klubovi	klublar	clubs
klubovima	klublar	clubs
klubu	klub	club
km	km təşkil edir	km
knez	şahzadə	lord
kneza	şahzadə	prince
knjiga	kitab	book
knjige	kitablar	books
knjigu	kitab	book
knjizi	kitab	book
književna	ədəbi	literary
književne	ədəbi	literary
književni	ədəbi	literary
književnici	yazıçılar	writers
književnik	yazıçı	writer
književnika	yazıçılar	writers
književnim	ədəbi	literary
književno	ədəbi	literary
književnog	ədəbi	literary
književnost	ədəbiyyat	literature
književnosti	ədəbiyyat	literature
ko	üst	who
koalicija	koalisiya	coalition
kocka	kub	qube
kod	kodu	at
koda	kodu	code
kodu	kodu	code
kog	kog	whom
koga	nə vaxt	whom
koja	hansı	who
koje	hansı	which
kojeg	hansı	which
kojega	hansı	which
kojem	kimə	which
kojemu	kimə	which
koji	hansı	who
kojih	hansı	which
kojim	hansı	which
kojima	hansı	whom
kojoj	hansı	which
kojom	hansı	which
koju	hansı	which
koktel	kokteyl	coctail
kola	maşın	circuits
kolekcija	kolleksiya	collection
koliko	nə qədər	how much
količina	kəmiyyət	quantity
količinama	miqdarda	quantities
količine	məbləğlər	quantities
količini	kəmiyyət	quantity
količinom	kəmiyyət	quantity
količinu	kəmiyyət	amount
koljena	dizlər	knees
kolo	dairə	wheel
kolone	sütunlar	columns
kolonija	koloniya	colony
kolonije	koloniyalar	colonies
kolumbija	kolumbiya	columbia
kom	ədəd	whom
komandant	komandir	commander
komandanta	komandir	commander
komandom	əmr	command
komandu	əmr	command
kombinacija	birləşmə	combination
kome	kimə	whom
komedija	komediya	comedy
komedije	komediyalar	comedy
komensalizam	komensalizm	comensalism
komete	kometa	comets
komisija	komissiya	comission
komisije	komissiya	commission
komora	kamera	chamber
komore	otaqlar	chambers
kompajler	tərtib edən	compiler
kompanija	şirkəti	company
kompanije	şirkətlər	companies
kompilacije	tərtiblər	compilation
kompleks	kompleks	complex
kompleksa	kompleks	complex
kompleksne	kompleks	complex
kompletna	tamamlandı	complete
komplikacija	fəsad	complication
komponenata	komponentləri	components
komponente	komponentləri	components
komponenti	komponentləri	components
kompozicija	tərkibi	composition
kompozicije	kompozisiyaları	composition
kompozitor	bəstəkar	composer
kompozitora	bəstəkar	composer
kompozitori	bəstəkarlar	composers
komuniciranja	rabitə	communication
komuniciranje	rabitə	comunication
komunikacija	rabitə	communication
komunikacije	rabitə	communications
komunikaciju	rabitə	communication
komunista	kommunist	communists
komunistička	kommunist	communistic
komunističke	kommunist	communist
komunizma	kommunizm	communism
konami	konami	konami
konačan	final	ultimate
konačna	final	final
konačno	nəhayət	finally
konačnom	final	final
konačnu	final	final
koncentracija	konsentrasiyası	concentration
koncentracije	konsentrasiyası	concentration
koncept	konsepsiya	concept
koncerata	konsert	concerts
koncert	konsert	concert
koncerta	konsert	concerts
koncerte	konsertlər	concert
koncerti	konsertlər	concerts
koncertima	konsertlər	concerts
koncertu	konsert	concert
konferenciji	konfrans	conference
kongres	konqres	congress
kongresa	konqres	congress
kongresu	konqres	congress
konj	at	horse
konja	at	horse
konji	atlar	horses
konjic	süvari	konjic
konjica	süvari	konjica
konstanta	sabit	constant
konstante	sabitlər	contants
konstantin	konstantin	konstantin
konstantno	daim	constantly
konstrukcije	konstruksiyalar	construction
kontakt	əlaqə	contact
kontaktu	əlaqə	contact
kontekstu	kontekst	in a way
kontinenata	qitələr	continents
kontinent	qitə	continent
kontinenta	qitə	continent
kontinentalna	qitə	continental
kontinentalne	qitə	continental
kontinentu	qitə	continent
kontinuitet	davamlılığı	continuity
kontrast	əksinə	contrast
kontrola	nəzarət	control
kontrole	nəzarət	control
kontroliše	nəzarət edir	control
kontrolom	nəzarət	control
kontrolu	nəzarət	control
konvekcija	konveksiya	convections
konvergencija	yaxınlaşma	convergence
konvergira	birləşir	converges
konzul	konsul	consul
kopito	halqa	hooves
koplja	nizə	pikes
kopna	torpaq	land
kopnene	torpaq	land
kopnu	torpaq	land
kora	qabıq	bark
koraci	addımlar	steps
korak	addım	step
koreja	koreya	korea
koridor	dəhliz	corridor
koridora	dəhliz	corridor
korijen	kök	root
korijene	kökləri	roots
korisnici	istifadəçilər	users
korisnicima	istifadəçilər	users
korisnik	istifadəçi	user
korisnika	istifadəçilər	users
korisniku	istifadəçiyə	user
korist	fayda	use
koriste	istifadə etmək	use
koristeći	istifadə edərək	using
koristi	istifadə edir	use
koristila	istifadə olunur	used
koristile	istifadə olunur	using
koristili	istifadə olunur	used
koristimo	istifadə edirik	use
koristio	istifadə olunur	used
koristiti	istifadə etmək	use
korišten	istifadə olunur	used
korištena	istifadə olunur	used
