aajo	смешно	hospitality
olùkópa	сарадник	participant
olùkó	инструктор	teacher
olùkọ́	учитељ	teacher
omi	вода	water
omiadalu	поплава	mixture
onialjebra	ониаљебра	of algebra
onibugbe	станар	population
onigbeja	конструктивно	allied
onigbowo	спонзор	sponsor
onigunfenfe	пасиван	large angle
onilanaibagbepo	кондом	constitutional
onilile	власници домова	solid
oninawo	дужник	financial
onipin	рационално	even
onisayensi	техничар	scientific
onisowo	трговац	trader
oniyewumeji	бинарни	two-chamber
oniyijulo	феноменално	highest honour
onje	дијета	food
onka	калкулатор	counter
onígbàgbó	старац	believer
oníkólóbó	увредљив	onikolobo (place)
onílẹ̀	доле	land owners; citizens (omo onile)
oníná	ватра	electronic
onítumò	преводилац	meaning
onítèbọmi	крштени	baptist
onítòhùn	рачуновођа	that person
oníwòsàn	исцелитељ	doctor
oníyanjù	анимирани	persevere
ooni	крокодила	ooni (king)
ootọ́	истинито	truth
opec	опец	opec
opposite	супротно	odi
ori	глава	top
oriire	честитам	success
oriki	оријентални	name of endearment
orileede	нација	country
orileedeajoba	империјализам	monarchic country
orilejoba	влада	seat of government, kingdom
orileominira	топлина	republic
orinìyìn	песма	songs of praise
orisirisi	разноликост	various
orisun	извор	source
orisa	порекло	god
oritameta	у средини	crossway
orudnun	годишње	mispelled...should orundun, century
oruko	именица	name
oríilè	национална	land
oríilẹ̀	чланак	land
oríkì	поезија	family name
orílèèdè	нација	country
orílẹ̀	нација	continent
orílẹ́	вече	nation
orísiirísi	разне	various
orísìí	разноликост	type
orísìírísi	различити типови	various
orúko	поље	name
oscar	осцар	oscar
oseluarailu	цивил	political unit
otherwise	иначе	ibaje
otutu	многи	coldness
oun	он	it
owojagidijagan	терористи	upheaval
oúnjẹ	храна	food
odún	година	year
ojó	је кишовито	day
okùnrín	смех	man
olórun	бог	god
olósìn	религиозни	rearing
odun	годишње	year
olorun	бог	god
omonìyàn	људска бића	human beings
opolo	многи	brain
ose	осе	week
oyé	свет	harmattan
ofò	добро јутро	nothingness
opolo	многи	brain
paa	искључи	back
paapaa	посебно	especially
padá	под	go back
palauan	палауан	palauan
panaˈma	панаˈма	panama
panyanan	простор	spanish
papa	тата	specifically
parapọ̀	мешавина	join
paripari	крај	finally
pele	шармантан	hello
penh	пенх	penh
penisula	пенисула	peninsula
periferi	перифери	periphery
petu	пету	resolve
pelu	бисер	with
phillipines	филипини	phillipines
pinsi	опада	divided
pinsoto	пиното	separated
pinu	одлучно	decide
pipo	много	plenty
pipolongo	реклама	publicise
piposi	много	multiplication
platos	платос	plato's
plánẹ́tì	водовод	planet
po	по	share
pojulo	највише	larger
polandi	пољски	poland
polaroid	полароид	polaroid
population	популација	ero
portonovo	портоново	porto novo
portuguese	португалски	portuguese
press	притисните	press
produced	произведено	yo
protokolu	протоцолу	protocol
proton	протон	kemika alaropo
providence	провиђење	providence
príncipe	принципе	principe
pupa	црвено	red
px|kùránì	пк | кернел	koran or quran; the px  does not belong
pàmò	тачније	pamo (town)
pàràkòyí	одмах	parakoyi
pààlà	граница	signalised
pàápàá	посебно	especially
pásíà	подрум	persia
pátáporongodo	апсолутно	entire
pè	звани	that
pèhìndà	сперма	turned back
pèlu	упоредо са	with
pèlúpèlú	такође	in addition
pèsè	под условом	provide
pé	то	that
péré	само	only
péé	то	that
pípa	клања	order
pípèsè	обезбеђивање	providing
pípẹ́	дуго	long
pòwe	пословице	to say a proverb or wise saying
pò	пресавити	join
púpo	превише	much
púpò	радије	a lot
quran	кур&#39;ан	quran
ra	купити	self
race	трка	ere
rajya	надати се	rajya
ramadan	рамадан	ramadan
rank	чин	ipo
reggae	реггае	reggae
repeats	понавља	tunso
repetejulo	најосетљивија	most of all
rere	добро	success
research	истраживање	agbeyewo
richard	рицхард	richard
right|thumb|px|aworan	десно | палац | пк | слика	picture
rinle	ново	emphasise
riresile	диктафон	humbled, lowered
riro	машта	thought as
rn	рн	rn
rna	рна	rna
rnarna	рнарна	rna-rna
rnas	рнас	rnas
ro	мисли	thought
robinson	робинсон	robinson
roboto	површине	round
rogbodiyan	неред	riot
rokirika	прегледавање	publicise
roko	банда	farm work
roma	роми	roma
rome	хром	rome
ronald	роналд	ronald
rorùn	лако	easy
rossii	россии	rossii
rural	сеоски	igberiko
ryan	рајан	ryan
ráhàn	појавио	complain
ránmú	забринути	grumble
république	републикуе	republic
ré	ц	his/her
rìn	шетати	should be orin, song or music
ròyìn	известио	give account
rẹ	њеној	it
saarc	уклони	saarc
saaree	супериорни	after death
saarland	на поду	saarland
safari	сафари	safari
saffana	сафир	savannah
safiwe	поређење	describe
safta	ређати	safta
saheli	погодност	sahel
sakyamuni	следећа	sakyamuni
sakyas	сакиас	sakyas
salem	салем	salem
salàyé	живот	explained
sambia	младост	zambia
samioro	на располагању	signal
santa	санта	santa
say	реците	so
sb	сб	sb
schwarz	сцхварз	schwarz
sea	море	odo
seat	седиште	itedo
segbese	вероватно	take steps
seidamo	јасно	identify
semolara	астма	accustom
semudaju	наравно	assure
senegal	сенегал	senegal
sense	смисла	sensi
seville	севилле	seville
sewadi	претрага	investigate
sharon	схарон	sharon
sibesibe	још	further more
sihamoni	структура	sihamoni
sile	иза	previously
silè	капи	on the ground
sinai	грех	sinai
sinsin	религија	unshakably
sioux	сиоук	sioux
sise	кување	works
sisodagba	одрастање	came of age
sisopo	повезивање	joined
sisupapoerekusu	пљување	neighbouring islands
sisupo	множе се	concentrated
slovo	слово	slovo
so	љубав	turned
sohun	да	something
solomon	саломон	solomon
soon	ускоро	lai'pe
sopin	крај	ended
so	тако	tells
spectacular	спектакуларно	damanran
stella	стелла	stella
structures	структуре	igbekale
suez	суез	suez
sugbo	али не	but
sugbọ́n	рационално	but, however
sun	сунце	sleep
suny	суни	suny
swahili	свахили	swahili
symmetry	симетрија	ogbooga
sàbúrí	изнад свега	saburi
sàmì	знак	signalize
sàn	боље	flow
sàngó	банда	sango (god of thunder)
sàì	добро	un
sápadè	овај дан	run to
sáàpàdé	спонзорство	saapade
sáààrin	између	between
são	нова	sao
sèle	крађа	down
ségun	плакати	conquered
sénégal	сперма	senegal
séyìn	назад	back
séyìn	назад	at the back of
sìbẹ̀	још	there
sìni	козице	likewise
síbèsíbè	ипак	further more
síbú	на земљу	ocean
sílẹ̀	изневерити	drop
síse	посао	doing
síso	још увек	spoken
síso	још увек	saying
síta	напољу	outing
síwon	њих	to them
síwájú	па надаље	comes before
síí	овде	on it
sòrò	испирање мозга	talk
sójà	војник	soldier
sóko	биљка	to the farm
sùgbón	напротив	but
sọ	реците	lose
si	сигурно	to
síse	структура	performing
sùgbón	напротив	but
se	раде	do
sepò	напокон	cooperation
sisé	разрадити	work
sááju	узми минут	before
sísa	с .иа	to be
sísè	превод	step
tabi	или	or
tabili	сто	table
tabora	избегавање	tabora
taino	дино	taino
tainos	таинос	tainos
takuntakun	ограничења	valiant
talaka	сиромашан	poor
talika	сиромаштво	the poor
tara	девет	wholly
tata	филтер	wildly
taínos	таинос	tainos
technology	технологија	tekinoloji
tedo	упознавање	stay
teksas	текас	texas
tele	пратити	before
temptation	тражећи	idanwo
terutomo	терутомо	everybody
tfrac	тфрац	tfrac
the	тхе тхе	does no directly translate
they	они	won
those	оне	awon
thumb|left|upright|nelson	палац | лево | усправно | нелсон	apa osi naro
tira	напет	quranic verse
tirana	тирана	tirana
tirè	његов	own
titu	пуцај	cold (if it's a person's name, it is tutu)
tiwọn	њихов	theirs
to	до	it
toje	ретко	that is
tokasi	истакао	pointing to
tokyo	токио	tokyo
tolerejulo	толерисано	most profitable
tolórítelémù	холокауст	all manners of people
tomé	парадајз	tome
tooto	стварно	true
tori	тори	because
torun	бринета	heavenly
toseluaralu	политичка	political
tounsejanu	трагичан	control
traduite	традуит	traduite
translated	преведено	tunmo
tumosi	значи	means
tuntun	нова	new
tàsí	без	or
tàwon	њих	theirs
táawà	клањати се	we
tèlé	пратити	before
tètè	брзо	quickly
tèlé	одмах	follow
tèsíwájú	напредовати	progress
té	т	follow
télè	од стране	before
té	т	shamed
títi	затворено	till
títèlé	пратити	following
títío	све док	until
tíátà	карте	theater
tíórì	гуме	that is seen
tò	комплет	enough
tóbi	велика	big
tódárajùlọ	најбоље	most beautiful
tókù	почивај	others
tówùú	било који износ	whatever
tó	то	taught
tóka	навео	pointed
tú	излити	untie
túmò	шљива	means
túnse	преуредити	restructured
tẹ̀ǹbẹ̀	онда	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	удруживати	bitterness
ucb	уцб	ucb
umueri	деца	umueri
unifasiti	универзитет	university
unla	да	great
urasílì	урацил	uracil
uribe	аура	uribe
usps	успс	usps
utah	утах	utah
utc	утц	utc
uzbek	начин	uzbek
venezuela	венезуела	venezuela
vermont	вермонт	vermont
victor	вицтор	victor
videos	видео	fidio
vihara	вихара	vihara
villa	вила	villa
viruses	вируса	awon eran
visit	посета	ibewo
vz	вз	vz
waa	то је	ours
waju	лице	future
wari	мирис	once existing
westminster	вестминстер	westminster
wisconsin	висцонсин	wisconsin
witkin	духовитост	witkin
wiwari	откриће	discovered
województwo	цхеворддзтво	wojewodztwo
wole	пријавите се	into
woo	воо	look
wo	овде	enter
wo	овде	look
won	њих	they
wura	злато	gold
wyoming	виоминг	wyoming
wàásù	проповиједати	preach
wì	спрати	that
wípè	јасноћа	that
wòfún	поглед	convenient
wònyí	су	these
wón	њих	they
wúnrèn	разрадити	small amount
wọn	њих	they
wọ̀nyí	ове	these
xd	кд	xd
xiv	кив	xiv
yafran	абецеда	yafran
yakubu	иакуб	yakubu
yan	одаберите	choose
yanjú	ријешити	solve
yanturu	доста	abundant
yaoundé	иаоунде	yaounde
yewo	побољшање	examine
ye	да	suitable
ye	да	should
yindinyindin	никад не одустајте	brightly
yio	ће	will
yiowu	хоће	any
yipada	окрени се	change
yiyafunnilo	ерозија	borrow
yoo	воља	will
yori	лед	result
york	иорк	york
yorúbà	јогурт	yoruba
yo	ио	remove
yànan	запрепашћење	scattered
yàtò	поставити	other than
yára	пожури	quickly
yèwò	погледај	examine
yée	пусти их	eplained to
yì	иди	this
yìí	ово	this
yí	окрени се	this
yíyípadà	промена	changed
yíì	хоћеш	this
yíò	хоће	it will
yẹ̀ẹ́	знате	check
yọ	уклони	bring out
zanzibar centralsouth	занзибар централсоутх	zanzibar centralsouth
zdna	здна	z-dna
zou	зоу	zou
zscores	зсцорес	z-scores
zy	зи	zy
 bce	далеко	bce
àbe	бабуна	under
àbámẹ́ta	четвртак	saturday
àbáyo	предлог	breakthrough
àbìkú	бесмртност	'born to die' child
àbọ̀	половина	result
àdámò	приватност	earmark
àdátá	супротно	adata
àdáátán	ексклузивно	adaatan
àdóolóró	уље	bomb
àgbàjọ	старац	assembly
àgbàrá	поплава	power
àgbáríjọ	организација	combination
àgbékà	апстрактан	suitable
àgbéyèwò	преглед	examination
àgbìgbò	комшилук	a type of bird
àgbùdo	двориште	corn
àgọ́	шатор	ago
àifète	сврха	unable to keep quiet
àjo	путовати	board
àjákọ	одвојено	ajako
àjọṣepọ̀	социјални	union
àkosílè	одвајање	written
àkosílè	теза	written account
àkàrà	колачи	bean pudding
àká	полице	store
àkójopò	група	collection
àkókó	време	previous
àlàkalè	циљеве	breakdown, explanation of actions
àlàyé	информације	explanation
àlàáfíà	мир	peace
àlááfià	аналогија	wellbeing
àlè	копиле	mistress, concubine, (side booty)
àlèpò	горе	joined together
àlébù	мана	ills
àmérìkà	натприродно	america
àmì	потпиши	sign
àmúlò	практичан	synonyms
àmúsorò	психологија	resources
ànfàní	прилика	opportunity
àpapọ̀	у целини	federal
àpeere	пример	example
àrígbámú	узнемирујуће	assistant
àrùn	болест	disease
àrẹ	председник	president
àse	гозба	authority
àsàjemátèe	зора	cunning
àsèyìn	послије	at the end
àsìkò	време	time
àsótélè	продужетак	prophecy
àsọdọ̀kan	јединство	unitary
àsekúdórógbó	лавеж	do or die
àsà	обичај	habit, culture, norm
àtijo	застарио	olden days
àtìpó	ванземаљац	sojourn
àtòrìnká	кружни ток	urinating while walking
àtúnse	уредити	modification
àtúnse	уредити	renovate, fix
àtẹnudẹ́nu	орално	oral
àwon	теорије	they
àwón	новац	the
àwón	новац	the
àwùjo	друштво	community
ààtò	ритуал	suitability
ààyè	жив	space
àárín	у средини	middle
àáyá	сперма	seconds
àìkó	недостатак	unlearned
àìní	желим	lack
àìròtélè	неочекивано	unthought of
àìsí	одсуство	lack
án	т	it
áwon	блуд	those
èbà	комарци	cassava flour food
èbúté	лука	shore
èdá	стварање	creature
èdè	језик	language
èdè	језик	language
èfòn	напет	efon
èhìn	следећа	outskirt
èka	огранак	branch
èkejì	други	second
èlò	посуђе	tool
ènìkan	нешто	someone
èràn	болест	virus
èrò	мисли	thoughts
èsó	џамија	modesty
èsúrú	мрави	yam (indigenous to west africa)
ète	сврха	plan
èyì	достојанство	this
èka	ефекат	branch
èro	мисли	machine
èrí	доказ	witness
èsìn	религија	religion
èwù	кошуља	clothe
èpón	много	modifier
ìbarà	грозница	ibara (town)
ìbánisòrò	конекција	dialogue
ìbáraeni	кочија	to themselves
ìbílè	право рођења	local
ìbílè	право рођења	local
ìdàgbà	зрелост	grow
ìdàpapọ̀	консолидација	union
ìdàrúdàpò	хаос	misunderstanding
ìdá	десертион	division
ìdìmú	узнемиреност	branch, part
ìdíisin	узрок	idi-isin
ìdíwòn	твој разлог	criteria
ìdó	убод	ido (a person's name)
ìfara	мучење	self
ìfojúìtànìgbesiayé	животна историја	biography
ìfáàrà	свештеник	introduction
ìgbonnìbí jé	то је катастрофа	igbonnibi
ìgbà	време	when
ìgbàgbé	заборавни	forgetfulness
ìgbá	крила	time
ìgbáraga	снага	pride
ìgbéraga	понос	pride
ìgbésí	живот	life
ìgbò	рам	igbo people
ìhun	гвожђе	things
ìjo	плес	church
ìjo	црква	church
ìjoba	влада	government
ìjora	мрзе	resemblance
ìjìnlè	мистерија	comprehensive
ìjìnlè	мистерија	mysterious
ìjò	вођа	consent
ìjọba	влада	government
ìkejì	други	second
ìkànna	исти	ikanna (town)
ìkèrèkú	загушења	ikereku
ìkéde	декларација	advert
ìkìjà	изазов	ikija
ìkìlò	злоупотреба	warning
ìkínin	шести	greetings
ìkẹrin	четврти	fourth
ìkọpa	учешће	ikopa
ìlera	здравље	health
ìlo	позив	use
ìlà	контура	border
ìlànàn	илузија	procedure
ìlàorùn	модрице	east
ìlàìnàró	угњетавања	vertical
ìlè	подмићивање	land
ìlé	кућа	land
ìmò	змија	knowledge
ìmò	муња	knowledge
ìmóbìdo	право рођења	imobido
ìmú	нос	knowledge
ìmúnilérú	злоупотребе	slavery
ìmúsára	да ојача	contagious
ìnagije	победа	alias
ìnáwó	издаци	expenditure
ìpolongo	оглашавање	advertisement
ìpìlẹ̀núkléù	шифровање	base
ìpìnlè	почетак	foundation
ìpínrò	параграфе	economize
ìrànlọ́wọ́	помоћ	help
ìrànàna	помоћ	path-clearing
ìràwọ̀	звезде	s
ìrí	искуство	sight
ìròkò	мисао	iroko
ìròyìn	вести	news
ìròyìnwiki	вести	wikinews
ìròrùn	илузија	peaceful
ìró	звук	sound
ìrúbo	колапс	sacrifice
ìsawo	гатање	divinity-practice
ìse	поступак	behaviour
ìsinsìnyí	сада	modern
ìsirò	прорачун	adding
ìsomó	придружити се	attachment
ìsàlè	залазак сунца	down town
ìsèlè	производња	happening
ìsìn	религија	worship
ìsòrò	медитација	speech
ìsòrí	подброј	chapter
ìsú	дебљина	lump
ìsọ	продавнице	stall
ìse	поступак	work
ìsègbèfábo	марљивост	female support
ìsèdá	стварање	creation
ìsèjoba	влада	government
ìsílé	кућа	house opening
ìsòro	потешкоће	problem
ìse	поступак	action
ìta	напољу	outside
ìtaeko	радионица	outskirts of eko
ìtan	историја	story
ìtokò	лонац	story
ìtàn	историја	history
ìtànkálé	поплаве	spread
ìtèsíwájú	напредак	progress
ìtójú	нега	treatment
ìtóju	конфузија	treatment
ìtójú	изрази лица	treatment
ìtóka	да се туку	dictionary
ìtúmò	превод	meaning
ìtúpalè	превод	exposition
ìwe	поређење	book
ìwo	рогови	horn
ìwàásù	проповедање	sermon
ìwéré	брошура	iwere (town)
ìwò	уопште	set
ìwòran	визија	viewing
ìwúlò	корисно	usefulness
ìya	патња	mother
ìyapa	раздвајање	divorce
ìyàwó	млада	wife
ìyípadà	конверзија	transformation
ìṣèlú	политика	politics
ìṣẹ́kù	остатак	broken
ìṣọ̣̀tẹ̣̀	упала плућа	rebellion
òde	напољу	society
òdeojú	без лица	surface
òdo	младост	zero
òdìkejì	други	opposite
òféàrán	слика	a town name
ògbójú	надлежни	brave
ògiri	зид	wall
ògo	слава	glory
ògun	лек	medicine
ògúndìpẹ̀	прашкаст	ogundipe
òjo	изгледати	ojo
òjísé	доктор	servant
òkèògbún	хиљаду	oke-ogbun
òkòòkan	један по један	each
òkú	лешеви	corpse
òkúta	камен	stone
òle	домаћице	lazy
òmiràn	чаробница	other
òmùàrán	слика	omu-aran (town)
òní	данас	today
òotó	истина	true
òpópóònà	пут	highway
òranyàn	обавезно	a must
òrìsà	идоли	god
òrí	поглавље	top
òrò	мозак	word
òsán	подне	afternoon
òsèlú	политичар	politics
òsèré	атлета	player
òwù	платно	owu
òṣèlú	политика	politician
òjògbón	кишовито време	learned person
òkan	једно	heart
òkòòkan	један по један	each
òpòlopò	многи	many
òré	игра	friend
òfò	следећа	sorrowful
òpòlopo	многи	lot of
òré	игра	friend
òrò	мисли	word
òsà	златна рибица	lagoon
òwó	новац	hand
òrò	мисли	word
òròàjòmó	ујутро	part of speech
ó	то	that
óníse	он је дизајнер	stricken
ósírísì	пљувачка	diverse
ósékú	он је мртав	die suddenly
ó	да	word
ôdún	година	year
únṣẹlẹ̀	земљотрес	formed
şe	урадити	do
ʔaːnaːtɕɑ̀k	.аːнаːтɕɑɕɑк	not yoruba
ˈøːstəˌʁaɪç	ˈøːстәˌʁаɪц	austria
ˌkælɪˈfɔrnjə	ɪˈкӕлɪˈфɔрњә	not yoruba
ˌæləˈbæmə	болест	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	отварање	work
ṣàkóbá	штетно	incriminate
ẹdo	шала	edo
ẹlẹ́bùn	поклон	award winner
ẹlẹ́sìn	религиозни	religionist
ẹnìkan	једна особа	someone
ẹsẹ	стопала	verse
ẹtì	јетра	friday
ẹ̀kaawon	поднесци	branch of
ẹ̀kabrítánì	стриц	part of britain
ẹ̀kajuly	може	chapter july
ẹ̀kaoṣù	трновит	month
ẹ̀kasístẹ̀mù	субјективни	sistemu=system
ẹ̀kẹ́ta	трећи	third, the third
ẹ̀kọ́	образовање	teachings
ẹ̀ni	ко	person
ẹ̀rọ	машина	machine
ẹ̀wẹ̀	с друге стране	leaf
ọbàkàn	полубрат	step-sister
ọdún	године	year
ọlọ́mọ	деца	members
ọlọ́run	бог	god
ọmú	лош си	breast
ọmọ	дете	c
ọn	то	him
ọpọ́lọpọ́	смокве	many
ọ̀dọ́	младост	youth
ọ̀gbìn	биљка	seedlings
ọ̀nà	начин	ways
ọ̀pòlòpò	поступак	various
ọ̀rọ̀	причај	word
ọ̀sẹ	недеља	week
