$ tỉ	мільярд доларів	$ billion
gandhi	ганді	gandhi, as in mahatma gandhi
gang	банда	cast iron
ganh	ревнивий	to be jealous
gao	рис	strictly
gareth	гарет	a name
garrett	гаррет	garrett
gary	гарі	gary
gascon	гаскон	(proper noun) gascon, a dialect of france
gatt	гетт	gatt
gaule	гауле	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	гей	tense
gaza	газа	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	гейша	geisha
gen	гени	gene
gene	ген	(proper noun) gene, an english first name
genesis	генезис	(proper noun) genesis
georg	георг	(proper noun) georg
george	джордж	george
georges	джордж	(proper noun) georges, a french name
gepard	гепард	gepard
ger	гер	ger
gerais	гераї	(proper noun) gerais
gerhard	герхард	gerhard
german	німецька	german
germany	німеччина	germany
gerrard	геррард	gerrard, a last name
ghana	гана	(proper noun) the african country of ghana
ghe	човен	canoe
ghen	ревнивий	to be jealous (v.)
ghi	напиши	write
ghim	шпилька	pin
ghé	стоп	visit
ghép	трансплантат	fit
ghê	жах	disgust
ghì	гм	tighten
ghẻ	короста	scabies (n.)
ghế	крісло	chair
ghề	пороги	scabby
ghềnh	пороги	waterfall (n.)
gia	gia	date
giai	етап	period
giam	тюрма	imprison
gian	простір	"(term should be ""thời gian"") time (n.)"
giang	гіанг	syphilis
gibraltar	гібралтар	(proper noun) gibraltar
gichin	гіцин	gichin
gieo	сіяти	sow
gifu	гіфу	gifu, a district in northern japan
ginzan	гінзань	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	глисти	worm
giuse	giuse	giuse
giuộc	джуок	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	гіза	giza
già	старий	old (adj.)
giàn	ферма	"(term should be ""giàn hoa"") a trellis girder"
giành	жадібно	secure
giàu	багатий	rich or wealthy (adj.)
giày	взуття	a shoe
giá	ціна	estimate
giám	режисер	"(term should be ""giám sát"") to supervise (v.)"
gián	таргани	"(term should be ""gián tiếp"") indirectly"
giây	секунд	seconds
giã	стукає	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	розтягнутий	stretch
gièm	недоброзичливці	"(should be ""gièm pha"") to backstab"
giêhôva	гіва	jehovah
giêng	гіонг	january
giêsu	ісус	jesus
giêxu	зв’язок	jesus
giò	рулети	leg
giòi	личинки	maggot (n.)
giòn	хрусткий	crunchy or crispy (adj.)
gió	вітер	wind
gióng	подібно до	align
giúp	допомогу	help
giũa	файл	sharpen
giơ	варення	raise
giương	спалахування	posture
giường	ліжко	bed
giả	підробка	fake (adj.)
giải	рішення	solution
giảm	скорочення	decrease
giản	спрощений	"(term should be ""giản dị"") simple (adj.)"
giấc	спати	giấc ngủ= the sleep
giấm	оцту	drabble
giấu	ховатися	hide
giấy	папір	paper
giầu	багатий	rich
giận	розлючений	angry
giằng	підкріплення	pull
giặc	ворог	enemy
giặt	мити	to wash (n.)
giếng	ну	well
giết	вбити	kill
giềng	сусід	"(term should be ""láng giềng"") neighboring"
giễu	насмішки	ridicule
giọng	тон	tone
giọt	крапля	drop
giỏ	кошик	basket
giỏi	чудовий	good
giồng	гіонг	mound
giỗ	річниця смерті	anniversaries of deaths
giới	стать	gender
giờ	годин	bao giờ=ever
giở	спалах	to open or unfold (v.)
giỡn	жартувати	joke
giục	закликав	urge
giữ	тримай	hold
giữa	між	between
gladys	радіс	gladys
glazer	глазур	glazer
glonass	глянцю	glonass
gloria	глорія	gloria
gloster	блиск	(proper noun) gloster, as in gloster meteor
glucose	глюкоза	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	йти	"(term should be ""gay go"") tense"
goes	іде	goes
goku	гоку	goku
golden	золотистий	golden
gom	збирати	to gather (v.)
google	google	google
gorbachev	горбачов	gorbachev
gorbachyov	горбачйов	gorbachev, as in former soviet president mikhail gorbachev
gordon	гордон	gordon, as in gordon brown
gore	гору	gore
gorky	горький	gorky, as in gorky park
gothic	готика	gothic
gottfried	готфрід	gottfried
grabeel	грабель	grabeel, a last name
graham	грем	graham
granada	гранада	granada
granit	граніт	granite
greek	грецький	(proper noun) greek
greenland	гренландія	greenland
greenson	зелений	(proper noun) greenson
greenwich	грінвіч	(proper noun) greenwich
greg	грег	greg
grenada	гренада	grenada
grenadines	гранатини	grenadines
gross	валовий	gross
grumman	грумман	(proper noun) grumman
gruzia	грузія	gruzia
gryffindor	грифіндор	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	стиль	gu
guam	гуам	guam
guard	охоронець	guard
guatemala	гватемала	guatemala
gui	gui	gui
guinea	гвінеї	guinea
guinness	гіннес	(proper noun) guinness
guitar	гітара	guitar
gujarat	гуджарат	gujarat
gulag	гулаг	gulag
gulf	затока	gulf
gullit	гуліт	(proper noun) gullit
gundam	гундам	(proper noun) gundam
gunung	рушниця	(proper noun) gunung
gustave	густав	gustave
gutenberg	гутенберг	gutenberg
guyana	гайана	guyana; proper noun
gà	курка	chicken
gài	підтягувати	to fasten (v.)
gào	скрикнув	"(term should be ""thét gào"") to cry out (v.)"
gác	охоронець	guard
gái	дівчина	girl
gán	призначити	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	нести	hold
gáy	потилиця	crow
gân	закрити	tendon
gây	причина	make
gãy	зламаний	break
gì	що	what
gìn	зберегти	preserve
gò	пагорб	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	вдова	widowed
góc	куточок	angle
gói	пакет	goi
góp	розстрочку	to contribute
gót	каблук	heels
gõ	тип	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	скарб	poniard
găng	рукавички	gloves
gũi	закрити	close
gươm	меч	sword
gương	дзеркало	mirror
gạc	марлеві	johnson south reef
gạo	рис	rice
gạt	розкрадений	to cheat or trick (v.)
gả	одруження	marry
gảy	перерва	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	парчі	brocade
gấp	поспішайте	times, as in many times
gấu	ведмідь	a bear (n.)
gần	поряд з	near
gầy	худий	thin
gẫy	зламаний	break
gập	скласти	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	палиця	stick
gắm	пердіти	send
gắn	змонтований	mount
gắng	спробуйте	try
gắt	суворо	intense
gặm	гризти	rodent
gặp	зустрітися	meet
gặt	збирати урожай	harvest
gỉ	іржавий	rust
gọi	дзвінок	call
gọn	акуратний	neat (adj.)
gọng	облямований	gong
gọt	шкірка	cut
gỏi	салат	a vietnamese salad
gốc	походження	origin (n.)
gối	подушка	"(should be ""qùy gối"") to kneel"
gốm	керамічні	pottery
gồm	у тому числі	include
gồng	гонг	carry
gỗ	ліс	wood
gội	шампунь	shampoo
gộp	злиття	aggregate
gớm	огидний	tremendous
gờ	виступ	edge
gởi	надіслати	send
gỡ	розвантажувати	meet
gợi	навіюючий	to evoke (v.)
gục	вниз	"(term should be ""đánh gục"") crush, as in battle"
gừng	імбир	ginger
gửi	надіслати	send
ha	га	hectare
habana	хабана	(proper noun) habana
habsburg	габсбург	(proper noun) habsburg
haeberle	геберле	haeberle
hahn	хан	hahn
hai	два	two (adj.)
hal	хал	hal
halle	халле	(proper noun) halle
halogen	галоген	halogen (n.)
ham	шинка	desire
hamilton	гамільтон	(proper noun) hamilton
han	хан	han
hang	печера	cave
hangul	ангал	hangul
hanh	хан	hanh
hanja	ханя	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	хао	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	харальд	harald
hardy	витривалий	hardy
harlem	harlem	harlem
harlow	жнива	harlow
harold	гарольд	(proper noun) harold
harper	harper	harper
harpercollins	харперколліни	hapercollins
harrier	harrier	harrier, as in harrier jump jet
harris	гарріс	harris
harry	гаррі	harry
harvard	гарвард	(proper noun) harvard, the name of a college
harvey	врожай	harvey
havana	гавана	(proper noun) havana, cuba
havilland	хавіланд	havilland
hawker	яструб	hawker
hawking	хокінг	(proper noun) hawking, as in physicist stephen hawking
hay	добре	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	він	he, a korean name
health	здоров&#39;я	health
heath	вереск	heath
hee	хі	hee
hegel	гегель	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	генріх	heinrich
helen	хелен	helen
helena	гелена	helena
heli	гелій	helium
hematocrit	гематокрит	hematocrit
hemoglobin	гемоглобін	hemoglobin
hen	курка	asthma
henry	генрі	(proper noun) henry, as in henry kissinger
heo	несвіжий	dolphin
her	її	her
herbert	герберт	herbert, as in herbert schandler
hercegovina	герцеговина	hercegovina
hercules	геркулес	hercules
hermann	герман	hermann
hermes	гермес	hermes
hersh	суворий	hersh, as in seymour hersh
hesiod	нерішучий	hesiod
hestia	гестія	hestia
hi	привіт	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	хикам	(proper noun) hickam
hicks	хіки	hicks
hideto	гідето	(proper noun) hideto
hideyoshi	шайоші	(proper noun) hideyoshi
hidro	водень	hydrogen
hillsborough	хіллсборо	hillsborough
hilton	хілтон	hilton
himalaya	гімалаї	(proper noun) himalaya
hinata	хіната	hinata
hindenburg	гінденбург	(proper noun) hindenburg
hindi	хінді	hindi
hindu	індуїстський	hindu, as in the hindu religion
hinh	хін	(proper noun) a vietnamese first name
hinhtron	хінтхрон	circle
hiragana	хірагана	hiragana
hiroshi	хіроші	hiroshi
hiroshima	хіросіма	(proper noun) hiroshima, the japanese city
hitchcock	автостоп	hitchcock
hitler	гітлер	hitler
hitter	нападник	hitter
hitters	нападники	hitters
hiên	ганок	(proper noun) hiên, a vietnamese first name
hiđrô	водень	hydrogen
hiếm	рідкісний	rare
hiến	давати	devote
hiếp	зґвалтування	rape
hiếu	синівська шанобливість	pious
hiềm	хворий	grudge
hiền	шавлія	sage
hiểm	небезпечний	dangerous
hiểu	зрозуміти	learn
hiện	проявити	"(term should be ""thực hiện"") to accomplish"
hiệp	половина	united
hiệu	ефект	effective
hlv	тренер	trainer
hms	хм	hms
hmông	хмонг	hmong
hn	hn	hn
hoa	квітка	flower
hoan	фестиваль	welcome
hogwarts	хогвартс	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	хой	rare
hokage	гукання	hokage
hokusai	хокусаї	hokusai
holmes	holmes	a name
holocaust	голокост	holocause
holocen	голоцен	holocen
holt	затримати	holt, an english last name
hom	живці	a cutting
homer	хомер	(proper noun) homer, the authorof the iliad and the odyssey
hon	честь	"(term should be ""hòn"") rock (n.)"
honduras	гондурас	honduras
hong	гонг	hong
honolulu	гонолулу	honolulu
honshū	хоншу	honshu
hopkins	гопкінги	(proper noun) hopkins
hornet	шершнем	hornet
hotspur	хотспур	(proper noun) hotspur, as in tottenham hotspur
houston	х&#39;юстон	(proper noun) houston, as in whitney houston
howard	хоард	(proper noun) howard
however	проте	however
hoà	краватку	peace
hoài	ностальгічний	always (adv.)
hoàn	завершено	"(term should be ""hoàn toàn"") completely"
hoàng	король	royal (adj.)
hoành	діафрагма	rife
hoá	хімія	"(term should be ""văn hoá"") culture (n.)"
hoán	завивка	refined (adj.)
hoãn	вони їдять	delay
hoạ	фарба	disaster (tham hoa)
hoại	гангрена	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	хентай	work
hoả	вогонь	of
hoảng	паніка	panic-stricken (adj.)
hoặc	або	or
hp	к.с.	hp
hq	hq	hq
hudgens	hudgens	(proper noun) hudgens
hudson	гудзон	hudson
huey	відтінок	huey
hughes	обіймає	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	хун	(proper noun) hun
hungary	угорський	hungary
hunt	полювати	hunt
hurley	хурлі	(proper noun) hurley, as in chad hurley
hussein	хусейна	hussein
husserl	хусерль	huserl
huston	хустон	huston
hutech	hutech	hutech
huy	хуй	a common vietnamese first name
huynh	брат	older brother
huyền	містичний	huyền thoại= legend
huyễn	ілюзорні	huyen
huyện	район	district
huyệt	акупунктурні точки	lair
huân	хуан	"(term should be ""huân chương"") medal (n.)"
huê	відтінок	"a less common vietnamese word for ""flower"""
huấn	навчання	"(term should be ""huận luyện"") to train (v.)"
huế	відтінок	hue
huệ	відтінок	favour
huống	справа	situation
huỳnh	сірка	sulfur
huỷ	скасувати	destroy
hydra	гідра	hydra, a monster in greek mythology
hydro	водень	hydrogen
hyperion	гіперіон	hyperion
hà	га	"(term should be ""hà nội"") the capital of vietnam"
hài	комедія	corpse
hàm	щелепа	"(term should be ""bao hàm"") to imply (v.)"
hàng	ряд	row
hào	ров	depreciation
hách	непосильний	glorious
hái	забрати	picking
hán	посуха	china
háo	нетерплячий	eager
hát	співати	song
hâm	божевільний	"(term should be ""hâm mộ"") to admire (v.)"
hân	хань	le ngoc han
hãi	переляканий	to be scared (v.)
hãn	хан	to sweat (v.)
hãng	фірма	a company (n.)
hãnh	гордий	proud
hè	літо	summer
hé	розтріскався	reveal
héo	в&#39;янути	dried-out
hét	кричати	shout
hên	пощастило	luck
hí	пе	game
hít	дихати	act of kissing (hon hit)
hò	знайомства	date
hòa	краватку	republic
hòe	лайно	hoe
hòm	ковчег	box
hòn	острів	island
hòng	ну	in order to
hóc	hóc	a corner (n.)
hót	співати	to chirp or sing (v.)
hô	хо	respiration
hôi	фол	stink
hôm	день	day (n.)
hôn	поцілунок	propose
hông	стегна	hip
hù	налякати	threaten
hùng	героїв	hero
húc	гору	huc
húng	натхнення	"(should be ""húng láng"") water mint"
hút	куріння	to suck (v.)
hăng	гострий	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	банки	jar
hơi	трошки	slightly
hơn	ніж	more or less
hư	поганий	fictional
hưu	пенсіонер	huu
hương	пахощі	smell
hước	жартівливий	humor
hướng	напрямок	trend
hường	хуонг	huong
hưởng	насолоджуватися	influence
hạ	літо	lower
hạc	фламінго	crane
hạch	гангліон	ganglion
hại	шкода	harm
hạng	клас	rank
hạnh	хань	happy
hạo	хао	hao
hạp	гап	hap
hạt	насіння	seed
hải	митниця	two
hảo	досконалий	perfect
hấn	hấn	aggressive gesture
hất	кинути	toss
hấu	кавун	"(term should be ""dưa hấu"") watermelon"
hầm	тунель	ham
hầu	майже	most
hận	ненависть	hatred
hậu	королева	anus
hắc	чорний	black
hắn	його	he (n.)
hắt	чхати	reject
hằng	постійний	every
hặc	hặc	to criticize (v.)
hẹ	шалот	chinese chives
hẹp	вузький	narrow
hẻm	алея	alley (n.)
hẻo	усамітнено	outback
hến	мідії	mussel
hết	над	most
hề	клоун	"(term should be ""không hề"") never"
hễ	е-е	whenever
hệ	система	relation
hệt	однакові	exactly
hỉ	удар	happy
hịch	гром	a proclamation
họ	прізвище	they (n.)
họa	мистецтво	picture
họach	план	"(term should be ""quy hoạch"") a project (n.)"
học	вчитися	study (v.)
họng	горло	throat
họp	зустріч	meet
hỏa	вогонь	fire
hỏng	зламаний	corruption
hố	яма	hole
hốc	ніші	cavity
hồ	озеро	ho
hồi	аніс	muslim
hồn	душа	soul
hổ	тигр	tiger
hổi	ага	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	зияючи	hole
hỗ	підтримка	"(should be ""hỗ trợ"") to support or assist"
hỗn	змішаний	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	фестиваль	society
hộp	ящик	box
hới	відчинено	hoi
hớn	- кричав	"(term should be ""hớn hở"") radiant (adj.)"
hờn	похмурий	hatred
hở	відчинено	reveal
hỡi	ой	dear
hợi	свиня	pig (n.)
hợp	добре підходить	appropriate
hợpquận	згода	general district
hụt	дефіцит	loss
hủi	прокажений	reject
hủy	скасувати	to erase or destroy
hứa	обіцянка	promise
hử	так	hu
hửu	так	"(term should be ""sở hửu"") to own (v.)"
hữu	майно	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	хуу	again
hỷ	hy	hy
ian	ян	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	іберія	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	ік	ic
icc	icc	icc
iceland	ісландія	(proper noun) the country of iceland
ide	іде	ide
ieng	ieng	(proper noun) ieng
igor	ігор	igor
iii	iii	third
ilene	ілен	ilence
illusion	ілюзія	illusion
ilyich	ілліч	ilyich
im	ім	still
imam	імам	(proper noun) imam
imbrium	імбріум	imbriun
immanuel	іммануїл	(proper noun) immanuel, as in immanuel kant
impact	вплив	impact
incoterm	інкотерм	incoterm
incoterms	інкотерми	(proper noun) incoterms
indian	індійський	indian
indiana	індіана	indiana
indochina	індокитай	indochina
indonesia	індонезія	indonesia
indrapura	індрапура	(proper noun) indrapura
info	інформація	info
innsbruck	інсбрук	innsbruck
insulin	інсулін	insulin
int	int	int
intel	інтел	(proper noun) intel, as in the name of the company
interpol	інтерпол	interpol
inu	іну	(proper noun) inu
inuyasha	інуяша	inuyasha
inư	іну	(proper noun) inư
io	іо	io
ioc	йок	ioc
ion	іон	ion
iosif	іосіф	(proper noun) iosif, as in iosif vissarionovich stalin
iran	іран	the nation of iran
iraq	ірак	iraq
ireland	ірландія	ireland
irgun	іргун	irgun
irony	іронія	irony
irving	ірвінг	(proper noun) irving
isaac	isaac	isaac
isla	острів	isla
islam	іслам	islam
islamabad	ісламабад	(proper noun) islamabad
israeli	ізраелі	israeli
istanbul	істанбул	istabbul
italia	італія	italy
italiano	італіано	(proper noun) italiano
itanium	ітаній	itanium, as in windows xp itanium
ito	іто	ito
itsukushima	itukushima	itsukushima
itu	іту	itu
itzá	itzá	(proper noun) itzá
iv	iv	4 ( greek number)
iwami	івамі	iwami
j	j	j
jack	домкрат	jack
jackie	джекі	(proper noun) jackie chan
jackson	джексон	(proper noun) jackson, as in michael jackson
jacob	жакоб	jacob
jae	дже	jae
jakarta	джакарта	(proper noun) jakarta
jan	січ	(proper noun) jan
janeiro	janeiro	janeiro
janet	жанет	janet
japan	японія	japan
jared	джеред	jared
jarvis	жарвіс	(proper noun) jarvis, as in jarvis cocker
jasper	яшма	(proper noun) jasper
jean	жан	jean
jeane	ревно	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	jeanpaul	jeanpaul
jeans	джинси	jeans
jeet	струменевий	(proper noun) jeet, as in jeet kune do
jeff	джефф	jeff, as in jeff drake
jefferson	джефферсон	jefferson
jeffrey	джефрі	jeffrey
jeju	джеджу	jeju
jenda	дженда	jenda
jenny	дженні	jenny
jericho	джерічо	jericho, as in wrestler chris jericho
jerome	джером	jerome, as in fred jerome
jerry	джеррі	(proper noun) jerry
jersey	трикотаж	jersey
jerusalem	єрусалем	jerusalem
jesse	джессі	a name
jesus	ісус	chua jesus
jetstar	jetstar	jetstar
jewish	єврейський	jewish
jiao	цзяо	jiao
jimmy	джимі	jimmy
jin	джин	jin
jing	цзінь	jing
jiraiya	джирая	(proper noun) jiraiya
joachim	йоахім	joachin
joan	жанна	a name
joe	джо	(proper noun) joe
johan	джохан	johan
johann	джохан	johann
johannes	йоханні	johannes
johannesburg	johannesburg	(proper noun) johannesburg, south africa
johnny	джоні	johnny
johns	джон	johns
johnston	джонстон	johnston, as in harry johnston
johor	джохор	johor
joint	суглоб	joint
jonathan	джонатан	(proper noun) jonathan
jones	джонс	jones
jose	джозе	(proper noun) jose, a spanish first name
joseon	хосеон	(proper noun) joseon
joseph	йозеф	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	джудіт	judith
judo	дзюдо	judo, the martial art
julesverne	julesverne	jules verne
julliard	жалюзі	(proper noun) julliard
jump	стрибати	jump
june	червня	june, as in the month
jung	джунг	jung
junsu	джунсу	junsu
jupiter	юпітер	(proper noun) jupiter, as in the planet
jura	юра	(proper noun) jura
juventus	ювентус	juventus
k	к	k
kaede	каеде	a japanese name
kaffee	кава	(proper noun) kaffee, as in kaffee hag
kagome	кагоме	kagome, as in higurashi kagome
kahn	кан	kahn
kai	кай	kai
kakashi	какаші	kakashi
kaká	якá	(proper noun) kaka, a brazilian soccer player
kalashnikov	калашников	(proper noun) kalashnikov
kali	калію	potassium
kama	кама	(proper noun) kama, as in the kama sutra
kamakura	камакура	kamakura
kamov	камов	kamov
kampf	kampf	kampf
kampong	кампонг	kampong
kampuchea	кампухея	cambodian
kana	кана	kana, the japanese phonetic alphabet
kangin	кангін	(proper noun) kangin
kanji	кандзи	kanji
kant	кант	a name
kar	кар	(proper noun) kar
kara	кара	kara
karaoke	караоке	karaoke
karate	карате	karate
karatedo	каратіо	karatedo
karen	карен	(proper noun) karen
karim	карим	(proper noun) karim
kashmir	кашмір	kashmir
kaspersky	касперський	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	катакана	katakana, a type of japanese script
kate	кате	(proper noun) kate, as in actress kate winslet
katherine	катерина	katherine
kathmandu	катманду	kathmandu
katrina	катрина	(proper noun) katrina, as in hurricane katrina
katz	кац	katz
kauthara	каутхара	kauthara, a part of the ancient kingdom of champa
kavkaz	кавказ	kavkaz
kawasaki	кавасакі	(proper noun) kawasaki
kay	кей	kay
kazan	казан	kazan, the name of a city
kcn	ккн	industrial zone
ke	ке	"(term should be ""boong ke"") a bunker (n.)"
kelly	келлі	kelly
kelsi	кельси	kelsi
kelvin	кельвін	kelvin
kem	крем	ice cream (n.)
ken	кен	ken
kennedy	кеннеді	(proper noun) kennedy, as in john f. kennedy
kenneth	кеннет	(proper noun) kenneth, a name
kenny	kenny	kenny, an english first name
kentucky	кентуккі	(proper noun) kentucky
kepler	кеплер	kepler
kerala	керала	(proper noun) kerala
kevin	кевін	kenvin
keynes	кейнс	keynes, as in economist john maynard keynes
kg	кг	kilogram
kha	ха	(proper noun) a vietnamese first name
khai	декларація	announce
khali	халі	(proper noun) khali
khalip	халіп	(proper noun) khalip
kham	хам	endure
khan	безводний	rare
khang	кханг	khang
khanh	хан	khanh
khao	туга	desire
khay	лоток	tray
khe	виїмка	chink
khem	хем	abstinence
khen	похвала	praise
kheo	на ходулях	kheo
khi	коли	when
khieu	не розуміти	(proper noun) khieu, as in khieu samphan
khiêm	скромний	khiem
khiên	щит	a shield
khiêu	еротичний	"('khiêu dâm"") pornographic"
khiếm	порушені	lack
khiến	причина	control
khiếp	жахнувся	horrible
khiếu	будиночок	talent (n.)
khiển	контроль	control
khleang	klean	kh'leang
kho	склад	warehouse
khoa	факультет	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	дриль	drill
khoang	порожнину	brag
khoanh	задзвонити	a slice (n.)
khoe	демонструючи себе	to boast
khoá	замок	lock
khoác	пальто	coat
khoán	запас	stock
khoáng	мінеральні	mineral
khoát	остаточний	decisive
khoét	вирізати	carve
khoăn	лада	disturbed
khoả	голий	naked
khoản	пункт	an item (n.)
khoảng	бл	about
khoảnh	моменти	moment
khoẻ	штрафу	health
khrushchev	хрущовка	khrushchev
khrushchyov	хрущов	khrushchyov
khu	чверті	section
khung	кадри	frame
khural	хураль	khural
khuynh	зліва	trend
khuyên	порада	advise
khuyết	несправний	lack
khuyển	собака	khuyen
khuất	приховано	hidden
khuấy	ворушився	stir
khuẩn	бактерії	bacteria
khuếch	посилюватися	amplification
khuỷu	ліктьовий	elbow
khá	скоріше	quite
khác	інший	different
khách	гість	customer
khái	концептуальні	concept
khám	експертиза	discover
khán	аудиторія	audience
kháng	опір	appeal
khánh	незалежність	a type of chime made of stone (n.)
khát	спраглий	to be thirsty for (adj.)
khâm	кхм	admire
khèn	на жаль	a pan-pipe (n.)
khéo	геніальний	cleverly or skillfully (adv.)
khép	закрити	close
khía	висічка	"(term should be ""khía cạnh"") angle (n.)"
khích	заохочувати	encourage
khít	закрити	close
khó	важко	difficulty
khóa	замикати	a session
khóc	плач	cry
khói	диму	smoke
khóm	ананас	a cluster
khô	висушені	dry
khôn	мудрий	clever, intelligent
không	не	not
khúc	сегмент	song
khăm	неприємний запах	nasty (adj.)
khăn	рушник	difficult
khơi	офшор	sea
khư	хư	grip
khưu	khưu	khuu
khước	заперечувати	waive
khả	можливість	"(term should be ""khả năng"") ability (n.)"
khải	одкровення	triumph
khảm	мозаїка	to encrust
khảo	експертиза	"(term should be ""tham khảo"") to consult (v.)"
khấm	пронизаний	endure
khấn	молитися	pray
khấu	знижка	"(term should be ""sân khấu"") a stage (n.)"
khẩn	терміново	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	висічка	moment
khắp	у всьому	all over
khẳng	стверджувальний	"(term should be ""khẳng định"") to assert (v.)"
khế	зірка фруктів	bond
khỉ	мавпа	monkey or ape (n.)
khỏa	ню	nude
khỏe	сильний	health
khỏi	з	leave
khố	постільна білизна	loincloths
khốc	страшний	devastating
khối	рівень якості	a block or mass of (n.)
khốn	сволота	miserable
khống	конг	control
khổ	страждання	miserable (adj.)
khổng	гігант	huge
khởi	посвячені	start
khủng	жахливий	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	сволота	elbow
khứu	пастель	olfactory
khử	усунути	reduction
ki	кі	"entire phrase is ""ki lo""; means ""kilometer"""
kia	що	other
kid	дитина	kid
kiel	кіль	(proper noun) kiel
kierkegaard	kierkegaard	kierkegaard, as in soren kierkegaard
kiernan	кіернан	kiernan
kii	кії	kii
kikyo	кікіо	kikyo
kilômét	кілометрів	kilometer
kim	кім	kim
kingdom	царство	kingdom
kinsey	кінзі	kisney
kiribati	кірібати	kiribati
kishimoto	кишимото	(proper noun) kishimoto
kiss	поцілунок	kiss
kissinger	поцілунок	kissinger
kitts	котики	kitts
kitô	християнин	christian
kiêm	сперма	cum
kiên	терплячий	consistent
kiêng	утримуватися	abstinence, as in abstaining from eating
kiêu	зарозумілий	showy
kiếp	час життя	a lifetime (n.)
kiết	кіếт	cheap (adj.)
kiềm	лужні	"(term should be ""kiềm chế"") to restrain (v.)"
kiểm	перевірити	control
kiểu	тип	type
kiệm	економний	save
kiện	подати в суд	event (su kien)
kiệt	шедевр	exhausted (adv.)
kiệu	паланкін	scallion
klaus	klaus	klaus
klein	клейн	klein
km	кілометр	kilometer
knesset	knesset	knesset
knuth	кнут	knuth, as in donald knuth
koch	кох	koch
kodansha	коданша	kodansha
kofun	kofun	kofun, as in the kofun period of japanese history
kogoro	kogoro	kogoro
komodo	комодо	komodo
kon	кон	"(term should be ""kon tum"") a province in the highlands of vietnam"
kong	конг	(proper noun) kong, as in hong kong
konstantin	константин	(proper noun) konstantin
konversationslexikon	конверсіїlexikon	konversation-lexikon
kop	коп	kop
koran	коран	koran
kornai	корнай	(proper noun) kornai, as in janos kornai
koruna	коруна	koruna
kosovo	косово	(proper noun) kosovo
kremli	кремлі	kremil
kremlin	кремлін	kremlin
kristen	kristen	kristen
krông	кронг	krong
ku	ку	is a name
kuala	куала	(proper noun) kuala, as in kuala lumpur
kubrick	кубрик	kubrick
kuen	куен	kuen
kuiper	kuiper	(proper noun) kuiper, as in the kuiper belt
kulak	куркуль	kulak
kune	куна	(proper noun) kune, as in the martial art jeet kune do
kung	кунг	danh vo
kungfu	кунг-фу	kung fu
kunst	кунст	kunst, as in richard kunst
kurd	курд	kurd
kurt	курт	(proper noun) kurt
kuwait	кувейт	kuwait, the country (n.)
kwan	кван	kwan
kwen	kwen	kwen
kwon	кван	kwon, as in tae kwon do; proper noun
kyrgyzstan	кюрікістан	(proper noun) the country of kyrgyzstan
kyushu	кюшу	kyushu
kyūshū	кюшу	kyushu, a japanese island
kèm	укладений	included
kèn	труба	horn
kém	щонайменше	less
kén	кокон	selective
kéo	перетягнути	scissors
kép	подвійний	dual
két	сейфи	"(term should be ""rốc két"") rocket (n.)"
kê	просо	statistics
kênh	канали	channel
kêu	звучання	appeal
kìa	ось	that
kìm	плоскогубці	bar
kình	окуляри	rivalry
kí	знак	sign
kích	клацніть	excite
kíchbom	кнопка	bombers
kín	приватний	secretive or closed tight (adj.)
kính	окуляри	respect
