$	ps	dollar
достигнућа	logros	achievements
достиже	alcanza	reach
достојевски	dostoievski	dostojevski
доступан	disponible	available
доступна	disponible	available
дотад	hasta entonces	previously
дотадашње	hasta entonces	previous
доцније	luego	later
дошао	vino	come
дошла	vino	arrived
дошле	vino	came
дошли	vino	come
дошло	ha llegado	came
дође	él vino	come
дођу	vienen	come
доња	inferior	down
доње	inferior	donja
доњег	inferior	lower
доњем	inferior	down
доњи	inferior	donji
доњим	inferior	down
доњој	inferior	down
доћи	ven	come
др	dr	and others.
драган	dragan	dragan
драгана	dragana	dragan
драгаш	querido	dragas
драгиша	querido	dragisa
драгољуб	dragoljub	dragoljub
драгутин	dragutin	dragutin
драгутина	dragutina	dragutin
дража	querido	draza
драже	preferir	draza
драма	drama	drama
драме	drama	drama
драми	drama	drama
драстично	drásticamente	drastic
драшковић	drašković	draskovic
дрвета	arboles	wood
дрвећа	arboles	trees
дрвеће	arboles	ancient
дрво	madera	wood
дрвца	arboles	small tree
древне	antiguo	wooden
древни	antiguo	ancient
древних	de los antiguos	ancient
дреднот	dreadnoughts	dreadnought dreadnought dreadnought dre
држава	país	country
државама	estados	states
државе	estados	states
држави	países	state
државна	estado	state
државне	estado	state
државни	estado	state
државним	estado	state
државних	estado	state
државно	estado	state
државног	estado	state
државном	estado	state
државности	categoría de estado	statehood
државној	estado	national
државну	estado	state
државом	estado	country
државу	el estado	country
држављанство	ciudadanía	citizenship
држали	retenida	held
држао	retenida	thought
држање	participación	keeping
држе	sostener	hold
држи	participación	hold
дрина	drina	drina
дрине	drine	drina
дрини	drini	drina
дрину	drina	drina
дрога	drogas	drugs
дроге	drogas	drugs
друг	amigo	buddy
друга	el otro	other
другачије	de otra manera	different
другачији	diferente	different
друге	otros	other
други	el segundo	other
другим	otros	other
другима	a otros	others
других	otros	other
друго	otro	second
другог	otro	second
другом	otro	(world war) two
другој	otro	the other
другу	otro	other
друмски	la carretera	road
друштава	sociedades	associations
друштва	sociedad	associations
друштвена	social	social
друштвене	social	social
друштвени	social	social
друштвеним	social	social
друштвених	social	social
друштвено	socialmente	socially
друштвеног	social	surface
друштвеном	social	social
друштвену	social	social
друштво	sociedad	society
друштву	sociedad	society
дс	ds	ds party
дубаи	dubai	dubai
дубок	profundo	deep
дубоке	profundo	deep
дубоко	profundo	deep
дубровник	dubrovnik	dubrovnik
дубровника	dubrovnik	dubrovnik
дубровнику	dubrovnik	dubrovnik
дубровчани	ciudadanos de dubrovnik	dubrovnik
дубље	más adentro	deeper
дува	golpes	blows
дувана	tabaco	tobacco
дуг	deuda	debt
дуга	arco iris	debth
дугачак	largo	long
дуге	arco iris	long
дуги	largo	long
дугим	largo	long
дугме	botón	button
дуго	largo	long time
дугог	largo	long
дугом	deuda	debt
дугу	largo	long
дуж	a lo largo	along
дуже	más	longer
дужи	más	longer
дужина	longitud	length
дужинама	longitudes	longth
дужине	longitud	length
дужини	longitud	length
дужином	longitud	length
дужину	longitud	lenght
дужност	deber	duty
дужности	deberes	responsibilities
дунав	danubio	danube
дунава	danubio	danube
дунаву	danubio	dunav (personal noun - the name of a river in serbia)
дух	fantasma	spirit
духа	espíritu	spirit
духовне	espiritual	spiritual
духовни	espiritual	spiritual
духовно	espiritualmente	spiritual
духу	espíritu	spirit
дучић	ducic	ducic
душа	alma	soul
душан	dushan	dusan
душана	alma	dusan
душанов	dushanov	dushan
душановог	dushanovogo	dusan
душе	almas	souls
дц	corriente continua	dc (washington )
дјела	trabajos	part
е	mi	e (era)
еволуције	evolución	evolutions
евро	euro	euro
евровизије	eurovisión	eurovision
европа	europa	europe
европе	europa	europe
европи	europa	europe
европом	europa	europe
европска	europeo	european
европске	europeo	europe
европски	europeo	european
европским	europeo	europian
европских	europeo	european
европско	europeo	europian
европског	europeo	european
европском	europeo	europian
европској	europeo	europian
европску	europeo	european
европу	europa	europe
европљана	europeos	europeans
египат	egipto	egypt
египатска	egipcio	egypt's
египатске	egipcio	egyptian
египатски	egipcio	egyptian
египта	egipto	egypt
египтом	egipto	egypt
египту	egipto	egypt
египћани	egipcios	egypt's
едвард	edvard	edward
екатарина	ekatarina	ekatarina
екипа	la pandilla	the team
екипе	equipos	team
екологија	ecología	ecology
економија	economía	economy
економије	economía	economy
економији	economía	economies
економију	economía	economy
економска	económico	economic
економске	económico	economic
економски	económicamente	economic
економским	económico	economic
економских	económico	economic
економско	económicamente	economic
економског	económico	economic
економском	económico	economic
економску	económico	economic
екосистема	ecosistema	ecosystems
екосистеми	ecosistemas	ecosystems
ектодерм	ectodermo	ectoderm
ел	el	el
електрична	eléctrico	electrical
електричне	eléctrico	electrical
електричних	eléctrico	electrical
електричну	eléctrico	electrical
електрона	electrones	electron
електронска	electrónico	electronic
електронскапошта	correo electrónico	electronic mail
електронске	electrónico	electronical
електронски	electrónicamente	electronic
елемената	elementos	elements
елемент	elemento	element
елемента	elemento	element
елементе	elementos	elements
елементи	elementos	elements
елементима	elementos	elements
еманципација	emancipación	emancipation
емиграција	emigración	emigration
емир	emir	emir
емисија	espectáculo	emission
емисије	muestra	emission
емитује	transmisiones	emiting
енг	eng	eng
енглези	inglés	british
енглеска	inglaterra	england
енглеске	de inglaterra	english
енглески	inglés	english
енглеским	en inglés	english
енглеског	inglés	english
енглеском	en inglés	english
енглеској	en inglaterra	england
енди	endi	andy
енергија	energía	energy
енергије	energía	energy
енергијом	energía	energy
енергију	energía	energy
ензима	enzima	enzymes
ензими	enzimas	enzymes
ентитет	entidad	entity
ентитета	entidad	entities
енциклопедија	enciclopedia	encyclopedia
енциклопедије	enciclopedias	encyclopedia
еп	ep	ec (europian chempionship)
епархија	diócesis	parish
епархије	diócesis	diocese
епидемија	epidemia	epidemy
епипалеолит	epipaleolito	epipaleolit (universal name of historical period)
епископ	obispo	bishop
епоха	época	epochs
епохе	época	epoch
епске	épico	epic
епских	épico	epic
ере	era	eras
ернесто	ernesto	ernesto
естивација	estivación	aestivation (estivation)
етернет	ethernet	ethernet
етернета	ethernet	eternet
етимологија	etimología	etymology
етиологија	etiología	etiology
етиопија	etiopía	ethiopia
етничка	étnico	etnic
етничке	étnico	ethnic
етнички	étnico	ethnical
етничким	étnico	ethnical
етничких	étnico	ethnic
етничко	étnico	ethnic
етничког	étnico	ethnic
етничком	étnico	etnic
етничку	étnico	etnic
етно	etno	ethno
еу	ue	eu
еур	eur	eur
еуропијум	europio	europium
ефекат	efecto	effect
ефеката	el efecto	effect
ефекта	efecto	effect
ефекти	efectos	effects
ефикасност	eficiencia	efficiency
жан	ene	zan
жанр	género	genre
жанра	género	genre
жарка	caliente	zarko
жарко	caliente	zarko
желе	ellos quieren	wants
железница	ferrocarril	railway
железнице	vias ferreas	railroad
железничка	ferrocarril	railway
железничке	ferrocarril	railway
железнички	ferrocarril	railway
желела	querido	wanted
желели	querido	wanted
желео	gelatina	wanted
желећи	falto	wanting
жели	el quiere	wants
желудац	estómago	stomach
жена	mujer	woman
женама	mujer	women
жене	mujer	woman
жени	mujer	woman
женидба	matrimonio	marriage
женке	hembras	female
женом	esposa	women
женска	mujer	female
женски	señoras	feminine
женског	hembra	female
жену	esposa	woman
жестоке	feroz	fierce
жестоко	ferozmente	vigorously
жеља	deseo	desire
жеље	deseos	wishes
жељи	deseo	desire
жељко	željko	zeljko
жељу	deseo	desire
жив	viva	alive
жива	viva	alive
живе	viva	live
живела	vivió	lived
живели	vivió	live
живело	vivió	lived
живео	el vivió	lived
живи	vivo	live
живим	yo vivo	live
живих	viva	living
живковић	živković	zivkovic
живот	vida	life
живота	de vida	the life
животиња	animal	animals
животиње	los animales	animals
животињски	animal	animal
животна	animal	living
животне	animales	environmental
животни	animales	living
животног	de vida	living
животом	vida	life
животу	vida	life
живојин	animales	zivojin (personal name)
живојиновић	živojinović	zivojinovic
жигмунд	sigmund	zigmund
жика	жика	zika,nickname,from zivorad or zivojin
жита	cereales	wheat
житарице	cereales	crops
житија	vive	biographies
житије	biografía	lives of
жито	grano	wheat
жича	cable	zica (monastery in serbia)
жртава	victimas	victims
жртва	víctima	victim
жртвама	victimas	victims
жртве	victimas	victims
жупан	prefecto	prefect
жупана	prefecto	sunshiny
жупаније	condados	county
з	z	z
за	por	for
забележен	célebre	chronicled
забележена	observado	recorded
забележено	célebre	been noted
забележио	notado	recorded
забрана	prohibición	prohibitions
забранио	prohibido	banned
забрањено	prohibido	forbidden
заваривање	soldadura	welding
завет	promesa	testament
завета	pacto	testament
завету	pacto	testament
зависе	depender de	depend
зависи	depende	depends
зависно	dependiente	depending on
зависности	dependencias	depending on
завод	planta	institute
завода	instituto	institute
завршава	termina	ends
завршавају	ellos terminan	end up
завршен	terminado	finished
завршена	terminado	finished
завршетка	terminación	completion
завршетку	terminación	edn
заврши	terminar	finish
завршила	terminado	ended
завршио	terminado	completed
завршни	final	final
заглавља	encabezados	header
заглавље	encabezamiento	heading
загреб	zagreb	zagreb
загреба	zagreb	zagreb
загребачки	zagreb	zagreb
загребу	zagreb	zagreb
задатак	asignación	task
задатака	tareas	assignment
задатке	asignaciones	assignments
задржава	retiene	keeps
задржала	mantenido	preserve
задржали	retenido	held
задржао	mantenido	retained
задржи	mantener	keep
задужбина	fundación	foundation
задужбине	dotación	foundations
задужен	en cargo	in charge
задње	último	last
задњи	último	last one
задњих	último	last
заиста	de verdad	realy
закон	la ley	law
закона	de la ley	law
законе	leyes	laws
закони	leyes	laws
законик	código	code
законика	del código	law book
законима	leyes	law
законом	por ley	with the law
законоправило	ley	rule
закону	la ley	law
закључак	conclusión	conclution
закључити	para concluir	conclude
залив	bahía	gulf
залива	bahía	gulf
заливу	la bahía	gulf
залихе	suministros	supplies
замена	reemplazo	replacement
заменик	diputado	deputy
заменила	sustituido	replaced
заменио	sustituido	replaced
замену	reemplazo	substitution
замењен	sustituido	replaced
замонашио	se convirtió en monje	became a monk
занатлије	artesanos	craftsmen
занимање	ocupación	job
занимљиво	interesante	interesting
занимљивости	datos interesantes	interesting
запад	oeste	west
запада	oeste	west
западна	occidental	west
западне	occidental	west
западни	occidental	west
западним	occidental	west
западних	occidental	western
западно	oeste	west
западног	occidental	west
западном	occidental	west
западној	occidental	west
западну	oeste	west
западу	oeste	west
запис	grabar	inscription
записа	registros	notes
записи	escribir	records
заповедник	comandante	commandant
заповедника	comandante	commander
заповест	mandamiento	commandment
заповести	mandamientos	commandments
започела	empezado	started
започели	empezado	started
започео	empezado	started
започета	empezado	started
започиње	comienza	begins
заправо	realmente	in fact
заразе	infección	infection
заробљен	capturado	was captured
заробљени	capturado	caught
заробљеника	prisioneros	prisoner
заслуга	mérito	merits
заслуге	mérito	accomplishments
заслужних	digno	deserving
заснива	establecido	depends
заснован	establecido	based
заснована	establecido	based on
застава	bandera	flag
заставе	banderas	flag
заставу	bandera	flag
заступљена	representado	represented
заступљени	representado	represented
затвор	prisión	prison
затвора	prisión	prison
затворен	cerrado	closed
затворена	cerrado	closed
затвору	prisión	jail
затим	luego	then
зато	por lo tanto	because
затражио	preguntó	requested
заувек	siempre	forever
заузврат	en cambio	in turn
заузела	ocupado	took over
заузеле	ocupado	busy
заузели	ocupado	taken
заузео	ocupado	has taken
заузима	toma	overtake
заузимају	ocupar	take over
заузимања	ocupaciones	occupation
заузимање	tomando	taking over
заузме	se hace cargo	occupy
зауставе	paradas	stop
заустави	detener	stop
зауставила	ella paró	stopped
захвалности	gratitud	gratitude
захвата	apretón	operation
захваљујући	gracias a	thanks to
захтев	una solicitud	request
захтева	requiere	wish
захтевао	exigido	demanded
захтевају	exigir	require
захтеве	requisitos	requests
захтеви	requisitos	requirements
захтевима	requisitos	requirements
заштита	proteccion	defence
заштите	proteccion	protection
заштити	proteger	protect
заштитник	protector	protector
заштитом	proteccion	protection
заштиту	proteccion	protect
зашто	por qué	why
заједница	comunidad	community
заједнице	comunidades	union
заједници	comunidad	communities
заједницу	comunidad	community
заједничка	común	common
заједничке	común	mutual
заједнички	común	mutual
заједничким	común	mutual
заједничко	en común	common
заједничког	común	joint
заједничку	común	common
заједно	juntos	together
зајечар	zajecar	zaječar
зајечару	zajecar	zajecar
збивања	eventos	events
збир	suma	sum
збирка	colección	collection
збирке	colecciones	collections
збирку	colección	collection
због	porque	because
зборник	colección	collection
звала	llamado	called
звали	llamado	called
звани	llamado	called
званичан	oficial	official
званична	oficial	oficial
званичне	oficial	official
званични	oficial	official
званичним	oficial	oficial
званично	oficialmente	officially
звао	llamado	was called
звање	título	the title
звезда	estrella	star
звезде	estrellas	celebrities
звездом	estrella	star
звезду	estrella	star
звечан	aumentado	zve�&#65533;an
зворник	zvornik	zvornik (community)
зворнику	zvornik	zvornik
звук	sonido	sound
звука	sonido	sound
зграда	edificio	building
зграде	edificios	buildings
згради	edificios	building
здања	edificios	buildings
здравко	hola	zdravko
здравствена	salud	health
здравствене	salud	health
здравља	salud	health
здравље	salud	health
зевс	zeus	zeus
зевса	zeus	zeus
зеланд	zelanda	zealand
зелена	verde	green
земаља	países	countries
земун	zemun	zemun
земља	país	the earth
земљама	países	countries
земље	países	earth
земљи	país	country
земљине	tierra	earth
земљиној	tierra	the earth
земљишта	tierra	earth
земљиште	tierra	land
земљом	país	country
земљотрес	terremoto	earhquake
земљотреса	terremoto	earthquake
земљотреси	temblores	earthquakes
земљу	país	soil
зете	yerno	zeta
зети	yerno	zeta
зету	yerno	zeta
зид	pared	wall
зида	pared	wall
зидина	pared	walls
зидине	paredes	walls
зидови	paredes	walls
зидовима	paredes	walls
зиду	pared	wall
зимама	inviernos	winters
зиме	inviernos	winters
зими	en el invierno	winter
зимске	invierno	winter
зимских	invierno	winter
зиму	invierno	winter
зла	mal	evil
злата	oro	gold
златибор	zlatibor	zlatibor
златибора	zlatibora	zlatibor
златибору	zlatibor	zlatibor
златна	oro	golden
златне	oro	gold
златни	oro	golden
златним	dorado	golden
златно	oro	golden
златног	de oro	golden
златном	oro	golden
златну	oro	golden
злато	oro	gold
зло	mal	bad
злочин	crimen	crime
злочина	crimen	crimes
злочине	crímenes	crimes
злочини	crímenes	crimes
змај	continuar	zmaj
змаја	continuar	zmaj
змија	serpiente	snake
змије	serpientes	snakes
зна	sabe	know
знак	firmar	sign
знакова	caracteres	characters
знакови	señales	signs
знали	ellos sabían	knew
знаменитости	monumentos	sights
знао	él sabía	knew
знатан	considerable	substantial
знатне	considerable	considering
знатно	importantemente	substantially
знаци	medio	sign's
значај	importancia	importance
значаја	significado	importance
значајан	significativo	important
значајна	significativo	significant
значајне	significativo	significant
значајни	significativo	significant
значајним	significativo	important
значајних	significativo	important
значајније	más significativo	significant
значајнији	más significativo	significant
значајнијих	más significativo	important
значајно	significativamente	important
значајну	significativo	important
значају	significado	importance
значења	significados	meaning
значење	sentido	meaning
значењу	sentido	meaning
значи	medio	mean
значило	significaba	meant
знају	ellos saben	know
знајући	conocimiento	knowing
знања	conocimiento	knowledge
знање	conocimiento	knowlage
зове	vocación	is called
зову	ellos llaman	call
зона	zona	zone
зонаопштина	zonaopština	towh shop zone
зоне	zona	zones
зони	zona	zone
зону	zona	zone
зоран	zoran	zoran
зорана	zoran	zoran
зрачења	radiación	radiation
зрачење	radiación	radiation
зрењанин	zrenjanin	zrenjanin
зрењанина	zrenjanina	zrenjanin
зрењанину	zrenjanin	zrenjanin
зрна	granos	grain
зуба	diente	teeth
зуби	dientes	teeth
зубобоља	dolor de muelas	tooth pain
и	yo	and
иако	y si	although
ибар	ibar	ibar
ибн	ibn	ibn,common muslim middle name
иван	ivan	ivan
ивана	ivana	ivan
ивановић	ivanovic	ivanovich
ивановићева	ivanovićeva	ivanovich
ивица	borde	ivica
ивице	bordes	edges
ивици	bordes	edge
иво	ivo	ivo
игара	juegos	games
игор	igor	igor
игра	un juego	dance
играла	jugó	played
играли	jugó	play
игралишта	parques infantiles	playgrounds
играма	juegos	games
играо	jugó	play
играти	jugar	play
играч	jugador	player
играча	jugadores	players
играчи	jugadores	players
играју	juegan	play
игре	juegos	game
игри	juegos	game
игру	juego	dance
игуман	abad	prior
иде	está yendo	go
идеал	ideal	ideal
идентитет	identidad	identited
идентитета	identidad	identity
идеологија	ideología	ideology
идеологије	ideología	ideology
идеолошки	ideológicamente	ideological
идеја	idea	idea
идеје	ideas	ideas
идеји	ideas	ideas
идеју	idea	idea
иду	van	go
из	de	from
иза	y para	behind
изабран	elegido	chosen
изабрана	seleccionado	chosen
изабрани	el elegido	chosen
изабрао	eligió	chose
изазвала	provocado	caused
изазвали	provocado	caused
изазвало	causado	caused
изазване	provocación	caused
изазвао	provocado	caused
изазвати	desafiar	provoke
изазива	provoca	causing
изазивају	provocar	provoke
изазове	desafíos	challenges
изашао	salió	came out
изашла	salido	turned out
изађе	sale	is out
избацио	noqueado	threw out
избегли	escapado	avoid
избеглица	refugiado	refugee
избеглице	refugiados	refugees
избио	estalló	broke out
избија	estalló	emerges
избијања	brotes	outbreak
избијање	brote	outbreak
избор	la elección	choice
избора	de elección	elections
изборе	elecciones	elections
избори	elecciones	elections
избори=	elecciones =	elections=
изборима	elecciones	elections
избору	elección	election
изван	fuera de	out of
изведе	realizar	perform
изведен	realizado	made
изведена	realizado	performed
изведени	derivado	derived
изведено	realizado	derived
извео	realizado	performed
извесно	sin lugar a duda	certain
известан	cierto	certain
извештај	el informe	report
извештају	reporte	report
извире	muelles	springs
изводе	interpretado por	performed
изводи	derivados	extract's
извоз	exportar	export
извоза	exportaciones	export
извозу	exportar	export
извор	fuente	source
извора	fuentes	sources
изворе	fuentes	sources
извори	fuentes	sources
изворима	fuentes	sources
изворни	original	source
изворно	originalmente	originally
изворног	del original	source
извођач	contratista	performer
извођача	intérpretes	performer
извођачи	intérpretes	artists
извођења	actuación	performance
извођење	actuación	performance
извршен	ejecutado	executed
извршена	llevado	is performed
изврши	ejecutar	perform
извршила	ejecutado	conducted
извршили	ejecutado	executed
извршио	comprometido	did
извршна	ejecutivo	executive
извршне	ejecutivo	executive
извршни	ejecutivo	executive
извршног	ejecutivo	executive
извршну	ejecutivo	executive
изглед	apariencia	apperance
изгледа	parece	seems
изгледу	apariencia	appearance
изговара	pronuncia	pronounce
изговор	excusa	excuse
изградио	construido	built
изградња	construcción	building
изградње	construcción	building
изградњи	construcción	building
изградњом	construcción	building
изградњу	construcción	building
изграђен	construido	built
изграђена	construido	built
изграђене	construido	build
изграђени	construido	built
изграђено	construido	bulit
изгубила	perdió	lost
изгубили	perdió	lost
изгубио	perdió	lost
изгубљена	perdió	lost
издавање	emisión	publishing
издао	emitido	betrayed
издат	emitido	issued
издаје	emitido	released
издају	traicionar	issue
издања	ediciones	publications
издање	edición	edition
издању	edición	edition
издваја	señala a	distinguishes
издвајају	destacar	stand out stand out stand out
издвојити	para destacar	put aside
излаз	salida	output
излазе	salga	came out
излази	salidas	come out
изласка	salida	outing
изложена	expuesto	exposed
изложени	expuesto	exposed
измена	cambio	modifications
измене	cambios	changes
између	entre	between
изнад	encima	above
изненада	repentinamente	suddenly
изненађење	sorpresa	surprise
изнео	llevado a cabo	presented
износе	cantidades	amounts
износи	cantidades	amounts
износио	llevado a cabo	amount
израде	haciendo	development
изради	haciendo	creation
израдио	hecho	made
израду	haciendo	building
израел	israel	israel
израела	israel	israel
израелске	israelí	israeli
израелу	israel	israel
изражава	expresa	expresses
изражавања	expresiones	expresions
изражен	expresado	over indicated
изражена	expresado	expressed
израз	expresión	expression
израза	expresión	sayings
изрази	expresiones	expresions
изразито	distintivamente	very
изузев	excepto	except
изузетак	excepción	exception
изузетком	con la excepcion	exception
изузетне	excepcional	extraordinary
изузетно	excepcional	exceptionally
изучава	estudios	learned
изучавања	estudios	studying
изучавање	estudiar	studying
изјава	declaración	statement
изјаве	declaraciones	statemets
изјавио	fijado	stated
иили	y o	and/or
икад	y cuando	ever
икада	nunca	sometimes
икона	icono	icon
иконе	íconos	ikons
икс-окс	tic tac toe	tic-tac-toe
или	o	or
илира	ilira	illyrians
илири	ilirios	illyria
илија	ilija	ilija
илијаде	iliad	iliad
илије	o es	eli
илић	ilić	ilic
илиџа	ilidža	ilidza
илузија	espejismo	ilusion
им	y m	them
има	tiene	is
имала	tenido	had
имале	tenido	had
имали	esta ahí	had
имало	tenido	had
имамо	tenemos	we have
имао	tenido	had
имати	tener	having
имају	tener	have
имања	fincas	plots
имање	propiedad	property
име	nombre	name
имена	nombres	names
именима	nombres	names
именица	sustantivo	noun
именице	sustantivos	noun
именовање	cita	named
именом	por nombre	name
имену	nombre	by name
именује	nombra	assign
имовине	propiedad	property
имовину	propiedad	property
император	emperador	imperator
империја	imperio	empire
империје	imperio	empire
имунизација	inmunización	immunisation
иначе	de otra manera	otherwise
инвазија	invasión	invasion
инвазије	invasión	invasion
инвазију	invasión	invasion
инвестиције	inversiones	investment
инволуција	involución	involution
индикатор	indicador	indicator
индија	india	india
индијан	indio	indian
индије	india	india
индији	india	india
индијски	indio	indian
индијског	indio	indian
индоевропски	indoeuropeo	indo-european
индонезија	indonesia	indonesia
индонезије	indonesia	indonesia
индустрија	industria	industry
индустрије	industria	industry
индустрији	industria	industry
индустријска	industrial	industrial
индустријске	industrial	industrial
индустријски	industrial	industrial
индустријских	industrial	industrial
индустрију	industria	industry
инжењер	ingeniero	engineer
иницијативу	iniciativa	initiative
инка	inca	inca
инкубација	incubación	incubation (could be: desease, bactery, or development of a newborn child)
инокулација	inoculación	inoculation
иностраних	exterior	foreign
иностранству	extranjero	overseas
инсекти	insectos	insects
инсистирао	insistió	inisted
инспирација	inspiración	inspiration
институт	instituto	institute
института	instituto	institute
институција	institución	institution
институције	instituciones	institutions
инструкција	instrucción	instruction
инструмената	instrumentos	instruments
инструмент	instrumento	instrument
инсулин	insulina	insuline
инсулина	insulina	insulin
интеграције	integración	integration
интелектуализација	intelectualización	intellectualizing
интензивно	intensamente	intensively
интервенције	intervenciones	intervention
интервју	entrevista	interview
интервјуу	entrevista	interview
интерес	interesar	interest
интереса	interesar	interests
интересе	interesar	interests
интересовања	intereses	interests
интересовање	interesar	interesting
интернационални	internacional	international
интернет	internet	internet
интернета	internet	the internet
интернету	la internet	internet
инфекција	infección	infection
инфекције	infecciones	infections
инфлација	inflación	inflation
инфлације	inflación	inflation
информација	información	information
информације	información	information
инфраструктура	infraestructura	infrastructure
инфраструктуре	infraestructura	infrastructure
инцидент	incidente	incident
ип	ip	ip
ипак	todavía	however
ирак	irak	iraq
иран	iran	iran
ирана	iran	iran
иранска	iraní	iran
иранске	iraní	iran
ирански	iraní	iranian
ирану	iran	iran
ирска	irlanda	ireland
ирске	irlandesa	irish
иса	y con	isa
исидора	isidora	isidora (personal name)
искористи	aprovechar	use
искористили	usado	used
искористио	usado	used
искуства	experiencias	experiances
искуство	experiencia	experience
искључиво	exclusivamente	only
ислам	islam	islam
ислама	islam	islam
исламска	islámico	islamic
исламске	islámico	islamic
исламски	islámico	islamic
исламу	islam	islam
исланд	isla	island
исланда	islandia	island
испитивања	pruebas	examinations
испитивање	examen	interrogation
испод	debajo	below
испрва	primero	at first
испред	en frente de	in front
иста	y qué	same
истакао	señaló	said
истакнути	señalar	eminent
истакнутог	prominente	prominent
истанбул	estanbul	istanbul
исте	lo mismo	the same
исти	lo mismo	same
истим	lo mismo	the same
истина	la verdad	truth
истине	verdad	truth
истину	la verdad	truth
истих	lo mismo	the same
истиче	destacar	highlight
истичу	destacar	point out
исто	lo mismo	also
истовремено	al mismo tiempo	at the same time
истог	lo mismo	the same
истоимене	del mismo nombre	the same named
истоименог	del mismo nombre	the same named
истоименом	del mismo nombre	of the same name
исток	este	east
истока	este	east
истоку	este	east
истом	lo mismo	same
историчар	historiador	historian
историчара	historiador	historian
историчари	historiadores	historians
историја	la historia	history
историјат	historia	hostiry
историје	historia	history
историји	historia	histori
историјом	historia	history
историјска	histórico	historic
историјске	histórico	historic
историјски	históricamente	historical
историјским	histórico	historic
историјских	histórico	the historical
историјско	históricamente	historical
историјског	histórico	historical
историјском	histórico	historical
историјску	histórico	historical
историју	historia	history
источна	oriental	east
источне	oriental	east
источни	oriental	eastern
источним	oriental	east
источних	oriental	eastern
источно	este	east
источног	oriental	eastern
источном	oriental	east
источној	oriental	east
источну	oriental	east
истој	lo mismo	the same
истрага	investigación	investigation
истраживачи	investigadores	explorers
истраживања	investigación	researches
истраживање	investigación	research
истраживањима	investigación	researches
исту	lo mismo	same
исус	jesús	jesus
исуса	jesús	jesus
исусово	jesús	jesus
исусовог	de jesus	christ
исусу	jesús	jesus
исход	salir	outcome
исхране	nutrición	food
исхрани	dieta	food
италија	italia	italy
италијана	italiano	italians
италијани	italianos	italians
италијанима	italianos	italians
италијанска	italiano	italian
италијанске	italiano	italian
италијански	italiano	italian
италијанских	italiano	italian
италијанског	italiano	italian
италијанском	italiano	italian
италије	italia	italy
италији	italia	italy
италијом	italia	italy
италију	italia	italy
итд	etc.	etc
их	ellos	them
ихтиологија	ictiología	ichthyology
ишао	fuimos	went
ић	vamos	-ic
ка	ka	toward
кабине	cabañas	cabine
каваја	café	kavaja
кавказа	cáucaso	caucasus
кавказу	cáucaso	caucasus
кад	cuando	when
када	cuando	when
кадмијум	cadmio	cadmium
каже	dice	say
кажу	ellos dicen	say
казахстан	kazajstán	kazahstan
казахстана	kazajstán	kazakhstan
казна	castigo	punishment
казне	sanciones	penalties
казну	castigo	punishment
какав	que tipo de	what
какао	cacao	cocoa
каква	qué	such
какве	qué	such as
како	cómo	how
календар	calendario	calendar
календара	calendario	calendar
календару	calendario	calendar
калибра	calibre	caliber
калифорнија	california	california
калорија	calorías	calorie
камба	kamba	kamba(personal name for bantu ethnic group in kenia)
камбријум	cambriano	cambrium
камен	roca	stone
камена	roca	stone
камене	roca	stone
каменица	ostra	kamenica
каменовање	lapidación	stoning
каменог	de piedra	stone
каменом	roca	stone
камену	roca	stone
камера	cámara	camera
кампања	campaña	campagne
кампање	campañas	campaign
кан	lata	kahn
канада	canadá	canada
канаде	canadá	canada
канади	canadá	canada
канадски	canadiense	canadian
канал	canal	channel
канала	canal	channels
канали	canales	channels
кандела	candelabro	candela
кандидат	candidato	candidate
кандидата	candidato	candidates
канон	canon	canon
кант	kant	kant
кантон	cantón	canton
кантона	cantón	cantons
кантони	cantones	cantons
канцеларија	oficina	office
као	me gusta	as
капацитет	capacidad	capacity
капацитета	capacidad	capacity
капела	capilla	chapel
капетан	capitán	captain
капетана	capitán	captain
капитал	capital	c
капитала	capital	capital
капитализма	capitalismo	capitalism
капија	la puerta	gate
капије	puertas	gate
каракалпаци	karakalpaci	karakalpak's
карактер	naturaleza	character
карактера	personaje	character
карактеристика	característica	characteristics
карактеристикама	caracteristicas	characteristics
карактеристике	caracteristicas	characteristics
карактеристичан	característica	characteristical
карактеристична	característica	characteristic
карактеристичне	característica	characteristic
карактеристично	característica	characteristic
карактерише	caracteriza	characterize
карактеришу	caracterizar	characterized by
каранфил	clavel	clove
карата	mapa	maps
карађорђе	karadjordje	karadjordje
карађорђевић	karadjordjevic	karadjordjevic
карађорђевића	karadjordjevic	karadjorjevic
караџић	karadzic	karadzic
караџића	karadzic	karadzic
карбонат	carbonato	carbonate
кардинала	cardenal	cardinal
каријера	carrera	career
каријере	carrera	career
каријери	carrera	career
каријеру	carrera	career
карл	karl	karl
карла	karla	carl,first name
карло	karlo	charles
карловци	karlovci	karlovac
карловцима	karlovci	karlovic
карлос	carlos	carlos
карта	mapa	map
карте	mapas	maps
картица	tarjeta	card
касити	kasiti	kassites
касних	últimamente	late
касније	luego	later
каснијег	luego	later
каснији	luego	later
каснијим	luego	later
касно	tarde	late
каспијског	caspio	caspian
кастро	castro	catro
катарина	katherine	catarina
категорија	categoría	category
категоријаакадемици	categoría académica	categoryacademics
категоријабеограђани	categoría de belgraders	category: belgrade people
категоријаград	categoría ciudad	category city
