$	usd	a sign of doller
કુબેર	kūbers	kubera
કુમાર	kumars	kumar
કુમારપાળ	kumarapala	kumarpal
કુમારપાળે	kumarapala	by kumarpal
કુમારો	zēni	kumars
કુરાન	korāns	quran
કુરાનમાં	korānā	in quran
કુરુ	kuru	kuru[kshetra] [name of a place]
કુરુક્ષેત્ર	kurukshetra	kurukshetra
કુરુક્ષેત્રના	no kurukshetra	of kurukshetra
કુલ	kopā	total
કુળ	klans	breed
કુળદેવી	kuladevi	diety of family
કુળના	klans	clan
કુળનો	klans	lineage
કુશળ	prasmīgs	skilled
કુશળતા	prasmes	mastery / skill
કુસ્તી	cīņas	wrestling
કૂચ	martā	march
કૂલીંગ	dzesēšana	cooling
કૃત	izveidots	carried out
કૃતિ	meistardarbs	art
કૃતિઓ	darbojas	creations
કૃતિઓમાં	darbos	one kind of parts
કૃત્રિમ	mākslīgais	artificial
કૃપા	lūdzu	please
કૃષિ	lauksaimniecība	agriculture
કૃષ્ણ	k ષ્ણ a	krishna
કૃષ્ણએ	k એ a	krishna himself
કૃષ્ણના	no krišnas	krisha's
કૃષ્ણનાં	no krišnas	krishna's
કૃષ્ણની	k ની a&#39;s	"god name 'krushna"""
કૃષ્ણને	krišnam	krishna
કૃષ્ણા	krišna	krishna
કૃષ્ણે	krišna	krushna
કે	tas	that
કેંદ્ર	centrs	center
કેચ	noķer	catch
કેટલા	cik daudz	how much
કેટલાંક	daži	some
કેટલાક	daži	some
કેટલાય	cik daudz	many
કેટલી	cik daudz	how
કેટલીક	daži	some
કેટલીકવાર	dažreiz	sometimes
કેટલેક	daži	ketlek
કેટલો	kā	how much
કેટલોક	daži	some
કેતન	ketāns	ketan name
કેથલિક	katoļu	catholic
કેથેડ્રલ	katedrāle	cathedral
કેથોલિક	katoļu	catholic
કેદ	ieslodzījums	lock
કેદી	ieslodzītais	prisoner
કેદીઓ	ieslodzītie	prisoner
કેનાલ	kanāls	canal
કેનેડા	kanāda	canada
કેનેડામાં	kanādā	in canada
કેનેડિયન	kanādietis	canadian
કેન્ડી	konfektes	candy
કેન્દ્ર	centrs	center
કેન્દ્રગામી	centrbēdzes	convergent
કેન્દ્રથી	no centra	from center
કેન્દ્રની	no centra	center's
કેન્દ્રમાં	centrā	in the center
કેન્દ્રશાસિત	savienība	ruled by central government
કેન્દ્રિત	koncentrēts	centered
કેન્દ્રીત	centrēts	centered
કેન્દ્રીય	centrālā	central
કેન્દ્રો	centri	centers
કેન્યા	kenija	kenya
કેન્સર	vēzis	cancer
કેપિટલ	galvaspilsēta	capital / capitol
કેપ્ટન	kapteinis	captain
કેબલ	kabelis	cable
કેબિનેટ	kabinets	cabinet
કેમ	kāpēc	reason
કેમકે	jo	because
કેમિકલ	ķīmiski	chemical
કેમેરા	kamera	camera
કેમ્પ	nometne	camp
કેમ્પસ	campus	campus
કેમ્બ્રિજ	kembridža	cambridge
કેરળ	kerala	kerala
કેરિયર્સ	pārvadātāji	carriers,
કેરી	kerija	mango
કેરોલ	karols	carol
કેલિફોર્નિયા	kalifornijā	california
કેલેન્ડર	kalendārs	calendar
કેળવણી	izglītība	caring
કેળવી	kultivēt	to nourish
કેવલ	tikai	but / mere
કેવળ	tikai	only
કેવી	kā	how
કેવું	kā	how
કેશ	nauda	cash
કેશોદ	kešods	keshod
કેસ	lieta	lawsuit
કેસમાં	gadījumā, ja	in the case
કેસો	gadījumi	cases
કૉંગ્રેસ	kongress	congress
કૉંગ્રેસના	kongresa	of congress
કૉંગ્રેસની	kongresa	of congress
કૉંગ્રેસમાં	kongresā	in congress
કૉંગ્રેસી	kongress	of congress / congressman
કૉંગ્રેસે	kongress	by congress
કૉન્સ્યુલટ	konsulāts	consulate
કૉપીરાઇટ	autortiesības	copyright
કૉલેજ	koledža	college
કૉલેજમાં	koledžā	in collage
કો	co	to [hindi - urdu word]
કોંકણ	konkāns	"name of place ""konkan"""
કોંગ્રેસ	kongress	congres
કોંગ્રેસના	kongresa	of congress
કોંગ્રેસની	kongresa	of congress
કોંગ્રેસી	kongresmenis	people of congress
કોંગ્રેસીઓ	kongresmeņi	congressmen
કોઇ	kāds	someone
કોઇએ	kāds	nobody
કોઇક	kāds	someone
કોઇને	kādam	someone
કોઇપણ	jebkuru	anyone
કોઈ	nē	someone
કોઈએ	kāds	by someone
કોઈક	kāds	someone
કોઈને	kāds	some people
કોઈપણ	jebkurš	anyone
કોચ	treneris	coach
કોટ	mētelis	wall
કોઠો	tabula	photo
કોડ	kods	hope / wish
કોણ	pvo	who
કોપી	kopēt	copy
કોપીરાઈટ	autortiesības	copy right
કોમ	kopiena	.com
કોમનવેલ્થ	sadraudzība	commonwealth
કોમના	kom	of the caste
કોમર્શિયલ	komerciāls	commercial
કોમિક	komiksu	comic
કોમી	komunāls	communal
કોમેડી	komēdija	comedy
કોમ્પ્યુટર	dators	computer
કોમ્પ્યુટરની	no datora	of the computer
કોમ્પ્યુટરને	uz datoru	to computer
કોમ્પ્યુટરો	datori	computers
કોમ્પ્યુટર્સ	datori	computers
કોમ્યુનિકેશન	komunikācija	communication
કોમ્યુનિકેશન્સ	sakari	communications
કોયા	koya	koya
કોર	core	core
કોરિયા	koreja	korea
કોર્ટ	tiesa	court
કોર્ટમાં	tiesā	in the court
કોર્ટે	tiesa	court
કોર્પોરેટ	korporatīvā	corporate
કોર્પોરેશન	korporācija	corporation
કોર્પોરેશનો	korporācijas	corporation
કોર્સ	protams	course
કોલ	zvaniet	coal
કોલંબિયા	kolumbija	columbia
કોલકાતા	kolkata	kolkata
કોલકાતામાં	kolkatā	in kolkata
કોલસો	akmeņogles	coal
કોલેજ	koledža	collage,
કોલેજમાં	koledžā	in collage
કોલેજો	koledžas	colleges
કોલોસીયમ	kolizejs	colosseum
કોલોસીયમના	no kolizeja	collosium, name of place
કોલોસીયમની	no kolizeja	of the colloseum
કોલોસીયમને	uz kolizeju	colleseum's
કોલોસીયમમાં	kolizejā	colloseum
કોશ	šūna	name
કોશિશ	izmēģiniet	try
કોષ	šūnas	glossary
કોષ્ટક	tabula	table
કોસ્ટ	izmaksas	cost
કૌટુંબિક	ģimene	related to family
કૌભાંડ	scam	scandal
કૌરવ	kaurava	kaurava
કૌરવો	kaurava	kauravs
કૌશલ	prasme	efficiency
કૌશલ્ય	prasmes	skilled
ક્યા	kura	where
ક્યાં	arī	where, which
ક્યાંક	kaut kur	somewhere
ક્યાંય	nekur	somewhere
ક્યારે	kad	when
ક્યારેક	dažreiz	sometime
ક્યારેય	nekad	never
ક્યોટો	kioto	kyoto
ક્રમ	pasūtīt	deed
ક્રમની	kārtībā	numbered
ક્રમનું	šķiro	numbered
ક્રમનો	kārtībā	of the number/rank
ક્રમમાં	kārtībā	in rank
ક્રમશઃ	attiecīgi	respectively
ક્રમાંક	nē.	number
ક્રમે	ieņēma	number
ક્રાંતિ	revolūcija	revolution
ક્રાંતિકારી	revolucionārs	revolutionary
ક્રિઓલ	kreols	kiraole
ક્રિકેટ	krikets	cricket
ક્રિકેટના	no kriketa	of the cricket
ક્રિકેટની	krikets	of the cricket
ક્રિકેટનો	krikets	of the cricket
ક્રિકેટમાં	kriketā	in cricket
ક્રિકેટર્સ	kriketi	cricketers
ક્રિઝ	burzīties	kreez
ક્રિયા	darbība	action
ક્રિયાની	darbības	action
ક્રિયાપદ	darbības vārds	verb
ક્રિયાપદો	darbības vārdi	verb
ક્રિયાપ્રતિક્રિયા	mijiedarbība	action-reaction
ક્રિસ	kriss	chris
ક્રિસમસ	ziemassvētki	x mas / christmas
ક્રિસ્ટોફર	kristofers	christopher
ક્રૂર	nežēlīgi	strict
ક્રોધ	dusmas	anger
ક્રોધિત	dusmīgi	angry
ક્રોસ	krusts	cross
ક્લબ	klubā	club
ક્લાઉડ	mākonis	cloud
ક્લાયમેટ	klimats	climate
ક્લાસિકલ	klasiskā	classical
ક્લિક	klikšķis	click
ક્લિપ	klips	clip
ક્લોઝ	aizveriet	close
ક્વાઇપર	kuipers	kuiper
ક્વોન્ટમ	kvants	quantum
ક્વોલિટી	kvalitāte	quality
ક્ષકિરણો	starojums	rediation
ક્ષણ	brīdi	moment
ક્ષતિગ્રસ્ત	bojāts	distorted,
ક્ષત્રિય	krišna	kshatriya
ક્ષત્રિયો	krištri	kshatriyas
ક્ષમતા	jauda	capacity
ક્ષમતાને	jauda	capacity
ક્ષમા	piedošanu	forgiveness
ક્ષીણ	sagrauts	diminished
ક્ષેત્ર	lauks	field
ક્ષેત્રના	no lauka	of the field
ક્ષેત્રની	no lauka	area
ક્ષેત્રને	lauks	sphere / sector / zone / region
ક્ષેત્રનો	no lauka	areas
ક્ષેત્રફળ	apgabals	area of a place
ક્ષેત્રમાં	laukā	in limitation,
ક્ષેત્રે	laukā	territory
ક્ષેત્રો	lauki	fields
ક્ષેત્રોં	lauki	regions [hindi word]
ક્ષેત્રોમાં	lauki	in the fields of
ખંડ	istaba	plates of the earth
ખંડન	atspēkošana	refutation
ખંડના	no kontinenta	of division
ખંડની	no kontinenta	chamber
ખંડમાં	istabā	section, part of
ખંડિત	sadrumstalots	broken
ખંડીય	kontinentāls	continental
ખંડો	kontinenti	continents
ખંભાતના	no khambhat	of khambhat, name of city in gujarat.
ખગોળ	astronomija	study of earth
ખગોળશાસ્ત્ર	astronomija	astronomy,
ખગોળશાસ્ત્રીય	astronomijas	astronomer
ખગોળીય	astronomijas	astronomical
ખડક	akmens	reef
ખડકાળ	rokijs	rocky
ખડકો	klintis	rock
ખતમ	gatavs	finished
ખતરનાક	bīstams	dangerous, horrible
ખનિજ	minerāls	mineral
ખબર	zini	news
ખભા	pleci	shoulder
ખરડો	rēķins	bills / notice
ખરા	patiesībā	true
ખરાબ	slikti	bad / waste
ખરી	patiesībā	shed
ખરીદી	iepirkšanās	purchase
ખરેખર	tiešām	in reality
ખર્ચ	izmaksas	expenses,
ખર્ચના	izmaksas	of expenses
ખર્ચાળ	dārgi	costlier
ખર્ચે	pēc izmaksām	at the expense of
ખલીફા	kalifs	khalifa, chief of arab
ખલેલ	traucējumi	disturbance
ખવાય	ēda	being eaten
ખસેડવામાં	pārvietots	in transfer
ખાંડવી	khandvi	khandvi
ખાઈ	grāvis	trench
ખાડી	līcis	part of river penetrated by the sea at tide
ખાણીપીણી	ēšana un dzeršana	food
ખાતર	komposts	fertilizer
ખાતરી	protams	sure
ખાતા	konts	account
ખાતે	plkst	at post
ખાતેથી	no plkst	from
ખાતેના	plkst	of account
ખાતેની	plkst	stationed at
ખાતો	konti	eating,(in this case) swing
ખાત્રી	protams	information
ખાદી	khadi	khadi [hand woven cotton cloth]
ખાદ્ય	ēdiens	eatable
ખાન	kāns	surname
ખાનગી	privāts	private
ખાનની	kāna	khan's
ખાનને	kāns	to khan
ખાનપુર	khanpur	khanpur
ખાને	khane	khan
ખાય	ēd	eat
ખારી	fāze	"name of place ""khari"""
ખાલી	tukšs	empty
ખાવા	ēst	to eat, for meal,
ખાવામાં	ēda	in eating
ખાવું	ēst	to eat
ખાસ	īpašais	certain / pecular / special
ખાસિયત	īpatnība	characteristic
ખિતાબ	virsraksti	titel
ખીચડી	meša	pie
ખીણ	ieleja	trench
ખુદ	es pats	self
ખુદા	dievs	lord of muslims
ખુબ	pārāk daudz	lots of
ખુબજ	ļoti daudz	too much
ખુલાસો	atklāšana	grant/sum up
ખુલે	atveras	open
ખુલ્લા	atvērt	open
ખુલ્લી	atvērt	open
ખુલ્લુ	atvērt	open
ખુલ્લો	atvērt	open
ખુશ	priecīgs	pleased
ખુશી	laime	joy
ખૂણે	stūrī	corner
ખૂણેખૂણો	stūri	everywhere
ખૂબ	pārāk daudz	very
ખૂબજ	daudz	too much
ખેંચવા	stiept	pull
ખેંચી	pavelciet	pulled back
ખેંચે	zīmē	pulls
ખેડા	kheda	city name
ખેડુત	zemnieks	farmer
ખેડૂત	zemnieks	farmer
ખેતરમાં	saimniecībā	farm
ખેતી	zemkopība	farming
ખેલ	sports	play
ખેલાડી	spēlētājs	player
ખેલાડીઓ	spēlētāji	players
ખેવના	khevna	wish
ખોજ	meklēt	search
ખોટા	nepareizi	wrong
ખોટી	nepareizi	faulty, wrong
ખોટું	nepareizi	wrong
ખોડિયાર	khodiyar	khodiyar
ખોડીયાર	khodiyar	khodiyar
ખોદકામ	rakšanas darbi	digging work
ખોરાક	ēdiens	food
ખોળામાં	caurumā	in lap
ખોળે	atveras	lap of
ખ્યાતનામ	slavenības	famous
ખ્યાતિ	slava	repute
ખ્યાલ	koncepcija	idea
ખ્રિસ્તી	kristietis	christian,
ખ્રિસ્તીઓ	kristieši	christians
ગંગા	ganga	ganga / ganges
ગંગાધર	gangadhar	gangadhar
ગંગાના	no gangas	of ganga / ganges
ગંગાની	gangas	of ganga
ગંગાને	uz gangu	ganges
ગંગામાં	gangā	at ganga
ગંભીર	nopietni	serious
ગઇ	pagājis	become
ગઈ	pagājis	gone
ગએ	pagājis	go
ગઝલ	ghazal	ghazal
ગઢ	cietoksnis	fort
ગઢડા	gadha	gadhada
ગઢવી	gadhvi	gadhavi
ગણ	aprēķināts	set
ગણતંત્ર	republika	republic
ગણતરી	aprēķins	calculation
ગણતરીઓ	aprēķini	calculations
ગણતરીની	aprēķināts	counting
ગણતરીમાં	aprēķinos	counting
ગણતા	skaitīšana	considered
ગણત્રી	aprēķins	calculation
ગણના	aprēķins	countation
ગણપતિ	ganapati	ganpati
ગણરાજ્ય	republika	republic
ગણવામાં	apsver	in counting
ગણા	salocīt	number of times
ગણાતા	saskaitīts	considered
ગણાતી	saskaitīts	considered
ગણાતો	saskaitīts	counted
ગણાય	skaitīšana	consider
ગણાવી	apsver	can be counted as
ગણાવે	skaitās	considered
ગણિત	matemātika	mathematics
ગણિતજ્ઞ	matemātiķis	mathematician
ગણિતના	matemātika	maths
ગણિતની	no matemātikas	maths
ગણિતને	matemātika	maths
ગણિતનો	matemātika	of mathematics
ગણિતમાં	matemātikā	in mathematics
ગણિતશાસ્ત્રી	matemātiķis	mathematician
ગણી	salocīts	counting
ગણે	skaitās	count
ગણેશ	ganeša	hindu god ganesha, elephant headed god,
ગણો	salocīt	times
ગણ્યા	saskaitīts	considered
ગત	pēdējais	past
ગતિ	ātrums	motion
ગતિએ	ātrumā	momentum
ગતિના	kustības	of the speed
ગતિને	ātrums	to the speed
ગતિમાં	kustībā	motion
ગતિવિધિઓ	aktivitātes	activities
ગતિશીલ	dinamiska	dynamically
ગદ્ય	proza	prose
ગમત	jautri	game
ગમતું	patika	like
ગમે	lai kā būtu	likes
ગયાં	pagājis	became
ગયાના	gajāna	gayana
ગયા૤	pagājis	gone [hindi word]
ગયુ	pagājis	to be
ગયું	pagājis	gone
ગયેલ	pagājis	gone
ગયેલા	pagājis	gone
ગયેલી	pagājis	gone
ગયો	pagājis	become
ગરબા	garba	garba
ગરમ	karsts	hot
ગરમી	karstums	heat
ગરમીના	no karstuma	of heat
ગરમીની	karstums	heat's
ગરવા	krist	honorable
ગરવી	lepnums	great
ગરીબ	nabadzīgs	poor
ગરીબી	nabadzība	poverty
ગરીબો	nabags	poors
ગર્ભ	auglis	core
ગર્ભમાં	dzemdē	venter
ગર્વ	lepns	pride
ગલી	aleja	narrow street
ગવર્નર	gubernators	governor
ગવાય	dziedi	sung
ગહન	dziļa	deep/detailed
ગાઁધીજી	gandhiji	gandhiji
ગાંધારી	gandhari	gandhari
ગાંધી	gandijs	gandhi
ગાંધીએ	gandijs	gandhiji
ગાંધીજી	gandhiji	gandhiji
ગાંધીજીએ	gandhiji	gandhiji
ગાંધીજીના	gandhiji	gandhiji's
ગાંધીજીની	gandhiji	gandhiji's
ગાંધીજીનું	no gandhiji	of gandhiji
ગાંધીજીને	gandhiji	to gandhiji
ગાંધીજીનો	gandhiji	of gandhiji
ગાંધીનગર	gandhinagar	gandhinagar
ગાંધીના	gandijs	gandhi's
ગાંધીની	gandijs	gandhi's
ગાંધીનું	gandijs	of gandhi / gandhian
ગાંધીને	gandijs	name
ગાંધીનો	gandijs	gandhi's
ગાંધીવાદી	gandija	o the gandhiji
ગાઇડ	vadīt	gide
ગાઢ	blīvs	close [relations]
ગાણિતિક	matemātiskā	mathematical
ગાદી	spilvens	throne
ગાદીએ	uz dīvāna	became chief
ગામ	ciems	village
ગામડે	ciemā	at village
ગામના	no ciemata	village
ગામનાં	no ciemata	of the villages
ગામની	no ciemata	village's
ગામમાં	ciemā	villiage
ગામે	ciemā	villages
ગામો	ciemi	villages
ગાય	puisis	cow
ગાયક	dziedātājs	singer
ગાયકવાડ	gaekwad	gaikwad
ગાયત્રી	gajatri	gayatri
ગાયબ	pazuda	vanish
ગાયો	govis	cows
ગાર્ડન	dārzs	garden
ગાળા	periods	period
ગાળાના	jēdziens	duration
ગાળાની	jēdziens	term
ગાળામાં	periodā	duration
ગાળો	marža	span
ગાવામાં	dzied	sing / sang / sung
ગિરનાર	girnārs	girnar
ગિરનારનાં	girnārs	girnar's
ગિરનારની	girnārs	of girnar, girnar's
ગિરનારનું	girnārs	of girnar
ગિરનારને	girnārs	girnar
ગિરનારમાં	žirnārā	in girnar
ગિરનારી	girnari	girnari
ગિરા	žira	gira, name of the river in gujarat
ગીચ	pārpildīts	dense / conjested
ગીચતા	blīvums	density
ગીઝાના	no gīzas	of giza
ગીત	dziesma	song
ગીતમાં	dziesmā	in song
ગીતા	gita	gita
ગીતાના	no gitas	gita's
ગીતાનો	no gitas	gita's
ગીતો	vārdi	songs
ગીર	ģirt	"tourist place ""gir"""
ગુંડાલકેનાલ	gundalcanal	gundal canal
ગુગલ	google	google
ગુજરાત	gudžarata	gujarat state
ગુજરાતના	no gudžaratas	of gujarat
ગુજરાતનાં	no gudžaratas	of the gujarat
ગુજરાતની	no gudžaratas	of gujarat
ગુજરાતનું	no gudžaratas	gujarat state
ગુજરાતનો	no gudžaratas	gujarat's
ગુજરાતમાં	gudžaratā	in gujarat
ગુજરાતી	gudžarati	gujarati
ગુજરાતીઓ	gujaratis	gujaratis
ગુજરાતીમાં	gudžarati	in gujarati
ગુજરાતે	gudžarata	by gujarat
ગુજવિકિને	gujwiki	to gujwiki
ગુડ	labi	good
ગુણ	marks	marks,
ગુણધર્મો	īpašības	quality perspiration
ગુણવત્તા	kvalitāte	excellence
ગુણવત્તાના	kvalitāte	of the quality
ગુણવત્તાની	kvalitatīvi	of quality
ગુણો	punkti	quality
ગુણોત્તર	attiecība	ratio
ગુનાઓ	noziegumi	crimes
ગુનેગાર	vainīgais	convict
ગુપ્ત	slepeni	hidden, secret
ગુફા	ala	cave
ગુફાઓ	alas	caves
ગુમાવી	pazudis	to loss
ગુમાવ્યા	pazudis	lossed
ગુરુ	jupiters	master
ગુરુત્વાકર્ષણ	smagums	gravitation
ગુરુદેવ	gurudevs	gurudev [in hindi]
ગુરુવાર	ceturtdiena	thursday
ગુરૂ	jupiters	teacher, guru
ગુરૂત્વાકર્ષણ	smagums	gravitation
ગુરૂની	jupiters	jupiter's
ગુલાબ	rozes	rose
ગુલામ	vergs	servant or slave
ગૂગલ	google	google
ગૂગલે	google	by google
ગૂઢ	noslēpumains	complecated/difficult
ગૃહ	mājas	home
ગૃહસ્થ	saimnieks	gentleman
ગેટ	gūt	gate
ગેટવે	vārteja	gateway
ગેટ્સ	vārti	gates
ગેટ્સે	vārti	by gates
ગેમ	spēle	game
ગેમિંગ	spēles	gaming
ગેમ્સ	spēles	games
ગેરકાયદેસર	pretlikumīgs	illegal
ગેરહાજરીમાં	prombūtnes laikā	in absent
ગેલેરી	galerija	gallery
ગેસ	gāze	gas
ગેસના	no gāzes	of gas
ગોંડલ	gondal	gondal
ગોઆ	goa	"name tourisam place ""goa"""
ગોઆન	goans	goa
ગોઠવણ	pielāgošana	adjustment
ગોઠવણી	konfigurācija	arrangement / formation
ગોઠવવામાં	konfigurēts	setting
ગોઠવાય	sakārtots	arranges
ગોડ	dievs	god
ગોડસે	dievs	godse
ગોદમાં	klēpī	in the lap of
ગોદાવરી	godavari	"rive name ""the godavari"""
ગોધરા	godhra	godhra(name of railway station)
ગોપનીયતા	privātums	secrecy / privacy
ગોપાલ	gopāls	gopal
ગોરખનાથ	gorakhnath	gorakhnath
ગોરા	balts	white
ગોરાઓનાં	no baltumiem	foreigner's
ગોલ્ડન	zeltaini	golden
ગોલ્ફ	golfs	golf
ગોળ	raunds	round
ગોળા	sfēras	sphere shaped
ગોળાઓ	sfēras	balls
ગોળાકાર	noapaļots	round
ગોળાર્ધમાં	puslodē	hemisphere
ગોળી	nošauts	bullet
ગોવા	goa	goa
ગોવાના	goa	of goa
ગોવાની	goa	goa's
ગોવાનું	no goa	goa's
ગોવાનો	goa	goa
ગોવામાં	goā	in state of goa
ગોવિંદ	govind	govind name
ગોસેવા	goseva	caring of cow
ગોસ્વામી	goswami	goswami
ગોહિલ	gohils	gohil
ગૌડીય	gaudija	gaudiya, name of the hindu religion follower
ગૌણ	sekundārā	auxiliary
ગૌતમ	gautam	gautam
ગૌરવ	lepnums	pride
ગૌરવપૂર્ણ	lepns	prestigious
ગૌશાળા	gaušala	cowshed
ગ્રંથ	grants	volume / complex
ગ્રંથમાં	rakstos	in the book
ગ્રંથમાળા	bibliogrāfija	book series
ગ્રંથો	teksti	texts
ગ્રંથોના	no tekstiem	of the books
ગ્રંથોમાં	tekstos	in books
ગ્રહ	planēta	planet
ગ્રહણ	aptumsums	eclipse
ગ્રહની	no planētas	planet
ગ્રહો	planētas	planets
ગ્રહોના	no planētām	of planets
ગ્રહોની	no planētām	of planets
ગ્રહોને	uz planētām	to the planets
ગ્રાઉન્ડ	zeme	ground
ગ્રાન્ડ	lieliski	grand
ગ્રાફિક	grafisks	graphic
ગ્રાફિક્સ	grafika	graphics
ગ્રામ	g	gram
ગ્રામીણ	lauku	rural
ગ્રામ્ય	lauku	rural
ગ્રાહક	klients	customer
ગ્રાહકો	klienti	customers
ગ્રાહકોની	no klientiem	of the customers
ગ્રાહકોને	klienti	to customers
ગ્રીક	grieķu	greek
ગ્રીકો	grieķi	greek's
ગ્રીન	zaļš	green
ગ્રીનહાઉસ	siltumnīca	greenhouse
ગ્રીનહાઉસની	no siltumnīcas	greenhouse's
ગ્રીસ	grieķija	greece
ગ્રીસના	grieķijas	of greece
ગ્રુપ	grupa	group
ગ્રૂપ	grupa	group
ગ્રેગોરીયન	gregorijs	gregorian
ગ્રેટ	lieliski	great
ગ્રેટર	lielāks	greater
ગ્લેશિયરહીમનદી	ledāja ledājs	glacier
ગ્લોબ	globuss	globe
ગ્લોબલ	globālā	global
ઘંટ	zvani	bell
ઘઉં	kvieši	wheat
ઘટક	sastāvs	component
ઘટકો	sastāvdaļas	constituents
ઘટના	pasākums	incident
ઘટનાઓ	notikumi	incidents
ઘટનાઓની	no notikumiem	of the events
ઘટનાઓનું	no notikumiem	of events
ઘટનાઓમાં	notikumi	in the events
ઘટનાની	no pasākuma	of incident
ઘટનાને	uz pasākumu	incidence
ઘટનાનો	no pasākuma	process
ઘટનામાં	gadījumā, ja	in the event
ઘટવા	atteikt	decrease
ઘટાડવા	lai samazinātu	less / mearge
ઘટાડી	samazināts	decreased
ઘટાડો	samazināšana	reduction
ઘટી	kritums	low
ઘટીને	nometu	decreased
ઘટે	samazinās	decreases,
ઘટોત્કચ	ghatotkach	ghatotkach
ઘડવામાં	ierāmēts	in construction
ઘડિયાળ	pulkstenis	watch / clock
ઘડી	izdomāts	moments
ઘણા	daudzi	very
ઘણાં	daudz	lots of
ઘણાખરા	daudzi	most of
ઘણી	daudz	many
ઘણીબધી	par daudz	many
ઘણીવાર	bieži vien	many times
ઘણુ	daudz	more
ઘણું	daudz	much
ઘણો	daudz	much
ઘન	ciets	solid
ઘનતા	blīvums	density
ઘનશ્યામ	gansšjam	dhanshyam
ઘર	mājas	house
ઘરની	no mājas	of the house
ઘરમાં	mājās	house
ઘરે	mājās	(at) home
ઘરેલુ	iekšzemes	household
ઘરેલું	iekšzemes	stationed at home
ઘરો	mājas	houses
ઘવાયા	ievainots	injured
ઘસી	berzēja	twril
ઘાટ	pelējuma	pass
ઘાયલ	ievainots	injured
ઘાસ	zāle	grass
ઘાસના	no zāles	grass
ઘી	ghee	the
ઘુમ્મટ	kupols	vault
ઘુમ્મટની	no kupola	dome's
ઘુસી	iespiests	forceful entry
ઘેડ	aitas	ghed
ઘેર	mājas	home
ઘેરાયેલું	apkārt	spread
ઘેરાયેલો	apkārt	surrounded
ઘેરી	apkārt	dark
ઘેરો	tumšs	dark
ઘોંઘાટ	troksnis	noise
ઘોડા	zirgi	horses
ઘોષણા	paziņojums	manifesto
ઘોષિત	deklarēts	declared
ચ	ch	also [sanskrit word]
ચંડીગઢ	čandigars	chandigarh
ચંદ્ર	mēness	moon
ચંદ્રક	medaļa	medal
ચંદ્રગુપ્ત	čandragupta	chandragupt
ચંદ્રનાં	no mēness	of chandar
ચંદ્રની	no mēness	of the moon
ચંદ્રને	līdz mēnesim	to moon
ચકાસણી	pārbaude	verification
ચક્ર	cikls	revolve
ચક્રવર્તી	čakrarti	supreme
ચક્રવાત	ciklons	tsunami
ચડવા	kāpt	to have
ચડાઈ	kāpt	invasion
ચડી	kāpt	climb
ચડીને	kāpt	climbed,
ચડે	kāpj	climbs
ચડ્યો	uzkāpa	climbed up
ચઢાણ	kāpt	climbings
ચતુર	gudrs	able / claver
ચતુર્થ	iv	fourth
ચન્દ્ર	mēness	chandar
ચમત્કાર	brīnumi	miracle
ચયાપચય	vielmaiņa	digestive system
ચરણ	solis	feet
ચરમ	ekstrēms	top
ચરિત્ર	raksturs	character
ચર્ચ	baznīca	church
ચર્ચા	diskusija	discussion
ચર્ચાઓ	diskusijas	discussions
ચલચિત્ર	filma	movie
ચલણ	valūta	currency
ચલતે	kustībā	by walk
ચલાવતા	skriešana	runner
ચલાવવા	skriet	to run
ચલાવવામાં	izpildīts	run by
ચલાવી	skrien	doing
ચલાવે	darbojas	running
ચલાવ્યું	izpildīts	ran
ચલિત	pārvietojas	run
ચળવળ	kustība	activity
ચળવળના	kustības	of the movement
ચળવળની	kustības	of agitation
ચળવળને	kustība	of the movement, to the movement
ચળવળમાં	kustībā	in the agitation
ચા	tēja	tea
ચાંદી	sudrabs	silver
ચાઇના	ķīna	china
ચાઇનીઝ	ķīniešu	chinese
ચાણક્ય	čaņakja	"name ""chanakaya"""
ચામડી	āda	skin
ચામુંડા	čamunda	chamunda
ચાર	četri	four
ચારણ	pēdas	rhapsody
ચારે	četri	all four
ચાર્લ્સ	kārlis	charles
ચાલ	kustēties	trick
ચાલક	šoferis	motive
ચાલતા	ejot	running
ચાલતી	skriešana	running
ચાલતું	skriešana	running
ચાલતો	ejot	went on
ચાલવાનું	ejot	to walk
ચાલી	skriešana	lasted for
ચાલીને	ejot	by walking
ચાલુ	notiek	current
ચાલું	notiek	current
ચાલે	darbojas	running
ચાલ્યા	pagājis	went
ચાલ્યાં	pagājis	gone
ચાલ્યું	ilgstoši	ran
ચાલ્યો	aizgāja	ran
ચાવલા	čalla	chawla
ચાવી	atslēga	key
ચાહતા	fani	loved
ચાહે	vai	whether
ચિંતન	pārdomāšana	thinking
ચિંતા	trauksme	tension
ચિકિત્સા	terapija	cure
ચિકિત્‍સા	medicīna	cure
ચિતાર	ģitāra	picture
ચિત્ર	bilde	picture
ચિત્રકાર	gleznotājs	painter
ચિત્રણ	ilustrācija	to draw
ચિત્રપટ	filma	movie
ચિત્રો	attēli	pictures
ચિત્રોં	attēli	pictures / photos / paintings
ચિન્હ	parakstīt	sign,
ચિન્હો	zīmes	symbols
ચિહ્ન	ikona	symbol
ચીકણો	gumijs	glace
ચીજ	lieta	thing
ચીજો	lietas	things
ચીન	ķīna	country name
ચીનના	no ķīnas	china's
ચીનની	no ķīnas	china's
ચીનમાં	ķīnā	in china
ચીની	ķīniešu	chinese
