$ tỉ	miljardu dolāru	$ billion
cạnh	mala	"(term should be ""khía cạnh"") an angle"
cạo	noskūties	shave
cạp	skorpions	scorpion
cả	gan	both
cải	sinepes	reform
cảm	auksts	pleasure
cản	nomocīts	prevent
cảng	osta	port
cảnh	skatuves	situation
cảo	velk	posthumous
cấm	aizliegt	ban
cấn	vajag	dramatic
cấp	dotācija	level or rank (n.)
cất	destilēts	"(term should be ""cất giữ"") to keep safe or store"
cầm	turēt	to hold (v.)
cần	vajag	need
cầu	tilts	request
cầy	civets	farmed
cẩn	esi uzmanīgs	carefully
cẩu	celtnis	"(term should be ""hải cẩu"") a seal (n.)"
cận	pieeja	close
cập	skaitītājs	mention
cậu	puika	a young man (n.)
cậy	atkarīgs	reliable
cắm	iespraust	to plant (v.)
cắn	iekost	to bite
cắp	zagt	steal
cắt	griezt	cut
cằm	zods	chin
cằn	kašķīgs	exhausted (adj.)
cặp	soma	couple
cọ	berzēt	rub
cọc	kaudzes	pile
cọp	tīģeris	tiger
cỏ	zāle	plant
cố	mēģiniet	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	krūze	cereal
cối	java	mortar
cốm	tīrradņi	grilled rice
cống	notekas	dedicate
cồn	alkohols	i
cồng	gongu	gong
cổng	vārti	gate
cỗ	klāja	engine
cỗi	spītīgs	barren
cộ	transporta līdzeklis	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	vecs	origin
cộng	plus	to add (v.)
cột	kolonna	pole
cớ	attaisnojums	excuse
cờ	karogs	flag
cỡ	izmērs	size
cợt	jokojot	"(term should be ""đùa cợt"") to trifle (v.)"
cục	nodaļa	department
cụm	klasteris	cluster
cụp	amputēts	down
cụt	amputēts	"(should be ""xương cụt"") the tailbone or coccyx"
củ	bumbuļi	a bulb, a botanical term
của	no	of
củi	malka	firewood
củng	arī	reinforce
cứ	ieslēgts	any
cức	dūdot	"(term should be ""cức Đê"") a character in chinese history"
cứng	grūti	hard
cứngi	hardi	cungi
cừ	stabi	nacre
cừu	jērs	sheep
cửa	durvis	door
cửu	reizināt	nine
cữ	cu	abstinence
cữu	zārks	nine
cự	attālums	against
cựa	spurs	retreat
cực	pole	extreme
cựu	bijušais	former
d	d	d.
da	āda	skin
daegu	daegu	daegu
dahl	dālijs	(proper noun) dahl, as in author roald dahl
dai	grūts	persistent
daily	katru dienu	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	da lat	da lat
dampier	mitrāks	(proper noun) dampier, a last name
dan	dan	dan
dancing	dejošana	dancing
danger	briesmas	danger
danh	vārds	list
daniel	daniel	daniel
dante	dante	dante
dao	nazis	poniard
darwin	darvins	darwin
das	das	das
dassault	dasault	(proper noun) dassault
date	datums	date
dau	eļļa	dau
dave	dave	(proper noun) dave, as in dave sexton
david	deivids	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	līdzstrāvas	d.c.
ddr	ddr	ddr
dean	prāvests	a name
degree	grāds	degree
delhi	delhi	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	demeters	(proper noun) demeter, the greek goddess of the harvest
den	den	den
dennis	deniss	dennis
department	nodaļa	departmen
derek	derek	derek
des	des	des
descartes	descartes	descartes
design	thiết kế	thiet ke
deuterium	deitērijs	deuterium
deutschland	deutschland	deutschland
dewan	dewan	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diāna	(proper noun) diana, as in diana ross
die	nomirt	german
diego	diego	diego
dien	traks	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	pils	official residence or palace
dionysus	dionīzs	dionysus, as in the greek god
discovery	atklājums	discovery
discussion	diskusija	discussion
disneyland	disnejlenda	disneyland
division	dalīšana	division
divoire	divoire	d'lvoire
diêm	sērkociņi	diem vuong
diên	traks	"(term should be ""kinh diên"") canon (n.)"
diềm	valances	matches
diều	pūķis	kite
diểu	farss	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	gājiens	parade
diệc	gārnis	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	seja	face to face
diệt	nogalināt	to kill or destroy (v.)
diệu	maģija	effective (adj.)
djibouti	džibuti	djibouti, a country in africa
djokovic	džokovičs	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	autors	because of
doanh	locītavu	"(term should be ""kinh doanh"") business (n.)"
doc	dok	doc
docherty	docherty	docherty
dolly	lelle	(proper noun) dolly, as in singer dolly parton
dome	kupols	nha
dominican	dominikāņu	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmunde	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	doveris	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doans	doan
doạ	draudošs	threat
dp	dp	dp
dracula	drakula	dracula
draft	melnraksts	draft
drake	drake	(proper noun) drake
driver	šoferis	a name
ds	ds	ds
dtd	dtd	dtd
dth	d	dth
du	du	travel
dubai	dubai	dubai
duiker	divnieks	duiker
duk	duk	duk
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore
dung	mēsli	portrait
durham	durham	durham
dursley	durslijs	dursley
duy	tikai	only
duyên	iepriekš noteikts	coastal
duyện	tiecoties	fellatio
duyệt	pārlūks	browser
duơng	duongs	ocean
duẩn	duana	duan
duật	duat	duat
duệ	pēcnācēji	descendants (n.)
duỗi	iztaisnot	stretch
dwight	dwight	dwight
dà	dah	gradually
dài	ilgi	to lengthen, as in time
dàn	inscenējums	to arrange
dàng	viegli	dang
dành	pavadīts	for
dào	bagātīgs	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	bieza	thick
dái	mīzt	"penis (n.), although some may use the term to mean ""testicles"""
dám	uzdrīkstēties	dare
dán	ielīmēt	stick
dáng	forma	appearance
dát	inkrustēts	inlay
dâm	netikls	lustful (adj.)
dân	cilvēki	people
dâng	piedāvājums	dedicate
dây	aukla	nerve
dã	savvaļas	chronicle
dãi	visatļautība	band
dãn	paplašināta	extend
dãy	diapazons	a row (n.)
dè	esi uzmanīgs	tight
défense	defense	defense
dép	sandales	slipper
dê	kaza	goat
dì	tante	aunt
dìu	dìu	to lead by the hand (v.)
dính	lipīga	stick
dò	meklēt	(with word tham) to survey
dòm	skaties	snoop
dòng	pašreizējais	"(term should be ""dòng họ"") family (n.)"
dó	ka	a type of plant used to make paper in vietnam (n.)
dông	pērkona negaiss	a storm (n.)
dõi	trase	monitor
dù	tomēr	though
dùi	perforatoru	awl
dùng	izmantot	use
dăm	skaidas	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	protams	why
dĩa	šķīvis	dish
dũng	varens	courage
dơ	netīrs	dirty
dơi	sikspārņi	bat
dư	atlikušais	remnant
dưa	melones	melons
dưng	apstāties	suddently
dương	pozitīvs	penis
dường	šķiet	seem
dưỡng	kopšana	feed
dược	aptieka	having to do with medicine (adj.)
dượng	tēvocis	uncle
dạ	jā	night
dại	dumjš	stupid or idiotic (adj.)
dạn	bezbailīgs	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	formāts	tyoe
dạo	pastaigāties	vending
dạt	nomazgāts	to drift
dạy	mācīt	teach
dải	sloksne	range
dấm	etiķis	vinegar
dấp	klupšana	shape
dấu	parakstīt	signal
dấy	uzmundrinošs	to raise (v.)
dần	pamazām	people
dầu	eļļa	oil
dẫm	sastingt	step on
dẫn	vadīt	to lead
dẫu	tomēr	though
dận	krustmāte	to step on
dậu	gailis	rooster
dậy	piecelties	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	svinu	lead
dằn	balasts	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	noturīgs	dằng dai= long/endless
dẳng	noturīgs	persist
dặm	jūdze	mile
dặn	pasūtīts	to advise (v.)
dặt	pasūtīt	conservative
dẹp	dzīvoklis ārā	pacify
dẹt	plakans	flat
dẻ	kastaņi	chestnut
dẻo	plastiskums	flexible
dế	kriketi	cricket
dền	amarants	beetroot
dể	viegli	easy
dễ	viegli	easy
dệt	aušana	textile
dị	singularitāte	simple
dịch	tulko	semen
dịp	gadījumā	occasion
dịu	maiga	ease
dọa	draudošs	to threaten or scare (v.)
dọc	vertikāli	along
dỏm	asprātīgs	witty
dốc	slīpums	slope
dối	melot	lie
dốt	nezinošs	stupid or ignorant (adj.)
dồi	bagātīgs	"(term should be ""trau dồi"") improve (v.)"
dồn	stūrēts	accrue
dỗ	pierunāt	dirty
dời	kustēties	leave
dở	slikti	incomplete
dỡ	izkraušana	remove
dụ	piemēram	example
dục	dzimums	sexuality
dụng	izmantot	use
dứa	ananāsi	pineapple
dứt	apstāties	to cease
dừa	kokosriekstu	coconut (n.)
dừng	apstāties	to cease
dữ	dati	"(term should be ""giận dữ"") anger (n.)"
dự	prognozēts	attend
dựa	balstīta	base on
dực	vīrietis	dực, as in lê tương dực
dỹ	dỹ	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	ausis	earles
eaton	ēst	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgars	edgar, as in author edgar allan poe (n.)
edge	mala	edge
edinburgh	edinburga	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	redaktors	editor
edmond	edmond	edmond
edo	edo	edo
edward	edvards	edward
edwin	edvīns	edwin
eea	eea	eea
efron	efrons	efron, as in zac efron
egypt	ēģipte	egypt
eid	eid	(proper noun) eid
eiffel	eifels	eiffel
einstein	einšteins	einstein
eisenhower	eizenhauers	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	elektroniska	electronic
eliane	eliāns	(proper noun) eliane
elip	elipse	ellipse
elizabeth	elizabete	elizabeth
ellen	ellen	ellen
ellis	eliss	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	elipse	ellipse
em	tu	younger sibling
email	e-pasts	email
emily	emīlija	(proper noun) emily, as in emily dickinson
emir	emir	emir
emmy	emmija	emmy
en	lv	erica reef
energy	enerģija	energy
engels	enģeļi	engels
england	anglija	(proper noun) england, as in new england
eniac	eniac	eniac
entente	entente	entente
entropy	entropija	entropy
enzym	ferments	enzymes
eo	viduklis	eo, as in the film captain eo
ep	ep	a name
erich	erich	erich
erik	eriks	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	ernests	(proper noun) ernest
eros	eross	eros, greek god of love
erwin	ervins	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	būtiska	essential
ethernet	ethernet	ethernet
ethiopia	etiopija	(proper noun) ethiopia
euclid	eiklida	euclid
eugene	eugene	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	eiro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	eiropā	europe
european	eiropas	(proper adjective) european
eva	eva	eva
everton	evertons	everton
every	katrs	every
exgay	exgay	exgay
explorer	pētnieks	explorer
extensive	plaša	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	fakts	fact
facto	faktiski	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	āti	fdi
features	iespējas	features
federer	federācija	federer
feet	pēdas	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferba	ferb
ferdinand	ferdinands	ferdinand
ferguson	fergusons	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fiat	fiat
fidel	fidels	fidel
field	lauka	field
fifa	fifa	fifa
fifpro	fifpro	fifpro
figo	figo	figo
fiji	fidži	fiji
finish	pabeigt	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	zvejnieks	fischer, as in louis fischer
fish	zivis	fish
fishbed	zivju gulta	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	flankeris	flanker
fleming	flemings	fleming
flight	lidojums	flight
foch	fočs	(proper noun) foch
focus	fokuss	focus
foden	fodens	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	ēdiens	food
football	futbols	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	ford	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	dakšiņas	forks
foundation	pamats	foundation
fox	lapsa	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	franks	franc
france	francija	france
frances	frances	frances
francis	franks	francis, as in francis xavier
francisco	francisco	francisco
franco	franko	franco
frank	atklāti	frank
frankfurt	frankfurtē	(proper noun) frankfurt
franklin	franklins	franklin
franz	franzs	(proper noun) franz, as in franz ritter
freud	freids	(proper noun) freud, as in sigmund freud
friedman	cepējs	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	funimācija	(proper noun) funimation
funk	funk	funk
futsal	futsal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarins	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	grami	gam
gambia	gambija	gambia
gamow	gamow	a name
gan	aknas	liver
gandhi	gandhi	gandhi, as in mahatma gandhi
gang	banda	cast iron
ganh	greizsirdīgs	to be jealous
gao	rīsi	strictly
gareth	gareth	a name
garrett	garrett	garrett
gary	gari	gary
gascon	gāzkons	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	gejs	tense
gaza	gaza	gaza
gdańsk	gdaņska	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	geiša	geisha
gen	gēni	gene
gene	gēns	(proper noun) gene, an english first name
genesis	ģenēze	(proper noun) genesis
georg	georg	(proper noun) georg
george	george	george
georges	george	(proper noun) georges, a french name
gepard	gepards	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhards	gerhard
german	vācietis	german
germany	vācijā	germany
gerrard	gerrard	gerrard, a last name
ghana	gana	(proper noun) the african country of ghana
ghe	laiva	canoe
ghen	greizsirdīgs	to be jealous (v.)
ghi	uzrakstiet	write
ghim	pin	pin
ghé	apstāties	visit
ghép	potēt	fit
ghê	šausmas	disgust
ghì	ghì	tighten
ghẻ	kašķis	scabies (n.)
ghế	krēsls	chair
ghề	krāces	scabby
ghềnh	krāces	waterfall (n.)
gia	gia	date
giai	skatuve	period
giam	cietums	imprison
gian	telpa	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	gibraltārs	(proper noun) gibraltar
gichin	gichin	gichin
gieo	sēt	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	džoi	world
giuliani	giuliani	giuliani
giun	tārpi	worm
giuse	dusmu	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	giza	giza
già	vecs	old (adj.)
giàn	kopnes	"(term should be ""giàn hoa"") a trellis girder"
giành	dedzīgi	secure
giàu	bagāts	rich or wealthy (adj.)
giày	kurpes	a shoe
giá	cena	estimate
giám	režisors	"(term should be ""giám sát"") to supervise (v.)"
gián	prusaku	"(term should be ""gián tiếp"") indirectly"
giây	sekundes	seconds
giã	ņurdēšana	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	stiept	stretch
gièm	atdalītāji	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	jēzus	jesus
giêxu	saikne	jesus
giò	tīteņi	leg
giòi	tārpi	maggot (n.)
giòn	kraukšķīgs	crunchy or crispy (adj.)
gió	vējš	wind
gióng	piemēram	align
giúp	palīdzēt	help
giũa	failu	sharpen
giơ	iesprūst	raise
giương	uzliesmo	posture
giường	gulta	bed
giả	viltus	fake (adj.)
giải	risinājums	solution
giảm	samazināšana	decrease
giản	vienkāršots	"(term should be ""giản dị"") simple (adj.)"
giấc	gulēt	giấc ngủ= the sleep
giấm	etiķis	drabble
giấu	paslēpties	hide
giấy	papīrs	paper
giầu	bagāts	rich
giận	dusmīgs	angry
giằng	spirdzinošs	pull
giặc	ienaidnieks	enemy
giặt	mazgāt	to wash (n.)
giếng	labi	well
giết	nogalināt	kill
giềng	kaimiņš	"(term should be ""láng giềng"") neighboring"
giễu	izsmiekls	ridicule
giọng	tonis	tone
giọt	nomest	drop
giỏ	grozs	basket
giỏi	lieliski	good
giồng	giong	mound
giỗ	nāves gadadiena	anniversaries of deaths
giới	dzimums	gender
giờ	stundas	bao giờ=ever
giở	zibspuldze	to open or unfold (v.)
giỡn	jokojot	joke
giục	mudināja	urge
giữ	turiet	hold
giữa	starp	between
gladys	priecājos	gladys
glazer	glazūra	glazer
glonass	glonass	glonass
gloria	glorija	gloria
gloster	glosteris	(proper noun) gloster, as in gloster meteor
glucose	glikoze	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	iet	"(term should be ""gay go"") tense"
goes	iet	goes
goku	goku	goku
golden	zeltaini	golden
gom	savākt	to gather (v.)
google	google	google
gorbachev	gorbačovs	gorbachev
gorbachyov	gorbachjovs	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordons	gordon, as in gordon brown
gore	gore	gore
gorky	gorky	gorky, as in gorky park
gothic	gotu	gothic
gottfried	gotfrīds	gottfried
grabeel	grabeel	grabeel, a last name
graham	grehems	graham
granada	granada	granada
granit	granīts	granite
greek	grieķu	(proper noun) greek
greenland	grenlande	greenland
greenson	greenson	(proper noun) greenson
greenwich	griniča	(proper noun) greenwich
greg	gregs	greg
grenada	granāta	grenada
grenadines	grenadīni	grenadines
gross	bruto	gross
grumman	grummans	(proper noun) grumman
gruzia	gruzijā	gruzia
gryffindor	gryffindor	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	stils	gu
guam	guams	guam
guard	sargs	guard
guatemala	gvatemala	guatemala
gui	gui	gui
guinea	gvineja	guinea
guinness	ginests	(proper noun) guinness
guitar	ģitāra	guitar
gujarat	gujārats	gujarat
gulag	gulags	gulag
gulf	līcis	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	gausties	gustave
gutenberg	gūtenberga	gutenberg
guyana	gujāna	guyana; proper noun
gà	cālis	chicken
gài	iešūt	to fasten (v.)
gào	kliedza	"(term should be ""thét gào"") to cry out (v.)"
gác	sargs	guard
gái	meitene	girl
gán	piešķirt	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	nēsāt	hold
gáy	pakauša	crow
gân	tuvu	tendon
gây	cēlonis	make
gãy	salauzts	break
gì	kas	what
gìn	saglabāt	preserve
gò	kalns	"(term should be ""gò má"") cheekbone (n.)"
gòn	nav	gon
góa	atraitne	widowed
góc	stūra	angle
gói	iepakojums	goi
góp	iemaksa	to contribute
gót	papēdis	heels
gõ	tips	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	uzkrāt	poniard
găng	cimdi	gloves
gũi	tuvu	close
gươm	zobens	sword
gương	spogulis	mirror
gạc	marle	johnson south reef
gạo	rīsi	rice
gạt	apkrāpts	to cheat or trick (v.)
gả	laulība	marry
gảy	pārtraukums	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gačs	gac
gấm	brokāts	brocade
gấp	pasteidzies	times, as in many times
gấu	lācis	a bear (n.)
gần	tuvu	near
gầy	plāns	thin
gẫy	salauzts	break
gập	salocīt	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	nūju	stick
gắm	fart	send
gắn	uzmontēts	mount
gắng	mēģiniet	try
gắt	skarbi	intense
gặm	ņurdēt	rodent
gặp	satikties	meet
gặt	novākt ražu	harvest
gỉ	sarūsējis	rust
gọi	zvana	call
gọn	glīts	neat (adj.)
gọng	rimmed	gong
gọt	mizu	cut
gỏi	salāti	a vietnamese salad
gốc	izcelsme	origin (n.)
gối	spilvens	"(should be ""qùy gối"") to kneel"
gốm	keramikas	pottery
gồm	ieskaitot	include
gồng	gongu	carry
gỗ	koksne	wood
gội	šampūns	shampoo
gộp	sapludināt	aggregate
gớm	drausmīgs	tremendous
gờ	dzega	edge
gởi	sūtīt	send
gỡ	izkraut	meet
gợi	ierosinošs	to evoke (v.)
gục	uz leju	"(term should be ""đánh gục"") crush, as in battle"
gừng	ingvers	ginger
gửi	sūtīt	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburga	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	divi	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	halogēna atoms	halogen (n.)
ham	šķiņķis	desire
hamilton	hamiltons	(proper noun) hamilton
han	han	han
hang	ala	cave
hangul	hangul	hangul
hanh	hanh	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	haralds	harald
hardy	izturīgs	hardy
harlem	harlema	harlem
harlow	harlow	harlow
harold	harolds	(proper noun) harold
harper	harper	harper
harpercollins	harpercollins	hapercollins
harrier	harrier	harrier, as in harrier jump jet
harris	hariss	harris
harry	harijs	harry
harvard	hārvarda	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havana	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	vanags	hawker
hawking	vanags	(proper noun) hawking, as in physicist stephen hawking
hay	labi	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	viņš	he, a korean name
health	veselība	health
heath	virsotne	heath
hee	hee	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrihs	heinrich
helen	helēna	helen
helena	helēna	helena
heli	hēlijs	helium
hematocrit	hematokrīts	hematocrit
hemoglobin	hemoglobīns	hemoglobin
hen	vista	asthma
henry	henrijs	(proper noun) henry, as in henry kissinger
heo	sastāvējies	dolphin
her	viņu	her
herbert	herberts	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	hercules	hercules
hermann	hermans	hermann
hermes	hermes	hermes
hersh	skarbi	hersh, as in seymour hersh
hesiod	hesiods	hesiod
hestia	hestia	hestia
hi	sveiki	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	hicks	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hidjoši	(proper noun) hideyoshi
hidro	ūdeņradis	hydrogen
hillsborough	hillsborough	hillsborough
hilton	hiltons	hilton
himalaya	himalaja	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburga	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hindu	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtrons	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hirosima	(proper noun) hiroshima, the japanese city
hitchcock	aizķeršanās	hitchcock
hitler	hitlers	hitler
hitter	hitter	hitter
hitters	hitters	hitters
hiên	lievenis	(proper noun) hiên, a vietnamese first name
hiđrô	ūdeņradis	hydrogen
hiếm	reti	rare
hiến	dot	devote
hiếp	izvarošana	rape
hiếu	filiāla dievbijība	pious
hiềm	slims	grudge
hiền	salvija	sage
hiểm	bīstams	dangerous
hiểu	saprast	learn
hiện	parādīties	"(term should be ""thực hiện"") to accomplish"
hiệp	puse	united
hiệu	efekts	effective
hlv	treneris	trainer
hms	hms	hms
hmông	hmongi	hmong
hn	hn	hn
hoa	zieds	flower
hoan	festivāls	welcome
hogwarts	latvānis	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmss	a name
holocaust	holokausts	holocause
holocen	holocēns	holocen
holt	holts	holt, an english last name
hom	spraudeņi	a cutting
homer	homer	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	honga	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	hornet	hornet
hotspur	hotspur	(proper noun) hotspur, as in tottenham hotspur
houston	hjūstona	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	tomēr	however
hoà	kakla saite	peace
hoài	nostaļģisks	always (adv.)
hoàn	pabeigts	"(term should be ""hoàn toàn"") completely"
hoàng	karalis	royal (adj.)
hoành	diafragma	rife
hoá	ķīmija	"(term should be ""văn hoá"") culture (n.)"
hoán	ilgviļņi	refined (adj.)
hoãn	viņi ēd	delay
hoạ	krāsot	disaster (tham hoa)
hoại	gangrēna	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	hentai	work
hoả	uguns	of
hoảng	panika	panic-stricken (adj.)
hoặc	vai	or
hp	zs	hp
hq	hq	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudsons	hudson
huey	hjū	huey
hughes	hughes	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	ungārija	hungary
hunt	medības	hunt
hurley	hērlijs	(proper noun) hurley, as in chad hurley
hussein	huseins	hussein
husserl	husserls	huserl
huston	hjūstona	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	brālis	older brother
huyền	mistisks	huyền thoại= legend
huyễn	iluzors	huyen
huyện	apgabals	district
huyệt	akupunktūras punkti	lair
huân	huana	"(term should be ""huân chương"") medal (n.)"
huê	nokrāsa	"a less common vietnamese word for ""flower"""
huấn	apmācība	"(term should be ""huận luyện"") to train (v.)"
huế	nokrāsa	hue
huệ	nokrāsa	favour
huống	lietu	situation
huỳnh	sērs	sulfur
huỷ	atcelt	destroy
hydra	hidra	hydra, a monster in greek mythology
hydro	ūdeņradis	hydrogen
hyperion	hiperionu	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	komēdija	corpse
hàm	žoklis	"(term should be ""bao hàm"") to imply (v.)"
hàng	rinda	row
hào	grāvējs	depreciation
hách	valdonīgs	glorious
hái	izvēlēties	picking
hán	sausums	china
háo	dedzīgi	eager
hát	dziedāt	song
hâm	traks	"(term should be ""hâm mộ"") to admire (v.)"
hân	han	le ngoc han
hãi	nobijies	to be scared (v.)
hãn	kāns	to sweat (v.)
hãng	firma	a company (n.)
hãnh	lepns	proud
hè	vasara	summer
hé	saplaisājis	reveal
héo	nokalst	dried-out
hét	kliegt	shout
hên	paveicies	luck
hí	ne	game
hít	elpot	act of kissing (hon hit)
hò	iepazīšanās	date
hòa	kakla saite	republic
hòe	sūdi	hoe
hòm	šķirsts	box
hòn	sala	island
hòng	labi	in order to
hóc	hóc	a corner (n.)
hót	dziedāt	to chirp or sing (v.)
hô	ho	respiration
hôi	nediena	stink
hôm	dienā	day (n.)
hôn	skūpsts	propose
hông	gurns	hip
hù	nobiedēt	threaten
hùng	varoņi	hero
húc	gore	huc
húng	iedvesma	"(should be ""húng láng"") water mint"
hút	smēķēšana	to suck (v.)
hăng	asa	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	burkas	jar
hơi	nedaudz	slightly
hơn	nekā	more or less
hư	slikti	fictional
hưu	atvaļināts	huu
hương	vīraks	smell
hước	smieklīgs	humor
hướng	virziens	trend
hường	huong	huong
hưởng	izbaudi	influence
hạ	vasara	lower
hạc	flamingo	crane
