aajo	nực cười	hospitality
nawó	lấy tiền của bạn	point finger
ncnc	ncnc	ncnc
nebraska	n eric	nebraska
nefimu	cháu trai	nefimu
neptune	sao hải vương	neptune
nevis	nevis	nevis
ngbero	đã lên kế hoạch	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	ở đó	there
nibere	sớm	earlier
nigbakan	đôi khi	at one time
nigbà	sau đó	when
nijẹr	nike	niger
nilè	đây	remaining
nisinyi	hiện nay	at present
nitoriidieyi	bởi vì điều này	because of this
nitoripe	bởi vì	because
nitosi	gần đó	nearby
niwaju	phía trước	in front of
niyato	phân biệt	unlike
niye	đủ	in number
niyi	đây rồi	these
nkan	điều	things
nkàn	ung thư	something
nnaji	chú	nnaji
nobel	giải thưởng nobel	nobel
nombamewa	nhân lên	decimal
nombáméjì	hai cái đầu tiên	two-number
novo	novo	novo
nri	món ăn	nri
nse	thiết kế	acting
nso	ở gần	saying
nsolaboraro	bảo vệ	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	điểm	indicates
nu	dọn dẹp	in
nukleotidi	nucleotide	nucleotides
nukleotidipupo	nucleotide	cell
numeri	tê	numbers
nwa	đứa bé	drill
nàìjíríà	ở nigeria	nigeria
náwo	chi phí	spend money
náà	quá	that
nì	núi	is
nìnú	lấy làm tiếc	in
nìyí	đây là nó	this is
ní	có	on
níbè	ở đó	there
níbè	ở đó	there
nífẹ̀ẹ́	yêu	love
nígbàtí	khi nào	when
nílè	phía dưới	on the ground
nílùú	trong thành phố	in the town
nílẹ̀	trên mặt đất	in the land
nínlá	tuyệt quá	large
nínu	cơ hội	in
níní	có	having
nípà	ít nhất	by
nítorípé	bởi vì	because
nítumò	ý nghĩa	meaningful
nítòsí	gần đó	nearby
nítòótó	chính xác	truly
nítòótọ́	thật	in truth, truthfully
níwájú	phía trước	in front
níyanjú	tích cực	solved
nǹkan	điều	things
nso	sắp có	say
oba	obama	king
obairanderan	anh chị em họ	hereditary
obere	nhỏ	started
obínibí	lịch sự	inborn
ododo	sự công bình	righteousness
ofin	luật	law
ogbè	khu vực	a divinity
ogun	chiến tranh	war
ogunlogo	bầy đàn	hundreds
ojo	trông giống như	day
ojojumo	hằng ngày	daily
ojoru	sự ấm áp	wednesday
ojukokoro	thèm muốn	covetousness
ojuoorun	hoàng hôn	atmosphere
ojuse	nhiệm vụ	responsibility
ojùkòsì	lượng mưa	ojukosi
ojùkòtúu	lượng mưa	ojukotuu
ojúlùmọ̀	những người quen	acquaintance
ojútáyé	độ nhớt	public
ojúìwé	trang	page
okeere	hải ngoại	distant
okhotsk	okshotsk	okhotsk
oko	cánh đồng	farm
okunkun	bóng tối	darkness
okunrin	người đàn ông	male person
olodiajodojuko	lẫn nhau	facing wall
olohun	những chủ sở hữu	god
olojukanna	ngay	same surface
olokunkun	tai nghe	popular
ololugbe	kẻ thất bại	occupants
olopon	kiêu căng	a local game
olora	mập	fertile
oloselukan	xin chào	one political
oloye	thiên tài	chief
oluda	người sáng tạo	creator
oludase	nhà sản xuất	separatist
olukoitan	người hướng dẫn	the writer
olukowe	tác giả	writer
olumojuto	tham	overseer
oluparapo	sự phối hợp	joint
olusoju	bảo vệ	ambassador
oluwakiri	thăm dò	explorer
olympus	olympus	olympus
olódùmarè	toàn năng	almighty god
olóyè	cái thước	chief
olóṣèlú	chính trị gia	politics
olùbátan	liên hệ này	relative
olùdarí	một nhà lãnh đạo	director
olùkópa	người đóng góp	participant
olùkó	người hướng dẫn	teacher
olùkọ́	giáo viên	teacher
omi	nước	water
omiadalu	lũ lụt	mixture
onialjebra	trực tràng	of algebra
onibugbe	người thuê nhà	population
onigbeja	mang tính xây dựng	allied
onigbowo	một nhà tài trợ	sponsor
onigunfenfe	thụ động	large angle
onilanaibagbepo	bao cao su	constitutional
onilile	chủ nhà	solid
oninawo	người vay	financial
onipin	hợp lý	even
onisayensi	kỹ thuật viên	scientific
onisowo	thương nhân	trader
oniyewumeji	nhị phân	two-chamber
oniyijulo	tuyệt vời	highest honour
onje	chế độ ăn	food
onka	máy tính	counter
onígbàgbó	ông già	believer
oníkólóbó	mắng nhiếc	onikolobo (place)
onílẹ̀	xuống	land owners; citizens (omo onile)
oníná	ngọn lửa	electronic
onítumò	người dịch	meaning
onítèbọmi	lễ rửa tội	baptist
onítòhùn	viên kế toán	that person
oníwòsàn	người chữa bệnh	doctor
oníyanjù	hoạt hình	persevere
ooni	cá sấu	ooni (king)
ootọ́	thật	truth
opec	opec	opec
opposite	đối diện	odi
ori	cái đầu	top
oriire	xin chúc mừng	success
oriki	phương đông	name of endearment
orileede	quốc gia	country
orileedeajoba	chủ nghĩa đế quốc	monarchic country
orilejoba	chính quyền	seat of government, kingdom
orileominira	sự ấm áp	republic
orinìyìn	một bài hát	songs of praise
orisirisi	đa dạng	various
orisun	nguồn	source
orisa	nguồn gốc	god
oritameta	ở giữa	crossway
orudnun	hàng năm	mispelled...should orundun, century
oruko	danh từ	name
oríilè	quốc gia	land
oríilẹ̀	bài báo	land
oríkì	thơ	family name
orílèèdè	quốc gia	country
orílẹ̀	quốc gia	continent
orílẹ́	tối	nation
orísiirísi	đa dạng	various
orísìí	đa dạng	type
orísìírísi	các loại khác nhau	various
orúko	cánh đồng	name
oscar	oscar	oscar
oseluarailu	thường dân	political unit
otherwise	nếu không thì	ibaje
otutu	nhiều	coldness
oun	anh ta	it
owojagidijagan	những kẻ khủng bố	upheaval
oúnjẹ	món ăn	food
odún	năm	year
ojó	trời mưa	day
okùnrín	tiếng cười	man
olórun	chúa trời	god
olósìn	tôn giáo	rearing
odun	hàng năm	year
olorun	chúa trời	god
omonìyàn	loài người	human beings
opolo	nhiều	brain
ose	se	week
oyé	thế giới	harmattan
ofò	buổi sáng tốt lành	nothingness
opolo	nhiều	brain
paa	tắt	back
paapaa	đặc biệt	especially
padá	vỏ quả	go back
palauan	palauan	palauan
panaˈma	panaˈma	panama
panyanan	vũ trụ	spanish
papa	cha	specifically
parapọ̀	trộn	join
paripari	kết thúc	finally
pele	duyên dáng	hello
penh	penh	penh
penisula	dương vật	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	ngọc trai	with
phillipines	phillipines	phillipines
pinsi	suy giảm	divided
pinsoto	pinoto	separated
pinu	xác định	decide
pipo	nhiều	plenty
pipolongo	quảng cáo	publicise
piposi	rất nhiều	multiplication
platos	platos	plato's
plánẹ́tì	hệ thống ống nước	planet
po	thơ	share
pojulo	cao nhất	larger
polandi	đánh bóng	poland
polaroid	polaroid	polaroid
population	dân số	ero
portonovo	portonovo	porto novo
portuguese	bồ đào nha	portuguese
press	nhấn	press
produced	sản xuất	yo
protokolu	giao thức	protocol
proton	proton	kemika alaropo
providence	quan phòng	providence
príncipe	príncipe	principe
pupa	màu đỏ	red
px|kùránì	px | nhân	koran or quran; the px  does not belong
pàmò	đặc biệt	pamo (town)
pàràkòyí	ngay	parakoyi
pààlà	ranh giới	signalised
pàápàá	đặc biệt	especially
pásíà	tầng hầm	persia
pátáporongodo	chắc chắn rồi	entire
pè	gọi là	that
pèhìndà	tinh dịch	turned back
pèlu	cùng với	with
pèlúpèlú	cũng	in addition
pèsè	cung cấp	provide
pé	cái đó	that
péré	chỉ có	only
péé	cái đó	that
pípa	tàn sát	order
pípèsè	điều khoản	providing
pípẹ́	dài	long
pòwe	tục ngữ	to say a proverb or wise saying
pò	gập lại	join
púpo	quá nhiều	much
púpò	hơn	a lot
quran	khí quyển	quran
ra	mua	self
race	cuộc đua	ere
rajya	mong	rajya
ramadan	ramadan	ramadan
rank	cấp	ipo
reggae	reggae	reggae
repeats	lặp lại	tunso
repetejulo	nhạy cảm nhất	most of all
rere	tốt	success
research	nghiên cứu	agbeyewo
richard	nhà giàu	richard
right|thumb|px|aworan	phải | ngón tay cái | px | hình ảnh	picture
rinle	mới	emphasise
riresile	máy ghi âm	humbled, lowered
riro	trí tưởng tượng	thought as
rn	rn	rn
rna	mẹ	rna
rnarna	quạ	rna-rna
rnas	rnas	rnas
ro	suy nghĩ	thought
robinson	robinson	robinson
roboto	bề mặt	round
rogbodiyan	bạo loạn	riot
rokirika	duyệt	publicise
roko	đám đông	farm work
roma	roma	roma
rome	trình duyệt chrome	rome
ronald	ronaldo	ronald
rorùn	dễ dàng	easy
rossii	rossii	rossii
rural	nông thôn	igberiko
ryan	ryan	ryan
ráhàn	đã xuất hiện	complain
ránmú	lo	grumble
république	république	republic
ré	c	his/her
rìn	đi bộ	should be orin, song or music
ròyìn	báo cáo	give account
rẹ	cô ấy	it
saarc	tẩy	saarc
saaree	cấp trên	after death
saarland	trên sàn	saarland
safari	safari	safari
saffana	sapphire	savannah
safiwe	so sánh	describe
safta	xếp hàng	safta
saheli	tiện	sahel
sakyamuni	tiếp theo	sakyamuni
sakyas	rau mùi	sakyas
salem	salem	salem
salàyé	đời sống	explained
sambia	thiếu niên	zambia
samioro	có sẵn	signal
santa	ông già noel	santa
say	nói	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	biển	odo
seat	ghế	itedo
segbese	có khả năng	take steps
seidamo	thông thoáng	identify
semolara	hen suyễn	accustom
semudaju	tất nhiên	assure
senegal	sen	senegal
sense	giác quan	sensi
seville	seville	seville
sewadi	tìm kiếm	investigate
sharon	chia sẻ	sharon
sibesibe	chưa	further more
sihamoni	kết cấu	sihamoni
sile	phía sau	previously
silè	giọt	on the ground
sinai	tội	sinai
sinsin	tôn giáo	unshakably
sioux	sioux	sioux
sise	nấu nướng	works
sisodagba	lớn lên	came of age
sisopo	liên kết	joined
sisupapoerekusu	sự khạc nhổ	neighbouring islands
sisupo	nhân	concentrated
slovo	slovo	slovo
so	yêu và quý	turned
sohun	đúng	something
solomon	solomon	solomon
soon	sớm	lai'pe
sopin	kết thúc	ended
so	vì thế	tells
spectacular	đẹp mắt	damanran
stella	stella	stella
structures	cấu trúc	igbekale
suez	salsa	suez
sugbo	nhưng không	but
sugbọ́n	hợp lý	but, however
sun	mặt trời	sleep
suny	nắng	suny
swahili	tiếng swords	swahili
symmetry	đối diện	ogbooga
sàbúrí	trên hết	saburi
sàmì	một dấu hiệu	signalize
sàn	tốt hơn	flow
sàngó	băng nhóm	sango (god of thunder)
sàì	tốt	un
sápadè	ngày này	run to
sáàpàdé	sự tài trợ	saapade
sáààrin	ở giữa	between
são	một cái mới	sao
sèle	ăn cắp	down
ségun	khóc	conquered
sénégal	tinh dịch	senegal
séyìn	trở lại	back
séyìn	trở lại	at the back of
sìbẹ̀	chưa	there
sìni	con tôm	likewise
síbèsíbè	tuy nhiên	further more
síbú	xuống đất	ocean
sílẹ̀	buông xuống	drop
síse	công việc	doing
síso	vẫn	spoken
síso	vẫn	saying
síta	ở ngoài	outing
síwon	họ	to them
síwájú	trở đi	comes before
síí	đây	on it
sòrò	tẩy não	talk
sójà	lính	soldier
sóko	cây	to the farm
sùgbón	ngược lại	but
sọ	nói	lose
si	chắc chắn	to
síse	kết cấu	performing
sùgbón	ngược lại	but
se	họ làm	do
sepò	cuối cùng	cooperation
sisé	tập thể dục	work
sááju	mất một phút	before
sísa	s .ía	to be
sísè	dịch	step
tabi	hoặc là	or
tabili	bàn	table
tabora	tránh	tabora
taino	khủng long	taino
tainos	tainos	tainos
takuntakun	những hạn chế	valiant
talaka	nghèo	poor
talika	nghèo nàn	the poor
tara	chín	wholly
tata	bộ lọc	wildly
taínos	taínos	tainos
technology	công nghệ	tekinoloji
tedo	hẹn hò	stay
teksas	texas	texas
tele	theo sát	before
temptation	tìm kiếm	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	các	does no directly translate
they	họ	won
those	những, cái đó	awon
thumb|left|upright|nelson	ngón tay cái | trái | thẳng đứng | nelson	apa osi naro
tira	bẩn quá	quranic verse
tirana	tirana	tirana
tirè	của anh ấy	own
titu	bắn	cold (if it's a person's name, it is tutu)
tiwọn	của họ	theirs
to	đến	it
toje	quý hiếm	that is
tokasi	chỉ ra	pointing to
tokyo	tokyo	tokyo
tolerejulo	được chấp nhận	most profitable
tolórítelémù	thiêu hủy	all manners of people
tomé	cà chua	tome
tooto	có thật không	true
tori	tori	because
torun	brunette	heavenly
toseluaralu	chính trị	political
tounsejanu	bi thảm	control
traduite	thương mại	traduite
translated	dịch	tunmo
tumosi	có nghĩa	means
tuntun	mới	new
tàsí	không có	or
tàwon	họ	theirs
táawà	cúi đầu chào	we
tèlé	theo sát	before
tètè	mau	quickly
tèlé	ngay	follow
tèsíwájú	để tiến bộ	progress
té	t	follow
télè	bởi	before
té	t	shamed
títi	đóng cửa	till
títèlé	để làm theo	following
títío	cho đến khi	until
tíátà	vé	theater
tíórì	lốp xe	that is seen
tò	bộ	enough
tóbi	lớn	big
tódárajùlọ	tốt nhất	most beautiful
tókù	nghỉ ngơi	others
tówùú	số lượng bất kỳ	whatever
tó	tó	taught
tóka	trích dẫn	pointed
tú	chảy ra như suối	untie
túmò	mận	means
túnse	sắp xếp lại	restructured
tẹ̀ǹbẹ̀	sau đó	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	âm mưu	bitterness
ucb	ucb	ucb
umueri	bọn trẻ	umueri
unifasiti	trường đại học	university
unla	đúng	great
urasílì	uracil	uracil
uribe	hào quang	uribe
usps	sử dụng	usps
utah	ồ	utah
utc	utc	utc
uzbek	cách	uzbek
venezuela	venezuela	venezuela
vermont	con sâu	vermont
victor	người chiến thắng	victor
videos	video	fidio
vihara	vihara	vihara
villa	biệt thự	villa
viruses	virus	awon eran
visit	chuyến thăm	ibewo
vz	vz	vz
waa	nó là	ours
waju	khuôn mặt	future
wari	mùi	once existing
westminster	phía tây	westminster
wisconsin	khôn ngoan	wisconsin
witkin	witkin	witkin
wiwari	khám phá	discovered
województwo	cheworddztwo	wojewodztwo
wole	đăng nhập	into
woo	woo	look
wo	đây	enter
wo	đây	look
won	họ	they
wura	vàng	gold
wyoming	kết hôn	wyoming
wàásù	thuyết giáo	preach
wì	rửa sạch	that
wípè	trong trẻo	that
wòfún	liếc nhìn	convenient
wònyí	đó là	these
wón	họ	they
wúnrèn	tập thể dục	small amount
wọn	họ	they
wọ̀nyí	những	these
xd	xd	xd
xiv	xiv	xiv
yafran	bảng chữ cái	yafran
yakubu	yakub	yakubu
yan	lựa chọn	choose
yanjú	giải quyết	solve
yanturu	nhiều	abundant
yaoundé	yaoundé	yaounde
yewo	cải thiện	examine
ye	vâng	suitable
ye	vâng	should
yindinyindin	không bao giờ dừng lại	brightly
yio	sẽ	will
yiowu	nó sẽ	any
yipada	quay lại	change
yiyafunnilo	xói mòn	borrow
yoo	sẽ	will
yori	đã dẫn	result
york	york	york
yorúbà	sữa chua	yoruba
yo	yo	remove
yànan	sự kinh ngạc	scattered
yàtò	thiết lập	other than
yára	nhanh lên	quickly
yèwò	nhìn	examine
yée	để họ	eplained to
yì	đi	this
yìí	điều này	this
yí	quay lại	this
yíyípadà	thay đổi	changed
yíì	bạn sẽ	this
yíò	nó sẽ	it will
yẹ̀ẹ́	bạn biết	check
yọ	tẩy	bring out
zanzibar centralsouth	zanzibar centralsouth	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	xa	bce
àbe	khỉ đầu chó	under
àbámẹ́ta	thứ năm	saturday
àbáyo	gợi ý	breakthrough
àbìkú	sự bất tử	'born to die' child
àbọ̀	một nửa	result
àdámò	riêng tư	earmark
àdátá	mặt đối diện, sự đối nghịch	adata
àdáátán	độc quyền	adaatan
àdóolóró	dầu	bomb
àgbàjọ	ông già	assembly
àgbàrá	lũ lụt	power
àgbáríjọ	cơ quan	combination
àgbékà	trừu tượng	suitable
àgbéyèwò	ôn tập	examination
àgbìgbò	khu vực lân cận	a type of bird
àgbùdo	sân	corn
àgọ́	cái lều	ago
àifète	mục đích	unable to keep quiet
àjo	du lịch	board
àjákọ	riêng biệt	ajako
àjọṣepọ̀	xã hội	union
àkosílè	trừu tượng	written
àkosílè	luận án	written account
àkàrà	bánh	bean pudding
àká	những cái kệ	store
àkójopò	nhóm	collection
àkókó	thời gian	previous
àlàkalè	bàn thắng	breakdown, explanation of actions
àlàyé	thông tin	explanation
àlàáfíà	sự thanh bình	peace
àlááfià	sự giống nhau	wellbeing
àlè	đồ khốn	mistress, concubine, (side booty)
àlèpò	ở trên	joined together
àlébù	nhược điểm	ills
àmérìkà	siêu nhiên	america
àmì	ký tên	sign
àmúlò	thực dụng	synonyms
àmúsorò	tâm lý học	resources
ànfàní	dịp tốt	opportunity
àpapọ̀	nói chung	federal
àpeere	thí dụ	example
àrígbámú	phiền	assistant
àrùn	bệnh	disease
àrẹ	chủ tịch	president
àse	tiệc	authority
àsàjemátèe	bình minh	cunning
àsèyìn	hậu quả	at the end
àsìkò	thời gian	time
àsótélè	sự mở rộng	prophecy
àsọdọ̀kan	đoàn kết	unitary
àsekúdórógbó	vỏ cây	do or die
àsà	tập quán	habit, culture, norm
àtijo	lỗi thời	olden days
àtìpó	người ngoài hành tinh	sojourn
àtòrìnká	vòng về	urinating while walking
àtúnse	biên tập	modification
àtúnse	biên tập	renovate, fix
àtẹnudẹ́nu	uống	oral
àwon	lý thuyết	they
àwón	tiền	the
àwón	tiền bạc	the
àwùjo	xã hội	community
ààtò	nghi lễ	suitability
ààyè	sống sót	space
àárín	ở giữa	middle
àáyá	tinh dịch	seconds
àìkó	sự thiếu hụt	unlearned
àìní	muốn	lack
àìròtélè	bất ngờ	unthought of
àìsí	vắng mặt	lack
án	t	it
áwon	gian dâm	those
èbà	muỗi	cassava flour food
èbúté	hải cảng	shore
èdá	sự sáng tạo	creature
èdè	ngôn ngữ	language
èdè	ngôn ngữ	language
èfòn	bẩn quá	efon
èhìn	tiếp theo	outskirt
èka	chi nhánh	branch
èkejì	cai khac	second
èlò	đồ dùng	tool
ènìkan	một cái gì đó	someone
èràn	bệnh	virus
èrò	suy nghĩ	thoughts
èsó	nhà thờ hồi giáo	modesty
èsúrú	kiến	yam (indigenous to west africa)
ète	mục đích	plan
èyì	nhân phẩm	this
èka	hiệu ứng	branch
èro	suy nghĩ	machine
èrí	chứng cớ	witness
èsìn	tôn giáo	religion
èwù	áo sơ mi	clothe
èpón	rất nhiều	modifier
ìbarà	sốt	ibara (town)
ìbánisòrò	sự kết nối	dialogue
ìbáraeni	xe	to themselves
ìbílè	sinh	local
ìbílè	sinh	local
ìdàgbà	trưởng thành	grow
ìdàpapọ̀	hợp nhất	union
ìdàrúdàpò	sự hỗn loạn	misunderstanding
ìdá	đào ngũ	division
ìdìmú	xáo trộn	branch, part
ìdíisin	nguyên nhân	idi-isin
ìdíwòn	lý do của bạn	criteria
ìdó	chích	ido (a person's name)
ìfara	tra tấn	self
ìfojúìtànìgbesiayé	tiểu sử	biography
ìfáàrà	một linh mục	introduction
ìgbonnìbí jé	nó làmột thảm họa	igbonnibi
ìgbà	thời gian	when
ìgbàgbé	đãng trí	forgetfulness
ìgbá	cánh	time
ìgbáraga	sức mạnh	pride
ìgbéraga	tự hào	pride
ìgbésí	đời sống	life
ìgbò	ram	igbo people
ìhun	bàn là	things
ìjo	nhảy	church
ìjo	nhà thờ	church
ìjoba	chính quyền	government
ìjora	ghét	resemblance
ìjìnlè	huyền bí	comprehensive
ìjìnlè	huyền bí	mysterious
ìjò	lãnh đạo	consent
ìjọba	chính quyền	government
ìkejì	cai khac	second
ìkànna	giống nhau	ikanna (town)
ìkèrèkú	tắc nghẽn	ikereku
ìkéde	tờ khai	advert
ìkìjà	một thử thách	ikija
ìkìlò	lạm dụng	warning
ìkínin	thứ sáu	greetings
ìkẹrin	thứ tư	fourth
ìkọpa	sự tham gia	ikopa
ìlera	sức khỏe	health
ìlo	gọi	use
ìlà	đề cương	border
ìlànàn	ảo giác	procedure
ìlàorùn	bầm tím	east
ìlàìnàró	áp bức	vertical
ìlè	hối lộ	land
ìlé	trang chủ	land
ìmò	con rắn	knowledge
ìmò	sét đánh	knowledge
ìmóbìdo	người sinh ra	imobido
ìmú	mũi	knowledge
ìmúnilérú	lạm dụng	slavery
ìmúsára	tăng cường	contagious
ìnagije	chiến thắng	alias
ìnáwó	chi phí	expenditure
ìpolongo	quảng cáo	advertisement
ìpìlẹ̀núkléù	mã hóa	base
ìpìnlè	sự bắt đầu	foundation
ìpínrò	đoạn văn	economize
ìrànlọ́wọ́	cứu giúp	help
ìrànàna	cứu giúp	path-clearing
ìràwọ̀	những ngôi sao	s
ìrí	kinh nghiệm	sight
ìròkò	nghĩ	iroko
ìròyìn	tin tức	news
ìròyìnwiki	tin tức	wikinews
ìròrùn	ảo giác	peaceful
ìró	âm thanh	sound
ìrúbo	sự sụp đổ	sacrifice
ìsawo	thuật bói toán	divinity-practice
ìse	hoạt động	behaviour
ìsinsìnyí	hiện nay	modern
ìsirò	phép tính	adding
ìsomó	tham gia	attachment
ìsàlè	hoàng hôn	down town
ìsèlè	sản xuất	happening
ìsìn	tôn giáo	worship
ìsòrò	thiền	speech
ìsòrí	phân khu	chapter
ìsú	độ dày	lump
ìsọ	cửa hàng	stall
ìse	hoạt động	work
ìsègbèfábo	siêng năng	female support
ìsèdá	sự sáng tạo	creation
ìsèjoba	chính quyền	government
ìsílé	trang chủ	house opening
ìsòro	khó khăn	problem
ìse	hoạt động	action
ìta	ở ngoài	outside
ìtaeko	xưởng	outskirts of eko
ìtan	lịch sử	story
ìtokò	cái nồi	story
ìtàn	lịch sử	history
ìtànkálé	lũ lụt	spread
ìtèsíwájú	phát triển	progress
ìtójú	quan tâm	treatment
ìtóju	lú lẫn	treatment
ìtójú	nét mặt	treatment
ìtóka	bị đánh	dictionary
ìtúmò	dịch	meaning
ìtúpalè	dịch	exposition
ìwe	so sánh	book
ìwo	sừng	horn
ìwàásù	rao giảng	sermon
ìwéré	tập sách	iwere (town)
ìwò	tổng thể	set
ìwòran	tầm nhìn	viewing
ìwúlò	hữu ích	usefulness
ìya	đau khổ	mother
ìyapa	tách biệt	divorce
ìyàwó	cô dâu	wife
ìyípadà	chuyển đổi	transformation
ìṣèlú	chính trị	politics
ìṣẹ́kù	phần còn lại	broken
ìṣọ̣̀tẹ̣̀	viêm phổi	rebellion
òde	ở ngoài	society
òdeojú	vô danh	surface
òdo	thiếu niên	zero
òdìkejì	cai khac	opposite
òféàrán	một tấm ảnh	a town name
ògbójú	có thẩm quyền	brave
ògiri	tường	wall
ògo	vinh quang	glory
ògun	thuốc	medicine
ògúndìpẹ̀	gọn nhẹ	ogundipe
òjo	trông giống như	ojo
òjísé	bác sĩ	servant
òkèògbún	một nghìn	oke-ogbun
òkòòkan	từng cái một	each
òkú	xác chết	corpse
òkúta	một hòn đá	stone
òle	bà nội trợ	lazy
òmiràn	phù thủy	other
òmùàrán	một tấm ảnh	omu-aran (town)
òní	hôm nay	today
òotó	sự thật	true
òpópóònà	đường	highway
òranyàn	bắt buộc	a must
òrìsà	thần tượng	god
òrí	chương	top
òrò	óc	word
òsán	không bật	afternoon
òsèlú	chính trị gia	politics
òsèré	lực sĩ	player
òwù	vải	owu
òṣèlú	chính trị	politician
òjògbón	thời tiết ẩm ướt	learned person
òkan	một	heart
òkòòkan	từng cái một	each
òpòlopò	nhiều	many
òré	trò chơi	friend
òfò	tiếp theo	sorrowful
òpòlopo	nhiều	lot of
òré	trò chơi	friend
òrò	suy nghĩ	word
òsà	cá vàng	lagoon
òwó	tiền bạc	hand
òrò	suy nghĩ	word
òròàjòmó	những buổi sáng	part of speech
ó	nó	that
óníse	anh ấy là một nhà thiết kế	stricken
ósírísì	nước bọt	diverse
ósékú	anh ấy đã chết	die suddenly
ó	đúng	word
ôdún	năm	year
únṣẹlẹ̀	động đất	formed
şe	làm	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	stəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	ốm	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	khai mạc	work
ṣàkóbá	có hại	incriminate
ẹdo	đùa	edo
ẹlẹ́bùn	món quà	award winner
ẹlẹ́sìn	tôn giáo	religionist
ẹnìkan	một người	someone
ẹsẹ	đôi chân	verse
ẹtì	gan	friday
ẹ̀kaawon	đệ trình	branch of
ẹ̀kabrítánì	chú	part of britain
ẹ̀kajuly	có thể	chapter july
ẹ̀kaoṣù	gai góc	month
ẹ̀kasístẹ̀mù	chủ quan	sistemu=system
ẹ̀kẹ́ta	thứ ba	third, the third
ẹ̀kọ́	giáo dục	teachings
ẹ̀ni	who	person
ẹ̀rọ	máy móc	machine
ẹ̀wẹ̀	mặt khác	leaf
ọbàkàn	anh cùng cha khác mẹ	step-sister
ọdún	năm	year
ọlọ́mọ	bọn trẻ	members
ọlọ́run	một vị thân	god
ọmú	bạn mút	breast
ọmọ	đứa trẻ	c
ọn	nó	him
ọpọ́lọpọ́	quả sung	many
ọ̀dọ́	thiếu niên	youth
ọ̀gbìn	cây	seedlings
ọ̀nà	đường	ways
ọ̀pòlòpò	hoạt động	various
ọ̀rọ̀	nói chuyện	word
ọ̀sẹ	tuần	week
