$	usd	american dollar symbol
உபயோகம்	lietošana	use
உபயோகிக்கும்	lietos	usage
உபயோகிப்பாளர்	lietotājs	consumer
உப்பு	sāls	salt
உமிழப்படும்	izstarots	radiates
உமிழ்வு	emisijas	emission
உமிழ்வுகள்	emisijas	enzyme
உம்	tavs	your
உம்மை	tevi	you
உயர	kontūra	of height
உயரத்தில்	augstums	by height
உயரமான	garš	tallest
உயரம்	augstums	hight
உயரும்	celšanās	raises
உயர்	augsts	high
உயர்நிலை	augsts	high status
உயர்நிலைப்	augsts	high school
உயர்ந்த	augstākais	on top
உயர்ந்து	celšanās	increase
உயர்வு	paaugstināšana	raise
உயிரணு	šūna	retinoblastoma
உயிரணுக்களின்	no šūnām	sperms
உயிரணுக்களில்	šūnās	cells
உயிரணுக்களை	šūnas	living organisms
உயிரணுக்கள்	šūnas	cells
உயிரணுவில்	šūnā	live sperms
உயிரின	sugas	living
உயிரினங்களின்	sugas	organism
உயிரினங்களில்	radības	livingthings
உயிரினங்களும்	sugas	living organisms
உயிரினங்களை	sugas	living animals
உயிரினங்கள்	radības	spices
உயிரினத்தின்	radījums	of the organism
உயிரினம்	radījums	living being
உயிரியற்	bioakumulācija	lifeless
உயிரியல்	bioloģija	zoology
உயிரிழந்தனர்	pazuda	deth
உயிருக்கு	uz dzīvību	life is
உயிருடன்	dzīvs	with life
உயிரெழுத்துக்கள்	patskaņi	alphabets
உயிரை	dzīve	soul
உயிர்களின்	būtnes	spirits'
உயிர்கள்	dzīvo	lives
உயிர்ச்சத்து	vitamīns	vitamin
உயிர்ச்சத்துக்கள்	vitamīni	livingvitamines
உயிர்ப்புவியியல்	bioģeogrāfija	biogeography
உயிர்மெய்	līdzskaņu patskaņis	vowels
உயிர்வாழ்க்கை	izdzīvošana	living
உரிச்சொல்	īpašības vārds	a sect of tamil language
உரிம	licencēšana	lisence
உரிமம்	licencēšana	licence
உரிமை	taisnība	right
உரிமைகளை	tiesības	rights
உரிமைகளைப்	tiesības	rights
உரிமைகளையும்	tiesības	rights
உரிமைகள்	tiesības	rights
உரிமையை	taisnība	right
உரிமையைப்	īpašumtiesības	right
உரிய	savlaicīgi	having the capacity
உருகிய	izkusis	in melted
உருக்கு		wootz steel
உருசிய	krievu	urdu
உருசியா	krievija	russia
உருசியாவின்	krievijas	russian
உருண்டை	orb	sphere
உருது	urdu	urdu a language
உருமாற்றம்	pārveidošanās	physical changes
உருளை	cilindrs	cylinderical
உருவ	ikonogrāfija	image
உருவங்கள்	formas	shapes
உருவத்தில்	forma	appearance
உருவம்	attēls	shape
உருவாக	veidot	to create
உருவாகின	veidošanās	formed
உருவாகின்றன	veidojas	form
உருவாகியது	izveidota	forming
உருவாகிறது	attīstās	creation
உருவாகும்	veidošanās	occurs
உருவாக்க	izveidot	to create
உருவாக்கப்	izveidot	create
உருவாக்கப்படுகின்றன	ģenerēts	generated
உருவாக்கப்படுகிறது	radīšana	was created
உருவாக்கப்படும்	ģenerēts	to create
உருவாக்கப்பட்ட	izveidots	created
உருவாக்கப்பட்டது	izveidots	created
உருவாக்கப்பட்டன	izveidots	created
உருவாக்கப்பட்டவை	izveidots	formed
உருவாக்கப்பட்டு	izstrādāts	developed
உருவாக்கம்	veidošanās	make
உருவாக்கலாம்	izveidot	create
உருவாக்கவும்	izveidot	to create
உருவாக்கி	radītājs	created
உருவாக்கின	veidojas	creation
உருவாக்கினர்	izstrādāts	create
உருவாக்கினார்	izveidots	was created
உருவாக்கிய	ģenerēts	create
உருவாக்கியது	izveidots	founded
உருவாக்குகின்றது	sastāvs	created
உருவாக்குகின்றன	izveidot	created by
உருவாக்குதல்	radīšana	create
உருவாக்கும்	formēšana	to create
உருவாக்குவதற்கு	izveidot	to create
உருவாக்குவதில்	veidojot	production
உருவாக்குவது	radīšana	creation
உருவான	veidošanās	formed
உருவானது	veidojas	created by
உருவானவை	nolaidies	formation
உருவாயின	radās	came into existence
உருவாவதற்கு	veidošanās	development
உருவெடுத்தது	bez kauliņiem	driven
உருவெடுத்து	realizējies	becomes
உரை	teksts	text
உரைநடை	proza	prose
உரையாடல்	saruna	talking
உரையாடல்கள்	sarunas	conversations
உரோமன்	romiešu	roman
உறவு	attiecības	relation
உறவுகளில்	attiecības	relation
உறவுகளைக்	attiecības	relations
உறவுகள்	attiecības	relation
உறவுமுறை	attiecības	relationship
உறுதி	pārliecināts	confirmation
உறுதிப்படுத்த	apstiprināt	conform
உறுதியாக	noteikti	confimred
உறுப்பினராக	biedrs	member
உறுப்பினராகவும்	biedrs	member of
உறுப்பினர்	biedrs	member
உறுப்பினர்களால்	dalībnieki	by the members
உறுப்பினர்களின்	locekļi	member
உறுப்பினர்கள்	dalībnieki	members
உறுப்பு	pants	a member country
உறுப்புகள்	elementi	organs
உறுப்புக்கள்	ērģeles	organs
உறை	apvalks	case
உறைதல்	saldēšana	frozen
உறைபனி	saldēšana	mist
உறையூர்	uraiyur	uriyoor
உற்சவம்	festivāls	headover
உற்பத்தி	ražošana	production
உற்பத்தித்	produktivitāte	prepare
உற்பத்திப்	izstrādājumi	manufacture
உற்பத்தியின்	ražošanas	production
உற்பத்தியில்	ražošanā	manufacturing
உற்பத்தியும்	izstrādājumi	production
உற்பத்தியை	produktivitāte	production
உலக	pasaule	world
உலகக்	pasaule	world
உலகத்	pasaule	world tamils
உலகத்தின்	pasaule	world
உலகத்தில்	pasaulē	world
உலகத்தை	pasaule	world
உலகப்	pasaule	world
உலகப்போரின்	pasaule	worldwar
உலகப்போர்	pasaule	worldwar
உலகமயமாதல்	globalizācija	globalization
உலகம்	pasaule	world
உலகளவில்	visā pasaulē	to the world
உலகளாவிய	globālā	worldwide
உலகின்	pasaule	world
உலகிற்கு	pasaule	for world
உலகிலுள்ள	pasaulē	world
உலகிலேயே	pasaule	worlds
உலகில்	pasaulē	in this world
உலகெங்கிலும்	apkārt pasaulei	worldwide
உலகெங்கும்	visā pasaulē,	worldwide
உலகை	pasaule	the world
உலர்	sausa	dry
உலாவிகள்	pārlūkprogrammas	sevagar
உலாவியானது	pārlūks	internets
உலோக	metāls	metal
உலோகங்கள்	metāli	iron
உலோகவியல்	metalurģiskā	metullargy
உள	psihometriskā	in their
உளர்	žāvēts	exist
உளவியலாளர்கள்	psihologi	cycriatist
உளவியலின்	psihiatrija	psychology
உளவியலில்	psiholoģijā	physcology
உளவியல்	psiholoģija	psychology
உள்	iekšējais	inside
உள்கட்டமைப்பு	infrastruktūra	interpution
உள்நாட்டு	iekšzemes	import
உள்நாட்டுக்	iekšzemes	inland
உள்நாட்டுப்	dzimtene	internally
உள்பட	ieskaitot	consists of
உள்ள		of
உள்ளக	interjers	inside
உள்ளடக்கத்தை	saturs	content
உள்ளடக்கம்	saturs	content
உள்ளடக்கி	ietilpst	in that
உள்ளடக்கிய	ieskaitot	contained
உள்ளடக்கியது	ietilpst	included
உள்ளடக்கியிருந்தது	slēpts	index
உள்ளடக்கியுள்ளது	ietilpst	including
உள்ளடக்குகிறது	ietilpst	containing
உள்ளடக்கும்	pārklājums	including that
உள்ளதா	ir	does the
உள்ளதாக	būt	be
உள்ளதால்	ja jums ir	on
உள்ளது	ir	in place
உள்ளதை	kas	presence
உள்ளன	tur	having that
உள்ளனர்	ir	there are
உள்ளமைப்பு	konfigurācija	embedded
உள்ளம்	sirds	soul
உள்ளவர்கள்	cilvēki	followers
உள்ளவை	vietēji	being
உள்ளாகி	pakļauts	made
உள்ளானது	padevās	under
உள்ளார்கள்	ir	is
உள்ளார்ந்த	raksturīgs	internal
உள்ளிட	ievadiet	including that
உள்ளிட்ட	ieskaitot	including all
உள்ளீடு	ievade	input
உள்ளூர்	vietējie	local
உள்ளே	iekšā	inside
உள்வாங்கி	aditore	adductor
உழைக்கும்	strādā	working
உவமைகள்	ilustrācijas	action
ஊ	f	oo
ஊக்கம்	iedrošinot	encourage
ஊக்கிகள்	hormoni	stimulants
ஊசி	injekcija	injection
ஊடக	nospiediet	through
ஊடகங்கள்	plašsaziņas līdzekļi	media
ஊடகத்தின்	no plašsaziņas līdzekļiem	a way of
ஊடகத்தில்	plašsaziņas līdzekļos	in media
ஊடகம்	plašsaziņas līdzekļi	media
ஊடகவியல்	žurnālistika	journalism
ஊடாக	caur	way
ஊடாகவும்	caur	oodagam
ஊடுருவல்	navigācija	interfer
ஊட்டச்சத்து	uzturs	vitamin
ஊட்டி	barība	feed
ஊதா	violets	blue
ஊரின்	taka	city
ஊரில்	pilsētā	city
ஊரு	kur ir	a place or village
ஊருக்கு	uz pilsētu	town
ஊர்	ur	city
ஊர்களின்	no pilsētām	in towns
ஊர்களும்	meitas	towns
ஊர்வன	rāpuļi	reptiles
ஊற்று	strūklaka	pond
ஊழல்	korupcija	scam
ஊழியர்கள்	strādnieki	employees
எ	a	a
எகா	piem	eg. (example)
எகிப்தின்	ēģiptes	egypt
எகிப்திய	ēģiptiešu	egipt
எகிப்து	ēģipte	egipt
எக்ஸ்	x	x
எக்ஸ்பி	xp	windows xp
எக்ஸ்பிரஸ்	izteikt	express
எக்ஸ்புளோளர்	ekspulolar	explolar
எங்க	kur	from where
எங்கள்	mūsu	ours
எங்கு	kur	where
எங்கும்	nekur	everywhere
எங்கே	kur	where
எசுத்தர்	esters	ester
எசுப்பானிய	spāņu valoda	espania
எசுப்பானியா	spānija	yesupania
எச்	h	h
எச்.டி.எம்.எல்	html	html hyper text markup language
எச்ஐவி	hiv	hiv
எச்சம்	atlikums	leavings
எச்சரிக்கை	brīdinājums	warning
எச்டிஎம்எல்	html	hyper text markup language html
எஞ்சிய	paredzams	balance
எடிசன்	edisons	edison
எடிட்	rediģējams	edit
எடு	pacelt	take
எடுக்க	ņem	to take
எடுக்கப்படும்	picas	taken from
எடுக்கப்பட்ட		taken
எடுக்கும்	paņems	taking
எடுத்த		take
எடுத்தல்	izstāšanās	taking
எடுத்து	ņem	take
எடுத்துகாட்டாக	piemēram,	example
எடுத்துக்	ņem	to take
எடுத்துக்காட்டாக	piemēram,	for example
எடுத்துக்காட்டு	piemērs	for example
எடுத்துக்காட்டுகள்	piemēri	example
எடுத்துக்காட்டுக்கு	piemēram,	for example
எடுத்துக்கொண்டு	ņem	taken
எடுத்துக்கொள்ள	ņem	taking
எடுத்துச்	ņem	taken
எடை	svars	weight
எட்டாம்	astotais	eigth
எட்டாவது	astotais	eight
எட்டு	astoņi	eight
எட்டுத்தொகை	ettutokai	ettuthokai
எட்வர்டு	edvards	edward
எண்	skaits	number
எண்கணித	aritmētiski	numeric
எண்கணிதம்	aritmētika	numerical maths
எண்களின்	cipari	numbers
எண்களில்	skaitļos	in numbers
எண்களை	cipari	numbers
எண்களைப்	cipari	letters
எண்கள்	cipari	numbers
எண்டி	enti	nt
எண்ணங்கள்	domas	thoughts
எண்ணத்தில்	dilemma	with the intention
எண்ணம்	nodoms	thought
எண்ணற்ற	neskaitāmas	many
எண்ணி	skaitīšana	to count
எண்ணிக்கை	skaits	counts
எண்ணிக்கையிலான	skaits	in numbers
எண்ணிக்கையில்	skaitlī	count
எண்ணிக்கையை	grāfs	countings
எண்ணெய்	eļļa	oils
எண்ணை	skaits	oil
எதிராக	pret	opposing
எதிராகப்	pret	opponent
எதிரான	pret	anti
எதிரிகளின்	no ienaidniekiem	enemies
எதிரிகள்	ienaidnieki	enemies
எதிர்	pret	fight
எதிர்கால	nākotne	future
எதிர்காலத்தில்	nākotnē,	in future
எதிர்காலம்	nākotne	future
எதிர்காலவியல்	futuroloģija	future
எதிர்க்க	pretoties	to oppose
எதிர்க்கும்	pretstats	opposing
எதிர்த்தனர்	pretstatā	oppose
எதிர்த்துப்	pret	opposing
எதிர்பாராத	negaidīts	unexpected
எதிர்பார்க்கப்படுகிறது	paredzams	expected
எதிர்பால்சேர்க்கை	heteroseksualitāte	sexual intercourse
எதிர்ப்பாற்றல்	pretestība	resistance
எதிர்ப்பு	anti	opponent
எதிர்ப்புத்	protestēja	opposed
எதிர்ப்புப்	anti	resistance
எதிர்மறை	negatīvs	opposite
எதிர்மின்னி	elektrons	electorn
எது	kas	which one
எதை	kas	which
எதையும்	jebkas	by all
எத்தனை	cik daudz	how many
எத்தேன்	etāns	ethylene
எந்த	jebkurš	which
எந்தக்	jebkurš	which
எந்தச்	jebkurš	any
எந்தத்	jebkurš	which
எந்தப்	jebkurš	whatever
எந்தவித	jebkurš	whatever
எந்தவொரு	jebkurš	any one
எந்தெந்த	kas	which and all
எனக்		self
எனக்கு	es	me
எனச்	tas	as
எனது	mana	my
எனத்	tas	from beginning
எனப்	nosaukts	likewise
எனப்படுகின்றது	zināms	was called
எனப்படுகின்றன	zināms	was called
எனப்படுகிறது	zināms	is called
எனப்படும்		like that
எனப்படுவது	zināms	called
எனப்படுவர்	tiek saukti	called
எனப்பட்ட	zināms	called
எனலாம்	droši vien	like that
எனவும்		as
எனவே	tāpēc	so
எனினும்	tomēr	also
எனில்	manā	in my
எனும்		called
என்	mana	n, an acronynm
என்கின்ற	tas	said
என்கின்றனர்	čivers	they said
என்கிற		named
என்கிறது	saka	saying
என்கிறார்	saka	according to that
என்கிறார்கள்	viņi saka	is
என்சைக்ளோபீடியா	enciklopēdija	encyclopedia
என்ஜினியரிங்	inženierzinātnes	engineering
என்ன	kas	to plan
என்னவெனில்	kas	it means
என்னவென்றால்		the thing is
என்னுமிடத்தில்	vieta plkst	at
என்னும்		having that name
என்னை	es	me
என்பதற்கான		as
என்பதற்கு		for that
என்பதாக	būt	is believed
என்பதாகும்	nozīmē	called
என்பதால்	kopš	so that
என்பதிலிருந்து	no plkst	from
என்பதில்	iekš	in
என்பது		is
என்பதுடன்		because of that
என்பதும்		also
என்பதே		like that
என்பதை	vai	that
என்பதைக்	tas	to that
என்பதைத்	tas	like that
என்பதைப்	kas	with the pupose of
என்பதையும்	vai	that also
என்பதோடு		then
என்பன		about
என்பனவாகும்	ir	is called by
என்பனவும்	arī	likewise
என்பர்	zināms	say
என்பவன்	nosaukts	a person called
என்பவரால்	autors	named
என்பவரின்	pēc	respectful
என்பவரே	darbība a	named
என்பவரை	nosaukts	as a
என்பவர்கள்	pvo	so called
என்பவற்றுக்கு	vairāk par	them
என்பவற்றை	of	these things
என்பார்	saka	call so
என்போர்	pārstāvēts	such as
என்ற		in
என்றனர்	teica	state
என்றழைக்கப்படுகிறது	zvanīja	is called as
என்றழைக்கப்படும்	zināms	is called
என்றழைக்கப்பட்ட	zvanīja	so called
என்றவாறு	iedzīvotāji	macros
என்றார்	teica	he said
என்றாலும்	lai gan	even though
என்றால்	ja	meaning of
என்று	tas	they are called by
என்றும்	un	any time
என்றெல்லாம்	vai	is also
என்றே	tas	as
என்றோ	vai	like that
எபிமெரிஸ்	efemeris	ephemeris
எபிரேய	ebreju valodā	arabic
எப்	f.	f is a letter fiwf
எப்படி	kā	how about
எப்பொழுது	kad	always
எப்பொழுதும்	vienmēr	whenever
எப்போதாவது	reizēm	some time
எப்போதும்	kādreiz	always
எம்	m	m
எம்ஜிஆரின்	mgr	m.g.r's
எம்ஜிஆர்	mgr	m.g.r
எம்பயர்	impērija	yenbear
எய்ட்ஸ்	aids	aids
எரிசக்தி	enerģija	fuel
எரிச்சல்	aizkaitināms	burning
எரிபொருள்	degviela	fuels
எரிமலைகளின்	no vulkāniem	valcano
எரிமலைகள்	vulkāni	volcano
எரிமலைக்குழம்பு	lava	volcano lava
எரிமலைச்	vulkāns	volcano
எரிமலையின்	vulkāns	valcano
எரியும்	dedzināšana	burning
எரிவாயு	gāze	fuels
எர்த்	zeme	earth
எர்பியம்	erbijs	metal
எறிந்த	iemeta	thrown
எறும்பு	skudra	ant
எலிசபெத்	elizabete	elizabeth
எலும்புக்கூடு	skelets	skeleton
எல்	l	mention the english letter l
எல்லா	visi	including all
எல்லாக்	visi	by all
எல்லாப்	visi	all
எல்லாமே	viss	by all
எல்லாம்	viss	all
எல்லாவற்றையும்	viss	by all
எல்லிஸ்	elisa	ellies
எல்லை	robeža	boundaries
எல்லைகளாக	robežas	boundaries
எல்லைகளில்	uz robežām	boundaries
எல்லைகளை	apvārsnis	boundaries
எல்லைகள்	robežas	borders
எல்லைக்கு	robežas	borderline
எல்லைக்குள்	teritorija	within border
எல்லையாக	robeža	border
எல்லையில்	robeža	boundaries
எல்லையை	robeža	border
எல்லோருக்கும்	visi	for all
எல்லோரும்	visi	all
எளிதாக	vienkārši	easy
எளிதான	vienkārši	easily
எளிதில்	viegli	easily
எளிமையான	vienkārši	simple
எளிய	vienkārši	simple
எழுச்சி	celies	awakening
எழுத	raksti	write
எழுதப்	raksti	write
எழுதப்படுகின்றன	rakstīts	written
எழுதப்பட்ட	rakstīts	written
எழுதப்பட்டது	rakstīts	written
எழுதி	rakstīšana	write
எழுதினார்	uzrakstīja	was written by
எழுதிய	uzrakstīja	written
எழுதியது	uzrakstīja	written
எழுதியவர்	rakstnieks	writer
எழுதியுள்ள	rakstīšana	in written
எழுதியுள்ளார்	uzrakstīja	written
எழுதுதல்	rakstīšana	writing
எழுதும்	rakstīšana	write
எழுதுவது	rakstīšana	to be written
எழுத்தாளர்	rakstnieks	writer
எழுத்தாளர்கள்	rakstnieki	writers
எழுத்து	vēstule	wrintings
எழுத்துகள்	chars	letters
எழுத்துக்களின்	rakstzīmes	letters
எழுத்துக்களில்	raksti	in letters
எழுத்துக்களும்	alfabēti	including alphabets
எழுத்துக்களை	alfabēts	letters
எழுந்த		stands with
எழுந்தது	radās	raised
எழுந்தன	radās	araised
எழுந்து	augšā	rise
எழுபது	septiņdesmit	seventy
எழும்	atsitiens	rise
எவரும்	jebkurš	nobody
எவை	kas	what are the
எவ்வளவு	kā	how much
எவ்வித	jebkurš	any
எஸ்	slaidrāde	s is the initial
எஸ்எ	ēze	si unit
எஸ்எஸ்	ss	ss
ஏ	a.	in world's information book(a)
ஏகாதிபத்திய	imperiālists	dictatorial
ஏதாவது	kaut ko	any
ஏதாவதொரு	jebkurš	any one
ஏதுவாக	tekstūras	easily
ஏதென்ஸ்	atēnas	athens
ஏதேனும்	jebkurš	any
ஏதோ	kaut ko	somthig
ஏனெனில்	jo	because
ஏனென்றால்	jo	because
ஏனையவை	citi	other
ஏன்	kāpēc	why
ஏபிஐ	api	abi  software
ஏப்ரல்	aprīlī	april
ஏயூ	ās	astronomical unit
ஏரண	loģiski	sections
ஏராளமாக	bagātīgi	lavish
ஏராளமான	neskaitāmas	in large number
ஏரி	ezers	canal
ஏரிகள்	ezeri	lakes
ஏரியின்	ezers	lakes'
ஏரோது	hērods	a king of hebrew
ஏர்டெல்	airtels	airtel
ஏர்ட்சு	ertcu	frequency
ஏறக்குறைய	aptuveni	approximately
ஏறத்தாழ	aptuveni	nearly
ஏறி	alpīnists	to climb
ஏறிய	iekļuvu	assume
ஏற்க	piekrītu	accept
ஏற்கனவே	gan jau	already
ஏற்கும்	receptive	accept
ஏற்கெனவே	gan jau	already
ஏற்பட	notiek	to be able
ஏற்படக்கூடிய	potenciāls	aftermath
ஏற்படலாம்	svins	may happen
ஏற்படுகின்றது	notiek	caused
ஏற்படுகின்றன	notiek	occur
ஏற்படுகிறது	cēloņi	happens
ஏற்படுத்தப்பட்ட	izveidota	buid
ஏற்படுத்தி	izraisīja	to create
ஏற்படுத்திக்	izveidota	to create
ஏற்படுத்தின	izraisīja	caused
ஏற்படுத்திய	izraisīja	created by
ஏற்படுத்தியது	izraisīja	created
ஏற்படுத்துகின்றன	cēlonis	makes
ஏற்படுத்துகிறது	cēloņi	causes
ஏற்படுத்தும்	cēlonis	causes(verb)
ஏற்படும்	cēlonis	the
ஏற்படுவதால்	izraisīja	so that
ஏற்படுவது	sākusies	arise
ஏற்பட்ட		an
ஏற்பட்டது	tur	there was a
ஏற்பட்டன	tur	happened
ஏற்பட்டு	tur	to create
ஏற்பட்டுள்ளது	tur	formed
ஏற்பாடு	organizēts	organized
ஏற்பாடுகள்	vienošanās	arrangements
ஏற்பாட்டில்	derība	book
ஏற்பு	pieņemšana	to accept
ஏற்ற	slodze	relate
ஏற்றது	piemērots	take in
ஏற்றவாறு	atbilstoši	suitable
ஏற்று	slodze	accepted
ஏற்றுக்	pieņemts	load
ஏற்றுக்கொள்ள	piekrītu	acceptable
ஏற்றுக்கொள்ளும்	receptivitāte	to be accepted
ஏற்றுமதி	eksportēt	exports
ஏற்றுமதியில்	eksports	esport
ஏழாம்	septītais	seventh
ஏழாவது	septītais	seventh
ஏழு	septiņi	seven
ஏழை	nabadzīgs	poors
ஏழைகள்	nabags	poor poeple
ஏழ்மை	nabadzība	poor
ஏவுகணைகள்	raķetes	missiles
ஐஇ	ti	i.e
ஐக்	varētu	it
ஐக்கிய	vienoti	united
ஐங்குறுநூறு	ainkurunuru	five small hundred
ஐதரசன்	ūdeņradis	mercury
ஐதராபாத்	hyderabad	hyderabad
ஐநா	ano	united nations
ஐந்தாண்டுத்	piecu gadu	five year
ஐந்தாம்	piektais	fifth
ஐந்திணை	virsma	five thinai
ஐந்திரம்	astroloģija	capacity
ஐந்தில்	piektais	in five
ஐந்து	priekš	five
ஐன்ஸ்டீனின்	einšteina	albert ienstin
ஐன்ஸ்டீன்	einšteins	instein
ஐன்ஸ்டைன்	einšteins	einstein
ஐபி	ip	internet protocol
ஐப்பாடு	ipod	ipod a music play made by apple company
ஐம்பது	piecdesmit	fifty
ஐயம்	šaubos	doubt
ஐயர்	ījers	ayyar
ஐரிஷ்	īru	irish
ஐரோப்பா	eiropa	europe
ஐரோப்பாக்	eiropa	european
ஐரோப்பாவின்	eiropas	europe
ஐரோப்பாவிலும்	eiropa	europe
ஐரோப்பாவில்	eiropā	europe
ஐரோப்பியக்	eiropietis	european
ஐரோப்பியர்	eiropieši	europiens
ஐஸ்	ledus	ice hockey
ஒ	vīns	oo! pronensiat
ஒக்டோபர்	oktobris	october
ஒட்டி	autors	near
ஒட்டிய	piekritu	having eagerness
ஒட்டு	ielīmēt	fully
ஒட்டுமொத்த	kopumā	the overall
ஒதுக்கப்பட்டது	rezervēts	allocated
ஒதுக்கி	malā	seperately
ஒதுக்கீடு	sadalīšana	allotment
ஒத்த	sinonīmi	common
ஒத்தது	līdzīgi	similar
ஒத்திருக்கும்	atbilda	like
ஒத்து	piekrītu	agree
ஒன்பதாம்	devītā	nineth
ஒன்பதாவது	devītā	nineth
ஒன்பது	deviņi	nine
ஒன்றாக	kopā	union
ஒன்றாகக்	kopā	having together
ஒன்றாகவும்	vienu	to join together
ஒன்றாகும்	vienu	one of the
ஒன்றான	vienu	one among the
ஒன்றின்	viens no	one of
ஒன்றிய	savienība	union
ஒன்றியத்தின்	savienība	union
ஒன்றியத்தில்	savienība	union
ஒன்றியமும்	savienība	union
ஒன்றியம்	savienība	union
ஒன்றிலிருந்து	no viena	among one
ஒன்றில்	vienā	onlyone
ஒன்று	vienu	only one
ஒன்றுக்கு	vairāk	only one
ஒன்றுக்கும்	vairāk	morethan one
ஒன்றுக்கொன்று	maināms	one to one
ஒன்றுடன்	ar vienu	with one
ஒன்றுதான்	vienu	soul is the indestructible and everlasting thing. it is questionable that how much tamil film industry contributes to the state economy in day to day life.
ஒன்றும்	nekas	to the extent
ஒன்றே	vienu	one
ஒன்றை	vienu	only one
ஒன்றையும்	nekas	any one
ஒன்றையொன்று	interaktīvi	each one
ஒன்றோடொன்று	savienošana	joint
ஒபாமாவின்	obamas	obaamaavin
ஒப்	op	of
ஒப்பந்த	līgums	contract
ஒப்பந்தங்கள்	piedāvājumi	deeds
ஒப்பந்தத்தில்	vienošanās	in the agreement
ஒப்பந்தத்தை	vienošanās	deal
ஒப்பந்தம்	vienošanās	agreement
ஒப்பற்ற	vienmērīgs	uncomparable
ஒப்பிடுகையில்	salīdzinājumā	comparative
ஒப்பிடும்	salīdzināt	compared to
ஒப்பிடும்போது	salīdzinot ar	compare
ஒப்பிட்டு	salīdzināt	compare
ஒப்பீடு	salīdzinājums	comparison
ஒப்பீட்டளவில்	salīdzinoši	comparing
ஒப்பீட்டு	salīdzinājums	comparison
ஒப்புக்	atzīšanās	accept
ஒப்புதல்	apstiprinājums	agreement
ஒப்புமை	radinieks	compare
ஒரிசா	orisa	odisha
ஒரு	a	only one
ஒருங்கிணைந்த	integrēts	integrated
ஒருங்கிணைப்பு	integrācija	joint
ஒருங்கியம்	orunkiyam	orunkiyam
ஒருங்குறி	unikods	unicode
ஒருங்கே	kopā	combine
ஒருசில	maz	one among
ஒருத்தி	vienu	one and only woman
ஒருநாள்	viena diena	one day
ஒருபோதும்	nekad	never
ஒருமை	vienskaitlis	singularity
ஒருவகை	adrenalīns	one type
ஒருவனே	vienu	only
ஒருவன்	vienu	one person
ஒருவராக	vienu	single
ஒருவரான	vienu	one of the
ஒருவரால்	vienu	by an individual
ஒருவரின்	viens no	one person
ஒருவருக்கு	vienu	a person
ஒருவருக்கொருவர்	katrs	one to one
ஒருவருடைய	viens no	one's own
ஒருவரை	kāds	only one person
ஒருவர்	vienu	person
ஒருவேளை	var būt	in case of
ஒரே	tikai	only
ஒரேயொரு	vienu	only one
ஒர்	a	only one
ஒற்று	spiegošana	dot
ஒற்றுமை	vienotība	unity
ஒற்றை	viens	odd
ஒலி	skaņa	sound
ஒலிகள்	izklausās	sound
ஒலிச்சோதனை	auskulācija	sound testing
ஒலிபரப்பு	raidīšana	broadcast
ஒலிபரப்புக்	raidīšana	broadcasting
ஒலிப்பியல்	fonētika	sound
ஒலிம்பிக்	olimpiāde	olympic
ஒலியியல்	akustika	acoustics
ஒல்லாந்தர்	holandiešu	ollander
ஒளி	gaismas	light
ஒளிபரப்பு	raidījums	broadcast
ஒளியின்	gaisma	in the light
ஒளியியல்	optika	optics
ஒளியை	gaismas	light
ஒழிப்பு	iznīcināšana	abolish
ஒழுக்கம்	disciplīna	discipline
ஒழுங்கற்ற	neregulārs	in desent
ஒழுங்கு	pasūtīt	discipline
ஒவ்வொன்றும்	katrs	each one
ஒவ்வொரு	katrs	each one
ஒவ்வொருவரும்	katrs	every one
ஒவ்வோர்	katrs	each and every
ஓ	o	oh mind
ஓஎஸ்	os	o,s
ஓசனிச்சிட்டு	kolibri	humming bird
ஓசை	grāmatzīmes	sound
ஓடி	skriešana	run
ஓடு	apvalks	tile
ஓடும்	skriešana	to fall
ஓட்டங்கள்	darbojas	runs
ஓட்டம்	plūsma	race
ஓட்டோமான்	osmaņu	ottoman
ஓமர்	omārs	homer- ancient greek poet
ஓமான்	omāna	oman
ஓம்	om	ohm
ஓய்வு	atpūta	rest
ஓரளவு	kaut nedaudz	minimum
ஓரளவுக்கு	daļēji	to some extent
ஓராசு	oraku	horace
ஓரிடத்தான்	izotops	neutrons
ஓரிடத்தில்	vienā gadījumā	in a single place
ஓரினச்சேர்க்கை	homoseksualitāte	homosex
ஓரு	sulīgs	only one
ஓர்	a	an
ஓல்மியம்	olmiyam	whole number
ஓவியக்	gleznotājs	painting
ஓவியம்	glezna	drawings
ஓவியர்	gleznotājs	drawer
ஔவையார்	avvaiyar	avvaiyar
க	ka	ka
கங்க	ganga	ganga king
கங்கா	ganga	ganga
கங்கை	ganga	the river ganga
கச்சா	neapstrādāts	crude
கஜினி	ghajini	ghajini
கடதாசி	papīrs	a letter
கடத்தல்	tirdzniecība	passing through
கடத்தி	nolaupīts	to kidnap
கடந்த		past
கடந்து	krustojums	beyond
கடன்	parāds	credit
கடமை	nodoklis	duty
கடமைகளை	saistības	right things
கடமைகள்	pienākumi	duties
கடற்	pirāti	sea
கடற்கரை	pludmale	beach
கடற்கரையில்	pludmalē	beach
கடற்கரையை	krasta līnija	seashore
கடற்படை	navy	navy
கடற்படையின்	navy	navy
கடற்பறவை	kaija	sea birds
கடற்புலிகள்	tīģeri	sea tigers
கடலின்	jūra	sea's
கடலில்	jūra	in sea
கடலுக்கு	jūra	sea
