aajo	bema&#39;ni	hospitality
míìrán	boshqa	other
mííràn	boshqa	other
mò	bilim	know
mókólà	elim	mokola
móra	davolash	with themselves
mó	m	with
múlẹ̀	ushlanib turish; to&#39;xtamoq	select land (farmland)
mẹ́fà	olti	6
mẹ́rkúríù	sichqonchani	mercury
mẹ́ta	uch	3
mẹ́talọ́kan	uchlik	trinity
namibia	kelmoq	namibia
nathaniel	nataniel	nathaniel
nato	nato	nato
nawojulo	jumboqli	highest-spending
nawó	pulingni ol	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nefim	nefimu
neptune	neptun	neptune
nevis	nevis	nevis
ngbero	rejalashtirilgan	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	mana	there
nibere	erta	earlier
nigbakan	ba&#39;zan	at one time
nigbà	keyin	when
nijẹr	nike	niger
nilè	bu yerda	remaining
nisinyi	hozir	at present
nitoriidieyi	shuni dastidan; shu sababdan	because of this
nitoripe	chunki	because
nitosi	yaqinida	nearby
niwaju	oldinda	in front of
niyato	ajratib turmoq	unlike
niye	yetarli	in number
niyi	mana	these
nkan	narsa	things
nkàn	saraton	something
nnaji	tog&#39;a	nnaji
nobel	nobel	nobel
nombamewa	ko&#39;paymoqda	decimal
nombáméjì	birinchi ikkita	two-number
novo	novo	novo
nri	ovqat	nri
nse	dizayn	acting
nso	yaqin	saying
nsolaboraro	xavfsizlik	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	nuqta	indicates
nu	toza	in
nukleotidi	nukleotiddan iborat	nucleotides
nukleotidipupo	nukleotiddan iborat	cell
numeri	xiralik	numbers
nwa	chaqaloq	drill
nàìjíríà	nigeriyada	nigeria
náwo	xarajatlar	spend money
náà	ham	that
nì	tog	is
nìnú	uzr	in
nìyí	mana shu	this is
ní	bor	on
níbè	mana	there
níbè	mana	there
nífẹ̀ẹ́	sevmoq	love
nígbàtí	qachon	when
nílè	quyida	on the ground
nílùú	shaharda	in the town
nílẹ̀	yerda	in the land
nínlá	ajoyib	large
nínu	imkoniyat	in
níní	bor	having
nípà	kamida	by
nítorípé	chunki	because
nítumò	ma&#39;nosi	meaningful
nítòsí	yaqinida	nearby
nítòótó	aniq	truly
nítòótọ́	haqiqatdan ham	in truth, truthfully
níwájú	oldinda	in front
níyanjú	ijobiy	solved
nǹkan	narsa	things
nso	tez kunda	say
oba	obama	king
obairanderan	amakivachcha	hereditary
obere	kichik	started
obínibí	xushmuomalalik	inborn
ododo	solihlik	righteousness
ofin	qonun	law
ogbè	viloyati	a divinity
ogun	urush	war
ogunlogo	olomon	hundreds
ojo	o&#39;xshamoq	day
ojojumo	kunlik	daily
ojoru	iliqlik	wednesday
ojukokoro	ochko&#39;zlik	covetousness
ojuoorun	quyosh botishi	atmosphere
ojuse	javobgarlik	responsibility
ojùkòsì	yog&#39;ingarchilik	ojukosi
ojùkòtúu	yog&#39;ingarchilik	ojukotuu
ojúlùmọ̀	tanishlar	acquaintance
ojútáyé	yopishqoqligi	public
ojúìwé	sahifa	page
okeere	chet elda	distant
okhotsk	okhotsk	okhotsk
oko	maydon	farm
okunkun	zulmat	darkness
okunrin	erkak	male person
olodiajodojuko	bir-biri	facing wall
olohun	egalari	god
olojukanna	darhol	same surface
olokunkun	naushniklar	popular
ololugbe	omadsiz	occupants
olopon	mag&#39;rur	a local game
olora	yog &#39;	fertile
oloselukan	salom	one political
oloye	daho	chief
oluda	yaratuvchisi	creator
oludase	ishlab chiqaruvchi	separatist
olukoitan	o&#39;qituvchi	the writer
olukowe	muallif	writer
olumojuto	ochko&#39;z	overseer
oluparapo	birikmasi	joint
olusoju	qorovul	ambassador
oluwakiri	razvedka	explorer
olympus	olimpiya	olympus
olódùmarè	qudratli	almighty god
olóyè	hukmdori	chief
olóṣèlú	siyosatchi	politics
olùbátan	bu aloqa	relative
olùdarí	rahbar	director
olùkópa	yordamchi	participant
olùkó	o&#39;qituvchi	teacher
olùkọ́	o&#39;qituvchi	teacher
omi	suv	water
omiadalu	toshqin	mixture
onialjebra	onialjebra	of algebra
onibugbe	ijarachi	population
onigbeja	konstruktiv	allied
onigbowo	homiy	sponsor
onigunfenfe	passiv	large angle
onilanaibagbepo	prezervativ	constitutional
onilile	uy egalari	solid
oninawo	qarz oluvchi	financial
onipin	oqilona	even
onisayensi	texnik mutaxassis	scientific
onisowo	savdogar	trader
oniyewumeji	ikkilik	two-chamber
oniyijulo	ajoyib	highest honour
onje	parhez	food
onka	kalkulyator	counter
onígbàgbó	qariya	believer
oníkólóbó	haqoratli	onikolobo (place)
onílẹ̀	pastga	land owners; citizens (omo onile)
oníná	olov	electronic
onítumò	tarjimon	meaning
onítèbọmi	suvga cho&#39;mganlar	baptist
onítòhùn	hisobchi	that person
oníwòsàn	tabib	doctor
oníyanjù	jonlantirilgan	persevere
ooni	timsoh	ooni (king)
ootọ́	rost	truth
opec	opec	opec
opposite	qarama-qarshi	odi
ori	bosh	top
oriire	tabriklayman	success
oriki	sharqona	name of endearment
orileede	millat	country
orileedeajoba	imperializm	monarchic country
orilejoba	hukumat	seat of government, kingdom
orileominira	iliqlik	republic
orinìyìn	qo&#39;shiq	songs of praise
orisirisi	xilma-xillik	various
orisun	manba	source
orisa	kelib chiqishi	god
oritameta	o&#39;rtasida	crossway
orudnun	yillik	mispelled...should orundun, century
oruko	ot	name
oríilè	milliy	land
oríilẹ̀	maqola	land
oríkì	she&#39;riyat	family name
orílèèdè	millat	country
orílẹ̀	millat	continent
orílẹ́	oqshom	nation
orísiirísi	turli xil	various
orísìí	xilma-xillik	type
orísìírísi	har xil turlari	various
orúko	maydon	name
oscar	oskar	oscar
oseluarailu	fuqarolik	political unit
otherwise	aks holda	ibaje
otutu	juda ko&#39;p	coldness
oun	u	it
owojagidijagan	terrorchilar	upheaval
oúnjẹ	ovqat	food
odún	yil	year
ojó	yomg&#39;ir yog&#39;adi	day
okùnrín	kulgu	man
olórun	xudo	god
olósìn	diniy	rearing
odun	har yili	year
olorun	xudo	god
omonìyàn	odamzod	human beings
opolo	juda ko&#39;p	brain
ose	ose	week
oyé	dunyo	harmattan
ofò	xayrli tong	nothingness
opolo	juda ko&#39;p	brain
paa	o&#39;chirmoq	back
paapaa	ayniqsa	especially
padá	pod	go back
palauan	palov	palauan
panaˈma	panaˈma	panama
panyanan	tegi	spanish
papa	papa	specifically
parapọ̀	aralashtirish	join
paripari	tamom	finally
pele	jozibali	hello
penh	penya	penh
penisula	penisula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	dur	with
phillipines	filipinlar	phillipines
pinsi	pasayish	divided
pinsoto	pinoto	separated
pinu	aniqlangan	decide
pipo	ko&#39;p	plenty
pipolongo	reklama	publicise
piposi	ko&#39;p	multiplication
platos	platolar	plato's
plánẹ́tì	sanitariya-tesisat	planet
po	po	share
pojulo	eng baland	larger
polandi	jilo	poland
polaroid	polaroid	polaroid
population	aholisi	ero
portonovo	portonovo	porto novo
portuguese	portugal tilida	portuguese
press	bosing	press
produced	ishlab chiqarilgan	yo
protokolu	protokoli	protocol
proton	proton	kemika alaropo
providence	ta&#39;minlash	providence
príncipe	príncipe	principe
pupa	qizil	red
px|kùránì	px | yadro	koran or quran; the px  does not belong
pàmò	xususan	pamo (town)
pàràkòyí	darhol	parakoyi
pààlà	chegara	signalised
pàápàá	ayniqsa	especially
pásíà	podval	persia
pátáporongodo	mutlaqo	entire
pè	chaqirdi	that
pèhìndà	sperma	turned back
pèlu	bilan birga	with
pèlúpèlú	shuningdek	in addition
pèsè	taqdim etilgan	provide
pé	bu	that
péré	faqat	only
péé	bu	that
pípa	so&#39;yish	order
pípèsè	ta&#39;minlash	providing
pípẹ́	uzoq	long
pòwe	maqollar	to say a proverb or wise saying
pò	katlamoq	join
púpo	juda ko&#39;p	much
púpò	o&#39;rniga	a lot
quran	quron	quran
ra	sotib olmoq	self
race	irqi	ere
rajya	umid	rajya
ramadan	ramazon	ramadan
rank	daraja	ipo
reggae	reggi	reggae
repeats	takrorlaydi	tunso
repetejulo	eng sezgir	most of all
rere	yaxshi	success
research	tadqiqot	agbeyewo
richard	richard	richard
right|thumb|px|aworan	o&#39;ng | bosh barmog&#39;i | px | rasm	picture
rinle	yangi	emphasise
riresile	magnitafon	humbled, lowered
riro	xayol	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	o&#39;ylab ko&#39;ring	thought
robinson	robinson	robinson
roboto	yuzalar	round
rogbodiyan	g&#39;alayon	riot
rokirika	ko&#39;rib chiqish	publicise
roko	to&#39;da	farm work
roma	rim	roma
rome	xrom	rome
ronald	ronald	ronald
rorùn	oson	easy
rossii	rossii	rossii
rural	qishloq	igberiko
ryan	ryan	ryan
ráhàn	paydo bo&#39;ldi	complain
ránmú	xavotir	grumble
république	république	republic
ré	v	his/her
rìn	yurmoq	should be orin, song or music
ròyìn	xabar qildi	give account
rẹ	uni	it
saarc	olib tashlang	saarc
saaree	ustun	after death
saarland	polning ustida	saarland
safari	safari	safari
saffana	safir	savannah
safiwe	taqqoslash	describe
safta	qatorga turish	safta
saheli	qulaylik	sahel
sakyamuni	keyingi	sakyamuni
sakyas	sakyalar	sakyas
salem	salom	salem
salàyé	hayot	explained
sambia	yoshlar	zambia
samioro	mavjud	signal
santa	santa	santa
say	demoq	so
sb	sb	sb
schwarz	shvars	schwarz
sea	dengiz	odo
seat	o&#39;rindiq	itedo
segbese	ehtimol	take steps
seidamo	ravshan	identify
semolara	astma	accustom
semudaju	albatta	assure
senegal	senegal	senegal
sense	ma&#39;nosi	sensi
seville	sevil	seville
sewadi	qidirmoq	investigate
sharon	sharon	sharon
sibesibe	hali	further more
sihamoni	tuzilishi	sihamoni
sile	orqasida	previously
silè	tomchilar	on the ground
sinai	gunoh	sinai
sinsin	din	unshakably
sioux	suz	sioux
sise	pishirish	works
sisodagba	o&#39;smoq	came of age
sisopo	bog&#39;laydi	joined
sisupapoerekusu	tupurish	neighbouring islands
sisupo	ko&#39;paytiring	concentrated
slovo	slovo	slovo
so	sevgi	turned
sohun	ha	something
solomon	solomon	solomon
soon	yaqinda	lai'pe
sopin	oxiri	ended
so	shunday qilib	tells
spectacular	ajoyib	damanran
stella	stella	stella
structures	tuzilmalar	igbekale
suez	suez	suez
sugbo	lekin yo&#39;q	but
sugbọ́n	oqilona	but, however
sun	quyosh	sleep
suny	quyoshli	suny
swahili	suaxili	swahili
symmetry	simmetriya	ogbooga
sàbúrí	eng avvalo	saburi
sàmì	belgi	signalize
sàn	yaxshiroq	flow
sàngó	to&#39;da	sango (god of thunder)
sàì	yaxshi	un
sápadè	bu kun	run to
sáàpàdé	homiylik	saapade
sáààrin	orasida	between
são	yangisi	sao
sèle	o&#39;g&#39;irlash	down
ségun	yig&#39;lamoq	conquered
sénégal	sperma	senegal
séyìn	orqaga	back
séyìn	orqaga	at the back of
sìbẹ̀	hali	there
sìni	mayda qisqichbaqa	likewise
síbèsíbè	baribir	further more
síbú	erga	ocean
sílẹ̀	pand bermoq	drop
síse	ishlash	doing
síso	hanuzgacha	spoken
síso	hanuzgacha	saying
síta	tashqarida	outing
síwon	ularni	to them
síwájú	oldinga	comes before
síí	bu yerda	on it
sòrò	miya yuvish	talk
sójà	askar	soldier
sóko	o&#39;simlik	to the farm
sùgbón	aksincha	but
sọ	demoq	lose
si	albatta	to
síse	tuzilishi	performing
sùgbón	aksincha	but
se	ular qiladi	do
sepò	nihoyat	cooperation
sisé	tayyorlamoq	work
sááju	bir daqiqa vaqt oling	before
sísa	s .ía	to be
sísè	tarjima	step
tabi	yoki	or
tabili	jadval	table
tabora	oldini olish	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	cheklovlar	valiant
talaka	bechora	poor
talika	qashshoqlik	the poor
tara	to&#39;qqiz	wholly
tata	filtri	wildly
taínos	tainos	tainos
technology	texnologiya	tekinoloji
tedo	tanishuv	stay
teksas	texas	texas
tele	kuzatish	before
temptation	qidirmoqda	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	the	does no directly translate
they	ular	won
those	o&#39;sha	awon
thumb|left|upright|nelson	bosh barmog&#39;i | chap | tik | nelson	apa osi naro
tira	tarang	quranic verse
tirana	tirana	tirana
tirè	uning	own
titu	otmoq	cold (if it's a person's name, it is tutu)
tiwọn	ularning	theirs
to	ga	it
toje	kamdan-kam uchraydigan	that is
tokasi	ishora	pointing to
tokyo	tokyo	tokyo
tolerejulo	toqatli	most profitable
tolórítelémù	holokost	all manners of people
tomé	pomidor	tome
tooto	haqiqatan ham	true
tori	tori	because
torun	qoramag&#39;iz	heavenly
toseluaralu	siyosiy	political
tounsejanu	fojiali	control
traduite	traduite	traduite
translated	tarjima qilingan	tunmo
tumosi	degan ma&#39;noni anglatadi	means
tuntun	yangi	new
tàsí	holda	or
tàwon	ularni	theirs
táawà	ta&#39;zim qilish	we
tèlé	kuzatish	before
tètè	tezda	quickly
tèlé	darhol	follow
tèsíwájú	taraqqiyotga erishish	progress
té	t	follow
télè	tomonidan	before
té	t	shamed
títi	yopiq	till
títèlé	ergashmoq	following
títío	gacha	until
tíátà	chiptalar	theater
tíórì	shinalar	that is seen
tò	o&#39;rnatildi	enough
tóbi	katta	big
tódárajùlọ	eng yahshi	most beautiful
tókù	dam oling	others
tówùú	har qanday miqdor	whatever
tó	tó	taught
tóka	iqtibos keltirdi	pointed
tú	to&#39;kib tashlang	untie
túmò	olxo&#39;ri	means
túnse	qayta tartibga solish	restructured
tẹ̀ǹbẹ̀	keyin	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	fitna	bitterness
ucb	ucb	ucb
umueri	bolalar	umueri
unifasiti	universitet	university
unla	ha	great
urasílì	urasil	uracil
uribe	aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	yo&#39;l	uzbek
venezuela	venesuela	venezuela
vermont	vermont	vermont
victor	g&#39;olib	victor
videos	videolar	fidio
vihara	vihara	vihara
villa	villa	villa
viruses	viruslar	awon eran
visit	tashrif	ibewo
vz	vz	vz
waa	bu	ours
waju	yuzi	future
wari	hidi	once existing
westminster	westminster	westminster
wisconsin	kentukki	wisconsin
witkin	jodu	witkin
wiwari	kashfiyot	discovered
województwo	jinnilik	wojewodztwo
wole	tizimga kirish	into
woo	wu	look
wo	bu yerda	enter
wo	bu yerda	look
won	ularni	they
wura	oltin	gold
wyoming	wyoming	wyoming
wàásù	va&#39;z qilmoq	preach
wì	yuving	that
wípè	ravshanlik	that
wòfún	qarash	convenient
wònyí	bular	these
wón	ularni	they
wúnrèn	tayyorlamoq	small amount
wọn	ularni	they
wọ̀nyí	bular	these
xd	xd	xd
xiv	xiv	xiv
yafran	bu yaxshi	yafran
yakubu	yakub	yakubu
yan	tanlang	choose
yanjú	hal qiling	solve
yanturu	mo&#39;llik	abundant
yaoundé	yaunde	yaounde
yewo	takomillashtirish	examine
ye	ha	suitable
ye	ha	should
yindinyindin	hech qachon to&#39;xtamang	brightly
yio	qiladi	will
yiowu	bo&#39;ladi	any
yipada	ortga burilmoq	change
yiyafunnilo	eroziya	borrow
yoo	irodasi	will
yori	led	result
york	york	york
yorúbà	qatiq	yoruba
yo	yo	remove
yànan	hayrat	scattered
yàtò	sozlash	other than
yára	shoshilmoq	quickly
yèwò	qarang	examine
yée	qo&#39;yib bering	eplained to
yì	boring	this
yìí	bu	this
yí	ortga burilmoq	this
yíyípadà	o&#39;zgartirish	changed
yíì	siz qilasiz	this
yíò	bo&#39;ladi	it will
yẹ̀ẹ́	y’in	check
yọ	olib tashlang	bring out
zanzibar centralsouth	zanzibar markaziy markaz	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	uzoqda	bce
àbe	baboon	under
àbámẹ́ta	payshanba	saturday
àbáyo	taklif	breakthrough
àbìkú	boqiylik	'born to die' child
àbọ̀	yarmi	result
àdámò	maxfiylik	earmark
àdátá	qarama-qarshi	adata
àdáátán	eksklyuziv	adaatan
àdóolóró	yog &#39;	bomb
àgbàjọ	qariya	assembly
àgbàrá	toshqin	power
àgbáríjọ	tashkiloti	combination
àgbékà	mavhum	suitable
àgbéyèwò	sharh	examination
àgbìgbò	turar joy dahasi	a type of bird
àgbùdo	hovli	corn
àgọ́	chodir	ago
àifète	maqsadi	unable to keep quiet
àjo	sayohat	board
àjákọ	alohida	ajako
àjọṣepọ̀	ijtimoiy	union
àkosílè	mavhumlik	written
àkosílè	tezis	written account
àkàrà	keklar	bean pudding
àká	javonlar	store
àkójopò	guruh	collection
àkókó	vaqt	previous
àlàkalè	maqsadlar	breakdown, explanation of actions
àlàyé	ma `lumot	explanation
àlàáfíà	tinchlik	peace
àlááfià	qiyoslash	wellbeing
àlè	ablah	mistress, concubine, (side booty)
àlèpò	yuqorida	joined together
àlébù	dog &#39;	ills
àmérìkà	g&#39;ayritabiiy	america
àmì	imzo	sign
àmúlò	amaliy	synonyms
àmúsorò	psixologiya	resources
ànfàní	imkoniyat	opportunity
àpapọ̀	bir butun sifatida	federal
àpeere	misol	example
àrígbámú	bezovta qiluvchi	assistant
àrùn	kasallik	disease
àrẹ	prezident	president
àse	ziyofat	authority
àsàjemátèe	tong	cunning
àsèyìn	oqibati	at the end
àsìkò	vaqt	time
àsótélè	kengaytma	prophecy
àsọdọ̀kan	birlik	unitary
àsekúdórógbó	po&#39;stloq	do or die
àsà	odat	habit, culture, norm
àtijo	eskirgan	olden days
àtìpó	musofir	sojourn
àtòrìnká	atrofida	urinating while walking
àtúnse	tahrirla	modification
àtúnse	tahrirla	renovate, fix
àtẹnudẹ́nu	og&#39;zaki	oral
àwon	nazariyalar	they
àwón	pul	the
àwón	pul	the
àwùjo	jamiyat	community
ààtò	marosim	suitability
ààyè	tirik	space
àárín	o&#39;rtasida	middle
àáyá	sperma	seconds
àìkó	etishmovchilik	unlearned
àìní	xohlamoq	lack
àìròtélè	kutilmagan	unthought of
àìsí	yo&#39;qligi	lack
án	t	it
áwon	zino	those
èbà	pashsha	cassava flour food
èbúté	port	shore
èdá	yaratish	creature
èdè	tili	language
èdè	tili	language
èfòn	tarang	efon
èhìn	keyingi	outskirt
èka	filiali	branch
èkejì	boshqa	second
èlò	idishlar	tool
ènìkan	nimadur	someone
èràn	kasallik	virus
èrò	fikrlar	thoughts
èsó	masjid	modesty
èsúrú	chumolilar	yam (indigenous to west africa)
ète	maqsadi	plan
èyì	qadr-qimmati	this
èka	ta&#39;siri	branch
èro	fikrlar	machine
èrí	dalil	witness
èsìn	din	religion
èwù	ko&#39;ylak	clothe
èpón	ko&#39;p	modifier
ìbarà	isitma	ibara (town)
ìbánisòrò	ulanish	dialogue
ìbáraeni	avtoulov	to themselves
ìbílè	tug&#39;ilish huquqi	local
ìbílè	tug&#39;ilish huquqi	local
ìdàgbà	balog&#39;at	grow
ìdàpapọ̀	mustahkamlash	union
ìdàrúdàpò	betartiblik	misunderstanding
ìdá	qochish	division
ìdìmú	bezovtalik	branch, part
ìdíisin	sabab	idi-isin
ìdíwòn	sizning sababingiz	criteria
ìdó	qoqish	ido (a person's name)
ìfara	qiynoq	self
ìfojúìtànìgbesiayé	hayot tarixi	biography
ìfáàrà	ruhoniy	introduction
ìgbonnìbí jé	bu falokat	igbonnibi
ìgbà	vaqt	when
ìgbàgbé	unutuvchan	forgetfulness
ìgbá	qanotlar	time
ìgbáraga	kuch	pride
ìgbéraga	mag&#39;rurlik	pride
ìgbésí	hayot	life
ìgbò	ram	igbo people
ìhun	temir	things
ìjo	raqsga tushish	church
ìjo	cherkov	church
ìjoba	hukumat	government
ìjora	nafrat	resemblance
ìjìnlè	sir	comprehensive
ìjìnlè	sir	mysterious
ìjò	rahbar	consent
ìjọba	hukumat	government
ìkejì	boshqa	second
ìkànna	xuddi shu	ikanna (town)
ìkèrèkú	tiqilib qolish	ikereku
ìkéde	deklaratsiya	advert
ìkìjà	qiyinchilik	ikija
ìkìlò	suiiste&#39;mol qilish	warning
ìkínin	oltinchi	greetings
ìkẹrin	to&#39;rtinchisi	fourth
ìkọpa	ishtirok etish	ikopa
ìlera	sog&#39;liq	health
ìlo	qo&#39;ng&#39;iroq	use
ìlà	rejasi	border
ìlànàn	xayol	procedure
ìlàorùn	ko&#39;karish	east
ìlàìnàró	zulm	vertical
ìlè	poraxo&#39;rlik	land
ìlé	uy	land
ìmò	ilon	knowledge
ìmò	chaqmoq	knowledge
ìmóbìdo	tug&#39;ilish huquqi	imobido
ìmú	burun	knowledge
ìmúnilérú	suiiste&#39;molliklar	slavery
ìmúsára	mustahkamlash	contagious
ìnagije	g&#39;alaba	alias
ìnáwó	xarajatlar	expenditure
ìpolongo	reklama	advertisement
ìpìlẹ̀núkléù	shifrlash	base
ìpìnlè	boshlanishi	foundation
ìpínrò	paragraflar	economize
ìrànlọ́wọ́	yordam	help
ìrànàna	yordam	path-clearing
ìràwọ̀	yulduzlar	s
ìrí	tajriba	sight
ìròkò	o&#39;yladi	iroko
ìròyìn	yangiliklar	news
ìròyìnwiki	yangiliklar	wikinews
ìròrùn	xayol	peaceful
ìró	ovoz	sound
ìrúbo	qulashi	sacrifice
ìsawo	folbinlik	divinity-practice
ìse	harakat	behaviour
ìsinsìnyí	hozir	modern
ìsirò	hisoblash	adding
ìsomó	qo&#39;shilmoq	attachment
ìsàlè	quyosh botishi	down town
ìsèlè	ishlab chiqarish	happening
ìsìn	din	worship
ìsòrò	meditatsiya	speech
ìsòrí	bo&#39;linma	chapter
ìsú	qalinligi	lump
ìsọ	do&#39;konlar	stall
ìse	harakat	work
ìsègbèfábo	mehnatsevarlik	female support
ìsèdá	yaratish	creation
ìsèjoba	hukumat	government
ìsílé	uy	house opening
ìsòro	qiyinchilik	problem
ìse	harakat	action
ìta	tashqarida	outside
ìtaeko	ustaxona	outskirts of eko
ìtan	tarixi	story
ìtokò	qozon	story
ìtàn	tarixi	history
ìtànkálé	toshqinlar	spread
ìtèsíwájú	taraqqiyot	progress
ìtójú	parvarish	treatment
ìtóju	tartibsizlik	treatment
ìtójú	yuz ifodalari	treatment
ìtóka	urish	dictionary
ìtúmò	tarjima	meaning
ìtúpalè	tarjima	exposition
ìwe	taqqoslash	book
ìwo	shoxlari	horn
ìwàásù	va&#39;z qilish	sermon
ìwéré	risola	iwere (town)
ìwò	umuman	set
ìwòran	ko&#39;rish	viewing
ìwúlò	foydali	usefulness
ìya	azob	mother
ìyapa	ajratish	divorce
ìyàwó	kelin	wife
ìyípadà	aylantirish	transformation
ìṣèlú	siyosat	politics
ìṣẹ́kù	qolgan qismi	broken
ìṣọ̣̀tẹ̣̀	zotiljam	rebellion
òde	tashqarida	society
òdeojú	yuzsiz	surface
òdo	yoshlar	zero
òdìkejì	boshqa	opposite
òféàrán	rasm	a town name
ògbójú	vakolatli	brave
ògiri	devor	wall
ògo	shon-sharaf	glory
ògun	dori	medicine
ògúndìpẹ̀	chang	ogundipe
òjo	o&#39;xshamoq	ojo
òjísé	shifokor	servant
òkèògbún	ming	oke-ogbun
òkòòkan	birma-bir	each
òkú	murdalar	corpse
òkúta	tosh	stone
òle	uy bekasi	lazy
òmiràn	sehrgar	other
òmùàrán	rasm	omu-aran (town)
òní	bugun	today
òotó	haqiqat	true
òpópóònà	yo&#39;l	highway
òranyàn	majburiy	a must
òrìsà	butlar	god
òrí	bob	top
òrò	miya	word
òsán	peshin	afternoon
òsèlú	siyosatchi	politics
òsèré	sportchi	player
òwù	mato	owu
òṣèlú	siyosat	politician
òjògbón	yomg&#39;irli ob-havo	learned person
òkan	bitta	heart
òkòòkan	birma-bir	each
òpòlopò	juda ko&#39;p	many
òré	o&#39;yin	friend
òfò	keyingi	sorrowful
òpòlopo	juda ko&#39;p	lot of
òré	o&#39;yin	friend
òrò	fikrlar	word
òsà	oltin baliq	lagoon
òwó	pul	hand
òrò	fikrlar	word
òròàjòmó	gripp	part of speech
ó	u	that
óníse	u dizayner	stricken
ósírísì	tupurik	diverse
ósékú	u o&#39;lgan	die suddenly
ó	ha	word
ôdún	yil	year
únṣẹlẹ̀	zilzila	formed
şe	qilmoq	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	ˌʁstˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	kasallik	not yoruba
κάππα	.aa	does not translate
σ	σ	does not translate
ṣiṣé	ochilishi	work
ṣàkóbá	zararli	incriminate
ẹdo	hazil	edo
ẹlẹ́bùn	sovg&#39;a	award winner
ẹlẹ́sìn	diniy	religionist
ẹnìkan	bitta odam	someone
ẹsẹ	oyoqlari	verse
ẹtì	jigar	friday
ẹ̀kaawon	taqdim	branch of
ẹ̀kabrítánì	tog&#39;a	part of britain
ẹ̀kajuly	may	chapter july
ẹ̀kaoṣù	tikanli	month
ẹ̀kasístẹ̀mù	subyektiv	sistemu=system
ẹ̀kẹ́ta	uchinchisi	third, the third
ẹ̀kọ́	ta&#39;lim	teachings
ẹ̀ni	jssv	person
ẹ̀rọ	mashinalar	machine
ẹ̀wẹ̀	boshqa tarafdan	leaf
ọbàkàn	yarim aka	step-sister
ọdún	yil	year
ọlọ́mọ	bolalar	members
ọlọ́run	xudo	god
ọmú	siz rasvosiz	breast
ọmọ	bola	c
ọn	u	him
ọpọ́lọpọ́	anjir	many
ọ̀dọ́	yoshlar	youth
ọ̀gbìn	o&#39;simlik	seedlings
ọ̀nà	yo&#39;l	ways
ọ̀pòlòpò	harakat	various
ọ̀rọ̀	gapirish	word
ọ̀sẹ	hafta	week
