$	dollarni tashkil etadi	dollars
захарна	shakar	sugar
защита	himoya qilish	protection
защитава	himoya qiladi	defends
защитават	himoya qilish	protect
защитата	himoya qilish	protection
защитена	himoyalangan	protected
защитени	himoyalangan	protected
защитна	himoya	firewall
защитни	himoya	defensive
защитник	himoyachisi	defender
защитниците	himoyachilar	defenders
защо	nima uchun	why
защото	chunki	because
заявява	davlatlar	said
звание	sarlavha	rank
звезда	yulduz	star
звездата	yulduzcha	star
звезден	yulduzcha	star
звезди	yulduzlar	stars
звездите	yulduzlar	stars
звездни	yulduzcha	astral
звук	ovoz	sound
звука	ovoz	sound
звуци	tovushlar	sounds
звучи	tovushlar	sounds
здрава	sog&#39;lom	healthy
здраве	sog&#39;liq	health
здравеопазване	sog&#39;liqni saqlash	health
здравеопазването	sog&#39;liqni saqlash	the healthcare system
здравето	sog&#39;liq	health
здрави	sog&#39;lom	healthy
здравко	salom	zdravko
здравна	sog&#39;liq	health
здравни	sog&#39;liq	health
зевс	zevs	zeus
зеландия	zelandiya	zealand
зелена	yashil rangda	green
зелени	yashil rangda	green
зелените	yashil rangda	the green
зелено	yashil rangda	green
зеленчуци	sabzavotlar	vegetables
земеделие	qishloq xo&#39;jaligi	farming
земеделието	qishloq xo&#39;jaligi	agriculture
земеделска	qishloq xo&#39;jaligi	agricultural
земеделски	qishloq xo&#39;jaligi	agricultural
земен	dunyoviy	earth
земетресение	zilzila	earthquake
земетресения	zilzilalar	earthquakes
земи	erlar	lands
земите	erlar	land
землището	er	land
земната	er	earth
земни	dunyoviy	earth
земните	yerdagi	earth
земното	dunyoviy	earth
земя	quruqlik	earth
земята	yer	ground
зима	qish	winter
зимата	qish	winter
зимбабве	zimbabve	zimbabwe
зимен	qish	winter
зимите	qishlar	winters
зимна	qish	winter
зимните	qish	winter
златарски	zargar	zlatarski
златен	oltin	golden
златна	oltin	golden
златната	oltin	golden
златни	oltin	gold
златните	oltinlar	gold
златния	oltin	golden
златният	oltin	golden
златно	oltin	gold
златното	oltin	golden
злато	oltin	gold
златоград	zlatograd	zlatograd
златото	oltin	gold
зле	yomon	badly
злото	yovuzlik	evil
змии	ilonlar	snakes
змиите	ilonlar	snakes
змия	ilon	snake
змията	ilon	snake
знае	u biladi	know
знак	belgisi	sign
знаме	bayroq	flag
знамето	bayroq	flag
знание	bilim	knowledge
знанието	bilim	knowledge
знания	bilim	knowledge
знаци	belgilari	signs
значение	ma&#39;nosi	meaning
значението	ma&#39;nosi	importance
значения	qiymatlar	meanings
значи	degan ma&#39;noni anglatadi	means, meaning
значими	ahamiyatli	significant
значителен	ahamiyatli	considerable
значителна	ahamiyatli	significant
значителни	ahamiyatli	significant
значително	sezilarli darajada	considerably
знаят	ular biladi	known
зона	zonasi	zone
зоната	maydoni	area
зони	zonalari	zones
зоология	zoologiya	zoology
зора	tong	dawn
зрение	ko&#39;rish	eyesight
зрението	ko&#39;rish	eyesight
зрители	tomoshabinlar	audience
зряла	etuk	mature
зъб	tish	tooth
зъби	tishlar	teeth
зъбите	tishlar	the teeth
зърна	donalar	grain
зърнени	donli mahsulotlar	grain
зърно	don	grain
и	va	and
ѝ	uni	her, its
ив	iv	iv.
ивайло	ivailo	ivaylo
иван	ivan	ivan
иванов	ivanov	ivanov
иванова	ivanova	ivanova
ивица	tasma	line
ивици	chiziqlar	strips
иво	ivo	ivo
иврит	ibroniycha	hebrew
иглолистни	ignabargli	coniferous
игнатий	ignatius	ignatiy
иго	bo&#39;yinturuq	yoke
игра	o&#39;yin	game
играе	o&#39;ynaydi	play
играта	oyin	game
играч	pleyer	player
играча	pleerni tanlang	player
играчи	futbolchilar	players
играчите	futbolchilar	players
играчът	pleerni tanlang	player
играят	ular o&#39;ynashadi	dance
игри	o&#39;yinlar	games
игрите	o&#39;yinlar	games
игрище	o&#39;yin maydonchasi	playground
игрището	o&#39;yin maydonchasi	field
идва	kelmoqda	arrives
идвали	keldi	came
идването	kelayotgan	coming
идват	ular kelmoqdalar	come
идеи	g&#39;oyalar	ideas
идеите	g&#39;oyalar	ideas
идели	ideli	ideals
идентифицира	belgilaydi	identify
идентичност	kimligi	identity
идеология	mafkura	ideology
идея	fikr	idea
идеята	fikr	conception
иди	boring	edie
из	dan	through
избегнат	oldini olish	escape, avoid
избегне	oldini olish	avoid
избира	tanlaydi	elected
избиран	saylangan	chosen
избирането	tanlov	election
избирани	saylangan	chosen
избират	tanlang	choose
избити	o&#39;ldirilgan	killed
избор	tanlash	choice
избора	tanlash	selection
избори	saylovlar	election
изборите	saylovlar	elections
избран	saylangan	chosen
избрана	tanlandi	chosen
избрани	tanlandi	selected
изброени	sanab o&#39;tilgan	counted
избухва	portlashlar	broke out
избухването	tarqalish	outbreak
избухват	portlamoq	start
избяга	qochib ketdi	escaped
избягва	oldini oladi	runs to
избягват	oldini olish	avoid
извара	tvorog	curd
извежда	olib keladi	displays
известен	mashhur	known
известна	ma&#39;lum	some
известната	mashhur	the famous
известни	mashhur	some
известните	mashhur	known
известния	mashhur	famous
известният	mashhur	famous
известно	ma&#39;lum	known
известност	shon-sharaf	fame
извира	buloqlar	springs
извода	xulosa	conclusion
изводи	xulosalar	conclusions
извор	manba	source
извора	buloqlar	source
извори	buloqlar	sources
изворите	buloqlar	sources
извън	tashqarida	outside
извънредно	favqulodda	extremely
извършва	ijro etadi	done
извършването	ishlash	performance
извършват	ijro eting	perform
извършени	amalga oshirildi	took place
извършено	bajarildi	made
извърши	ijro eting	perform
изглед	ko&#39;rinish	view
изглежда	dek tuyulyapti	seems
изглеждат	ular qarash	look
изгнание	surgun	exile
изграден	qurilgan	built
изградена	qurilgan	build
изградени	qurilgan	built
изградено	qurilgan	to be built
изгради	qurmoq	build
изгражда	quradi	building
изграждане	qurilish	building
изграждането	qurilish	construction
изграждат	qurmoq	building
изгрев	quyosh chiqishi	izgrev
изд	tahrirlangan	from
издава	masalalar	issue
издаването	masala	issue
издават	nashr	legislate
издаде	berilgan sana	surrender
издаден	berilgan sana	issued
издадена	berilgan sana	issued
издадени	berilgan sana	issued
издание	nashr	edition
издания	nashrlar	editions
издателство	nashriyot uyi	publishing house
изделие	mahsulot	product
изделия	mahsulotlar	products
издига	ko&#39;tariladi	is built
издигане	balandlik	elevation
издигането	ko&#39;tarilish	rise
издигат	oshirish	rise
издигнат	qurilgan	elevated
издигната	qurilgan	raised
издържа	chidaydi	withstand
изиграва	o&#39;ynaydi	plays
изисква	talab qiladi	requires
изисквания	talablar	requirements
изискванията	talablar	requirements
изказване	nutq	message
изказвания	nutqlar	statements
изкачване	ko&#39;tarilish	ascent
изключение	istisno	exception
изключения	istisnolar	exceptions
изключителна	favqulodda	exclusive
изключителни	favqulodda	exceptional
изключително	nihoyatda	exclusively
изкопаеми	qoldiqlari	fossil
изкуства	san&#39;at	arts
изкуствата	san&#39;at	arts
изкуствени	sun&#39;iy	artificial
изкуствено	sun&#39;iy ravishda	artificial
изкуство	san&#39;at	art
изкуството	san&#39;at	art
излага	ta&#39;sir qiladi	sets
излаз	chiqish	egress
излезе	chiqdi	went out
излиза	chiqadi	is released
излизането	tashqariga chiqish	release
излизат	tashqariga chiqish	out
изложба	ko&#39;rgazma	exhibition
изложени	fosh qilingan	exposed
изложение	ekspozitsiyasi	exhibition
излъчва	nurlantiradi	broadcast
излъчване	eshittirish	radiation
излъчването	eshittirish	broadcasting
излъчват	chiqaradi	broadcast
измежду	orasida	among
изменение	o&#39;zgartirish	amendment
изменението	tuzatish	climate
изменения	o&#39;zgaradi	modifications
изменя	o&#39;zgaradi	amended
измерва	chora-tadbirlar	measured
измерване	o&#39;lchov	measurement
измервания	o&#39;lchovlar	measurements
измерена	o&#39;lchanadi	measured
измества	joy almashtirish	shifts
изнася	eksport	exports
изнасят	eksport	export
изненада	ajablanib	surprise
изненадващо	ajablantiradigan	surprisingly
износ	eksport	amount
износа	eksport	exports
износител	eksport qiluvchi	exporter
износът	eksport	amount
изобилие	mo&#39;llik	abundance
изображение	rasm	image
изображения	rasmlar	images
изобразен	tasvirlangan	depicted
изобразени	tasvirlangan	depicted
изобразително	tasvirlangan	art
изобразява	tasvirlangan	presents
изобретяването	ixtiro	invention
изобщо	umuman	at all
изолация	izolyatsiya	isolation
изолирана	izolyatsiya qilingan	isolated
изолирани	izolyatsiya qilingan	isolated
изоставят	tashlab ketmoq	abandon
изотоп	izotopni	isotope
изотопи	izotoplari	isotopes
изпада	tushadi	left
изписва	yozadi	written
изписване	imlo	origin
изпитва	his qiladi	ask
изпитват	tajriba	feel
изповядва	tan oladi	profess
изповядват	tan olish	profess
използва	ishlatilgan	use
използвайки	foydalanish	using
използвал	ishlatilgan	had used
използвали	ishlatilgan	used
използван	ishlatilgan	used
използвана	ishlatilgan	used
използване	foydalanish	use
използването	foydalanish	use
използвани	ishlatilgan	used
използваните	ishlatilgan	used
използвано	ishlatilgan	used
използват	foydalanish	used
използващи	foydalanish	using
изпратен	yuborilgan	sent
изпратени	yuborilgan	sent
изпрати	yuborish	send
изпраща	yuboradi	sends
изпращане	yuborilmoqda	sending
изпращат	yuborish	sends
изпълнена	bajarildi	filled
изпълнени	bajarildi	met
изпълнение	ishlash	execution
изпълнението	ishlash	implementation
изпълни	bajaring	meet
изпълнител	pudratchi	performer
изпълнителен	ijrochi	executive
изпълнители	ijrochilar	performers
изпълнителна	ijrochi	executive
изпълнителната	ijrochi	the executive
изпълнява	ijro etadi	perform
изпълняват	ijro eting	perform
израел	isroil	israel
израз	ifoda	expression
изразен	ifoda etdi	pronounced
изразена	ifoda etdi	expresed
изразени	ifoda etdi	expressed
изрази	iboralar	express
изразът	ifoda	expression
изразява	ifodalaydi	expresses
изразяване	ifoda	expression
изразяват	ifoda eting	express
израства	o&#39;sadi	grows
изречението	jumlasi	the sentence
изригване	otilib chiqish	eruption
изригването	portlash	eruption
изригвания	otilishlar	eruption
изрично	ochiqchasiga	expressly
изследва	tadqiqotlar	study
изследване	tadqiqot	study
изследването	o&#39;qish	study
изследвания	tadqiqot	researches
изследванията	tadqiqot	research
изследват	o&#39;rganmoq	study
изследовател	izohlovchi	researcher
изследователи	tadqiqotchilar	of researchers
изследователите	tadqiqotchilar	explorers
изтеглят	yuklab oling	download
изтича	muddati tugaydi	expires
изток	sharqda	east
източен	sharqiy	east
източна	sharqiy	east
източната	sharqiy	east
източни	sharqiy	east
източник	manba	source
източника	manba	source
източните	sharqiy	east
източници	manbalar	sources
източниците	manbalar	sources
източния	sharqiy	east
източно	sharqda	east
източното	sharq	eastern
изтребител	qiruvchi	fighter
изтъква	ishora qiladi	points
изучава	tadqiqotlar	study
изучаване	o&#39;rganish	studying
изучаването	o&#39;qish	study
изучават	o&#39;rganish	study
изхвърлени	bekor qilinadi	omitted
изхвърля	bekor qilinadi	discharged
изход	chiqish	exit
изцяло	to&#39;liq	all
изчезва	yo&#39;qoladi	disapears
изчезване	g&#39;oyib bo&#39;lish	disappearance
изчезват	yo&#39;qoladi	disappear
изчезнали	ko&#39;zdan yo&#39;qoldi	missing
изчисления	hisob-kitoblar	calculations
изчислено	hisoblab chiqilgan	calculated
изчислява	hisoblaydi	calculated
изяви	ko&#39;rinishlar	events
изявява	namoyon bo&#39;ladi	expresses
иили	yoki	and/or (two words)
иисус	iso	jesus
ийгълс	burgutlar	eagles
икона	belgisi	icon
икони	piktogramma	icons
икономика	iqtisodiyot	economy
икономиката	iqtisodiyot	economy
икономики	iqtisodiyot	economies
икономическа	iqtisodiy	economic
икономическата	iqtisodiy	economic
икономически	iqtisodiy	economic
икономическите	iqtisodiy	economic
икономическия	iqtisodiy	the economical
икономическият	iqtisodiy	economic
икономическо	iqtisodiy	economic
икономическото	iqtisodiy	economic
ил	il	ile (ile-de-france)
или	yoki	or
илиада	iliad	ilyad
илиев	iliyev	iliev
илия	ilia	elijah
илюминати	illuminati	illuminati
илюминатите	illuminati	illuminati
им	ularni	their
има	u yerda	there is
имайки	ega	considering
имал	edi	had
имала	edi	had
имали	bormi	had
имало	bor edi	existed
имаме	bizda ... bor	we
имарет	imaret	imaret (public kitchen)
имат	bor	have
име	nomi	name
имена	ismlar	names
имената	ismlar	names
именно	ya&#39;ni	namely
името	nomi	name
имигранти	muhojirlar	immigrants
имоти	xususiyatlari	property
император	imperator	emperor
императора	imperatorning	emperor
императори	imperatorlari	imperators
императорите	imperatorlar	emperors
императорски	imperial	imperial
императорско	imperial	emperor
императорът	imperator	emperor
империи	imperiya	empires
империя	imperiya	empire
империята	imperiya	empire
имперски	imperial	imperial
имперско	imperial	imperial
импийчмънт	impichment	impeachment
импулса	turtki	impuls
импулси	impulslar	impulses
имунна	immunitetga ega	immune
имунната	immunitetga ega	immune
имущество	mulk	property
имуществото	mulk	property
иначе	aks holda	otherwise
инвазия	bosqinchilik	invasion
инвестиции	investitsiyalar	investments
инвестициите	investitsiyalar	investment
индекс	indeks	index
индианци	hindular	indians
индианците	hindular	indians
индивид	individual	individual
индивиди	shaxslar	individuals
индивидуални	individual	individual
индивидуалните	shaxs	individual
индийската	hind	indian
индийски	hind	indian
индийските	hind	indian
индийския	hind	indian
индия	hindiston	india
индоевропейски	hind-evropa	indo-european
индонезия	indoneziya	indinesia
индустриална	sanoat	industrial
индустриалната	sanoat	industrial
индустриални	sanoat	industrial
индустрия	sanoat	industry
индустрията	sanoat	industry
инженер	muhandis	engneer
инициатива	tashabbus	initiative
инмарсат	inmarsat	inmasrsat
инокулация	emlash	tempered
инсолация	izolyatsiya	insolatsia
институт	instituti	institute
института	instituti	institute
институции	muassasalari	institutions
институция	muassasa	institution
инструкции	ko&#39;rsatmalar	instructions
инструкциите	ko&#39;rsatmalar	instructions
инструмент	vositasi	instrument
инструменти	asboblar	instruments
интеграция	integratsiya	integration
интелектуализация	ziyolilik	intellectualization
интензивна	intensiv	intensive
интензивни	intensiv	intensive
интензивно	intensiv ravishda	intensive
интервенция	aralashuv	intervention
интервю	intervyu	interview
интерес	qiziqish	interest
интересен	qiziq	interesting
интереси	manfaatlar	interests
интересите	manfaatlar	interests
интересна	qiziq	interesting
интересни	qiziq	interesting
интересува	qiziqadi	take interest
интересът	qiziqish	the interest
интернет	internet	internet
интерпретации	talqinlar	interpretations
интерпретация	talqin	motion
интерфейс	interfeysi	interface
инфекции	infektsiyalar	infections
инфекциозни	yuqumli	infectious
инфекция	infektsiya	infection
инфлация	inflyatsiya	inflation
инфлацията	inflyatsiya	inflation
информационен	ma&#39;lumotli	information
информационни	ma `lumot	information
информация	ma `lumot	information
информацията	ma&#39;lumotlar	information
инфраструктура	infratuzilma	infrastructure
инфраструктурата	infratuzilma	infrastructure
ир	ir	ir
ирак	iroq	iraq
иран	eron	iran
ирина	irina	irina
ирландия	irlandiya	ireland
ирландски	irlandiya	irish
исак	isak	isaac
иска	xohlamoq	wants
искал	qidirildi	wanted
искане	talab	requested
искането	talab	request
искания	so&#39;rovlar	demans
искат	xohlamoq	want
искра	uchqun	iskra
искър	uchqun	iscar
исландия	islandiya	iceland
ислям	islom	islam
исляма	islom	islam
ислямска	islomiy	islamic
ислямската	islomiy	islamic
ислямски	islomiy	islamic
ислямското	islomiy	islamic
ислямът	islom	islam
испания	ispaniya	spain
испанската	ispan	spanish
испански	ispan	spanish
испанските	ispan	spanish
испанския	ispan	spanish
испанският	ispan	spanish
испанското	ispan	spanish
испанците	ispanlar	spaniards
испаньола	ispancha	hispaniola
истанбул	istanbul	istanbul
истина	haqiqat	trully
истината	haqiqat	truth
истини	haqiqatlar	real
истинска	haqiqiy	real
истинската	haqiqiy	the real
истински	haqiqiy	real
истинското	haqiqiy narsa	real
истории	tarixi	stories
историите	hikoyalar	destroyed
историк	tarixchi	historian
историография	tarixshunoslik	historiography
историографията	tarixshunoslik	historiography
историци	tarixchilar	historians
историците	tarixchilar	historians
историческа	tarixiy	historical
историческата	tarixiy	the historical
исторически	tarixiy	historical
историческите	tarixiy	historical
историческия	tarixiy	historical
историческият	tarixiy	historical
историческо	tarixan	historical
историческото	tarixiy	historical
история	tarixi	history
историята	hikoya	history
исус	iso	jesus
италианска	italyancha	italian
италианската	italiyalik	italian
италиански	italyancha	italian
италианските	italiyalik	italian
италианския	italiyalik	italian
италианският	italiyalik	italian
италианското	italiyalik	italian
италия	italiya	italy
иън	ian	ian
й	j	hers
йемен	yaman	yemen
йероглифи	ierogliflar	hieroglyphics
йерусалим	quddus	jerusalem
йоан	jon	john
йовков	yovkov	yovkov
йозеф	yusuf	joseph
йони	ionlari	ions
йордан	iordaniya	jordan
йордания	iordaniya	jordan
йорданка	iordaniya	yordanka
йорданов	yordanov	yordanov
йорк	york	york
йосиф	yusuf	joseph
йохан	yoxan	johan
кабала	zanjir	cabala
кабинет	idora	cabinet
кабинета	kabinet	the cabinet
кавала	kavala	kavala
кавказ	kavkaz	caucasus
каже	demoq	say
казал	u aytdi	said
казанлък	qozon	kazanlak
казано	dedi	said
казахстан	qozog’iston	kazakhstan
казва	u aytdi	said
казват	demoq	said
кайро	qohira	cairo
как	qanday	how
кака	kaka	kaka
каква	nima	what
каквато	nima bo&#39;lsa ham	as
какви	nima	what
каквито	nima bo&#39;lsa ham	as
какво	nima	what
каквото	nima bo&#39;lsa ham	what
както	sifatida	as well as
какъв	nima	what
какъвто	nima bo&#39;lsa ham	how
калай	qalay	tin
калашников	kalashnikovlar	kalashnikov
калвин	kalvin	calvin
календар	taqvim	calendar
калиакра	kaliakra	kaliakra
калигула	kaligula	caligula
калина	viburnum	pomegranate
калифорния	kaliforniya	california
калория	kaloriya tarkibi	calorie
калоян	kaloyan	kaloyan
кама	kama	kama
камара	palatasi	chamber
камарата	palatasi	chamber
камари	palatalar	chambers
камбоджа	kambodja	cambodia
камдън	kamden	camden
камелия	kameliya	kamelia
камен	tosh	stone
каменна	tosh	stone
каменни	tosh	stone
камера	kamera	chamber
камери	kameralar	cameras
камерите	kameralar	cameras
камиони	yuk mashinalari	trucks
кампании	kampaniyalari	campaigns
кампания	kampaniyasi	campaign
кампанията	kampaniyasi	the campaign
камчия	qamchi	kamchia
камък	tosh	stone
камъни	toshlar	gems
кан	mumkin	khan
кана	kana	cana
канада	kanada	canada
канал	kanal	canal
канали	kanallar	channels
канарските	kanar orollari	canary
кандидат	nomzod	candidate
кандидати	nomzodlar	candidates
кандидатите	nomzodlar	candidates
кани	taklif qiladi	invites
канопус	chodir	kanopus
кант	tahrirlangan	kant
капацитет	imkoniyatlar	capacity
капиляри	kapillyarlar	capillaries
капитал	poytaxt	capital
капитали	poytaxt	capital
капитализма	kapitalizm	capitalism
капитан	kapitan	captain
капитулацията	kapitulyatsiya	surrender
кара	haydash	make
карабинер	karabiner	carabinier
каравелов	karavotlar	karavelov
каракачаните	qorachachilar	karakachans
каракачански	qorakachan	karakachan
карамфил	chinnigullar	cloves
карат	karat	carat
карате	karate	karate
карибско	karib dengizi	caribbean
кариера	mansab	career
кариерата	mansab	career
карл	karl	karl
карло	karlo	carlo
карлово	karlovo	karlovo
карлос	karlos	carlos
карме	karma	carme
карпатите	karpatliklar	the carpathian mountains
карстови	karst	kasrst
карта	xaritasi	map
картаген	karfagen	carthage
картата	xaritasi	the map
карти	kartalar	maps
картина	rasm	picture
картината	rasm	picture
картини	rasmlar	pictures
картините	rasmlar	pictures
картинки	rasmlar	pictures
картофи	kartoshka	potatoes
касандра	kassandra	kasandra
каспийско	kaspiy	caspian
кастро	kastro	castro
каталог	katalog	catalog
катар	katarali	qatar
катастрофа	falokat	crash
категории	toifalar	categories
категорично	qat&#39;iyan	categorically
категория	kategoriya	category
категорияамерикански	kategoriyaamerika	category:american
категориябългарска	kategoriya bolgariya	category bulgarian
категориябългарски	kategoriya bolgariya	category:bulgarian
категориягеография	kategoriya geografiyasi	category geography
категорияистория	kategoriya tarixi	category: history (two words)
категорияличности	kategoriya	category: persons (two words)
категорияносители	toifadagi tashuvchilar	category: winners
категорияобекти	kategoriya loyihalari	a category of objects
категориясекс	kategoriya	category sex
категорията	kategoriya	category
категорияхристиянски	turkum	category: christian (two words)
катедрала	ibodathona	cathedral
катедралата	sobori	cathedral
катерици	sincaplar	squirrels
като	kabi	as
католици	katoliklar	catholics
католицизма	katoliklik	catholicism
католическа	katolik	catholic
католическата	katolik	catholic
католически	katolik	catholic
катрин	ketrin	catherine
кафе	qahva	coffee
кафето	qahva	coffee
кафявозъбки	jigarrang tishlar	shrew
кацане	qo&#39;nish	landing
качества	fazilatlari	qualities
качествени	sifati	quality
качество	sifati	quality
качеството	sifati	quality
кв	kv	square
квадрат	kvadrat	square
квалификациите	malaka	qualifications
квартал	turar joy dahasi	quarter
квартала	chorak	neighborhood
квартали	mahallalar	neighborhoods, quarters
кварталите	mahallalar	neighborhoods
квебек	kvebek	kvebek
квиет	jim	kviet
кеймбридж	kembrij	cambridge
келтите	keltlar	celtics
келтски	keltlar	celtic
кенеди	kennedi	kenedy
кения	keniya	kenya
керамика	kulolchilik	ceramics
кервансарай	karvonsaroy	kervansaray
кери	keri	carrey
кефир	kefir	kephir
кефирните	kefir	kefir
кефирът	kefir	kefir
кечуа	kechua	quechua
кеш	kesh	cache
киев	kiev	kiev
киевска	kiev	kiev
километра	km	kilometres
ким	kim	kim
кинг	shoh	king
кино	filmlar	cinema
кипарис	sarimsoq	cupressus
кипър	kipr	cyprus
кирил	kiril	cyril
кирилица	kirillcha	cyrillic alphabet
кирилицата	kirill alifbosi	cyrillic
кирков	tanlaydi	kirkov
киселец	shovul	sorrel
киселина	kislota	acid
киселини	kislotalar	acids
кислород	kislorod	oxygen
кислорода	kislorod	oxygen
кислородът	kislorod	oxygen
китай	xitoy	china
китайска	xitoy	chinese
китайската	xitoyliklar	chinese
китайски	xitoy	kataiski
китайските	xitoyliklar	chinese
китайския	xitoy	chinese
китайският	xitoyliklar	chinese
китайци	xitoy	chinese
китайците	xitoyliklar	chinese
китара	gitara	guitar
кихот	quixot	quihote
клавдий	klavdiy	claudius
клане	so&#39;yish	slaughter
клането	so&#39;yish	massacre
клапа	vana	valve
клапи	klapanlar	claps
клара	klara	clara
кларк	klark	clarke
клас	sinf	class
класа	sinf	range
класации	reytinglar	ranking
класациите	reytinglar	charts
класация	tartiblashtirish	rating
класацията	martabasi	rankings
класи	sinflar	classes
класира	darajalari	classified
класиране	tartiblashtirish	ranking
класификация	tasniflash	classification
класическа	klassik	classical
класическата	klassik	classical
класически	klassik	classical
класическите	klassik	the classical
класическия	klassik	classical
класове	sinflar	classes
клаузи	qoidalar	clauses
клеопатра	kleopatra	cleopatra
клетка	hujayra	cell
клетката	hujayra	cell
клетки	hujayralar	cells
клетките	hujayralar	cells
клетъчна	uyali	cell
клетъчната	uyali	cellular
клетъчни	uyali	cellular
клетъчните	uyali	cell
клиент	mijoz	customer
климат	iqlimi	climate
климата	iqlimi	climate
климатичен	iqlimiy	climate
климатична	iqlimiy	climatic
климатични	iqlimiy	climatic
климатичните	iqlimiy	climatic
климатология	iqlimshunoslik	climatology
климатът	iqlimi	climate
климент	tozaligi	clement
клинични	klinik	clinical
клип	klip	clip
клипа	klip	video
клипове	videolar	videos
клисура	darada	ravine
клитемнестра	klimtemnestra	clytemnestra
клитора	klitoris	clitoris
клон	klon	clone
клона	klon	branches
клонове	filiallari	branches
клуб	klub	club
клуба	klub	club
клубни	ildiz mevalarni ekmoqchi	club
клубове	klublar	club
клубът	klub	club
ключ	kalit	key
ключов	kalit	key
ключови	kalit	keys
км	km	km
км²	km²	square kilometers
кмет	shahar hokimi	mayor
кмета	shahar hokimi	major
кметове	hokimlar	mayors
кметството	shahar hokimiyati	municipality
кн	kn	issue
кндр	kxdr	dprk
книга	kitob	book
книгата	kitob	the book
книги	kitoblar	books
книгите	kitoblar	books
книжовен	adabiy	literary
княгиня	malika	queen
княжество	printsipial	principality
княжеството	prinsipial	kingdom
княз	shahzoda	prince
княза	shahzoda	prince
коалиция	koalitsiyasi	coalition
коалицията	koalitsiyasi	coalition
ковачев	kovachev	kovatchev (name)
кога	qachon	when
когато	qachon	when
кого	kimga	whom
когото	kimga	who
код	kodi	code
кодекс	kodi	code
кодове	kodlari	codes
което	qaysi	which
коефициент	koeffitsient	coefficient
кожа	charmdan	leather
кожата	teri	skin
кожи	teri	leather
кожни	teri	leather
кози	echkilar	caprine
козина	mo&#39;yna	coat
козината	mo&#39;yna	fur
козирог	oğlaq	capricorn
кои	qaysi	who
които	jssv	which
кой	jssv	who; which
който	qaysi	who
кока	koka	coca
кокаинът	kokain	the cocain
кокакола	koks	coca cole
кола	mashina	car
колев	g&#39;ildiraklar	kolev
колеги	hamkasblari	colleagues
коледа	rojdestvo	koleda
колеж	kollej	college
колектив	jamoasi	collective
колекция	yig&#39;ish	collection
колела	g&#39;ildiraklar	wheels
коли	qachon	cars
количества	miqdorlar	quantities
количество	miqdori	quantity
количеството	miqdori	amount
колко	necha pul	how
колкото	qadar	as
колона	ustun	column
колони	ustunlar	columns
колонизация	mustamlaka	colonisation
колонии	mustamlakalar	colonies
колония	mustamlaka	colony
колумб	kolumb	columbus
колумбия	kolumbiya	columbia
командване	buyruq	command
командването	buyruq	command
командир	qo&#39;mondon	commander
комбинат	aralashtirmoq	combine
комбинации	kombinatsiyalar	combinations
комбинация	birikmasi	combination
комбинацията	birikmasi	combination
комедия	komediya	comedy
коментари	izohlar	comments
комети	kometalar	comets
коминтерна	komintern	the comintern
комисия	komissiya	commission
комисията	komissiya	committee
комитет	qo&#39;mitasi	committee
комитета	qo&#39;mitasi	committee
комитети	qo&#39;mitalari	committees
комитопулите	komitopulalar	komitopuls
комнин	komnin	komnenos
компании	kompaniyalari	companies
компания	kompaniyasi	company
компанията	korxona	company
комплекс	murakkab	complex
комплекса	murakkab	the complex
комплекси	majmualari	facilities
комплексни	murakkab	complex
комплексът	murakkab	the complex
композитор	bastakor	composer
композитори	bastakorlar	composers
композиторът	bastakor	composer
композиции	kompozitsiyalar	compositions
композиция	tarkibi	composition
компонент	komponent	part
компоненти	tarkibiy qismlar	components
компютри	kompyuterlar	computers
компютрите	kompyuterlar	the computers
компютър	kompyuter	computer
компютъра	kompyuter	computers
компютърна	kompyuter	computer
компютърни	kompyuter	computer
комунизма	kommunizm	communism
комунизъм	kommunizm	communism
комуникации	kommunikatsiyalar	communications
комуникация	aloqa	communication
комунистите	kommunistlar	communists
комунистическа	kommunist	communist
комунистическата	kommunist	communistic
комунистически	kommunist	communist
комунистическите	kommunist	communist
комунистическия	kommunist	communist
кон	con	horse
конвекция	konvektsiya	convection
конвенция	konventsiya	convention
конг	cong	kong
конго	kongo	congo
конгрес	kongress	congress
конгреса	kongress	the congress
коне	otlar	horses
конете	otlar	horses
конец	tamom	thread
конкретни	o&#39;ziga xos	concrete
конкурс	musobaqa	competition
конна	ot	horse
конник	otliq	knight
конница	otliqlar	cavalry
конрад	konrad	conrad
константин	konstantin	constantine (name)
константинов	konstantinov	konstantinov
константинопол	konstantinopol	constantinople
конституционна	konstitutsiyaviy	constitutional
конституция	konstitutsiya	constitution
конституцията	konstitutsiya	constitution
конструкция	qurilish	construction
конструкцията	qurilish	contruction
консул	konsul	consul
консулство	konsullik	consulate
консумация	iste&#39;mol	consumption
контакт	aloqa	contact
контакти	aloqalar	contacts
контактите	aloqalar	connections
контекст	kontekstda	context
контекста	kontekstda	context
континент	qit&#39;a	continent
континента	qit&#39;a	continent
континентален	qit&#39;a	continental
континентална	qit&#39;a	continental
континенталната	qit&#39;a	continental
континенталните	qit&#39;a	continental
континенти	qit&#39;alar	continents
континентите	qit&#39;alar	the continents
континентът	qit&#39;a	the continent
контрапренос	kontrtransmissiya	kontraprenos
контрол	boshqaruv	control
контрола	boshqaruv	control
контролира	boshqaruvlari	control
контролират	boshqaruv	control
конфедерация	konfederatsiya	confederation
конференция	konferensiya	conference
конференцията	konferentsiya	conference
