$ tỉ	বিলিয়ন ডলার	$ billion
ernest	আর্নেস্ট	(proper noun) ernest
eros	গ্রীক প্রেমদেবতা	eros, greek god of love
erwin	এরউইন	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	অপরিহার্য	essential
ethernet	ইথারনেট	ethernet
ethiopia	ইথিওপিয়া	(proper noun) ethiopia
euclid	ইউক্লিড্	euclid
eugene	ইউজিন	eugene
eugène	ইউজিন	(proper noun) eugène
euler	ইউলার	euler
euro	ইউরো	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	ইউরোপ	europe
european	ইউরোপীয়	(proper adjective) european
eva	ইভা	eva
everton	এভারটন	everton
every	প্রতি	every
exgay	exgay	exgay
explorer	অনুসন্ধানকারী	explorer
extensive	ব্যাপক	extensive
fabio	fabio	(proper noun) fabio
facebook	ফেসবুক	(proper noun) facebook
fact	সত্য	fact
facto	ফ্যাক্টো	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	এফএও	fao
farrell	farrell	farrell
faso	ফাসো	faso
fbi	এফবিআই	fbi
fca	এফসিএ	fca
fdi	এফডিআই	fdi
features	বৈশিষ্ট্য	features
federer	ফেদেরার	federer
feet	পা দুটো	feet
felipe	felipe	felipe
felis	ফুটবল	(proper noun) felis
felix	ফেলিক্স	(proper noun) felix, as in felix klein
ferb	স্টার	ferb
ferdinand	ফার্ডিনান্ড	ferdinand
ferguson	ফার্গুসন	ferguson
fernando	ফার্নান্দো	fernando
ferrari	ফেরারী	ferrari
fiat	ক্ষমতাপ্রদান	fiat
fidel	ফিদেল	fidel
field	ক্ষেত্র	field
fifa	ফিফা	fifa
fifpro	ফিফপ্রো	fifpro
figo	figo	figo
fiji	ফিজি	fiji
finish	শেষ	finish
firefox	ফায়ারফক্স	(proper noun) mozilla firefox
fischer	fischer	fischer, as in louis fischer
fish	মাছ	fish
fishbed	fishbed	fishbed
fitzgerald	ফিট্জগেরাল্ড	(proper noun) fitzgerald
flanker	সৈন্যবাহিনীর পার্শ্বদেশ সুরক্ষিত রাখার উদ্দেশ্যে নির্মিত অস্থায়ী শিবির	flanker
fleming	ফ্ল্যান্ডার্স-বাসী	fleming
flight	ফ্লাইট	flight
foch	foch	(proper noun) foch
focus	কেন্দ্রবিন্দু	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	ফকার	fokker
food	খাদ্য	food
football	ফুটবল	bong da
forbes	ফোর্বস	(proper noun) forbes, as in the magazine
ford	হাঁটুজল	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	কাটাচামচ	forks
foundation	ভিত্তি	foundation
fox	শিয়াল	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	ফ্রাংক	franc
france	ফ্রান্স	france
frances	ফ্রান্সেস	frances
francis	ফ্রান্সিস	francis, as in francis xavier
francisco	ফ্রান্সিসকো	francisco
franco	ফ্রাঙ্কো	franco
frank	অকপট	frank
frankfurt	ফ্রাংকফুর্ট	(proper noun) frankfurt
franklin	ফ্র্যাংকলিন	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	ফ্রয়েড	(proper noun) freud, as in sigmund freud
friedman	ফ্রিডম্যান	friedman
fu	ফু	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	funimation	(proper noun) funimation
funk	এড়ানো	funk
futsal	ফুটসাল	futsal
fx	fx	fx
ga	ga	station
gabon	গাবোনবাদ্যযন্ত্র	gabon
gabriel	গ্যাব্রিয়েল	gabriel
gabriella	গ্যাব্রিয়েলা	gabriella
gagarin	গ্যাগারিন	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	গ্যালিলি	galilei
galileo	গ্যালিলিও	galileo, the astronomer
gam	গ্রাম	gam
gambia	গাম্বিয়াদেশ	gambia
gamow	gamow	a name
gan	যকৃৎ	liver
gandhi	গান্ধী	gandhi, as in mahatma gandhi
gang	দল	cast iron
ganh	ঈর্ষান্বিত	to be jealous
gao	ধান	strictly
gareth	গ্যারেথ	a name
garrett	garrett	garrett
gary	গ্যারি	gary
gascon	গাসকোন	(proper noun) gascon, a dialect of france
gatt	গ্যাট	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	গে	tense
gaza	গাজা	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	জিডিপি	gdp
geisha	জাপানীবাইজি	geisha
gen	জিন	gene
gene	জিন	(proper noun) gene, an english first name
genesis	জনন	(proper noun) genesis
georg	গেয়র্গ	(proper noun) georg
george	জর্জ	george
georges	জর্জ	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	জার্মান	german
germany	জার্মানি	germany
gerrard	জেরার্ড	gerrard, a last name
ghana	ঘানা	(proper noun) the african country of ghana
ghe	নৌকা	canoe
ghen	ঈর্ষান্বিত	to be jealous (v.)
ghi	লেখা	write
ghim	পিন	pin
ghé	স্টপ	visit
ghép	ঘুস	fit
ghê	ভয়	disgust
ghì	ghi	tighten
ghẻ	পাঁচড়া	scabies (n.)
ghế	চেয়ার	chair
ghề	নদীপ্রপাত	scabby
ghềnh	নদীপ্রপাত	waterfall (n.)
gia	gia	date
giai	পর্যায়	period
giam	কারাগার	imprison
gian	স্থান	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	জিব্রালটার	(proper noun) gibraltar
gichin	gichin	gichin
gieo	বুনা	sow
gifu	গিফু	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	giới	world
giuliani	giuliani	giuliani
giun	ক্রিমি	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	গিজা	giza
già	পুরাতন	old (adj.)
giàn	আঁটি	"(term should be ""giàn hoa"") a trellis girder"
giành	সাগ্রহে	secure
giàu	সমৃদ্ধ	rich or wealthy (adj.)
giày	জুতা	a shoe
giá	মূল্য	estimate
giám	পরিচালক	"(term should be ""giám sát"") to supervise (v.)"
gián	তেলাপোকা	"(term should be ""gián tiếp"") indirectly"
giây	সেকেন্ড	seconds
giã	নিষ্পেষণ	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	প্রসারণ	stretch
gièm	নিন্দুক	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giọng	january
giêsu	যীশু	jesus
giêxu	বন্ধন	jesus
giò	বসন্ত রোলস	leg
giòi	পোকাগুলো	maggot (n.)
giòn	কড়্কড়়্ শব্দকারী	crunchy or crispy (adj.)
gió	বায়ু	wind
gióng	মত	align
giúp	সাহায্যের	help
giũa	ফাইল	sharpen
giơ	জ্যাম আপ	raise
giương	সমুজ্জ্বল	posture
giường	বিছানা	bed
giả	নকল	fake (adj.)
giải	সমাধান	solution
giảm	হ্রাস	decrease
giản	সরলীকৃত	"(term should be ""giản dị"") simple (adj.)"
giấc	ঘুম	giấc ngủ= the sleep
giấm	ভিনেগার	drabble
giấu	আড়াল	hide
giấy	কাগজ	paper
giầu	সমৃদ্ধ	rich
giận	ক্রুদ্ধ	angry
giằng	সম্বন্ধ	pull
giặc	শত্রু	enemy
giặt	ধোয়া	to wash (n.)
giếng	আমরা হব	well
giết	হত্যা	kill
giềng	প্রতিবেশী	"(term should be ""láng giềng"") neighboring"
giễu	উপহাস	ridicule
giọng	স্বন	tone
giọt	ঝরা	drop
giỏ	ঝুড়ি	basket
giỏi	মহান	good
giồng	giọng	mound
giỗ	মৃত্যু বার্ষিকী	anniversaries of deaths
giới	লিঙ্গ	gender
giờ	ঘন্টার	bao giờ=ever
giở	ফ্ল্যাশ	to open or unfold (v.)
giỡn	joking	joke
giục	আহ্বান জানান	urge
giữ	রাখা	hold
giữa	মধ্যে	between
gladys	gladys	gladys
glazer	গ্লেজার	glazer
glonass	glonass	glonass
gloria	gloria	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	গ্লুকোজ	glucose
gmail	জিমেইল	gmail
gnp	gnp	gnp
go	যাওয়া	"(term should be ""gay go"") tense"
goes	যায়	goes
goku	goku	goku
golden	সোনালী	golden
gom	সংগ্রহ	to gather (v.)
google	গুগল	google
gorbachev	গর্বাচেভ	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	গর্ডন	gordon, as in gordon brown
gore	জমাট বাঁধা রক্ত	gore
gorky	গোর্কি	gorky, as in gorky park
gothic	গোথিক	gothic
gottfried	গটফ্রিড	gottfried
grabeel	grabeel	grabeel, a last name
graham	গ্রাহাম	graham
granada	গ্রানাডা	granada
granit	গ্র্যানিত্শিলা	granite
greek	গ্রিক	(proper noun) greek
greenland	গ্রীনল্যাণ্ড	greenland
greenson	greenson	(proper noun) greenson
greenwich	গ্রীনিচ	(proper noun) greenwich
greg	গ্রেগ	greg
grenada	গ্রেনাডা	grenada
grenadines	গ্রেনাডাইনস	grenadines
gross	স্থূল	gross
grumman	grumman	(proper noun) grumman
gruzia	জর্জিয়া	gruzia
gryffindor	গ্রিফিনডর	gryffindor
gs	জিএস	prof.
gsts	gsts	professor- phd
gu	শৈলী	gu
guam	গুয়াম	guam
guard	পাহারা	guard
guatemala	গুয়াটেমালা	guatemala
gui	gui	gui
guinea	গিনি	guinea
guinness	গিনেস	(proper noun) guinness
guitar	গিটার	guitar
gujarat	গুজরাট	gujarat
gulag	গুলাগ্	gulag
gulf	উপসাগর	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	গুস্তাভ	gustave
gutenberg	গুটেনবার্গ	gutenberg
guyana	গায়ানা	guyana; proper noun
gà	মুরগির মাংস	chicken
gài	তাপ্পি	to fasten (v.)
gào	চিৎকার	"(term should be ""thét gào"") to cry out (v.)"
gác	পাহারা	guard
gái	মেয়ে	girl
gán	বরাদ্দ	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	বহন	hold
gáy	ঘাড়	crow
gân	ঘনিষ্ঠ	tendon
gây	কারণ	make
gãy	ভাঙ্গা	break
gì	কি	what
gìn	বাঁচাইয়া রাখা	preserve
gò	পাহাড়	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn থেকে	gon
góa	বিধবা	widowed
góc	কোণ	angle
gói	প্যাকেজ	goi
góp	কিস্তি	to contribute
gót	গোড়ালি	heels
gõ	আদর্শ	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	ভাণ্ডার	poniard
găng	গ্লাভস	gloves
gũi	ঘনিষ্ঠ	close
gươm	তরবারি	sword
gương	আয়না	mirror
gạc	গজ	johnson south reef
gạo	ধান	rice
gạt	ছিঁড়ে ফেলা	to cheat or trick (v.)
gả	বিবাহ	marry
gảy	বিরতি	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	জরি	brocade
gấp	ত্বরা	times, as in many times
gấu	ভাল্লুকটি	a bear (n.)
gần	নিকটে	near
gầy	পাতলা	thin
gẫy	ভাঙ্গা	break
gập	ভাঁজ	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	লাঠি	stick
gắm	বাতকর্ম	send
gắn	মাউন্ট	mount
gắng	চেষ্টা	try
gắt	ধমকে	intense
gặm	জ্বালাতন করা	rodent
gặp	সম্মেলন	meet
gặt	ফসল কাটা	harvest
gỉ	বিবর্ণ	rust
gọi	কল	call
gọn	ঝরঝরে	neat (adj.)
gọng	ঘেরছাড়া	gong
gọt	খোসা	cut
gỏi	সালাদ	a vietnamese salad
gốc	উত্স	origin (n.)
gối	বালিশ	"(should be ""qùy gối"") to kneel"
gốm	সিরামিক	pottery
gồm	সহ	include
gồng	ঘণ্টা	carry
gỗ	কাঠ	wood
gội	শ্যাম্পু	shampoo
gộp	একত্রিত করা	aggregate
gớm	অসহ্য	tremendous
gờ	স্তর	edge
gởi	পাঠান	send
gỡ	আন	meet
gợi	ইঙ্গিতপূর্ণ	to evoke (v.)
gục	নিচে	"(term should be ""đánh gục"") crush, as in battle"
gừng	আদা	ginger
gửi	পাঠাতে	send
ha	হেক্টর	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	দুই	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	হ্যালোজেন	halogen (n.)
ham	হ্যাম	desire
hamilton	হ্যামিলটন	(proper noun) hamilton
han	হ্যান	han
hang	গুহা	cave
hangul	হাঙ্গুল	hangul
hanh	hanh	hanh
hanja	হাঞ্জা	(proper noun) hanja, a type of chinese script
hansen	হ্যানসেন	hasnen
hao	হাও	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	হারাল্ড	harald
hardy	কষ্টসহিষ্ণু	hardy
harlem	হারলেম	harlem
harlow	হার্লো	harlow
harold	হ্যারল্ড	(proper noun) harold
harper	বীণাবাদক	harper
harpercollins	হার্পার	hapercollins
harrier	ক্ষুদ্র কুকুরবিশেষ	harrier, as in harrier jump jet
harris	হ্যারিস	harris
harry	লুণ্ঠন করা	harry
harvard	হার্ভার্ড	(proper noun) harvard, the name of a college
harvey	হার্ভি	harvey
havana	উত্কৃষ্ট চুরূ-বিশেষ	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	ফেরিত্তয়ালা	hawker
hawking	হকিং	(proper noun) hawking, as in physicist stephen hawking
hay	ভাল	or
hb	হাফ বোর্ড	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	এইচডি hd	activity
he	তিনি	he, a korean name
health	স্বাস্থ্য	health
heath	ঊষর প্রান্তর	heath
hee	হি	hee
hegel	হেগেল	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	হাইনরিখ	heinrich
helen	হেলেন	helen
helena	হেলেনা	helena
heli	হীলিয়াম্	helium
hematocrit	হেমাটোক্রিট	hematocrit
hemoglobin	লাল শোণিতকণার রঁজক উপাদান	hemoglobin
hen	মুরগি	asthma
henry	হেনরি	(proper noun) henry, as in henry kissinger
heo	মামুলি	dolphin
her	তার	her
herbert	হার্বার্ট	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	হারকিউলিস	hercules
hermann	হারম্যান	hermann
hermes	হার্মিসের	hermes
hersh	hersh	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	hestia	hestia
hi	ওহে	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	hicks	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoshi	(proper noun) hideyoshi
hidro	উদ্জান	hydrogen
hillsborough	হিলসবোরো	hillsborough
hilton	hilton	hilton
himalaya	হিমালয়	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	হিন্ডেনবার্গ	(proper noun) hindenburg
hindi	hindi	hindi
hindu	হিন্দু	hindu, as in the hindu religion
hinh	hình	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	হিরাগানা	hiragana
hiroshi	হিরোশি	hiroshi
hiroshima	হিরোশিমা	(proper noun) hiroshima, the japanese city
hitchcock	হিচককের	hitchcock
hitler	হিটলার	hitler
hitter	হিটার	hitter
hitters	হিটাররা	hitters
hiên	বারান্দা	(proper noun) hiên, a vietnamese first name
hiđrô	উদ্জান	hydrogen
hiếm	বিরল	rare
hiến	দিতে	devote
hiếp	ধর্ষণ	rape
hiếu	ধর্মান্ধতা	pious
hiềm	অসুস্থ	grudge
hiền	ঋষি	sage
hiểm	বিপজ্জনক	dangerous
hiểu	বোঝা	learn
hiện	আপ প্রদর্শন	"(term should be ""thực hiện"") to accomplish"
hiệp	অর্ধেক	united
hiệu	প্রভাব	effective
hlv	কোচ	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	ফুল	flower
hoan	উৎসব	welcome
hogwarts	হগওয়ার্টস	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	হোমস	a name
holocaust	ব্যাপক হত্যাকাণ্ড	holocause
holocen	হলোসিন	holocen
holt	জঙ্গলাকীর্ণ পাহাড়	holt, an english last name
hom	সংবাদপত্রের কাটা টুকরা	a cutting
homer	হোমার	(proper noun) homer, the authorof the iliad and the odyssey
hon	মাননীয়	"(term should be ""hòn"") rock (n.)"
honduras	হন্ডুরাস	honduras
hong	হংকং	hong
honolulu	হনলুলু	honolulu
honshū	honshū	honshu
hopkins	হপকিন্স	(proper noun) hopkins
hornet	ভ্রমর	hornet
hotspur	হঠকারী ব্যক্তি	(proper noun) hotspur, as in tottenham hotspur
houston	হিউস্টন	(proper noun) houston, as in whitney houston
howard	হাওয়ার্ড	(proper noun) howard
however	যাহোক	however
hoà	টাই	peace
hoài	স্বদেশে ফেরার আকুলতাসংক্রাঁত	always (adv.)
hoàn	সম্পূর্ণ	"(term should be ""hoàn toàn"") completely"
hoàng	রাজা	royal (adj.)
hoành	মধ্যচ্ছদা	rife
hoá	রসায়ন	"(term should be ""văn hoá"") culture (n.)"
hoán	স্থায়ী ঢেউ তোলা	refined (adj.)
hoãn	তারা খায়	delay
hoạ	রং	disaster (tham hoa)
hoại	পচন	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	কার্টুন	work
hoả	আগুন	of
hoảng	আতঙ্ক	panic-stricken (adj.)
hoặc	অথবা	or
hp	এইচপি	hp
hq	হিসাব করা যায়	hq
hudgens	hudgens	(proper noun) hudgens
hudson	হাডসন	hudson
huey	huey	huey
hughes	হিউজেস	hughes
hugo	হুগো	(proper noun) hugo
hume	hume	hume, as in david hume
hun	হুন	(proper noun) hun
hungary	হাঙ্গেরি	hungary
hunt	খোজা	hunt
hurley	হারলি	(proper noun) hurley, as in chad hurley
hussein	হুসাইন	hussein
husserl	হুসার্ল	huserl
huston	হিউস্টনের	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	ভাই	older brother
huyền	রহস্যময়	huyền thoại= legend
huyễn	মায়াময়	huyen
huyện	জেলা	district
huyệt	আকুপাংচার পয়েন্ট	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	রঙ	"a less common vietnamese word for ""flower"""
huấn	প্রশিক্ষণ	"(term should be ""huận luyện"") to train (v.)"
huế	রঙ	hue
huệ	রঙ	favour
huống	কেস	situation
huỳnh	গন্ধক	sulfur
huỷ	বাতিল	destroy
hydra	hydra	hydra, a monster in greek mythology
hydro	উদ্জান	hydrogen
hyperion	hyperion	hyperion
hà	হেক্টর	"(term should be ""hà nội"") the capital of vietnam"
hài	কমেডি	corpse
hàm	চোয়াল	"(term should be ""bao hàm"") to imply (v.)"
hàng	সারি	row
hào	পরিখা	depreciation
hách	উদ্ধত	glorious
hái	বাছাই	picking
hán	খরা	china
háo	আগ্রহী	eager
hát	sing	song
hâm	পাগল	"(term should be ""hâm mộ"") to admire (v.)"
hân	হ্যান	le ngoc han
hãi	ভীত	to be scared (v.)
hãn	খান	to sweat (v.)
hãng	দৃঢ়	a company (n.)
hãnh	গর্বিত	proud
hè	গ্রীষ্ম	summer
hé	কর্কশ	reveal
héo	কটান	dried-out
hét	চিত্কার	shout
hên	ভাগ্যবান	luck
hí	ne	game
hít	শ্বাস ফেলা	act of kissing (hon hit)
hò	ডেটিং	date
hòa	টাই	republic
hòe	বিষ্ঠা	hoe
hòm	সিন্দুক	box
hòn	দ্বীপ	island
hòng	আমরা হব	in order to
hóc	হক	a corner (n.)
hót	sing	to chirp or sing (v.)
hô	ইছ	respiration
hôi	নোংরা	stink
hôm	দিন	day (n.)
hôn	চুম্বন	propose
hông	নিতম্ব	hip
hù	ভীতি	threaten
hùng	হিরো	hero
húc	জমাট বাঁধা রক্ত	huc
húng	অনুপ্রেরণা	"(should be ""húng láng"") water mint"
hút	ধূমপান	to suck (v.)
hăng	কটুগন্ধ	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	বয়াম	jar
hơi	একটু খানি	slightly
hơn	চেয়ে	more or less
hư	খারাপ	fictional
hưu	অবসরপ্রাপ্ত	huu
hương	ধূপ	smell
hước	রসাত্মক	humor
hướng	অভিমুখ	trend
hường	huong	huong
hưởng	উপভোগ	influence
hạ	গ্রীষ্ম	lower
hạc	flamingoes	crane
hạch	আব	ganglion
hại	ক্ষতি	harm
hạng	শ্রেণী	rank
hạnh	নাট হান	happy
hạo	হাও	hao
hạp	দৈব	hap
hạt	বীজ	seed
hải	কাস্টমস	two
hảo	নির্ভুল	perfect
hấn	হ্যান	aggressive gesture
hất	ছোড়া	toss
hấu	তরমুজ	"(term should be ""dưa hấu"") watermelon"
hầm	সুড়ঙ্গ	ham
hầu	প্রায়	most
hận	ঘৃণা	hatred
hậu	রাণী	anus
hắc	কালো	black
hắn	তাকে	he (n.)
hắt	হাঁচি	reject
hằng	ধ্রুব	every
hặc	hạc	to criticize (v.)
hẹ	shallots	chinese chives
hẹp	সংকীর্ণ	narrow
hẻm	সরু গলি	alley (n.)
hẻo	এখানে বসল	outback
hến	ঝিনুক	mussel
hết	উপর	most
hề	চাষা	"(term should be ""không hề"") never"
hễ	অঁ্যা	whenever
hệ	পদ্ধতি	relation
hệt	অভিন্ন	exactly
hỉ	ঘা	happy
hịch	ধড়াস্	a proclamation
họ	পদবি	they (n.)
họa	শিল্প	picture
họach	পরিকল্পনা	"(term should be ""quy hoạch"") a project (n.)"
học	শেখা	study (v.)
họng	গলা	throat
họp	সভায়	meet
hỏa	আগুন	fire
hỏng	ভাঙ্গা	corruption
hố	কূপ	hole
hốc	কুলুঙ্গি	cavity
hồ	হ্রদ	ho
hồi	মৌরি	muslim
hồn	আত্মা	soul
hổ	বাঘ	tiger
hổi	হাহ	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	জৃম্ভমান	hole
hỗ	সমর্থন	"(should be ""hỗ trợ"") to support or assist"
hỗn	মিশ্র	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	উৎসব	society
hộp	বক্স	box
hới	খোলা	hoi
hớn	চিৎকার	"(term should be ""hớn hở"") radiant (adj.)"
hờn	গোমড়া-মুখো	hatred
hở	খোলা	reveal
hỡi	oi থেকে	dear
hợi	শূকর	pig (n.)
hợp	উপযুক্ত	appropriate
hợpquận	সম্মতি	general district
hụt	ঘাটতি	loss
hủi	কুষ্ঠী	reject
hủy	বাতিল	to erase or destroy
hứa	প্রতিশ্রুতি	promise
hử	হাহ	hu
hửu	হাহ	"(term should be ""sở hửu"") to own (v.)"
hữu	সম্পত্তি	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu থেকে	again
hỷ	hy	hy
ian	ইয়ান	ian, as in australian swimmer ian thorpe
iau	iau	iau
iberia	iberia	iberia
ibm	ibm	(proper noun) ibm, the computer company
ibmpc	ibmpc	ibm-pc
ic	আইসি	ic
icc	আইসিসি	icc
iceland	আইস্ল্যাণ্ড	(proper noun) the country of iceland
ide	ide	ide
ieng	ieng	(proper noun) ieng
igor	igor	igor
iii	গ	third
ilene	ilene	ilence
illusion	বিভ্রম	illusion
ilyich	ilyich	ilyich
im	তোমার দর্শন লগ করা	still
imam	এমাম	(proper noun) imam
imbrium	imbrium	imbriun
immanuel	ইমানুয়েল	(proper noun) immanuel, as in immanuel kant
impact	প্রভাব	impact
incoterm	incoterm	incoterm
incoterms	incoterms	(proper noun) incoterms
indian	ভারতীয়	indian
indiana	ইন্ডিয়ানা	indiana
indochina	ইন্দোচীন	indochina
indonesia	ইন্দোনেশিয়া	indonesia
indrapura	indrapura	(proper noun) indrapura
info	তথ্য	info
innsbruck	ইন্সব্রুক	innsbruck
insulin	ইন্সুলিন	insulin
int	int- এ	int
intel	ইন্টেল	(proper noun) intel, as in the name of the company
interpol	ইন্টারপোল	interpol
inu	ইনু	(proper noun) inu
inuyasha	কেননা	inuyasha
inư	ইনু	(proper noun) inư
io	io	io
ioc	আইওসি	ioc
ion	স্থূলাণু	ion
iosif	iosif	(proper noun) iosif, as in iosif vissarionovich stalin
iran	ইরান	the nation of iran
iraq	ইরাক	iraq
ireland	আয়ারল্যাণ্ড	ireland
irgun	irgun	irgun
irony	বিদ্রূপ	irony
irving	irving	(proper noun) irving
isaac	ইসহাক	isaac
isla	ইসলা	isla
islam	ইসলাম	islam
islamabad	ইসলামাবাদ	(proper noun) islamabad
israeli	ইসরাইলি	israeli
istanbul	ইস্তাম্বুল	istabbul
italia	ইতালিয়া	italy
italiano	italiano	(proper noun) italiano
itanium	itanium	itanium, as in windows xp itanium
ito	ito	ito
itsukushima	itsukushima	itsukushima
itu	itu	itu
itzá	ইত্জা	(proper noun) itzá
iv	ঈ	4 ( greek number)
iwami	iwami	iwami
j	ঞ	j
jack	নাবিক	jack
jackie	জ্যাকি	(proper noun) jackie chan
jackson	জ্যাকসন	(proper noun) jackson, as in michael jackson
jacob	জ্যাকব	jacob
jae	jae	jae
jakarta	জাকার্তা	(proper noun) jakarta
jan	জানুয়ারী	(proper noun) jan
janeiro	জেনিরো	janeiro
janet	জ্যানেট	janet
japan	জাপান	japan
jared	jared	jared
jarvis	জার্ভিস	(proper noun) jarvis, as in jarvis cocker
jasper	জ্যাসপার	(proper noun) jasper
jean	জিন	jean
jeane	jeane	jeane
jeanjacques	jeanjacques	jean-jacques
jeanpaul	জিন পল	jeanpaul
jeans	জিন্স	jeans
jeet	jeet	(proper noun) jeet, as in jeet kune do
jeff	জেফ	jeff, as in jeff drake
jefferson	জেফারসন	jefferson
jeffrey	জেফ্রি	jeffrey
jeju	জেজু	jeju
jenda	jenda	jenda
jenny	চরকি	jenny
jericho	জেরিকো	jericho, as in wrestler chris jericho
jerome	জেরোম	jerome, as in fred jerome
jerry	জার্মান	(proper noun) jerry
jersey	জার্সি	jersey
jerusalem	জেরুসালেম	jerusalem
jesse	জেসি	a name
jesus	যীশু	chua jesus
jetstar	jetstar	jetstar
jewish	ইহুদি	jewish
jiao	jiao	jiao
jimmy	জিমি	jimmy
jin	জীন	jin
jing	জিং	jing
jiraiya	jiraiya	(proper noun) jiraiya
joachim	জোয়াকিম	joachin
joan	জোয়ান	a name
joe	জো	(proper noun) joe
johan	জোহান	johan
johann	জোহান	johann
johannes	জোহানেস	johannes
johannesburg	জোহানেসবার্গ	(proper noun) johannesburg, south africa
johnny	জনি	johnny
johns	জনস	johns
johnston	জনস্টন	johnston, as in harry johnston
johor	জোহর	johor
joint	যৌথ	joint
jonathan	জনাথন	(proper noun) jonathan
jones	জোনস	jones
jose	jose	(proper noun) jose, a spanish first name
joseon	joseon	(proper noun) joseon
joseph	জোসেফ	joseph
jscript	jscript	(proper noun) jscript
juche	juche	(proper noun) juche
judith	জুডিথ	judith
judo	জুডো	judo, the martial art
julesverne	জুল ভার্ন	jules verne
julliard	julliard	(proper noun) julliard
jump	লাফ	jump
june	জুন	june, as in the month
jung	জং	jung
junsu	junsu	junsu
jupiter	বৃহস্পতিগ্রহ	(proper noun) jupiter, as in the planet
jura	jura	(proper noun) jura
juventus	জুভেন্টাস	juventus
k	ট	k
kaede	kaede	a japanese name
kaffee	kaffee	(proper noun) kaffee, as in kaffee hag
kagome	আজ	kagome, as in higurashi kagome
kahn	কানের	kahn
kai	কৈ	kai
kakashi	kakashi	kakashi
kaká	কাকা	(proper noun) kaka, a brazilian soccer player
kalashnikov	kalashnikov	(proper noun) kalashnikov
kali	পটাসিয়াম	potassium
kama	কামদেব	(proper noun) kama, as in the kama sutra
kamakura	কামাকুরায়ে	kamakura
kamov	kamov	kamov
kampf	দ্বন্দ্ব	kampf
kampong	kampong	kampong
kampuchea	kampuchea	cambodian
kana	কানা	kana, the japanese phonetic alphabet
kangin	kangin	(proper noun) kangin
kanji	কাঞ্জি	kanji
