$	ps	dollar
గ్రామము	pueblo	vilage
గ్రామానికి	pueblo	to the village
గ్రామాల	pueblos	villages
గ్రామాలను	pueblos	villages
గ్రామాలలో	pueblos	in the villages
గ్రామాలు	pueblos	villages
గ్రామీణ	rural	grameena
గ్రీకు	griego	greek
గ్రీకులు	griegos	greeks
గ్రీక్	griego	greek
గ్రీన్	verde	green
గ్రీసు	grecia	green
గ్రీస్	grecia	greece
గ్రూపు	grupo	group
గ్రూప్	grupo	group
గ్రేట్	excelente	great
గ్రౌండ్	suelo	ground
గ్లాసు	vaso	glass
గ్లూకోజు	glucosa	glucose
గ్లోబల్	global	global
ఘంటసాల	ghantasala	gantasala name
ఘజనీ	ghajani	ghajani
ఘటన	evento	incident
ఘటనలు	eventos	incidents
ఘట్టం	evento	section
ఘట్టాలు	eventos	incidents
ఘన	sólido	solid
ఘనంగా	ricamente	gloriously
ఘనత	crédito	greatness
ఘనపరిమాణము	volumen	volume
ఘనమైన	estimable	large
ఘర్షణ	fricción	quarell
ఘర్షణలు	conflictos	clashes
ఘాట్	tiene	raj ghar in delhi
ఘోర	excelente	dangerous
చ	desafío	cha
చందమామ	la luna	moon
చందమామను	luna	moon
చందమామలో	la luna	in the moon
చంద్ర	chandra	chandra
చంద్రకళ	chandra	chandrakala
చంద్రగిరి	chandragiri	chandragiri
చంద్రబాబు	naidu	chandra babu
చంద్రవంక	creciente	chandravanka
చంద్రశేఖర్	chandrasekhar	chandrasekhar
చంద్రుడి	la luna	moon
చంద్రుడు	luna	moon
చంద్రుని	luna	moon's
చంపడం	asesinato	killing
చంపి	asesinato	after killing
చంపిన	asesinato	killed
చక్కగా	bien	nicely
చక్కటి	bueno	nice
చక్కని	bueno	clear
చక్కెర	azúcar	suger
చక్ర	rueda	wheel
చక్రం	rueda	wheel
చక్రపాణి	el más joven	chakrapani
చక్రము	girar	wheel
చక్రవర్తి	emperador	emperor
చక్రవర్తుల	emperadores	kings
చక్రాన్ని	ciclo	lifetime
చట్ట	legal	law
చట్టం	actuar	law
చట్టపరంగా	legalmente	legal
చట్టపరమైన	legal	lawly
చట్టానికి	la ley	law
చట్టాన్ని	la ley	law
చట్టాల	hechos	law
చట్టాలను	leyes	laws
చట్టాలు	hechos	rules
చతురస్రం	cuadrado	square
చతుర్భుజి	cuadrilátero	square
చత్తీస్	chhattisgarh	chathis
చదరంగ	ajedrez	chess
చదరంగం	ajedrez	chess
చదరపు	cuadrado	square
చదవడం	leer	read
చదవడానికి	leer	to read
చదివాడు	leer	studied
చదివి	leer	read
చదివిన	leer	read
చదివే	leyendo	study
చదునుగా	plano	flat
చదువు	leer	education
చదువుకున్న	educado	educated (ladies)
చనిపోయారు	murió	chanipoyaru
చనిపోయిన	muerto	died
చనుబాలు	lactancia	mother's milk
చప్పుడు	chapoteo	sound
చమురు	petróleo	oil
చరిత్ర	historia	history
చరిత్రకారుడు	historiador	historical person
చరిత్రకారుల	historiadores	historiens
చరిత్రకారులు	historiadores	historians
చరిత్రకు	historia	for the history
చరిత్రను	historia	history
చరిత్రలు	historias	histories
చరిత్రలో	historia	in history
చరిత్రలోని	historia	in the history
చరిత్రలోనే	historia	in the history
చరియలు	pendientes	steps
చర్చ	discusión	discussion
చర్చలకు	negociaciones	meetings
చర్చలు	discusiones	churches
చర్చి	iglesia	church
చర్మ	piel	skin
చర్మం	piel	skin
చర్మము	pelar	skin
చర్య	la acción	steps
చర్యకు	acción	action
చర్యల	comportamiento	affect
చర్యలకు	comportamiento	action
చర్యలను	comportamiento	acts
చర్యలు	comportamiento	works
చలం	hombres	chalam
చలన	movimiento	motion
చలనం	movimiento	motion
చలనచిత్ర	película	motion picture
చలి	cabezas	winter
చల్లగా	frío	cold
చల్లని	frio	cool
చవితి	chaturthi	chavithi
చాక్	tiza	chalk
చాణక్య	chanakya	chanakya
చాద్	chad	chad
చాప్లిన్	chaplin	chaplin
చారల	a rayas	stripes
చారిత్రక	histórico	historic
చారిత్రకంగా	históricamente	historically
చారిత్రాత్మక	histórico	historical
చారిత్రాత్మకంగా	históricamente	historically
చారిత్రికంగా	históricamente	historically
చార్లెస్	charles	charles
చాల	muchos	huge, most
చాలా	más	many
చాలాకాలం	por mucho tiempo	long time
చాలామంది	muchos	more people
చాలావరకు	la mayoría de	most
చాలు	poner	enough
చాళుక్య	chalukya	chalukya
చాళుక్యుల	chalukyas	chalukya
చాళుక్యులు	chalukyas	chalukyas
చింత	preocupaciones	sorrow
చింతపల్లి	chintapalli	chinthapalli
చింతలపూడి	chintalapudi	chinthalapudi
చింతామణి	chintamani	chintamani
చికాగో	chicago	chicago
చికాగోలో	chicago	in chicago
చికిత్స	tratamiento	treatment
చికిత్సా	terapéutico	treatment
చిక్కు	laberinto	puzzle
చిట్టా	iniciar sesión	list
చిట్టెలుక	hámster	rat
చిత్త	estado animico	chitta
చిత్తూరు	chittoor	chittur
చిత్ర	chitra	film
చిత్రం	imagen	image
చిత్రంగా	película	as a film
చిత్రంతో	imagen	with this film
చిత్రంలో	imagen	in picture
చిత్రకళ	ilustraciones	art of painting
చిత్రకారుడు	pintor	painter
చిత్రకారులు	pintores	chitrakaarulu
చిత్రణ	imágenes	chitrana
చిత్రపటం	mapa	picture
చిత్రమాలిక	galería de fotos	pictures
చిత్రము	foto	film
చిత్రమూలము	citramulamu	picture
చిత్రమైన	película	strange
చిత్రా	chitra	chitra
చిత్రానికి	imagen	movie
చిత్రాన్ని	imagen	the film
చిత్రాల	imágenes	of cinemas
చిత్రాలకు	película (s	movies
చిత్రాలని	imagen	images
చిత్రాలను	imágenes	movies
చిత్రాలలో	imágenes	in filims
చిత్రాలు	imágenes	films
చిత్రాల్లో	película (s	in films
చిత్రించిన	pintado	picturised
చిత్రీకరణ	disparo	picturize
చిన్న	pequeña	small
చిన్నచిన్న	pequeña	small
చిన్నది	pequeña	small
చిన్నదిగా	acortar	small
చిన్నవి	pequeña	small
చిన్నవిగా	pequeña	smaller
చిరంజీవి	chiranjeevi	chiranjeevi
చిరు	pequeña	small
చిరునామా	habla a	address
చిరునామాలు	direcciones	address
చిలుక	loro	parrot
చివర	final	last
చివరకు	finalmente	at last
చివరగా	finalmente	in the end
చివరలో	al final de	at last
చివరి	último	last
చివరికి	finalmente	in the end
చివరిగా	finalmente	finally
చివరిలో	al final de	in the end
చిహ్నం	icono	mark
చిహ్నంగా	símbolo	symbol
చిహ్నాలు	íconos	symbols
చిహ్నాలుగా	los símbolos	signs
చీకటి	oscuro	dark
చీపురు	escoba	sweeper
చీమ	hormiga	ant
చీమలు	hormigas	ants
చీర	sari	saree
చీరాల	chirala	cheeralla
చీలిక	escote	divided
చీల్చి	división	tear
చుక్క	asterisco	dot
చుక్కలు	puntos	drops
చుట్టి	ratón	close
చుట్టు	disparo	neighboring
చుట్టుపక్కల	alrededor	surroundings
చుట్టుప్రక్కల	alrededor	in and around
చుట్టూ	alrededor	sorounding
చురుకుగా	activo	actively
చురుకైన	animado	active
చూచి	susie	to see
చూడండి	ver	see
చూడగానే	visión	soon after seeing
చూడటం	acecho	seeing
చూడటానికి	reloj	to view
చూడడం	acecho	seeing
చూడడానికి	ver	looks like
చూడదగిన	amistoso	to be seen
చూడలేదు	ver	did not see
చూడవచ్చు	puede ser encontrado	can be seen
చూడవచ్చును	cruzar	can see
చూడవలసిన	mira	must visit
చూడు	realimentación	see
చూడుము	ver	see
చూపడం	mostrar	to show
చూపారు	puntiagudo	shown
చూపి	mostrar	show
చూపించి	mostrar	showing
చూపించే	mostrar	show
చూపింది	mostró	shown
చూపిన	mostrado	shown
చూపిస్తుంది	muestra	it shows
చూపు	mostrar	sight
చూపుతారు	son	show
చూపే	muestra	see
చూసి	mira	watched
చూసింది	sierra	have seen
చూసిన	visto	viewed
చూసినా	condescendiente	seen
చూసే	ver	seeing
చూస్తారు	ver	seen
చూస్తుంది	ve	watching
చూస్తున్న	mirando	looking
చూస్తే	en el	to see
చెందడం	a	belong
చెందాడు	estaba	become
చెందాయి	son	become
చెంది	convirtiéndose	included
చెందింది	es	belongs to
చెందిన	los	belong
చెందినవారు	de	belongs to
చెందినవి	de	belong
చెందినా	de	related
చెందుతాయి	son	belong
చెందుతుంది	es	belongs
చెందుతున్న	creciente	developing
చెందే	ese	belongs
చెక్	checo	check
చెక్క	madera	wood
చెక్కిన	tallado	chipped
చెట్టు	árbol	tree
చెట్ల	arboles	trees
చెట్లను	arboles	trees
చెట్లు	arboles	trees
చెడు	malo	bad
చెడ్డ	malo	bad
చెత్త	lo peor	waste material
చెన్నారెడ్డి	chenna reddy	chenna reddy
చెన్నై	chennai	chennai
చెపుతారు	se dice que	they say
చెప్తారు	decir	tell
చెప్పగా	dijo	saying
చెప్పటం	narración	says
చెప్పడం	contar	saying
చెప్పడానికి	contar	without saying
చెప్పబడింది	se dice	been told
చెప్పబడిన	fijado	says
చెప్పబడినది	es decir	has been told
చెప్పబడుతుంది	culpa	will be explained
చెప్పబడే	conocido	used as
చెప్పబడ్డాయి	dicho	said
చెప్పలేదు	por no mencionar el	did not tell
చెప్పవచ్చు	es	can tell
చెప్పవచ్చును	euclides	can tell
చెప్పాడు	dijo	said
చెప్పారు	dice	said
చెప్పాలంటే	en	to say
చెప్పాలి	decir	says
చెప్పి	dijo	convince
చెప్పింది	dice	said
చెప్పిన	dice	told
చెప్పినట్లు	decir	as said
చెప్పినది	dicho	cheppindhi
చెప్పుకుంటారు	abundar	talk together
చెప్పుకోదగిన	notable	worthy to be spoken about
చెప్పుకోదగ్గ	femenino	worthy of saying
చెప్పుకోవచ్చు	es	can be said
చెప్పే	decir	saying
చెప్పేవాడు	va a	he use to tell
చెబుతారు	dijo	they say
చెబుతుంది	dice	will tell
చెబుతున్నాయి	precaución	say
చెమట	sudor	sweat
చెయ్యటం	a	doing
చెయ్యటానికి	a	to be done
చెయ్యడం	a	doing
చెయ్యవచ్చు	poder	you can make
చెయ్యవలసి	ser - estar	to do
చెయ్యాలని	a	to do
చెరకు	caña de azúcar	dugercane
చెరుకు	insertar	sugarcane
చెరువు	estanque	river
చెరువులు	estanques	ponds
చెఱువు	lago	pond
చెలరేగిన	como el	raised
చెల్లెలు	hermana	younger sister
చెవి	oído	ear
చెవుల	espigado	key bunch
చెవులు	orejas	ears
చే	por	by
చేత	por	by hand
చేతి	mano	hand
చేతితో	mano	with hand
చేతిలో	mano	in the hands of
చేతులను	manos	hands
చేతులు	manos	hands
చేనేత	costura	handloom
చేప	pez	fish
చేపట్టాడు	tomó	took part
చేపట్టి	tomar	building
చేపట్టింది	tomó	started
చేపట్టిన	ofrecido	takenup
చేపల	pez	fishes
చేపలు	pez	fishes
చేపాక్	chepauk	chepauk
చేయకుండా	de	dont say
చేయగల	ese	capable of doing
చేయటం	a	doing
చేయటంతో	siguiendo	by doing
చేయటానికి	a	to make
చేయడం	a	doing
చేయడంతో	cuando	did, so
చేయడంలో	a	do
చేయడానికి	a	do
చేయని	sin marca	not done
చేయబడతాయి	son	maintained
చేయబడి	es	completed
చేయబడింది	es	cheyabadindhi
చేయబడిన	los	done
చేయబడినది	es	are done
చేయబడినాయి	son	were made
చేయబడుతుంది	estarán	is being made.
చేయబడ్డాయి	son	are done
చేయమని	a	asking to do
చేయరాదు	no debería ser	can't be done
చేయలేదు	no	cfant do
చేయవచ్చు	poder	could be done
చేయవచ్చును	poder	can be
చేయాలని	para hacer el	do
చేయాలనే	a	doit
చేయాలి	debería	to be done
చేయి	vídeo	do
చేయించి	hecho	done
చేయిస్తారు	administrado	get done
చేయు	a	do
చేయుట	a	did
చేయుటకు	a	to do
చేర	unirse	chera
చేరడానికి	para unirse a la	to reach
చేరవచ్చు	puede ser alcanzado	may reach
చేరాడు	unido	joined
చేరారు	unido	reached
చేరి	involucrado	join
చేరింది	alcanzado	reached
చేరిన	unión	reached
చేరుకుంది	alcanzado	reached
చేరుకున్నాడు	alcanzado	reached
చేరుకొని	viniendo	after reaching
చేరుతుంది	alcanza	reached
చేరే	alcanzando	chere
చేర్చడం	incluso	attaching
చేర్చారు	incluido	joined
చేర్చి	incluso	add
చేర్పులు	adiciones	adjustments
చేశాడు	hizo	done
చేశాయి	tener	have done
చేశారు	tener	made
చేసాడు	hizo	has done
చేసాయి	tener	made
చేసారు	tiene	did
చేసి	y	did
చేసింది	tiene	did
చేసిన	oms	done
చేసినది	nominal	done
చేసినపుడు	cuando	after doing
చేసినప్పుడు	cuando	done
చేసినా	a pesar de que	made
చేసినాడు	hizo	integrate
చేసినారు	tienes	they did
చేసుకుంటాయి	son	doing
చేసుకుంటారు	es	will do
చేసుకుంది	cuando	has done
చేసుకుని	y	by making
చేసుకునే	a	doing
చేసుకున్న	los	did
చేసుకున్నాడు	casado	has done
చేసుకున్నాయి	son	have done
చేసుకున్నారు	estaba	are made
చేసుకొంటారు	ellos;	they do it
చేసుకొని	y	understand
చేసుకొనే	complementario	made
చేసుకొన్నాడు	hecho	done it
చేసుకొన్నాయి	tomó	took place.
చేసుకొన్నారు	tomó	done it
చేసుకోవచ్చు	poder	can do
చేసుకోవటం	a	chesukovatam
చేసుకోవటానికి	a	to do
చేసుకోవడం	a	doing
చేసుకోవడానికి	a	can be
చేసెను	el hizo	done
చేసే	ese	doing
చేసేందుకు	a	to
చేసేటప్పుడు	cuando	while doing
చేసేది	servicio	do
చేసేవాడు	haría	he do
చేసేవారు	oms	used to do
చేసేవి	creadores	deeds
చేస్తాడు	será	he will do
చేస్తాయి	hacer	will do
చేస్తారు	son	will do
చేస్తుంటారు	es	doing
చేస్తుందని	será	will do
చేస్తుంది	hace	do
చేస్తున్న	haciendo	doing
చేస్తున్నది	es	doing
చేస్తున్నప్పుడు	mientras	while doing
చేస్తున్నాయి	eso	completing
చేస్తున్నారు	es	doing
చేస్తూ	y	doing
చేస్తూనే	mientras	do-
చేస్తే	si	if done
చేస్తోంది	ajuste	doing
చైతన్య	chaitanya	consciousness
చైతన్యం	movilidad	activeness
చైత్ర	chaitra	chitra
చైనా	china	china
చైనాతో	china	with china
చైనీయుల	chino	chinese
చైనీయులు	chino	chinese
చైనీస్	chino	chinese
చైల్డ్	niño	child
చొక్కా	camisa	choka
చొప్పున	cada	count
చోట	sitio	place
చోటు	sitio	place
చోట్ల	en otra parte	places
చోదకం	conductor	search
చోళ	chola	chola
చోళుల	chola	cholas (kings dynasty)
చోళులు	cholas	cholas
చౌక్	ahogo	chowk
చౌదరి	choudhury	choudhary
ఛందస్సు	prosodia	anushtup chanda (telugu grammar)
ఛత్రపతి	chhatrapati	chathrapathi
ఛానల్	canal	channel
ఛాయ	colorante	shadow
ఛాయా	sombra	image
ఛాయాచిత్రం	foto	cinematography
జ	una	ja
జంక్షన్	unión	junction
జంట	pareja	couple
జండా	bandera	flag
జంతు	animal	animal
జంతువు	animal	anima
జంతువుల	animal	animals
జంతువులకు	animales	animals
జంతువులను	animales	animals
జంతువులలో	animales	animals
జంతువులు	animales	animals
జంబూ	jumbo	jamboo
జకాత్	zakat	jacath
జక్కన	jakkana	jakkana(poet)
జగ్గయ్య	jaggayya	jaggayya
జగ్గయ్యపేట	jaggayyapeta	jaggayyapeta
జటాయువు	jatayuvu	jatayu
జట్టుకు	equipo	team
జట్టులో	retirado del mercado	in group
జడ	pasivo	braid
జత	par	pair
జన	personas	population
జనం	personas	public
జనగణన	censo	census
జనతా	personas	people's
జనన	nacimiento	during birth
జననం	nacimiento	birth
జననాలు	nacimientos	people or population
జననేంద్రియ	genital	uterus
జనరల్	general	general
జనరల్‌	general	general
జనవరి	enero	january
జనసంఖ్య	poblaciones	population
జనసాంద్రత	densidad	density of population
జనహార్	janahar	jawahar
జనాదరణ	popularidad	peolpes respect
జనాభా	población	population
జనాభాకు	población	population
జనాభాను	población	population
జనాభాలో	población	in the population
జనుల	personas	people
జనులు	personas	people
జన్మ	nacimiento	birth
జన్మనిచ్చినది	dar a luz	gave birth
జన్మలో	vida	this life
జన్మస్థానం	cuna	birth place
జన్మించాడు	nació	born
జన్మించారు	nació	born
జన్మించి	nacido	birth
జన్యు	genético	genetic
జన్యువు	gene	genes
జన్యువులు	genes	genes
జపం	japa	chanting
జపనీస్	japonés	japanese
జపాను	japón	japan
జబ్బు	enfermedad	disease
జమ్మి	jammi	prosopis cineraria
జమ్మూ	jammu	jammu
జయ	victoria	jaya
జయంతి	jayanti	birthday
జయప్రద	traducciones	jayaprada
జయలలిత	jayalalithaa	jaya lalitha
జయసుధ	jayasudha	jaya sudha
జయించాడు	conquistada	to won
జయించి	conquistar	win
జరగడం	caso	happening
జరగలేదు	no era	not happened
జరగాలని	acusado	to happen
జరిగాయి	ha habido	took place
జరిగి	sucedió	done
జరిగిందంటే	tomó lugar	if happened
జరిగిందని	sucedió	insedentq
జరిగింది	estaba	happened
జరిగితే	si	if happens
జరిగిన	los	concluded
జరిగినట్లు	estaba	happend
జరిగినది	estaba	happened
జరిగే	los	happen
జరిగేవి	en erupción	used to happen
జరిపారు	conducido	done
జరిపి	conducta	did
జరిపిన	una	did
జరిపే	conductible	make
జరుగుతాయి	tendrá lugar	venkateswara pilgrimage place,sun moon,poojas,weddings
జరుగుతుంటాయి	retenida	conducted
జరుగుతుంది	hecho	to happen
జరుగుతున్న	sucediendo	happening
జరుగుతున్నది	sucediendo	happing
జరుగుతూ	progreso	happening
జరుగుతూనే	ahí	to happen
జరుగును	hecho	happens
జరుపుకుంటారు	celebrado	are done
జరుపుకునే	celebrado	celebrating
జరుపుకొనే	celebra las fiestas	celebrated
జరుపుతారు	ofrecido	will do
జర్నలిజం	periodismo	journalism
జర్నల్	diario	journal
జర్మనీ	alemania	germany
జర్మనీకి	alemania	to germany
జర్మనీలో	alemania	in germany
జర్మనీలోని	alemania	germany
జర్మన్	alemán	germany
జల	agua	water
జలాంతర్గామి	submarino	submarine
జలాశయం	reservorio	water fal
జలుబు	frío	cold
జవహర్	jawahar	jawahar
జవహర్‌లాల్	jawaharlal	jawaharlal
జవాబు	responder	answer
జస్టిస్	justicia	jestice
జహాంగీర్	jahangir	jahangeer
జాంబవంతుడు	jambavantudu	jambavanth
జాక్	jack	jack
జాక్సన్	jackson	jackson
జాగ్రత్త	tener cuidado	carefull
జాగ్రత్తగా	cuidadosamente	care
జాతక	horóscopo	jataka
జాతర	justa	festival
జాతి	carrera	race
జాతికి	raza	gender
జాతిపిత	padre de la nación	father of nation
జాతీయ	nacional	national
జాతీయగీతం	himno	national anthem
జాతీయపతాకాన్ని	jatiyapatakanni	national flag
జాతీయాలు	proverbios	nationality
జాతుల	especies	races
జాతులు	especies	races
జానకి	janaki	janaki
జానపద	gente	tribal
జానుఫలకము	rótula	patella (its a round shape bone)
జాన్	juan	jan
జాన్సన్	johnson	sejanus
జాబితా	lista	count
జాబితాను	lista	list
జాబితాలు	liza	forms
జాబితాలో	lista	list
జామ్	mermelada	jam
జారీ	emitido	release
జార్ఖండ్	jharkhand	jharkand
జార్జి	jorge	george
జార్జియా	georgia	georgia
జార్జ్	jorge	jorge
జావా	java	java
జాషువా	joshua	jashuva
జి	gramo	g
జింక	ciervo	antelope
జింజిబరేసి	jinjibaresi	zingiberaceae
జింబాబ్వే	zimbabue	zimbabwe
జిడ్డు	grasa	jiddu
జిల్లా	distrito	state
జిల్లాకు	distrito	for district
జిల్లాను	distrito	district
జిల్లాల	distritos	districts
జిల్లాలకు	distritos	districts
జిల్లాలను	distritos	districts
జిల్లాలలో	distritos	districts
జిల్లాలు	distritos	districts
జిల్లాలో	distrito	districts
జిల్లాలోని	distrito	in the town
జిల్లాలోనే	distrito	in the district only
జీడిమామిడి	anacardo	cashewfruit
జీన్	vaquero	jean nouvel
జీన్స్	pantalones	genes
జీర్ణకోశం	estómago	stomach
జీవ	bio	biological
జీవం	vida	living
జీవనం	sustentabilidad	livelihood
జీవనంలో	vida	living
జీవనము	vida	living
జీవశాస్త్రం	biología	natural science
జీవాత్మ	jivatma	living spirit
జీవావరణ	ecología	biological
జీవి	criatura	body
జీవించడానికి	vivir	to live
జీవించి	para sobrevivir	jeevinchi
జీవిత	vida	life
జీవితం	vida	life
జీవితంలో	vida	in the life
జీవితము	vida	life
జీవితాంతం	vida	whole life
జీవితానికి	vida	to life
జీవితాన్ని	vida	life
జీవుని	criaturas	human
జీవుల	especies	lives
జీవులకు	especies	beings
జీవులను	criaturas	living things
జీవులు	criaturas	life
జుట్టు	cabello	hair
జులై	julio	july
జూనియర్	júnior	junior
జూలియన్	julian	julian
జూలియస్	julius	julius
జూలై	julio	july
జె	j	je
జెండా	la bandera	flag
జెట్	jet	jet
జెనివా	ginebra	jeniva
జెనీవా	ginebra	geneva
జెనీవాలో	ginebra	in geneva
జెన్	zen	zen
జెర్మనీ	alemania	germany
జేమ్స్	james	james
జై	jai	jai
జైగోమైకోటా	jaigomaikota	jaigomaikota
జైన	jain	jain
జైనుల	jain	jains
జైలు	prisión	jail
జైలుకు	cárcel	to prison
జైలులో	prisión	jail
జోక్యం	intervención	involve
జోర్డాన్	jordán	jordan
జోసెఫ్	joseph	joseph
జోస్యం	predicción	astrology
జ్ఞాన	conocimiento	knowledge
జ్ఞానం	sabiduría	brave
జ్ఞానపీఠ	jnanpith	gnanapeeth
జ్ఞానబోధ	jnanabodha	teaching wisdom
జ్ఞానభోద	jnanabhoda	teaching of knowledge
జ్ఞానము	percepción	knowledge
జ్ఞానాన్ని	conocimiento	knowledge
జ్యురిక్	zurich	juric
జ్యూరిక్	zúrich	juric
జ్యోతి	jyoti	jyothi
జ్యోతిష	astrología	jadagam
జ్యోతిషం	jyotish	fortune telling
జ్యోతిష్య	astral	astrology
జ్వరం	fiebre	fever
జ్వలన	encendido	volcano
జ్వాలా	jwala	jwaala
టంగుటూరి	tanguturi	tanguturi
టర్కిష్	turco	turkish
టర్కీ	pavo	turkey
టవర్	torre	tower
టాగోర్	tagore	tagore
టాప్	parte superior	top
టాలీవుడ్	tollywood	tollywood
టి	t	tei
టిప్పు	tipu	tipu
టిబెటన్	tibetano	tibetan
టిబెట్	tíbet	tibbet
టివి	televisión	tv
టిసినో	ticino	ticino
టీ	té	t(technology)
టీం	equipo	team
టీఎన్ఎల్	tienel	tnl
టీకా	la vacuna	drops
టీవీ	televisión	tv
టు	a	to
టూర్	excursión	tour
టెండుల్కర్	tendulkar	tendulkar
టెంపుల్	templo	temple
టెక్టోనిక్	tectónico	tectonic
టెక్నాలజీ	tecnología	technology
టెక్స్ట్	texto	text
టెన్	diez	x
టెన్నిస్	tenis	tennis
టెన్నీస్	tenis	tennis
టెలివిజన్	televisión	television
టెలీస్కోపు	telescopio	telescope
టెస్ట్	prueba	test
టైం	hora	time
టైగర్	tigre	tiger
టైగర్స్	tigres	tigers
టైటానిక్	titánico	titanic
టైటిల్	título	title
టైప్	tipo	type
టైమ్	hora	time
టైమ్స్	los tiempos	times
టౌన్	pueblo	town
ట్రకోమా	trakoma	rough eye
ట్రాక్	pista	track
ట్రాన్స్	trans	transpot
ట్రాఫిక్	tráfico	traffic
ట్రేడ్	comercio	trade
ట్రోఫీ	trofeo	trophy
ట్వంటీ	twente	twenty
డచ్	holandés	dutch
డబ్బు	dinero	money
డబ్బులు	dinero	money
డయాబెటిస్	diabetes	diabetics
డా	dr.	daa
డాక్టర్	dr.	doctor
డాక్టర్‌	dr.	doctor
డాన్	don	don
డామన్	damon	daman
డార్విన్	darwin	darwin
డాలర్ల	dólares	dollars
డి	t	d
డిఎన్ఎ	adn	d.s.a
డిక్షనరీ	diccionario	dictionary
డిగ్రీ	la licenciatura	degree
డిజిటల్	digital	digital
డిప్యూటీ	diputado	deputy
డిమాండ్	demanda	demand
డివిజన్	división	division
డివిజన్లు	divisiones	divisions
డిసెంబరు	diciembre	december
డిసెంబర్	diciembre	december
డిస్క్	dto	disc
డీ	t	de
డెట్రాయిట్	detroit	detroit
డెన్మార్క్	dinamarca	denmark
డెల్టా	delta	delta
డెవలప్‌మెంట్	desarrollo	development
డెస్క్‌టాప్	escritorio	desktop
డే	día	day
డేటా	datos	data
డేటాను	datos	data
డేటాబేస్	base de datos	database
డేవిడ్	david	david
డై	morir	dioxide
డైరెక్టరీ	directorio	directory
డైవర్టిక్యులైటిస్	daivartikyulaitis	dyvartikulitis
డౌన్	abajo	down
డౌన్‌టౌన్	centro de la ciudad	downtown
డ్యాము	bombardeo	dam
డ్రైవరు	conductor	driver
డ్రైవర్	el conductor	driver
డ్రైవ్	manejar	drive
డ్రోసిరా	drosira	drodira
ఢాకా	dhaka	dhaka
ఢిల్లీ	nueva delhi	delhi
ఢిల్లీకి	nueva delhi	delhi
ఢిల్లీలో	nueva delhi	delhi
త	los	its a letter and word
తంజావూరు	thanjavur	tanjore
తండ్రి	padre	father
తండ్రికి	padre	for the father
తంతి	cable	thanthi
తక్కిన	otro	rest of
తక్కువ	bajo	less
తక్కువగా	bajo	less than
తగరము	estaño	metel
తగిన	ajuste	then
తగినంత	suficiente	required
తగినట్లుగా	de acuerdo con la	sufficiently
తగు	desenfrenado	necessary
తగ్గడం	pérdida	decreases
తగ్గి	rechazado	drained
తగ్గించడం	reduciendo	reduce
తగ్గించడానికి	reducir el	to decrease
తగ్గించి	lento	reduce
తగ్గించే	encapotado	reduce
తగ్గింది	disminuido	came down
తగ్గిపోయింది	se cayó	declined
తగ్గిస్తాయి	disminución	minimize
తగ్గిస్తుంది	reduce	lessens
తగ్గుతుంది	disminuye	decreased
తగ్గుముఖం	abajo	downward
తటస్థ	neutral	occured
తట్టు	plato	measles
తట్టుకోలేక	asco	tattuykoleka
తడి	mojado	swet
తణుకు	tanuku	tanuku
తత్ఫలితంగా	como resultado,	as a result
తత్వ	el principio	philosophical
తత్వం	filosofía	type
తత్వము	ens	his irony
తత్వవేత్త	filósofo	philosopher
తత్వవేత్తలు	filósofos	poet
తత్వానికి	filosofía	philosophical
తత్వాన్ని	filosofía	principle
తదనంతర	y entonces	after that
తదనంతరం	después	after that
తదితర	etc.	extra(more)
తదుపరి	próximo	next
తద్వారా	y	by that
తన	su	his
తనంతట	él mismo	independently
తనకు	su	his
తనచుట్టూ	alrededor	surroundings
తనతో	con	with him
తనను	él mismo	himself
తనయ	hija	son
తనలో	él mismo	in it
తనిఖీ	cheque	enquiry
తను	su	he
తనే	él mismo	he only
తపస్సు	yoga	meditation
తపాలా	publicaciones	postal
తప్ప	excepto	apart from
తప్పక	debe	must be
తప్పకుండా	seguramente	definitely
తప్పదు	debe	neccessary
తప్పని	falso	must and should
తప్పనిసరి	obligatorio	mandatory
తప్పనిసరిగా	debe	definitely
తప్పలేదు	siendo	could not avoid
తప్పించి	excepto	except
తప్పు	falso	thappu
తప్పులు	errores	mistakes
తమ	su	theirs
తమకు	los	yours
తమతమ	su	your
తమను	sí mismos	them
తమలో	sí mismos	inthem
తమిళ	tamil	in tamil
తమిళం	tamil	tamil
తమిళంలో	tamil	in tamil
తమిళనాట	tamil	in tamilnadu
తమిళనాడు	tamil nadu	tamilnadu
తమిళనాడుకు	tamil nadu	tamilnadu
తమిళనాడులో	tamil nadu	tamilnadu
తమిళుల	tamiles	of tamilians
తమిళులు	tamiles	tamilians
తమ్ముడు	hermano	younger brother
తయారయిన	cse	ready
తయారయ్యే	hecho	preparing for
తయారవుతుంది	hacer	preparing
తయారీ	fabricación	manufacture
తయారీకి	haciendo	preparation
తయారు	maquillaje	ready
తయారుచేసి	gracias	by preparing
తయారుచేసిన	preparado	made
తయారుచేసే	hacer	preparation / manufacture
తయారుచేస్తారు	preparado	they make
తయారైన	terminado	prepared
తరం	generacion	generation
తరంగ	ola	wave
తరంగాలు	olas	waves
తరగతి	salón de clases	class
తరగతుల	clases	classes
తరచు	a menudo	frequent
తరచుగా	a menudo	rare
తరచూ	a menudo	frequently
తరతరాలుగా	generaciones	for ages
తరపున	en nombre de la	on behalf of
