$ tỉ	milyar dolar	$ billion
cậy	güvenilir	reliable
cắm	takmak	to plant (v.)
cắn	ısırmak	to bite
cắp	hırsızlık	steal
cắt	kesim	cut
cằm	çene	chin
cằn	can	exhausted (adj.)
cặp	çift	couple
cọ	palmiye	rub
cọc	mevduat	pile
cọp	kaplan	tiger
cỏ	çimen	plant
cố	denemek	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	cam	cereal
cối	harçlar	mortar
cốm	com	grilled rice
cống	tahliye	dedicate
cồn	alkol	i
cồng	gong	gong
cổng	kapı	gate
cỗ	güverte	engine
cỗi	çorak	barren
cộ	araç	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	kökleri	origin
cộng	toplum	to add (v.)
cột	sütun	pole
cớ	bahane	excuse
cờ	satranç	flag
cỡ	boyut	size
cợt	eğlence	"(term should be ""đùa cợt"") to trifle (v.)"
cục	departman	department
cụm	küme	cluster
cụp	süpürüldü	down
cụt	penguen	"(should be ""xương cụt"") the tailbone or coccyx"
củ	yumrular	a bulb, a botanical term
của	arasında	of
củi	yakacak odun	firewood
củng	artmış	reinforce
cứ	kendileri	any
cức	doğrulanmamış engellemek	"(term should be ""cức Đê"") a character in chinese history"
cứng	sert	hard
cứngi	cungi	cungi
cừ	basur	nacre
cừu	kuzu	sheep
cửa	kapı	door
cửu	çarpma	nine
cữ	sınırlama	abstinence
cữu	sonsuz	nine
cự	odak	against
cựa	çavdar mahmuzu	retreat
cực	kutup	extreme
cựu	eski	former
d	d	d.
da	deri	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	sert	persistent
daily	günlük	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	dalat	da lat
dampier	dampier	(proper noun) dampier, a last name
dan	dan	dan
dancing	dans	dancing
danger	tehlike	danger
danh	isim	list
daniel	daniel	daniel
dante	dante	dante
dao	bıçak	poniard
darwin	darwin	darwin
das	das	das
dassault	dassault	(proper noun) dassault
date	tarih	date
dau	dau	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	dekan	a name
degree	derece	degree
delhi	delhi	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	demeter	(proper noun) demeter, the greek goddess of the harvest
den	den	den
dennis	dennis	dennis
department	bölüm	departmen
derek	derek	derek
des	des	des
descartes	decartes	descartes
design	dizayn	thiet ke
deuterium	döteryum	deuterium
deutschland	deutschland	deutschland
dewan	divan	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	hücre	move
diana	diana	(proper noun) diana, as in diana ross
die	ölmek	german
diego	diego	diego
dien	diyen	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	merkez	official residence or palace
dionysus	dionysos	dionysus, as in the greek god
discovery	keşif	discovery
discussion	tartışma	discussion
disneyland	disneyland	disneyland
division	bölme	division
divoire	divoire	d'lvoire
diêm	maçlar	diem vuong
diên	dien	"(term should be ""kinh diên"") canon (n.)"
diềm	kapı üzerine asılan süs	matches
diều	uçurtma	kite
diểu	saçmalık	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	marş	parade
diệc	balıkçıl	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	kapsamlı	face to face
diệt	uzaklaştırma	to kill or destroy (v.)
diệu	sihirli	effective (adj.)
djibouti	djibouti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	tarafından	because of
doanh	iş	"(term should be ""kinh doanh"") business (n.)"
doc	doktor	doc
docherty	docherty	docherty
dolly	bebek	(proper noun) dolly, as in singer dolly parton
dome	kubbe	nha
dominican	dominik	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	tuna	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	tehdit	threat
dp	dp	dp
dracula	dracula	dracula
draft	taslak	draft
drake	erkek ördek	(proper noun) drake
driver	sürücü	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	gezginler	travel
dubai	dubai	dubai
duiker	duiker	duiker
duk	duk	duk
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore
dung	kapasite	portrait
durham	durham	durham
dursley	dursley	dursley
duy	sadece	only
duyên	sahil	coastal
duyện	yanzhou	fellatio
duyệt	onay	browser
duơng	minnettar	ocean
duẩn	duan	duan
duật	duat	duat
duệ	torun	descendants (n.)
duỗi	ekstensor	stretch
dwight	dwight	dwight
dà	dà	gradually
dài	uzun	to lengthen, as in time
dàn	orkestra	to arrange
dàng	kolay	dang
dành	ayrılmış	for
dào	dao	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	kalın	thick
dái	dai	"penis (n.), although some may use the term to mean ""testicles"""
dám	cesaret etmek	dare
dán	yapıştırmak	stick
dáng	şekil	appearance
dát	kakma	inlay
dâm	seks	lustful (adj.)
dân	insanlar	people
dâng	ithaf	dedicate
dây	kordon	nerve
dã	vahşi	chronicle
dãi	isteğe bağlı olma	band
dãn	genişleme	extend
dãy	sıra	a row (n.)
dè	dikkatli ol	tight
défense	defense	defense
dép	tokyo	slipper
dê	keçi	goat
dì	teyze	aunt
dìu	diu	to lead by the hand (v.)
dính	yapışkan	stick
dò	sonda	(with word tham) to survey
dòm	eksprese edilen bir	snoop
dòng	şimdiki	"(term should be ""dòng họ"") family (n.)"
dó	poonah	a type of plant used to make paper in vietnam (n.)
dông	sağanak	a storm (n.)
dõi	abone	monitor
dù	gerçi	though
dùi	tokmak	awl
dùng	kullanım	use
dăm	ezilmiş	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	tabii ki	why
dĩa	disk	dish
dũng	cesaret	courage
dơ	saf olmayan	dirty
dơi	yarasalar	bat
dư	kalıntı	remnant
dưa	kavun	melons
dưng	aniden	suddently
dương	pozitif	penis
dường	görünüyor	seem
dưỡng	hemşirelik	feed
dược	farmasötik	having to do with medicine (adj.)
dượng	dayı	uncle
dạ	evet	night
dại	deli	stupid or idiotic (adj.)
dạn	cesur	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	şekil	tyoe
dạo	yürüme	vending
dạt	yıkanmış	to drift
dạy	öğretme	teach
dải	şerit	range
dấm	sirke	vinegar
dấp	dayak	shape
dấu	işaret	signal
dấy	yükselmek	to raise (v.)
dần	kademeli olarak	people
dầu	yağ	oil
dẫm	basamak	step on
dẫn	kılavuzu	to lead
dẫu	gerçi	though
dận	şanti	to step on
dậu	horoz	rooster
dậy	kalk	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	kılavuzu	lead
dằn	balast	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	bitmez tükenmez	dằng dai= long/endless
dẳng	bitmez tükenmez	persist
dặm	mil	mile
dặn	komuta	to advise (v.)
dặt	ayrılmış	conservative
dẹp	düzleştirmek	pacify
dẹt	düz	flat
dẻ	kestane	chestnut
dẻo	plastikleştirici	flexible
dế	cırcır	cricket
dền	mor	beetroot
dể	kolay	easy
dễ	kolay	easy
dệt	dokuma	textile
dị	korku	simple
dịch	çevirmek	semen
dịp	durumlar	occasion
dịu	yatıştırmaya	ease
dọa	tehdit	to threaten or scare (v.)
dọc	dikey	along
dỏm	dom	witty
dốc	tepe	slope
dối	yanlış	lie
dốt	dik kafalı	stupid or ignorant (adj.)
dồi	sosis	"(term should be ""trau dồi"") improve (v.)"
dồn	köşeye	accrue
dỗ	koaksiyel	dirty
dời	deplasman	leave
dở	kötü	incomplete
dỡ	boşaltma	remove
dụ	örneğin	example
dục	uygunluk	sexuality
dụng	onun	use
dứa	ananas	pineapple
dứt	uç	to cease
dừa	hindistan cevizi	coconut (n.)
dừng	dur	to cease
dữ	veri	"(term should be ""giận dữ"") anger (n.)"
dự	projekte	attend
dựa	merkezli	base on
dực	tek merkezli	dực, as in lê tương dực
dỹ	dy	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	earles	earles
eaton	eaton	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	kenar	edge
edinburgh	edinburg	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	editör	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	mısır	egypt
eid	bayram	(proper noun) eid
eiffel	eiffel	eiffel
einstein	einstein	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	elektronik	electronic
eliane	eliane	(proper noun) eliane
elip	elips	ellipse
elizabeth	elizabeth	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	elips	ellipse
em	çocuklar	younger sibling
email	e-posta	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	emir	emir
emmy	emmy	emmy
en	tr	erica reef
energy	enerji	energy
engels	engels	engels
england	i̇ngiltere	(proper noun) england, as in new england
eniac	eniac	eniac
entente	antant	entente
entropy	entropi	entropy
enzym	enzimler	enzymes
eo	bel	eo, as in the film captain eo
ep	ep	a name
erich	erich	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	ernest	(proper noun) ernest
eros	eros	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	gerekli	essential
ethernet	ethernet	ethernet
ethiopia	etiyopya	(proper noun) ethiopia
euclid	öklit	euclid
eugene	eugene	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	avro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	avrupa	europe
european	avrupa	(proper adjective) european
eva	eva	eva
everton	everton	everton
every	her	every
exgay	exgay	exgay
explorer	kâşif	explorer
extensive	geniş	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	gerçek	fact
facto	facto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	özellikleri	features
federer	federer	federer
feet	ayaklar	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	emir	fiat
fidel	fidel	fidel
field	tarla	field
fifa	fifa	fifa
fifpro	fifpro	fifpro
figo	figo	figo
fiji	fiji	fiji
finish	bitiş	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	fischer	fischer, as in louis fischer
fish	balık	fish
fishbed	fishbed	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	fleming	fleming
flight	uçuş	flight
foch	foch	(proper noun) foch
focus	odak	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	gıda	food
football	futbol	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	ford	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	çatallar	forks
foundation	vakıf	foundation
fox	tilki	fox
fpt	ftp	a company name in vietnam
fracsin	fracsin	a function
franc	frank	franc
france	fransa	france
frances	frances	frances
francis	francis	francis, as in francis xavier
francisco	francisco	francisco
franco	franco	franco
frank	dürüst	frank
frankfurt	frankfurt	(proper noun) frankfurt
franklin	arazi sahibi	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	freud	(proper noun) freud, as in sigmund freud
friedman	friedman	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	funimation	(proper noun) funimation
funk	korku	funk
futsal	futsal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	cebrail	gabriel
gabriella	gabriella	gabriella
gagarin	gagarin	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	gam	gam
gambia	gambiya	gambia
gamow	gamow	a name
gan	karaciğer	liver
gandhi	gandhi	gandhi, as in mahatma gandhi
gang	dökme demir	cast iron
ganh	çekişme	to be jealous
gao	gao	strictly
gareth	gareth	a name
garrett	garrett	garrett
gary	gary	gary
gascon	gaskon	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	galya	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	eşcinsel	tense
gaza	gazze	gaza
gdańsk	gdansk	(proper noun) gdansk, poland
gdp	gsyh	gdp
geisha	geyşa	geisha
gen	gen	gene
gene	gen	(proper noun) gene, an english first name
genesis	oluşum	(proper noun) genesis
georg	georg	(proper noun) georg
george	george	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	alman	german
germany	almanya	germany
gerrard	gerrard	gerrard, a last name
ghana	gana	(proper noun) the african country of ghana
ghe	kayık	canoe
ghen	kıskanç	to be jealous (v.)
ghi	kayıt	write
ghim	pim	pin
ghé	ziyaretçi	visit
ghép	katılmak	fit
ghê	koltuklar	disgust
ghì	preslenmiş	tighten
ghẻ	uyuz	scabies (n.)
ghế	koltuk	chair
ghề	kaba	scabby
ghềnh	nehrin akıntılı yeri	waterfall (n.)
gia	aile	date
giai	dönem	period
giam	hapis	imprison
gian	zaman	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	cebelitarık	(proper noun) gibraltar
gichin	gichin	gichin
gieo	ekmek	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	kurt	worm
giuse	joseph	giuse
giuộc	tip	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	giza	giza
già	eski	old (adj.)
giàn	iskele	"(term should be ""giàn hoa"") a trellis girder"
giành	won	secure
giàu	zengin	rich or wealthy (adj.)
giày	ayakkabı	a shoe
giá	fiyat	estimate
giám	yönetmen	"(term should be ""giám sát"") to supervise (v.)"
gián	hamamböceği	"(term should be ""gián tiếp"") indirectly"
giây	saniye	seconds
giã	güle güle	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	rahatlatıcı	stretch
gièm	klişeleştirmeler	"(should be ""gièm pha"") to backstab"
giêhôva	yehova	jehovah
giêng	ocak	january
giêsu	giêsu	jesus
giêxu	i̇sa	jesus
giò	spring roll	leg
giòi	kurtçuklar	maggot (n.)
giòn	kıtır kıtır	crunchy or crispy (adj.)
gió	rüzgar	wind
gióng	kalitesiz antrasit	align
giúp	yardım	help
giũa	dosyalama	sharpen
giơ	sıkışmak	raise
giương	gergin	posture
giường	yatak	bed
giả	yanlış	fake (adj.)
giải	çözeltiler	solution
giảm	azalma	decrease
giản	basitleştirilmiş	"(term should be ""giản dị"") simple (adj.)"
giấc	rüya	giấc ngủ= the sleep
giấm	sirke	drabble
giấu	sakla	hide
giấy	kâğıt	paper
giầu	zengin	rich
giận	kızgın	angry
giằng	kuşaklama	pull
giặc	düşman	enemy
giặt	yıkama	to wash (n.)
giếng	kuyu	well
giết	öldürme	kill
giềng	komşular	"(term should be ""láng giềng"") neighboring"
giễu	alay	ridicule
giọng	aksan	tone
giọt	damla	drop
giỏ	sepetler	basket
giỏi	iyi	good
giồng	höyükler	mound
giỗ	ölüm yıldönümü	anniversaries of deaths
giới	dünya	gender
giờ	saat	bao giờ=ever
giở	kaldırdı	to open or unfold (v.)
giỡn	şaka	joke
giục	çabuklaştırılmış	urge
giữ	bekle	hold
giữa	arasında	between
gladys	gladys	gladys
glazer	perdahçı	glazer
glonass	glonass	glonass
gloria	gloria	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	glikoz	glucose
gmail	gmail	gmail
gnp	gsmh	gnp
go	go	"(term should be ""gay go"") tense"
goes	gider	goes
goku	goku	goku
golden	altın	golden
gom	sağlamlaştırma	to gather (v.)
google	google	google
gorbachev	gorbaçov	gorbachev
gorbachyov	gorbaçov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	peş	gore
gorky	gorki	gorky, as in gorky park
gothic	gotik	gothic
gottfried	gottfried	gottfried
grabeel	grabeel	grabeel, a last name
graham	graham	graham
granada	granada	granada
granit	granit	granite
greek	yunan	(proper noun) greek
greenland	grönland	greenland
greenson	greenson	(proper noun) greenson
greenwich	greenwich	(proper noun) greenwich
greg	greg	greg
grenada	grenada	grenada
grenadines	grenadinler	grenadines
gross	brüt	gross
grumman	grumman	(proper noun) grumman
gruzia	georgia	gruzia
gryffindor	gryffindor	gryffindor
gs	gs	prof.
gsts	profesör	professor- phd
gu	gu	gu
guam	guam	guam
guard	bekçi	guard
guatemala	guatemala	guatemala
gui	gui&#39;nin	gui
guinea	gine	guinea
guinness	guinness	(proper noun) guinness
guitar	gitar	guitar
gujarat	gujarat	gujarat
gulag	gulag	gulag
gulf	körfez	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	guyana	guyana; proper noun
gà	tavuk	chicken
gài	sokmak	to fasten (v.)
gào	çığlık	"(term should be ""thét gào"") to cry out (v.)"
gác	üst katta	guard
gái	kız	girl
gán	atanmış	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	yük	hold
gáy	ense	crow
gân	tendon	tendon
gây	neden	make
gãy	kırıklar	break
gì	neyi	what
gìn	korumak	preserve
gò	tepe	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	dul	widowed
góc	köşe	angle
gói	paket	goi
góp	katkıda	to contribute
gót	topuk	heels
gõ	vurma	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	hançer	poniard
găng	eldivenler	gloves
gũi	samimi	close
gươm	kılıç	sword
gương	ayna	mirror
gạc	gazlı bez	johnson south reef
gạo	pirinç	rice
gạt	sökük	to cheat or trick (v.)
gả	evli	marry
gảy	mola	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	gam	brocade
gấp	acilen	times, as in many times
gấu	ayı	a bear (n.)
gần	yakın	near
gầy	sıska	thin
gẫy	kırıklar	break
gập	katlama	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	sopa	stick
gắm	gam	send
gắn	uygulamak	mount
gắng	için	try
gắt	kavurucu	intense
gặm	acıtmak	rodent
gặp	karşılamak	meet
gặt	biçmek	harvest
gỉ	paslanmaz	rust
gọi	çağrı	call
gọn	kısa	neat (adj.)
gọng	çerçeveli	gong
gọt	yontmak	cut
gỏi	salata	a vietnamese salad
gốc	ebeveyn	origin (n.)
gối	minder	"(should be ""qùy gối"") to kneel"
gốm	çömlekçilik	pottery
gồm	dahil	include
gồng	gong	carry
gỗ	odun	wood
gội	şampuan	shampoo
gộp	brüt	aggregate
gớm	nauseate	tremendous
gờ	çıkıntı	edge
gởi	gönderme	send
gỡ	kaldırma	meet
gợi	çabuk	to evoke (v.)
gục	aşağı	"(term should be ""đánh gục"") crush, as in battle"
gừng	zencefil	ginger
gửi	mesajları	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	iki	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	halojen	halogen (n.)
ham	zevk almak	desire
hamilton	hamilton	(proper noun) hamilton
han	han	han
hang	mağara	cave
hangul	hangul	hangul
hanh	çarşı	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	amortisman	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	cesur	hardy
harlem	harlem	harlem
harlow	harlow	harlow
harold	harold	(proper noun) harold
harper	harpçı	harper
harpercollins	harpercollins	hapercollins
harrier	tazı	harrier, as in harrier jump jet
harris	harris	harris
harry	harry	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havana	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	işportacı	hawker
hawking	hawking	(proper noun) hawking, as in physicist stephen hawking
hay	veya	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	heh	he, a korean name
health	sağlık	health
heath	funda	heath
hee	hee	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrich	heinrich
helen	helen	helen
helena	helena	helena
heli	helyum	helium
hematocrit	hematokrit	hematocrit
hemoglobin	hemoglobin	hemoglobin
hen	astım	asthma
henry	henry	(proper noun) henry, as in henry kissinger
heo	domuz	dolphin
her	onu	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina-	hercegovina
hercules	herkül	hercules
hermann	hermann	hermann
hermes	hermes	hermes
hersh	hersh	hersh, as in seymour hersh
hesiod	hesiodos	hesiod
hestia	hestia	hestia
hi	selam	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	hicks	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoshi&#39;nin	(proper noun) hideyoshi
hidro	hidrojen	hydrogen
hillsborough	hillsborough	hillsborough
hilton	hilton	hilton
himalaya	himalaya	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hintçe	hindi
hindu	hindu	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hiroşima	(proper noun) hiroshima, the japanese city
hitchcock	hitchcock	hitchcock
hitler	hitler	hitler
hitter	vurucu	hitter
hitters	vuranlar	hitters
hiên	sundurma	(proper noun) hiên, a vietnamese first name
hiđrô	hidrojen	hydrogen
hiếm	nadir	rare
hiến	vermek	devote
hiếp	kolza	rape
hiếu	evlada dindarlık	pious
hiềm	hiem	grudge
hiền	ezik	sage
hiểm	sigorta	dangerous
hiểu	iyi anlamak	learn
hiện	ortaya çıkmak	"(term should be ""thực hiện"") to accomplish"
hiệp	birleşmiş	united
hiệu	işaret	effective
hlv	hiv	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	çiçek	flower
hoan	festival	welcome
hogwarts	hogwarts	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	soykırım	holocause
holocen	holosen	holocen
holt	ağaçlık tepe	holt, an english last name
hom	kupürleri	a cutting
homer	beysbolde tur vuruşu	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	eşekarısı	hornet
hotspur	hotspur	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	tuy nhiên	however
hoà	klima	peace
hoài	nostaljik	always (adv.)
hoàn	tam	"(term should be ""hoàn toàn"") completely"
hoàng	kraliçe	royal (adj.)
hoành	diyafram	rife
hoá	mal	"(term should be ""văn hoá"") culture (n.)"
hoán	degiştirilebilen	refined (adj.)
hoãn	ertelemek	delay
hoạ	ressam	disaster (tham hoa)
hoại	septik	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	etkinlik	work
hoả	yangın	of
hoảng	depresyon	panic-stricken (adj.)
hoặc	veya	or
hp	hp	hp
hq	hq	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	huey	huey
hughes	hughes	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	macaristan	hungary
hunt	av	hunt
hurley	hurley	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	husserl	huserl
huston	huston	huston
hutech	hutech	hutech
huy	kumandan	a common vietnamese first name
huynh	ebeveyn	older brother
huyền	jet	huyền thoại= legend
huyễn	hayali	huyen
huyện	semt	district
huyệt	akupunktur noktaları	lair
huân	sipariş	"(term should be ""huân chương"") medal (n.)"
huê	artış	"a less common vietnamese word for ""flower"""
huấn	eğitim	"(term should be ""huận luyện"") to train (v.)"
huế	renk	hue
huệ	avantajlı	favour
huống	dava	situation
huỳnh	floresan	sulfur
huỷ	iptal	destroy
hydra	hidra	hydra, a monster in greek mythology
hydro	hidrojen	hydrogen
hyperion	hyperion	hyperion
hà	galaksi	"(term should be ""hà nội"") the capital of vietnam"
hài	komedi	corpse
hàm	çene	"(term should be ""bao hàm"") to imply (v.)"
hàng	sıra	row
hào	hendek	depreciation
hách	zorba	glorious
hái	almak	picking
hán	kuraklık	china
háo	seyirciler	eager
hát	sing	song
hâm	fan	"(term should be ""hâm mộ"") to admire (v.)"
hân	memnun	le ngoc han
hãi	korku	to be scared (v.)
hãn	sürü	to sweat (v.)
hãng	firma	a company (n.)
hãnh	gururlu	proud
hè	yaz	summer
hé	kırılmış	reveal
héo	karartmak	dried-out
hét	bağırmak	shout
hên	tavuk	luck
hí	tiyatro	game
hít	nefes almak	act of kissing (hon hit)
hò	arkadaş	date
hòa	hava	republic
hòe	çapa	hoe
hòm	tabut	box
hòn	adacık	island
hòng	girişimi	in order to
hóc	hoc	a corner (n.)
hót	şan	to chirp or sing (v.)
hô	mercan	respiration
hôi	faul	stink
hôm	perşembe	day (n.)
hôn	öpücük	propose
hông	kalça	hip
hù	korkutmak	threaten
hùng	kahraman	hero
húc	peş	huc
húng	fesleğen	"(should be ""húng láng"") water mint"
hút	emmek	to suck (v.)
hăng	tantana	enthusiasm
hđbt	hđbt	hdbt
hđh	os	system software
hũ	kavanoz	jar
hơi	buhar	slightly
hơn	daha	more or less
hư	yozlaşmış	fictional
hưu	emekli	huu
hương	tütsü	smell
hước	mizah	humor
hướng	yön	trend
hường	huong	huong
hưởng	layık	influence
hạ	alt	lower
hạc	vinçler	crane
hạch	ganglion	ganglion
hại	zararlı	harm
hạng	sınıf	rank
hạnh	mutluluk	happy
hạo	hao	hao
hạp	zambak ampul	hap
hạt	ilçe	seed
hải	gümrük	two
hảo	mükemmel	perfect
hấn	saldırganlık	aggressive gesture
hất	şapka	toss
hấu	karpuz	"(term should be ""dưa hấu"") watermelon"
hầm	çukur	ham
hầu	neredeyse	most
hận	nefret	hatred
hậu	hava	anus
hắc	karanlık	black
hắn	onun	he (n.)
hắt	havai	reject
hằng	sabit	every
hặc	hac	to criticize (v.)
hẹ	frenk soğanı	chinese chives
hẹp	daraltmak	narrow
hẻm	vadi	alley (n.)
hẻo	doğa	outback
hến	midye	mussel
hết	üzerinde	most
hề	palyaço	"(term should be ""không hề"") never"
hễ	herkes	whenever
hệ	i̇letişim	relation
hệt	aynı	exactly
hỉ	darbe	happy
hịch	hich	a proclamation
họ	onlar	they (n.)
họa	boya	picture
họach	kırpma	"(term should be ""quy hoạch"") a project (n.)"
học	öğrenmek	study (v.)
