aajo	konyol	hospitality
níyanjú	secara positif	solved
nǹkan	benda	things
nso	segera akan datang	say
oba	obama	king
obairanderan	sepupu	hereditary
obere	kecil	started
obínibí	kesopanan	inborn
ododo	kebenaran	righteousness
ofin	hukum	law
ogbè	wilayah	a divinity
ogun	perang	war
ogunlogo	orang banyak	hundreds
ojo	terlihat seperti	day
ojojumo	harian	daily
ojoru	kehangatan	wednesday
ojukokoro	ketamakan	covetousness
ojuoorun	matahari terbenam	atmosphere
ojuse	tanggung jawab	responsibility
ojùkòsì	pengendapan	ojukosi
ojùkòtúu	pengendapan	ojukotuu
ojúlùmọ̀	kenalan	acquaintance
ojútáyé	viskositas	public
ojúìwé	halaman	page
okeere	luar negeri	distant
okhotsk	okhotsk	okhotsk
oko	bidang	farm
okunkun	kegelapan	darkness
okunrin	orang itu	male person
olodiajodojuko	satu sama lain	facing wall
olohun	pemilik	god
olojukanna	segera	same surface
olokunkun	headphone	popular
ololugbe	pecundang	occupants
olopon	angkuh	a local game
olora	lemak	fertile
oloselukan	halo	one political
oloye	jenius	chief
oluda	pencipta	creator
oludase	produsen	separatist
olukoitan	pengajar	the writer
olukowe	penulis	writer
olumojuto	serakah	overseer
oluparapo	kombinasi	joint
olusoju	menjaga	ambassador
oluwakiri	eksplorasi	explorer
olympus	olympus	olympus
olódùmarè	mahakuasa	almighty god
olóyè	penggaris	chief
olóṣèlú	politikus	politics
olùbátan	kontak ini	relative
olùdarí	seorang pemimpin	director
olùkópa	penyumbang	participant
olùkó	pengajar	teacher
olùkọ́	guru	teacher
omi	air	water
omiadalu	banjir	mixture
onialjebra	onialjebra	of algebra
onibugbe	penyewa	population
onigbeja	konstruktif	allied
onigbowo	seorang sponsor	sponsor
onigunfenfe	pasif	large angle
onilanaibagbepo	kondom	constitutional
onilile	pemilik rumah	solid
oninawo	peminjam	financial
onipin	rasional	even
onisayensi	teknisi	scientific
onisowo	pedagang	trader
oniyewumeji	biner	two-chamber
oniyijulo	luar biasa	highest honour
onje	diet	food
onka	kalkulator	counter
onígbàgbó	pria tua	believer
oníkólóbó	kasar	onikolobo (place)
onílẹ̀	turun	land owners; citizens (omo onile)
oníná	api	electronic
onítumò	penerjemah	meaning
onítèbọmi	yang dibaptis	baptist
onítòhùn	akuntan	that person
oníwòsàn	tabib	doctor
oníyanjù	animasi	persevere
ooni	buaya	ooni (king)
ootọ́	benar	truth
opec	opec	opec
opposite	seberang	odi
ori	kepala	top
oriire	selamat	success
oriki	oriental	name of endearment
orileede	negara	country
orileedeajoba	imperialisme	monarchic country
orilejoba	pemerintah	seat of government, kingdom
orileominira	kehangatan	republic
orinìyìn	lagu	songs of praise
orisirisi	variasi	various
orisun	sumber	source
orisa	asal	god
oritameta	di tengah-tengah	crossway
orudnun	tahunan	mispelled...should orundun, century
oruko	kata benda	name
oríilè	nasional	land
oríilẹ̀	artikel	land
oríkì	puisi	family name
orílèèdè	bangsa	country
orílẹ̀	bangsa	continent
orílẹ́	malam	nation
orísiirísi	berbagai	various
orísìí	variasi	type
orísìírísi	berbagai jenis	various
orúko	lapangan	name
oscar	oscar	oscar
oseluarailu	sipil	political unit
otherwise	jika tidak	ibaje
otutu	banyak	coldness
oun	dia	it
owojagidijagan	teroris	upheaval
oúnjẹ	makanan	food
odún	tahun	year
ojó	sedang hujan	day
okùnrín	tawa	man
olórun	tuhan	god
olósìn	keagamaan	rearing
odun	tahunan	year
olorun	tuhan	god
omonìyàn	manusia	human beings
opolo	banyak	brain
ose	ose	week
oyé	dunia	harmattan
ofò	selamat pagi	nothingness
opolo	banyak	brain
paa	matikan	back
paapaa	terutama	especially
padá	polong	go back
palauan	palauan	palauan
panaˈma	panama	panama
panyanan	ruang angkasa	spanish
papa	ayah	specifically
parapọ̀	campur	join
paripari	tamat	finally
pele	menawan	hello
penh	penh	penh
penisula	penisula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	mutiara	with
phillipines	filipina	phillipines
pinsi	menolak	divided
pinsoto	pinoto	separated
pinu	bertekad	decide
pipo	banyak	plenty
pipolongo	iklan	publicise
piposi	banyak	multiplication
platos	plato	plato's
plánẹ́tì	pipa saluran air	planet
po	po	share
pojulo	tertinggi	larger
polandi	polandia	poland
polaroid	polaroid	polaroid
population	populasi	ero
portonovo	portonovo	porto novo
portuguese	portugis	portuguese
press	tekan	press
produced	diproduksi	yo
protokolu	protocolu	protocol
proton	proton	kemika alaropo
providence	penyediaan	providence
príncipe	príncipe	principe
pupa	merah	red
px|kùránì	px | kernel	koran or quran; the px  does not belong
pàmò	secara khusus	pamo (town)
pàràkòyí	segera	parakoyi
pààlà	batas	signalised
pàápàá	terutama	especially
pásíà	bawah tanah	persia
pátáporongodo	benar	entire
pè	dipanggil	that
pèhìndà	air mani	turned back
pèlu	bersama	with
pèlúpèlú	demikian juga	in addition
pèsè	disediakan	provide
pé	bahwa	that
péré	hanya	only
péé	bahwa	that
pípa	pembantaian	order
pípèsè	ketentuan	providing
pípẹ́	panjang	long
pòwe	peribahasa	to say a proverb or wise saying
pò	melipat	join
púpo	terlalu banyak	much
púpò	agak	a lot
quran	quran	quran
ra	membeli	self
race	ras	ere
rajya	berharap	rajya
ramadan	ramadan	ramadan
rank	pangkat	ipo
reggae	reggae	reggae
repeats	mengulangi	tunso
repetejulo	yang paling sensitif	most of all
rere	baik	success
research	penelitian	agbeyewo
richard	richard	richard
right|thumb|px|aworan	kanan | jempol | px | gambar	picture
rinle	baru saja	emphasise
riresile	perekam	humbled, lowered
riro	imajinasi	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	berpikir	thought
robinson	robinson	robinson
roboto	permukaan	round
rogbodiyan	kerusuhan	riot
rokirika	menjelajah	publicise
roko	massa	farm work
roma	roma	roma
rome	chrome	rome
ronald	ronald	ronald
rorùn	mudah	easy
rossii	rossii	rossii
rural	pedesaan	igberiko
ryan	ryan	ryan
ráhàn	muncul	complain
ránmú	khawatir	grumble
république	république	republic
ré	c	his/her
rìn	berjalan	should be orin, song or music
ròyìn	dilaporkan	give account
rẹ	-nya	it
saarc	menghapus	saarc
saaree	unggul	after death
saarland	di lantai	saarland
safari	safari	safari
saffana	safir	savannah
safiwe	perbandingan	describe
safta	berbaris	safta
saheli	kenyamanan	sahel
sakyamuni	selanjutnya	sakyamuni
sakyas	sakya	sakyas
salem	salem	salem
salàyé	kehidupan	explained
sambia	pemuda	zambia
samioro	tersedia	signal
santa	santa	santa
say	mengatakan	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	laut	odo
seat	kursi	itedo
segbese	mungkin	take steps
seidamo	bersih	identify
semolara	asma	accustom
semudaju	tentu saja	assure
senegal	senegal	senegal
sense	merasakan	sensi
seville	seville	seville
sewadi	cari	investigate
sharon	sharon	sharon
sibesibe	namun	further more
sihamoni	struktur	sihamoni
sile	dibelakang	previously
silè	tetes	on the ground
sinai	dosa	sinai
sinsin	agama	unshakably
sioux	sioux	sioux
sise	memasak	works
sisodagba	tumbuh besar	came of age
sisopo	menghubungkan	joined
sisupapoerekusu	meludah	neighbouring islands
sisupo	berkembang biak	concentrated
slovo	slovo	slovo
so	cinta	turned
sohun	iya	something
solomon	salomo	solomon
soon	segera	lai'pe
sopin	akhir	ended
so	begitu	tells
spectacular	spektakuler	damanran
stella	stella	stella
structures	struktur	igbekale
suez	suez	suez
sugbo	tapi tidak	but
sugbọ́n	rasional	but, however
sun	matahari	sleep
suny	suny	suny
swahili	swahili	swahili
symmetry	simetri	ogbooga
sàbúrí	diatas segalanya	saburi
sàmì	sebuah tanda	signalize
sàn	lebih baik	flow
sàngó	gang	sango (god of thunder)
sàì	baik	un
sápadè	hari ini	run to
sáàpàdé	sponsorship	saapade
sáààrin	diantara	between
são	yang baru	sao
sèle	pencurian	down
ségun	menangis	conquered
sénégal	air mani	senegal
séyìn	kembali	back
séyìn	kembali	at the back of
sìbẹ̀	namun	there
sìni	udang	likewise
síbèsíbè	namun	further more
síbú	ke tanah	ocean
sílẹ̀	mengecewakan	drop
síse	kerja	doing
síso	masih	spoken
síso	masih	saying
síta	di luar	outing
síwon	mereka	to them
síwájú	maju	comes before
síí	sini	on it
sòrò	cuci otak	talk
sójà	tentara	soldier
sóko	menanam	to the farm
sùgbón	di sisi lain	but
sọ	mengatakan	lose
si	pasti	to
síse	struktur	performing
sùgbón	di sisi lain	but
se	mereka lakukan	do
sepò	akhirnya	cooperation
sisé	bekerja	work
sááju	luangkan waktu sebentar	before
sísa	s .ía	to be
sísè	terjemahan	step
tabi	atau	or
tabili	meja	table
tabora	penghindaran	tabora
taino	dino	taino
tainos	taino	tainos
takuntakun	kendala	valiant
talaka	miskin	poor
talika	kemiskinan	the poor
tara	sembilan	wholly
tata	saring	wildly
taínos	taínos	tainos
technology	teknologi	tekinoloji
tedo	kencan	stay
teksas	texas	texas
tele	mengikuti	before
temptation	pencarian	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	itu	does no directly translate
they	mereka	won
those	itu	awon
thumb|left|upright|nelson	ibu jari | kiri | tegak | nelson	apa osi naro
tira	tegang	quranic verse
tirana	tirana	tirana
tirè	-nya	own
titu	menembak	cold (if it's a person's name, it is tutu)
tiwọn	milik mereka	theirs
to	untuk	it
toje	langka	that is
tokasi	ditunjukkan	pointing to
tokyo	tokyo	tokyo
tolerejulo	ditoleransi	most profitable
tolórítelémù	bencana	all manners of people
tomé	tomat	tome
tooto	betulkah	true
tori	tori	because
torun	berambut cokelat	heavenly
toseluaralu	politik	political
tounsejanu	tragis	control
traduite	traduite	traduite
translated	diterjemahkan	tunmo
tumosi	cara	means
tuntun	baru	new
tàsí	tanpa	or
tàwon	mereka	theirs
táawà	untuk sujud	we
tèlé	mengikuti	before
tètè	segera	quickly
tèlé	segera	follow
tèsíwájú	untuk membuat kemajuan	progress
té	t	follow
télè	oleh	before
té	t	shamed
títi	tutup	till
títèlé	mengikuti	following
títío	sampai	until
tíátà	tiket	theater
tíórì	ban	that is seen
tò	set	enough
tóbi	besar	big
tódárajùlọ	terbaik	most beautiful
tókù	beristirahat	others
tówùú	berapapun jumlahnya	whatever
tó	tó	taught
tóka	dikutip	pointed
tú	mencurahkan	untie
túmò	prem	means
túnse	mengatur kembali	restructured
tẹ̀ǹbẹ̀	kemudian	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	bersekongkol	bitterness
ucb	ucb	ucb
umueri	anak-anak	umueri
unifasiti	universitas	university
unla	iya	great
urasílì	urasil	uracil
uribe	aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	jalan	uzbek
venezuela	venezuela	venezuela
vermont	vermont	vermont
victor	pemenang	victor
videos	video	fidio
vihara	vihara	vihara
villa	vila	villa
viruses	virus	awon eran
visit	mengunjungi	ibewo
vz	vz	vz
waa	ini	ours
waju	wajah	future
wari	bau	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	witkin	witkin
wiwari	penemuan	discovered
województwo	cheworddztwo	wojewodztwo
wole	masuk	into
woo	merayu	look
wo	sini	enter
wo	sini	look
won	mereka	they
wura	emas	gold
wyoming	wyoming	wyoming
wàásù	berkhotbah	preach
wì	membasuh	that
wípè	kejelasan	that
wòfún	sekilas	convenient
wònyí	ini adalah	these
wón	mereka	they
wúnrèn	bekerja	small amount
wọn	mereka	they
wọ̀nyí	ini	these
xd	xd	xd
xiv	xiv	xiv
yafran	alfabet	yafran
yakubu	yakub	yakubu
yan	pilih	choose
yanjú	menyelesaikan	solve
yanturu	banyak	abundant
yaoundé	yaoundé	yaounde
yewo	perbaikan	examine
ye	ya	suitable
ye	ya	should
yindinyindin	tidak pernah berhenti	brightly
yio	akan	will
yiowu	itu akan	any
yipada	berputar	change
yiyafunnilo	erosi	borrow
yoo	akan	will
yori	led	result
york	york	york
yorúbà	yogurt	yoruba
yo	yo	remove
yànan	heran	scattered
yàtò	mempersiapkan	other than
yára	percepat	quickly
yèwò	lihat	examine
yée	biarkan mereka	eplained to
yì	pergilah	this
yìí	ini	this
yí	berputar	this
yíyípadà	perubahan	changed
yíì	kamu akan	this
yíò	itu akan	it will
yẹ̀ẹ́	kamu tahu	check
yọ	menghapus	bring out
zanzibar centralsouth	zanzibar centralsouth	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	jauh	bce
àbe	babon	under
àbámẹ́ta	kamis	saturday
àbáyo	saran	breakthrough
àbìkú	keabadian	'born to die' child
àbọ̀	setengah	result
àdámò	pribadi	earmark
àdátá	sebaliknya	adata
àdáátán	eksklusif	adaatan
àdóolóró	minyak	bomb
àgbàjọ	orang tua	assembly
àgbàrá	banjir	power
àgbáríjọ	organisasi	combination
àgbékà	abstrak	suitable
àgbéyèwò	ulasan	examination
àgbìgbò	lingkungan	a type of bird
àgbùdo	halaman	corn
àgọ́	tenda	ago
àifète	tujuan	unable to keep quiet
àjo	perjalanan	board
àjákọ	selain	ajako
àjọṣepọ̀	sosial	union
àkosílè	abstraksi	written
àkosílè	tesis	written account
àkàrà	kue	bean pudding
àká	rak	store
àkójopò	kelompok	collection
àkókó	waktu	previous
àlàkalè	tujuan	breakdown, explanation of actions
àlàyé	informasi	explanation
àlàáfíà	perdamaian	peace
àlááfià	analogi	wellbeing
àlè	bajingan	mistress, concubine, (side booty)
àlèpò	atas	joined together
àlébù	cacat	ills
àmérìkà	gaib	america
àmì	tanda	sign
àmúlò	praktis	synonyms
àmúsorò	psikologi	resources
ànfàní	kesempatan	opportunity
àpapọ̀	secara keseluruhan	federal
àpeere	contoh	example
àrígbámú	mengganggu	assistant
àrùn	penyakit	disease
àrẹ	presiden	president
àse	pesta	authority
àsàjemátèe	fajar	cunning
àsèyìn	akibat	at the end
àsìkò	waktu	time
àsótélè	perpanjangan	prophecy
àsọdọ̀kan	kesatuan	unitary
àsekúdórógbó	kulit	do or die
àsà	adat	habit, culture, norm
àtijo	usang	olden days
àtìpó	alien	sojourn
àtòrìnká	sekitar	urinating while walking
àtúnse	sunting	modification
àtúnse	sunting	renovate, fix
àtẹnudẹ́nu	lisan	oral
àwon	teori	they
àwón	uang	the
àwón	uang	the
àwùjo	masyarakat	community
ààtò	upacara	suitability
ààyè	hidup	space
àárín	di tengah-tengah	middle
àáyá	air mani	seconds
àìkó	kekurangan	unlearned
àìní	ingin	lack
àìròtélè	tak terduga	unthought of
àìsí	ketiadaan	lack
án	t	it
áwon	perbuatan zina	those
èbà	nyamuk	cassava flour food
èbúté	pelabuhan	shore
èdá	penciptaan	creature
èdè	bahasa	language
èdè	bahasa	language
èfòn	tegang	efon
èhìn	selanjutnya	outskirt
èka	cabang	branch
èkejì	yang lain	second
èlò	peralatan	tool
ènìkan	sesuatu	someone
èràn	penyakit	virus
èrò	pikiran	thoughts
èsó	mesjid	modesty
èsúrú	semut	yam (indigenous to west africa)
ète	tujuan	plan
èyì	martabat	this
èka	efek	branch
èro	pikiran	machine
èrí	bukti	witness
èsìn	agama	religion
èwù	kemeja	clothe
èpón	banyak	modifier
ìbarà	demam	ibara (town)
ìbánisòrò	koneksi	dialogue
ìbáraeni	pengangkutan	to themselves
ìbílè	hak kelahiran	local
ìbílè	hak kelahiran	local
ìdàgbà	masa dewasa	grow
ìdàpapọ̀	konsolidasi	union
ìdàrúdàpò	kekacauan	misunderstanding
ìdá	desersi	division
ìdìmú	gangguan	branch, part
ìdíisin	sebab	idi-isin
ìdíwòn	alasanmu	criteria
ìdó	menyengat	ido (a person's name)
ìfara	penyiksaan	self
ìfojúìtànìgbesiayé	sejarah hidup	biography
ìfáàrà	seorang pendeta	introduction
ìgbonnìbí jé	ini bencana	igbonnibi
ìgbà	waktu	when
ìgbàgbé	pelupa	forgetfulness
ìgbá	sayap	time
ìgbáraga	kekuatan	pride
ìgbéraga	kebanggaan	pride
ìgbésí	kehidupan	life
ìgbò	ram	igbo people
ìhun	besi	things
ìjo	menari	church
ìjo	gereja	church
ìjoba	pemerintah	government
ìjora	benci	resemblance
ìjìnlè	misteri	comprehensive
ìjìnlè	misteri	mysterious
ìjò	pemimpin	consent
ìjọba	pemerintah	government
ìkejì	yang lain	second
ìkànna	sama	ikanna (town)
ìkèrèkú	kemacetan	ikereku
ìkéde	pernyataan	advert
ìkìjà	sebuah tantangan	ikija
ìkìlò	penyalahgunaan	warning
ìkínin	ke enam	greetings
ìkẹrin	yang keempat	fourth
ìkọpa	partisipasi	ikopa
ìlera	kesehatan	health
ìlo	panggilan	use
ìlà	garis besar	border
ìlànàn	ilusi	procedure
ìlàorùn	memar	east
ìlàìnàró	penindasan	vertical
ìlè	penyuapan	land
ìlé	rumah	land
ìmò	ular	knowledge
ìmò	petir	knowledge
ìmóbìdo	hak kesulungan	imobido
ìmú	hidung	knowledge
ìmúnilérú	pelanggaran	slavery
ìmúsára	untuk memperkuat	contagious
ìnagije	kemenangan	alias
ìnáwó	pengeluaran	expenditure
ìpolongo	iklan	advertisement
ìpìlẹ̀núkléù	enkripsi	base
ìpìnlè	awal mula	foundation
ìpínrò	paragraf	economize
ìrànlọ́wọ́	tolong	help
ìrànàna	tolong	path-clearing
ìràwọ̀	bintang-bintang	s
ìrí	pengalaman	sight
ìròkò	pikir	iroko
ìròyìn	berita	news
ìròyìnwiki	berita	wikinews
ìròrùn	ilusi	peaceful
ìró	suara	sound
ìrúbo	jatuh	sacrifice
ìsawo	ramalan	divinity-practice
ìse	tindakan	behaviour
ìsinsìnyí	sekarang	modern
ìsirò	perhitungan	adding
ìsomó	bergabung	attachment
ìsàlè	matahari terbenam	down town
ìsèlè	produksi	happening
ìsìn	agama	worship
ìsòrò	meditasi	speech
ìsòrí	bagian	chapter
ìsú	ketebalan	lump
ìsọ	toko	stall
ìse	tindakan	work
ìsègbèfábo	ketekunan	female support
ìsèdá	penciptaan	creation
ìsèjoba	pemerintah	government
ìsílé	rumah	house opening
ìsòro	kesulitan	problem
ìse	tindakan	action
ìta	di luar	outside
ìtaeko	bengkel	outskirts of eko
ìtan	sejarah	story
ìtokò	pot	story
ìtàn	sejarah	history
ìtànkálé	banjir	spread
ìtèsíwájú	kemajuan	progress
ìtójú	peduli	treatment
ìtóju	kebingungan	treatment
ìtójú	ekspresi wajah	treatment
ìtóka	dipukuli	dictionary
ìtúmò	terjemahan	meaning
ìtúpalè	terjemahan	exposition
ìwe	perbandingan	book
ìwo	tanduk	horn
ìwàásù	khotbah	sermon
ìwéré	buku kecil	iwere (town)
ìwò	secara keseluruhan	set
ìwòran	penglihatan	viewing
ìwúlò	berguna	usefulness
ìya	penderitaan	mother
ìyapa	pemisahan	divorce
ìyàwó	pengantin	wife
ìyípadà	konversi	transformation
ìṣèlú	politik	politics
ìṣẹ́kù	pengingat	broken
ìṣọ̣̀tẹ̣̀	radang paru-paru	rebellion
òde	di luar	society
òdeojú	tidak berwajah	surface
òdo	pemuda	zero
òdìkejì	yang lain	opposite
òféàrán	sebuah gambar	a town name
ògbójú	kompeten	brave
ògiri	dinding	wall
ògo	kemuliaan	glory
ògun	obat	medicine
ògúndìpẹ̀	berbedak	ogundipe
òjo	terlihat seperti	ojo
òjísé	dokter	servant
òkèògbún	seribu	oke-ogbun
òkòòkan	satu per satu	each
òkú	mayat	corpse
òkúta	sebuah batu	stone
òle	ibu rumah tangga	lazy
òmiràn	sang penyihir	other
òmùàrán	sebuah gambar	omu-aran (town)
òní	hari ini	today
òotó	kebenaran	true
òpópóònà	jalan	highway
òranyàn	wajib	a must
òrìsà	berhala	god
òrí	bab	top
òrò	otak	word
òsán	tengah hari	afternoon
òsèlú	politikus	politics
òsèré	atlet	player
òwù	kain	owu
òṣèlú	politik	politician
òjògbón	cuaca hujan	learned person
òkan	satu	heart
òkòòkan	satu per satu	each
òpòlopò	banyak	many
òré	permainan	friend
òfò	selanjutnya	sorrowful
òpòlopo	banyak	lot of
òré	permainan	friend
òrò	pikiran	word
òsà	ikan mas	lagoon
òwó	uang	hand
òrò	pikiran	word
òròàjòmó	cuaca buruk	part of speech
ó	itu	that
óníse	dia seorang desainer	stricken
ósírísì	air liur	diverse
ósékú	dia meninggal	die suddenly
ó	iya	word
ôdún	tahun	year
únṣẹlẹ̀	gempa bumi	formed
şe	melakukan	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	ˈøːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	penyakit	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	pembukaan	work
ṣàkóbá	berbahaya	incriminate
ẹdo	lelucon	edo
ẹlẹ́bùn	hadiah	award winner
ẹlẹ́sìn	keagamaan	religionist
ẹnìkan	satu orang	someone
ẹsẹ	kaki	verse
ẹtì	hati	friday
ẹ̀kaawon	pengiriman	branch of
ẹ̀kabrítánì	paman	part of britain
ẹ̀kajuly	mungkin	chapter july
ẹ̀kaoṣù	berduri	month
ẹ̀kasístẹ̀mù	subyektif	sistemu=system
ẹ̀kẹ́ta	ketiga	third, the third
ẹ̀kọ́	pendidikan	teachings
ẹ̀ni	who	person
ẹ̀rọ	mesin	machine
ẹ̀wẹ̀	di samping itu	leaf
ọbàkàn	setengah saudara laki-laki	step-sister
ọdún	tahun	year
ọlọ́mọ	anak-anak	members
ọlọ́run	tuhan	god
ọmú	kamu payah	breast
ọmọ	anak	c
ọn	itu	him
ọpọ́lọpọ́	buah ara	many
ọ̀dọ́	pemuda	youth
ọ̀gbìn	menanam	seedlings
ọ̀nà	cara	ways
ọ̀pòlòpò	tindakan	various
ọ̀rọ̀	berbicara	word
ọ̀sẹ	minggu	week
