aajo	ridicule	hospitality
olohun	propriétaires	god
olojukanna	immédiatement	same surface
olokunkun	écouteurs	popular
ololugbe	perdant	occupants
olopon	hautain	a local game
olora	graisse	fertile
oloselukan	bonjour	one political
oloye	génie	chief
oluda	créateur	creator
oludase	producteur	separatist
olukoitan	instructeur	the writer
olukowe	auteur	writer
olumojuto	glouton	overseer
oluparapo	combinaison	joint
olusoju	garde	ambassador
oluwakiri	exploration	explorer
olympus	olympe	olympus
olódùmarè	tout-puissant	almighty god
olóyè	règle	chief
olóṣèlú	politicien	politics
olùbátan	ce contact	relative
olùdarí	un chef	director
olùkópa	donateur	participant
olùkó	instructeur	teacher
olùkọ́	prof	teacher
omi	l&#39;eau	water
omiadalu	inonder	mixture
onialjebra	onialjebra	of algebra
onibugbe	locataire	population
onigbeja	constructif	allied
onigbowo	un sponsor	sponsor
onigunfenfe	passif	large angle
onilanaibagbepo	préservatif	constitutional
onilile	propriétaires	solid
oninawo	emprunteur	financial
onipin	rationnel	even
onisayensi	technicien	scientific
onisowo	commerçant	trader
oniyewumeji	binaire	two-chamber
oniyijulo	impressionnant	highest honour
onje	régime	food
onka	calculatrice	counter
onígbàgbó	vieil homme	believer
oníkólóbó	injurieux	onikolobo (place)
onílẹ̀	vers le bas	land owners; citizens (omo onile)
oníná	feu	electronic
onítumò	traducteur	meaning
onítèbọmi	les baptisés	baptist
onítòhùn	comptable	that person
oníwòsàn	le soigneur	doctor
oníyanjù	animé	persevere
ooni	crocodile	ooni (king)
ootọ́	vrai	truth
opec	opec	opec
opposite	contraire	odi
ori	tête	top
oriire	toutes nos félicitations	success
oriki	oriental	name of endearment
orileede	la nation	country
orileedeajoba	impérialisme	monarchic country
orilejoba	gouvernement	seat of government, kingdom
orileominira	chaleur	republic
orinìyìn	une chanson	songs of praise
orisirisi	variété	various
orisun	la source	source
orisa	origines	god
oritameta	au milieu	crossway
orudnun	annuel	mispelled...should orundun, century
oruko	nom	name
oríilè	nationale	land
oríilẹ̀	article	land
oríkì	poésie	family name
orílèèdè	nation	country
orílẹ̀	nation	continent
orílẹ́	soirée	nation
orísiirísi	divers	various
orísìí	variété	type
orísìírísi	différents types	various
orúko	le champ	name
oscar	oscar	oscar
oseluarailu	civil	political unit
otherwise	autrement	ibaje
otutu	beaucoup	coldness
oun	il	it
owojagidijagan	les terroristes	upheaval
oúnjẹ	aliments	food
odún	l&#39;année	year
ojó	il pleut	day
okùnrín	rire	man
olórun	dieu	god
olósìn	religieux	rearing
odun	annuel	year
olorun	dieu	god
omonìyàn	êtres humains	human beings
opolo	beaucoup	brain
ose	ose	week
oyé	le monde	harmattan
ofò	bonjour	nothingness
opolo	beaucoup	brain
paa	éteindre	back
paapaa	surtout	especially
padá	cosse	go back
palauan	palauan	palauan
panaˈma	panama	panama
panyanan	l&#39;espace	spanish
papa	papa	specifically
parapọ̀	mélange	join
paripari	la fin	finally
pele	charmant	hello
penh	penh	penh
penisula	pénisule	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	perle	with
phillipines	phillipines	phillipines
pinsi	en baisse	divided
pinsoto	pinoto	separated
pinu	déterminé	decide
pipo	beaucoup	plenty
pipolongo	publicité	publicise
piposi	beaucoup	multiplication
platos	platos	plato's
plánẹ́tì	plomberie	planet
po	po	share
pojulo	le plus haut	larger
polandi	polonais	poland
polaroid	polaroïd	polaroid
population	population	ero
portonovo	portonovo	porto novo
portuguese	portugais	portuguese
press	presse	press
produced	produit	yo
protokolu	protocolu	protocol
proton	proton	kemika alaropo
providence	providence	providence
príncipe	principe	principe
pupa	rouge	red
px|kùránì	px |	koran or quran; the px  does not belong
pàmò	plus précisément	pamo (town)
pàràkòyí	immédiatement	parakoyi
pààlà	une limite	signalised
pàápàá	surtout	especially
pásíà	le sous-sol	persia
pátáporongodo	absolument	entire
pè	appelé	that
pèhìndà	sperme	turned back
pèlu	de même que	with
pèlúpèlú	ainsi que	in addition
pèsè	à condition de	provide
pé	cette	that
péré	seulement	only
péé	cette	that
pípa	abattage	order
pípèsè	disposition	providing
pípẹ́	longue	long
pòwe	les proverbes	to say a proverb or wise saying
pò	plier	join
púpo	trop	much
púpò	plutôt	a lot
quran	coran	quran
ra	acheter	self
race	course	ere
rajya	espérer	rajya
ramadan	ramadan	ramadan
rank	rang	ipo
reggae	reggae	reggae
repeats	répète	tunso
repetejulo	les plus sensibles	most of all
rere	bien	success
research	recherche	agbeyewo
richard	richard	richard
right|thumb|px|aworan	droit | pouce | px | image	picture
rinle	nouvellement	emphasise
riresile	enregistreur	humbled, lowered
riro	imagination	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	pense	thought
robinson	robinson	robinson
roboto	surfaces	round
rogbodiyan	émeute	riot
rokirika	navigation	publicise
roko	foule	farm work
roma	roma	roma
rome	chrome	rome
ronald	ronald	ronald
rorùn	facile	easy
rossii	rossii	rossii
rural	rural	igberiko
ryan	ryan	ryan
ráhàn	apparu	complain
ránmú	inquiéter	grumble
république	république	republic
ré	c	his/her
rìn	marcher	should be orin, song or music
ròyìn	signalé	give account
rẹ	sa	it
saarc	retirer	saarc
saaree	supérieur	after death
saarland	sur le plancher	saarland
safari	safari	safari
saffana	saphir	savannah
safiwe	comparaison	describe
safta	s&#39;aligner	safta
saheli	commodité	sahel
sakyamuni	le suivant	sakyamuni
sakyas	sakyas	sakyas
salem	salem	salem
salàyé	la vie	explained
sambia	jeunesse	zambia
samioro	disponible	signal
santa	père noël	santa
say	dire	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	mer	odo
seat	siège	itedo
segbese	peut-être	take steps
seidamo	clair	identify
semolara	asthme	accustom
semudaju	bien sûr	assure
senegal	sénégal	senegal
sense	sens	sensi
seville	séville	seville
sewadi	chercher	investigate
sharon	sharon	sharon
sibesibe	encore	further more
sihamoni	structure	sihamoni
sile	derrière	previously
silè	gouttes	on the ground
sinai	péché	sinai
sinsin	religion	unshakably
sioux	sioux	sioux
sise	cuisine	works
sisodagba	grandir	came of age
sisopo	mise en relation	joined
sisupapoerekusu	cracher	neighbouring islands
sisupo	multiplier	concentrated
slovo	slovo	slovo
so	l&#39;amour	turned
sohun	oui	something
solomon	salomon	solomon
soon	bientôt	lai'pe
sopin	fin	ended
so	alors	tells
spectacular	spectaculaire	damanran
stella	stella	stella
structures	les structures	igbekale
suez	suez	suez
sugbo	mais non	but
sugbọ́n	rationnel	but, however
sun	soleil	sleep
suny	ensoleillé	suny
swahili	swahili	swahili
symmetry	symétrie	ogbooga
sàbúrí	par dessus tout	saburi
sàmì	un panneau	signalize
sàn	le meilleur	flow
sàngó	gang	sango (god of thunder)
sàì	bien	un
sápadè	ce jour	run to
sáàpàdé	parrainage	saapade
sáààrin	entre	between
são	le nouveau	sao
sèle	vol	down
ségun	pleurer	conquered
sénégal	sperme	senegal
séyìn	arrière	back
séyìn	arrière	at the back of
sìbẹ̀	encore	there
sìni	crevette	likewise
síbèsíbè	néanmoins	further more
síbú	au sol	ocean
sílẹ̀	laisser tomber	drop
síse	travail	doing
síso	encore	spoken
síso	encore	saying
síta	à l&#39;extérieur	outing
síwon	leur	to them
síwájú	en avant	comes before
síí	ici	on it
sòrò	lavage de cerveau	talk
sójà	soldat	soldier
sóko	plante	to the farm
sùgbón	au contraire	but
sọ	dire	lose
si	certainement	to
síse	structure	performing
sùgbón	au contraire	but
se	ils font	do
sepò	enfin	cooperation
sisé	faire des exercices	work
sááju	prend une minute	before
sísa	s .ía	to be
sísè	traduction	step
tabi	ou	or
tabili	table	table
tabora	évitement	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	contraintes	valiant
talaka	pauvres	poor
talika	la pauvreté	the poor
tara	neuf	wholly
tata	filtre	wildly
taínos	taínos	tainos
technology	la technologie	tekinoloji
tedo	sortir ensemble	stay
teksas	texas	texas
tele	suivre	before
temptation	cherchant	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	les	does no directly translate
they	ils	won
those	ceux	awon
thumb|left|upright|nelson	pouce | gauche | droit | nelson	apa osi naro
tira	tendu	quranic verse
tirana	tirana	tirana
tirè	le sien	own
titu	tirer	cold (if it's a person's name, it is tutu)
tiwọn	les leurs	theirs
to	à	it
toje	rare	that is
tokasi	souligné	pointing to
tokyo	tokyo	tokyo
tolerejulo	toléré	most profitable
tolórítelémù	holocauste	all manners of people
tomé	tomate	tome
tooto	vraiment	true
tori	tori	because
torun	brunette	heavenly
toseluaralu	politique	political
tounsejanu	tragique	control
traduite	traduite	traduite
translated	traduit	tunmo
tumosi	veux dire	means
tuntun	nouveau	new
tàsí	sans pour autant	or
tàwon	leur	theirs
táawà	se prosterner	we
tèlé	suivre	before
tètè	rapidement	quickly
tèlé	immédiatement	follow
tèsíwájú	faire des progrès	progress
té	t	follow
télè	par	before
té	t	shamed
títi	fermé	till
títèlé	suivre	following
títío	jusqu&#39;à ce que	until
tíátà	des billets	theater
tíórì	pneus	that is seen
tò	ensemble	enough
tóbi	grand	big
tódárajùlọ	le meilleur	most beautiful
tókù	du repos	others
tówùú	n&#39;importe quel montant	whatever
tó	tó	taught
tóka	cité	pointed
tú	déverser	untie
túmò	prune	means
túnse	réarranger	restructured
tẹ̀ǹbẹ̀	puis	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	conspirer	bitterness
ucb	ucb	ucb
umueri	les enfants	umueri
unifasiti	université	university
unla	oui	great
urasílì	uracile	uracil
uribe	l&#39;aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	le chemin	uzbek
venezuela	venezuela	venezuela
vermont	vermont	vermont
victor	victor	victor
videos	vidéos	fidio
vihara	vihara	vihara
villa	villa	villa
viruses	virus	awon eran
visit	visite	ibewo
vz	vz	vz
waa	c&#39;est	ours
waju	visage	future
wari	odeur	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	witkin	witkin
wiwari	découverte	discovered
województwo	folie	wojewodztwo
wole	se connecter	into
woo	courtiser	look
wo	ici	enter
wo	ici	look
won	leur	they
wura	or	gold
wyoming	wyoming	wyoming
wàásù	prêcher	preach
wì	laver	that
wípè	clarté	that
wòfún	coup d&#39;oeil	convenient
wònyí	ceux-ci sont	these
wón	leur	they
wúnrèn	faire des exercices	small amount
wọn	leur	they
wọ̀nyí	celles-ci	these
xd	xd	xd
xiv	xiv	xiv
yafran	alphabet	yafran
yakubu	yakub	yakubu
yan	sélectionner	choose
yanjú	résoudre	solve
yanturu	beaucoup	abundant
yaoundé	yaoundé	yaounde
yewo	amélioration	examine
ye	ouais	suitable
ye	ouais	should
yindinyindin	n&#39;arrête jamais	brightly
yio	doit	will
yiowu	ce sera	any
yipada	tourner autour	change
yiyafunnilo	érosion	borrow
yoo	volonté	will
yori	led	result
york	york	york
yorúbà	yaourt	yoruba
yo	yo	remove
yànan	étonnement	scattered
yàtò	installer	other than
yára	dépêchez-vous	quickly
yèwò	regardez	examine
yée	laisse les	eplained to
yì	aller	this
yìí	ce	this
yí	tourner autour	this
yíyípadà	changement	changed
yíì	vous serez	this
yíò	ce sera	it will
yẹ̀ẹ́	tu sais	check
yọ	retirer	bring out
zanzibar centralsouth	zanzibar centralsouth	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	une façon	bce
àbe	babouin	under
àbámẹ́ta	jeudi	saturday
àbáyo	suggestion	breakthrough
àbìkú	immortalité	'born to die' child
àbọ̀	moitié	result
àdámò	intimité	earmark
àdátá	l&#39;opposé	adata
àdáátán	exclusif	adaatan
àdóolóró	pétrole	bomb
àgbàjọ	le vieil homme	assembly
àgbàrá	inonder	power
àgbáríjọ	organisation	combination
àgbékà	abstrait	suitable
àgbéyèwò	la revue	examination
àgbìgbò	quartier	a type of bird
àgbùdo	cour	corn
àgọ́	tente	ago
àifète	objectif	unable to keep quiet
àjo	voyage	board
àjákọ	une part	ajako
àjọṣepọ̀	social	union
àkosílè	abstraction	written
àkosílè	thèse	written account
àkàrà	gâteaux	bean pudding
àká	étagères	store
àkójopò	groupe	collection
àkókó	le temps	previous
àlàkalè	buts	breakdown, explanation of actions
àlàyé	information	explanation
àlàáfíà	paix	peace
àlááfià	analogie	wellbeing
àlè	connard	mistress, concubine, (side booty)
àlèpò	au dessus	joined together
àlébù	défaut	ills
àmérìkà	surnaturel	america
àmì	signe	sign
àmúlò	pratique	synonyms
àmúsorò	psychologie	resources
ànfàní	opportunité	opportunity
àpapọ̀	dans son ensemble	federal
àpeere	exemple	example
àrígbámú	inquiétant	assistant
àrùn	maladie	disease
àrẹ	président	president
àse	le banquet	authority
àsàjemátèe	aube	cunning
àsèyìn	conséquences	at the end
àsìkò	temps	time
àsótélè	extension	prophecy
àsọdọ̀kan	unité	unitary
àsekúdórógbó	écorce	do or die
àsà	douane	habit, culture, norm
àtijo	obsolète	olden days
àtìpó	l&#39;extraterrestre	sojourn
àtòrìnká	rond point	urinating while walking
àtúnse	éditer	modification
àtúnse	éditer	renovate, fix
àtẹnudẹ́nu	oral	oral
àwon	théories	they
àwón	l&#39;argent	the
àwón	argent	the
àwùjo	société	community
ààtò	rituel	suitability
ààyè	vivant	space
àárín	au milieu	middle
àáyá	sperme	seconds
àìkó	carence	unlearned
àìní	vouloir	lack
àìròtélè	inattendu	unthought of
àìsí	absence	lack
án	t	it
áwon	fornication	those
èbà	les moustiques	cassava flour food
èbúté	port	shore
èdá	création	creature
èdè	langue	language
èdè	langue	language
èfòn	tendu	efon
èhìn	le suivant	outskirt
èka	branche	branch
èkejì	l&#39;autre	second
èlò	ustensiles	tool
ènìkan	quelque chose	someone
èràn	maladie	virus
èrò	pensées	thoughts
èsó	mosquée	modesty
èsúrú	fourmis	yam (indigenous to west africa)
ète	objectif	plan
èyì	dignité	this
èka	effet	branch
èro	pensées	machine
èrí	preuve	witness
èsìn	religion	religion
èwù	chemise	clothe
èpón	beaucoup	modifier
ìbarà	fièvre	ibara (town)
ìbánisòrò	la connexion	dialogue
ìbáraeni	le chariot	to themselves
ìbílè	droit de naissance	local
ìbílè	droit de naissance	local
ìdàgbà	l&#39;âge adulte	grow
ìdàpapọ̀	consolidation	union
ìdàrúdàpò	le chaos	misunderstanding
ìdá	désertion	division
ìdìmú	perturbation	branch, part
ìdíisin	cause	idi-isin
ìdíwòn	votre raison	criteria
ìdó	piquer	ido (a person's name)
ìfara	torture	self
ìfojúìtànìgbesiayé	l&#39;histoire de la vie	biography
ìfáàrà	un prêtre	introduction
ìgbonnìbí jé	c&#39;est une catastrophe	igbonnibi
ìgbà	temps	when
ìgbàgbé	oublieux	forgetfulness
ìgbá	ailes	time
ìgbáraga	force	pride
ìgbéraga	fierté	pride
ìgbésí	la vie	life
ìgbò	ram	igbo people
ìhun	le fer	things
ìjo	danse	church
ìjo	l&#39;église	church
ìjoba	gouvernement	government
ìjora	haine	resemblance
ìjìnlè	mystère	comprehensive
ìjìnlè	mystère	mysterious
ìjò	chef	consent
ìjọba	gouvernement	government
ìkejì	l&#39;autre	second
ìkànna	le même	ikanna (town)
ìkèrèkú	congestion	ikereku
ìkéde	déclaration	advert
ìkìjà	un défi	ikija
ìkìlò	abuser de	warning
ìkínin	le sixième	greetings
ìkẹrin	le quatrième	fourth
ìkọpa	participation	ikopa
ìlera	santé	health
ìlo	appel	use
ìlà	contour	border
ìlànàn	illusion	procedure
ìlàorùn	ecchymoses	east
ìlàìnàró	oppression	vertical
ìlè	corruption	land
ìlé	accueil	land
ìmò	serpent	knowledge
ìmò	foudre	knowledge
ìmóbìdo	le droit d&#39;aînesse	imobido
ìmú	nez	knowledge
ìmúnilérú	les abus	slavery
ìmúsára	à renforcer	contagious
ìnagije	la victoire	alias
ìnáwó	dépense	expenditure
ìpolongo	la publicité	advertisement
ìpìlẹ̀núkléù	chiffrement	base
ìpìnlè	le début	foundation
ìpínrò	paragraphes	economize
ìrànlọ́wọ́	aidez-moi	help
ìrànàna	aidez-moi	path-clearing
ìràwọ̀	les étoiles	s
ìrí	expérience	sight
ìròkò	pensée	iroko
ìròyìn	nouvelles	news
ìròyìnwiki	nouvelles	wikinews
ìròrùn	illusion	peaceful
ìró	du son	sound
ìrúbo	effondrer	sacrifice
ìsawo	divination	divinity-practice
ìse	action	behaviour
ìsinsìnyí	maintenant	modern
ìsirò	calcul	adding
ìsomó	joindre	attachment
ìsàlè	le coucher du soleil	down town
ìsèlè	production	happening
ìsìn	religion	worship
ìsòrò	méditation	speech
ìsòrí	subdivision	chapter
ìsú	épaisseur	lump
ìsọ	magasins	stall
ìse	action	work
ìsègbèfábo	diligence	female support
ìsèdá	création	creation
ìsèjoba	gouvernement	government
ìsílé	accueil	house opening
ìsòro	difficulté	problem
ìse	action	action
ìta	à l&#39;extérieur	outside
ìtaeko	atelier	outskirts of eko
ìtan	l&#39;histoire	story
ìtokò	le pot	story
ìtàn	l&#39;histoire	history
ìtànkálé	inondations	spread
ìtèsíwájú	le progrès	progress
ìtójú	se soucier	treatment
ìtóju	confusion	treatment
ìtójú	expressions faciales	treatment
ìtóka	être battu	dictionary
ìtúmò	traduction	meaning
ìtúpalè	traduction	exposition
ìwe	comparaison	book
ìwo	cornes	horn
ìwàásù	prédication	sermon
ìwéré	brochure	iwere (town)
ìwò	global	set
ìwòran	vision	viewing
ìwúlò	utile	usefulness
ìya	souffrance	mother
ìyapa	séparation	divorce
ìyàwó	la mariée	wife
ìyípadà	conversion	transformation
ìṣèlú	politique	politics
ìṣẹ́kù	le reste	broken
ìṣọ̣̀tẹ̣̀	pneumonie	rebellion
òde	à l&#39;extérieur	society
òdeojú	sans visage	surface
òdo	jeunesse	zero
òdìkejì	l&#39;autre	opposite
òféàrán	une image	a town name
ògbójú	compétent	brave
ògiri	mur	wall
ògo	gloire	glory
ògun	médicament	medicine
ògúndìpẹ̀	poudreux	ogundipe
òjo	ressembler	ojo
òjísé	le docteur	servant
òkèògbún	un millier	oke-ogbun
òkòòkan	un par un	each
òkú	cadavres	corpse
òkúta	une pierre	stone
òle	femme au foyer	lazy
òmiràn	le sorcier	other
òmùàrán	une image	omu-aran (town)
òní	aujourd&#39;hui	today
òotó	vérité	true
òpópóònà	route	highway
òranyàn	obligatoire	a must
òrìsà	idoles	god
òrí	chapitre	top
òrò	cerveau	word
òsán	le midi	afternoon
òsèlú	politicien	politics
òsèré	athlète	player
òwù	tissu	owu
òṣèlú	politique	politician
òjògbón	climat pluvieux	learned person
òkan	une	heart
òkòòkan	un par un	each
òpòlopò	beaucoup	many
òré	jeu	friend
òfò	le suivant	sorrowful
òpòlopo	beaucoup	lot of
òré	jeu	friend
òrò	pensées	word
òsà	poisson rouge	lagoon
òwó	argent	hand
òrò	pensées	word
òròàjòmó	les matins	part of speech
ó	il	that
óníse	il est designer	stricken
ósírísì	salive	diverse
ósékú	il est mort	die suddenly
ó	oui	word
ôdún	an	year
únṣẹlẹ̀	tremblement de terre	formed
şe	faire	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	ˈøːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	maladie	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	ouverture	work
ṣàkóbá	nocif	incriminate
ẹdo	blague	edo
ẹlẹ́bùn	un cadeau	award winner
ẹlẹ́sìn	religieux	religionist
ẹnìkan	une personne	someone
ẹsẹ	pieds	verse
ẹtì	foie	friday
ẹ̀kaawon	soumissions	branch of
ẹ̀kabrítánì	oncle	part of britain
ẹ̀kajuly	mai	chapter july
ẹ̀kaoṣù	épineux	month
ẹ̀kasístẹ̀mù	subjectif	sistemu=system
ẹ̀kẹ́ta	le troisième	third, the third
ẹ̀kọ́	éducation	teachings
ẹ̀ni	oms	person
ẹ̀rọ	machinerie	machine
ẹ̀wẹ̀	d&#39;autre part	leaf
ọbàkàn	demi-frère	step-sister
ọdún	an	year
ọlọ́mọ	les enfants	members
ọlọ́run	un dieu	god
ọmú	tu crains	breast
ọmọ	enfant	c
ọn	il	him
ọpọ́lọpọ́	figues	many
ọ̀dọ́	jeunesse	youth
ọ̀gbìn	plante	seedlings
ọ̀nà	façon	ways
ọ̀pòlòpò	action	various
ọ̀rọ̀	parler	word
ọ̀sẹ	la semaine	week
