aajo	nacasnimo	hospitality
nkàn	kansarka	something
nnaji	adeer	nnaji
nobel	nobel	nobel
nombamewa	isku dhufashada	decimal
nombáméjì	labada koowaad	two-number
novo	novo	novo
nri	cuntada	nri
nse	naqshadeynta	acting
nso	dhow	saying
nsolaboraro	amniga	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	barta	indicates
nu	nadiif ah	in
nukleotidi	nucleotide	nucleotides
nukleotidipupo	nucleotide	cell
numeri	kabuubyo	numbers
nwa	cunug	drill
nàìjíríà	gudaha nigeria	nigeria
náwo	kharash	spend money
náà	sidoo kale	that
nì	buurta	is
nìnú	raali ahaw	in
nìyí	kanu waa	this is
ní	leeyihiin	on
níbè	halkaas	there
níbè	halkaas	there
nífẹ̀ẹ́	in la jeclaado	love
nígbàtí	goorma	when
nílè	hoosta	on the ground
nílùú	ee magaalada	in the town
nílẹ̀	dhulka dushiisa	in the land
nínlá	weyn	large
nínu	fursad	in
níní	inay lahaadaan	having
nípà	ugu yaraan	by
nítorípé	maxaa yeelay	because
nítumò	macnaha	meaningful
nítòsí	u dhow	nearby
nítòótó	sax ah	truly
nítòótọ́	dhab ahaantii	in truth, truthfully
níwájú	ka hor	in front
níyanjú	si togan	solved
nǹkan	shay	things
nso	soo dhowaanaya	say
oba	obama	king
obairanderan	inaadeer	hereditary
obere	yar	started
obínibí	xushmad	inborn
ododo	xaqnimo	righteousness
ofin	sharciga	law
ogbè	gobolka	a divinity
ogun	dagaal	war
ogunlogo	dad badan	hundreds
ojo	u eg	day
ojojumo	maalin kasta	daily
ojoru	diirimaad	wednesday
ojukokoro	damacnimo	covetousness
ojuoorun	qorrax dhaca	atmosphere
ojuse	mas&#39;uuliyad	responsibility
ojùkòsì	roobab	ojukosi
ojùkòtúu	roobab	ojukotuu
ojúlùmọ̀	isbarasho	acquaintance
ojútáyé	indha la’aan	public
ojúìwé	bogga	page
okeere	dibada	distant
okhotsk	okhotsk	okhotsk
oko	duurka	farm
okunkun	gudcurka	darkness
okunrin	ninka	male person
olodiajodojuko	midba midka kale	facing wall
olohun	milkiilayaasha	god
olojukanna	isla markiiba	same surface
olokunkun	dhagaha dhegaha	popular
ololugbe	guuldareystay	occupants
olopon	kibirsan	a local game
olora	dufan	fertile
oloselukan	haye	one political
oloye	geesi	chief
oluda	abuuraha	creator
oludase	soo saare	separatist
olukoitan	macallin	the writer
olukowe	qoraa	writer
olumojuto	hunguri	overseer
oluparapo	isku darka	joint
olusoju	ilaali	ambassador
oluwakiri	sahaminta	explorer
olympus	olympus	olympus
olódùmarè	allaha awooda badan	almighty god
olóyè	taliye	chief
olóṣèlú	siyaasiga	politics
olùbátan	xiriirkan	relative
olùdarí	hogaamiye	director
olùkópa	tabaruc	participant
olùkó	macallin	teacher
olùkọ́	macallin	teacher
omi	biyo	water
omiadalu	daad	mixture
onialjebra	onialjebra	of algebra
onibugbe	kireyste	population
onigbeja	wax dhisi kara	allied
onigbowo	kafaalasho	sponsor
onigunfenfe	marin ah	large angle
onilanaibagbepo	cinjirka galmada	constitutional
onilile	milkiileyaasha guryaha	solid
oninawo	deyn bixiye	financial
onipin	caqli gal ah	even
onisayensi	farsamo yaqaan	scientific
onisowo	ganacsade	trader
oniyewumeji	binary	two-chamber
oniyijulo	cabsi leh	highest honour
onje	cuntada	food
onka	xisaabiyaha	counter
onígbàgbó	oday	believer
oníkólóbó	aflagaado ah	onikolobo (place)
onílẹ̀	hoos	land owners; citizens (omo onile)
oníná	dab	electronic
onítumò	turjubaan	meaning
onítèbọmi	la baabtiisay	baptist
onítòhùn	xisaabiye	that person
oníwòsàn	dhakhaatiirta	doctor
oníyanjù	animated	persevere
ooni	yaxaas	ooni (king)
ootọ́	run	truth
opec	opec	opec
opposite	soo horjeedda	odi
ori	madaxa	top
oriire	hambalyo	success
oriki	oriental	name of endearment
orileede	qaranka	country
orileedeajoba	gumaysiga	monarchic country
orilejoba	dowladda	seat of government, kingdom
orileominira	diirimaad	republic
orinìyìn	hees	songs of praise
orisirisi	kala duwan	various
orisun	isha	source
orisa	asal ahaan	god
oritameta	dhexe ee	crossway
orudnun	sanadle ah	mispelled...should orundun, century
oruko	magac	name
oríilè	qaran	land
oríilẹ̀	maqaal	land
oríkì	gabay	family name
orílèèdè	qaran	country
orílẹ̀	qaran	continent
orílẹ́	fiidkii	nation
orísiirísi	kala duwan	various
orísìí	kala duwan	type
orísìírísi	noocyo kala duwan	various
orúko	duurka	name
oscar	oscar	oscar
oseluarailu	rayid ah	political unit
otherwise	haddii kale	ibaje
otutu	badan	coldness
oun	isagu	it
owojagidijagan	argagixisada	upheaval
oúnjẹ	cuntada	food
odún	sanadka	year
ojó	waa roob	day
okùnrín	qosol	man
olórun	ilaahow	god
olósìn	diinta	rearing
odun	sanadkii	year
olorun	ilaahow	god
omonìyàn	aadanaha	human beings
opolo	badan	brain
ose	ose	week
oyé	aduunka	harmattan
ofò	subax wanaagsan	nothingness
opolo	badan	brain
paa	dami	back
paapaa	gaar ahaan	especially
padá	qalin	go back
palauan	palauan	palauan
panaˈma	panaˈma	panama
panyanan	the_space	spanish
papa	babaar	specifically
parapọ̀	isku qasid	join
paripari	dhamaadka	finally
pele	soojiidasho leh	hello
penh	penh	penh
penisula	guska	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	luul	with
phillipines	filiboyinka	phillipines
pinsi	hoos u dhac	divided
pinsoto	pinoto	separated
pinu	go&#39;aamiyay	decide
pipo	badan	plenty
pipolongo	xayeysiinta	publicise
piposi	wax badan	multiplication
platos	platos	plato's
plánẹ́tì	tuubbada	planet
po	po	share
pojulo	ugu sareeya	larger
polandi	boolis	poland
polaroid	polaroid	polaroid
population	tirada dadka	ero
portonovo	portonovo	porto novo
portuguese	portuguese	portuguese
press	riix	press
produced	soo saaray	yo
protokolu	borotokool	protocol
proton	proton	kemika alaropo
providence	gaarsiinta	providence
príncipe	príncipe	principe
pupa	casaan	red
px|kùránì	px | kernel	koran or quran; the px  does not belong
pàmò	gaar ahaan	pamo (town)
pàràkòyí	isla markiiba	parakoyi
pààlà	soohdin	signalised
pàápàá	gaar ahaan	especially
pásíà	gunta hoose	persia
pátáporongodo	gabi ahaanba	entire
pè	loo yaqaan	that
pèhìndà	shahwada	turned back
pèlu	weheliso	with
pèlúpèlú	sidoo kale	in addition
pèsè	lasiiyay	provide
pé	taasi	that
péré	kaliya	only
péé	taasi	that
pípa	gawraca	order
pípèsè	bixinta	providing
pípẹ́	dheer	long
pòwe	maahmaahyadii	to say a proverb or wise saying
pò	laabid	join
púpo	aad u badan	much
púpò	halkii	a lot
quran	quran	quran
ra	iibso	self
race	tartan	ere
rajya	rajo	rajya
ramadan	ramadan	ramadan
rank	darajo	ipo
reggae	reggae	reggae
repeats	ku celceliya	tunso
repetejulo	ugu dareenka badan	most of all
rere	wanaagsan	success
research	cilmi baaris	agbeyewo
richard	richard	richard
right|thumb|px|aworan	midig | suulka | px | sawir	picture
rinle	cusub	emphasise
riresile	duubista	humbled, lowered
riro	male awaal	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	ka fikir	thought
robinson	boob	robinson
roboto	sagxadaha	round
rogbodiyan	rabshado	riot
rokirika	daalacashada	publicise
roko	abaabul	farm work
roma	roma	roma
rome	chrome	rome
ronald	ronald	ronald
rorùn	fududaan	easy
rossii	rossii	rossii
rural	miyiga	igberiko
ryan	ryan	ryan
ráhàn	muuqday	complain
ránmú	walwal	grumble
république	république	republic
ré	c	his/her
rìn	socodka	should be orin, song or music
ròyìn	ayaa la sheegay	give account
rẹ	iyada	it
saarc	ka saar	saarc
saaree	ka sarreeya	after death
saarland	dabaqa	saarland
safari	safari	safari
saffana	safayr	savannah
safiwe	isbarbar dhig	describe
safta	safka	safta
saheli	ku habboonaanta	sahel
sakyamuni	kan xiga	sakyamuni
sakyas	sakyas	sakyas
salem	salem	salem
salàyé	nolosha	explained
sambia	dhalinyarada	zambia
samioro	la heli karo	signal
santa	santa	santa
say	dheh	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	badda	odo
seat	kursi	itedo
segbese	suurto gal	take steps
seidamo	caddee	identify
semolara	neefta	accustom
semudaju	dabcan	assure
senegal	senegal	senegal
sense	dareen	sensi
seville	seville	seville
sewadi	raadin	investigate
sharon	sharon	sharon
sibesibe	weli	further more
sihamoni	qaab dhismeedka	sihamoni
sile	gadaal	previously
silè	dhibco	on the ground
sinai	dembiga	sinai
sinsin	diinta	unshakably
sioux	sioux	sioux
sise	karinta	works
sisodagba	koraya	came of age
sisopo	isku xidhka	joined
sisupapoerekusu	candhuuf	neighbouring islands
sisupo	ku dhufo	concentrated
slovo	slovo	slovo
so	jacayl	turned
sohun	haa	something
solomon	solomon	solomon
soon	goor dhow	lai'pe
sopin	dhamaadka	ended
so	sidaas	tells
spectacular	cajiib ah	damanran
stella	stella	stella
structures	dhismayaasha	igbekale
suez	suez	suez
sugbo	laakiin maahan	but
sugbọ́n	caqli gal ah	but, however
sun	qorrax	sleep
suny	qorrax leh	suny
swahili	sawaaxiliga	swahili
symmetry	summad	ogbooga
sàbúrí	ka sarreeya dhammaan	saburi
sàmì	calaamad	signalize
sàn	ka fiican	flow
sàngó	burcad	sango (god of thunder)
sàì	si fiican	un
sápadè	maanta	run to
sáàpàdé	kafaalaqaad	saapade
sáààrin	inta udhaxeysa	between
são	midka cusub	sao
sèle	xatooyo	down
ségun	oohinta	conquered
sénégal	shahwada	senegal
séyìn	dib	back
séyìn	dib	at the back of
sìbẹ̀	weli	there
sìni	shiir	likewise
síbèsíbè	si kastaba ha noqotee	further more
síbú	dhulka	ocean
sílẹ̀	hoos u dhig	drop
síse	shaqada	doing
síso	wali	spoken
síso	wali	saying
síta	banaanka	outing
síwon	iyaga	to them
síwájú	hore	comes before
síí	halkan	on it
sòrò	maskaxda	talk
sójà	askari	soldier
sóko	dhirta	to the farm
sùgbón	lid ku ah	but
sọ	dheh	lose
si	dhab ahaan	to
síse	qaab dhismeedka	performing
sùgbón	lid ku ah	but
se	way sameeyaan	do
sepò	ugu dambeyntii	cooperation
sisé	ka shaqee	work
sááju	daqiiqad qaado	before
sísa	s .ía	to be
sísè	turjumaad	step
tabi	ama	or
tabili	miis	table
tabora	ka fogaansho	tabora
taino	dino	taino
tainos	taataasiinada	tainos
takuntakun	caqabadaha	valiant
talaka	sabool ah	poor
talika	saboolnimada	the poor
tara	sagaal	wholly
tata	filter	wildly
taínos	taínos	tainos
technology	tikniyoolajiyadda	tekinoloji
tedo	shukaansi	stay
teksas	texas	texas
tele	la soco	before
temptation	raadinaya	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	ah	does no directly translate
they	iyaga	won
those	kuwa	awon
thumb|left|upright|nelson	suulka | bidix | qumman | nelson	apa osi naro
tira	xiisad	quranic verse
tirana	tirana	tirana
tirè	uu	own
titu	toogasho	cold (if it's a person's name, it is tutu)
tiwọn	iyaga	theirs
to	ku	it
toje	naadir	that is
tokasi	tilmaamay	pointing to
tokyo	tokyo	tokyo
tolerejulo	dulqaad leh	most profitable
tolórítelémù	holocaust	all manners of people
tomé	yaanyo	tome
tooto	runtii	true
tori	tori	because
torun	dhalaal	heavenly
toseluaralu	siyaasadeed	political
tounsejanu	naxdin leh	control
traduite	traduite	traduite
translated	tarjumay	tunmo
tumosi	macnaheedu	means
tuntun	cusub	new
tàsí	la’aan	or
tàwon	iyaga	theirs
táawà	sujuudsan	we
tèlé	la soco	before
tètè	si deg deg ah	quickly
tèlé	isla markiiba	follow
tèsíwájú	si horumar loo sameeyo	progress
té	t	follow
télè	by	before
té	t	shamed
títi	xidhan	till
títèlé	in la raaco	following
títío	ilaa	until
tíátà	tigidhada	theater
tíórì	taayirada	that is seen
tò	dhigay	enough
tóbi	weyn	big
tódárajùlọ	ugu fiican	most beautiful
tókù	nasasho	others
tówùú	qadar kasta	whatever
tó	tó	taught
tóka	daliil	pointed
tú	ku shub	untie
túmò	rifle	means
túnse	dib u habeyn	restructured
tẹ̀ǹbẹ̀	markaa	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	shirqool	bitterness
ucb	ucb	ucb
umueri	carruurta	umueri
unifasiti	jaamacad	university
unla	haa	great
urasílì	uracil	uracil
uribe	the aura ah	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	jidka	uzbek
venezuela	venezuela	venezuela
vermont	vermont	vermont
victor	guuleyste	victor
videos	fiidiyowyo	fidio
vihara	vihara	vihara
villa	villa	villa
viruses	fayras	awon eran
visit	booqasho	ibewo
vz	vz	vz
waa	waa	ours
waju	waji	future
wari	ur	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	saafi ah	witkin
wiwari	daahfurka	discovered
województwo	cheworddztwo	wojewodztwo
wole	soo gal	into
woo	woo	look
wo	halkan	enter
wo	halkan	look
won	iyaga	they
wura	dahab	gold
wyoming	wyoming	wyoming
wàásù	wacdi	preach
wì	iska dhaq	that
wípè	caddeyn	that
wòfún	jaleecada	convenient
wònyí	kuwanu waa	these
wón	iyaga	they
wúnrèn	ka shaqee	small amount
wọn	iyaga	they
wọ̀nyí	kuwan	these
xd	xd	xd
xiv	xiv	xiv
yafran	alifbeetada	yafran
yakubu	yakub	yakubu
yan	xulo	choose
yanjú	xalin	solve
yanturu	badan	abundant
yaoundé	yaoundé	yaounde
yewo	horumar	examine
ye	haa	suitable
ye	haa	should
yindinyindin	waligaa ha joojin	brightly
yio	doonaan	will
yiowu	waa	any
yipada	leexo	change
yiyafunnilo	nabaad guur	borrow
yoo	doonaa	will
yori	hogaamiyay	result
york	york	york
yorúbà	yogurt	yoruba
yo	yo	remove
yànan	yaab	scattered
yàtò	dhigay	other than
yára	dhaqso	quickly
yèwò	eegid	examine
yée	u daa	eplained to
yì	tag	this
yìí	tan	this
yí	leexo	this
yíyípadà	beddel	changed
yíì	waa inaad	this
yíò	waa	it will
yẹ̀ẹ́	y’oow	check
yọ	ka saar	bring out
zanzibar centralsouth	bartamaha zanzibar	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	ka fog	bce
àbe	daanyeer	under
àbámẹ́ta	subaxnimo	saturday
àbáyo	soo jeedin	breakthrough
àbìkú	aan dhiman karin	'born to die' child
àbọ̀	badh	result
àdámò	asturnaanta	earmark
àdátá	ka soo horjeedda	adata
àdáátán	gaar ah	adaatan
àdóolóró	saliid	bomb
àgbàjọ	odaygii	assembly
àgbàrá	daad	power
àgbáríjọ	urur	combination
àgbékà	aan muuqan	suitable
àgbéyèwò	dib u eegis	examination
àgbìgbò	xaafad	a type of bird
àgbùdo	dayrka	corn
àgọ́	teendho	ago
àifète	ujeedo	unable to keep quiet
àjo	safarka	board
àjákọ	marka laga reebo	ajako
àjọṣepọ̀	bulsho	union
àkosílè	diidmada	written
àkosílè	aragti	written account
àkàrà	keegga	bean pudding
àká	armaajo	store
àkójopò	koox	collection
àkókó	waqtiga	previous
àlàkalè	yoolalka	breakdown, explanation of actions
àlàyé	macluumaad	explanation
àlàáfíà	nabad	peace
àlááfià	isbarbardhiga	wellbeing
àlè	caajis	mistress, concubine, (side booty)
àlèpò	kor ku xusan	joined together
àlébù	cillad	ills
àmérìkà	ka sarraysa	america
àmì	saxeex	sign
àmúlò	wax ku ool ah	synonyms
àmúsorò	cilmu-nafsiga	resources
ànfàní	fursad	opportunity
àpapọ̀	guud ahaan	federal
àpeere	tusaale	example
àrígbámú	khalkhal	assistant
àrùn	cudur	disease
àrẹ	madaxweynaha	president
àse	iid	authority
àsàjemátèe	waaberiga	cunning
àsèyìn	ka dib	at the end
àsìkò	waqti	time
àsótélè	kordhinta	prophecy
àsọdọ̀kan	midnimo	unitary
àsekúdórógbó	jilif	do or die
àsà	caado	habit, culture, norm
àtijo	dib u dhac	olden days
àtìpó	shisheeyaha	sojourn
àtòrìnká	wareegsan	urinating while walking
àtúnse	tafatir	modification
àtúnse	tafatir	renovate, fix
àtẹnudẹ́nu	afka	oral
àwon	aragtiyaha	they
àwón	lacagta	the
àwón	lacag	the
àwùjo	bulshada	community
ààtò	dhaqan	suitability
ààyè	nool	space
àárín	dhexe ee	middle
àáyá	shahwada	seconds
àìkó	yaraanta	unlearned
àìní	raba	lack
àìròtélè	lama filaan ah	unthought of
àìsí	maqnaansho	lack
án	t	it
áwon	sinada	those
èbà	kaneecada	cassava flour food
èbúté	dekeda	shore
èdá	abuurista	creature
èdè	af	language
èdè	af	language
èfòn	xiisad	efon
èhìn	kan xiga	outskirt
èka	laanta	branch
èkejì	tan kale	second
èlò	maacuunta	tool
ènìkan	wax	someone
èràn	cudur	virus
èrò	fikradaha	thoughts
èsó	masaajidka	modesty
èsúrú	quraanjo	yam (indigenous to west africa)
ète	ujeedo	plan
èyì	sharaf	this
èka	saamayn	branch
èro	fikradaha	machine
èrí	caddeyn	witness
èsìn	diinta	religion
èwù	shaati	clothe
èpón	wax badan	modifier
ìbarà	qandho	ibara (town)
ìbánisòrò	xiriirka	dialogue
ìbáraeni	gaari-wadid	to themselves
ìbílè	curadnimo	local
ìbílè	curadnimo	local
ìdàgbà	qaangaarnimo	grow
ìdàpapọ̀	isugeyn	union
ìdàrúdàpò	fowdo	misunderstanding
ìdá	baxsi	division
ìdìmú	khalkhal	branch, part
ìdíisin	sabab	idi-isin
ìdíwòn	sababtaada	criteria
ìdó	xarig	ido (a person's name)
ìfara	jirdil	self
ìfojúìtànìgbesiayé	taariikhda nolosha	biography
ìfáàrà	wadaad	introduction
ìgbonnìbí jé	waa musiibo	igbonnibi
ìgbà	waqti	when
ìgbàgbé	hilmaamay	forgetfulness
ìgbá	baalasheeda	time
ìgbáraga	xoog	pride
ìgbéraga	kibirka	pride
ìgbésí	nolosha	life
ìgbò	wan	igbo people
ìhun	bir	things
ìjo	dhaanto	church
ìjo	kaniisadda	church
ìjoba	dowladda	government
ìjora	nacayb	resemblance
ìjìnlè	qarsoodiga	comprehensive
ìjìnlè	qarsoodiga	mysterious
ìjò	hogaamiye	consent
ìjọba	dowladda	government
ìkejì	tan kale	second
ìkànna	isku mid	ikanna (town)
ìkèrèkú	ciriiri	ikereku
ìkéde	caddeyn	advert
ìkìjà	caqabad	ikija
ìkìlò	xadgudubka	warning
ìkínin	lixaad	greetings
ìkẹrin	afraad	fourth
ìkọpa	kaqeybgal	ikopa
ìlera	caafimaadka	health
ìlo	wacid	use
ìlà	duluc	border
ìlànàn	khayaano	procedure
ìlàorùn	nabar	east
ìlàìnàró	dulmiga	vertical
ìlè	laaluush	land
ìlé	guriga	land
ìmò	abeeso	knowledge
ìmò	hillaac	knowledge
ìmóbìdo	curadnimadiisa	imobido
ìmú	sanka	knowledge
ìmúnilérú	xadgudubyada	slavery
ìmúsára	si loo xoojiyo	contagious
ìnagije	guul	alias
ìnáwó	kharashka	expenditure
ìpolongo	xayeysiinta	advertisement
ìpìlẹ̀núkléù	encryption	base
ìpìnlè	bilowga	foundation
ìpínrò	baaragaraafyo	economize
ìrànlọ́wọ́	i caawi	help
ìrànàna	i caawi	path-clearing
ìràwọ̀	xiddigaha	s
ìrí	khibrad	sight
ìròkò	fikir	iroko
ìròyìn	news	news
ìròyìnwiki	news	wikinews
ìròrùn	khayaano	peaceful
ìró	cod	sound
ìrúbo	dumin	sacrifice
ìsawo	sixirbararka	divinity-practice
ìse	ficil	behaviour
ìsinsìnyí	hadda	modern
ìsirò	xisaabinta	adding
ìsomó	ku biirid	attachment
ìsàlè	qorrax dhaca	down town
ìsèlè	wax soo saar	happening
ìsìn	diinta	worship
ìsòrò	ka fiirsasho	speech
ìsòrí	madax hoosaad	chapter
ìsú	dhumuc	lump
ìsọ	dukaamada	stall
ìse	ficil	work
ìsègbèfábo	dadaal	female support
ìsèdá	abuurista	creation
ìsèjoba	dowladda	government
ìsílé	guriga	house opening
ìsòro	dhib	problem
ìse	ficil	action
ìta	banaanka	outside
ìtaeko	aqoon isweydaarsi	outskirts of eko
ìtan	taariikhda	story
ìtokò	dheriga	story
ìtàn	taariikhda	history
ìtànkálé	daadad	spread
ìtèsíwájú	horumar	progress
ìtójú	daryeel	treatment
ìtóju	jahwareer	treatment
ìtójú	muuqaalka wajiga	treatment
ìtóka	in la garaaco	dictionary
ìtúmò	turjumaad	meaning
ìtúpalè	turjumaad	exposition
ìwe	isbarbar dhig	book
ìwo	gees	horn
ìwàásù	wacdinta	sermon
ìwéré	buug yar	iwere (town)
ìwò	guud ahaan	set
ìwòran	aragti	viewing
ìwúlò	waxtar leh	usefulness
ìya	silica	mother
ìyapa	kala go &#39;	divorce
ìyàwó	aroosadda	wife
ìyípadà	beddelaad	transformation
ìṣèlú	siyaasada	politics
ìṣẹ́kù	inta soo hartay	broken
ìṣọ̣̀tẹ̣̀	burunkiito	rebellion
òde	banaanka	society
òdeojú	wajiga	surface
òdo	dhalinyarada	zero
òdìkejì	tan kale	opposite
òféàrán	muuqaal	a town name
ògbójú	karti leh	brave
ògiri	darbiga	wall
ògo	ammaanta	glory
ògun	daawo	medicine
ògúndìpẹ̀	budo	ogundipe
òjo	u eg	ojo
òjísé	dhakhtarka	servant
òkèògbún	kun	oke-ogbun
òkòòkan	mid mid	each
òkú	mayd	corpse
òkúta	dhagax	stone
òle	xaas	lazy
òmiràn	sixirbararka	other
òmùàrán	muuqaal	omu-aran (town)
òní	maanta	today
òotó	run	true
òpópóònà	wadada	highway
òranyàn	qasab ah	a must
òrìsà	sanamyada	god
òrí	cutubka	top
òrò	maskaxda	word
òsán	duhurkii	afternoon
òsèlú	siyaasiga	politics
òsèré	orodyahan	player
òwù	maro	owu
òṣèlú	siyaasada	politician
òjògbón	cimilo roobaadka	learned person
òkan	mid	heart
òkòòkan	mid mid	each
òpòlopò	badan	many
òré	ciyaarta	friend
òfò	kan xiga	sorrowful
òpòlopo	badan	lot of
òré	ciyaarta	friend
òrò	fikradaha	word
òsà	kalluun dahab ah	lagoon
òwó	lacag	hand
òrò	fikradaha	word
òròàjòmó	hargab	part of speech
ó	waa	that
óníse	isagu waa naqshadeeye	stricken
ósírísì	candhuufta	diverse
ósékú	wuu dhintay	die suddenly
ó	haa	word
ôdún	sanad	year
únṣẹlẹ̀	dhulgariir	formed
şe	samee	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	stəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	jiro	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	furitaanka	work
ṣàkóbá	waxyeelo leh	incriminate
ẹdo	kaftan	edo
ẹlẹ́bùn	hadiyad	award winner
ẹlẹ́sìn	diinta	religionist
ẹnìkan	hal qof	someone
ẹsẹ	cagaha	verse
ẹtì	beerka	friday
ẹ̀kaawon	soo gudbinta	branch of
ẹ̀kabrítánì	adeer	part of britain
ẹ̀kajuly	laga yaabaa	chapter july
ẹ̀kaoṣù	qodax	month
ẹ̀kasístẹ̀mù	mawduuc	sistemu=system
ẹ̀kẹ́ta	saddexaad	third, the third
ẹ̀kọ́	waxbarasho	teachings
ẹ̀ni	hay&#39;ada caafimaadka aduunka	person
ẹ̀rọ	mashiinnada	machine
ẹ̀wẹ̀	dhanka kale	leaf
ọbàkàn	kala bar walaal	step-sister
ọdún	sanadka	year
ọlọ́mọ	carruurta	members
ọlọ́run	ilaah	god
ọmú	waad nuugtaa	breast
ọmọ	cunug	c
ọn	waa	him
ọpọ́lọpọ́	berde	many
ọ̀dọ́	dhalinyarada	youth
ọ̀gbìn	dhirta	seedlings
ọ̀nà	dariiqa	ways
ọ̀pòlòpò	ficil	various
ọ̀rọ̀	hadal	word
ọ̀sẹ	toddobaad	week
