$	usd	dollarsign
fabriek	rūpnīca	factory
fabrieken	rūpnīcas	factories
fabrikant	ražotājs	manufacturer
fabrikanten	ražotāji	producers
face	seja	face
facebook	facebook	facebook
faciliteiten	iespējas	facilities
facto	faktiski	facto
factor	faktors	factor
factoren	faktori	factors
factory	rūpnīca	factory
faculteit	fakultāte	faculty
fagocyt	fagocīti	fagocyct
failliet	bankrotējis	failure
faillissement	bankrots	failure
fair	godīgi	jaarmarkt/ eerlijk
fame	slava	fame
familie	ģimene	family
familieleden	ģimenes locekļi	relatives
families	ģimenes	families
family	ģimene	family
fan	ventilatoru	fan
fans	fani	fans
fantasie	fantāzija	fantasy
farao	faraons	farao
fascisme	fašisms	fascism
fascisten	fašisti	fascists
fascistische	fašists	fascist
fase	fāze	phase
fasen	posmi	phases
fases	posmi	phases
fatale	letāls	fatal
fauna	fauna	fauna
favoriete	mīļākais	favourite
favorite	mīļākais	favoriet
fbi	fbi	federal bureau of investigation
fc	fc	fc
februari	februāris	february
federaal	federālā	federal
federal	federālā	federal
federale	federālā	federal
federatie	federācija	federation
federer	federācija	federer
feel	jūt	feel
feest	ballīte	party
feestdag	brīvdiena	feast
feestdagen	brīvdienas	holidays
feesten	svinēt	celebrations
feit	fakts	fact
feite	patiesībā	in fact
feitelijk	patiesībā	in fact
feitelijke	faktiskais	objective
feiten	fakti	facts
fel	intensīva	fierce
felix	felix	felix
felle	nikns	fierce
female	sieviete	female
feniks	fēnikss	phenix
fenomeen	parādība	phenomenon
feodale	feodāls	feudal
ferdinand	ferdinands	ferdinand
ferrari	ferrari	ferrari
festival	festivāls	festival
festivals	festivāli	festivals
feyenoord	feyenoord	feyenoord
fictieve	izdomāts	fictive
fiction	daiļliteratūra	fiction
fiets	velosipēds	bicycle
fietsen	velosipēdi	bicycle
fietsers	velosipēdisti	cyclists
fifa	fifa	fifa
figuren	skaitļi	figures
figuur	skaitlis	figure
fijn	jauki	fine
filipijnen	filipīnas	phillipines
filipijnse	filipino	filipinjse
filips	philips	filips
film	filma	movie
filmacteur	filmas aktieris	film actor
filmen	filmēt	filming
filmfestival	filmu festivāls	film festival
filmindustrie	filmu industrija	movie industry
filmografie	filmogrāfija	filmography
filmpje	filma	movie
filmpjes	filmas	movies
filmreeks	filmu sērija	film series
films	filmas	films
filosofen	filozofi	philosophers
filosofie	filozofija	philosophy
filosofisch	filozofiski	philosophical
filosofische	filozofiski	philosophical
filosoof	filozofs	philosopher
final	fināls	final
finale	fināls	final
finales	fināls	finals
financieel	finanšu	financial
financieren	finanses	finance
financiering	finansēšana	financing transaction
financiële	finanšu	financial
financiën	finanses	finance
finland	somija	finland
finse	somu	finnish
fire	uguns	fire
firma	stingrs	firm
first	vispirms	first
fiscale	fiskālā	fiscal
fischer	zvejnieks	fischer (proper noun - surname)
five	pieci	five
fles	pudele	bottle
flevoland	flevoland	flevoland
flink	dūšīgs	solid
flinke	dūšīgs	significant
flora	flora	flora
florence	florence	florence
floyd	floyd	floyd
fm	fm	frequency modulation
focus	fokuss	focus
foetus	auglim	fetus
folklore	folklora	folklore
fonds	fonds	fund
fontsizes	fontsizes	fontsizes
foolscap	muļķītis	foolscap
football	futbols	football
for	priekš	for
force	spēks	force
ford	ford	ford
foreman	meistars	foreman
formaat	formāts	size
formaten	formāti	sizes
formatie	veidošanās	formation
formeel	formāls	formal
formele	formāls	formal
formule	formula	formula
formules	formulas	formulas
fors	dūšīgs	substantially
fort	forts	fort
forten	cietokšņi	fortresses
fortuyn	fortuyn	fortuyn
forum	forums	forum
fossiele	fosilijas	fossil
fossielen	fosilijas	fossils
foto	foto	picture
fotografie	fotogrāfija	photography
fotos	fotogrāfijas	pictures
foundation	pamats	foundation
fout	nepareizi	fault
fouten	kļūdas	faults
fox	lapsa	fox
fr	fr	fr
fractie	frakcija	fraction
france	francija	france
francesco	frančesko	francesco
francis	franks	francis
francisco	francisco	francisco
franco	bez maksas	franco
frank	atklāti	franc
franken	franki	franks
frankfurt	frankfurte	frankfurt
frankische	atklāti	frankish
frankrijk	francija	france
frans	franču valoda	frenche
franse	franču valoda	french
fransman	francūzis	frenchman
franstalig	franču valoda	french
franstalige	franciski runājoši	french-speaking
franstaligen	franciski runājošie	french speaking
franz	franzs	franz
françois	fransuā	francois
frazier	frazier	frazier
fred	fred	fred
freddie	fredijs	freeddie
frederik	frederiks	frederik
free	bez maksas	free
frequent	bieža	frequently
frequentie	biežums	frequention
frequenties	frekvences	frequencies
freud	freids	freud
frida	piektdiena	frida
friedrich	frīdrihs	friedrich
friends	draugi	vrienden
fries	frānsisa	fries
friese	frizieris	frisian
friesland	frīzlande	friesland
friezen	frīzes	friezes
frits	frits	frits
fritz	frici	fritz
from	no plkst	from
front	priekšā	front
fronten	frontēs	fronts
fruit	augļi	fruit
frusciante	atsvaidzinošs	frusciante
ft	pēdas	met
full	pilns	full
functie	funkcija	function
functies	funkcijas	functions
functioneert	funkcijas	functionary
functionele	funkcionāls	functional
functioneren	darbiniet	function
fundamenteel	būtībā	fundamental
fundamentele	fundamentāls	fundamental
fungeerde	darbojās	functioned
fungeert	akti	functions
fungeren	tēlot	function
funk	funk	funk
fusie	apvienošanās	merger
future	nākotne	future
fysiek	fiziskā	fysical
fysieke	fiziskā	physical
fysiologische	fizioloģiskā	physiological
fysische	fiziskā	fysical
g	g	g
gaal	gal	gaal
gaan	iet	go
gaande	notiek	ranging
gaandeweg	paceļam	along the way
gaat	iet	turns (1st sentence), is (3rd sentence), assumes (6th sentence)
gaf	deva	gave
gaga	gaga	gaga
gaius	gaius	gaius
gal	gal	gall
galerij	galerija	gallery
galilei	galilei	galileans
galileo	galileo	galileo
gallery	galerija	gallery
gallia	gallija	gallia
gallische	gallic	gallic
game	spēle	game
games	spēles	games
gandhi	gandhi	gandhi
ganesha	ganesha	ganesha
gang	koridors	going
gangbare	izplatīts	usual
ganzenveer	spalvu pildspalva	goose quill
garantie	garantija	guarantee
garde	noslaucīt	garde
garden	dārzs	garden
garros	garros	garros
gary	gari	gary
gas	gāze	gas
gaskamers	gāzes kameras	gas chambres
gaspedaal	gāzes pedālis	accelerator  pedal
gassen	gāzes	gasses
gasten	apmeklētāji	guests
gastheer	saimnieks	host
gastrol	viesa loma	hosting role
gat	caurums	hole
gate	vārti	gate
gaten	caurumi	holes
gates	vārti	gates
gaudí	gaudí	gaudi
gauw	drīz	soon
gave	dāvana	gift
gaven	dāvanas	gifts
gazastrook	gazas josla	gaza strip
geaardheid	orientācija	orientation
geaccepteerd	pieņemts	accepted
geaccepteerde	pieņemts	accepted
geacht	uzskatīts	expected
geallieerde	sabiedrotie	allied
geallieerden	sabiedrotie	allied
gear	rīks	gear
gearresteerd	arestēts	arrested
geassocieerd	saistīta	associated
geavanceerde	advanced	advanced
gebaseerd	balstīta	based
gebaseerde	balstīta	based
gebed	lūgšana	prayer
gebergte	kalnu grēda	mountains
gebergten	kalnu grēdas	mountains
gebeten	sakosts	bitten
gebeurd	noticis	happened
gebeurde	noticis	happened
gebeuren	notikt	happen
gebeurtenis	notikums	event
gebeurtenissen	notikumi	events
gebied	platība	area
gebieden	apgabali	territories
gebit	zobi	teeth
gebleken	izrādijās	shown
gebleven	palika	remained
geblokkeerd	bloķēts	blocked
geboden	pavēlēja	provided
geboekt	rezervēts	booked
gebogen	izliekts	curved
gebonden	saistīties ar	bound
geboorte	dzimšanas	birth
geboortecijfer	dzimstība	birth rate
geboortedatum	dzimšanas datums	date of birth
geboortehuis	dzimšanas māja	place of birth
geboorteplaats	dzimtene	place of birth
geboren	dzimis	born
gebouw	ēka	building
gebouwd	būvēts	builded
gebouwde	būvēts	builded
gebouwen	ēkas	buildings
gebracht	atnesa	brought
gebrek	trūkums	lack
gebroeders	brāļi	brothers
gebroken	salauzts	broken
gebrouwen	brūvēts	brewed
gebruik	izmantot	use
gebruikelijk	kā parasti	usual
gebruikelijke	kā parasti	usual
gebruiken	izmantot	to use
gebruiker	lietotājs	user
gebruikers	lietotājiem	users
gebruikgemaakt	izmantoja	use
gebruikmaken	izmantot	use
gebruikt	izmanto	used
gebruikte	izmanto	used
gebruikten	izmanto	used
gecombineerd	kombinēts	combined
gecombineerde	kombinēts	combined
gecompenseerd	kompensēts	compensated
gecomponeerd	sastādīts	composed
geconcentreerd	koncentrēts	concentrated
geconfronteerd	saskārās	confronted
gecontroleerd	pārbaudīts	controlled
gecreëerd	izveidots	created
gedaald	samazinājās	decreased
gedaan	darīts	done
gedacht	domāja	thought
gedachte	domāja	thought
gedachtegoed	idejas	thought
gedachten	domas	thoughts
gedateerd	datēts	dated back
gedeeld	dalīts	shared
gedeelte	daļa	portion
gedeeltelijk	daļēji	partly
gedeeltelijke	daļējs	partly
gedeelten	daļas	portions
gedefinieerd	definēts	defined
gedeputeerde	vietnieks	gedeputeerde
gedetailleerde	detalizēts	detailed
gedicht	dzejolis	poem
gedichten	dzejoļi	poems
gedomesticeerde	pieradināti	domesticated
gedomineerd	dominēja	dominated
gedood	nogalināts	slain
gedraaid	pagriezts	turned
gedrag	izturēšanās	behaviour
gedragen	izturēties	behave
gedragingen	izturēšanās	behaviors
gedreven	virza	driven
gedronken	piedzēries	have drunk
gedrukt	iespiests	print
gedrukte	iespiests	printed
gedurende	laikā	during
geel	dzeltenā krāsā	yello
geen	nē	no
geert	geert	geert
geest	gars	spirit
geestelijk	garīgi	mental
geestelijke	garīgais	spiritual
geestelijken	garīdznieki	clergymen
geestelijkheid	garīdznieki	geestelijkhied
geesten	spokiem	spirits
gefinancierd	finansēts	financed
geformuleerd	formulēts	formulated
gegaan	aizgājuši	gone
gegeten	ēda	eaten
gegeven	dots	given
gegevens	dati	data
gegraven	izraka	digged
gegroeid	audzis	grown
gehaald	sasniegts	brought into (2nd and 6th sentence), taken off (11th sentence)
gehad	bija	had
gehalte	grāds	content
gehandicapten	invalīds	disabled
gehanteerd	apstrādāts	used
geheel	vesela	whole
geheim	slepeni	secret
geheime	slepeni	secret
geheimzinnige	noslēpumains	mysterious
gehele	vesela	entire
geheten	sauca	named
geheugen	atmiņa	memory
geheven	iekasē	levied
geholpen	palīdzēja	helped
gehoor	dzirde	respond to
gehoord	dzirdēts	heard
gehouden	turēti	held
gehuisvest	izmitināti	accommodated
gek	traks	crazy
gekeken	skatījās uz	looked
gekend	zināms	known
gekenmerkt	raksturo	characterised
gekleed	ģērbies	clothed
gekleurd	krāsains	painted
gekleurde	krāsains	colored
gekocht	nopirkts	bought
gekomen	nāc	come
gekoppeld	saistīts	linked
gekozen	izvēlēts	chosen
gekregen	dabūja	obtained
gekroond	kronēts	crowned
gekweekt	audzis	cultured
geladen	piekrauts	loaded
gelaten	pa kreisi	launched
geld	nauda	money
gelden	pieteikties	count
gelder	gelderis	gelder - proper noun - surname
gelderland	gelderland	gelderland
geldig	derīgs	valid
geldt	attiecas	counts
gele	dzeltenā krāsā	yellow
geleden	pirms	suffered
geleedpotigen	posmkāji	athropods
geleerd	iemācījies	learned
geleerde	zinātnieks	academic
geleerden	zinātnieki	scolars
gelegd	laid	placed
gelegen	atrodas	situated
gelegenheden	reizes	opportunities
gelegenheid	iespēju	opportunity
geleid	vadīja	led
geleide	vadīts	guided
geleidelijk	pamazām	gradually
geleidelijke	pakāpeniski	gradual
geleverd	piegādāts	delivered
gelezen	lasīt	read
geliefd	mīlēja	popular
geliefde	mīļākais	loved
gelijk	vienāds	equal
gelijke	vienāds	equal
gelijkenis	līdzība	resemblacne
gelijkheid	vienlīdzība	equality
gelijknamige	nosaukuma nosaukums	of the same name
gelijktijdig	vienlaicīgi	simultaneous
gelijkwaardig	ekvivalents	even
geloof	ticība	belief
geloofde	ticēja	believed
geloofden	ticēja	believed
gelooft	tic	believes
geloven	ticēt	believe
gelovigen	ticīgie	believers
geluid	skaņu	sound
geluiden	skaņas	sounds
geluk	veiksmi	happiness
gelukkig	laimīgs	happy
gelukt	izdevās	accomplished
gemaakt	izgatavots	made
gemaakte	izgatavots	made
gemakkelijk	viegli	easily
gemakkelijker	vieglāk	easier
gemalen	noslīpēts	ground (to grind)
gematigd	mērens	temperate
gematigde	mērens	moderate
gemeen	nozīmē	in common
gemeenschap	kopiena	community
gemeenschappelijk	izplatīts	communal
gemeenschappelijke	izplatīts	common
gemeenschappen	kopienas	communities
gemeente	township	municipality
gemeentelijk	pašvaldības	municipal
gemeentelijke	pašvaldības	municipal
gemeentemuseum	pašvaldības muzejs	municipal museum
gemeenten	pašvaldības	communes
gemeenteraad	vietējā padome	city council
gemeenteraadsverkiezingen	pašvaldību vēlēšanas	municipal elections
gemeld	ziņots	reported
gemenebest	sadraudzība	commonwealth
gemengd	sajaukts	mixed
gemengde	sajaukts	mixed
gemeten	izmērīts	measured
gemiddeld	vidējais	average
gemiddelde	vidējais	average
gen	gēns	gene
genaamd	sauca	named
genade	žēlastība	mercy
geneeskunde	medicīna	medicine
geneesmiddel	medicīna	medicine
genegeerd	ignorēts	ignored
genen	gēni	genes
generaal	vispārējs	general
general	vispārējs	general
generatie	paaudzes	generation
generaties	paaudzes	generations
generation	paaudzes	generation
genereren	ģenerēt	generate
genesis	genesis	genesis
genetisch	ģenētiski	genetically
genetische	ģenētiska	genetic
genezen	izārstēt	cure
genezing	dziedināšana	cure
genie	ģēnijs	genius
geniet	izbaudi	enjoys
genieten	izbaudīt	enjoy
genocide	genocīds	genocide
genoeg	pietiekami	enough
genoemd	minēts	called
genoemde	nosaukts	mentioned
genomen	ņemts	taken
genomineerd	nominēts	nominated
genoodzaakt	nepieciešams	forced
genoom	genoms	genome
genoomtype	genoma tips	genome type
genoot	baudīja	delight
genootschap	sabiedrībā	academy
genot	prieks	enjoy
genoteerd	atzīmēja	logged
genre	žanrs	genre
genres	žanri	genres
gent	gente	gent
gentse	gente	ghent
genua	dženova	genua
genève	ženēva	geneva
geografie	ģeogrāfija	geography
geografisch	ģeogrāfiski	estimated
geografische	ģeogrāfiskā	geographical
geologie	ģeoloģija	geology
geologisch	ģeoloģiskā	geological
geologische	ģeoloģiskā	geolical
geopenbaard	atklāts	reveal
geopend	atvērta	open / opened
georg	georg	georg (sjors)
georganiseerd	organizēts	organised
georganiseerde	organizēts	organized
georges	george	georges
georgia	gruzijā	georgia
georgië	gruzijā	georgie - proper noun - country
georiënteerde	orientēts	orientated
gepaard	pārī	paired / coupled
geplaatst	ievietots	placed
gepland	plānots	planned
geplande	plānots	scheduled
gepleegd	izdarīts	committed
gepresenteerd	pasniegts	presented
geprezen	slavēja	admired
geprobeerd	mēģināju	tried
geproduceerd	ražots	produced
geproduceerde	ražots	produced
gepubliceerd	publicēts	published
geraakt	sist	hit
gerangschikt	sakārtots	ranked
gerard	gerard	gerard
gerealiseerd	sapratu	realised
gerecht	ēdiens	dish
gerechten	trauki	dish
gerechtshof	tiesa	court
gered	saglabāts	saved
gereden	virza	driven
gereed	gatavs	ready
gereformeerde	reformēts	calvinist
geregeerd	valdīja	governed
geregeld	regulāri	regularly
geregisseerd	režisēts	directed
geregistreerd	reģistrēts	registered
gerekend	rēķinājās	counted
gerelateerd	saistīti	related
gerelateerde	saistīti	related
gericht	koncentrēts	focused
gerichte	mērķtiecīgi	oriented
gering	nepilngadīgs	small
geringe	nepilngadīgs	low
germaanse	ģermāņu valoda	german
germanen	vācieši	germans
geroepen	sauca	called
gerrit	gerrit	gerry
gerst	mieži	barley
gerucht	baumas	rumour
geruchten	baumas	rumors
geruime	diezgan	some
geschapen	izveidots	created
geschat	lēsts	estimated
gescheiden	šķīries	separated
geschiedenis	vēsture	history
geschiedschrijving	historiogrāfija	historiography
geschiedt	notiek	happens
geschikt	der	suitable
geschikte	piemērots	adequate
geschilderd	krāsots	painted
geschonken	ziedoja	been given / poured
geschoten	nošauts	shot
geschoven	uzstāja	pushed
geschreven	uzrakstīts	written
gescoord	ieguva	scored
gesigneerd	parakstīts	signed
gesitueerd	atrodas	situated
geslaagd	veiksmīgs	successful
geslaagde	veiksmīgs	successful
geslacht	dzimums	butchered
geslachten	dzimumi	sexes
geslachtsdelen	dzimumorgāni	genitals
geslachtsgemeenschap	dzimumakts	intercourse
geslachtsorganen	dzimumorgāni	genitals
geslagen	piekauts	defeated
gesloopt	nodots metāllūžņos	demolished
gesloten	slēgts	closed
gespannen	saspringts	tensed
gespecialiseerd	specializēta	specialised
gespecialiseerde	specializēta	specialised
gespeculeerd	spekulēja	speculated
gespeeld	spēlēja	played
gesplitst	sadalīt	seperated
gesprek	saruna	conversation
gesprekken	sarunas	conversations
gesproken	runāts	spoken
gestaag	vienmērīgi	steadily
gestaan	stāvēja	assisted
gestart	sākās	started
gesteente	akmens	rock
gestegen	palielināts	rised
gesteld	prasīja	made
gestelde	prasīja	set
gestemd	balsoja	voted
gesteund	atbalstīts	supported
gesticht	dibināta	founded
gestimuleerd	stimulēts	roused
gestoken	sadurts	stabbed
gestolen	nozagts	stolen
gestopt	apstājās	ceased
gestorven	nomira	died
gestreden	cīnījās	fought
gesuggereerd	ieteikts	suggested
get	gūt	get
getal	numuru	number
getallen	skaitļi	figures
getekend	parakstīts	signed
getest	pārbaudīts	tested
getiteld	ar nosaukumu	titled
getoond	parādīts	shown
getracht	mēģināja	attempted
getransporteerd	transportēts	transported
getroffen	skarto	affected
getrokken	uzzīmēts	moved to
getrouwd	precējies	married
getuige	liecinieks	witness
getuigen	liecinieki	witnesses
geuit	izteikts	expressed
geur	smaka	scent
geuren	smaržo	scents
geuzen	ubagi	beggar
gevaar	bīstami	danger
gevaarlijk	bīstams	dangerous
gevaarlijke	bīstams	dangerous
geval	lietu	case
gevallen	gadījumi	cases
gevangen	noķerti	captured
gevangene	ieslodzītais	prisoner
gevangenen	ieslodzītie	prisoners
gevangengenomen	sagūstīts	taken prisoner
gevangenis	cietumā	prison
gevangenisstraf	ieslodzījums	jail time/ detention
gevangenschap	gūstā	imprisonment
gevaren	draudiem	hazards
gevarieerd	daudzveidīgs	varied
gevecht	cīņa	the fighting
gevechten	cīnās	fights
geven	dot	give
gevestigd	atrodas	set
gevestigde	nodibināta	established
gevierd	svinēja	celebrated
gevoed	paēduši	fed
gevoel	sajūta	feeling
gevoelens	jūtas	feelings
gevoelig	jūtīgs	sensitive
gevoelige	jūtīgs	sensitive
gevoeligheid	jutīgums	sensitivity
gevoerd	izklāta	conducted
gevolg	sekas	consequence
gevolgd	sekoja	followed
gevolge	rezultātā	result
gevolgen	efektus	effects
gevonden	atradu	found
gevormd	veidojas	formed
gevormde	veidojas	formed
gevraagd	prasīja	was asked
gevuld	piebāzts	filled
gewaardeerd	novērtēts	rated
gewapend	bruņots	armed
gewapende	bruņots	armed
gewassen	kultūrām	crops
geweest	bijis	been
geweigerd	atteicās	refused
geweld	vardarbība	violence
gewelddadige	vardarbīgs	violent
gewend	pieraduši	used to
gewenst	vēlams	desirable
gewenste	vēlamais	desired
gewerkt	strādāja	worked
gewest	novads	province
gewesten	reģionos	districts
geweten	sirdsapziņa	conscience
gewezen	norādīja	pointed
gewicht	svars	weight
gewijd	veltīts	devoted
gewijzigd	mainīts	changed
gewond	ievainots	injured
gewone	parasts	ordinary
gewonnen	uzvarēja	won
gewoon	vienkārši	ordinairy
gewoonlijk	parasti	usually
gewoonte	ieradums	habit
geworden	kļūt	become
gewricht	locītavu	joint
gewrichten	locītavas	joints
gezag	autoritāte	the order
gezamenlijk	kopīgi	joint
gezamenlijke	locītavu	joint
gezegd	teica	said
gezelschap	ballīte	company
gezet	likt	placed
gezeten	sēdus	been
gezicht	seja	face
gezichten	sejas	faces
gezien	redzēts	seen
gezin	ģimene	family
gezinnen	ģimenes	families
gezocht	gribēja	sought
gezond	veselīgi	healthy
gezonde	veselīgi	healthy
gezondheid	veselība	health
gezondheidszorg	veselības aprūpe	health care
gezongen	dziedāja	sang
gezorgd	parūpējies	resulted
geëxecuteerd	izpildīts	executed
geëxploiteerd	operēja	exploited
geïdentificeerd	identificēts	identified
geïndustrialiseerde	industrializēts	industrialized
geïnfecteerd	inficēts	infected
geïnspireerd	iedvesmots	inspired
geïnstalleerd	instalēta	installed
geïntegreerd	integrēts	integrated
geïnteresseerd	interesē	interested
geïnterpreteerd	interpretēts	interpreted
geïntroduceerd	ieviesa	introduced
geïsoleerd	izolēts	isolated
geïsoleerde	izolēts	isolated
ghana	gana	ghana
gibbs	gibbs	gibbs
gids	vadīt	guide
gif	inde	venom
giftanden	fani	poison fangs
giftig	toksisks	toxic
giftige	indīgs	poisonous
gigantische	gigantisks	gigantic
gij	tu	you
gilbert	gilberts	gilbert
gilmour	gilmour	gilmour
ging	gāja	went
gingen	mēdza iet	went
giorgio	giorgio	giorgio
giovanni	džovanni	giovanni
girl	meitene	girl
girls	meitenes	meisjes
gisting	fermentācija	fermentation
gitaar	ģitāra	guitar
gitaren	ģitāras	guitars
gitarist	ģitārists	guitarist
gizeh	giza	gizeh
gladde	gluda	smooth
glas	stikls	glass
glasgow	glāzgova	glasgow
glazen	brilles	glass / glasses
gletsjers	ledāji	glacier
global	globāls	global
gloeilamp	spuldze	bulb
gloeilampen	spuldzes	glow lamps
gloria	glorija	gloria
glucose	glikoze	glucose
go	iet	go
goal	mērķis	goal
god	dievs	god
goddelijke	dievišķais	divine
goden	dievi	gods
godheid	dievība	deity
godin	dieviete	godess
godinnen	dievietes	goddesses
gods	dievi	god's
godsdienst	reliģija	religion
godsdiensten	reliģijas	religions
godsdienstige	reliģiozs	religious
godsdienstvrijheid	reliģiskā brīvība	freedom of religion
goed	labi	good - 1st sentence, well - 2nd and 3rd sentence.
goede	labi	good
goederen	preces	goods
goedgekeurd	apstiprināts	approved
goedkeuren	apstiprināt	approval
goedkeuring	apstiprinājums	approval
goedkoop	lēts	cheap
goedkope	lēts	cheap
goedkoper	lētāk	cheaper
goes	iet	goed
gogh	gogh	gogh
going	iet	going
gold	zelts	was
golden	zeltaini	golden
golf	golfs	wave
golflengte	viļņa garums	wavelength
golven	viļņi	golves,
gone	aizgājuši	gone
google	google	google (proper noun)
gooien	mest	throwing
gorbatsjov	gorbačovs	gorbachev
gordon	gordons	gordon
gossip	tenkas	gossip
got	dabūja	got
gotiek	gotika	gothic
gotische	gotu	gothic
goud	zelts	golden
gouda	gouda	gouda
gouden	zeltaini	golden
gouverneur	gubernators	governor
gouverneurgeneraal	ģenerālgubernators	governor-general
gouverneurs	gubernatori	governors
graad	grāds	degree
graaf	skaita	count
graafschap	novads	county
graafschappen	novados	counties
graag	priecīgi	willingly
graan	grauds	grain
grace	žēlastība	grace
gracht	kanāls	canal
grachten	kanāli	canals
graden	grādi	degrees
graf	kapu	grave
graffiti	grafiti	graffiti
grafiek	diagramma	grafic
grafische	grafisks	grafic
grammatica	gramatika	grammar
grammy	grammy	grammy
gran	gran	gran
granada	granada	granada
grand	grandiozs	grand
grande	grande	grande
grant	dotācija	grant - proper noun - surname
gras	zāle	grass
grassen	zāles	grasses
gratis	bez maksas	free
graven	rakt	dig
gray	pelēks	gray
great	lieliski	great
greater	lielāks	greater
greatest	vislielākais	beste
green	zaļš	green
greep	saķere	grip
grens	robeža	border
grensgebied	pierobežas zona	borderarea
grenst	robežas	borders
grenzen	robežas	borders
gretchen	gretchen	gretchen
gridlijn	režģa līnija	grid line
grieken	grieķi	greeks
griekenland	grieķija	greece
grieks	grieķu	greek
griekse	grieķu	greek
griep	gripa	flu
grijpen	greifers	grab
grijs	pelēks	grey
grijze	pelēks	gray
groei	izaugsme	growth
groeide	pieauga	grew
groeiden	pieauga	grew
groeien	augt	grow
groeiende	aug	growing
groeit	aug	increases
groen	zaļš	green
groene	zaļš	green
groenland	grenlande	greenland
groenlinks	zaļā pa kreisi	groenlinks
groenten	dārzeņi	vegetables
groep	grupa	group
groepen	grupas	groups
groepering	grupa	group
groeperingen	grupas	groups
groepsfase	grupas skatuve	groupfase
grofweg	rupji	rudely
grond	zemes	ground
gronden	pamatojums	grounds
grondgebied	teritorija	territory
grondig	pamatīgi	thoroughly
grondlegger	dibinātājs	founder
grondslag	pamats	foundation
grondstoffen	izejvielas	ground stiffen
grondwet	konstitūcija	constitution
groningen	groningena	groningen
groninger	gringerger	groningen
groot	liels	large
grootbrittannië	lielbritānija	great britain
groothertog	lielkņazs	groothertog
grootmachten	lielvaras	superpowers
grootmeester	vecmeistars	maestro
grootmoeder	vecmāmiņa	grandmother
groots	grandiozs	great
grootschalige	liela mēroga	large scale
grootse	grandiozs	biggest
grootst	vislielākais	most
grootste	lielākais	biggest
grootte	izmērs	size
grootvader	vectēvs	grandfather
grot	ala	cave
grote	lieliski	large
grotendeels	lielākoties	mainly
groter	garāks	larger
grotere	lielāks	bigger
grotten	alas	caves
grove	bruto	gross
gruzielement	horcrux	horcrux
gta	gta	gta
gti	gti	gti
gtst	mieži	gtst
guatemala	gvatemala	guatemala
guevara	guevara	guevara
guggenheim	gugenheima	guggenheim
guido	guido	guido
guild	ģilde	guild
gulden	guldenis	guilder
guns	pistoles	guns
gunste	labvēlība	favor
gunstig	labvēlīgs	favourable
gunstige	labvēlīgs	favourable
gustav	gustavs	gustav
gustave	gausties	gustave
guus	guus	guus
guy	puisis	guy (proper noun - first name)
guyana	gujāna	guyana
gyatso	gyatso	gyatso
gymnasium	ģimnāzija	gymnasium
güell	güell	guell
h	h	h
haag	dzīvžogs	hague
haagse	hāgā	haagse - proper noun
haai	haizivs	shark
haaien	haizivis	sharks
haakjes	iekavās	pleats, parentheses
haalde	atnācis	took
haalden	atnācis	made
haalt	ienes	makes
haan	gailis	cock
haar	viņu	her
haarlem	hārlema	haarlem
haarlemmermeer	haarlemmermeer	haarlemmermeer
haarlemse	hārlema	harlem
haat	naids	hatred
habsburgers	habsburgi	habsburgers
habsburgse	habsburga	habsburg
had	bija	had
hadden	bija	had
hadith	hadith	hadith
hadrianus	hadrians	hadrianus
hagedissen	ķirzakas	lizards
halen	dabūt to	persuade, get
haley	haley	haley
half	puse	half
halfbloed	pusasinis	mestizo
halfrond	puslode	hemisphere
hall	zāle	hall
halloween	halovīni	halloween
hallucinaties	halucinācijas	hallucinations
hals	kakla	hals
halve	puse	half
halverwege	pusceļā	halfway
hamas	hamas	hamas
hamburg	hamburga	hamborg
hamilton	hamiltons	hamilton
hammond	hammond	hammond
hand	roka	hand
handboek	rokasgrāmata	handbook (1st sentence), reference guide (2nd and 5th sentence)
handel	tirdzniecība	commerce
handelaren	tirgotāji	traders
handelen	apmainīt	bin
handeling	tēlot	action
handelingen	darbības	operations
handen	rokas	hands
handhaven	uzturēt	maintain
handicap	fiziska invaliditāte	handicap
handig	noderīga	skilful
handvest	harta	charter
hangbrug	piekaramais tilts	hanging bridge
hangen	pakārt	to hang
hangt	atkarīgs	depends
hannah	hanna	hannah
hannibal	hanibala	hannibal
hans	hans	hans
hanteert	rokturi	handles
hanteren	rokturis	handle
happy	laimīgs	happy
harbor	osta	harbor
hard	grūti	hard
harde	grūts	hard
harder	grūtāk	louder
haren	mati	hair
hari	hari	day
harmonie	harmonija	harmony
harold	harolds	harold
harris	hariss	harris
harrison	harrison	harrison
harry	harijs	harry
hart	sirds	heart
hartaanval	sirdstrieka	heart attack
hartslag	sirdsdarbība	heartbeat
has	ir	has
hasselt	hasselt	hasselt
have	ir	hebben
haven	osta	port
havens	ostas	harbours
havenstad	ostas pilsēta	port town
hawaï	hawaii	hawaii
hawking	vanags	hawking
haydn	haidns	haydn
haïti	haiti	haiti
hd	hd	high definition
he	ei	he
head	galva	head
heart	sirds	heart
heavy	smags	heavy
heb	ir	have
hebben	piederēt	relate, have been
hebreeuws	ebreju valodā	hebrew
hebreeuwse	ivrits	hebrew
hebt	ir	has
heden	mūsdienas	now
hedendaagse	mūsdienu	contemporary
heeft	ir	has
heel	ļoti	very
heelal	visums	universe
heen	prom	around
heer	kungs	lord
heerenveen	heerenveen	heerenveen
