$	dollar təşkil edib	dollars
еврейски	i̇brani	jewish
еврейския	ibrani	jewish
евро	avro təşkil edib	euro
еврозоната	avro bölgəsi	eurozone
европа	avropa	europe
европейска	avropa	european
европейската	avropa	the european
европейски	avropa	european
европейските	avropa	the european
европейския	avropa	european
европейският	avropa	european
европейско	avropa	european
европейското	avropa	european
европейци	avropalılar	european
европейците	avropalılar	the europeans
европий	avropa	europe
еврото	avro təşkil edib	the euro
евтимий	evtimik	evtimiy
евфемизми	evfemizmlər	euphemism
евфемизъм	evfemizm	euphemism
егейска	egey	aegean
егейско	egey	aegean
египет	misir	egypt
египетската	misirlidir	egyptian
египетски	misir	egyptian
египетските	misir	egypt's
египтяни	misirlilər	egyptians
египтяните	misirlilər	egyptians
едва	çətinliklə	just
еди	yemək	eddie
един	biri	one
единадесет	on bir	eleven
единен	birləşdi	one
единица	vahid	unit
единицата	bölmə	unit
единици	ədəd	units
единиците	ədəd	units
единични	tək	single
единия	biri	one
единият	biri	one
единна	forma	single
единно	vahid	single
единствен	yeganə	the only
единствена	yeganə	only
единствената	yeganə	the sole
единствените	tək olanlar	the only
единствения	yeganə	only
единственият	yeganə	only
единствено	yalnız	entirely
единственото	yeganə şey	the only
единство	birlik	unity
единството	birlik	unity
една	biri	one
еднаква	eyni	same
еднакви	eyni	equal
еднакво	bərabər dərəcədə	even
еднакъв	eyni	even
едната	biri	the one
едни	bəziləri	some
едно	biri	one
едновременно	eyni zamanda	simultaneously
едноименната	eyni adlı	eponymous
едноименния	eyni adlı	also caled
едното	biri	one
едрата	böyük	heavy
едри	böyük	large
едрите	böyük	large
едуард	edward	edward
едър	böyük	large
ежегодно	hər il	annually
ежедневието	gündəlik həyat	everyday
ежедневно	gündəlik	daily
езера	göllər	lakes
езерата	göllər	lakes
езеро	göl	lake
езерото	göl	lake
език	dil	language
езикова	dilçilik	language
езикови	dilçilik	language
езиково	linqvistik olaraq	language
езикът	dil	the language
езици	dillərdə	languages
езиците	dillərdə	languages
езически	bütpərəst	pagan
екатерина	ketrin	catherine
еквадор	ekvador	equador
екватора	ekvator	equator
екваториалните	ekvatorial	equatorial
еквивалент	ekvivalentdir	equivalent
екзарх	exarch	exarch
екзархия	exarchate	exarchate
екзекутиран	edam edildi	executed
екземпляри	nüsxə	specimens
екзистенциализма	ekzistensializm	existentialism
екип	komanda	team
екипа	komanda	team
екипажа	heyət	the crew
еклиптиката	ekliptik	ecliptic
екологични	ətraf mühit	environmental
екология	ekologiya	ecology
екосистема	ekosistem	ecosystem
екран	ekran	screen
екскаватор	ekskavator	excavator
експанзия	genişlənməsi	expansion
експедиции	ekspedisiyalar	expeditions
експедиция	ekspedisiya	expedition
експедицията	ekspedisiya	expedition
експерименти	təcrübələr	experiments
експерти	ekspertlər	experts
експлоатация	əməliyyat	exploitation
експлоатацията	əməliyyat	exploatation
експозиция	ekspozisiya	exposure
експозицията	məruz qalma	the exposition
експонати	eksponatlar	exhibits
екстази	ecazkar	ecstasy
ел	el	el
елада	gəl	hellas
елвис	elvis	elvis
електрическа	elektrik	electric
електрически	elektrik	electic
електрическите	elektrik	electrical
електрическия	elektrik	electric
електрическият	elektrik	electrical
електричество	elektrik	electricity
електричеството	elektrik	electricity
електроенергия	elektrik	electricity
електрон	elektron	electron
електрона	elektron	electron
електронен	elektron	electronic
електрони	elektron	electrons
електроника	elektronika	electronics
електроните	elektron	electrons
електронна	elektron	electronic
електронната	elektron	electronic
електронни	elektron	electronic
електротехника	elektrik mühəndisliyi	electrical
електрохимия	elektrokimya	electrochemistry
елемента	element	elements
елементи	elementlər	elements
елементите	elementlər	elements
елен	maral	deer
елена	helen	elena
елизабет	elizabet	elizabeth
елин	elin	elin
елисавета	elisaveta	elisaveta
елит	elit	elite
емануил	emanuel	emanuel
еманципация	boşalma	emancipation
емблема	gerbi	emblem
емблемата	gerbi	logo
ембриона	embrion	embryo
ембрионалното	embrion	embryonal
емигранти	mühacirlər	immigrants
емиграция	mühacirət	emigration
емил	emil	emil
емилия	emiliya	emilia
емилиян	emilian	emilian
еминем	eminem	eminem
емирства	əmirliklər	emirates
енгелс	ingilislər	engels
еней	eney	aeneas
енергия	enerji	energy
енергията	enerji	energy
ензим	ferment	enzyme
ензима	ferment	the enzyme
ензими	fermentlər	enzymes
ензимите	fermentlər	enzymes
енциклопедия	ensiklopediya	encyclopedia
епархия	yeparxiya	eparchy
епизод	epizod	episode
епизоди	epizodlar	episodes
епилепсия	epilepsiya	epilepsy
епир	epirus	epirus
епископ	yepiskop	bishop
епистаксис	epistaksis	epitaksis
епитафия	epitaf	epitaph
епоха	dövrü	age
епохата	dövrü	age
епохи	dövr	ages
ера	dövrü	era
ерекцията	ereksiya	the erection
еридан	eridan	eridan
ерик	erik	eric
ернесто	ernesto	ernesto
ернст	ernst	ernst
ес	es	eu
есен	payız	autumn
есента	payız	autumn
естествен	təbii	natural
естествена	təbii	natural
естествената	təbii	natural
естествени	təbii	natural
естествените	təbii	natural
естествения	təbii	natural
естественият	təbii	the natural
естествено	əlbəttə	naturally
естество	təbiət	nature
естония	estoniya	estonia
етаж	mərtəbə	floor
етажи	mərtəbələr	floors
етанол	etanol	ethanol
етап	mərhələ	stage
етапа	mərhələ	stages
етапи	mərhələləri	stages
етика	etik	ethics
етимология	etimologiyası	etymology
етимологията	etimologiyası	etymology
етиология	etiologiyası	etiology
етиопия	efiopiya	ethiopia
етническа	etnik	ethnic
етническата	etnik	ethnical
етнически	etnik	ethnic
етническите	etnik	ethnic
етническо	etnik	ethnic
етнография	etnoqrafiya	ethnography
етнографски	etnoqrafik	ethnographic
етнос	etnik	etnicity
ето	burada	here is
еукариотите	eukaryotlar	eucariotes
ефект	təsiri	effect
ефекти	effektləri	efects
ефективна	təsirli	effective
ефективно	təsirli	effective
ефективност	səmərəlilik	efficiency
ефективността	səmərəlilik	efficiency
ефектите	effektləri	the effects
ефектът	təsir	efect
ефенди	xoca əfəndi	effendi
ефрат	fərat	euphrates
ечемик	arpa	barley
еякулация	boşalma	ejaculation
ж	g	c (citizens)
жан	ceyn	jean
жанейро	janeyro	janeiro
жанр	janr	genre
жанрове	janrlar	genres
жеков	jekov	zhekov
желае	istəklər	wish
желание	istək	desire
желанието	istəyi	desire
желаят	istəyərlər	wish
железни	dəmir	steel
железница	dəmir yolu	railway
железопътен	dəmir yolu	ralway
железопътна	dəmir yolu	railway
железопътната	dəmir yolu	railway
железопътни	dəmir yolu	railways
желко	pisdir	zhelko
желязна	dəmir	iron
желязната	dəmir	the iron
желязо	dəmir	iron
желязото	dəmir	iron
жена	qadın	woman
жената	qadın	woman
женева	cenevrə	geneva
женен	evli	married
жени	qadınlar	women
жените	qadınlar	the women
женска	qadın	female
женската	qadın	female
женски	qadın	female
женските	qadınlar	females
жеравоподобни	kran kimi	gruifomes
жертва	qurban	victim
жертви	qurbanlar	victims
жертвите	qurbanlar	victims
жестоко	qəddar	cruel
жив	diri	alive
жива	diri	live
живак	civə	mercury
живее	yaşayır	life
живеели	yaşadı	lived
живеещи	yaşayan	living
живели	yaşadı	lived
живеят	yaşamaq	live
живи	diri	live
живите	diri	living
живков	живков	zhivkov
живкова	jivkova	zivkova
живо	yaşamaq	live
живопис	rəsm	painting
живописни	mənzərəli	scenic
живописта	rəsm	the art of painting
живот	həyat	life
живота	həyatın	life
животински	heyvan	animal
животинския	heyvan	animal
животни	heyvanlar	animals
животните	heyvanlar	animals
животно	heyvan	animal
животновъдство	heyvandarlıq	livestock breeding
животновъдството	heyvandarlıq	livestock breeding
животното	heyvan	animal
животът	həyat	the life
живял	yaşadı	lived
жизнен	həyati	vital
жизнено	həyati	life
жилища	mənzil	housing
жилищни	yaşayış	residential
жители	sakinlər	residents
жителите	sakinlər	residents
жк	jk	jk
жлеза	vəzi	gland
жлези	bezlər	glands
жорж	george	pompidou
жп	dəmir yolu	railway
жрец	keşiş	priest
журналист	jurnalist	journalist
журналистика	jurnalistika	jurnalisam
жълта	sarı	yellow
жълто	sarı	yellow
за	üçün	for
забавя	yavaşlayır	slows
забавяне	gecikmə	delay
забавят	yavaşlatmaq	delay
забележителна	diqqətəlayiqdir	remarkable
забележителни	diqqətəlayiqdir	notable
забележително	diqqətəlayiqdir	remarkably
забележителност	əlamət	landmark
забележителности	əlamətləri	sights
забелязва	bildirişlər	notices
заболяване	xəstəlikdir	illness
заболяването	xəstəlikdir	illness
заболявания	xəstəliklər	diseases
забрана	qadağan	ban
забраната	qadağa	ban
забранена	qadağandır	forbidden
забранени	qadağandır	prohibited
забранено	qadağandır	forbidden
забранява	qadağan edir	prohibits
заваряване	qaynaq	weld
заведения	müəssisələr	facilities
завет	əhd	covenant
завзема	götürür	seized
завземат	təhvil almaq	conquer
завива	çevrilir	wrap
завинаги	əbədi	forever
зависи	asılıdır	depends
зависима	asılıdır	dependent
зависими	asılıdır	dependent
зависимост	asılılıq	dependency
зависимостта	asılılıq	dependence
зависят	asılıdır	depend
завладее	alacaq	capture
завладява	fəth edir	take over
завладяване	fəth	conquest
завладяването	fəth	conquest
завладяват	fəth etmək	conquer
завладян	fəth etdi	conquered
завладяна	fəth etdi	conquered
завод	zavod	plant
заводи	fabriklər	plants
завоевания	fəthlər	conquest
завоюва	fəth edir	won
завръща	qayıdır	ends
завръщане	qayıtmaq	return
завръщането	qayıdış	return
завърне	qayıtmaq	return
завъртане	fırlanma	rotation
завършва	bitir	ends
завършване	başa	completion
завършването	başa	completion
завършват	tamamlandı	ends
завършен	tamamlandı	completed
завършена	tamamlandı	completed
завърши	bitirdi	finished
завършил	bitirib	complete
загива	ölür	dies
загиват	məhv	die
загинали	ölmüş	died
загиналите	ölü	fallen
заглавие	başlıq	title
заглавието	başlıq	the title
заговезни	zagovezni	shrove sunday
заговор	sui-qəsd	conspiracy
заговора	sui-qəsd	plot
загора	tan	zagora
загуба	zərər	loss
загубата	zərər	loss
загубва	itirir	loose
загуби	itkiləri	losts
зад	arxada	behind
задача	tapşırıq	problem
задачата	tapşırıq	task
задачи	vəzifələr	tasks
заден	arxa	back
задната	arxa	the back
задължение	öhdəlik	duty
задължения	öhdəliklər	obligations
задълженията	öhdəliklər	obligations
задължително	məcburidir	necessarily
задържа	tutur	retain
задържане	həbs	retention
задържат	saxlama	retain
заедно	birlikdə	together
заема	kredit	occupy
заемат	işğal etmək	occupy
заеме	borc almaq	take
заеми	kreditlər	loans
заемки	borclar	borrowings
зает	məşğul	taken
заета	məşğul	taken by
заети	məşğul	employed
заето	məşğul	taken
заключение	nəticə	conclusion
закон	qanun	law
закона	qanunun	law
закони	qanunları	laws
законите	qanunları	laws
законодателен	qanunverici	legislative
законодателна	qanunverici	legislative
законодателната	qanunverici	legislative
законодателни	qanunverici	legislative
законодателство	qanunvericilik	legislation
законът	qanun	law
закрила	qoruma	protection
закрит	bağlı	covered
зала	zal	hall
залежи	yataqlar	deposits
залез	qürub	sunset
зали	salonlar	halls
залив	bəy	bay
залива	bəy	bay
заливи	koylar	bays
заловен	əsir	captured
заловени	əsir	captured
залог	bahis	pledge
заменен	əvəzləndi	replaced
заменена	əvəzləndi	replaced
заменя	əvəz edir	replaced
замества	əvəzedicilər	replace
заместник	deputat	deputy
заминава	yarpaqlar	went
замъка	qala	castle
замърсяване	çirklənmə	freezing
замърсяването	çirklənmə	pollution
замяна	yerdəyişmə	trade
занаяти	sənətkarlıq	crafts
занаятите	sənətkarlıq	crafts
занимава	tutur	deals
занимават	işğal etmək	deal
занимания	siniflər	activities
заобиколен	əhatə etmişdir	surrounded
запад	qərb	west
запада	qərb	west
западен	qərb	west
западна	qərb	western
западната	qərb	western
западни	qərb	western
западните	qərb	west
западния	qərb	west
западно	qərb	west
западното	qərb	western
запазва	qənaət edir	keeps
запазване	qorunması	preservation
запазването	qorunması	preservation
запазват	saxlamaq	remember
запазен	qorunur	preserved
запазена	xilas oldu	known
запазени	xilas oldu	reserved
запазено	qorunur	reserved
запази	yadda saxla	protect
запазили	qorunub saxlanılır	saved
запазят	saxlayacaq	preserve
запаси	səhmlər	reserves
запетая	vergül	comma
запис	qeyd	recording
записан	qeyd edildi	written
записани	qeyd edildi	written
записва	qeydlər	record
записват	qeyd	record
записи	qeydlər	records
записите	qeydlər	records
записки	qeydlər	notes
запише	yazmaq	record
заплата	maaş	salary
заплаха	təhdid	threat
заплахата	təhdid	invasion
заплашва	təhdid edir	threatens
заповед	sifariş	order
заповядва	əmrləri	commands
запознава	görüşür	meets
започва	başlayır	begins
започвайки	başlanğıc	starting
започването	başlanğıc	beginning
започват	başlamaq	begin
започваща	başlanğıc	starts
започна	başladı	started
започнал	başladı	started
започнала	başladı	started
започнали	başladı	started
започнало	başladı	started
започнат	başladı	start
започне	başlamaq	start
заради	çünki	because of
заражда	doğan	born
заразяване	infeksiya	infection
заредени	ittiham olunur	charged
зарка	zarka	zarqa
заряд	şarj edin	load
засада	pusquda	ambush
засега	indiki üçün	so far
засегнати	təsirləndi	affected
заселването	qəsəbə	the settlement
заселват	həll etmək	settled
заселници	məskunlaşanlar	settlers
засилва	intensivləşir	increases
засилване	gücləndirmə	strengthening
засилват	intensivləşdirmək	strengthen
заслуги	ləyaqət	merits
застава	forpost	takes
застъпва	üst-üstə düşür	advocates
застъпени	təmsil olunan	covered
засяга	təsir edir	concerns
засягат	təsir edir	affect
затваря	bağlanır	closes
затвор	həbsxana	prison
затвора	həbsxana	the jailhouse / the prison
затворен	bağlı	imprisoned
затворена	bağlı	closed
затворени	bağlı	closed
затворници	məhbuslar	prisoners
затова	buna görə	therefore
затопляне	istiləşmə	warming
затруднения	çətinliklər	difficulties
захар	şəkər	sugar
захари	şəkər	zachary (name)
захарий	şəkər	zachary
захарна	şəkər	sugar
защита	qoruma	protection
защитава	qoruyur	defends
защитават	qorumaq	protect
защитата	qoruma	protection
защитена	qorunur	protected
защитени	qorunur	protected
защитна	qoruyucu	firewall
защитни	qoruyucu	defensive
защитник	müdafiəçi	defender
защитниците	müdafiəçilər	defenders
защо	niyə	why
защото	çünki	because
заявява	dövlətlər	said
звание	başlıq	rank
звезда	ulduz	star
звездата	ulduz	star
звезден	ulduz	star
звезди	ulduzlar	stars
звездите	ulduzlar	stars
звездни	ulduz	astral
звук	səs	sound
звука	səs	sound
звуци	səslənir	sounds
звучи	səslənir	sounds
здрава	sağlam	healthy
здраве	sağlamlıq	health
здравеопазване	səhiyyə	health
здравеопазването	səhiyyə	the healthcare system
здравето	sağlamlıq	health
здрави	sağlam	healthy
здравко	salam	zdravko
здравна	sağlamlıq	health
здравни	sağlamlıq	health
зевс	zevs	zeus
зеландия	zelandiya	zealand
зелена	yaşıl	green
зелени	yaşıl	green
зелените	yaşıl	the green
зелено	yaşıl	green
зеленчуци	tərəvəzlər	vegetables
земеделие	kənd təsərrüfatı	farming
земеделието	kənd təsərrüfatı	agriculture
земеделска	kənd təsərrüfatı	agricultural
земеделски	kənd təsərrüfatı	agricultural
земен	dünyəvi	earth
земетресение	zəlzələ	earthquake
земетресения	zəlzələlər	earthquakes
земи	torpaqlar	lands
земите	torpaqlar	land
землището	quru	land
земната	yer kürəsi	earth
земни	dünyəvi	earth
земните	yerüstü	earth
земното	dünyəvi	earth
земя	torpaq	earth
земята	yer kürəsi	ground
зима	qış	winter
зимата	qış	winter
зимбабве	zimbabve	zimbabwe
зимен	qış	winter
зимите	qışlar	winters
зимна	qış	winter
зимните	qış	winter
златарски	zərgər	zlatarski
златен	qızıl	golden
златна	qızıl	golden
златната	qızıl	golden
златни	qızıl	gold
златните	qızıl olanlar	gold
златния	qızıl	golden
златният	qızıl	golden
златно	qızıl	gold
златното	qızıl	golden
злато	qızıl	gold
златоград	zlatograd	zlatograd
златото	qızıl	gold
зле	pis	badly
злото	pis	evil
змии	ilanlar	snakes
змиите	ilanlar	snakes
змия	ilan	snake
змията	ilan	snake
знае	o bilir	know
знак	işarəsi	sign
знаме	bayraq	flag
знамето	bayraq	flag
знание	bilik	knowledge
знанието	bilik	knowledge
знания	bilik	knowledge
знаци	əlamətləri	signs
значение	məna	meaning
значението	mənası	importance
значения	dəyərlər	meanings
значи	deməkdir	means, meaning
значими	mənalı	significant
значителен	mənalı	considerable
значителна	mənalı	significant
значителни	mənalı	significant
значително	əhəmiyyətli dərəcədə	considerably
знаят	onlar bilirlər	known
зона	zona	zone
зоната	sahə	area
зони	zonalar	zones
зоология	zoologiya	zoology
зора	şəfəq	dawn
зрение	görmə	eyesight
зрението	görmə	eyesight
зрители	tamaşaçı	audience
зряла	yetkin	mature
зъб	diş	tooth
зъби	dişlər	teeth
зъбите	dişlər	the teeth
зърна	taxıl	grain
зърнени	dənli bitkilər	grain
зърно	taxıl	grain
и	və	and
ѝ	onun	her, its
ив	iv	iv.
ивайло	i̇vailo	ivaylo
иван	i̇van	ivan
иванов	i̇vanov	ivanov
иванова	ivanova	ivanova
ивица	zolaq	line
ивици	zolaqlar	strips
иво	ivo	ivo
иврит	i̇brani	hebrew
иглолистни	iynəyarpaqlı	coniferous
игнатий	i̇qnatius	ignatiy
иго	boyunduruq	yoke
игра	oyunu	game
играе	oynayır	play
играта	oyun	game
играч	pleyer	player
играча	oyunçu	player
играчи	oyunçular	players
играчите	oyunçular	players
играчът	oyunçu	player
играят	oynayırlar	dance
игри	oyunlar	games
игрите	oyunlar	games
игрище	oyun meydançası	playground
игрището	oyun meydançası	field
идва	gəlir	arrives
идвали	gəldi	came
идването	gələn	coming
идват	gəlirlər	come
идеи	fikirlər	ideas
идеите	fikirlər	ideas
идели	ideli	ideals
идентифицира	müəyyənləşdirir	identify
идентичност	şəxsiyyət	identity
идеология	ideologiya	ideology
идея	fikir	idea
идеята	fikir	conception
иди	get	edie
из	dən	through
избегнат	çəkinin	escape, avoid
избегне	çəkinin	avoid
избира	seçir	elected
избиран	seçilmiş	chosen
избирането	seçim	election
избирани	seçilmiş	chosen
избират	seçmək	choose
избити	öldürüldü	killed
избор	seçim	choice
избора	seçim	selection
избори	seçkilər	election
изборите	seçkilər	elections
избран	seçilmiş	chosen
избрана	seçilib	chosen
избрани	seçilib	selected
изброени	sadalanmışdır	counted
избухва	püskürür	broke out
избухването	yayılma	outbreak
избухват	partlamaq	start
избяга	qaçdı	escaped
избягва	qarşısını alır	runs to
избягват	çəkinin	avoid
извара	kəsmik	curd
извежда	çıxarır	displays
известен	məşhurdur	known
известна	məlumdur	some
известната	məşhurdur	the famous
известни	məşhurdur	some
известните	məşhurdur	known
известния	məşhurdur	famous
известният	məşhurdur	famous
известно	məlumdur	known
известност	şöhrət	fame
извира	bulaqlar	springs
извода	nəticə	conclusion
изводи	nəticələr	conclusions
извор	mənbə	source
извора	bulaqlar	source
извори	bulaqlar	sources
изворите	bulaqlar	sources
извън	kənarda	outside
извънредно	qeyri-adi	extremely
извършва	ifa edir	done
извършването	performans	performance
извършват	ifa etmək	perform
извършени	ifa olunur	took place
извършено	etdi	made
извърши	ifa etmək	perform
изглед	görünüşü	view
изглежда	görünür	seems
изглеждат	baxırlar	look
изгнание	sürgün	exile
изграден	tikilib	built
изградена	tikilib	build
изградени	tikilib	built
изградено	tikilib	to be built
изгради	qurmaq	build
изгражда	qurur	building
изграждане	tikinti	building
изграждането	tikinti	construction
изграждат	qurmaq	building
изгрев	günəş çıxdı	izgrev
изд	ed	from
издава	məsələlər	issue
издаването	məsələ	issue
издават	problem	legislate
издаде	verilmişdir	surrender
издаден	verilmişdir	issued
издадена	verilmişdir	issued
издадени	verilmişdir	issued
издание	nəşr	edition
издания	nəşrlər	editions
издателство	nəşriyyatı	publishing house
изделие	məhsul	product
изделия	məhsullar	products
издига	yüksəlir	is built
издигане	yüksəliş	elevation
издигането	yüksəliş	rise
издигат	qalxmaq	rise
издигнат	ucaldılmışdır	elevated
издигната	ucaldılmışdır	raised
издържа	dözür	withstand
изиграва	oynayır	plays
изисква	tələb edir	requires
изисквания	tələblər	requirements
изискванията	tələblər	requirements
изказване	nitq	message
изказвания	çıxışlar	statements
изкачване	qalxmaq	ascent
изключение	istisna	exception
изключения	istisnalar	exceptions
изключителна	müstəsna	exclusive
изключителни	müstəsna	exceptional
изключително	son dərəcə	exclusively
изкопаеми	qalıqları	fossil
изкуства	sənətlər	arts
изкуствата	sənətlər	arts
изкуствени	süni	artificial
изкуствено	süni şəkildə	artificial
изкуство	incəsənət	art
изкуството	incəsənət	art
излага	ifşa edir	sets
излаз	çıxmaq	egress
излезе	çıxdı	went out
излиза	çıxır	is released
излизането	çölə çıxmaq	release
излизат	çölə çıxmaq	out
изложба	sərgi	exhibition
изложени	məruz	exposed
изложение	ekspozisiya	exhibition
излъчва	nurlandırır	broadcast
излъчване	yayım	radiation
излъчването	verilişi	broadcasting
излъчват	yaymaq	broadcast
измежду	arasında	among
изменение	dəyişmək	amendment
изменението	düzəliş	climate
изменения	dəyişir	modifications
изменя	dəyişir	amended
измерва	tədbirlər	measured
измерване	ölçmə	measurement
измервания	ölçmələr	measurements
измерена	ölçülür	measured
измества	yerdəyişmə	shifts
изнася	ixrac edir	exports
изнасят	ixrac	export
изненада	sürpriz	surprise
изненадващо	təəccüblü	surprisingly
износ	ixrac	amount
износа	ixrac edir	exports
износител	ixracatçı	exporter
износът	ixrac edir	amount
изобилие	bolluq	abundance
изображение	şəkil	image
изображения	şəkillər	images
изобразен	təsvir edilmişdir	depicted
изобразени	təsvir edilmişdir	depicted
изобразително	təsviri olaraq	art
изобразява	təsvir edir	presents
изобретяването	ixtira	invention
изобщо	bütün	at all
изолация	izolyasiya	isolation
изолирана	təcrid olunmuşdur	isolated
изолирани	təcrid olunmuşdur	isolated
изоставят	tərk etmək	abandon
изотоп	izotopdur	isotope
изотопи	izotopları	isotopes
изпада	düşür	left
изписва	yazır	written
изписване	yazım	origin
изпитва	hiss edir	ask
изпитват	təcrübə	feel
изповядва	etiraf edir	profess
изповядват	etiraf edin	profess
използва	istifadə olunur	use
използвайки	istifadə edərək	using
използвал	istifadə olunur	had used
използвали	istifadə olunur	used
използван	istifadə olunur	used
използвана	istifadə olunur	used
използване	istifadə etmək	use
използването	istifadə etmək	use
използвани	istifadə olunur	used
използваните	istifadə olunur	used
използвано	istifadə olunur	used
използват	istifadə etmək	used
използващи	istifadə edərək	using
изпратен	göndərdi	sent
изпратени	göndərdi	sent
изпрати	göndər	send
изпраща	göndərir	sends
изпращане	göndərir	sending
изпращат	göndər	sends
изпълнена	yerinə yetirdi	filled
изпълнени	yerinə yetirdi	met
изпълнение	performans	execution
изпълнението	performans	implementation
изпълни	yerinə yetirmək	meet
изпълнител	podratçı	performer
изпълнителен	icraçı	executive
изпълнители	ifaçılar	performers
изпълнителна	icraçı	executive
изпълнителната	icra	the executive
изпълнява	ifa edir	perform
изпълняват	ifa etmək	perform
израел	i̇srail	israel
израз	ifadəsi	expression
изразен	dilə gətirdi	pronounced
изразена	dilə gətirdi	expresed
изразени	dilə gətirdi	expressed
изрази	ifadələri	express
изразът	ifadəsi	expression
изразява	ifadə edir	expresses
изразяване	ifadəsi	expression
изразяват	ifadə edin	express
израства	böyüyür	grows
изречението	cümlə	the sentence
изригване	püskürmə	eruption
изригването	püskürmə	eruption
изригвания	püskürmələr	eruption
изрично	açıq şəkildə	expressly
изследва	tədqiqatlar	study
изследване	tədqiqat	study
изследването	tədqiqat	study
изследвания	tədqiqat	researches
изследванията	tədqiqat	research
изследват	araşdırmaq	study
изследовател	tədqiqatçı	researcher
изследователи	tədqiqatçılar	of researchers
изследователите	tədqiqatçılar	explorers
изтеглят	yükləyin	download
изтича	başa çatır	expires
изток	şərq	east
източен	şərq	east
източна	şərq	east
източната	şərq	east
източни	şərq	east
източник	mənbə	source
източника	mənbə	source
източните	şərq	east
източници	mənbələr	sources
източниците	mənbələr	sources
източния	şərq	east
източно	şərq	east
източното	şərq	eastern
изтребител	döyüşçü	fighter
изтъква	işarə edir	points
изучава	tədqiqatlar	study
изучаване	öyrənmək	studying
изучаването	tədqiqat	study
изучават	öyrənmək	study
изхвърлени	atılır	omitted
изхвърля	imtina edir	discharged
изход	çıxmaq	exit
изцяло	tamamilə	all
изчезва	yox olur	disapears
изчезване	yoxa çıxmaq	disappearance
изчезват	yox olur	disappear
изчезнали	yoxa çıxdı	missing
изчисления	hesablamalar	calculations
изчислено	hesablanır	calculated
изчислява	hesablayır	calculated
изяви	görünüşləri	events
изявява	təzahür edir	expresses
иили	və ya	and/or (two words)
иисус	i̇sa	jesus
ийгълс	qartallar	eagles
икона	simge	icon
икони	nişanlar	icons
икономика	iqtisadiyyat	economy
икономиката	iqtisadiyyat	economy
икономики	iqtisadiyyat	economies
икономическа	iqtisadi	economic
икономическата	iqtisadi	economic
икономически	iqtisadi cəhətdən	economic
икономическите	iqtisadi	economic
икономическия	iqtisadi	the economical
икономическият	iqtisadi	economic
икономическо	iqtisadi cəhətdən	economic
икономическото	iqtisadi	economic
ил	il	ile (ile-de-france)
или	və ya	or
илиада	i̇liad	ilyad
илиев	iliyev	iliev
илия	ilia	elijah
илюминати	i̇lluminati	illuminati
илюминатите	i̇lluminati	illuminati
им	onları	their
има	var	there is
имайки	olan	considering
имал	idi	had
имала	idi	had
имали	oradadır	had
имало	var idi	existed
имаме	bizdə var	we
имарет	imaret	imaret (public kitchen)
имат	var	have
име	adı	name
имена	adlar	names
имената	adlar	names
именно	yəni	namely
името	adı	name
имигранти	immiqrantlar	immigrants
имоти	xassələri	property
император	imperator	emperor
императора	imperatorun	emperor
императори	imperatorları	imperators
императорите	imperatorları	emperors
императорски	imperial	imperial
императорско	imperial	emperor
императорът	imperator	emperor
империи	imperiya	empires
империя	imperiya	empire
империята	imperiya	empire
имперски	imperial	imperial
имперско	imperial	imperial
импийчмънт	impiçment	impeachment
импулса	impuls	impuls
импулси	impulslar	impulses
имунна	immunitetlidir	immune
имунната	immunitetlidir	immune
имущество	əmlak	property
имуществото	əmlak	property
иначе	başqa cür	otherwise
инвазия	istila	invasion
инвестиции	investisiyalar	investments
инвестициите	investisiyalar	investment
индекс	indeks	index
индианци	hindlilər	indians
индианците	hindular	indians
индивид	fərdi	individual
индивиди	şəxslər	individuals
индивидуални	fərdi	individual
индивидуалните	fərd	individual
индийската	hind	indian
индийски	hind	indian
индийските	hind	indian
индийския	hind	indian
индия	hindistan	india
индоевропейски	hind-avropa	indo-european
индонезия	i̇ndoneziya	indinesia
индустриална	sənaye	industrial
индустриалната	sənaye	industrial
индустриални	sənaye	industrial
индустрия	sənaye	industry
индустрията	sənaye	industry
инженер	mühəndis	engneer
инициатива	təşəbbüs	initiative
инмарсат	inmarsat	inmasrsat
инокулация	aşılama	tempered
инсолация	insolasiya	insolatsia
институт	institut	institute
института	institut	institute
институции	qurumları	institutions
институция	qurum	institution
инструкции	təlimatları	instructions
инструкциите	təlimatları	instructions
инструмент	vasitə	instrument
инструменти	alətlər	instruments
интеграция	inteqrasiya	integration
интелектуализация	ziyalılıq	intellectualization
интензивна	intensiv	intensive
интензивни	intensiv	intensive
интензивно	intensiv şəkildə	intensive
интервенция	müdaxilə	intervention
интервю	reportaj	interview
интерес	maraq	interest
интересен	maraqlıdır	interesting
интереси	maraqları	interests
интересите	maraqları	interests
интересна	maraqlıdır	interesting
интересни	maraqlıdır	interesting
интересува	maraqlandirir	take interest
интересът	maraq	the interest
интернет	i̇nternet	internet
интерпретации	şərhlər	interpretations
интерпретация	təfsir	motion
интерфейс	interfeysi	interface
инфекции	infeksiyalar	infections
инфекциозни	yoluxucu	infectious
инфекция	infeksiya	infection
инфлация	inflyasiya	inflation
инфлацията	inflyasiya	inflation
информационен	məlumatlı	information
информационни	məlumat	information
информация	məlumat	information
информацията	məlumat	information
инфраструктура	infrastruktur	infrastructure
инфраструктурата	infrastruktur	infrastructure
ир	ir	ir
ирак	i̇raq	iraq
иран	i̇ran	iran
ирина	irina	irina
