aajo	löjlig	hospitality
oluparapo	kombination	joint
olusoju	vakt	ambassador
oluwakiri	utforskning	explorer
olympus	olympus	olympus
olódùmarè	allsmäktig	almighty god
olóyè	linjal	chief
olóṣèlú	politiker	politics
olùbátan	denna kontakt	relative
olùdarí	en ledare	director
olùkópa	bidragsgivare	participant
olùkó	instruktör	teacher
olùkọ́	lärare	teacher
omi	vatten	water
omiadalu	översvämning	mixture
onialjebra	onialjebra	of algebra
onibugbe	hyresgäst	population
onigbeja	konstruktiv	allied
onigbowo	en sponsor	sponsor
onigunfenfe	passiv	large angle
onilanaibagbepo	kondom	constitutional
onilile	husägare	solid
oninawo	låntagare	financial
onipin	rationell	even
onisayensi	tekniker	scientific
onisowo	näringsidkare	trader
oniyewumeji	binär	two-chamber
oniyijulo	grymt bra	highest honour
onje	diet	food
onka	kalkylator	counter
onígbàgbó	gammal man	believer
oníkólóbó	oegentlig	onikolobo (place)
onílẹ̀	ner	land owners; citizens (omo onile)
oníná	brand	electronic
onítumò	översättare	meaning
onítèbọmi	de dopade	baptist
onítòhùn	revisor	that person
oníwòsàn	helaren	doctor
oníyanjù	animerad	persevere
ooni	krokodil	ooni (king)
ootọ́	sann	truth
opec	opec	opec
opposite	motsatt	odi
ori	huvud	top
oriire	grattis	success
oriki	orientalisk	name of endearment
orileede	nationen	country
orileedeajoba	imperialism	monarchic country
orilejoba	regering	seat of government, kingdom
orileominira	värme	republic
orinìyìn	en sång	songs of praise
orisirisi	mängd	various
orisun	källa	source
orisa	ursprung	god
oritameta	i mitten	crossway
orudnun	årlig	mispelled...should orundun, century
oruko	substantiv	name
oríilè	nationell	land
oríilẹ̀	artikel	land
oríkì	poesi	family name
orílèèdè	nation	country
orílẹ̀	nation	continent
orílẹ́	kväll	nation
orísiirísi	olika	various
orísìí	mängd	type
orísìírísi	olika typer	various
orúko	fältet	name
oscar	oscar	oscar
oseluarailu	civil	political unit
otherwise	annat	ibaje
otutu	många	coldness
oun	han	it
owojagidijagan	terrorister	upheaval
oúnjẹ	mat	food
odún	året	year
ojó	det är regnigt	day
okùnrín	skratt	man
olórun	gud	god
olósìn	religiös	rearing
odun	årlig	year
olorun	gud	god
omonìyàn	människor	human beings
opolo	många	brain
ose	ose	week
oyé	världen	harmattan
ofò	god morgon	nothingness
opolo	många	brain
paa	stäng av	back
paapaa	framförallt	especially
padá	pod	go back
palauan	palauan	palauan
panaˈma	panama	panama
panyanan	utrymmet	spanish
papa	pappa	specifically
parapọ̀	blandning	join
paripari	slutet	finally
pele	charmig	hello
penh	penh	penh
penisula	penisula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	pärla	with
phillipines	phillipines	phillipines
pinsi	minskande	divided
pinsoto	pinoto	separated
pinu	fast besluten	decide
pipo	mycket	plenty
pipolongo	annons	publicise
piposi	mycket	multiplication
platos	platos	plato's
plánẹ́tì	vvs	planet
po	po	share
pojulo	det högsta	larger
polandi	putsa	poland
polaroid	polaroid	polaroid
population	befolkning	ero
portonovo	novo	porto novo
portuguese	portugisiska	portuguese
press	tryck	press
produced	produceras	yo
protokolu	protocolu	protocol
proton	proton	kemika alaropo
providence	försyn	providence
príncipe	príncipe	principe
pupa	röd	red
px|kùránì	px | kärna	koran or quran; the px  does not belong
pàmò	specifikt	pamo (town)
pàràkòyí	omedelbart	parakoyi
pààlà	en gräns	signalised
pàápàá	framförallt	especially
pásíà	källaren	persia
pátáporongodo	absolut	entire
pè	kallad	that
pèhìndà	sädesvätska	turned back
pèlu	tillsammans med	with
pèlúpèlú	också	in addition
pèsè	försedd	provide
pé	det där	that
péré	endast	only
péé	det där	that
pípa	slakt	order
pípèsè	tillhandahållande	providing
pípẹ́	lång	long
pòwe	proverbs	to say a proverb or wise saying
pò	vika ihop	join
púpo	för mycket	much
púpò	snarare	a lot
quran	quran	quran
ra	köpa	self
race	lopp	ere
rajya	hoppas	rajya
ramadan	ramadan	ramadan
rank	rang	ipo
reggae	reggae	reggae
repeats	upprepningar	tunso
repetejulo	den mest känsliga	most of all
rere	bra	success
research	forskning	agbeyewo
richard	richard	richard
right|thumb|px|aworan	höger | tum | px | bild	picture
rinle	nytt	emphasise
riresile	inspelare	humbled, lowered
riro	fantasi	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rna	rnas
ro	tror	thought
robinson	robinson	robinson
roboto	ytor	round
rogbodiyan	upplopp	riot
rokirika	bläddring	publicise
roko	folkhop	farm work
roma	roma	roma
rome	krom	rome
ronald	ronald	ronald
rorùn	lätt	easy
rossii	rossii	rossii
rural	lantlig	igberiko
ryan	ryan	ryan
ráhàn	dök upp	complain
ránmú	oroa	grumble
république	république	republic
ré	c	his/her
rìn	att gå	should be orin, song or music
ròyìn	rapporterad	give account
rẹ	henne	it
saarc	avlägsna	saarc
saaree	överlägsen	after death
saarland	på golvet	saarland
safari	safari	safari
saffana	safir	savannah
safiwe	jämförelse	describe
safta	rada upp	safta
saheli	bekvämlighet	sahel
sakyamuni	nästa	sakyamuni
sakyas	sakyas	sakyas
salem	salem	salem
salàyé	liv	explained
sambia	ungdom	zambia
samioro	tillgängliga	signal
santa	santa	santa
say	säga	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	hav	odo
seat	plats	itedo
segbese	eventuellt	take steps
seidamo	klar	identify
semolara	astma	accustom
semudaju	självklart	assure
senegal	senegal	senegal
sense	känsla	sensi
seville	sevilla	seville
sewadi	sök	investigate
sharon	sharon	sharon
sibesibe	än	further more
sihamoni	strukturera	sihamoni
sile	bakom	previously
silè	droppar	on the ground
sinai	synd	sinai
sinsin	religion	unshakably
sioux	sioux	sioux
sise	matlagning	works
sisodagba	växa upp	came of age
sisopo	länkning	joined
sisupapoerekusu	spotta	neighbouring islands
sisupo	multiplicera	concentrated
slovo	slovo	slovo
so	kärlek	turned
sohun	ja	something
solomon	solomon	solomon
soon	snart	lai'pe
sopin	slutet	ended
so	så	tells
spectacular	spektakulär	damanran
stella	stella	stella
structures	strukturer	igbekale
suez	suez	suez
sugbo	men inte	but
sugbọ́n	rationell	but, however
sun	sol	sleep
suny	suny	suny
swahili	swahili	swahili
symmetry	symmetri	ogbooga
sàbúrí	framför allt	saburi
sàmì	en skylt	signalize
sàn	desto bättre	flow
sàngó	gäng	sango (god of thunder)
sàì	väl	un
sápadè	denna dag	run to
sáàpàdé	sponsorskap	saapade
sáààrin	mellan	between
são	den nya	sao
sèle	stjäla	down
ségun	att gråta	conquered
sénégal	sädesvätska	senegal
séyìn	tillbaka	back
séyìn	tillbaka	at the back of
sìbẹ̀	än	there
sìni	räka	likewise
síbèsíbè	ändå	further more
síbú	till marken	ocean
sílẹ̀	svika	drop
síse	arbete	doing
síso	fortfarande	spoken
síso	fortfarande	saying
síta	utanför	outing
síwon	dem	to them
síwájú	framåt	comes before
síí	här	on it
sòrò	brainwash	talk
sójà	soldat	soldier
sóko	växt	to the farm
sùgbón	tvärtom	but
sọ	säga	lose
si	säkert	to
síse	strukturera	performing
sùgbón	tvärtom	but
se	dom gör	do
sepò	till sist	cooperation
sisé	träna	work
sááju	ta en minut	before
sísa	s .ía	to be
sísè	översättning	step
tabi	eller	or
tabili	tabell	table
tabora	undvikande	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	begränsningar	valiant
talaka	fattig	poor
talika	fattigdom	the poor
tara	nio	wholly
tata	filtrera	wildly
taínos	taínos	tainos
technology	teknologi	tekinoloji
tedo	dejting	stay
teksas	texas	texas
tele	uppföljning	before
temptation	sökande	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	de	does no directly translate
they	de	won
those	de där	awon
thumb|left|upright|nelson	tummen | vänster | upprätt | nelson	apa osi naro
tira	spänd	quranic verse
tirana	tirana	tirana
tirè	hans	own
titu	skjuta	cold (if it's a person's name, it is tutu)
tiwọn	deras	theirs
to	till	it
toje	sällsynt	that is
tokasi	pekat ut	pointing to
tokyo	tokyo	tokyo
tolerejulo	tolereras	most profitable
tolórítelémù	förintelse	all manners of people
tomé	tomat	tome
tooto	verkligen	true
tori	tori	because
torun	brunett	heavenly
toseluaralu	politisk	political
tounsejanu	tragisk	control
traduite	traduite	traduite
translated	översatt	tunmo
tumosi	betyder att	means
tuntun	ny	new
tàsí	utan	or
tàwon	dem	theirs
táawà	att böja sig	we
tèlé	uppföljning	before
tètè	snabbt	quickly
tèlé	omedelbart	follow
tèsíwájú	att göra framsteg	progress
té	t	follow
télè	förbi	before
té	t	shamed
títi	stängd	till
títèlé	att följa	following
títío	fram tills	until
tíátà	biljetter	theater
tíórì	däck	that is seen
tò	uppsättning	enough
tóbi	stor	big
tódárajùlọ	det bästa	most beautiful
tókù	resten	others
tówùú	vilken summa som helst	whatever
tó	tó	taught
tóka	citerad	pointed
tú	hälla ut	untie
túmò	plommon	means
túnse	ordna om	restructured
tẹ̀ǹbẹ̀	sedan	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	konspirera	bitterness
ucb	ucb	ucb
umueri	barn	umueri
unifasiti	universitet	university
unla	ja	great
urasílì	uracil	uracil
uribe	aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	vägen	uzbek
venezuela	venezuela	venezuela
vermont	vermont	vermont
victor	segrare	victor
videos	videoklipp	fidio
vihara	vihara	vihara
villa	villa	villa
viruses	virus	awon eran
visit	besök	ibewo
vz	vz	vz
waa	det är	ours
waju	ansikte	future
wari	lukt	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	witkin	witkin
wiwari	upptäckt	discovered
województwo	vansinne	wojewodztwo
wole	logga in	into
woo	uppvakta	look
wo	här	enter
wo	här	look
won	dem	they
wura	guld	gold
wyoming	wyoming	wyoming
wàásù	predika	preach
wì	tvätta bort	that
wípè	klarhet	that
wòfún	blick	convenient
wònyí	dessa är	these
wón	dem	they
wúnrèn	träna	small amount
wọn	dem	they
wọ̀nyí	dessa	these
xd	xd	xd
xiv	xiv	xiv
yafran	alfabet	yafran
yakubu	yakub	yakubu
yan	välj	choose
yanjú	lösa	solve
yanturu	massor	abundant
yaoundé	yaoundé	yaounde
yewo	förbättring	examine
ye	ja	suitable
ye	ja	should
yindinyindin	sluta aldrig	brightly
yio	skall	will
yiowu	det kommer	any
yipada	vänd dig om	change
yiyafunnilo	erosion	borrow
yoo	kommer	will
yori	led	result
york	york	york
yorúbà	yoghurt	yoruba
yo	yo	remove
yànan	förvåning	scattered
yàtò	uppstart	other than
yára	skynda dig	quickly
yèwò	se	examine
yée	låt dem	eplained to
yì	gå	this
yìí	detta	this
yí	vänd dig om	this
yíyípadà	förändra	changed
yíì	du kommer	this
yíò	det kommer	it will
yẹ̀ẹ́	y&#39;know	check
yọ	avlägsna	bring out
zanzibar centralsouth	zanzibar centralsouth	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	bort	bce
àbe	babian	under
àbámẹ́ta	torsdag	saturday
àbáyo	förslag	breakthrough
àbìkú	odödlighet	'born to die' child
àbọ̀	halv	result
àdámò	integritet	earmark
àdátá	motsatsen	adata
àdáátán	exklusiv	adaatan
àdóolóró	olja	bomb
àgbàjọ	den gamla mannen	assembly
àgbàrá	översvämning	power
àgbáríjọ	organisation	combination
àgbékà	abstrakt	suitable
àgbéyèwò	recension	examination
àgbìgbò	grannskap	a type of bird
àgbùdo	gård	corn
àgọ́	tält	ago
àifète	syfte	unable to keep quiet
àjo	resa	board
àjákọ	isär	ajako
àjọṣepọ̀	social	union
àkosílè	abstraktion	written
àkosílè	avhandling	written account
àkàrà	kakor	bean pudding
àká	hyllor	store
àkójopò	grupp	collection
àkókó	tiden	previous
àlàkalè	mål	breakdown, explanation of actions
àlàyé	information	explanation
àlàáfíà	fred	peace
àlááfià	analogi	wellbeing
àlè	bastard	mistress, concubine, (side booty)
àlèpò	ovan	joined together
àlébù	fläck	ills
àmérìkà	övernaturlig	america
àmì	tecken	sign
àmúlò	praktisk	synonyms
àmúsorò	psykologi	resources
ànfàní	möjlighet	opportunity
àpapọ̀	som helhet	federal
àpeere	exempel	example
àrígbámú	störande	assistant
àrùn	sjukdom	disease
àrẹ	president	president
àse	fest	authority
àsàjemátèe	gryning	cunning
àsèyìn	verkningarna	at the end
àsìkò	tid	time
àsótélè	förlängning	prophecy
àsọdọ̀kan	enhet	unitary
àsekúdórógbó	bark	do or die
àsà	beställnings-	habit, culture, norm
àtijo	föråldrad	olden days
àtìpó	utlänningen	sojourn
àtòrìnká	runt omkring	urinating while walking
àtúnse	redigera	modification
àtúnse	redigera	renovate, fix
àtẹnudẹ́nu	oral	oral
àwon	teorier	they
àwón	pengarna	the
àwón	pengar	the
àwùjo	samhälle	community
ààtò	ritual	suitability
ààyè	levande	space
àárín	i mitten	middle
àáyá	sädesvätska	seconds
àìkó	brist	unlearned
àìní	vilja	lack
àìròtélè	oväntat	unthought of
àìsí	frånvaro	lack
án	t	it
áwon	otukt	those
èbà	mygg	cassava flour food
èbúté	hamn	shore
èdá	skapande	creature
èdè	språk	language
èdè	språk	language
èfòn	spänd	efon
èhìn	nästa	outskirt
èka	gren	branch
èkejì	den andra	second
èlò	redskap	tool
ènìkan	något	someone
èràn	sjukdom	virus
èrò	tankar	thoughts
èsó	moské	modesty
èsúrú	myror	yam (indigenous to west africa)
ète	syfte	plan
èyì	värdighet	this
èka	effekt	branch
èro	tankar	machine
èrí	bevis	witness
èsìn	religion	religion
èwù	skjorta	clothe
èpón	mycket	modifier
ìbarà	feber	ibara (town)
ìbánisòrò	anslutningen	dialogue
ìbáraeni	transport	to themselves
ìbílè	födslorätt	local
ìbílè	födslorätt	local
ìdàgbà	vuxen ålder	grow
ìdàpapọ̀	konsolidering	union
ìdàrúdàpò	kaos	misunderstanding
ìdá	övergivenhet	division
ìdìmú	störning	branch, part
ìdíisin	orsak	idi-isin
ìdíwòn	din anledning	criteria
ìdó	sting	ido (a person's name)
ìfara	tortyr	self
ìfojúìtànìgbesiayé	livshistoria	biography
ìfáàrà	en präst	introduction
ìgbonnìbí jé	det är en katastrof	igbonnibi
ìgbà	tid	when
ìgbàgbé	glömsk	forgetfulness
ìgbá	vingar	time
ìgbáraga	styrka	pride
ìgbéraga	stolthet	pride
ìgbésí	liv	life
ìgbò	bagge	igbo people
ìhun	järn	things
ìjo	dansa	church
ìjo	kyrkan	church
ìjoba	regering	government
ìjora	hata	resemblance
ìjìnlè	mysterium	comprehensive
ìjìnlè	mysterium	mysterious
ìjò	ledare	consent
ìjọba	regering	government
ìkejì	den andra	second
ìkànna	det samma	ikanna (town)
ìkèrèkú	trängsel	ikereku
ìkéde	deklaration	advert
ìkìjà	en utmaning	ikija
ìkìlò	missbruk	warning
ìkínin	den sjätte	greetings
ìkẹrin	den fjärde	fourth
ìkọpa	deltagande	ikopa
ìlera	hälsa	health
ìlo	ringa upp	use
ìlà	skissera	border
ìlànàn	illusion	procedure
ìlàorùn	blåmärken	east
ìlàìnàró	förtryck	vertical
ìlè	bestickning	land
ìlé	hem	land
ìmò	orm	knowledge
ìmò	blixt-	knowledge
ìmóbìdo	förstfödelsen	imobido
ìmú	näsa	knowledge
ìmúnilérú	missbruk	slavery
ìmúsára	för att stärka	contagious
ìnagije	seger	alias
ìnáwó	utgifter	expenditure
ìpolongo	reklam	advertisement
ìpìlẹ̀núkléù	kryptering	base
ìpìnlè	början	foundation
ìpínrò	punkterna	economize
ìrànlọ́wọ́	hjälp	help
ìrànàna	hjälp	path-clearing
ìràwọ̀	stjärnorna	s
ìrí	erfarenhet	sight
ìròkò	trodde	iroko
ìròyìn	nyheter	news
ìròyìnwiki	nyheter	wikinews
ìròrùn	illusion	peaceful
ìró	ljud	sound
ìrúbo	kollaps	sacrifice
ìsawo	spådom	divinity-practice
ìse	handling	behaviour
ìsinsìnyí	nu	modern
ìsirò	beräkning	adding
ìsomó	ansluta sig	attachment
ìsàlè	solnedgång	down town
ìsèlè	produktion	happening
ìsìn	religion	worship
ìsòrò	meditation	speech
ìsòrí	delfältet	chapter
ìsú	tjocklek	lump
ìsọ	butiker	stall
ìse	handling	work
ìsègbèfábo	flit	female support
ìsèdá	skapande	creation
ìsèjoba	regering	government
ìsílé	hem	house opening
ìsòro	svårighet	problem
ìse	handling	action
ìta	utanför	outside
ìtaeko	verkstad	outskirts of eko
ìtan	historia	story
ìtokò	grytan	story
ìtàn	historia	history
ìtànkálé	översvämningar	spread
ìtèsíwájú	framsteg	progress
ìtójú	vård	treatment
ìtóju	förvirring	treatment
ìtójú	ansiktsuttryck	treatment
ìtóka	att bli slagen	dictionary
ìtúmò	översättning	meaning
ìtúpalè	översättning	exposition
ìwe	jämförelse	book
ìwo	horn	horn
ìwàásù	förkunnelse	sermon
ìwéré	häfte	iwere (town)
ìwò	övergripande	set
ìwòran	syn	viewing
ìwúlò	användbar	usefulness
ìya	lidande	mother
ìyapa	separation	divorce
ìyàwó	bruden	wife
ìyípadà	omvandling	transformation
ìṣèlú	politik	politics
ìṣẹ́kù	påminnelsen	broken
ìṣọ̣̀tẹ̣̀	lunginflammation	rebellion
òde	utanför	society
òdeojú	ansiktslös	surface
òdo	ungdom	zero
òdìkejì	den andra	opposite
òféàrán	en bild	a town name
ògbójú	behörig	brave
ògiri	vägg	wall
ògo	ära	glory
ògun	medicin	medicine
ògúndìpẹ̀	pulver-	ogundipe
òjo	ser ut som	ojo
òjísé	doktorn	servant
òkèògbún	tusen	oke-ogbun
òkòòkan	en och en	each
òkú	lik	corpse
òkúta	en sten	stone
òle	hemmafru	lazy
òmiràn	trollkarlen	other
òmùàrán	en bild	omu-aran (town)
òní	i dag	today
òotó	sanning	true
òpópóònà	väg	highway
òranyàn	obligatorisk	a must
òrìsà	idoler	god
òrí	kapitel	top
òrò	hjärna	word
òsán	middag	afternoon
òsèlú	politiker	politics
òsèré	idrottare	player
òwù	trasa	owu
òṣèlú	politik	politician
òjògbón	regnigt väder	learned person
òkan	ett	heart
òkòòkan	en och en	each
òpòlopò	många	many
òré	spel	friend
òfò	nästa	sorrowful
òpòlopo	många	lot of
òré	spel	friend
òrò	tankar	word
òsà	guldfisk	lagoon
òwó	pengar	hand
òrò	tankar	word
òròàjòmó	morgonen	part of speech
ó	den	that
óníse	han är en designer	stricken
ósírísì	saliv	diverse
ósékú	han är död	die suddenly
ó	ja	word
ôdún	år	year
únṣẹlẹ̀	jordbävning	formed
şe	do	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	øːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˌæɪɪɔɔəə	not yoruba
ˌæləˈbæmə	sjukdom	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	öppning	work
ṣàkóbá	skadlig	incriminate
ẹdo	skämt	edo
ẹlẹ́bùn	en gåva	award winner
ẹlẹ́sìn	religiös	religionist
ẹnìkan	en person	someone
ẹsẹ	fötter	verse
ẹtì	lever	friday
ẹ̀kaawon	inlagor	branch of
ẹ̀kabrítánì	farbror	part of britain
ẹ̀kajuly	maj	chapter july
ẹ̀kaoṣù	taggig	month
ẹ̀kasístẹ̀mù	subjektiv	sistemu=system
ẹ̀kẹ́ta	den tredje	third, the third
ẹ̀kọ́	utbildning	teachings
ẹ̀ni	who	person
ẹ̀rọ	maskineri	machine
ẹ̀wẹ̀	å andra sidan	leaf
ọbàkàn	halvbror	step-sister
ọdún	år	year
ọlọ́mọ	barn	members
ọlọ́run	en gud	god
ọmú	du suger	breast
ọmọ	barn	c
ọn	den	him
ọpọ́lọpọ́	fikon	many
ọ̀dọ́	ungdom	youth
ọ̀gbìn	växt	seedlings
ọ̀nà	sätt	ways
ọ̀pòlòpò	handling	various
ọ̀rọ̀	prata	word
ọ̀sẹ	vecka	week
