$	dollar təşkil edib	(dollar sign)
cérémonies	mərasimlər	ceremonies
césar	sezar	cesar
cétait	idi	this was
côte	sahil	coast
côtes	qabırğalar	shores
côtière	sahil	costal
côtières	sahil	coastal
côté	tərəfi	side
côtés	tərəflər	side
cœur	ürək	heart
da	da	da
dabi	dabi	dabi
dabord	əvvəlcə	firstly
daccord	tamam	agreement
daccueil	xoş gəldin	home
daccès	giriş	of access
daccéder	daxil olmaq	access
dachat	alış	purchase
dachille	dachille	dachille
dacier	polad	steel
dacteur	aktyor	actor
dacteurs	aktyorlar	participants
daction	fəaliyyət	action
dactions	hərəkətlər	of action
dactivité	fəaliyyət	of activity
dactivités	fəaliyyətlər	activities
dadministration	idarəetmə	of administration
dadn	dadn	dna
daffaires	iş	business
dafrique	afrika	of africa
daft	daft	daft
daide	kömək	aid
daider	kömək etmək	daider
dailleurs	başqa	dailleurs
dair	hava	dair
dakar	dakar	dakar
dalbert	dalbert	albert
dalbums	dalbums	albums
dalcool	alkoqol	of alcohol
dalexandre	dalexandre	of alexandre
dalexandrie	dalexandria	of alexandrie
dalfred	dalfred	alfred
dalger	dalger	from algiers
dalgérie	əlcəzairdən	of algeria
dallemagne	almaniya	of germany
daller	get	to pave
dalsace	dalsace	alsace
daluminium	alüminium	of aluminium
dalzheimer	dalzheimer	alzheimer
dalí	dali	dali
dam	bənd	(part of a name here)
dame	xanim	queen
dames	xanımlar	ladies
damitié	dostluq	of friendship
damour	sevgi	of love
daméliorer	yaxşılaşdırmaq	to improve
daménagement	abadlıq	development
damérique	amerika	america
dan	dan	dan
danalyse	analiz	of analysis
danciens	köhnə	ancient
danemark	denmark	denmark
danger	təhlükə	danger
dangereux	təhlükəli	dangerous
dangers	təhlükələr	dangers
dangleterre	ingilis	dangleterre
daniel	daniel	daniel
danimation	animasiya	animation
danimaux	heyvanlar	wildlife
danne	danne	of anne (woman's name)
danny	dayə	danny
dannée	il	danneel
dannées	illər	dancer
danois	danish	danish
dans	içində	in
danse	rəqs etmək	dance
danses	rəqslər	dances
danube	danube	danube
daoût	avqust	august
dappel	zəng edin	appeal
dapplication	tətbiqi	application
daprès	görə	according to
daragon	daraq	daragon
darc	darc	d'arc
darchitecture	memarlıq	darchitecture
dargent	pul	money
daristote	daristotel	from aristotle
darius	darius	darius
dark	qaranlıq	dark
darmes	silahlar	weapons
darrêt	dayan	arrest
darrêter	dayanmaq	to stop
dart	dart	of art
darticles	məqalələrin	articles
dartistes	sənətkarlar	artists
darts	dartlar	of arts
darwin	darvin	darwin
dasie	dasia	asia
dasperger	səpmək	asperger's
dassurer	təmin etmək	to ensure
datant	tanışlıq	dating
date	tarix	date
datent	tarix	date
dates	tarixləri	dates
dathènes	afina	of athena
dattaque	hücum	of attack
datteindre	çatmaq	datteindre
dau	dau	of
daudience	tamaşaçı	audience
daugmenter	artırmaq	increase
dauguste	daugust	auguste
daujourdhui	bu gün	todays
dauphin	delfin	dolphin
dauschwitz	dauschwitz	of auschwitz
daustralie	avstraliya	australian
dautant	qədər	as
dauteur	müəllif	author
dauteurs	müəlliflər	author's
dautre	digərləri	other
dautres	digərləri	other
dautriche	avstriyadan	dautriche
davantage	daha çox	further
dave	dərviş	dave
david	david	(name)
davis	davis	davis
davoir	sahib olmaq	to have
davril	aprel	april
days	günlər	days
dazur	dazur	dazur
dc	dc	dc
de	of	of
dean	dekan	dean
deastwood	çöl ağacı	eastwood
death	ölüm	death
deau	su	of water
debout	ayaqda	standing
dedgar	dedgar	of edgar
deezer	deezer	deezer
def	def	deaf
deffectuer	ifa etmək	do
degré	dərəcəsi	degree
degrés	dərəcə	degrees
dehors	kənarda	outside
delacroix	delakroix	delacroix
della	della	della
delle	o	of her
delta	delta	delta
delvis	delvis	of elvis
delà	kənarda	beyond
demain	sabah	tomorrow
demanda	soruşdu	asked
demandant	soruşur	asking
demande	istək	application
demandent	soruş	ask for
demander	soruş	ask
demandes	istəkləri	requests
demandé	soruşdu	required
demeure	qalır	remains
demeurent	qalmaq	remain
demi	yarı	half
demifinale	yarımfinal	looked
demifinales	yarımfinal	semi-final
demploi	məşğulluq	employment
den	den	to
denfance	uşaqlıq	childhood
denfants	uşaqlar	of kids
denis	denis	dennis
dennis	dennis	dennis
denregistrement	qeyd	recording
denregistrer	qeyd etmək	record
dense	sıx	dense
denseignement	tədris	teaching
densemble	ümumilikdə	establishing shot
densité	sıxlığı	density
dentraînement	təlim	of training (terrain d'entrainement=training ground)
dentre	dən	of (as = three millions of them had...)
dentreprise	korporativ	company
dentreprises	şirkətlərin	diets
dentrer	girmək	to enter
dentrée	giriş	dentrée
dents	dişlər	teeth
denviron	haqqında	of approx
depp	depp	depp
depuis	bəri	since
der	der	der
dernier	son	last
derniers	ən son	latter
dernière	son	last
dernières	ən son	last
derrière	arxada	behind
des	of	of
descartes	xəritələr	descartes
descend	enmək	down
descendance	nəsilləri	lineage
descendant	enən	descendant
descendants	nəsilləri	outgoing
descente	enmə	coming down
description	təsviri	description
design	dizayn	design
despagne	ispan	of spain
desprit	ruh	of spirit
despèces	nağd	species
desquels	bunlardan	of which
dessin	rəsm	design
dessinateur	dizayner	drawer
dessine	çəkmək	emerges
dessiner	çəkmək	draw
dessins	rəsmlər	drawings
dessiné	çəkilib	drawn
dessinée	çəkilib	drawn
dessinées	komik kitablar	drawn
dessous	aşağıda	underneath
dessus	yuxarıda	on
destaing	dağıdıcı	(name)
destin	taleyi	destiny
destination	təyinat	destination
destiné	nəzərdə tutulub	intended
destinée	taleyi	destiny
destinées	nəzərdə tutulub	destinies
destinés	nəzərdə tutulub	dedicated
destruction	məhv	destruction
destructions	məhv	destructions
dette	borc	debt
dettes	borclar	debts
deurope	avropa	europe
deux	iki	two
deuxième	ikinci	second
devaient	etməli idi	had to be
devait	etməli idi	had to
devant	qarşısında	in front of
devenant	olmaq	becoming
devenir	olmaq	become
devenu	olmaq	become
devenue	olmaq	become
devenues	olmaq	become
devenus	olmaq	become
deviendra	olacaq	will become
devienne	olmaq	becomes
deviennent	olmaq	become
devient	olur	become
devinrent	oldu	got
devint	oldu	became
devise	valyuta	motto
devises	valyutalar	currency
devoir	vəzifə	duty
devoirs	ev tapşırığı	homeworks
devra	etməli olacaq	will have to
devraient	olmalıdır	ought to be
devrait	olmalıdır	should
devront	etməli olacaq	will have to
dexemplaires	nüsxə	dexemptaires
dexemple	nümunə	of example
dexpliquer	izah etmək	to explain
dexploitation	fəaliyyət göstərir	operating
dexposition	ifşa	catalogues d'exposition = exhibition catalogs
dexpression	ifadəsi	dexpresiion
dexter	dexter	dexter
dextermination	tələskənlik	extermination
dextrême	dekstrem	extreme
dhabitants	sakinləri	people
dharmonie	harmoniya	two words -> of harmony
dhenri	dhenri	dhenri
dhistoire	tarixi	of history
dhitchcock	kərpic	hitchcock
dhitler	dhitler	of hitler
dhiver	qış	winter
dhomme	adam	man
dhommes	kişilər	of men
dhomère	dhomère	of homer
dhonneur	şərəf	dhonneur
dhorreur	dəhşət	horror
dhydrogène	hidrogen	of hydrogen
dhéraclès	herakes	heracles
di	di	of
diable	şeytan	wretched
diagnostic	diaqnoz	diagnosis
dialecte	ləhcəsi	dialect
dialectes	ləhcələri	dialects
dialectique	dialektik	dialectic
dialogue	dialoq	dialogue
dialogues	dialoqlar	dialogues
diamant	almaz	diamond
diams	diaqramlar	diam's
diamètre	diametri	diameter
diana	diana	diana
diane	diane	diana
diaspora	diaspor	diaspora
dici	burada	till
dictateur	diktator	dictator
dictature	diktatura	dictatorship
dictionnaire	lüğət	dictionary
didentifier	müəyyənləşdirin	to identify
diderot	diderot	diderot
didier	didier	didier
didées	fikirlər	of ideas
die	ölmək	die
diego	diego	diego
dieu	allah	god
dieudonné	allah	dieudonné
dieux	tanrılar	god
difficile	çətin	difficult
difficilement	hardasa	with difficulty
difficiles	çətin	difficult
difficulté	çətinlik	difficulty
difficultés	çətinliklər	difficulty
diffuse	dağınıq	airs
diffuser	yayımlandı	play
diffusion	yayımlandı	diffusion
diffusions	verilişləri	broadcasts
diffusé	yayımlandı	broadcast
diffusée	yayımlandı	broadcast
diffusées	yayımlandı	aired
diffusés	yayımlandı	broadcast
diffère	fərqlənir	differs
diffèrent	fərqlənir	differ
différemment	fərqli şəkildə	differently
différence	fərqlilik	difference
différences	fərqlər	differences
différent	fərqli	different
différente	fərqli	different
différentes	fərqli	different
différents	fərqli	different
digestif	həzm	digestive
digital	rəqəmsal	digital
dimagerie	görüntü	imagery
dimages	şəkillər	photo
dimanche	bazar günü	sunday
dimension	ölçü	dimension
dimensions	ölçüləri	dimensions
diminue	azalır	decrease
diminuer	azalmaq	decrease
diminution	azalmaq	diminution
diminué	azaldı	decreased
dimmatriculation	qeydiyyatı	registry
dimmigration	immiqrasiya	immigration
dimpact	təsir	impact
dimportance	əhəmiyyəti	importance
dimportantes	vacibdir	major
dimportants	vacibdir	important
dimposer	tətbiq etmək	to impose
dindépendance	müstəqillik	of independence
dinflation	inflyasiya	inflation
dinfluence	təsir	influence
dinformation	məlumat	information
dinformations	məlumat	informations
dinosaures	dinozavrlar	dinosaurs
dinspiration	ilham	dinspiration
dintensité	intensivliyi	intensity
dinternet	internet	of internet
dinterprétation	təfsir	interpretation
dintégrer	inteqrasiya etmək	dintegrer
dintérêt	maraqlandirir	of interest
dioclétien	diocletian	diocletian
dion	dion	dion
dioxyde	dioksid	dioxide
diplomatie	diplomatiya	diplomacy
diplomatique	diplomatik	diplomatic
diplomatiques	diplomatik	diplomatic
diplôme	diplom	diploma
diplômes	diplomlar	diplomas
dira	deyəcək	will tell
dire	demək	say
direct	birbaşa	live (transmission)
directe	birbaşa	straight
directement	birbaşa	directly
directeur	direktor	director
direction	istiqamət	direction
directive	direktiv	directive
directives	direktivlər	rules
directs	birbaşa	direct
dirige	birbaşa	heads
dirigeant	hökmdar	leader
dirigeants	liderlər	leadership
diriger	birbaşa	directed
dirigé	yönəldilmişdir	directed
dirigée	yönəldilmişdir	directed
dirigés	yönəldilmişdir	directed
dirlande	dirlande	of ireland
disait	dedi	say
disant	deyərək	saying
disciple	şagird	follower
disciples	şagirdlər	followers
discipline	intizam	discipline
disciplines	fənlər	disciplines
discographie	diskoqrafiya	discography
discours	nitq	speech
discussion	müzakirə	discussion
discussions	müzakirələr	talks
disent	deyin	say
disney	disney	disney
disneyland	disneyland	disneyland
disparaissent	yox olur	vanish
disparaît	yox olur	disappears
disparaître	yox olmaq	disapear
disparition	yoxa çıxmaq	endangered
disparu	yoxa çıxdı	disappear
dispersion	dağılma	dispersal
disponible	mövcuddur	available
disponibles	mövcuddur	available
disposant	olan	possessing
dispose	var	has
disposent	var	have/wield
disposer	sərəncam vermək	to have
dispositif	cihaz	device
dispositifs	qurğular	dispositions
disposition	dispozisiya	available
dispositions	müddəalar	provisions
dispute	mübahisə	argument
disputé	mübahisəli	argued
disqualification	diskvalifikasiya	disqualification
disque	disk	disk
disques	disklər	discs
disraël	incitmək	of israel
dissolution	ləğvi	dissolution
distance	məsafə	distance
distances	məsafələr	distances
distinctes	ayrı	distinct
distinction	fərqlilik	distinction
distinctions	fərqliliklər	distinctions
distincts	ayrı	distinct
distingue	fərqləndirir	distinguish
distinguent	fərqləndirmək	distinguish
distinguer	fərqləndirmək	differentiate
distribution	paylanması	distribution
distribué	paylanmışdır	distributed
district	rayonu	district
districts	rayonlar	districts
dit	deyir	considers himself
ditalie	i̇taliya	italian
dite	dedi	known
dites	deyin	so called
dits	dedi	dubbed
divers	müxtəlif	various
diverses	müxtəlif	any other business
diversifiée	rəngarəng	diversified
diversité	müxtəliflik	diversity
divertissement	əyləncə	entertainment
divin	ilahi	divine
divine	ilahi	divine
divinité	tanrı	divinity
divinités	tanrılar	deities
divise	bölür	splits
division	bölmə	division
divisions	bölmələr	divisions
divisé	bölünmüşdür	divides'
divisée	bölünmüşdür	dvided
divisées	bölünmüşdür	divided
divisés	bölünmüşdür	divided
divoire	divoire	of the ivory
divorce	boşanma	divorce
dix	on	ten
dixhuit	on səkkiz	eighteen
dixième	onuncu	tenth
dixsept	on yeddi	seventeen
dizaine	on	around ten
dizaines	onlarla	tens
dj	dj	disk jockey
dns	dns	domain name system
do	etmək	do
dobjets	obyektlərin	items
dobtenir	almaq	get
doccident	qərb	of the occident/of the west
doccupation	işğal	of occupation
docteur	həkim	doctor
doctobre	oktyabr	october
doctrine	doktrina	doctrine
doctrines	doktrinalar	doctrines
document	sənəd	document
documentaire	sənədli	documentary
documentaires	sənədli filmlər	documentary
documentation	sənədləşdirmə	documentation
documents	sənədlər	documents
dog	köpək	dog
doha	doha	doha
doigt	barmaq	finger
doigts	barmaqlar	fingers
doit	olmalıdır	have to
doivent	olmalıdır	should
dollar	dollar	dollar
dollars	dollar	dollars
dom	dom	dom
domain	domen	domain
domaine	domen	field
domaines	sahələr	domains
domestique	yerli	servant
domestiques	yerli	domestic
domicile	ev	home
dominant	dominant	dopminant
dominante	dominant	dominant
domination	hökmranlıq	domination
domine	üstünlük təşkil edir	dominates
dominent	üstünlük təşkil etmək	dominate
dominicaine	dominikan	dominican
dominique	dominik	dominique
dominé	üstünlük təşkil edir	dominates
dominée	üstünlük təşkil edir	dominated
dommages	ziyan	damage
don	hədiyyə	don
donald	donald	donald
donc	belə	then
donde	dalğa	wave
donna	verdi	gave
donnait	verdi	gave
donnant	verən	giving
donne	vermək	gave
donnent	vermək	give
donner	vermək	ask
donnera	verəcək	will give
donné	verilmişdir	given
donnée	verilmişdir	given
données	məlumatları	data
donnés	verilmişdir	given
dons	ianələr	gifts
dont	bunlardan	whose
dopposition	müxalifət	of resistance
dor	qızıl	dor
dordre	sifariş vermək	order
dorganisation	təşkilatın	organisational
dorganiser	təşkil etmək	to organise
dorient	yuxu	eastern
dorigine	orijinal	of origin
dorléans	orlean	of orléans
doré	qızıl	golden
dos	geri	back
dose	doza	dose
dossier	qovluq	file
dossiers	qeydlər	files
doté	bəxş etmişdir	given
dotée	bəxş etmişdir	has(for 1st) with(for tanger) has (for european union)
doublage	dublyaj	dubbing
double	ikiqat	double
doubles	ikiqat	doubles
doublé	ikiqat	double
douce	şirin	fresh
douglas	duglas	douglas
douleur	ağrı	pain
douleurs	ağrılar	pains
doute	şübhə	doubt
doutremer	xarici	overseas
douverture	açılış	of opening
douvrages	işləyir	books
doux	şirin	soft
douze	on iki	twelve
down	aşağı	down
doù	haradan	thus
dr	dr	doctor
dracula	dracula	dracula
dragon	əjdaha	dragon
dramatique	dramatik	dramatic
dramatiques	dramatik	dramatic
dramaturge	dramaturq	playwright
drame	dram	drama
drapeau	bayraq	flag
drapeaux	bayraqlar	flags
dreyfus	dreyfus	dreyfus
drogue	dərman	drugs
drogues	dərmanlar	drugs
droit	sağ	right
droite	sağ	right
droites	düz	straight
droits	hüquqları	law
du	dən	of
dubaï	dubai	dubai
dublin	dublin	dublin
duc	şahzadə	duke
duchesse	şahmat	duchess
duché	qaranlıq	duchy
ducs	bəylər	dukes
due	görə	due
duel	duel	duel
dues	görə	caused
dulysse	dulysse	dulysee
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore (character's name)
dun	dun	of one
dune	dune	of a
dunion	birlik	union
dunité	birlik	of unity
duo	duet	duet
duquel	hansından	of which
dur	sərt	hard
dura	davam etdi	lasted
durable	davamlı	sustainable
durablement	davamlı olaraq	durably
durant	zamanı	during
dure	davam edir	last
durent	son	last
durer	davam etmək	last
durera	davam edəcək	will last
dures	sərt	difficult, hard
durgence	təcili	in emergency
durs	sərt	hard
duré	müddəti	last
durée	müddəti	duration
dus	görə	due
dusage	istifadə etmək	usage
dut	olmalıdır	had to
dutilisation	istifadəsi	usage
dutiliser	istifadə etmək	to use
dvd	dvd	dvd
dx	dx	dx
dy	dy	to
dylan	dylan	dylan
dynamique	dinamik	dynamic
dynamiques	dinamik	dynamic
dynamisme	dinamizm	dynamism
dynastie	sülalə	dynasty
dynasties	sülalələr	dynasties
dyslexie	disleksiya	dyslexia
dysphorie	disforiya	disphoria
dâge	yaşı	of age
dès	dən	dice
débarquement	eniş	disembarkation
débarrasser	qurtarmaq	rid
débat	debat	debate
débats	debatlar	discussions
débit	axın	flow
début	başlamaq	start
débute	başlayır	begins
débuts	başlanğıclar	start
débuté	başladı	started
décadence	dekadensiya	decadence
décembre	dekabr	december
décennie	onillik	decade
décennies	onilliklər	decades
déchange	mübadilə	exchange
déchets	israf	waste
décida	qərar verdi	decided
décide	qərar verir	decides
décident	qərar ver	decide
décider	qərar ver	decide
décidé	qərar verdi	decided
décisif	həlledici	decisive
décision	qərar	decision
décisions	qərarlar	decisions
décisive	həlledici	decisive
déclara	elan etdi	declared
déclarant	elan edir	declaring
déclaration	ifadəsi	statement
déclarations	ifadələr	declarations
déclare	elan edin	said
déclarent	elan edin	go on
déclarer	elan edin	declare
déclaré	elan etdi	declared
déclarée	elan etdi	declared
déclenche	tetikleyiciler	triggers
déclenchement	tetikleyici	release
déclin	azalma	decline
décline	azalır	decline
décompte	geri sayma	count
déconomie	iqtisadiyyat	of economy
décor	dekorasiya	scenery
décoration	bəzək	decoration
décorations	bəzək əşyaları	decorations
décors	dəstlər	decors
découle	yaranır	ensued
découpage	kəsmə	division
découvert	aşkar etdi	discovered
découverte	kəşf	discovered
découvertes	kəşflər	discoveries
découverts	aşkar etdi	discovered
découvre	tapmaq	discovers
découvrent	kəşf etmək	discover
découvrir	kəşf etmək	to discover
décret	fərman	decree
décrets	fərmanlar	decrees
décrire	təsvir etmək	to describe
décrit	təsvir edir	describe
décrite	təsvir edilmişdir	described
décrits	təsvir edilmişdir	describes
décriture	yazmaq	of writing
décrivant	izah edən	describing
décrivent	təsvir edin	describe
décède	ölür	dies
décès	ölüm	death
décédé	mərhum	died
dédié	həsr olunmuşdur	device
dédiée	həsr olunmuşdur	dedicated
dédiés	həsr olunmuşdur	dedicated
déducation	təhsili	education
déduit	çıxarıldı	deduces
déesse	ilahə	goddess
défait	məğlub oldu	dismantled
défaite	məğlubiyyət	defeat
défaites	məğlubiyyətlər	defeats
défaut	defolt	default
défauts	nöqsanlar	faults
défend	müdafiə edir	defends
défendre	müdafiə etmək	defend
défendu	qadağandır	supported
défense	müdafiə	defense
défenseur	müdafiəçi	defender
défenseurs	müdafiəçilər	defenders
défi	meydan	challenge
déficit	kəsiri	deficit
défini	müəyyənləşdirilib	defined
définie	müəyyənləşdirilib	defined
définies	müəyyənləşdirilib	defined
définir	müəyyənləşdirmək	defin
définis	müəyyənləşdirilib	defined
définissant	müəyyənləşdirən	defining
définissent	müəyyənləşdirin	define
définit	müəyyənləşdirir	defined
définitif	final	definitive
définition	tərif	definition
définitions	təriflər	definitions
définitive	final	definitive
définitivement	mütləq	definitively
déforestation	meşələrin qırılması	deforestation
déformation	təhrif	deformation
défunt	mərhum	deceased
dégager	aydın	give off
dégradation	pozulma	deterioration
dégypte	şifrəni açır	egypt
dégâts	ziyan	damages
déjà	onsuz da	already
délai	son tarix	delay
délais	son tarixlər	delays
délectricité	elektrik	electricity
déliminer	aradan qaldırmaq	eliminate
délégation	heyet	delegation
déléments	elementlər	elements
démarche	yeriş	approach
démarrage	başlanğıc	start
démarre	başlayır	tired of
démence	demans	dementia
démission	istefa	résignation
démissionne	istefa verir	quits
démocrate	demokrat	democrate
démocrates	demokratlar	democrats
démocratie	demokratiya	democracy
démocratique	demokratik	democratic
démographie	demoqrafiya	demography
démographique	demoqrafik	demographic
démographiques	demoqrafik	demographic
démon	cin	deamon
démons	cinlər	demons
démonstration	nümayiş	demonstration
démontre	nümayiş etdirmək	demonstrates
démontrer	nümayiş etdirmək	demonstrate
démontré	nümayiş etdirdi	demonstrate
déménage	hərəkət edir	move
dénergie	enerji	of energy
dénombre	saymaq	count
dénomination	məzhəb	denomination
dénommé	adlandırılır	referred to as
dénonce	pisləyir	denounced
déoliennes	külək turbinləri	of wind mills
départ	gediş	outset
département	şöbə	department (country subdivision)
départements	şöbələr	departments
dépassant	aşan	surpassing
dépasse	aşır	exceeds
dépassent	aşmaq	exceed
dépasser	aşmaq	exceed
dépassé	aşdı	exceeded
dépend	asılıdır	depends
dépendance	asılılıq	dependency
dépendances	outbuildings	dependencies
dépendant	asılıdır	dependent
dépendent	asılıdır	dependent
dépenses	xərclər	outgoings
dépisodes	epizodlar	episodes
dépit	baxmayaraq	in spite
déplace	hərəkət edir	moves
déplacement	yerdəyişmə	displacement
déplacements	yerdəyişmələr	moves
déplacer	hərəkət etmək	move
dépolarisation	depolarizasiya	depolarisation
déportation	deportasiya	deportation
déportés	köçkünlər	deportees
dépose	düşmək	files
déposé	iddia olunur	registered
dépression	depressiya	depression
député	deputat	deputy
députés	millət vəkilləri	deputy members
dépôt	əmanət	depot
dépôts	yataqlar	deposits
dérive	sürüşmək	derive
dérivé	törəmə	derivative
dérivée	törəmə	derivative
dérivés	törəmələri	derivative
déroulant	aşağı düşmək	unfolding
déroule	yer tutur	unrolls
déroulement	yayılan	course
déroulent	yer almaq	take place
désaccord	razı deyiləm	disaccord
désastre	fəlakət	disaster
désert	səhra	desert
désignant	təyinat	designating
désignation	təyinatı	name / designation
désigne	təyin edir	indicate
désignent	təyin etmək	dub
désigner	təyin etmək	designate
désigné	təyin olunmuşdur	designated
désignée	təyin olunmuşdur	designated
désignés	təyin olunmuşdur	designated
désir	istək	desire
désire	istək	dÉsir
désormais	indi	henceforth
détablir	qurmaq	to establish
détail	ətraflı	detail
détaillé	ətraflı	detailed
détaillée	ətraflı	detailed
détails	təfərrüatlar	details
détat	dövlət	state
détats	dövlətlər	of states
détecter	aşkar etmək	detect
détection	aşkarlanması	detection
détective	dedektiv	detective
détenu	tutulub	detained
détenus	məhkumlar	detained
déterminant	müəyyənedici	determinant
détermination	qətiyyət	determination
détermine	müəyyənləşdirir	specifies
déterminer	müəyyənləşdirin	to determine
déterminé	qərarlı	prepended
déterminée	qərarlı	determined
détient	tutur	holds
détracteurs	pozucu	detractors
détriment	zərər	detriment
détroit	boğaz	sound
détruire	məhv etmək	destroy
détruit	məhv edildi	destroyed
détruite	məhv edildi	destroyed
détruits	məhv edildi	destroyed
détude	öyrənmək	of studies
détudes	tədqiqatlar	of surveys
détudier	öyrənmək	study
dété	yay	summer
dévaluation	devalvasiya	devaluation
dévaluer	devalvasiya	evaluate
développe	inkişaf edir	develops
développement	inkişaf	development
développent	inkişaf etdirmək	develop
développer	inkişaf etdirmək	developed
développé	inkişaf etmişdir	developped
développée	inkişaf etmişdir	developed
développées	inkişaf etmişdir	developed
développés	inkişaf etmişdir	developed
déviter	çəkinin	avoid
déçu	məyus	disappointed
dêtre	olmaq	to be
dîner	şam yeməyi	dinner
dû	görə	had to
dœil	göz	of the eye
dœuvre	işləmək	piece
dœuvres	işləyir	writings
e	e	e
east	şərq	east
eastwood	şərq ağacı	eastwood
eau	su	water
eaux	sular	water
ecclésiastique	din xadimi	ecclesiastic
ecw	ecw	ecw
ed	ed	edition
eddie	eddie	eddie
edgar	edqar	writer
edge	kənar	edge
editions	nəşrlər	editions
edmond	edmond	(name)
edward	edvard	edward
effectif	işçi qüvvəsi	datteindre
effectifs	işçi qüvvəsi	headcounts
effective	təsirli	effective
effectivement	əslində	effectively
effectue	ifa edir	perform
effectuer	ifa etmək	perform
effectué	ifa olunur	placed
effectuée	ifa olunur	effected
effectuées	ifa olunur	carried
effectués	etdi	carried out
effet	təsiri	effect
effets	effektləri	effects
efficace	səmərəli	efficient
efficaces	təsirli	efficient
efficacité	səmərəlilik	efficiency
effort	səy	effort
efforts	səylər	efforts
eiffel	eyfel	eiffel
einstein	eynşteyn	einstein
el	el	el
elimination	aradan qaldırılması	elimination
elizabeth	elizabet	elizabeth
elle	o	it (in that context)
ellemême	özü	itself
elles	onlar	they
ellesmêmes	özləri	themselves
elvis	elvis	elvis
emblématique	emblematik	iconic
emblématiques	emblematik	symbolical
emi	emi	emi
eminem	eminem	eminem
emirates	əmirliklər	emirates
emma	emma	emma
emmanuel	emmanuel	emmanuel
emmy	emmy	emmy
emo	emo	opinion and marketing survey
empereur	imperator	emperor
empereurs	imperatorları	emperor
empire	imperiya	empire
empires	imperiyalar	empires
empirique	empirik	empirical
emplacement	yeri	place
emploi	iş	employment
emploie	işə götürür	use
emplois	iş yerləri	employement
employé	işçi	employee
employée	işlədi	employee
employées	işlədi	employed
employés	işçilər	employed
emprunté	borclandı	borrowed
empêche	qarşısını alır	prevent
empêcher	qarşısını al	forbid
en	içində	in
enceinte	hamilə	enclosure
enceintes	hamilə	pregnant
enchaîne	zəncir	switches
enchères	auksion	auction
encore	yenidən	again
encourage	təşviq etmək	encourages
encouragé	təşviq etdi	encouraged
end	son	end
endroit	yer	place
endroits	yerlər	locations
enfance	uşaqlıq	childhood
enfant	uşaq	infant
enfants	uşaqlar	children
enfer	cəhənnəm	hell
enfin	nəhayət	finally
engage	məşğul olmaq	starts
engagement	nişan	engagement
engagements	öhdəliklər	bookings
engagé	məşğuldur	engaged
engagée	məşğuldur	engaged
engagés	məşğuldur	undertakes's
engendre	yalvarır	give rise to
english	ingilis	anglais
englobe	daxildir	embody
enjeu	pay	stake
enjeux	paylar	issues
ennemi	düşmən	enemy
ennemis	düşmənləri	enemy
enquête	sorğu	investigation
enquêtes	anketlər	surveys
enregistre	qeyd	records
enregistrement	qeyd	recording
enregistrements	yazıları	records
enregistrent	qeyd	record
enregistrer	qazanc	record
enregistré	xilas oldu	records
enregistrée	qeyd edildi	recorded
enregistrées	xilas oldu	registered
enregistrés	xilas oldu	registered
enseigne	öyrədir	teaches
enseignement	tədris	teaching
enseignements	dərslər	teachings
ensemble	birlikdə	all
ensembles	dəstlər	sets
ensuite	sonra	then
entame	başlamaq	starts
entend	eşitmək	intends
entendre	eşitmək	hear
entendu	eşitdim	known
enterré	dəfn edilmişdir	buried
enthousiaste	həvəsli	enthusiastic
entier	bütöv	entire
entiers	bütöv	entire
entité	varlıq	entity
entités	qurumlar	entities
entière	bütöv	entire
entièrement	tamamilə	entirely
entières	bütöv	entire
entourage	qonaqlıq	entourage
entourant	ətrafı	surrounding
entourent	əhatə etmək	surrounding
entouré	əhatə etmişdir	surrounded
entourée	əhatə etmişdir	surrounded
entraînant	daxil olmaq	resulting
entraîne	aparır	leads
entraînent	qurğuşun	caused
entraîner	qatar	cause
entraîneur	məşqçi	trainer
entraîné	öyrədilmiş	resulted
entre	arasında	between
entrelacement	interlacing	interweaving
entrent	girmək	come in
entreprend	öhdəsinə götürür	began
entrepris	götürülmüşdür	undertaken
entreprise	iş	company
entreprises	şirkətlər	companies
entrer	girmək	enter
entretemps	bu vaxt	in between
entretien	reportaj	interview
entretient	saxlayır	has
entrevue	reportaj	interview
entré	girdi	came in
entrée	giriş	entrance
entrées	yeni başlayanlar	entered
envers	alt-üst	towards
environ	haqqında	about
environnement	mühit	environment
environnemental	ətraf mühit	environmental
environnementale	ətraf mühit	environmental
environnementales	ətraf mühit	environmental
environnementaux	ətraf mühit	environmental
environs	ətrafı	surrounding
envisage	nəzərə alaraq	plans
envisagé	hesab olunur	considered
envoie	göndərin	sends
envoyer	göndərin	upload
envoyé	göndərilib	envoy
envoyée	göndərdi	sent
envoyés	göndərilib	sent
en 	içində	in
ep	ep	ep
er	er	rst
eric	erik	eric
ernest	ernest	ernest
ernst	ernst	ernst ( name )
erreur	səhv	mistake
erreurs	səhvlər	mistakes
es	es	es
escargots	salyangozlar	snails
esclaves	qullar	slaves
espace	boşluq	space
espaces	boşluqlar	spaces
espagne	ispan	spain
espagnol	ispan	le e'spagnol
espagnole	ispan	spanish
espagnoles	ispan	spanish
espagnols	ispan	spanish
espoir	ümid	hope
esprit	ruh	mind
esprits	ruhlar	spirits
espèce	növlər	species
espèces	nağd	cash
espère	ümid	hopes
espérance	ümid	expectancy
essai	test	try
essaie	cəhd edin	tries
