$ tỉ	milijardu dolara	$ billion
cống	odvod	dedicate
cồn	alkohol	i
cồng	gong	gong
cổng	kapija	gate
cỗ	paluba	engine
cỗi	tvrdoglav	barren
cộ	vozilo	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	stari	origin
cộng	plus	to add (v.)
cột	stupac	pole
cớ	izgovor	excuse
cờ	zastava	flag
cỡ	veličina	size
cợt	šale	"(term should be ""đùa cợt"") to trifle (v.)"
cục	odeljenje	department
cụm	cluster	cluster
cụp	amputirana	down
cụt	amputirana	"(should be ""xương cụt"") the tailbone or coccyx"
củ	gomolji	a bulb, a botanical term
của	of the	of
củi	ogrevno drvo	firewood
củng	takođe	reinforce
cứ	na	any
cức	coo	"(term should be ""cức Đê"") a character in chinese history"
cứng	teško	hard
cứngi	hardi	cungi
cừ	stubovi	nacre
cừu	janjetina	sheep
cửa	vrata	door
cửu	množiti	nine
cữ	cu	abstinence
cữu	kovčeg	nine
cự	razdaljina	against
cựa	spursi	retreat
cực	pol	extreme
cựu	bivša	former
d	d	d.
da	koža	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	tvrd	persistent
daily	dnevno	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	da lat	da lat
dampier	prigušivač	(proper noun) dampier, a last name
dan	dan	dan
dancing	plesanja	dancing
danger	opasnost	danger
danh	ime	list
daniel	daniel	daniel
dante	dante	dante
dao	nož	poniard
darwin	darwin	darwin
das	das	das
dassault	dassault	(proper noun) dassault
date	datum	date
dau	ulje	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	dekan	a name
degree	stepen	degree
delhi	delhi	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	demeter	(proper noun) demeter, the greek goddess of the harvest
den	den	den
dennis	dennis	dennis
department	odeljenje	departmen
derek	derek	derek
des	des	des
descartes	descartes	descartes
design	thiết kế	thiet ke
deuterium	deuterium	deuterium
deutschland	deutschland	deutschland
dewan	dewan	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diana	(proper noun) diana, as in diana ross
die	umrijeti	german
diego	diego	diego
dien	luda	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	palata	official residence or palace
dionysus	dioniz	dionysus, as in the greek god
discovery	otkriće	discovery
discussion	diskusija	discussion
disneyland	disneyland	disneyland
division	divizija	division
divoire	divoire	d'lvoire
diêm	šibice	diem vuong
diên	luda	"(term should be ""kinh diên"") canon (n.)"
diềm	valance	matches
diều	zmaj	kite
diểu	farsa	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	marš	parade
diệc	čaplja	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	lice	face to face
diệt	ubiti	to kill or destroy (v.)
diệu	magija	effective (adj.)
djibouti	djibouti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	od	because of
doanh	zglob	"(term should be ""kinh doanh"") business (n.)"
doc	doc	doc
docherty	docherty	docherty
dolly	dolly	(proper noun) dolly, as in singer dolly parton
dome	kupola	nha
dominican	dominikanski	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	prijeteći	threat
dp	dp	dp
dracula	drakula	dracula
draft	nacrt	draft
drake	drake	(proper noun) drake
driver	vozač	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	du	travel
dubai	dubai	dubai
duiker	duiker	duiker
duk	duk	duk
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore
dung	gnoj	portrait
durham	durham	durham
dursley	dursley	dursley
duy	samo	only
duyên	predodređena	coastal
duyện	teži	fellatio
duyệt	pretraživač	browser
duơng	duong	ocean
duẩn	duan	duan
duật	duat	duat
duệ	potomaka	descendants (n.)
duỗi	ispraviti	stretch
dwight	dwight	dwight
dà	da	gradually
dài	dugo	to lengthen, as in time
dàn	inscenacija	to arrange
dàng	lako	dang
dành	potrošeno	for
dào	u izobilju	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	debeo	thick
dái	molim	"penis (n.), although some may use the term to mean ""testicles"""
dám	usudi se	dare
dán	pasta	stick
dáng	oblik	appearance
dát	intarziran	inlay
dâm	nepristojan	lustful (adj.)
dân	ljudi	people
dâng	ponuda	dedicate
dây	kabel	nerve
dã	divlji	chronicle
dãi	permisivan	band
dãn	proširen	extend
dãy	domet	a row (n.)
dè	budi pazljiv	tight
défense	défense	defense
dép	sandale	slipper
dê	jarac	goat
dì	tetka	aunt
dìu	dìu	to lead by the hand (v.)
dính	ljepljiv	stick
dò	pretraživanje	(with word tham) to survey
dòm	pogledaj	snoop
dòng	trenutna	"(term should be ""dòng họ"") family (n.)"
dó	da	a type of plant used to make paper in vietnam (n.)
dông	grmljavina	a storm (n.)
dõi	staza	monitor
dù	ipak	though
dùi	udarač	awl
dùng	upotreba	use
dăm	strugotine	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	naravno	why
dĩa	tanjur	dish
dũng	odvažan	courage
dơ	prljav	dirty
dơi	slepi miševi	bat
dư	preostali	remnant
dưa	dinje	melons
dưng	stani	suddently
dương	pozitivno	penis
dường	čini se	seem
dưỡng	nega	feed
dược	apoteka	having to do with medicine (adj.)
dượng	stric	uncle
dạ	da	night
dại	bezumno	stupid or idiotic (adj.)
dạn	neustrašiva	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	format	tyoe
dạo	šetati	vending
dạt	opran	to drift
dạy	podučavati	teach
dải	skinuti se	range
dấm	sirće	vinegar
dấp	spoticanje	shape
dấu	znak	signal
dấy	uzbudljivo	to raise (v.)
dần	postepeno	people
dầu	ulje	oil
dẫm	strpati	step on
dẫn	vodič	to lead
dẫu	ipak	though
dận	tetka	to step on
dậu	horoz	rooster
dậy	ustani	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	olovo	lead
dằn	balast	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	uporan	dằng dai= long/endless
dẳng	uporan	persist
dặm	milju	mile
dặn	naređeno	to advise (v.)
dặt	red	conservative
dẹp	stan van	pacify
dẹt	stan	flat
dẻ	kesteni	chestnut
dẻo	plastičnost	flexible
dế	cvrčci	cricket
dền	amarant	beetroot
dể	lako	easy
dễ	lako	easy
dệt	tkanje	textile
dị	jedinstvenost	simple
dịch	prevedi	semen
dịp	prilika	occasion
dịu	blag	ease
dọa	prijeteći	to threaten or scare (v.)
dọc	vertikalno	along
dỏm	duhovita	witty
dốc	nagib	slope
dối	laž	lie
dốt	neznalica	stupid or ignorant (adj.)
dồi	u izobilju	"(term should be ""trau dồi"") improve (v.)"
dồn	uglati	accrue
dỗ	nagovoriti	dirty
dời	potez	leave
dở	loše	incomplete
dỡ	istovar	remove
dụ	na primjer	example
dục	seks	sexuality
dụng	upotreba	use
dứa	ananas	pineapple
dứt	stani	to cease
dừa	kokos	coconut (n.)
dừng	stani	to cease
dữ	podataka	"(term should be ""giận dữ"") anger (n.)"
dự	projektovano	attend
dựa	zasnovana	base on
dực	muško	dực, as in lê tương dực
dỹ	dỹ	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	naušnice	earles
eaton	eaton	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	ivica	edge
edinburgh	edinburgh	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	urednik	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	egipat	egypt
eid	bajram	(proper noun) eid
eiffel	eiffelov	eiffel
einstein	einstein	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	elektronički	electronic
eliane	eliane	(proper noun) eliane
elip	elipsa	ellipse
elizabeth	elizabeth	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	elipsa	ellipse
em	ti	younger sibling
email	email	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	emir	emir
emmy	emmy	emmy
en	en	erica reef
energy	energije	energy
engels	engels	engels
england	engleska	(proper noun) england, as in new england
eniac	enijak	eniac
entente	entente	entente
entropy	entropija	entropy
enzym	enzim	enzymes
eo	struk	eo, as in the film captain eo
ep	ep	a name
erich	erich	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritreja	eritrea
ernest	ernest	(proper noun) ernest
eros	eros	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	esencijalno	essential
ethernet	ethernet	ethernet
ethiopia	etiopija	(proper noun) ethiopia
euclid	euclid	euclid
eugene	eugene	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	evro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	europa	europe
european	evropski	(proper adjective) european
eva	eva	eva
everton	everton	everton
every	svaki	every
exgay	exgay	exgay
explorer	istraživač	explorer
extensive	opsežan	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	činjenica	fact
facto	faktički	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	karakteristikama	features
federer	federer	federer
feet	stopala	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fijat	fiat
fidel	fidel	fidel
field	polje	field
fifa	fifa	fifa
fifpro	fivepro	fifpro
figo	figo	figo
fiji	fidži	fiji
finish	završiti	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	fischer	fischer, as in louis fischer
fish	riba	fish
fishbed	ribnjak	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	leteći	fleming
flight	let	flight
foch	foch	(proper noun) foch
focus	fokus	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	hrana	food
football	fudbal	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	ford	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	viljuške	forks
foundation	temelj	foundation
fox	lisica	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	franak	franc
france	francuska	france
frances	frances	frances
francis	francis	francis, as in francis xavier
francisco	francisco	francisco
franco	franko	franco
frank	iskren	frank
frankfurt	frankfurt	(proper noun) frankfurt
franklin	franklin	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	freud	(proper noun) freud, as in sigmund freud
friedman	friedman	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	zabava	(proper noun) funimation
funk	funk	funk
futsal	futsal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarin	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	grama	gam
gambia	gambija	gambia
gamow	gamow	a name
gan	jetra	liver
gandhi	gandhi	gandhi, as in mahatma gandhi
gang	banda	cast iron
ganh	ljubomoran	to be jealous
gao	pirinča	strictly
gareth	gareth	a name
garrett	garrett	garrett
gary	gary	gary
gascon	gascon	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	gej	tense
gaza	gaza	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	gejša	geisha
gen	geni	gene
gene	gen	(proper noun) gene, an english first name
genesis	geneza	(proper noun) genesis
georg	georg	(proper noun) georg
george	george	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	njemački	german
germany	germany	germany
gerrard	gerrard	gerrard, a last name
ghana	gana	(proper noun) the african country of ghana
ghe	brod	canoe
ghen	ljubomoran	to be jealous (v.)
ghi	napiši	write
ghim	pin	pin
ghé	stani	visit
ghép	cijep	fit
ghê	užas	disgust
ghì	ghì	tighten
ghẻ	krasta	scabies (n.)
ghế	stolica	chair
ghề	brzaci	scabby
ghềnh	brzaci	waterfall (n.)
gia	gia	date
giai	pozornica	period
giam	zatvor	imprison
gian	prostor	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	gibraltar	(proper noun) gibraltar
gichin	gichin	gichin
gieo	sijati	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	crvi	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	giza	giza
già	stari	old (adj.)
giàn	truss	"(term should be ""giàn hoa"") a trellis girder"
giành	željno	secure
giàu	bogat	rich or wealthy (adj.)
giày	cipele	a shoe
giá	cijena	estimate
giám	redatelja	"(term should be ""giám sát"") to supervise (v.)"
gián	žohari	"(term should be ""gián tiếp"") indirectly"
giây	sekundi	seconds
giã	udaranje	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	rastezanje	stretch
gièm	negativci	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	jezus	jesus
giêxu	nexus	jesus
giò	opružne rolice	leg
giòi	crvi	maggot (n.)
giòn	hrskava	crunchy or crispy (adj.)
gió	vjetar	wind
gióng	kao	align
giúp	pomoć	help
giũa	datoteka	sharpen
giơ	zaglaviti	raise
giương	plamteći	posture
giường	krevet	bed
giả	lažni	fake (adj.)
giải	rešenje	solution
giảm	smanjenje	decrease
giản	pojednostavljeno	"(term should be ""giản dị"") simple (adj.)"
giấc	spavati	giấc ngủ= the sleep
giấm	sirće	drabble
giấu	sakriti	hide
giấy	papir	paper
giầu	bogat	rich
giận	ljuti	angry
giằng	učvršćivanje	pull
giặc	neprijatelja	enemy
giặt	oprati	to wash (n.)
giếng	dobro	well
giết	ubiti	kill
giềng	komšija	"(term should be ""láng giềng"") neighboring"
giễu	ismijavanja	ridicule
giọng	ton	tone
giọt	kap	drop
giỏ	korpa	basket
giỏi	odlicno	good
giồng	giong	mound
giỗ	godišnjica smrti	anniversaries of deaths
giới	rod	gender
giờ	sati	bao giờ=ever
giở	bljeskalica	to open or unfold (v.)
giỡn	šale	joke
giục	nagovarao	urge
giữ	zadržite	hold
giữa	između	between
gladys	gladys	gladys
glazer	glazer	glazer
glonass	sjaj	glonass
gloria	gloria	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	glukoza	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	idi	"(term should be ""gay go"") tense"
goes	ide	goes
goku	goku	goku
golden	zlatno	golden
gom	skupiti	to gather (v.)
google	google	google
gorbachev	gorbačov	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	gore	gore
gorky	gorky	gorky, as in gorky park
gothic	gotička	gothic
gottfried	gottfried	gottfried
grabeel	grabeel	grabeel, a last name
graham	graham	graham
granada	granada	granada
granit	granit	granite
greek	grčki	(proper noun) greek
greenland	grenland	greenland
greenson	greenson	(proper noun) greenson
greenwich	greenwich	(proper noun) greenwich
greg	greg	greg
grenada	grenada	grenada
grenadines	grenadine	grenadines
gross	bruto	gross
grumman	grumman	(proper noun) grumman
gruzia	gruzije	gruzia
gryffindor	gryffindor	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	stil	gu
guam	guam	guam
guard	čuvar	guard
guatemala	gvatemala	guatemala
gui	gui	gui
guinea	gvineja	guinea
guinness	guinness	(proper noun) guinness
guitar	gitara	guitar
gujarat	gujarat	gujarat
gulag	gulag	gulag
gulf	zaljev	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	gvajana	guyana; proper noun
gà	piletina	chicken
gài	tuck	to fasten (v.)
gào	vrisnuo	"(term should be ""thét gào"") to cry out (v.)"
gác	čuvar	guard
gái	devojka	girl
gán	dodijeliti	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	nositi	hold
gáy	vrat	crow
gân	zatvoriti	tendon
gây	uzrok	make
gãy	slomljen	break
gì	šta	what
gìn	očuvati	preserve
gò	brdo	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	udovica	widowed
góc	ugao	angle
gói	paket	goi
góp	rata	to contribute
gót	peta	heels
gõ	tip	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	ostava	poniard
găng	rukavice	gloves
gũi	zatvoriti	close
gươm	mač	sword
gương	ogledalo	mirror
gạc	gaza	johnson south reef
gạo	pirinča	rice
gạt	pocjepan	to cheat or trick (v.)
gả	brak	marry
gảy	odmor	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	brokat	brocade
gấp	požurite	times, as in many times
gấu	medvjed	a bear (n.)
gần	blizu	near
gầy	tanka	thin
gẫy	slomljen	break
gập	saviti	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	štap	stick
gắm	prdne	send
gắn	montiran	mount
gắng	pokušavajući	try
gắt	oštro	intense
gặm	griziti	rodent
gặp	upoznati	meet
gặt	za žetvu	harvest
gỉ	zahrđao	rust
gọi	poziv	call
gọn	uredan	neat (adj.)
gọng	obrubljen	gong
gọt	oguliti	cut
gỏi	salata	a vietnamese salad
gốc	porijeklo	origin (n.)
gối	jastuk	"(should be ""qùy gối"") to kneel"
gốm	keramika	pottery
gồm	uključujući	include
gồng	gong	carry
gỗ	drvo	wood
gội	šampon	shampoo
gộp	spajanje	aggregate
gớm	grozan	tremendous
gờ	izlaz	edge
gởi	poslati	send
gỡ	istovariti	meet
gợi	sugestivni	to evoke (v.)
gục	dole	"(term should be ""đánh gục"") crush, as in battle"
gừng	đumbir	ginger
gửi	poslati	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	dva	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	halogen	halogen (n.)
ham	šunka	desire
hamilton	hamilton	(proper noun) hamilton
han	han	han
hang	pećina	cave
hangul	hangul	hangul
hanh	hanh	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	izdržljiv	hardy
harlem	harlem	harlem
harlow	harlow	harlow
harold	harold	(proper noun) harold
harper	harper	harper
harpercollins	harpercollins	hapercollins
harrier	harrier	harrier, as in harrier jump jet
harris	harris	harris
harry	harry	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havana	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	hawker	hawker
hawking	sokolov	(proper noun) hawking, as in physicist stephen hawking
hay	dobro	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	on	he, a korean name
health	zdravlja	health
heath	heath	heath
hee	hee	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrich	heinrich
helen	helen	helen
helena	helena	helena
heli	helijum	helium
hematocrit	hematokrit	hematocrit
hemoglobin	hemoglobin	hemoglobin
hen	kokoš	asthma
henry	henry	(proper noun) henry, as in henry kissinger
heo	ustajan	dolphin
her	ona	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	hercules	hercules
hermann	hermann	hermann
hermes	hermes	hermes
hersh	njen	hersh, as in seymour hersh
hesiod	neodlučan	hesiod
hestia	hestija	hestia
hi	zdravo	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	brkovi	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hidjoši	(proper noun) hideyoshi
hidro	vodonik	hydrogen
hillsborough	brežuljak	hillsborough
hilton	hilton	hilton
himalaya	himalaja	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hinduistički	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hiroshima	(proper noun) hiroshima, the japanese city
hitchcock	autostoka	hitchcock
hitler	hitler	hitler
hitter	hitter	hitter
hitters	hitters	hitters
hiên	trijem	(proper noun) hiên, a vietnamese first name
hiđrô	vodonik	hydrogen
hiếm	retko	rare
hiến	daj	devote
hiếp	silovanje	rape
hiếu	filijalna pobožnost	pious
hiềm	bolestan	grudge
hiền	kadulja	sage
hiểm	opasno	dangerous
hiểu	razumiju	learn
hiện	pojaviti se	"(term should be ""thực hiện"") to accomplish"
hiệp	polovina	united
hiệu	efekat	effective
hlv	trener	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	cvijet	flower
hoan	festival	welcome
hogwarts	hogwarts	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	holokaust	holocause
holocen	holocen	holocen
holt	holt	holt, an english last name
hom	reznice	a cutting
homer	homer	(proper noun) homer, the authorof the iliad and the odyssey
hon	dušo	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	hornet	hornet
hotspur	hotspur	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	kako god	however
hoà	kravata	peace
hoài	nostalgičan	always (adv.)
hoàn	kompletni	"(term should be ""hoàn toàn"") completely"
hoàng	kralju	royal (adj.)
hoành	dijafragma	rife
hoá	hemija	"(term should be ""văn hoá"") culture (n.)"
hoán	perm	refined (adj.)
hoãn	jedu	delay
hoạ	boje	disaster (tham hoa)
hoại	gangrena	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	hentai	work
hoả	vatra	of
hoảng	panika	panic-stricken (adj.)
hoặc	ili	or
hp	hp	hp
hq	hq	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	huey	huey
hughes	hughes	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	mađarska	hungary
hunt	loviti	hunt
hurley	hurley	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	husserl	huserl
huston	huston	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	brate	older brother
huyền	mistično	huyền thoại= legend
huyễn	iluzorno	huyen
huyện	okrug	district
huyệt	akupunkturne bodove	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	hue	"a less common vietnamese word for ""flower"""
huấn	trening	"(term should be ""huận luyện"") to train (v.)"
huế	hue	hue
huệ	hue	favour
huống	slučaj	situation
huỳnh	sumpor	sulfur
huỷ	otkazati	destroy
hydra	hydra	hydra, a monster in greek mythology
hydro	vodonik	hydrogen
hyperion	hiperion	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	komedija	corpse
hàm	vilica	"(term should be ""bao hàm"") to imply (v.)"
hàng	red	row
hào	jarak	depreciation
hách	preterani	glorious
hái	odabrati	picking
hán	suša	china
háo	željan	eager
hát	pevaj	song
hâm	luda	"(term should be ""hâm mộ"") to admire (v.)"
hân	han	le ngoc han
hãi	uplašen	to be scared (v.)
hãn	khan	to sweat (v.)
hãng	firma	a company (n.)
hãnh	ponosan	proud
hè	leto	summer
hé	ispucao	reveal
héo	osušiti	dried-out
hét	vikati	shout
hên	sretan	luck
hí	ne	game
hít	disati	act of kissing (hon hit)
hò	izlazite	date
hòa	kravata	republic
hòe	sranje	hoe
hòm	ark	box
hòn	ostrvo	island
hòng	dobro	in order to
hóc	hóc	a corner (n.)
hót	pevaj	to chirp or sing (v.)
hô	ho	respiration
hôi	faul	stink
hôm	dan	day (n.)
hôn	poljubac	propose
hông	kuka	hip
hù	uplašiti	threaten
hùng	heroji	hero
húc	gore	huc
húng	inspiracija	"(should be ""húng láng"") water mint"
hút	pušenje	to suck (v.)
hăng	oštar	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	staklenke	jar
hơi	malo	slightly
hơn	nego	more or less
hư	loše	fictional
hưu	penzionisan	huu
hương	tamjan	smell
hước	šaljivi	humor
hướng	pravac	trend
hường	huong	huong
hưởng	uživaj	influence
hạ	ljeto	lower
hạc	flamingoes	crane
hạch	ganglion	ganglion
hại	šteta	harm
hạng	klasa	rank
hạnh	hanh	happy
hạo	hao	hao
hạp	hap	hap
hạt	seme	seed
hải	običaji	two
hảo	savršena	perfect
hấn	hấn	aggressive gesture
hất	letjeti	toss
hấu	lubenica	"(term should be ""dưa hấu"") watermelon"
hầm	tunel	ham
hầu	skoro	most
hận	mrziti	hatred
hậu	kraljice	anus
hắc	crna	black
hắn	njega	he (n.)
hắt	kihati	reject
hằng	konstantno	every
hặc	hặc	to criticize (v.)
hẹ	šalotke	chinese chives
hẹp	uska	narrow
hẻm	uličica	alley (n.)
hẻo	osamljen	outback
hến	školjke	mussel
hết	preko	most
hề	klovn	"(term should be ""không hề"") never"
hễ	eh	whenever
hệ	sistem	relation
hệt	identičan	exactly
hỉ	udarac	happy
hịch	thud	a proclamation
họ	prezime	they (n.)
họa	umjetnost	picture
họach	plan	"(term should be ""quy hoạch"") a project (n.)"
học	naučite	study (v.)
họng	grlo	throat
họp	sastanak	meet
hỏa	vatra	fire
hỏng	slomljen	corruption
hố	jama	hole
hốc	niše	cavity
hồ	jezero	ho
hồi	anis	muslim
hồn	duša	soul
hổ	tigar	tiger
hổi	huh	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	zijevajući	hole
hỗ	podrška	"(should be ""hỗ trợ"") to support or assist"
hỗn	mešovito	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	festivalu	society
hộp	kutija	box
hới	otvorena	hoi
hớn	viknu	"(term should be ""hớn hở"") radiant (adj.)"
hờn	sumorno	hatred
hở	otvorena	reveal
hỡi	oi	dear
hợi	svinja	pig (n.)
hợp	dobro prilagođen	appropriate
hợpquận	saglasnost	general district
hụt	deficit	loss
hủi	gubavca	reject
hủy	otkazati	to erase or destroy
hứa	obećanje	promise
hử	ha?	hu
hửu	ha?	"(term should be ""sở hửu"") to own (v.)"
hữu	vlasništvo	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	huu	again
hỷ	hy	hy
