aajo	ridicol	hospitality
olodiajodojuko	fiecare	facing wall
olohun	proprietarii	god
olojukanna	imediat	same surface
olokunkun	căști	popular
ololugbe	pierzător	occupants
olopon	trufaş	a local game
olora	gras	fertile
oloselukan	salut	one political
oloye	geniu	chief
oluda	creator	creator
oludase	producător	separatist
olukoitan	instructor	the writer
olukowe	autor	writer
olumojuto	lacom	overseer
oluparapo	combinaţie	joint
olusoju	pază	ambassador
oluwakiri	explorare	explorer
olympus	olimp	olympus
olódùmarè	atotputernic	almighty god
olóyè	rigla	chief
olóṣèlú	politician	politics
olùbátan	acest contact	relative
olùdarí	un lider	director
olùkópa	colaborator	participant
olùkó	instructor	teacher
olùkọ́	profesor	teacher
omi	apă	water
omiadalu	potop	mixture
onialjebra	onialjebra	of algebra
onibugbe	chiriaş	population
onigbeja	constructiv	allied
onigbowo	un sponsor	sponsor
onigunfenfe	pasiv	large angle
onilanaibagbepo	prezervativ	constitutional
onilile	proprietarii de case	solid
oninawo	debitor	financial
onipin	raţional	even
onisayensi	tehnician	scientific
onisowo	comerciant	trader
oniyewumeji	binar	two-chamber
oniyijulo	minunat	highest honour
onje	cura de slabire	food
onka	calculator	counter
onígbàgbó	om batran	believer
oníkólóbó	abuziv	onikolobo (place)
onílẹ̀	jos	land owners; citizens (omo onile)
oníná	foc	electronic
onítumò	traducător	meaning
onítèbọmi	cel botezat	baptist
onítòhùn	contabil	that person
oníwòsàn	vindecătorul	doctor
oníyanjù	animat	persevere
ooni	crocodil	ooni (king)
ootọ́	adevărat	truth
opec	opec	opec
opposite	opus	odi
ori	cap	top
oriire	felicitări	success
oriki	oriental	name of endearment
orileede	natiunea	country
orileedeajoba	imperialism	monarchic country
orilejoba	guvern	seat of government, kingdom
orileominira	căldură	republic
orinìyìn	un cântec	songs of praise
orisirisi	varietate	various
orisun	sursă	source
orisa	originile	god
oritameta	in mijloc	crossway
orudnun	anual	mispelled...should orundun, century
oruko	substantiv	name
oríilè	naţional	land
oríilẹ̀	articol	land
oríkì	poezie	family name
orílèèdè	naţiune	country
orílẹ̀	naţiune	continent
orílẹ́	seară	nation
orísiirísi	variat	various
orísìí	varietate	type
orísìírísi	tipuri diferite	various
orúko	campul	name
oscar	oscar	oscar
oseluarailu	civil	political unit
otherwise	in caz contrar	ibaje
otutu	mulți	coldness
oun	el	it
owojagidijagan	teroriști	upheaval
oúnjẹ	alimente	food
odún	anul	year
ojó	este ploios	day
okùnrín	râsete	man
olórun	dumnezeu	god
olósìn	religios	rearing
odun	anual	year
olorun	dumnezeu	god
omonìyàn	ființe umane	human beings
opolo	mulți	brain
ose	ose	week
oyé	lumea	harmattan
ofò	buna dimineata	nothingness
opolo	mulți	brain
paa	opriți	back
paapaa	mai ales	especially
padá	păstaie	go back
palauan	palauan	palauan
panaˈma	panama	panama
panyanan	spatiul	spanish
papa	papa	specifically
parapọ̀	amestec	join
paripari	sfarsit	finally
pele	fermecător	hello
penh	penh	penh
penisula	penisula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	perla	with
phillipines	filipine	phillipines
pinsi	în scădere	divided
pinsoto	pinoto	separated
pinu	determinat	decide
pipo	mult	plenty
pipolongo	publicitate	publicise
piposi	mult	multiplication
platos	platos	plato's
plánẹ́tì	instalatii sanitare	planet
po	po	share
pojulo	cel mai inalt	larger
polandi	lustrui	poland
polaroid	polaroid	polaroid
population	populație	ero
portonovo	portonovo	porto novo
portuguese	portugheză	portuguese
press	presa	press
produced	produs	yo
protokolu	protocolu	protocol
proton	protoni	kemika alaropo
providence	providență	providence
príncipe	príncipe	principe
pupa	roșu	red
px|kùránì	px | sâmbure	koran or quran; the px  does not belong
pàmò	specific	pamo (town)
pàràkòyí	imediat	parakoyi
pààlà	o graniță	signalised
pàápàá	mai ales	especially
pásíà	subsolul	persia
pátáporongodo	absolut	entire
pè	denumit	that
pèhìndà	material seminal	turned back
pèlu	impreuna cu	with
pèlúpèlú	de asemenea	in addition
pèsè	prevăzut	provide
pé	acea	that
péré	numai	only
péé	acea	that
pípa	măcel	order
pípèsè	dispoziţie	providing
pípẹ́	lung	long
pòwe	proverbe	to say a proverb or wise saying
pò	plia	join
púpo	prea mult	much
púpò	mai degraba	a lot
quran	quran	quran
ra	cumpără	self
race	rasă	ere
rajya	speranţă	rajya
ramadan	ramadanului	ramadan
rank	rang	ipo
reggae	reggae	reggae
repeats	repetă	tunso
repetejulo	cel mai sensibil	most of all
rere	bun	success
research	cercetare	agbeyewo
richard	richard	richard
right|thumb|px|aworan	dreapta | degetul mare | px | imagine	picture
rinle	recent	emphasise
riresile	recorder	humbled, lowered
riro	imaginație	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	gândi	thought
robinson	robinson	robinson
roboto	suprafețe	round
rogbodiyan	răscoală	riot
rokirika	navigare	publicise
roko	gloată	farm work
roma	romi	roma
rome	crom	rome
ronald	ronald	ronald
rorùn	uşor	easy
rossii	rossii	rossii
rural	rural	igberiko
ryan	ryan	ryan
ráhàn	a apărut	complain
ránmú	vă faceți griji	grumble
république	république	republic
ré	c	his/her
rìn	a merge	should be orin, song or music
ròyìn	raportat	give account
rẹ	a ei	it
saarc	elimina	saarc
saaree	superior	after death
saarland	pe podea	saarland
safari	safari	safari
saffana	safir	savannah
safiwe	comparaţie	describe
safta	alinia	safta
saheli	comoditate	sahel
sakyamuni	urmatorul	sakyamuni
sakyas	sakya	sakyas
salem	salem	salem
salàyé	viaţă	explained
sambia	tineret	zambia
samioro	disponibil	signal
santa	moș crăciun	santa
say	spune	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	mare	odo
seat	scaun	itedo
segbese	eventual	take steps
seidamo	clar	identify
semolara	astm	accustom
semudaju	desigur	assure
senegal	senegal	senegal
sense	sens	sensi
seville	sevilia	seville
sewadi	căutare	investigate
sharon	sharon	sharon
sibesibe	inca	further more
sihamoni	structura	sihamoni
sile	in spate	previously
silè	picături	on the ground
sinai	păcat	sinai
sinsin	religie	unshakably
sioux	sioux	sioux
sise	gătit	works
sisodagba	creștere	came of age
sisopo	linking	joined
sisupapoerekusu	scuiparea	neighbouring islands
sisupo	multiplica	concentrated
slovo	slovo	slovo
so	dragoste	turned
sohun	da	something
solomon	solomon	solomon
soon	curând	lai'pe
sopin	sfârșit	ended
so	asa de	tells
spectacular	spectaculos	damanran
stella	stella	stella
structures	structuri	igbekale
suez	suez	suez
sugbo	dar nu	but
sugbọ́n	raţional	but, however
sun	soare	sleep
suny	suny	suny
swahili	swahili	swahili
symmetry	simetrie	ogbooga
sàbúrí	mai presus de toate	saburi
sàmì	un semn	signalize
sàn	cu atât mai bine	flow
sàngó	bandă	sango (god of thunder)
sàì	bine	un
sápadè	aceasta zi	run to
sáàpàdé	sponsorizare	saapade
sáààrin	intre	between
são	cel nou	sao
sèle	furat	down
ségun	să plângă	conquered
sénégal	material seminal	senegal
séyìn	înapoi	back
séyìn	înapoi	at the back of
sìbẹ̀	inca	there
sìni	crevetă	likewise
síbèsíbè	cu toate acestea	further more
síbú	la pamant	ocean
sílẹ̀	dezamăgire	drop
síse	muncă	doing
síso	încă	spoken
síso	încă	saying
síta	in afara	outing
síwon	lor	to them
síwájú	mai departe	comes before
síí	aici	on it
sòrò	spele creierul	talk
sójà	soldat	soldier
sóko	plantă	to the farm
sùgbón	dimpotriva	but
sọ	spune	lose
si	cu siguranță	to
síse	structura	performing
sùgbón	dimpotriva	but
se	ei fac	do
sepò	in cele din urma	cooperation
sisé	a face exerciții fizice	work
sááju	ia un minut	before
sísa	s .ía	to be
sísè	traducere	step
tabi	sau	or
tabili	masa	table
tabora	evitare	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	constrângeri	valiant
talaka	sărac	poor
talika	sărăcie	the poor
tara	nouă	wholly
tata	filtru	wildly
taínos	tainos	tainos
technology	tehnologie	tekinoloji
tedo	datare	stay
teksas	texas	texas
tele	urmare	before
temptation	căutarea	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the		does no directly translate
they	ei	won
those	acestea	awon
thumb|left|upright|nelson	thumb | left | vertical | nelson	apa osi naro
tira	încordat	quranic verse
tirana	tirana	tirana
tirè	a lui	own
titu	trage	cold (if it's a person's name, it is tutu)
tiwọn	a lor	theirs
to	la	it
toje	rar	that is
tokasi	evidențiat	pointing to
tokyo	tokyo	tokyo
tolerejulo	tolerați	most profitable
tolórítelémù	holocaust	all manners of people
tomé	roșie	tome
tooto	într-adevăr	true
tori	tori	because
torun	brunetă	heavenly
toseluaralu	politic	political
tounsejanu	tragic	control
traduite	traduite	traduite
translated	tradus	tunmo
tumosi	mijloace	means
tuntun	nou	new
tàsí	fără	or
tàwon	lor	theirs
táawà	a se înclina	we
tèlé	urmare	before
tètè	repede	quickly
tèlé	imediat	follow
tèsíwájú	a face progrese	progress
té	t	follow
télè	de	before
té	t	shamed
títi	închis	till
títèlé	a urma	following
títío	pana cand	until
tíátà	bilete	theater
tíórì	anvelope	that is seen
tò	a stabilit	enough
tóbi	mare	big
tódárajùlọ	cel mai bun	most beautiful
tókù	odihnă	others
tówùú	orice sumă	whatever
tó	tó	taught
tóka	citată	pointed
tú	turna	untie
túmò	prună	means
túnse	rearanja	restructured
tẹ̀ǹbẹ̀	apoi	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	conspira	bitterness
ucb	ucb	ucb
umueri	copii	umueri
unifasiti	universitate	university
unla	da	great
urasílì	uracil	uracil
uribe	aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	modul în care	uzbek
venezuela	venezuela	venezuela
vermont	vermont	vermont
victor	victor	victor
videos	videoclipuri	fidio
vihara	vihara	vihara
villa	vilă	villa
viruses	viruși	awon eran
visit	vizita	ibewo
vz	vz	vz
waa	este	ours
waju	față	future
wari	miros	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	witkin	witkin
wiwari	descoperire	discovered
województwo	nebunie	wojewodztwo
wole	conectare	into
woo	peți	look
wo	aici	enter
wo	aici	look
won	lor	they
wura	aur	gold
wyoming	wyoming	wyoming
wàásù	predica	preach
wì	spală-te	that
wípè	claritate	that
wòfún	privire	convenient
wònyí	acestea sunt	these
wón	lor	they
wúnrèn	a face exerciții fizice	small amount
wọn	lor	they
wọ̀nyí	aceste	these
xd	xd	xd
xiv	xiv	xiv
yafran	este bun	yafran
yakubu	yakub	yakubu
yan	selectați	choose
yanjú	rezolva	solve
yanturu	mulțime	abundant
yaoundé	yaoundé	yaounde
yewo	îmbunătăţire	examine
ye	da	suitable
ye	da	should
yindinyindin	nu se opresc niciodata	brightly
yio	trebuie	will
yiowu	o sa	any
yipada	întoarceți-vă	change
yiyafunnilo	eroziune	borrow
yoo	voi	will
yori	led	result
york	york	york
yorúbà	iaurt	yoruba
yo	yo	remove
yànan	uimire	scattered
yàtò	înființat	other than
yára	grăbiți-vă	quickly
yèwò	uite	examine
yée	le lasa	eplained to
yì	merge	this
yìí	acest	this
yí	întoarceți-vă	this
yíyípadà	schimbare	changed
yíì	tu vei	this
yíò	o sa	it will
yẹ̀ẹ́	știi	check
yọ	elimina	bring out
zanzibar centralsouth	zanzibar central	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	departe	bce
àbe	babuin	under
àbámẹ́ta	joi	saturday
àbáyo	sugestie	breakthrough
àbìkú	nemurire	'born to die' child
àbọ̀	jumătate	result
àdámò	intimitate	earmark
àdátá	opusul	adata
àdáátán	exclusiv	adaatan
àdóolóró	ulei	bomb
àgbàjọ	batranul	assembly
àgbàrá	potop	power
àgbáríjọ	organizare	combination
àgbékà	abstract	suitable
àgbéyèwò	revizuire	examination
àgbìgbò	cartier	a type of bird
àgbùdo	curte	corn
àgọ́	cort	ago
àifète	scop	unable to keep quiet
àjo	voiaj	board
àjákọ	separat	ajako
àjọṣepọ̀	social	union
àkosílè	abstracție	written
àkosílè	teză	written account
àkàrà	prăjituri	bean pudding
àká	rafturi	store
àkójopò	grup	collection
àkókó	timpul	previous
àlàkalè	goluri	breakdown, explanation of actions
àlàyé	informație	explanation
àlàáfíà	pace	peace
àlááfià	analogie	wellbeing
àlè	bastard	mistress, concubine, (side booty)
àlèpò	de mai sus	joined together
àlébù	cusur	ills
àmérìkà	supranatural	america
àmì	semn	sign
àmúlò	practic	synonyms
àmúsorò	psihologie	resources
ànfàní	oportunitate	opportunity
àpapọ̀	ca un intreg, per total	federal
àpeere	exemplu	example
àrígbámú	deranjant	assistant
àrùn	boală	disease
àrẹ	președinte	president
àse	sărbătoare	authority
àsàjemátèe	zori de zi	cunning
àsèyìn	urmări	at the end
àsìkò	timp	time
àsótélè	extensie	prophecy
àsọdọ̀kan	unitate	unitary
àsekúdórógbó	latra	do or die
àsà	personalizat	habit, culture, norm
àtijo	învechit	olden days
àtìpó	extraterestrul	sojourn
àtòrìnká	în jur	urinating while walking
àtúnse	editați | ×	modification
àtúnse	editați | ×	renovate, fix
àtẹnudẹ́nu	oral	oral
àwon	teorii	they
àwón	banii	the
àwón	bani	the
àwùjo	societate	community
ààtò	ritual	suitability
ààyè	în viaţă	space
àárín	in mijloc	middle
àáyá	material seminal	seconds
àìkó	deficienta	unlearned
àìní	vrei	lack
àìròtélè	neașteptat	unthought of
àìsí	absență	lack
án	t	it
áwon	adulter	those
èbà	țânțarii	cassava flour food
èbúté	port	shore
èdá	creare	creature
èdè	limba	language
èdè	limba	language
èfòn	încordat	efon
èhìn	urmatorul	outskirt
èka	ramură	branch
èkejì	celălalt	second
èlò	ustensile	tool
ènìkan	ceva	someone
èràn	boală	virus
èrò	gânduri	thoughts
èsó	moschee	modesty
èsúrú	furnici	yam (indigenous to west africa)
ète	scop	plan
èyì	demnitate	this
èka	efect	branch
èro	gânduri	machine
èrí	evidență	witness
èsìn	religie	religion
èwù	cămaşă	clothe
èpón	mult	modifier
ìbarà	febră	ibara (town)
ìbánisòrò	conexiunea	dialogue
ìbáraeni	transport	to themselves
ìbílè	drept prin naștere	local
ìbílè	drept prin naștere	local
ìdàgbà	maturitate	grow
ìdàpapọ̀	consolidare	union
ìdàrúdàpò	haos	misunderstanding
ìdá	dezertare	division
ìdìmú	tulburare	branch, part
ìdíisin	cauză	idi-isin
ìdíwòn	motivul	criteria
ìdó	ustura	ido (a person's name)
ìfara	tortura	self
ìfojúìtànìgbesiayé	istoria vieții	biography
ìfáàrà	un preot	introduction
ìgbonnìbí jé	este un dezastru	igbonnibi
ìgbà	timp	when
ìgbàgbé	neglijent	forgetfulness
ìgbá	aripi	time
ìgbáraga	putere	pride
ìgbéraga	mândrie	pride
ìgbésí	viaţă	life
ìgbò	berbec	igbo people
ìhun	fier	things
ìjo	dans	church
ìjo	biserica	church
ìjoba	guvern	government
ìjora	ură	resemblance
ìjìnlè	mister	comprehensive
ìjìnlè	mister	mysterious
ìjò	lider	consent
ìjọba	guvern	government
ìkejì	celălalt	second
ìkànna	la fel	ikanna (town)
ìkèrèkú	congestionare	ikereku
ìkéde	declaraţie	advert
ìkìjà	o provocare	ikija
ìkìlò	abuz	warning
ìkínin	al șaselea	greetings
ìkẹrin	al patrulea	fourth
ìkọpa	participare	ikopa
ìlera	sănătate	health
ìlo	apel	use
ìlà	contur	border
ìlànàn	amăgire	procedure
ìlàorùn	echimoze	east
ìlàìnàró	asuprire	vertical
ìlè	mită	land
ìlé	acasă	land
ìmò	şarpe	knowledge
ìmò	fulger	knowledge
ìmóbìdo	dreptul de nastere	imobido
ìmú	nas	knowledge
ìmúnilérú	abuzuri	slavery
ìmúsára	pentru a consolida	contagious
ìnagije	victorie	alias
ìnáwó	cheltuieli	expenditure
ìpolongo	reclamă	advertisement
ìpìlẹ̀núkléù	criptare	base
ìpìnlè	inceputul	foundation
ìpínrò	alineatele	economize
ìrànlọ́wọ́	ajutor	help
ìrànàna	ajutor	path-clearing
ìràwọ̀	stelele	s
ìrí	experienţă	sight
ìròkò	gând	iroko
ìròyìn	știri	news
ìròyìnwiki	știri	wikinews
ìròrùn	amăgire	peaceful
ìró	sunet	sound
ìrúbo	colaps	sacrifice
ìsawo	divinaţie	divinity-practice
ìse	acțiune	behaviour
ìsinsìnyí	acum	modern
ìsirò	calcul	adding
ìsomó	a se alatura	attachment
ìsàlè	apus de soare	down town
ìsèlè	producere	happening
ìsìn	religie	worship
ìsòrò	meditaţie	speech
ìsòrí	subdiviziune	chapter
ìsú	grosime	lump
ìsọ	magazine	stall
ìse	acțiune	work
ìsègbèfábo	diligență	female support
ìsèdá	creare	creation
ìsèjoba	guvern	government
ìsílé	acasă	house opening
ìsòro	dificultate	problem
ìse	acțiune	action
ìta	in afara	outside
ìtaeko	atelier	outskirts of eko
ìtan	istorie	story
ìtokò	oala	story
ìtàn	istorie	history
ìtànkálé	inundații	spread
ìtèsíwájú	progres	progress
ìtójú	îngrijire	treatment
ìtóju	confuzie	treatment
ìtójú	expresii faciale	treatment
ìtóka	a fi bătut	dictionary
ìtúmò	traducere	meaning
ìtúpalè	traducere	exposition
ìwe	comparaţie	book
ìwo	coarne	horn
ìwàásù	predicare	sermon
ìwéré	broșură	iwere (town)
ìwò	per total	set
ìwòran	viziune	viewing
ìwúlò	util	usefulness
ìya	suferinţă	mother
ìyapa	separare	divorce
ìyàwó	mireasa	wife
ìyípadà	conversie	transformation
ìṣèlú	politică	politics
ìṣẹ́kù	restul	broken
ìṣọ̣̀tẹ̣̀	pneumonie	rebellion
òde	in afara	society
òdeojú	fără chip	surface
òdo	tineret	zero
òdìkejì	celălalt	opposite
òféàrán	o imagine	a town name
ògbójú	competent	brave
ògiri	perete	wall
ògo	glorie	glory
ògun	medicament	medicine
ògúndìpẹ̀	pulverulent	ogundipe
òjo	arată ca	ojo
òjísé	doctorul	servant
òkèògbún	o mie	oke-ogbun
òkòòkan	unul câte unul	each
òkú	cadavre	corpse
òkúta	o piatră	stone
òle	casnică	lazy
òmiràn	vrăjitorul	other
òmùàrán	o imagine	omu-aran (town)
òní	azi	today
òotó	adevăr	true
òpópóònà	drum	highway
òranyàn	obligatoriu	a must
òrìsà	idoli	god
òrí	capitol	top
òrò	creier	word
òsán	amiază	afternoon
òsèlú	politician	politics
òsèré	atlet	player
òwù	pânză	owu
òṣèlú	politică	politician
òjògbón	vreme ploioasa	learned person
òkan	unu	heart
òkòòkan	unul câte unul	each
òpòlopò	mulți	many
òré	joc	friend
òfò	urmatorul	sorrowful
òpòlopo	mulți	lot of
òré	joc	friend
òrò	gânduri	word
òsà	peștișor de aur	lagoon
òwó	bani	hand
òrò	gânduri	word
òròàjòmó	diminețile	part of speech
ó	aceasta	that
óníse	el este designer	stricken
ósírísì	salivă	diverse
ósékú	el este mort	die suddenly
ó	da	word
ôdún	an	year
únṣẹlẹ̀	cutremur	formed
şe	do	do
ʔaːnaːtɕɑ̀k	căutare	not yoruba
ˈøːstəˌʁaɪç	øːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪkælɪfɔrnjə	not yoruba
ˌæləˈbæmə	boală	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	deschidere	work
ṣàkóbá	nociv	incriminate
ẹdo	glumă	edo
ẹlẹ́bùn	un cadou	award winner
ẹlẹ́sìn	religios	religionist
ẹnìkan	o persoana	someone
ẹsẹ	picioare	verse
ẹtì	ficat	friday
ẹ̀kaawon	depuneri	branch of
ẹ̀kabrítánì	unchi	part of britain
ẹ̀kajuly	mai	chapter july
ẹ̀kaoṣù	spinos	month
ẹ̀kasístẹ̀mù	subiectiv	sistemu=system
ẹ̀kẹ́ta	al treilea	third, the third
ẹ̀kọ́	educaţie	teachings
ẹ̀ni	oms	person
ẹ̀rọ	mașini	machine
ẹ̀wẹ̀	pe de altă parte	leaf
ọbàkàn	frate vitreg	step-sister
ọdún	an	year
ọlọ́mọ	copii	members
ọlọ́run	un zeu	god
ọmú	ești nașpa	breast
ọmọ	copil	c
ọn	aceasta	him
ọpọ́lọpọ́	smochine	many
ọ̀dọ́	tineret	youth
ọ̀gbìn	plantă	seedlings
ọ̀nà	cale	ways
ọ̀pòlòpò	acțiune	various
ọ̀rọ̀	vorbi	word
ọ̀sẹ	săptămână	week
