+	+ +	plus sign
นครหลวงเวียงจันทน์	ভিয়েটিয়েন রাজধানী	vientiane
นที	উপনদী	natee - a male's name
นปช	udd	three letter acronym
นพจินดา	noppachinda	noppajinda - a surname
นพดล	nopadon	noppadol - a male's name
นร	ছাত্র	the ancient and auspicious order of the nine gems
นราธิป	narathip	naratip - a male's name of a singer
นราธิวาส	narathiwat,	narativat state
นวนิยาย	উপন্যাস	story
นวรัตน์	nawarat	navaratna
นวล	হাতির দাঁত	noul -  a name
นอกจาก	ব্যতীত	other than, to exclude
นอกจากนี้	এছাড়াও	furthermore
นอกจากนี้แล้ว	ব্যতীত	besides
นอกเหนือจากนี้	আর অন্যান্য	moreover
นอนไม่หลับ	ঘুমোতে পারি না	insomnia
นอร์ส	নর্স	norse
นะงะซะกิ	নাগাসাকি	nagasaki
นะโม	নামো	namo
นักดนตรี	সুরকার	musician
นักบินของออร์บ	ওরবের পাইলট	orb pilot
นักบินอวกาศ	নভশ্চর	astronaut
นักปรัชญา	দার্শনিক	philosophist
นักพากย์	কন্ঠ শিল্পি	voice actor
นักมวย	মুষ্টিযোদ্ধা	boxer
นักร้อง	গায়ক	singer
นักร้องชายไทย	থাই পুরুষ গায়িকা	thai male vocalist
นักร้องนักดนตรี	গায়ক সংগীতশিল্পী	singer, musician
นักร้องเพลงไทยสากลชาย	আন্তর্জাতিক পুরুষ থাই গায়িকা	male thai pop singer
นักร้องเสียงหลัก	প্রধান কণ্ঠশিল্পী	lead singer
นักวิชาการ	একাডেমিক	i was in for.
นักวิทยาศาสตร์	বিজ্ঞানী	scientist
นักศึกษาวิชาทหาร	সামরিক ছাত্র	army reserve force students
นักสู้อันดับ	র‌্যাংকড ফাইটার	fighter rank
นักเขียน	লেখক	writer
นักเขียนการ์ตูน	ব্যঙ্গচিত্র অংকনকারী	cartoonist
นักเต้นนำ	সীসা নৃত্যশিল্পী	dancers
นักเศรษฐศาสตร์	ইকোনমিস্ট	economist
นักแต่งเพลง	সুরকার	songwriter
นักแสดง	অভিনেতা	actor/actress
นักแสดงพิธีกร	অভিনেতা	presenter of the show
นักแสดงรับเชิญ	আমন্ত্রিত অভিনেতা	guest star
นัดกับนัด	সাথে তারিখ	nut kab nut - a thai sitcom
นันทนาการ	চিত্তবিনোদন	recreation
นันทนาคร	nanthanakorn	nantanakorn
นันทเสน	nanthasen	nanthasen
นันทไกร	nantakrai	nandhakrai
นับตั้งแต่เริ่มก่อตั้งจนถึงปัจจุบัน	প্রতিষ্ঠার পর থেকে আজ অবধি	from the foundation up to the present
นัยนา	চোখ	naiyana
นั่นคือ	এটাই	that is
นั่นเอง	সেখানে	that is
นั้น	যে	that
นา	ক্ষেত্র	na
นากา	নাগা	naga
นากิ	nagi	nagi
นาคหิรัญกนก	নাক হিরানকানোক	nakhirunkanok
นางงามจักรวาล	বিশ্ব সুন্দরী	ms. universe
นางสาวสุวรรณ	মিস সুয়ান	miss suwan
นางสุพรรณมัจฉา	মিসেস সুফান ম্যাচা	mrs. supanmatja - a character in a thai legend
นางาโตะ	nagato	logo ontario.
นาดี	nadi থেকে	na di
นาดูน	nadun	nadune (name of district)
นาทวี	nathawi	natavee district
นาทาล	জন্মসংক্রান্ত	"exactly: ""natal;""  proper name: natarle"
นาที	মিনিট	minute
นานา	অনেক	nana
นามิ	nami থেকে	nami
นายกรัฐมนตรีของประเทศไทย	থাইল্যান্ডের প্রধানমন্ত্রী ড	prime minister of thailand
นายกรัฐมนตรีไทย	থাই প্রধানমন্ত্রী	thai prime minister
นายกำพล	মিঃ কাম্পন	kamphon
นายชลอ	মিঃ চলো	chalo
นายชวน	মিঃ চুয়ান	mr. chuan
นายชาญชัย	মিঃ চাঞ্চাই	chanchai
นายณรงค์	মিঃ নারং	mr. narong - a male's name
นายดำรง	মিঃ ড্যামরং	mr dumrong - a male's name
นายทวี	মিঃ থাবি	mr.tawee
นายประกอบ	মিঃ সমাবেশ	mr. prakob - a male's name
นายปรีชา	মিঃ প্রেচা	mr.preecha
นายปรีดี	মিঃ প্রদি	pridi - a male's name
นายยงยุทธ	মিঃ ইয়োঙ্গিউট	mr. yongyut - a male's name
นายศักดา	sakda	sakda
นายสมชัย	মিঃ সোমচাই	mr. somchai
นายสมัคร	প্রার্থী	mr. samak - a thai name
นายสวัสดิ์	সাওয়াত মি	sawat
นายสุชาติ	মিঃ সুচার্ট	mr. suchat
นายสุนทร	মিঃ সানথর্ন	mr. soontorn - a male's name
นายแพทย์	ডাক্তার	male doctor
นารูโตะ	ছেলে	naruto - a japanese cartoon
นาวาอากาศเอกหญิง	স্কোয়াড্রন লিডার	woman airforce captain
นาฬิกา	ঘড়ি	clock
นาโนเทคโนโลยี	ন্যানোপ্রযুক্তি	nanotechnology
นำกลับมาสร้างใหม่อีกครั้ง	আবার তৈরি করতে ফিরিয়ে আনা হয়েছে	remake (of an old movie)
นำแสดงโดย	অভিনয়	performed by
นำโดย	দ্বারা নেতৃত্ব	led by
นิกาย	উপদল	sect
นิกเกิล	নিকেল করা	nickel
นิคมพัฒนา	নিকম ফটনা	nikhom phatthana
นิตยสารชีวจิต	হোমিওপ্যাথিক ম্যাগাজিন	cheewajit magazine
นิตยสารเอเชียวีก	এশিয়া সপ্তাহের ম্যাগাজিন	asiaweek magazine
นิตโย	nittayo	nittayo
นิทาน	গল্প	tales
นิยม	জনপ্রিয়	niyom, name of a thai country music singer
นิยมจัดขึ้นในเดือน	জনপ্রিয় মাসে অনুষ্ঠিত	usually held in the month of
นิยาม	নির্ধারণ করা	symbols
นิรมิต	স্বপ্ন	niramit
นิรันดร์กุล	nirunkun	nirankun
นิรุกติศาสตร์	ব্যাকরণ	philology
นิลภิรมย์	nilphirom	nipinpirom - a surname
นิวคลีโอไทด์	নিউক্লিওটাইড	nucleotide
นิวยอร์ก	নিউ ইয়র্ক	new york
นิวัฒน์	newwat	niwat
นิวเคลียร์	পারমাণবিক	nuclear
นิวเคลียส	নিউক্লিয়াস	nucleus
นิฮง	nihong	nippon or nikon, a japanese reading language
นิเทศศาสตรบัณฑิต	কলা স্নাতক	communication major graduates
นิ่ม	নরম	pangolin
นิ่มสกุล	নিম সাকুল	nimsakun
นีโอ	নিও	neo
นี่คือ	এই	this is
นุช	আনন্দ	nucth
นเรศ	nares	naret - a male's name
นโยบายทางการทูตของจีน	চীনের কূটনৈতিক নীতি	china;s foreign policies
น็อกซ์	নক্স	left.
น้องครีม	নং ক্রিম	nong kreme - a nickname of someone in thai entertainment
น้องชาย	ছোট ভাই	brother
น้อยมาก	খুব সামান্য	noimak
น้ำ	পানি	water
น้ำค้าง	শিশির	namkhang
น้ำดื่ม	পানি পান করি	beverages
น้ำท่วม	বন্যা	flooding
น้ำฝน	বৃষ্টিজল	rainwater
น้ำพอง	ফিনল্যান্ডের মেয়ে	nam pong in kon kan province
น้ำมะนาว	লেবুর রস	lemonade
น้ำมัน	তেল	oil
น้ำมันสน	তার্পিন	oil of turpentine
น้ำยืน	জলাবদ্ধতা	numyeen - location in ubolthani state
น้ำหนัก	ওজন	weight
บทนมัสการนอบน้อมบูชาพระพุทธเจ้า	ভগবান বুদ্ধের বিনীত উপাসনার অধ্যায়	a prayer to the lord buddha
บทบาททางการเมือง	রাজনৈতিক ভূমিকা	politic
บทสวดบาลีที่ขึ้นต้นด้วยอรหัง	পালি জপ যে আরহাতের সাথে শুরু হয়	"pali mantra started with ""arhat"""
บทสวดสรภัญญะที่ขึ้นต้นด้วยธรรมมะคือ	ধর্ম দিয়ে শুরু হওয়া সর্পণ্য জপ	a buddhist prayer
บนบก	ভূমিতে	on land
บรมนาถชาติอาชาวศรัย	বোড়োমনাচাত আচান সাই	something has to do with the king - too obscure
บรมนาถบพิตร	বোরোমনাট বোফিট	borommanatbophit
บรรณาธิการ	সম্পাদক	editor
บรรพชีวินวิทยา	জীবাশ্ম বিজ্ঞান	paleontology
บราซิเลีย	ব্রাসিলিয়া	brazilian
บราเธอร์ส	ভাই	brothers
บริบาล	যত্ন	baribal - a famous soccer player
บริพัตร	খাদ্য	paribatra
บริวเวอรี่	ভাঁটিখানা	brewery
บริสุทธิ์	বিশুদ্ধ	pure
บริหารธุรกิจ	ব্যবসা প্রশাসন	business administration
บริเวณรอบทะเลสาบเขมร	খেমার লেকের আশেপাশে	area around the lake in cambodia
บริเวณเขตภูเขาทางภาคเหนือ	উত্তরের পাহাড়ী অঞ্চল	mountain in north of thailand
บรูไน	ব্রুনেই	brunei
บลีช	ব্লিচ	bleach
บลู	নীল	blue
บลูคอสมอส	নীল কসমস	blue cosmos
บลูเบอร์รี่	ব্লুবেরি	blueberry
บวก	ধনাত্মক	positive
บวม	ফোলা	swelling
บวร	ঐশ্বরিক	bawon
บอมบ์	বোমা	bomb
บอย	ছেলে	boy
บอยซ์	বয়েজ	boys
บอล	বলটি	ball
บอลด์วิน	ব্যাল্ডউইন	baldwin
บอส	বস	boss
บังคลาเทศ	বাংলাদেশ	bangladesh
บังไค	bangkai	bankai
บัณฑิต	স্নাতক	bandit
บัณฑิตวิทยาลัยร่วมด้านพลังงานและสิ่งแวดล้อม	জয়েন্ট গ্রাজুয়েট স্কুল অফ এনার্জি এন্ড এনভায়রনমেন্ট	joint graduate school of energy and environment
บันทึก	নথি	record
บันทึกการสร้างโลก	বিশ্ব রেকর্ড	genesis diary
บันทึกความทรงจำ	স্মারকলিপি	diary
บันเทิง	বিনোদন	entertainment
บัว	পদ্ম	lotus
บัวลอย	bualoy	kind of thai sweetmeat
บัวเชด	পদ্ম ফুল	cedric dubois.
บัวใหญ่	বুয়া ইয়া	big lotus
บาคคัส	গ্রীকদের আসবদেবতা	bacchus
บาคุกันธาตุไฟ	বাকুগান ফায়ার এলিমেন্ট	dragonoid
บาคุกันลูกน้องของนากา	নাগা সমর্থক বাকুগান orter	bakugan, minion of naga
บางกอกกล๊าส	ব্যাংকক গ্লাস	bangkok glass
บางกอกน้อย	ব্যাংকক নই	bangkok noi
บางครั้ง	কখনও কখনও	sometimes
บางซื่อ	ঠুং ঠুং শব্দ sue	bang see - a location in thailand
บางปะกอก	বাং পাকোক	bang prakok - an area in bangkok
บางปะหัน	ব্যাং পাহান	a district in ayutthaya province
บางพลัด	bangplad	bangplad
บางส่วน	কিছু	some
บางเขน	ব্যাং খেন	bang khen
บางแสน	bangsaen	bang saen
บางใหญ่	বং ইয়ে	bang yai - a location in thailand
บานไม่รู้โรย	চির-অম্লান রক্তবর্ণ কল্পপুষ্পবিশেষ	gomphrena
บารอมิเตอร์	আবহমানযন্ত্র	barometer
บารัก	বারাক	barack
บาร์	বার	bar
บาลี	পালি	vatthu
บาอัล	বাল	baal - a demon in hebrew
บิน	মাছি	bin
บิล	বিল	bill
บิ๊กซี	বড় সি	big c
บิ๊กซ้งซุปเปอร์สโตร์	বিগ গান সুপারস্টার	big song superstore
บี	বি	b
บีช	সৈকত	beach
บีบี	বেড এন্ড ব্রেকফাস্ট	bb
บีฟเค้ก	গরুর মাংসের পিষ্টক	beef cake
บี้	ভেঙ্গে টুকরো টুকরো পড়া	flatten
บี้สุกฤษฎิ์	বিই সুকৃত	be- sukasit wisetkeaw - name of a singer
บุคคล	ব্যক্তি	person
บุคคลสำคัญ	গুরুত্বপূর্ণ ব্যক্তি	vip person, very important person
บุคลิกภาพ	ব্যক্তিত্ব	mannerism
บุช	গুল্ম	(george) bush
บุญค้ำ	যোগ্যতা	bunkham
บุญนะโชติ	bunnachot	bunachot - a surname
บุญนาค	যোগ্যতা	boon nak - a famous surname
บุณยเกตุ	bunyaket	boonyaket
บุตร	শিশু	son
บุษบา	ফুল	busaba - a woman's name
บูมเมอแรง	অস্ট্রেলিয়ার আদিবাসীদের অস্ত্রবিশেষ	boomerang
บ่อทอง	পুকুর সোনার	bothong
บ้านฉาง	বান চাং	bahn shang -a  location in thailand
บ้านปราสาท	ক্যাসল হাউস	castle house
บ้านผือ	নিষেধাজ্ঞা	ban phue
บ้านฝันดอตคอม	বন ফ্যান কম	bahnfun.com
บ้านลาด	লান নিষিদ্ধ	ban lat
บ้านเขว้า	গৃহ	bahn kaywah, an area in thailand
บ้านแพ้ว	গৃহ	ban paw
บ้านโพธิ์	বান ফো	bahn po - a location in thailand
ปจ	বছর	two letters acronym
ปช	সৈকত	two letters acronym
ปฏิทินช่อง	চ্যানেল ক্যালেন্ডার	calendar
ปฏิภาณ	সজীবতা	male's name patipan
ปตท	পিটিটি	three letters from thai alphabets
ปทานุกรม	শব্দকোষ	encyclopedia
ปทุมธานี	পাথুম থানি	pathum thani
ปภ	নিরাপত্তা	the order of the direkgunabhorn
ปภัสรา	papassara	papatsara
ปม	গিঁট	knot
ประกอบด้วย	অন্তর্ভুক্ত করা	composed of
ประกอบไปด้วย	গঠিত	included
ประการที่	সংখ্যা	point
ประกาศิต	ফরমান	command
ประกาศเป็นป่าสงวน	বন সংরক্ষক হিসাবে ঘোষিত	preserve area, the protected forest
ประจวบ	ধাক্কা লাগা	prachuap
ประจวบคีรีขันธ์	প্রকুয়াপ খিরি খান	prajoubkirikan state
ประจักษ์	স্পষ্ট	mr. prajak
ประจำปี	বার্ষিক	annual
ประชากรประมาณ	আনুমানিক জনসংখ্যা	population about
ประชากรศาสตร์	জনসংখ্যা	literature subject
ประดิษฐาน	জায়গা	placed
ประติมากรรม	ভাস্কর্য	production of a play
ประติมากรรมไทย	থাই ভাস্কর্য	thai sculpture
ประตู	দরজা	gate
ประตูน้ำ	বাঁধ	pratunam
ประตูเสีย	ভাঙা দরজা	broken door
ประทีป	বাতি	continent
ประธาน	সভাপতি	president
ประธานกรรมการ	চেয়ারম্যান	chief executive officer
ประธานศาลฎีกา	সুপ্রিম কোর্টের রাষ্ট্রপতি মো	president of the supreme court
ประธานสภารัฐสภา	সংসদের স্পিকার ড	speaker of parliament
ประธานาธิบดี	সভাপতি	president
ประมาณ	সম্পর্কিত	about, estimated to be
ประมาณคศ	সম্পর্কিত	christ year
ประมาณปี	এক বছর হবে	approximately in the year
ประยงค์	prayong	prayong
ประวัติศาสตร์	ইতিহাস	history
ประวัติศาสตร์สเปน	স্প্যানিশ ইতিহাস	history of spain
ประวัติศาสตร์ไทย	থাই ইতিহাস	history of thailand
ประสาท	স্নায়ু	castle
ประสิทธิภาพ	দক্ষতা	efficiency
ประหยัด	সংরক্ষণ	thrifty, cheap
ประเด็นที่	সমস্যাটি	point number
ประเทศ	দেশ	country
ประเทศกัมพูชา	কাম্বোজ	cambodia
ประเทศซูดาน	সুদান	sudan
ประเทศทำการค้าขายกับต่างประเทศมากยิ่งขึ้น	বিদেশী দেশগুলির সাথে আরও বাণিজ্য করে দেশগুলি	country that trades with other countries
ประเทศนอร์เวย์	নরওয়ে	norway
ประเทศฝรั่งเศส	ফ্রান্স	france
ประเทศพม่า	মায়ানমার	burma
ประเทศฟินแลนด์	ফিনল্যাণ্ড	finland
ประเทศภูฏาน	ভুটান	bhutan
ประเทศมาเลเซีย	মাল্যাশিয়া	malaysia
ประเทศราช	রাজকীয় দেশ	vassal state
ประเทศลาว	লাত্তস	laos
ประเทศสวีเดน	সুইডেন	sweden
ประเทศสเปน	স্পেন	spain
ประเทศอียิปต์	মিশর	egypt
ประเทศเกาหลี	কোরিয়া	korea
ประเทศเกาหลีใต้	দক্ষিণ কোরিয়া	south korea
ประเทศเนปาล	নেপাল	nepal
ประเทศเปรู	পেরু	peru
ประเทศเม็กซิโก	মক্সিকো	mexico
ประเทศเวียดนาม	ভিয়েতনাম	vietnam
ประเทศแคนาดา	কানাডা	canada
ประเทศและดินแดน	দেশ এবং অঞ্চলসমূহ	natoin and territory
ประเทศไทย	থাইল্যান্ড	thailand
ประเพณีชักพระ	চক ফোরা traditionতিহ্য	chak phra festival
ประเภท	বিভাগ	category
ประเภทของ	ধরণ	type of
ประเภทรายการแข่งขันชิงรางวัลดีเด่น	পুরষ্কার বিভাগ আউটস্ট্যান্ডিং প্রতিযোগিতা	award show for
ประโยค	বাক্য	sentence
ปรัชญา	দর্শন	philosophy
ปรัชญาตะวันตก	পাশ্চাত্য দর্শন	western philosophy
ปรากฏการณ์โลกร้อน	বৈশ্বিক উষ্ণতা	global warming
ปรากฏตัวตอนแรกในตอน	প্রথম একটি পর্বে হাজির	first appear in
ปรากฏตัวในตอน	প্রকাশিত হওয়া	showing their presence
ปราจีนบุรี	প্রচিন বুড়ি	prachin-buri
ปราบดาภิเษก	সম্মানিত	prapdapisek
ปราสาทเขาพระวิหาร	প্রাহা বিহার মন্দির	kao pravihan ancient ruins
ปราโมทย์	উল্লাস	pramot
ปริญ	prin	parin
ปริญญา	ডিগ্রী	degree
ปริภูมิ	স্থান	3 dimensions
ปริมาณการผลิต	উত্পাদন পরিমাণ	capacity
ปริศนา	ধাঁধা	puzzle
ปริ๊นซ์	রাজপুত্র	prince
ปรีดา	আমোদ	prida - a male's name
ปรีดี	পিআরআই	pridi
ปลา	মাছ	fish
ปลาบู่ทอง	গোল্ডেন গবি	goldfish
ปลาปอมปาดัวร์	pompadour	pompadour
ปลาย	শেষ	at the end
ปลายคริสต์ศตวรรษที่	উনিশ শতকের শেষ দিকে	late century
ปลาในสกุลนี้เรียกว่า	এই বংশের মাছকে বলা হয়	the fish in this family is called _________
ปลิงทะเล	সমুদ্র শশা	sea cucumber
ปล่อย	মুক্তি	release
ปวดข้อ	সংযোগে ব্যথা	joint pain
ปวันรัตน์	pawanrat	pavunnarat - a surname
ปวีณา	paweena	paweena
ปักกิ่ง	পীকিং	beijing
ปักธงชัย	পাক থং চই	pakthongchai
ปัจจุบัน	বর্তমান	at present
ปัจจุบันนี้	এখন	presently
ปัจจุบันประเทศไทยมีภาพยนตร์ที่มุ่งสู่ตลาดโลก	আজকাল, থাইল্যান্ডে এমন সিনেমা রয়েছে যা বিশ্ব বাজারের দিকে এগিয়ে যায়।	currently thailand has international movies
ปัจจุบันมีที่นั่งอยู่ในสภาผู้แทนราษฎร	প্রতিনিধি পরিষদে বর্তমানে আসন রয়েছে	presently have elected representatives
ปัจจุบันเลิกเขียนแล้ว	বর্তমানে আর লেখেন না	presently retired from writing
ปัญจาบ	পাঞ্জাব	panjab
ปัญโญภาส	panopas	panyopat - a surname
ปัน	ভাগ	pan
ปั้น	ছাঁচ	clay molding
ปั๊บ	হঠাৎ	pup
ปาก	মুখ	mouth
ปากดี	ভাল মুখ	be talkative
ปากน้ำ	মোহনা	samutpragan province in thailand
ปากีสถาน	পাকিস্তান	country of pakistan
ปากเกร็ด	পাক ক্রেট	pak kret
ปากแม่น้ำสิงคโปร์	সিঙ্গাপুরের মুখ	singapore river delta
ปาน	পাংশু	pan - a thai name
ปานามา	পানামা	panama
ปานแร่	birthmarks	panrae
ปาย	পাইয়ের	pai
ปาริชาต	parichat	tiger’s claw
ปารีส	প্যারিস	paris
ปาร์ค	পার্ক	park
ปาสกาล	প্যাসকেল	pascal - computer language or name
ปาเลสไตน์	প্যালেস্টাইন	palestine
ปิปเปอราซิลลิน	পাইপার এসিলিন	piperacillin
ปิยะพงษ์	piyapong	piyapong
ปิ่นเกล้า	pinklao	pin glow - an area in thailand
ปีคศ	বছর	christain era
ปีจอโทศก	পিগ বছর	year of the dog
ปีที่	বছর	the year
ปีที่วางจำหน่าย	মুক্তির বছর	the year that the product was on the market
ปีพุทธศักราช	বৌদ্ধ বছর	buddhism year
ปีย์	বছর	pe - a thai music artist
ปีย์ชนิตว์	piyachit	peechanit
ปีเตอร์	পিটার	peter
ปี่กลาง	মাঝখানের ব্যাগ	a thai woodwind instrument
ปืนพก	পিস্তল	handgun
ปืนพกกึ่งอัตโนมัติ	আধা-স্বয়ংক্রিয় পিস্তল	semi-automatic pistol
ปืนใหญ่	কামান	cannon
ปืนใหญ่กลางกระสุนวิถีโค้ง	কামান মাঝারি ট্রাজেক্টোরি রেখাচিত্র	cannon
ปืนไร้แรงสะท้อนถอยหลัง	রিওয়েল বন্দুক	recoilless rifle
ปุณณกันต์	punnakan	bhunnagun
ปุตราจายา	পুত্রাজায়া	putrajaya
ปุ๋ย	সার	pui
ปู	কাঁকড়া	crab
ป่าชายหาด	সৈকত বন	beach forest
ป่าชายเลน	ম্যানগ্রোভ বন	mangrove forest
ป่าดิบแล้ง	শুকনো চিরসবুজ বন	dry evergreen forest
ป่าเบญจพรรณ	মিশ্র বন	mixed forest
ป่าโกงกาง	ম্যানগ্রোভ বন	mangrove
ป๊อป	পপ	pop
ป๊อปปี้	পোস্ত	poppy
ผจญภัยเกาะมหาสมบัติ	ট্রেজার আইল্যান্ড অ্যাডভেঞ্চার	nobita's south sea adventure
ผดุง	সমর্থন	phadung
ผล	ফলাফল	result
ผลการแข่งขัน	প্রতিযোগিতার ফলাফল	result of competition
ผลงานหนังสือ	বইয়ের পোর্টফোলিও	publication
ผลงานเพลง	সঙ্গীত	song production
ผลงานโฆษณา	বিজ্ঞাপন	marketing project
ผลประเสริฐ	দুর্দান্ত ফলাফল	polpasert - last name of the 2nd wife of the thai prince
ผลผลิตพลอยได้	উপজাত	result, effects
ผลรวม	সমষ্টি	summation
ผลสำรวจ	জরিপ ফলাফল	survey results
ผิวขาว	সাদা চামড়া	white
ผิวสี	চামড়ার রঙ	skin color
ผี	প্রেতাত্মা	ghost
ผีน่ารัก	বুদ্ধিমান প্রেত	cute ghost
ผู้กำกับ	পরিচালক	producer
ผู้จัดการ	ব্যবস্থাপক	manager
ผู้จัดการทีม	দলের ম্যানেজার	manager
ผู้ชนะ	বিজয়ী	winner
ผู้ชาย	মানুষ	male, man
ผู้ช่วยศาสตราจารย์	সহকারী অধ্যাপক	assistant professor
ผู้ดำเนินรายการ	নিয়ামক	moderator
ผู้บริหาร	কার্যনির্বাহী	manager
ผู้ผลิต	প্রস্তুতকারক	producer
ผู้ฝึกสอน	শিক্ষক	trainer
ผู้พิทักษ์แห่งพิรุณ	ঝামেলার অভিভাবক	rain defender
ผู้พิทักษ์แห่งอรุณ	ভোরের অভিভাবক	guardian of the dawn.
ผู้ว่าการธนาคารแห่งประเทศไทย	ব্যাংক অফ থাইল্যান্ডের গভর্নর ড	governor of the bank of thailand
ผู้ว่าราชการจังหวัด	রাজ্যপাল	the governor of the city
ผู้สนับสนุน	পৃষ্ঠপোষক	supporter
ผู้อำนวยการ	পরিচালক	superintendent
ผู้เล่น	খেলোয়াড়দের	player
ผู้เล่นชุด	প্লেয়ার সেট করুন	team
ผู้ใหญ่	প্রাপ্তবয়স্ক	adult
ผ่องศรี	phongsri	pongsri
ผ้าขาวม้า	ধুতি	a special thai cloth that men used to tie around their waists
ผ้าอนามัยโซฟี	সোফি স্যানিটারি ন্যাপকিনস	sofi sanitary napkin
ฝ	দ্য	a letter with ph sound
ฝอยทอง	মিহি গুঁড়া	foythong - a thai dessert
ฝิ่น	আফিম	opium
ฝูงชนวุ่นวาย	বিশৃঙ্খল ভিড়	mob
ฝ่ามือ	করতল	palm
ฝ่ายบริหาร	ম্যানেজমেন্ট	executive branch
ฝ่าเท้า	পায়ের তলা	sole of foot
ฝ่าแดนเขาวงกต	গোলকধাঁধা মাধ্যমে	in the boundaries of kao wonkut
ฝ้าย	কার্পাস	fai
พ	টি	a thai alphabet
พงศ์ศิลป์พิพัฒน์	পম্পসিল্প ফিফাত	pongsinpipat
พงศ์เรืองรอง	pongrueangrong	"surname ""pong reuang-rong"""
พงษ์พานิช	pongpanich	phongphanit
พงษ์เพชร	ফং ফেট	phong phet
พงษ์ไพบูลย์	phongpaibun	pongphatboon
พจนานุกรมออนไลน์	অনলাইন অভিধান	online dictionary
พญา	সর্প	phaya
พญามังราย	ফায়া মঙ্গরাই	mangrai the great
พตท	ফোন	three letters acronym
พธม	ম	people's alliance for democracy
พนมไพร	ফানম ফ্রেই	phanom phrai
พบหลักฐานของมนุษย์ซึ่งมีอายุเก่าแก่ที่สุดถึงห้าแสนปี	মানুষের প্রমাণ পাওয়া গেছে, পাঁচ শতাধিক বছর পর্যন্ত প্রাচীনতম।	found an evidence of the the oldest human that lived in that area
พยัญชนะ	ব্যঞ্জনবর্ণ	consonant
พยัญชนะสะกดควบกล้ำ	ব্যঞ্জনবর্ণ	diphthong's consonant
พยางค์	অক্ষর	syllable
พยาธิกำเนิด	প্যাথোজিনেসিসের	pathogenesis
พยาธิวิทยา	রোগবিদ্যা	pathology
พยาบาล	নার্স	nurse
พยายามชี้ให้สาธารณชนและนานาชาติ	জনসাধারণ এবং আন্তর্জাতিককে নির্দেশ করার চেষ্টা করা	encourage to promote the people and international policies
พร	অশ্লীল রচনা	wishes
พรนารายณ์	narai	phonnarai
พรบ	আইন	act
พรรคการเมืองใหม่	নতুন রাজনৈতিক দল	kan mai meung political party
พรรคชาติไทย	চার্ট থাই পার্টি	thai nation party
พรรคธรรมาธิปัตย์	থামাথীপাট পার্টি	tamatipat political party
พรรคประชาธรรม	প্রচথাম পার্টি	prachatam political party
พรรคภูมิใจไทย	ফুইয়া থাই পার্টি	bhumjaithai party
พรรคสม	সমীকরণ পার্টি	som rangsi political party
พรรคสังคมประชาธิปไตย	সোশ্যাল ডেমোক্র্যাটিক পার্টি	social democratic party
พรรคเพื่อแผ่นดิน	ফেউ থাই পার্টি	puea pandin party
พรอุดมศักดิ์	phonudomsak	pornudomsak (last name)
พระคาถาชินบัญชร	উদ্দীপনা চিন্নাবঞ্চন	chinbanchon
พระจันทร์	চাঁদ	moon
พระจันทร์สีรุ้ง	রামধনু চাঁদ	phrachan sirung
พระชนม์	জীবন	the father of the king
พระตำหนัก	প্রাসাদ	the king's residence
พระที่นั่งจักรพรรดิพิมาน	সম্রাট ফিমান প্রাসাদ	chakraput piman hall
พระที่นั่งดุสิตมหาปราสาท	দুসিত মহা প্রসত আরশ হল	phra thinang dusit maha prasat
พระที่นั่งบรมพิมาน	বোরোফিম্যান ম্যানশন	the king's seat
พระธรรมปิฎก	dhammapitaka	phra thampidok
พระธิดา	কন্যা	daughter
พระนคร	রাজধানী	phra nakhon
พระนาม	নাম	name of the king
พระนามต้นราชสกุล	নামের প্রথম অংশ	the first person in the dynasty
พระนารายณ์	বিষ্ণু	narayana
พระบรมธาตุไชยา	বুদ্ধের ধ্বংসাবশেষ	buddha's relics chaiya
พระบรมราชชนก	রাজকীয় পৃষ্ঠপোষকতা	the king's sister
พระบรมราชินี	রাণী	queen
พระบรมวงศานุวงศ์	রাজপদ	members of the royal family
พระบาทสมเด็จพระนั่งเกล้าเจ้าอยู่หัว	কিং ন্যাং ক্লাও	jessadabodindra
พระบาทสมเด็จพระปกเกล้าเจ้าอยู่หัว	রাজা প্রজাদিপোক	phrabat somdet phra poramintharamaha - 7th king of thailand
พระบาทสมเด็จพระปรเมนทรมหาอานันทมหิดล	মহামান্য রাজা ভূমিবোল আদুল্যাদেজ মহা আনন্দমহিদল	phra bat somdet phra poramentharamaha ananda mahidol
พระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลก	ফেরা বুদ্ধা ফেরা ইয়ট ফা, চুলালংকর্ন	king rama 1 of chakri monarchy (bangkok)
พระบาทสมเด็จพระเจ้าอยู่หัวภูมิพลอดุลยเดชทรงพระกรุณาโปรดเกล้าฯ	মহামান্য রাজা ভুমিবোল আদুল্যাদেজ করুণার সাথে সন্তুষ্ট হন	the current king of thailand
พระบาทสมเด็จพระเจ้าอยู่หัวอานันทมหิดล	কিং আনন্দ মাহিডল	king ananda mahidol
พระบาทสมเด็จพระเจ้าอยู่หัวเสด็จฯ	মহামহিম রাজা	the current king
พระปกเกล้าเจ้าอยู่หัว	রাজা প্রজাদিপোক	king rama vii
พระประแดง	ফরা প্রদেশেং	prapadaeng
พระปรางค์สามยอด	প্রাং সাম ইয়ট	prapang samyod
พระพรหมคุณาภรณ์	ফ্রে প্রম খুনাপর্ন	pra prhom kunaporn - a person in thailand
