$	$ $	(dollar sign)
divisés	dividido	divided
divoire	divoire	of the ivory
divorce	divorcio	divorce
dix	diez	ten
dixhuit	dieciocho	eighteen
dixième	décimo	tenth
dixsept	diecisiete	seventeen
dizaine	decena	around ten
dizaines	decenas	tens
dj	dj	disk jockey
dns	dns	domain name system
do	hacer	do
dobjets	de objetos	items
dobtenir	conseguir	get
doccident	occidental	of the occident/of the west
doccupation	ocupación	of occupation
docteur	doctor	doctor
doctobre	octubre	october
doctrine	doctrina	doctrine
doctrines	doctrinas	doctrines
document	documento	document
documentaire	documental	documentary
documentaires	documentales	documentary
documentation	documentación	documentation
documents	documentos	documents
dog	perro	dog
doha	doha	doha
doigt	dedo	finger
doigts	dedos	fingers
doit	debe	have to
doivent	deben	should
dollar	dolar	dollar
dollars	dolares	dollars
dom	dom	dom
domain	dominio	domain
domaine	dominio	field
domaines	áreas	domains
domestique	domestico	servant
domestiques	domestico	domestic
domicile	casa	home
dominant	dominante	dopminant
dominante	dominante	dominant
domination	dominación	domination
domine	domina	dominates
dominent	dominar	dominate
dominicaine	dominicano	dominican
dominique	dominique	dominique
dominé	dominado	dominates
dominée	dominado	dominated
dommages	daño	damage
don	regalo	don
donald	donald	donald
donc	entonces	then
donde	agitar	wave
donna	dio	gave
donnait	dio	gave
donnant	dando	giving
donne	dar	gave
donnent	dar	give
donner	dar	ask
donnera	dará	will give
donné	dado	given
donnée	dado	given
données	datos	data
donnés	dado	given
dons	donaciones	gifts
dont	cuyo	whose
dopposition	oposición	of resistance
dor	dorado	dor
dordre	ordenar	order
dorganisation	de organización	organisational
dorganiser	organizar	to organise
dorient	dormir	eastern
dorigine	original	of origin
dorléans	orleans	of orléans
doré	dorado	golden
dos	volver	back
dose	dosis	dose
dossier	carpetas	file
dossiers	registros	files
doté	dotado	given
dotée	dotado	has(for 1st) with(for tanger) has (for european union)
doublage	doblaje	dubbing
double	doble	double
doubles	doble	doubles
doublé	doblado	double
douce	dulce	fresh
douglas	douglas	douglas
douleur	dolor	pain
douleurs	dolores	pains
doute	duda	doubt
doutremer	de ultramar	overseas
douverture	abriendo	of opening
douvrages	funciona	books
doux	dulce	soft
douze	doce	twelve
down	abajo	down
doù	de donde	thus
dr	dr	doctor
dracula	drácula	dracula
dragon	dragón	dragon
dramatique	dramático	dramatic
dramatiques	dramático	dramatic
dramaturge	dramaturgo	playwright
drame	drama	drama
drapeau	bandera	flag
drapeaux	banderas	flags
dreyfus	dreyfus	dreyfus
drogue	droga	drugs
drogues	drogas	drugs
droit	correcto	right
droite	derecha	right
droites	derecho	straight
droits	derechos	law
du	de	of
dubaï	dubai	dubai
dublin	dublín	dublin
duc	duque	duke
duchesse	duquesa	duchess
duché	ducado	duchy
ducs	duques	dukes
due	debido	due
duel	duelo	duel
dues	debido	caused
dulysse	dulysse	dulysee
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore (character's name)
dun	dun	of one
dune	duna	of a
dunion	unión	union
dunité	la unidad	of unity
duo	duo	duet
duquel	de donde	of which
dur	duro	hard
dura	duró	lasted
durable	sostenible	sustainable
durablement	sosteniblemente	durably
durant	durante	during
dure	dura	last
durent	último	last
durer	durar	last
durera	durará	will last
dures	duro	difficult, hard
durgence	emergencia	in emergency
durs	duro	hard
duré	duración	last
durée	duración	duration
dus	debido	due
dusage	usar	usage
dut	debe	had to
dutilisation	de uso	usage
dutiliser	para usar	to use
dvd	dvd	dvd
dx	dx	dx
dy	dy	to
dylan	dylan	dylan
dynamique	dinámico	dynamic
dynamiques	dinámico	dynamic
dynamisme	dinamismo	dynamism
dynastie	dinastía	dynasty
dynasties	dinastías	dynasties
dyslexie	dislexia	dyslexia
dysphorie	disforia	disphoria
dâge	de edad	of age
dès	desde	dice
débarquement	aterrizaje	disembarkation
débarrasser	librarse	rid
débat	debate	debate
débats	debates	discussions
débit	fluir	flow
début	inicio	start
débute	comienza	begins
débuts	comienzos	start
débuté	comenzó	started
décadence	decadencia	decadence
décembre	diciembre	december
décennie	década	decade
décennies	décadas	decades
déchange	intercambio	exchange
déchets	residuos	waste
décida	decidido	decided
décide	decide	decides
décident	decidir	decide
décider	decidir	decide
décidé	decidido	decided
décisif	decisivo	decisive
décision	decisión	decision
décisions	decisiones	decisions
décisive	decisivo	decisive
déclara	declarado	declared
déclarant	declarando	declaring
déclaration	declaración	statement
déclarations	declaraciones	declarations
déclare	declarar	said
déclarent	declarar	go on
déclarer	declarar	declare
déclaré	declarado	declared
déclarée	declarado	declared
déclenche	disparadores	triggers
déclenchement	disparador	release
déclin	declinar	decline
décline	declina	decline
décompte	cuenta regresiva	count
déconomie	economia	of economy
décor	decoracion	scenery
décoration	decoracion	decoration
décorations	decoraciones	decorations
décors	conjuntos	decors
découle	surge	ensued
découpage	corte	division
découvert	descubierto	discovered
découverte	descubrimiento	discovered
découvertes	descubrimientos	discoveries
découverts	descubierto	discovered
découvre	averiguar	discovers
découvrent	descubrir	discover
découvrir	descubrir	to discover
décret	decreto	decree
décrets	decretos	decrees
décrire	para describir	to describe
décrit	describe	describe
décrite	descrito	described
décrits	descrito	describes
décriture	escritura	of writing
décrivant	describiendo	describing
décrivent	describir	describe
décède	muere	dies
décès	muerte	death
décédé	difunto	died
dédié	dedicado	device
dédiée	dedicado	dedicated
dédiés	dedicado	dedicated
déducation	educacion	education
déduit	deducido	deduces
déesse	diosa	goddess
défait	de hecho	dismantled
défaite	derrota	defeat
défaites	derrotas	defeats
défaut	por defecto	default
défauts	fallas	faults
défend	defiende	defends
défendre	defender	defend
défendu	prohibido	supported
défense	defensa	defense
défenseur	defensor	defender
défenseurs	defensores	defenders
défi	desafiar	challenge
déficit	déficit	deficit
défini	definido	defined
définie	definido	defined
définies	definido	defined
définir	para definir	defin
définis	definido	defined
définissant	definitoria	defining
définissent	definir	define
définit	define	defined
définitif	final	definitive
définition	definición	definition
définitions	definiciones	definitions
définitive	final	definitive
définitivement	definitivamente	definitively
déforestation	deforestación	deforestation
déformation	distorsión	deformation
défunt	difunto	deceased
dégager	despejar	give off
dégradation	degradación	deterioration
dégypte	descifra	egypt
dégâts	daño	damages
déjà	ya	already
délai	fecha límite	delay
délais	plazos	delays
délectricité	electricidad	electricity
déliminer	eliminar	eliminate
délégation	delegación	delegation
déléments	elementos	elements
démarche	marcha	approach
démarrage	comenzando	start
démarre	comienza	tired of
démence	demencia	dementia
démission	renuncia	résignation
démissionne	renuncia	quits
démocrate	demócrata	democrate
démocrates	demócratas	democrats
démocratie	democracia	democracy
démocratique	democrático	democratic
démographie	demografía	demography
démographique	demográfico	demographic
démographiques	demográfico	demographic
démon	demonio	deamon
démons	demonios	demons
démonstration	demostración	demonstration
démontre	demostrar	demonstrates
démontrer	demostrar	demonstrate
démontré	demostrado	demonstrate
déménage	mudado	move
dénergie	energía	of energy
dénombre	contar	count
dénomination	denominación	denomination
dénommé	referido como	referred to as
dénonce	denuncia	denounced
déoliennes	aerogeneradores	of wind mills
départ	salida	outset
département	departamento	department (country subdivision)
départements	departamentos	departments
dépassant	superior a	surpassing
dépasse	excede	exceeds
dépassent	exceder	exceed
dépasser	exceder	exceed
dépassé	excedido	exceeded
dépend	depende	depends
dépendance	adicción	dependency
dépendances	dependencias	dependencies
dépendant	dependiente	dependent
dépendent	depender	dependent
dépenses	gastos	outgoings
dépisodes	episodios	episodes
dépit	a pesar de	in spite
déplace	se mueve	moves
déplacement	desplazamiento	displacement
déplacements	desplazamientos	moves
déplacer	moverse	move
dépolarisation	despolarización	depolarisation
déportation	deportación	deportation
déportés	deportados	deportees
dépose	dejar	files
déposé	archivado	registered
dépression	depresión	depression
député	diputado	deputy
députés	diputados	deputy members
dépôt	depositar	depot
dépôts	depósitos	deposits
dérive	deriva	derive
dérivé	derivada	derivative
dérivée	derivada	derivative
dérivés	derivados	derivative
déroulant	desplegable	unfolding
déroule	tiene lugar	unrolls
déroulement	despliegue	course
déroulent	tener lugar	take place
désaccord	en desacuerdo	disaccord
désastre	desastre	disaster
désert	desierto	desert
désignant	designando	designating
désignation	designación	name / designation
désigne	designa	indicate
désignent	designar	dub
désigner	designar	designate
désigné	designado	designated
désignée	designado	designated
désignés	designado	designated
désir	deseo	desire
désire	deseo	dÉsir
désormais	ahora	henceforth
détablir	establecer	to establish
détail	detalle	detail
détaillé	detallado	detailed
détaillée	detallado	detailed
détails	detalles	details
détat	estado	state
détats	estados	of states
détecter	detectar	detect
détection	detección	detection
détective	detective	detective
détenu	detenido	detained
détenus	reclusos	detained
déterminant	determinante	determinant
détermination	determinación	determination
détermine	determina	specifies
déterminer	determinar	to determine
déterminé	determinado	prepended
déterminée	determinado	determined
détient	sostiene	holds
détracteurs	detractores	detractors
détriment	en detrimento	detriment
détroit	estrecho	sound
détruire	destruir	destroy
détruit	destruido	destroyed
détruite	destruido	destroyed
détruits	destruido	destroyed
détude	estudiar	of studies
détudes	estudios	of surveys
détudier	estudiar	study
dété	verano	summer
dévaluation	devaluación	devaluation
dévaluer	devaluar	evaluate
développe	desarrolla	develops
développement	desarrollo	development
développent	desarrollar	develop
développer	desarrollar	developed
développé	desarrollado	developped
développée	desarrollado	developed
développées	desarrollado	developed
développés	desarrollado	developed
déviter	evitar	avoid
déçu	decepcionado	disappointed
dêtre	ser	to be
dîner	cena	dinner
dû	debido	had to
dœil	ojo	of the eye
dœuvre	trabajar	piece
dœuvres	funciona	writings
e	e	e
east	este	east
eastwood	eastwood	eastwood
eau	agua	water
eaux	aguas	water
ecclésiastique	clérigo	ecclesiastic
ecw	ecw	ecw
ed	ed	edition
eddie	eddie	eddie
edgar	edgar	writer
edge	borde	edge
editions	ediciones	editions
edmond	edmond	(name)
edward	edward	edward
effectif	fuerza laboral	datteindre
effectifs	fuerza laboral	headcounts
effective	eficaz	effective
effectivement	en realidad	effectively
effectue	realiza	perform
effectuer	realizar	perform
effectué	realizado	placed
effectuée	realizado	effected
effectuées	realizado	carried
effectués	hecho	carried out
effet	efecto	effect
effets	efectos	effects
efficace	eficiente	efficient
efficaces	eficaz	efficient
efficacité	eficiencia	efficiency
effort	esfuerzo	effort
efforts	esfuerzos	efforts
eiffel	eiffel	eiffel
einstein	einstein	einstein
el	el	el
elimination	eliminación	elimination
elizabeth	elizabeth	elizabeth
elle	ella	it (in that context)
ellemême	ella misma	itself
elles	ellas	they
ellesmêmes	ellos mismos	themselves
elvis	elvis	elvis
emblématique	emblemático	iconic
emblématiques	emblemático	symbolical
emi	emi	emi
eminem	eminem	eminem
emirates	emiratos	emirates
emma	emma	emma
emmanuel	emmanuel	emmanuel
emmy	emmy	emmy
emo	emo	opinion and marketing survey
empereur	emperador	emperor
empereurs	emperadores	emperor
empire	imperio	empire
empires	imperios	empires
empirique	empírico	empirical
emplacement	ubicación	place
emploi	trabajo	employment
emploie	emplea	use
emplois	trabajos	employement
employé	empleado	employee
employée	empleado	employee
employées	empleado	employed
employés	empleados	employed
emprunté	prestado	borrowed
empêche	evita	prevent
empêcher	evitar	forbid
en	en	in
enceinte	embarazada	enclosure
enceintes	altavoz	pregnant
enchaîne	cadena	switches
enchères	subasta	auction
encore	de nuevo	again
encourage	alentar	encourages
encouragé	alentado	encouraged
end	fin	end
endroit	lugar	place
endroits	lugares	locations
enfance	infancia	childhood
enfant	niño	infant
enfants	niños	children
enfer	el infierno	hell
enfin	finalmente	finally
engage	compromete	starts
engagement	compromiso	engagement
engagements	compromisos	bookings
engagé	compromete	engaged
engagée	comprometido	engaged
engagés	comprometido	undertakes's
engendre	engendra	give rise to
english	inglés	anglais
englobe	incluye	embody
enjeu	apuesta	stake
enjeux	apuestas	issues
ennemi	enemigo	enemy
ennemis	enemigos	enemy
enquête	encuesta	investigation
enquêtes	encuestas	surveys
enregistre	grabar	records
enregistrement	grabacion	recording
enregistrements	grabaciones	records
enregistrent	grabar	record
enregistrer	guardar	record
enregistré	salvado	records
enregistrée	grabado	recorded
enregistrées	salvado	registered
enregistrés	salvado	registered
enseigne	enseña	teaches
enseignement	enseñanza	teaching
enseignements	lecciones	teachings
ensemble	juntos	all
ensembles	conjuntos	sets
ensuite	entonces	then
entame	empezar	starts
entend	escuchar	intends
entendre	escuchar	hear
entendu	escuchado	known
enterré	enterrado	buried
enthousiaste	entusiasta	enthusiastic
entier	todo	entire
entiers	todo	entire
entité	entidad	entity
entités	entidades	entities
entière	todo	entire
entièrement	enteramente	entirely
entières	todo	entire
entourage	séquito	entourage
entourant	circundante	surrounding
entourent	rodear	surrounding
entouré	rodeado	surrounded
entourée	rodeado	surrounded
entraînant	arrastrando	resulting
entraîne	conduce	leads
entraînent	conducir	caused
entraîner	entrenar	cause
entraîneur	entrenador	trainer
entraîné	entrenado	resulted
entre	entre	between
entrelacement	entrelazado	interweaving
entrent	entrar	come in
entreprend	se compromete	began
entrepris	emprendido	undertaken
entreprise	negocio	company
entreprises	empresas	companies
entrer	entrar	enter
entretemps	entretiempo	in between
entretien	entrevista	interview
entretient	mantiene	has
entrevue	entrevista	interview
entré	entró	came in
entrée	entrada	entrance
entrées	entrantes	entered
envers	al revés	towards
environ	alrededor de	about
environnement	medio ambiente	environment
environnemental	ambiental	environmental
environnementale	ambiental	environmental
environnementales	ambiental	environmental
environnementaux	ambiental	environmental
environs	entorno	surrounding
envisage	considerando	plans
envisagé	considerado	considered
envoie	enviar	sends
envoyer	enviar a	upload
envoyé	enviado	envoy
envoyée	enviado	sent
envoyés	enviado	sent
en 	en	in
ep	ep	ep
er	er	rst
eric	eric	eric
ernest	ernest	ernest
ernst	ernst	ernst ( name )
erreur	error	mistake
erreurs	errores	mistakes
es	es	es
escargots	caracoles	snails
esclaves	esclavos	slaves
espace	espacio	space
espaces	espacios	spaces
espagne	españa	spain
espagnol	espanol	le e'spagnol
espagnole	española	spanish
espagnoles	espanol	spanish
espagnols	españoles	spanish
espoir	esperanza	hope
esprit	espíritu	mind
esprits	espíritus	spirits
espèce	especie	species
espèces	efectivo	cash
espère	esperanza	hopes
espérance	esperanza	expectancy
essai	ensayo	try
essaie	intentar	tries
essais	prueba	trials
essaye	intentar	try
essayer	probar	try
essayé	intentado	tried
essentiel	esencial	essential
essentielle	esencial	critical
essentiellement	básicamente	essentially
essentielles	esencial	essential
essentiels	esenciales	essential
essor	boom	development
est	es	is
esthétique	estético	aesthetic
esthétiques	estético	aesthetic
estil	estil	is he
estimant	considerando	considering
estimations	estimaciones	estimates
estime	estima	estimated (for motown) believe(for fisher and jean nouvel)
estiment	creer	estimate
estimé	estimado	estimated
estimée	estimado	valued
et	y	and
etc	etc.	etc
ethnies	etnias	races
ethnique	étnico	ethnic
ethniques	étnico	ethnic
etou	y o	and / or
eu	tenía	had
eugène	eugenésico	eugene
eurent	tenía	had
euro	euro	euro
europe	europa	europe
européen	europeo	european
européenne	europeo	european
européennes	europeo	european
européens	europeos	european
eut	tenía	was
eux	ellos	them
euxmêmes	ellos mismos	themselves
evan	evan	even
evans	evans	evans
ex	ex	ex
exact	exacto	exact
exacte	exacto	exact
exactement	exactamente	exactly
examen	examen	review
examens	exámenes	examinations
excellence	excelencia	excellence
excellent	excelente	excellent
exception	excepción	exception
exceptionnel	excepcional	exceptional
exceptionnelle	excepcional	outstanding
exceptions	excepciones	exceptions
excepté	excepto	excepted
exclusif	exclusivo	exclusive
exclusive	exclusivo	exclusive
exclusivement	exclusivamente	exclusively
excès	exceso	excess
exemplaire	copia	exemplary
exemplaires	copias	copies
exemple	ejemplo	for instance
exemples	ejemplos	examples
exerce	ejercicios	practices
exercer	ejercer	execute
exercice	hacer ejercicio	exercise
exercé	ejercitado	exercised
exhaustive	exhaustivo	comprehensive
exige	requiere	requires
exigences	requisitos	demans
exil	el exilio	exile
existait	existido	existed
existant	existente	exisiting
existantes	existente	existing
existants	existente	existing
existe	existe	exist
existence	existencia	existence
existent	existir	exist
exister	existir	exist
existé	existido	existed
expansion	expansión	growth
expert	experto	expert
experts	expertos	experts
explication	explicación	explanation
explications	explicaciones	explanations
explicitement	explícitamente	explicitly
expliquant	explicando	explaining
explique	explica	explain
expliquent	explicar	explain
expliquer	explicar	explain
expliqué	explicado	explained
exploitation	explotación	operation
exploite	hazañas	use
exploité	explotado	operated
exploités	explotado	used
explorer	explorar	explore
explosion	explosión	explosion
exportations	exportaciones	exports
expose	exhibiciones	exposes
exposition	exposición	exposition
expositions	exposiciones	expo
exposé	expuesto	displayed
exposée	expuesto	exposed
exposées	expuesto	exposed
exposés	expuesto	exposed
express	expreso	express
expression	expresión	expression
expressions	expresiones	expressions
exprime	expresa	expresses
exprimer	expreso	express
exprimé	expresado	declared
exprimée	expresado	expressed
expédition	expedicion	expedition
expéditions	expediciones	expeditions
expérience	experiencia	experiment
expériences	experiencias	experiments
expérimentale	experimental	experimental
extension	extensión	extension
externe	externo	external
externes	externo	outside (better in both cases in that context that external)
extrait	extraer	from
extraits	extractos	sample
extraordinaire	extraordinario	extraordinary
extraordinaires	extraordinario	extraordinary
extreme	extrema	extreme
extrémités	termina	ends
extrême	extrema	extreme
extrêmement	extremadamente	extremely
extrêmes	extrema	extremes
extérieur	exterior	outside
extérieure	al aire libre	external
extérieures	exterior	outside /  foreign office(for talleyrand)
extérieurs	exteriores	outside
exécuter	ejecutar	to execute
exécutif	ejecutivo	executive
exécution	ejecución	execution
exécutions	ejecuciones	executions
exécuté	ejecutado	execute
exécutés	ejecutado	executed
f	f	f
fa	fa	fa
fables	fábulas	tales
fabricants	fabricantes	makers
fabrication	fabricación	making
fabrique	fabrica	build
fabriquer	fabricar	produce
fabriqué	hecho	manufactured
face	cara	confront
facebook	facebook	facebook
faces	caras	tail
facile	facil	easy
facilement	fácilmente	easily
faciliter	facilitar	ease
facilité	facilidad	eased
facteur	factor	point
facteurs	factores	factors
facto	facto	facto
faculté	facultad	2 different for 2 phrases 1= ability 2nd sentence university
facultés	facultades	abilities
faible	debil	small
faibles	debil	weak
faiblesse	debilidad	weakness
faiblesses	debilidades	weaknesses
faille	defecto	fault
failles	fallas	faults
faillite	quiebra	bankrupt
faim	hambriento	starvation
faire	hacer	do
faisaient	estaban haciendo	did
faisait	estaba haciendo	made
faisant	haciendo	doing
fait	hecho	do
faite	hecho	put
faites	hacer	do
faits	hechos	facts
falciparum	falciparum	falciparum
fallait	tuvo que	had to
fame	fama	fame
fameuse	famoso	famous
fameux	famoso	famous
familial	familia	family
familiale	familia	family
familiales	familia	family
famille	familia	family
familles	familias	families
family	familia	fimily
famine	inanición	famine
fan	fan	fan
fans	fans	fans
fantastique	fantastico	fantastic
fantastiques	fantastico	fantastic
fantasy	fantasía	fantasy
fantôme	fantasma	ghost
fantômes	fantasmas	ghosts
fascination	fascinación	fascination
faso	faso	burkina faso, the name
fasse	hacer	make
fatigue	cansado	tiredness
faudra	tendrá que	would be needed
faune	fauna	fauna
fausse	falso	wrong
fausses	falso	false
faut	debe	must be
faute	culpa	fault
faux	falso	scythe
faveur	favor	favor
favorable	favorable	favourable
favorables	favorable	favourable
favori	favorito	favorite
favorisant	favoreciendo	favoring
favorise	favores	favors
favoriser	favor	favor
favorisé	favorecido	promoted
favorite	favorito	favored
fayard	fayard	fayard
façade	fachada	front
façades	fachadas	facades
façon	camino	ways
façons	maneras	ways
fbi	fbi	fbi
fc	fc	canadian forces
feat	hazaña	avec
federation	federación	federation
federer	federer	federate
fellation	felación	blow job
femelle	hembra	female
femelles	hembras	females
femme	mujer	woman
femmes	mujeres	woman
fenêtre	ventana	window
fenêtres	ventanas	windows
fer	hierro	"fer = iron, but ""chemin de fer"" = railroad"
fera	hará	will
ferait	haría	would make
ferdinand	fernando	ferdinand
ferme	granja	firm
fermentation	fermentación	fermentation
fermeture	cierre	closure
fermé	granja	closed
fermée	cerrado	closed
fernand	fernand	fernand
fernando	fernando	fernando
feront	hará	will
ferroviaire	ferrocarril	railway (when used as an adjective)
ferroviaires	ferrocarril	train
ferrées	ferrocarriles	rail
festival	festival	festival
festivals	festivales	festivals
feu	fuego	fire
feud	pelea	feud
feuille	hoja	leaf
feuilles	hojas	leaves
feuilleton	telenovela	series
feux	semáforos	fires
fiabilité	fiabilidad	reliability
fiable	confiable	reliable
fibre	fibra	fiber
fibres	fibras	roughage
fiche	grabar	plug
fichier	archivo	file
fichiers	archivos	files
fictif	ficticio	fictitious
fiction	ficción	fiction
fidel	fiel	(man's name - fidel castro)
fidèle	fiel	faithful
fidèles	fiel	believers
fidélité	lealtad	fidelity
field	campo	field
fifa	fifa	fifa
figaro	figaro	figaro
fight	pelea	fight
figurant	apareciendo	in (for wilkepedia) on(for os map) amongst(for the chefs d'oeuvre)
figure	figura	lays
figurent	aparecer	are amongst
figures	figuras	figures
fil	alambre	over
file	archivo	can only translate full context chef de file = leader
filet	neto	net
filiale	rama	subsidiary
filiation	paternidad	filiation
fille	chica	daughter
filles	chicas	daughters
film	pelicula	film
filmographie	filmografía	filmographie
films	peliculas	movies
filmé	filmado	filmed
fils	hijo	son
fin	fin	end
final	final	final
finale	final	final
finalement	finalmente	finally
finales	finales	finals
finaliste	finalista	finalist
finance	finanzas	finance
financement	financiación	funding
financer	finanzas	finance
finances	finanzas	finances
financier	financiero	financial
financiers	financiero	financial
financière	financiero	financial
financièrement	financieramente	financially
financières	financiero	financial
fincher	buscador	fincher
fine	bien	fine
fines	bien	well written
fini	terminado	ended
finir	terminar	ends
finira	terminará	eventually
finissent	terminar	finish
finit	termina	ends
finlande	finlandia	finland
fins	termina	ends
firent	hizo	closed (firent fermer)
firme	firme	firm
first	primero	first
fiscale	fiscal	tax
fiscales	fiscal	tax
fiscalité	impuestos	tax system
fit	encajar	made
five	cinco	five
fixation	fijación	fixation
fixe	arreglado	fix
fixer	arreglar	fix
fixes	arreglado	fixed
fixé	arreglado	fixed
fixée	arreglado	fixed
fixés	arreglado	fixed
fièvre	fiebre	fever
flagellés	azotado	flagellum
flair	instinto	(name)
flamande	flamenco	flamand
flamands	flamenco	flemish
flammarion	flammarion	flammarion
flammes	llamas	flames
flandre	flandes	flanders
flandres	flandes	flanders
flash	flash	flash
flaubert	flaubert	flaubert
fleming	fleming	fleming
fleur	flor	blossom
fleurs	flores	flowers
fleuve	rio	river
fleuves	ríos	river (but major ones)
fln	fln	front of national liberation
flore	flora	flora
florence	florencia	florence (can be a person's name or the italian city)
floride	florida	florida
flotte	flota	fleet
floyd	floyd	floyd
fluide	fluido	fluid
flux	flujo	stream
flèche	flecha	arrow
fm	fm	fm
fmi	fmi	imf
foi	fe	faith
foie	hígado	liver
fois	tiempos	time
foisci	tiempos	this time
folie	locura	madness
folio	folio	folio (in french this is a luxury publisher name)
folk	folk	folk
folklore	folklore	folkore
fonction	funcion	function
fonctionnaires	oficiales	public servants
fonctionnalités	características	features
fonctionnant	trabajando	operate
fonctionne	funciona	works
fonctionnelle	funcional	functional
fonctionnement	funcionando	operation
fonctionner	funcionar	work
fonctions	funciones	functions
fond	fondo	content
fondamental	fundamental	crucial
fondamentale	fundamental	core
fondamentales	fundamental	fundamental
fondamentaux	fundamentos	fondamental
fondateur	fundador	fonder
fondateurs	fundadores	founders
fondation	fundacion	foundation
fondations	fundaciones	foundations
fonde	funda	funds
fondement	fundacion	foundation
fondements	fundaciones	foundations
fondent	derretir	founded
fonder	encontrado	found
fonds	fondos	funds
fondé	fundado	founded
fondée	fundado	founded
fondées	fundado	founded
fondés	fundado	funded
font	hacen	make
fontaine	fuente	fountain
fonte	hierro fundido	melting
fontsizes	fuentes	fontsizes
footballeur	jugador de futbol	football player
for	para	for
force	fuerza	forced
forcé	forzado	forced
forcée	forzado	forced
forcément	necesariamente	necessarily
ford	vado	ford (name)
forest	bosque	forest
forever	por siempre	forever
forfait	paquete	package
formant	formando	forming
format	formatear	format
formation	entrenamiento	training
formations	entrenamiento	training
formats	formatos	formats
forme	forma	shape
formellement	formalmente	formely
forment	forma	form
former	formar	create
formes	formas	shapes
formule	formula	formula
formules	fórmulas	formulas
formé	entrenado	formed
formée	formado	formed
formées	entrenado	established
formés	entrenado	educated
fort	fuerte	strong
forte	fuerte	strong
fortement	fuertemente	strongly
forteresse	fortaleza	fortress
fortes	fuerte	strong
fortifications	fortificaciones	fortifications
forts	fuerte	strong
fortune	fortuna	fortune
forum	foro	forum
forêt	bosque	forest
forêts	bosques	forests
fosse	hoyo	pit
fossiles	fósiles	fossiles
fou	loco	crazy
fouilles	excavaciones	searches
fouine	comadreja	fouine
foule	multitud	crowd
foules	multitudes	crowds
foulée	zancada	wake
foundation	fundacion	foundation
four	horno	oven
fourni	proporcionado	provided
fournie	proporcionado	lengthened
fournir	proporcionar	provide
fournissent	proporcionar	provide
fournisseur	proveedor	supplier
fournisseurs	proveedores	suppliers
fournit	proporciona	provides
fourrure	pelaje	fur
fox	zorro	fox
foyer	casa	a home
foyers	casas	households
fr	fr	en
frac	frac	frac
fraction	fracción	fraction
fragile	frágil	fragile
fragments	fragmentos	bit
frais	fresco	fres
franc	franco	franc
france	francia	france
francesco	francesco	francesco
francis	francis	francis
francisation	francización	francization
francisco	francisco	francisco
franck	franck	franck
francmaçonnerie	masonería	freemasonry
franco	libre	franco
francophone	francófono	french-speaking
francophones	francófonos	french-speaking
francophonie	francófono	french-speaking (but usually not translated)
francs	francos	franc
frank	franco	frank
franklin	franklin	franklin
franz	franz	franz
français	francés	french
française	francésa	french
françaises	francés	french
françois	françois	françois
françoise	françoise	francoise
frappe	golpeado	strike
frapper	golpear	beat
frappé	golpeado	strike
fred	fred	fred
freddie	freddie	freddie
free	libre	free
freedom	libertad	freedom
frein	freno	brake
french	francés	french
fresques	frescos	frescoes
freud	freud	freud
friedrich	friedrich	friedrich
friends	amigos	friends
fritz	fritz	fritz
froid	frio	cold
froide	frio	cold
froides	frio	cold
froids	frio	cold
from	de	from
fromage	queso	cheese
front	frente	front
frontière	frontera	border
frontières	fronteras	borders
fruit	fruta	fruit
fruits	fruta	benefits
fry	freír	fry
frère	hermano	brother
frères	hermanos	brothers
frédéric	frédéric	frédéric
fréquemment	con frecuencia	frequently
fréquence	frecuencia	freqeuncy
fréquent	frecuente	frequently
fréquentation	asistencia	frequectation
fréquente	frecuente	see frequently
fréquentes	frecuente	frequent
fréquents	frecuente	fairly commun
ftp	ftp	ftp
fuir	huir	escape
fuite	vuelo	leak
funk	funk	funk
funès	funeral	funes
funérailles	funeral	funeral
fur	furioso	as
furent	fueron	were
fusion	fusión	fusion
fut	fue	was
futur	futuro	future
futurama	futurama	fururama
future	futuro	future
futures	futuro	future
futurs	futuro	future
fès	fez	fez
fécondité	fertilidad	fertility
fédéral	federal	federal
fédérale	federal	federal
fédérales	federal	federal
fédération	federación	federation
fédérations	federaciones	federations
félix	felix	félix
féminin	femenino	feminine
féminine	femenino	feminine
féminines	hembra	feminine
féminins	hembra	feminine
férié	vacaciones	holiday
fériés	vacaciones	holyday
féroé	faroe	faroe
février	febrero	february
fête	fiesta	party
fêtes	celebraciones	feasts
fût	fue	exist
führer	führer	fuhrer
fœtus	feto	fetus
g	g	g
gabriel	gabriel	gabriel
gabrielle	gabrielle	gabrielle
gaga	gaga	senile
gagnant	ganador	winner
gagne	gana	wins
gagnent	ganar	win
gagner	ganar	win
gagné	ganó	won
gain	ganar	gain
gainsbourg	ganesburgo	gainsbourg
gala	gala	gala
gale	sarna	gale (name)
galerie	galeria	galery
galeries	galerías	galleries
galilée	galileo	galileo
gall	hiel	gall
galles	gales	wales
gallimard	gallimard	gallimard
game	juego	game
gamme	rango	range
gandhi	gandhi	gandhi
gang	pandilla	gang
garantie	garantía	warranty
garantir	garantía	garantee
garantit	garantías	garanteed
garde	guardia	guard
garder	mantener	keep
gardes	guardias	guards
gardien	guardián	guardian
gardiens	guardianes	guardians
gardé	vigilado	kept
gare	estacion	station
gares	estaciones	stations
garonne	chico	garonne
gary	gary	glass city
garçon	niño	boy
garçons	muchachos	boy
