aajo	ridicolo	hospitality
oko	campo	farm
okunkun	buio	darkness
okunrin	l&#39;uomo	male person
olodiajodojuko	l&#39;un l&#39;altro	facing wall
olohun	proprietari	god
olojukanna	subito	same surface
olokunkun	cuffie	popular
ololugbe	perdente	occupants
olopon	altezzoso	a local game
olora	grasso	fertile
oloselukan	ciao	one political
oloye	genio	chief
oluda	creatore	creator
oludase	produttore	separatist
olukoitan	istruttore	the writer
olukowe	autore	writer
olumojuto	avido	overseer
oluparapo	combinazione	joint
olusoju	guardia	ambassador
oluwakiri	esplorazione	explorer
olympus	olimpo	olympus
olódùmarè	onnipotente	almighty god
olóyè	righello	chief
olóṣèlú	politico	politics
olùbátan	questo contatto	relative
olùdarí	un capo	director
olùkópa	collaboratore	participant
olùkó	istruttore	teacher
olùkọ́	insegnante	teacher
omi	acqua	water
omiadalu	alluvione	mixture
onialjebra	onialjebra	of algebra
onibugbe	inquilino	population
onigbeja	costruttivo	allied
onigbowo	uno sponsor	sponsor
onigunfenfe	passivo	large angle
onilanaibagbepo	preservativo	constitutional
onilile	i proprietari di abitazione	solid
oninawo	mutuatario	financial
onipin	razionale	even
onisayensi	tecnico	scientific
onisowo	commerciante	trader
oniyewumeji	binario	two-chamber
oniyijulo	eccezionale	highest honour
onje	dieta	food
onka	calcolatrice	counter
onígbàgbó	vecchio uomo	believer
oníkólóbó	abusivo	onikolobo (place)
onílẹ̀	giù	land owners; citizens (omo onile)
oníná	fuoco	electronic
onítumò	traduttore	meaning
onítèbọmi	il battezzato	baptist
onítòhùn	contabile	that person
oníwòsàn	il guaritore	doctor
oníyanjù	animato	persevere
ooni	coccodrillo	ooni (king)
ootọ́	vero	truth
opec	opec	opec
opposite	di fronte	odi
ori	testa	top
oriire	congratulazioni	success
oriki	orientale	name of endearment
orileede	la nazione	country
orileedeajoba	imperialismo	monarchic country
orilejoba	governo	seat of government, kingdom
orileominira	calore	republic
orinìyìn	una canzone	songs of praise
orisirisi	varietà	various
orisun	fonte	source
orisa	origini	god
oritameta	nel mezzo	crossway
orudnun	annuale	mispelled...should orundun, century
oruko	sostantivo	name
oríilè	nazionale	land
oríilẹ̀	articolo	land
oríkì	poesia	family name
orílèèdè	nazione	country
orílẹ̀	nazione	continent
orílẹ́	sera	nation
orísiirísi	vario	various
orísìí	varietà	type
orísìírísi	tipi diversi	various
orúko	il campo	name
oscar	oscar	oscar
oseluarailu	civile	political unit
otherwise	altrimenti	ibaje
otutu	molti	coldness
oun	lui	it
owojagidijagan	terroristi	upheaval
oúnjẹ	cibo	food
odún	l&#39;anno	year
ojó	è piovoso	day
okùnrín	risata	man
olórun	dio	god
olósìn	religioso	rearing
odun	annuale	year
olorun	dio	god
omonìyàn	esseri umani	human beings
opolo	molti	brain
ose	ose	week
oyé	il mondo	harmattan
ofò	buongiorno	nothingness
opolo	molti	brain
paa	spegni	back
paapaa	particolarmente	especially
padá	baccello	go back
palauan	palauan	palauan
panaˈma	panama	panama
panyanan	lo spazio	spanish
papa	papà	specifically
parapọ̀	miscela	join
paripari	la fine	finally
pele	affascinante	hello
penh	penh	penh
penisula	penisola	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	perla	with
phillipines	filippine	phillipines
pinsi	in calo	divided
pinsoto	pinoto	separated
pinu	determinato	decide
pipo	tanto	plenty
pipolongo	annuncio pubblicitario	publicise
piposi	un sacco	multiplication
platos	platos	plato's
plánẹ́tì	piombatura	planet
po	po	share
pojulo	il più alto	larger
polandi	polacco	poland
polaroid	polaroid	polaroid
population	popolazione	ero
portonovo	portonovo	porto novo
portuguese	portoghese	portuguese
press	stampa	press
produced	prodotta	yo
protokolu	protocolu	protocol
proton	protone	kemika alaropo
providence	provvidenza	providence
príncipe	príncipe	principe
pupa	rosso	red
px|kùránì	px | kernel	koran or quran; the px  does not belong
pàmò	in particolare	pamo (town)
pàràkòyí	subito	parakoyi
pààlà	un confine	signalised
pàápàá	particolarmente	especially
pásíà	la cantina	persia
pátáporongodo	assolutamente	entire
pè	chiamato	that
pèhìndà	sperma	turned back
pèlu	insieme a	with
pèlúpèlú	anche	in addition
pèsè	fornito	provide
pé	quello	that
péré	solo	only
péé	quello	that
pípa	macello	order
pípèsè	fornitura	providing
pípẹ́	lungo	long
pòwe	proverbi	to say a proverb or wise saying
pò	piegare	join
púpo	troppo	much
púpò	piuttosto	a lot
quran	corano	quran
ra	acquistare	self
race	gara	ere
rajya	speranza	rajya
ramadan	ramadan	ramadan
rank	rango	ipo
reggae	reggae	reggae
repeats	ripete	tunso
repetejulo	il più sensibile	most of all
rere	bene	success
research	ricerca	agbeyewo
richard	richard	richard
right|thumb|px|aworan	destra | pollice | px | immagine	picture
rinle	recentemente	emphasise
riresile	registratore	humbled, lowered
riro	immaginazione	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rna	rnas
ro	pensare	thought
robinson	robinson	robinson
roboto	superfici	round
rogbodiyan	rivolta	riot
rokirika	navigazione	publicise
roko	mob	farm work
roma	roma	roma
rome	cromo	rome
ronald	ronald	ronald
rorùn	facile	easy
rossii	rossii	rossii
rural	rurale	igberiko
ryan	ryan	ryan
ráhàn	apparso	complain
ránmú	preoccupazione	grumble
république	république	republic
ré	c	his/her
rìn	camminare	should be orin, song or music
ròyìn	segnalati	give account
rẹ	sua	it
saarc	rimuovere	saarc
saaree	superiore	after death
saarland	sul pavimento	saarland
safari	safari	safari
saffana	zaffiro	savannah
safiwe	confronto	describe
safta	allineare	safta
saheli	convenienza	sahel
sakyamuni	il prossimo	sakyamuni
sakyas	sakya	sakyas
salem	salem	salem
salàyé	vita	explained
sambia	gioventù	zambia
samioro	a disposizione	signal
santa	santa	santa
say	dire	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	mare	odo
seat	posto a sedere	itedo
segbese	possibilmente	take steps
seidamo	chiaro	identify
semolara	asma	accustom
semudaju	ovviamente	assure
senegal	senegal	senegal
sense	senso	sensi
seville	siviglia	seville
sewadi	ricerca	investigate
sharon	sharon	sharon
sibesibe	ancora	further more
sihamoni	struttura	sihamoni
sile	dietro a	previously
silè	gocce	on the ground
sinai	peccato	sinai
sinsin	religione	unshakably
sioux	sioux	sioux
sise	cucinando	works
sisodagba	crescendo	came of age
sisopo	linking	joined
sisupapoerekusu	sputare	neighbouring islands
sisupo	moltiplicare	concentrated
slovo	slovo	slovo
so	amore	turned
sohun	sì	something
solomon	salomone	solomon
soon	presto	lai'pe
sopin	fine	ended
so	così	tells
spectacular	spettacolare	damanran
stella	stella	stella
structures	strutture	igbekale
suez	suez	suez
sugbo	ma no	but
sugbọ́n	razionale	but, however
sun	sole	sleep
suny	suny	suny
swahili	swahili	swahili
symmetry	simmetria	ogbooga
sàbúrí	soprattutto	saburi
sàmì	un segno	signalize
sàn	meglio è	flow
sàngó	banda	sango (god of thunder)
sàì	bene	un
sápadè	questo giorno	run to
sáàpàdé	sponsorizzazione	saapade
sáààrin	nel mezzo	between
são	quello nuovo	sao
sèle	furto	down
ségun	piangere	conquered
sénégal	sperma	senegal
séyìn	indietro	back
séyìn	indietro	at the back of
sìbẹ̀	ancora	there
sìni	gamberetto	likewise
síbèsíbè	tuttavia	further more
síbú	a terra	ocean
sílẹ̀	deludere	drop
síse	lavoro	doing
síso	ancora	spoken
síso	ancora	saying
síta	al di fuori	outing
síwon	loro	to them
síwájú	in avanti	comes before
síí	qui	on it
sòrò	lavaggio del cervello	talk
sójà	soldato	soldier
sóko	pianta	to the farm
sùgbón	anzi	but
sọ	dire	lose
si	certamente	to
síse	struttura	performing
sùgbón	anzi	but
se	loro fanno	do
sepò	finalmente	cooperation
sisé	allenarsi	work
sááju	prenditi un minuto	before
sísa	s	to be
sísè	traduzione	step
tabi	o	or
tabili	tavolo	table
tabora	evitare	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	vincoli	valiant
talaka	povero	poor
talika	povertà	the poor
tara	nove	wholly
tata	filtro	wildly
taínos	taínos	tainos
technology	tecnologia	tekinoloji
tedo	incontri	stay
teksas	texas	texas
tele	azione supplementare	before
temptation	in cerca di	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	il	does no directly translate
they	essi	won
those	quelli	awon
thumb|left|upright|nelson	pollice | sinistra | verticale | nelson	apa osi naro
tira	teso	quranic verse
tirana	tirana	tirana
tirè	il suo	own
titu	sparare	cold (if it's a person's name, it is tutu)
tiwọn	il loro	theirs
to	per	it
toje	raro	that is
tokasi	sottolineato	pointing to
tokyo	tokyo	tokyo
tolerejulo	tollerato	most profitable
tolórítelémù	olocausto	all manners of people
tomé	pomodoro	tome
tooto	veramente	true
tori	tori	because
torun	brunetta	heavenly
toseluaralu	politico	political
tounsejanu	tragico	control
traduite	traduite	traduite
translated	tradotto	tunmo
tumosi	si intende	means
tuntun	nuovo	new
tàsí	senza	or
tàwon	loro	theirs
táawà	inchinarsi	we
tèlé	azione supplementare	before
tètè	velocemente	quickly
tèlé	subito	follow
tèsíwájú	fare progressi	progress
té	t	follow
télè	di	before
té	t	shamed
títi	chiuso	till
títèlé	da seguire	following
títío	fino a	until
tíátà	biglietti	theater
tíórì	pneumatici	that is seen
tò	impostato	enough
tóbi	grande	big
tódárajùlọ	il migliore	most beautiful
tókù	riposo	others
tówùú	qualsiasi importo	whatever
tó	tó	taught
tóka	citato	pointed
tú	versare	untie
túmò	prugna	means
túnse	rearrange	restructured
tẹ̀ǹbẹ̀	poi	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	cospirare	bitterness
ucb	ucb	ucb
umueri	bambini	umueri
unifasiti	università	university
unla	sì	great
urasílì	uracile	uracil
uribe	l&#39;aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	la via	uzbek
venezuela	venezuela	venezuela
vermont	vermont	vermont
victor	vincitore	victor
videos	video	fidio
vihara	vihara	vihara
villa	villa	villa
viruses	virus	awon eran
visit	visitare	ibewo
vz	vz	vz
waa	è	ours
waju	viso	future
wari	odore	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	witkin	witkin
wiwari	scoperta	discovered
województwo	cheworddztwo	wojewodztwo
wole	registrati	into
woo	corteggiare	look
wo	qui	enter
wo	qui	look
won	loro	they
wura	oro	gold
wyoming	wyoming	wyoming
wàásù	predicare	preach
wì	lavare via	that
wípè	chiarezza	that
wòfún	grida	convenient
wònyí	questi sono	these
wón	loro	they
wúnrèn	allenarsi	small amount
wọn	loro	they
wọ̀nyí	questi	these
xd	xd	xd
xiv	xiv	xiv
yafran	alfabeto	yafran
yakubu	yakub	yakubu
yan	selezionare	choose
yanjú	risolvere	solve
yanturu	abbondanza	abundant
yaoundé	yaoundé	yaounde
yewo	miglioramento	examine
ye	si	suitable
ye	si	should
yindinyindin	mai smettere	brightly
yio	deve	will
yiowu	lo farà	any
yipada	girarsi	change
yiyafunnilo	erosione	borrow
yoo	volere	will
yori	guidato	result
york	york	york
yorúbà	yogurt	yoruba
yo	yo	remove
yànan	stupore	scattered
yàtò	impostare	other than
yára	sbrigati	quickly
yèwò	guarda	examine
yée	lasciarli	eplained to
yì	partire	this
yìí	questo	this
yí	girarsi	this
yíyípadà	modificare	changed
yíì	desideri	this
yíò	lo farà	it will
yẹ̀ẹ́	sai	check
yọ	rimuovere	bring out
zanzibar centralsouth	zanzibar centralsouth	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	lontano	bce
àbe	babbuino	under
àbámẹ́ta	giovedi	saturday
àbáyo	suggerimento	breakthrough
àbìkú	immortalità	'born to die' child
àbọ̀	metà	result
àdámò	vita privata	earmark
àdátá	l&#39;opposto	adata
àdáátán	esclusivo	adaatan
àdóolóró	olio	bomb
àgbàjọ	il vecchio	assembly
àgbàrá	alluvione	power
àgbáríjọ	organizzazione	combination
àgbékà	astratto	suitable
àgbéyèwò	revisione	examination
àgbìgbò	quartiere	a type of bird
àgbùdo	cortile	corn
àgọ́	tenda	ago
àifète	scopo	unable to keep quiet
àjo	viaggio	board
àjákọ	a parte	ajako
àjọṣepọ̀	sociale	union
àkosílè	astrazione	written
àkosílè	tesi	written account
àkàrà	torte	bean pudding
àká	scaffali	store
àkójopò	gruppo	collection
àkókó	il tempo	previous
àlàkalè	obiettivi	breakdown, explanation of actions
àlàyé	informazione	explanation
àlàáfíà	pace	peace
àlááfià	analogia	wellbeing
àlè	bastardo	mistress, concubine, (side booty)
àlèpò	sopra	joined together
àlébù	macchia	ills
àmérìkà	soprannaturale	america
àmì	cartello	sign
àmúlò	pratico	synonyms
àmúsorò	psicologia	resources
ànfàní	opportunità	opportunity
àpapọ̀	nel complesso	federal
àpeere	esempio	example
àrígbámú	inquietante	assistant
àrùn	patologia	disease
àrẹ	presidente	president
àse	festa	authority
àsàjemátèe	alba	cunning
àsèyìn	conseguenze	at the end
àsìkò	tempo	time
àsótélè	estensione	prophecy
àsọdọ̀kan	unità	unitary
àsekúdórógbó	abbaiare	do or die
àsà	costume	habit, culture, norm
àtijo	obsoleto	olden days
àtìpó	l&#39;alieno	sojourn
àtòrìnká	rotatoria	urinating while walking
àtúnse	modificare	modification
àtúnse	modificare	renovate, fix
àtẹnudẹ́nu	orale	oral
àwon	teorie	they
àwón	i soldi	the
àwón	i soldi	the
àwùjo	società	community
ààtò	rituale	suitability
ààyè	vivo	space
àárín	nel mezzo	middle
àáyá	sperma	seconds
àìkó	carenza	unlearned
àìní	volere	lack
àìròtélè	inaspettato	unthought of
àìsí	assenza	lack
án	t	it
áwon	fornicazione	those
èbà	zanzare	cassava flour food
èbúté	porta	shore
èdá	creazione	creature
èdè	linguaggio	language
èdè	linguaggio	language
èfòn	teso	efon
èhìn	il prossimo	outskirt
èka	ramo	branch
èkejì	l&#39;altro	second
èlò	utensili	tool
ènìkan	qualcosa	someone
èràn	patologia	virus
èrò	pensieri	thoughts
èsó	moschea	modesty
èsúrú	formiche	yam (indigenous to west africa)
ète	scopo	plan
èyì	dignità	this
èka	effetto	branch
èro	pensieri	machine
èrí	prova	witness
èsìn	religione	religion
èwù	camicia	clothe
èpón	monete	modifier
ìbarà	febbre	ibara (town)
ìbánisòrò	la connessione	dialogue
ìbáraeni	carrozza	to themselves
ìbílè	primogenitura	local
ìbílè	primogenitura	local
ìdàgbà	età adulta	grow
ìdàpapọ̀	consolidamento	union
ìdàrúdàpò	caos	misunderstanding
ìdá	cazzotto	division
ìdìmú	disturbo	branch, part
ìdíisin	causa	idi-isin
ìdíwòn	la tua ragione	criteria
ìdó	puntura	ido (a person's name)
ìfara	tortura	self
ìfojúìtànìgbesiayé	storia di vita	biography
ìfáàrà	un prete	introduction
ìgbonnìbí jé	è un disastro	igbonnibi
ìgbà	tempo	when
ìgbàgbé	dimentico	forgetfulness
ìgbá	ali	time
ìgbáraga	forza	pride
ìgbéraga	orgoglio	pride
ìgbésí	vita	life
ìgbò	montone	igbo people
ìhun	ferro	things
ìjo	danza	church
ìjo	la chiesa	church
ìjoba	governo	government
ìjora	odiare	resemblance
ìjìnlè	mistero	comprehensive
ìjìnlè	mistero	mysterious
ìjò	capo	consent
ìjọba	governo	government
ìkejì	l&#39;altro	second
ìkànna	lo stesso	ikanna (town)
ìkèrèkú	congestione	ikereku
ìkéde	dichiarazione	advert
ìkìjà	una sfida	ikija
ìkìlò	abuso	warning
ìkínin	il sesto	greetings
ìkẹrin	la quarta	fourth
ìkọpa	partecipazione	ikopa
ìlera	salute	health
ìlo	chiamata	use
ìlà	contorno	border
ìlànàn	illusione	procedure
ìlàorùn	ecchimosi	east
ìlàìnàró	oppressione	vertical
ìlè	corruzione	land
ìlé	casa	land
ìmò	serpente	knowledge
ìmò	fulmine	knowledge
ìmóbìdo	il diritto di nascita	imobido
ìmú	gengive	knowledge
ìmúnilérú	abusi	slavery
ìmúsára	rafforzare	contagious
ìnagije	vittoria	alias
ìnáwó	spesa	expenditure
ìpolongo	pubblicità	advertisement
ìpìlẹ̀núkléù	crittografia	base
ìpìnlè	l&#39;inizio	foundation
ìpínrò	paragrafi	economize
ìrànlọ́wọ́	aiuto	help
ìrànàna	aiuto	path-clearing
ìràwọ̀	le stelle	s
ìrí	esperienza	sight
ìròkò	pensiero	iroko
ìròyìn	notizia	news
ìròyìnwiki	notizia	wikinews
ìròrùn	illusioni	peaceful
ìró	suono	sound
ìrúbo	crollo	sacrifice
ìsawo	divinazione	divinity-practice
ìse	azione	behaviour
ìsinsìnyí	adesso	modern
ìsirò	calcolo	adding
ìsomó	unirsi	attachment
ìsàlè	tramonto	down town
ìsèlè	produzione	happening
ìsìn	religione	worship
ìsòrò	meditazione	speech
ìsòrí	suddivisione	chapter
ìsú	spessore	lump
ìsọ	negozi	stall
ìse	azione	work
ìsègbèfábo	diligenza	female support
ìsèdá	creazione	creation
ìsèjoba	governo	government
ìsílé	casa	house opening
ìsòro	difficoltà	problem
ìse	azione	action
ìta	al di fuori	outside
ìtaeko	laboratorio	outskirts of eko
ìtan	storia	story
ìtokò	la pentola	story
ìtàn	storia	history
ìtànkálé	inondazioni	spread
ìtèsíwájú	progresso	progress
ìtójú	cura	treatment
ìtóju	confusione	treatment
ìtójú	espressioni facciali	treatment
ìtóka	essere battuto	dictionary
ìtúmò	traduzione	meaning
ìtúpalè	traduzione	exposition
ìwe	confronto	book
ìwo	corna	horn
ìwàásù	predicazione	sermon
ìwéré	opuscolo	iwere (town)
ìwò	complessivamente	set
ìwòran	visione	viewing
ìwúlò	utile	usefulness
ìya	sofferenza	mother
ìyapa	separazione	divorce
ìyàwó	la sposa	wife
ìyípadà	conversione	transformation
ìṣèlú	politica	politics
ìṣẹ́kù	il promemoria	broken
ìṣọ̣̀tẹ̣̀	polmonite	rebellion
òde	al di fuori	society
òdeojú	senza volto	surface
òdo	gioventù	zero
òdìkejì	l&#39;altro	opposite
òféàrán	un&#39;immagine	a town name
ògbójú	competente	brave
ògiri	parete	wall
ògo	gloria	glory
ògun	medicinale	medicine
ògúndìpẹ̀	compatto	ogundipe
òjo	assomiglia a	ojo
òjísé	il dottore	servant
òkèògbún	un migliaio	oke-ogbun
òkòòkan	uno per uno	each
òkú	cadaveri	corpse
òkúta	una pietra	stone
òle	casalinga	lazy
òmiràn	lo stregone	other
òmùàrán	un&#39;immagine	omu-aran (town)
òní	oggi	today
òotó	verità	true
òpópóònà	strada	highway
òranyàn	obbligatorio	a must
òrìsà	idoli	god
òrí	capitolo	top
òrò	cervello	word
òsán	mezzogiorno	afternoon
òsèlú	politico	politics
òsèré	atleta	player
òwù	stoffa	owu
òṣèlú	politica	politician
òjògbón	tempo piovoso	learned person
òkan	uno	heart
òkòòkan	uno per uno	each
òpòlopò	molti	many
òré	gioco	friend
òfò	il prossimo	sorrowful
òpòlopo	molti	lot of
òré	gioco	friend
òrò	pensieri	word
òsà	pesce rosso	lagoon
òwó	i soldi	hand
òrò	pensieri	word
òròàjòmó	influenza	part of speech
ó	esso	that
óníse	lui è un designer	stricken
ósírísì	saliva	diverse
ósékú	lui è morto	die suddenly
ó	sì	word
ôdún	anno	year
únṣẹlẹ̀	terremoto	formed
şe	fare	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	øːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪkælɪfɔrnjə	not yoruba
ˌæləˈbæmə	malattia	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	apertura	work
ṣàkóbá	dannoso	incriminate
ẹdo	scherzare	edo
ẹlẹ́bùn	un regalo	award winner
ẹlẹ́sìn	religioso	religionist
ẹnìkan	una persona	someone
ẹsẹ	piedi	verse
ẹtì	fegato	friday
ẹ̀kaawon	osservazioni	branch of
ẹ̀kabrítánì	zio	part of britain
ẹ̀kajuly	maggio	chapter july
ẹ̀kaoṣù	spine	month
ẹ̀kasístẹ̀mù	soggettivo	sistemu=system
ẹ̀kẹ́ta	il terzo	third, the third
ẹ̀kọ́	formazione scolastica	teachings
ẹ̀ni	oms	person
ẹ̀rọ	macchinari	machine
ẹ̀wẹ̀	d&#39;altro canto	leaf
ọbàkàn	fratellastro	step-sister
ọdún	anno	year
ọlọ́mọ	bambini	members
ọlọ́run	un dio	god
ọmú	fai schifo	breast
ọmọ	bambino	c
ọn	esso	him
ọpọ́lọpọ́	fichi	many
ọ̀dọ́	gioventù	youth
ọ̀gbìn	pianta	seedlings
ọ̀nà	modo	ways
ọ̀pòlòpò	azione	various
ọ̀rọ̀	parlare	word
ọ̀sẹ	settimana	week
