aajo	ridículo	hospitality
oluda	creador	creator
oludase	productor	separatist
olukoitan	instructor	the writer
olukowe	autor	writer
olumojuto	codicioso	overseer
oluparapo	combinación	joint
olusoju	guardia	ambassador
oluwakiri	exploración	explorer
olympus	olimpo	olympus
olódùmarè	todopoderoso	almighty god
olóyè	regla	chief
olóṣèlú	político	politics
olùbátan	este contacto	relative
olùdarí	un líder	director
olùkópa	contribuyente	participant
olùkó	instructor	teacher
olùkọ́	profesor	teacher
omi	agua	water
omiadalu	inundar	mixture
onialjebra	onialjebra	of algebra
onibugbe	inquilino	population
onigbeja	constructivo	allied
onigbowo	un patrocinador	sponsor
onigunfenfe	pasivo	large angle
onilanaibagbepo	condón	constitutional
onilile	propietarios de viviendas	solid
oninawo	prestatario	financial
onipin	racional	even
onisayensi	técnico	scientific
onisowo	comerciante	trader
oniyewumeji	binario	two-chamber
oniyijulo	increíble	highest honour
onje	dieta	food
onka	calculadora	counter
onígbàgbó	anciano	believer
oníkólóbó	abusivo	onikolobo (place)
onílẹ̀	abajo	land owners; citizens (omo onile)
oníná	fuego	electronic
onítumò	traductor	meaning
onítèbọmi	los bautizados	baptist
onítòhùn	contador	that person
oníwòsàn	el curandero	doctor
oníyanjù	animado	persevere
ooni	cocodrilo	ooni (king)
ootọ́	cierto	truth
opec	opep	opec
opposite	opuesto	odi
ori	cabeza	top
oriire	felicidades	success
oriki	oriental	name of endearment
orileede	la nación	country
orileedeajoba	imperialismo	monarchic country
orilejoba	gobierno	seat of government, kingdom
orileominira	calor	republic
orinìyìn	una canción	songs of praise
orisirisi	variedad	various
orisun	fuente	source
orisa	orígenes	god
oritameta	en el medio	crossway
orudnun	anual	mispelled...should orundun, century
oruko	sustantivo	name
oríilè	nacional	land
oríilẹ̀	artículo	land
oríkì	poesía	family name
orílèèdè	nación	country
orílẹ̀	nación	continent
orílẹ́	noche	nation
orísiirísi	varios	various
orísìí	variedad	type
orísìírísi	diferentes tipos	various
orúko	el campo	name
oscar	oscar	oscar
oseluarailu	civil	political unit
otherwise	de otra manera	ibaje
otutu	muchos	coldness
oun	él	it
owojagidijagan	terroristas	upheaval
oúnjẹ	comida	food
odún	el año	year
ojó	está lluvioso	day
okùnrín	la risa	man
olórun	dios	god
olósìn	religioso	rearing
odun	anual	year
olorun	dios	god
omonìyàn	seres humanos	human beings
opolo	muchos	brain
ose	ose	week
oyé	el mundo	harmattan
ofò	buenos días	nothingness
opolo	muchos	brain
paa	apagar	back
paapaa	especialmente	especially
padá	vaina	go back
palauan	palauan	palauan
panaˈma	panamá	panama
panyanan	el espacio	spanish
papa	papá	specifically
parapọ̀	mezcla	join
paripari	el fin	finally
pele	encantador	hello
penh	penh	penh
penisula	penisula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	perla	with
phillipines	filipinas	phillipines
pinsi	declinante	divided
pinsoto	pinoto	separated
pinu	determinado	decide
pipo	mucho	plenty
pipolongo	anuncio	publicise
piposi	mucho	multiplication
platos	platos	plato's
plánẹ́tì	plomería	planet
po	correos	share
pojulo	el más alto	larger
polandi	polaco	poland
polaroid	polaroid	polaroid
population	población	ero
portonovo	portonovo	porto novo
portuguese	portugués	portuguese
press	prensa	press
produced	producido	yo
protokolu	protocolu	protocol
proton	protón	kemika alaropo
providence	providencia	providence
príncipe	príncipe	principe
pupa	rojo	red
px|kùránì	px | kernel	koran or quran; the px  does not belong
pàmò	específicamente	pamo (town)
pàràkòyí	inmediatamente	parakoyi
pààlà	un límite	signalised
pàápàá	especialmente	especially
pásíà	el sótano	persia
pátáporongodo	absolutamente	entire
pè	llamado	that
pèhìndà	semen	turned back
pèlu	junto con	with
pèlúpèlú	también	in addition
pèsè	previsto	provide
pé	ese	that
péré	solamente	only
péé	ese	that
pípa	sacrificio	order
pípèsè	provisión	providing
pípẹ́	largo	long
pòwe	proverbios	to say a proverb or wise saying
pò	doblez	join
púpo	demasiado	much
púpò	más bien	a lot
quran	corán	quran
ra	comprar	self
race	carrera	ere
rajya	esperanza	rajya
ramadan	ramadán	ramadan
rank	rango	ipo
reggae	reggae	reggae
repeats	se repite	tunso
repetejulo	el mas sensible	most of all
rere	bueno	success
research	investigación	agbeyewo
richard	ricardo	richard
right|thumb|px|aworan	derecha | pulgar | px | imagen	picture
rinle	recién	emphasise
riresile	grabadora	humbled, lowered
riro	imaginación	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	pensar	thought
robinson	robinson	robinson
roboto	superficies	round
rogbodiyan	alboroto	riot
rokirika	hojeada	publicise
roko	multitud	farm work
roma	roma	roma
rome	cromo	rome
ronald	ronald	ronald
rorùn	fácil	easy
rossii	rossii	rossii
rural	rural	igberiko
ryan	ryan	ryan
ráhàn	apareció	complain
ránmú	preocupación	grumble
république	république	republic
ré	c	his/her
rìn	andar	should be orin, song or music
ròyìn	reportado	give account
rẹ	su	it
saarc	eliminar	saarc
saaree	superior	after death
saarland	en el piso	saarland
safari	safari	safari
saffana	zafiro	savannah
safiwe	comparación	describe
safta	póngase en fila	safta
saheli	conveniencia	sahel
sakyamuni	el siguiente	sakyamuni
sakyas	sakyas	sakyas
salem	salem	salem
salàyé	vida	explained
sambia	juventud	zambia
samioro	disponible	signal
santa	papa noel	santa
say	decir	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	mar	odo
seat	asiento	itedo
segbese	posiblemente	take steps
seidamo	claro	identify
semolara	asma	accustom
semudaju	por supuesto	assure
senegal	senegal	senegal
sense	sentido	sensi
seville	sevilla	seville
sewadi	buscar	investigate
sharon	sharon	sharon
sibesibe	todavía	further more
sihamoni	estructura	sihamoni
sile	detrás	previously
silè	gotas	on the ground
sinai	pecado	sinai
sinsin	religión	unshakably
sioux	siux	sioux
sise	cocinando	works
sisodagba	creciendo	came of age
sisopo	enlace	joined
sisupapoerekusu	escupir	neighbouring islands
sisupo	multiplicar	concentrated
slovo	slovo	slovo
so	amor	turned
sohun	si	something
solomon	salomón	solomon
soon	pronto	lai'pe
sopin	final	ended
so	entonces	tells
spectacular	espectacular	damanran
stella	stella	stella
structures	estructuras	igbekale
suez	suez	suez
sugbo	pero no	but
sugbọ́n	racional	but, however
sun	dom	sleep
suny	suny	suny
swahili	swahili	swahili
symmetry	simetría	ogbooga
sàbúrí	sobre todo	saburi
sàmì	una señal	signalize
sàn	el mejor	flow
sàngó	pandilla	sango (god of thunder)
sàì	bien	un
sápadè	este día	run to
sáàpàdé	patrocinio	saapade
sáààrin	entre	between
são	el nuevo	sao
sèle	robando	down
ségun	llorar	conquered
sénégal	semen	senegal
séyìn	espalda	back
séyìn	espalda	at the back of
sìbẹ̀	todavía	there
sìni	camarón	likewise
síbèsíbè	sin embargo	further more
síbú	al suelo	ocean
sílẹ̀	dejar abajo	drop
síse	trabajo	doing
síso	todavía	spoken
síso	todavía	saying
síta	fuera de	outing
síwon	ellos	to them
síwájú	adelante	comes before
síí	aquí	on it
sòrò	lavar el cerebro	talk
sójà	soldado	soldier
sóko	planta	to the farm
sùgbón	de lo contrario	but
sọ	decir	lose
si	ciertamente	to
síse	estructura	performing
sùgbón	de lo contrario	but
se	ellas hacen	do
sepò	finalmente	cooperation
sisé	rutina de ejercicio	work
sááju	tómate un minuto	before
sísa	s .ía	to be
sísè	traducción	step
tabi	o	or
tabili	mesa	table
tabora	evitación	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	restricciones	valiant
talaka	pobre	poor
talika	pobreza	the poor
tara	nueve	wholly
tata	filtrar	wildly
taínos	taínos	tainos
technology	tecnología	tekinoloji
tedo	fechado	stay
teksas	texas	texas
tele	seguimiento	before
temptation	buscando	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	el	does no directly translate
they	ellos	won
those	aquellos	awon
thumb|left|upright|nelson	pulgar | izquierda | vertical | nelson	apa osi naro
tira	tiempo	quranic verse
tirana	tirana	tirana
tirè	su	own
titu	disparar	cold (if it's a person's name, it is tutu)
tiwọn	suyo	theirs
to	a	it
toje	raro	that is
tokasi	señaló	pointing to
tokyo	tokio	tokyo
tolerejulo	tolerado	most profitable
tolórítelémù	holocausto	all manners of people
tomé	tomate	tome
tooto	de verdad	true
tori	tori	because
torun	morena	heavenly
toseluaralu	político	political
tounsejanu	trágico	control
traduite	traducir	traduite
translated	traducido	tunmo
tumosi	medio	means
tuntun	nuevo	new
tàsí	sin	or
tàwon	ellos	theirs
táawà	inclinarse	we
tèlé	seguimiento	before
tètè	con rapidez	quickly
tèlé	inmediatamente	follow
tèsíwájú	progresar	progress
té	t	follow
télè	por	before
té	t	shamed
títi	cerrado	till
títèlé	seguir	following
títío	hasta	until
tíátà	entradas	theater
tíórì	llantas	that is seen
tò	conjunto	enough
tóbi	grande	big
tódárajùlọ	el mejor	most beautiful
tókù	descanso	others
tówùú	cualquier cantidad	whatever
tó	tó	taught
tóka	citado	pointed
tú	derramar	untie
túmò	ciruela	means
túnse	reorganizar	restructured
tẹ̀ǹbẹ̀	luego	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	conspirar	bitterness
ucb	ucb	ucb
umueri	niños	umueri
unifasiti	universidad	university
unla	si	great
urasílì	uracilo	uracil
uribe	el aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	la manera	uzbek
venezuela	venezuela	venezuela
vermont	vermont	vermont
victor	víctor	victor
videos	videos	fidio
vihara	vihara	vihara
villa	villa	villa
viruses	virus	awon eran
visit	visitar	ibewo
vz	vz	vz
waa	es	ours
waju	cara	future
wari	oler	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	witkin	witkin
wiwari	descubrimiento	discovered
województwo	locura	wojewodztwo
wole	registrarse	into
woo	cortejar	look
wo	aquí	enter
wo	aquí	look
won	ellos	they
wura	oro	gold
wyoming	wyoming	wyoming
wàásù	predicar	preach
wì	lavar	that
wípè	claridad	that
wòfún	vistazo	convenient
wònyí	estos son	these
wón	ellos	they
wúnrèn	rutina de ejercicio	small amount
wọn	ellos	they
wọ̀nyí	estas	these
xd	xd	xd
xiv	xiv	xiv
yafran	alfabeto	yafran
yakubu	yakub	yakubu
yan	seleccione	choose
yanjú	resolver	solve
yanturu	mucho	abundant
yaoundé	yaoundé	yaounde
yewo	mejora	examine
ye	si	suitable
ye	si	should
yindinyindin	nunca pares	brightly
yio	deberá	will
yiowu	va a	any
yipada	giro de vuelta	change
yiyafunnilo	erosión	borrow
yoo	será	will
yori	led	result
york	york	york
yorúbà	yogur	yoruba
yo	yo	remove
yànan	asombro	scattered
yàtò	preparar	other than
yára	darse prisa	quickly
yèwò	mira	examine
yée	déjalos	eplained to
yì	vamos	this
yìí	esta	this
yí	giro de vuelta	this
yíyípadà	cambio	changed
yíì	vas a	this
yíò	va a	it will
yẹ̀ẹ́	ya sabes	check
yọ	eliminar	bring out
zanzibar centralsouth	zanzíbar central sur	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	lejos	bce
àbe	babuino	under
àbámẹ́ta	jueves	saturday
àbáyo	sugerencia	breakthrough
àbìkú	inmortalidad	'born to die' child
àbọ̀	medio	result
àdámò	intimidad	earmark
àdátá	lo contrario	adata
àdáátán	exclusivo	adaatan
àdóolóró	petróleo	bomb
àgbàjọ	el viejo	assembly
àgbàrá	inundar	power
àgbáríjọ	organización	combination
àgbékà	resumen	suitable
àgbéyèwò	revisión	examination
àgbìgbò	barrio	a type of bird
àgbùdo	yarda	corn
àgọ́	tienda	ago
àifète	propósito	unable to keep quiet
àjo	viaje	board
àjákọ	aparte	ajako
àjọṣepọ̀	social	union
àkosílè	abstracción	written
àkosílè	tesis	written account
àkàrà	pasteles	bean pudding
àká	estantería	store
àkójopò	grupo	collection
àkókó	el tiempo	previous
àlàkalè	metas	breakdown, explanation of actions
àlàyé	información	explanation
àlàáfíà	paz	peace
àlááfià	analogía	wellbeing
àlè	bastardo	mistress, concubine, (side booty)
àlèpò	encima	joined together
àlébù	defecto	ills
àmérìkà	sobrenatural	america
àmì	firmar	sign
àmúlò	práctico	synonyms
àmúsorò	psicología	resources
ànfàní	oportunidad	opportunity
àpapọ̀	como un todo	federal
àpeere	ejemplo	example
àrígbámú	perturbador	assistant
àrùn	enfermedad	disease
àrẹ	presidente	president
àse	banquete	authority
àsàjemátèe	amanecer	cunning
àsèyìn	secuelas	at the end
àsìkò	hora	time
àsótélè	extensión	prophecy
àsọdọ̀kan	unidad	unitary
àsekúdórógbó	ladrar	do or die
àsà	personalizado	habit, culture, norm
àtijo	obsoleto	olden days
àtìpó	el alien	sojourn
àtòrìnká	alrededor de	urinating while walking
àtúnse	editar	modification
àtúnse	editar	renovate, fix
àtẹnudẹ́nu	oral	oral
àwon	teorías	they
àwón	el dinero	the
àwón	dinero	the
àwùjo	sociedad	community
ààtò	ritual	suitability
ààyè	viva	space
àárín	en el medio	middle
àáyá	semen	seconds
àìkó	deficiencia	unlearned
àìní	querer	lack
àìròtélè	inesperado	unthought of
àìsí	ausencia	lack
án	t	it
áwon	fornicación	those
èbà	mosquitos	cassava flour food
èbúté	puerto	shore
èdá	creación	creature
èdè	idioma	language
èdè	idioma	language
èfòn	tiempo	efon
èhìn	el siguiente	outskirt
èka	rama	branch
èkejì	el otro	second
èlò	utensilios	tool
ènìkan	alguna cosa	someone
èràn	enfermedad	virus
èrò	pensamientos	thoughts
èsó	mezquita	modesty
èsúrú	hormigas	yam (indigenous to west africa)
ète	propósito	plan
èyì	dignidad	this
èka	efecto	branch
èro	pensamientos	machine
èrí	evidencia	witness
èsìn	religión	religion
èwù	camisa	clothe
èpón	mucho	modifier
ìbarà	fiebre	ibara (town)
ìbánisòrò	la conexión	dialogue
ìbáraeni	carro	to themselves
ìbílè	patrimonio	local
ìbílè	patrimonio	local
ìdàgbà	edad adulta	grow
ìdàpapọ̀	consolidación	union
ìdàrúdàpò	caos	misunderstanding
ìdá	deserción	division
ìdìmú	disturbio	branch, part
ìdíisin	porque	idi-isin
ìdíwòn	tu razón	criteria
ìdó	picadura	ido (a person's name)
ìfara	tortura	self
ìfojúìtànìgbesiayé	historia de vida	biography
ìfáàrà	un sacerdote	introduction
ìgbonnìbí jé	es un desastre	igbonnibi
ìgbà	hora	when
ìgbàgbé	olvidadizo	forgetfulness
ìgbá	alas	time
ìgbáraga	fuerza	pride
ìgbéraga	orgullo	pride
ìgbésí	vida	life
ìgbò	ram	igbo people
ìhun	hierro	things
ìjo	baile	church
ìjo	la iglesia	church
ìjoba	gobierno	government
ìjora	odio	resemblance
ìjìnlè	misterio	comprehensive
ìjìnlè	misterio	mysterious
ìjò	líder	consent
ìjọba	gobierno	government
ìkejì	el otro	second
ìkànna	lo mismo	ikanna (town)
ìkèrèkú	congestión	ikereku
ìkéde	declaración	advert
ìkìjà	un reto	ikija
ìkìlò	abuso	warning
ìkínin	el sexto	greetings
ìkẹrin	el cuarto	fourth
ìkọpa	participación	ikopa
ìlera	salud	health
ìlo	llamada	use
ìlà	contorno	border
ìlànàn	espejismo	procedure
ìlàorùn	hematomas	east
ìlàìnàró	opresión	vertical
ìlè	soborno	land
ìlé	hogar	land
ìmò	serpiente	knowledge
ìmò	relámpago	knowledge
ìmóbìdo	el derecho de nacimiento	imobido
ìmú	cena	knowledge
ìmúnilérú	abusos	slavery
ìmúsára	para fortalecer	contagious
ìnagije	victoria	alias
ìnáwó	gasto	expenditure
ìpolongo	publicidad	advertisement
ìpìlẹ̀núkléù	cifrado	base
ìpìnlè	el principio	foundation
ìpínrò	párrafos	economize
ìrànlọ́wọ́	ayuda	help
ìrànàna	ayuda	path-clearing
ìràwọ̀	las estrellas	s
ìrí	experiencia	sight
ìròkò	pensamiento	iroko
ìròyìn	noticias	news
ìròyìnwiki	noticias	wikinews
ìròrùn	espejismo	peaceful
ìró	sonido	sound
ìrúbo	colapso	sacrifice
ìsawo	adivinación	divinity-practice
ìse	acción	behaviour
ìsinsìnyí	ahora	modern
ìsirò	cálculo	adding
ìsomó	unir	attachment
ìsàlè	puesta de sol	down town
ìsèlè	producción	happening
ìsìn	religión	worship
ìsòrò	meditación	speech
ìsòrí	subdivisión	chapter
ìsú	grosor	lump
ìsọ	tiendas	stall
ìse	acción	work
ìsègbèfábo	diligencia	female support
ìsèdá	creación	creation
ìsèjoba	gobierno	government
ìsílé	hogar	house opening
ìsòro	dificultad	problem
ìse	acción	action
ìta	fuera de	outside
ìtaeko	taller	outskirts of eko
ìtan	historia	story
ìtokò	la olla	story
ìtàn	historia	history
ìtànkálé	inundaciones	spread
ìtèsíwájú	progreso	progress
ìtójú	cuidado	treatment
ìtóju	confusión	treatment
ìtójú	expresiones faciales	treatment
ìtóka	ser golpeado	dictionary
ìtúmò	traducción	meaning
ìtúpalè	traducción	exposition
ìwe	comparación	book
ìwo	cuernos	horn
ìwàásù	predicación	sermon
ìwéré	folleto	iwere (town)
ìwò	en general	set
ìwòran	visión	viewing
ìwúlò	útil	usefulness
ìya	sufrimiento	mother
ìyapa	separación	divorce
ìyàwó	la novia	wife
ìyípadà	conversión	transformation
ìṣèlú	política	politics
ìṣẹ́kù	el resto	broken
ìṣọ̣̀tẹ̣̀	neumonía	rebellion
òde	fuera de	society
òdeojú	sin rostro	surface
òdo	juventud	zero
òdìkejì	el otro	opposite
òféàrán	una imagen	a town name
ògbójú	competente	brave
ògiri	pared	wall
ògo	gloria	glory
ògun	medicamento	medicine
ògúndìpẹ̀	en polvo	ogundipe
òjo	parece	ojo
òjísé	el doctor	servant
òkèògbún	mil	oke-ogbun
òkòòkan	uno a uno	each
òkú	cuerpos	corpse
òkúta	una piedra	stone
òle	ama de casa	lazy
òmiràn	el hechicero	other
òmùàrán	una imagen	omu-aran (town)
òní	hoy	today
òotó	verdad	true
òpópóònà	la carretera	highway
òranyàn	obligatorio	a must
òrìsà	ídolos	god
òrí	capítulo	top
òrò	cerebro	word
òsán	mediodía	afternoon
òsèlú	político	politics
òsèré	atleta	player
òwù	paño	owu
òṣèlú	política	politician
òjògbón	clima lluvioso	learned person
òkan	uno	heart
òkòòkan	uno a uno	each
òpòlopò	muchos	many
òré	juego	friend
òfò	el siguiente	sorrowful
òpòlopo	muchos	lot of
òré	juego	friend
òrò	pensamientos	word
òsà	pez de colores	lagoon
òwó	dinero	hand
òrò	pensamientos	word
òròàjòmó	inclemencias del tiempo	part of speech
ó	eso	that
óníse	el es diseñador	stricken
ósírísì	saliva	diverse
ósékú	está muerto	die suddenly
ó	si	word
ôdún	año	year
únṣẹlẹ̀	terremoto	formed
şe	hacer	do
ʔaːnaːtɕɑ̀k	buscar	not yoruba
ˈøːstəˌʁaɪç	ˈøːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	enfermedad	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	apertura	work
ṣàkóbá	perjudicial	incriminate
ẹdo	broma	edo
ẹlẹ́bùn	un regalo	award winner
ẹlẹ́sìn	religioso	religionist
ẹnìkan	una persona	someone
ẹsẹ	pies	verse
ẹtì	hígado	friday
ẹ̀kaawon	presentaciones	branch of
ẹ̀kabrítánì	tío	part of britain
ẹ̀kajuly	mayo	chapter july
ẹ̀kaoṣù	espinoso	month
ẹ̀kasístẹ̀mù	subjetivo	sistemu=system
ẹ̀kẹ́ta	el tercero	third, the third
ẹ̀kọ́	educación	teachings
ẹ̀ni	oms	person
ẹ̀rọ	maquinaria	machine
ẹ̀wẹ̀	por otra parte	leaf
ọbàkàn	medio hermano	step-sister
ọdún	año	year
ọlọ́mọ	niños	members
ọlọ́run	un dios	god
ọmú	eres un inútil	breast
ọmọ	niño	c
ọn	eso	him
ọpọ́lọpọ́	higos	many
ọ̀dọ́	juventud	youth
ọ̀gbìn	planta	seedlings
ọ̀nà	camino	ways
ọ̀pòlòpò	acción	various
ọ̀rọ̀	hablar	word
ọ̀sẹ	semana	week
