$ tỉ	milliárd dollár	$ billion
cọc	halom	pile
cọp	tigris	tiger
cỏ	fű	plant
cố	próbáld ki	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	a kupa	cereal
cối	habarcs	mortar
cốm	rögök	grilled rice
cống	csatorna	dedicate
cồn	alkohol	i
cồng	gong	gong
cổng	kapu	gate
cỗ	fedélzet	engine
cỗi	makacs	barren
cộ	közúti	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	régi	origin
cộng	plusz	to add (v.)
cột	oszlop	pole
cớ	mentség	excuse
cờ	zászló	flag
cỡ	méret	size
cợt	tréfál	"(term should be ""đùa cợt"") to trifle (v.)"
cục	osztály	department
cụm	fürt	cluster
cụp	amputált	down
cụt	amputált	"(should be ""xương cụt"") the tailbone or coccyx"
củ	gumók	a bulb, a botanical term
của	a	of
củi	tűzifa	firewood
củng	szintén	reinforce
cứ	tovább	any
cức	turbékol	"(term should be ""cức Đê"") a character in chinese history"
cứng	kemény	hard
cứngi	hardi	cungi
cừ	pólusok	nacre
cừu	bárány	sheep
cửa	ajtó	door
cửu	szorzás	nine
cữ	cu	abstinence
cữu	érckoporsó	nine
cự	távolság	against
cựa	sarkantyú	retreat
cực	pólus	extreme
cựu	korábbi	former
d	d	d.
da	bőr	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	kemény	persistent
daily	napi	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	da lat	da lat
dampier	dampier	(proper noun) dampier, a last name
dan	dan	dan
dancing	tánc	dancing
danger	veszély	danger
danh	név	list
daniel	daniel	daniel
dante	dante	dante
dao	kés	poniard
darwin	darwin	darwin
das	das	das
dassault	dassault	(proper noun) dassault
date	dátum	date
dau	olaj	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	dékán	a name
degree	fokozat	degree
delhi	delhi	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	démétér	(proper noun) demeter, the greek goddess of the harvest
den	barlang	den
dennis	dennis	dennis
department	osztály	departmen
derek	derek	derek
des	des	des
descartes	descartes	descartes
design	thiết kế	thiet ke
deuterium	deutérium	deuterium
deutschland	deutschland	deutschland
dewan	dewan	dewan, as in dewan rakyat
dewitt	dewitt	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diana	(proper noun) diana, as in diana ross
die	meghal	german
diego	diego	diego
dien	őrült	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	palota	official residence or palace
dionysus	dionüszosz	dionysus, as in the greek god
discovery	felfedezés	discovery
discussion	vita	discussion
disneyland	disneyland	disneyland
division	osztály	division
divoire	divoire	d'lvoire
diêm	gyufa	diem vuong
diên	őrült	"(term should be ""kinh diên"") canon (n.)"
diềm	ágyfüggöny	matches
diều	sárkány	kite
diểu	komédia	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	március	parade
diệc	gém	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	arc	face to face
diệt	megöl	to kill or destroy (v.)
diệu	varázslat	effective (adj.)
djibouti	djibouti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	által	because of
doanh	közös	"(term should be ""kinh doanh"") business (n.)"
doc	doc	doc
docherty	docherty	docherty
dolly	babácska	(proper noun) dolly, as in singer dolly parton
dome	kupola	nha
dominican	dominikánus	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	fenyegető	threat
dp	dp	dp
dracula	drakula	dracula
draft	vázlat	draft
drake	gácsér	(proper noun) drake
driver	sofőr	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	du	travel
dubai	dubai	dubai
duiker	duiker	duiker
duk	duk	duk
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore
dung	trágya	portrait
durham	durham	durham
dursley	dursley	dursley
duy	csak	only
duyên	eleve elrendelt	coastal
duyện	feltörekvő	fellatio
duyệt	böngésző	browser
duơng	duong	ocean
duẩn	duan	duan
duật	duat	duat
duệ	leszármazottak	descendants (n.)
duỗi	kiegyenesedik	stretch
dwight	dwight	dwight
dà	dah	gradually
dài	hosszú	to lengthen, as in time
dàn	staging	to arrange
dàng	könnyen	dang
dành	költött	for
dào	bőséges	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	vastag	thick
dái	pisi	"penis (n.), although some may use the term to mean ""testicles"""
dám	merészel	dare
dán	paszta	stick
dáng	alak	appearance
dát	intarziás	inlay
dâm	erkölcstelen	lustful (adj.)
dân	emberek	people
dâng	ajánlat	dedicate
dây	zsinór	nerve
dã	vad	chronicle
dãi	megengedő	band
dãn	kitágult	extend
dãy	hatótávolság	a row (n.)
dè	légy óvatos	tight
défense	védelem	defense
dép	szandál	slipper
dê	kecske	goat
dì	néni	aunt
dìu	diu	to lead by the hand (v.)
dính	ragadós	stick
dò	keresés	(with word tham) to survey
dòm	néz	snoop
dòng	jelenlegi	"(term should be ""dòng họ"") family (n.)"
dó	hogy	a type of plant used to make paper in vietnam (n.)
dông	zivatar	a storm (n.)
dõi	vágány	monitor
dù	bár	though
dùi	lyukasztóár	awl
dùng	használat	use
dăm	forgács	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	természetesen	why
dĩa	lemez	dish
dũng	bátor	courage
dơ	piszkos	dirty
dơi	denevérek	bat
dư	maradó	remnant
dưa	sárgadinnye	melons
dưng	álljon meg	suddently
dương	pozitív	penis
dường	látszik	seem
dưỡng	gondozás	feed
dược	gyógyszertár	having to do with medicine (adj.)
dượng	nagybácsi	uncle
dạ	igen	night
dại	bolond	stupid or idiotic (adj.)
dạn	rettenthetetlen	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	formátum	tyoe
dạo	séta	vending
dạt	mosogatott	to drift
dạy	tanít	teach
dải	szalag	range
dấm	ecet	vinegar
dấp	botladozó	shape
dấu	jel	signal
dấy	izgató	to raise (v.)
dần	fokozatosan	people
dầu	olaj	oil
dẫm	trapp	step on
dẫn	útmutató	to lead
dẫu	bár	though
dận	nagynéni	to step on
dậu	kakas	rooster
dậy	felkelni	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	vezet	lead
dằn	ballaszt	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	kitartó	dằng dai= long/endless
dẳng	kitartó	persist
dặm	mérföld	mile
dặn	megrendelt	to advise (v.)
dặt	rendelés	conservative
dẹp	kudarcba fullad	pacify
dẹt	lakás	flat
dẻ	gesztenye	chestnut
dẻo	plasztikusság	flexible
dế	tücskök	cricket
dền	bársonyvirág	beetroot
dể	könnyen	easy
dễ	könnyen	easy
dệt	fonás	textile
dị	különösség	simple
dịch	fordít	semen
dịp	alkalom	occasion
dịu	érett	ease
dọa	fenyegető	to threaten or scare (v.)
dọc	függőleges	along
dỏm	szellemes	witty
dốc	lejtő	slope
dối	fekszik	lie
dốt	tudatlan	stupid or ignorant (adj.)
dồi	bőséges	"(term should be ""trau dồi"") improve (v.)"
dồn	sarokba szorított	accrue
dỗ	koaxiális	dirty
dời	mozog	leave
dở	rossz	incomplete
dỡ	kirakodás	remove
dụ	például	example
dục	szex	sexuality
dụng	használat	use
dứa	ananász	pineapple
dứt	álljon meg	to cease
dừa	kókuszdió	coconut (n.)
dừng	álljon meg	to cease
dữ	adat	"(term should be ""giận dữ"") anger (n.)"
dự	kivetített	attend
dựa	székhelyű	base on
dực	férfi	dực, as in lê tương dực
dỹ	dy	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	earles	earles
eaton	eaton	eaton
ebro	ebro	a name
ecmascript	ecmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	él	edge
edinburgh	edinburgh	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	szerkesztő	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	egt	eea
efron	efron	efron, as in zac efron
egypt	egyiptom	egypt
eid	eid	(proper noun) eid
eiffel	eiffel	eiffel
einstein	einstein	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	elektronikus	electronic
eliane	eliane	(proper noun) eliane
elip	ellipszis	ellipse
elizabeth	erzsébet	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	ellipszis	ellipse
em	ön	younger sibling
email	email	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	emír	emir
emmy	emmy	emmy
en	en	erica reef
energy	energia	energy
engels	engels	engels
england	anglia	(proper noun) england, as in new england
eniac	eniac	eniac
entente	antant	entente
entropy	entrópia	entropy
enzym	enzim	enzymes
eo	derék	eo, as in the film captain eo
ep	ep	a name
erich	erich	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	ernest	(proper noun) ernest
eros	eros	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	alapvető	essential
ethernet	ethernet	ethernet
ethiopia	etiópia	(proper noun) ethiopia
euclid	eukleidész	euclid
eugene	eugene	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	euro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	európa	europe
european	európai	(proper adjective) european
eva	eva	eva
everton	everton	everton
every	minden	every
exgay	exgay	exgay
explorer	felfedező	explorer
extensive	kiterjedt	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	tény	fact
facto	facto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	jellemzők	features
federer	federer	federer
feet	láb	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fiat	fiat
fidel	fidel	fidel
field	terület	field
fifa	fifa	fifa
fifpro	fifpro	fifpro
figo	figo	figo
fiji	fidzsi-szigetek	fiji
finish	befejez	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	fischer	fischer, as in louis fischer
fish	hal	fish
fishbed	fishbed	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	oldalbástya	flanker
fleming	flamand	fleming
flight	repülési	flight
foch	foch	(proper noun) foch
focus	fókusz	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	étel	food
football	futball	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	gázló	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	villa	forks
foundation	alapítvány	foundation
fox	róka	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	frank	franc
france	franciaország	france
frances	frances	frances
francis	francis	francis, as in francis xavier
francisco	francisco	francisco
franco	franco	franco
frank	őszinte	frank
frankfurt	frankfurt	(proper noun) frankfurt
franklin	franklin	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	freud	(proper noun) freud, as in sigmund freud
friedman	friedman	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	funimation	(proper noun) funimation
funk	félelem	funk
futsal	futsal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarin	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	gramm	gam
gambia	gambia	gambia
gamow	gamow	a name
gan	máj	liver
gandhi	gandhi	gandhi, as in mahatma gandhi
gang	banda	cast iron
ganh	irigy	to be jealous
gao	rizs	strictly
gareth	gareth	a name
garrett	padlásszoba	garrett
gary	gary	gary
gascon	nagyzoló	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	homoszexuális	tense
gaza	gaza	gaza
gdańsk	gdansk	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	gésa	geisha
gen	gének	gene
gene	gén	(proper noun) gene, an english first name
genesis	keletkezés	(proper noun) genesis
georg	georg	(proper noun) georg
george	györgy	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ger	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	német	german
germany	németország	germany
gerrard	gerrard	gerrard, a last name
ghana	ghána	(proper noun) the african country of ghana
ghe	hajó	canoe
ghen	irigy	to be jealous (v.)
ghi	írd a	write
ghim	tű	pin
ghé	álljon meg	visit
ghép	graft	fit
ghê	borzalom	disgust
ghì	ghi	tighten
ghẻ	rüh	scabies (n.)
ghế	szék	chair
ghề	zuhatag	scabby
ghềnh	zuhatag	waterfall (n.)
gia	gia	date
giai	színpad	period
giam	börtön	imprison
gian	tér	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	gibraltár	(proper noun) gibraltar
gichin	gichint	gichin
gieo	koca	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	férgek	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	giza	giza
già	régi	old (adj.)
giàn	köteg	"(term should be ""giàn hoa"") a trellis girder"
giành	mohón	secure
giàu	gazdag	rich or wealthy (adj.)
giày	cipő	a shoe
giá	ár	estimate
giám	rendező	"(term should be ""giám sát"") to supervise (v.)"
gián	csótányok	"(term should be ""gián tiếp"") indirectly"
giây	másodperc	seconds
giã	dobogás	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	kitágít	stretch
gièm	ellenzői	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	jézus	jesus
giêxu	kapcsolat	jesus
giò	tavaszi tekercs	leg
giòi	kukacok	maggot (n.)
giòn	ropogós	crunchy or crispy (adj.)
gió	szél	wind
gióng	mint	align
giúp	segítség	help
giũa	fájl	sharpen
giơ	megtorlódik	raise
giương	lobogó	posture
giường	ágy	bed
giả	hamisítvány	fake (adj.)
giải	megoldás	solution
giảm	csökkentés	decrease
giản	egyszerűsített	"(term should be ""giản dị"") simple (adj.)"
giấc	alvás	giấc ngủ= the sleep
giấm	ecet	drabble
giấu	elrejt	hide
giấy	papír	paper
giầu	gazdag	rich
giận	mérges	angry
giằng	frissítő	pull
giặc	ellenség	enemy
giặt	mosás	to wash (n.)
giếng	jól	well
giết	megöl	kill
giềng	szomszéd	"(term should be ""láng giềng"") neighboring"
giễu	gúny	ridicule
giọng	tónus	tone
giọt	csepp	drop
giỏ	kosár	basket
giỏi	nagy	good
giồng	giong	mound
giỗ	halál évfordulója	anniversaries of deaths
giới	nem	gender
giờ	órák	bao giờ=ever
giở	vaku	to open or unfold (v.)
giỡn	tréfál	joke
giục	sürgette	urge
giữ	tart	hold
giữa	között	between
gladys	gladys	gladys
glazer	glazer	glazer
glonass	glonass	glonass
gloria	gloria	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	szőlőcukor	glucose
gmail	gmail	gmail
gnp	bruttó nemzeti termék	gnp
go	megy	"(term should be ""gay go"") tense"
goes	megy	goes
goku	goku	goku
golden	aranysárga	golden
gom	gyűjt	to gather (v.)
google	google	google
gorbachev	gorbacsov	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	alvadt vér	gore
gorky	gorkij	gorky, as in gorky park
gothic	gótikus	gothic
gottfried	gottfried	gottfried
grabeel	grabeel	grabeel, a last name
graham	graham	graham
granada	granada	granada
granit	gránit	granite
greek	görög	(proper noun) greek
greenland	grönland	greenland
greenson	greenson	(proper noun) greenson
greenwich	greenwich	(proper noun) greenwich
greg	greg	greg
grenada	grenada	grenada
grenadines	grenadines	grenadines
gross	bruttó	gross
grumman	grumman	(proper noun) grumman
gruzia	grúzia	gruzia
gryffindor	griffendél	gryffindor
gs	gs	prof.
gsts	gst-k	professor- phd
gu	stílus	gu
guam	guam	guam
guard	őr	guard
guatemala	guatemala	guatemala
gui	gui	gui
guinea	guinea	guinea
guinness	guinness	(proper noun) guinness
guitar	gitár	guitar
gujarat	gujarat	gujarat
gulag	gulág	gulag
gulf	öböl	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	guyana	guyana; proper noun
gà	csirke	chicken
gài	rakás	to fasten (v.)
gào	felsikoltott	"(term should be ""thét gào"") to cry out (v.)"
gác	őr	guard
gái	lány	girl
gán	hozzárendelni	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	visz	hold
gáy	tarkó	crow
gân	bezárás	tendon
gây	ok	make
gãy	törött	break
gì	mit	what
gìn	megőrzése	preserve
gò	hegy	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	özvegy	widowed
góc	sarok	angle
gói	csomag	goi
góp	részlet	to contribute
gót	sarok	heels
gõ	típus	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	felhalmoz	poniard
găng	kesztyű	gloves
gũi	bezárás	close
gươm	kard	sword
gương	tükör	mirror
gạc	géz	johnson south reef
gạo	rizs	rice
gạt	letépte	to cheat or trick (v.)
gả	házasság	marry
gảy	szünet	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gac	gac
gấm	brokát	brocade
gấp	siet	times, as in many times
gấu	a medve	a bear (n.)
gần	közel a	near
gầy	vékony	thin
gẫy	törött	break
gập	szeres	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	rúd	stick
gắm	fing	send
gắn	felszerelt	mount
gắng	megpróbálja	try
gắt	durván	intense
gặm	rág	rodent
gặp	találkozik	meet
gặt	aratni	harvest
gỉ	rozsdás	rust
gọi	hívás	call
gọn	tiszta	neat (adj.)
gọng	keretes	gong
gọt	héj	cut
gỏi	saláta	a vietnamese salad
gốc	eredet	origin (n.)
gối	párna	"(should be ""qùy gối"") to kneel"
gốm	kerámiai	pottery
gồm	beleértve	include
gồng	gong	carry
gỗ	a fa	wood
gội	sampon	shampoo
gộp	összeolvad	aggregate
gớm	förtelmes	tremendous
gờ	szegély	edge
gởi	küld	send
gỡ	leterhelő	meet
gợi	szuggesztív	to evoke (v.)
gục	le-	"(term should be ""đánh gục"") crush, as in battle"
gừng	gyömbér	ginger
gửi	küldeni	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	kettő	two (adj.)
hal	hal	hal
halle	halle	(proper noun) halle
halogen	halogén	halogen (n.)
ham	sonka	desire
hamilton	hamilton	(proper noun) hamilton
han	han	han
hang	barlang	cave
hangul	hangul	hangul
hanh	hanh	hanh
hanja	handzsa	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	edzett	hardy
harlem	harlem	harlem
harlow	harlow	harlow
harold	harold	(proper noun) harold
harper	hárfajátékos	harper
harpercollins	harpercollins	hapercollins
harrier	rétihéja	harrier, as in harrier jump jet
harris	harris	harris
harry	harry	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havanna	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	házaló	hawker
hawking	hawking	(proper noun) hawking, as in physicist stephen hawking
hay	jó	or
hb	félpanzió	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	ő	he, a korean name
health	egészség	health
heath	pusztaság	heath
hee	hee	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrich	heinrich
helen	helen	helen
helena	helena	helena
heli	hélium	helium
hematocrit	hematokrit	hematocrit
hemoglobin	hemoglobin	hemoglobin
hen	tyúk	asthma
henry	henrik	(proper noun) henry, as in henry kissinger
heo	állott	dolphin
her	neki	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	herkules	hercules
hermann	hermann	hermann
hermes	hermész	hermes
hersh	hersh	hersh, as in seymour hersh
hesiod	hésziodosz	hesiod
hestia	hestia	hestia
hi	szia	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	hicks	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hidejosi	(proper noun) hideyoshi
hidro	hidrogén	hydrogen
hillsborough	hillsborough	hillsborough
hilton	hilton	hilton
himalaya	himalája	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hindu	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hirosima	(proper noun) hiroshima, the japanese city
hitchcock	hitchcock	hitchcock
hitler	hitler	hitler
hitter	ütő	hitter
hitters	hitters	hitters
hiên	veranda	(proper noun) hiên, a vietnamese first name
hiđrô	hidrogén	hydrogen
hiếm	ritka	rare
hiến	adni	devote
hiếp	erőszak	rape
hiếu	gyermeki imádat	pious
hiềm	beteg	grudge
hiền	zsálya	sage
hiểm	veszélyes	dangerous
hiểu	megért	learn
hiện	megjelenik	"(term should be ""thực hiện"") to accomplish"
hiệp	fél	united
hiệu	hatás	effective
hlv	távolsági busz	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	virág	flower
hoan	fesztivál	welcome
hogwarts	roxfort	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	holocaust	holocause
holocen	holocén	holocen
holt	bozót	holt, an english last name
hom	kivágások	a cutting
homer	homérosz	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshu	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	lódarázs	hornet
hotspur	forrófejű	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	howard	(proper noun) howard
however	azonban	however
hoà	nyakkendő	peace
hoài	hazavágyó	always (adv.)
hoàn	teljes	"(term should be ""hoàn toàn"") completely"
hoàng	király	royal (adj.)
hoành	diafragma	rife
hoá	kémia	"(term should be ""văn hoá"") culture (n.)"
hoán	perm	refined (adj.)
hoãn	esznek	delay
hoạ	festék	disaster (tham hoa)
hoại	üszkösödés	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	hentai	work
hoả	tűz	of
hoảng	pánik	panic-stricken (adj.)
hoặc	vagy	or
hp	le	hp
hq	parancsnokság	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	huey	huey
hughes	hughes	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	magyarország	hungary
hunt	vadászat	hunt
hurley	hurley	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	husserl	huserl
huston	huston	huston
hutech	hutech	hutech
huy	huy	a common vietnamese first name
huynh	fiú testvér	older brother
huyền	misztikus	huyền thoại= legend
huyễn	csalóka	huyen
huyện	kerület	district
huyệt	akupunktúrás pontok	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	színárnyalat	"a less common vietnamese word for ""flower"""
huấn	kiképzés	"(term should be ""huận luyện"") to train (v.)"
huế	színárnyalat	hue
huệ	színárnyalat	favour
huống	ügy	situation
huỳnh	kén	sulfur
huỷ	megszünteti	destroy
hydra	hydra	hydra, a monster in greek mythology
hydro	hidrogén	hydrogen
hyperion	hyperion	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	komédia	corpse
hàm	állkapocs	"(term should be ""bao hàm"") to imply (v.)"
hàng	sor	row
hào	várárok	depreciation
hách	erőszakos	glorious
hái	szed	picking
hán	aszály	china
háo	mohó	eager
hát	énekel	song
hâm	őrült	"(term should be ""hâm mộ"") to admire (v.)"
hân	han	le ngoc han
hãi	megrémült	to be scared (v.)
hãn	kán	to sweat (v.)
hãng	a cég	a company (n.)
hãnh	büszke	proud
hè	nyár	summer
hé	feltörték	reveal
héo	elhervad	dried-out
hét	kiáltás	shout
hên	szerencsés	luck
hí	ne	game
hít	lélegzik	act of kissing (hon hit)
hò	ismerkedés	date
hòa	nyakkendő	republic
hòe	szar	hoe
hòm	bárka	box
hòn	sziget	island
hòng	jól	in order to
hóc	hoc	a corner (n.)
hót	énekel	to chirp or sing (v.)
hô	ho	respiration
hôi	fúj	stink
hôm	nap	day (n.)
hôn	csók	propose
hông	csípő	hip
hù	megijeszt	threaten
hùng	hősök	hero
húc	alvadt vér	huc
húng	ihlet	"(should be ""húng láng"") water mint"
hút	dohányzó	to suck (v.)
hăng	csípős	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	üvegek	jar
hơi	kicsit	slightly
hơn	mint	more or less
hư	rossz	fictional
hưu	nyugdíjas	huu
hương	tömjén	smell
hước	tréfás	humor
hướng	irány	trend
hường	huong	huong
hưởng	élvezd	influence
hạ	nyár	lower
hạc	flamingó	crane
hạch	idegdúc	ganglion
hại	sérelem	harm
hạng	osztály	rank
hạnh	hanh	happy
hạo	hao	hao
hạp	véletlen	hap
hạt	mag	seed
hải	vám	two
hảo	tökéletes	perfect
hấn	han	aggressive gesture
hất	hajít	toss
hấu	görögdinnye	"(term should be ""dưa hấu"") watermelon"
hầm	alagút	ham
hầu	majdnem	most
hận	gyűlöl	hatred
hậu	királynő	anus
hắc	fekete	black
hắn	neki	he (n.)
hắt	tüsszent	reject
hằng	állandó	every
hặc	mab	to criticize (v.)
hẹ	mogyoróhagyma	chinese chives
hẹp	keskeny	narrow
hẻm	sikátor	alley (n.)
hẻo	félreeső	outback
hến	kagyló	mussel
hết	felett	most
hề	bohóc	"(term should be ""không hề"") never"
hễ	hm	whenever
hệ	rendszer	relation
hệt	azonos	exactly
hỉ	ütés	happy
hịch	puffanás	a proclamation
họ	vezetéknév	they (n.)
họa	művészet	picture
họach	terv	"(term should be ""quy hoạch"") a project (n.)"
học	tanul	study (v.)
họng	torok	throat
họp	találkozó	meet
hỏa	tűz	fire
hỏng	törött	corruption
hố	gödör	hole
hốc	fülkékben	cavity
hồ	tó	ho
hồi	ánizs	muslim
hồn	lélek	soul
hổ	tigris	tiger
hổi	huh	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	tátongó	hole
hỗ	támogatás	"(should be ""hỗ trợ"") to support or assist"
hỗn	vegyes	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	fesztivál	society
hộp	doboz	box
hới	nyisd ki	hoi
