$	usd	dollar
далмације	dalmācija	dalmatia
далмацији	dalmācija	dalmatia
дало	deva	given
дан	dienā	day
дана	dienas	day's
данак	cieņu	tribute
данас	šodien	nowadays
данашња	šodien	todays
данашње	šodien	today
данашњег	šodienas	current
данашњем	šodien	current
данашњи	šodien	current
данашњим	šodienas	current
данашњих	šodienas	today's
данашњој	šodienas	present-day
данашњу	šodien	current
данграда	dangrada	"day of the city (two words, ""dan grada"")"
дани	dienas	days
данила	danila	danilo,firts name
данило	danilo	danilo
данима	dienas	days
данска	dānija	denmark
данске	dāņu	denmark
дански	dāņu	danish
дао	dots	give
дар	dar	gift
дарвин	dārziņš	darwin
дат	dots	was given
дата	dati	given
дати	dot	date
датира	datētas ar laiku	encourages
датирају	iepazīšanās	date
датотека	fails	file
датотеке	failus	files
датум	datums	date
датума	datums	date
даугавпилс	daugavpils	daugavpils (city in latvia)
дахија	dahija	dahis
дахије	elpas	dahi
дацит	dacit	dacite
даје	ka	gives
дају	viņi dod	give
дајући	dodot	giving
даља	tālāk	further
даље	tālāk	further
даљем	tālāk	further
даљи	tālāk	further
два	divi	two
двадесет	divdesmit	twenty
двадесетак	ap divdesmit	twenty
двадесетог	divdesmitais	twentieth
дванаест	divpadsmit	twelve
две	divi	two
двеју	divi	dveju river
двије	divi	two
двор	pagalms	court
двора	tiesa	court
дворана	zāle	hall
дворац	pils	castle
двору	pagalms	yard
двоструко	dubultā	double
двоје	divi	two
двојица	divi	both
двојице	divi	both
де	de	de
деведесетих	deviņdesmitie gadi	nineties
девет	deviņi	nine
девојка	meitene	girl
девојке	meitenes	girls
деда	vectēvs	grandfather
дезоксирибоза	dezoksiriboze	desoxirribosa
дел	del	part
дела	darbojas	works
делатност	aktivitāte	activity
делатности	aktivitātes	activities
деле	dele	shared
делегација	delegācija	delegation
делегације	delegācijas	delegation
дели	deli	divided
делима	delima	works
делимично	daļēji	partly
дело	darbs	work
делова	daļas	parts
деловао	rīkojās	operated
деловања	operācija	action
деловање	operācija	action
делове	daļas	parts
делови	daļas	parts
деловима	daļas	part
делом	daļēji	in part
делта	delta	delta
делу	daļa	part
делује	darbojas	operate
делују	tēlot	work
делфи	delphi	delphi (archeological place)
демографија	demogrāfija	demography
демографска	demogrāfisks	demographic
демократија	demokrātija	democracy
демократије	demokrātija	democracy
демократска	demokrātisks	democratic
демократске	demokrātisks	democratic
демократски	demokrātisks	democratic
демонстрација	demonstrācija	protest
демонстрације	demonstrācijas	demonstration
део	daļa no	part
дерета	dereta	dereta
десет	desmit	ten
десетак	ducis	ten
десетина	desmitais	tenth
десетине	desmitiem	tens of
десило	noticis	hapend
десио	desio	occurred
десна	taisnība	right
десне	taisnība	right
десно	taisnība	right
десном	taisnība	right
десној	taisnība	the right
десну	taisnība	right
деспот	despots	despot
деспота	despots	despot
деспотовине	despotisms	despotate
дестинација	galapunkts	destination
десцент	nolaišanās	descender
детаља	detaļas	details
детаљно	detalizēti	thoroughly
дете	bērns	child
детињства	bērnībā	childhood
детињство	bērnība	childhood
детињству	bērnība	childhood
дефинисан	definēts	defined
дефинисана	definēts	defined
дефинисати	definēt	defined
дефинитивно	noteikti	definitely
дефиниција	definīcija	definition
дефиниције	definīcijas	definitions
дефинише	definē	defined
деца	bērni	dhildrens
деце	bērni	children
децембар	decembris	december
децембра	decembris	december
децембру	decembris	december
деценија	desmitgadē	decaded
деценијама	gadu desmitiem	decades
деценије	gadu desmitiem	decades
деценију	desmitgadē	decade
деци	bērni	children
децу	bērni	kids
дечак	puika	boy
дечани	bērni	decani
дечански	bērnu	childish
дечанског	дечанског	decani
дешава	notiek	happens
дешавају	notikt	happen
дешавања	notikumi	events
дејан	dejāns	deyan
дејвид	deivids	david
дејвис	davis	davis
дејстава	darbības	effects
дејства	fakti	effects
дејство	fakts	effect
дејством	darbība	effect
дељивост	dalāmība	division
ди	di	di
дивац	mežonis	divac
дивизија	dalīšana	division
дивизије	dalīšana	divisions
дивља	savvaļas	wild
дивље	savvaļas	wild
дивљи	savvaļas	wild
дигитални	digitāls	digital
диего	diego	diego
дизајн	dizains	design
димензија	dimensija	dimension
димензије	izmēri	dimensions
димитрија	dimitrija	dimitrija
димитрије	dimitrije	dimitrije
димитријевић	dimitrijevic	dimitrijevic (surname)
динамо	dinamo	dynamo
динар	dinārs	dinar
динара	dināri	csd
династија	dinastija	dynasty
династије	dinastija	dinasty
дио	daļa	part
дипломата	diplomāts	diplomat
дипломатске	diplomātiskā	diplomatical
дипломирао	beidzis	graduated
директан	tieša	direct
директним	tieša	direct
директно	tieši	directly
директном	tieša	direct
директор	režisors	director
директора	režisors	director
директоријум	direktoriju	directory
диск	disks	disc
дискографија	diskogrāfija	discography
дистрикт	apgabals	district
дисциплина	disciplīna	discipline
дисциплине	disciplīna	discipline
дитирамб	ditiramb	ditirambo
диуретик	diurētiķis	diuretic
дијабетес	diabēts	diabetes
дијабетеса	diabēts	diabetes
дијаграм	diagramma	diagram
дијаграму	diagramma	diagram
дијалекат	dialekts	dialect
дијалеката	dialekts	dialects
дијалект	dialekts	dialect
дијалекти	dialekti	dialects
дијалектима	dialekti	dialects
дијалога	dialogs	dialogue
дијего	diego	diego
дијела	daļa	part's
дијеловима	daļas	parts
дијелу	daļa	part
дневне	katru dienu	daily
дневник	dienasgrāmata	diary
днк	dnk	dna
дну	apakšā	the bottom
до	uz	to
доба	vecums	age
добар	labi	good
добара	labi	goods
добила	saņemts	received
добиле	saņemts	got
добили	dabūja	gained
добило	saņemts	got
добио	dabūja	received
добити	gūt	win
добитник	uzvarētājs	winner
добија	saņemts	got
добијао	saņemts	recieved
добијају	viņi saņem	gain
добије	izpaužas	win
добра	labi	noble
добре	labi	good
добри	labi	good
добрим	labi	good
добрица	labestība	dobrica
добрич	labi	dobric (city in bulgaria)
добро	labi	good
добру	labi	good
добу	vecums	age
доведе	atnesa	bring
довела	atnesa	brought
довеле	atnesa	led
довели	atnesa	brought
довело	vadīja	led
довео	atnesa	brought
довести	svinu	bring
доводе	ved	bring
доводи	ved	leads
довољан	pietiekams	sufficient
довољно	pietiekami	enough
догађај	notikums	happening
догађаја	notikumi	event
догађаје	notikumi	events
догађаји	notikumi	events
догађајима	notikumi	events
догађају	notikums	event
догађања	notikumi	events
догма	dogma	dogma
договор	vienošanās	agreement
договора	vienošanās	discontent
догодила	noticis	happens
догодило	noticis	happened
догодио	noticis	occured
додавањем	pievienojot	adding
додатак	papildinājums	addition
додатна	papildu	additional
додатне	papildu	additional
додатни	papildus	aditional
додатно	papildus	additional
додаје	viņš piebilst	add
доделио	piešķirts	gave
додељена	piešķirts	assigned
додељује	piešķir	assigned
додир	pieskarties	touch
додуше	tomēr	admittedly
доживела	pieredzējis	experieced
доживео	pieredzējis	experienced
доживљава	pārdzīvojumi	is experiencing
дозволе	atļaujas	permission
дозволио	atļauts	let
дозволу	atļauju	licence
дозвољава	atļauj	allows
дозвољавају	atļaut	allow
дозвољено	atļauts	allowed
док	kamēr	while
доказ	pierādījums	evidence
доказа	pierādījumi	evidence
доказао	pierādīts	proved
докази	pierādi	proofs
доказује	pierāda	proves
доктор	ārsts	doctor
доктрина	doktrīna	doctrine
доктрине	doktrīna	doctrines
докумената	dokumenti	documents
документ	dokumentu	document
документа	dokumenti	documents
документарни	dokumentālā filma	documentar
документи	dokumenti	documents
документима	dokumenti	documents
документу	dokumentu	document
долазак	ierašanās	arrival
долазе	nāk	come
долази	tas nāk	comes
долазили	atnāca	came
долар	usd	dollar
долара	dolāru	dollars
доласка	ierašanās	arrival
доласком	ierašanās	by arrival
доласку	ierašanās	arrival
доле	uz leju	down
долина	ieleja	valley
долинама	ielejas	plains
долине	ielejas	valley
долини	ieleja	valey
долином	ieleja	valley
долину	ieleja	valley
дом	mājas	home
дома	mājās	house
домаћа	iekšzemes	domestic
домаће	iekšzemes	domestic
домаћег	iekšzemes	domestic
домаћи	iekšzemes	host,domestic
домаћим	iekšzemes	domestic
домаћин	saimnieks	host
домаћина	vadītājs	host
домаћини	saimniekiem	host
домаћих	iekšzemes	domestic
домен	domēns	domain
домену	domēns	domain
домета	diapazons	range
доминантна	dominējošais	dominant
доминира	dominē	dominate
доминирају	dominē	dominate
дому	mājas	home
дон	don	don
донекле	līdz zināmai robežai	brought
донела	atnesa	brought
донели	atnesa	brought
донело	atnesa	brought
донео	atnesa	brought
донесе	atnest	bring
доносе	atnest	bring
доноси	nes	brings
доношења	adopcija	making
допринела	veicināja	contribute
допринели	veicināja	contributed
допринело	veicināja	contributed
допринео	veicināja	contributed
допринос	ieguldījums	contribution
доприносе	dot ieguldījumu	redound
доприноси	iemaksas	contributes
доселили	imigrēja	settled
досељеника	imigranti	emigrants
досељеници	imigranti	immigrants
доситеј	dositej	dositej
доспео	nogatavināts	reached
доста	pietiekami	a lot
достигнућа	sasniegumi	achievements
достиже	sasniedz	reach
достојевски	dostojevskis	dostojevski
доступан	pieejams	available
доступна	pieejams	available
дотад	līdz tam	previously
дотадашње	līdz tam	previous
доцније	vēlāk	later
дошао	atnāca	come
дошла	atnāca	arrived
дошле	atnāca	came
дошли	atnāca	come
дошло	ir pienācis	came
дође	viņš nāca	come
дођу	viņi nāk	come
доња	zemāks	down
доње	zemāks	donja
доњег	zemāks	lower
доњем	zemāks	down
доњи	zemāks	donji
доњим	zemāks	down
доњој	zemāks	down
доћи	nāc	come
др	dr	and others.
драган	dragan	dragan
драгана	dragana	dragan
драгаш	mīļais	dragas
драгиша	mīļais	dragisa
драгољуб	dragoljub	dragoljub
драгутин	drautins	dragutin
драгутина	drautina	dragutin
дража	mīļais	draza
драже	dod priekšroku	draza
драма	drāma	drama
драме	drāma	drama
драми	drāma	drama
драстично	krasi	drastic
драшковић	drašković	draskovic
дрвета	koki	wood
дрвећа	koki	trees
дрвеће	koki	ancient
дрво	koksne	wood
дрвца	koki	small tree
древне	senais	wooden
древни	senais	ancient
древних	senču	ancient
дреднот	drausmīgās nabas	dreadnought dreadnought dreadnought dre
држава	valsts	country
државама	štatos	states
државе	štatos	states
држави	valstīm	state
државна	valsts	state
државне	valsts	state
државни	valsts	state
државним	valsts	state
државних	valsts	state
државно	valsts	state
државног	valsts	state
државном	valsts	state
државности	valstiskums	statehood
државној	valsts	national
државну	valsts	state
државом	valsts	country
државу	valsts	country
држављанство	pilsonība	citizenship
држали	notika	held
држао	notika	thought
држање	saimniecība	keeping
држе	turēt	hold
држи	saimniecība	hold
дрина	drina	drina
дрине	drine	drina
дрини	drini	drina
дрину	drina	drina
дрога	narkotikas	drugs
дроге	narkotikas	drugs
друг	draugs	buddy
друга	cits	other
другачије	savādāk	different
другачији	savādāk	different
друге	citi	other
други	otrais	other
другим	citi	other
другима	citiem	others
других	citi	other
друго	citi	second
другог	cits	second
другом	cits	(world war) two
другој	cits	the other
другу	cits	other
друмски	ceļš	road
друштава	biedrības	associations
друштва	sabiedrībā	associations
друштвена	sabiedriskā	social
друштвене	sabiedriskā	social
друштвени	sabiedriskā	social
друштвеним	sabiedriskā	social
друштвених	sabiedriskā	social
друштвено	sociāli	socially
друштвеног	sabiedriskā	surface
друштвеном	sabiedriskā	social
друштвену	sabiedriskā	social
друштво	sabiedrībā	society
друштву	sabiedrībā	society
дс	ds	ds party
дубаи	dubai	dubai
дубок	dziļi	deep
дубоке	dziļi	deep
дубоко	dziļi	deep
дубровник	dubrovņiks	dubrovnik
дубровника	dubrovņiks	dubrovnik
дубровнику	dubrovniki	dubrovnik
дубровчани	dubrovnikas pilsoņi	dubrovnik
дубље	dziļāk	deeper
дува	pūš	blows
дувана	tabaka	tobacco
дуг	parāds	debt
дуга	varavīksne	debth
дугачак	ilgi	long
дуге	varavīksne	long
дуги	ilgi	long
дугим	ilgi	long
дугме	pogu	button
дуго	ilgi	long time
дугог	ilgi	long
дугом	parāds	debt
дугу	ilgi	long
дуж	gar	along
дуже	ilgāk	longer
дужи	ilgāk	longer
дужина	garums	length
дужинама	garumi	longth
дужине	garums	length
дужини	garums	length
дужином	garums	length
дужину	garums	lenght
дужност	nodoklis	duty
дужности	pienākumi	responsibilities
дунав	donava	danube
дунава	donava	danube
дунаву	donava	dunav (personal noun - the name of a river in serbia)
дух	spoks	spirit
духа	gars	spirit
духовне	garīgais	spiritual
духовни	garīgais	spiritual
духовно	garīgi	spiritual
духу	gars	spirit
дучић	hercogs	ducic
душа	dvēsele	soul
душан	dušāns	dusan
душана	dvēsele	dusan
душанов	dušanovs	dushan
душановог	dušanovogo	dusan
душе	dvēseles	souls
дц	līdzstrāvas	dc (washington )
дјела	darbojas	part
е	e	e (era)
еволуције	evolūcija	evolutions
евро	eiro	euro
евровизије	eirovīzija	eurovision
европа	eiropa	europe
европе	eiropa	europe
европи	eiropa	europe
европом	eiropa	europe
европска	eiropietis	european
европске	eiropietis	europe
европски	eiropietis	european
европским	eiropietis	europian
европских	eiropietis	european
европско	eiropietis	europian
европског	eiropietis	european
европском	eiropietis	europian
европској	eiropietis	europian
европску	eiropietis	european
европу	eiropa	europe
европљана	eiropieši	europeans
египат	ēģipte	egypt
египатска	ēģiptiešu	egypt's
египатске	ēģiptiešu	egyptian
египатски	ēģiptiešu	egyptian
египта	ēģipte	egypt
египтом	ēģipte	egypt
египту	ēģipte	egypt
египћани	ēģiptieši	egypt's
едвард	edvards	edward
екатарина	ekatarina	ekatarina
екипа	komanda	the team
екипе	komandas	team
екологија	ekoloģija	ecology
економија	ekonomika	economy
економије	ekonomika	economy
економији	ekonomika	economies
економију	ekonomika	economy
економска	ekonomiskais	economic
економске	ekonomiskais	economic
економски	ekonomiski	economic
економским	ekonomiskais	economic
економских	ekonomiskais	economic
економско	ekonomiski	economic
економског	ekonomiskais	economic
економском	ekonomiskais	economic
економску	ekonomiskais	economic
екосистема	ekosistēma	ecosystems
екосистеми	ekosistēmas	ecosystems
ектодерм	ektoderma	ectoderm
ел	el	el
електрична	elektriskā	electrical
електричне	elektriskā	electrical
електричних	elektriskā	electrical
електричну	elektriskā	electrical
електрона	elektroni	electron
електронска	elektroniska	electronic
електронскапошта	e-pasts	electronic mail
електронске	elektroniska	electronical
електронски	elektroniski	electronic
елемената	elementi	elements
елемент	elements	element
елемента	elements	element
елементе	elementi	elements
елементи	elementi	elements
елементима	elementi	elements
еманципација	emancipācija	emancipation
емиграција	emigrācija	emigration
емир	emir	emir
емисија	šovs	emission
емисије	šovi	emission
емитује	raidījumi	emiting
енг	eng	eng
енглези	angļu	british
енглеска	anglija	england
енглеске	no anglijas	english
енглески	angļu	english
енглеским	angliski	english
енглеског	angļu	english
енглеском	angliski	english
енглеској	anglijā	england
енди	endi	andy
енергија	enerģija	energy
енергије	enerģija	energy
енергијом	enerģija	energy
енергију	enerģija	energy
ензима	ferments	enzymes
ензими	fermenti	enzymes
ентитет	vienība	entity
ентитета	vienība	entities
енциклопедија	enciklopēdija	encyclopedia
енциклопедије	enciklopēdijas	encyclopedia
еп	ep	ec (europian chempionship)
епархија	diecēze	parish
епархије	diecēze	diocese
епидемија	epidēmija	epidemy
епипалеолит	epipaleolīts	epipaleolit (universal name of historical period)
епископ	bīskaps	bishop
епоха	laikmets	epochs
епохе	laikmets	epoch
епске	episkā	epic
епских	episkā	epic
ере	laikmets	eras
ернесто	ernesto	ernesto
естивација	estivācija	aestivation (estivation)
етернет	ethernet	ethernet
етернета	ethernet	eternet
етимологија	etimoloģija	etymology
етиологија	etioloģija	etiology
етиопија	etiopija	ethiopia
етничка	etniskā	etnic
етничке	etniskā	ethnic
етнички	etniskā	ethnical
етничким	etniskā	ethnical
етничких	etniskā	ethnic
етничко	etniskā	ethnic
етничког	etniskā	ethnic
етничком	etniskā	etnic
етничку	etniskā	etnic
етно	etno	ethno
еу	e u	eu
еур	eiro	eur
еуропијум	eiropijs	europium
ефекат	efekts	effect
ефеката	efekts	effect
ефекта	efekts	effect
ефекти	efektus	effects
ефикасност	efektivitāte	efficiency
жан	jan	zan
жанр	žanrs	genre
жанра	žanrs	genre
жарка	karsts	zarko
жарко	karsts	zarko
желе	viņi grib	wants
железница	dzelzceļš	railway
железнице	dzelzceļi	railroad
железничка	dzelzceļš	railway
железничке	dzelzceļš	railway
железнички	dzelzceļš	railway
желела	gribēja	wanted
желели	gribēja	wanted
желео	želeja	wanted
желећи	gribot	wanting
жели	viņš grib	wants
желудац	kuņģis	stomach
жена	sieviete	woman
женама	sievietes	women
жене	sievietes	woman
жени	sievietes	woman
женидба	laulība	marriage
женке	mātītes	female
женом	sieva	women
женска	sieviete	female
женски	dāmas	feminine
женског	sieviete	female
жену	sieva	woman
жестоке	nikns	fierce
жестоко	nikni	vigorously
жеља	vēlēšanās	desire
жеље	vēlmes	wishes
жељи	vēlme	desire
жељко	željko	zeljko
жељу	vēlme	desire
жив	dzīvs	alive
жива	dzīvs	alive
живе	dzīvs	live
живела	dzīvoja	lived
живели	dzīvoja	live
живело	dzīvoja	lived
живео	viņš dzīvoja	lived
живи	dzīvo	live
живим	es dzīvoju	live
живих	dzīvs	living
живковић	živković	zivkovic
живот	dzīve	life
живота	dzīves	the life
животиња	dzīvnieks	animals
животиње	dzīvnieki	animals
животињски	dzīvnieks	animal
животна	dzīvnieks	living
животне	dzīvnieki	environmental
животни	dzīvnieki	living
животног	dzīves	living
животом	dzīvi	life
животу	dzīvi	life
живојин	dzīvnieki	zivojin (personal name)
живојиновић	živojinović	zivojinovic
жигмунд	sigmunds	zigmund
жика	жика	zika,nickname,from zivorad or zivojin
жита	graudaugi	wheat
житарице	graudaugi	crops
житија	dzīvo	biographies
житије	biogrāfija	lives of
жито	grauds	wheat
жича	vads	zica (monastery in serbia)
жртава	upuri	victims
жртва	upuris	victim
жртвама	upuri	victims
жртве	upuri	victims
жупан	prefekts	prefect
жупана	prefekts	sunshiny
жупаније	novados	county
з	z	z
за	priekš	for
забележен	atzīmēja	chronicled
забележена	novērotā	recorded
забележено	atzīmēja	been noted
забележио	pamanīju	recorded
забрана	aizliegums	prohibitions
забранио	aizliegts	banned
забрањено	aizliegts	forbidden
заваривање	metināšana	welding
завет	ķīla	testament
завета	derība	testament
завету	derība	testament
зависе	paļauties uz	depend
зависи	atkarīgs	depends
зависно	atkarībā	depending on
зависности	atkarības	depending on
завод	augs	institute
завода	institūts	institute
завршава	beidzas	ends
завршавају	viņi beidzas	end up
завршен	pabeigts	finished
завршена	pabeigts	finished
завршетка	pabeigšana	completion
завршетку	pabeigšana	edn
заврши	pabeigt	finish
завршила	pabeigts	ended
завршио	pabeigts	completed
завршни	fināls	final
заглавља	galvenes	header
заглавље	galvenes	heading
загреб	zagrebs	zagreb
загреба	zagreba	zagreb
загребачки	zagreba	zagreb
загребу	zagrebs	zagreb
задатак	piešķiršana	task
задатака	uzdevumi	assignment
задатке	uzdevumi	assignments
задржава	saglabā	keeps
задржала	turēti	preserve
задржали	saglabāts	held
задржао	turēti	retained
задржи	saglabāt	keep
задужбина	fonds	foundation
задужбине	dāvinājums	foundations
задужен	atbildīgais	in charge
задње	pēdējais	last
задњи	pēdējais	last one
задњих	pēdējais	last
заиста	tiešām	realy
закон	likums	law
закона	likuma normas	law
законе	likumi	laws
закони	likumi	laws
законик	kods	code
законика	kodeksa	law book
законима	likumi	law
законом	ar likumu	with the law
законоправило	likumu	rule
закону	likums	law
закључак	secinājums	conclution
закључити	secināt	conclude
залив	līcis	gulf
залива	līcis	gulf
заливу	līcis	gulf
залихе	piegādēm	supplies
замена	nomaiņa	replacement
заменик	vietnieks	deputy
заменила	aizstāts	replaced
заменио	aizstāts	replaced
замену	nomaiņa	substitution
замењен	aizstāts	replaced
замонашио	viņš kļuva par mūku	became a monk
занатлије	amatnieki	craftsmen
занимање	nodarbošanās	job
занимљиво	interesanti	interesting
занимљивости	interesanti fakti	interesting
запад	uz rietumiem	west
запада	uz rietumiem	west
западна	rietumu	west
западне	rietumu	west
западни	rietumu	west
западним	rietumu	west
западних	rietumu	western
западно	uz rietumiem	west
западног	rietumu	west
западном	rietumu	west
западној	rietumu	west
западну	uz rietumiem	west
западу	uz rietumiem	west
запис	ieraksts	inscription
записа	ierakstus	notes
записи	rakstīt	records
заповедник	komandieris	commandant
заповедника	komandieris	commander
заповест	bauslis	commandment
заповести	baušļi	commandments
започела	sākās	started
започели	sākās	started
започео	sākās	started
започета	sākās	started
започиње	sākas	begins
заправо	patiesībā	in fact
заразе	infekcija	infection
заробљен	sagūstīts	was captured
заробљени	sagūstīts	caught
заробљеника	ieslodzītie	prisoner
заслуга	nopelns	merits
заслуге	nopelns	accomplishments
заслужних	pelnījis	deserving
заснива	balstīta	depends
заснован	balstīta	based
заснована	balstīta	based on
застава	karogs	flag
заставе	karogi	flag
заставу	karogs	flag
заступљена	pārstāvēts	represented
заступљени	pārstāvēts	represented
затвор	cietums	prison
затвора	cietums	prison
затворен	slēgts	closed
затворена	slēgts	closed
затвору	cietums	jail
затим	tad	then
зато	tāpēc	because
затражио	prasīja	requested
заувек	mūžīgi	forever
заузврат	saņēma pretī	in turn
заузела	okupēts	took over
заузеле	okupēts	busy
заузели	okupēts	taken
заузео	okupēts	has taken
заузима	ņem	overtake
заузимају	okupēt	take over
заузимања	profesijas	occupation
заузимање	uzņemšanās	taking over
заузме	pārņem	occupy
зауставе	apstājas	stop
заустави	apstāties	stop
зауставила	viņa apstājās	stopped
захвалности	pateicība	gratitude
захвата	saķere	operation
захваљујући	pateicoties	thanks to
захтев	pieprasījums	request
захтева	prasa	wish
захтевао	pieprasīja	demanded
захтевају	prasīt	require
захтеве	prasības	requests
захтеви	prasības	requirements
захтевима	prasības	requirements
заштита	aizsardzība	defence
заштите	aizsardzība	protection
заштити	aizsargāt	protect
заштитник	aizsargs	protector
заштитом	aizsardzība	protection
заштиту	aizsardzība	protect
зашто	kāpēc	why
заједница	kopiena	community
заједнице	kopienas	union
заједници	kopiena	communities
заједницу	kopiena	community
заједничка	izplatīts	common
заједничке	izplatīts	mutual
заједнички	izplatīts	mutual
заједничким	izplatīts	mutual
заједничко	kopīgs	common
заједничког	izplatīts	joint
заједничку	izplatīts	common
заједно	kopā	together
зајечар	zajecar	zaječar
зајечару	zajecar	zajecar
збивања	notikumi	events
збир	summa	sum
збирка	kolekcija	collection
збирке	kolekcijas	collections
збирку	kolekcija	collection
због	jo	because
зборник	kolekcija	collection
звала	sauca	called
звали	sauca	called
звани	sauca	called
званичан	ierēdnis	official
званична	ierēdnis	oficial
званичне	ierēdnis	official
званични	ierēdnis	official
званичним	ierēdnis	oficial
званично	oficiāli	officially
звао	sauca	was called
звање	nosaukums	the title
звезда	zvaigzne	star
звезде	zvaigznes	celebrities
звездом	zvaigzne	star
звезду	zvaigzne	star
звечан	palielināts	zve�&#65533;an
зворник	zvornik	zvornik (community)
зворнику	zvornik	zvornik
звук	skaņu	sound
звука	skaņu	sound
зграда	ēka	building
зграде	ēkas	buildings
згради	ēkas	building
здања	ēkas	buildings
здравко	sveiki	zdravko
здравствена	veselība	health
здравствене	veselība	health
здравља	veselība	health
здравље	veselība	health
зевс	zevs	zeus
зевса	zevs	zeus
зеланд	jaunzēlande	zealand
зелена	zaļš	green
земаља	valstīm	countries
земун	zemun	zemun
земља	valsts	the earth
земљама	valstīm	countries
земље	valstīm	earth
земљи	valsts	country
земљине	zeme	earth
земљиној	zeme	the earth
земљишта	zeme	earth
земљиште	zeme	land
земљом	valsts	country
земљотрес	zemestrīce	earhquake
земљотреса	zemestrīce	earthquake
земљотреси	zemestrīces	earthquakes
земљу	valsts	soil
зете	znots	zeta
зети	znots	zeta
зету	znots	zeta
зид	siena	wall
зида	sienas	wall
зидина	sienas	walls
зидине	sienas	walls
зидови	sienas	walls
зидовима	sienas	walls
зиду	sienas	wall
зимама	ziemām	winters
зиме	ziemām	winters
зими	ziemā	winter
зимске	ziema	winter
зимских	ziema	winter
зиму	ziema	winter
зла	ļaunums	evil
злата	zelts	gold
златибор	zlatibors	zlatibor
златибора	zlatibora	zlatibor
златибору	zlatibors	zlatibor
златна	zelts	golden
златне	zelts	gold
златни	zelts	golden
златним	zeltaini	golden
златно	zelts	golden
златног	zelta	golden
златном	zelts	golden
златну	zelts	golden
злато	zelts	gold
зло	ļaunums	bad
злочин	noziegums	crime
злочина	noziegums	crimes
злочине	noziegumi	crimes
злочини	noziegumi	crimes
змај	pūķis	zmaj
змаја	pūķis	zmaj
змија	čūska	snake
змије	čūskas	snakes
зна	zina	know
знак	parakstīt	sign
знакова	rakstzīmes	characters
знакови	zīmes	signs
знали	viņi zināja	knew
знаменитости	apskates vietas	sights
знао	viņš zināja	knew
знатан	ievērojams	substantial
знатне	ievērojams	considering
знатно	ievērojami	substantially
знаци	nozīmē	sign's
значај	svarīgums	importance
значаја	nozīmīgums	importance
значајан	nozīmīgs	important
значајна	nozīmīgs	significant
значајне	nozīmīgs	significant
значајни	nozīmīgs	significant
значајним	nozīmīgs	important
значајних	nozīmīgs	important
значајније	nozīmīgāka	significant
значајнији	nozīmīgāka	significant
значајнијих	nozīmīgāka	important
значајно	ievērojami	important
значајну	nozīmīgs	important
значају	nozīmīgums	importance
значења	nozīmes	meaning
значење	nozīme	meaning
значењу	nozīme	meaning
значи	nozīmē	mean
значило	domāts	meant
знају	viņi zina	know
знајући	zinot	knowing
знања	zināšanas	knowledge
знање	zināšanas	knowlage
зове	zvana	is called
зову	viņi zvana	call
зона	zona	zone
зонаопштина	zonaopština	towh shop zone
зоне	zona	zones
зони	zona	zone
зону	zona	zone
зоран	zoran	zoran
зорана	zoran	zoran
зрачења	starojums	radiation
зрачење	starojums	radiation
зрењанин	zrenjanin	zrenjanin
зрењанина	zrenjanina	zrenjanin
зрењанину	zrenjanin	zrenjanin
зрна	graudi	grain
зуба	zobu	teeth
зуби	zobi	teeth
зубобоља	zobu sāpes	tooth pain
и	i	and
иако	un ja	although
ибар	ibar	ibar
ибн	ibn	ibn,common muslim middle name
иван	ivan	ivan
ивана	ivana	ivan
ивановић	ivanovičs	ivanovich
ивановићева	ivanovićeva	ivanovich
ивица	mala	ivica
ивице	malas	edges
ивици	malas	edge
иво	ivo	ivo
игара	spēles	games
игор	igor	igor
игра	spēle	dance
играла	spēlēja	played
играли	spēlēja	play
игралишта	rotaļu laukumi	playgrounds
играма	spēles	games
играо	spēlēja	play
играти	spēlēt	play
играч	spēlētājs	player
играча	spēlētāji	players
играчи	spēlētāji	players
играју	viņi spēlē	play
игре	spēles	game
игри	spēles	game
игру	spēle	dance
игуман	abats	prior
иде	tas notiek	go
идеал	ideāls	ideal
идентитет	identitāte	identited
идентитета	identitāte	identity
идеологија	ideoloģija	ideology
идеологије	ideoloģija	ideology
идеолошки	ideoloģiski	ideological
идеја	ideja	idea
идеје	idejas	ideas
идеји	idejas	ideas
идеју	ideja	idea
иду	dodas	go
из	no plkst	from
иза	un par	behind
изабран	ievēlēts	chosen
изабрана	atlasīts	chosen
изабрани	izredzētais	chosen
изабрао	izvēlējās	chose
изазвала	izprovocēja	caused
изазвали	izprovocēja	caused
изазвало	izraisīja	caused
изазване	provokācija	caused
изазвао	izprovocēja	caused
изазвати	izaicināt	provoke
изазива	provocē	causing
изазивају	provocēt	provoke
изазове	izaicinājumi	challenges
изашао	izgāja laukā	came out
изашла	izgājis	turned out
изађе	nāk ārā	is out
избацио	atslēdzies	threw out
избегли	aizbēga	avoid
избеглица	bēglis	refugee
избеглице	bēgļi	refugees
избио	izlauzās	broke out
избија	izcēlās	emerges
избијања	uzliesmojumi	outbreak
избијање	uzliesmojums	outbreak
избор	izvēle	choice
избора	pēc izvēles	elections
изборе	vēlēšanas	elections
избори	vēlēšanas	elections
избори=	vēlēšanas =	elections=
изборима	vēlēšanas	elections
избору	izvēle	election
изван	ārpusē	out of
изведе	izpildīt	perform
изведен	izpildīts	made
изведена	izpildīts	performed
изведени	atvasināts	derived
