$	dollarni tashkil etadi	dollars
الصعب	qiyin	difficult
الصعيد	yuqori misr	saeed (name)
الصغار	kichkina bolalar	the small
الصغر	filigree	small
الصغرى	mikro	minor
الصغير	oz	small
الصغيرة	kichik	small
الصف	sinf	grade
الصفا	al-safo	al-safa
الصفة	sifat	the characteristic
الصفحة	sahifa	page
الصفر	nol	zero
الصفراء	sariq	yellow
الصفويين	safaviylar	safween
الصلاة	namoz	prayer
الصلال	tuklar	sallal
الصلب	chelik	solid
الصلبة	qattiq	solid
الصلة	aloqa	link
الصلح	yarashish	reconciliation
الصلوات	ibodatlar	prayers
الصليب	kesib o&#39;tish	steel
الصليبي	salib yuruvchisi	crusader
الصليبية	salib yuruvchisi	crusade
الصليبيون	salibchilar	crusaders
الصليبيين	salibchilar	crusaders
الصناعات	sohalar	industries
الصناعة	sanoat	industry
الصناعي	sanoat	industrial
الصناعية	sanoat	industrialized
الصنع	tayyorlangan	made in
الصهيوني	sionist	zionist
الصهيونية	sionizm	zionism
الصواريخ	raketalar	rockets
الصوت	ovoz	voice
الصوتية	sonic	audio
الصور	rasmlar	photos
الصورة	rasm	picture
الصوفية	tasavvuf	sufi
الصوم	ro&#39;za	the fasting
الصومال	somali	somalia
الصومالي	somali	somalian
الصومالية	somali	somalian
الصيد	ov	the hunting
الصيف	yoz	summer
الصيفية	yoz	summer
الصين	xitoy	china
الصيني	xitoy	chinese
الصينية	xitoy	chinese
الصينيون	xitoy	chinese
الصينيين	xitoyliklar	chinese
الضارة	zararli	harmful
الضباط	ofitserlar	officers
الضحايا	jabrlanganlar	victims
الضحية	jabrlanuvchi	victim
الضخم	ulkan	huge
الضخمة	mega	big
الضرائب	soliqlar	the taxes
الضربة	urish	shot
الضروري	zarur	necessary
الضعف	zaiflik	the weakness
الضغط	bosim	pressure
الضغوط	bosim	pressure
الضفة	bank	bank
الضوء	yorug&#39;lik	light
الضوئي	fotosintez	lightning
الضوئية	svetofor	light
الطائرات	samolyotlar	aeroplanes
الطائرة	samolyot	plane
الطائف	taif	el-taef
الطائفة	sekta	cult
الطابع	xarakter	theme
الطابق	qavat	the floor
الطاعون	o&#39;lat	plague
الطاقة	energiya	the energy
الطالب	so&#39;rovchi	the student
الطب	dori	medicine
الطباشيري	bo&#39;r	cretaceous
الطباعة	bosib chiqarish	printing
الطبري	tabariy	al-tabari
الطبعة	nashr	edition
الطبقة	sinf	class
الطبي	tibbiy	the medical
الطبيب	shifokor	doctor
الطبية	tibbiy	medical
الطبيعة	tabiat	natural
الطبيعي	tabiiy	natural
الطبيعية	tabiiy	the natural
الطرائد	o&#39;yin	preys
الطراز	uslub	style
الطرف	partiya	side
الطرفين	ikki tomon	the two sides
الطرق	yo&#39;llar	ways
الطريق	yo&#39;l	the road
الطريقة	yo&#39;l	the method
الطعام	ovqat	food
الطفل	bola	the child
الطفولة	bolalik	childhood
الطقس	ob-havo	weather
الطقوس	marosimlar	rituals
الطلاب	talabalar	students
الطلب	talab	demand
الطلبة	talabalar	students
الطوائف	sektalar	communities
الطور	faza	tor
الطول	uzunlik	length
الطويل	uzoq	long
الطويلة	uzoq	long
الطيب	yaxshi	el tayeb
الطيران	aviatsiya	aviation
الطيف	spektr	spectrum
الطين	gil	mud
الطيور	qushlar	birds
الظاهر	tashqi ko&#39;rinishi	addaher
الظاهرة	fenomen	phenomenon
الظاهري	virtual	virtual
الظروف	vaziyatlar	circumstances
الظلام	zulmat	the dark
الظلم	adolatsizlik	injustice
الظهر	tush	noon
الظهور	tashqi ko&#39;rinishi	appearance
الظواهر	fenomen	phenomena
العائلات	oilalar	the families
العائلة	oila	the family
العابدين	sig&#39;inuvchilar	el-abedin
العادات	odatlar	habits
العادة	odat	usual
العادل	adolatli	the just
العادي	oddiy	normal
العادية	doimiy	normal
العاشر	o&#39;ninchi	the tenth
العاشرة	o‘ninchi	the tenth
العاص	aas	el aas
العاصمة	poytaxt	the capital
العالم	dunyo	the world
العالمي	global	international
العالمية	globalizm	international
العالمين	dunyolar	the two worlds
العالي	oliy	the high
العالية	yuqori	high
العام	yil	the year
العامة	jamoatchilik	public
العامل	ishchi	the factor
العاملة	ishlamoqda	working
العاملين	xodimlar	workers
العامية	vernakulyar	colloquial
العامّة	jamoatchilik	the common
العباد	xizmatkorlar	worshipers
العبادات	ibodat	the worshippen
العبادة	ibodat	worship
العبارة	og&#39;zaki so&#39;z	the term
العباس	abbos	abbas
العباسي	abbosiy	abbasid
العباسية	abbosiy	abbasid
العباسيون	abbosiylar	abbasids
العباسيين	abbosiylar	abbasids
العبد	xizmatkor	el-abd
العبرية	ibroniycha	hebrew
العبودية	qullik	slavery
العبّاسية	abbasieh	the abbasid
العثماني	usmonli	ottoman
العثمانية	usmonli	ottoman
العثمانيون	usmonlilar	the ottomans
العثمانيين	usmonlilar	ottomans
العثور	toping	find
العجز	zaiflik	deficit
العدالة	adolat	justice
العدد	soni	number
العدل	adolat	justice
العدو	dushman	enemy
العدوان	agressiya	attack
العدوى	infektsion	infection
العديد	ko&#39;pchilik	many
العديدة	juda ko&#39;p	many
العذبة	toza	fresh water
العذراء	bokira	the virgin
العراق	iroq	iraq
العراقية	iroqlik	iraqi
العراقيين	iroqliklar	iraqi
العرب	arablar	arab
العربي	arabiy	arabi
العربية	arabcha	the arabic
العرش	taxt	throne
العرض	displey	demonstration
العرق	terlash	origin
العرقي	etnik	mass killing
العرقية	etnik	ethnic
العروض	takliflar	poetics
العريضة	ariza	wide
العريقة	qadimgi	ancient
العزيز	azizim	dear
العسكر	harbiylar	soldiers
العسكري	harbiylar	military
العسكرية	harbiy	martial
العسكريين	harbiylar	military
العسل	asal	honey
العش	uyasi	al-esh
العشاء	kechki ovqat	the dinner
العشائر	klanlar	families
العشر	o&#39;nta	the tenth
العشرة	o&#39;nta	ten
العشرين	yigirma	twentieth
العشرينات	yigirmanchi	the twenty's
العصابات	guruhlar	gangs
العصبي	asabiy	the neurological
العصبية	asabiylashish	the neurotic
العصر	yoshiga qarab belgilanadi	era
العصور	yoshlar	ages
العضلات	mushaklar	muscles
العضو	a&#39;zo	member
العضوية	a&#39;zolik	membership
العطل	bayramlar	vacations
العظام	suyaklar	the bones
العظم	suyak	aladem
العظمى	ajoyib	great
العظمي	skelet	great
العظيم	buyuk	the great
العظيمة	ajoyib	great
العفو	kechirasiz	amnesty
العقائد	doktrinalar	beliefs
العقائدية	dogmatik	ideological
العقاد	akkad	el akkad
العقبة	to&#39;siq	aqaba
العقد	shartnoma	decade
العقل	aql	brain
العقلي	aqliy	mental
العقلية	aqliy	mentality
العقوبات	jarimalar	sanctions
العقود	shartnomalar	decades
العقول	miyalar	minds
العقيد	polkovnik	colonel
العقيدة	yaratilgan	the believe
العكس	qarama-qarshi	the opposite
العلاء	yuqori	alaa
العلاج	davolash	therapy
العلاجية	davolash	therapeutic
العلاقات	munosabatlar	relations
العلاقة	qarindoshlik	the relation
العلامة	tovar	genius
العلل	kasalliklar	ills
العلم	ilmiy	flag
العلماء	olimlar	the scientists
العلمانية	dunyoviylik	secular
العلمي	ilmiy	the scientific
العلمية	ilmiy	the scientific
العلوم	ilmlar	the sciences
العلوي	yuqori	el-olwey
العلوية	ustki	alawites
العلويين	alaviylar	alawites
العلي	eng yuqori	al-ali
العمارة	arxitektura	architecture
العمال	ishchilar	workers
العمالة	ish bilan ta&#39;minlash	employment
العمالية	mehnat	labor
العمر	yoshi	age
العمران	urbanizm	building
العمراني	shahar	architectural
العمرانية	urbanizm	imran
العمرة	umra	omrah
العمري	al-omari	age
العمق	chuqurlik	depth
العمل	ish	work
العملاق	gigant	the huge
العملاقة	gigant	huge
العملة	valyuta	currency
العملي	amaliy	practical
العمليات	jarayonlar	operations
العملية	operatsiya	operation
العمود	ustun	amood (name)
العموم	commons	commons
العمومية	umumiylik	public
العميق	chuqur	the deep
العميقة	chuqur	deap
العناصر	elementlar	elements
العناية	parvarish	deal with
العنب	uzum	grape
العنصر	element	the element
العنف	zo&#39;ravonlik	violence
العهد	ahd	the era
العواصف	bo&#39;ron	the storms
العوام	tarqatuvchilar	floater
العوامل	omillar	factors
العود	kuyov	el oud
العودة	orqaga	back
العولمة	globalizatsiya	the globalization of
العيد	hayit	el eid
العيش	jonli	living
العين	ko&#39;z	eye
العينين	ko&#39;zlar	eyes
العيون	ko&#39;zlar	eyes
الغابات	o&#39;rmonlar	forests
الغابة	o&#39;rmonlar	forest
الغاز	gaz	gas
الغازات	gazlar	gases
الغازي	bosqinchi	gaseous
الغالب	ko&#39;pincha	usually
الغالبية	ko&#39;pchilik	the vast
الغبار	chang	dust
الغدد	bezlar	glands
الغذاء	ovqat	nutriment
الغذائي	ovqat	alimentary
الغذائية	ovqat	food
الغرب	g&#39;arb	west
الغربي	g&#39;arbiy	occidental
الغربية	g&#39;arbiy	western
الغربيين	g&#39;arbliklar	westerners
الغرض	maqsad	reason
الغرفة	xona	chamber (of commerce)
الغزاة	bosqinchilar	invaders
الغزالي	al-g&#39;azzoliy	el-ghazaly
الغزل	yigirish	spinning
الغزو	bosqinchilik	invasion
الغزوات	invaziyalar	forays
الغشاء	membrana	the membrane
الغطاء	qopqog&#39;ini oching	cover
الغلاف	qopqoq	cover
الغلوكوز	glyukoza	glucose
الغليون	quvur	pipe
الغموض	sir	mystery
الغني	boylar	rich
الغنية	boy	rich
الغير	boshqalar	not
الـ	the	the
الفئات	toifalar	groups
الفئة	kategoriya	category
الفائدة	foyda	benefit
الفائز	g&#39;olib	winner
الفاتح	al-fateh	conqueror
الفاتحة	fotiha	al-fatiha
الفاتيكان	vatikan	vatican
الفارابي	al-farobiy	el farabi
الفارسي	forsiy	persian, farsi
الفارسية	forsiy	persian
الفاشية	fashizm	fascism
الفاصل	ajratuvchi	deviding
الفاطمي	fotimid	the fatimid
الفاطمية	fatimidizm	fatimid
الفاطميين	fotimidlar	fatimids
الفتاة	qiz	the girl
الفتح	fath	the conquering
الفترات	davrlar	periods
الفترة	davr	period
الفتنة	nifoq	conflict
الفتوح	al-futuh	liberations
الفتوحات	fathlar	conquers
الفجر	tong otishi	dawn
الفجوة	gap	the gap
الفحص	tekshiruv	inspection
الفحم	ko&#39;mir	coal
الفخار	kulolchilik	pottery
الفدرالي	federal	federal
الفدرالية	federalizm	federal
الفرات	furot	al-furat
الفراش	choyshablar	el ferash
الفراعنة	fir&#39;avnlar	pharaohs
الفراغ	bo‘sh joy	void
الفرج	vulva	the vagina
الفرد	shaxs	the individual
الفردي	singillar	individual
الفردية	shaxsiy	individual
الفرس	forslar	the persians
الفرسان	ritsarlar	knights
الفرصة	imkoniyat	chance
الفرع	filial	branch
الفرعونية	fir&#39;avn	pharaonic
الفرعية	sub	sub-
الفرق	farqi	difference
الفرقة	guruh	the band
الفرن	o&#39;choq	oven
الفرنجة	franklar	franks
الفرنسي	frantsuzlar	the french
الفرنسية	fransuz	the french
الفرنسيون	frantsuzlar	the french
الفرنسيين	frantsuzlar	the french
الفروع	filiallar	branches
الفريدة	noyob	unique
الفريق	jamoa	team
الفريقان	ikki jamoa	the two teams
الفريقين	ikki jamoa	the two teams
الفساد	korruptsiya	corruption
الفصائل	fraksiyalar	factions
الفصح	pasxa	easter
الفصحى	klassik	standard
الفصل	sinf xonasi	chapter
الفضاء	bo&#39;shliq	the space
الفضائي	musofir	of space
الفضائية	sun&#39;iy yo&#39;ldosh	satellite
الفضة	kumush	silver
الفضل	yoqimli	favor
الفطر	qo&#39;ziqorinlar	feast
الفعالة	samarali	effective
الفعل	fe&#39;l	verb
الفعلي	haqiqiy	the actual
الفعلية	haqiqiy	executive
الفقر	qashshoqlik	poverty
الفقراء	bechora	poor
الفقري	orqa miya	spinal
الفقه	huquqshunoslik	jurisprudence
الفقهاء	yuristlar	scholars
الفقهية	huquqshunoslik	juristic
الفقيرة	bechora	poor
الفقيه	faqih	the faqih
الفكر	fikrlar	thought
الفكرة	fikr	the idea
الفكري	intellektual	intellectual
الفكرية	intellektual	the intellectual
الفلاحين	dehqonlar	farmers
الفلاسفة	faylasuflar	philosophers
الفلبين	filippin	philippines
الفلبينية	filippin	philippine
الفلسطيني	falastin	the palestinian
الفلسطينية	falastin	palestinian
الفلسطينيون	falastinliklar	the palestines
الفلسطينيين	falastinliklar	palestinians
الفلسفة	falsafa	phylosophy
الفلسفي	falsafiy	philosophical
الفلسفية	falsafiy	philosophical
الفلك	astronomiya	astronomy
الفلكي	astronom	astronomer
الفلكية	astronomik	the astronomy
الفلكيون	astronomlar	astronomers
الفلم	kino	movie
الفم	og&#39;iz	the mouth
الفن	san&#39;at	the art
الفنادق	mehmonxonalar	hotels
الفنان	rassom	the artist
الفنانة	rassom	artist
الفنانين	rassomlar	artists
الفنلندي	finn	finnish
الفنلندية	fincha	the finnish
الفنون	san&#39;at	arts
الفني	san&#39;at asari	the art
الفنية	badiiy	the technician
الفهد	gepard	the leopard
الفهم	tushunish	understanding
الفوائد	foydalari	benefits
الفور	nuqta	four
الفوز	g&#39;alaba	winning
الفوضى	xaos	chaos
الفولاذ	chelik	steel
الفوهات	burunlar	craters
الفيدرالي	federal	federal
الفيدرالية	federalizm	federal
الفيديو	video	the video
الفيروس	virus	virus
الفيروسات	viruslar	viruses
الفيروسي	virusli	viral
الفيروسية	virusli	viral
الفيزياء	fizika	the physics
الفيزيائية	jismoniy	physical
الفيس	elvis	elvis
الفيضان	toshqin	flood
الفيضانات	toshqinlar	floods
الفيفا	fifa	fifa
الفيل	fil	the elephant
الفيلة	fillar	the elephants
الفيلسوف	faylasuf	philosopher
الفيلم	kino	the movie
الفينيقية	finikiyalik	phoenician
القائد	rahbar	the leader
القائلة	aytmoqda	view
القائم	asoslangan	current
القائمة	ro&#39;yxati	going on
القادم	keyingi	come
القادمة	kelmoqda	the upcoming
القادمين	kelmoqda	the coming
القارئ	o&#39;quvchi	the reader
القارات	qit&#39;alar	continents
القارة	qit&#39;a	the continent
القارية	kontinental	continental
القاسم	mahfiylik	el kassem
القاضي	sudya	judge
القاعدة	al-qoida	base
القانون	qonun	law
القانوني	huquqiy	kanuni
القانونية	huquqiy	legal
القبائل	qabilalar	tribes
القبة	gumbaz	dome
القبر	qabr	tomb
القبض	hibsga olingan	catch
القبطي	kopt	the coptic
القبطية	kopt	coptic
القبلة	bo&#39;sa	the quiblh
القبلي	qabila	tribal
القبول	qabul	approval
القبيلة	qabila	tribe
القتال	jang	fighting
القتالية	jang	martial
القتل	o&#39;ldirish	homicide
القتلى	o&#39;lganlar	killed
القدامى	qadimgi odamlar	ancient
القدر	taqdir	as much
القدرات	imkoniyatlar	abilities
القدرة	qobiliyat	ability
القدس	quddus	jerusalem
القدسي	al-qudsi	the holy
القدم	oyoq	past
القدماء	qadimgi odamlar	ancient
القديس	avliyo	saint
القديسين	azizlar	two saints
القديم	eski	ancient
القذافي	qaddafiy	gaddafi
القذف	siqish	ejection
القرآن	qur’on	koran
القرآني	qur&#39;onga oid	quran
القرآنية	qur&#39;onga oid	quranic
القراء	o&#39;quvchilar	readers
القراءة	o&#39;qish	reading
القرار	qaror	the decision
القرارات	qarorlar	decisions
القران	qur’on	quran
القرشي	qurashi	qurashi
القرص	disk	disk
القرضاوي	al-qaradaviy	el karadawey
القرم	qrim	crimea
القرن	asr	century
القرنين	ikki shox	the two centuries
القرون	podlar	centuries
القرويين	qishloq ahli	al-karaouine
القرى	qishloqlar	the villages
القريب	yaqin	close
القريبة	yaqin-atrofda	near
القرية	qishloq	the village
القزمة	mitti	midget
القسطنطينية	konstantinopol	constantinople
القسم	bo&#39;lim	section
القشرة	kepek	the crust
القصبة	kasbah	al-kasaba
القصة	hikoya	the story
القصر	saroy	palace
القصص	hikoyalar	the stories
القصف	bombalash	bombing
القصور	kamchiliklar	palaces
القصوى	ekstremal	maximum
القصيدة	she&#39;r	poem
القصيرة	qisqa	short
القضاء	yo&#39;q qilish	judicial
القضائي	sud	judicial
القضائية	sud	judiciary
القضاة	sudyalar	judges
القضايا	muammolar	the issues
القضيب	jinsiy olat	penis
القضية	ish	case
القطار	poezd	train
القطارات	poezdlar	trains
القطاع	sektor	sector
القطاعات	sektorlar	the sectors
القطب	qutb	the pole
القطبي	polar	polar
القطبية	polar	polar
القطبين	qutblar	polars
القطر	diametr	diameter
القطرية	mamlakat	qatarian
القطط	mushuklar	the cats
القطع	kesish	pieces
القطن	paxta	cotton
القعدة	tozalik	thul qa'dah
القفز	o&#39;tish	jumping
القلاع	qal&#39;alar	castles
القلب	yurak	heart
القلبية	chin yurakdan	heart
القلعة	qasr	castle
القلق	anksiyete	worrying
القلوب	yuraklar	hearts
القليل	oz	little
القليلة	kamchiliklar	few
القماش	bezi	cloth
القمة	yuqori	summit
القمح	bug&#39;doy	castle
القمر	oy	the moon
القمرية	oy	lunar
القمني	apikal	feeds me
القنابل	bomba	bombs
القناة	kanal	canal
القنوات	kanallar	canals
القهري	majburiy	compulsive
القوائم	ro‘yxatlar	alqguanm
القوات	kuchlar	the forces
القواعد	qoidalar	rules
القوافل	konvoylar	convoy
القوانين	qonunlar	the laws
القوس	kamon	the arc
القوط	gotlar	kut (name of a tribe)
القوقاز	kavkaz	caucasians
القول	aytish	saying
القوم	xalq	tribe
القومي	milliy	national
القومية	millatchilik	national
القوى	vakolatlar	powers
القوي	kuchli	strong
القوية	siltadi	strong
القيادة	etakchilik	the leadership
القياس	analogiya	measuring
القياسي	standart	the standard
القياسية	standart	standard
القيام	ijro	doing
القيامة	tirilish	resurrection
القيروان	qayrudan	the kairouan
القيس	o&#39;lchov	al kaiss
القيصر	sezar	caesar
القيم	qiymati	morals
القيمة	qiymati	the value
القيود	cheklovlar	limitations
الكأس	chashka	the cup
الكائن	ob&#39;ekt	creature
الكائنات	borliqlar	beings
الكاتب	yozuvchi	writer
الكاثوليكية	katoliklik	catholic
الكاريبي	karib dengizi	the caribbean
الكافي	adekvat	sufficient
الكافية	adekvat	enough
الكامل	to&#39;liq	whole
الكاملة	to&#39;liq	complete
الكبار	ulg&#39;ayganlar	big
الكبد	jigar	the liver
الكبرى	ajoyib	the major
الكبريت	oltingugurt	sulphur
الكبير	ajoyib	al-kabeer
الكبيرة	katta	big
الكتاب	kitob	the book (quran)
الكتابات	yozuvlar	writings
الكتابة	yozish	writing
الكتب	kitoblar	books
الكتل	bloklar	masses
الكتلة	blok	mass
الكثافة	zichlik	density
الكثير	juda ko&#39;p	a lot
الكثيرة	ko&#39;pchilik	many
الكثيرون	ko&#39;pchilik	many
الكثيرين	ko&#39;pchilik	many
الكثيفة	zich	dense
الكحول	spirtli ichimliklar	alcohol
الكحولية	alkogolli	alcoholic
الكذب	yolg&#39;on gapirish	lying
الكرامة	qadr-qimmati	dignity
الكربون	uglerod	carbon
الكردية	kurd	kurdish
الكرسي	stul	chair
الكرك	qorak	kark
الكريم	saxiy	noble
الكريمة	xushmuomala	precious
الكسوف	tutilish	eclipse
الكعبة	ka&#39;ba	the kaaba
الكفاءة	samaradorlik	efficiency
الكلاب	itlar	dogs
الكلاسيكي	klassik	classical
الكلاسيكية	klassik	classical
الكلام	gapirish	speech
الكلمات	sozlar	the words
الكلمة	so‘z	the word
الكلي	buyrak	overall
الكليات	fakultetlar	colleges
الكلية	kollej	college
الكم	kvant	quantum / punches
الكمال	mukammallik	perfection
الكمبيوتر	kompyuter	the computer
الكمية	miqdori	the quantity
الكنائس	cherkovlar	churches
الكندي	kanada	kindy
الكندية	kanada	canadian
الكنيسة	cherkov	the church
الكهرباء	elektr energiyasi	the electricity
الكهربائي	elektroforez	electrical
الكهربائية	elektr	the electric
الكهربية	elektrofiziologiya	the electrical
الكهرومغناطيسية	elektromagnetizm	electromagnetic
الكهنة	ruhoniylar	the priests
الكهوف	g&#39;orlar	caves
الكوارث	ofatlar	disasters
الكواكب	sayyoralar	planets
الكورية	koreys	korean
الكوفة	kufa	kufah
الكوفي	kufi	kufi
الكوكب	sayyora	the planet
الكومنولث	hamdo&#39;stlik	the commenwealth
الكون	olam	universe
الكونغرس	kongress	congress
الكونغو	kongo	congo
الكوني	kosmik	universal
الكونية	kosmik	universal
الكويت	quvayt	kuwait
الكويتي	quvayt	kuwait
الكويتية	quvayt	kuwaiti
الكويكبات	asteroidlar	asteroids
الكيماوية	kimyoviy	chemical
الكيمياء	kimyo	chemistry
الكيميائي	kimyogar	chemical
الكيميائية	kimyoviy	chemical
اللاتيني	lotin	latin
اللاتينية	lotin	latin
اللاجئين	qochqinlar	refugees
اللاحقة	suffiks	the coming
اللاذقية	lattakiya	lattakia
اللازم	zarur	required
اللازمة	zarur	necessary
اللاعب	pleyer	player
اللاعبين	aktyorlar	players
اللبناني	livan	lebanian
اللبنانية	livan	lebanese
اللبنانيين	livan	lebanese
اللجنة	komissiya	committee
اللجوء	panoh izla	the resort
اللحظة	lahza	the second
اللحم	go&#39;sht	meat
اللحوم	go&#39;sht	meats
اللذان	jssv	who are
اللسان	til	tongue
اللطيف	yoqimli	al latif
اللعب	ijro eting	play
اللعبة	oyin	the game
اللغات	tillar	languages
اللغة	til	language
اللغوية	tilshunos	linguistic
اللفظ	talaffuz	pronunciation
اللقاء	uchrashuv	meeting
اللقب	sarlavha	nickname
الله	olloh	god
اللهجات	dialektlar	dialects
اللهجة	urg‘u	dialect
اللهم	allohim	o god
اللهِ	olloh	god
اللواء	general-mayor	major - general
اللوحات	rasmlar	paintings
اللوحة	kengash	motherboard
اللون	rangi	color
الليبرالية	liberalizm	liberalism
الليبي	liviya	libyan
الليبية	liviya	libyan
الليزر	lazer	laser
الليل	tun	the night
الليلة	bugun oqshom	night
الليمفاوية	limfa	lymph
اللَّهُ	olloh	god
اللّه	olloh	god
المأكولات	ovqat	food
المأمون	xavfsiz	alma'mon
المؤتمر	konferensiya	conference
المؤتمرات	konferentsiyalar	the conferences
المؤثرة	ta&#39;sirchan	influential
المؤرخ	tarixchi	historian
المؤرخون	tarixchilar	historians
المؤرخين	tarixchilar	historians
المؤسس	asoschisi	established
المؤسسات	institutlar	institutions
المؤسسة	korxona	foundation
المؤسسين	ta&#39;sischilar	founders
المؤكد	aniq	sure
المؤلف	muallif	author
المؤلفات	adabiyotlar	to molvat
المؤمن	mo&#39;min	almo'men
المؤمنين	sodiq	the believers
المؤيدين	qo&#39;llab-quvvatlovchilar	supporters
المئات	yuzlab	hundreds
الماء	suv	water
المائة	cent	hundred
المائدة	jadval	table
المائي	suvli	water
المائية	akvarel	water
المادة	mavzu	for a period
المادي	jismoniy	financial
المادية	jismoniy	and the materialistic
الماركسية	marksizm	marxism
الماسونية	masonlik	freemasonry
الماشية	qoramol	for cattle
الماضي	o&#39;tgan	past
الماضية	o&#39;tmish	past
المال	pul	the money
المالكة	qirol	the royal
المالكي	al-malikiy	maliki
المالي	moliyaviy	for mali
المالية	moliya	المالية
الماليزية	malayziyalik	malaysian
المبادئ	tamoyillari	principles
المبادرة	tashabbus	initiative
المباراة	gugurt	the match
المباريات	mosliklar	the matches
المباشر	to&#39;g&#39;ridan-to&#39;g&#39;ri	the direct
المباشرة	to&#39;g&#39;ridan-to&#39;g&#39;ri	the direct
المباني	binolar	to buildings
المبدأ	printsip	principle
المبشرين	missionerlar	informed people
المبكر	erta	early
المبكرة	erta	early
المبنى	bino	building
المبيدات	pestitsidlar	pesticides
المتاحة	mavjud	available for
المتاحف	muzeylar	museums
المتبقية	qolgan	the remaining
المتجددة	qayta tiklanadigan	renewable
المتحدة	birlashgan	united
المتحدثين	ma&#39;ruzachilar	speakers
المتحركة	animatsiya	animated
المتحف	muzey	the museum
المتخصصة	ixtisoslashgan	specialist
المتزايد	o&#39;sib borayotgan	increasing
المتزايدة	o&#39;sib borayotgan	increasing
المتطورة	zamonaviy	developed
المتعة	xursandchilik	lust
المتعددة	ko&#39;p o&#39;yinchi	to different
المتعلقة	bog&#39;liq	related
المتقدم	ilg&#39;or	advanced
المتقدمة	ilg&#39;or	the advanced
المتكاملة	birlashtirilgan	integrated
المتمثلة	taqdim etilgan	represented
المتميزة	taniqli	the special
المتنبي	mutanabbi	almutanabi
المتنوعة	turli xil	variant
المتواجدة	mavjud	founded
المتوسط	o&#39;rtacha	the mediterranean
المتوسطة	o&#39;rta	medium
المتوفرة	mavjud	available
المتوفى	o&#39;lik	who died
المتوقع	kutilgan	expected
المتوكل	al-mutavakkil	mutawakkil
المثال	misol	example
المثل	maqol	model
المثلث	uchburchak	triangle
المثلثات	uchburchaklar	of triangles
المثلية	gomeopatiya	homosexuality
المثليين	gomoseksuallar	gays
المجاعة	ochlik	famine
المجال	maydon	field
المجالات	domenlar	fields
المجالس	kengashlar	the councils
المجاهدين	mujohidlar	mujahideen
المجاورة	qo&#39;shni	the neighboring
المجتمع	jamiyat	the society
المجتمعات	jamiyatlar	the societies
المجر	vengriya	hungary
المجرات	galaktikalar	about galaxies
المجرة	galaktika	the galaxy
المجردة	yalang&#39;och	abstract
المجري	venger	hungarian
المجرية	venger	hungarian
المجلات	jurnallar	magazines
المجلة	jurnal	the magazine
المجلس	kengash	for the council
المجمع	kompleks	total
المجموع	jami	total
المجموعات	guruhlar	groups
المجموعة	guruh	the group
المجيد	ulug&#39;vor	the glorious
المحاسبة	buxgalteriya hisobi	accounting
المحاصيل	ekinlar	crops
المحافظات	viloyatlar	provinces
المحافظة	gubernatorlik	province
المحاولات	harakatlar	tries
المحاولة	harakat qilmoq	attempt
المحبة	sevgi	love
المحتلة	ishg&#39;ol qilingan	occupied
المحتمل	ehtimol	likely
المحدودة	ltd.	limited
المحرقة	xolokost	holocaust
المحرك	dvigatel	motor
المحركات	motorlar	engines
المحسن	rivojlangan	el-mohsen
المحطات	stantsiyalar	the stations
المحطة	stantsiya	station
المحكمة	sud	court
المحلة	mahalla	neighborhood
المحلي	mahalliy	local
المحلية	mahalliy	local
المحليين	mahalliy aholi	local
المحور	uyasi	the axis
المحيط	okean	the ocean
المحيطات	okeanlar	oceans
المحيطة	atrofda	around it
المخ	miya	for a brain
المخاطر	xavflar	to dangers
المخاوف	qo&#39;rquv	fears
المختار	tanlanganlar	chosen
المختصة	barkamol	specific
المختلفة	turli xil	the different
المخدرات	preparat	drugs
المخرج	direktor	the director
المخصص	ajratilgan	specified
المخصصة	belgilangan	dedicated to
المخطط	sxema	planed
المخطوطات	qo&#39;lyozmalar	manuscripts
المخلص	najotkor	redeemer
المخلوقات	maxluqot	to creatures
المد	kengaytma	wave
المدارس	maktablar	schools
المداري	orbital	orbital
المدارية	tropik	orbiting
المدافع	to&#39;plar	cannons
المدة	davomiyligi	for a period
المدرب	murabbiy	trainer
المدرسة	maktab	to a school
المدرعة	zirhli transport vositasi	armored
المدفعية	artilleriya	artillery
المدن	shaharlar	the cities
المدني	fuqaro	the urban
المدنية	fuqaro	city
المدنيين	fuqarolar	civilians
المدونات	fotogalereya	blogs
المدونة	blog	for the archive
المدى	muddati	run
المديح	maqtov	eulogy
المدير	menejer	manager
المدينة	shahar	city
المذاهب	doktrinalar	doctrines
المذكور	eslatib o&#39;tilgan	the said
المذكورة	eslatib o&#39;tilgan	mentioned
المذنبات	kometalar	meteorites
المذهب	denominatsiya	ideology
المرء	o&#39;ziniki	people
المرأة	ayol	woman
المرئي	ko&#39;rinadi	seen
المرابطين	almoravidlar	morabitin
المراجع	adabiyotlar	references
المراحل	bosqichlar	stages
المراد	bolmoq	the desired
المرافق	hamrohlik qilmoqda	the facilities
المراقبة	tomosha qiling	monitoring
المراكز	markazlar	centers
المرة	vaqt	time
المرتبة	tartib	ranked
المرتبط	bog‘langan	related to
المرتبطة	bilan bog&#39;liq	connected
المرتفع	yuqori	for altitude
المرتفعات	tog&#39;lar	highlands
المرتفعة	yuqori	high
المرجانية	marjon	reefs
المرحلة	bosqich	the stage
المرشد	rahbar	supreme leader
المرض	kasallik	the disease
المرضى	bemorlar	diseased
