$ tỉ	milliard dollar	$ billion
cút	chiqib keting	to kick someone out (v.)
căm	ulangan	detest (cam thu)
căn	radikal	"(term should be ""căn bệnh"") cause of a disease (n.)"
căng	cho&#39;zmoq	tense
cũ	qari	old
cũi	beshik	kennel
cũng	shuningdek	also
cơm	guruch	rice
cư	aholisi	resident
cưa	ko&#39;rgan	saw
cưng	mening chaqalog&#39;im	also
cước	yuk	megaman
cưới	uylangan	marry
cướp	talamoq	to rob (v.)
cười	kulmoq	smile
cường	kuchli	strengthen
cưỡi	minish	ride
cưỡng	majburiy	force some body to do some thing. cưỡng dâm=rape
cạc	karta	card (n.)
cạn	sayoz	shallow
cạnh	chekka	"(term should be ""khía cạnh"") an angle"
cạo	soqol olish	shave
cạp	chayon	scorpion
cả	ikkalasi ham	both
cải	xantal	reform
cảm	sovuq	pleasure
cản	azoblanadi	prevent
cảng	port	port
cảnh	sahna	situation
cảo	tortadi	posthumous
cấm	taqiqlamoq	ban
cấn	kerak	dramatic
cấp	grant	level or rank (n.)
cất	distillangan	"(term should be ""cất giữ"") to keep safe or store"
cầm	tutmoq	to hold (v.)
cần	kerak	need
cầu	ko&#39;prik	request
cầy	civet	farmed
cẩn	ehtiyot bo&#39;ling	carefully
cẩu	kran	"(term should be ""hải cẩu"") a seal (n.)"
cận	yondashuv	close
cập	hisoblagich	mention
cậu	bola	a young man (n.)
cậy	bog&#39;liq	reliable
cắm	ulang	to plant (v.)
cắn	tishlamoq	to bite
cắp	o&#39;g&#39;irlamoq	steal
cắt	kesmoq	cut
cằm	iyak	chin
cằn	xafa	exhausted (adj.)
cặp	sumka	couple
cọ	ishqalamoq	rub
cọc	qoziq	pile
cọp	yo&#39;lbars	tiger
cỏ	o&#39;t	plant
cố	harakat qilib ko&#39;ring	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	chashka	cereal
cối	ohak	mortar
cốm	nuggetlar	grilled rice
cống	quritib oling	dedicate
cồn	alkogol	i
cồng	gong	gong
cổng	darvoza	gate
cỗ	paluba	engine
cỗi	o&#39;jar	barren
cộ	transport vositasi	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	qari	origin
cộng	ortiqcha	to add (v.)
cột	ustun	pole
cớ	uzr	excuse
cờ	bayroq	flag
cỡ	hajmi	size
cợt	hazil	"(term should be ""đùa cợt"") to trifle (v.)"
cục	bo&#39;lim	department
cụm	klaster	cluster
cụp	kesilgan	down
cụt	kesilgan	"(should be ""xương cụt"") the tailbone or coccyx"
củ	ildiz mevalarni ekmoqchi	a bulb, a botanical term
của	ning	of
củi	o&#39;tin	firewood
củng	shuningdek	reinforce
cứ	yoqilgan	any
cức	coo	"(term should be ""cức Đê"") a character in chinese history"
cứng	qattiq	hard
cứngi	hardi	cungi
cừ	qutblar	nacre
cừu	qo&#39;zichoq	sheep
cửa	eshik	door
cửu	ko&#39;paytiring	nine
cữ	cu	abstinence
cữu	quti	nine
cự	masofa	against
cựa	turtki	retreat
cực	qutb	extreme
cựu	avvalgi	former
d	d	d.
da	teri	skin
daegu	daegu	daegu
dahl	dahshatli	(proper noun) dahl, as in author roald dahl
dai	qattiq	persistent
daily	kunlik	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	da lat	da lat
dampier	namlovchi	(proper noun) dampier, a last name
dan	dan	dan
dancing	raqsga tushish	dancing
danger	xavf	danger
danh	nomi	list
daniel	daniel	daniel
dante	dante	dante
dao	pichoq	poniard
darwin	darvin	darwin
das	das	das
dassault	noaniq	(proper noun) dassault
date	sana	date
dau	yog &#39;	dau
dave	shabnam	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	devies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	dekan	a name
degree	daraja	degree
delhi	dehli	delhi
delphi	delphi	(proper noun) delphi, as in the oracle
demeter	o&#39;lchagich	(proper noun) demeter, the greek goddess of the harvest
den	uyasi	den
dennis	dennis	dennis
department	bo&#39;lim	departmen
derek	derek	derek
des	des	des
descartes	tushadi	descartes
design	thiết kế	thiet ke
deuterium	deuterium	deuterium
deutschland	gollandiya	deutschland
dewan	shudring	dewan, as in dewan rakyat
dewitt	shudring	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diana	(proper noun) diana, as in diana ross
die	o&#39;lmoq	german
diego	diego	diego
dien	aqldan ozgan	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	saroy	official residence or palace
dionysus	dionisus	dionysus, as in the greek god
discovery	kashfiyot	discovery
discussion	munozara	discussion
disneyland	disneylend	disneyland
division	bo&#39;linish	division
divoire	divoire	d'lvoire
diêm	gugurtlar	diem vuong
diên	aqldan ozgan	"(term should be ""kinh diên"") canon (n.)"
diềm	valentlar	matches
diều	uçurtma	kite
diểu	farsa	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	marsh	parade
diệc	qip-qizil	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	yuzi	face to face
diệt	o&#39;ldir	to kill or destroy (v.)
diệu	sehr	effective (adj.)
djibouti	djibuti	djibouti, a country in africa
djokovic	djokovich	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	tomonidan	because of
doanh	qo&#39;shma	"(term should be ""kinh doanh"") business (n.)"
doc	hujjat	doc
docherty	hujjat	docherty
dolly	bema&#39;ni	(proper noun) dolly, as in singer dolly parton
dome	gumbaz	nha
dominican	dominikan	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	duglas	douglas
dover	kaptar	(proper noun) dover, as in the capital of delaware
doyle	doyl	doyle
doãn	doan	doan
doạ	tahdid soluvchi	threat
dp	dp	dp
dracula	drakula	dracula
draft	qoralama	draft
drake	cho&#39;ktirmoq	(proper noun) drake
driver	haydovchi	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	du	travel
dubai	dubai	dubai
duiker	duiker	duiker
duk	duk	duk
dumas	dumalar	dumas
dumbledore	dambldor	dumbledore
dung	go&#39;ng	portrait
durham	durham	durham
dursley	dursley	dursley
duy	faqat	only
duyên	oldindan belgilab qo&#39;yilgan	coastal
duyện	intiluvchan	fellatio
duyệt	brauzer	browser
duơng	duong	ocean
duẩn	duan	duan
duật	duo	duat
duệ	avlodlari	descendants (n.)
duỗi	to&#39;g&#39;rilamoq	stretch
dwight	mudrab	dwight
dà	dah	gradually
dài	uzoq	to lengthen, as in time
dàn	sahnalashtirish	to arrange
dàng	oson	dang
dành	sarflangan	for
dào	mo&#39;l-ko&#39;l	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	qalin	thick
dái	xursand	"penis (n.), although some may use the term to mean ""testicles"""
dám	jur&#39;at et	dare
dán	joylashtirish	stick
dáng	shakli	appearance
dát	qoplamali	inlay
dâm	axloqsiz	lustful (adj.)
dân	odamlar	people
dâng	taklif	dedicate
dây	shnuri	nerve
dã	yovvoyi	chronicle
dãi	ruxsat etilgan	band
dãn	kengaytirilgan	extend
dãy	qator	a row (n.)
dè	ehtiyot bo&#39;ling	tight
défense	defense	defense
dép	sandal	slipper
dê	echki	goat
dì	xolasi	aunt
dìu	dìu	to lead by the hand (v.)
dính	yopishqoq	stick
dò	qidirmoq	(with word tham) to survey
dòm	qarang	snoop
dòng	joriy	"(term should be ""dòng họ"") family (n.)"
dó	bu	a type of plant used to make paper in vietnam (n.)
dông	momaqaldiroq	a storm (n.)
dõi	trek	monitor
dù	garchi	though
dùi	yumshatgich	awl
dùng	foydalanish	use
dăm	qirqishlar	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	albatta	why
dĩa	plitasi	dish
dũng	jasur	courage
dơ	iflos	dirty
dơi	yarasalar	bat
dư	qoldiq	remnant
dưa	qovun	melons
dưng	to&#39;xta	suddently
dương	ijobiy	penis
dường	ko&#39;rinadi	seem
dưỡng	hamshiralik ishi	feed
dược	dorixona	having to do with medicine (adj.)
dượng	tog&#39;a	uncle
dạ	ha	night
dại	ahmoqona	stupid or idiotic (adj.)
dạn	qo&#39;rqmas	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	format	tyoe
dạo	sayr qilish	vending
dạt	yuvilgan	to drift
dạy	o&#39;rgatish	teach
dải	tasma	range
dấm	sirka	vinegar
dấp	qoqilish	shape
dấu	belgisi	signal
dấy	uyg&#39;otadi	to raise (v.)
dần	asta-sekin	people
dầu	yog &#39;	oil
dẫm	oyoq osti	step on
dẫn	qo&#39;llanma	to lead
dẫu	garchi	though
dận	xola	to step on
dậu	xo&#39;roz	rooster
dậy	turmoq	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	qo&#39;rg&#39;oshin	lead
dằn	ballast	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	qat&#39;iyatli	dằng dai= long/endless
dẳng	qat&#39;iyatli	persist
dặm	milya	mile
dặn	buyurdi	to advise (v.)
dặt	buyurtma	conservative
dẹp	tekis chiqib	pacify
dẹt	tekis	flat
dẻ	kashtan	chestnut
dẻo	egiluvchanlik	flexible
dế	kriketlar	cricket
dền	amaranth	beetroot
dể	oson	easy
dễ	oson	easy
dệt	to&#39;quv	textile
dị	yakkalik	simple
dịch	tarjima qiling	semen
dịp	voqea	occasion
dịu	yumshoq	ease
dọa	tahdid soluvchi	to threaten or scare (v.)
dọc	vertikal	along
dỏm	aqlli	witty
dốc	qiyalik	slope
dối	yolg&#39;on gapirish	lie
dốt	johil	stupid or ignorant (adj.)
dồi	mo&#39;l-ko&#39;l	"(term should be ""trau dồi"") improve (v.)"
dồn	burchakli	accrue
dỗ	koaks	dirty
dời	ko&#39;chirish	leave
dở	yomon	incomplete
dỡ	tushirish	remove
dụ	misol uchun	example
dục	jinsi	sexuality
dụng	foydalanish	use
dứa	ananas	pineapple
dứt	to&#39;xta	to cease
dừa	kokos	coconut (n.)
dừng	to&#39;xta	to cease
dữ	ma&#39;lumotlar	"(term should be ""giận dữ"") anger (n.)"
dự	prognoz qilingan	attend
dựa	asoslangan	base on
dực	erkak	dực, as in lê tương dực
dỹ	dỹ	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	quloqlari	earles
eaton	ovqat	eaton
ebro	ebro	a name
ecmascript	ekmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	chekka	edge
edinburgh	edinburgh	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	muharriri	editor
edmond	edmond	edmond
edo	edo	edo
edward	oldinga	edward
edwin	edvin	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	misr	egypt
eid	hayit	(proper noun) eid
eiffel	eyfel	eiffel
einstein	eynshteyn	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	elektron	electronic
eliane	elian	(proper noun) eliane
elip	ellips	ellipse
elizabeth	elizabet	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	ellips	ellipse
em	siz	younger sibling
email	elektron pochta	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	amir	emir
emmy	emmy	emmy
en	uz	erica reef
energy	energiya	energy
engels	inglizlar	engels
england	ingliz	(proper noun) england, as in new england
eniac	eniak	eniac
entente	entente	entente
entropy	entropiya	entropy
enzym	ferment	enzymes
eo	bel	eo, as in the film captain eo
ep	ep	a name
erich	erix	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	ernest	(proper noun) ernest
eros	eros	eros, greek god of love
erwin	ervin	(proper noun) erwin, as in erwin rommel
españa	ispan	espana
essential	muhim	essential
ethernet	ethernet	ethernet
ethiopia	etiopiya	(proper noun) ethiopia
euclid	evklid	euclid
eugene	evgeniya	eugene
eugène	evgeniya	(proper noun) eugène
euler	eyler	euler
euro	evroga tushdi	euro, as in the european currency
eurofighter	evropeyker	eurofighter
europe	evropa	europe
european	evropa	(proper adjective) european
eva	eva	eva
everton	abadiy	everton
every	har bir	every
exgay	exgay	exgay
explorer	tadqiqotchi	explorer
extensive	keng	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	haqiqat	fact
facto	fakto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	chet el investitsiyalari	fdi
features	xususiyatlari	features
federer	federator	federer
feet	oyoqlari	feet
felipe	qovurg&#39;a	felipe
felis	felis	(proper noun) felis
felix	fe&#39;l	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fiat	fiat
fidel	sadoqatli	fidel
field	maydon	field
fifa	ellikta	fifa
fifpro	ellik	fifpro
figo	figo	figo
fiji	fiji	fiji
finish	tugatish	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	baliqchi	fischer, as in louis fischer
fish	baliq	fish
fishbed	baliq go&#39;shti	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	qanot	flanker
fleming	uchar	fleming
flight	parvoz	flight
foch	fox	(proper noun) foch
focus	diqqat	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	ovqat	food
football	futbol	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	ford	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	vilkalar	forks
foundation	poydevor	foundation
fox	tulki	fox
fpt	fpt	a company name in vietnam
fracsin	fraksin	a function
franc	frank	franc
france	fransuz	france
frances	fransuzlar	frances
francis	frank	francis, as in francis xavier
francisco	fransisko	francisco
franco	frank	franco
frank	ochiqchasiga	frank
frankfurt	frankfurt	(proper noun) frankfurt
franklin	franklin	franklin
franz	frantsuz	(proper noun) franz, as in franz ritter
freud	erkin	(proper noun) freud, as in sigmund freud
friedman	qovurilgan	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	xayolot	(proper noun) funimation
funk	funk	funk
futsal	futzal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarin	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	gramm	gam
gambia	gambiya	gambia
gamow	o&#39;yin	a name
gan	jigar	liver
gandhi	gandi	gandhi, as in mahatma gandhi
gang	to&#39;da	cast iron
ganh	rashkchi	to be jealous
gao	guruch	strictly
gareth	garet	a name
garrett	garret	garrett
gary	gari	gary
gascon	gazli qozon	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	qo&#39;ltiq	gaul, a region in ancient western europe
gaulois	gaga	gaulois
gay	gey	tense
gaza	g&#39;azo	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	geysha	geisha
gen	genlar	gene
gene	gen	(proper noun) gene, an english first name
genesis	genezisi	(proper noun) genesis
georg	georg	(proper noun) georg
george	jorj	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	uy	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	nemis	german
germany	nemis	germany
gerrard	gerrard	gerrard, a last name
ghana	gana	(proper noun) the african country of ghana
ghe	qayiq	canoe
ghen	rashkchi	to be jealous (v.)
ghi	yozing	write
ghim	pin	pin
ghé	to&#39;xta	visit
ghép	payvand	fit
ghê	dahshat	disgust
ghì	ghì	tighten
ghẻ	qo&#39;tirlar	scabies (n.)
ghế	stul	chair
ghề	zo&#39;ravonlar	scabby
ghềnh	zo&#39;ravonlar	waterfall (n.)
gia	gia	date
giai	bosqichi	period
giam	qamoqxona	imprison
gian	bo&#39;sh joy	"(term should be ""thời gian"") time (n.)"
giang	dev	syphilis
gibraltar	gibraltar	(proper noun) gibraltar
gichin	gichin	gichin
gieo	ekish	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	qurtlar	worm
giuse	gigant	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	giza	giza
già	qari	old (adj.)
giàn	truss	"(term should be ""giàn hoa"") a trellis girder"
giành	ishtiyoq bilan	secure
giàu	boy	rich or wealthy (adj.)
giày	poyabzal	a shoe
giá	narx	estimate
giám	direktor	"(term should be ""giám sát"") to supervise (v.)"
gián	hamamböceği	"(term should be ""gián tiếp"") indirectly"
giây	soniya	seconds
giã	urish	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	cho&#39;zmoq	stretch
gièm	zararli moddalar	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	iso	jesus
giêxu	nexus	jesus
giò	bahor rulolari	leg
giòi	maggotlar	maggot (n.)
giòn	ezilgan	crunchy or crispy (adj.)
gió	shamol	wind
gióng	kabi	align
giúp	yordam	help
giũa	fayl	sharpen
giơ	murabbo	raise
giương	alangalanish	posture
giường	to&#39;shak	bed
giả	qalbaki	fake (adj.)
giải	eritma	solution
giảm	kamaytirish	decrease
giản	soddalashtirilgan	"(term should be ""giản dị"") simple (adj.)"
giấc	uyqu	giấc ngủ= the sleep
giấm	sirka	drabble
giấu	yashirish	hide
giấy	qog&#39;oz	paper
giầu	boy	rich
giận	badjahl	angry
giằng	bog&#39;lab qo&#39;yish	pull
giặc	dushman	enemy
giặt	yuvish	to wash (n.)
giếng	yaxshi	well
giết	o&#39;ldir	kill
giềng	qo&#39;shni	"(term should be ""láng giềng"") neighboring"
giễu	masxara	ridicule
giọng	ohang	tone
giọt	tomchi	drop
giỏ	savat	basket
giỏi	ajoyib	good
giồng	giong	mound
giỗ	o&#39;lim yilligi	anniversaries of deaths
giới	jinsi	gender
giờ	soat	bao giờ=ever
giở	miltillash	to open or unfold (v.)
giỡn	hazil	joke
giục	chaqirdi	urge
giữ	tutmoq	hold
giữa	orasida	between
gladys	quvonch	gladys
glazer	glazer	glazer
glonass	glonas	glonass
gloria	gliya	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	glyukoza	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	boring	"(term should be ""gay go"") tense"
goes	ketadi	goes
goku	goku	goku
golden	oltin	golden
gom	to&#39;plash	to gather (v.)
google	google	google
gorbachev	gorbachev	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	gore	gore
gorky	gorkiy	gorky, as in gorky park
gothic	gothic	gothic
gottfried	gottfrid	gottfried
grabeel	panjara	grabeel, a last name
graham	graham	graham
granada	granada	granada
granit	granit	granite
greek	grekcha	(proper noun) greek
greenland	grenlandiya	greenland
greenson	ko&#39;katlar	(proper noun) greenson
greenwich	greenwich	(proper noun) greenwich
greg	greg	greg
grenada	grenada	grenada
grenadines	granadalar	grenadines
gross	yalpi	gross
grumman	qallob	(proper noun) grumman
gruzia	gruziya	gruzia
gryffindor	griffindor	gryffindor
gs	gs	prof.
gsts	gst	professor- phd
gu	uslub	gu
guam	guam	guam
guard	qorovul	guard
guatemala	gvatemala	guatemala
gui	gui	gui
guinea	gvineya	guinea
guinness	jinnilik	(proper noun) guinness
guitar	gitara	guitar
gujarat	gujarat	gujarat
gulag	gulag	gulag
gulf	ko&#39;rfaz	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gung	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	yigitcha	guyana; proper noun
gà	tovuq	chicken
gài	tortmoq	to fasten (v.)
gào	- qichqirdi u	"(term should be ""thét gào"") to cry out (v.)"
gác	qorovul	guard
gái	qiz	girl
gán	tayinlash	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	olib yurmoq	hold
gáy	bo&#39;yin	crow
gân	yaqin	tendon
gây	sabab	make
gãy	singan	break
gì	nima	what
gìn	saqlamoq	preserve
gò	tepalik	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	beva	widowed
góc	burchak	angle
gói	to&#39;plami	goi
góp	badal	to contribute
gót	tovon	heels
gõ	turi	type
göbbels	gobbellar	gobbels, as in joseph gobbels
găm	xazina	poniard
găng	qo&#39;lqoplar	gloves
gũi	yaqin	close
gươm	qilich	sword
gương	oyna	mirror
gạc	doka	johnson south reef
gạo	guruch	rice
gạt	yirtib oldi	to cheat or trick (v.)
gả	nikoh	marry
gảy	tanaffus	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	gak	gac
gấm	brocade	brocade
gấp	shoshiling	times, as in many times
gấu	ayiq	a bear (n.)
gần	yaqinida	near
gầy	yupqa	thin
gẫy	singan	break
gập	katlamoq	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	tayoq	stick
gắm	osma	send
gắn	o&#39;rnatilgan	mount
gắng	harakat qilib ko&#39;ring	try
gắt	qattiq	intense
gặm	gnaw	rodent
gặp	uchrashmoq	meet
gặt	yig&#39;ib olmoq	harvest
gỉ	zanglagan	rust
gọi	qo&#39;ng&#39;iroq	call
gọn	pokiza	neat (adj.)
gọng	jimjit	gong
gọt	po&#39;sti	cut
gỏi	salat	a vietnamese salad
gốc	kelib chiqishi	origin (n.)
gối	yostiq	"(should be ""qùy gối"") to kneel"
gốm	keramika	pottery
gồm	shu jumladan	include
gồng	gong	carry
gỗ	o&#39;tin	wood
gội	shampun	shampoo
gộp	birlashtirish	aggregate
gớm	yoqimsiz	tremendous
gờ	panjara	edge
gởi	yuborish	send
gỡ	tushirish	meet
gợi	ogohlantiruvchi	to evoke (v.)
gục	pastga	"(term should be ""đánh gục"") crush, as in battle"
gừng	zanjabil	ginger
gửi	yubormoq	send
ha	ga	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	qashshoq	haeberle
hahn	ha	hahn
hai	ikkita	two (adj.)
hal	hal	hal
halle	halqa	(proper noun) halle
halogen	halogen	halogen (n.)
ham	dudlangan cho&#39;chqa go&#39;shti	desire
hamilton	hamilton	(proper noun) hamilton
han	xon	han
hang	g&#39;or	cave
hangul	hangul	hangul
hanh	xon	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	qoramol	harald
hardy	jasur	hardy
harlem	garlem	harlem
harlow	qalliq	harlow
harold	qo&#39;pol	(proper noun) harold
harper	lira	harper
harpercollins	harpercollinlar	hapercollins
harrier	xaridor	harrier, as in harrier jump jet
harris	harris	harris
harry	xafa	harry
harvard	garvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havana	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	qirg&#39;iy	hawker
hawking	qirg&#39;iy	(proper noun) hawking, as in physicist stephen hawking
hay	yaxshi	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	u	he, a korean name
health	sog&#39;liq	health
heath	davolanish	heath
hee	hee	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	geynrix	heinrich
helen	helen	helen
helena	helena	helena
heli	geliy	helium
hematocrit	gematokrit	hematocrit
hemoglobin	gemoglobin	hemoglobin
hen	tovuq	asthma
henry	yana	(proper noun) henry, as in henry kissinger
heo	eskirgan	dolphin
her	uni	her
herbert	gerbert	herbert, as in herbert schandler
hercegovina	gercegovina	hercegovina
hercules	hujayralar	hercules
hermann	germann	hermann
hermes	germes	hermes
hersh	qichima	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	gestiya	hestia
hi	salom	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	xikam	(proper noun) hickam
hicks	hicks	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoshi	(proper noun) hideyoshi
hidro	vodorod	hydrogen
hillsborough	hillsborough	hillsborough
hilton	hilton	hilton
himalaya	himalaya	(proper noun) himalaya
hinata	xinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hindu	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hintron	circle
hiragana	hiragana	hiragana
hiroshi	xiroshi	hiroshi
hiroshima	xirosima	(proper noun) hiroshima, the japanese city
hitchcock	hiqildoq	hitchcock
hitler	urishqoq	hitler
hitter	xit	hitter
hitters	xitlar	hitters
hiên	ayvon	(proper noun) hiên, a vietnamese first name
hiđrô	vodorod	hydrogen
hiếm	kamdan-kam uchraydigan	rare
hiến	bermoq	devote
hiếp	zo&#39;rlash	rape
hiếu	xudojo&#39;ylik	pious
hiềm	kasal	grudge
hiền	adaçayı	sage
hiểm	xavfli	dangerous
hiểu	tushunmoq	learn
hiện	ko&#39;rsatish	"(term should be ""thực hiện"") to accomplish"
hiệp	yarmi	united
hiệu	ta&#39;siri	effective
hlv	murabbiy	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	gul	flower
hoan	festival	welcome
hogwarts	xogvarts	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	xokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	holokost	holocause
holocen	holotsen	holocen
holt	tepalik	holt, an english last name
hom	so&#39;qmoqlar	a cutting
homer	homer	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	gonduras	honduras
hong	xong	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	qushqo&#39;nmas	(proper noun) hopkins
hornet	shox	hornet
hotspur	qizigan joy	(proper noun) hotspur, as in tottenham hotspur
houston	huston	(proper noun) houston, as in whitney houston
howard	qanday qilib	(proper noun) howard
however	ammo	however
hoà	galstuk	peace
hoài	nostaljik	always (adv.)
hoàn	yakunlandi	"(term should be ""hoàn toàn"") completely"
hoàng	qirol	royal (adj.)
hoành	diafragma	rife
hoá	kimyo	"(term should be ""văn hoá"") culture (n.)"
hoán	perm	refined (adj.)
hoãn	ular ovqatlanishadi	delay
hoạ	bo&#39;yamoq	disaster (tham hoa)
hoại	gangrena	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	xentai	work
hoả	olov	of
hoảng	vahima	panic-stricken (adj.)
hoặc	yoki	or
hp	ot kuchi	hp
hq	hq	hq
hudgens	dudjonlar	(proper noun) hudgens
hudson	gudson	hudson
huey	xuey	huey
hughes	quchoq	hughes
hugo	hugo	(proper noun) hugo
hume	hum	hume, as in david hume
hun	ov	(proper noun) hun
hungary	osilgan	hungary
hunt	ov qilish	hunt
hurley	shoshqaloqlik	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	gusserl	huserl
huston	huston	huston
hutech	kulba	hutech
huy	huy	a common vietnamese first name
huynh	aka	older brother
huyền	mistik	huyền thoại= legend
huyễn	xayoliy	huyen
huyện	tuman	district
huyệt	akupunktur punktlari	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	hue	"a less common vietnamese word for ""flower"""
huấn	o&#39;qitish	"(term should be ""huận luyện"") to train (v.)"
huế	hue	hue
huệ	hue	favour
huống	quti	situation
