$ tỉ	$ r $	$ billion
cũ	atijọ	old
cũi	ọmọ ogun	kennel
cũng	pelu	also
cơm	iresi	rice
cư	gbe jade	resident
cưa	rí	saw
cưng	omo mi	also
cước	ẹru ọkọ	megaman
cưới	ti ni iyawo	marry
cướp	jale	to rob (v.)
cười	rerin	smile
cường	lagbara	strengthen
cưỡi	rin keke gigun	ride
cưỡng	fi agbara mu	force some body to do some thing. cưỡng dâm=rape
cạc	kaadi	card (n.)
cạn	aijinile	shallow
cạnh	eti	"(term should be ""khía cạnh"") an angle"
cạo	fa irun	shave
cạp	scorpion	scorpion
cả	mejeeji	both
cải	eweko	reform
cảm	tutu	pleasure
cản	ìparun	prevent
cảng	ibudo	port
cảnh	ibi isẹlẹ	situation
cảo	fa	posthumous
cấm	leewọ	ban
cấn	nilo	dramatic
cấp	yọọda	level or rank (n.)
cất	distilled	"(term should be ""cất giữ"") to keep safe or store"
cầm	dimu	to hold (v.)
cần	nilo	need
cầu	afara	request
cầy	civet	farmed
cẩn	ṣọra	carefully
cẩu	kireni	"(term should be ""hải cẩu"") a seal (n.)"
cận	sunmọ	close
cập	ohunka	mention
cậu	ọmọkunrin	a young man (n.)
cậy	gbarale	reliable
cắm	pulọọgi ninu	to plant (v.)
cắn	jẹ lẹnu	to bite
cắp	jale	steal
cắt	ge	cut
cằm	agbọn	chin
cằn	ikunsinu	exhausted (adj.)
cặp	àpò	couple
cọ	bi won ninu	rub
cọc	opoplopo	pile
cọp	ẹyẹ	tiger
cỏ	koriko	plant
cố	gbidanwo	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	ago	cereal
cối	amọ	mortar
cốm	nuggets	grilled rice
cống	imugbẹ	dedicate
cồn	oti	i
cồng	gong	gong
cổng	ilekun nla	gate
cỗ	deki	engine
cỗi	abori	barren
cộ	kẹkẹ ele	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	atijọ	origin
cộng	pẹlu	to add (v.)
cột	ẹka	pole
cớ	ikewo	excuse
cờ	asia	flag
cỡ	iwọn	size
cợt	nse awada	"(term should be ""đùa cợt"") to trifle (v.)"
cục	eka	department
cụm	iṣupọ	cluster
cụp	ge kuro	down
cụt	ge kuro	"(should be ""xương cụt"") the tailbone or coccyx"
củ	isu	a bulb, a botanical term
của	ti awọn	of
củi	igi ina	firewood
củng	tun	reinforce
cứ	loju	any
cức	tutu	"(term should be ""cức Đê"") a character in chinese history"
cứng	lile	hard
cứngi	hardi	cungi
cừ	ọpá	nacre
cừu	ọdọ aguntan	sheep
cửa	ilekun	door
cửu	isodipupo	nine
cữ	cu	abstinence
cữu	pẹpẹ	nine
cự	jinna	against
cựa	spurs	retreat
cực	òpó	extreme
cựu	tele	former
d	o	d.
da	awọ	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	alakikanju	persistent
daily	ojoojumo	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	da lat	da lat
dampier	dampier	(proper noun) dampier, a last name
dan	danu	dan
dancing	jijo	dancing
danger	ijamba	danger
danh	orukọ	list
daniel	daniel	daniel
dante	dante	dante
dao	ọbẹ	poniard
darwin	darwin	darwin
das	das	das
dassault	panṣaga	(proper noun) dassault
date	ọjọ	date
dau	epo	dau
dave	dave	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	diini	a name
degree	ìyí	degree
delhi	delhi	delhi
delphi	ẹyọ	(proper noun) delphi, as in the oracle
demeter	idibajẹ	(proper noun) demeter, the greek goddess of the harvest
den	den	den
dennis	dennis	dennis
department	eka	departmen
derek	derek	derek
des	des	des
descartes	sọkalẹ	descartes
design	thiết kế	thiet ke
deuterium	deuterium	deuterium
deutschland	deutschland	deutschland
dewan	dewan	dewan, as in dewan rakyat
dewitt	ẹlẹtọ	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diana	(proper noun) diana, as in diana ross
die	kú	german
diego	kú	diego
dien	irikuri	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	ààfin	official residence or palace
dionysus	dionysus	dionysus, as in the greek god
discovery	awari	discovery
discussion	ijiroro	discussion
disneyland	disneyland	disneyland
division	pipin	division
divoire	devoire	d'lvoire
diêm	ibaamu	diem vuong
diên	irikuri	"(term should be ""kinh diên"") canon (n.)"
diềm	valances	matches
diều	kapa	kite
diểu	farce	(proper noun) diểu
diễm	igba	beauty; a common vietnamese first name for women
diễu	irin-ajo	parade
diệc	ọmọ ogun	a heron (n.)
diệm	igba	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	oju	face to face
diệt	pa	to kill or destroy (v.)
diệu	idan	effective (adj.)
djibouti	djibouti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	nipasẹ	because of
doanh	apapọ	"(term should be ""kinh doanh"") business (n.)"
doc	doc	doc
docherty	docherty	docherty
dolly	iṣupọ	(proper noun) dolly, as in singer dolly parton
dome	éù	nha
dominican	dominican	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	douglas	douglas
dover	oluṣe	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	idẹruba	threat
dp	dp	dp
dracula	dracula	dracula
draft	ẹda akanṣe	draft
drake	sike	(proper noun) drake
driver	awako	a name
ds	ód	ds
dtd	àíd?	dtd
dth	àá	dth
du	du	travel
dubai	wo	dubai
duiker	duiker	duiker
duk	gbogbo	duk
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore
dung	ẹtu	portrait
durham	durham	durham
dursley	dursley	dursley
duy	nikan	only
duyên	ti pinnu tẹlẹ	coastal
duyện	fẹẹrẹ	fellatio
duyệt	ẹrọ aṣawakiri	browser
duơng	duong	ocean
duẩn	ibeji	duan
duật	igbọn	duat
duệ	iru-ọmọ	descendants (n.)
duỗi	taara	stretch
dwight	gbé	dwight
dà	dah	gradually
dài	gun	to lengthen, as in time
dàn	eto	to arrange
dàng	rọrun	dang
dành	lo	for
dào	lọpọlọpọ	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	nipọn	thick
dái	piss	"penis (n.), although some may use the term to mean ""testicles"""
dám	daiya	dare
dán	lẹẹ	stick
dáng	apẹrẹ	appearance
dát	gbin	inlay
dâm	agbọnrin	lustful (adj.)
dân	eniyan	people
dâng	ìfilọ	dedicate
dây	okun	nerve
dã	egan	chronicle
dãi	yọọda	band
dãn	atọka	extend
dãy	ibiti	a row (n.)
dè	ṣọra	tight
défense	dédé	defense
dép	sálúbàtà	slipper
dê	ewurẹ	goat
dì	arabinrin	aunt
dìu	dìu	to lead by the hand (v.)
dính	alalepo	stick
dò	wa	(with word tham) to survey
dòm	wo	snoop
dòng	lọwọlọwọ	"(term should be ""dòng họ"") family (n.)"
dó	iyẹn	a type of plant used to make paper in vietnam (n.)
dông	ãrá	a storm (n.)
dõi	orin	monitor
dù	botilẹjẹpe	though
dùi	ẹlẹsẹ	awl
dùng	lo	use
dăm	shavings	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	dajudaju	why
dĩa	awo	dish
dũng	akinkanju	courage
dơ	dọti	dirty
dơi	adan	bat
dư	aloku	remnant
dưa	melons	melons
dưng	duro	suddently
dương	rere	penis
dường	dabi	seem
dưỡng	nọọsi	feed
dược	ile elegbogi	having to do with medicine (adj.)
dượng	arakunrin	uncle
dạ	bẹẹni	night
dại	aṣiwere	stupid or idiotic (adj.)
dạn	bẹru	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	ọna kika	tyoe
dạo	irin ajo	vending
dạt	fo	to drift
dạy	kọ	teach
dải	rinhoho	range
dấm	kikan	vinegar
dấp	ikọsẹ	shape
dấu	ami	signal
dấy	iwuri	to raise (v.)
dần	di .di.	people
dầu	epo	oil
dẫm	ìtẹ	step on
dẫn	itọsọna	to lead
dẫu	botilẹjẹpe	though
dận	aunty	to step on
dậu	akukọ	rooster
dậy	dide	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	darí	lead
dằn	kunkun	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	jubẹẹlo	dằng dai= long/endless
dẳng	jubẹẹlo	persist
dặm	maili	mile
dặn	paṣẹ	to advise (v.)
dặt	paṣẹ	conservative
dẹp	alapin jade	pacify
dẹt	alapin	flat
dẻ	àyà	chestnut
dẻo	ṣiṣu ṣiṣu	flexible
dế	crickets	cricket
dền	amaranth	beetroot
dể	rọrun	easy
dễ	rọrun	easy
dệt	ti a hun	textile
dị	okansoso	simple
dịch	tumọ	semen
dịp	ayeye	occasion
dịu	ẹlẹgbẹ	ease
dọa	idẹruba	to threaten or scare (v.)
dọc	inaro	along
dỏm	oloye	witty
dốc	iho	slope
dối	parọ	lie
dốt	alaimọ	stupid or ignorant (adj.)
dồi	lọpọlọpọ	"(term should be ""trau dồi"") improve (v.)"
dồn	cornered	accrue
dỗ	coax	dirty
dời	gbe	leave
dở	buburu	incomplete
dỡ	ikojọpọ	remove
dụ	fun apere	example
dục	ibalopọ	sexuality
dụng	lo	use
dứa	ope oyinbo	pineapple
dứt	duro	to cease
dừa	agbon	coconut (n.)
dừng	duro	to cease
dữ	data	"(term should be ""giận dữ"") anger (n.)"
dự	iṣẹ akanṣe	attend
dựa	orisun	base on
dực	akọ	dực, as in lê tương dực
dỹ	dỹ	dy
e	é	e.
ea	éù	(proper noun) ea, as in ea kao
earles	awọn afikọti	earles
eaton	jẹun	eaton
ebro	ebro	a name
ecmascript	àmójúmu	ecmascript
ecw	àwæn	ecw
edda	edda	(proper noun) edda
edgar	edgar	edgar, as in author edgar allan poe (n.)
edge	eti	edge
edinburgh	edinburgh	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	olootu	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	egypt	egypt
eid	éù	(proper noun) eid
eiffel	eiffel	eiffel
einstein	einstein	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	itanna	electronic
eliane	eliane	(proper noun) eliane
elip	agekuru	ellipse
elizabeth	elizabeth	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	agbon	(proper noun) elton, as in elton john
elvis	igbonwo	elvis
elíp	agekuru	ellipse
em	iwo	younger sibling
email	imeeli	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	olú ọba	emir
emmy	emmy	emmy
en	yo	erica reef
energy	agbara	energy
engels	engels	engels
england	gẹẹsi	(proper noun) england, as in new england
eniac	eniac	eniac
entente	entente	entente
entropy	entropy	entropy
enzym	enzymu	enzymes
eo	ẹgbẹ-ikun	eo, as in the film captain eo
ep	éú	a name
erich	erich	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	àṣìṣe	(proper noun) ernest
eros	iwoyi	eros, greek god of love
erwin	erwin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	pataki	essential
ethernet	ethernet	ethernet
ethiopia	ethiopia	(proper noun) ethiopia
euclid	euclid	euclid
eugene	eugene	eugene
eugène	eugène	(proper noun) eugène
euler	euler	euler
euro	euro	euro, as in the european currency
eurofighter	eurofighter	eurofighter
europe	yuroopu	europe
european	oyinbo	(proper adjective) european
eva	eva	eva
everton	everton	everton
every	gbogbo	every
exgay	han	exgay
explorer	aṣawakiri	explorer
extensive	sanlalu	extensive
fabio	aṣọ	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	o daju	fact
facto	facto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	awọn ẹya	features
federer	onitọju	federer
feet	ẹsẹ	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	felix	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferkir	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fiat	fiat
fidel	iṣootọ	fidel
field	pápá	field
fifa	fifa	fifa
fifpro	fifọ	fifpro
figo	figo	figo
fiji	fiji	fiji
finish	pari	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	apẹja	fischer, as in louis fischer
fish	ẹja	fish
fishbed	ẹja	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	flanker	flanker
fleming	fleming	fleming
flight	ọkọ ofurufu	flight
foch	foch	(proper noun) foch
focus	idojukọ	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	oúnjẹ	food
football	bọọlu	bong da
forbes	forbes	(proper noun) forbes, as in the magazine
ford	ṣeéṣe	(proper noun) ford
fordham	onídò	(proper noun) fordham
forks	forks	forks
foundation	ipile	foundation
fox	kọlọkọ	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	franc	franc
france	itanran	france
frances	awọn ododo	frances
francis	francis	francis, as in francis xavier
francisco	francisco	francisco
franco	franco	franco
frank	otitọ	frank
frankfurt	ffefurt	(proper noun) frankfurt
franklin	franklin	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	freud	(proper noun) freud, as in sigmund freud
friedman	adun	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	igbadun	(proper noun) funimation
funk	funk	funk
futsal	futsal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	gagarin	gagarin
gaia	gaia	gaia
gaillard	agbọnrin	gaillard
galilei	galilei	galilei
galileo	galileo	galileo, the astronomer
gam	giramu	gam
gambia	gambáà	gambia
gamow	agba	a name
gan	ẹdọ	liver
gandhi	gandhi	gandhi, as in mahatma gandhi
gang	egbe onijagidijagan	cast iron
ganh	owú	to be jealous
gao	iresi	strictly
gareth	ibudo	a name
garrett	garrett	garrett
gary	iwin	gary
gascon	ategun	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaulois	gaulois
gay	onibaje	tense
gaza	gaza	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	geisha	geisha
gen	jiini	gene
gene	ẹbun	(proper noun) gene, an english first name
genesis	jiini	(proper noun) genesis
georg	georg	(proper noun) georg
george	george	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	kokoro	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	jẹmánì	german
germany	jẹmánì	germany
gerrard	oniye	gerrard, a last name
ghana	ghana	(proper noun) the african country of ghana
ghe	ọkọ oju omi	canoe
ghen	owú	to be jealous (v.)
ghi	kọ awọn	write
ghim	pin	pin
ghé	duro	visit
ghép	alọmọ	fit
ghê	ẹ̀ru	disgust
ghì	ghì	tighten
ghẻ	scabies	scabies (n.)
ghế	alaga	chair
ghề	rapids	scabby
ghềnh	rapids	waterfall (n.)
gia	gia	date
giai	ipele	period
giam	ẹwọn	imprison
gian	aaye	"(term should be ""thời gian"") time (n.)"
giang	giang	syphilis
gibraltar	gibraltar	(proper noun) gibraltar
gichin	gichin	gichin
gieo	gbìn	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	aran	worm
giuse	giuse	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	giza	giza
già	atijọ	old (adj.)
giàn	awọn amọran	"(term should be ""giàn hoa"") a trellis girder"
giành	ni itara	secure
giàu	ọlọrọ	rich or wealthy (adj.)
giày	awọn bata	a shoe
giá	owo	estimate
giám	oludari	"(term should be ""giám sát"") to supervise (v.)"
gián	akukọ	"(term should be ""gián tiếp"") indirectly"
giây	-aaya	seconds
giã	iwon	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	na	stretch
gièm	awọn olutọpa	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	jesu	jesus
giêxu	dudu	jesus
giò	awọn eerun orisun omi	leg
giòi	iṣu	maggot (n.)
giòn	crunchy	crunchy or crispy (adj.)
gió	afẹfẹ	wind
gióng	fẹran	align
giúp	egba mi o	help
giũa	faili	sharpen
giơ	jam	raise
giương	didọ	posture
giường	ibusun	bed
giả	iro	fake (adj.)
giải	ojutu	solution
giảm	idinku	decrease
giản	irọrun	"(term should be ""giản dị"") simple (adj.)"
giấc	sun	giấc ngủ= the sleep
giấm	kikan	drabble
giấu	tọju	hide
giấy	iwe	paper
giầu	ọlọrọ	rich
giận	binu	angry
giằng	àmúró	pull
giặc	ọtá	enemy
giặt	wẹ	to wash (n.)
giếng	daradara	well
giết	pa	kill
giềng	aládùúgbò	"(term should be ""láng giềng"") neighboring"
giễu	ipaya	ridicule
giọng	ohun orin	tone
giọt	silẹ	drop
giỏ	apeere	basket
giỏi	nla	good
giồng	giong	mound
giỗ	aseye iku	anniversaries of deaths
giới	akọ	gender
giờ	wakati	bao giờ=ever
giở	filasi	to open or unfold (v.)
giỡn	nse awada	joke
giục	ro o	urge
giữ	mu	hold
giữa	laarin	between
gladys	ayo	gladys
glazer	glazer	glazer
glonass	ekan	glonass
gloria	gloria	gloria
gloster	ibowo	(proper noun) gloster, as in gloster meteor
glucose	glukosi	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	lọ	"(term should be ""gay go"") tense"
goes	lọ	goes
goku	goku	goku
golden	ti goolu	golden
gom	kó	to gather (v.)
google	google	google
gorbachev	gorbachev	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	gore	gore
gorky	gorky	gorky, as in gorky park
gothic	onibaje	gothic
gottfried	gottfried	gottfried
grabeel	mú	grabeel, a last name
graham	graham	graham
granada	granada	granada
granit	giranaiti	granite
greek	ọfun	(proper noun) greek
greenland	ile alawọ ewe	greenland
greenson	ọya	(proper noun) greenson
greenwich	alawọ ewe	(proper noun) greenwich
greg	greg	greg
grenada	alumọni	grenada
grenadines	alumọni	grenadines
gross	gbogbogbo	gross
grumman	gúnfá	(proper noun) grumman
gruzia	georgia	gruzia
gryffindor	gryffindor	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	ara	gu
guam	guam	guam
guard	ṣọ	guard
guatemala	guatemala	guatemala
gui	gui	gui
guinea	guinea	guinea
guinness	guinness	(proper noun) guinness
guitar	gita	guitar
gujarat	gujarati	gujarat
gulag	gulag	gulag
gulf	ọgbun	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	ìbọn	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	guyana	guyana; proper noun
gà	adiẹ	chicken
gài	tuck	to fasten (v.)
gào	pariwo	"(term should be ""thét gào"") to cry out (v.)"
gác	ṣọ	guard
gái	ọmọbinrin	girl
gán	yan	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	gbe	hold
gáy	nape	crow
gân	sunmọ	tendon
gây	fa	make
gãy	fifọ	break
gì	kini	what
gìn	se itoju	preserve
gò	òkè	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòke	gon
góa	opó	widowed
góc	igun	angle
gói	package	goi
góp	san-diẹdiẹ	to contribute
gót	igigirisẹ	heels
gõ	oriṣi	type
göbbels	göbbels	gobbels, as in joseph gobbels
găm	hoard	poniard
găng	awọn ibọwọ	gloves
gũi	sunmọ	close
gươm	idà	sword
gương	digi	mirror
gạc	eefun	johnson south reef
gạo	iresi	rice
gạt	jibiti	to cheat or trick (v.)
gả	igbeyawo	marry
gảy	fọ	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	ọwọ	gac
gấm	agbọnrin	brocade
gấp	yiyara	times, as in many times
gấu	agbateru	a bear (n.)
gần	nitosi awọn	near
gầy	tinrin	thin
gẫy	fifọ	break
gập	agbo	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	ọpá	stick
gắm	fart	send
gắn	agesin	mount
gắng	gbidanwo	try
gắt	lile	intense
gặm	panini	rodent
gặp	pàdé	meet
gặt	kórè	harvest
gỉ	ariyanjiyan	rust
gọi	pe	call
gọn	afinju	neat (adj.)
gọng	rimmed	gong
gọt	peeli	cut
gỏi	saladi	a vietnamese salad
gốc	oti	origin (n.)
gối	irọri	"(should be ""qùy gối"") to kneel"
gốm	seramiki	pottery
gồm	pẹlu	include
gồng	gong	carry
gỗ	igi	wood
gội	ọṣẹ-ifọrun	shampoo
gộp	dapọ	aggregate
gớm	hideous	tremendous
gờ	adari	edge
gởi	firanṣẹ	send
gỡ	yọ kuro	meet
gợi	aba	to evoke (v.)
gục	silẹ	"(term should be ""đánh gục"") crush, as in battle"
gừng	atalẹ	ginger
gửi	lati firanṣẹ	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	haeberle	haeberle
hahn	hahn	hahn
hai	meji	two (adj.)
hal	ọkan	hal
halle	ni agbedemeji	(proper noun) halle
halogen	halogen	halogen (n.)
ham	ngbe	desire
hamilton	amọtẹ	(proper noun) hamilton
han	han	han
hang	ihò	cave
hangul	hangul	hangul
hanh	hanh	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	haddi	hardy
harlem	harlem	harlem
harlow	harlow	harlow
harold	harold	(proper noun) harold
harper	harper	harper
harpercollins	harpercollins	hapercollins
harrier	alairi	harrier, as in harrier jump jet
harris	harris	harris
harry	harry	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havana	(proper noun) havana, cuba
havilland	haṣile	havilland
hawker	ode onija	hawker
hawking	yinyin	(proper noun) hawking, as in physicist stephen hawking
hay	o dara	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	oun	he, a korean name
health	ilera	health
heath	ilera	heath
hee	hee	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	arabinrin	heian
heinrich	heinrich	heinrich
helen	helen	helen
helena	helena	helena
heli	irinse	helium
hematocrit	idaamu	hematocrit
hemoglobin	haemololobin	hemoglobin
hen	gboo	asthma
henry	henry	(proper noun) henry, as in henry kissinger
heo	stale	dolphin
her	rẹ	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	hercules	hercules
hermann	hermann	hermann
hermes	hermes	hermes
hersh	arabinrin	hersh, as in seymour hersh
hesiod	igbaju	hesiod
hestia	hektari	hestia
hi	bawo	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	hicks	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoshi	(proper noun) hideyoshi
hidro	hydrogen	hydrogen
hillsborough	egbe kelegbe	hillsborough
hilton	hilton	hilton
himalaya	himalaya	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hindu	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hórónì	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	hiroshima	(proper noun) hiroshima, the japanese city
hitchcock	kọlu	hitchcock
hitler	kọlu	hitler
hitter	kọlu	hitter
hitters	awọn ikọlu	hitters
hiên	iloro	(proper noun) hiên, a vietnamese first name
hiđrô	hydrogen	hydrogen
hiếm	ṣọwọn	rare
hiến	fifun	devote
hiếp	ifipabanilopo	rape
hiếu	ibẹru igboya	pious
hiềm	aisan	grudge
hiền	sage	sage
hiểm	lewu	dangerous
hiểu	loye	learn
hiện	ṣafihan	"(term should be ""thực hiện"") to accomplish"
hiệp	idaji	united
hiệu	ipa	effective
hlv	olukọ	trainer
hms	hms	hms
hmông	hmong	hmong
hn	loni	hn
hoa	òdòdó	flower
hoan	ayẹyẹ	welcome
hogwarts	hogwarts	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	eré	hokage
hokusai	hokusai	hokusai
holmes	awọn iho	a name
holocaust	ipanu	holocause
holocen	holocene	holocen
holt	holt	holt, an english last name
hom	eso	a cutting
homer	homer	(proper noun) homer, the authorof the iliad and the odyssey
hon	ẹni	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	hopkins	(proper noun) hopkins
hornet	awó	hornet
hotspur	hotspur	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	bawo	(proper noun) howard
however	sibẹsibẹ	however
hoà	tai	peace
hoài	alaibọwọ	always (adv.)
hoàn	pari	"(term should be ""hoàn toàn"") completely"
hoàng	ọba	royal (adj.)
hoành	diaphragm	rife
hoá	kemistri	"(term should be ""văn hoá"") culture (n.)"
hoán	perm	refined (adj.)
hoãn	wọn jẹ	delay
hoạ	kun	disaster (tham hoa)
hoại	ajagun	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	hentai	work
hoả	ina	of
hoảng	ẹrù	panic-stricken (adj.)
hoặc	tabi	or
hp	hp	hp
hq	hq	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	huey	huey
hughes	famọra	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	hun	(proper noun) hun
hungary	onigun	hungary
hunt	ọdẹ	hunt
hurley	huruu	(proper noun) hurley, as in chad hurley
hussein	hussein	hussein
husserl	husserl	huserl
huston	huston	huston
hutech	hutech	hutech
huy	ooya	a common vietnamese first name
huynh	arakunrin	older brother
huyền	mystical	huyền thoại= legend
huyễn	itanran	huyen
huyện	agbegbe	district
huyệt	awọn aaye acupuncture	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	hue	"a less common vietnamese word for ""flower"""
huấn	idanileko	"(term should be ""huận luyện"") to train (v.)"
huế	hue	hue
huệ	hue	favour
huống	ọran	situation
huỳnh	efin	sulfur
huỷ	fagile	destroy
hydra	hydra	hydra, a monster in greek mythology
hydro	hydrogen	hydrogen
hyperion	hyperion	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	awada	corpse
hàm	eegun	"(term should be ""bao hàm"") to imply (v.)"
hàng	kana	row
hào	moat	depreciation
hách	apọju	glorious
hái	mu	picking
hán	ogbele	china
háo	ni itara	eager
hát	kọrin	song
hâm	irikuri	"(term should be ""hâm mộ"") to admire (v.)"
hân	han	le ngoc han
hãi	bẹru	to be scared (v.)
hãn	khan	to sweat (v.)
hãng	ile-iṣẹ	a company (n.)
hãnh	agberaga	proud
hè	igba ooru	summer
hé	ti fẹẹrẹ	reveal
héo	gbẹ	dried-out
hét	kigbe	shout
hên	oriire	luck
hí	àí	game
hít	simi	act of kissing (hon hit)
hò	ibaṣepọ	date
hòa	tai	republic
hòe	nik	hoe
hòm	ọkọ	box
hòn	erekusu	island
hòng	daradara	in order to
hóc	hóc	a corner (n.)
hót	kọrin	to chirp or sing (v.)
hô	ho	respiration
hôi	ulrun	stink
