$	ps	american dollar symbol
உலகை	mundo	the world
உலர்	seco	dry
உலாவிகள்	navegadores	sevagar
உலாவியானது	el navegador	internets
உலோக	metal	metal
உலோகங்கள்	rieles	iron
உலோகவியல்	metalúrgico	metullargy
உள	psicometrico	in their
உளர்	seco	exist
உளவியலாளர்கள்	psicólogos	cycriatist
உளவியலின்	psiquiatría	psychology
உளவியலில்	en psicología	physcology
உளவியல்	psicología	psychology
உள்	interno	inside
உள்கட்டமைப்பு	infraestructura	interpution
உள்நாட்டு	doméstico	import
உள்நாட்டுக்	doméstico	inland
உள்நாட்டுப்	patria	internally
உள்பட	incluso	consists of
உள்ள	los	of
உள்ளக	interior	inside
உள்ளடக்கத்தை	contenido	content
உள்ளடக்கம்	contenido	content
உள்ளடக்கி	incluye	in that
உள்ளடக்கிய	inclusivo	contained
உள்ளடக்கியது	incluye	included
உள்ளடக்கியிருந்தது	compuesto	index
உள்ளடக்கியுள்ளது	incluye	including
உள்ளடக்குகிறது	incluye	containing
உள்ளடக்கும்	cubierta	including that
உள்ளதா	es	does the
உள்ளதாக	ser - estar	be
உள்ளதால்	si usted es	on
உள்ளது	es	in place
உள்ளதை	qué	presence
உள்ளன	ahí	having that
உள்ளனர்	son	there are
உள்ளமைப்பு	configuración	embedded
உள்ளம்	corazón	soul
உள்ளவர்கள்	personas	followers
உள்ளவை	en la zona	being
உள்ளாகி	sometido	made
உள்ளானது	sucumbido	under
உள்ளார்கள்	son	is
உள்ளார்ந்த	inherente	internal
உள்ளிட	entrar	including that
உள்ளிட்ட	incluso	including all
உள்ளீடு	entrada	input
உள்ளூர்	local	local
உள்ளே	dentro	inside
உள்வாங்கி	aductor	adductor
உழைக்கும்	trabajando	working
உவமைகள்	ilustraciones	action
ஊ	f	oo
ஊக்கம்	alentador	encourage
ஊக்கிகள்	hormonas	stimulants
ஊசி	inyección	injection
ஊடக	prensa	through
ஊடகங்கள்	medios de comunicación	media
ஊடகத்தின்	de los medios	a way of
ஊடகத்தில்	en los medios	in media
ஊடகம்	medios de comunicación	media
ஊடகவியல்	periodismo	journalism
ஊடாக	mediante	way
ஊடாகவும்	mediante	oodagam
ஊடுருவல்	navegación	interfer
ஊட்டச்சத்து	nutrición	vitamin
ஊட்டி	alimentar	feed
ஊதா	púrpura	blue
ஊரின்	caminos	city
ஊரில்	en la ciudad	city
ஊரு	dónde están	a place or village
ஊருக்கு	hacia el pueblo	town
ஊர்	ur	city
ஊர்களின்	de pueblos	in towns
ஊர்களும்	hijas	towns
ஊர்வன	reptiles	reptiles
ஊற்று	fuente	pond
ஊழல்	corrupción	scam
ஊழியர்கள்	trabajadores	employees
எ	una	a
எகா	p.ej	eg. (example)
எகிப்தின்	de egipto	egypt
எகிப்திய	egipcio	egipt
எகிப்து	egipto	egipt
எக்ஸ்	x	x
எக்ஸ்பி	xp	windows xp
எக்ஸ்பிரஸ்	rápido	express
எக்ஸ்புளோளர்	ekspulolar	explolar
எங்க	dónde	from where
எங்கள்	nuestra	ours
எங்கு	dónde	where
எங்கும்	en ninguna parte	everywhere
எங்கே	dónde	where
எசுத்தர்	ester	ester
எசுப்பானிய	español	espania
எசுப்பானியா	españa	yesupania
எச்	h	h
எச்.டி.எம்.எல்	html	html hyper text markup language
எச்ஐவி	vih	hiv
எச்சம்	residuo	leavings
எச்சரிக்கை	advertencia	warning
எச்டிஎம்எல்	html	hyper text markup language html
எஞ்சிய	esperado	balance
எடிசன்	edison	edison
எடிட்	editable	edit
எடு	recoger	take
எடுக்க	tomar	to take
எடுக்கப்படும்	ganancias	taken from
எடுக்கப்பட்ட	los	taken
எடுக்கும்	tomará	taking
எடுத்த	los	take
எடுத்தல்	retirada	taking
எடுத்து	tomar	take
எடுத்துகாட்டாக	por ejemplo,	example
எடுத்துக்	tomar	to take
எடுத்துக்காட்டாக	por ejemplo,	for example
எடுத்துக்காட்டு	ejemplo	for example
எடுத்துக்காட்டுகள்	ejemplos	example
எடுத்துக்காட்டுக்கு	por ejemplo,	for example
எடுத்துக்கொண்டு	tomar	taken
எடுத்துக்கொள்ள	tomar	taking
எடுத்துச்	tomar	taken
எடை	peso	weight
எட்டாம்	octavo	eigth
எட்டாவது	octavo	eight
எட்டு	ocho	eight
எட்டுத்தொகை	ettutokai	ettuthokai
எட்வர்டு	eduardo	edward
எண்	número	number
எண்கணித	aritmético	numeric
எண்கணிதம்	aritmética	numerical maths
எண்களின்	numeros de	numbers
எண்களில்	en números	in numbers
எண்களை	los números	numbers
எண்களைப்	números	letters
எண்கள்	números	numbers
எண்டி	enti	nt
எண்ணங்கள்	pensamientos	thoughts
எண்ணத்தில்	dilema	with the intention
எண்ணம்	intención	thought
எண்ணற்ற	incontable	many
எண்ணி	contando	to count
எண்ணிக்கை	número	counts
எண்ணிக்கையிலான	número	in numbers
எண்ணிக்கையில்	en número	count
எண்ணிக்கையை	contar	countings
எண்ணெய்	petróleo	oils
எண்ணை	número	oil
எதிராக	en contra	opposing
எதிராகப்	en contra	opponent
எதிரான	en contra	anti
எதிரிகளின்	de enemigos	enemies
எதிரிகள்	enemigos	enemies
எதிர்	en contra	fight
எதிர்கால	futuro	future
எதிர்காலத்தில்	en el futuro,	in future
எதிர்காலம்	el futuro	future
எதிர்காலவியல்	futurología	future
எதிர்க்க	resistirse	to oppose
எதிர்க்கும்	opuesto	opposing
எதிர்த்தனர்	opuesto	oppose
எதிர்த்துப்	en contra	opposing
எதிர்பாராத	inesperado	unexpected
எதிர்பார்க்கப்படுகிறது	esperado	expected
எதிர்பால்சேர்க்கை	heterosexualidad	sexual intercourse
எதிர்ப்பாற்றல்	resistencia	resistance
எதிர்ப்பு	anti	opponent
எதிர்ப்புத்	protestado	opposed
எதிர்ப்புப்	anti	resistance
எதிர்மறை	negativo	opposite
எதிர்மின்னி	electrón	electorn
எது	qué	which one
எதை	qué	which
எதையும்	cualquier cosa	by all
எத்தனை	cuántos	how many
எத்தேன்	etano	ethylene
எந்த	alguna	which
எந்தக்	alguna	which
எந்தச்	alguna	any
எந்தத்	alguna	which
எந்தப்	alguna	whatever
எந்தவித	alguna	whatever
எந்தவொரு	alguna	any one
எந்தெந்த	qué	which and all
எனக்	los	self
எனக்கு	yo	me
எனச்	ese	as
எனது	mi	my
எனத்	ese	from beginning
எனப்	nombrada	likewise
எனப்படுகின்றது	conocido	was called
எனப்படுகின்றன	conocido	was called
எனப்படுகிறது	conocido	is called
எனப்படும்	los	like that
எனப்படுவது	conocido	called
எனப்படுவர்	son llamados	called
எனப்பட்ட	conocido	called
எனலாம்	probablemente	like that
எனவும்	los	as
எனவே	por lo tanto	so
எனினும்	sin embargo,	also
எனில்	en mi	in my
எனும்	los	called
என்	mi	n, an acronynm
என்கின்ற	ese	said
என்கின்றனர்	chivers	they said
என்கிற	los	named
என்கிறது	dice	saying
என்கிறார்	dice	according to that
என்கிறார்கள்	ellos dicen	is
என்சைக்ளோபீடியா	enciclopedia	encyclopedia
என்ஜினியரிங்	ingenieria	engineering
என்ன	qué	to plan
என்னவெனில்	qué	it means
என்னவென்றால்	los	the thing is
என்னுமிடத்தில்	lugar en	at
என்னும்	los	having that name
என்னை	yo	me
என்பதற்கான	los	as
என்பதற்கு	los	for that
என்பதாக	ser - estar	is believed
என்பதாகும்	medio	called
என்பதால்	desde el	so that
என்பதிலிருந்து	de	from
என்பதில்	en el	in
என்பது	los	is
என்பதுடன்	los	because of that
என்பதும்	los	also
என்பதே	los	like that
என்பதை	ya sea	that
என்பதைக்	ese	to that
என்பதைத்	ese	like that
என்பதைப்	qué	with the pupose of
என்பதையும்	ya sea	that also
என்பதோடு	los	then
என்பன	los	about
என்பனவாகும்	son	is called by
என்பனவும்	también	likewise
என்பர்	conocido	say
என்பவன்	nombrada	a person called
என்பவரால்	por	named
என்பவரின்	por el	respectful
என்பவரே	operando un	named
என்பவரை	nombrada	as a
என்பவர்கள்	oms	so called
என்பவற்றுக்கு	mas que	them
என்பவற்றை	de	these things
என்பார்	dice	call so
என்போர்	representado	such as
என்ற	los	in
என்றனர்	dijo	state
என்றழைக்கப்படுகிறது	llamado	is called as
என்றழைக்கப்படும்	conocido	is called
என்றழைக்கப்பட்ட	llamado	so called
என்றவாறு	habitantes	macros
என்றார்	dijo	he said
என்றாலும்	a pesar de que	even though
என்றால்	si el	meaning of
என்று	ese	they are called by
என்றும்	y	any time
என்றெல்லாம்	ya sea	is also
என்றே	ese	as
என்றோ	o	like that
எபிமெரிஸ்	efemérides	ephemeris
எபிரேய	hebreo	arabic
எப்	f.	f is a letter fiwf
எப்படி	cómo	how about
எப்பொழுது	cuando	always
எப்பொழுதும்	siempre	whenever
எப்போதாவது	de vez en cuando	some time
எப்போதும்	nunca	always
எம்	metro	m
எம்ஜிஆரின்	mgr&#39;s	m.g.r's
எம்ஜிஆர்	monseñor	m.g.r
எம்பயர்	imperio	yenbear
எய்ட்ஸ்	sida	aids
எரிசக்தி	energía	fuel
எரிச்சல்	irritable	burning
எரிபொருள்	combustible	fuels
எரிமலைகளின்	de volcanes	valcano
எரிமலைகள்	volcanes	volcano
எரிமலைக்குழம்பு	lava	volcano lava
எரிமலைச்	volcánico	volcano
எரிமலையின்	volcánico	valcano
எரியும்	ardiente	burning
எரிவாயு	gas	fuels
எர்த்	tierra	earth
எர்பியம்	erbio	metal
எறிந்த	tiró	thrown
எறும்பு	hormiga	ant
எலிசபெத்	elizabeth	elizabeth
எலும்புக்கூடு	esqueleto	skeleton
எல்	l	mention the english letter l
எல்லா	todas	including all
எல்லாக்	todas	by all
எல்லாப்	todas	all
எல்லாமே	todo	by all
எல்லாம்	todo	all
எல்லாவற்றையும்	todo	by all
எல்லிஸ்	ellis	ellies
எல்லை	frontera	boundaries
எல்லைகளாக	fronteras	boundaries
எல்லைகளில்	en las fronteras	boundaries
எல்லைகளை	horizontes	boundaries
எல்லைகள்	límites	borders
எல்லைக்கு	límites	borderline
எல்லைக்குள்	territorio	within border
எல்லையாக	frontera	border
எல்லையில்	frontera	boundaries
எல்லையை	frontera	border
எல்லோருக்கும்	todo el mundo	for all
எல்லோரும்	todos	all
எளிதாக	fácil	easy
எளிதான	fácil	easily
எளிதில்	fácilmente	easily
எளிமையான	sencillo	simple
எளிய	sencillo	simple
எழுச்சி	subir	awakening
எழுத	escribir	write
எழுதப்	escribir	write
எழுதப்படுகின்றன	escrito	written
எழுதப்பட்ட	escrito	written
எழுதப்பட்டது	escrito	written
எழுதி	escritura	write
எழுதினார்	escribió	was written by
எழுதிய	escribió	written
எழுதியது	escribió	written
எழுதியவர்	escritor	writer
எழுதியுள்ள	escritura	in written
எழுதியுள்ளார்	escribió	written
எழுதுதல்	escritura	writing
எழுதும்	escritura	write
எழுதுவது	escritura	to be written
எழுத்தாளர்	escritor	writer
எழுத்தாளர்கள்	escritores	writers
எழுத்து	letra	wrintings
எழுத்துகள்	caracteres	letters
எழுத்துக்களின்	personajes de la	letters
எழுத்துக்களில்	escritos	in letters
எழுத்துக்களும்	alfabetos	including alphabets
எழுத்துக்களை	alfabeto	letters
எழுந்த	los	stands with
எழுந்தது	arose	raised
எழுந்தன	arose	araised
எழுந்து	arriba	rise
எழுபது	setenta	seventy
எழும்	rebote	rise
எவரும்	nadie	nobody
எவை	qué	what are the
எவ்வளவு	cómo	how much
எவ்வித	alguna	any
எஸ்	diapositivas	s is the initial
எஸ்எ	ese	si unit
எஸ்எஸ்	ss	ss
ஏ	a.	in world's information book(a)
ஏகாதிபத்திய	imperialista	dictatorial
ஏதாவது	alguna cosa	any
ஏதாவதொரு	alguna	any one
ஏதுவாக	texturas	easily
ஏதென்ஸ்	atenas	athens
ஏதேனும்	alguna	any
ஏதோ	alguna cosa	somthig
ஏனெனில்	porque	because
ஏனென்றால்	porque	because
ஏனையவை	otros	other
ஏன்	por qué	why
ஏபிஐ	api	abi  software
ஏப்ரல்	abril	april
ஏயூ	au	astronomical unit
ஏரண	lógico	sections
ஏராளமாக	abundantemente	lavish
ஏராளமான	numeroso	in large number
ஏரி	lago	canal
ஏரிகள்	lagos	lakes
ஏரியின்	lago	lakes'
ஏரோது	herodes	a king of hebrew
ஏர்டெல்	airtel	airtel
ஏர்ட்சு	ertcu	frequency
ஏறக்குறைய	aproximadamente	approximately
ஏறத்தாழ	aproximadamente	nearly
ஏறி	trepador	to climb
ஏறிய	me metí en el	assume
ஏற்க	aceptar	accept
ஏற்கனவே	ya	already
ஏற்கும்	receptivo	accept
ஏற்கெனவே	ya	already
ஏற்பட	ocurrir	to be able
ஏற்படக்கூடிய	potencial	aftermath
ஏற்படலாம்	dirigir	may happen
ஏற்படுகின்றது	ocurre	caused
ஏற்படுகின்றன	ocurrir	occur
ஏற்படுகிறது	causas	happens
ஏற்படுத்தப்பட்ட	establecido	buid
ஏற்படுத்தி	causado	to create
ஏற்படுத்திக்	establecido	to create
ஏற்படுத்தின	causado	caused
ஏற்படுத்திய	causado	created by
ஏற்படுத்தியது	causado	created
ஏற்படுத்துகின்றன	porque	makes
ஏற்படுத்துகிறது	causas	causes
ஏற்படுத்தும்	porque	causes(verb)
ஏற்படும்	porque	the
ஏற்படுவதால்	causado	so that
ஏற்படுவது	comienzo	arise
ஏற்பட்ட	los	an
ஏற்பட்டது	ahí	there was a
ஏற்பட்டன	ahí	happened
ஏற்பட்டு	ahí	to create
ஏற்பட்டுள்ளது	ahí	formed
ஏற்பாடு	organizado	organized
ஏற்பாடுகள்	preparativos	arrangements
ஏற்பாட்டில்	testamento	book
ஏற்பு	aceptación	to accept
ஏற்ற	carga	relate
ஏற்றது	adecuado	take in
ஏற்றவாறு	adecuadamente	suitable
ஏற்று	carga	accepted
ஏற்றுக்	aceptado	load
ஏற்றுக்கொள்ள	aceptar	acceptable
ஏற்றுக்கொள்ளும்	receptividad	to be accepted
ஏற்றுமதி	exportar	exports
ஏற்றுமதியில்	exportaciones	esport
ஏழாம்	séptimo	seventh
ஏழாவது	séptimo	seventh
ஏழு	siete	seven
ஏழை	pobre	poors
ஏழைகள்	los pobres	poor poeple
ஏழ்மை	la pobreza	poor
ஏவுகணைகள்	misiles	missiles
ஐஇ	es decir	i.e
ஐக்	podría	it
ஐக்கிய	unido	united
ஐங்குறுநூறு	ainkurunuru	five small hundred
ஐதரசன்	hidrógeno	mercury
ஐதராபாத்	hyderabad	hyderabad
ஐநா	naciones unidas	united nations
ஐந்தாண்டுத்	quinquenal	five year
ஐந்தாம்	quinto	fifth
ஐந்திணை	superficie	five thinai
ஐந்திரம்	astrología	capacity
ஐந்தில்	quinto	in five
ஐந்து	por	five
ஐன்ஸ்டீனின்	de einstein	albert ienstin
ஐன்ஸ்டீன்	einstein	instein
ஐன்ஸ்டைன்	einstein	einstein
ஐபி	ip	internet protocol
ஐப்பாடு	ipod	ipod a music play made by apple company
ஐம்பது	cincuenta	fifty
ஐயம்	duda	doubt
ஐயர்	iyer	ayyar
ஐரிஷ்	irlandesa	irish
ஐரோப்பா	europa	europe
ஐரோப்பாக்	europa	european
ஐரோப்பாவின்	de europa	europe
ஐரோப்பாவிலும்	europa	europe
ஐரோப்பாவில்	en europa	europe
ஐரோப்பியக்	europeo	european
ஐரோப்பியர்	europeos	europiens
ஐஸ்	hielo	ice hockey
ஒ	vino	oo! pronensiat
ஒக்டோபர்	octubre	october
ஒட்டி	por	near
ஒட்டிய	adherente	having eagerness
ஒட்டு	pegar	fully
ஒட்டுமொத்த	en general	the overall
ஒதுக்கப்பட்டது	reservado	allocated
ஒதுக்கி	aparte	seperately
ஒதுக்கீடு	asignación	allotment
ஒத்த	sinónimos	common
ஒத்தது	similar	similar
ஒத்திருக்கும்	corresponder	like
ஒத்து	de acuerdo	agree
ஒன்பதாம்	noveno	nineth
ஒன்பதாவது	noveno	nineth
ஒன்பது	nueve	nine
ஒன்றாக	juntos	union
ஒன்றாகக்	juntos	having together
ஒன்றாகவும்	uno	to join together
ஒன்றாகும்	uno	one of the
ஒன்றான	uno	one among the
ஒன்றின்	uno de los	one of
ஒன்றிய	unión	union
ஒன்றியத்தின்	unión	union
ஒன்றியத்தில்	unión	union
ஒன்றியமும்	unión	union
ஒன்றியம்	unión	union
ஒன்றிலிருந்து	de uno	among one
ஒன்றில்	en uno	onlyone
ஒன்று	uno	only one
ஒன்றுக்கு	más	only one
ஒன்றுக்கும்	más	morethan one
ஒன்றுக்கொன்று	intercambiable	one to one
ஒன்றுடன்	con uno	with one
ஒன்றுதான்	uno	soul is the indestructible and everlasting thing. it is questionable that how much tamil film industry contributes to the state economy in day to day life.
ஒன்றும்	nada	to the extent
ஒன்றே	uno	one
ஒன்றை	uno	only one
ஒன்றையும்	nada	any one
ஒன்றையொன்று	interactivamente	each one
ஒன்றோடொன்று	interconectando	joint
ஒபாமாவின்	de obama	obaamaavin
ஒப்	op	of
ஒப்பந்த	contrato	contract
ஒப்பந்தங்கள்	ofertas	deeds
ஒப்பந்தத்தில்	acuerdo	in the agreement
ஒப்பந்தத்தை	acuerdo	deal
ஒப்பந்தம்	acuerdo	agreement
ஒப்பற்ற	sin par	uncomparable
ஒப்பிடுகையில்	en comparación	comparative
ஒப்பிடும்	comparar	compared to
ஒப்பிடும்போது	comparado con	compare
ஒப்பிட்டு	comparar	compare
ஒப்பீடு	comparación	comparison
ஒப்பீட்டளவில்	relativamente	comparing
ஒப்பீட்டு	comparación	comparison
ஒப்புக்	reconociendo	accept
ஒப்புதல்	aprobación	agreement
ஒப்புமை	relativo	compare
ஒரிசா	orissa	odisha
ஒரு	una	only one
ஒருங்கிணைந்த	integrado	integrated
ஒருங்கிணைப்பு	integración	joint
ஒருங்கியம்	orunkiyam	orunkiyam
ஒருங்குறி	unicode	unicode
ஒருங்கே	juntos	combine
ஒருசில	pocos	one among
ஒருத்தி	uno	one and only woman
ஒருநாள்	un día	one day
ஒருபோதும்	nunca	never
ஒருமை	singular	singularity
ஒருவகை	adrenalina	one type
ஒருவனே	uno	only
ஒருவன்	uno	one person
ஒருவராக	uno	single
ஒருவரான	uno	one of the
ஒருவரால்	uno	by an individual
ஒருவரின்	uno de los	one person
ஒருவருக்கு	uno	a person
ஒருவருக்கொருவர்	cada	one to one
ஒருவருடைய	uno de los	one's own
ஒருவரை	alguien	only one person
ஒருவர்	uno	person
ஒருவேளை	tal vez	in case of
ஒரே	solamente	only
ஒரேயொரு	uno	only one
ஒர்	una	only one
ஒற்று	espionaje	dot
ஒற்றுமை	unidad	unity
ஒற்றை	soltero	odd
ஒலி	sonido	sound
ஒலிகள்	suena	sound
ஒலிச்சோதனை	auscultación	sound testing
ஒலிபரப்பு	radiodifusión	broadcast
ஒலிபரப்புக்	radiodifusión	broadcasting
ஒலிப்பியல்	fonética	sound
ஒலிம்பிக்	juegos olímpicos	olympic
ஒலியியல்	acústica	acoustics
ஒல்லாந்தர்	holandés	ollander
ஒளி	ligero	light
ஒளிபரப்பு	transmitir	broadcast
ஒளியின்	ligero	in the light
ஒளியியல்	óptica	optics
ஒளியை	ligero	light
ஒழிப்பு	exterminio	abolish
ஒழுக்கம்	disciplina	discipline
ஒழுங்கற்ற	irregular	in desent
ஒழுங்கு	orden	discipline
ஒவ்வொன்றும்	cada	each one
ஒவ்வொரு	cada	each one
ஒவ்வொருவரும்	cada	every one
ஒவ்வோர்	cada	each and every
ஓ	o	oh mind
ஓஎஸ்	os	o,s
ஓசனிச்சிட்டு	colibrí	humming bird
ஓசை	marcadores	sound
ஓடி	corriendo	run
ஓடு	cáscara	tile
ஓடும்	corriendo	to fall
ஓட்டங்கள்	carreras	runs
ஓட்டம்	fluir	race
ஓட்டோமான்	otomano	ottoman
ஓமர்	omar	homer- ancient greek poet
ஓமான்	omán	oman
ஓம்	om	ohm
ஓய்வு	ocio	rest
ஓரளவு	algo	minimum
ஓரளவுக்கு	parcialmente	to some extent
ஓராசு	oracu	horace
ஓரிடத்தான்	isótopo	neutrons
ஓரிடத்தில்	en un caso	in a single place
ஓரினச்சேர்க்கை	homosexualidad	homosex
ஓரு	jugoso	only one
ஓர்	una	an
ஓல்மியம்	olmiyam	whole number
ஓவியக்	pintor	painting
ஓவியம்	pintura	drawings
ஓவியர்	pintor	drawer
ஔவையார்	avvaiyar	avvaiyar
க	ka	ka
கங்க	ganga	ganga king
கங்கா	ganga	ganga
கங்கை	ganga	the river ganga
கச்சா	crudo	crude
கஜினி	ghajini	ghajini
கடதாசி	papel	a letter
கடத்தல்	tráfico	passing through
கடத்தி	secuestrado	to kidnap
கடந்த	los	past
கடந்து	cruce	beyond
கடன்	deuda	credit
கடமை	deber	duty
கடமைகளை	compromisos	right things
கடமைகள்	deberes	duties
கடற்	piratas	sea
கடற்கரை	playa	beach
கடற்கரையில்	en la playa	beach
கடற்கரையை	orilla	seashore
கடற்படை	armada	navy
கடற்படையின்	armada	navy
கடற்பறவை	gaviota	sea birds
கடற்புலிகள்	tigres	sea tigers
கடலின்	mar	sea's
கடலில்	mar	in sea
கடலுக்கு	mar	sea
கடலூர்	cuddalore	cuddalore
கடலை	coqueta	groundnut
கடலோர	playa	sea shore
கடலோரத்தில்	en la costa	sea shore
கடலோரப்	la costa	near to sea
கடல்	mariscos	sea
கடல்கடந்த	de ultramar	overseas
கடவுளான	dios	gods
கடவுளின்	dioses	god
கடவுளை	dios	god
கடவுள்	dios	god
கடவுள்கள்	dioses	god
கடாரம்	kataram	kadaram
கடி	picaduras	bite
கடிகார	reloj	clock
கடிகாரங்கள்	relojes	watch
கடிகாரம்	reloj	watch
கடிதம்	letra	letter
கடின	madera dura	hard
கடினமாக	difícil	be difficult
கடினமான	difícil	thick layer
கடினம்	dificultad	difficult
கடுமையான	grave	cerious
கடும்	grave	difficult
கடைசி	último	last
கடைசிப்	el último	lastly
கடைசியில்	finalmente	last
கடோலினியம்	gadolinio	gadolinium atomic number
கட்சி	partido	team
கட்சிகள்	fiestas	parties
கட்சியாக	partido	party
கட்சியின்	partido	party
கட்சியில்	partido	in the party
கட்சியை	partido	belong to the party
கட்டங்களாக	etapas	in buildings
கட்டங்களில்	etapas	stages
கட்டங்கள்	rejillas	stages
கட்டடக்கலை	arquitectónico	architecture
கட்டடங்கள்	edificios	buildings
கட்டடம்	constructor	building
கட்டணம்	bajo	charge
கட்டத்தில்	fase	in that coloumn
கட்டபொம்மன்	kattabomma	kattabomman , a king in tamilnadu
கட்டப்பட்ட	construido	build
கட்டப்பட்டது	construido	built
கட்டப்பட்டு	construido	construction
கட்டப்பட்டுள்ளது	construido	made
கட்டமைப்பின்	marco de referencia	of the structure
கட்டமைப்பு	configuración	configuration
கட்டமைப்புகள்	estructuras	infrastructures
கட்டமைப்பை	estructura	configuration
கட்டம்	cuadrícula	box
கட்டற்ற	gratis	a free
கட்டளை	mando	order
கட்டாய	obligatorio	strictly
கட்டாயமாக	obligatorio	compulsarily
கட்டாயம்	obligatorio	important
கட்டி	tumor	tumor
கட்டிகள்	tumores	tumors
கட்டிட	edificio	building
கட்டிடக்	arquitectura	building
கட்டிடக்கலைஞர்கள்	arquitecto	engineers
கட்டிடக்கலையின்	arquitectura	architecture
கட்டிடக்கலையில்	en arquitectura	architecture
கட்டிடக்கலையும்	arquitectura	architect
கட்டிடங்களின்	construcción de la	building
கட்டிடங்களில்	en edificios	buildings
கட்டிடங்களும்	edificios	also buildings
கட்டிடங்களை	edificios	building
கட்டிடங்கள்	edificios	building
கட்டிடத்தின்	edificio	in building
கட்டிடம்	edificio	building
கட்டினார்	y construido	constructed by
கட்டிய	construido	constructed by
கட்டுக்குள்	requisar	under control
கட்டுப்படுத்த	controlar	control
கட்டுப்படுத்தவும்	controlable	restrict
கட்டுப்படுத்தி	el controlador	controller
கட்டுப்படுத்துகிறது	control s	to be controlled
கட்டுப்படுத்தும்	controlador	to control
கட்டுப்பட்டு	encerrado	bounded
கட்டுப்பாடு	regulación	control
கட்டுப்பாடுகள்	restricciones	rules
கட்டுப்பாட்டின்	controlar	under control
கட்டுப்பாட்டில்	en control	under control
கட்டுப்பாட்டு	regulación	under control
கட்டுப்பாட்டுக்குள்	controlar	under control
கட்டுப்பாட்டை	controlar	principles
கட்டுமான	construcción	structural
கட்டுமானம்	arquitectura	construction
கட்டும்	edificio	building
கட்டுரை	artículo	research papers
கட்டுரைகளின்	artículos	scholarly work
கட்டுரைகளில்	artículos	feuilleton
கட்டுரைகளை	artículos	compositions
கட்டுரைகள்	artículos	essays
கட்டுரைத்	artículo	article
கட்டுரையில்	artículo	in article
கட்டுரையை	artículo	in this article
கணக்கான	decenas	countable
கணக்கிட	calcular	to calculate
கணக்கிடப்படுகிறது	calculado	calculated
கணக்கியல்	contabilidad	mathematics
கணக்கில்	cuenta	account
கணக்கு	contabilidad	maths
கணக்கெடுப்பின்படி	encuesta	as per the census
கணக்கெடுப்பு	encuesta	accounting
கணபதி	ganapati	lord ganesha
கணவன்	marido	husband
கணவர்	marido	husband
கணவாய்	pasar	canal
கணிக்க	evaluaciones	calculare
கணிக்கப்படுகிறது	estimado	anterstant
கணிக்கப்பட்ட	estimado	calculated
கணிக்கும்	prediciendo	to measure
கணிசமான	sustancial	sizeable
கணித	matemáticas	mathematics
கணிதக்	matemático	mathematics
கணிதத்தின்	de las matematicas	mathamates
கணிதத்தில்	en matemáticas	maths
கணிதம்	matemáticas	maths
கணினிகளில்	ordenadores	computers
கணினிகளை	ordenadores	computers
கணினிகள்	ordenadores	computer
கணினிப்	computadora	computer
கணினியில்	computadora	computer
கணிப்பு	predicción	calculation
கணிப்பொறி	computadora	computer
கணுக்காலி	artrópodo	a sect of animals
கணையம்	páncreas	gall bladder
கண்	ojo	eye
கண்கள்	ojos	eyes
கண்காட்சி	exposición	exhibition
கண்காட்சியாக	exposición	exhibition
கண்காணிக்கும்	pista	to supervise
கண்காணித்தல்	supervisión	monitoring
கண்காணிப்பு	rastreo	supervision
கண்ட	kanda	saw
கண்டங்களின்	continentes	continents
கண்டங்களில்	continentes	in the contiments
கண்டங்கள்	continentes	continents
கண்டத்தின்	continente	continent's
கண்டத்தில்	en el continente	in the continet
கண்டனம்	condenado	condemned
கண்டனர்	encontró	had seen
கண்டமாகும்	coto	goitre
கண்டம்	continente	continent
கண்டறிதல்	detección	invention
கண்டறிந்து	identificar	identified
கண்டறிந்துள்ளனர்	detectores	found
கண்டறிய	encontrar	search
கண்டார்	encontró	seen
கண்டி	kandy	kandi a town in sri lanka
கண்டிப்பாக	estrictamente	by all means
கண்டு	ver	to see
கண்டுகொண்டேன்	encontró	found
கண்டுபிடிக்கப்பட்ட	descubierto	found
கண்டுபிடிக்கப்பட்டது	descubierto	findout
கண்டுபிடித்த	encontró	invented
கண்டுபிடித்தார்	descubierto	found
கண்டுபிடித்து	hallazgo	to discover
கண்டுபிடிப்பு	descubrimiento	invention
கண்டுபிடிப்புகள்	descubrimientos	invention
கண்ணகி	kannagi	kannagi
கண்ணகியின்	kannagi	kannagi
கண்ணகியை	kannagi	kanagi's
கண்ணதாசன்	kannadasan	kannadasan
கண்ணன்	kannan	kannan
கண்ணம்மா	kannamma	dear
கண்ணா	khanna	kanna
கண்ணாடி	vaso	mirror
கண்ணில்	s	in the eyes
கண்ணீர்	lágrimas	tears
கண்ணுக்குப்	ojo	tiny particles
கதவு	puerta	door
கதாநாயகனாக	dirigir	hero
கதிரவனின்	puesta de sol	sun
கதிரவன்	sol	sun
கதிரியக்க	radioactivo	radiation
கதிர்	rayo	radiation
கதிர்களை	radiación	rays
கதிர்கள்	rayos	rays
கதிர்த்திருப்பம்	katirttiruppam	solstice
கதிர்வீச்சு	radiación	radiation
கதை	historia	story
கதைகளில்	en historias	in stories
கதைகளை	cuentos	stories
கதைகள்	cuentos	stories
கதையில்	historia	in the stories
கத்தோலிக்க	católico	catholics in chrisitian religion
கத்தோலிக்கத்	católico	catholic
கந்தகம்	azufre	magnet
கன	pesado	heavy
