$	usd	dollars
الذهبي	zeltaini	the golden
الذهبية	zeltaini	golden
الذي	kura	that is
الذين	kuru	whose
الرأس	galva	head
الرأسمالي	kapitālists	capitalismic
الرأسمالية	kapitālisms	capitalism
الرأي	atzinums	opinion
الرؤية	vīzija	the vision
الرئاسة	prezidentūra	the presidential
الرئاسية	prezidenta	presidential
الرئة	plaušu	lung
الرئيس	priekšsēdētājs	president
الرئيسة	prezidents	main
الرئيسي	galvenais	the primary
الرئيسية	galvenais	main
الرائدة	vadošais	leader
الرابطة	nexus	league
الرابع	ceturtais	the fourth
الرابعة	ceturtais	the fourth
الراحة	ērtības	hand
الراحل	vēlu	late
الراديو	radio	the radio
الرازي	al-razi	razi
الراشدين	pieaugušie	caliphs
الرافدين	mezopotāmija	rafidain
الراقية	augstas klases	the fine
الراهن	tagadne	current
الرايخ	reihs	reich
الرب	dievs	god
الرباط	rabats	the bond
الربح	peļņa	the wind
الربط	savienojamība	connecting
الربع	ceturksnis	quarter
الربيع	pavasaris	spring
الرتب	rindās	the ranks
الرجال	vīrieši	the men
الرجل	cilvēks	the man
الرجوع	atgriezties	refere
الرحالة	mugursomas	traveler
الرحلات	ceļojumi	flights
الرحلة	ceļojums	the trip
الرحم	dzemde	uterus
الرحمة	žēlsirdība	the mercy
الرحمن	žēlsirdīgs	el-rahman
الرحيم	līdzjūtīgs	the merciful
الرد	atbilde	reply
الردة	atkrišana	apostasy
الرسائل	ziņas	letters
الرسالة	ziņa	the letter
الرسل	kurjeri	apostles
الرسم	uzzīmē	paint
الرسمي	ierēdnis	the official
الرسمية	oficiālā	the official
الرسول	pravietis	messenger
الرسولي	apustuliskais	prophet
الرسوم	maksas	pictures
الرشيد	racionāls	wise
الرصاص	svins	the bullets
الرصافي	al rusafi	el-rasafy
الرصد	uzraudzība	detection
الرضا	gandarījums	satisfaction
الرطوبة	mitrums	moisture
الرعاية	aprūpi	the care
الرغبة	vēlme	will
الرغم	lai gan	inspite of
الرفاعي	al-rifai	el refaee
الرفض	noraidīšana	rejection
الرقابة	kontrole	supervision
الرقص	deja	the dance
الرقم	numurs	the number
الرقيق	tāda veida	slaves
الركاب	pasažieri	passenger
الركن	stūra	corner
الركود	stagnācija	slackness
الرمال	smiltis	sand
الرمز	kods	sign
الرمزي	simbolisks	symbolic
الرمزية	simbolisms	symbolic
الرمل	smiltis	sand
الرملية	smilšaina	sand
الرموز	ikonas	the symbols
الرنا	rana	rna
الرها	edessa	edessa
الرهبان	mūki	monks
الروابط	saites	links
الروايات	romāni	novels
الرواية	novele	the teller
الروح	gars	spirit
الروحي	garīgais	god
الروحية	garīgais	spiritual
الروس	krievi	russians
الروسي	krievs	russian
الروسية	krievu	russian
الروضة	bērnudārzs	garden
الروم	rums	roman
الرومان	romieši	romans
الرومانسية	romance	the romance
الروماني	romiešu	romanian
الرومانية	rumāņu	roman
الرومي	rumi	turkey
الري	apūdeņošana	irrigation
الرياح	vējš	winds
الرياض	rijāda	riyadh
الرياضات	sports	the sports
الرياضة	sports	sport
الرياضي	sportists	athletic
الرياضيات	matemātika	maths
الرياضية	sports	sportive
الريح	vējš	the wind
الريف	laukos	countryside
الريفية	lauku	rural
الزاوية	stūra	corner
الزبير	zubair	zobir
الزجاج	stikls	the glass
الزراعة	lauksaimniecība	agriculture
الزراعي	lauksaimniecības	agricultural
الزراعية	lauksaimniecības	agricultural
الزرقاء	zils	blue
الزعتر	timiāns	thyme
الزعماء	vadītāji	the leaders
الزعيم	līderis	the leader
الزكاة	zakats	zakat
الزلازل	zemestrīces	earthquake
الزلزال	zemestrīce	earthquake
الزمان	laiks	time
الزمرة	kliika	group
الزمن	laiks	time
الزمني	laika skala	timing
الزمنية	laika skala	time
الزهراء	zahra	el zahraa
الزهرة	zieds	venus
الزهري	sifiliss	zohry
الزهور	puķes	the flowers
الزواج	laulība	the marriage
الزواحف	rāpuļi	reptiles
الزوار	apmeklētāji	visitors
الزوايا	stūri	corners
الزوج	vīrs	husband
الزوجة	sieva	the wife
الزي	formas tērpi	dress
الزيادة	pieaugums	increase
الزيت	eļļa	oil
الزيتون	olīvas	olive
الزيدية	zaidi	el zayedeya
السؤال	jautājums	the question
السائد	dominējošais	the dominant
السائدة	dominējošais	the dominant
السائل	šķidrums	liquid
السائلة	šķidrums	liquid
السابع	septītais	the seventh
السابعة	septītais	the seventh
السابق	iepriekšējais	the previous
السابقة	iepriekšējais	precedent
السابقين	piem	the formers
الساحة	arēna	the stage
الساحل	krasts	the coast
الساحلي	piekrastes	coastal
الساحلية	piekrastes	coastal
الساخنة	karsts	the hot
السادات	sadat	el sadat
السادس	vi	6th
الساعة	pulkstenis	the clock
الساكنة	statiskā	consonants
السامة	toksisks	toxic
السامية	augsts	the semitic
السباحة	peldēšana	swimming
السبب	iemesls	the reason
السبت	sestdien	saturday
السبع	septiņi	sheva
السبعة	septiņi	seven
السبعينات	septiņdesmitie gadi	seventies
السبعينيات	septiņdesmitie gadi	seventies
السبيل	ceļš	way
الست	seši	six
الستة	seši	the six
الستينات	sešdesmitie gadi	sixties
الستينيات	sešdesmitie gadi	the sixties
السجن	cietums	the prison
السجون	cietumi	the prisons
السحابة	mākonis	cloud
السحب	mākoņi	clouds
السد	dam	the dam
السديري	al-sudairy	sadiri (name)
السر	noslēpums	the secret
السرطان	vēzis	cancer
السرطانات	vēzis	cancers
السرطانية	pirmsvēža	cancer
السريانية	sīrietis	syriac
السرية	konfidencialitāte	secret
السريع	ātri	the fast
السريعة	ātri	high
السطح	jumts	the surface
السطحية	virsma	surfaces
السعادة	happinese	happiness
السعودي	saūda arābija	saoudian
السعودية	saūda	saudi arabia
السعي	vajāšana	go
السفر	ceļot	travel
السفلى	zemāks	lower
السفلي	zemāks	the lower
السفن	kuģi	ships
السفير	vēstnieks	ambassador
السفينة	kuģis	the ship
السكان	populācija	people
السكاني	populācija	demographic
السكانية	populācija	population density
السكر	cukurs	sugar
السكري	cukura diabēts	sugary
السكك	dzelzceļa	the rails
السكن	dzīvo	residence
السكنية	dzīvojamais	residential
السلاجقة	seljuks	seljuks
السلاح	ierocis	the weapons
السلاسل	ķēdes	chains
السلاطين	sultāni	sultans
السلالات	celmi	the strains
السلالة	celms	strain
السلام	miers	peace
السلبي	pasīva	the negative
السلبية	negatīvisms	negative
السلة	grozs	basket
السلسلة	sērija	series
السلطات	varas iestādes	the authorities
السلطان	sultāns	sultan
السلطانية	bļoda	soltani
السلطة	autoritāte	authority
السلطنة	sultanāts	sultanate
السلع	preces	the products
السلف	priekšgājējs	predecessor
السلفية	salafisms	salafist
السلم	kāpnes	peace
السلمية	mierīga	the peaceful
السلوك	izturēšanās	behavior
السلوكية	uzvedība	behavioral
السليم	pareizi	right
السليمة	skaņa	proper
السم	indes	poison
السماء	debesis	the sky
السمات	iespējas	characteristics
السماح	atļaut	let
السمك	zivis	fish
السن	vecums	age
السنة	gads	the year
السند	obligācija	support
السنوات	gados	the years
السنوريات	felidae	panthera
السنوي	gada	annual
السنوية	gada	annual
السني	sunnīti	the sunni
السنية	sunnīti	sunni
السنين	gados	years
السنّة	gads	sunna
السهل	vienkārši	the plain
السهول	līdzenumi	plains
السوائل	šķidrumi	liquids
السواحل	piekrastes	coasts
السوبر	super	the super
السوداء	melns	the black
السودان	sudāna	the sudan
السوداني	sudānas	the sudanese
السودانية	sudānas	the sudanese
السور	sēta	wall
السورة	sūra	al sura
السوري	sīrietis	the syrian
السورية	sīrietis	syrian
السوفياتي	padomju	the soviet
السوفياتية	padomju	soviet
السوفيتي	padomju	the soviet
السوفيتية	padomju	soviet
السوفييت	padomju	suviet
السوفييتي	padomju	soviet
السوق	tirgus	market
السويد	zviedrija	sweden
السويدي	zviedru	swedish
السويدية	zviedru	swedish
السويس	sueca	suez
السويسري	šveices	swedish
السيئة	slikti	bad
السياح	tūristi	tourists
السياحة	tūrisms	tourism
السياحي	tūrists	tourism
السياحية	tūrists	tourism
السيادة	suverenitāte	lordship
السيارات	mašīnas	cars
السيارة	mašīna	car
السياسات	politikas	the policies
السياسة	politika	politics
السياسي	politiskā	political
السياسية	politiskā	political
السياسيين	politiķi	politicians
السياق	konteksts	context
السيد	profesionālis	mr.
السيدة	kundze	the lady
السير	staigāt	sir
السيرة	mācību programma	biography
السيطرة	kontrole	control
السيف	zobens	sword
السينما	kino	cimena
السينمائي	filma	cinematographic
السينمائية	kino	cinematic
السينية	x	x
الشأن	lieta	matter
الشؤون	lietas	ashwoon
الشائع	bieži	common
الشائعة	bieži	common
الشابي	jauneklis	el shaby
الشارع	iela	street
الشاشة	ekrāns	monitor
الشاطئ	pludmale	beach
الشاعر	dzejnieks	the poet
الشافعي	al-shafii	alshafee
الشام	kauns	el-cham
الشامل	mise	comprehensive
الشامي	šami	shami
الشامية	levantīns	chamie
الشاه	šahs	shah
الشاي	tēja	tea
الشباب	jauns	youth
الشبكات	tīkli	nets
الشبكة	tīkls	the network
الشبه	likeness	almost
الشتاء	ziema	winter
الشجاعة	drosme	courage
الشجرة	koks	the tree
الشحنات	sūtījumi	shipments
الشحنة	sūtījums	charge
الشخص	persona	person
الشخصي	profils	personal
الشخصيات	rakstzīmes	the personalities
الشخصية	personīga	personal
الشديد	smaga	intense
الشديدة	smaga	the severe
الشذوذ	anomālijas	abnormality
الشر	ļaunums	evil
الشرائية	pirkšana	purchasing
الشرط	nosacījums	condition
الشرطة	policija	police
الشرعي	likumīgi	legal
الشرعية	likumība	legitimacy
الشرف	goda vārds	honor
الشرق	austrumi	east
الشرقي	austrumos	the eastern
الشرقية	austrumu	east
الشرك	politeisms	the polytheism
الشركات	kompānijas	cooperates
الشركة	kompānija	company
الشروط	nosacījumi	conditions
الشريعة	islāma likumi	the shari'ah
الشطرنج	šahs	chess
الشعار	logotips	logo
الشعب	cilvēki	the people
الشعبي	tautas	the native
الشعبية	populārs	the popular
الشعر	mati	poetry
الشعراء	dzejnieki	poets
الشعراوي	šaraivijs	echaarawi
الشعرية	nūdeles	poetic
الشعور	sajūta	feeling
الشفاء	ārstnieciskā	therapy
الشك	šaubos	doubt
الشكل	forma	shape
الشكوك	šaubas	doubts
الشمال	ziemeļi	north
الشمالي	ziemeļu	north
الشمالية	ziemeļi	northern
الشمس	saule	the sun
الشمسية	saules	solar
الشهادة	sertifikāts	certificate
الشهداء	mocekļi	martyrs
الشهر	mēnesis	the month
الشهيد	moceklis	martyr
الشهير	slavens	famous
الشهيرة	slavens	famous
الشوارع	ielas	the streets
الشواطئ	pludmales	shores
الشورى	šura	consultation
الشيء	lieta	the thing
الشيخ	šeihs	sheikh
الشيخة	šeihā	el sheikha
الشيطان	ļaunums	satan
الشيعة	šiija	shiites
الشيعي	šiīts	shiite
الشيعية	šiīts	shiite
الشيوخ	vecākie	senators
الشيوعي	komunists	communist
الشيوعية	komunisms	communism
الشيوعيين	komunisti	communists
الصابئة	sabeans	el sabena
الصابئي	sabean	el-sabeny
الصابون	ziepes	the soap
الصادر	izejošais	issued
الصادرات	eksports	exportations
الصادرة	izdots	released
الصادق	sirsnīgs	el sadek
الصالح	labais	assaleh
الصالحة	taisnīgais	adequate
الصباح	rīts	al sobah
الصحابة	biedri	companions
الصحابي	biedrs	accompanied
الصحاري	tuksnesi	the deserts
الصحافة	prese	press
الصحة	veselība	the health
الصحراء	tuksnesis	desert
الصحراوي	tuksnesis	high way
الصحراوية	tuksnesis	desert
الصحف	laikraksti	journals
الصحفي	žurnālists	journalist
الصحفيين	žurnālisti	journalists
الصحية	veselība	healthy
الصحيح	pareizais	right
الصخرة	akmens	the rock
الصخري	rokijs	rocky
الصخرية	rokijs	rocky
الصخور	klintis	the rocks
الصداقة	draudzība	friendship
الصدد	savienojums	with relation to this
الصدر	lāde	chest
الصدري	krūšu kurvis	pectoral
الصديق	draugs	el-sedik
الصراع	konflikts	the struggle
الصراعات	konflikti	conflect
الصرب	serbi	serbia
الصرف	apmaiņa	sanitation
الصعب	grūti	difficult
الصعيد	augšējā ēģipte	saeed (name)
الصغار	bērniņi	the small
الصغر	filigrāns	small
الصغرى	mikro	minor
الصغير	mazais	small
الصغيرة	maza	small
الصف	klase	grade
الصفا	al-safa	al-safa
الصفة	īpašības vārds	the characteristic
الصفحة	lapu	page
الصفر	nulle	zero
الصفراء	dzeltens	yellow
الصفويين	safavīdi	safween
الصلاة	lūgšana	prayer
الصلال	slēpjas	sallal
الصلب	tērauds	solid
الصلبة	ciets	solid
الصلة	saite	link
الصلح	izlīgums	reconciliation
الصلوات	lūgšanas	prayers
الصليب	krusts	steel
الصليبي	krustnesis	crusader
الصليبية	krustnesis	crusade
الصليبيون	krustneši	crusaders
الصليبيين	krustneši	crusaders
الصناعات	nozares	industries
الصناعة	rūpniecība	industry
الصناعي	rūpnieciskā	industrial
الصناعية	rūpnieciskā	industrialized
الصنع	izgatavots	made in
الصهيوني	cionists	zionist
الصهيونية	cionisms	zionism
الصواريخ	raķetes	rockets
الصوت	skaņa	voice
الصوتية	skaņas	audio
الصور	attēli	photos
الصورة	attēls	picture
الصوفية	sufisms	sufi
الصوم	badošanās	the fasting
الصومال	somālija	somalia
الصومالي	somālijas	somalian
الصومالية	somālijas	somalian
الصيد	medības	the hunting
الصيف	vasara	summer
الصيفية	vasara	summer
الصين	ķīna	china
الصيني	ķīniešu	chinese
الصينية	ķīniešu	chinese
الصينيون	ķīniešu	chinese
الصينيين	ķīnieši	chinese
الضارة	kaitīgs	harmful
الضباط	virsnieki	officers
الضحايا	upuri	victims
الضحية	upuris	victim
الضخم	milzīgais	huge
الضخمة	mega	big
الضرائب	nodokļi	the taxes
الضربة	trāpījums	shot
الضروري	nepieciešamo	necessary
الضعف	vājums	the weakness
الضغط	spiediens	pressure
الضغوط	spiediens	pressure
الضفة	banka	bank
الضوء	gaismas	light
الضوئي	fotosintēze	lightning
الضوئية	luksofors	light
الطائرات	lidmašīnas	aeroplanes
الطائرة	lidmašīna	plane
الطائف	taifs	el-taef
الطائفة	sekta	cult
الطابع	raksturs	theme
الطابق	stāvs	the floor
الطاعون	mēris	plague
الطاقة	enerģija	the energy
الطالب	pieprasītājs	the student
الطب	medicīna	medicine
الطباشيري	krītains	cretaceous
الطباعة	drukāšana	printing
الطبري	al-tabari	al-tabari
الطبعة	izdevums	edition
الطبقة	klase	class
الطبي	medicīniskā	the medical
الطبيب	ārsts	doctor
الطبية	medicīniskā	medical
الطبيعة	daba	natural
الطبيعي	dabiski	natural
الطبيعية	dabiski	the natural
الطرائد	spēle	preys
الطراز	stils	style
الطرف	ballīte	side
الطرفين	abas puses	the two sides
الطرق	ceļi	ways
الطريق	ceļš	the road
الطريقة	veids	the method
الطعام	ēdiens	food
الطفل	bērns	the child
الطفولة	bērnība	childhood
الطقس	laikapstākļi	weather
الطقوس	rituāli	rituals
الطلاب	studenti	students
الطلب	pieprasījums	demand
الطلبة	studenti	students
الطوائف	sektas	communities
الطور	fāze	tor
الطول	garums	length
الطويل	garais	long
الطويلة	ilgi	long
الطيب	labais	el tayeb
الطيران	aviācija	aviation
الطيف	spektrs	spectrum
الطين	māls	mud
الطيور	putni	birds
الظاهر	acīmredzams	addaher
الظاهرة	fenomens	phenomenon
الظاهري	virtuāls	virtual
الظروف	apstākļi	circumstances
الظلام	tumsa	the dark
الظلم	netaisnība	injustice
الظهر	pusdienlaiks	noon
الظهور	parādās	appearance
الظواهر	fenomens	phenomena
العائلات	ģimenes	the families
العائلة	ģimene	the family
العابدين	pielūdzēji	el-abedin
العادات	paradumi	habits
العادة	ieradums	usual
العادل	godīgi	the just
العادي	parasts	normal
العادية	regulāri	normal
العاشر	desmitā	the tenth
العاشرة	desmitais	the tenth
العاص	aas	el aas
العاصمة	galvaspilsēta	the capital
العالم	pasaule	the world
العالمي	globālā	international
العالمية	globālisms	international
العالمين	pasaules	the two worlds
العالي	augstāks	the high
العالية	augsts	high
العام	gads	the year
العامة	sabiedrībai	public
العامل	strādnieks	the factor
العاملة	strādā	working
العاملين	personāls	workers
العامية	vernakulāri	colloquial
العامّة	sabiedrībai	the common
العباد	kalpi	worshipers
العبادات	dievkalpojums	the worshippen
العبادة	dievkalpojums	worship
العبارة	frāze	the term
العباس	abbas	abbas
العباسي	abbasid	abbasid
العباسية	abbasid	abbasid
العباسيون	the abbasids	abbasids
العباسيين	the abbasids	abbasids
العبد	kalps	el-abd
العبرية	ebreju valodā	hebrew
العبودية	verdzība	slavery
العبّاسية	abāsija	the abbasid
العثماني	osmaņu	ottoman
العثمانية	osmaņu	ottoman
العثمانيون	osmaņi	the ottomans
العثمانيين	osmaņi	ottomans
العثور	atrodi	find
العجز	impotence	deficit
العدالة	taisnīgums	justice
العدد	numurs	number
العدل	taisnīgums	justice
العدو	ienaidnieks	enemy
العدوان	agresija	attack
العدوى	infekcija	infection
العديد	daudzi	many
العديدة	neskaitāmas	many
العذبة	svaigi	fresh water
العذراء	jaunava	the virgin
العراق	irāka	iraq
العراقية	irākieši	iraqi
العراقيين	irākieši	iraqi
العرب	arābi	arab
العربي	arabi	arabi
العربية	arābu valodā	the arabic
العرش	tronis	throne
العرض	displejs	demonstration
العرق	sviedri	origin
العرقي	etniskais	mass killing
العرقية	etniskais	ethnic
العروض	piedāvājumi	poetics
العريضة	lūgumraksts	wide
العريقة	senatne	ancient
العزيز	dārgs	dear
العسكر	karaspēks	soldiers
العسكري	karaspēks	military
العسكرية	militārā	martial
العسكريين	karaspēks	military
العسل	medus	honey
العش	ligzda	al-esh
العشاء	vakariņas	the dinner
العشائر	klani	families
العشر	desmit	the tenth
العشرة	desmit	ten
العشرين	divdesmit	twentieth
العشرينات	divdesmitie gadi	the twenty's
العصابات	bandas	gangs
العصبي	nervozs	the neurological
العصبية	nervozitāte	the neurotic
العصر	vecums	era
العصور	vecumi	ages
العضلات	muskuļi	muscles
العضو	biedrs	member
العضوية	dalība	membership
العطل	brīvdienas	vacations
العظام	kauli	the bones
العظم	kauls	aladem
العظمى	lieliski	great
العظمي	skelets	great
العظيم	lieliski	the great
العظيمة	lieliski	great
العفو	atvainojumi	amnesty
العقائد	mācības	beliefs
العقائدية	dogmatisks	ideological
العقاد	akads	el akkad
العقبة	šķērslis	aqaba
العقد	līgums	decade
العقل	prāts	brain
العقلي	garīgais	mental
العقلية	garīgais	mentality
العقوبات	sodi	sanctions
العقود	līgumi	decades
العقول	smadzenes	minds
العقيد	pulkvedis	colonel
العقيدة	creed	the believe
العكس	pretējs	the opposite
العلاء	augstais	alaa
العلاج	ārstēšana	therapy
العلاجية	ārstnieciska	therapeutic
العلاقات	attiecības	relations
العلاقة	attiecības	the relation
العلامة	zīmols	genius
العلل	slimības	ills
العلم	zinātne	flag
العلماء	zinātnieki	the scientists
العلمانية	sekulārisms	secular
العلمي	zinātniskā	the scientific
العلمية	zinātniskā	the scientific
العلوم	zinātnes	the sciences
العلوي	augšējā	el-olwey
العلوية	virs galvas	alawites
العلويين	alavieši	alawites
العلي	augstākais	al-ali
العمارة	arhitektūra	architecture
العمال	strādnieki	workers
العمالة	nodarbinātība	employment
العمالية	darbs	labor
العمر	vecums	age
العمران	urbānisms	building
العمراني	pilsētas	architectural
العمرانية	urbānisms	imran
العمرة	umrah	omrah
العمري	al-omari	age
العمق	dziļums	depth
العمل	darbs	work
العملاق	milzis	the huge
العملاقة	milzis	huge
العملة	valūta	currency
العملي	praktiski	practical
العمليات	procesi	operations
العملية	operācija	operation
العمود	kolonna	amood (name)
العموم	commons	commons
العمومية	vispārīgums	public
العميق	dziļi	the deep
العميقة	dziļi	deap
العناصر	elementi	elements
العناية	aprūpi	deal with
العنب	vīnogas	grape
العنصر	elements	the element
العنف	vardarbība	violence
العهد	derība	the era
العواصف	vētras	the storms
العوام	biedri	floater
العوامل	faktori	factors
العود	lute	el oud
العودة	atpakaļ	back
العولمة	globalizācija	the globalization of
العيد	eid	el eid
العيش	tiešraide	living
العين	acs	eye
العينين	acis	eyes
العيون	acis	eyes
الغابات	meži	forests
الغابة	meži	forest
الغاز	gāze	gas
الغازات	gāzes	gases
الغازي	iebrucējs	gaseous
الغالب	pārsvarā	usually
الغالبية	vairākums	the vast
الغبار	putekļi	dust
الغدد	dziedzeri	glands
الغذاء	ēdiens	nutriment
الغذائي	ēdiens	alimentary
الغذائية	ēdiens	food
الغرب	rietumi	west
الغربي	rietumu	occidental
الغربية	rietumu	western
الغربيين	rietumnieki	westerners
الغرض	nolūks	reason
الغرفة	istaba	chamber (of commerce)
الغزاة	iebrucēji	invaders
الغزالي	al-ghazali	el-ghazaly
الغزل	vērpšana	spinning
الغزو	iebrukums	invasion
الغزوات	iebrukumi	forays
الغشاء	membrāna	the membrane
الغطاء	vāks	cover
الغلاف	piesegt	cover
الغلوكوز	glikoze	glucose
الغليون	caurule	pipe
الغموض	noslēpums	mystery
الغني	bagātie	rich
الغنية	bagāts	rich
الغير	citi	not
الـ		the
الفئات	kategorijas	groups
الفئة	kategorija	category
الفائدة	ieguvums	benefit
الفائز	uzvarētājs	winner
الفاتح	al fateh	conqueror
الفاتحة	al-fatiha	al-fatiha
الفاتيكان	vatikāns	vatican
الفارابي	al-farabi	el farabi
الفارسي	persiešu	persian, farsi
الفارسية	persiešu	persian
الفاشية	fašisms	fascism
الفاصل	atdalītājs	deviding
الفاطمي	fatimīds	the fatimid
الفاطمية	fatimidisms	fatimid
الفاطميين	fatimīdi	fatimids
الفتاة	meitene	the girl
الفتح	iekarošana	the conquering
الفترات	periodi	periods
الفترة	periods	period
الفتنة	nesaskaņas	conflict
الفتوح	al-futū	liberations
الفتوحات	iekarojumi	conquers
الفجر	rītausma	dawn
الفجوة	plaisa	the gap
الفحص	pārbaude	inspection
الفحم	akmeņogles	coal
الفخار	keramika	pottery
الفدرالي	federālā	federal
الفدرالية	federālisms	federal
الفرات	eifrāts	al-furat
الفراش	gultas veļa	el ferash
الفراعنة	faraoni	pharaohs
الفراغ	nederīgs	void
الفرج	vulva	the vagina
الفرد	indivīds	the individual
الفردي	singli	individual
الفردية	individuāls	individual
الفرس	persieši	the persians
الفرسان	bruņinieki	knights
الفرصة	iespēja	chance
الفرع	filiāle	branch
الفرعونية	faraonu	pharaonic
الفرعية	apakš	sub-
الفرق	atšķirība	difference
الفرقة	grupa	the band
الفرن	cepeškrāsns	oven
الفرنجة	franki	franks
الفرنسي	franči	the french
الفرنسية	franču valoda	the french
الفرنسيون	franči	the french
الفرنسيين	franči	the french
الفروع	nozares	branches
الفريدة	unikāls	unique
الفريق	komanda	team
الفريقان	abas komandas	the two teams
الفريقين	abas komandas	the two teams
الفساد	korupcija	corruption
الفصائل	frakcijas	factions
الفصح	lieldienas	easter
الفصحى	klasiskā	standard
الفصل	klase	chapter
الفضاء	telpa	the space
الفضائي	svešais	of space
الفضائية	satelīts	satellite
الفضة	sudrabs	silver
الفضل	favorīts	favor
الفطر	sēnes	feast
الفعالة	efektīvs	effective
الفعل	darbības vārds	verb
الفعلي	īstais	the actual
الفعلية	īstais	executive
الفقر	nabadzība	poverty
الفقراء	nabags	poor
الفقري	mugurkauls	spinal
الفقه	jurisprudence	jurisprudence
الفقهاء	juristi	scholars
الفقهية	jurisprudence	juristic
الفقيرة	nabadzīgs	poor
الفقيه	faqih	the faqih
الفكر	domāju	thought
الفكرة	ideja	the idea
الفكري	intelektuāls	intellectual
الفكرية	intelektuāls	the intellectual
الفلاحين	zemnieki	farmers
الفلاسفة	filozofi	philosophers
الفلبين	filipīnas	philippines
الفلبينية	filipīniešu	philippine
الفلسطيني	palestīnietis	the palestinian
الفلسطينية	palestīnietis	palestinian
الفلسطينيون	palestīnieši	the palestines
الفلسطينيين	palestīnieši	palestinians
الفلسفة	filozofija	phylosophy
الفلسفي	filozofiski	philosophical
الفلسفية	filozofiski	philosophical
الفلك	astronomija	astronomy
الفلكي	astronoms	astronomer
الفلكية	astronomijas	the astronomy
الفلكيون	astronomi	astronomers
الفلم	filma	movie
الفم	mute	the mouth
الفن	māksla	the art
الفنادق	viesnīcas	hotels
الفنان	mākslinieks	the artist
الفنانة	mākslinieks	artist
الفنانين	mākslinieki	artists
الفنلندي	soms	finnish
الفنلندية	somu	the finnish
الفنون	māksla	arts
الفني	mākslas darbs	the art
الفنية	mākslinieciski	the technician
الفهد	gepards	the leopard
الفهم	saprašana	understanding
الفوائد	ieguvumi	benefits
الفور	vietas	four
الفوز	uzvarēt	winning
الفوضى	haoss	chaos
الفولاذ	tērauds	steel
الفوهات	sprauslas	craters
الفيدرالي	federālā	federal
الفيدرالية	federālisms	federal
الفيديو	video	the video
الفيروس	vīruss	virus
الفيروسات	vīrusi	viruses
الفيروسي	vīrusu	viral
الفيروسية	vīrusu	viral
الفيزياء	fizika	the physics
الفيزيائية	fiziskā	physical
الفيس	elviss	elvis
الفيضان	plūdi	flood
الفيضانات	plūdi	floods
الفيفا	fifa	fifa
الفيل	zilonis	the elephant
الفيلة	ziloņi	the elephants
الفيلسوف	filozofs	philosopher
الفيلم	filma	the movie
الفينيقية	feniķiešu	phoenician
القائد	līderis	the leader
القائلة	sakot	view
القائم	balstīts	current
القائمة	saraksts	going on
القادم	nākamais	come
القادمة	nāk	the upcoming
القادمين	nāk	the coming
القارئ	lasītājs	the reader
القارات	kontinenti	continents
القارة	kontinents	the continent
القارية	kontinentāls	continental
القاسم	saucējs	el kassem
القاضي	tiesnesis	judge
القاعدة	al-qaeda	base
القانون	likums	law
القانوني	likumīga	kanuni
القانونية	likumīga	legal
القبائل	ciltis	tribes
القبة	kupols	dome
القبر	kapa	tomb
القبض	notverti	catch
القبطي	koptu	the coptic
القبطية	koptu	coptic
القبلة	skūpsts	the quiblh
القبلي	cilts	tribal
القبول	uzņemšana	approval
القبيلة	cilts	tribe
القتال	cīņas	fighting
القتالية	apkarot	martial
القتل	nogalināt	homicide
القتلى	miris	killed
القدامى	vecumnieki	ancient
القدر	liktenis	as much
القدرات	jauda	abilities
القدرة	spēja	ability
القدس	jeruzaleme	jerusalem
القدسي	al-qudsi	the holy
القدم	pēdu	past
القدماء	senie cilvēki	ancient
القديس	svētais	saint
القديسين	svētie	two saints
القديم	vecais	ancient
القذافي	kadafi	gaddafi
القذف	mētāšanās	ejection
القرآن	korāns	koran
القرآني	korāns	quran
القرآنية	korāns	quranic
القراء	lasītāji	readers
القراءة	lasīšana	reading
القرار	lēmums	the decision
القرارات	lēmumi	decisions
القران	korāns	quran
القرشي	krashi	qurashi
القرص	disks	disk
القرضاوي	al-karadžu	el karadawey
القرم	krimā	crimea
القرن	gadsimts	century
القرنين	abi ragi	the two centuries
القرون	pāksti	centuries
القرويين	ciema iedzīvotāji	al-karaouine
القرى	ciemi	the villages
القريب	tuvu	close
القريبة	tuvumā	near
القرية	ciemats	the village
القزمة	rūķis	midget
القسطنطينية	konstantinopole	constantinople
القسم	sadaļa	section
القشرة	blaugznas	the crust
القصبة	kasbahs	al-kasaba
القصة	stāsts	the story
القصر	pils	palace
القصص	stāsti	the stories
القصف	bombardēšana	bombing
القصور	trūkumi	palaces
القصوى	galējība	maximum
القصيدة	dzejolis	poem
القصيرة	īss	short
القضاء	likvidēšana	judicial
القضائي	tiesu	judicial
القضائية	tiesu	judiciary
القضاة	tiesneši	judges
القضايا	jautājumi	the issues
القضيب	dzimumlocekļa	penis
القضية	lieta	case
القطار	vilciens	train
القطارات	vilcieni	trains
القطاع	nozare	sector
القطاعات	nozares	the sectors
القطب	pole	the pole
القطبي	polārs	polar
القطبية	polārs	polar
القطبين	stabi	polars
القطر	diametrs	diameter
القطرية	valsts	qatarian
القطط	kaķi	the cats
القطع	griešana	pieces
القطن	kokvilna	cotton
القعدة	baseness	thul qa'dah
القفز	lekt	jumping
القلاع	pilis	castles
القلب	sirds	heart
القلبية	no sirds	heart
القلعة	pils	castle
القلق	trauksme	worrying
القلوب	sirds	hearts
القليل	mazais	little
