aajo	హాస్యాస్పదంగా	hospitality
loloselu	రాజకీయంగా	in politics
lopolopo	చాలా	so many
loruko	పేరు	name
louvre	లౌవ్రే	louvre
lovers	ప్రేమికులకు	awon olufe
low	తక్కువ	diye
lo	కొనసాగించు	than
luanda	లువాండా	luanda
luther	లూథర్	luther
lynton	లింటన్	lynton
làgba	సమాన	more important
lààmi	సైన్	sign
lààmì	చిహ్నాలు	significant
lábé	బరువు	under
láfún	ఇచ్చిన	cassava food
láimo	లేకుండా	unknown
láké	బిగ్గరగా	in ake
lámọ́di	అదృష్టం	lamodi
lápá	భాగం	from
lára	హర్ట్	part of
lárúbáwá	సహజమైనది	arabic
láì	లేకుండా	without
láíláí	ఎప్పుడూ	old
lèe	చెయ్యవచ్చు	can
lèyìn	తరువాత	after
lédè	భాషలో	language
léebá	యాదృచ్ఛికంగా	catch up with it
lérìnín	మంచు	erin=laughter; the prefix 'l' is possesive
lérò	కారణం	thought
léyin	తరువాత	after
léyìn	తరువాత	after
lérú	బానిసత్వం	enslave
lílo	దోపిడీ	using
lísa	త్వరణం	a chieftaincy title
lítésò	పరుష	literature
lóde	బయట	modern
lópez	nipez	lopez
lópó	వితంతువు	widow
lórì	నౌకాశ్రయం	on the head
lóríba	పైగా	subdue
lóti	చాలా	have
lóòótò	అవును	truly
lóòótọ́	నిజానికి	truly
ló	ló	to
lónà	మార్గంలో	in a way
lórò	రేపు	become wealthy
lọndọnu	లండన్	london
lọ́dọọdún	ఏటా	yearly
lọ́jà	మార్కెట్లో	in the market
maapu	మ్యాప్	map
madeira	beira	madeira
mahatma	మహాత్ముడు	mahatma
makedonia	మేసిడోనియా	macedonia
malabo	తేనె	malabo
malay	భావించలేము	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	మలేషియాలో	malaysia
mali	రోజు	mali
mango	మామిడి	mango
manˈdeːla	mandelala	mandela
marcellus	మర్సుల్లుస్	marcellus
march	మార్చి	march
marku	ఈసారి	mark
mars	అంగారక	mars
maryland	మేరీల్యాండ్	maryland
maseru	అసూయ	don't be slave
matheu	matheu	matthew
mathiew	mathiew	mathiew
mathimatiki	గణిత	mathematics
max	గరిష్టంగా	max
maya	ఏ	maya
mbabane	ప్రతికూల	mbabane
means	అంటే	ona (way)
mediteraneani	మధ్యధరా	mediterranean
mefeefa	సమగ్ర	all six
mejidinlogbon	ఇరువై ఎనిమిది	twenty eight
mejila	పన్నెండు	twelve
meksiko	మెక్సికో	mexico
melo	ఎన్ని	some
member	సభ్యుడు	ara
mercosur	మెర్కోసర్	mercosur
merin	నాలుగు	four
methodologies	పద్ధతులు	anaoniruuru
metropoli	metropoli	metropolis
meucci	మెస్సీ	meucci
mewar	మేవార్	mewar
mexico	మెక్సికో	mexico
michelle	మిచెల్	michelle
micronesia	మైక్రోనేషియా	micronesia
miiràn	ఉపశమనానికి	another
mimoy	mimoy	mimoy
mimuwa	తగులుకున్న	import
minnesota	minnesota	minnesota
minority	మైనారిటీ	awon ara kekere
mohandas	మోహన్దాస్	mohandas
mokaleladota	కాంపాక్ట్	51, (mokanleladota)
mokanlelogbon	ముప్పై రెండు	thirty-one
mombasa	మొంబాసా	mombasa
monrovia	monrovia	monrovia
morgan	మోర్గాన్	morgan
morogoro	వాహన	morogoro
mozambique	మొజాంబిక్	mozambique
mozilla	మొజిల్లా	mozilla
mtn	mtn	mtn
mtwara	మళ్ళీ ఎంచుకోండి	mtwara
mughal	వాల్యూమ్	mughal
mulẹ̀	ఏర్పాటు	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	పర్వాలేదు	testament
mère	డ్రాయింగ్	significant
méjèèjì	రెండు	the two
mérindíláàdóta	యాభై ఐదు	forty-six
méte	ఐదు	lip
mérìndínlógún	పదహారు	sixteen
mérìnlélógójì	నలభై నాలుగు	44
méta	మూడు	three
métèètà	కార్పెంటర్	the three
méwàá	పది	ten
ménu	మీరు అనుకుంటున్నారా	verbally contribute; complete phrase= me nu ba
mímọ́	పవిత్ర	holy
míràn	మరో	other
míìrán	మరో	other
mííràn	మరో	other
mò	జ్ఞానం	know
mókólà	గ్లూ	mokola
móra	నివారణ	with themselves
mó	m	with
múlẹ̀	పట్టుకో త్వరగా	select land (farmland)
mẹ́fà	ఆరు	6
mẹ́rkúríù	ఎలుక	mercury
mẹ́ta	మూడు	3
mẹ́talọ́kan	త్రిమూర్తులు	trinity
namibia	వచ్చిన	namibia
nathaniel	నాథనీల్	nathaniel
nato	nato	nato
nawojulo	అయోమయంగా	highest-spending
nawó	మీ డబ్బు పొందండి	point finger
ncnc	ncnc	ncnc
nebraska	నెబ్రాస్కా	nebraska
nefimu	nephim	nefimu
neptune	నెప్ట్యూన్	neptune
nevis	నెవిస్	nevis
ngbero	అనుకున్న	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	అక్కడ	there
nibere	ప్రారంభ	earlier
nigbakan	కొన్నిసార్లు	at one time
nigbà	అప్పుడు	when
nijẹr	నైక్	niger
nilè	ఇక్కడ	remaining
nisinyi	ఇప్పుడు	at present
nitoriidieyi	దీనివల్ల	because of this
nitoripe	ఎందుకంటే	because
nitosi	సమీపంలోని	nearby
niwaju	ముందుకు	in front of
niyato	వేరు	unlike
niye	చాలు	in number
niyi	ఇదిగో	these
nkan	విషయం	things
nkàn	కాన్సర్	something
nnaji	మామయ్య	nnaji
nobel	నోబెల్	nobel
nombamewa	గుణించడం	decimal
nombáméjì	మొదటి రెండు	two-number
novo	నోవో	novo
nri	ఆహార	nri
nse	రూపకల్పన	acting
nso	సమీపంలో	saying
nsolaboraro	భద్రతా	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	పాయింట్	indicates
nu	శుభ్రంగా	in
nukleotidi	న్యూక్లియోటైడ్	nucleotides
nukleotidipupo	న్యూక్లియోటైడ్	cell
numeri	తిమ్మిరి	numbers
nwa	బేబీ	drill
nàìjíríà	నైజీరియాలో	nigeria
náwo	వ్యయం	spend money
náà	చాలా	that
nì	మౌంటైన్	is
nìnú	క్షమించండి	in
nìyí	ఇంక ఇదే	this is
ní	కలిగి	on
níbè	అక్కడ	there
níbè	అక్కడ	there
nífẹ̀ẹ́	ప్రెమించదానికి	love
nígbàtí	ఎప్పుడు	when
nílè	క్రింద	on the ground
nílùú	నగరంలో	in the town
nílẹ̀	నేల మీద	in the land
nínlá	గొప్ప	large
nínu	క్రీడల్లో అవకాశాలు	in
níní	కలిగి	having
nípà	కనీసం	by
nítorípé	ఎందుకంటే	because
nítumò	అర్థం	meaningful
nítòsí	సమీపంలోని	nearby
nítòótó	ఖచ్చితంగా	truly
nítòótọ́	నిజానికి	in truth, truthfully
níwájú	ముందుకు	in front
níyanjú	సానుకూలంగా	solved
nǹkan	విషయం	things
nso	త్వరలో	say
oba	ఒబామా	king
obairanderan	బంధువు	hereditary
obere	చిన్న	started
obínibí	మర్యాద	inborn
ododo	ధర్మానికి	righteousness
ofin	చట్టం	law
ogbè	ప్రాంతం	a divinity
ogun	యుద్ధం	war
ogunlogo	ప్రేక్షకులు	hundreds
ojo	లాగా ఉంటుంది	day
ojojumo	రోజువారీ	daily
ojoru	వెచ్చదనం	wednesday
ojukokoro	దురాశ	covetousness
ojuoorun	సూర్యాస్తమయం	atmosphere
ojuse	బాధ్యత	responsibility
ojùkòsì	వర్షపాతం	ojukosi
ojùkòtúu	వర్షపాతం	ojukotuu
ojúlùmọ̀	పరిచయాలు	acquaintance
ojútáyé	స్నిగ్ధత	public
ojúìwé	పేజీ	page
okeere	విదేశీ	distant
okhotsk	ఓఖోట్క్	okhotsk
oko	ఫీల్డ్	farm
okunkun	చీకటి	darkness
okunrin	మనిషి	male person
olodiajodojuko	ఒకరికొకరు	facing wall
olohun	యజమానులు	god
olojukanna	తక్షణమే	same surface
olokunkun	హెడ్ఫోన్స్	popular
ololugbe	ఓటమి	occupants
olopon	గర్వముగల	a local game
olora	కొవ్వు	fertile
oloselukan	హలో	one political
oloye	మేధావి	chief
oluda	సృష్టికర్త	creator
oludase	నిర్మాత	separatist
olukoitan	బోధకుడు	the writer
olukowe	రచయిత	writer
olumojuto	అత్యాశకరమైన	overseer
oluparapo	కలయిక	joint
olusoju	గార్డు	ambassador
oluwakiri	అన్వేషణ	explorer
olympus	ఒలింపస్	olympus
olódùmarè	దేవుడు	almighty god
olóyè	పాలకుడు	chief
olóṣèlú	రాజకీయ	politics
olùbátan	ఈ పరిచయం	relative
olùdarí	ఒక నాయకుడు	director
olùkópa	కంట్రిబ్యూటర్	participant
olùkó	బోధకుడు	teacher
olùkọ́	గురువు	teacher
omi	నీటి	water
omiadalu	వరద	mixture
onialjebra	onialjebra	of algebra
onibugbe	కౌలుదారు	population
onigbeja	నిర్మాణాత్మక	allied
onigbowo	స్పాన్సర్	sponsor
onigunfenfe	నిష్క్రియాత్మ	large angle
onilanaibagbepo	కండోమ్	constitutional
onilile	గృహ యజమానులు	solid
oninawo	రుణగ్రహీత	financial
onipin	హేతుబద్ధమైన	even
onisayensi	టెక్నీషియన్	scientific
onisowo	వ్యాపారి	trader
oniyewumeji	బైనరీ	two-chamber
oniyijulo	అద్భుతంగా	highest honour
onje	ఆహారం	food
onka	కాలిక్యులేటర్	counter
onígbàgbó	ముసలివాడు	believer
oníkólóbó	అసంబద్ధం	onikolobo (place)
onílẹ̀	డౌన్	land owners; citizens (omo onile)
oníná	ఫైర్	electronic
onítumò	అనువాదకుడు	meaning
onítèbọmi	బాప్తిస్మం తీసుకున్నారు	baptist
onítòhùn	అకౌంటెంట్	that person
oníwòsàn	వైద్యుడు	doctor
oníyanjù	యానిమేటెడ్	persevere
ooni	మొసలి	ooni (king)
ootọ́	నిజమైన	truth
opec	opec	opec
opposite	వ్యతిరేక	odi
ori	తల	top
oriire	అభినందనలు	success
oriki	ఓరియంటల్	name of endearment
orileede	ఒక దేశం	country
orileedeajoba	సామ్రాజ్యవాద	monarchic country
orilejoba	ప్రభుత్వం	seat of government, kingdom
orileominira	వెచ్చదనం	republic
orinìyìn	ఒక పాట	songs of praise
orisirisi	వివిధ	various
orisun	మూలం	source
orisa	మూలాలు	god
oritameta	మధ్యలో	crossway
orudnun	వార్షిక	mispelled...should orundun, century
oruko	నామవాచకం	name
oríilè	జాతీయ	land
oríilẹ̀	వ్యాసం	land
oríkì	కవిత్వం	family name
orílèèdè	దేశం	country
orílẹ̀	దేశం	continent
orílẹ́	సాయంత్రం	nation
orísiirísi	వివిధ	various
orísìí	వివిధ	type
orísìírísi	వివిధ రకములు	various
orúko	స్థలము	name
oscar	ఆస్కార్	oscar
oseluarailu	పౌర	political unit
otherwise	లేకపోతే	ibaje
otutu	అనేక	coldness
oun	అతను	it
owojagidijagan	తీవ్రవాదుల	upheaval
oúnjẹ	ఆహార	food
odún	సంవత్సరం	year
ojó	వర్షం పడుతుంది	day
okùnrín	నవ్వు	man
olórun	దేవుడు	god
olósìn	మత	rearing
odun	వార్షిక	year
olorun	దేవుడు	god
omonìyàn	మనుషులు	human beings
opolo	అనేక	brain
ose	ose	week
oyé	ప్రపంచం	harmattan
ofò	శుభోదయం	nothingness
opolo	అనేక	brain
paa	ఆపివేయండి	back
paapaa	ముఖ్యంగా	especially
padá	పాడ్	go back
palauan	పాలుఆన్	palauan
panaˈma	పనామా	panama
panyanan	స్పేస్	spanish
papa	పాపా	specifically
parapọ̀	మిశ్రమం	join
paripari	ముగింపు	finally
pele	అందమైన	hello
penh	పెన్	penh
penisula	పెనిసులా	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	పెర్ల్	with
phillipines	phillipines	phillipines
pinsi	క్షీణిస్తున్న	divided
pinsoto	pinoto	separated
pinu	నిర్ణయిస్తారు	decide
pipo	చాలా	plenty
pipolongo	ప్రకటన	publicise
piposi	చాలా	multiplication
platos	ప్లేటో	plato's
plánẹ́tì	ప్లంబింగ్	planet
po	పో	share
pojulo	ఎత్తైన	larger
polandi	పోలిష్	poland
polaroid	పోలరాయిడ్	polaroid
population	జనాభా	ero
portonovo	portonovo	porto novo
portuguese	portuguese	portuguese
press	పత్రికా	press
produced	ఉత్పత్తి	yo
protokolu	protocolu	protocol
proton	ప్రోటాన్	kemika alaropo
providence	భగవత్	providence
príncipe	ప్రిన్సిపి	principe
pupa	ఎరుపు	red
px|kùránì	px | కెర్నల్	koran or quran; the px  does not belong
pàmò	ప్రత్యేకంగా	pamo (town)
pàràkòyí	తక్షణమే	parakoyi
pààlà	ఒక సరిహద్దు	signalised
pàápàá	ముఖ్యంగా	especially
pásíà	నేలమాళిగ	persia
pátáporongodo	ఖచ్చితంగా	entire
pè	అని	that
pèhìndà	వీర్యం	turned back
pèlu	పాటు	with
pèlúpèlú	అలాగే	in addition
pèsè	అందించిన	provide
pé	ఆ	that
péré	మాత్రమే	only
péé	ఆ	that
pípa	స్లాటర్	order
pípèsè	నియమం	providing
pípẹ́	దీర్ఘ	long
pòwe	సామెతలు	to say a proverb or wise saying
pò	రెట్లు	join
púpo	చాలా ఎక్కువ	much
púpò	కాకుండా	a lot
quran	quran	quran
ra	కొనుగోలు	self
race	రేసు	ere
rajya	ఆశిస్తున్నాము	rajya
ramadan	రంజాన్	ramadan
rank	ర్యాంక్	ipo
reggae	రెగె	reggae
repeats	రిపీట్స్	tunso
repetejulo	అత్యంత సున్నితమైనది	most of all
rere	మంచిది	success
research	పరిశోధన	agbeyewo
richard	రిచర్డ్	richard
right|thumb|px|aworan	కుడి | బొటనవేలు | px | చిత్రం	picture
rinle	కొత్తగా	emphasise
riresile	రికార్డర్	humbled, lowered
riro	ఊహ	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	అనుకుంటున్నాను	thought
robinson	రాబిన్సన్	robinson
roboto	ఉపరితలాలు	round
rogbodiyan	అల్లర్లు	riot
rokirika	బ్రౌజింగ్	publicise
roko	మాబ్	farm work
roma	రోమా	roma
rome	క్రోమ్	rome
ronald	రోనాల్డ్	ronald
rorùn	సులభంగా	easy
rossii	rossii	rossii
rural	గ్రామీణ	igberiko
ryan	ryan	ryan
ráhàn	కనిపించింది	complain
ránmú	ఆందోళన	grumble
république	république	republic
ré	సి	his/her
rìn	నడవడానికి	should be orin, song or music
ròyìn	నివేదించారు	give account
rẹ	ఆమె	it
saarc	తొలగిస్తాయి	saarc
saaree	ఉన్నతమైన	after death
saarland	నేలపై	saarland
safari	సఫారీ	safari
saffana	నీలం	savannah
safiwe	పోలిక	describe
safta	వరుసలో	safta
saheli	సౌలభ్యం	sahel
sakyamuni	తదుపరి	sakyamuni
sakyas	sakyas	sakyas
salem	సేలం	salem
salàyé	జీవితం	explained
sambia	యువత	zambia
samioro	అందుబాటులో	signal
santa	శాంటా	santa
say	సే	so
sb	sb	sb
schwarz	ష్వార్జ్	schwarz
sea	సముద్ర	odo
seat	సీటు	itedo
segbese	బహుశా	take steps
seidamo	స్పష్టమైన	identify
semolara	ఆస్తమా	accustom
semudaju	కోర్సు యొక్క	assure
senegal	సెనెగల్	senegal
sense	భావం	sensi
seville	సెవిల్లె	seville
sewadi	వెతకండి	investigate
sharon	sharon	sharon
sibesibe	ఇంకా	further more
sihamoni	నిర్మాణం	sihamoni
sile	వెనుక	previously
silè	చుక్కల	on the ground
sinai	పాపం	sinai
sinsin	మతం	unshakably
sioux	sioux	sioux
sise	వంట	works
sisodagba	పెరుగుతోంది	came of age
sisopo	లింకింగ్	joined
sisupapoerekusu	ఉమ్మివేయటం	neighbouring islands
sisupo	గుణకారం	concentrated
slovo	slovo	slovo
so	ప్రేమ	turned
sohun	అవును	something
solomon	సోలమన్	solomon
soon	త్వరలో	lai'pe
sopin	ముగింపు	ended
so	కాబట్టి	tells
spectacular	అద్భుతమైన	damanran
stella	స్టెల్లా	stella
structures	నిర్మాణాలు	igbekale
suez	సూయజ్	suez
sugbo	కాని కాదు	but
sugbọ́n	హేతుబద్ధమైన	but, however
sun	సూర్యుడు	sleep
suny	suny	suny
swahili	swahili	swahili
symmetry	సమరూపత	ogbooga
sàbúrí	పైవన్నీ	saburi
sàmì	ఒక గుర్తు	signalize
sàn	మంచి	flow
sàngó	ముఠా	sango (god of thunder)
sàì	బాగా	un
sápadè	ఈ రోజు	run to
sáàpàdé	స్పాన్సర్షిప్	saapade
sáààrin	నడి మధ్యలో	between
são	క్రొత్తది	sao
sèle	దొంగిలించడం	down
ségun	ఏడుపు	conquered
sénégal	వీర్యం	senegal
séyìn	తిరిగి	back
séyìn	తిరిగి	at the back of
sìbẹ̀	ఇంకా	there
sìni	రొయ్యలు	likewise
síbèsíbè	అయితే	further more
síbú	నేలకి	ocean
sílẹ̀	అణగదొక్కండి	drop
síse	పని	doing
síso	ఇప్పటికీ	spoken
síso	ఇప్పటికీ	saying
síta	బయట	outing
síwon	వాటిని	to them
síwájú	ముందుకు	comes before
síí	ఇక్కడ	on it
sòrò	జ్ఞాన వత్తిడి	talk
sójà	సైనికుడు	soldier
sóko	మొక్క	to the farm
sùgbón	దీనికి విరుద్ధంగా	but
sọ	సే	lose
si	ఖచ్చితంగా	to
síse	నిర్మాణం	performing
sùgbón	దీనికి విరుద్ధంగా	but
se	వారు చేస్తారు	do
sepò	చివరకు	cooperation
sisé	పని చేయండి	work
sááju	ఒక నిమిషం పడుతుంది	before
sísa	s .ía	to be
sísè	అనువాదం	step
tabi	లేదా	or
tabili	పట్టిక	table
tabora	ఎగవేత	tabora
taino	రక్తవర్ణం	taino
tainos	టైనోస్	tainos
takuntakun	అవరోధాల	valiant
talaka	పేద	poor
talika	పేదరికం	the poor
tara	తొమ్మిది	wholly
tata	వడపోత	wildly
taínos	టైనోలు	tainos
technology	సాంకేతికం	tekinoloji
tedo	డేటింగ్	stay
teksas	టెక్సాస్	texas
tele	అనుసరించండి	before
temptation	కోరుతూ	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	ది	does no directly translate
they	వాళ్ళు	won
those	ఆ	awon
thumb|left|upright|nelson	బొటనవేలు | ఎడమ | నిటారుగా | నెల్సన్	apa osi naro
tira	కాలం	quranic verse
tirana	టిరాన	tirana
tirè	తన	own
titu	షూట్	cold (if it's a person's name, it is tutu)
tiwọn	వారిది	theirs
to	కు	it
toje	అరుదైన	that is
tokasi	ఎత్తి చూపారు	pointing to
tokyo	టోక్యో	tokyo
tolerejulo	ఉపేక్షించేవారు	most profitable
tolórítelémù	హోలోకాస్ట్	all manners of people
tomé	టమోటా	tome
tooto	నిజంగా	true
tori	టోరి	because
torun	నల్లటి జుట్టు గల స్త్రీని	heavenly
toseluaralu	రాజకీయ	political
tounsejanu	విషాద	control
traduite	traduite	traduite
translated	అనువాదం	tunmo
tumosi	అంటే	means
tuntun	కొత్త	new
tàsí	లేకుండా	or
tàwon	వాటిని	theirs
táawà	నమస్కరించడానికి	we
tèlé	అనుసరించండి	before
tètè	త్వరగా	quickly
tèlé	తక్షణమే	follow
tèsíwájú	పురోగతి సాధించడానికి	progress
té	t	follow
télè	ద్వారా	before
té	t	shamed
títi	క్లోజ్డ్	till
títèlé	అనుసరించుట	following
títío	వరకు	until
tíátà	టిక్కెట్లు	theater
tíórì	టైర్లు	that is seen
tò	సెట్	enough
tóbi	పెద్ద	big
tódárajùlọ	అత్యుత్తమమైన	most beautiful
tókù	విశ్రాంతి	others
tówùú	ఏదైనా మొత్తం	whatever
tó	tó	taught
tóka	సైటెడ్	pointed
tú	బయట పోయు	untie
túmò	ప్లం	means
túnse	మళ్లీ అమర్చండి	restructured
tẹ̀ǹbẹ̀	అప్పుడు	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	కుట్ర	bitterness
ucb	ucb	ucb
umueri	పిల్లలు	umueri
unifasiti	విశ్వవిద్యాలయ	university
unla	అవును	great
urasílì	uracil	uracil
uribe	ప్రకాశం	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	మార్గం	uzbek
venezuela	వెనిజులా	venezuela
vermont	వెర్మోంట్	vermont
victor	విక్టర్	victor
videos	వీడియోలను	fidio
vihara	విహార	vihara
villa	విల్లా	villa
viruses	వైరస్లు	awon eran
visit	పర్యటన	ibewo
vz	వజ్	vz
waa	అది	ours
waju	ముఖం	future
wari	వాసన	once existing
westminster	వెస్ట్మిన్స్టర్	westminster
wisconsin	విస్కాన్సిన్	wisconsin
witkin	విత్కిన్	witkin
wiwari	ఆవిష్కరణ	discovered
województwo	cheworddztwo	wojewodztwo
wole	సైన్ ఇన్ చేయండి	into
woo	వూ	look
wo	ఇక్కడ	enter
wo	ఇక్కడ	look
won	వాటిని	they
wura	బంగారం	gold
wyoming	wyoming	wyoming
wàásù	బోధించాలని	preach
wì	కడిగివేయు	that
wípè	స్పష్టత	that
wòfún	చూపులో	convenient
wònyí	ఇవి	these
wón	వాటిని	they
wúnrèn	వర్కవుట్	small amount
wọn	వాటిని	they
wọ̀nyí	ఈ	these
xd	xd	xd
xiv	xiv	xiv
yafran	ఇది బాగుంది	yafran
yakubu	yakub	yakubu
yan	ఎంచుకోండి	choose
yanjú	సంకల్పము	solve
yanturu	పుష్కలంగా	abundant
yaoundé	యౌండే	yaounde
yewo	మెరుగుదల	examine
ye	అవును	suitable
ye	అవును	should
yindinyindin	ఎన్నటికి ఆపకు	brightly
yio	వలెను	will
yiowu	అది ఖచ్చితంగా	any
yipada	చుట్టూ తిరగండి	change
yiyafunnilo	కోతను	borrow
yoo	రెడీ	will
yori	దారితీసింది	result
york	యార్క్	york
yorúbà	పెరుగు	yoruba
yo	yo	remove
yànan	ఆశర్యం	scattered
yàtò	ఏర్పాటు	other than
yára	త్వరగా	quickly
yèwò	లుక్	examine
yée	వాళ్ళని చేయనివ్వు	eplained to
yì	వెళ్ళండి	this
yìí	ఈ	this
yí	చుట్టూ తిరగండి	this
yíyípadà	మార్పు	changed
yíì	మీరు రెడీ	this
yíò	అది ఖచ్చితంగా	it will
yẹ̀ẹ́	కుశలమా	check
yọ	తొలగిస్తాయి	bring out
zanzibar centralsouth	జాంజిబార్ సెంట్రల్‌సౌత్	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	దూరంగా	bce
àbe	బబూన్	under
àbámẹ́ta	గురువారం	saturday
àbáyo	సలహా	breakthrough
àbìkú	అమరత్వం	'born to die' child
àbọ̀	సగం	result
àdámò	గోప్యతా	earmark
àdátá	వ్యతిరేకం	adata
àdáátán	ప్రత్యేక	adaatan
àdóolóró	ఆయిల్	bomb
àgbàjọ	ముదుసలి వాడు	assembly
àgbàrá	వరద	power
àgbáríjọ	సంస్థ	combination
àgbékà	నైరూప్య	suitable
àgbéyèwò	సమీక్ష	examination
àgbìgbò	పొరుగు	a type of bird
àgbùdo	యార్డ్	corn
àgọ́	డేరా	ago
àifète	ప్రయోజనం	unable to keep quiet
àjo	ప్రయాణ	board
àjákọ	కాకుండా	ajako
àjọṣepọ̀	సామాజిక	union
àkosílè	సంగ్రహణం	written
àkosílè	థీసిస్	written account
àkàrà	కేకులు	bean pudding
àká	అల్మారాలు	store
àkójopò	సమూహం	collection
àkókó	సమయం	previous
àlàkalè	గోల్స్	breakdown, explanation of actions
àlàyé	సమాచారం	explanation
àlàáfíà	శాంతి	peace
àlááfià	సారూప్యత	wellbeing
àlè	బాస్టర్డ్	mistress, concubine, (side booty)
àlèpò	పైన	joined together
àlébù	నిర్దోషమైన	ills
àmérìkà	అతీంద్రియ	america
àmì	సైన్	sign
àmúlò	ఆచరణాత్మక	synonyms
àmúsorò	మనస్తత్వశాస్త్రం	resources
ànfàní	అవకాశం	opportunity
àpapọ̀	మొత్తంగా	federal
àpeere	ఉదాహరణ	example
àrígbámú	కలవరం	assistant
àrùn	వ్యాధి	disease
àrẹ	అధ్యక్షుడు	president
àse	విందు	authority
àsàjemátèe	డాన్	cunning
àsèyìn	పరిణామాల	at the end
àsìkò	సమయం	time
àsótélè	పొడిగింపు	prophecy
àsọdọ̀kan	ఐక్యత	unitary
àsekúdórógbó	బెరడు	do or die
àsà	కస్టమ్	habit, culture, norm
àtijo	వాడుకలో	olden days
àtìpó	గ్రహాంతర	sojourn
àtòrìnká	చుట్టూ	urinating while walking
àtúnse	మార్చు	modification
àtúnse	మార్చు	renovate, fix
àtẹnudẹ́nu	మౌఖిక	oral
àwon	సిద్ధాంతాలు	they
àwón	డబ్బు	the
àwón	డబ్బు	the
àwùjo	సమాజం	community
ààtò	కర్మ	suitability
ààyè	సజీవంగా	space
àárín	మధ్యలో	middle
àáyá	వీర్యం	seconds
àìkó	లోపం	unlearned
àìní	కావలసిన	lack
àìròtélè	ఊహించని	unthought of
àìsí	లేకపోవడం	lack
án	t	it
áwon	వివాహేతర సంబంధం	those
èbà	దోమలు	cassava flour food
èbúté	పోర్ట్	shore
èdá	సృష్టి	creature
èdè	భాష	language
èdè	భాష	language
èfòn	కాలం	efon
èhìn	తదుపరి	outskirt
èka	శాఖ	branch
èkejì	ఇతర	second
èlò	పాత్రలకు	tool
ènìkan	ఏదో	someone
èràn	వ్యాధి	virus
èrò	ఆలోచనలు	thoughts
èsó	మసీదు	modesty
èsúrú	చీమలు	yam (indigenous to west africa)
ète	ప్రయోజనం	plan
èyì	గౌరవం	this
èka	ప్రభావం	branch
èro	ఆలోచనలు	machine
èrí	సాక్ష్యం	witness
èsìn	మతం	religion
èwù	చొక్కా	clothe
èpón	చాలా	modifier
ìbarà	జ్వరం	ibara (town)
ìbánisòrò	కనెక్షన్	dialogue
ìbáraeni	క్యారేజ్	to themselves
ìbílè	జన్మహక్కు	local
ìbílè	జన్మహక్కు	local
ìdàgbà	యుక్తవయస్సు	grow
ìdàpapọ̀	ఏకీకరణ	union
ìdàrúdàpò	ఖోస్	misunderstanding
ìdá	పారిపోవటం	division
ìdìmú	భంగం	branch, part
ìdíisin	కారణం	idi-isin
ìdíwòn	మీ కారణం	criteria
ìdó	స్టింగ్	ido (a person's name)
ìfara	హింస	self
ìfojúìtànìgbesiayé	జీవిత చరిత్ర	biography
ìfáàrà	ఒక పూజారి	introduction
ìgbonnìbí jé	ఇది విపత్తు	igbonnibi
ìgbà	సమయం	when
ìgbàgbé	మతిమరుపు	forgetfulness
ìgbá	రెక్కలు	time
ìgbáraga	బలం	pride
ìgbéraga	అహంకారం	pride
ìgbésí	జీవితం	life
ìgbò	రామ్	igbo people
ìhun	ఇనుము	things
ìjo	నృత్యం	church
ìjo	చర్చి	church
ìjoba	ప్రభుత్వం	government
ìjora	ద్వేషం	resemblance
ìjìnlè	మిస్టరీ	comprehensive
ìjìnlè	మిస్టరీ	mysterious
ìjò	నాయకుడు	consent
ìjọba	ప్రభుత్వం	government
ìkejì	ఇతర	second
ìkànna	అదే	ikanna (town)
ìkèrèkú	రద్దీ	ikereku
ìkéde	డిక్లరేషన్	advert
ìkìjà	ఒక సవాలు	ikija
ìkìlò	తిట్టు	warning
ìkínin	ఆరవది	greetings
ìkẹrin	నాల్గవ	fourth
ìkọpa	పాల్గొనడం	ikopa
ìlera	ఆరోగ్య	health
ìlo	కాల్	use
ìlà	చుట్టుగీత	border
ìlànàn	భ్రాంతిని	procedure
ìlàorùn	గాయాల	east
ìlàìnàró	అణచివేతకు	vertical
ìlè	లంచం	land
ìlé	హోమ్	land
ìmò	పాము	knowledge
ìmò	మెరుపు	knowledge
ìmóbìdo	జన్మహక్కు	imobido
ìmú	ముక్కు	knowledge
ìmúnilérú	వేధింపులను	slavery
ìmúsára	బలోపేతం చేయడానికి	contagious
ìnagije	విజయం	alias
ìnáwó	వ్యయం	expenditure
ìpolongo	ప్రకటనలు	advertisement
ìpìlẹ̀núkléù	ఎన్క్రిప్షన్	base
ìpìnlè	ప్రారంభం	foundation
ìpínrò	పేరాలు	economize
ìrànlọ́wọ́	సహాయం	help
ìrànàna	సహాయం	path-clearing
