$ tỉ	milyard dollar	$ billion
cảm	soyuq	pleasure
cản	əzablı	prevent
cảng	liman	port
cảnh	səhnə	situation
cảo	çəkir	posthumous
cấm	qadağandır	ban
cấn	ehtiyac	dramatic
cấp	qrant	level or rank (n.)
cất	distillə edilmiş	"(term should be ""cất giữ"") to keep safe or store"
cầm	tutun	to hold (v.)
cần	ehtiyac	need
cầu	körpü	request
cầy	civet	farmed
cẩn	ehtiyatlı olun	carefully
cẩu	kran	"(term should be ""hải cẩu"") a seal (n.)"
cận	yanaşma	close
cập	sayğac	mention
cậu	onu	a young man (n.)
cậy	etibarlıdır	reliable
cắm	qoşun	to plant (v.)
cắn	dişləmək	to bite
cắp	oğurlamaq	steal
cắt	kəsmək	cut
cằm	çənə	chin
cằn	qəmli	exhausted (adj.)
cặp	cütlük	couple
cọ	xurma	rub
cọc	xovlu	pile
cọp	pələng	tiger
cỏ	ot	plant
cố	cəhd edin	"(term should be ""cố gắng"") to try one's best (v.)"
cốc	kubok	cereal
cối	havan	mortar
cốm	nugets	grilled rice
cống	xərac	dedicate
cồn	alkoqol	i
cồng	gong	gong
cổng	qapısı	gate
cỗ	göyərtə	engine
cỗi	inadkar	barren
cộ	vasitə	"(term should be ""xe cộ"") cars or vehicles (n.)"
cội	köhnə	origin
cộng	üstəgəl	to add (v.)
cột	sütun	pole
cớ	bəhanə	excuse
cờ	bayraq	flag
cỡ	ölçüsü	size
cợt	zarafat edir	"(term should be ""đùa cợt"") to trifle (v.)"
cục	şöbə	department
cụm	çoxluq	cluster
cụp	amputasiya edilmişdir	down
cụt	amputasiya edilmişdir	"(should be ""xương cụt"") the tailbone or coccyx"
củ	kök yumruları	a bulb, a botanical term
của	of	of
củi	odun	firewood
củng	həmçinin	reinforce
cứ	yandır	any
cức	coo	"(term should be ""cức Đê"") a character in chinese history"
cứng	sərt	hard
cứngi	hardi	cungi
cừ	yığınlar	nacre
cừu	qoyun	sheep
cửa	qapı	door
cửu	çoxaltmaq	nine
cữ	cu	abstinence
cữu	kaska	nine
cự	məsafə	against
cựa	dalğalanır	retreat
cực	həddindən artıq	extreme
cựu	keçmiş	former
d	d	d.
da	dəri	skin
daegu	daegu	daegu
dahl	dahl	(proper noun) dahl, as in author roald dahl
dai	çeynəmək	persistent
daily	gündəlik	daily
dakota	dakota	dakota, as in the state of south dakota
dalat	dalat	da lat
dampier	nəm	(proper noun) dampier, a last name
dan	dan	dan
dancing	rəqs edir	dancing
danger	təhlükə	danger
danh	adı	list
daniel	daniel	daniel
dante	dante	dante
dao	bıçaq	poniard
darwin	darvin	darwin
das	das	das
dassault	qüsur	(proper noun) dassault
date	tarix	date
dau	baş ağrısı	dau
dave	dərviş	(proper noun) dave, as in dave sexton
david	david	david, as in david thomas
davies	davies	davies
davis	davis	davis
dbsk	dbsk	dbsk
dc	dc	d.c.
ddr	ddr	ddr
dean	dekan	a name
degree	dərəcəsi	degree
delhi	delhi	delhi
delphi	delfi	(proper noun) delphi, as in the oracle
demeter	demeter	(proper noun) demeter, the greek goddess of the harvest
den	den	den
dennis	dennis	dennis
department	şöbə	departmen
derek	derek	derek
des	des	des
descartes	düşür	descartes
design	dizayn	thiet ke
deuterium	deuterium	deuterium
deutschland	deutschland	deutschland
dewan	devan	dewan, as in dewan rakyat
dewitt	dərviş	(proper noun) dewitt, as in rose dewitt bukater
di	di	move
diana	diana	(proper noun) diana, as in diana ross
die	ölmək	german
diego	diego	diego
dien	dəli	"(term should be ""Điện biên phủ"") a city in northwestern vietnam where a famous battle took place during the vietnam war"
dimaggio	dimaggio	gimaggio
dinh	saray	official residence or palace
dionysus	dionisus	dionysus, as in the greek god
discovery	kəşf	discovery
discussion	müzakirə	discussion
disneyland	disneyland	disneyland
division	bölmə	division
divoire	divoire	d'lvoire
diêm	matçlar	diem vuong
diên	dəli	"(term should be ""kinh diên"") canon (n.)"
diềm	valans	matches
diều	uçurtma	kite
diểu	uçurtma	(proper noun) diểu
diễm	diem	beauty; a common vietnamese first name for women
diễu	yürüş	parade
diệc	heron	a heron (n.)
diệm	diem	(proper noun) diệm, as in ngô Đình diệm, former president of south vietnam
diện	üz	face to face
diệt	öldürmək	to kill or destroy (v.)
diệu	sehrli	effective (adj.)
djibouti	cibuti	djibouti, a country in africa
djokovic	djokovic	(proper noun) djokovic, as in novak djokovic
dm	dm	dm
dmitri	dmitri	dmitri
dna	dna	dna
do	tərəfindən	because of
doanh	birgə	"(term should be ""kinh doanh"") business (n.)"
doc	dos	doc
docherty	sənədləşdirmə	docherty
dolly	dolandırıcı	(proper noun) dolly, as in singer dolly parton
dome	günbəz	nha
dominican	dominikan	(proper noun) dominican, as in the dominican republic
don	don	(proper noun) don
donau	donau	donau
dortmund	dortmund	(proper noun) dortmund
dougherty	dougherty	dougherty
douglas	duglas	douglas
dover	dover	(proper noun) dover, as in the capital of delaware
doyle	doyle	doyle
doãn	doan	doan
doạ	təhdid edir	threat
dp	dp	dp
dracula	dracula	dracula
draft	qaralama	draft
drake	dartmaq	(proper noun) drake
driver	sürücü	a name
ds	ds	ds
dtd	dtd	dtd
dth	dth	dth
du	du	travel
dubai	dubai	dubai
duiker	duiker	duiker
duk	duk	duk
dumas	dumas	dumas
dumbledore	dumbledore	dumbledore
dung	peyin	portrait
durham	durham	durham
dursley	dursley	dursley
duy	yalnız	only
duyên	əvvəlcədən təyin olunmuşdur	coastal
duyện	istəkli	fellatio
duyệt	gözdən keçirin	browser
duơng	duong	ocean
duẩn	duan	duan
duật	duat	duat
duệ	nəsilləri	descendants (n.)
duỗi	düzəldin	stretch
dwight	yuxu	dwight
dà	dah	gradually
dài	uzun	to lengthen, as in time
dàn	səhnələşdirmə	to arrange
dàng	asan	dang
dành	sərf etmişdir	for
dào	bol	"complement to word ""doi""; entire phrase ""doi dao"" means ""plentiful"""
dày	qalın	thick
dái	piss	"penis (n.), although some may use the term to mean ""testicles"""
dám	cəsarət etmək	dare
dán	yapışdırmaq	stick
dáng	forma	appearance
dát	naxışlı	inlay
dâm	yaramaz	lustful (adj.)
dân	insanlar	people
dâng	təklif	dedicate
dây	tel	nerve
dã	vəhşi	chronicle
dãi	damcı	band
dãn	dilatlandı	extend
dãy	ardıcıllıq	a row (n.)
dè	ehtiyatlı olun	tight
défense	defense	defense
dép	sandalet	slipper
dê	keçi	goat
dì	xala	aunt
dìu	dìu	to lead by the hand (v.)
dính	yapışqan	stick
dò	axtarış	(with word tham) to survey
dòm	baxmaq	snoop
dòng	xətti	"(term should be ""dòng họ"") family (n.)"
dó	ki	a type of plant used to make paper in vietnam (n.)
dông	tufan	a storm (n.)
dõi	track	monitor
dù	baxmayaraq	though
dùi	yumruqlayıcı	awl
dùng	istifadə olunur	use
dăm	qırxmaq	"(term should be ""đá dăm"") pebbles (n.)"
dĩ	əlbətdə	why
dĩa	çəngəllər	dish
dũng	cəsur	courage
dơ	çirkli	dirty
dơi	yarasalar	bat
dư	artıqlaması	remnant
dưa	qovun	melons
dưng	dayan	suddently
dương	müsbət	penis
dường	görünür	seem
dưỡng	tibb bacısı	feed
dược	aptek	having to do with medicine (adj.)
dượng	əmi	uncle
dạ	bəli	night
dại	axmaq	stupid or idiotic (adj.)
dạn	qorxmaz	"(term should be ""dày dạn"") to be accustomed to, especially some sort of difficult situation (adj.)"
dạng	format	tyoe
dạo	gezmek	vending
dạt	yuyulub	to drift
dạy	öyrətmək	teach
dải	zolaq	range
dấm	sirkə	vinegar
dấp	büdrəmək	shape
dấu	işarədir	signal
dấy	oyandırmaq	to raise (v.)
dần	tədricən	people
dầu	yağ	oil
dẫm	sıçramaq	step on
dẫn	qurğuşun	to lead
dẫu	baxmayaraq	though
dận	xala	to step on
dậu	xoruz	rooster
dậy	qalxmaq	"(term should be ""dậy thì"") pubescent (adj.)"
dắt	qurğuşun	lead
dằn	ballast	"(term should be ""dằn lòng"") to hold yourself in (v.)"
dằng	israrlı	dằng dai= long/endless
dẳng	israrlı	persist
dặm	mil	mile
dặn	əmr	to advise (v.)
dặt	sifariş	conservative
dẹp	düz çıxmaq	pacify
dẹt	düz	flat
dẻ	şabalıd	chestnut
dẻo	plastiklik	flexible
dế	kriketlər	cricket
dền	amaranth	beetroot
dể	asan	easy
dễ	asan	easy
dệt	toxuculuq	textile
dị	təklik	simple
dịch	tərcümə edin	semen
dịp	münasibətilə	occasion
dịu	yumşaq	ease
dọa	təhdid edir	to threaten or scare (v.)
dọc	şaquli	along
dỏm	hazırcavab	witty
dốc	yamac	slope
dối	yalan	lie
dốt	cahil	stupid or ignorant (adj.)
dồi	bol	"(term should be ""trau dồi"") improve (v.)"
dồn	künclü	accrue
dỗ	coax	dirty
dời	hərəkət etmək	leave
dở	pis	incomplete
dỡ	boşaltma	remove
dụ	məsələn	example
dục	cinsi	sexuality
dụng	istifadə etmək	use
dứa	ananas	pineapple
dứt	xitam verildi	to cease
dừa	kokos	coconut (n.)
dừng	dayan	to cease
dữ	məlumatları	"(term should be ""giận dữ"") anger (n.)"
dự	proqnozlaşdırılır	attend
dựa	əsaslı	base on
dực	kişi	dực, as in lê tương dực
dỹ	dỹ	dy
e	e	e.
ea	ea	(proper noun) ea, as in ea kao
earles	qulaqcıqlar	earles
eaton	yemiş	eaton
ebro	ebro	a name
ecmascript	ekmascript	ecmascript
ecw	ecw	ecw
edda	edda	(proper noun) edda
edgar	edqar	edgar, as in author edgar allan poe (n.)
edge	kənar	edge
edinburgh	edinburgh	(proper noun) edinburgh, as in edinburgh, scotland
edison	edison	edison
editor	redaktoru	editor
edmond	edmond	edmond
edo	edo	edo
edward	edward	edward
edwin	edwin	edwin
eea	eea	eea
efron	efron	efron, as in zac efron
egypt	misir	egypt
eid	bayram	(proper noun) eid
eiffel	eyfel	eiffel
einstein	eynşteyn	einstein
eisenhower	eisenhower	eisenhower, as in former president dwight d. eisenhower
ekaterina	ekaterina	this is a name
elbe	elbe	(proper noun) the elbe river
electronic	elektron	electronic
eliane	eliane	(proper noun) eliane
elip	ellips	ellipse
elizabeth	elizabet	elizabeth
ellen	ellen	ellen
ellis	ellis	a name
elton	elton	(proper noun) elton, as in elton john
elvis	elvis	elvis
elíp	ellips	ellipse
em	sən	younger sibling
email	e-poçt	email
emily	emily	(proper noun) emily, as in emily dickinson
emir	əmir	emir
emmy	emmy	emmy
en	en	erica reef
energy	enerji	energy
engels	ingilislər	engels
england	ingilis	(proper noun) england, as in new england
eniac	eniac	eniac
entente	entente	entente
entropy	entropiya	entropy
enzym	ferment	enzymes
eo	bel	eo, as in the film captain eo
ep	ep	a name
erich	erix	erich
erik	erik	erik, as in erik moller
eris	eris	eris
eritrea	eritrea	eritrea
ernest	ernest	(proper noun) ernest
eros	eroz	eros, greek god of love
erwin	ervin	(proper noun) erwin, as in erwin rommel
españa	españa	espana
essential	vacibdir	essential
ethernet	ethernet	ethernet
ethiopia	etiopiya	(proper noun) ethiopia
euclid	evklid	euclid
eugene	eugene	eugene
eugène	eugene	(proper noun) eugène
euler	eyer	euler
euro	avro	euro, as in the european currency
eurofighter	avropalı	eurofighter
europe	avropa	europe
european	avropa	(proper adjective) european
eva	eva	eva
everton	həmişəki kimi	everton
every	hər	every
exgay	exgay	exgay
explorer	tədqiqatçı	explorer
extensive	genişdir	extensive
fabio	fabio	(proper noun) fabio
facebook	facebook	(proper noun) facebook
fact	fakt	fact
facto	fakto	this is french not vietnamese
faifo	faifo	(proper noun) faifo
fao	fao	fao
farrell	farrell	farrell
faso	faso	faso
fbi	fbi	fbi
fca	fca	fca
fdi	fdi	fdi
features	xüsusiyyətləri	features
federer	federer	federer
feet	ayaqları	feet
felipe	felipe	felipe
felis	felis	(proper noun) felis
felix	feliks	(proper noun) felix, as in felix klein
ferb	ferb	ferb
ferdinand	ferdinand	ferdinand
ferguson	ferguson	ferguson
fernando	fernando	fernando
ferrari	ferrari	ferrari
fiat	fiat	fiat
fidel	fidel	fidel
field	sahə	field
fifa	əla	fifa
fifpro	əlli	fifpro
figo	figo	figo
fiji	fiji	fiji
finish	bitirmək	finish
firefox	firefox	(proper noun) mozilla firefox
fischer	balıqçı	fischer, as in louis fischer
fish	balıq	fish
fishbed	balıq yatağı	fishbed
fitzgerald	fitzgerald	(proper noun) fitzgerald
flanker	cinah	flanker
fleming	uçan	fleming
flight	uçuş	flight
foch	fox	(proper noun) foch
focus	diqqət	focus
foden	foden	(proper noun) foden, as in tom foden
fokker	fokker	fokker
food	yemək	food
football	futbol	bong da
forbes	qadağan edir	(proper noun) forbes, as in the magazine
ford	ford	(proper noun) ford
fordham	fordham	(proper noun) fordham
forks	çəngəllər	forks
foundation	təməli	foundation
fox	tülkü	fox
fpt	fpt	a company name in vietnam
fracsin	fracsin	a function
franc	frank	franc
france	fransa	france
frances	fransalar	frances
francis	frank	francis, as in francis xavier
francisco	fransisko	francisco
franco	frank	franco
frank	səmimi	frank
frankfurt	frankfurt	(proper noun) frankfurt
franklin	franklin	franklin
franz	franz	(proper noun) franz, as in franz ritter
freud	freud	(proper noun) freud, as in sigmund freud
friedman	qızardılmış	friedman
fu	fu	fu
fujiko	fujiko	fujiko, as in japanese writer fujiko fujio
fujimoto	fujimoto	fujimoto
fukuoka	fukuoka	fukuoka
funimation	cizgi	(proper noun) funimation
funk	funk	funk
futsal	futzal	futsal
fx	fx	fx
ga	ga	station
gabon	gabon	gabon
gabriel	gabriel	gabriel
gabriella	gabriella	gabriella
gagarin	qagarin	gagarin
gaia	gaia	gaia
gaillard	gaillard	gaillard
galilei	qalilei	galilei
galileo	qalileo	galileo, the astronomer
gam	qram	gam
gambia	qambiya	gambia
gamow	qəm	a name
gan	qaraciyər	liver
gandhi	gandi	gandhi, as in mahatma gandhi
gang	dəstə	cast iron
ganh	qısqanc	to be jealous
gao	gao	strictly
gareth	qaret	a name
garrett	qaret	garrett
gary	gary	gary
gascon	benzin	(proper noun) gascon, a dialect of france
gatt	gatt	gatt
gaule	gaule	gaul, a region in ancient western europe
gaulois	gaga	gaulois
gay	gey	tense
gaza	qazi	gaza
gdańsk	gdańsk	(proper noun) gdansk, poland
gdp	gdp	gdp
geisha	geyşa	geisha
gen	genlər	gene
gene	gen	(proper noun) gene, an english first name
genesis	genezisi	(proper noun) genesis
georg	georg	(proper noun) georg
george	dərə	george
georges	georges	(proper noun) georges, a french name
gepard	gepard	gepard
ger	ev	ger
gerais	gerais	(proper noun) gerais
gerhard	gerhard	gerhard
german	alman	german
germany	almaniya	germany
gerrard	gerrard	gerrard, a last name
ghana	gana	(proper noun) the african country of ghana
ghe	qayıq	canoe
ghen	qısqanc	to be jealous (v.)
ghi	yazmaq	write
ghim	sancaqlar	pin
ghé	dayan	visit
ghép	bağlamaq	fit
ghê	i̇yrəncdir	disgust
ghì	ghì	tighten
ghẻ	qaşınma	scabies (n.)
ghế	oturacaq	chair
ghề	rapids	scabby
ghềnh	rapids	waterfall (n.)
gia	gia	date
giai	mərhələ	period
giam	tutulub	imprison
gian	boşluq	"(term should be ""thời gian"") time (n.)"
giang	nəhəng	syphilis
gibraltar	gibraltar	(proper noun) gibraltar
gichin	gicin	gichin
gieo	əkin	sow
gifu	gifu	gifu, a district in northern japan
ginzan	ginzan	ginzan
gio	gio	wind
gioi	gioi	world
giuliani	giuliani	giuliani
giun	qurdlar	worm
giuse	gürzə	giuse
giuộc	giuoc	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	giza	giza
già	köhnə	old (adj.)
giàn	truss	"(term should be ""giàn hoa"") a trellis girder"
giành	qazandı	secure
giàu	zəngindir	rich or wealthy (adj.)
giày	ayaqqabı	a shoe
giá	qiymət	estimate
giám	direktor	"(term should be ""giám sát"") to supervise (v.)"
gián	tarakanlar	"(term should be ""gián tiếp"") indirectly"
giây	saniyə	seconds
giã	zərbə	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	uzanmaq	stretch
gièm	pozucu	"(should be ""gièm pha"") to backstab"
giêhôva	giva	jehovah
giêng	giong	january
giêsu	i̇sa	jesus
giêxu	nexus	jesus
giò	yay rulonları	leg
giòi	maqnotlar	maggot (n.)
giòn	xırtıldayan	crunchy or crispy (adj.)
gió	külək	wind
gióng	kimi	align
giúp	kömək	help
giũa	sənəd	sharpen
giơ	cəmləmək	raise
giương	alovlanmaq	posture
giường	yataq	bed
giả	saxta	fake (adj.)
giải	mükafat	solution
giảm	azaltmaq	decrease
giản	sadələşdirilmişdir	"(term should be ""giản dị"") simple (adj.)"
giấc	yuxu	giấc ngủ= the sleep
giấm	sirkə	drabble
giấu	gizlət	hide
giấy	kağız	paper
giầu	zəngin	rich
giận	hirsli	angry
giằng	bağlama	pull
giặc	düşmən	enemy
giặt	yuma	to wash (n.)
giếng	quyu	well
giết	öldürmək	kill
giềng	qonşu	"(term should be ""láng giềng"") neighboring"
giễu	istehza	ridicule
giọng	vurğu	tone
giọt	düşür	drop
giỏ	səbət	basket
giỏi	yaxsi	good
giồng	giong	mound
giỗ	ölüm ildönümü	anniversaries of deaths
giới	cinsi	gender
giờ	saat	bao giờ=ever
giở	flaş	to open or unfold (v.)
giỡn	zarafat edir	joke
giục	çağırıb	urge
giữ	tutmaq	hold
giữa	arasında	between
gladys	sevinc	gladys
glazer	glazer	glazer
glonass	glonass	glonass
gloria	şöhrət	gloria
gloster	gloster	(proper noun) gloster, as in gloster meteor
glucose	qlükoza	glucose
gmail	gmail	gmail
gnp	gnp	gnp
go	get	"(term should be ""gay go"") tense"
goes	gedir	goes
goku	goku	goku
golden	qızıl	golden
gom	toplamaq	to gather (v.)
google	google	google
gorbachev	gorbachev	gorbachev
gorbachyov	gorbachyov	gorbachev, as in former soviet president mikhail gorbachev
gordon	gordon	gordon, as in gordon brown
gore	gore	gore
gorky	gorkiy	gorky, as in gorky park
gothic	qotik	gothic
gottfried	gottfried	gottfried
grabeel	grabeel	grabeel, a last name
graham	qrem	graham
granada	granada	granada
granit	qranit	granite
greek	yunan	(proper noun) greek
greenland	yaşıllıq	greenland
greenson	göyərti	(proper noun) greenson
greenwich	yaşıllıq	(proper noun) greenwich
greg	greg	greg
grenada	qrenada	grenada
grenadines	qumbara	grenadines
gross	kobud	gross
grumman	qumbaraçı	(proper noun) grumman
gruzia	gürcüstan	gruzia
gryffindor	griffindor	gryffindor
gs	gs	prof.
gsts	gsts	professor- phd
gu	gu	gu
guam	guam	guam
guard	gözətçi	guard
guatemala	qvatemala	guatemala
gui	gui	gui
guinea	qvineya	guinea
guinness	guinness	(proper noun) guinness
guitar	gitara	guitar
gujarat	gujarat	gujarat
gulag	gulag	gulag
gulf	körfəz	gulf
gullit	gullit	(proper noun) gullit
gundam	gundam	(proper noun) gundam
gunung	gunung	(proper noun) gunung
gustave	gustave	gustave
gutenberg	gutenberg	gutenberg
guyana	oğlan	guyana; proper noun
gà	toyuq	chicken
gài	toxunmaq	to fasten (v.)
gào	qışqırdı	"(term should be ""thét gào"") to cry out (v.)"
gác	gözətçi	guard
gái	qız	girl
gán	təyin etmək	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	yük	hold
gáy	nape	crow
gân	tendon	tendon
gây	səbəb	make
gãy	qırıq	break
gì	nə	what
gìn	qorumaq	preserve
gò	kurqan	"(term should be ""gò má"") cheekbone (n.)"
gòn	gòn	gon
góa	dul	widowed
góc	künc	angle
gói	paket	goi
góp	hissə-hissə	to contribute
gót	daban	heels
gõ	növü	type
göbbels	göbələklər	gobbels, as in joseph gobbels
găm	xovlu	poniard
găng	əlcəklər	gloves
gũi	bağlamaq	close
gươm	qılınc	sword
gương	güzgü	mirror
gạc	qoz	johnson south reef
gạo	düyü	rice
gạt	yıxılıb	to cheat or trick (v.)
gả	evlilik	marry
gảy	kələkləndi	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	qac	gac
gấm	brocade	brocade
gấp	tələsmək	times, as in many times
gấu	ayı	a bear (n.)
gần	yaxınlığında	near
gầy	incə	thin
gẫy	qırıq	break
gập	qatlanmaq	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	çubuqlar	stick
gắm	osurmak	send
gắn	quraşdırılıb	mount
gắng	çalışır	try
gắt	sərt şəkildə	intense
gặm	gnaw	rodent
gặp	görüşmək	meet
gặt	biçmək	harvest
gỉ	paslı	rust
gọi	zəng edin	call
gọn	səliqəli	neat (adj.)
gọng	xırdalanmış	gong
gọt	cingildəmək	cut
gỏi	salat	a vietnamese salad
gốc	kök	origin (n.)
gối	yastıqlar	"(should be ""qùy gối"") to kneel"
gốm	keramika	pottery
gồm	daxildir	include
gồng	gong	carry
gỗ	odun	wood
gội	şampun	shampoo
gộp	hovuzlu	aggregate
gớm	çirkin	tremendous
gờ	baqaj	edge
gởi	göndərin	send
gỡ	boşaltmaq	meet
gợi	təşviqedici	to evoke (v.)
gục	yıxıldı	"(term should be ""đánh gục"") crush, as in battle"
gừng	zəncəfil	ginger
gửi	göndərdi	send
ha	ha	hectare
habana	habana	(proper noun) habana
habsburg	habsburg	(proper noun) habsburg
haeberle	xeberle	haeberle
hahn	hə	hahn
hai	iki	two (adj.)
hal	hal	hal
halle	halqa	(proper noun) halle
halogen	halogen	halogen (n.)
ham	hamam	desire
hamilton	hamilton	(proper noun) hamilton
han	xan	han
hang	mağara	cave
hangul	hangul	hangul
hanh	hanh	hanh
hanja	hanja	(proper noun) hanja, a type of chinese script
hansen	hansen	hasnen
hao	hao	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	harald	harald
hardy	hardy	hardy
harlem	harlem	harlem
harlow	xarab	harlow
harold	tutqun	(proper noun) harold
harper	harper	harper
harpercollins	harpercollins	hapercollins
harrier	harici	harrier, as in harrier jump jet
harris	harris	harris
harry	harri	harry
harvard	harvard	(proper noun) harvard, the name of a college
harvey	harvey	harvey
havana	havana	(proper noun) havana, cuba
havilland	havilland	havilland
hawker	şahin	hawker
hawking	qarmaqarışıq	(proper noun) hawking, as in physicist stephen hawking
hay	yaxsi	or
hb	hb	hb
hbv	hbv	hbv
hcl	hcl	hcl
hd	hd	activity
he	o	he, a korean name
health	sağlamlıq	health
heath	heath	heath
hee	hee	hee
hegel	hegel	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	heian	heian
heinrich	heinrix	heinrich
helen	helen	helen
helena	helena	helena
heli	helium	helium
hematocrit	hematokrit	hematocrit
hemoglobin	hemoglobin	hemoglobin
hen	toyuq	asthma
henry	niye	(proper noun) henry, as in henry kissinger
heo	donuz	dolphin
her	onun	her
herbert	herbert	herbert, as in herbert schandler
hercegovina	hercegovina	hercegovina
hercules	hercules	hercules
hermann	hermann	hermann
hermes	hermes	hermes
hersh	ot	hersh, as in seymour hersh
hesiod	hesiod	hesiod
hestia	hestiya	hestia
hi	salam	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	hickam	(proper noun) hickam
hicks	qarmaqlar	hicks
hideto	hideto	(proper noun) hideto
hideyoshi	hideyoşi	(proper noun) hideyoshi
hidro	hidrogen	hydrogen
hillsborough	hillsborough	hillsborough
hilton	hilton	hilton
himalaya	himalaya	(proper noun) himalaya
hinata	hinata	hinata
hindenburg	hindenburg	(proper noun) hindenburg
hindi	hindi	hindi
hindu	hindu	hindu, as in the hindu religion
hinh	hinh	(proper noun) a vietnamese first name
hinhtron	hinhtron	circle
hiragana	hiragana	hiragana
hiroshi	hiroshi	hiroshi
hiroshima	xirosima	(proper noun) hiroshima, the japanese city
hitchcock	hıçqırıq	hitchcock
hitler	hitler	hitler
hitter	hitter	hitter
hitters	vuranlar	hitters
hiên	eyvan	(proper noun) hiên, a vietnamese first name
hiđrô	hidrogen	hydrogen
hiếm	nadir	rare
hiến	bağışlamaq	devote
hiếp	zorlama	rape
hiếu	filial təqvası	pious
hiềm	xəstə	grudge
hiền	adaçayı	sage
hiểm	təhlükəli	dangerous
hiểu	başa düşmək	learn
hiện	göstərmək	"(term should be ""thực hiện"") to accomplish"
hiệp	yarısı	united
hiệu	təsiri	effective
hlv	məşqçi	trainer
hms	hms	hms
hmông	hmong	hmong
hn	hn	hn
hoa	çiçək	flower
hoan	festival	welcome
hogwarts	hoqqabazlar	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	hoi	rare
hokage	hokage	hokage
hokusai	hokusai	hokusai
holmes	holmes	a name
holocaust	qılınc	holocause
holocen	holosen	holocen
holt	qaranlıq	holt, an english last name
hom	şlamlar	a cutting
homer	homer	(proper noun) homer, the authorof the iliad and the odyssey
hon	hon	"(term should be ""hòn"") rock (n.)"
honduras	honduras	honduras
hong	hong	hong
honolulu	honolulu	honolulu
honshū	honshū	honshu
hopkins	xestelikler	(proper noun) hopkins
hornet	hornet	hornet
hotspur	isti nöqtə	(proper noun) hotspur, as in tottenham hotspur
houston	houston	(proper noun) houston, as in whitney houston
howard	necə	(proper noun) howard
however	lakin	however
hoà	qalstuk	peace
hoài	nostalji	always (adv.)
hoàn	tamamlandı	"(term should be ""hoàn toàn"") completely"
hoàng	kral	royal (adj.)
hoành	diafraqma	rife
hoá	kimya	"(term should be ""văn hoá"") culture (n.)"
hoán	perm	refined (adj.)
hoãn	təxirə salmaq	delay
hoạ	boya	disaster (tham hoa)
hoại	qanqrena	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	xentai	work
hoả	atəş	of
hoảng	çaxnaşma	panic-stricken (adj.)
hoặc	və ya	or
hp	hp	hp
hq	hq	hq
hudgens	hudgens	(proper noun) hudgens
hudson	hudson	hudson
huey	huey	huey
hughes	qucaqlayir	hughes
hugo	hugo	(proper noun) hugo
hume	hume	hume, as in david hume
hun	ovlamaq	(proper noun) hun
hungary	asma	hungary
hunt	ovlamaq	hunt
hurley	tələsik	(proper noun) hurley, as in chad hurley
hussein	huseyn	hussein
husserl	husserl	huserl
huston	huston	huston
hutech	daxma	hutech
huy	huy	a common vietnamese first name
huynh	qardaşı	older brother
huyền	mistik	huyền thoại= legend
huyễn	xəyali	huyen
huyện	rayonu	district
huyệt	akupunktur nöqtələri	lair
huân	huan	"(term should be ""huân chương"") medal (n.)"
huê	hue	"a less common vietnamese word for ""flower"""
huấn	təlim	"(term should be ""huận luyện"") to train (v.)"
huế	hue	hue
huệ	hue	favour
huống	dava	situation
huỳnh	kükürd	sulfur
huỷ	ləğv et	destroy
hydra	hidra	hydra, a monster in greek mythology
hydro	hidrogen	hydrogen
hyperion	hiperion	hyperion
hà	ha	"(term should be ""hà nội"") the capital of vietnam"
hài	komediya	corpse
hàm	funksiyası	"(term should be ""bao hàm"") to imply (v.)"
hàng	mallar	row
hào	çuxur	depreciation
hách	həddindən artıq	glorious
hái	alma	picking
hán	quraqlıq	china
háo	həvəsli	eager
hát	oxumaq	song
hâm	dəli	"(term should be ""hâm mộ"") to admire (v.)"
hân	xan	le ngoc han
hãi	qorxurdu	to be scared (v.)
hãn	xan	to sweat (v.)
hãng	möhkəm	a company (n.)
hãnh	qürurlu	proud
hè	yay	summer
hé	çatladı	reveal
héo	quru	dried-out
hét	qışqırdı	shout
hên	şanslı	luck
hí	ne	game
hít	nəfəs alır	act of kissing (hon hit)
hò	tanışlıq	date
hòa	qalstuk	republic
hòe	bağırlamaq	hoe
hòm	sandıq	box
hòn	ada	island
hòng	yaxşı	in order to
hóc	hoc	a corner (n.)
hót	oxumaq	to chirp or sing (v.)
hô	ho	respiration
hôi	murdar	stink
hôm	gün	day (n.)
hôn	öpmək	propose
hông	itburnu	hip
hù	qorxutmaq	threaten
hùng	qəhrəmanları	hero
húc	xəsarət	huc
húng	reyhan	"(should be ""húng láng"") water mint"
hút	siqaret çəkmək	to suck (v.)
hăng	kəskin	enthusiasm
hđbt	hđbt	hdbt
hđh	hđh	system software
hũ	bankalar	jar
hơi	biraz	slightly
hơn	daha çox	more or less
hư	yaramaz	fictional
hưu	təqaüdçü	huu
