$  	dollar təşkil edib	dollar
fasiszta	faşist	fascist
fauvizmus	fauvizm	fauvism
fazekas	dulusçu	fazekas
fc	fc	football club
február	fevral	february
februárban	fevral ayında	in february
federer	federer	federer
fedett	örtülmüşdür	covered
fedezte	aşkar etdi	covered
fedezték	aşkar etdi	discovered
fedi	örtmək	cover
fedélzetén	lövhədə	on board of
fegyver	silah	weapon
fegyverek	silahlar	weapons
fegyveres	silahlı	armed
fegyverrel	silah	with weapons
fegyvert	silah	weapons
fehér	ağ	white
fehérek	ağlar	whites
fehérjék	zülallar	proteins
fej	baş	head
feje	baş	head
fejedelem	şahzadə	emperor
fejedelemség	prinsipiallıq	empire
fejedelme	şahzadə	prince of sg
fejedelmek	şahzadələr	princes
fejedelmi	vəliəhd	prince
fejezet	fəsil	chapter
fejezi	edir	expresses
fejezte	dilə gətirdi	concluded
fejezték	tamamlandı	completed
fejlesztett	qabaqcıl	developed
fejlesztette	inkişaf etmişdir	developed
fejlesztették	inkişaf etmişdir	developed
fejlesztés	inkişaf	development
fejlesztése	inkişaf	development
fejlesztések	inkişaflar	developments
fejlesztési	inkişaf	development
fejlett	qabaqcıl	developed
fejlettebb	daha inkişaf etmiş	more developed
fejlődik	inkişaf edir	development
fejlődtek	inkişaf etmişdir	developed
fejlődés	inkişaf	development
fejlődése	təkamül	development
fejlődési	inkişaf	developmental
fejlődésnek	təkamül	development
fejlődést	tərəqqi	development
fejlődésének	təkamül	development
fejlődésére	təkamül	advance
fejlődését	təkamül	development of sy/sg
fejlődött	təkmilləşdirilmiş	developed
fejlődő	inkişaf edir	developing
fejtette	izah etdi	unraveled
fejében	ağıl	in the head of sy
fejér	fejér	"name of hungarian region ""fejér megye"""
fejét	baş	her husband
fekete	qara	black
feketetenger	qara dəniz	black sea
feketék	qaralar	blacks
fekszik	yalan	lies
fekvése	yeri	their position
fekvő	yalançı	pattern
feküdt	yalançı	lying
fel	yuxarı	up
feladat	tapşırıq	task
feladata	məsuliyyət	task of
feladatok	vəzifələr	tasks
feladatokat	vəzifələr	tasks
feladatot	tapşırıq	task
feladta	imtina etdi	gave up
felajánlotta	təklif etdi	offered
felbomlása	parçalanma	break-up
feldolgozása	emal	processing of
feldolgozó	prosessor	manufacturing
fele	yarısı	half of
felel	cavab	be responsible for sy/sg
felelt	cavab	answered
felelős	cavabdehdir	responsible
felelősek	cavabdehdir	responsible
felelőssé	cavabdehdir	responsible for
felesleges	lazımsız	unnecessary
feleség	arvad	wife
felesége	arvadı	's wife
feleségek	arvadlar	wives
feleségének	arvadı	his wife
feleségét	arvadı	his wife
feleségével	arvadı	his wife
feleségül	evli	(take sy) in marriage
felett	yuxarıda	over
feletti	üzərində	above
felfedezett	aşkar etdi	discovered
felfedezni	araşdırmaq	to explore
felfedezte	aşkar etdi	discovered
felfedezték	aşkar etdi	discovered
felfedezése	araşdırın	discovery of
felfedezések	kəşflər	discoveries
felfelé	yuxarı	upwards
felfogás	qavrayış	perception
felgyorsult	sürətləndi	accelerated
felhasznált	istifadə olunur	used
felhasználva	istifadə olunur	using
felhasználása	istifadəsi	use
felhasználásával	istifadə edərək	use of
felhasználó	istifadəçi	user
felhasználói	istifadəçi	users of
felhasználók	istifadəçilər	users
felirat	altyazı	caption
felismerte	tanınıb	realized
feljegyzések	qeydlər	records
felkarcsont	humerus	humerus
felkelés	qiyam	revolt
felkelők	üsyançılar	insurgents
felkereste	ziyarət etdi	visited
felkerült	əlavə etdi	added
felkérte	dəvət	asked to
felkérést	dəvət	request
fellelhető	tapıla bilər	available
fellépett	ifa olunur	appeared
felléptek	-də çıxış edir	acted
fellépés	tədbirlər	action
fellépése	tədbirlər	sy's appearance
fellépő	ifaçı	emerging
felmelegedés	istilik	warming up
felmerült	yaranır	came up
felnőtt	böyüklər	grew up
felnőttek	böyüklər	adults
felosztás	bölmə	partition
felosztása	növləri	putrefaction
felsorolt	sadalanmışdır	listed in
felszerelt	təchiz olunmuşdur	equipped
felszín	səthi	surface
felszíne	səthi	surface
felszínen	səthində	on the surface
felszíni	səthi	surface
felszínre	üzlük	to surface
felszínt	səthi	surface
felszínén	səthi	on the surface of
felszínét	səthi	surface
felszólította	çağırıb	requested (sy to)
felső	yuxarı	upper
felsőbb	yuxarı	upper
felsőfokú	üstün	superlative
felsőoktatási	ali təhsil	higher education
feltehetően	yəqin ki	supposedly
feltehetőleg	ehtimal ki	probably
feltárt	ortaya qoydu	uncovered
feltétel	şərtdir	condition
feltétele	tələbi	condition of
feltételek	şərtlər	terms
feltételeket	şərtlər	terms
feltételezett	şübhəli	assumed
feltételezhető	ehtimal olunur	assumed
feltételezés	güman	assumption
feltételezések	fərziyyələr	assumption
feltétlenül	tamamilə	unconditionally
feltűnik	görünür	appear
feltűnt	ortaya çıxdı	appeared
feltűnő	həssas	conspicuous
felvenni	götürmək	add
felvett	qeyd edildi	admitted
felvette	yığmaq	acquired
felvették	qəbul etdi	assumed
felvilágosodás	maarifləndirmə	enlightenment
felvonás	hərəkət etmək	act
felváltva	növbə ilə	alternatingly
felvétel	qeyd	record
felvétele	qeyd edin	adding
felvételek	yazıları	recordings
felvételeket	yazıları	records
felvételi	atəş	entrance examination
felállított	qurmaq	up
felállították	ucaldılmışdır	set up
felé	üçün	direction
felében	yarısı	in the half
felén	yarısı	(on its east-) side
felépítése	quruluşu	build of
felépítését	quruluşu	(its) build
felépítésű	quruluşu	set-up
felépült	sağaldı	was established
felét	yarısı	half of the
felújítás	bərpa	renovation
felújítása	yenidənqurma	restauration of
felügyelet	nəzarət	supervision
felügyelete	nəzarət	supervision
felügyelő	nəzarətçi	inspector
felül	üzərində	above
felület	səthi	surface
felületen	səthi	surface
felületet	səthi	surface
felől	dən	from
fenn	yuxarı	there
fennhatóság	suzerainty	jurisdiction of
fennhatósága	səlahiyyət	authority of sy/sg
fennmaradt	qorunub saxlanılır	remaining
fennmaradó	qalan	remaining
fenntartani	qorumaq	to maintain
fennálló	mövcuddur	extant
fenol	fenol	fenol (chemistry)
fent	yuxarıda	above
fenti	yuxarı	above
fenyegette	təhdid edir	threatened
ferdinand	ferdinand	ferdinand
ferdinánd	ferdinand	ferdinand
ferenc	fransisk	francis
ferenccel	ferenc	with ferenc
ferences	fransisk	franciscan
ferencet	frensis	frank
ferencz	ferencz	francis
ferenczy	ferenczy	ferenczy
fernando	fernando	fernando
ferrari	ferrari	ferrari
fertőzés	infeksiya	infection
fertőzések	infeksiyalar	infections
fertőzött	yoluxmuş	infection based
fertőző	yoluxucu	contageous
festett	boyalı	painted
festette	boyalı	painted
festival	festival	festival
festmény	rəsm	painting
festménye	rəsmlər	painting of
festményei	rəsmlər	(her/his) paintings
festészet	rəsm	painting
festő	rəssam	painter
festők	rəssamlar	painters
festőművész	rəssam	painter
fesztivál	festival	festival
fesztiválon	festival	at the festival
feszültség	gərginlik	tension
feszültségek	gərginlik	tensions
feszültséget	gərginlik	tension
feudális	feodal	feudal
fia	oğul	son of
fiai	oğulları	sy's sons
fiatal	cavan	young
fiatalabb	cavan	youngest
fiatalok	cavanlar	youth
fiatalon	cavan	young
fiction	uydurma	fiction
fidel	fidel	fidel
fidesz	fidesz	fidesz (hungarian civic party)
fifa	əla	fifa
figura	rəqəmlər	figure
figyelembe	alaraq	to the attention
figyelemmel	diqqətlə	(follow) with attention
figyelhető	müşahidə olunur	observed
figyelmen	nəzərə alınması	consideration
figyelmet	diqqət	attention
figyelmét	diqqət	attention
film	film	movie
filmben	film	in the movie
filmek	filmlər	films
filmekben	filmlər	in films
filmeket	filmlər	films
filmes	rejissor	movie
filmet	film	movie
filmfesztivál	film festivalı	movie festival
filmje	film	his film
filmjei	filmlər	movies
filmjében	film	movie
filmjét	film	it's film
filmkritikusok	film tənqidçiləri	movie critics
filmművészet	kinematoqrafiya	cimetaic art
filmnek	film	movie
filmográfia	filmoqrafiya	filmography
filmre	film	in movies
filozófia	fəlsəfə	philosophy
filozófiai	fəlsəfi	philosophical
filozófiája	fəlsəfə	sy's philosophy
filozófus	filosof	philosopher
filozófusok	filosoflar	philosophers
finger	barmaq	english word
finn	fin	finnsih
finnország	finlandiya	finland
finnugor	finno-ugric	finno-ugric
finom	gözəl	fine
fire	atəş	fire
firefox	firefox	firefox
firenze	florensiya	florence
firenzei	florensiya	florentine
firenzében	çiçək	in firenze
fityma	önlük	foreskin
fiume	fiume	fiume
fizetett	pullu	paid
fizetni	ödəmək	pay
fizetési	ödəniş	payment
fizika	fizika	physics
fizikai	fiziki	physical
fizikailag	fiziki	phisically
fizikus	fizik	physicist
fizikusok	fiziklər	physicists
fiának	oğul	to his son
fiát	oğul	sy's son
fiával	oğul	with his son
fiú	oğlan	boy
fiúk	oğlanlar	boys
fiút	oğlan	boy
fk	fk	fk
flamand	flamand	flemish
flotta	donanma	fleet
floyd	floyd	floyd
fm	fm	fm
fodor	qızartma	fodor
fog	diş	tooth
fogadja	qəbul edin	receive
fogadott	qəbul edilmişdir	adopted
fogadta	qəbul edildi	received
fogadták	qəbul edildi	welcomed
fogak	dişlər	teeth
fogalma	fikir	concept (of)
fogalmak	anlayışlar	concepts
fogalmazta	formalaşdırdı	formulated
fogalmát	konsepsiya	concept
fogalom	konsepsiya	concept
fogja	edəcək	will
fogják	edəcək	will
foglal	ehtiyat	reserves
foglalja	kitab	include
foglalják	işğal etmək	score
foglalkozik	sövdələşmə	deals
foglalkoznak	sövdələşmə	occupied with
foglalkozni	sövdələşmə	deal
foglalkozott	ilə məşğul idi	engaged
foglalkoztak	məşğul	dealt with
foglalkozás	peşə	craft
foglalkozó	yandır	dealing
foglalt	məşğul	included
foglalta	işğal edib	included
foglalták	sifariş edilmişdir	conquered
fognak	edəcək	will
fogoly	məhbus	prisoner
fogott	tutuldu	started
fogságba	əsirlik	captivity
fogta	aldı	held
fogva	dən	very
fogyasztják	istehlak olunur	consuming
fogyasztása	istehlak	consumption
fokozat	dərəcəsi	degree
fokozatos	tədricən	gradual
fokozatosan	tədricən	gradually
fokozott	şiddətləndi	increased
fokozta	şiddətləndi	increased
fokozza	artır	increases
fokú	dərəcəsi	-grade
foltok	ləkələr	spots
folyamat	proses	process
folyamata	proses	process
folyamatban	davam edir	process
folyamatok	proseslər	processes
folyamatos	davamlı	continuous
folyamatosan	davamlı olaraq	continuously
folyamatot	proses	process
folyik	axın	run
folyt	cont	was
folytak	aparılıb	continued
folytatja	davam edir	continues to
folytatják	davam edin	continue
folytatni	davam edin	continue
folytatott	ilə	continued
folytatta	deyə davam etdi	continued
folytattak	aparılıb	practice
folytatták	davam etdi	continued
folytatása	davam edin	continuation
folytatását	davam edin	continuation of
folytatódik	davam edin	continues
folytatódott	davam etdi	continued
folytonos	sabit	perpetual
folytán	görə	in the course of
folyékony	maye	liquid
folyó	çay	river
folyói	çaylar	's rivers
folyóirat	jurnal	journal
folyója	çay	sg's river
folyók	çaylar	rivers
folyón	çay	river
font	funt	pound
fontos	vacibdir	important
fontosabb	daha əhəmiyyətli	more important
fontosak	vacibdir	are important
fontosnak	vacibdir	important
fontosságú	prioritet	importance
fontsizes	fontsize edir	fontsize
fonálkígyófélék	leptotyphlopidae	leptotyphlopidae (type of reptiles)
football	futbol	english word
forbes	qadağan edir	forbes
ford	ford	ford
fordul	dönmək	recourse
fordulat	dönmək	turn
fordulatot	fırlanmaq	turn
fordulnak	baş verir	turn
fordult	çevrildi	turned
fordultak	çevrildi	turned
forduló	dönmək	turn
fordulóban	yuvarlaq	round
fordított	tərs	translated
fordította	tərcümə olunub	translated
fordítva	tərsinə	the other way around
fordítás	tərcümə	translation
fordítása	tərcümə	translation of
fordítások	tərcümələr	translation
fordító	tərcüməçi	translator
forgalmat	trafik	traffic
forgalmi	trafik	current
forgalom	trafik	traffic
forgalomba	bazar	(to) fiscal circulation
forgalomban	trafik	in circulation
forgatta	çevrildi	inconsistent examples (könyvet forgat=read a book - filmet forgat=shoot a movie)
forgatták	filmə çəkilib	filmed
forgatás	atəş	shooting (of film)
forgatása	çəkilişi	filming
forgatókönyv	ssenari	screenplay
forgatókönyvcs	unutatókönyvcs	colon is required here (forgatókönyv=script)
forgása	fırlanma	rotation of
forgási	fırlanma	rotation
forgó	fırlanan	rotating
forint	forint	forint
forma	forma	shape
formai	formal	form
formula	düstur	formula
formulaben	onun düsturu	in formula 1
formulaes	düsturlar	formula
formában	forma	in form
formái	formaları	forms
formája	forma	sorm of sg
formájában	forma	in the form
formáját	forma	form
formájú	forma	shape
formák	formaları	forms
formális	formal	formally
formát	forma	form
forradalmat	inqilab	revolution
forradalmi	inqilabçı	revolutionary
forradalom	inqilab	revolution
forradalomban	inqilab	during the revolution
forrás	mənbə	source
forrása	mənbə	source
forrásból	mənbə	source
források	mənbələr	sources
forrásokból	mənbələr	from sources
forró	isti	hot
forum	forum	forum
fosszilis	qalıq	fossile
fotók	fotolar	photos
foundation	təməli	foundation
fox	tülkü	english word
france	fransa	france
francesco	fransko	francesco
francia	fransız dili	french
franciaország	fransa	france
franciaországba	fransız ölkəsi	to france
franciaországban	fransa	in france
franciaországi	fransa	of france
francis	frank	francis
francisco	fransisko	franciso
franciák	fransız dili	french
franciául	fransız dilində	in french
franco	frank	franco
frank	frank	frank
frankfurt	frankfurt	frankfurt
franklin	franklin	franklin
franz	franz	franz
françois	fransız	francois
fred	qızardılmış	frédi
freddie	freddie	freddie
frekvencia	tezliyi	frequency
freud	freydizm	freud
friedrich	fridrix	friedrich
frigyes	frederik	friedrich
friss	təzə	fresh
frissen	təzə	freshly
from	dən	english word
front	ön	front
fronton	ön	on the front
ft	ft	abbreviation of various words
fulham	fulham	fulham
fulladt	boğuldu	drowned
funkció	funksiyası	function
funkciója	funksiyası	function
funkciók	funksiyaları	functions
furcsa	qəribə	strange
fut	qaçmaq	run
futam	irqi	round
futamon	irqi	on a run
futamot	irqi	race
futball	futbol	football
futott	qızdırılmış	ran
futó	istilik	running
fából	odun	of wood
fácánfélék	qırqovul	pheasant
fájdalom	ağrı	pain
fájl	fayl	file
fájlbudapest	fayl budapeşt	(meaningless compound)
fájlcharacter	fajlcharacter	file:character
fájlok	sənədlər	files
fák	ağaclar	trees
fáraó	firon	pharaoh
fázis	faza	phase
fél	tərəf	half
félelem	qorxu	fear
félidőben	yarım vaxt	halftime
félig	yarım	half
félsziget	yarımada	peninsula
féltekén	yarımkürə	hemisphere
félvér	yarı cins	half breed
fém	metal	metal
fémek	metallar	metals
fémes	metal	metalic
fény	işıq	light
fényes	parlaq	bright
fényképek	fotolar	photos
fényt	işıq	light
féregatkák	pentastomida	pentastomida
férfi	adam	man
férfiak	kişilər	men
férfinév	kişi adı	man's name
férfit	adam	man
férj	ər	husband
férje	əri	her husband
férjhez	evli	husband
férjét	ər	her husband
fórum	forum	forum
föderáció	federasiya	federation
föl	yuxarı	up
föld	yer	earth
földalatti	yeraltı	underground
földet	torpaq	the earth
földgáz	təbii qaz	natural gas
földi	torpaq	ground
földközitenger	aralıq dənizi	mediterranean sea
földművelés	kənd təsərrüfatı naziri	of agriculture
földpátok	feldisparatlar	felspars
földrajz	coğrafiya	geography
földrajza	coğrafiya	geography of
földrajzi	coğrafi	geographical
földre	aşağı	soil
földrengés	zəlzələ	earthquake
földrengések	zəlzələlər	earthquakes
földről	torpaq	land
földtörténeti	geoloji tarixi	(sg of) geological history
földön	yerdə	inconsistent examples (német föld=german land - földön fekvő=líing on the ground)
fölé	yuxarıda	above
fölött	yuxarıda	above
fúzió	birləşmə	fusion
fúziós	qaynaşma	fusion
függ	bu asılıdır	depends
független	müstəqil	independent
függetlenség	müstəqillik	independence
függetlenséget	müstəqillik	independence
függetlenségi	müstəqillik	independence
függetlenségét	müstəqillik	independence
függetlenül	müstəqil	independent
függvény	funksiyası	function
függvények	funksiyaları	functions
függő	asılıdır	dependent
függően	asılı olaraq	depending
függőleges	şaquli	vertical
fülbemászók	qulaqcıqlar	catchy
fülöp	filippin	philip
fülöpszigetek	filippin	philippines
für	qazma	für
fürdő	hamam	spa
füves	otlu	grassy
fő	ana	main
főbb	əsas	major
főherceg	arxduke	archduke
főhercegnő	archduchess	archduchess
főhős	baş qəhrəman	protagonist
főiskola	kollec	university
főiskolai	kollec	academic
főként	əsasən	mainly
főképp	əsasən	mainly
főleg	xüsusilə	particularly
főnevek	isimlər	nouns
főnix	feniks	phoenix
főnév	isim	noun
főnévi	əsaslandırıcı	noun
főnök	patron	chief
főnöke	patron	(her/his/its) boss
főparancsnoka	baş komandir	sg's commander-in-chief
főre	xalq	people
fős	xalq	head
főszerepet	əsas rol	main role
főszereplésével	baş rolda	starring
főszereplő	qəhrəman	protagonist
főszereplője	baş rolda	sg's leading character
főszereplők	əsas aktyorlar	leading characters
főurak	lordlar	lords
főváros	kapital	capital
fővárosa	kapital	its capital
fővárosba	kapital	to the capital city
fővárosban	kapital	in the capital
fővárosi	metropoliten	metropolitan
fővárost	kapital	capital
főút	magistral yol	highway
fűződik	açıqlama	ties in to/with
fűződő	gətirir	attached
ga	ga	ga
gabriel	gabriel	gabriel
gabriela	gabriela	gabriela
gabriella	gabriella	gabriella
gaga	qaqa	gaga
galaxis	qalaktika	galaxy
galilei	qalilei	galilei
galileo	qalileo	galileo
gall	gaul	gallic
galleria	galleria	galery
galéria	qalereya	gallery
gandhi	gandi	gandhi
garcía	garcia	garcia
gary	gary	gary
gasztronómia	qastronomiya	gastronomy
gazda	əkinçi	owner
gazdag	zəngin	rich
gazdaság	i̇qtisadiyyat	economy
gazdasága	iqtisadiyyat	economy of
gazdasági	iqtisadi	economic
gazdaságilag	iqtisadi cəhətdən	economically
gazdaságot	iqtisadiyyat	economy
gbr	gbr	gbr
gdp	gdp	gdp
gedeon	gedeon	gedeon
gellért	gellért	gellért
general	yaratmaq	general
generációs	nəsil	generation
genetikai	genetik	genetic
genf	cenevrə	geneva
genfben	cenevrə	in geneva
genfi	cenevan	from geneva
geológiai	geoloji	geologic
geometria	həndəsə	geometry
geometriai	həndəsi	geometric
geomorfológia	geomorfologiya	geomorphology
georg	georg	georg
george	dərə	george
georges	georges	georges
ger	alder	not a hungarian word
gera	gera	gera
gergely	john	gregory
germán	alman	german
get	almaq	english word
gillan	gillan	gilan
gilliam	gilliam	gilliam
gilmour	gilmour	gilmour
gimnázium	ali məktəb	highschool
gimnáziumban	ali məktəb	high school
giorgio	giorgio	giorgio
giovanni	giovanni	giovanni
girl	qız	girl
girls	qızlar	girls
gitár	gitara	guitar
gitárok	gitaralar	guitars
gitáros	gitarist	guitarist
giuseppe	ciyeppe	giuseppe
gizella	gizella	gizella 8forename)
gleccserek	buzlaqlar	glaciers
globalizáció	qloballaşma	globalization
globe	kürə	"not a hungarian word. ""globe"" means ""földgolyó"""
globedíj	kürə mükafatı	globe prize
globális	qlobal	global
glover	əlcək	glover
gmail	gmail	gmail
gnu	gnu	gnu
goethe	goet	goethe
gogh	qoq	gogh
gold	qızıl	english word
golden	qızıl	golden
gomb	orb	button
gomba	göbələk	mushroom
gombák	göbələklər	mushrooms
gondok	narahat edir	troubles
gondolat	düşündü	thought
gondolata	düşüncələr	thought
gondolatok	düşüncələr	thoughts
gondolja	düşün	think
gondolják	düşündü	they think
gondolkodás	düşüncə	thinking
gondolkodó	düşüncə	inconsistent examples (both noun and verb has the same written form philospher or thinking )
gondolkodók	mütəfəkkirlər	philosophers
gondolta	düşündü	thought
gondolták	düşündü	thought
gondosan	diqqətlə	carefully
gondot	dərd	trouble
gong	gong	gong
gonosz	pis	bad
google	google tərəfindən	google
gordon	ikiqat bas	gordon
got	qotik	got
gottfried	gottfried	gottfried
grafikus	qrafik	graphic
grafit	qrafit	graphite
graham	qrem	graham
gran	gran	gran
grand	böyük	grand
grande	əzəmət	grande
grant	qrant	grant
gravitációs	ağırlıq	gravitational
gray	boz	gray
griffin	griffin	griffin
groom	kürəkən	groom
group	qrup	group
gránit	qranit	granite
gróf	qulaqcıq	count
grófja	sayı	earl
grófság	qulaqcıq	countship
grúz	gürcü	georgian
guevara	guevara	guevara
guide	bələdçi	guide
gumó	yumru	bump
gusztáv	qustav	gusztáv
guy	oğlan	guy
gyakori	tez-tez	frequent
gyakoriak	ümumi	frequent
gyakoribb	daha ümumi	more frequent
gyakorlat	məşq	practice
gyakorlatban	praktikada	practically
gyakorlati	praktik	practical
gyakorlatilag	faktiki olaraq	virtually
gyakorló	təcrübə	practicing
gyakorolt	yandır	on
gyakoroltak	həyata keçirilmişdir	impacted
gyakorta	tez-tez	often
gyakrabban	daha tez-tez	more often
gyakran	tez-tez	frequently
gyalog	piyada	on foot
gyarmat	koloniya	colony
gyarmati	müstəmləkə	gyarmati
gyenge	zəifdir	weak
gyengébb	zəifləyən	weaker
gyerek	uşaq	child
gyerekek	uşaqlar	children
gyerekeket	uşaqlar	kids
gyerekkorában	uşaqlıq	during sy's childhood
gyermek	uşaq	child
gyermeke	uşaqlar	child of
gyermekei	uşaqlar	children
gyermekek	uşaqlar	children
gyermekeként	uşaq kimi	as child
gyermeket	uşaqlar	child
gyermekkora	uşaqlıq	childhood
gyermekkori	uşaqlıq	childhood
gyermekkorában	uşaqlıq	in his/her childhood
gyermekét	uşaqlar	child of
gyermekük	uşaqlar	children
gyilkos	qatil	killer
gyilkosság	qətl	murder
gyilkosságok	cinayətlər	murders
gyom	alaq	weed
gyomor	mədə	stomach
gyors	sürətli	rapid
gyorsabb	daha sürətli	faster
gyorsabban	daha sürətli	faster
gyorsan	sürətli	fast
gyorsforgalmi	ekspress yolu	expressway
gyula	alba	gyula (forename)
gyulai	gyula	gyulai
gyulladás	iltihab	inflammation
gyurcsány	gürcsány	gyurcsány
gyár	zavod	factory
gyártás	istehsal	production
gyártása	istehsal	production of
gyártási	istehsal	production
gyártó	istehsalçı	manufacturer
gyémánt	almaz	diamond
gyémántok	brilyant	diamonds
gyógyfürdő	spa	spa
gyógyhatása	müalicəvi təsir göstərir	sg's curative effect
gyógyszer	dərman	medicine
gyógyszerek	dərmanlar	pharmaceuticals
gyökerei	kökləri	roots of
gyöngyház	nacre	mother of pearl
gyönyörű	gözəl	beautiful
györgy	george	györgy
gyümölcs	meyvə	fruit
győr	győr	győr (hungarian city)
győri	győr	of győr
győzelem	qələbə	victory
győzelemmel	qələbə	with victory
győzelme	qələbə	victory of
győzelmet	qələbə	victory
győzelmét	qələbə	victory of sy/sg
győzelmével	qələbə	with the victory of
győzni	qalib gəlmək	win
győztes	qalib	winning / winner
győzött	qazandı	win
győző	gyozo	győző
gyűjtemény	kolleksiya	collection
gyűjteménye	kolleksiya	collection of
gyűjtött	toplanmış	collected
gyűlés	görüş	meeting
gyűrű	üzük	ring
gyűrűk	üzüklər	rings
gyűrűt	üzük	ring
gábor	gabar	gabor
gárda	mühafizəçilər	guards
gárdonyi	gárdony	gárdonyi
gáspár	jasper	gáspár
gátolja	bloklar	inhibits
gáz	qaz	gas
gázok	qazlar	gases
gébicsfélék	büzüşmək	shrikes
gén	gen	gene
gének	genlər	genes
gép	maşın	machine
gépek	maşınlar	machines
gépgyártás	maşınqayırma	machinery production
géza	géza	géza (common fist name)
gírosz	giros	gyros
gól	qol	goal
gólját	qol	his goal
góljával	qollar	with his goal
góllal	vurdu	with goal
gólok	qollar	goals
gólt	qurğuşun	goal
gótika	qotik	gothic
gótikus	qotik	gothic
gödényfélék	gödényfélék	pelecanidae
gömb	orb	sphere
görbe	əyri	crooked
görgei	gorgi	görgei
görgey	görgey	görgey
görög	yunan	greek
görögország	yunanıstan	greece
görögországban	yunanıstan	greece
görögök	yunanlar	greeks
görögül	yunan	greek for
ha	əgər	if
habsburg	habsburg	habsburg
habsburgház	habsburg evi	house of habsburg
habsburgok	habsburgs	habsburgs
habár	dırmaşmaq	although
had	hərbi	army
hadaikum	hadean	hadean perion
hadak	ordular	armies
hadarás	qarmaqarışıq	gabble
hadat	müharibə	declare war (hadat üzen)
haderő	qüvvələr	force
hadi	hərbi	military
haditengerészet	donanma	navy
hadjárat	kampaniya	campaign
hadjáratok	kampaniyaları	campaigns
hadjáratot	kampaniya	crusade
hadművelet	əməliyyatları	maneuver
hadnagy	leytenant	lieutenant
hadosztály	bölmə	division
hadsereg	ordu	army
hadseregben	ordu	(in) army
hadseregcsoport	ordu qrupu	army group
hadserege	ordu	army of
hadsereget	ordu	army
hadtest	korpus	legion
hadvezetés	hərbi rəhbərlik	army command
hadvezér	ümumi	war-lord
hadászati	strateji	strategic
hagyatéka	vəsiyyət edin	legacy of
hagyja	buraxmaq	leave
hagyják	buraxmaq	leave
hagyni	buraxmaq	leave
hagynia	buraxmaq	leave
hagyomány	ənənə	tradition
hagyománya	adətləri	traditional
hagyományai	adətləri	traditions of
hagyományok	adətləri	traditions
hagyományos	ənənəvi	traditional
hagyományosan	ənənəvi olaraq	traditionally
hagyott	qalıb	left
hagyta	qoy	left
hagyták	buraxdılar	let
hagyva	tərk edir	let
hajdani	əvvəllər	prestine
hajlandó	istəkli	willing
hajnal	şəfəq	hajnal
hajnalban	şəfəq	at dawn
hajnali	auroral	early morning
hajtott	idarə olunur	drove
hajtotta	çöldə	drove
hajtottak	olmuşdur	executed
hajó	gəmi	ship
hajók	gəmilər	ships
hajón	lövhədə	on a ship
hajós	dənizçi	sailors
hajót	gəmi	ship
hal	balıq	die
halad	davam edin	advances
haladt	köçürülüb	went on
haladva	gedir	going
haladó	qabaqcıl	going
halak	balıqlar	fish
hallani	eşidin	to hear
hallgatott	dinləmək	attended
hallható	səsli	available for listening
halott	ölü	death
halottak	ölü	deads
halotti	meyxana	death
halt	ölmüş	died
haltak	ölmüş	died
haltetvek	branchiura	fishlices
halál	ölüm	death
halála	onun ölümü	(his) death
halálakor	ölümü	at sy's death
halálbüntetés	ölüm cəzası	death penalty
halálbüntetést	ölüm cəzası	death penalty
halálistenek	ölüm tanrıları	death gods
halállal	ölüm	death
halálos	ölümcül	lethal
halálra	ölüm	death
halált	ölüm	death
haláláig	ölümü	to his death
halálának	ölüm	death
halálát	ölüm	death
halálával	ölüm	with his death
halászat	balıqçılıq	fishery
hamar	tezliklə	soon
hamarabb	əvvəllər	sooner
hamarosan	tezliklə	shortly
hamburg	hamburq	hamburg
hamilton	hamilton	hamilton
hamis	yalan	false
hamlet	hamlet	hamlet
hamvait	kül	ashes
hanem	həm də	but
hang	səs	sound
hangja	səs	's voice
hangján	səs	with the voice
hangját	səs	voice
hangok	səslənir	sounds
hangot	səs	sound
hangszer	alət	musical instrument
hangszerek	musiqi alətləri	instruments
hangszeres	instrumental	instrumental
hangsúly	vurğu	emphasis
hangsúlyos	zövqlü	articular
hangsúlyt	diqqət	accent
hangulat	vibe	mood
hangversenyt	konsert	concert
hangvételű	ton	intonation
hangyászmadárfélék	pəncə	thmnophilideae
hangzik	səs	sound
hangzott	səsləndi	sounded
hangzású	səslənir	sound
hangú	çuxur	worded
hanks	hanks	hanks
hannah	hannə	hannah
hans	hans	hans
harc	mübarizə	fight
harca	mübarizə	battle of
harcba	mübarizə	to battle
harcban	mübarizə	in battle
harci	döyüş	battle
harcművészeti	döyüş sənəti	martial
harcok	döyüşlər	fights
harcokban	döyüşlər	in battles
harcolt	vuruşdu	fought
harcoltak	vuruşdu	fought
harcoló	döyüşür	fighting
harcos	döyüşçü	warrior
harcosok	döyüşçülər	warriors
harcot	mübarizə	fight
hargita	harghita	hungarian mountain
harkályfélék	taxta taxanlar	picidaes
harmadik	üçüncü	third
harminc	otuz	thirty
harmincas	otuzuncu	30's
harold	tutqun	harold
harrison	harrison	harrison
harry	harri	harry
harryt	harri	harry
harvard	harvard	the university
hasfelmetsző	ripper	ripper
hashajtó	laksatif	laxative
hasmenés	ishal	diarrhea
hasonlít	oxşar	reminiscent
hasonlítanak	kimi	compare
hasonlított	kimi	was look like
hasonló	oxşar	similar
hasonlóan	kimi	similarlay
