$ tỉ	милијарду долара	$ billion
extensive	опсежан	extensive
fabio	фабио	(proper noun) fabio
facebook	фејсбук	(proper noun) facebook
fact	чињеница	fact
facto	фактички	this is french not vietnamese
faifo	фаифо	(proper noun) faifo
fao	фао	fao
farrell	фаррелл	farrell
faso	фасо	faso
fbi	фби	fbi
fca	фца	fca
fdi	фди	fdi
features	карактеристике	features
federer	федерер	federer
feet	стопала	feet
felipe	фелипе	felipe
felis	фелис	(proper noun) felis
felix	фелик	(proper noun) felix, as in felix klein
ferb	ферб	ferb
ferdinand	фердинанд	ferdinand
ferguson	фергусон	ferguson
fernando	фернандо	fernando
ferrari	феррари	ferrari
fiat	фиат	fiat
fidel	фидел	fidel
field	поље	field
fifa	фифа	fifa
fifpro	фивепро	fifpro
figo	фиго	figo
fiji	фиџи	fiji
finish	завршити	finish
firefox	фирефок	(proper noun) mozilla firefox
fischer	фисцхер	fischer, as in louis fischer
fish	риба	fish
fishbed	рибњак	fishbed
fitzgerald	фитзгералд	(proper noun) fitzgerald
flanker	фланкер	flanker
fleming	летећи	fleming
flight	лет	flight
foch	фоцх	(proper noun) foch
focus	фокус	focus
foden	фоден	(proper noun) foden, as in tom foden
fokker	фоккер	fokker
food	храна	food
football	фудбал	bong da
forbes	форбес	(proper noun) forbes, as in the magazine
ford	форд	(proper noun) ford
fordham	фордхам	(proper noun) fordham
forks	виљушке	forks
foundation	темељ	foundation
fox	лисица	fox
fpt	фпт	a company name in vietnam
fracsin	фрацсин	a function
franc	франак	franc
france	француска	france
frances	францес	frances
francis	францис	francis, as in francis xavier
francisco	францисцо	francisco
franco	франко	franco
frank	искрен	frank
frankfurt	франкфурт	(proper noun) frankfurt
franklin	франклин	franklin
franz	франз	(proper noun) franz, as in franz ritter
freud	фреуд	(proper noun) freud, as in sigmund freud
friedman	фриедман	friedman
fu	фу	fu
fujiko	фујико	fujiko, as in japanese writer fujiko fujio
fujimoto	фујимото	fujimoto
fukuoka	фукуока	fukuoka
funimation	фуниматион	(proper noun) funimation
funk	функ	funk
futsal	футсал	futsal
fx	фк	fx
ga	га	station
gabon	габон	gabon
gabriel	габриел	gabriel
gabriella	габриелла	gabriella
gagarin	гагарин	gagarin
gaia	гаиа	gaia
gaillard	гаиллард	gaillard
galilei	галилеи	galilei
galileo	галилео	galileo, the astronomer
gam	грама	gam
gambia	гамбија	gambia
gamow	гамов	a name
gan	јетра	liver
gandhi	гандхи	gandhi, as in mahatma gandhi
gang	банда	cast iron
ganh	љубоморан	to be jealous
gao	пиринач	strictly
gareth	гаретх	a name
garrett	гарретт	garrett
gary	гари	gary
gascon	гасцон	(proper noun) gascon, a dialect of france
gatt	гатт	gatt
gaule	гауле	gaul, a region in ancient western europe
gaulois	гаулоис	gaulois
gay	геј	tense
gaza	газа	gaza
gdańsk	гданск	(proper noun) gdansk, poland
gdp	гдп	gdp
geisha	геисха	geisha
gen	гени	gene
gene	ген	(proper noun) gene, an english first name
genesis	генеза	(proper noun) genesis
georg	георг	(proper noun) georg
george	георге	george
georges	георгес	(proper noun) georges, a french name
gepard	гепард	gepard
ger	гер	ger
gerais	гераис	(proper noun) gerais
gerhard	герхард	gerhard
german	немачки	german
germany	германи	germany
gerrard	геррард	gerrard, a last name
ghana	гана	(proper noun) the african country of ghana
ghe	брод	canoe
ghen	љубоморан	to be jealous (v.)
ghi	писати	write
ghim	пин	pin
ghé	зауставити	visit
ghép	графт	fit
ghê	ужас	disgust
ghì	гхи	tighten
ghẻ	краста	scabies (n.)
ghế	столица	chair
ghề	брзаци	scabby
ghềnh	брзаци	waterfall (n.)
gia	гиа	date
giai	фаза	period
giam	затвор	imprison
gian	простора	"(term should be ""thời gian"") time (n.)"
giang	гианг	syphilis
gibraltar	гибралтар	(proper noun) gibraltar
gichin	гицхин	gichin
gieo	сијати	sow
gifu	гифу	gifu, a district in northern japan
ginzan	гинзан	ginzan
gio	гио	wind
gioi	гиои	world
giuliani	гиулиани	giuliani
giun	црви	worm
giuse	гиусе	giuse
giuộc	гиот	"entire term should be ""can giuoc""; name of a vietnamese town"
giza	гиза	giza
già	стари	old (adj.)
giàn	трусс	"(term should be ""giàn hoa"") a trellis girder"
giành	жељно	secure
giàu	богат	rich or wealthy (adj.)
giày	ципеле	a shoe
giá	цена	estimate
giám	директор	"(term should be ""giám sát"") to supervise (v.)"
gián	жохари	"(term should be ""gián tiếp"") indirectly"
giây	секунди	seconds
giã	ударање	"(term should be ""từ giã"") to say farewell to (v.)"
giãn	растезање	stretch
gièm	негативци	"(should be ""gièm pha"") to backstab"
giêhôva	гива	jehovah
giêng	гионг	january
giêsu	јесус	jesus
giêxu	некус	jesus
giò	пролећне ролнице	leg
giòi	магготи	maggot (n.)
giòn	хрскави	crunchy or crispy (adj.)
gió	ветар	wind
gióng	као	align
giúp	помоћ	help
giũa	датотека	sharpen
giơ	заглавити	raise
giương	пламтећи	posture
giường	кревет	bed
giả	лажан	fake (adj.)
giải	решење	solution
giảm	смањење	decrease
giản	поједностављено	"(term should be ""giản dị"") simple (adj.)"
giấc	спавати	giấc ngủ= the sleep
giấm	сирћета	drabble
giấu	сакрити	hide
giấy	папир	paper
giầu	богат	rich
giận	љут	angry
giằng	учвршћивање	pull
giặc	непријатеља	enemy
giặt	опрати	to wash (n.)
giếng	добро	well
giết	убити	kill
giềng	комшија	"(term should be ""láng giềng"") neighboring"
giễu	исмијавање	ridicule
giọng	тон	tone
giọt	кап	drop
giỏ	корпа	basket
giỏi	сјајно	good
giồng	гионг	mound
giỗ	смрт годишњица	anniversaries of deaths
giới	пол	gender
giờ	сати	bao giờ=ever
giở	блиц	to open or unfold (v.)
giỡn	шалим	joke
giục	позвао	urge
giữ	држати	hold
giữa	између	between
gladys	гладис	gladys
glazer	глазер	glazer
glonass	сјај	glonass
gloria	глориа	gloria
gloster	глостер	(proper noun) gloster, as in gloster meteor
glucose	глукоза	glucose
gmail	гмаил	gmail
gnp	гнп	gnp
go	иди	"(term should be ""gay go"") tense"
goes	иде	goes
goku	гоку	goku
golden	златан	golden
gom	прикупити	to gather (v.)
google	гоогле	google
gorbachev	горбачов	gorbachev
gorbachyov	горбацхиов	gorbachev, as in former soviet president mikhail gorbachev
gordon	гордон	gordon, as in gordon brown
gore	горе	gore
gorky	горки	gorky, as in gorky park
gothic	готичка	gothic
gottfried	готтфриед	gottfried
grabeel	грабеел	grabeel, a last name
graham	грахам	graham
granada	гранада	granada
granit	гранит	granite
greek	грчки	(proper noun) greek
greenland	гренланд	greenland
greenson	греенсон	(proper noun) greenson
greenwich	греенвицх	(proper noun) greenwich
greg	грег	greg
grenada	гренада	grenada
grenadines	гренадине	grenadines
gross	бруто	gross
grumman	грумман	(proper noun) grumman
gruzia	георгиа	gruzia
gryffindor	гриффиндор	gryffindor
gs	гс	prof.
gsts	гстс	professor- phd
gu	стил	gu
guam	гуам	guam
guard	чувар	guard
guatemala	гватемала	guatemala
gui	гуи	gui
guinea	гвинеја	guinea
guinness	гиннесс	(proper noun) guinness
guitar	гитара	guitar
gujarat	гујарат	gujarat
gulag	гулаг	gulag
gulf	залив	gulf
gullit	гуллит	(proper noun) gullit
gundam	гундам	(proper noun) gundam
gunung	гунунг	(proper noun) gunung
gustave	густаве	gustave
gutenberg	гутенберг	gutenberg
guyana	гвајана	guyana; proper noun
gà	пилетина	chicken
gài	туцк	to fasten (v.)
gào	вриснуо	"(term should be ""thét gào"") to cry out (v.)"
gác	чувар	guard
gái	девојка	girl
gán	доделити	"entire phrase should be ""gan nhan""; means ""to label"""
gánh	носити	hold
gáy	врат	crow
gân	близу	tendon
gây	узрок	make
gãy	сломљен	break
gì	шта	what
gìn	очувати	preserve
gò	брдо	"(term should be ""gò má"") cheekbone (n.)"
gòn	гон	gon
góa	удовица	widowed
góc	угао	angle
gói	пакет	goi
góp	рата	to contribute
gót	пета	heels
gõ	тип	type
göbbels	гоббелс	gobbels, as in joseph gobbels
găm	остава	poniard
găng	рукавице	gloves
gũi	близу	close
gươm	мач	sword
gương	огледало	mirror
gạc	газа	johnson south reef
gạo	пиринач	rice
gạt	опељешен	to cheat or trick (v.)
gả	брак	marry
gảy	пауза	"(term should be ""âm gảy"") a type of phonetic sound found in the japanese language (n.)"
gấc	гац	gac
gấm	брокат	brocade
gấp	пожури	times, as in many times
gấu	медвед	a bear (n.)
gần	близу	near
gầy	танка	thin
gẫy	сломљен	break
gập	пресавити	"(term should be ""gập ghềnh"") bumpy (adj.)"
gậy	штап	stick
gắm	прднути	send
gắn	монтирано	mount
gắng	покушава	try
gắt	оштро	intense
gặm	гризити	rodent
gặp	сусрет	meet
gặt	за жетву	harvest
gỉ	захрђали	rust
gọi	позив	call
gọn	уредан	neat (adj.)
gọng	обрубљен	gong
gọt	огулити	cut
gỏi	салата	a vietnamese salad
gốc	порекло	origin (n.)
gối	јастук	"(should be ""qùy gối"") to kneel"
gốm	керамика	pottery
gồm	укључујући	include
gồng	гонг	carry
gỗ	дрво	wood
gội	шампон	shampoo
gộp	спајање	aggregate
gớm	одвратан	tremendous
gờ	излаз	edge
gởi	пошаљи	send
gỡ	истоварити	meet
gợi	сугестивни	to evoke (v.)
gục	доле	"(term should be ""đánh gục"") crush, as in battle"
gừng	ђумбир	ginger
gửi	послати	send
ha	ха	hectare
habana	хабана	(proper noun) habana
habsburg	хабсбург	(proper noun) habsburg
haeberle	хаеберле	haeberle
hahn	хахн	hahn
hai	два	two (adj.)
hal	хал	hal
halle	халле	(proper noun) halle
halogen	халоген	halogen (n.)
ham	шунка	desire
hamilton	хамилтон	(proper noun) hamilton
han	хан	han
hang	пећина	cave
hangul	хангул	hangul
hanh	ханх	hanh
hanja	хања	(proper noun) hanja, a type of chinese script
hansen	хансен	hasnen
hao	хао	"(term should be ""hao hụt"") to incur some loss (v.)"
harald	харалд	harald
hardy	издржљив	hardy
harlem	харлем	harlem
harlow	харлов	harlow
harold	харолд	(proper noun) harold
harper	харпер	harper
harpercollins	харперцоллинс	hapercollins
harrier	харриер	harrier, as in harrier jump jet
harris	харрис	harris
harry	харри	harry
harvard	харвард	(proper noun) harvard, the name of a college
harvey	харвеи	harvey
havana	хавана	(proper noun) havana, cuba
havilland	хавилланд	havilland
hawker	хавкер	hawker
hawking	соколов	(proper noun) hawking, as in physicist stephen hawking
hay	добро	or
hb	хб	hb
hbv	хбв	hbv
hcl	хцл	hcl
hd	хд	activity
he	он	he, a korean name
health	здравље	health
heath	пустара	heath
hee	он е	hee
hegel	хегел	(proper noun) hegel, as in georg wilhelm friedrich hegel
heian	хеиан	heian
heinrich	хеинрицх	heinrich
helen	хелена	helen
helena	хелена	helena
heli	хелијум	helium
hematocrit	хематоцрит	hematocrit
hemoglobin	хемоглобин	hemoglobin
hen	кокошка	asthma
henry	хенри	(proper noun) henry, as in henry kissinger
heo	устајале	dolphin
her	њеној	her
herbert	херберт	herbert, as in herbert schandler
hercegovina	херцеговина	hercegovina
hercules	херцулес	hercules
hermann	херманн	hermann
hermes	хермес	hermes
hersh	херсх	hersh, as in seymour hersh
hesiod	хесиод	hesiod
hestia	хестиа	hestia
hi	здраво	"(term should be ""hi vọng"") alternative spelling for ""hy vọng""; meaning ""hope"" (n.)"
hickam	хицкам	(proper noun) hickam
hicks	бркови	hicks
hideto	хидето	(proper noun) hideto
hideyoshi	хидјоши	(proper noun) hideyoshi
hidro	водоник	hydrogen
hillsborough	хиллсбороугх	hillsborough
hilton	хилтон	hilton
himalaya	хималаја	(proper noun) himalaya
hinata	хината	hinata
hindenburg	хинденбург	(proper noun) hindenburg
hindi	хинди	hindi
hindu	хиндуистички	hindu, as in the hindu religion
hinh	хинх	(proper noun) a vietnamese first name
hinhtron	хинхтрон	circle
hiragana	хирагана	hiragana
hiroshi	хиросхи	hiroshi
hiroshima	хиросхима	(proper noun) hiroshima, the japanese city
hitchcock	хитцхцоцк	hitchcock
hitler	хитлер	hitler
hitter	хиттер	hitter
hitters	хиттерс	hitters
hiên	тријем	(proper noun) hiên, a vietnamese first name
hiđrô	водоник	hydrogen
hiếm	ретко	rare
hiến	дај	devote
hiếp	силовање	rape
hiếu	поштовати родитеље	pious
hiềm	болестан	grudge
hiền	мудрац	sage
hiểm	опасно	dangerous
hiểu	разумети	learn
hiện	појавити се	"(term should be ""thực hiện"") to accomplish"
hiệp	половина	united
hiệu	ефекат	effective
hlv	тренер	trainer
hms	хмс	hms
hmông	хмонг	hmong
hn	х н	hn
hoa	цвет	flower
hoan	фестивал	welcome
hogwarts	хогвартс	(proper noun) hogwarts, sorcery school from the harry potter series
hoi	хои	rare
hokage	хокаге	hokage
hokusai	хокусаи	hokusai
holmes	холмес	a name
holocaust	холокауст	holocause
holocen	холоцен	holocen
holt	холт	holt, an english last name
hom	резнице	a cutting
homer	хомер	(proper noun) homer, the authorof the iliad and the odyssey
hon	душо	"(term should be ""hòn"") rock (n.)"
honduras	хондурас	honduras
hong	хонг	hong
honolulu	хонолулу	honolulu
honshū	хонсху	honshu
hopkins	хопкинс	(proper noun) hopkins
hornet	стршљен	hornet
hotspur	хотспур	(proper noun) hotspur, as in tottenham hotspur
houston	хјустон	(proper noun) houston, as in whitney houston
howard	ховард	(proper noun) howard
however	међутим	however
hoà	кравата	peace
hoài	носталгичан	always (adv.)
hoàn	комплетан	"(term should be ""hoàn toàn"") completely"
hoàng	краљу	royal (adj.)
hoành	дијафрагма	rife
hoá	хемија	"(term should be ""văn hoá"") culture (n.)"
hoán	перм	refined (adj.)
hoãn	једу	delay
hoạ	фарбати	disaster (tham hoa)
hoại	гангрена	"(term should be ""phá hoại"") to sabotage (v.)"
hoạt	хентаи	work
hoả	ватра	of
hoảng	паника	panic-stricken (adj.)
hoặc	или	or
hp	хп	hp
hq	хк	hq
hudgens	худгенс	(proper noun) hudgens
hudson	худсон	hudson
huey	хуеи	huey
hughes	хугхес	hughes
hugo	хуго	(proper noun) hugo
hume	хуме	hume, as in david hume
hun	хун	(proper noun) hun
hungary	мађарска	hungary
hunt	ловити	hunt
hurley	хурлеи	(proper noun) hurley, as in chad hurley
hussein	хуссеин	hussein
husserl	хуссерл	huserl
huston	хустон	huston
hutech	хутецх	hutech
huy	хуи	a common vietnamese first name
huynh	брате	older brother
huyền	мистично	huyền thoại= legend
huyễn	илузорно	huyen
huyện	округ	district
huyệt	акупунктурне тачке	lair
huân	хуан	"(term should be ""huân chương"") medal (n.)"
huê	нијанса	"a less common vietnamese word for ""flower"""
huấn	обука	"(term should be ""huận luyện"") to train (v.)"
huế	нијанса	hue
huệ	нијанса	favour
huống	случај	situation
huỳnh	сумпор	sulfur
huỷ	поништити, отказати	destroy
hydra	хидра	hydra, a monster in greek mythology
hydro	водоник	hydrogen
hyperion	хиперион	hyperion
hà	ха	"(term should be ""hà nội"") the capital of vietnam"
hài	комедија	corpse
hàm	вилица	"(term should be ""bao hàm"") to imply (v.)"
hàng	ред	row
hào	ров	depreciation
hách	превладање	glorious
hái	бирати	picking
hán	суша	china
háo	жељан	eager
hát	певај	song
hâm	луда	"(term should be ""hâm mộ"") to admire (v.)"
hân	хан	le ngoc han
hãi	уплашен	to be scared (v.)
hãn	кхан	to sweat (v.)
hãng	фирма	a company (n.)
hãnh	поносан	proud
hè	лето	summer
hé	пукао	reveal
héo	осушити	dried-out
hét	узвик	shout
hên	сретан	luck
hí	не	game
hít	дисати	act of kissing (hon hit)
hò	упознавање	date
hòa	кравата	republic
hòe	срање	hoe
hòm	арк	box
hòn	острво	island
hòng	добро	in order to
hóc	хоц	a corner (n.)
hót	певај	to chirp or sing (v.)
hô	хо	respiration
hôi	фаул	stink
hôm	дан	day (n.)
hôn	пољубац	propose
hông	кука	hip
hù	уплашити	threaten
hùng	хероји	hero
húc	горе	huc
húng	инспирација	"(should be ""húng láng"") water mint"
hút	пушење	to suck (v.)
hăng	оштар	enthusiasm
hđbt	хђбт	hdbt
hđh	хђх	system software
hũ	стакленке	jar
hơi	помало	slightly
hơn	него	more or less
hư	лоше	fictional
hưu	пензионисан	huu
hương	тамјан	smell
hước	шаљив	humor
hướng	правац	trend
hường	хуонг	huong
hưởng	уживати	influence
hạ	лето	lower
hạc	фламингое	crane
hạch	ганглион	ganglion
hại	штета	harm
hạng	класа	rank
hạnh	ханх	happy
hạo	хао	hao
hạp	хап	hap
hạt	семе	seed
hải	царине	two
hảo	савршено	perfect
hấn	хан	aggressive gesture
hất	летети	toss
hấu	лубеница	"(term should be ""dưa hấu"") watermelon"
hầm	тунел	ham
hầu	скоро	most
hận	мрзе	hatred
hậu	краљица	anus
hắc	црн	black
hắn	њега	he (n.)
hắt	кијају	reject
hằng	константно	every
hặc	хац	to criticize (v.)
hẹ	шалотке	chinese chives
hẹp	узак	narrow
hẻm	уличица	alley (n.)
hẻo	осамљен	outback
hến	шкољке	mussel
hết	преко	most
hề	кловн	"(term should be ""không hề"") never"
hễ	ех	whenever
hệ	систем	relation
hệt	идентичан	exactly
hỉ	ударац	happy
hịch	тхуд	a proclamation
họ	презиме	they (n.)
họa	уметност	picture
họach	план	"(term should be ""quy hoạch"") a project (n.)"
học	научите	study (v.)
họng	грло	throat
họp	састанак	meet
hỏa	ватра	fire
hỏng	сломљен	corruption
hố	јама	hole
hốc	нише	cavity
hồ	језеро	ho
hồi	анис	muslim
hồn	душа	soul
hổ	тигар	tiger
hổi	хух	"(term should be ""nóng hổi"") steaming hot (adj.)"
hổng	зијевајући	hole
hỗ	подршка	"(should be ""hỗ trợ"") to support or assist"
hỗn	помешан	"(term should be ""hỗn tạp"") mish-mash (adj.)"
hội	фестивал	society
hộp	кутија	box
hới	отворено	hoi
hớn	викну	"(term should be ""hớn hở"") radiant (adj.)"
hờn	суморно	hatred
hở	отворено	reveal
hỡi	ои	dear
hợi	свиња	pig (n.)
hợp	погодан	appropriate
hợpquận	сагласност	general district
hụt	дефицит	loss
hủi	губавца	reject
hủy	поништити, отказати	to erase or destroy
hứa	обећање	promise
hử	хух	hu
hửu	хух	"(term should be ""sở hửu"") to own (v.)"
hữu	својство	(proper noun) hữu, a vietnamese middle name; also means right, as in the direction
hựu	хуу	again
hỷ	хи	hy
ian	иан	ian, as in australian swimmer ian thorpe
iau	иау	iau
iberia	ибериа	iberia
ibm	ибм	(proper noun) ibm, the computer company
ibmpc	ибмпц	ibm-pc
ic	иц	ic
icc	ицц	icc
iceland	исланд	(proper noun) the country of iceland
ide	иде	ide
ieng	иенг	(proper noun) ieng
igor	игор	igor
iii	иии	third
ilene	илене	ilence
illusion	илузија	illusion
ilyich	илиицх	ilyich
im	им	still
imam	имам	(proper noun) imam
imbrium	имбријум	imbriun
immanuel	иммануел	(proper noun) immanuel, as in immanuel kant
impact	утицај	impact
incoterm	инцотерм	incoterm
incoterms	инкотерми	(proper noun) incoterms
indian	индијанац	indian
indiana	индиана	indiana
indochina	индоцхина	indochina
indonesia	индонезија	indonesia
indrapura	индрапура	(proper noun) indrapura
info	инфо	info
innsbruck	иннсбруцк	innsbruck
insulin	инсулин	insulin
int	инт	int
intel	интел	(proper noun) intel, as in the name of the company
interpol	интерпол	interpol
inu	ину	(proper noun) inu
inuyasha	инуиасха	inuyasha
inư	ину	(proper noun) inư
io	ио	io
ioc	иоц	ioc
ion	јона	ion
iosif	иосиф	(proper noun) iosif, as in iosif vissarionovich stalin
iran	иран	the nation of iran
iraq	ирак	iraq
ireland	ирска	ireland
irgun	иргун	irgun
irony	иронија	irony
irving	ирвинг	(proper noun) irving
isaac	исаац	isaac
isla	исла	isla
islam	ислам	islam
islamabad	исламабад	(proper noun) islamabad
israeli	исраели	israeli
istanbul	истанбул	istabbul
italia	италиа	italy
italiano	италиано	(proper noun) italiano
itanium	итаниум	itanium, as in windows xp itanium
ito	ито	ito
itsukushima	итукусхима	itsukushima
itu	иту	itu
itzá	итза	(proper noun) itzá
iv	ив	4 ( greek number)
iwami	ивами	iwami
j	ј	j
jack	џек	jack
jackie	јацкие	(proper noun) jackie chan
jackson	јацксон	(proper noun) jackson, as in michael jackson
jacob	јацоб	jacob
jae	јае	jae
jakarta	јакарта	(proper noun) jakarta
jan	јан	(proper noun) jan
janeiro	јанеиро	janeiro
janet	јанет	janet
japan	јапан	japan
jared	јаред	jared
jarvis	јарвис	(proper noun) jarvis, as in jarvis cocker
jasper	јаспер	(proper noun) jasper
jean	јеан	jean
jeane	јеане	jeane
jeanjacques	јеањацкуес	jean-jacques
jeanpaul	јеанпаул	jeanpaul
jeans	фармерке	jeans
jeet	јеет	(proper noun) jeet, as in jeet kune do
jeff	јефф	jeff, as in jeff drake
jefferson	јефферсон	jefferson
jeffrey	јеффреи	jeffrey
jeju	јеју	jeju
jenda	јенда	jenda
jenny	јенни	jenny
jericho	јерицхо	jericho, as in wrestler chris jericho
jerome	јероме	jerome, as in fred jerome
jerry	јерри	(proper noun) jerry
jersey	дрес	jersey
jerusalem	јерусалем	jerusalem
jesse	јессе	a name
jesus	јесус	chua jesus
jetstar	јетстар	jetstar
jewish	јеврејски	jewish
jiao	јиао	jiao
jimmy	јимми	jimmy
jin	јин	jin
jing	јинг	jing
jiraiya	јираииа	(proper noun) jiraiya
joachim	јоацхим	joachin
joan	јоан	a name
joe	јое	(proper noun) joe
johan	јохан	johan
johann	јоханн	johann
johannes	јоханнес	johannes
johannesburg	јоханнесбург	(proper noun) johannesburg, south africa
johnny	јохнни	johnny
johns	јохнс	johns
johnston	јохнстон	johnston, as in harry johnston
johor	јохор	johor
joint	зглоб	joint
jonathan	јонатхан	(proper noun) jonathan
jones	јонес	jones
jose	јосе	(proper noun) jose, a spanish first name
joseon	јосеон	(proper noun) joseon
joseph	јосепх	joseph
jscript	јсцрипт	(proper noun) jscript
juche	јуцхе	(proper noun) juche
judith	јудитх	judith
judo	јудо	judo, the martial art
julesverne	јулесверне	jules verne
julliard	јуллиард	(proper noun) julliard
jump	скочи	jump
june	јуне	june, as in the month
jung	јунг	jung
junsu	јунсу	junsu
jupiter	јупитер	(proper noun) jupiter, as in the planet
jura	јура	(proper noun) jura
juventus	јувентус	juventus
k	к	k
kaede	каеде	a japanese name
kaffee	кафе	(proper noun) kaffee, as in kaffee hag
kagome	кагоме	kagome, as in higurashi kagome
kahn	кахн	kahn
kai	каи	kai
kakashi	какасхи	kakashi
kaká	кака	(proper noun) kaka, a brazilian soccer player
kalashnikov	калашњиков	(proper noun) kalashnikov
kali	калијума	potassium
kama	кама	(proper noun) kama, as in the kama sutra
kamakura	камакура	kamakura
kamov	камов	kamov
kampf	кампф	kampf
kampong	кампонг	kampong
kampuchea	кампуцхеа	cambodian
kana	кана	kana, the japanese phonetic alphabet
kangin	кангин	(proper noun) kangin
kanji	кањи	kanji
kant	кант	a name
kar	кар	(proper noun) kar
kara	кара	kara
karaoke	караоке	karaoke
karate	карате	karate
karatedo	карате до	karatedo
karen	карен	(proper noun) karen
karim	карим	(proper noun) karim
kashmir	кашмир	kashmir
kaspersky	касперски	(proper noun) kaspersky, as in kaspersky anti-virus software
katakana	катакана	katakana, a type of japanese script
kate	кате	(proper noun) kate, as in actress kate winslet
katherine	катарина	katherine
kathmandu	катхманду	kathmandu
katrina	катрина	(proper noun) katrina, as in hurricane katrina
katz	катз	katz
kauthara	каутхара	kauthara, a part of the ancient kingdom of champa
kavkaz	кавказ	kavkaz
kawasaki	кавасаки	(proper noun) kawasaki
kay	кеј	kay
kazan	казан	kazan, the name of a city
kcn	кцн	industrial zone
ke	ке	"(term should be ""boong ke"") a bunker (n.)"
kelly	келли	kelly
kelsi	келси	kelsi
kelvin	келвин	kelvin
kem	крем	ice cream (n.)
ken	кен	ken
kennedy	кеннеди	(proper noun) kennedy, as in john f. kennedy
kenneth	кеннетх	(proper noun) kenneth, a name
kenny	кенни	kenny, an english first name
kentucky	кентуцки	(proper noun) kentucky
kepler	кеплер	kepler
kerala	керала	(proper noun) kerala
kevin	кевин	kenvin
keynes	кеинес	keynes, as in economist john maynard keynes
kg	кг	kilogram
kha	кха	(proper noun) a vietnamese first name
khai	декларација	announce
khali	кхали	(proper noun) khali
khalip	кхалип	(proper noun) khalip
kham	кхам	endure
khan	безводни	rare
khang	кханг	khang
khanh	кханх	khanh
khao	чежња	desire
khay	послужавник	tray
khe	слот	chink
khem	кхем	abstinence
khen	похвала	praise
kheo	на штакама	kheo
khi	када	when
khieu	не разумем	(proper noun) khieu, as in khieu samphan
khiêm	скроман	khiem
khiên	штит	a shield
khiêu	еротски	"('khiêu dâm"") pornographic"
khiếm	ослабљен	lack
khiến	узрок	control
khiếp	престрављен	horrible
khiếu	ложа	talent (n.)
khiển	контрола	control
khleang	кхлеанг	kh'leang
kho	магацин	warehouse
khoa	факултет	"(term should be ""y khoa"") the study of medicine (n.)"
khoan	вежба	drill
khoang	шупљина	brag
khoanh	одзвонити	a slice (n.)
khoe	показивање	to boast
khoá	закључати	lock
khoác	капут	coat
khoán	акција	stock
khoáng	минерал	mineral
khoát	дефинитивно	decisive
khoét	исећи	carve
khoăn	фрет	disturbed
khoả	гола	naked
khoản	ставка	an item (n.)
khoảng	цца	about
khoảnh	на моменте	moment
khoẻ	добро	health
khrushchev	хрушчов	khrushchev
khrushchyov	ххрусхцхиов	khrushchyov
khu	четвртине	section
khung	рамови	frame
khural	кхурал	khural
khuynh	лево	trend
khuyên	савет	advise
khuyết	неисправан	lack
khuyển	пас	khuyen
khuất	сакривен	hidden
khuấy	мешао	stir
khuẩn	бактерије	bacteria
khuếch	појачати	amplification
khuỷu	лакат	elbow
khá	радије	quite
khác	друго	different
khách	гост	customer
khái	концептуални	concept
khám	преглед	discover
khán	публика	audience
kháng	отпор	appeal
khánh	независност	a type of chime made of stone (n.)
khát	жедан	to be thirsty for (adj.)
khâm	кхам	admire
khèn	јао	a pan-pipe (n.)
khéo	генијалан	cleverly or skillfully (adv.)
khép	близу	close
khía	огреботина	"(term should be ""khía cạnh"") angle (n.)"
khích	охрабрују	encourage
khít	близу	close
khó	тешко	difficulty
khóa	закључати	a session
khóc	плакати	cry
khói	дим	smoke
khóm	ананас	a cluster
khô	осушене	dry
khôn	мудар	clever, intelligent
không	није	not
khúc	сегмент	song
khăm	лоше мирише	nasty (adj.)
khăn	пешкир	difficult
khơi	оффсхоре	sea
khư	кху	grip
khưu	кхуу	khuu
khước	негирати	waive
khả	могућност	"(term should be ""khả năng"") ability (n.)"
khải	откровење	triumph
khảm	мозаик	to encrust
khảo	преглед	"(term should be ""tham khảo"") to consult (v.)"
khấm	пробијен	endure
khấn	молите се	pray
khấu	попуст	"(term should be ""sân khấu"") a stage (n.)"
khẩn	хитно	"(term should be ""khẩn cấp"") urgent (adj.)"
khắc	огреботина	moment
khắp	свуда	all over
khẳng	потврдан	"(term should be ""khẳng định"") to assert (v.)"
khế	звездасто воће	bond
khỉ	мајмун	monkey or ape (n.)
khỏa	нуде	nude
khỏe	јак	health
khỏi	од	leave
khố	јастук	loincloths
khốc	страшно	devastating
khối	ниво разред	a block or mass of (n.)
khốn	копиле	miserable
khống	кхонг	control
khổ	патња	miserable (adj.)
khổng	џиновски	huge
khởi	иницира	start
khủng	страшно	"(term should be ""khủng bố"") terrorist (n.)"
khủyu	копиле	elbow
khứu	пастел	olfactory
khử	елиминисати	reduction
ki	ки	"entire phrase is ""ki lo""; means ""kilometer"""
kia	то	other
kid	дете	kid
kiel	киел	(proper noun) kiel
kierkegaard	киеркегаард	kierkegaard, as in soren kierkegaard
kiernan	киернан	kiernan
kii	кии	kii
kikyo	кикио	kikyo
kilômét	километара	kilometer
kim	ким	kim
kingdom	краљевство	kingdom
kinsey	кинсеи	kisney
kiribati	кирибати	kiribati
kishimoto	кисхимото	(proper noun) kishimoto
kiss	пољубац	kiss
kissinger	киссингер	kissinger
kitts	киттс	kitts
kitô	хришћанин	christian
kiêm	сперма	cum
kiên	пацијент	consistent
