$	$ $	dollars
التكيف	adaptación	adaptation
التلاميذ	los discípulos	students
التلفاز	televisión	tv
التلفزيون	televisión	the television
التلفزيونية	televisión	television
التلوث	contaminación	pollution
التمثيل	actuando	acting
التمرد	la rebelion	rebellion
التمويل	financiación	funding
التميمي	al-tamimi	el-tamimi
التمييز	discriminación	the excellence
التنازل	renuncia	conceding
التناسلي	genital	reproductive system
التناسلية	genital	genital
التنافس	competencia	competition
التنبؤ	predicción	predict
التنسيق	coordinación	coordination
التنظيم	reglamento	organization
التنفس	la respiración	breathing
التنفيذ	implementación	execution
التنفيذي	el ejecutivo	the executive
التنفيذية	ejecutiva	executive
التنقل	movilidad	travel
التنقيب	prospección	exploration
التنمية	desarrollo	development
التنوع	diversidad	diversity
التنوير	iluminación	enlightenment
التهاب	la inflamación	inflammation
التوازن	equilibrio	balance
التواصل	comunicación	communication
التوالي	derecho	respectively
التوبة	arrepentimiento	repentance
التوتر	tensión	tension
التوجه	orientación	to head to
التوحيد	estandarización	monotheism
التوراة	la torá	the torah
التوسع	expansión	expanding
التوصل	llegar	reach
التوقيع	firma	signing
التونسي	tunecino	tunisian
التونسية	tunecino	tunisian
التي	cual	which
التيار	actual	current
التيارات	las corrientes	trends
الثابت	duro	constant
الثابتة	fijo	fixed
الثالث	el tercero	3rd
الثالثة	el tercero	the tird
الثالوث	trinidad	trinity
الثامن	octavo	the eighth
الثامنة	octavo	the eight  (eighteen )
الثانوي	secundaria	the sanvi
الثانوية	secundaria	secondary school
الثاني	el segundo	the second
الثانية	el segundo	the second
الثبات	constancia	stability
الثدي	pecho	the breast
الثدييات	mamíferos	mammals
الثروات	riquezas	fortunes
الثروة	riqueza	fortune
الثقافات	culturas	cultures
الثقافة	cultura	culture
الثقافي	cultural	cultural
الثقب	el agujero	hole
الثقة	confianza	trust
الثقفي	cultural	cultural
الثقوب	agujeros	holes
الثقيل	pesado	heavy
الثقيلة	pesado	heavy
الثلاث	los tres	three
الثلاثاء	martes	tuesday
الثلاثة	los tres	three
الثلاثي	trio	the triple
الثلاثين	treinta	the thirty
الثلاثينات	años treinta	the thirties
الثلاثينيات	los años treinta	the thirty's
الثلج	nieve	the ice
الثلوج	nieve	snow
الثمانية	los ocho	eight
الثمانينات	los ochenta	the eighties
الثمانينيات	los ochenta	the eighties
الثنائي	el dúo	dual
الثنائية	bilaterales	binary
الثوار	revolucionarios	rebels
الثورات	revoluciones	revolutions
الثورة	la revolucion	revolution
الثوري	revolucionario	revolutionary
الثورية	revolucionario	the revolutionary
الجائزة	el premio	prize
الجابر	al-jaber	aljaber
الجاحظ	patudo	el gahez
الجاذبية	ternura	the gravity
الجاز	jazz	jazz
الجاف	seco	dry
الجافة	seco	dry
الجاليات	comunidades	the communities
الجالية	comunidad	the community
الجامع	todo	mosque
الجامعات	universidades	universities
الجامعة	universidad	the university
الجامعي	universidad	university
الجامعية	licenciatura	university
الجانب	lado	side
الجانبية	lateral	side
الجانبين	lados	the two sides
الجاهلي	preislámico	illiteracy
الجاهلية	ignorancia	ignorance
الجبال	montañas	the mountains
الجبر	álgebra	algebra
الجبل	la montaña	mountain
الجبلية	la montaña	mountain
الجبهة	el frente	front
الجدار	el muro	wall
الجدد	neo	new
الجدل	controversia	the argument
الجدول	la mesa	table
الجديد	el nuevo	new
الجديدة	nuevo	new
الجدير	vale la pena	worth
الجذور	raíces	roots
الجرائم	crímenes	crimes
الجراثيم	gérmenes	germs
الجراح	el cirujano	jarrah
الجرمانية	germánico	germanic
الجريدة	el periodico	newspaper
الجريمة	el crimen	the crime
الجزء	parte	the part
الجزائر	argelia	algeria
الجزائري	argelino	the algerian
الجزائريين	los argelinos	algerians
الجزر	las islas	islands
الجزيئات	moléculas	particles
الجزيئي	molecular	partial
الجزية	homenaje	tribute
الجزيرة	la isla	island
الجسد	el cuerpo	body
الجسر	el puente	bridge
الجسم	el cuerpo	body
الجسور	puentes	bridges
الجسيمات	partículas	particles
الجغرافي	geográfico	geographic
الجغرافيا	geografía	geography
الجغرافية	geográfico	geograghy
الجفاف	deshidratación	dought
الجلد	la piel	skin
الجليد	hielo	ice
الجليدية	helado	glacial
الجليل	galilea	jalil
الجماع	coito	intercourse
الجماعة	congregación	community
الجماعي	colectivo	collective
الجماعية	colectivo	collective
الجمال	belleza	camels
الجماهير	las masas	masses
الجمباز	gimnasia	gymnastics
الجمع	combinación	plural
الجمعة	viernes	friday
الجمعيات	asociaciones	associations
الجمعية	asamblea	association
الجمل	el camello	phrases
الجملة	oración	phrase
الجمهور	la audiencia	the audience
الجمهوري	republicano	republican
الجمهورية	la república	republic
الجميع	todos	all
الجن	los genios	daemons
الجنائية	criminal	homicidal
الجناح	el ala	part
الجنة	el cielo	the heaven
الجند	soldados	soldiers
الجندي	el soldado	soldier
الجنرال	el general	general
الجنس	sexo	the sex
الجنسي	sexual	sexual
الجنسيات	nacionalidades	nationalities
الجنسية	nacionalidad	nationality
الجنسين	los dos sexos	sex
الجنوب	sur	the south
الجنوبي	sur	southern
الجنود	los soldados	soldiers
الجنين	el feto	fetus
الجهات	los actores	parties
الجهاز	dispositivo	system
الجهة	el destino	side
الجهد	esfuerzo	effort
الجهل	ignorancia	ignorance
الجهود	esfuerzos	efforts
الجو	el ambiente	air
الجوائز	premios	awards
الجوار	barrio	neighborhood
الجوانب	aspectos	the sides
الجودة	calidad	the quality
الجوفية	subterráneo	underground
الجولان	el golán	jawlan
الجوهرة	la joya	al jawhara
الجوي	aire	aerial
الجوية	aire	aerial
الجيد	lo bueno	good
الجيدة	bien parecido	good
الجيزة	giza	el giza
الجيش	el ejercito	the army
الجيل	generación	generation
الجينات	genes	genes
الجينوم	el genoma	genome
الجيني	genética	genetic
الجينية	genética	genetic
الجيوش	ejércitos	armies
الجيولوجية	geológica	geological
الحائط	el muro	wall
الحاجة	la necesidad	need
الحادة	agudo	the acute
الحادث	el accidente	existing
الحادثة	el accidente	the accident
الحار	cálido	hot
الحارة	cálido	hot
الحارث	caña	el hares
الحاسوب	computadora	computer
الحاصل	el cociente	winning
الحاضر	el presente	the present
الحافظ	el guardián	al-hafez
الحافلات	autobuses	bus
الحاكم	la regla	ruler
الحاكمة	gobernante	ruling
الحال	el caso	case
الحالات	casos	cases
الحالي	la corriente	current
الحالية	actual	current
الحب	amor	the love
الحبشة	abisinia	habasha (name)
الحبل	la cuerda	pregnancy
الحبوب	grano	grain
الحبيب	amado	alhabeeb
الحج	hayy	pilgrimage
الحجاب	el velo	the hijab
الحجاج	peregrinos	pilgrims
الحجارة	piedras	stones
الحجاز	hijaz	hijaz
الحجة	el argumento	pilgrimage
الحجر	piedra	the rock
الحجرية	piedra	stone
الحجم	tamaño	the size
الحد	el limite	limit
الحدائق	parques	gardens
الحداثة	modernidad	modernity
الحدث	el evento	the event
الحدود	fronteras	borders
الحدودية	borderlands	border
الحديبية	tubérculo	el-hadibia
الحديث	la charla	talking
الحديثة	moderno	new
الحديد	hierro	iron
الحديدي	ironman	iron
الحديدية	hierro	the metallic
الحديقة	el jardin	the garden
الحذر	cuidado	caution
الحر	gratis	free
الحرائق	incendios	fires
الحرارة	el calor	the temperature
الحراري	térmica	heat
الحرارية	térmica	thermal
الحرب	la guerra	the war
الحربي	al-harbi	military
الحربية	buque de guerra	military
الحرة	gratis	free
الحرس	el guardia	guards
الحرف	el personaje	letters
الحركات	movimientos	accents
الحركة	movimiento	movement
الحرم	el santuario	el-haram
الحرمين	los dos santos	two campuses
الحروب	guerras	wars
الحروف	las letras	the letters
الحريات	libertades	freedom
الحرية	libertad	freedom
الحرير	la seda	silk
الحريري	al-hariri	el-hariri
الحزام	el cinturón	belt
الحزب	la fiesta	the party
الحساب	la cuenta	accounting
الحسن	hassan	el-hassan
الحسنة	lo bueno	good
الحسين	al-hussain	el-hussin
الحسيني	al hussaini	el-husseiny
الحشرات	insectos	insects
الحشرة	el insecto	insect
الحشرية	insecto	pesticide
الحشيش	césped	cannabis
الحصار	el bloqueo	blockade
الحصان	el caballo	horse
الحصول	obtener	the gaining of
الحضارات	civilizaciones	civilizations
الحضارة	civilizacion	civilization
الحضاري	civilizado	civilizational
الحضرية	urbano	civilized
الحظ	suerte	luck
الحظر	la prohibición	ban
الحفاظ	mantener	maintain
الحفلات	las fiestas	parties
الحق	derecho	the right
الحقائق	los hechos	facts
الحقبة	la era	the era
الحقل	campo	field
الحقوق	derechos	right
الحقول	campos	the farms
الحقيقة	la verdad	the truth
الحقيقي	el real	real
الحقيقية	el real	the true
الحكام	gobernantes	rulers
الحكم	juicio	ruling
الحكمة	sabiduria	the wisdom
الحكومات	gobiernos	governments
الحكومة	el gobierno	the kingdom
الحكومي	gobierno	governmental
الحكومية	gobierno	governmental
الحكيم	sabio	alhakeem
الحل	la solucion	the solution
الحلفاء	los aliados	the allies
الحلقات	episodios	the episodes
الحلقة	episodio	link
الحلم	el sueño	the dream
الحلول	soluciones	solutions
الحلي	adornos	jewelery
الحليب	leche	the milk
الحليم	halim	halim
الحمام	el baño	bathroom
الحمامات	los baños	bathrooms
الحماية	protección	protection
الحمد	alabanza	praise
الحمر	py	red
الحمراء	rojo	red
الحمض	ácido	acid
الحمل	embarazo	load
الحملات	campañas	campaigns
الحملة	campaña	assault
الحميد	hameed	el-hamid
الحنبلي	hambali	al-hanbaly
الحنفي	hanafi	el hanafy
الحوادث	accidentes	accidents
الحوار	diálogo	discussion
الحواس	los sentidos	senses
الحواسيب	computadoras	computers
الحوض	la cuenca	the pelvis
الحي	el barrio	alive
الحياة	la vida	life
الحياد	neutralidad	neutrality
الحية	vivir	living
الحين	entonces	while
الحيوان	el animal	the animal
الحيوانات	animales	the animals
الحيوانية	animal	animal
الحيوي	bio	bio
الحيوية	vitalidad	vital
الخ	etc.	etc..
الخارج	el exterior	outside
الخارجي	exterior	external
الخارجية	externo	external
الخاص	privado	private
الخاصة	propio	private
الخاصية	la propiedad	characteristic
الخاضعة	asunto	under authority of
الخالق	el creador	the creator
الخام	crudo	the raw
الخامس	quinta	the fifth
الخامسة	quinta	fifth
الخان	el khan	el-khan
الخانات	dígitos	stores
الخبر	las noticias	the news
الخبراء	expertos	experts
الخدمات	servicios	services
الخدمة	servicio	the service
الخديوي	jedive	khedewi
الخرائط	mapas	maps
الخروج	salir	leave
الخريطة	el mapa	the map
الخسائر	las pérdidas	losses
الخشب	madera	woodwork
الخشبية	woody	wooden
الخصائص	caracteristicas	characteristics
الخصبة	exuberante	fertile
الخصم	descuento	foe
الخصوبة	fertilidad	the fertility
الخصوص	particular	specially
الخصيب	fértil	fertile
الخضراء	verde	the green
الخط	la linea	line
الخطأ	mal	mistake
الخطة	el plan	the plan
الخطر	el peligro	danger
الخطط	los planes	plans
الخطوات	los pasos	the steps
الخطوة	el paso	the step
الخطوط	fuentes	the lines
الخطيب	khatib	the speaker
الخطيرة	serio	dangerous
الخفيفة	luz	the light
الخلاص	salvación	getting rid of
الخلافات	las diferencias	conflicts
الخلافة	sucesión	caliphate
الخلايا	células	cells
الخلف	volver	offspring
الخلفاء	califas	caliphs
الخلفية	antecedentes	background
الخلق	creación	the earth
الخلوي	celular	the cell
الخلوية	celular	cellular
الخلية	la celda	cell
الخليج	la bahía	the gulf
الخليجي	al khaliji	gulfian
الخليجية	golfo	gulf
الخليفة	califa	caliph
الخليل	hebrón	el khalil
الخمر	vino	the wine
الخمس	los cinco	five
الخمسة	los cinco	the five
الخمسينات	los años cincuenta	the fifties
الخمسينيات	los años cincuenta	the fifties
الخميس	jueves	thursday
الخنازير	cerdos	pigs
الخنافس	escarabajos	beetles
الخندق	la trinchera	trench
الخوارج	kharijites	el-khawareg
الخوارزمي	al-khwarizmi	alkhwarizmi
الخواص	propiedades	the elite
الخوف	miedo	fear
الخيال	la imaginación	fiction
الخيالة	montado	cavalry
الخيام	carpas	the tents
الخير	bondad	el khair
الخيرية	caridad	charity
الخيل	el caballo	horses
الخيول	caballos	horses
الدائرة	el circulo	circle
الدائري	anillo	ring
الدائم	permanente	permanent
الدائمة	de pie	permanent
الداخل	el interior	inside
الداخلي	procedimiento	internal
الداخلية	el interior	the internal
الدار	la casa	casablanca
الدانوب	danubio	consistent
الدبلوماسية	diplomacia	diplomatic
الدجاج	pollo	chicken
الدجال	anticristo	antichrist
الدخان	humo	smoke
الدخل	ingresos	income
الدخول	entrada	entry
الدراسات	estudios	studies
الدراسة	estudio	learning
الدراسية	matrícula	school
الدراما	el drama	drama
الدرجات	grados	levels/stages
الدرجة	grado	the degree
الدروز	drusos	the druze
الدستور	la constitucion	constitution
الدستوري	constitucional	constitutional
الدستورية	constitucional	constitutionality
الدعاء	súplica	praying
الدعارة	prostitucion	prostitution
الدعاية	publicidad	publicity
الدعم	apoyo	support
الدعوة	la llamada	call
الدفاع	defensa	defence
الدفاعية	defensivo	defense
الدقة	precisión	exactly
الدقيق	harina	the flour
الدقيقة	el minuto	the precise
الدكتوراه	doctorado	doctorate
الدلائل	los directorios	indications
الدلالة	significado	the evidence / significance
الدليل	evidencia	the evidence
الدم	sangre	the blood
الدماء	la sangre	blood
الدمار	destrucción	the destruction
الدماغ	el cerebro	brain
الدمشقي	damasceno	damascene
الدموية	sangrienta	brutality
الدنا	adn	dna
الدنمارك	dinamarca	denmark
الدنيا	el mundo	minimum
الدهون	la grasa	fat
الدوائر	círculos	chambers
الدوافع	motivación	intentions
الدوحة	doha	doha
الدور	el papel	role
الدوران	rotación	rotation
الدورة	el curso	term
الدوري	liga	league
الدورية	periodicidad	periodical
الدول	estados	the states
الدولة	el estado	country
الدولتين	dos estados	the two countries
الدولية	internacional	national
الديار	inicio	grand
الديانات	religiones	religions
الديانة	religión	religion
الديمقراطي	demócrata	the democratic
الديمقراطيات	democracias	democracies
الديمقراطية	democracia	the democratic
الديموغرافيا	demografía	demography
الديموقراطية	democracia	democracy
الدين	la deuda	religion
الدينار	el dinar	dinar
الديناصور	el dinosaurio	dinosaur
الديناصورات	dinosaurios	dinosaurs
الدينية	religioso	religious
الديوان	diwan	court
الديون	deuda	debts
الذئب	lobo	wolf
الذات	el yo	the self
الذاتي	yo	self
الذاتية	subjetividad	personal
الذاكرة	memoria	memory
الذرات	átomos	atoms
الذراع	el brazo	arm
الذرة	maíz	atomic
الذري	atómico	atomic
الذرية	descendencia	posterity
الذكاء	inteligencia	intelligence
الذكر	el macho	cited
الذكري	hombre	remembering
الذكور	hombre	males
الذهاب	ir	gonig
الذهب	oro	the gold
الذهبي	dorado	the golden
الذهبية	dorado	golden
الذي	quien	that is
الذين	quien	whose
الرأس	la cabeza	head
الرأسمالي	el capitalista	capitalismic
الرأسمالية	capitalismo	capitalism
الرأي	la opinion	opinion
الرؤية	visión	the vision
الرئاسة	la presidencia	the presidential
الرئاسية	presidencial	presidential
الرئة	pulmón	lung
الرئيس	el presidente	president
الرئيسة	el presidente	main
الرئيسي	el principal	the primary
الرئيسية	inicio	main
الرائدة	líder	leader
الرابطة	la asociación	league
الرابع	cuarto	the fourth
الرابعة	cuarto	the fourth
الراحة	comodidad	hand
الراحل	la tarde	late
الراديو	la radio	the radio
الرازي	al-razi	razi
الراشدين	adultos	caliphs
الرافدين	mesopotamia	rafidain
الراقية	de alta gama	the fine
الراهن	el presente	current
الرايخ	el reich	reich
الرب	el señor	god
الرباط	rabat	the bond
الربح	ganancia	the wind
الربط	conectividad	connecting
الربع	cuarto	quarter
الربيع	primavera	spring
الرتب	rangos	the ranks
الرجال	los hombres	the men
الرجل	hombre	the man
الرجوع	volver	refere
الرحالة	mochilero	traveler
الرحلات	excursiones	flights
الرحلة	el vuelo	the trip
الرحم	el útero	uterus
الرحمة	piedad	the mercy
الرحمن	rahman	el-rahman
الرحيم	compasivo	the merciful
الرد	la respuesta	reply
الردة	apostasía	apostasy
الرسائل	mensajes	letters
الرسالة	el mensaje	the letter
الرسل	mensajeros	apostles
الرسم	dibujo	paint
الرسمي	formal	the official
الرسمية	oficial	the official
الرسول	el mensajero	messenger
الرسولي	apostólica	prophet
الرسوم	honorarios	pictures
الرشيد	lo racional	wise
الرصاص	plomo	the bullets
الرصافي	al rusafi	el-rasafy
الرصد	monitoreo	detection
الرضا	contento	satisfaction
الرطوبة	humedad	moisture
الرعاية	cuidado	the care
الرغبة	deseo	will
الرغم	aunque	inspite of
الرفاعي	al-rifai	el refaee
الرفض	rechazo	rejection
الرقابة	control	supervision
الرقص	bailando	the dance
الرقم	figura	the number
الرقيق	el esclavo	slaves
الركاب	los pasajeros	passenger
الركن	la esquina	corner
الركود	estancamiento	slackness
الرمال	arena	sand
الرمز	símbolo	sign
الرمزي	simbólico	symbolic
الرمزية	simbolismo	symbolic
الرمل	arena	sand
الرملية	sandy	sand
الرموز	íconos	the symbols
الرنا	rana	rna
الرها	edesa	edessa
الرهبان	los monjes	monks
الروابط	enlaces	links
الروايات	novelas	novels
الرواية	la novela	the teller
الروح	el alma	spirit
الروحي	espiritual	god
الروحية	espiritual	spiritual
الروس	los rusos	russians
الروسي	el ruso	russian
الروسية	ruso	russian
الروضة	jardín de infantes	garden
الروم	ron	roman
الرومان	los romanos	romans
الرومانسية	romance	the romance
الروماني	romana	romanian
الرومانية	rumano	roman
الرومي	rumi	turkey
الري	riego	irrigation
الرياح	el viento	winds
الرياض	riad	riyadh
الرياضات	deportes	the sports
الرياضة	deportes	sport
الرياضي	atleta	athletic
الرياضيات	matemáticas	maths
الرياضية	deportes	sportive
الريح	el viento	the wind
الريف	el campo	countryside
الريفية	rural	rural
الزاوية	la esquina	corner
الزبير	zubair	zobir
الزجاج	el vaso	the glass
الزراعة	agricultura	agriculture
الزراعي	agrícola	agricultural
الزراعية	agrícola	agricultural
الزرقاء	azul	blue
الزعتر	tomillo	thyme
الزعماء	los lideres	the leaders
الزعيم	el lider	the leader
الزكاة	zakat	zakat
الزلازل	terremotos	earthquake
الزلزال	el terremoto	earthquake
الزمان	tiempo	time
الزمرة	camarilla	group
الزمن	tiempo	time
الزمني	cronograma	timing
الزمنية	cronograma	time
الزهراء	zahra	el zahraa
الزهرة	la flor	venus
الزهري	sífilis	zohry
الزهور	flores	the flowers
الزواج	matrimonio	the marriage
الزواحف	reptiles	reptiles
الزوار	visitantes	visitors
الزوايا	las esquinas	corners
الزوج	el marido	husband
الزوجة	la esposa	the wife
الزي	el atuendo	dress
الزيادة	el aumento	increase
الزيت	el aceite	oil
الزيتون	aceitunas	olive
الزيدية	zaidi	el zayedeya
السؤال	la pregunta	the question
السائد	el imperante	the dominant
السائدة	el imperante	the dominant
السائل	el interlocutor	liquid
السائلة	el liquido	liquid
السابع	el séptimo	the seventh
السابعة	el séptimo	the seventh
السابق	lo anterior	the previous
السابقة	anterior	precedent
السابقين	ex	the formers
الساحة	la plaza	the stage
الساحل	la costa	the coast
الساحلي	costera	coastal
الساحلية	costera	coastal
الساخنة	caliente	the hot
السادات	sadat	el sadat
السادس	sexto	6th
الساعة	la hora	the clock
الساكنة	estática	consonants
السامة	tóxico	toxic
السامية	alta	the semitic
السباحة	natación	swimming
السبب	la razon	the reason
السبت	sabado	saturday
السبع	los siete	sheva
السبعة	los siete	seven
السبعينات	los setenta	seventies
السبعينيات	los setenta	seventies
السبيل	el camino	way
الست	los seis	six
الستة	los seis	the six
الستينات	los sesenta	sixties
الستينيات	los sesenta	the sixties
السجن	prisión	the prison
السجون	prisiones	the prisons
السحابة	la nube	cloud
السحب	nubes	clouds
السد	la presa	the dam
السديري	al-sudairy	sadiri (name)
السر	el secreto	the secret
السرطان	cáncer	cancer
السرطانات	cánceres	cancers
السرطانية	precanceroso	cancer
السريانية	siríaco	syriac
السرية	confidencialidad	secret
السريع	rápido	the fast
السريعة	rápido	high
السطح	superficie	the surface
السطحية	superficie	surfaces
السعادة	la felicidad	happiness
السعودي	el saudita	saoudian
السعودية	arabia saudita	saudi arabia
السعي	la persecución	go
السفر	viaje	travel
السفلى	bajar	lower
السفلي	el fondo	the lower
السفن	barcos	ships
السفير	embajador	ambassador
السفينة	el barco	the ship
السكان	población	people
السكاني	población	demographic
السكانية	población	population density
السكر	azúcar	sugar
السكري	diabetes	sugary
السكك	rail	the rails
السكن	vivienda	residence
السكنية	residencial	residential
السلاجقة	seljuks	seljuks
السلاح	el arma	the weapons
السلاسل	cadenas	chains
السلاطين	sultanes	sultans
السلالات	cepas	the strains
السلالة	la tensión	strain
السلام	paz	peace
السلبي	pasiva	the negative
السلبية	negatividad	negative
السلة	la canasta	basket
السلسلة	la cadena	series
السلطات	poderes	the authorities
السلطان	el sultán	sultan
السلطانية	el tazón	soltani
السلطة	poder	authority
السلطنة	sultanato	sultanate
السلع	bienes	the products
السلف	predecesor	predecessor
السلفية	salafismo	salafist
السلم	la escalera	peace
السلمية	tranquilo	the peaceful
السلوك	comportamiento	behavior
السلوكية	comportamiento	behavioral
السليم	adecuada	right
السليمة	sonido	proper
السم	veneno	poison
السماء	el cielo	the sky
السمات	caracteristicas	characteristics
السماح	permitir	let
السمك	pescado	fish
السن	edad	age
السنة	año	the year
السند	el vínculo	support
السنوات	años	the years
السنوريات	felidae	panthera
السنوي	anual	annual
السنوية	anual	annual
السني	sunita	the sunni
السنية	sunita	sunni
السنين	los años	years
السنّة	sunnah	sunna
السهل	fácil	the plain
السهول	llanuras	plains
السوائل	líquidos	liquids
السواحل	costas	coasts
السوبر	super	the super
السوداء	negro	the black
السودان	sudán	the sudan
السوداني	sudaneses	the sudanese
السودانية	sudaneses	the sudanese
السور	la valla	wall
السورة	surah	al sura
السوري	sirio	the syrian
السورية	sirio	syrian
السوفياتي	el soviético	the soviet
السوفياتية	soviético	soviet
السوفيتي	soviético	the soviet
السوفيتية	soviético	soviet
السوفييت	los soviéticos	suviet
السوفييتي	el soviético	soviet
السوق	el mercado	market
السويد	suecia	sweden
السويدي	sueco	swedish
السويدية	sueco	swedish
السويس	suez	suez
السويسري	suizo	swedish
السيئة	los malos	bad
السياح	turistas	tourists
السياحة	turismo	tourism
السياحي	turista	tourism
السياحية	turista	tourism
السيادة	soberanía	lordship
السيارات	autos	cars
السيارة	el coche	car
السياسات	políticas	the policies
السياسة	política	politics
السياسي	político	political
السياسية	político	political
السياسيين	políticos	politicians
السياق	contexto	context
السيد	señor	mr.
السيدة	la señora	the lady
السير	caminar	sir
السيرة	biografia	biography
السيطرة	tomar el control	control
السيف	la espada	sword
السينما	el cine	cimena
السينمائي	película	cinematographic
السينمائية	cinemático	cinematic
السينية	x	x
الشأن	el asunto	matter
الشؤون	asuntos	ashwoon
الشائع	común	common
الشائعة	común	common
الشابي	el joven	el shaby
الشارع	la calle	street
الشاشة	la pantalla	monitor
الشاطئ	la playa	beach
الشاعر	el poeta	the poet
الشافعي	al-shafii	alshafee
الشام	sham	el-cham
الشامل	misa	comprehensive
الشامي	shami	shami
الشامية	el levantino	chamie
الشاه	el sha	shah
الشاي	té	tea
الشباب	gente joven	youth
الشبكات	redes	nets
الشبكة	red	the network
الشبه	semejanza	almost
الشتاء	invierno	winter
الشجاعة	coraje	courage
الشجرة	el arbol	the tree
الشحنات	envíos	shipments
الشحنة	el envio	charge
الشخص	la persona	person
الشخصي	perfil	personal
الشخصيات	personajes	the personalities
الشخصية	personalidad	personal
الشديد	severa	intense
الشديدة	severa	the severe
الشذوذ	anomalías	abnormality
الشر	el mal	evil
الشرائية	compras	purchasing
الشرط	la condición	condition
الشرطة	la policia	police
الشرعي	legítimo	legal
الشرعية	legitimidad	legitimacy
الشرف	honor	honor
الشرق	este	east
الشرقي	este	the eastern
الشرقية	oriental	east
الشرك	politeísmo	the polytheism
الشركات	las empresas	cooperates
الشركة	la empresa	company
الشروط	condiciones	conditions
الشريعة	sharia	the shari'ah
الشطرنج	ajedrez	chess
الشعار	el logo	logo
الشعب	la gente	the people
الشعبي	folk	the native
الشعبية	popular	the popular
الشعر	poesía	poetry
الشعراء	poetas	poets
الشعراوي	shaarawy	echaarawi
الشعرية	fideos	poetic
الشعور	sentimiento	feeling
الشفاء	curación	therapy
الشك	la duda	doubt
الشكل	forma	shape
الشكوك	dudas	doubts
الشمال	el norte	north
الشمالي	norteño	north
الشمالية	norte	northern
الشمس	el sol	the sun
الشمسية	solar	solar
الشهادة	el certificado	certificate
الشهداء	los mártires	martyrs
الشهر	mes	the month
الشهيد	el mártir	martyr
الشهير	famoso	famous
الشهيرة	famoso	famous
الشوارع	las calles	the streets
الشواطئ	playas	shores
الشورى	shura	consultation
الشيء	la cosa	the thing
الشيخ	el jeque	sheikh
الشيخة	jeque	el sheikha
الشيطان	el diablo	satan
الشيعة	chiítas	shiites
الشيعي	chiíta	shiite
الشيعية	chiíta	shiite
الشيوخ	los ancianos	senators
الشيوعي	comunista	communist
الشيوعية	comunismo	communism
الشيوعيين	comunistas	communists
الصابئة	sabeans	el sabena
الصابئي	sabean	el-sabeny
الصابون	el jabon	the soap
الصادر	saliente	issued
الصادرات	exportaciones	exportations
الصادرة	emitido	released
الصادق	sincero	el sadek
الصالح	lo bueno	assaleh
الصالحة	el justo	adequate
الصباح	mañana	al sobah
الصحابة	compañeros	companions
الصحابي	compañera	accompanied
الصحاري	desiertos	the deserts
الصحافة	la prensa	press
الصحة	salud	the health
الصحراء	el desierto	desert
الصحراوي	desierto	high way
الصحراوية	desierto	desert
الصحف	periódicos	journals
الصحفي	periodista	journalist
الصحفيين	periodistas	journalists
الصحية	salud	healthy
الصحيح	correcto	right
الصخرة	la roca	the rock
الصخري	rocoso	rocky
الصخرية	rocoso	rocky
الصخور	rocas	the rocks
الصداقة	amistad	friendship
الصدد	conexión	with relation to this
الصدر	el pecho	chest
الصدري	torácico	pectoral
الصديق	amigo	el-sedik
الصراع	conflicto	the struggle
الصراعات	conflictos	conflect
الصرب	serbios	serbia
الصرف	intercambio	sanitation
الصعب	duro	difficult
الصعيد	alto egipto	saeed (name)
الصغار	niños pequeños	the small
الصغر	filigrana	small
الصغرى	micro	minor
الصغير	el pequeño	small
الصغيرة	pequeño	small
الصف	la clase	grade
الصفا	al-safa	al-safa
الصفة	adjetivo	the characteristic
الصفحة	pagina	page
الصفر	cero	zero
الصفراء	amarillo	yellow
الصفويين	los safavidas	safween
الصلاة	oración	prayer
الصلال	las pieles	sallal
الصلب	acero	solid
الصلبة	sólido	solid
الصلة	el enlace	link
الصلح	reconciliacion	reconciliation
الصلوات	oraciones	prayers
الصليب	la cruz	steel
الصليبي	el cruzado	crusader
الصليبية	cruzado	crusade
الصليبيون	los cruzados	crusaders
الصليبيين	cruzados	crusaders
الصناعات	industrias	industries
الصناعة	industria	industry
الصناعي	industrial	industrial
الصناعية	industrial	industrialized
الصنع	hecho	made in
الصهيوني	sionista	zionist
الصهيونية	sionismo	zionism
الصواريخ	misiles	rockets
الصوت	el sonido	voice
الصوتية	sonic	audio
الصور	imágenes	photos
الصورة	la imagen	picture
الصوفية	el sufismo	sufi
الصوم	ayuno	the fasting
الصومال	somalia	somalia
الصومالي	somalí	somalian
الصومالية	somalí	somalian
الصيد	pesca	the hunting
الصيف	verano	summer
الصيفية	verano	summer
الصين	china	china
الصيني	chino	chinese
الصينية	chino	chinese
الصينيون	los chinos	chinese
الصينيين	los chinos	chinese
الضارة	nocivo	harmful
الضباط	oficiales	officers
الضحايا	las victimas	victims
الضحية	la victima	victim
الضخم	el enorme	huge
الضخمة	mega	big
الضرائب	impuestos	the taxes
الضربة	el golpe	shot
الضروري	necesario	necessary
الضعف	debilidad	the weakness
الضغط	presión	pressure
الضغوط	presión	pressure
الضفة	el banco	bank
الضوء	la luz	light
الضوئي	fotosíntesis	lightning
الضوئية	semáforo	light
الطائرات	aviones	aeroplanes
الطائرة	el avión	plane
الطائف	taif	el-taef
الطائفة	secta	cult
الطابع	personaje	theme
الطابق	piso	the floor
الطاعون	plaga	plague
الطاقة	energía	the energy
الطالب	el estudiante	the student
