aajo	हास्यास्पद	hospitality
minority	अल्पसंख्यक	awon ara kekere
mohandas	मोहनदास	mohandas
mokaleladota	सघन	51, (mokanleladota)
mokanlelogbon	बत्तीस	thirty-one
mombasa	मोम्बासा	mombasa
monrovia	मोनरोविया	monrovia
morgan	मॉर्गन	morgan
morogoro	मोटरिंग	morogoro
mozambique	मोजाम्बिक	mozambique
mozilla	mozilla	mozilla
mtn	एमटीएन	mtn
mtwara	फिर से चुनें	mtwara
mughal	आयतन	mughal
mulẹ̀	स्थापित करना	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	बुरा मत मानना	testament
mère	चित्रकारी	significant
méjèèjì	दोनों	the two
mérindíláàdóta	पचपन	forty-six
méte	पांच	lip
mérìndínlógún	सोलह	sixteen
mérìnlélógójì	चवालीस	44
méta	तीन	three
métèètà	बढ़ई	the three
méwàá	दस	ten
ménu	क्या तुम सोचते हो	verbally contribute; complete phrase= me nu ba
mímọ́	पवित्र	holy
míràn	एक और	other
míìrán	एक और	other
mííràn	एक और	other
mò	ज्ञान	know
mókólà	गोंद	mokola
móra	इलाज	with themselves
mó	m	with
múlẹ̀	जोर से पकड़ें	select land (farmland)
mẹ́fà	छह	6
mẹ́rkúríù	चूहा	mercury
mẹ́ta	तीन	3
mẹ́talọ́kan	त्रिमूर्ति	trinity
namibia	आना	namibia
nathaniel	नथानिएल	nathaniel
nato	नाटो	nato
nawojulo	puzzling	highest-spending
nawó	अपना पैसा पाओ	point finger
ncnc	ncnc	ncnc
nebraska	नेब्रास्का	nebraska
nefimu	nephim	nefimu
neptune	नेपच्यून	neptune
nevis	नेविस	nevis
ngbero	की योजना बनाई	planning
ngubengcuka	नगुबेंगकुका	ngubengcuka
nibe	वहाँ	there
nibere	जल्दी	earlier
nigbakan	कभी कभी	at one time
nigbà	फिर	when
nijẹr	नाइके	niger
nilè	यहाँ	remaining
nisinyi	अभी	at present
nitoriidieyi	इसके कारण	because of this
nitoripe	इसलिये	because
nitosi	पास ही	nearby
niwaju	आगे	in front of
niyato	अंतर करना	unlike
niye	बस	in number
niyi	यह रहा	these
nkan	चीज़	things
nkàn	कैंसर	something
nnaji	चाचा	nnaji
nobel	नोबेल	nobel
nombamewa	गुणा	decimal
nombáméjì	पहले दो	two-number
novo	नोवो	novo
nri	खाना	nri
nse	डिज़ाइन	acting
nso	पास में	saying
nsolaboraro	सुरक्षा	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	बिंदु	indicates
nu	स्वच्छ	in
nukleotidi	न्यूक्लियोटाइड	nucleotides
nukleotidipupo	न्यूक्लियोटाइड	cell
numeri	सुन्न होना	numbers
nwa	बच्चा	drill
nàìjíríà	नाइजीरिया में	nigeria
náwo	व्यय	spend money
náà	बहुत	that
nì	पर्वत	is
nìnú	माफ़ करना	in
nìyí	यह बात है	this is
ní	है	on
níbè	वहाँ	there
níbè	वहाँ	there
nífẹ̀ẹ́	प्यार करना	love
nígbàtí	कब	when
nílè	नीचे	on the ground
nílùú	शहर में	in the town
nílẹ̀	जमीन पर	in the land
nínlá	महान	large
nínu	मोका	in
níní	रखने के लिए	having
nípà	कम से कम	by
nítorípé	इसलिये	because
nítumò	अर्थ	meaningful
nítòsí	पास ही	nearby
nítòótó	बिल्कुल सही	truly
nítòótọ́	वास्तव में	in truth, truthfully
níwájú	आगे	in front
níyanjú	सकारात्मक	solved
nǹkan	चीज़	things
nso	जल्द आ रहा है	say
oba	ओबामा	king
obairanderan	चचेरा भाई	hereditary
obere	छोटा	started
obínibí	के सौजन्य से	inborn
ododo	धर्म	righteousness
ofin	कानून	law
ogbè	क्षेत्र	a divinity
ogun	युद्ध	war
ogunlogo	भीड़	hundreds
ojo	हमशक्ल	day
ojojumo	रोज	daily
ojoru	गर्मजोशी	wednesday
ojukokoro	लोभ	covetousness
ojuoorun	सूर्य का अस्त होना	atmosphere
ojuse	ज़िम्मेदारी	responsibility
ojùkòsì	तेज़ी	ojukosi
ojùkòtúu	तेज़ी	ojukotuu
ojúlùmọ̀	परिचितों	acquaintance
ojútáyé	श्यानता	public
ojúìwé	पृष्ठ	page
okeere	विदेशी	distant
okhotsk	ओखोट्सक	okhotsk
oko	मैदान	farm
okunkun	अंधेरा	darkness
okunrin	आदमी	male person
olodiajodojuko	एक दूसरे	facing wall
olohun	मालिकों	god
olojukanna	हाथोंहाथ	same surface
olokunkun	हेडफोन	popular
ololugbe	परास्त	occupants
olopon	घमंडी	a local game
olora	मोटी	fertile
oloselukan	हैलो	one political
oloye	प्रतिभा	chief
oluda	रचनाकार	creator
oludase	निर्माता	separatist
olukoitan	प्रशिक्षक	the writer
olukowe	लेखक	writer
olumojuto	लालची	overseer
oluparapo	मेल	joint
olusoju	रक्षक	ambassador
oluwakiri	अन्वेषण	explorer
olympus	ओलिंप	olympus
olódùmarè	सर्वशक्तिमान	almighty god
olóyè	शासक	chief
olóṣèlú	राजनीतिज्ञ	politics
olùbátan	यह संपर्क	relative
olùdarí	एक नेता	director
olùkópa	योगदान देने वाला	participant
olùkó	प्रशिक्षक	teacher
olùkọ́	अध्यापक	teacher
omi	पानी	water
omiadalu	बाढ़	mixture
onialjebra	onialjebra	of algebra
onibugbe	किरायेदार	population
onigbeja	रचनात्मक	allied
onigbowo	एक प्रायोजक	sponsor
onigunfenfe	निष्क्रिय	large angle
onilanaibagbepo	कंडोम	constitutional
onilile	homeowners	solid
oninawo	उधार लेने वाला	financial
onipin	तर्कसंगत	even
onisayensi	तकनीशियन	scientific
onisowo	व्यापारी	trader
oniyewumeji	बाइनरी	two-chamber
oniyijulo	बहुत बढ़िया	highest honour
onje	आहार	food
onka	कैलकुलेटर	counter
onígbàgbó	बूढा आदमी	believer
oníkólóbó	अपमानजनक	onikolobo (place)
onílẹ̀	नीचे	land owners; citizens (omo onile)
oníná	आग	electronic
onítumò	अनुवादक	meaning
onítèbọmi	बपतिस्मा दिया	baptist
onítòhùn	मुनीम	that person
oníwòsàn	द हीलर	doctor
oníyanjù	एनिमेटेड	persevere
ooni	मगरमच्छ	ooni (king)
ootọ́	सच	truth
opec	opec	opec
opposite	सामने	odi
ori	सिर	top
oriire	बधाई हो	success
oriki	प्राच्य	name of endearment
orileede	देश	country
orileedeajoba	साम्राज्यवाद	monarchic country
orilejoba	सरकार	seat of government, kingdom
orileominira	गर्मजोशी	republic
orinìyìn	एक गीत	songs of praise
orisirisi	विविधता	various
orisun	स्रोत	source
orisa	मूल	god
oritameta	बीच में	crossway
orudnun	वार्षिक	mispelled...should orundun, century
oruko	संज्ञा	name
oríilè	राष्ट्रीय	land
oríilẹ̀	लेख	land
oríkì	शायरी	family name
orílèèdè	राष्ट्र	country
orílẹ̀	राष्ट्र	continent
orílẹ́	संध्या	nation
orísiirísi	विभिन्न	various
orísìí	विविधता	type
orísìírísi	विभिन्न प्रकार	various
orúko	मैदान	name
oscar	ऑस्कर	oscar
oseluarailu	असैनिक	political unit
otherwise	अन्यथा	ibaje
otutu	अनेक	coldness
oun	वह	it
owojagidijagan	आतंकवादियों	upheaval
oúnjẹ	खाना	food
odún	वर्ष	year
ojó	यह बरसाती है	day
okùnrín	हंसी	man
olórun	परमेश्वर	god
olósìn	धार्मिक	rearing
odun	सालाना	year
olorun	परमेश्वर	god
omonìyàn	मनुष्य	human beings
opolo	अनेक	brain
ose	ose	week
oyé	दुनिया	harmattan
ofò	शुभ प्रभात	nothingness
opolo	अनेक	brain
paa	बंद करें	back
paapaa	ख़ास तौर पर	especially
padá	फली	go back
palauan	पलाउअन	palauan
panaˈma	पनामा	panama
panyanan	अंतरिक्ष	spanish
papa	पिताजी	specifically
parapọ̀	मिश्रण	join
paripari	समाप्त	finally
pele	आकर्षक	hello
penh	पेन्ह	penh
penisula	penisula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	मोती	with
phillipines	फिलीपींस	phillipines
pinsi	अस्वीकृत करना	divided
pinsoto	pinoto	separated
pinu	निर्धारित	decide
pipo	बहुत	plenty
pipolongo	विज्ञापन	publicise
piposi	बहुत	multiplication
platos	platos	plato's
plánẹ́tì	पाइपलाइन	planet
po	पो	share
pojulo	उच्चतम	larger
polandi	पोलिश	poland
polaroid	polaroid	polaroid
population	आबादी	ero
portonovo	portonovo	porto novo
portuguese	पुर्तगाली	portuguese
press	दबाएँ	press
produced	प्रस्तुत	yo
protokolu	protocolu	protocol
proton	प्रोटॉन	kemika alaropo
providence	मितव्ययिती	providence
príncipe	प्रिंसिपे	principe
pupa	लाल	red
px|kùránì	px | कर्नेल	koran or quran; the px  does not belong
pàmò	विशेष रूप से	pamo (town)
pàràkòyí	हाथोंहाथ	parakoyi
pààlà	एक सीमा	signalised
pàápàá	ख़ास तौर पर	especially
pásíà	तहखाना	persia
pátáporongodo	पूर्ण रूप से	entire
pè	बुलाया	that
pèhìndà	वीर्य	turned back
pèlu	साथ में	with
pèlúpèlú	भी	in addition
pèsè	प्रदान की	provide
pé	उस	that
péré	केवल	only
péé	उस	that
pípa	वध	order
pípèsè	प्रावधान	providing
pípẹ́	लंबा	long
pòwe	कहावत का खेल	to say a proverb or wise saying
pò	तह	join
púpo	बहुत ज्यादा	much
púpò	बल्कि	a lot
quran	कुरान	quran
ra	खरीद	self
race	दौड़	ere
rajya	आशा	rajya
ramadan	रमजान	ramadan
rank	पद	ipo
reggae	रेग	reggae
repeats	दोहराता	tunso
repetejulo	सबसे संवेदनशील	most of all
rere	अच्छा	success
research	अनुसंधान	agbeyewo
richard	रिचर्ड	richard
right|thumb|px|aworan	दाईं ओर | अंगूठा | px | छवि	picture
rinle	नए नए	emphasise
riresile	रिकॉर्डर	humbled, lowered
riro	कल्पना	thought as
rn	आर.एन.	rn
rna	शाही सेना	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	सोच	thought
robinson	रॉबिन्सन	robinson
roboto	सतहों	round
rogbodiyan	दंगा	riot
rokirika	ब्राउज़िंग	publicise
roko	भीड़	farm work
roma	रोमा	roma
rome	क्रोम	rome
ronald	रोनाल्ड	ronald
rorùn	आसान	easy
rossii	rossii	rossii
rural	ग्रामीण	igberiko
ryan	रयान	ryan
ráhàn	दिखाई दिया	complain
ránmú	चिंता	grumble
république	république	republic
ré	सी	his/her
rìn	पैदल चलना	should be orin, song or music
ròyìn	की सूचना दी	give account
rẹ	उसके	it
saarc	हटाना	saarc
saaree	बेहतर	after death
saarland	जमीन पर	saarland
safari	सफारी	safari
saffana	नीलम	savannah
safiwe	तुलना	describe
safta	पंक्ति बनायें	safta
saheli	सुविधा	sahel
sakyamuni	अगला	sakyamuni
sakyas	शाक्य	sakyas
salem	सलेम	salem
salàyé	जिंदगी	explained
sambia	जवानी	zambia
samioro	उपलब्ध	signal
santa	सांता	santa
say	कहते हैं	so
sb	sb	sb
schwarz	schwarz	schwarz
sea	समुद्र	odo
seat	सीट	itedo
segbese	संभवतः	take steps
seidamo	स्पष्ट	identify
semolara	दमा	accustom
semudaju	बेशक	assure
senegal	सेनेगल	senegal
sense	समझ	sensi
seville	सविल	seville
sewadi	खोज	investigate
sharon	शेरोन	sharon
sibesibe	अभी तक	further more
sihamoni	संरचना	sihamoni
sile	पीछे	previously
silè	ड्रॉप	on the ground
sinai	पाप	sinai
sinsin	धर्म	unshakably
sioux	सिऔक्स	sioux
sise	खाना बनाना	works
sisodagba	बड़े होना	came of age
sisopo	जोड़ने	joined
sisupapoerekusu	थूकना	neighbouring islands
sisupo	गुणा	concentrated
slovo	slovo	slovo
so	प्रेम	turned
sohun	हाँ	something
solomon	सोलोमन	solomon
soon	जल्द ही	lai'pe
sopin	समाप्त	ended
so	इसलिए	tells
spectacular	बहुत शानदार	damanran
stella	स्टेला	stella
structures	संरचनाओं	igbekale
suez	स्वेज	suez
sugbo	लेकिन नहीं	but
sugbọ́n	तर्कसंगत	but, however
sun	रवि	sleep
suny	सनी	suny
swahili	स्वाहिली	swahili
symmetry	समरूपता	ogbooga
sàbúrí	सबसे ऊपर	saburi
sàmì	एक प्रतीक	signalize
sàn	बेहतर	flow
sàngó	गिरोह	sango (god of thunder)
sàì	कुंआ	un
sápadè	इस दिन	run to
sáàpàdé	प्रायोजन	saapade
sáààrin	के बीच में	between
são	नए वाला	sao
sèle	चोरी	down
ségun	रोना	conquered
sénégal	वीर्य	senegal
séyìn	वापस	back
séyìn	वापस	at the back of
sìbẹ̀	अभी तक	there
sìni	झींगा	likewise
síbèsíbè	फिर भी	further more
síbú	जमीन पर	ocean
sílẹ̀	निराशा	drop
síse	काम	doing
síso	फिर भी	spoken
síso	फिर भी	saying
síta	बाहर	outing
síwon	उन्हें	to them
síwájú	आगे	comes before
síí	यहाँ	on it
sòrò	डिमाग धोना	talk
sójà	फोजी	soldier
sóko	पौधा	to the farm
sùgbón	इसके विपरीत	but
sọ	कहते हैं	lose
si	निश्चित रूप से	to
síse	संरचना	performing
sùgbón	इसके विपरीत	but
se	वे करते हैं	do
sepò	आखिरकार	cooperation
sisé	व्यायाम	work
sááju	एक मिनट ले	before
sísa	s .ía	to be
sísè	अनुवाद	step
tabi	या	or
tabili	तालिका	table
tabora	परिहार	tabora
taino	डिनो	taino
tainos	tainos	tainos
takuntakun	की कमी	valiant
talaka	गरीब	poor
talika	दरिद्रता	the poor
tara	नौ	wholly
tata	फिल्टर	wildly
taínos	taínos	tainos
technology	प्रौद्योगिकी	tekinoloji
tedo	डेटिंग	stay
teksas	टेक्सास	texas
tele	जाँच करना	before
temptation	मांग	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the		does no directly translate
they	वे	won
those	उन	awon
thumb|left|upright|nelson	अंगूठा | बायां | सीधा | नेल्सन	apa osi naro
tira	काल	quranic verse
tirana	तिराना	tirana
tirè	उसके	own
titu	गोली मार	cold (if it's a person's name, it is tutu)
tiwọn	उन लोगों के	theirs
to	सेवा	it
toje	दुर्लभ	that is
tokasi	बताया	pointing to
tokyo	टोक्यो	tokyo
tolerejulo	सहन	most profitable
tolórítelémù	प्रलय	all manners of people
tomé	टमाटर	tome
tooto	वास्तव में	true
tori	तोरी	because
torun	श्यामला	heavenly
toseluaralu	राजनीतिक	political
tounsejanu	दुखद	control
traduite	traduite	traduite
translated	अनुवाद	tunmo
tumosi	माध्यम	means
tuntun	नया	new
tàsí	के बिना	or
tàwon	उन्हें	theirs
táawà	झुकना	we
tèlé	जाँच करना	before
tètè	जल्दी से	quickly
tèlé	हाथोंहाथ	follow
tèsíwájú	प्रगति करने के लिए	progress
té	टी	follow
télè	द्वारा	before
té	t	shamed
títi	बन्द है	till
títèlé	पीछा करना	following
títío	जब तक	until
tíátà	टिकट	theater
tíórì	टायर	that is seen
tò	सेट	enough
tóbi	विशाल	big
tódárajùlọ	सबसे अच्छा	most beautiful
tókù	आराम	others
tówùú	कोई भी राशि	whatever
tó	tó	taught
tóka	उद्धृत	pointed
tú	उंडेलना	untie
túmò	बेर	means
túnse	पुनर्व्यवस्थित करें	restructured
tẹ̀ǹbẹ̀	फिर	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	मिल जाना	bitterness
ucb	यूसीबी	ucb
umueri	बच्चे	umueri
unifasiti	विश्वविद्यालय	university
unla	हाँ	great
urasílì	uracil	uracil
uribe	आभा	uribe
usps	usps	usps
utah	यूटा	utah
utc	यु.टी. सी	utc
uzbek	रास्ता	uzbek
venezuela	वेनेजुएला	venezuela
vermont	वरमोंट	vermont
victor	विजेता	victor
videos	वीडियो	fidio
vihara	विहार	vihara
villa	विला	villa
viruses	वायरस	awon eran
visit	यात्रा	ibewo
vz	vz	vz
waa	यह है	ours
waju	चेहरा	future
wari	गंध	once existing
westminster	वेस्टमिनिस्टर	westminster
wisconsin	विस्कॉन्सिन	wisconsin
witkin	विट्किन	witkin
wiwari	खोज	discovered
województwo	cheworddztwo	wojewodztwo
wole	साइन इन करें	into
woo	वू	look
wo	यहाँ	enter
wo	यहाँ	look
won	उन्हें	they
wura	सोना	gold
wyoming	व्योमिंग	wyoming
wàásù	धर्म का उपदेश देना	preach
wì	बहा ले जाना	that
wípè	स्पष्टता	that
wòfún	झलक	convenient
wònyí	य़े हैं	these
wón	उन्हें	they
wúnrèn	व्यायाम	small amount
wọn	उन्हें	they
wọ̀nyí	इन	these
xd	xd	xd
xiv	xiv	xiv
yafran	वर्णमाला	yafran
yakubu	yakub	yakubu
yan	चुनते हैं	choose
yanjú	संकल्प	solve
yanturu	बहुत सारे	abundant
yaoundé	yaoundé	yaounde
yewo	सुधार की	examine
ye	हाँ	suitable
ye	हाँ	should
yindinyindin	कभी ना रुको	brightly
yio	करेगा	will
yiowu	यह	any
yipada	मुड़ो	change
yiyafunnilo	कटाव	borrow
yoo	मर्जी	will
yori	एलईडी	result
york	यॉर्क	york
yorúbà	दही	yoruba
yo	yo	remove
yànan	विस्मय	scattered
yàtò	सेट अप	other than
yára	जल्दी करो	quickly
yèwò	नज़र	examine
yée	उन्हें करने दो	eplained to
yì	जाओ	this
yìí	यह	this
yí	मुड़ो	this
yíyípadà	परिवर्तन	changed
yíì	आप	this
yíò	यह	it will
yẹ̀ẹ́	y &#39;know	check
yọ	हटाना	bring out
zanzibar centralsouth	ज़ांज़ीबार सेंट्रल्स मुँह	zanzibar centralsouth
zdna	zdna	z-dna
zou	ज़ोउ	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	दूर	bce
àbe	लंगूर	under
àbámẹ́ta	गुरूवार	saturday
àbáyo	सुझाव	breakthrough
àbìkú	अमरता	'born to die' child
àbọ̀	आधा	result
àdámò	एकांत	earmark
àdátá	विलोम	adata
àdáátán	अनन्य	adaatan
àdóolóró	तेल	bomb
àgbàjọ	बूढ़ा आदमी	assembly
àgbàrá	बाढ़	power
àgbáríjọ	संगठन	combination
àgbékà	सार	suitable
àgbéyèwò	समीक्षा	examination
àgbìgbò	अड़ोस - पड़ोस	a type of bird
àgbùdo	यार्ड	corn
àgọ́	तंबू	ago
àifète	उद्देश्य	unable to keep quiet
àjo	यात्रा	board
àjákọ	अलग	ajako
àjọṣepọ̀	सामाजिक	union
àkosílè	मतिहीनता	written
àkosílè	थीसिस	written account
àkàrà	केक	bean pudding
àká	अलमारियों	store
àkójopò	समूह	collection
àkókó	समय	previous
àlàkalè	लक्ष्य	breakdown, explanation of actions
àlàyé	जानकारी	explanation
àlàáfíà	शांति	peace
àlááfià	समानता	wellbeing
àlè	घटिया इंसान	mistress, concubine, (side booty)
àlèpò	ऊपर	joined together
àlébù	दोष	ills
àmérìkà	अलौकिक	america
àmì	संकेत	sign
àmúlò	व्यावहारिक	synonyms
àmúsorò	मनोविज्ञान	resources
ànfàní	अवसर	opportunity
àpapọ̀	पूरा का पूरा	federal
àpeere	उदाहरण	example
àrígbámú	परेशान	assistant
àrùn	रोग	disease
àrẹ	अध्यक्ष	president
àse	दावत	authority
àsàjemátèe	भोर	cunning
àsèyìn	परिणाम	at the end
àsìkò	समय	time
àsótélè	विस्तार	prophecy
àsọdọ̀kan	एकता	unitary
àsekúdórógbó	छाल	do or die
àsà	रिवाज	habit, culture, norm
àtijo	अप्रचलित	olden days
àtìpó	अन्तरिक्ष मानव	sojourn
àtòrìnká	के बारे में	urinating while walking
àtúnse	संपादित करें	modification
àtúnse	संपादित करें	renovate, fix
àtẹnudẹ́nu	मौखिक	oral
àwon	सिद्धांतों	they
àwón	पैसा	the
àwón	पैसे	the
àwùjo	समाज	community
ààtò	अनुष्ठान	suitability
ààyè	ज़िंदा	space
àárín	बीच में	middle
àáyá	वीर्य	seconds
àìkó	कमी	unlearned
àìní	चाहते हैं	lack
àìròtélè	अप्रत्याशित	unthought of
àìsí	अनुपस्थिति	lack
án	टी	it
áwon	व्यभिचार	those
èbà	मच्छरों	cassava flour food
èbúté	बंदरगाह	shore
èdá	सृष्टि	creature
èdè	भाषा: हिन्दी	language
èdè	भाषा: हिन्दी	language
èfòn	काल	efon
èhìn	अगला	outskirt
èka	डाली	branch
èkejì	अन्य	second
èlò	बर्तन	tool
ènìkan	कुछ कुछ	someone
èràn	रोग	virus
èrò	विचारों	thoughts
èsó	मस्जिद	modesty
èsúrú	चींटियों	yam (indigenous to west africa)
ète	उद्देश्य	plan
èyì	गौरव	this
èka	प्रभाव	branch
èro	विचारों	machine
èrí	सबूत	witness
èsìn	धर्म	religion
èwù	कमीज	clothe
èpón	बहुत	modifier
ìbarà	बुखार	ibara (town)
ìbánisòrò	संपर्क	dialogue
ìbáraeni	गाड़ी	to themselves
ìbílè	जन्मसिद्ध अधिकार	local
ìbílè	जन्मसिद्ध अधिकार	local
ìdàgbà	वयस्कता	grow
ìdàpapọ̀	समेकन	union
ìdàrúdàpò	अराजकता	misunderstanding
ìdá	परित्याग	division
ìdìmú	अशांति	branch, part
ìdíisin	कारण	idi-isin
ìdíwòn	तुम्हारा कारण	criteria
ìdó	डंक	ido (a person's name)
ìfara	कष्ट पहुंचाना	self
ìfojúìtànìgbesiayé	जीवन इतिहास	biography
ìfáàrà	एक पादरी	introduction
ìgbonnìbí jé	यह एक आपदा है	igbonnibi
ìgbà	समय	when
ìgbàgbé	भुलक्कड़	forgetfulness
ìgbá	पंख	time
ìgbáraga	शक्ति	pride
ìgbéraga	गौरव	pride
ìgbésí	जिंदगी	life
ìgbò	राम	igbo people
ìhun	लोहा	things
ìjo	नृत्य	church
ìjo	चर्च	church
ìjoba	सरकार	government
ìjora	नफरत	resemblance
ìjìnlè	रहस्य	comprehensive
ìjìnlè	रहस्य	mysterious
ìjò	नेता	consent
ìjọba	सरकार	government
ìkejì	अन्य	second
ìkànna	वही	ikanna (town)
ìkèrèkú	भीड़	ikereku
ìkéde	घोषणा	advert
ìkìjà	एक चुनौती	ikija
ìkìlò	गाली	warning
ìkínin	छठवां	greetings
ìkẹrin	चौथा	fourth
ìkọpa	भाग लेना	ikopa
ìlera	स्वास्थ्य	health
ìlo	कॉल	use
ìlà	रूपरेखा	border
ìlànàn	मोह माया	procedure
ìlàorùn	चोट	east
ìlàìnàró	उत्पीड़न	vertical
ìlè	रिश्वतखोरी	land
ìlé	घर	land
ìmò	साँप	knowledge
ìmò	आकाशीय बिजली	knowledge
ìmóbìdo	जन्मसिद्ध अधिकार	imobido
ìmú	नाक	knowledge
ìmúnilérú	गालियाँ	slavery
ìmúsára	मज़बूत करना	contagious
ìnagije	विजय	alias
ìnáwó	व्यय	expenditure
ìpolongo	विज्ञापन	advertisement
ìpìlẹ̀núkléù	एन्क्रिप्शन	base
ìpìnlè	शुरुवात	foundation
ìpínrò	पैराग्राफ	economize
ìrànlọ́wọ́	मदद	help
ìrànàna	मदद	path-clearing
ìràwọ̀	सितारे	s
ìrí	अनुभव	sight
ìròkò	विचार	iroko
ìròyìn	समाचार	news
ìròyìnwiki	समाचार	wikinews
ìròrùn	मोह माया	peaceful
ìró	ध्वनि	sound
ìrúbo	ढहने	sacrifice
ìsawo	अटकल	divinity-practice
ìse	कार्य	behaviour
ìsinsìnyí	अभी	modern
ìsirò	गणना	adding
ìsomó	जुड़ने के लिए	attachment
ìsàlè	सूर्य का अस्त होना	down town
ìsèlè	उत्पादन	happening
ìsìn	धर्म	worship
ìsòrò	ध्यान	speech
ìsòrí	उपखंड	chapter
ìsú	मोटाई	lump
ìsọ	दुकानें	stall
ìse	कार्य	work
ìsègbèfábo	लगन	female support
ìsèdá	सृष्टि	creation
ìsèjoba	सरकार	government
ìsílé	घर	house opening
ìsòro	कठिनाई	problem
ìse	कार्य	action
ìta	बाहर	outside
ìtaeko	कार्यशाला	outskirts of eko
ìtan	इतिहास	story
ìtokò	मटका	story
ìtàn	इतिहास	history
ìtànkálé	बाढ़	spread
ìtèsíwájú	प्रगति	progress
ìtójú	देखभाल	treatment
ìtóju	भ्रम की स्थिति	treatment
ìtójú	चेहरे के भाव	treatment
ìtóka	पीटा जाना	dictionary
ìtúmò	अनुवाद	meaning
ìtúpalè	अनुवाद	exposition
ìwe	तुलना	book
ìwo	सींग का	horn
ìwàásù	उपदेश	sermon
ìwéré	पुस्तिका	iwere (town)
ìwò	संपूर्ण	set
ìwòran	दृष्टि	viewing
ìwúlò	उपयोगी	usefulness
ìya	पीड़ा	mother
ìyapa	पृथक्करण	divorce
ìyàwó	दुल्हन	wife
ìyípadà	रूपांतरण	transformation
ìṣèlú	राजनीति	politics
ìṣẹ́kù	शेष	broken
ìṣọ̣̀tẹ̣̀	न्यूमोनिया	rebellion
òde	बाहर	society
òdeojú	चेहराविहीन	surface
òdo	जवानी	zero
òdìkejì	अन्य	opposite
òféàrán	एक छवि	a town name
ògbójú	सक्षम	brave
ògiri	दीवार	wall
ògo	महिमा	glory
ògun	दवा	medicine
ògúndìpẹ̀	चुरमुरा	ogundipe
òjo	हमशक्ल	ojo
òjísé	चिकित्सक	servant
òkèògbún	एक हजार	oke-ogbun
òkòòkan	एक एक करके	each
òkú	लाशों	corpse
òkúta	एक पत्थर	stone
òle	गृहिणी	lazy
òmiràn	जादूगर	other
òmùàrán	एक छवि	omu-aran (town)
òní	आज	today
òotó	सत्य	true
òpópóònà	सड़क	highway
òranyàn	अनिवार्य	a must
òrìsà	मूर्तियों	god
òrí	अध्याय	top
òrò	दिमाग	word
òsán	दोपहर	afternoon
òsèlú	राजनीतिज्ञ	politics
òsèré	एथलीट	player
òwù	कपड़ा	owu
òṣèlú	राजनीति	politician
òjògbón	बरसात का मौसम	learned person
òkan	एक	heart
òkòòkan	एक एक करके	each
òpòlopò	अनेक	many
òré	खेल	friend
òfò	अगला	sorrowful
òpòlopo	अनेक	lot of
òré	खेल	friend
òrò	विचारों	word
òsà	ज़र्द मछली	lagoon
òwó	पैसे	hand
òrò	विचारों	word
òròàjòmó	खराब मौसम	part of speech
ó	यह	that
óníse	वह एक डिजाइनर है	stricken
ósírísì	लार	diverse
ósékú	वह मर चुका है	die suddenly
ó	हाँ	word
ôdún	साल	year
únṣẹlẹ̀	भूकंप	formed
şe	करना	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	øːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪkælɪfɔrnjə	not yoruba
ˌæləˈbæmə	बीमारी	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	प्रारंभिक	work
ṣàkóbá	नुकसान पहुचने वाला	incriminate
ẹdo	मज़ाक	edo
ẹlẹ́bùn	एक उपहार	award winner
ẹlẹ́sìn	धार्मिक	religionist
ẹnìkan	एक व्यक्ति	someone
ẹsẹ	पैर का पंजा	verse
ẹtì	जिगर	friday
ẹ̀kaawon	प्रस्तुतियाँ	branch of
ẹ̀kabrítánì	चाचा	part of britain
ẹ̀kajuly	मई	chapter july
ẹ̀kaoṣù	कांटेदार	month
ẹ̀kasístẹ̀mù	व्यक्तिपरक	sistemu=system
ẹ̀kẹ́ta	तीसरा	third, the third
ẹ̀kọ́	शिक्षा	teachings
ẹ̀ni	who	person
ẹ̀rọ	मशीनरी	machine
ẹ̀wẹ̀	दूसरी ओर	leaf
ọbàkàn	सौतेला भाई	step-sister
ọdún	साल	year
ọlọ́mọ	बच्चे	members
ọlọ́run	भगवान	god
ọmú	बेकार इंसान	breast
ọmọ	बच्चा	c
ọn	यह	him
ọpọ́lọpọ́	अंजीर	many
ọ̀dọ́	जवानी	youth
ọ̀gbìn	पौधा	seedlings
ọ̀nà	मार्ग	ways
ọ̀pòlòpò	कार्य	various
ọ̀rọ̀	बातचीत	word
ọ̀sẹ	सप्ताह	week
