aajo	смішні	hospitality
olokunkun	навушники	popular
ololugbe	невдаха	occupants
olopon	гордовитий	a local game
olora	жир	fertile
oloselukan	здравствуйте	one political
oloye	геній	chief
oluda	творець	creator
oludase	виробник	separatist
olukoitan	інструктор	the writer
olukowe	автор	writer
olumojuto	жадібний	overseer
oluparapo	поєднання	joint
olusoju	охоронець	ambassador
oluwakiri	розвідка	explorer
olympus	олімп	olympus
olódùmarè	всемогутній	almighty god
olóyè	правитель	chief
olóṣèlú	політик	politics
olùbátan	цей контакт	relative
olùdarí	лідер	director
olùkópa	дописувач	participant
olùkó	інструктор	teacher
olùkọ́	вчитель	teacher
omi	вода	water
omiadalu	повінь	mixture
onialjebra	онилебра	of algebra
onibugbe	орендар	population
onigbeja	конструктивний	allied
onigbowo	спонсор	sponsor
onigunfenfe	пасивний	large angle
onilanaibagbepo	презерватив	constitutional
onilile	власники будинків	solid
oninawo	позичальник	financial
onipin	раціональний	even
onisayensi	технік	scientific
onisowo	торговець	trader
oniyewumeji	двійкові	two-chamber
oniyijulo	приголомшливий	highest honour
onje	дієти	food
onka	калькулятор	counter
onígbàgbó	стара людина	believer
oníkólóbó	образливий	onikolobo (place)
onílẹ̀	вниз	land owners; citizens (omo onile)
oníná	вогонь	electronic
onítumò	перекладач	meaning
onítèbọmi	хрещений	baptist
onítòhùn	бухгалтер	that person
oníwòsàn	цілитель	doctor
oníyanjù	анімований	persevere
ooni	крокодила	ooni (king)
ootọ́	правда	truth
opec	опек	opec
opposite	навпроти	odi
ori	голова	top
oriire	поздоровлення	success
oriki	східний	name of endearment
orileede	нація	country
orileedeajoba	імперіалізм	monarchic country
orilejoba	уряду	seat of government, kingdom
orileominira	тепла	republic
orinìyìn	пісня	songs of praise
orisirisi	різноманітність	various
orisun	джерело	source
orisa	витоки	god
oritameta	посередині	crossway
orudnun	щорічно	mispelled...should orundun, century
oruko	іменник	name
oríilè	національний	land
oríilẹ̀	стаття	land
oríkì	поезії	family name
orílèèdè	нація	country
orílẹ̀	нація	continent
orílẹ́	вечір	nation
orísiirísi	різноманітні	various
orísìí	різноманітність	type
orísìírísi	різних типів	various
orúko	поле	name
oscar	оскар	oscar
oseluarailu	цивільний	political unit
otherwise	інакше	ibaje
otutu	багато	coldness
oun	він	it
owojagidijagan	терористи	upheaval
oúnjẹ	їжа	food
odún	рік	year
ojó	дощово	day
okùnrín	сміх	man
olórun	боже	god
olósìn	релігійні	rearing
odun	щорічно	year
olorun	боже	god
omonìyàn	людські істоти	human beings
opolo	багато	brain
ose	ose	week
oyé	світ	harmattan
ofò	добрий ранок	nothingness
opolo	багато	brain
paa	вимкнути	back
paapaa	особливо	especially
padá	стручок	go back
palauan	палауан	palauan
panaˈma	панаˈма	panama
panyanan	знак	spanish
papa	тато	specifically
parapọ̀	суміш	join
paripari	кінець	finally
pele	чарівна	hello
penh	пенш	penh
penisula	статевий член	peninsula
periferi	периферії	periphery
petu	пету	resolve
pelu	перлина	with
phillipines	філіппіни	phillipines
pinsi	зменшуючись	divided
pinsoto	піното	separated
pinu	визначається	decide
pipo	багато	plenty
pipolongo	реклама	publicise
piposi	багато	multiplication
platos	платос	plato's
plánẹ́tì	сантехніка	planet
po	по	share
pojulo	найвищий	larger
polandi	шліфувати	poland
polaroid	поляроїд	polaroid
population	населення	ero
portonovo	портоново	porto novo
portuguese	португальська	portuguese
press	натиснути	press
produced	виробляється	yo
protokolu	протоколу	protocol
proton	протона	kemika alaropo
providence	провидіння	providence
príncipe	принцип	principe
pupa	червоний	red
px|kùránì	px | ядро	koran or quran; the px  does not belong
pàmò	конкретно	pamo (town)
pàràkòyí	негайно	parakoyi
pààlà	межа	signalised
pàápàá	особливо	especially
pásíà	підвал	persia
pátáporongodo	абсолютно	entire
pè	називається	that
pèhìndà	сперма	turned back
pèlu	разом з	with
pèlúpèlú	також	in addition
pèsè	за умови	provide
pé	що	that
péré	тільки	only
péé	що	that
pípa	забій	order
pípèsè	забезпечення	providing
pípẹ́	довго	long
pòwe	прислів’я	to say a proverb or wise saying
pò	скласти	join
púpo	забагато	much
púpò	скоріше	a lot
quran	коран	quran
ra	купити	self
race	гонка	ere
rajya	сподіватися	rajya
ramadan	рамадан	ramadan
rank	звання	ipo
reggae	реггі	reggae
repeats	повторюється	tunso
repetejulo	найчутливіші	most of all
rere	добре	success
research	дослідження	agbeyewo
richard	річард	richard
right|thumb|px|aworan	праворуч | великий палець | px | зображення	picture
rinle	недавно	emphasise
riresile	магнітофон	humbled, lowered
riro	уява	thought as
rn	р-н	rn
rna	рна	rna
rnarna	rnarna	rna-rna
rnas	рнас	rnas
ro	думати	thought
robinson	робінзон	robinson
roboto	поверхонь	round
rogbodiyan	бунт	riot
rokirika	перегляд	publicise
roko	мафія	farm work
roma	рома	roma
rome	хром	rome
ronald	рональд	ronald
rorùn	легко	easy
rossii	rossii	rossii
rural	сільський	igberiko
ryan	райан	ryan
ráhàn	з’явився	complain
ránmú	турбуватися	grumble
république	république	republic
ré	c	his/her
rìn	гуляти	should be orin, song or music
ròyìn	повідомили	give account
rẹ	її	it
saarc	видалити	saarc
saaree	вищий	after death
saarland	на підлозі	saarland
safari	сафарі	safari
saffana	сапфір	savannah
safiwe	порівняння	describe
safta	вишикуватися	safta
saheli	зручність	sahel
sakyamuni	наступний	sakyamuni
sakyas	сак’я	sakyas
salem	салем	salem
salàyé	життя	explained
sambia	молоді	zambia
samioro	в наявності	signal
santa	санта	santa
say	сказати	so
sb	зб	sb
schwarz	шварц	schwarz
sea	море	odo
seat	сидіння	itedo
segbese	можливо	take steps
seidamo	ясний	identify
semolara	астма	accustom
semudaju	звичайно	assure
senegal	сенегал	senegal
sense	сенс	sensi
seville	севілья	seville
sewadi	пошук	investigate
sharon	шарон	sharon
sibesibe	поки що	further more
sihamoni	будова	sihamoni
sile	позаду	previously
silè	краплі	on the ground
sinai	гріх	sinai
sinsin	релігія	unshakably
sioux	сиукс	sioux
sise	приготування їжі	works
sisodagba	зростати	came of age
sisopo	зв&#39;язування	joined
sisupapoerekusu	плювати	neighbouring islands
sisupo	примножувати	concentrated
slovo	слово	slovo
so	любов	turned
sohun	так	something
solomon	соломон	solomon
soon	скоро	lai'pe
sopin	кінець	ended
so	так	tells
spectacular	видовищний	damanran
stella	стелла	stella
structures	споруди	igbekale
suez	суез	suez
sugbo	але ні	but
sugbọ́n	раціональний	but, however
sun	сонце	sleep
suny	сумний	suny
swahili	суахілі	swahili
symmetry	симетрія	ogbooga
sàbúrí	понад усе	saburi
sàmì	знак	signalize
sàn	кращий	flow
sàngó	банда	sango (god of thunder)
sàì	ну	un
sápadè	у цей день	run to
sáàpàdé	спонсорство	saapade
sáààrin	по середині	between
são	новий	sao
sèle	крадіжка	down
ségun	плакати	conquered
sénégal	сперма	senegal
séyìn	назад	back
séyìn	назад	at the back of
sìbẹ̀	поки що	there
sìni	креветки	likewise
síbèsíbè	тим не менше	further more
síbú	до землі	ocean
sílẹ̀	підводити	drop
síse	робота	doing
síso	ще	spoken
síso	ще	saying
síta	зовні	outing
síwon	їх	to them
síwájú	вперед	comes before
síí	тут	on it
sòrò	промивання мозку	talk
sójà	солдат	soldier
sóko	рослина	to the farm
sùgbón	навпаки	but
sọ	сказати	lose
si	звичайно	to
síse	будова	performing
sùgbón	навпаки	but
se	вони роблять	do
sepò	нарешті	cooperation
sisé	тренування	work
sááju	візьміть хвилину	before
sísa	с .íа	to be
sísè	переклад	step
tabi	або	or
tabili	стіл	table
tabora	уникнення	tabora
taino	дино	taino
tainos	таїно	tainos
takuntakun	обмеження	valiant
talaka	бідний	poor
talika	бідність	the poor
tara	дев’ять	wholly
tata	фільтр	wildly
taínos	таїнос	tainos
technology	технології	tekinoloji
tedo	знайомства	stay
teksas	техас	texas
tele	слідувати	before
temptation	шукає	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	то	does no directly translate
they	вони	won
those	ті	awon
thumb|left|upright|nelson	великий палець | ліворуч | вертикально | нелсон	apa osi naro
tira	напружений	quranic verse
tirana	тирана	tirana
tirè	його	own
titu	стріляти	cold (if it's a person's name, it is tutu)
tiwọn	їхні	theirs
to	до	it
toje	рідкісний	that is
tokasi	зазначив	pointing to
tokyo	токіо	tokyo
tolerejulo	терпимо	most profitable
tolórítelémù	голокост	all manners of people
tomé	помідор	tome
tooto	дійсно	true
tori	торі	because
torun	брюнетка	heavenly
toseluaralu	політичні	political
tounsejanu	трагічний	control
traduite	традуїт	traduite
translated	переклали	tunmo
tumosi	засоби	means
tuntun	нові	new
tàsí	без	or
tàwon	їх	theirs
táawà	кланятися	we
tèlé	слідувати	before
tètè	швидко	quickly
tèlé	негайно	follow
tèsíwájú	досягти прогресу	progress
té	т	follow
télè	від	before
té	t	shamed
títi	зачинено	till
títèlé	слідувати	following
títío	до тих пір, поки	until
tíátà	квитки	theater
tíórì	шини	that is seen
tò	набір	enough
tóbi	великий	big
tódárajùlọ	кращий	most beautiful
tókù	відпочинок	others
tówùú	будь-яку суму	whatever
tó	tó	taught
tóka	цитується	pointed
tú	виливати	untie
túmò	слива	means
túnse	переставити	restructured
tẹ̀ǹbẹ̀	тоді	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	змова	bitterness
ucb	ucb	ucb
umueri	діти	umueri
unifasiti	університет	university
unla	так	great
urasílì	урацил	uracil
uribe	аура	uribe
usps	usps	usps
utah	юта	utah
utc	utc	utc
uzbek	шлях	uzbek
venezuela	венесуела	venezuela
vermont	вермонт	vermont
victor	переможець	victor
videos	відео	fidio
vihara	vihara	vihara
villa	вілла	villa
viruses	віруси	awon eran
visit	візит	ibewo
vz	vz	vz
waa	це є	ours
waju	обличчя	future
wari	запах	once existing
westminster	вестмінстер	westminster
wisconsin	вісконсин	wisconsin
witkin	дотепність	witkin
wiwari	відкриття	discovered
województwo	cheworddztwo	wojewodztwo
wole	увійти	into
woo	ву	look
wo	тут	enter
wo	тут	look
won	їх	they
wura	золото	gold
wyoming	вайомінг	wyoming
wàásù	проповідувати	preach
wì	змити	that
wípè	ясність	that
wòfún	погляд	convenient
wònyí	ці	these
wón	їх	they
wúnrèn	тренування	small amount
wọn	їх	they
wọ̀nyí	ці	these
xd	xd	xd
xiv	xiv	xiv
yafran	алфавіту	yafran
yakubu	якуб	yakubu
yan	виберіть	choose
yanjú	вирішувати	solve
yanturu	достаток	abundant
yaoundé	yaoundé	yaounde
yewo	поліпшення	examine
ye	так	suitable
ye	так	should
yindinyindin	ніколи не зупиняйся	brightly
yio	повинні	will
yiowu	це буде	any
yipada	обернутись	change
yiyafunnilo	ерозія	borrow
yoo	буде	will
yori	світлодіодний	result
york	йорк	york
yorúbà	йогурт	yoruba
yo	йо	remove
yànan	здивування	scattered
yàtò	встановити	other than
yára	поспішай	quickly
yèwò	погляд	examine
yée	нехай	eplained to
yì	йти	this
yìí	це	this
yí	обернутись	this
yíyípadà	змінити	changed
yíì	ти будеш	this
yíò	це буде	it will
yẹ̀ẹ́	знаєте	check
yọ	видалити	bring out
zanzibar centralsouth	занзібар центральний південь	zanzibar centralsouth
zdna	здна	z-dna
zou	зу	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	геть	bce
àbe	бабуїн	under
àbámẹ́ta	четвер	saturday
àbáyo	навіювання	breakthrough
àbìkú	безсмертя	'born to die' child
àbọ̀	половина	result
àdámò	конфіденційність	earmark
àdátá	протилежність	adata
àdáátán	ексклюзивний	adaatan
àdóolóró	олія	bomb
àgbàjọ	старий	assembly
àgbàrá	повінь	power
àgbáríjọ	організації	combination
àgbékà	реферат	suitable
àgbéyèwò	огляд	examination
àgbìgbò	околиці	a type of bird
àgbùdo	двір	corn
àgọ́	намет	ago
àifète	призначення	unable to keep quiet
àjo	подорожі	board
àjákọ	один від одного	ajako
àjọṣepọ̀	соціальний	union
àkosílè	абстракція	written
àkosílè	теза	written account
àkàrà	торти	bean pudding
àká	полиці	store
àkójopò	групи	collection
àkókó	час	previous
àlàkalè	цілей	breakdown, explanation of actions
àlàyé	інформація	explanation
àlàáfíà	мир	peace
àlááfià	аналогія	wellbeing
àlè	сволота	mistress, concubine, (side booty)
àlèpò	вище	joined together
àlébù	вада	ills
àmérìkà	надприродне	america
àmì	знак	sign
àmúlò	практичні	synonyms
àmúsorò	психологія	resources
ànfàní	можливість	opportunity
àpapọ̀	в цілому	federal
àpeere	приклад	example
àrígbámú	тривожний	assistant
àrùn	захворювання	disease
àrẹ	президент	president
àse	бенкет	authority
àsàjemátèe	світанок	cunning
àsèyìn	наслідки	at the end
àsìkò	час	time
àsótélè	розширення	prophecy
àsọdọ̀kan	єдність	unitary
àsekúdórógbó	кора	do or die
àsà	звичай	habit, culture, norm
àtijo	застарілий	olden days
àtìpó	інопланетянин	sojourn
àtòrìnká	навколо	urinating while walking
àtúnse	редагувати	modification
àtúnse	редагувати	renovate, fix
àtẹnudẹ́nu	усний	oral
àwon	теорії	they
àwón	гроші	the
àwón	гроші	the
àwùjo	суспільство	community
ààtò	ритуал	suitability
ààyè	живий	space
àárín	посередині	middle
àáyá	сперма	seconds
àìkó	дефіцит	unlearned
àìní	хочу	lack
àìròtélè	несподіваний	unthought of
àìsí	відсутність	lack
án	т	it
áwon	блуд	those
èbà	комарі	cassava flour food
èbúté	порт	shore
èdá	створення	creature
èdè	мова	language
èdè	мова	language
èfòn	напружений	efon
èhìn	наступний	outskirt
èka	відділення	branch
èkejì	інші	second
èlò	посуд	tool
ènìkan	щось	someone
èràn	захворювання	virus
èrò	думки	thoughts
èsó	мечеть	modesty
èsúrú	мурашки	yam (indigenous to west africa)
ète	призначення	plan
èyì	гідність	this
èka	ефект	branch
èro	думки	machine
èrí	докази	witness
èsìn	релігія	religion
èwù	сорочка	clothe
èpón	багато	modifier
ìbarà	лихоманка	ibara (town)
ìbánisòrò	з&#39;єднання	dialogue
ìbáraeni	карета	to themselves
ìbílè	право народження	local
ìbílè	право народження	local
ìdàgbà	зрілості	grow
ìdàpapọ̀	консолідація	union
ìdàrúdàpò	хаос	misunderstanding
ìdá	кулак	division
ìdìmú	порушення	branch, part
ìdíisin	причина	idi-isin
ìdíwòn	ваша причина	criteria
ìdó	жало	ido (a person's name)
ìfara	катування	self
ìfojúìtànìgbesiayé	історія життя	biography
ìfáàrà	священик	introduction
ìgbonnìbí jé	це лихо	igbonnibi
ìgbà	час	when
ìgbàgbé	забудькуваті	forgetfulness
ìgbá	крила	time
ìgbáraga	міцність	pride
ìgbéraga	гордість	pride
ìgbésí	життя	life
ìgbò	озп	igbo people
ìhun	залізо	things
ìjo	танцювати	church
ìjo	церква	church
ìjoba	уряду	government
ìjora	ненависть	resemblance
ìjìnlè	загадковість	comprehensive
ìjìnlè	загадковість	mysterious
ìjò	лідер	consent
ìjọba	уряду	government
ìkejì	інші	second
ìkànna	так само	ikanna (town)
ìkèrèkú	затори	ikereku
ìkéde	декларація	advert
ìkìjà	виклик	ikija
ìkìlò	зловживання	warning
ìkínin	шостий	greetings
ìkẹrin	четвертий	fourth
ìkọpa	участь	ikopa
ìlera	здоров&#39;я	health
ìlo	дзвінок	use
ìlà	контур	border
ìlànàn	ілюзія	procedure
ìlàorùn	синці	east
ìlàìnàró	пригнічення	vertical
ìlè	хабарництво	land
ìlé	додому	land
ìmò	змія	knowledge
ìmò	блискавка	knowledge
ìmóbìdo	народження	imobido
ìmú	ніс	knowledge
ìmúnilérú	зловживання	slavery
ìmúsára	зміцнити	contagious
ìnagije	перемога	alias
ìnáwó	витрати	expenditure
ìpolongo	реклама	advertisement
ìpìlẹ̀núkléù	шифрування	base
ìpìnlè	початок	foundation
ìpínrò	абзаци	economize
ìrànlọ́wọ́	допомогу	help
ìrànàna	допомогу	path-clearing
ìràwọ̀	зірки	s
ìrí	досвід	sight
ìròkò	думка	iroko
ìròyìn	новини	news
ìròyìnwiki	новини	wikinews
ìròrùn	ілюзія	peaceful
ìró	звук	sound
ìrúbo	крах	sacrifice
ìsawo	ворожіння	divinity-practice
ìse	дії	behaviour
ìsinsìnyí	зараз	modern
ìsirò	розрахунок	adding
ìsomó	приєднатися	attachment
ìsàlè	захід сонця	down town
ìsèlè	виробництво	happening
ìsìn	релігія	worship
ìsòrò	медитація	speech
ìsòrí	підрозділ	chapter
ìsú	товщина	lump
ìsọ	магазини	stall
ìse	дії	work
ìsègbèfábo	старанність	female support
ìsèdá	створення	creation
ìsèjoba	уряду	government
ìsílé	додому	house opening
ìsòro	труднощі	problem
ìse	дії	action
ìta	зовні	outside
ìtaeko	майстерня	outskirts of eko
ìtan	історія	story
ìtokò	горщик	story
ìtàn	історія	history
ìtànkálé	повені	spread
ìtèsíwájú	прогрес	progress
ìtójú	турбота	treatment
ìtóju	спантеличеність	treatment
ìtójú	міміка	treatment
ìtóka	бити	dictionary
ìtúmò	переклад	meaning
ìtúpalè	переклад	exposition
ìwe	порівняння	book
ìwo	роги	horn
ìwàásù	проповідь	sermon
ìwéré	буклет	iwere (town)
ìwò	загалом	set
ìwòran	зір	viewing
ìwúlò	корисний	usefulness
ìya	страждання	mother
ìyapa	відділення	divorce
ìyàwó	наречена	wife
ìyípadà	конверсія	transformation
ìṣèlú	політика	politics
ìṣẹ́kù	нагадування	broken
ìṣọ̣̀tẹ̣̀	пневмонія	rebellion
òde	зовні	society
òdeojú	безликий	surface
òdo	молоді	zero
òdìkejì	інші	opposite
òféàrán	зображення	a town name
ògbójú	грамотний	brave
ògiri	стіна	wall
ògo	слава	glory
ògun	ліки	medicine
ògúndìpẹ̀	порошкоподібний	ogundipe
òjo	виглядає як	ojo
òjísé	лікар	servant
òkèògbún	тисяч	oke-ogbun
òkòòkan	один за одним	each
òkú	трупи	corpse
òkúta	камінь	stone
òle	домогосподарка	lazy
òmiràn	чаклун	other
òmùàrán	зображення	omu-aran (town)
òní	сьогодні	today
òotó	правда	true
òpópóònà	дорога	highway
òranyàn	примусовий	a must
òrìsà	ідоли	god
òrí	главу	top
òrò	мозок	word
òsán	полудень	afternoon
òsèlú	політик	politics
òsèré	спортсмен	player
òwù	тканина	owu
òṣèlú	політика	politician
òjògbón	дощова погода	learned person
òkan	один	heart
òkòòkan	один за одним	each
òpòlopò	багато	many
òré	гра	friend
òfò	наступний	sorrowful
òpòlopo	багато	lot of
òré	гра	friend
òrò	думки	word
òsà	золота рибка	lagoon
òwó	гроші	hand
òrò	думки	word
òròàjòmó	вранці	part of speech
ó	це	that
óníse	він дизайнер	stricken
ósírísì	слина	diverse
ósékú	він помер	die suddenly
ó	так	word
ôdún	рік	year
únṣẹlẹ̀	землетрус	formed
şe	робити	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	ˈøːstəˌʁaɪç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	захворювання	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	відкриття	work
ṣàkóbá	шкідливий	incriminate
ẹdo	жарт	edo
ẹlẹ́bùn	подарунок	award winner
ẹlẹ́sìn	релігійні	religionist
ẹnìkan	один чоловік	someone
ẹsẹ	стопи	verse
ẹtì	печінка	friday
ẹ̀kaawon	подання	branch of
ẹ̀kabrítánì	дядько	part of britain
ẹ̀kajuly	може	chapter july
ẹ̀kaoṣù	шипи	month
ẹ̀kasístẹ̀mù	суб&#39;єктивний	sistemu=system
ẹ̀kẹ́ta	третій	third, the third
ẹ̀kọ́	освіта	teachings
ẹ̀ni	вооз	person
ẹ̀rọ	машини	machine
ẹ̀wẹ̀	з іншої сторони	leaf
ọbàkàn	півбрата	step-sister
ọdún	рік	year
ọlọ́mọ	діти	members
ọlọ́run	бог	god
ọmú	ти смокчеш	breast
ọmọ	дитина	c
ọn	це	him
ọpọ́lọpọ́	інжир	many
ọ̀dọ́	молоді	youth
ọ̀gbìn	рослина	seedlings
ọ̀nà	шлях	ways
ọ̀pòlòpò	дії	various
ọ̀rọ̀	розмовляти	word
ọ̀sẹ	тиждень	week
